11417
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Dix-neuvième extrait>,<>,<>
un,un,71
faible,faible,30
murmure,murmure,21
semblable,semblable,30
à,à,81
des,de,81
des,le,71
plaintes,plainte,22
sortit,sortir,19
du,de,81
du,le,71
fond,fond,21
du,de,81
du,le,71
rocher,rocher,21
",",",",p
et,et,82
vint,venir,19
frapper,frapper,14
mon,mon,73
oreille,oreille,22
/.,/.,P
poussant,pousser,13
un,un,71
cri,cri,21
",",",",p
et,et,82
retrouvant,retrouver,13
mes,mon,73
forces,force,22
",",",",p
je,je,51
m',je,51
élançai,élancer,19
",",",",p
dans,dans,81
la,le,71
nuit,nuit,22
de,de,81
la,le,71
caverne,caverne,22
/…,/…,P
esprits,esprit,21
de,de,81
mes,mon,73
pères,père,21
!,!,p
vous,vous,51
savez,savoir,17
seuls,seul,30
le,le,71
spectacle,spectacle,21
qui,qui,52
frappa,frapper,19
mes,mon,73
yeux,oeil,21
/!,/!,P
le,le,71
solitaire,solitaire,21
avait,avoir,18
allumé,allumer,12
un,un,71
flambeau,flambeau,21
de,de,81
pin,pin,21
;,;,p
il,il,51
le,le,52
tenait,tenir,18
d',de,81
une,un,71
main,main,22
tremblante,tremblant,30
",",",",p
au-dessus,au-dessus,60
de,de,81
la,le,71
couche,couche,22
d',de,81
Atala,Atala,20
/.,/.,P
cette,ce,74
belle,beau,30
et,et,82
jeune,jeune,30
femme,femme,22
",",",",p
à,à,81
moitié,moitié,22
soulevée,soulevé,31
sur,sur,81
le,le,71
coude,coude,21
",",",",p
se,se,51
montrait,montrer,18
pâle,pâle,30
et,et,82
échevelée,échevelé,30
/.,/.,P
les,le,71
gouttes,goutte,22
d',de,81
une,un,71
sueur,sueur,22
pénible,pénible,30
brillaient,briller,18
sur,sur,81
son,son,73
front,front,21
;,;,p
ses,son,73
regards,regard,21
à,à,81
demi,demi,30
éteints,éteint,31
cherchaient,chercher,18
encore,encore,60
à,à,81
m',je,51
exprimer,exprimer,14
son,son,73
amour,amour,21
",",",",p
et,et,82
sa,son,73
bouche,bouche,22
essayait,essayer,18
de,de,81
sourire,sourire,14
/.,/.,P
frappé,frappé,31
comme,comme,83
d',de,81
un,un,71
coup,coup,21
de,de,81
foudre,foudre,22
",",",",p
les,le,71
yeux,oeil,21
fixés,fixé,31
",",",",p
les,le,71
bras,bras,21
étendus,étendu,31
",",",",p
les,le,71
lèvres,lèvre,22
entrouvertes,entrouvert,31
",",",",p
je,je,51
demeurai,demeurer,19
immobile,immobile,30
/.,/.,P
un,un,71
profond,profond,30
silence,silence,21
règne,régner,17
un,un,71
moment,moment,21
parmi,parmi,81
les,le,71
trois,trois,72
personnages,personnage,21
de,de,81
cette,ce,74
scène,scène,22
de,de,81
douleur,douleur,22
/.,/.,P
le,le,71
solitaire,solitaire,21
le,le,52
rompt,rompre,17
le,le,71
premier,premier,72
:,:,p
ceci,ceci,52
",",",",p
dit,dire,19
il,il,51
",",",",p
ne,ne,60
sera,être,15
qu',que,83
une,un,71
fièvre,fièvre,22
occasionnée,occasionné,31
par,par,81
la,le,71
fatigue,fatigue,22
",",",",p
et,et,82
si,si,83
nous,nous,51
nous,nous,51
résignons,résigner,17
à,à,81
la,le,71
volonté,volonté,22
de,de,81
dieu,dieu,21
",",",",p
il,il,51
",",",",p
aura,avoir,15
pitié,pitié,22
de,de,81
nous,nous,51
/.,/.,P
à,à,81
ces,ce,74
paroles,parole,22
",",",",p
le,le,71
sang,sang,21
suspendu,suspendu,31
reprit,reprendre,19
son,son,73
cours,cours,21
dans,dans,81
mon,mon,73
coeur,coeur,21
",",",",p
et,et,82
avec,avec,81
la,le,71
mobilité,mobilité,22
du,de,81
du,le,71
sauvage,sauvage,21
",",",",p
je,je,51
passai,passer,19
subitement,subitement,60
de,de,81
l',le,71
excès,excès,21
de,de,81
la,le,71
crainte,crainte,22
à,à,81
l',le,71
excès,excès,21
de,de,81
la,le,71
confiance,confiance,22
/.,/.,P
mais,mais,82
Atala,Atala,20
ne,ne,60
m',je,51
y,y,52
laissa,laisser,19
pas,pas,60
longtemps,longtemps,60
/.,/.,P
balançant,balancer,13
tristement,tristement,60
la,le,71
tête,tête,22
",",",",p
elle,il,51
nous,nous,51
fit,faire,19
signe,signe,21
de,de,81
nous,nous,51
approcher,approcher,14
de,de,81
sa,son,73
couche,couche,22
/.,/.,P
mon,mon,73
père,père,21
",",",",p
dit,dire,19
elle,il,51
d',de,81
une,un,71
voix,voix,22
affaiblie,affaibli,31
",",",",p
en,en,81
s',se,51
adressant,adresser,13
au,à,81
au,le,71
religieux,religieux,21
",",",",p
je,je,51
touche,toucher,17
au,à,81
au,le,71
moment,moment,21
de,de,81
la,le,71
mort,mort,22
/.,/.,P
o,oh,93
Chactas,Chactas,20
!,!,p
écoute,écouter,17
sans,sans,81
désespoir,désespoir,21
le,le,71
funeste,funeste,30
secret,secret,21
que,que,52
je,je,51
t',tu,51
ai,avoir,17
caché,cacher,12
",",",",p
pour,pour,81
ne,ne,60
pas,pas,60
te,tu,51
rendre,rendre,14
trop,trop,60
misérable,misérable,30
",",",",p
et,et,82
pour,pour,81
obéir,obéir,14
à,à,81
ma,mon,73
mère,mère,22
/.,/.,P
tâche,tâcher,17
de,de,81
ne,ne,60
pas,pas,60
m',je,51
interrompre,interrompre,14
par,par,81
des,de,81
des,le,71
marques,marque,22
d',de,81
une,un,71
douleur,douleur,22
",",",",p
qui,qui,52
précipiteraient,précipiter,16
le,le,71
peu,peu,60
d',de,81
instants,instant,21
que,que,52
j',je,51
ai,avoir,17
à,à,81
vivre,vivre,14
/.,/.,P
j',je,51
ai,avoir,17
beaucoup,beaucoup,60
de,de,81
choses,chose,22
à,à,81
raconter,raconter,14
",",",",p
et,et,82
aux,à,81
aux,le,71
battements,battement,21
de,de,81
coeur,coeur,21
",",",",p
qui,qui,52
se,se,51
ralentissent,ralentir,17
…,…,p
à,à,81
je,je,51
ne,ne,60
sais,savoir,17
quel,quel,75
fardeau,fardeau,21
glacé,glacé,31
que,que,52
mon,mon,73
sein,sein,21
soulève,soulever,17
à,à,81
peine,peine,22
…,…,p
je,je,51
sens,sentir,17
que,que,83
je,je,51
ne,ne,60
me,je,51
saurais,savoir,16
trop,trop,60
hâter,hâter,14
/.,/.,P
après,après,81
quelques,quelque,75
moments,moment,21
de,de,81
silence,silence,21
",",",",p
Atala,Atala,20
poursuivit,poursuivre,19
ainsi,ainsi,60
:,:,p
ma,mon,73
triste,triste,30
destinée,destinée,22
a,avoir,17
commencé,commencer,12
presque,presque,60
avant,avant,81
que,que,83
j',je,51
eusse,avoir,18
vu,voir,12
la,le,71
lumière,lumière,22
/.,/.,P
ma,mon,73
mère,mère,22
m',je,51
avait,avoir,18
conçue,concevoir,12
dans,dans,81
le,le,71
malheur,malheur,21
;,;,p
je,je,51
fatiguais,fatiguer,18
son,son,73
sein,sein,21
",",",",p
et,et,82
elle,il,51
me,je,51
mit,mettre,19
au,à,81
au,le,71
monde,monde,21
avec,avec,81
de,de,81
grands,grand,30
déchirements,déchirement,21
d',de,81
entrailles,entraille,22
:,:,p
on,on,51
désespéra,désespérer,19
de,de,81
ma,mon,73
vie,vie,22
/.,/.,P
pour,pour,81
sauver,sauver,14
mes,mon,73
jours,jour,21
",",",",p
ma,mon,73
mère,mère,22
fit,faire,19
un,un,71
voeu,voeu,21
:,:,p
elle,il,51
promit,promettre,19
à,à,81
la,le,71
reine,reine,22
des,de,81
des,le,71
anges,ange,21
que,que,83
je,je,51
lui,lui,51
consacrerais,consacrer,16
ma,mon,73
virginité,virginité,22
",",",",p
si,si,83
j',je,51
échappais,échapper,18
à,à,81
la,le,71
mort,mort,22
/…,/…,P
voeu,voeu,21
fatal,fatal,30
qui,qui,52
me,je,51
précipite,précipiter,17
au,à,81
au,le,71
tombeau,tombeau,21
/!,/!,P
j',je,51
entrais,entrer,18
dans,dans,81
ma,mon,73
seizième,seizième,72
année,année,22
",",",",p
lorsque,lorsque,83
je,je,51
perdis,perdre,19
ma,mon,73
mère,mère,22
/.,/.,P
quelques,quelque,75
heures,heure,22
avant,avant,81
de,de,81
mourir,mourir,14
",",",",p
elle,il,51
m',je,51
appela,appeler,19
au,à,81
au,le,71
bord,bord,21
de,de,81
sa,son,73
couche,couche,22
/.,/.,P
ma,mon,73
fille,fille,22
",",",",p
me,je,51
dit,dire,19
elle,il,51
en,en,81
présence,présence,22
d',de,81
un,un,71
missionnaire,missionnaire,21
qui,qui,52
consolait,consoler,18
ses,son,73
derniers,dernier,30
instants,instant,21
;,;,p
ma,mon,73
fille,fille,22
",",",",p
tu,tu,51
sais,savoir,17
le,le,71
voeu,voeu,21
que,que,52
j',je,51
ai,avoir,17
fait,faire,12
pour,pour,81
toi,toi,51
/.,/.,P
voudrais,vouloir,16
tu,tu,51
démentir,démentir,14
ta,ton,73
mère,mère,22
/?,/?,P
o,oh,93
mon,mon,73
Atala,Atala,20
!,!,p
je,je,51
te,tu,51
laisse,laisser,17
dans,dans,81
un,un,71
monde,monde,21
qui,qui,52
n',ne,60
est,être,17
pas,pas,60
digne,digne,30
de,de,81
posséder,posséder,14
une,un,71
chrétienne,chrétienne,22
",",",",p
au,à,81
au,le,71
milieu,milieu,21
d',de,81
idolâtres,idolâtre,21
qui,qui,52
persécutent,persécuter,17
le,le,71
dieu,dieu,21
de,de,81
ton,ton,73
père,père,21
et,et,82
le,le,71
mien,mien,52
",",",",p
le,le,71
dieu,dieu,21
qui,qui,52
",",",",p
après,après,81
t',tu,51
avoir,avoir,14
donné,donner,12
le,le,71
jour,jour,21
",",",",p
te,tu,51
l',le,52
a,avoir,17
conservé,conserver,12
par,par,81
un,un,71
miracle,miracle,21
/.,/.,P
eh,eh,93
!,!,p
ma,mon,73
chère,cher,30
enfant,enfant,21
",",",",p
en,en,81
acceptant,accepter,13
le,le,71
voile,voile,21
des,de,81
des,le,71
vierges,vierge,22
",",",",p
tu,tu,51
ne,ne,60
fais,faire,17
que,que,83
renoncer,renoncer,14
aux,à,81
aux,le,71
soucis,souci,21
de,de,81
la,le,71
cabane,cabane,22
et,et,82
aux,à,81
aux,le,71
funestes,funeste,30
passions,passion,22
qui,qui,52
ont,avoir,17
troublé,troubler,12
le,le,71
sein,sein,21
de,de,81
ta,ton,73
mère,mère,22
/!,/!,P
viens,venir,17
donc,donc,82
",",",",p
ma,mon,73
bien-aimée,bien-aimé,30
",",",",p
viens,venir,17
;,;,p
jure,jurer,17
sur,sur,81
cette,ce,74
image,image,22
de,de,81
la,le,71
mère,mère,22
du,de,81
du,le,71
sauveur,sauveur,21
",",",",p
entre,entre,81
les,le,71
mains,main,22
de,de,81
ce,ce,74
sain,sain,30
prêtre,prêtre,21
et,et,82
de,de,81
ta,ton,73
mère,mère,22
expirante,expirant,30
",",",",p
que,que,83
tu,tu,51
ne,ne,60
me,je,51
trahiras,trahir,15
point,point,60
à,à,81
la,le,71
face,face,22
du,de,81
du,le,71
ciel,ciel,21
/.,/.,P
songe,songer,17
que,que,83
je,je,51
me,je,51
suis,être,17
engagée,engager,12
pour,pour,81
toi,toi,51
",",",",p
afin,afin,81
de,de,81
te,tu,51
sauver,sauver,14
la,le,71
vie,vie,22
",",",",p
et,et,82
que,que,83
si,si,83
tu,tu,51
ne,ne,60
tiens,tenir,17
ma,mon,73
promesse,promesse,22
",",",",p
tu,tu,51
plongeras,plonger,15
l',le,71
âme,âme,22
de,de,81
ta,ton,73
mère,mère,22
dans,dans,81
des,de,81
des,le,71
tourments,tourment,21
éternels,éternel,30
/.,/.,P
o,oh,93
ma,mon,73
mère,mère,22
!,!,p
pourquoi,pourquoi,60
parlâtes,parler,19
vous,vous,51
ainsi,ainsi,60
/!,/!,P
o,oh,93
religion,religion,22
qui,qui,52
fais,faire,17
à,à,81
la,le,71
fois,fois,22
mes,mon,73
maux,mal,21
et,et,82
ma,mon,73
félicité,félicité,22
",",",",p
qui,qui,52
me,je,51
perds,perdre,17
et,et,82
qui,qui,52
me,je,51
consoles,consoler,17
/!,/!,P
et,et,82
toi,toi,51
",",",",p
cher,cher,30
et,et,82
triste,triste,30
objet,objet,21
d',de,81
une,un,71
passion,passion,22
qui,qui,52
me,je,51
consume,consumer,17
jusque,jusque,81
dans,dans,81
les,le,71
bras,bras,21
de,de,81
la,le,71
mort,mort,22
",",",",p
tu,tu,51
vois,voir,17
maintenant,maintenant,60
",",",",p
ô,oh,93
Chactas,Chactas,20
",",",",p
ce,ce,52
qui,qui,52
a,avoir,17
fait,faire,12
la,le,71
rigueur,rigueur,22
de,de,81
notre,notre,73
destinée,destinée,22
!,!,p
fondant,fondre,13
en,en,81
pleurs,pleur,21
et,et,82
me,je,51
précipitant,précipiter,13
dans,dans,81
le,le,71
sein,sein,21
maternel,maternel,30
",",",",p
je,je,51
promis,promettre,19
tout,tout,52
ce,ce,52
qu',que,52
on,on,51
voulut,vouloir,19
faire,faire,14
promettre,promettre,14
/.,/.,P
le,le,71
missionnaire,missionnaire,21
prononça,prononcer,19
sur,sur,81
moi,moi,51
les,le,71
paroles,parole,22
redoutables,redoutable,30
",",",",p
et,et,82
me,je,51
donna,donner,19
le,le,71
scapulaire,scapulaire,21
qui,qui,52
me,je,51
lie,lier,17
pour,pour,81
jamais,jamais,60
/.,/.,P
ma,mon,73
mère,mère,22
me,je,51
menaça,menacer,19
de,de,81
sa,son,73
malédiction,malédiction,22
",",",",p
si,si,83
jamais,jamais,60
je,je,51
rompais,rompre,18
mes,mon,73
voeux,voeu,21
",",",",p
et,et,82
après,après,81
m',je,51
avoir,avoir,14
recommandé,recommander,12
un,un,71
secret,secret,21
inviolable,inviolable,30
envers,envers,81
les,le,71
païens,païen,21
",",",",p
persécuteurs,persécuteur,21
de,de,81
ma,mon,73
religion,religion,22
",",",",p
elle,il,51
expira,expirer,19
",",",",p
en,en,81
me,je,51
tenant,tenir,13
embrassée,embrassé,31
/.,/.,P
je,je,51
ne,ne,60
connus,connaître,19
pas,pas,60
d'abord,d'abord,60
le,le,71
danger,danger,21
de,de,81
mes,mon,73
serments,serment,21
/.,/.,P
pleine,plein,30
d',de,81
ardeur,ardeur,22
",",",",p
et,et,82
chrétienne,chrétienne,22
véritable,véritable,30
",",",",p
fière,fier,30
du,de,81
du,le,71
sang,sang,21
espagnol,espagnol,30
qui,qui,52
coule,couler,17
dans,dans,81
mes,mon,73
veines,veine,22
",",",",p
je,je,51
n',ne,60
aperçus,apercevoir,19
autour,autour,60
de,de,81
moi,moi,51
que,que,83
des,de,81
des,le,71
hommes,homme,21
indignes,indigne,30
de,de,81
recevoir,recevoir,14
ma,mon,73
main,main,22
;,;,p
je,je,51
m',je,51
applaudis,applaudir,19
de,de,81
n',ne,60
avoir,avoir,14
d',de,81
autre,autre,75
époux,époux,21
que,que,83
le,le,71
dieu,dieu,21
de,de,81
ma,mon,73
mère,mère,22
/.,/.,P
je,je,51
te,tu,51
vis,voir,19
",",",",p
jeune,jeune,30
et,et,82
beau,beau,30
prisonnier,prisonnier,21
",",",",p
je,je,51
m',je,51
attendris,attendrir,19
sur,sur,81
ton,ton,73
sort,sort,21
",",",",p
je,je,51
t',tu,51
osai,oser,19
parler,parler,14
au,à,81
au,le,71
bûcher,bûcher,21
de,de,81
la,le,71
forêt,forêt,22
;,;,p
alors,alors,60
je,je,51
sentis,sentir,19
tout,tout,75
le,le,71
poids,poids,21
de,de,81
mes,mon,73
voeux,voeu,21
/.,/.,P
comme,comme,83
Atala,Atala,20
achevait,achever,18
de,de,81
prononcer,prononcer,14
ces,ce,74
paroles,parole,22
",",",",p
serrant,serrer,13
les,le,71
poings,poing,21
",",",",p
et,et,82
regardant,regarder,13
le,le,71
missionnaire,missionnaire,21
d',de,81
un,un,71
air,air,21
menaçant,menaçant,30
",",",",p
je,je,51
m',je,51
écriai,écrier,19
:,:,p
la,le,52
voilà,voilà,81
donc,donc,82
cette,ce,74
religion,religion,22
que,que,52
vous,vous,51
m',je,51
avez,avoir,17
tant,tant,60
vantée,vanter,12
/!,/!,P
périsse,périr,18
le,le,71
serment,serment,21
qui,qui,52
m',je,51
enlève,enlever,17
Atala,Atala,20
/!,/!,P
périsse,périr,18
le,le,71
dieu,dieu,21
qui,qui,52
contrarie,contrarier,17
la,le,71
nature,nature,22
/!,/!,P
homme,homme,21
",",",",p
prêtre,prêtre,21
",",",",p
qu',que,52
es,être,17
tu,tu,51
venu,venir,12
faire,faire,14
dans,dans,81
ces,ce,74
forêts,forêt,22
/?,/?,P
te,tu,51
sauver,sauver,14
",",",",p
dit,dire,19
le,le,71
vieillard,vieillard,21
d',de,81
une,un,71
voix,voix,22
terrible,terrible,30
",",",",p
dompter,dompter,14
tes,ton,73
passions,passion,22
",",",",p
et,et,82
t',tu,51
empêcher,empêcher,14
",",",",p
blasphémateur,blasphémateur,21
",",",",p
d',de,81
attirer,attirer,14
sur,sur,81
toi,toi,51
la,le,71
colère,colère,22
céleste,céleste,30
/!,/!,P
il,il,51
te,tu,51
sied,seoir,17
bien,bien,60
",",",",p
jeune,jeune,30
homme,homme,21
",",",",p
à,à,81
peine,peine,22
entré,entré,31
dans,dans,81
la,le,71
vie,vie,22
",",",",p
de,de,81
te,tu,51
plaindre,plaindre,14
de,de,81
tes,ton,73
douleurs,douleur,22
/!,/!,P
où,où,60
sont,être,17
les,le,71
marques,marque,22
de,de,81
tes,ton,73
souffrances,souffrance,22
/?,/?,P
où,où,60
sont,être,17
les,le,71
injustices,injustice,22
que,que,52
tu,tu,51
as,avoir,17
supportées,supporter,12
/?,/?,P
où,où,60
sont,être,17
tes,ton,73
vertus,vertu,22
",",",",p
qui,qui,52
seules,seul,30
pourraient,pouvoir,16
te,tu,51
donner,donner,14
quelques,quelque,75
droit,droit,60
à,à,81
la,le,71
plainte,plainte,22
/?,/?,P
quel,quel,75
service,service,21
as,avoir,17
tu,tu,51
rendu,rendre,12
/?,/?,P
quel,quel,75
bien,bien,21
as,avoir,17
tu,tu,51
fait,faire,12
/?,/?,P
eh,eh,93
!,!,p
malheureux,malheureux,21
",",",",p
tu,tu,51
ne,ne,60
m',je,51
offres,offrir,17
que,que,83
des,de,81
des,le,71
passions,passion,22
",",",",p
et,et,82
tu,tu,51
oses,oser,17
accuser,accuser,14
le,le,71
ciel,ciel,21
/!,/!,P
quand,quand,83
tu,tu,51
auras,avoir,15
",",",",p
comme,comme,83
le,le,71
père,père,21
Aubry,Aubry,20
",",",",p
passé,passer,12
trente,trente,72
années,année,22
exilé,exilé,31
sur,sur,81
les,le,71
montagnes,montagne,22
",",",",p
tu,tu,51
seras,être,15
moins,moins,60
prompt,prompt,30
à,à,81
juger,juger,14
des,de,81
des,le,71
desseins,dessein,21
de,de,81
la,le,71
providence,providence,22
;,;,p
tu,tu,51
comprendras,comprendre,15
alors,alors,60
que,que,83
tu,tu,51
ne,ne,60
sais,savoir,17
rien,rien,52
",",",",p
que,que,83
tu,tu,51
n',ne,60
es,être,17
rien,rien,52
",",",",p
et,et,82
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
point,point,60
de,de,81
châtiment,châtiment,21
si,si,60
rigoureux,rigoureux,30
",",",",p
point,point,60
de,de,81
maux,mal,21
si,si,60
terribles,terrible,30
",",",",p
que,que,83
la,le,71
chair,chair,22
corrompue,corrompu,31
ne,ne,60
mérite,mériter,17
de,de,81
souffrir,souffrir,14
/.,/.,P
les,le,71
éclairs,éclair,21
qui,qui,52
sortaient,sortir,18
des,de,81
des,le,71
yeux,oeil,21
du,de,81
du,le,71
vieillard,vieillard,21
",",",",p
sa,son,73
barbe,barbe,22
qui,qui,52
frappait,frapper,18
la,le,71
poitrine,poitrine,22
",",",",p
ses,son,73
paroles,parole,22
foudroyantes,foudroyant,30
le,le,52
rendaient,rendre,18
semblable,semblable,30
à,à,81
un,un,71
dieu,dieu,21
/.,/.,P
accablé,accablé,31
de,de,81
sa,son,73
majesté,majesté,22
",",",",p
je,je,51
tombai,tomber,19
à,à,81
ses,son,73
genoux,genou,21
",",",",p
et,et,82
lui,lui,51
demandai,demander,19
pardon,pardon,21
de,de,81
mes,mon,73
emportements,emportement,21
/.,/.,P
mon,mon,73
fils,fils,21
",",",",p
me,je,51
répondit,répondre,19
il,il,51
avec,avec,81
un,un,71
accent,accent,21
si,si,60
doux,doux,30
",",",",p
que,que,83
le,le,71
remords,remords,21
entra,entrer,19
dans,dans,81
mon,mon,73
âme,âme,22
",",",",p
mon,mon,73
fils,fils,21
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
pour,pour,81
moi-même,moi-même,51
que,que,83
je,je,51
vous,vous,51
ai,avoir,17
réprimandé,réprimander,12
/.,/.,P
hélas,hélas,60
!,!,p
vous,vous,51
avez,avoir,17
raison,raison,22
",",",",p
mon,mon,73
cher,cher,30
enfant,enfant,21
:,:,p
je,je,51
suis,être,17
venu,venir,12
faire,faire,14
bien,bien,60
peu,peu,60
de,de,81
chose,chose,22
dans,dans,81
ces,ce,74
forêts,forêt,22
",",",",p
et,et,82
dieu,dieu,21
n',ne,60
a,avoir,17
pas,pas,60
de,de,81
serviteur,serviteur,21
plus,plus,60
indigne,indigne,30
que,que,83
moi,moi,51
/.,/.,P
mais,mais,82
",",",",p
mon,mon,73
fils,fils,21
",",",",p
le,le,71
ciel,ciel,21
",",",",p
le,le,71
ciel,ciel,21
",",",",p
voilà,voilà,81
ce,ce,52
qu',que,52
il,il,51
ne,ne,60
faut,falloir,17
jamais,jamais,60
accuser,accuser,14
/!,/!,P
pardonnez,pardonner,17
moi,moi,51
si,si,83
je,je,51
vous,vous,51
ai,avoir,17
offensé,offenser,12
",",",",p
mais,mais,82
écoutons,écouter,17
votre,votre,73
soeur,soeur,22
/.,/.,P
il,il,51
y,y,52
a,avoir,17
peut-être,peut-être,60
du,de,81
du,le,71
remède,remède,21
",",",",p
ne,ne,60
nous,nous,51
lassons,lasser,17
point,point,60
d',de,81
espérer,espérer,14
/.,/.,P
Chactas,Chactas,20
",",",",p
c',ce,52
est,être,17
une,un,71
religion,religion,22
bien,bien,60
divine,divin,30
que,que,83
celle-là,celui-là,52
qui,qui,52
a,avoir,17
fait,faire,12
une,un,71
vertu,vertu,22
de,de,81
l',le,71
espérance,espérance,22
/!,/!,P
mon,mon,73
jeune,jeune,30
ami,ami,21
",",",",p
reprit,reprendre,19
Atala,Atala,20
",",",",p
tu,tu,51
as,avoir,17
été,être,12
témoin,témoin,21
de,de,81
mes,mon,73
combats,combat,21
",",",",p
et,et,82
cependant,cependant,82
tu,tu,51
n',ne,60
en,en,52
as,avoir,17
vu,voir,12
que,que,83
la,le,71
moindre,moindre,30
partie,partie,22
;,;,p
je,je,51
te,tu,51
cachais,cacher,18
le,le,71
reste,reste,21
/.,/.,P
non,non,60
",",",",p
l',le,71
esclave,esclave,21
noir,noir,30
qui,qui,52
arrose,arroser,17
de,de,81
ses,son,73
sueurs,sueur,22
les,le,71
sables,sable,21
ardents,ardent,30
de,de,81
la,le,71
Floride,Floride,20
est,être,17
moins,moins,60
misérable,misérable,30
que,que,83
n',ne,60
a,avoir,17
été,être,12
Atala,Atala,20
/.,/.,P
te,tu,51
sollicitant,solliciter,13
à,à,81
la,le,71
fuite,fuite,22
",",",",p
et,et,82
pourtant,pourtant,60
certaine,certain,30
de,de,81
mourir,mourir,14
si,si,83
tu,tu,51
t',tu,51
éloignais,éloigner,18
de,de,81
moi,moi,51
;,;,p
craignant,craindre,13
de,de,81
fuir,fuir,14
avec,avec,81
toi,toi,51
dans,dans,81
les,le,71
déserts,désert,21
",",",",p
et,et,82
cependant,cependant,82
haletant,haleter,13
après,après,81
l',le,71
ombrage,ombrage,21
des,de,81
des,le,71
bois,bois,21
/…,/…,P
ah,ah,93
!,!,p
s',si,83
il,il,51
n',ne,60
avait,avoir,18
fallu,falloir,12
que,que,83
quitter,quitter,14
parents,parent,21
",",",",p
amis,ami,21
",",",",p
patrie,patrie,22
;,;,p
si,si,83
même,même,60
(,(,p
chose,chose,22
affreuse,affreux,30
),),p
il,il,51
n',ne,60
y,y,52
eût,avoir,19
eu,avoir,12
que,que,83
la,le,71
perte,perte,22
de,de,81
mon,mon,73
âme,âme,22
/!,/!,P
mais,mais,82
ton,ton,73
ombre,ombre,22
",",",",p
ô,oh,93
ma,mon,73
mère,mère,22
",",",",p
ton,ton,73
ombre,ombre,22
était,être,18
toujours,toujours,60
là,là,60
",",",",p
me,je,51
reprochant,reprocher,13
ses,son,73
tourments,tourment,21
/!,/!,P
j',je,51
entendais,entendre,18
tes,ton,73
plaintes,plainte,22
",",",",p
je,je,51
voyais,voir,18
les,le,71
flammes,flamme,22
de,de,81
l',le,71
enfer,enfer,21
te,tu,51
consumer,consumer,14
/.,/.,P
mes,mon,73
nuits,nuit,22
étaient,être,18
arides,aride,30
et,et,82
pleines,plein,30
de,de,81
fantômes,fantôme,21
",",",",p
mes,mon,73
jours,jour,21
étaient,être,18
désolés,désoler,12
;,;,p
la,le,71
rosée,rosée,22
du,de,81
du,le,71
soir,soir,21
séchait,sécher,18
en,en,81
tombant,tomber,13
sur,sur,81
ma,mon,73
peau,peau,22
brûlante,brûlant,30
;,;,p
j',je,51
entrouvrais,entrouvrir,18
mes,mon,73
lèvres,lèvre,22
aux,à,81
aux,le,71
brises,brise,22
",",",",p
et,et,82
les,le,71
brises,brise,22
",",",",p
loin,loin,60
de,de,81
m',je,51
apporter,apporter,14
la,le,71
fraîcheur,fraîcheur,22
",",",",p
s',se,51
embrasaient,embraser,18
du,de,81
du,le,71
feu,feu,21
de,de,81
mon,mon,73
souffle,souffle,21
/.,/.,P
quel,quel,75
tourment,tourment,21
de,de,81
te,tu,51
voir,voir,14
sans,sans,81
cesse,cesse,22
auprès,auprès,60
de,de,81
moi,moi,51
",",",",p
loin,loin,60
de,de,81
tous,tout,75
les,le,71
hommes,homme,21
",",",",p
dans,dans,81
de,de,81
profondes,profond,30
solitudes,solitude,22
",",",",p
et,et,82
de,de,81
sentir,sentir,14
entre,entre,81
toi,toi,51
et,et,82
moi,moi,51
une,un,71
barrière,barrière,22
invincible,invincible,30
/!,/!,P
passer,passer,14
ma,mon,73
vie,vie,22
à,à,81
tes,ton,73
pieds,pied,21
",",",",p
te,tu,51
servir,servir,14
comme,comme,83
ton,ton,73
esclave,esclave,22
",",",",p
apprêter,apprêter,14
ton,ton,73
repas,repas,21
et,et,82
ta,ton,73
couche,couche,22
dans,dans,81
quelque,quelque,75
coin,coin,21
ignoré,ignoré,31
de,de,81
l',le,71
univers,univers,21
",",",",p
eût,avoir,19
été,être,12
pour,pour,81
moi,moi,51
le,le,71
bonheur,bonheur,21
suprême,suprême,30
;,;,p
ce,ce,74
bonheur,bonheur,21
",",",",p
j',je,51
y,y,52
touchais,toucher,18
",",",",p
et,et,82
je,je,51
ne,ne,60
pouvais,pouvoir,18
en,en,52
jouir,jouir,14
/.,/.,P
quel,quel,75
dessein,dessein,21
n',ne,60
ai,avoir,17
je,je,51
point,point,60
rêvé,rêver,12
/!,/!,P
quel,quel,75
songe,songe,21
n',ne,60
est,être,17
point,point,60
sorti,sortir,12
de,de,81
ce,ce,74
coeur,coeur,21
si,si,60
triste,triste,30
/!,/!,P
quelquefois,quelquefois,60
en,en,81
attachant,attacher,13
mes,mon,73
yeux,oeil,21
sur,sur,81
toi,toi,51
",",",",p
j',je,51
allais,aller,18
jusqu',jusque,81
à,à,81
former,former,14
des,de,81
des,le,71
désirs,désir,21
aussi,aussi,60
insensés,insensé,30
que,que,83
coupables,coupable,30
:,:,p
tantôt,tantôt,60
j',je,51
aurais,avoir,16
voulu,vouloir,12
être,être,14
avec,avec,81
toi,toi,51
la,le,71
seule,seul,30
créature,créature,22
vivante,vivant,30
sur,sur,81
la,le,71
terre,terre,22
