11240
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-neuvième extrait>,<>,<>
",",",",p
que,que,83
je,je,51
me,je,51
sentais,sentir,18
comme,comme,83
perdu,perdu,31
/.,/.,P
toutes,tout,75
les,le,71
actions,action,22
de,de,81
ma,mon,73
vie,vie,22
m',je,51
apparaissaient,apparaître,18
sous,sous,81
leur,leur,73
côté,côté,21
le,le,71
plus,plus,60
défavorable,défavorable,30
",",",",p
et,et,82
dans,dans,81
l',le,71
espèce,espèce,22
d',de,81
examen,examen,21
de,de,81
conscience,conscience,22
auquel,à,81
auquel,lequel,52
je,je,51
me,je,51
livrais,livrer,18
",",",",p
la,le,71
mémoire,mémoire,22
me,je,51
représentait,représenter,18
les,le,71
faits,fait,21
les,le,71
plus,plus,60
anciens,ancien,30
avec,avec,81
une,un,71
netteté,netteté,22
singulière,singulier,30
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
quelle,quel,75
fausse,faux,30
honte,honte,22
m',je,51
empêcha,empêcher,19
de,de,81
me,je,51
présenter,présenter,14
au,à,81
au,le,71
confessionnal,confessionnal,21
;,;,p
la,le,71
crainte,crainte,22
peut-être,peut-être,60
de,de,81
m',je,51
engager,engager,14
dans,dans,81
les,le,71
dogmes,dogme,21
et,et,82
dans,dans,81
les,le,71
pratiques,pratique,22
d',de,81
une,un,71
religion,religion,22
redoutable,redoutable,30
",",",",p
contre,contre,81
certains,certain,75
points,point,21
de,de,81
laquelle,lequel,52
j',je,51
avais,avoir,18
conservé,conserver,12
des,de,81
des,le,71
préjugés,préjugé,21
philosophiques,philosophique,30
/.,/.,P
mes,mon,73
premières,premier,72
années,année,22
ont,avoir,17
été,être,12
trop,trop,60
imprégnées,imprégner,12
des,de,81
des,le,71
idées,idée,22
issues,issu,30
de,de,81
la,le,71
révolution,révolution,22
",",",",p
mon,mon,73
éducation,éducation,22
a,avoir,17
été,être,12
trop,trop,60
libre,libre,30
",",",",p
ma,mon,73
vie,vie,22
trop,trop,60
errante,errant,30
",",",",p
pour,pour,81
que,que,83
j',je,51
accepte,accepter,17
facilement,facilement,60
un,un,71
joug,joug,21
qui,qui,52
sur,sur,81
bien,bien,60
des,de,81
des,le,71
points,point,21
offenserait,offenser,16
encore,encore,60
ma,mon,73
raison,raison,22
/.,/.,P
je,je,51
frémis,frémir,17
en,en,81
songeant,songer,13
quel,quel,75
chrétien,chrétien,21
je,je,51
ferais,faire,16
si,si,83
certains,certain,75
principes,principe,21
empruntés,emprunté,31
au,à,81
au,le,71
libre,libre,30
examen,examen,21
des,de,81
des,le,71
deux,deux,72
derniers,dernier,30
siècles,siècle,21
",",",",p
si,si,83
l',le,71
étude,étude,22
encore,encore,60
des,de,81
des,le,71
diverses,divers,30
religions,religion,22
ne,ne,60
m',je,51
arrêtait,arrêter,18
pas,pas,60
sur,sur,81
cette,ce,74
pente,pente,22
/.,/.,P
-,-,p
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
connu,connaître,12
ma,mon,73
mère,mère,22
qui,qui,52
avait,avoir,18
voulu,vouloir,12
suivre,suivre,14
mon,mon,73
père,père,21
aux,à,81
aux,le,71
armées,armée,22
",",",",p
comme,comme,83
les,le,71
femmes,femme,22
des,de,81
des,le,71
anciens,ancien,30
Germains,Germain,20
;,;,p
elle,il,51
mourut,mourir,19
de,de,81
fièvre,fièvre,22
et,et,82
de,de,81
fatigue,fatigue,22
dans,dans,81
une,un,71
froide,froid,30
contrée,contrée,22
d',de,81
Allemagne,Allemagne,20
",",",",p
et,et,82
mon,mon,73
père,père,21
lui-même,lui-même,51
ne,ne,60
put,pouvoir,19
diriger,diriger,14
là-dessus,là-dessus,60
mes,mon,73
premières,premier,72
idées,idée,22
/.,/.,P
le,le,71
pays,pays,21
où,où,60
je,je,51
fus,être,19
élevé,élever,12
était,être,18
plein,plein,30
de,de,81
légendes,légende,22
et,et,82
de,de,81
superstitions,superstition,22
bizarres,bizarre,30
/.,/.,P
un,un,52
de,de,81
mes,mon,73
oncles,oncle,21
qui,qui,52
eut,avoir,19
la,le,71
plus,plus,60
grande,grand,30
influence,influence,22
sur,sur,81
ma,mon,73
première,premier,72
éducation,éducation,22
s',se,51
occupait,occuper,18
",",",",p
pour,pour,81
se,se,51
distraire,distraire,14
",",",",p
d',de,81
antiquités,antiquité,22
romaines,romain,30
et,et,82
celtiques,celtique,30
/.,/.,P
il,il,51
trouvait,trouver,18
parfois,parfois,60
",",",",p
dans,dans,81
son,son,73
champ,champ,21
ou,ou,82
aux,à,81
aux,le,71
environs,environs,21
",",",",p
des,de,81
des,le,71
images,image,22
de,de,81
dieux,dieu,21
et,et,82
d',de,81
empereurs,empereur,21
que,que,52
son,son,73
admiration,admiration,22
de,de,81
savant,savant,21
me,je,51
faisait,faire,18
vénérer,vénérer,14
",",",",p
et,et,82
dont,dont,52
ses,son,73
livres,livre,21
m',je,51
apprenaient,apprendre,18
l',le,71
histoire,histoire,22
/.,/.,P
un,un,71
certain,certain,75
Mars,Mars,20
en,en,81
bronze,bronze,21
doré,doré,31
",",",",p
une,un,71
Pallas,Pallas,20
ou,ou,82
Vénus,Vénus,20
armée,armé,31
",",",",p
un,un,71
Neptune,Neptune,20
et,et,82
une,un,71
Amphitrite,Amphitrite,20
sculptés,sculpté,31
au-dessus,au-dessus,60
de,de,81
la,le,71
fontaine,fontaine,22
du,de,81
du,le,71
hameau,hameau,21
",",",",p
et,et,82
surtout,surtout,60
la,le,71
bonne,bon,30
grosse,gros,30
figure,figure,22
barbue,barbu,30
d',de,81
un,un,71
dieu,dieu,21
Pan,Pan,20
souriant,souriant,30
à,à,81
l',le,71
entrée,entrée,22
d',de,81
une,un,71
grotte,grotte,22
",",",",p
parmi,parmi,81
les,le,71
festons,feston,21
de,de,81
l',le,71
aristoloche,aristoloche,22
et,et,82
du,de,81
du,le,71
lierre,lierre,21
",",",",p
étaient,être,18
les,le,71
dieux,dieu,21
domestiques,domestique,30
et,et,82
protecteurs,protecteur,30
de,de,81
cette,ce,74
retraite,retraite,22
/.,/.,P
j',je,51
avoue,avouer,17
qu',que,83
ils,ils,51
m',je,51
inspiraient,inspirer,18
alors,alors,60
plus,plus,60
de,de,81
vénération,vénération,22
que,que,83
les,le,71
pauvres,pauvre,30
images,image,22
chrétiennes,chrétien,30
de,de,81
l',le,71
église,église,22
et,et,82
les,le,71
deux,deux,72
saints,saint,21
informes,informe,30
du,de,81
du,le,71
portail,portail,21
",",",",p
que,que,52
certains,certain,75
savants,savant,21
prétendaient,prétendre,18
être,être,14
l',le,71
Esus,Esus,20
et,et,82
le,le,71
Cernunnos,Cernunnos,20
des,de,81
des,le,71
Gaulois,Gaulois,20
/.,/.,P
embarrassé,embarrassé,31
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ces,ce,74
divers,divers,30
symboles,symbole,21
",",",",p
je,je,51
demandai,demander,19
un,un,71
jour,jour,21
à,à,81
mon,mon,73
oncle,oncle,21
ce,ce,52
que,que,52
c',ce,52
était,être,18
que,que,83
dieu,dieu,21
/.,/.,P
“,“,p
dieu,dieu,21
",",",",p
c',ce,52
est,être,17
le,le,71
soleil,soleil,21
“,“,p
",",",",p
me,je,51
dit,dire,19
il,il,51
/.,/.,P
c',ce,52
était,être,18
la,le,71
pensée,pensée,22
intime,intime,30
d',de,81
un,un,71
honnête,honnête,30
homme,homme,21
qui,qui,52
avait,avoir,18
vécu,vivre,12
en,en,81
chrétien,chrétien,21
toute,tout,75
sa,son,73
vie,vie,22
",",",",p
mais,mais,82
qui,qui,52
avait,avoir,18
traversé,traverser,12
la,le,71
révolution,révolution,22
",",",",p
et,et,82
qui,qui,52
était,être,18
d',de,81
une,un,71
contrée,contrée,22
où,où,60
plusieurs,plusieurs,75
avaient,avoir,18
la,le,71
même,même,75
idée,idée,22
de,de,81
la,le,71
divinité,divinité,22
/.,/.,P
cela,cela,52
n',ne,60
empêchait,empêcher,18
pas,pas,60
que,que,83
les,le,71
femmes,femme,22
et,et,82
les,le,71
enfants,enfant,21
n',ne,60
allassent,aller,18
à,à,81
l',le,71
église,église,22
",",",",p
et,et,82
je,je,51
dus,devoir,19
à,à,81
l',le,71
une,un,52
de,de,81
mes,mon,73
tantes,tante,22
quelques,quelque,75
instructions,instruction,22
qui,qui,52
me,je,51
firent,faire,19
comprendre,comprendre,14
les,le,71
beautés,beauté,22
et,et,82
les,le,71
grandeurs,grandeur,22
du,de,81
du,le,71
christianisme,christianisme,21
/.,/.,P
après,après,81
<Nombre 1815>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quinze,quinze,72
<Fin nombre>,<>,<>
",",",",p
un,un,71
Anglais,Anglais,20
qui,qui,52
se,se,51
trouvait,trouver,18
dans,dans,81
notre,notre,73
pays,pays,21
me,je,51
fit,faire,19
apprendre,apprendre,14
le,le,71
sermon,sermon,21
sur,sur,81
la,le,71
montagne,montagne,22
et,et,82
me,je,51
donna,donner,19
un,un,71
nouveau,nouveau,30
testament,testament,21
/…,/…,P
je,je,51
ne,ne,60
cite,citer,17
ces,ce,74
détails,détail,21
que,que,83
pour,pour,81
indiquer,indiquer,14
les,le,71
causes,cause,22
d',de,81
une,un,71
certaine,certain,75
irrésolution,irrésolution,22
qui,qui,52
s',se,51
est,être,17
souvent,souvent,60
unie,unir,12
chez,chez,81
moi,moi,51
à,à,81
l',le,71
esprit,esprit,21
religieux,religieux,30
le,le,71
plus,plus,60
prononcé,prononcé,31
/.,/.,P
je,je,51
veux,vouloir,17
expliquer,expliquer,14
comment,comment,60
",",",",p
éloigné,éloigné,31
longtemps,longtemps,60
de,de,81
la,le,71
vraie,vrai,30
route,route,22
",",",",p
je,je,51
m',je,51
y,y,52
suis,être,17
senti,sentir,12
ramené,ramené,31
par,par,81
le,le,71
souvenir,souvenir,21
chéri,chéri,31
d',de,81
une,un,71
personne,personne,22
morte,mort,31
",",",",p
et,et,82
comment,comment,60
le,le,71
besoin,besoin,21
de,de,81
croire,croire,14
qu',que,83
elle,il,51
existait,exister,18
toujours,toujours,60
a,avoir,17
fait,faire,12
rentrer,rentrer,14
dans,dans,81
mon,mon,73
esprit,esprit,21
le,le,71
sentiment,sentiment,21
précis,précis,30
des,de,81
des,le,71
diverses,divers,30
vérités,vérité,22
que,que,52
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
assez,assez,60
fermement,fermement,60
recueillies,recueillir,12
en,en,81
mon,mon,73
âme,âme,22
/.,/.,P
le,le,71
désespoir,désespoir,21
et,et,82
le,le,71
suicide,suicide,21
sont,être,17
le,le,71
résultat,résultat,21
de,de,81
certaines,certain,75
situations,situation,22
fatales,fatal,30
pour,pour,81
qui,qui,52
n',ne,60
a,avoir,17
pas,pas,60
foi,foi,22
dans,dans,81
l',le,71
immortalité,immortalité,22
",",",",p
dans,dans,81
ses,son,73
peines,peine,22
et,et,82
dans,dans,81
ses,son,73
joies,joie,22
:,:,p
-,-,p
je,je,51
croirai,croire,15
avoir,avoir,14
fait,faire,12
quelque,quelque,75
chose,chose,22
de,de,81
bon,bon,30
et,et,82
d',de,81
utile,utile,30
en,en,81
énonçant,énoncer,13
naïvement,naïvement,60
la,le,71
succession,succession,22
des,de,81
des,le,71
idées,idée,22
par,par,81
lesquelles,lequel,52
j',je,51
ai,avoir,17
retrouvé,retrouver,12
le,le,71
repos,repos,21
et,et,82
une,un,71
force,force,22
nouvelle,nouveau,30
à,à,81
opposer,opposer,14
aux,à,81
aux,le,71
malheurs,malheur,21
futurs,futur,30
de,de,81
la,le,71
vie,vie,22
/.,/.,P
les,le,71
visions,vision,22
qui,qui,52
s',se,51
étaient,être,18
succédé,succéder,12
pendant,pendant,81
mon,mon,73
sommeil,sommeil,21
m',je,51
avaient,avoir,18
réduit,réduire,12
à,à,81
un,un,71
désespoir,désespoir,21
",",",",p
que,que,83
je,je,51
pouvais,pouvoir,18
à,à,81
peine,peine,22
parler,parler,14
;,;,p
la,le,71
société,société,22
de,de,81
mes,mon,73
amis,ami,21
ne,ne,60
m',je,51
inspirait,inspirer,18
qu',que,83
une,un,71
distraction,distraction,22
vague,vague,30
;,;,p
mon,mon,73
esprit,esprit,21
",",",",p
entièrement,entièrement,60
occupé,occupé,31
de,de,81
ces,ce,74
illusions,illusion,22
",",",",p
se,se,51
refusait,refuser,18
à,à,81
la,le,71
moindre,moindre,30
conception,conception,22
différente,différent,30
;,;,p
je,je,51
ne,ne,60
pouvais,pouvoir,18
lire,lire,14
et,et,82
comprendre,comprendre,14
dix,dix,72
lignes,ligne,22
de,de,81
suite,suite,22
/.,/.,P
je,je,51
me,je,51
disais,dire,18
des,de,81
des,le,71
plus,plus,60
belles,beau,30
choses,chose,22
:,:,p
“,“,p
qu',que,52
importe,importer,17
!,!,p
cela,cela,52
n',ne,60
existe,exister,17
pas,pas,60
pour,pour,81
moi,moi,51
/.,/.,P
“,“,p
un,un,52
de,de,81
mes,mon,73
amis,ami,21
",",",",p
nommé,nommé,31
Georges,Georges,20
",",",",p
entreprit,entreprendre,19
de,de,81
vaincre,vaincre,14
ce,ce,74
découragement,découragement,21
/.,/.,P
il,il,51
m',je,51
emmenait,emmener,18
dans,dans,81
diverses,divers,30
contrées,contrée,22
des,de,81
des,le,71
environs,environs,21
de,de,81
Paris,Paris,20
",",",",p
et,et,82
consentait,consentir,18
à,à,81
parler,parler,14
seul,seul,30
",",",",p
tandis que,tandis que,83
je,je,51
ne,ne,60
répondais,répondre,18
qu',que,83
avec,avec,81
quelques,quelque,75
phrases,phrase,22
décousues,décousu,31
/.,/.,P
sa,son,73
figure,figure,22
expressive,expressif,30
",",",",p
et,et,82
presque,presque,60
cénobitique,cénobitique,30
",",",",p
donna,donner,19
un,un,71
jour,jour,21
un,un,71
grand,grand,30
effet,effet,21
à,à,81
des,de,81
des,le,71
choses,chose,22
fort,fort,60
éloquentes,éloquent,30
qu',que,52
il,il,51
trouva,trouver,19
contre,contre,81
ces,ce,74
années,année,22
de,de,81
scepticisme,scepticisme,21
et,et,82
de,de,81
découragement,découragement,21
politique,politique,30
et,et,82
social,social,30
qui,qui,52
succédèrent,succéder,19
à,à,81
la,le,71
révolution,révolution,22
de,de,81
juillet,juillet,21
/.,/.,P
j',je,51
avais,avoir,18
été,être,12
l',le,71
un,un,52
des,de,81
des,le,71
jeunes,jeune,21
de,de,81
cette,ce,74
époque,époque,22
",",",",p
et,et,82
j',je,51
en,en,52
avais,avoir,18
goûté,goûter,12
les,le,71
ardeurs,ardeur,22
et,et,82
les,le,71
amertumes,amertume,22
/.,/.,P
un,un,71
mouvement,mouvement,21
se,se,51
fit,faire,19
en,en,81
moi,moi,51
;,;,p
je,je,51
me,je,51
dis,dire,19
que,que,83
de,de,81
telles,tel,75
leçons,leçon,22
ne,ne,60
pouvaient,pouvoir,18
être,être,14
données,donner,12
sans,sans,81
une,un,71
intention,intention,22
de,de,81
la,le,71
providence,providence,22
",",",",p
et,et,82
qu',que,83
un,un,71
esprit,esprit,21
parlait,parler,18
sans,sans,81
doute,doute,21
en,en,81
lui,lui,51
/…,/…,P
un,un,71
jour,jour,21
",",",",p
nous,nous,51
dînions,dîner,18
sous,sous,81
une,un,71
treille,treille,22
",",",",p
dans,dans,81
un,un,71
petit,petit,30
village,village,21
des,de,81
des,le,71
environs,environs,21
de,de,81
Paris,Paris,20
;,;,p
une,un,71
femme,femme,22
vint,venir,19
chanter,chanter,14
près,près,81
de,de,81
notre,notre,73
table,table,22
",",",",p
et,et,82
je,je,51
ne,ne,60
sais,savoir,17
quoi,quoi,52
",",",",p
dans,dans,81
sa,son,73
voix,voix,22
usée,usé,31
mais,mais,82
sympathique,sympathique,30
",",",",p
me,je,51
rappela,rappeler,19
celle,celui,52
d',de,81
Aurélia,Aurélia,20
/.,/.,P
je,je,51
la,le,52
regardai,regarder,19
:,:,p
ses,son,73
traits,trait,21
mêmes,même,30
n',ne,60
étaient,être,18
pas,pas,60
sans,sans,81
ressemblance,ressemblance,22
avec,avec,81
ceux,celui,52
que,que,52
j',je,51
avais,avoir,18
aimés,aimer,12
/.,/.,P
on,on,51
la,le,52
renvoya,renvoyer,19
et,et,82
je,je,51
n',ne,60
osai,oser,19
la,le,52
retenir,retenir,14
",",",",p
mais,mais,82
je,je,51
me,je,51
disais,dire,18
:,:,p
“,“,p
qui,qui,52
sait,savoir,17
si,si,83
son,son,73
esprit,esprit,21
n',ne,60
est,être,17
pas,pas,60
dans,dans,81
cette,ce,74
femme,femme,22
!,!,p
et,et,82
je,je,51
me,je,51
sentis,sentir,19
heureux,heureux,30
de,de,81
l',le,71
aumône,aumône,22
que,que,52
j',je,51
avais,avoir,18
faite,faire,12
/.,/.,P
je,je,51
me,je,51
dis,dire,17
:,:,p
“,“,p
j',je,51
ai,avoir,17
bien,bien,60
mal,mal,60
usé,user,12
de,de,81
ma,mon,73
vie,vie,22
",",",",p
mais,mais,82
si,si,83
les,le,71
morts,mort,21
pardonnent,pardonner,17
",",",",p
c',ce,52
est,être,17
sans,sans,81
doute,doute,21
à,à,81
condition,condition,22
que,que,83
l',l',94
on,on,51
s',se,51
abstiendra,abstenir,15
à,à,81
jamais,jamais,60
du,de,81
du,le,71
mal,mal,21
",",",",p
et,et,82
qu',que,83
on,on,51
réparera,réparer,15
tout,tout,75
celui,celui,52
qu',que,52
on,on,51
a,avoir,17
fait,faire,12
/.,/.,P
cela,cela,52
se,se,51
peut,pouvoir,17
il,il,51
?,?,p
dès,dès,81
ce,ce,74
moment,moment,21
",",",",p
essayons,essayer,17
de,de,81
ne,ne,60
plus,plus,60
mal,mal,60
faire,faire,14
",",",",p
et,et,82
rendons,rendre,17
l',le,71
équivalent,équivalent,21
de,de,81
tout,tout,52
ce,ce,52
que,que,52
nous,nous,51
pouvons,pouvoir,17
devoir,devoir,14
/.,/.,P
“,“,p
j',je,51
avais,avoir,18
un,un,71
tort,tort,21
récent,récent,30
envers,envers,81
une,un,71
personne,personne,22
;,;,p
ce,ce,52
n',ne,60
était,être,18
qu',que,83
une,un,71
négligence,négligence,22
",",",",p
mais,mais,82
je,je,51
commençai,commencer,19
par,par,81
m',je,51
en,en,52
aller,aller,14
excuser,excuser,14
/.,/.,P
la,le,71
joie,joie,22
que,que,52
je,je,51
reçus,recevoir,19
de,de,81
cette,ce,74
réparation,réparation,22
me,je,51
fit,faire,19
un,un,71
bien,bien,21
extrême,extrême,30
;,;,p
j',je,51
avais,avoir,18
un,un,71
motif,motif,21
de,de,81
vivre,vivre,14
et,et,82
d',de,81
agir,agir,14
désormais,désormais,60
",",",",p
je,je,51
reprenais,reprendre,18
intérêt,intérêt,21
au,à,81
au,le,71
monde,monde,21
/.,/.,P
des,de,81
des,le,71
difficultés,difficulté,22
surgirent,surgir,19
:,:,p
des,de,81
des,le,71
événements,événement,21
inexplicables,inexplicable,30
pour,pour,81
moi,moi,51
semblèrent,sembler,19
se,se,51
réunir,réunir,14
pour,pour,81
contrarier,contrarier,14
ma,mon,73
bonne,bon,30
résolution,résolution,22
/.,/.,P
la,le,71
situation,situation,22
de,de,81
mon,mon,73
esprit,esprit,21
me,je,51
rendait,rendre,18
impossible,impossible,30
l',le,71
exécution,exécution,22
de,de,81
travaux,travail,21
convenus,convenu,31
/.,/.,P
me,je,51
croyant,croire,13
bien,bien,60
portant,portant,30
désormais,désormais,60
",",",",p
on,on,51
devenait,devenir,18
plus,plus,60
exigeant,exigeant,30
",",",",p
et,et,82
comme,comme,83
j',je,51
avais,avoir,18
renoncé,renoncer,12
au,à,81
au,le,71
mensonge,mensonge,21
",",",",p
je,je,51
me,je,51
trouvais,trouver,18
pris,pris,31
en,en,81
défaut,défaut,21
par,par,81
des,de,81
des,le,71
gens,gens,21
qui,qui,52
ne,ne,60
craignaient,craindre,18
pas,pas,60
d',de,81
en,en,52
user,user,14
/.,/.,P
la,le,71
masse,masse,22
des,de,81
des,le,71
réparations,réparation,22
à,à,81
faire,faire,14
m',je,51
écrasait,écraser,18
en,en,81
raison,raison,22
de,de,81
mon,mon,73
impuissance,impuissance,22
/.,/.,P
des,de,81
des,le,71
événements,événement,21
politiques,politique,30
agissaient,agir,18
indirectement,indirectement,60
",",",",p
tant,tant,60
pour,pour,81
m',je,51
affliger,affliger,14
que,que,83
pour,pour,81
m',je,51
ôter,ôter,14
le,le,71
moyen,moyen,21
de,de,81
mettre,mettre,14
ordre,ordre,21
à,à,81
mes,mon,73
affaires,affaire,22
/.,/.,P
la,le,71
mort,mort,22
d',de,81
un,un,52
de,de,81
mes,mon,73
amis,ami,21
vint,venir,19
compléter,compléter,14
ces,ce,74
motifs,motif,21
de,de,81
découragement,découragement,21
/.,/.,P
je,je,51
revis,revoir,19
avec,avec,81
douleur,douleur,22
son,son,73
logis,logis,21
",",",",p
ses,son,73
tableaux,tableau,21
qu',que,52
il,il,51
m',je,51
avait,avoir,18
montrés,montrer,12
avec,avec,81
joie,joie,22
un,un,71
mois,mois,21
auparavant,auparavant,60
;,;,p
je,je,51
passai,passer,19
près,près,81
de,de,81
son,son,73
cercueil,cercueil,21
au,à,81
au,le,71
moment,moment,21
où,où,60
on,on,51
l',le,52
y,y,52
clouait,clouer,18
/.,/.,P
comme,comme,83
il,il,51
était,être,18
de,de,81
mon,mon,73
âge,âge,21
et,et,82
de,de,81
mon,mon,73
temps,temps,21
",",",",p
je,je,51
me,je,51
dis,dire,19
:,:,p
“,“,p
qu',que,52
arrivera,arriver,15
t,t,94
il,il,51
",",",",p
si,si,83
je,je,51
mourais,mourir,18
ainsi,ainsi,60
tout,tout,60
à,à,81
coup,coup,21
/?,/?,P
le,le,71
dimanche,dimanche,21
suivant,suivant,30
",",",",p
je,je,51
me,je,51
levai,lever,19
en,en,81
proie,proie,22
à,à,81
une,un,71
douleur,douleur,22
morne,morne,30
/.,/.,P
j',je,51
allai,aller,18
visiter,visiter,14
mon,mon,73
père,père,21
",",",",p
dont,dont,52
la,le,71
servante,servante,22
était,être,18
malade,malade,30
",",",",p
et,et,82
qui,qui,52
paraissait,paraître,18
avoir,avoir,14
de,de,81
l',le,71
humeur,humeur,22
/.,/.,P
il,il,51
voulut,vouloir,19
aller,aller,14
seul,seul,30
chercher,chercher,14
du,de,81
du,le,71
bois,bois,21
à,à,81
son,son,73
grenier,grenier,21
",",",",p
et,et,82
je,je,51
ne,ne,60
pus,pouvoir,19
lui,lui,51
rendre,rendre,14
que,que,83
le,le,71
service,service,21
de,de,81
lui,lui,51
tendre,tendre,14
une,un,71
bûche,bûche,22
dont,dont,52
il,il,51
avait,avoir,18
besoin,besoin,21
/.,/.,P
je,je,51
sortis,sortir,19
consterné,consterné,31
/.,/.,P
je,je,51
rencontrai,rencontrer,19
dans,dans,81
les,le,71
rues,rue,22
un,un,71
ami,ami,21
qui,qui,52
voulait,vouloir,18
m',je,51
emmener,emmener,14
dîner,dîner,14
chez,chez,81
lui,lui,51
pour,pour,81
me,je,51
distraire,distraire,14
un,un,71
peu,peu,60
/.,/.,P
je,je,51
refusai,refuser,19
",",",",p
et,et,82
",",",",p
sans,sans,81
avoir,avoir,14
mangé,manger,12
",",",",p
je,je,51
me,je,51
dirigeai,diriger,19
vers,vers,81
Montmartre,Montmartre,20
/.,/.,P
le,le,71
cimetière,cimetière,21
était,être,18
fermé,fermer,12
",",",",p
ce,ce,52
que,que,52
je,je,51
regardai,regarder,19
comme,comme,83
un,un,71
mauvais,mauvais,30
présage,présage,21
/.,/.,P
un,un,71
poète,poète,21
allemand,allemand,30
m',je,51
avait,avoir,18
donné,donner,12
quelques,quelque,75
pages,page,22
à,à,81
traduire,traduire,14
et,et,82
m',je,51
avait,avoir,18
avancé,avancer,12
une,un,71
somme,somme,22
sur,sur,81
ce,ce,74
travail,travail,21
/.,/.,P
je,je,51
pris,prendre,19
le,le,71
chemin,chemin,21
de,de,81
sa,son,73
maison,maison,22
pour,pour,81
lui,lui,51
rendre,rendre,14
l',le,71
argent,argent,21
/.,/.,P
en,en,81
tournant,tourner,13
la,le,71
barrière,barrière,22
de,de,81
Clichy,Clichy,20
",",",",p
je,je,51
fus,être,19
témoin,témoin,21
d',de,81
une,un,71
dispute,dispute,22
/.,/.,P
j',je,51
essayai,essayer,19
de,de,81
séparer,séparer,14
les,le,71
combattants,combattant,21
",",",",p
mais,mais,82
je,je,51
n',ne,60
y,y,52
pus,pouvoir,19
réussir,réussir,14
/.,/.,P
à,à,81
ce,ce,74
moment,moment,21
",",",",p
un,un,71
ouvrier,ouvrier,21
d',de,81
une,un,71
grande,grand,30
taille,taille,22
passa,passer,19
sur,sur,81
la,le,71
place,place,22
même,même,30
où,où,60
le,le,71
combat,combat,21
venait,venir,18
d',de,81
avoir,avoir,14
lieu,lieu,21
",",",",p
portant,porter,13
sur,sur,81
l',le,71
épaule,épaule,22
gauche,gauche,30
un,un,71
enfant,enfant,21
vêtu,vêtu,31
d',de,81
une,un,71
robe,robe,22
couleur,couleur,22
d',de,81
hyacinthe,hyacinthe,22
/.,/.,P
je,je,51
m',je,51
imaginai,imaginer,19
que,que,83
s',se,51
était,être,18
Saint Christophe,Saint Christophe,20
portant,porter,13
le,le,71
Christ,Christ,20
",",",",p
et,et,82
que,que,83
j',je,51
étais,être,18
condamné,condamner,12
pour,pour,81
avoir,avoir,14
manqué,manquer,12
de,de,81
force,force,22
dans,dans,81
la,le,71
scène,scène,22
qui,qui,52
venait,venir,18
de,de,81
se,se,51
passer,passer,14
/.,/.,P
à,à,81
dater,dater,14
de,de,81
ce,ce,74
moment,moment,21
",",",",p
j',je,51
errai,errer,19
en,en,81
proie,proie,22
au,à,81
au,le,71
désespoir,désespoir,21
dans,dans,81
les,le,71
terrains,terrain,21
vagues,vague,30
qui,qui,52
séparent,séparer,17
le,le,71
faubourg,faubourg,21
de,de,81
la,le,71
barrière,barrière,22
/.,/.,P
il,il,51
était,être,18
trop,trop,60
tard,tard,60
pour,pour,81
faire,faire,14
la,le,71
visite,visite,22
que,que,52
j',je,51
avais,avoir,18
projetée,projeter,12
/.,/.,P
je,je,51
revins,revenir,19
donc,donc,82
à,à,81
travers,travers,21
les,le,71
rues,rue,22
vers,vers,81
le,le,71
centre,centre,21
de,de,81
Paris,Paris,20
/.,/.,P
vers,vers,81
la,le,71
rue,rue,22
de,de,81
la,le,71
Victoire,Victoire,20
",",",",p
je,je,51
rencontrai,rencontrer,19
un,un,71
prêtre,prêtre,21
",",",",p
et,et,82
",",",",p
dans,dans,81
le,le,71
désordre,désordre,21
où,où,60
j',je,51
étais,être,18
",",",",p
je,je,51
voulus,vouloir,19
me,je,51
confesser,confesser,14
à,à,81
lui,lui,51
/.,/.,P
il,il,51
me,je,51
dit,dire,19
qu',que,83
il,il,51
n',ne,60
était,être,18
pas,pas,60
de,de,81
la,le,71
paroisse,paroisse,22
et,et,82
qu',que,83
il,il,51
allait,aller,18
en,en,81
soirée,soirée,22
chez,chez,81
quelqu'un,quelqu'un,52
;,;,p
que,que,83
si,si,83
je,je,51
voulais,vouloir,18
le,le,52
consulter,consulter,14
le,le,71
lendemain,lendemain,21
à,à,81
notre,notre,73
dame,dame,22
",",",",p
je,je,51
n',ne,60
avais,avoir,18
qu',que,83
à,à,81
demander,demander,14
l',le,71
abbé,abbé,21
Dubois,Dubois,20
/.,/.,P
désespéré,désespéré,31
",",",",p
je,je,51
me,je,51
dirigeai,diriger,19
en,en,81
pleurant,pleurer,13
vers,vers,81
Notre-Dame de Lorette,Notre-Dame de Lorette,20
",",",",p
où,où,60
j',je,51
allai,aller,18
me,je,51
jeter,jeter,14
au,à,81
au,le,71
pied,pied,21
de,de,81
l',le,71
autel,autel,21
de,de,81
la,le,71
Vierge,Vierge,20
",",",",p
demandant,demander,13
pardon,pardon,21
pour,pour,81
mes,mon,73
fautes,faute,22
/.,/.,P
