11958
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingtième extrait>,<>,<>
",",",",p
le,le,71
jeune,jeune,30
homme,homme,21
tourna,tourner,19
du,de,81
du,le,71
côté,côté,21
du,de,81
du,le,71
Pillon,Pillon,20
/.,/.,P
“,“,p
eh,eh,93
bien,bien,60
",",",",p
que,que,52
fait,faire,17
il,il,51
donc,donc,82
?,?,p
dit,dire,19
Caderousse,Caderousse,20
",",",",p
il,il,51
nous,nous,51
a,avoir,17
menti,mentir,12
:,:,p
il,il,51
a,avoir,17
dit,dire,12
qu',que,83
il,il,51
allait,aller,18
aux,à,81
aux,le,71
Catalans,Catalan,20
",",",",p
et,et,82
il,il,51
va,aller,17
à,à,81
la,le,71
ville,ville,22
/!,/!,P
holà,holà,93
/!,/!,P
Fernand,Fernand,20
!,!,p
tu,tu,51
te,tu,51
trompes,tromper,17
",",",",p
mon,mon,73
garçon,garçon,21
/!,/!,P
c',ce,52
est,être,17
toi,toi,51
qui,qui,52
vois,voir,17
trouble,trouble,30
",",",",p
dit,dire,19
Danglars,Danglars,20
",",",",p
il,il,51
suit,suivre,17
tout,tout,60
droit,droit,60
le,le,71
chemin,chemin,21
des,de,81
des,le,71
vieilles,vieux,30
infirmeries,infirmerie,22
/.,/.,P
-,-,p
en,en,81
vérité,vérité,22
!,!,p
dit,dire,19
Caderousse,Caderousse,20
",",",",p
eh,eh,93
bien,bien,60
",",",",p
j',je,51
aurais,avoir,16
juré,jurer,12
qu',que,83
il,il,51
tournait,tourner,18
à,à,81
droite,droite,22
;,;,p
décidément,décidément,60
le,le,71
vin,vin,21
est,être,17
un,un,71
traître,traître,21
/.,/.,P
-,-,p
allons,aller,17
",",",",p
allons,aller,17
",",",",p
murmura,murmurer,19
Danglars,Danglars,20
",",",",p
je,je,51
crois,croire,17
que,que,83
maintenant,maintenant,60
la,le,71
chose,chose,22
est,être,17
bien,bien,60
lancée,lancer,12
",",",",p
et,et,82
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
qu',que,83
à,à,81
la,le,52
laisser,laisser,14
marcher,marcher,14
toute,tout,60
seule,seul,30
/.,/.,P
“,“,p
<Chapitre V>,<>,<>
le,le,71
repas,repas,21
de,de,81
fiançailles,fiançaille,22
le,le,71
lendemain,lendemain,21
fut,être,19
un,un,71
beau,beau,30
jour,jour,21
/.,/.,P
le,le,71
soleil,soleil,21
se,se,51
leva,lever,19
pur,pur,30
et,et,82
brillant,brillant,30
",",",",p
et,et,82
les,le,71
premiers,premier,72
rayons,rayon,21
d',de,81
un,un,71
rouge,rouge,21
pourpre,pourpre,30
diaprèrent,diaprer,19
de,de,81
leurs,leur,73
rubis,rubis,21
les,le,71
pointes,pointe,22
écumeuses,écumeux,30
des,de,81
des,le,71
vagues,vague,22
/.,/.,P
le,le,71
repas,repas,21
avait,avoir,18
été,être,12
préparé,préparer,12
au,à,81
au,le,71
premier,premier,72
étage,étage,21
de,de,81
cette,ce,74
même,même,75
réserve,réserve,22
",",",",p
avec,avec,81
la,le,71
tonnelle,tonnelle,22
de,de,81
laquelle,lequel,52
nous,nous,51
avons,avoir,17
déjà,déjà,60
fait,faire,12
connaissance,connaissance,22
/.,/.,P
c',ce,52
était,être,18
une,un,71
grande,grand,30
salle,salle,22
éclairée,éclairé,31
par,par,81
cinq,cinq,72
ou,ou,82
six,six,72
fenêtres,fenêtre,22
",",",",p
au-dessus,au-dessus,60
de,de,81
chacune,chacun,52
desquelles,de,81
desquelles,lequel,52
explique,expliquer,17
le,le,71
phénomène,phénomène,21
qui,qui,52
pourra,pouvoir,15
!,!,p
était,être,18
écrit,écrire,12
le,le,71
nom,nom,21
d',de,81
une,un,52
des,de,81
des,le,71
grandes,grand,30
villes,ville,22
de,de,81
France,France,20
/.,/.,P
une,un,71
balustrade,balustrade,22
en,en,81
bois,bois,21
",",",",p
comme,comme,83
le,le,71
reste,reste,21
du,de,81
du,le,71
bâtiment,bâtiment,21
",",",",p
régnait,régner,18
tout,tout,75
le,le,71
long,long,21
de,de,81
ces,ce,74
fenêtres,fenêtre,22
/.,/.,P
quoique,quoique,83
le,le,71
repas,repas,21
ne,ne,60
fût,être,19
indiqué,indiquer,12
que,que,83
pour,pour,81
midi,midi,21
",",",",p
dès,dès,81
onze,onze,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
",",",",p
cette,ce,74
balustrade,balustrade,22
était,être,18
chargée,charger,12
de,de,81
promeneurs,promeneur,21
impatients,impatient,30
/.,/.,P
c',ce,52
étaient,être,18
les,le,71
marins,marin,21
privilégiés,privilégié,31
du,de,81
du,le,71
Pharaon,Pharaon,20
et,et,82
quelques,quelque,75
soldats,soldat,21
",",",",p
amis,ami,21
de,de,81
Dantès,Dantès,20
/.,/.,P
tous,tout,52
avaient,avoir,18
",",",",p
pour,pour,81
faire,faire,14
honneur,honneur,21
aux,à,81
aux,le,71
fiancés,fiancé,21
",",",",p
fait,faire,12
voir,voir,14
le,le,71
jour,jour,21
à,à,81
leurs,leur,73
plus,plus,60
belles,beau,30
toilettes,toilette,22
/.,/.,P
le,le,71
bruit,bruit,21
circulait,circuler,18
",",",",p
parmi,parmi,81
les,le,71
futurs,futur,30
convives,convive,21
",",",",p
que,que,83
les,le,71
armateurs,armateur,21
du,de,81
du,le,71
Pharaon,Pharaon,20
devaient,devoir,18
honorer,honorer,14
de,de,81
leur,leur,73
présence,présence,22
le,le,71
repas,repas,21
de,de,81
noces,noce,22
de,de,81
leur,leur,73
second,second,72
;,;,p
mais,mais,82
c',ce,52
était,être,18
de,de,81
leur,leur,73
part,part,22
un,un,71
si,si,60
grand,grand,30
honneur,honneur,21
accordé,accordé,31
à,à,81
Dantès,Dantès,20
que,que,52
personne,personne,52
n',ne,60
osait,oser,18
encore,encore,60
y,y,52
croire,croire,14
/.,/.,P
cependant,cependant,82
Danglars,Danglars,20
",",",",p
en,en,81
arrivant,arriver,13
avec,avec,81
Caderousse,Caderousse,20
",",",",p
confirma,confirmer,19
à,à,81
son,son,73
tour,tour,21
cette,ce,74
nouvelle,nouvelle,22
/.,/.,P
il,il,51
avait,avoir,18
vu,voir,12
le,le,71
matin,matin,21
monsieur,monsieur,21
Morrel,Morrel,20
lui-même,lui-même,51
",",",",p
et,et,82
monsieur,monsieur,21
Morrel,Morrel,20
lui,lui,51
avait,avoir,18
dit,dire,12
qu',que,83
il,il,51
viendrait,venir,16
dîner,dîner,14
à,à,81
la,le,71
réserve,réserve,22
/.,/.,P
en,en,81
effet,effet,21
",",",",p
un,un,71
instant,instant,21
après,après,81
eux,ils,51
",",",",p
monsieur,monsieur,21
Morrel,Morrel,20
fit,faire,19
à,à,81
son,son,73
tour,tour,21
son,son,73
entrée,entrée,22
dans,dans,81
la,le,71
chambre,chambre,22
et,et,82
fut,être,19
salué,saluer,12
par,par,81
les,le,71
matelots,matelot,21
du,de,81
du,le,71
Pharaon,Pharaon,20
d',de,81
un,un,71
hourra,hourra,21
unanime,unanime,30
d',de,81
applaudissements,applaudissement,21
/.,/.,P
la,le,71
présence,présence,22
de,de,81
l',le,71
armateur,armateur,21
était,être,18
pour,pour,81
eux,ils,51
la,le,71
confirmation,confirmation,22
du,de,81
du,le,71
bruit,bruit,21
qui,qui,52
courait,courir,18
déjà,déjà,60
que,que,83
Dantès,Dantès,20
serait,être,16
nommé,nommer,12
capitaine,capitaine,21
;,;,p
et,et,82
comme,comme,83
Dantès,Dantès,20
était,être,18
fort,fort,60
aimé,aimer,12
à,à,81
bord,bord,21
",",",",p
ces,ce,74
braves,brave,30
gens,gens,21
remerciaient,remercier,18
ainsi,ainsi,60
l',le,71
armateur,armateur,21
de,de,81
ce,ce,52
qu',que,52
une,un,71
fois,fois,22
par,par,81
hasard,hasard,21
son,son,73
choix,choix,21
était,être,18
en,en,81
harmonie,harmonie,22
avec,avec,81
leurs,leur,73
désirs,désir,21
/.,/.,P
à,à,81
peine,peine,22
monsieur,monsieur,21
Morrel,Morrel,20
fut,être,19
il,il,51
entré,entrer,12
qu',que,83
on,on,51
dépêcha,dépêcher,19
unanimement,unanimement,60
Danglars,Danglars,20
et,et,82
Caderousse,Caderousse,20
vers,vers,81
le,le,71
fiancé,fiancé,21
:,:,p
ils,ils,51
avaient,avoir,18
mission,mission,22
de,de,81
le,le,52
prévenir,prévenir,14
de,de,81
l',le,71
arrivée,arrivée,22
du,de,81
du,le,71
personnage,personnage,21
important,important,30
dont,dont,52
la,le,71
vue,vue,22
avait,avoir,18
produit,produire,12
une,un,71
si,si,60
vive,vif,30
sensation,sensation,22
",",",",p
et,et,82
de,de,81
lui,lui,51
dire,dire,14
de,de,81
se,se,51
hâter,hâter,14
/.,/.,P
Danglars,Danglars,20
et,et,82
Caderousse,Caderousse,20
partirent,partir,19
tout,tout,60
courant,courir,13
",",",",p
mais,mais,82
ils,ils,51
n',ne,60
eurent,avoir,19
pas,pas,60
fait,faire,12
cent,cent,72
pas,pas,21
",",",",p
qu',que,83
à,à,81
la,le,71
hauteur,hauteur,22
du,de,81
du,le,71
magasin,magasin,21
à,à,81
poudre,poudre,22
ils,ils,51
aperçurent,apercevoir,19
la,le,71
petite,petit,30
troupe,troupe,22
qui,qui,52
venait,venir,18
/.,/.,P
cette,ce,74
petite,petit,30
troupe,troupe,22
se,se,51
composait,composer,18
de,de,81
quatre,quatre,72
jeunes,jeune,30
filles,fille,22
amies,ami,30
de,de,81
Mercédès,Mercédès,20
et,et,82
Catalanes,Catalan,20
comme,comme,83
elle,il,51
",",",",p
et,et,82
qui,qui,52
accompagnaient,accompagner,18
la,le,71
fiancée,fiancée,22
à,à,81
laquelle,lequel,52
Edmond,Edmond,20
donnait,donner,18
le,le,71
bras,bras,21
/.,/.,P
près,près,81
de,de,81
la,le,71
future,future,22
marchait,marcher,18
le,le,71
père,père,21
Dantès,Dantès,20
",",",",p
et,et,82
derrière,derrière,81
eux,ils,51
venait,venir,18
Fernand,Fernand,20
avec,avec,81
son,son,73
mauvais,mauvais,30
sourire,sourire,21
/.,/.,P
ni,ni,82
Mercédès,Mercédès,20
ni,ni,82
Edmond,Edmond,20
ne,ne,60
voyaient,voir,18
ce,ce,74
mauvais,mauvais,30
sourire,sourire,21
de,de,81
Fernand,Fernand,20
/.,/.,P
les,le,71
pauvres,pauvre,30
enfants,enfant,21
étaient,être,18
si,si,60
heureux,heureux,30
qu',que,83
ils,ils,51
ne,ne,60
voyaient,voir,18
qu',que,83
eux,ils,51
seuls,seul,30
et,et,82
ce,ce,74
beau,beau,30
ciel,ciel,21
pur,pur,30
qui,qui,52
les,le,52
bénissait,bénir,18
/.,/.,P
Danglars,Danglars,20
et,et,82
Caderousse,Caderousse,20
s',se,51
acquittèrent,acquitter,19
de,de,81
leur,leur,73
mission,mission,22
d',de,81
ambassadeurs,ambassadeur,21
;,;,p
puis,puis,60
après,après,81
avoir,avoir,14
échangé,échanger,12
une,un,71
poignée,poignée,22
de,de,81
main,main,22
bien,bien,60
vigoureuse,vigoureux,30
et,et,82
bien,bien,60
amicale,amical,30
avec,avec,81
Edmond,Edmond,20
",",",",p
ils,ils,51
allèrent,aller,19
",",",",p
Danglars,Danglars,20
prendre,prendre,14
place,place,22
près,près,81
de,de,81
Fernand,Fernand,20
",",",",p
Caderousse,Caderousse,20
se,se,51
ranger,ranger,14
aux,à,81
aux,le,71
côtés,côté,21
du,de,81
du,le,71
père,père,21
Dantès,Dantès,20
",",",",p
centre,centre,21
de,de,81
l',le,71
attention,attention,22
générale,général,30
/.,/.,P
ce,ce,74
vieillard,vieillard,21
était,être,18
vêtu,vêtir,12
de,de,81
son,son,73
bel,beau,30
habit,habit,21
de,de,81
taffetas,taffetas,21
épinglé,épinglé,31
",",",",p
orné,orné,31
de,de,81
larges,large,30
boutons,bouton,21
d',de,81
acier,acier,21
",",",",p
taillés,taillé,31
à,à,81
facettes,facette,22
/.,/.,P
ses,son,73
jambes,jambe,22
grêles,grêle,30
",",",",p
mais,mais,82
nerveuses,nerveux,30
",",",",p
s',se,51
épanouissaient,épanouir,18
dans,dans,81
de,de,81
magnifiques,magnifique,30
bas,bas,30
de,de,81
coton,coton,21
mouchetés,moucheté,31
",",",",p
qui,qui,52
sentaient,sentir,18
d',de,81
une,un,71
lieue,lieue,22
la,le,71
contrebande,contrebande,22
anglaise,anglais,30
/.,/.,P
à,à,81
son,son,73
chapeau,chapeau,21
à,à,81
trois,trois,72
cornes,corne,22
pendait,pendre,18
un,un,71
flot,flot,21
de,de,81
rubans,ruban,21
blancs,blanc,30
et,et,82
bleus,bleu,30
/.,/.,P
enfin,enfin,60
",",",",p
il,il,51
s',se,51
appuyait,appuyer,18
sur,sur,81
un,un,71
bâton,bâton,21
de,de,81
bois,bois,21
tordu,tordu,31
et,et,82
recourbé,recourbé,31
par,par,81
le,le,71
haut,haut,21
comme,comme,83
le,le,71
pedum,pedum,21
antique,antique,30
/.,/.,P
on,on,51
eût,avoir,19
dit,dire,12
un,un,52
de,de,81
ces,ce,74
muscadins,muscadin,21
qui,qui,52
paradaient,parader,18
en,en,81
<Nombre 1796>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
seize,seize,72
<Fin nombre>,<>,<>
dans,dans,81
les,le,71
jardins,jardin,21
nouvellement,nouvellement,60
rouverts,rouvert,31
du,de,81
du,le,71
Luxembourg,Luxembourg,20
et,et,82
des,de,81
des,le,71
Tuileries,Tuileries,20
/.,/.,P
près,près,81
de,de,81
lui,lui,51
",",",",p
nous,nous,51
l',le,52
avons,avoir,17
dit,dire,12
",",",",p
s',se,51
était,être,18
glissé,glisser,12
Caderousse,Caderousse,20
",",",",p
Caderousse,Caderousse,20
que,que,52
l',le,71
espérance,espérance,22
d',de,81
un,un,71
bon,bon,30
repas,repas,21
avait,avoir,18
achevé,achever,12
de,de,81
réconcilier,réconcilier,14
avec,avec,81
les,le,71
Dantès,Dantès,20
",",",",p
Caderousse,Caderousse,20
à,à,81
qui,qui,52
il,il,51
restait,rester,18
dans,dans,81
la,le,71
mémoire,mémoire,22
un,un,71
vague,vague,30
souvenir,souvenir,21
de,de,81
ce,ce,52
qui,qui,52
s',se,51
était,être,18
passé,passer,12
la,le,71
veille,veille,22
",",",",p
comme,comme,83
en,en,81
se,se,51
réveillant,réveiller,13
le,le,71
matin,matin,21
on,on,51
trouve,trouver,17
dans,dans,81
son,son,73
esprit,esprit,21
l',le,71
ombre,ombre,22
du,de,81
du,le,71
rêve,rêve,21
qu',que,52
on,on,51
a,avoir,17
fait,faire,12
pendant,pendant,81
le,le,71
sommeil,sommeil,21
/.,/.,P
Danglars,Danglars,20
",",",",p
en,en,81
s',se,51
approchant,approcher,13
de,de,81
Fernand,Fernand,20
",",",",p
avait,avoir,18
jeté,jeter,12
sur,sur,81
l',le,71
amant,amant,21
désappointé,désappointé,31
un,un,71
regard,regard,21
profond,profond,30
/.,/.,P
Fernand,Fernand,20
",",",",p
marchant,marcher,13
derrière,derrière,81
les,le,71
futurs,futur,30
époux,époux,21
",",",",p
complètement,complètement,60
oublié,oublié,31
par,par,81
Mercédès,Mercédès,20
",",",",p
qui,qui,52
dans,dans,81
cet,ce,74
égoïsme,égoïsme,21
juvénile,juvénile,30
et,et,82
charmant,charmant,30
de,de,81
l',le,71
amour,amour,21
n',ne,60
avait,avoir,18
d',de,81
yeux,oeil,21
que,que,83
pour,pour,81
son,son,73
Edmond,Edmond,20
/.,/.,P
Fernand,Fernand,20
était,être,18
pâle,pâle,30
",",",",p
puis,puis,60
rouge,rouge,30
par,par,81
bouffées,bouffée,22
subites,subit,30
qui,qui,52
disparaissaient,disparaître,18
pour,pour,81
faire,faire,14
place,place,22
chaque,chaque,75
fois,fois,22
à,à,81
une,un,71
pâleur,pâleur,22
croissante,croissant,30
/.,/.,P
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
il,il,51
regardait,regarder,18
du,de,81
du,le,71
côté,côté,21
de,de,81
Marseille,Marseille,20
",",",",p
et,et,82
alors,alors,60
un,un,71
tremblement,tremblement,21
nerveux,nerveux,30
et,et,82
involontaire,involontaire,30
faisait,faire,18
frissonner,frissonner,14
ses,son,73
membres,membre,21
/.,/.,P
Fernand,Fernand,20
semblait,sembler,18
attendre,attendre,14
ou,ou,82
tout,tout,60
au,à,81
au,le,71
moins,moins,60
prévoir,prévoir,14
quelque,quelque,75
grand,grand,30
événement,événement,21
/.,/.,P
Dantès,Dantès,20
était,être,18
simplement,simplement,60
vêtu,vêtir,12
/.,/.,P
appartenant,appartenir,13
à,à,81
la,le,71
marine,marine,22
marchande,marchand,30
",",",",p
il,il,51
avait,avoir,18
un,un,71
habit,habit,21
qui,qui,52
tenait,tenir,18
le,le,71
milieu,milieu,21
entre,entre,81
l',le,71
uniforme,uniforme,21
militaire,militaire,30
et,et,82
le,le,71
costume,costume,21
civil,civil,30
;,;,p
et,et,82
sous,sous,81
cet,ce,74
habit,habit,21
",",",",p
sa,son,73
bonne,bon,30
mine,mine,22
",",",",p
que,que,52
rehaussaient,rehausser,18
encore,encore,60
la,le,71
joie,joie,22
et,et,82
la,le,71
beauté,beauté,22
de,de,81
sa,son,73
fiancée,fiancée,22
",",",",p
était,être,18
parfaite,parfaire,12
/.,/.,P
Mercédès,Mercédès,20
était,être,18
belle,beau,30
comme,comme,83
une,un,52
de,de,81
ces,ce,74
grecques,grec,30
de,de,81
Chypre,Chypre,20
ou,ou,82
de,de,81
Céos,Céos,20
",",",",p
aux,à,81
aux,le,71
yeux,oeil,21
d',de,81
ébène,ébène,21
et,et,82
aux,à,81
aux,le,71
lèvres,lèvre,22
de,de,81
corail,corail,21
/.,/.,P
elle,il,51
marchait,marcher,18
de,de,81
ce,ce,74
pas,pas,21
libre,libre,30
et,et,82
franc,franc,30
dont,dont,52
marchent,marcher,17
les,le,71
Arlésiennes,Arlésien,20
et,et,82
les,le,71
andalouses,andalou,22
/.,/.,P
une,un,71
fille,fille,22
des,de,81
des,le,71
villes,ville,22
eût,avoir,19
peut-être,peut-être,60
essayé,essayer,12
de,de,81
cacher,cacher,14
sa,son,73
joie,joie,22
sous,sous,81
un,un,71
voile,voile,21
ou,ou,82
tout,tout,60
au,à,81
au,le,71
moins,moins,60
sous,sous,81
le,le,71
velours,velours,21
de,de,81
ses,son,73
paupières,paupière,22
",",",",p
mais,mais,82
Mercédès,Mercédès,20
souriait,sourire,18
et,et,82
regardait,regarder,18
tous,tout,75
ceux,celui,52
qui,qui,52
l',le,52
entouraient,entourer,18
",",",",p
et,et,82
son,son,73
sourire,sourire,21
et,et,82
son,son,73
regard,regard,21
disaient,dire,18
aussi,aussi,60
franchement,franchement,60
qu',que,83
auraient,avoir,16
pu,pouvoir,12
le,le,52
dire,dire,14
ses,son,73
paroles,parole,22
:,:,p
si,si,83
vous,vous,51
êtes,être,17
mes,mon,73
amis,ami,21
",",",",p
réjouissez,réjouir,17
vous,vous,51
avec,avec,81
moi,moi,51
",",",",p
car,car,82
",",",",p
en,en,81
vérité,vérité,22
",",",",p
je,je,51
suis,être,17
bien,bien,60
heureuse,heureux,30
/!,/!,P
dès,dès,81
que,que,83
les,le,71
fiancés,fiancé,21
et,et,82
ceux,celui,52
qui,qui,52
les,le,52
accompagnaient,accompagner,18
furent,être,19
en,en,81
vue,vue,22
de,de,81
la,le,71
réserve,réserve,22
",",",",p
monsieur,monsieur,21
Morrel,Morrel,20
descendit,descendre,19
et,et,82
s',se,51
avança,avancer,19
à,à,81
son,son,73
tour,tour,21
au-devant,au-devant,60
d',de,81
eux,ils,51
",",",",p
suivi,suivi,31
des,de,81
des,le,71
matelots,matelot,21
et,et,82
des,de,81
des,le,71
soldats,soldat,21
avec,avec,81
lesquels,lequel,52
il,il,51
était,être,18
resté,rester,12
",",",",p
et,et,82
auxquels,à,81
auxquels,lequel,52
il,il,51
avait,avoir,18
renouvelé,renouveler,12
la,le,71
promesse,promesse,22
déjà,déjà,60
faite,fait,31
à,à,81
Dantès,Dantès,20
qu',que,52
il,il,51
succéderait,succéder,16
au,à,81
au,le,71
capitaine,capitaine,21
Leclère,Leclère,20
/.,/.,P
en,en,81
le,le,52
voyant,voir,13
venir,venir,14
",",",",p
Edmond,Edmond,20
quitta,quitter,19
le,le,71
bras,bras,21
de,de,81
sa,son,73
fiancée,fiancée,22
et,et,82
le,le,52
passa,passer,19
sous,sous,81
celui,celui,52
de,de,81
monsieur,monsieur,21
Morrel,Morrel,20
/.,/.,P
l',le,71
armateur,armateur,21
et,et,82
la,le,71
jeune,jeune,30
fille,fille,22
donnèrent,donner,19
alors,alors,60
l',le,71
exemple,exemple,21
en,en,81
montant,monter,13
les,le,71
premiers,premier,72
l',le,71
escalier,escalier,21
de,de,81
bois,bois,21
qui,qui,52
conduisait,conduire,18
à,à,81
la,le,71
chambre,chambre,22
où,où,60
le,le,71
dîner,dîner,21
était,être,18
servi,servir,12
",",",",p
et,et,82
qui,qui,52
cria,crier,19
pendant,pendant,81
cinq,cinq,72
minutes,minute,22
sous,sous,81
les,le,71
pas,pas,21
pesants,pesant,30
des,de,81
des,le,71
convives,convive,21
/.,/.,P
“,“,p
mon,mon,73
père,père,21
",",",",p
dit,dire,19
Mercédès,Mercédès,20
en,en,81
s',se,51
arrêtant,arrêter,13
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
table,table,22
",",",",p
vous,vous,51
à,à,81
ma,mon,73
droite,droite,22
",",",",p
je,je,51
vous,vous,51
prie,prier,17
;,;,p
quant,quand,83
à,à,81
ma,mon,73
gauche,gauche,22
",",",",p
j',je,51
y,y,52
mettrai,mettre,15
celui,celui,52
qui,qui,52
m',je,51
a,avoir,17
servi,servir,12
de,de,81
frère,frère,21
“,“,p
",",",",p
fit,faire,19
elle,il,51
avec,avec,81
une,un,71
douceur,douceur,22
qui,qui,52
pénétra,pénétrer,19
au,à,81
au,le,71
plus,plus,60
profond,profond,30
du,de,81
du,le,71
coeur,coeur,21
de,de,81
Fernand,Fernand,20
comme,comme,83
un,un,71
coup,coup,21
de,de,81
poignard,poignard,21
/.,/.,P
ses,son,73
lèvres,lèvre,22
blêmirent,blêmir,19
",",",",p
et,et,82
sous,sous,81
la,le,71
teinte,teinte,22
bistrée,bistré,31
de,de,81
son,son,73
mâle,mâle,30
visage,visage,21
on,on,51
put,pouvoir,19
voir,voir,14
encore,encore,60
une,un,71
fois,fois,22
le,le,71
sang,sang,21
se,se,51
retirer,retirer,14
peu,peu,60
à,à,81
peu,peu,60
pour,pour,81
affluer,affluer,14
au,à,81
au,le,71
coeur,coeur,21
/.,/.,P
pendant,pendant,81
ce,ce,74
temps,temps,21
",",",",p
Dantès,Dantès,20
avait,avoir,18
exécuté,exécuter,12
la,le,71
même,même,75
manoeuvre,manoeuvre,22
;,;,p
à,à,81
sa,son,73
droite,droite,22
il,il,51
avait,avoir,18
mis,mettre,12
monsieur,monsieur,21
Morrel,Morrel,20
",",",",p
à,à,81
sa,son,73
gauche,gauche,22
Danglars,Danglars,20
;,;,p
puis,puis,60
de,de,81
la,le,71
main,main,22
il,il,51
avait,avoir,18
fait,faire,12
signe,signe,21
à,à,81
chacun,chacun,52
de,de,81
se,se,51
placer,placer,14
à,à,81
sa,son,73
fantaisie,fantaisie,22
/.,/.,P
déjà,déjà,60
couraient,courir,18
autour,autour,60
de,de,81
la,le,71
table,table,22
les,le,71
saucissons,saucisson,21
d',de,81
Arles,Arles,20
à,à,81
la,le,71
chair,chair,22
brune,brun,30
et,et,82
au,à,81
au,le,71
fumet,fumet,21
accentué,accentué,31
",",",",p
les,le,71
langoustes,langouste,22
à,à,81
la,le,71
cuirasse,cuirasse,22
éblouissante,éblouissant,30
",",",",p
les,le,71
praires,praire,22
à,à,81
la,le,71
coquille,coquille,22
rosée,rosé,30
",",",",p
les,le,71
oursins,oursin,21
",",",",p
qui,qui,52
semblent,sembler,17
des,de,81
des,le,71
châtaignes,châtaigne,22
entourées,entouré,31
de,de,81
leur,leur,73
enveloppe,enveloppe,22
piquante,piquant,30
",",",",p
les,le,71
clovisses,clovisse,22
",",",",p
qui,qui,52
ont,avoir,17
la,le,71
prétention,prétention,22
de,de,81
remplacer,remplacer,14
avec,avec,81
supériorité,supériorité,22
",",",",p
pour,pour,81
les,le,71
gourmets,gourmet,21
du,de,81
du,le,71
Midi,Midi,20
",",",",p
les,le,71
huîtres,huître,22
du,de,81
du,le,71
nord,nord,21
;,;,p
enfin,enfin,60
tous,tout,75
ces,ce,74
hors-d'oeuvre,hors-d'oeuvre,21
délicats,délicat,30
que,que,52
la,le,71
vague,vague,22
roule,rouler,17
sur,sur,81
sa,son,73
rive,rive,22
sablonneuse,sablonneux,30
",",",",p
et,et,82
que,que,52
les,le,71
pécheurs,pécheur,21
reconnaissants,reconnaissant,30
désignent,désigner,17
sous,sous,81
le,le,71
nom,nom,21
générique,générique,30
de,de,81
fruits,fruit,21
de,de,81
mer,mer,22
/.,/.,P
“,“,p
un,un,71
beau,beau,30
silence,silence,21
!,!,p
dit,dire,19
le,le,71
vieillard,vieillard,21
en,en,81
savourant,savourer,13
un,un,71
verre,verre,21
de,de,81
vin,vin,21
jaune,jaune,30
comme,comme,83
la,le,71
topaze,topaze,22
",",",",p
que,que,52
le,le,71
père,père,21
Pamphile,Pamphile,20
en,en,81
personne,personne,22
venait,venir,18
d',de,81
apporter,apporter,14
devant,devant,81
Mercédès,Mercédès,20
/.,/.,P
dirait,dire,16
on,on,51
qu',que,83
il,il,51
y,y,52
a,avoir,17
ici,ici,60
trente,trente,72
personnes,personne,22
qui,qui,52
ne,ne,60
demandent,demander,17
qu',que,83
à,à,81
rire,rire,14
/.,/.,P
-,-,p
eh,eh,93
!,!,p
un,un,71
mari,mari,21
n',ne,60
est,être,17
pas,pas,60
toujours,toujours,60
gai,gai,30
",",",",p
dit,dire,19
Caderousse,Caderousse,20
/.,/.,P
-,-,p
le,le,71
fait,fait,21
est,être,17
",",",",p
dit,dire,12
Dantès,Dantès,20
",",",",p
que,que,83
je,je,51
suis,être,17
trop,trop,60
heureux,heureux,30
en,en,81
ce,ce,74
moment,moment,21
pour,pour,81
être,être,14
gai,gai,30
/.,/.,P
si,si,83
c',ce,52
est,être,17
comme,comme,83
cela,cela,52
que,que,83
vous,vous,51
l',le,52
entendez,entendre,17
",",",",p
voisin,voisin,21
",",",",p
vous,vous,51
avez,avoir,17
raison,raison,22
/!,/!,P
la,le,71
joie,joie,22
fait,faire,17
quelquefois,quelquefois,60
un,un,71
effet,effet,21
étrange,étrange,30
",",",",p
elle,il,51
oppresse,oppresser,17
comme,comme,83
la,le,71
douleur,douleur,22
/.,/.,P
“,“,p
Danglars,Danglars,20
observa,observer,19
Fernand,Fernand,20
",",",",p
dont,dont,52
la,le,71
nature,nature,22
impressionnable,impressionnable,30
absorbait,absorber,18
et,et,82
renvoyait,renvoyer,18
chaque,chaque,75
émotion,émotion,22
/.,/.,P
“,“,p
allons,aller,17
donc,donc,82
",",",",p
dit,dire,19
il,il,51
",",",",p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
craindriez,craindre,16
quelque,quelque,75
chose,chose,22
?,?,p
il,il,51
me,je,51
semble,sembler,17
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
que,que,83
tout,tout,52
va,aller,17
selon,selon,81
vos,votre,73
désirs,désir,21
/!,/!,P
et,et,82
c',ce,52
est,être,17
justement,justement,60
cela,cela,52
qui,qui,52
m',je,51
épouvante,épouvanter,17
",",",",p
dit,dire,19
Dantès,Dantès,20
",",",",p
il,il,51
me,je,51
semble,sembler,17
que,que,83
l',le,71
homme,homme,21
n',ne,60
est,être,17
pas,pas,60
fait,faire,12
pour,pour,81
être,être,14
si,si,60
facilement,facilement,60
