11942
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-huitième extrait>,<>,<>
aux,à,81
aux,le,71
endroits,endroit,21
trop,trop,60
bas,bas,30
/.,/.,P
sans,sans,81
doute,doute,21
aussi,aussi,60
il,il,51
comptait,compter,18
ses,son,73
tours,tour,21
",",",",p
car,car,82
lorsqu',lorsque,83
il,il,51
avait,avoir,18
fait,faire,12
le,le,71
nombre,nombre,21
réglementaire,réglementaire,30
de,de,81
voyages,voyage,21
",",",",p
il,il,51
refusait,refuser,18
d',de,81
en,en,52
recommencer,recommencer,14
un,un,71
autre,autre,52
",",",",p
on,on,51
devait,devoir,18
le,le,52
reconduire,reconduire,14
à,à,81
sa,son,73
mangeoire,mangeoire,22
/.,/.,P
maintenant,maintenant,60
",",",",p
l',le,71
âge,âge,21
venait,venir,18
",",",",p
ses,son,73
yeux,oeil,21
de,de,81
chat,chat,21
se,se,51
voilaient,voiler,18
parfois,parfois,60
d',de,81
une,un,71
mélancolie,mélancolie,22
/.,/.,P
peut-être,peut-être,60
revoyait,revoir,18
il,il,51
vaguement,vaguement,60
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
ses,son,73
rêvasseries,rêvasserie,22
obscures,obscur,30
",",",",p
le,le,71
moulin,moulin,21
où,où,60
il,il,51
était,être,18
né,naître,12
",",",",p
près,près,81
de,de,81
Marchiennes,Marchiennes,20
",",",",p
un,un,71
moulin,moulin,21
planté,planté,31
sur,sur,81
le,le,71
bord,bord,21
de,de,81
la,le,71
Scarpe,Scarpe,20
",",",",p
entouré,entouré,31
de,de,81
larges,large,30
verdures,verdure,22
",",",",p
toujours,toujours,60
éventé,éventé,31
par,par,81
le,le,71
vent,vent,21
/.,/.,P
quelque,quelque,75
chose,chose,22
brûlait,brûler,18
en,en,81
l',le,71
air,air,21
",",",",p
une,un,71
lampe,lampe,22
énorme,énorme,30
",",",",p
dont,dont,52
le,le,71
souvenir,souvenir,21
exact,exact,30
échappait,échapper,18
à,à,81
sa,son,73
mémoire,mémoire,22
de,de,81
bête,bête,22
/.,/.,P
et,et,82
il,il,51
restait,rester,18
la,le,71
tête,tête,22
basse,bas,30
",",",",p
tremblant,trembler,13
sur,sur,81
ses,son,73
vieux,vieux,30
pieds,pied,21
",",",",p
faisant,faire,13
d',de,81
inutiles,inutile,30
efforts,effort,21
pour,pour,81
se,se,51
rappeler,rappeler,14
le,le,71
soleil,soleil,21
/.,/.,P
cependant,cependant,82
",",",",p
les,le,71
manoeuvres,manoeuvre,22
continuaient,continuer,18
dans,dans,81
le,le,71
puits,puits,21
",",",",p
le,le,71
marteau,marteau,21
des,de,81
des,le,71
signaux,signal,21
avait,avoir,18
tapé,taper,12
quatre,quatre,72
coups,coup,21
",",",",p
on,on,51
descendait,descendre,18
le,le,71
cheval,cheval,21
;,;,p
et,et,82
c',ce,52
était,être,18
toujours,toujours,60
une,un,71
émotion,émotion,22
",",",",p
car,car,82
il,il,51
arrivait,arriver,18
parfois,parfois,60
que,que,83
la,le,71
bête,bête,22
",",",",p
saisie,saisi,31
d',de,81
une,un,71
telle,tel,75
épouvante,épouvante,22
",",",",p
débarquait,débarquer,18
morte,mort,31
/.,/.,P
en,en,81
haut,haut,21
",",",",p
lié,lié,31
dans,dans,81
un,un,71
filet,filet,21
",",",",p
il,il,51
se,se,51
débattait,débattre,18
éperdument,éperdument,60
;,;,p
puis,puis,60
",",",",p
dès,dès,81
qu',que,83
il,il,51
sentait,sentir,18
le,le,71
sol,sol,21
manquer,manquer,14
sous,sous,81
lui,lui,51
",",",",p
il,il,51
restait,rester,18
comme,comme,83
pétrifié,pétrifié,31
",",",",p
il,il,51
disparaissait,disparaître,18
sans,sans,81
un,un,71
frémissement,frémissement,21
de,de,81
la,le,71
peau,peau,22
",",",",p
l',le,71
oeil,oeil,21
agrandi,agrandi,31
et,et,82
fixe,fixe,30
/.,/.,P
celui-ci,celui-ci,52
étant,être,13
trop,trop,60
gros,gros,30
pour,pour,81
passer,passer,14
entre,entre,81
les,le,71
guides,guide,21
",",",",p
on,on,51
avait,avoir,18
dû,devoir,12
",",",",p
en,en,81
l',le,52
accrochant,accrocher,13
au,à,81
au,le,71
-,-,p
dessous,dessous,60
de,de,81
la,le,71
cage,cage,22
",",",",p
lui,lui,51
rabattre,rabattre,14
et,et,82
lui,lui,51
attacher,attacher,14
la,le,71
tête,tête,22
sur,sur,81
le,le,71
flanc,flanc,21
/.,/.,P
la,le,71
descente,descente,22
dura,durer,19
près,près,81
de,de,81
trois,trois,72
minutes,minute,22
",",",",p
on,on,51
ralentissait,ralentir,18
la,le,71
machine,machine,22
par,par,81
précaution,précaution,22
/.,/.,P
aussi,aussi,60
",",",",p
en,en,81
bas,bas,21
",",",",p
l',le,71
émotion,émotion,22
grandissait,grandir,18
elle,il,51
/.,/.,P
quoi,quoi,52
donc,donc,82
/?,/?,P
est,être,17
-,-,p
ce,ce,52
qu',que,52
on,on,51
allait,aller,18
le,le,71
laisser,laisser,14
en,en,81
route,route,22
",",",",p
pendu,pendu,31
dans,dans,81
le,le,71
noir,noir,21
/?,/?,P
enfin,enfin,60
",",",",p
il,il,51
parut,paraître,19
",",",",p
avec,avec,81
son,son,73
immobilité,immobilité,22
de,de,81
pierre,pierre,22
",",",",p
son,son,73
oeil,oeil,21
fixe,fixe,30
",",",",p
dilaté,dilaté,31
de,de,81
terreur,terreur,22
/.,/.,P
c',ce,52
était,être,18
un,un,71
cheval,cheval,21
bai,bai,30
",",",",p
de,de,81
trois,trois,72
ans,an,21
à,à,81
peine,peine,22
",",",",p
nommé,nommé,31
Trompette,Trompette,20
/.,/.,P
-,-,p
attention,attention,22
!,!,p
criait,crier,18
le,le,71
père,père,21
Mouque,Mouque,20
",",",",p
chargé,chargé,31
de,de,81
le,le,52
recevoir,recevoir,14
/.,/.,P
amenez,amener,17
-,-,p
le,le,52
",",",",p
ne,ne,60
le,le,52
détachez,détacher,17
pas,pas,60
encore,encore,60
/.,/.,P
bientôt,bientôt,60
",",",",p
Trompette,Trompette,20
fut,être,19
couché,coucher,12
sur,sur,81
les,le,71
dalles,dalle,22
de,de,81
fonte,fonte,22
",",",",p
comme,comme,83
une,un,71
masse,masse,22
/.,/.,P
il,il,51
ne,ne,60
bougeait,bouger,18
toujours,toujours,60
pas,pas,60
",",",",p
il,il,51
semblait,sembler,18
dans,dans,81
le,le,71
cauchemar,cauchemar,21
de,de,81
ce,ce,74
trou,trou,21
obscur,obscur,30
",",",",p
infini,infini,30
",",",",p
de,de,81
cette,ce,74
salle,salle,22
profonde,profond,30
",",",",p
retentissante,retentissant,30
de,de,81
vacarme,vacarme,21
/.,/.,P
on,on,51
commençait,commencer,18
à,à,81
le,le,52
délier,délier,14
",",",",p
lorsque,lorsque,83
Bataille,Bataille,20
",",",",p
dételé,dételé,31
depuis,depuis,81
un,un,71
instant,instant,21
",",",",p
s',se,51
approcha,approcher,19
",",",",p
allongea,allonger,19
le,le,71
cou,cou,21
pour,pour,81
flairer,flairer,14
ce,ce,74
compagnon,compagnon,21
",",",",p
qui,qui,52
tombait,tomber,18
ainsi,ainsi,60
de,de,81
la,le,71
terre,terre,22
/.,/.,P
les,le,71
ouvriers,ouvrier,21
élargirent,élargir,19
le,le,71
cercle,cercle,21
en,en,81
plaisantant,plaisanter,13
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
quelle,quel,75
bonne,bon,30
odeur,odeur,22
lui,lui,51
trouvait,trouver,18
il,il,51
/?,/?,P
mais,mais,82
Bataille,Bataille,20
s',se,51
animait,animer,18
",",",",p
sourd,sourd,30
aux,à,81
aux,le,71
moqueries,moquerie,22
/.,/.,P
il,il,51
lui,lui,51
trouvait,trouver,18
sans,sans,81
doute,doute,21
la,le,71
bonne,bon,30
odeur,odeur,22
du,de,81
du,le,71
grand,grand,30
air,air,21
",",",",p
l',le,71
odeur,odeur,22
oubliée,oublié,31
du,de,81
du,le,71
soleil,soleil,21
dans,dans,81
les,le,71
herbes,herbe,22
/.,/.,P
et,et,82
il,il,51
éclata,éclater,19
tout,tout,60
à,à,81
coup,coup,21
d',de,81
un,un,71
hennissement,hennissement,21
sonore,sonore,30
",",",",p
d',de,81
une,un,71
musique,musique,22
d',de,81
allégresse,allégresse,22
",",",",p
où,où,60
il,il,51
semblait,sembler,18
y,y,52
avoir,avoir,14
l',le,71
attendrissement,attendrissement,21
d',de,81
un,un,71
sanglot,sanglot,21
/.,/.,P
c',ce,52
était,être,18
la,le,71
bienvenue,bienvenue,22
",",",",p
la,le,71
joie,joie,22
de,de,81
ces,ce,74
choses,chose,22
anciennes,ancien,30
dont,dont,52
une,un,71
bouffée,bouffée,22
lui,lui,51
arrivait,arriver,18
",",",",p
la,le,71
mélancolie,mélancolie,22
de,de,81
ce,ce,74
prisonnier,prisonnier,21
de,de,81
plus,plus,60
qui,qui,52
ne,ne,60
remonterait,remonter,16
que,que,83
mort,mort,31
/.,/.,P
-,-,p
ah,ah,93
!,!,p
cet,ce,74
animal,animal,21
de,de,81
Bataille,Bataille,20
!,!,p
criaient,crier,18
les,le,71
ouvriers,ouvrier,21
égayés,égayé,31
par,par,81
ces,ce,74
farces,farce,22
de,de,81
leur,leur,73
favori,favori,21
/.,/.,P
le,le,52
voilà,voilà,81
qui,qui,52
causé,causé,31
avec,avec,81
le,le,71
camarade,camarade,21
/.,/.,P
Trompette,Trompette,20
",",",",p
délié,délié,31
",",",",p
ne,ne,60
bougeait,bouger,18
toujours,toujours,60
pas,pas,60
/.,/.,P
il,il,51
demeurait,demeurer,18
sur,sur,81
le,le,71
flanc,flanc,21
",",",",p
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
continué,continuer,12
à,à,81
sentir,sentir,14
le,le,71
filet,filet,21
l',le,52
étreindre,étreindre,14
",",",",p
garrotté,garrotter,12
par,par,81
la,le,71
peur,peur,22
/.,/.,P
enfin,enfin,60
",",",",p
on,on,51
le,le,52
mit,mettre,19
debout,debout,60
d',de,81
un,un,71
coup,coup,21
de,de,81
fouet,fouet,21
",",",",p
étourdi,étourdi,31
",",",",p
les,le,71
membres,membre,21
secoués,secoué,31
d',de,81
un,un,71
grand,grand,30
frisson,frisson,21
/.,/.,P
et,et,82
le,le,71
père,père,21
Mouque,Mouque,20
emmena,emmener,19
les,le,71
deux,deux,72
bêtes,bête,22
qui,qui,52
fraternisaient,fraterniser,18
/.,/.,P
-,-,p
voyons,voir,17
",",",",p
y,y,52
sommes,être,17
nous,nous,51
",",",",p
à,à,81
présent,présent,21
?,?,p
demanda,demander,19
Maheu,Maheu,20
/.,/.,P
il,il,51
fallait,falloir,18
débarrasser,débarrasser,14
les,le,71
cages,cage,22
",",",",p
et,et,82
du,de,81
du,le,71
reste,reste,21
dix,dix,72
minutes,minute,22
manquaient,manquer,18
encore,encore,60
pour,pour,81
l',le,71
heure,heure,22
de,de,81
la,le,71
remonte,remonte,22
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
",",",",p
les,le,71
chantiers,chantier,21
se,se,51
vidaient,vider,18
",",",",p
des,de,81
des,le,71
mineurs,mineur,21
revenaient,revenir,18
de,de,81
toutes,tout,75
les,le,71
galeries,galerie,22
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
déjà,déjà,60
là,là,60
une,un,71
cinquantaine,cinquantaine,22
d',de,81
hommes,homme,21
",",",",p
mouillés,mouillé,31
et,et,82
grelottants,grelottant,30
",",",",p
sous,sous,81
les,le,71
fluxions,fluxion,22
de,de,81
poitrine,poitrine,22
qui,qui,52
soufflaient,souffler,18
de,de,81
partout,partout,60
/.,/.,P
Pierron,Pierron,20
",",",",p
malgré,malgré,81
son,son,73
visage,visage,21
doucereux,doucereux,30
",",",",p
gifla,gifler,19
sa,son,73
fille,fille,22
Lydie,Lydie,20
",",",",p
parce qu',parce que,83
elle,il,51
avait,avoir,18
quitté,quitter,12
la,le,71
taille,taille,22
avant,avant,81
l',le,71
heure,heure,22
/.,/.,P
Zacharie,Zacharie,20
pinçait,pincer,18
sournoisement,sournoisement,60
la,le,71
Mouquette,Mouquette,20
",",",",p
histoire,histoire,22
de,de,81
se,se,51
réchauffer,réchauffer,14
/.,/.,P
mais,mais,82
le,le,71
mécontentement,mécontentement,21
grandissait,grandir,18
",",",",p
Chaval,Chaval,20
et,et,82
Levaque,Levaque,20
racontaient,raconter,18
la,le,71
menace,menace,22
de,de,81
l',le,71
ingénieur,ingénieur,21
",",",",p
la,le,71
berline,berline,22
baissée,baissé,31
de,de,81
prix,prix,21
",",",",p
le,le,71
boisage,boisage,21
payé,payé,31
à,à,81
part,part,22
;,;,p
et,et,82
des,de,81
des,le,71
exclamations,exclamation,22
accueillaient,accueillir,18
ce,ce,74
projet,projet,21
",",",",p
une,un,71
rébellion,rébellion,22
germait,germer,18
dans,dans,81
ce,ce,74
coin,coin,21
étroit,étroit,30
",",",",p
à,à,81
près,près,81
de,de,81
six,six,72
cents,cent,72
mètres,mètre,21
sous,sous,81
la,le,71
terre,terre,22
/.,/.,P
bientôt,bientôt,60
",",",",p
les,le,71
voix,voix,22
ne,ne,60
se,se,51
continrent,contenir,19
plus,plus,60
",",",",p
ces,ce,74
hommes,homme,21
souillés,souillé,31
de,de,81
charbon,charbon,21
",",",",p
glacés,glacé,31
par,par,81
l',le,71
attente,attente,22
",",",",p
accusèrent,accuser,19
la,le,71
compagnie,compagnie,22
de,de,81
tuer,tuer,14
au,à,81
au,le,71
fond,fond,21
une,un,71
moitié,moitié,22
de,de,81
ses,son,73
ouvriers,ouvrier,21
",",",",p
et,et,82
de,de,81
faire,faire,14
crever,crever,14
l',le,71
autre,autre,75
moitié,moitié,22
de,de,81
faim,faim,22
/.,/.,P
Etienne,Etienne,20
écoutait,écouter,18
",",",",p
frémissant,frémissant,30
/.,/.,P
-,-,p
dépêchons,dépêcher,17
!,!,p
dépêchons,dépêcher,17
!,!,p
répétait,répéter,18
aux,à,81
aux,le,71
chargeurs,chargeur,21
le,le,71
porion,porion,21
Richomme,Richomme,20
/.,/.,P
il,il,51
hâtait,hâter,18
la,le,71
manoeuvre,manoeuvre,22
pour,pour,81
la,le,71
remonte,remonte,22
",",",",p
ne,ne,60
voulant,vouloir,13
point,point,60
sévir,sévir,14
",",",",p
faisant,faire,13
semblant,semblant,21
de,de,81
ne,ne,60
pas,pas,60
entendre,entendre,14
/.,/.,P
cependant,cependant,82
",",",",p
les,le,71
murmures,murmure,21
devenaient,devenir,18
tels,tel,75
",",",",p
qu',que,83
il,il,51
fut,être,19
forcé,forcer,12
de,de,81
s',se,51
en,en,52
mêler,mêler,14
/.,/.,P
derrière,derrière,81
lui,lui,51
",",",",p
on,on,51
criait,crier,18
que,que,83
ça,ça,52
ne,ne,60
durerait,durer,16
pas,pas,60
toujours,toujours,60
et,et,82
qu',que,83
un,un,71
beau,beau,30
matin,matin,21
la,le,71
boutique,boutique,22
sauterait,sauter,16
/.,/.,P
-,-,p
toi,toi,51
qui,qui,52
es,être,17
raisonnable,raisonnable,30
",",",",p
dit,dire,19
il,il,51
à,à,81
Maheu,Maheu,20
",",",",p
fais,faire,17
les,le,52
donc,donc,82
taire,taire,14
/.,/.,P
quand,quand,83
on,on,51
n',ne,60
est,être,17
pas,pas,60
les,le,71
plus,plus,60
forts,fort,30
",",",",p
on,on,51
doit,devoir,17
être,être,14
les,le,71
plus,plus,60
sages,sage,30
/.,/.,P
mais,mais,82
Maheu,Maheu,20
",",",",p
qui,qui,52
se,se,51
calmait,calmer,18
et,et,82
finissait,finir,18
par,par,81
s',se,51
inquiéter,inquiéter,14
",",",",p
n',ne,60
eut,avoir,19
point,point,60
à,à,81
intervenir,intervenir,14
/.,/.,P
soudain,soudain,60
",",",",p
les,le,71
voix,voix,22
tombèrent,tomber,19
:,:,p
Négrel,Négrel,20
et,et,82
Dansaert,Dansaert,20
",",",",p
revenant,revenir,13
de,de,81
leur,leur,73
inspection,inspection,22
",",",",p
débouchaient,déboucher,18
d',de,81
une,un,71
galerie,galerie,22
",",",",p
en,en,81
sueur,sueur,22
aussi,aussi,60
tous,tout,75
les,le,71
deux,deux,72
/.,/.,P
l',le,71
habitude,habitude,22
de,de,81
la,le,71
discipline,discipline,22
fit,faire,19
ranger,ranger,14
les,le,71
hommes,homme,21
",",",",p
tandis que,tandis que,83
l',le,71
ingénieur,ingénieur,21
traversait,traverser,18
le,le,71
groupe,groupe,21
",",",",p
sans,sans,81
une,un,71
parole,parole,22
/.,/.,P
il,il,51
se,se,51
mit,mettre,19
dans,dans,81
une,un,71
berline,berline,22
",",",",p
le,le,71
maître,maître,21
porion,porion,21
dans,dans,81
une,un,71
autre,autre,52
;,;,p
on,on,51
tira,tirer,19
cinq,cinq,72
fois,fois,22
le,le,71
signal,signal,21
",",",",p
sonnant,sonner,13
à,à,81
la,le,71
grosse,gros,30
viande,viande,22
",",",",p
comme,comme,83
on,on,51
disait,dire,18
pour,pour,81
les,le,71
chefs,chef,21
;,;,p
et,et,82
la,le,71
cage,cage,22
fila,filer,19
en,en,81
l',le,71
air,air,21
",",",",p
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
silence,silence,21
morne,morne,30
/.,/.,P
<I - VI>,<>,<>
dans,dans,81
la,le,71
cage,cage,22
qui,qui,52
le,le,52
remontait,remonter,18
",",",",p
tassé,tassé,31
avec,avec,81
quatre,quatre,72
autres,autre,52
",",",",p
Etienne,Etienne,20
résolut,résoudre,19
de,de,81
reprendre,reprendre,14
sa,son,73
course,course,22
affamée,affamé,31
",",",",p
le,le,71
long,long,21
des,de,81
des,le,71
routes,route,22
/.,/.,P
autant,autant,60
valait,valoir,18
il,il,51
crever,crever,14
tout,tout,60
de,de,81
suite,suite,22
que,que,83
de,de,81
redescendre,redescendre,14
au,à,81
au,le,71
fond,fond,21
de,de,81
cet,ce,74
enfer,enfer,21
",",",",p
pour,pour,81
n',ne,60
y,y,52
pas,pas,60
même,même,60
gagner,gagner,14
son,son,73
pain,pain,21
/.,/.,P
Catherine,Catherine,20
",",",",p
enfournée,enfourné,31
au-dessus,au-dessus,60
de,de,81
lui,lui,51
",",",",p
n',ne,60
était,être,18
plus,plus,60
là,là,60
",",",",p
contre,contre,81
son,son,73
flanc,flanc,21
",",",",p
d',de,81
une,un,71
bonne,bon,30
chaleur,chaleur,22
engourdissante,engourdissant,30
/.,/.,P
et,et,82
il,il,51
aimait,aimer,18
mieux,mieux,60
ne,ne,60
pas,pas,60
songer,songer,14
à,à,81
des,de,81
des,le,71
bêtises,bêtise,22
",",",",p
et,et,82
s',se,51
éloigner,éloigner,14
;,;,p
car,car,82
",",",",p
avec,avec,81
son,son,73
instruction,instruction,22
plus,plus,60
large,large,30
",",",",p
il,il,51
ne,ne,60
se,se,51
sentait,sentir,18
point,point,60
la,le,71
résignation,résignation,22
de,de,81
ce,ce,74
troupeau,troupeau,21
",",",",p
il,il,51
finirait,finir,16
par,par,81
étrangler,étrangler,14
quelque,quelque,75
chef,chef,21
/.,/.,P
brusquement,brusquement,60
",",",",p
il,il,51
fut,être,19
aveuglé,aveugler,12
/.,/.,P
la,le,71
remonte,remonte,22
venait,venir,18
d',de,81
être,être,14
si,si,60
rapide,rapide,30
",",",",p
qu',que,83
il,il,51
restait,rester,18
ahuri,ahuri,30
du,de,81
du,le,71
grand,grand,30
jour,jour,21
",",",",p
les,le,71
paupières,paupière,22
battantes,battant,30
dans,dans,81
cette,ce,74
clarté,clarté,22
dont,dont,52
il,il,51
s',se,51
était,être,18
déshabitué,déshabituer,12
déjà,déjà,60
/.,/.,P
ce,ce,52
n',ne,60
en,en,52
fut,être,19
pas,pas,60
moins,moins,60
un,un,71
soulagement,soulagement,21
pour,pour,81
lui,lui,51
",",",",p
de,de,81
sentir,sentir,14
la,le,71
cage,cage,22
retomber,retomber,14
sur,sur,81
les,le,71
verrous,verrou,21
/.,/.,P
un,un,71
moulineur,moulineur,21
ouvrait,ouvrir,18
la,le,71
porte,porte,22
",",",",p
le,le,71
flot,flot,21
des,de,81
des,le,71
ouvriers,ouvrier,21
sautait,sauter,18
des,de,81
des,le,71
berlines,berline,22
/.,/.,P
-,-,p
dis,dire,17
donc,donc,82
",",",",p
Mouquet,Mouquet,20
",",",",p
murmura,murmurer,19
Zacharie,Zacharie,20
à,à,81
l',le,71
oreille,oreille,22
du,de,81
du,le,71
moulineur,moulineur,21
",",",",p
filons,filer,17
nous,nous,51
au,à,81
au,le,71
Volcan,Volcan,20
",",",",p
ce,ce,74
soir,soir,21
/?,/?,P
le,le,71
Volcan,Volcan,20
était,être,18
un,un,71
café-concert,café-concert,21
de,de,81
Montsou,Montsou,20
/.,/.,P
Mouquet,Mouquet,20
cligna,cligner,19
l',le,71
oeil,oeil,21
gauche,gauche,30
",",",",p
avec,avec,81
un,un,71
rire,rire,21
silencieux,silencieux,30
qui,qui,52
lui,lui,51
fendait,fendre,18
les,le,71
mâchoires,mâchoire,22
/.,/.,P
petit,petit,30
et,et,82
gros,gros,30
comme,comme,83
son,son,73
père,père,21
",",",",p
il,il,51
avait,avoir,18
le,le,71
nez,nez,21
effronté,effronté,30
d',de,81
un,un,71
gaillard,gaillard,21
qui,qui,52
mangeait,manger,18
tout,tout,52
",",",",p
sans,sans,81
nul,nul,75
souci,souci,21
du,de,81
du,le,71
lendemain,lendemain,21
/.,/.,P
justement,justement,60
",",",",p
la,le,71
Mouquette,Mouquette,20
sortait,sortir,18
à,à,81
son,son,73
tour,tour,21
",",",",p
et,et,82
il,il,51
lui,lui,51
allongea,allonger,19
une,un,71
claque,claque,22
formidable,formidable,30
sur,sur,81
les,le,71
reins,rein,21
",",",",p
par,par,81
tendresse,tendresse,22
fraternelle,fraternel,30
/.,/.,P
Etienne,Etienne,20
reconnaissait,reconnaître,18
à,à,81
peine,peine,22
la,le,71
haute,haut,30
nef,nef,22
de,de,81
la,le,71
recette,recette,22
",",",",p
qu',que,52
il,il,51
avait,avoir,18
vue,voir,12
inquiétante,inquiétant,30
",",",",p
dans,dans,81
les,le,71
lueurs,lueur,22
louches,louche,30
des,de,81
des,le,71
lanternes,lanterne,22
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
que,que,83
nu,nu,30
et,et,82
sale,sale,30
/.,/.,P
un,un,71
jour,jour,21
terreux,terreux,30
entrait,entrer,18
par,par,81
les,le,71
fenêtres,fenêtre,22
poussiéreuses,poussiéreux,30
/.,/.,P
seule,seul,30
",",",",p
la,le,71
machine,machine,22
luisait,luire,18
",",",",p
là-bas,là-bas,60
",",",",p
avec,avec,81
ses,son,73
cuivres,cuivre,21
;,;,p
les,le,71
câbles,câble,21
d',de,81
acier,acier,21
",",",",p
enduits,enduit,31
de,de,81
graisse,graisse,22
",",",",p
filaient,filer,18
comme,comme,83
des,de,81
des,le,71
rubans,ruban,21
trempés,trempé,31
d',de,81
encre,encre,22
;,;,p
et,et,82
les,le,71
molettes,molette,22
en,en,81
haut,haut,21
",",",",p
l',le,71
énorme,énorme,30
charpente,charpente,22
qui,qui,52
les,le,52
supportait,supporter,18
",",",",p
les,le,71
cages,cage,22
",",",",p
les,le,71
berlines,berline,22
",",",",p
tout,tout,75
ce,ce,74
métal,métal,21
prodigué,prodigué,31
assombrissait,assombrir,18
la,le,71
salle,salle,22
de,de,81
leur,leur,73
gris,gris,21
dur,dur,30
de,de,81
vieilles,vieux,30
ferrailles,ferraille,22
/.,/.,P
sans,sans,81
relâche,relâche,22
",",",",p
le,le,71
grondement,grondement,21
des,de,81
des,le,71
roues,roue,22
ébranlait,ébranler,18
les,le,71
dalles,dalle,22
de,de,81
fonte,fonte,22
;,;,p
tandis que,tandis que,83
",",",",p
de,de,81
la,le,71
houille,houille,22
ainsi,ainsi,60
promenée,promené,31
",",",",p
montait,monter,18
une,un,71
fine,fin,30
poudre,poudre,22
de,de,81
charbon,charbon,21
",",",",p
qui,qui,52
poudrait,poudrer,18
à,à,81
noir,noir,21
le,le,71
sol,sol,21
",",",",p
les,le,71
murs,mur,21
",",",",p
jusqu',jusque,81
aux,à,81
aux,le,71
solives,solive,22
du,de,81
du,le,71
beffroi,beffroi,21
/.,/.,P
mais,mais,82
Chaval,Chaval,20
",",",",p
ayant,avoir,13
donné,donner,12
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
au,à,81
au,le,71
tableau,tableau,21
des,de,81
des,le,71
jetons,jeton,21
",",",",p
dans,dans,81
le,le,71
petit,petit,30
bureau,bureau,21
vitré,vitré,30
du,de,81
du,le,71
receveur,receveur,21
",",",",p
revint,revenir,19
furieux,furieux,30
/.,/.,P
il,il,51
avait,avoir,18
constaté,constater,12
qu',que,83
on,on,51
leur,leur,52
refusait,refuser,18
deux,deux,72
berlines,berline,22
",",",",p
l',le,71
une,un,52
parce qu',parce que,83
elle,il,51
ne,ne,60
contenait,contenir,18
pas,pas,60
la,le,71
quantité,quantité,22
réglementaire,réglementaire,30
",",",",p
l',le,71
autre,autre,52
parce que,parce que,83
la,le,71
houille,houille,22
en,en,52
était,être,18
malpropre,malpropre,30
/.,/.,P
-,-,p
la,le,71
journée,journée,22
est,être,17
complète,complet,30
",",",",p
cria,crier,19
t,t,94
il,il,51
/.,/.,P
encore,encore,60
vingt,vingt,72
sous,sou,21
de,de,81
moins,moins,60
!,!,p
/…,/…,P
aussi,aussi,60
est,être,17
ce,ce,52
qu',que,83
on,on,51
devrait,devoir,16
prendre,prendre,14
des,de,81
des,le,71
fainéants,fainéant,21
",",",",p
qui,qui,52
se,se,51
servent,servir,17
de,de,81
leurs,leur,73
bras,bras,21
comme,comme,83
un,un,71
cochon,cochon,21
de,de,81
sa,son,73
queue,queue,22
/!,/!,P
et,et,82
son,son,73
regard,regard,21
oblique,oblique,30
",",",",p
dirigé,dirigé,31
sur,sur,81
Etienne,Etienne,20
",",",",p
complétait,compléter,18
sa,son,73
pensée,pensée,22
/.,/.,P
celui-ci,celui-ci,52
fut,être,19
tenté,tenter,12
de,de,81
répondre,répondre,14
à,à,81
coups,coup,21
de,de,81
poing,poing,21
/.,/.,P
puis,puis,60
",",",",p
il,il,51
se,se,51
demanda,demander,19
à,à,81
quoi,quoi,52
bon,bon,60
",",",",p
puisqu',puisque,83
il,il,51
partait,partir,18
/.,/.,P
cela,cela,52
le,le,52
décidait,décider,18
absolument,absolument,60
/.,/.,P
-,-,p
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
bien,bien,60
faire,faire,14
le,le,71
premier,premier,72
jour,jour,21
",",",",p
dit,dire,19
Maheu,Maheu,20
pour,pour,81
mettre,mettre,14
la,le,71
paix,paix,22
/.,/.,P
demain,demain,60
",",",",p
il,il,51
fera,faire,15
mieux,mieux,60
/.,/.,P
tous,tout,52
n',ne,60
en,en,52
restaient,rester,18
pas,pas,60
moins,moins,60
aigris,aigri,31
",",",",p
agités,agité,31
d',de,81
un,un,71
besoin,besoin,21
de,de,81
querelle,querelle,22
/.,/.,P
comme,comme,83
ils,ils,51
passaient,passer,18
à,à,81
la,le,71
lampisterie,lampisterie,22
rendre,rendre,14
leurs,leur,73
lampes,lampe,22
",",",",p
Levaque,Levaque,20
s',se,51
empoigna,empoigner,19
avec,avec,81
le,le,71
lampiste,lampiste,21
",",",",p
qu',que,52
il,il,51
accusait,accuser,18
de,de,81
mal,mal,60
nettoyer,nettoyer,14
la,le,71
sienne,sien,52
/.,/.,P
ils,ils,51
ne,ne,60
se,se,51
détendirent,détendre,19
un,un,71
peu,peu,60
que,que,52
dans,dans,81
la,le,71
baraque,baraque,22
",",",",p
où,où,60
le,le,71
feu,feu,21
brûlait,brûler,18
toujours,toujours,60
/.,/.,P
même,même,60
on,on,51
avait,avoir,18
dû,devoir,12
trop,trop,60
le,le,52
charger,charger,14
",",",",p
car,car,82
le,le,71
