11703
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-sixième extrait>,<>,<>
ce,ce,52
fut,être,19
bien,bien,60
pis,pis,60
encore,encore,60
",",",",p
quand,quand,83
",",",",p
le,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
ayant,avoir,13
vidé,vider,12
sur,sur,81
le,le,71
carreau,carreau,21
un,un,71
certain,certain,75
sac,sac,21
de,de,81
cuir,cuir,21
plein,plein,30
de,de,81
lettres,lettre,22
mobiles,mobile,30
que,que,52
Djali,Djali,20
avait,avoir,18
au,à,81
au,le,71
cou,cou,21
",",",",p
on,on,51
vit,voir,19
la,le,71
chèvre,chèvre,22
extraire,extraire,14
avec,avec,81
sa,son,73
patte,patte,22
de,de,81
l',le,71
alphabet,alphabet,21
épars,épars,30
ce,ce,74
nom,nom,21
fatal,fatal,30
:,:,p
Phoebus,Phoebus,20
/.,/.,P
les,le,71
sortilèges,sortilège,21
dont,dont,52
le,le,71
capitaine,capitaine,21
avait,avoir,18
été,être,12
victime,victime,22
parurent,paraître,19
irrésistiblement,irrésistiblement,60
démontrés,démontré,31
",",",",p
et,et,82
",",",",p
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
tous,tout,52
",",",",p
la,le,71
bohémienne,bohémienne,22
",",",",p
cette,ce,74
ravissante,ravissant,30
danseuse,danseuse,22
qui,qui,52
avait,avoir,18
tant,tant,60
de,de,81
fois,fois,22
ébloui,éblouir,12
les,le,71
passants,passant,21
de,de,81
sa,son,73
grâce,grâce,22
",",",",p
ne,ne,60
fut,être,19
plus,plus,60
qu',que,83
une,un,71
effroyable,effroyable,30
stryge,strige,22
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
elle,il,51
ne,ne,60
donnait,donner,18
aucun,aucun,75
signe,signe,21
de,de,81
vie,vie,22
/.,/.,P
ni,ni,82
les,le,71
gracieuses,gracieux,30
évolutions,évolution,22
de,de,81
Djali,Djali,20
",",",",p
ni,ni,82
les,le,71
menaces,menace,22
du,de,81
du,le,71
parquet,parquet,21
",",",",p
ni,ni,82
les,le,71
sourdes,sourd,30
imprécations,imprécation,22
de,de,81
l',le,71
auditoire,auditoire,21
",",",",p
rien,rien,52
n',ne,60
arrivait,arriver,18
plus,plus,60
à,à,81
sa,son,73
pensée,pensée,22
/.,/.,P
il,il,51
fallut,falloir,19
",",",",p
pour,pour,81
la,le,52
réveiller,réveiller,14
",",",",p
qu',que,83
un,un,71
sergent,sergent,21
la,le,52
secouât,secouer,18
sans,sans,81
pitié,pitié,22
et,et,82
que,que,83
le,le,71
président,président,21
élevât,élever,18
solennellement,solennellement,60
la,le,71
voix,voix,22
:,:,p
-,-,p
fille,fille,22
",",",",p
vous,vous,51
êtes,être,17
de,de,81
race,race,22
bohème,bohème,30
",",",",p
adonnée,adonné,31
aux,à,81
aux,le,71
maléfices,maléfice,21
/.,/.,P
vous,vous,51
avez,avoir,17
",",",",p
de,de,81
complicité,complicité,22
avec,avec,81
la,le,71
chèvre,chèvre,22
ensorcelée,ensorcelé,31
impliquée,impliqué,31
au,à,81
au,le,71
procès,procès,21
",",",",p
dans,dans,81
la,le,71
nuit,nuit,22
du,de,81
du,le,71
<Nombre 29 mars>,<>,<>
vingt,vingt,72
neuf,neuf,72
mars,mars,21
<Fin nombre>,<>,<>
dernier,dernier,30
",",",",p
meurtri,meurtrir,12
et,et,82
poignardé,poignarder,12
",",",",p
de,de,81
concert,concert,21
avec,avec,81
les,le,71
puissances,puissance,22
de,de,81
ténèbres,ténèbre,22
",",",",p
à,à,81
l',le,71
aide,aide,22
de,de,81
charmes,charme,21
et,et,82
de,de,81
pratiques,pratique,30
",",",",p
un,un,71
capitaine,capitaine,21
des,de,81
des,le,71
archers,archer,21
de,de,81
l',le,71
ordonnance,ordonnance,22
du,de,81
du,le,71
roi,roi,21
",",",",p
Phoebus,Phoebus,20
de,de,81
Châteaupers,Châteaupers,20
/.,/.,P
persistez,persister,17
vous,vous,51
à,à,81
nier,nier,14
/?,/?,P
horreur,horreur,22
!,!,p
cria,crier,19
la,le,71
jeune,jeune,30
fille,fille,22
en,en,81
cachant,cacher,13
son,son,73
visage,visage,21
de,de,81
ses,son,73
mains,main,22
/.,/.,P
mon,mon,73
Phoebus,Phoebus,20
/!,/!,P
oh,oh,93
!,!,p
c',ce,52
est,être,17
l',le,71
enfer,enfer,21
/!,/!,P
persistez,persister,17
vous,vous,51
à,à,81
nier,nier,14
?,?,p
demanda,demander,19
froidement,froidement,60
le,le,71
président,président,21
/.,/.,P
-,-,p
si,si,83
je,je,51
le,le,52
nie,nier,17
!,!,p
dit,dire,19
elle,il,51
d',de,81
un,un,71
accent,accent,21
terrible,terrible,30
",",",",p
et,et,82
elle,il,51
s',se,51
était,être,18
levée,lever,12
et,et,82
son,son,73
oeil,oeil,21
étincelait,étinceler,18
/.,/.,P
le,le,71
président,président,21
continua,continuer,19
carrément,carrément,60
:,:,p
-,-,p
alors,alors,60
comment,comment,60
expliquez,expliquer,17
vous,vous,51
les,le,71
faits,fait,21
à,à,81
votre,votre,73
charge,charge,22
/?,/?,P
elle,il,51
répondit,répondre,19
d',de,81
une,un,71
voix,voix,22
entrecoupée,entrecoupé,31
i,i,21
-,-,p
je,je,51
l',le,52
ai,avoir,17
déjà,déjà,60
dit,dire,12
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
/.,/.,P
c',ce,52
est,être,17
un,un,71
prêtre,prêtre,21
/.,/.,P
un,un,71
prêtre,prêtre,21
que,que,52
je,je,51
ne,ne,60
connais,connaître,17
pas,pas,60
/.,/.,P
un,un,71
prêtre,prêtre,21
infernal,infernal,30
qui,qui,52
me,je,51
poursuit,poursuivre,17
/!,/!,P
c',ce,52
est,être,17
cela,cela,52
",",",",p
reprit,reprendre,19
le,le,71
juge,juge,21
/.,/.,P
le,le,71
moine,moine,21
bourru,bourru,30
/.,/.,P
-,-,p
o,oh,93
messeigneurs,monseigneur,21
!,!,p
ayez,avoir,17
pitié,pitié,22
!,!,p
je,je,51
ne,ne,60
suis,être,17
qu',que,83
une,un,71
pauvre,pauvre,30
fille,fille,22
/…,/…,P
-,-,p
d',de,81
Egypte,Egypte,20
",",",",p
dit,dire,19
le,le,71
juge,juge,21
/.,/.,P
maître,maître,21
Jacques,Jacques,20
Charmolue,Charmolue,20
prit,prendre,19
la,le,71
parole,parole,22
avec,avec,81
douceur,douceur,22
:,:,p
-,-,p
attendu,attendu,81
l',le,71
obstination,obstination,22
douloureuse,douloureux,30
de,de,81
l',le,71
accusée,accusée,22
",",",",p
je,je,51
requiers,requérir,17
l',le,71
application,application,22
de,de,81
la,le,71
question,question,22
/.,/.,P
-,-,p
accordé,accordé,31
",",",",p
dit,dire,19
le,le,71
président,président,21
/.,/.,P
la,le,71
malheureuse,malheureux,30
frémit,frémir,19
de,de,81
tout,tout,75
son,son,73
corps,corps,21
/.,/.,P
elle,il,51
se,se,51
leva,lever,19
pourtant,pourtant,60
à,à,81
l',le,71
ordre,ordre,21
des,de,81
des,le,71
pertuisaniers,pertuisanier,21
",",",",p
et,et,82
marcha,marcher,19
d',de,81
un,un,71
pas,pas,21
assez,assez,60
ferme,ferme,30
",",",",p
précédée,précédé,31
de,de,81
Charmolue,Charmolue,20
et,et,82
des,de,81
des,le,71
prêtres,prêtre,21
de,de,81
l',le,71
officialité,officialité,22
",",",",p
entre,entre,81
deux,deux,72
rangs,rang,21
de,de,81
hallebardes,hallebarde,22
",",",",p
vers,vers,81
une,un,71
porte,porte,22
bâtarde,bâtard,30
qui,qui,52
s',se,51
ouvrit,ouvrir,19
subitement,subitement,60
et,et,82
se,se,51
referma,refermer,19
sur,sur,81
elle,il,51
",",",",p
ce,ce,52
qui,qui,52
fit,faire,19
au,à,81
au,le,71
triste,triste,30
Gringoire,Gringoire,20
l',le,71
effet,effet,21
d',de,81
une,un,71
gueule,gueule,22
horrible,horrible,30
qui,qui,52
venait,venir,18
de,de,81
la,le,52
dévorer,dévorer,14
/.,/.,P
quand,quand,83
elle,il,51
disparut,disparaître,19
",",",",p
on,on,51
entendit,entendre,19
un,un,71
bêlement,bêlement,21
plaintif,plaintif,30
/.,/.,P
c',ce,52
était,être,18
la,le,71
petite,petit,30
chèvre,chèvre,22
qui,qui,52
pleurait,pleurer,18
/.,/.,P
l',le,71
audience,audience,22
fut,être,19
suspendue,suspendre,12
/.,/.,P
un,un,71
conseiller,conseiller,21
ayant,avoir,13
fait,faire,12
observer,observer,14
que,que,83
messieurs,monsieur,21
étaient,être,18
fatigués,fatiguer,12
et,et,82
que,que,83
ce,ce,52
serait,être,16
bien,bien,60
long,long,30
d',de,81
attendre,attendre,14
jusqu',jusque,81
à,à,81
la,le,71
fin,fin,22
de,de,81
la,le,71
torture,torture,22
",",",",p
le,le,71
président,président,21
répondit,répondre,19
qu',que,83
un,un,71
magistrat,magistrat,21
doit,devoir,17
savoir,savoir,14
se,se,51
sacrifier,sacrifier,14
à,à,81
son,son,73
devoir,devoir,21
/.,/.,P
-,-,p
la,le,71
fâcheuse,fâcheux,30
et,et,82
déplaisante,déplaisant,30
drôlesse,drôlesse,22
",",",",p
dit,dire,19
un,un,71
vieux,vieux,30
juge,juge,21
",",",",p
qui,qui,52
se,se,51
fait,faire,17
donner,donner,14
la,le,71
question,question,22
quand,quand,83
on,on,51
n',ne,60
a,avoir,17
pas,pas,60
soupé,souper,12
/!,/!,P
<Chapitre II>,<>,<>
suite,suite,22
de,de,81
l',le,71
écu,écu,21
changé,changé,31
en,en,81
feuille,feuille,22
sèche,sec,30
/.,/.,P
après,après,81
quelques,quelque,75
degrés,degré,21
montés,monté,31
et,et,82
descendus,descendu,31
dans,dans,81
des,de,81
des,le,71
couloirs,couloir,21
si,si,60
sombres,sombre,30
qu',que,83
on,on,51
les,le,52
éclairait,éclairer,18
de,de,81
lampes,lampe,22
en,en,81
plein,plein,30
jour,jour,21
",",",",p
la,le,71
Esmeralda,Esmeralda,20
",",",",p
toujours,toujours,60
entourée,entouré,31
de,de,81
son,son,73
lugubre,lugubre,30
cortège,cortège,21
",",",",p
fut,être,19
poussée,pousser,12
par,par,81
les,le,71
sergents,sergent,21
du,de,81
du,le,71
palais,palais,21
dans,dans,81
une,un,71
chambre,chambre,22
sinistre,sinistre,30
/.,/.,P
cette,ce,74
chambre,chambre,22
",",",",p
de,de,81
forme,forme,22
ronde,rond,30
",",",",p
occupait,occuper,18
le,le,71
rez-de-chaussée,rez-de-chaussée,21
de,de,81
l',le,71
une,un,52
de,de,81
ces,ce,74
grosses,gros,30
tours,tour,22
qui,qui,52
percent,percer,17
encore,encore,60
",",",",p
dans,dans,81
notre,notre,73
siècle,siècle,21
",",",",p
la,le,71
couche,couche,22
d',de,81
édifices,édifice,21
modernes,moderne,30
dont,dont,52
le,le,71
nouveau,nouveau,30
Paris,Paris,20
a,avoir,17
recouvert,recouvrir,12
l',le,71
ancien,ancien,21
/.,/.,P
pas,pas,60
de,de,81
fenêtre,fenêtre,22
à,à,81
ce,ce,74
caveau,caveau,21
",",",",p
pas,pas,60
d',de,81
autre,autre,75
ouverture,ouverture,22
que,que,52
l',le,71
entrée,entrée,22
",",",",p
basse,bas,30
et,et,82
battue,battu,31
d',de,81
une,un,71
énorme,énorme,30
porte,porte,22
de,de,81
fer,fer,21
/.,/.,P
la,le,71
clarté,clarté,22
cependant,cependant,82
n',ne,60
y,y,52
manquait,manquer,18
point,point,60
/.,/.,P
un,un,71
four,four,21
était,être,18
pratiqué,pratiquer,12
dans,dans,81
l',le,71
épaisseur,épaisseur,22
du,de,81
du,le,71
mur,mur,21
/.,/.,P
un,un,71
gros,gros,30
feu,feu,21
y,y,52
était,être,18
allumé,allumer,12
",",",",p
qui,qui,52
remplissait,remplir,18
le,le,71
caveau,caveau,21
de,de,81
ses,son,73
rouges,rouge,30
réverbérations,réverbération,22
",",",",p
et,et,82
dépouillait,dépouiller,18
de,de,81
tout,tout,75
rayonnement,rayonnement,21
une,un,71
misérable,misérable,30
chandelle,chandelle,22
posée,posé,31
dans,dans,81
un,un,71
coin,coin,21
/.,/.,P
la,le,71
herse,herse,22
de,de,81
fer,fer,21
qui,qui,52
servait,servir,18
à,à,81
fermer,fermer,14
le,le,71
four,four,21
",",",",p
levée,levé,31
en,en,81
ce,ce,74
moment,moment,21
",",",",p
ne,ne,60
laissait,laisser,18
voir,voir,14
",",",",p
à,à,81
l',le,71
orifice,orifice,21
du,de,81
du,le,71
soupirail,soupirail,21
flamboyant,flamboyant,30
sur,sur,81
le,le,71
mur,mur,21
ténébreux,ténébreux,30
",",",",p
que,que,83
l',le,71
extrémité,extrémité,22
inférieure,inférieur,30
de,de,81
ses,son,73
barreaux,barreau,21
",",",",p
comme,comme,83
une,un,71
rangée,rangée,22
de,de,81
dents,dent,22
noires,noir,30
",",",",p
aiguës,aigu,30
et,et,82
espacées,espacé,31
",",",",p
ce,ce,52
qui,qui,52
faisait,faire,18
ressembler,ressembler,14
la,le,71
fournaise,fournaise,22
à,à,81
l',le,71
une,un,52
de,de,81
ces,ce,74
bouches,bouche,22
de,de,81
dragons,dragon,21
qui,qui,52
jettent,jeter,17
des,de,81
des,le,71
flammes,flamme,22
dans,dans,81
les,le,71
légendes,légende,22
/.,/.,P
à,à,81
la,le,71
lumière,lumière,22
qui,qui,52
s',se,51
en,en,52
échappait,échapper,18
",",",",p
la,le,71
prisonnière,prisonnière,22
vit,voir,19
tout,tout,60
autour,autour,60
de,de,81
la,le,71
chambre,chambre,22
des,de,81
des,le,71
instruments,instrument,21
effroyables,effroyable,30
dont,dont,52
elle,il,51
ne,ne,60
comprenait,comprendre,18
pas,pas,60
l',le,71
usage,usage,21
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
gisait,gésir,18
un,un,71
matelas,matelas,21
de,de,81
cuir,cuir,21
presque,presque,60
posé,posé,31
à,à,81
terre,terre,22
",",",",p
sur,sur,81
lequel,lequel,52
pendait,pendre,18
une,un,71
courroie,courroie,22
à,à,81
boucle,boucle,22
",",",",p
rattachée,rattaché,31
à,à,81
un,un,71
anneau,anneau,21
de,de,81
cuivre,cuivre,21
que,que,52
mordait,mordre,18
un,un,71
monstre,monstre,21
camard,camard,30
sculpté,sculpté,31
dans,dans,81
la,le,71
clef,clé,22
de,de,81
la,le,71
voûte,voûte,22
/.,/.,P
des,de,81
des,le,71
tenailles,tenaille,22
",",",",p
des,de,81
des,le,71
pinces,pince,22
",",",",p
de,de,81
larges,large,30
fers,fer,21
de,de,81
charrue,charrue,22
",",",",p
encombraient,encombrer,18
l',le,71
intérieur,intérieur,21
du,de,81
du,le,71
four,four,21
et,et,82
rougissaient,rougir,18
pêle-mêle,pêle-mêle,60
sur,sur,81
la,le,71
braise,braise,22
/.,/.,P
la,le,71
sanglante,sanglant,30
lueur,lueur,22
de,de,81
la,le,71
fournaise,fournaise,22
n',ne,60
éclairait,éclairer,18
dans,dans,81
toute,tout,75
la,le,71
chambre,chambre,22
qu',que,83
un,un,71
fouillis,fouillis,21
de,de,81
choses,chose,22
horribles,horrible,30
/.,/.,P
ce,ce,74
tartare,tartare,21
s',se,51
appelait,appeler,18
simplement,simplement,60
la,le,71
chambre,chambre,22
de,de,81
la,le,71
question,question,22
/.,/.,P
sur,sur,81
le,le,71
lit,lit,21
était,être,18
nonchalamment,nonchalamment,60
assis,asseoir,12
Pierrat,Pierrat,20
Torterue,Torterue,20
",",",",p
le,le,71
tourmenteur,tourmenteur,21
juré,juré,31
/.,/.,P
ses,son,73
valets,valet,21
",",",",p
deux,deux,72
gnomes,gnome,21
à,à,81
face,face,22
carrée,carré,31
",",",",p
à,à,81
tablier,tablier,21
de,de,81
cuir,cuir,21
",",",",p
à,à,81
brayes,brayer,17
de,de,81
toile,toile,22
",",",",p
remuaient,remuer,18
la,le,71
ferraille,ferraille,22
sur,sur,81
les,le,71
charbons,charbon,21
/.,/.,P
la,le,71
pauvre,pauvre,30
fille,fille,22
avait,avoir,18
eu,avoir,12
beau,beau,60
recueillir,recueillir,14
son,son,73
courage,courage,21
/.,/.,P
en,en,81
pénétrant,pénétrer,13
dans,dans,81
cette,ce,74
chambre,chambre,22
",",",",p
elle,il,51
eut,avoir,19
horreur,horreur,22
/.,/.,P
les,le,71
sergents,sergent,21
du,de,81
du,le,71
bailli,bailli,21
du,de,81
du,le,71
palais,palais,21
se,se,51
rangèrent,ranger,19
d',de,81
un,un,71
côté,côté,21
",",",",p
les,le,71
prêtres,prêtre,21
de,de,81
l',le,71
officialité,officialité,22
de,de,81
l',le,71
autre,autre,52
/.,/.,P
un,un,71
greffier,greffier,21
",",",",p
une,un,71
écritoire,écritoire,21
et,et,82
une,un,71
table,table,22
étaient,être,18
dans,dans,81
un,un,71
coin,coin,21
/.,/.,P
maître,maître,21
Jacques,Jacques,20
Charmolue,Charmolue,20
s',se,51
approcha,approcher,19
de,de,81
l',le,71
égyptienne,égyptienne,22
avec,avec,81
un,un,71
sourire,sourire,21
très,très,60
doux,doux,30
/.,/.,P
-,-,p
ma,mon,73
chère,cher,30
enfant,enfant,21
",",",",p
dit,dire,19
il,il,51
",",",",p
vous,vous,51
persistez,persister,17
donc,donc,82
à,à,81
nier,nier,14
/?,/?,P
oui,oui,60
",",",",p
répondit,répondre,19
elle,il,51
d',de,81
une,un,71
voix,voix,22
déjà,déjà,60
éteinte,éteint,31
/.,/.,P
-,-,p
en,en,81
ce,ce,74
cas,cas,21
",",",",p
reprit,reprendre,19
Charmolue,Charmolue,20
",",",",p
il,il,51
sera,être,15
bien,bien,60
douloureux,douloureux,30
pour,pour,81
nous,nous,51
de,de,81
vous,vous,51
questionner,questionner,14
avec,avec,81
plus,plus,60
d',de,81
insistance,insistance,22
que,que,83
nous,nous,51
ne,ne,60
le,le,52
voudrions,vouloir,16
/.,/.,P
-,-,p
veuillez,vouloir,17
prendre,prendre,14
la,le,71
peine,peine,22
de,de,81
vous,vous,51
asseoir,asseoir,14
sur,sur,81
ce,ce,74
lit,lit,21
/.,/.,P
-,-,p
maître,maître,21
Pierrat,Pierrat,20
",",",",p
faites,faire,17
place,place,22
à,à,81
madamoiselle,mademoiselle,22
",",",",p
et,et,82
fermez,fermer,17
la,le,71
porte,porte,22
/.,/.,P
Pierrat,Pierrat,20
se,se,51
leva,lever,19
avec,avec,81
un,un,71
grognement,grognement,21
/.,/.,P
-,-,p
si,si,83
je,je,51
ferme,fermer,17
la,le,71
porte,porte,22
",",",",p
murmura,murmurer,19
t,t,94
il,il,51
",",",",p
mon,mon,73
feu,feu,21
va,aller,17
s',se,51
éteindre,éteindre,14
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
mon,mon,73
cher,cher,30
",",",",p
repartit,repartir,19
Charmolue,Charmolue,20
",",",",p
laissez,laisser,17
la,le,52
ouverte,ouvert,31
/.,/.,P
cependant,cependant,82
la,le,71
Esmeralda,Esmeralda,20
restait,rester,18
debout,debout,60
/.,/.,P
ce,ce,74
lit,lit,21
de,de,81
cuir,cuir,21
",",",",p
où,où,60
s',se,51
étaient,être,18
tordus,tordre,12
tant,tant,60
de,de,81
misérables,misérable,21
",",",",p
l',le,52
épouvantait,épouvanter,18
/.,/.,P
la,le,71
terreur,terreur,22
lui,lui,51
glaçait,glacer,18
la,le,71
moelle,moelle,22
des,de,81
des,le,71
os,os,21
/.,/.,P
elle,il,51
était,être,18
là,là,60
",",",",p
effarée,effarer,12
et,et,82
stupide,stupide,30
/.,/.,P
à,à,81
un,un,71
signe,signe,21
de,de,81
Charmolue,Charmolue,20
",",",",p
les,le,71
deux,deux,72
valets,valet,21
la,le,52
prirent,prendre,19
et,et,82
la,le,52
posèrent,poser,19
assise,assis,31
sur,sur,81
le,le,71
lit,lit,21
/.,/.,P
ils,ils,51
ne,ne,60
lui,lui,51
firent,faire,19
aucun,aucun,75
mal,mal,21
",",",",p
mais,mais,82
quand,quand,83
ces,ce,74
hommes,homme,21
la,le,52
touchèrent,toucher,19
",",",",p
quand,quand,83
ce,ce,74
cuir,cuir,21
la,le,52
toucha,toucher,19
",",",",p
elle,il,51
sentit,sentir,19
tout,tout,75
son,son,73
sang,sang,21
refluer,refluer,14
vers,vers,81
son,son,73
coeur,coeur,21
/.,/.,P
elle,il,51
jeta,jeter,19
un,un,71
regard,regard,21
égaré,égaré,31
autour,autour,60
de,de,81
la,le,71
chambre,chambre,22
/.,/.,P
il,il,51
lui,lui,51
sembla,sembler,19
voir,voir,14
se,se,51
mouvoir,mouvoir,14
et,et,82
marcher,marcher,14
de,de,81
toutes,tout,75
parts,part,22
vers,vers,81
elle,il,51
",",",",p
pour,pour,81
lui,lui,51
grimper,grimper,14
le,le,71
long,long,21
du,de,81
du,le,71
corps,corps,21
et,et,82
la,le,52
mordre,mordre,14
et,et,82
la,le,52
pincer,pincer,14
",",",",p
tous,tout,75
ces,ce,74
difformes,difforme,30
outils,outil,21
de,de,81
la,le,71
torture,torture,22
",",",",p
qui,qui,52
étaient,être,18
",",",",p
parmi,parmi,81
les,le,71
instruments,instrument,21
de,de,81
tout,tout,75
genre,genre,21
qu',que,52
elle,il,51
avait,avoir,18
vus,voir,12
jusqu',jusque,81
alors,alors,60
",",",",p
ce,ce,52
que,que,52
sont,être,17
les,le,71
chauves-souris,chauve-souris,22
",",",",p
les,le,71
mille,mille,72
pieds,pied,21
et,et,82
les,le,71
araignées,araignée,22
parmi,parmi,81
les,le,71
insectes,insecte,21
et,et,82
les,le,71
oiseaux,oiseau,21
/.,/.,P
-,-,p
où,où,60
est,être,17
le,le,71
médecin,médecin,21
?,?,p
demanda,demander,19
Charmolue,Charmolue,20
/.,/.,P
-,-,p
ici,ici,60
",",",",p
répondit,répondre,19
une,un,71
robe,robe,22
noire,noir,30
qu',que,52
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
encore,encore,60
aperçue,apercevoir,12
/.,/.,P
elle,il,51
frissonna,frissonner,19
/.,/.,P
-,-,p
madamoiselle,mademoiselle,22
",",",",p
reprit,reprendre,19
la,le,71
voix,voix,22
caressante,caressant,30
du,de,81
du,le,71
procureur,procureur,21
en,en,81
cour,cour,22
d',de,81
église,église,22
",",",",p
pour,pour,81
la,le,71
troisième,troisième,72
fois,fois,22
persistez,persister,17
vous,vous,51
à,à,81
nier,nier,14
les,le,71
faits,fait,21
dont,dont,52
vous,vous,51
êtes,être,17
accusée,accuser,12
/?,/?,P
cette,ce,74
fois,fois,22
elle,il,51
ne,ne,60
put,pouvoir,19
que,que,83
faire,faire,14
un,un,71
signe,signe,21
de,de,81
tête,tête,22
/.,/.,P
la,le,71
voix,voix,22
lui,lui,51
manqua,manquer,19
/.,/.,P
-,-,p
vous,vous,51
persistez,persister,17
?,?,p
dit,dire,19
Jacques,Jacques,20
Charmolue,Charmolue,20
/.,/.,P
alors,alors,60
",",",",p
j',je,51
en,en,52
suis,être,17
désespéré,désespérer,12
",",",",p
mais,mais,82
il,il,51
faut,falloir,17
que,que,83
je,je,51
remplisse,remplir,17
le,le,71
devoir,devoir,21
de,de,81
mon,mon,73
office,office,21
/.,/.,P
-,-,p
monsieur,monsieur,21
le,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
",",",",p
dit,dire,19
brusquement,brusquement,60
Pierrat,Pierrat,20
",",",",p
par,par,81
où,où,60
commencerons,commencer,15
nous,nous,51
/?,/?,P
Charmolue,Charmolue,20
hésita,hésiter,19
un,un,71
moment,moment,21
avec,avec,81
la,le,71
grimace,grimace,22
ambiguë,ambigu,30
d',de,81
un,un,71
poète,poète,21
qui,qui,52
cherche,chercher,17
une,un,71
rime,rime,22
/.,/.,P
-,-,p
par,par,81
le,le,71
brodequin,brodequin,21
",",",",p
dit,dire,19
il,il,51
enfin,enfin,60
/.,/.,P
l',le,71
infortunée,infortuné,30
se,se,51
sentit,sentir,19
si,si,60
profondément,profondément,60
abandonnée,abandonné,31
de,de,81
dieu,dieu,21
et,et,82
des,de,81
des,le,71
hommes,homme,21
que,que,52
sa,son,73
tête,tête,22
tomba,tomber,19
sur,sur,81
sa,son,73
poitrine,poitrine,22
comme,comme,83
une,un,71
chose,chose,22
inerte,inerte,30
qui,qui,52
n',ne,60
a,avoir,17
pas,pas,60
de,de,81
force,force,22
en,en,81
soi,soi,51
/.,/.,P
le,le,71
tourmenteur,tourmenteur,21
et,et,82
le,le,71
médecin,médecin,21
s',se,51
approchèrent,approcher,19
d',de,81
elle,il,51
à,à,81
la,le,71
fois,fois,22
/.,/.,P
en,en,81
même,même,75
temps,temps,21
",",",",p
les,le,71
deux,deux,72
valets,valet,21
se,se,51
mirent,mettre,19
à,à,81
fouiller,fouiller,14
dans,dans,81
leur,leur,73
hideux,hideux,30
arsenal,arsenal,21
/.,/.,P
au,à,81
au,le,71
cliquetis,cliquetis,21
de,de,81
ces,ce,74
affreuses,affreux,30
ferrailles,ferraille,22
",",",",p
la,le,71
malheureuse,malheureux,30
enfant,enfant,21
tressaillit,tressaillir,19
comme,comme,83
une,un,71
grenouille,grenouille,22
morte,mort,31
qu',que,52
on,on,51
galvanise,galvaniser,17
/.,/.,P
-,-,p
oh,oh,93
!,!,p
murmura,murmurer,19
t,t,94
elle,il,51
",",",",p
si,si,60
bas,bas,60
que,que,83
nul,nul,52
ne,ne,60
l',le,52
entendit,entendre,19
",",",",p
ô,oh,93
mon,mon,73
Phoebus,Phoebus,20
/!,/!,P
puis,puis,60
elle,il,51
se,se,51
replongea,replonger,19
dans,dans,81
son,son,73
immobilité,immobilité,22
et,et,82
dans,dans,81
son,son,73
silence,silence,21
de,de,81
marbre,marbre,21
/.,/.,P
ce,ce,74
spectacle,spectacle,21
eût,avoir,19
déchiré,déchirer,12
tout,tout,75
autre,autre,75
coeur,coeur,21
que,que,52
des,de,81
des,le,71
coeurs,coeur,21
de,de,81
juges,juge,21
/.,/.,P
on,on,51
eût,avoir,19
dit,dire,12
une,un,71
pauvre,pauvre,30
âme,âme,22
pécheresse,pécheur,30
questionnée,questionné,31
par,par,81
Satan,Satan,20
sous,sous,81
l',le,71
écarlate,écarlate,30
guichet,guichet,21
de,de,81
l',le,71
enfer,enfer,21
/.,/.,P
le,le,71
misérable,misérable,30
corps,corps,21
auquel,à,81
auquel,lequel,52
allait,aller,18
se,se,51
cramponner,cramponner,14
cette,ce,74
effroyable,effroyable,30
fourmilière,fourmilière,22
de,de,81
scies,scie,22
",",",",p
de,de,81
roues,roue,22
et,et,82
de,de,81
chevalets,chevalet,21
",",",",p
l',le,71
être,être,21
qu',que,52
allaient,aller,18
manier,manier,14
ces,ce,74
âpres,âpre,30
mains,main,22
de,de,81
bourreaux,bourreau,21
et,et,82
de,de,81
tenailles,tenaille,22
",",",",p
c',ce,52
était,être,18
donc,donc,82
cette,ce,74
douce,doux,30
",",",",p
blanche,blanc,30
et,et,82
fragile,fragile,30
créature,créature,22
/.,/.,P
pauvre,pauvre,30
grain,grain,21
de,de,81
mil,mil,21
que,que,52
la,le,71
justice,justice,22
humaine,humain,30
donnait,donner,18
à,à,81
moudre,moudre,14
aux,à,81
aux,le,71
épouvantables,épouvantable,30
meules,meule,22
de,de,81
la,le,71
torture,torture,22
/!,/!,P
cependant,cependant,82
les,le,71
mains,main,22
calleuses,calleux,30
des,de,81
des,le,71
valets,valet,21
de,de,81
Pierrat,Pierrat,20
Torterue,Torterue,20
avaient,avoir,18
brutalement,brutalement,60
mis,mettre,12
à,à,81
nu,nu,21
cette,ce,74
jambe,jambe,22
charmante,charmant,30
",",",",p
ce,ce,74
petit,petit,30
pied,pied,21
qui,qui,52
avaient,avoir,18
tant,tant,60
de,de,81
fois,fois,22
émerveillé,émerveiller,12
les,le,71
passants,passant,21
de,de,81
leur,leur,73
gentillesse,gentillesse,22
