11426
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-sixième extrait>,<>,<>
songez,songer,17
à,à,81
l',le,71
éducation,éducation,22
qu',que,52
il,il,51
a,avoir,17
reçue,recevoir,12
!,!,p
/…,/…,P
-,-,p
votre,votre,73
excellence,excellence,22
devait,devoir,18
songer,songer,14
qu',que,83
un,un,71
jour,jour,21
il,il,51
serait,être,16
le,le,71
maître,maître,21
",",",",p
et,et,82
placer,placer,14
un,un,71
homme,homme,21
d',de,81
esprit,esprit,21
auprès,auprès,60
de,de,81
lui,lui,51
/.,/.,P
-,-,p
d'abord,d'abord,60
",",",",p
nous,nous,51
avons,avoir,17
l',le,71
exemple,exemple,21
de,de,81
l',le,71
abbé,abbé,21
de,de,81
Condillac,Condillac,20
",",",",p
qui,qui,52
",",",",p
appelé,appelé,31
par,par,81
le,le,71
marquis,marquis,21
de,de,81
Felino,Felino,20
",",",",p
mon,mon,73
prédécesseur,prédécesseur,21
",",",",p
ne,ne,60
fit,faire,19
de,de,81
son,son,73
élève,élève,21
que,que,83
le,le,71
roi,roi,21
des,de,81
des,le,71
nigauds,nigaud,21
/.,/.,P
il,il,51
allait,aller,18
à,à,81
la,le,71
procession,procession,22
",",",",p
et,et,82
",",",",p
en,en,81
<Nombre 1796>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
seize,seize,72
<Fin nombre>,<>,<>
",",",",p
il,il,51
ne,ne,60
sut,savoir,19
pas,pas,60
traiter,traiter,14
avec,avec,81
le,le,71
général,général,21
Bonaparte,Bonaparte,20
",",",",p
qui,qui,52
eût,avoir,19
triplé,tripler,12
l',le,71
étendue,étendue,22
de,de,81
ses,son,73
états,état,21
/.,/.,P
en,en,81
second,second,72
lieu,lieu,21
",",",",p
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
cru,croire,12
rester,rester,14
ministre,ministre,21
dix,dix,72
ans,an,21
de,de,81
suite,suite,22
/.,/.,P
maintenant,maintenant,60
que,que,83
je,je,51
suis,être,17
désabusé,désabuser,12
de,de,81
tout,tout,52
",",",",p
et,et,82
cela,cela,52
depuis,depuis,81
un,un,71
mois,mois,21
",",",",p
je,je,51
veux,vouloir,17
réunir,réunir,14
un,un,72
million,million,21
",",",",p
avant,avant,81
de,de,81
laisser,laisser,14
à,à,81
elle-même,lui-même,51
cette,ce,74
pétaudière,pétaudière,22
que,que,52
j',je,51
ai,avoir,17
sauvée,sauver,12
/.,/.,P
sans,sans,81
moi,moi,51
",",",",p
Parme,Parme,20
eût,avoir,19
été,être,12
république,république,22
pendant,pendant,81
deux,deux,72
mois,mois,21
",",",",p
avec,avec,81
le,le,71
poète,poète,21
Ferrante,Ferrante,20
Palla,Palla,20
pour,pour,81
dictateur,dictateur,21
/.,/.,P
ce,ce,74
mot,mot,21
fit,faire,19
rougir,rougir,14
la,le,71
duchesse,duchesse,22
/.,/.,P
le,le,71
comte,comte,21
ignorait,ignorer,18
tout,tout,52
/.,/.,P
-,-,p
nous,nous,51
allons,aller,17
retomber,retomber,14
dans,dans,81
la,le,71
monarchie,monarchie,22
ordinaire,ordinaire,30
du,de,81
du,le,71
dix-huitième,dix-huitième,72
siècle,siècle,21
:,:,p
le,le,71
confesseur,confesseur,21
et,et,82
la,le,71
maîtresse,maîtresse,22
/.,/.,P
au,à,81
au,le,71
fond,fond,21
",",",",p
le,le,71
prince,prince,21
n',ne,60
aime,aimer,17
que,que,83
la,le,71
minéralogie,minéralogie,22
",",",",p
et,et,82
peut-être,peut-être,60
vous,vous,51
",",",",p
madame,madame,22
/.,/.,P
depuis,depuis,81
qu',que,83
il,il,51
règne,régner,17
",",",",p
son,son,73
valet,valet,21
de,de,81
chambre,chambre,22
dont,dont,52
je,je,51
viens,venir,17
de,de,81
faire,faire,14
le,le,71
frère,frère,21
capitaine,capitaine,21
",",",",p
ce,ce,74
frère,frère,21
a,avoir,17
neuf,neuf,72
mois,mois,21
de,de,81
service,service,21
",",",",p
ce,ce,74
valet,valet,21
de,de,81
chambre,chambre,22
",",",",p
dis,dire,19
je,je,51
",",",",p
est,être,17
allé,aller,12
lui,lui,51
fourrer,fourrer,14
dans,dans,81
la,le,71
tête,tête,22
qu',que,83
il,il,51
doit,devoir,17
être,être,14
plus,plus,60
heureux,heureux,30
qu',que,83
un,un,71
autre,autre,52
parce que,parce que,83
son,son,73
profil,profil,21
va,aller,17
se,se,51
trouver,trouver,14
sur,sur,81
les,le,71
écus,écu,21
/.,/.,P
à,à,81
la,le,71
suite,suite,22
de,de,81
cette,ce,74
belle,beau,30
idée,idée,22
est,être,17
arrivé,arriver,12
l',le,71
ennui,ennui,21
/.,/.,P
maintenant,maintenant,60
il,il,51
lui,lui,51
faut,falloir,17
un,un,71
aide,aide,21
de,de,81
camp,camp,21
",",",",p
remède,remède,21
à,à,81
l',le,71
ennui,ennui,21
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
quand,quand,83
il,il,51
m',je,51
offrirait,offrir,16
ce,ce,74
fameux,fameux,30
million,million,21
qui,qui,52
nous,nous,51
est,être,17
nécessaire,nécessaire,30
pour,pour,81
bien,bien,60
vivre,vivre,14
à,à,81
Naples,Naples,20
ou,ou,82
à,à,81
Paris,Paris,20
",",",",p
je,je,51
ne,ne,60
voudrais,vouloir,16
pas,pas,60
être,être,14
son,son,73
remède,remède,21
de,de,81
l',le,71
ennui,ennui,21
",",",",p
et,et,82
passer,passer,14
chaque,chaque,75
jour,jour,21
quatre,quatre,72
ou,ou,82
cinq,cinq,72
heures,heure,22
avec,avec,81
son,son,73
altesse,altesse,22
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
comme,comme,83
j',je,51
ai,avoir,17
plus,plus,60
d',de,81
esprit,esprit,21
que,que,83
lui,lui,51
",",",",p
au,à,81
au,le,71
bout,bout,21
d',de,81
un,un,71
mois,mois,21
il,il,51
me,je,51
prendrait,prendre,16
pour,pour,81
un,un,71
monstre,monstre,21
/.,/.,P
le,le,71
feu,feu,21
prince,prince,21
était,être,18
méchant,méchant,30
et,et,82
envieux,envieux,30
",",",",p
mais,mais,82
il,il,51
avait,avoir,18
fait,faire,12
la,le,71
guerre,guerre,22
et,et,82
commandé,commander,12
des,de,81
des,le,71
corps,corps,21
d',de,81
armée,armée,22
",",",",p
ce,ce,52
qui,qui,52
lui,lui,51
avait,avoir,18
donné,donner,12
de,de,81
la,le,71
tenue,tenue,22
;,;,p
on,on,51
trouvait,trouver,18
en,en,81
lui,lui,51
l',le,71
étoffe,étoffe,22
d',de,81
un,un,71
prince,prince,21
",",",",p
et,et,82
je,je,51
pouvais,pouvoir,18
être,être,14
ministre,ministre,21
bon,bon,30
ou,ou,82
mauvais,mauvais,30
/.,/.,P
avec,avec,81
cet,ce,74
honnête,honnête,30
homme,homme,21
de,de,81
fils,fils,21
candide,candide,30
et,et,82
vraiment,vraiment,60
bon,bon,30
",",",",p
je,je,51
suis,être,17
forcé,forcer,12
d',de,81
être,être,14
un,un,71
intrigant,intrigant,21
/.,/.,P
me,je,51
voici,voici,81
le,le,71
rival,rival,21
de,de,81
la,le,71
dernière,dernier,30
femmelette,femmelette,22
du,de,81
du,le,71
château,château,21
",",",",p
et,et,82
rival,rival,21
fort,fort,60
inférieur,inférieur,30
",",",",p
car,car,82
je,je,51
mépriserai,mépriser,15
cent,cent,72
détails,détail,21
nécessaires,nécessaire,30
/.,/.,P
par,par,81
exemple,exemple,21
",",",",p
il,il,51
y,y,52
a,avoir,17
trois,trois,72
jours,jour,21
",",",",p
une,un,52
de,de,81
ces,ce,74
femmes,femme,22
qui,qui,52
distribuent,distribuer,17
les,le,71
serviettes,serviette,22
blanches,blanc,30
tous,tout,75
les,le,71
matins,matin,21
dans,dans,81
les,le,71
appartements,appartement,21
a,avoir,17
eu,avoir,12
l',le,71
idée,idée,22
de,de,81
faire,faire,14
perdre,perdre,14
au,à,81
au,le,71
prince,prince,21
la,le,71
clef,clé,22
d',de,81
un,un,52
de,de,81
ses,son,73
bureaux,bureau,21
anglais,anglais,30
/.,/.,P
sur,sur,81
quoi,quoi,52
son,son,73
altesse,altesse,22
a,avoir,17
refusé,refuser,12
de,de,81
s',se,51
occuper,occuper,14
de,de,81
toutes,tout,75
les,le,71
affaires,affaire,22
dont,dont,52
les,le,71
papiers,papier,21
se,se,51
trouvent,trouver,17
dans,dans,81
ce,ce,74
bureau,bureau,21
;,;,p
à,à,81
la,le,71
vérité,vérité,22
pour,pour,81
vingt,vingt,72
francs,franc,21
on,on,51
peut,pouvoir,17
faire,faire,14
détacher,détacher,14
les,le,71
planches,planche,22
qui,qui,52
en,en,52
forment,former,17
le,le,71
fond,fond,21
",",",",p
ou,ou,82
employer,employer,14
de,de,81
fausses,faux,30
clefs,clé,22
;,;,p
mais,mais,82
Ranuce,Ranuce,20
Ernest V,Ernest V,20
m',je,51
a,avoir,17
dit,dire,12
que,que,83
ce,ce,52
serait,être,16
donner,donner,14
de,de,81
mauvaises,mauvais,30
habitudes,habitude,22
au,à,81
au,le,71
serrurier,serrurier,21
de,de,81
la,le,71
cour,cour,22
/.,/.,P
jusqu',jusque,81
ici,ici,60
il,il,51
lui,lui,51
a,avoir,17
été,être,12
absolument,absolument,60
impossible,impossible,30
de,de,81
garder,garder,14
trois,trois,72
jours,jour,21
de,de,81
suite,suite,22
la,le,71
même,même,75
volonté,volonté,22
/.,/.,P
s',si,83
il,il,51
fût,être,19
né,naître,12
monsieur,monsieur,21
le,le,71
marquis,marquis,21
un,un,71
tel,tel,75
",",",",p
avec,avec,81
de,de,81
la,le,71
fortune,fortune,22
",",",",p
ce,ce,74
jeune,jeune,30
prince,prince,21
eût,avoir,19
été,être,12
un,un,52
des,de,81
des,le,71
hommes,homme,21
les,le,71
plus,plus,60
estimables,estimable,30
de,de,81
sa,son,73
cour,cour,22
",",",",p
une,un,71
sorte,sorte,22
de,de,81
Louis XVI,Louis XVI,20
;,;,p
mais,mais,82
comment,comment,60
",",",",p
avec,avec,81
sa,son,73
naïveté,naïveté,22
pieuse,pieux,30
",",",",p
va,aller,17
t,t,94
il,il,51
résister,résister,14
à,à,81
toutes,tout,75
les,le,71
savantes,savant,30
embûches,embûche,22
dont,dont,52
il,il,51
est,être,17
entouré,entourer,12
/?,/?,P
aussi,aussi,60
le,le,71
salon,salon,21
de,de,81
votre,votre,73
ennemie,ennemie,22
la,le,71
Raversi,Raversi,20
est,être,17
plus,plus,60
puissant,puissant,30
que,que,83
jamais,jamais,60
;,;,p
on,on,51
y,y,52
a,avoir,17
découvert,découvrir,12
que,que,83
moi,moi,51
",",",",p
qui,qui,52
ai,avoir,17
fait,faire,12
tirer,tirer,14
sur,sur,81
le,le,71
peuple,peuple,21
",",",",p
et,et,82
qui,qui,52
étais,être,18
résolu,résoudre,12
à,à,81
tuer,tuer,14
trois,trois,72
mille,mille,72
hommes,homme,21
s',si,83
il,il,51
le,le,52
fallait,falloir,18
",",",",p
plutôt,plutôt,60
que,que,83
de,de,81
laisser,laisser,14
outrager,outrager,14
la,le,71
statue,statue,22
du,de,81
du,le,71
prince,prince,21
qui,qui,52
avait,avoir,18
été,être,12
mon,mon,73
maître,maître,21
",",",",p
je,je,51
suis,être,17
un,un,71
libéral,libéral,21
enragé,enragé,31
",",",",p
je,je,51
voulais,vouloir,18
faire,faire,14
signer,signer,14
une,un,71
constitution,constitution,22
",",",",p
et,et,82
cent,cent,72
absurdités,absurdité,22
pareilles,pareil,30
/.,/.,P
avec,avec,81
ces,ce,74
propos,propos,21
de,de,81
république,république,22
",",",",p
les,le,71
fous,fou,21
nous,nous,51
empêcheraient,empêcher,16
de,de,81
jouir,jouir,14
de,de,81
la,le,71
meilleure,meilleur,30
des,de,81
des,le,71
monarchies,monarchie,22
/…,/…,P
enfin,enfin,60
",",",",p
madame,madame,22
",",",",p
vous,vous,51
êtes,être,17
la,le,71
seule,seul,30
personne,personne,22
du,de,81
du,le,71
parti,parti,21
libéral,libéral,30
actuel,actuel,30
dont,dont,52
mes,mon,73
ennemis,ennemi,21
me,je,51
font,faire,17
le,le,71
chef,chef,21
",",",",p
sur,sur,81
le,le,71
compte,compte,21
de,de,81
qui,qui,52
le,le,71
prince,prince,21
ne,ne,60
se,se,51
soit,être,17
pas,pas,60
expliqué,expliquer,12
en,en,81
termes,terme,21
désobligeants,désobligeant,30
;,;,p
l',le,71
archevêque,archevêque,21
",",",",p
toujours,toujours,60
parfaitement,parfaitement,60
honnête,honnête,30
homme,homme,21
",",",",p
pour,pour,81
avoir,avoir,14
parlé,parler,12
en,en,81
termes,terme,21
raisonnables,raisonnable,30
de,de,81
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
fait,faire,12
le,le,71
jour,jour,21
malheureux,malheureux,30
",",",",p
est,être,17
en,en,81
pleine,plein,30
disgrâce,disgrâce,22
/.,/.,P
le,le,71
lendemain,lendemain,21
du,de,81
du,le,71
jour,jour,21
qui,qui,52
ne,ne,60
s',se,51
appelait,appeler,18
pas,pas,60
encore,encore,60
malheureux,malheureux,30
",",",",p
quand,quand,83
il,il,51
était,être,18
encore,encore,60
vrai,vrai,30
que,que,83
la,le,71
révolte,révolte,22
avait,avoir,18
existé,exister,12
",",",",p
le,le,71
prince,prince,21
dit,dire,19
à,à,81
l',le,71
archevêque,archevêque,21
que,que,83
",",",",p
pour,pour,81
que,que,83
vous,vous,51
n',ne,60
eussiez,avoir,18
pas,pas,60
à,à,81
prendre,prendre,14
un,un,71
titre,titre,21
inférieur,inférieur,30
en,en,81
m',je,51
épousant,épouser,13
",",",",p
il,il,51
me,je,51
ferait,faire,16
duc,duc,21
/.,/.,P
aujourd'hui,aujourd'hui,60
je,je,51
crois,croire,17
que,que,83
c',ce,52
est,être,17
Rassi,Rassi,20
",",",",p
anobli,anobli,31
par,par,81
moi,moi,51
lorsqu',lorsque,83
il,il,51
me,je,51
vendait,vendre,18
les,le,71
secrets,secret,21
du,de,81
du,le,71
feu,feu,21
prince,prince,21
",",",",p
qui,qui,52
va,aller,17
être,être,14
fait,faire,12
comte,comte,21
/.,/.,P
en,en,81
présence,présence,22
d',de,81
un,un,71
tel,tel,75
avancement,avancement,21
je,je,51
jouerai,jouer,15
le,le,71
rôle,rôle,21
d',de,81
un,un,71
nigaud,nigaud,21
/.,/.,P
-,-,p
et,et,82
le,le,71
pauvre,pauvre,30
prince,prince,21
se,se,51
mettra,mettre,15
dans,dans,81
la,le,71
crotte,crotte,22
/.,/.,P
-,-,p
sans,sans,81
doute,doute,21
:,:,p
mais,mais,82
au,à,81
au,le,71
fond,fond,21
il,il,51
est,être,17
le,le,71
maître,maître,21
",",",",p
qualité,qualité,22
qui,qui,52
",",",",p
en,en,81
moins,moins,60
de,de,81
quinze,quinze,72
jours,jour,21
",",",",p
fait,faire,17
disparaître,disparaître,14
le,le,71
ridicule,ridicule,21
/.,/.,P
ainsi,ainsi,60
",",",",p
chère,cher,30
duchesse,duchesse,22
",",",",p
faisons,faire,17
comme,comme,83
au,à,81
au,le,71
jeu,jeu,21
de,de,81
tric-trac,tric-trac,21
",",",",p
allons,aller,17
nous,nous,51
en,en,52
/.,/.,P
-,-,p
mais,mais,82
nous,nous,51
ne,ne,60
serons,être,15
guère,guère,60
riches,riche,30
/.,/.,P
-,-,p
au,à,81
au,le,71
fond,fond,21
",",",",p
ni,ni,82
vous,vous,51
ni,ni,82
moi,moi,51
n',ne,60
avons,avoir,17
besoin,besoin,21
de,de,81
luxe,luxe,21
/.,/.,P
si,si,83
vous,vous,51
me,je,51
donnez,donner,17
à,à,81
Naples,Naples,20
une,un,71
place,place,22
dans,dans,81
une,un,71
loge,loge,22
à,à,81
San Carlo,San Carlo,20
et,et,82
un,un,71
cheval,cheval,21
",",",",p
je,je,51
suis,être,17
plus,plus,60
que,que,83
satisfait,satisfaire,12
;,;,p
ce,ce,52
ne,ne,60
sera,être,15
jamais,jamais,60
le,le,71
plus,plus,60
ou,ou,82
moins,moins,60
de,de,81
luxe,luxe,21
qui,qui,52
nous,nous,51
donnera,donner,15
un,un,71
rang,rang,21
à,à,81
vous,vous,51
et,et,82
à,à,81
moi,moi,51
",",",",p
c',ce,52
est,être,17
le,le,71
plaisir,plaisir,21
que,que,52
les,le,71
gens,gens,21
d',de,81
esprit,esprit,21
du,de,81
du,le,71
pays,pays,21
pourront,pouvoir,15
trouver,trouver,14
peut-être,peut-être,60
à,à,81
venir,venir,14
prendre,prendre,14
une,un,71
tasse,tasse,22
de,de,81
thé,thé,21
chez,chez,81
vous,vous,51
/.,/.,P
-,-,p
mais,mais,82
",",",",p
reprit,reprendre,19
la,le,71
duchesse,duchesse,22
",",",",p
que,que,52
serait,être,16
il,il,51
arrivé,arriver,12
",",",",p
le,le,71
jour,jour,21
malheureux,malheureux,30
",",",",p
si,si,83
vous,vous,51
vous,vous,51
étiez,être,18
tenu,tenir,12
à,à,81
l',le,71
écart,écart,21
comme,comme,83
j',je,51
espère,espérer,17
que,que,83
vous,vous,51
le,le,52
ferez,faire,15
à,à,81
l',le,71
avenir,avenir,21
/?,/?,P
-,-,p
les,le,71
troupes,troupe,22
fraternisaient,fraterniser,18
avec,avec,81
le,le,71
peuple,peuple,21
",",",",p
il,il,51
y,y,52
avait,avoir,18
trois,trois,72
jours,jour,21
de,de,81
massacre,massacre,21
et,et,82
d',de,81
incendie,incendie,21
(,(,p
car,car,82
il,il,51
faut,falloir,17
cent,cent,72
ans,an,21
à,à,81
ce,ce,74
pays,pays,21
pour,pour,81
que,que,83
la,le,71
république,république,22
n',ne,60
y,y,52
soit,être,17
pas,pas,60
une,un,71
absurdité,absurdité,22
),),p
",",",",p
puis,puis,60
quinze,quinze,72
jours,jour,21
de,de,81
pillage,pillage,21
",",",",p
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
deux,deux,72
ou,ou,82
trois,trois,72
régiments,régiment,21
fournis,fourni,31
par,par,81
l',le,71
étranger,étranger,21
fussent,être,18
venus,venir,12
mettre,mettre,14
le,le,71
holà,holà,93
/.,/.,P
Ferrante,Ferrante,20
Palla,Palla,20
était,être,18
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
peuple,peuple,21
",",",",p
plein,plein,30
de,de,81
courage,courage,21
et,et,82
furibond,furibond,30
comme,comme,83
à,à,81
l',le,71
ordinaire,ordinaire,22
;,;,p
il,il,51
avait,avoir,18
sans,sans,81
doute,doute,21
une,un,71
douzaine,douzaine,22
d',de,81
amis,ami,21
qui,qui,52
agissaient,agir,18
de,de,81
concert,concert,21
avec,avec,81
lui,lui,51
",",",",p
ce,ce,52
dont,dont,52
Rassi,Rassi,20
fera,faire,15
une,un,71
superbe,superbe,30
conspiration,conspiration,22
/.,/.,P
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
sûr,sûr,30
",",",",p
c',ce,52
est,être,17
que,que,83
",",",",p
porteur,porteur,21
d',de,81
un,un,71
habit,habit,21
d',de,81
un,un,71
délabrement,délabrement,21
incroyable,incroyable,30
!,!,p
il,il,51
distribuait,distribuer,18
l',le,71
or,or,21
à,à,81
pleines,plein,30
mains,main,22
/.,/.,P
la,le,71
duchesse,duchesse,22
",",",",p
émerveillée,émerveillé,31
de,de,81
toutes,tout,75
ces,ce,74
nouvelles,nouvelle,22
",",",",p
se,se,51
hâta,hâter,19
d',de,81
aller,aller,14
remercier,remercier,14
la,le,71
princesse,princesse,22
/.,/.,P
au,à,81
au,le,71
moment,moment,21
de,de,81
son,son,73
entrée,entrée,22
dans,dans,81
la,le,71
chambre,chambre,22
",",",",p
la,le,71
dame,dame,22
d',de,81
atours,atour,21
lui,lui,51
remit,remettre,19
la,le,71
petite,petit,30
clef,clé,22
d',de,81
or,or,21
que,que,52
l',l',94
on,on,51
porte,porter,17
à,à,81
la,le,71
ceinture,ceinture,22
",",",",p
et,et,82
qui,qui,52
est,être,17
la,le,71
marque,marque,22
de,de,81
l',le,71
autorité,autorité,22
suprême,suprême,30
dans,dans,81
la,le,71
partie,partie,22
du,de,81
du,le,71
palais,palais,21
qui,qui,52
dépend,dépendre,17
de,de,81
la,le,71
princesse,princesse,22
/.,/.,P
Clara,Clara,20
Paolina,Paolina,20
se,se,51
hâta,hâter,19
de,de,81
faire,faire,14
sortir,sortir,14
tout,tout,75
le,le,71
monde,monde,21
;,;,p
et,et,82
",",",",p
une,un,71
fois,fois,22
seule,seul,30
avec,avec,81
son,son,73
amie,amie,22
",",",",p
persista,persister,19
pendant,pendant,81
quelques,quelque,75
instants,instant,21
à,à,81
ne,ne,60
s',se,51
expliquer,expliquer,14
qu',que,83
à,à,81
demi,demi,30
/.,/.,P
la,le,71
duchesse,duchesse,22
ne,ne,60
comprenait,comprendre,18
pas,pas,60
trop,trop,60
ce,ce,52
que,que,52
tout,tout,52
cela,cela,52
voulait,vouloir,18
dire,dire,14
",",",",p
et,et,82
ne,ne,60
répondait,répondre,18
qu',que,83
avec,avec,81
beaucoup,beaucoup,60
de,de,81
réserve,réserve,22
/.,/.,P
enfin,enfin,60
",",",",p
la,le,71
princesse,princesse,22
fondit,fondre,19
en,en,81
larmes,larme,22
",",",",p
et,et,82
",",",",p
se,se,51
jetant,jeter,13
dans,dans,81
les,le,71
bras,bras,21
de,de,81
la,le,71
duchesse,duchesse,22
",",",",p
s',se,51
écria,écrier,19
:,:,p
les,le,71
temps,temps,21
de,de,81
mon,mon,73
malheur,malheur,21
vont,aller,17
recommencer,recommencer,14
:,:,p
mon,mon,73
fils,fils,21
me,je,51
traitera,traiter,15
plus,plus,60
mal,mal,60
que,que,83
ne,ne,60
l',le,52
a,avoir,17
fait,faire,12
son,son,73
père,père,21
/!,/!,P
-,-,p
c',ce,52
est,être,17
ce,ce,52
que,que,52
j',je,51
empêcherai,empêcher,15
",",",",p
répliqua,répliquer,19
vivement,vivement,60
la,le,71
duchesse,duchesse,22
/.,/.,P
mais,mais,82
d'abord,d'abord,60
j',je,51
ai,avoir,17
besoin,besoin,21
",",",",p
continua,continuer,19
t,t,94
elle,il,51
",",",",p
que,que,83
votre,votre,73
altesse,altesse,22
sérénissime,sérénissime,30
daigne,daigner,17
accepter,accepter,14
ici,ici,60
l',le,71
hommage,hommage,21
de,de,81
toute,tout,75
ma,mon,73
reconnaissance,reconnaissance,22
et,et,82
de,de,81
mon,mon,73
profond,profond,30
respect,respect,21
/.,/.,P
-,-,p
que,que,52
voulez,vouloir,17
vous,vous,51
dire,dire,14
?,?,p
s',se,51
écria,écrier,19
la,le,71
princesse,princesse,22
remplie,rempli,31
d',de,81
inquiétude,inquiétude,22
",",",",p
et,et,82
craignant,craindre,13
une,un,71
démission,démission,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
que,que,83
toutes,tout,75
les,le,71
fois,fois,22
que,que,83
votre,votre,73
altesse,altesse,22
sérénissime,sérénissime,30
me,je,51
permettra,permettre,15
de,de,81
tourner,tourner,14
à,à,81
droite,droite,22
le,le,71
menton,menton,21
tremblant,tremblant,30
de,de,81
ce,ce,74
magot,magot,21
qui,qui,52
est,être,17
sur,sur,81
sa,son,73
cheminée,cheminée,22
",",",",p
elle,il,51
me,je,51
permettra,permettre,15
aussi,aussi,60
d',de,81
appeler,appeler,14
les,le,71
choses,chose,22
par,par,81
leur,leur,73
vrai,vrai,30
nom,nom,21
/.,/.,P
-,-,p
n',ne,60
est,être,17
ce,ce,52
que,que,83
ça,ça,52
",",",",p
ma,mon,73
chère,cher,30
duchesse,duchesse,22
?,?,p
s',se,51
écria,écrier,19
Clara,Clara,20
Paolina,Paolina,20
en,en,81
se,se,51
levant,lever,13
",",",",p
et,et,82
courant,courir,13
elle-même,lui-même,51
mettre,mettre,14
le,le,71
magot,magot,21
en,en,81
bonne,bon,30
position,position,22
;,;,p
parlez,parler,17
donc,donc,82
en,en,81
toute,tout,75
liberté,liberté,22
",",",",p
madame,madame,22
la,le,71
grande,grand,30
maîtresse,maîtresse,22
",",",",p
dit,dire,19
elle,il,51
avec,avec,81
un,un,71
ton,ton,21
de,de,81
voix,voix,22
charmant,charmant,30
/.,/.,P
-,-,p
madame,madame,22
",",",",p
reprit,reprendre,19
celle-ci,celui-ci,52
",",",",p
votre,votre,73
altesse,altesse,22
a,avoir,17
parfaitement,parfaitement,60
vu,voir,12
la,le,71
position,position,22
;,;,p
nous,nous,51
courons,courir,17
",",",",p
vous,vous,51
et,et,82
moi,moi,51
",",",",p
les,le,71
plus,plus,60
grands,grand,30
dangers,danger,21
;,;,p
la,le,71
sentence,sentence,22
contre,contre,81
Fabrice,Fabrice,20
n',ne,60
est,être,17
point,point,60
révoquée,révoquer,12
;,;,p
par,par,81
conséquent,conséquent,30
",",",",p
le,le,71
jour,jour,21
où,où,60
l',l',94
on,on,51
voudra,vouloir,15
se,se,51
défaire,défaire,14
de,de,81
moi,moi,51
et,et,82
vous,vous,51
outrager,outrager,14
",",",",p
on,on,51
le,le,52
remet,remettre,17
en,en,81
prison,prison,22
/.,/.,P
notre,notre,73
position,position,22
est,être,17
aussi,aussi,60
mauvaise,mauvais,30
que,que,83
jamais,jamais,60
/.,/.,P
quant,quand,83
à,à,81
moi,moi,51
personnellement,personnellement,60
",",",",p
j',je,51
épouse,épouser,17
le,le,71
comte,comte,21
",",",",p
et,et,82
nous,nous,51
allons,aller,17
nous,nous,51
établir,établir,14
à,à,81
Naples,Naples,20
ou,ou,82
à,à,81
Paris,Paris,20
/.,/.,P
le,le,71
dernier,dernier,30
trait,trait,21
d',de,81
ingratitude,ingratitude,22
dont,dont,52
le,le,71
comte,comte,21
est,être,17
victime,victime,22
en,en,81
ce,ce,74
moment,moment,21
",",",",p
l',le,52
a,avoir,17
entièrement,entièrement,60
dégoûté,dégoûter,12
des,de,81
des,le,71
affaires,affaire,22
et,et,82
",",",",p
sauf,sauf,81
l',le,71
intérêt,intérêt,21
de,de,81
votre,votre,73
altesse,altesse,22
sérénissime,sérénissime,30
",",",",p
je,je,51
ne,ne,60
lui,lui,51
conseillerais,conseiller,16
de,de,81
rester,rester,14
dans,dans,81
ce,ce,74
gâchis,gâchis,21
qu',que,83
autant,autant,60
que,que,83
le,le,71
prince,prince,21
lui,lui,51
donnerait,donner,16
une,un,71
somme,somme,22
énorme,énorme,30
/.,/.,P
je,je,51
demanderai,demander,15
à,à,81
votre,votre,73
altesse,altesse,22
la,le,71
permission,permission,22
de,de,81
lui,lui,51
expliquer,expliquer,14
que,que,83
le,le,71
comte,comte,21
",",",",p
qui,qui,52
avait,avoir,18
<Nombre 130000 francs>,<>,<>
cent,cent,72
trente,trente,72
mille,mille,72
francs,franc,21
<Fin nombre>,<>,<>
en,en,81
arrivant,arriver,13
aux,à,81
aux,le,71
affaires,affaire,22
",",",",p
possède,posséder,17
à,à,81
peine,peine,22
aujourd'hui,aujourd'hui,60
<Nombre 20000 livres>,<>,<>
vingt,vingt,72
mille,mille,72
livres,livre,22
<Fin nombre>,<>,<>
de,de,81
rente,rente,22
/.,/.,P
c',ce,52
était,être,18
en,en,81
vain,vain,30
que,que,83
depuis,depuis,81
longtemps,longtemps,60
je,je,51
le,le,52
pressais,presser,18
de,de,81
songer,songer,14
à,à,81
sa,son,73
fortune,fortune,22
/.,/.,P
pendant,pendant,81
mon,mon,73
absence,absence,22
",",",",p
il,il,51
a,avoir,17
cherché,chercher,12
querelle,querelle,22
aux,à,81
aux,le,71
fermiers,fermier,21
généraux,général,30
du,de,81
du,le,71
prince,prince,21
",",",",p
qui,qui,52
étaient,être,18
des,de,81
des,le,71
fripons,fripon,21
;,;,p
le,le,71
comte,comte,21
les,le,52
a,avoir,17
remplacés,remplacer,12
par,par,81
d',de,81
autres,autre,75
fripons,fripon,21
qui,qui,52
lui,lui,51
ont,avoir,17
