11140
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Neuvième extrait>,<>,<>
;,;,p
les,le,71
hommes,homme,21
de,de,81
tous,tout,75
les,le,71
cultes,culte,21
y,y,52
entrent,entrer,17
avec,avec,81
le,le,71
même,même,75
respect,respect,21
/.,/.,P
on,on,51
sent,sentir,17
que,que,83
c',ce,52
est,être,17
un,un,71
temple,temple,21
qui,qui,52
ne,ne,60
peut,pouvoir,17
être,être,14
habité,habiter,12
que,que,83
par,par,81
l',le,71
idée,idée,22
de,de,81
dieu,dieu,21
",",",",p
et,et,82
que,que,83
toute,tout,75
autre,autre,75
idée,idée,22
ne,ne,60
remplirait,remplir,16
pas,pas,60
/.,/.,P
changez,changer,17
le,le,71
prêtre,prêtre,21
",",",",p
ôtez,ôter,17
l',le,71
autel,autel,21
",",",",p
détachez,détacher,17
les,le,71
tableaux,tableau,21
",",",",p
emportez,emporter,17
les,le,71
statues,statue,22
",",",",p
rien,rien,52
n',ne,60
est,être,17
changé,changer,12
",",",",p
c',ce,52
est,être,17
toujours,toujours,60
la,le,71
maison,maison,22
de,de,81
dieu,dieu,21
!,!,p
ou,ou,82
plutôt,plutôt,60
",",",",p
Saint-Pierre,Saint-Pierre,20
est,être,17
à,à,81
lui,lui,51
seul,seul,30
un,un,71
grand,grand,30
symbole,symbole,21
de,de,81
ce,ce,74
christianisme,christianisme,21
éternel,éternel,30
qui,qui,52
",",",",p
possédant,posséder,13
en,en,81
germe,germe,21
dans,dans,81
sa,son,73
morale,morale,22
et,et,82
dans,dans,81
sa,son,73
sainteté,sainteté,22
les,le,71
développements,développement,21
successifs,successif,30
de,de,81
la,le,71
pensée,pensée,22
religieuse,religieux,30
de,de,81
tous,tout,75
les,le,71
siècles,siècle,21
et,et,82
de,de,81
tous,tout,75
les,le,71
hommes,homme,21
",",",",p
s',se,51
ouvre,ouvrir,17
à,à,81
la,le,71
raison,raison,22
à,à,81
mesure,mesure,22
que,que,83
dieu,dieu,21
la,le,52
fait,faire,17
luire,luire,14
",",",",p
communique,communiquer,17
avec,avec,81
dieu,dieu,21
dans,dans,81
la,le,71
lumière,lumière,22
",",",",p
s',se,51
élargit,élargir,17
et,et,82
s',se,51
élève,élever,17
aux,à,81
aux,le,71
proportions,proportion,22
de,de,81
l',le,71
esprit,esprit,21
humain,humain,30
grandissant,grandir,13
sans,sans,81
cesse,cesse,22
et,et,82
recueillant,recueillir,13
tous,tout,75
les,le,71
peuples,peuple,21
dans,dans,81
l',le,71
unité,unité,22
d',de,81
adoration,adoration,22
",",",",p
fait,faire,17
de,de,81
toutes,tout,75
les,le,71
formes,forme,22
divines,divin,30
un,un,71
seul,seul,30
dieu,dieu,21
",",",",p
de,de,81
toutes,tout,75
les,le,71
fois,foi,22
un,un,71
seul,seul,30
culte,culte,21
",",",",p
et,et,82
de,de,81
tous,tout,75
les,le,71
peuples,peuple,21
une,un,71
seule,seul,30
humanité,humanité,22
/.,/.,P
Michel-Ange,Michel-Ange,20
est,être,17
le,le,71
Moïse,Moïse,20
du,de,81
du,le,71
catholicisme,catholicisme,21
monumental,monumental,30
",",",",p
tel,tel,75
qu',que,83
il,il,51
sera,être,15
un,un,71
jour,jour,21
compris,comprendre,12
/.,/.,P
il,il,51
a,avoir,17
fait,faire,12
l',le,71
arche,arche,22
impérissable,impérissable,30
des,de,81
des,le,71
temps,temps,21
futurs,futur,30
",",",",p
le,le,71
Panthéon,Panthéon,20
de,de,81
la,le,71
raison,raison,22
divinisée,divinisé,31
/.,/.,P
<VII>,<>,<>
enfin,enfin,60
",",",",p
après,après,81
m',je,51
être,être,14
assouvi,assouvir,12
de,de,81
Rome,Rome,20
",",",",p
je,je,51
voulus,vouloir,19
voir,voir,14
Naples,Naples,20
/.,/.,P
c',ce,52
est,être,17
le,le,71
tombeau,tombeau,21
de,de,81
Virgile,Virgile,20
et,et,82
le,le,71
berceau,berceau,21
du,de,81
du,le,71
Tasse,Tasse,20
qui,qui,52
m',je,51
y,y,52
attiraient,attirer,18
surtout,surtout,60
/.,/.,P
les,le,71
pays,pays,21
ont,avoir,17
toujours,toujours,60
été,être,12
pour,pour,81
moi,moi,51
des,de,81
des,le,71
hommes,homme,21
/.,/.,P
Naples,Naples,20
",",",",p
c',ce,52
est,être,17
Virgile,Virgile,20
et,et,82
le,le,71
Tasse,Tasse,20
/.,/.,P
il,il,51
me,je,51
semblait,sembler,18
qu',que,83
ils,ils,51
avaient,avoir,18
vécu,vivre,12
hier,hier,60
",",",",p
et,et,82
que,que,83
leur,leur,73
cendre,cendre,22
était,être,18
encore,encore,60
tiède,tiède,30
/.,/.,P
je,je,51
voyais,voir,18
d',de,81
avance,avance,22
le,le,71
Pausilippe,Pausilippe,20
et,et,82
Sorrente,Sorrente,20
",",",",p
le,le,71
Vésuve,Vésuve,20
et,et,82
la,le,71
mer,mer,22
à,à,81
travers,travers,21
l',le,71
atmosphère,atmosphère,22
de,de,81
leurs,leur,73
beaux,beau,30
et,et,82
tendres,tendre,30
génies,génie,21
/.,/.,P
je,je,51
partis,partir,19
pour,pour,81
Naples,Naples,20
vers,vers,81
les,le,71
derniers,dernier,30
jours,jour,21
de,de,81
mars,mars,21
/.,/.,P
je,je,51
voyageais,voyager,18
en,en,81
chaise,chaise,22
de,de,81
poste,poste,22
avec,avec,81
un,un,71
négociant,négociant,21
français,français,30
qui,qui,52
avait,avoir,18
cherché,chercher,12
un,un,71
compagnon,compagnon,21
de,de,81
route,route,22
pour,pour,81
alléger,alléger,14
les,le,71
frais,frais,21
du,de,81
du,le,71
voyage,voyage,21
/.,/.,P
à,à,81
quelque,quelque,75
distance,distance,22
de,de,81
Velletri,Velletri,20
",",",",p
nous,nous,51
rencontrâmes,rencontrer,19
la,le,71
voiture,voiture,22
du,de,81
du,le,71
courrier,courrier,21
de,de,81
Rome,Rome,20
à,à,81
Naples,Naples,20
renversée,renversé,31
sur,sur,81
les,le,71
bords,bord,21
du,de,81
du,le,71
chemin,chemin,21
et,et,82
criblée,criblé,31
de,de,81
balles,balle,22
/.,/.,P
le,le,71
courrier,courrier,21
",",",",p
un,un,71
postillon,postillon,21
et,et,82
deux,deux,72
chevaux,cheval,21
avaient,avoir,18
été,être,12
tués,tuer,12
/.,/.,P
on,on,51
venait,venir,18
d',de,81
emporter,emporter,14
les,le,71
hommes,homme,21
dans,dans,81
une,un,71
masure,masure,22
voisine,voisin,30
/.,/.,P
les,le,71
dépêches,dépêche,22
déchirées,déchiré,31
et,et,82
les,le,71
lambeaux,lambeau,21
de,de,81
lettres,lettre,22
flottaient,flotter,18
au,à,81
au,le,71
vent,vent,21
/.,/.,P
les,le,71
brigands,brigand,21
avaient,avoir,18
repris,reprendre,12
la,le,71
route,route,22
des,de,81
des,le,71
Abruzzes,Abruzze,20
/.,/.,P
des,de,81
des,le,71
détachements,détachement,21
de,de,81
cavalerie,cavalerie,22
et,et,82
d',de,81
infanterie,infanterie,22
françaises,français,30
",",",",p
dont,dont,52
les,le,71
corps,corps,21
étaient,être,18
campés,camper,12
à,à,81
Terracine,Terracine,20
",",",",p
les,le,52
poursuivaient,poursuivre,18
parmi,parmi,81
les,le,71
rochers,rocher,21
/.,/.,P
on,on,51
entendait,entendre,18
le,le,71
feu,feu,21
des,de,81
des,le,71
tirailleurs,tirailleur,21
",",",",p
et,et,82
on,on,51
voyait,voir,18
sur,sur,81
tout,tout,75
le,le,71
flanc,flanc,21
de,de,81
la,le,71
montagne,montagne,22
les,le,71
petites,petit,30
fumées,fumée,22
des,de,81
des,le,71
coups,coup,21
de,de,81
fusil,fusil,21
/.,/.,P
de,de,81
distance,distance,22
en,en,81
distance,distance,22
nous,nous,51
rencontrions,rencontrer,18
des,de,81
des,le,71
postes,poste,21
de,de,81
troupes,troupe,22
françaises,français,30
et,et,82
napolitaines,napolitain,30
échelonnées,échelonné,31
sur,sur,81
la,le,71
route,route,22
/.,/.,P
c',ce,52
est,être,17
ainsi,ainsi,60
qu',que,83
on,on,51
entrait,entrer,18
alors,alors,60
dans,dans,81
le,le,71
royaume,royaume,21
de,de,81
Naples,Naples,20
/.,/.,P
ce,ce,74
brigandage,brigandage,21
avait,avoir,18
un,un,71
caractère,caractère,21
politique,politique,30
/.,/.,P
Murat,Murat,20
régnait,régner,18
/.,/.,P
les,le,71
Calabres,Calabre,20
résistaient,résister,18
encore,encore,60
;,;,p
le,le,71
roi,roi,21
Ferdinand,Ferdinand,20
",",",",p
retiré,retiré,31
en,en,81
Sicile,Sicile,20
",",",",p
soutenait,soutenir,18
de,de,81
ses,son,73
subsides,subside,21
les,le,71
chefs,chef,21
de,de,81
guérillas,guérilla,22
dans,dans,81
les,le,71
montagnes,montagne,22
/.,/.,P
le,le,71
fameux,fameux,30
Fra Diavolo,Fra Diavolo,20
combattait,combattre,18
à,à,81
la,le,71
tête,tête,22
de,de,81
ces,ce,74
bandes,bande,22
/.,/.,P
leurs,leur,73
exploits,exploit,21
étaient,être,18
des,de,81
des,le,71
assassinats,assassinat,21
/.,/.,P
nous,nous,51
ne,ne,60
trouvâmes,trouver,19
l',le,71
ordre,ordre,21
et,et,82
la,le,71
sécurité,sécurité,22
qu',que,83
aux,à,81
aux,le,71
environs,environs,21
de,de,81
Naples,Naples,20
/.,/.,P
j',je,51
y,y,52
arrivai,arriver,19
le,le,71
<Nombre 1er avril>,<>,<>
premier,premier,72
avril,avril,21
<Fin nombre>,<>,<>
/.,/.,P
j',je,51
y,y,52
fus,être,19
rejoint,rejoindre,12
quelques,quelque,75
jours,jour,21
plus,plus,60
tard,tard,60
par,par,81
un,un,71
jeune,jeune,30
homme,homme,21
de,de,81
mon,mon,73
âge,âge,21
",",",",p
avec,avec,81
qui,qui,52
je,je,51
m',je,51
étais,être,18
lié,lier,12
au,à,81
au,le,71
collège,collège,21
d',de,81
une,un,71
amitié,amitié,22
vraiment,vraiment,60
fraternelle,fraternel,30
/.,/.,P
il,il,51
s',se,51
appelait,appeler,18
Aymon,Aymon,20
de,de,81
Virieu,Virieu,20
/.,/.,P
sa,son,73
vie,vie,22
et,et,82
la,le,71
mienne,mien,52
ont,avoir,17
été,être,12
tellement,tellement,60
mêlées,mêler,12
depuis,depuis,81
son,son,73
enfance,enfance,22
jusqu',jusque,81
à,à,81
sa,son,73
mort,mort,22
que,que,52
nos,notre,73
deux,deux,72
existences,existence,22
font,faire,17
comme,comme,83
partie,partie,22
l',le,71
une,un,52
de,de,81
l',le,71
autre,autre,52
",",",",p
et,et,82
que,que,52
j',je,51
ai,avoir,17
parlé,parler,12
de,de,81
lui,lui,51
presque,presque,60
partout,partout,60
où,où,60
j',je,51
ai,avoir,17
eu,avoir,12
à,à,81
parler,parler,14
de,de,81
moi,moi,51
/…,/…,P
épisode,épisode,21
<I>,<>,<>
je,je,51
menais,mener,18
à,à,81
Naples,Naples,20
à,à,81
peu,peu,60
près,près,81
la,le,71
même,même,75
vie,vie,22
contemplative,contemplatif,30
qu',que,83
à,à,81
Rome,Rome,20
chez,chez,81
le,le,71
vieux,vieux,30
peintre,peintre,21
de,de,81
la,le,71
place,place,22
d',de,81
Espagne,Espagne,20
;,;,p
seulement,seulement,60
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
passer,passer,14
mes,mon,73
journées,journée,22
à,à,81
errer,errer,14
parmi,parmi,81
les,le,71
débris,débris,21
de,de,81
l',le,71
antiquité,antiquité,22
",",",",p
je,je,51
les,le,52
passais,passer,18
à,à,81
errer,errer,14
ou,ou,82
sur,sur,81
les,le,71
bords,bord,21
ou,ou,82
sur,sur,81
les,le,71
flots,flot,21
du,de,81
du,le,71
golfe,golfe,21
de,de,81
Naples,Naples,20
/.,/.,P
je,je,51
revenais,revenir,18
le,le,71
soir,soir,21
au,à,81
au,le,71
vieux,vieux,30
couvent,couvent,21
où,où,60
",",",",p
grâce,grâce,22
à,à,81
l',le,71
hospitalité,hospitalité,22
du,de,81
du,le,71
parent,parent,21
de,de,81
ma,mon,73
mère,mère,22
",",",",p
j',je,51
habitais,habiter,18
une,un,71
petite,petit,30
cellule,cellule,22
qui,qui,52
touchait,toucher,18
aux,à,81
aux,le,71
toits,toit,21
",",",",p
et,et,82
dont,dont,52
le,le,71
balcon,balcon,21
",",",",p
festonné,festonné,31
de,de,81
pots,pot,21
de,de,81
fleurs,fleur,22
et,et,82
de,de,81
plantes,plante,22
grimpantes,grimpant,30
",",",",p
ouvrait,ouvrir,18
sur,sur,81
la,le,71
mer,mer,22
sur,sur,81
le,le,71
Vésuve,Vésuve,20
",",",",p
sur,sur,81
Castellamare,Castellamare,20
et,et,82
sur,sur,81
Sorrente,Sorrente,20
/.,/.,P
quand,quand,83
l',le,71
horizon,horizon,21
du,de,81
du,le,71
matin,matin,21
était,être,18
limpide,limpide,30
",",",",p
je,je,51
voyais,voir,18
briller,briller,14
la,le,71
maison,maison,22
blanche,blanc,30
du,de,81
du,le,71
Tasse,Tasse,20
",",",",p
suspendue,suspendu,31
comme,comme,83
un,un,71
nid,nid,21
de,de,81
cygne,cygne,21
au,à,81
au,le,71
sommet,sommet,21
d',de,81
une,un,71
falaise,falaise,22
de,de,81
rocher,rocher,21
jaune,jaune,30
",",",",p
coupée,coupé,31
à,à,81
pic,pic,21
par,par,81
les,le,71
flots,flot,21
/.,/.,P
cette,ce,74
vue,vue,22
me,je,51
ravissait,ravir,18
/.,/.,P
la,le,71
lueur,lueur,22
de,de,81
cette,ce,74
maison,maison,22
brillait,briller,18
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
de,de,81
mon,mon,73
âme,âme,22
/.,/.,P
c',ce,52
était,être,18
comme,comme,83
un,un,71
éclair,éclair,21
de,de,81
gloire,gloire,22
qui,qui,52
étincelait,étinceler,18
de,de,81
loin,loin,60
sur,sur,81
ma,mon,73
jeunesse,jeunesse,22
et,et,82
dans,dans,81
mon,mon,73
obscurité,obscurité,22
/.,/.,P
je,je,51
me,je,51
souvenais,souvenir,18
de,de,81
cette,ce,74
scène,scène,22
homérique,homérique,30
de,de,81
la,le,71
vie,vie,22
de,de,81
ce,ce,74
grand,grand,30
homme,homme,21
",",",",p
quand,quand,83
",",",",p
sorti,sorti,31
de,de,81
prison,prison,22
",",",",p
poursuivi,poursuivi,31
par,par,81
l',le,71
envie,envie,22
des,de,81
des,le,71
petits,petit,21
et,et,82
par,par,81
la,le,71
calomnie,calomnie,22
des,de,81
des,le,71
grands,grand,21
",",",",p
bafoué,bafoué,31
jusque,jusque,81
dans,dans,81
son,son,73
génie,génie,21
",",",",p
sa,son,73
seule,seul,30
richesse,richesse,22
",",",",p
il,il,51
revient,revenir,17
à,à,81
Sorrente,Sorrente,20
chercher,chercher,14
un,un,71
peu,peu,60
de,de,81
repos,repos,21
",",",",p
de,de,81
tendresse,tendresse,22
ou,ou,82
de,de,81
pitié,pitié,22
",",",",p
et,et,82
que,que,52
",",",",p
déguisé,déguisé,31
en,en,81
mendiant,mendier,13
",",",",p
il,il,51
se,se,51
présente,présenter,17
à,à,81
sa,son,73
soeur,soeur,22
pour,pour,81
tenter,tenter,14
son,son,73
coeur,coeur,21
et,et,82
voir,voir,14
si,si,83
elle,il,51
",",",",p
au,à,81
au,le,71
moins,moins,60
",",",",p
reconnaîtra,reconnaître,15
celui,celui,52
qu',que,52
elle,il,51
a,avoir,17
tant,tant,60
aimé,aimer,12
/.,/.,P
“,“,p
elle,il,51
le,le,52
reconnaît,reconnaître,17
à,à,81
l',le,71
instant,instant,21
",",",",p
dit,dire,19
le,le,71
biographe,biographe,21
naïf,naïf,30
",",",",p
malgré,malgré,81
sa,son,73
pâleur,pâleur,22
maladive,maladif,30
",",",",p
sa,son,73
barbe,barbe,22
blanchissante,blanchissant,30
et,et,82
son,son,73
manteau,manteau,21
déchiré,déchiré,31
/.,/.,P
elle,il,51
se,se,51
jette,jeter,17
dans,dans,81
ses,son,73
bras,bras,21
avec,avec,81
plus,plus,60
de,de,81
tendresse,tendresse,22
et,et,82
de,de,81
miséricorde,miséricorde,22
que,que,83
si,si,83
elle,il,51
eût,avoir,19
reconnu,reconnaître,12
son,son,73
frère,frère,21
sous,sous,81
les,le,71
habits,habit,21
d',de,81
or,or,21
des,de,81
des,le,71
courtisans,courtisan,21
de,de,81
Ferrare,Ferrare,20
/.,/.,P
sa,son,73
voix,voix,22
est,être,17
étouffée,étouffer,12
longtemps,longtemps,60
par,par,81
les,le,71
sanglots,sanglot,21
;,;,p
elle,il,51
presse,presser,17
son,son,73
frère,frère,21
contre,contre,81
son,son,73
coeur,coeur,21
/.,/.,P
elle,il,51
lui,lui,51
lave,laver,17
les,le,71
pieds,pied,21
",",",",p
elle,il,51
lui,lui,51
apporte,apporter,17
le,le,71
manteau,manteau,21
de,de,81
son,son,73
père,père,21
",",",",p
elle,il,51
lui,lui,51
fait,faire,17
préparer,préparer,14
un,un,71
repas,repas,21
de,de,81
fête,fête,22
/.,/.,P
mais,mais,82
ni,ni,82
l',le,71
un,un,52
ni,ni,82
l',le,71
autre,autre,52
ne,ne,60
purent,pouvoir,19
toucher,toucher,14
aux,à,81
aux,le,71
mets,mets,21
qu',que,52
on,on,51
avait,avoir,18
servis,servir,12
",",",",p
tant,tant,60
leurs,leur,73
coeurs,coeur,21
étaient,être,18
pleins,plein,30
de,de,81
larmes,larme,22
;,;,p
et,et,82
ils,ils,51
passèrent,passer,19
le,le,71
jour,jour,21
à,à,81
pleurer,pleurer,14
sans,sans,81
se,se,51
rien,rien,52
dire,dire,14
",",",",p
en,en,81
regardant,regarder,13
la,le,71
mer,mer,22
et,et,82
en,en,81
se,se,51
souvenant,souvenir,13
de,de,81
leur,leur,73
enfance,enfance,22
/.,/.,P
“,“,p
<II>,<>,<>
un,un,71
jour,jour,21
",",",",p
c',ce,52
était,être,18
au,à,81
au,le,71
commencement,commencement,21
de,de,81
l',le,71
été,été,21
",",",",p
au,à,81
au,le,71
moment,moment,21
où,où,60
le,le,71
golfe,golfe,21
de,de,81
Naples,Naples,20
",",",",p
bordé,bordé,31
de,de,81
ses,son,73
collines,colline,22
",",",",p
de,de,81
ses,son,73
maisons,maison,22
blanches,blanc,30
",",",",p
de,de,81
ses,son,73
rochers,rocher,21
tapissés,tapissé,31
de,de,81
vignes,vigne,22
grimpantes,grimpant,30
et,et,82
entourant,entourer,13
sa,son,73
mer,mer,22
plus,plus,60
bleue,bleu,30
que,que,83
son,son,73
ciel,ciel,21
",",",",p
ressemble,ressembler,17
à,à,81
une,un,71
coupe,coupe,22
de,de,81
vert,vert,21
antique,antique,30
qui,qui,52
blanchit,blanchir,17
d',de,81
écume,écume,22
",",",",p
et,et,82
dont,dont,52
le,le,71
lierre,lierre,21
et,et,82
le,le,71
pampre,pampre,21
festonnent,festonner,17
les,le,71
anses,anse,22
et,et,82
les,le,71
bords,bord,21
;,;,p
c',ce,52
était,être,18
la,le,71
saison,saison,22
où,où,60
les,le,71
pêcheurs,pêcheur,21
du,de,81
du,le,71
Pausilippe,Pausilippe,20
",",",",p
qui,qui,52
suspendent,suspendre,17
leur,leur,73
cabane,cabane,22
à,à,81
ses,son,73
rochers,rocher,21
et,et,82
qui,qui,52
étendent,étendre,17
leurs,leur,73
filets,filet,21
sur,sur,81
ses,son,73
petites,petit,30
plages,plage,22
de,de,81
sable,sable,21
fin,fin,30
",",",",p
s',se,51
éloignent,éloigner,17
de,de,81
la,le,71
terre,terre,22
avec,avec,81
confiance,confiance,22
et,et,82
vont,aller,17
pêcher,pêcher,14
la,le,71
nuit,nuit,22
à,à,81
deux,deux,72
ou,ou,82
trois,trois,72
lieues,lieue,22
en,en,81
mer,mer,22
jusque,jusque,81
sous,sous,81
les,le,71
falaises,falaise,22
de,de,81
Capri,Capri,20
",",",",p
de,de,81
Procida,Procida,20
",",",",p
d',de,81
Ischia,Ischia,20
",",",",p
et,et,82
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
golfe,golfe,21
de,de,81
Gaëte,Gaëte,20
/.,/.,P
quelques-uns,quelqu'un,52
portent,porter,17
avec,avec,81
eux,ils,51
des,de,81
des,le,71
torches,torche,22
de,de,81
résine,résine,22
",",",",p
qu',que,52
ils,ils,51
allument,allumer,17
pour,pour,81
tromper,tromper,14
le,le,71
poisson,poisson,21
/.,/.,P
le,le,71
poisson,poisson,21
monte,monter,17
à,à,81
la,le,71
lueur,lueur,22
croyant,croire,13
que,que,83
c',ce,52
est,être,17
le,le,71
crépuscule,crépuscule,21
du,de,81
du,le,71
jour,jour,21
/.,/.,P
un,un,71
enfant,enfant,21
",",",",p
accroupi,accroupi,31
sur,sur,81
la,le,71
proue,proue,22
de,de,81
la,le,71
barque,barque,22
",",",",p
penche,pencher,17
en,en,81
silence,silence,21
la,le,71
torche,torche,22
inclinée,incliné,31
sur,sur,81
la,le,71
vague,vague,22
",",",",p
pendant,pendant,81
que,que,83
le,le,71
pêcheur,pêcheur,21
",",",",p
plongeant,plonger,13
de,de,81
l',le,71
oeil,oeil,21
au,à,81
au,le,71
fond,fond,21
de,de,81
l',le,71
eau,eau,22
",",",",p
cherche,chercher,17
à,à,81
apercevoir,apercevoir,14
sa,son,73
proie,proie,22
et,et,82
à,à,81
l',le,52
envelopper,envelopper,14
de,de,81
son,son,73
filet,filet,21
/.,/.,P
ces,ce,74
feux,feu,21
",",",",p
rouges,rouge,30
comme,comme,83
des,de,81
des,le,71
foyers,foyer,21
de,de,81
fournaise,fournaise,22
",",",",p
se,se,51
reflètent,refléter,17
en,en,81
longs,long,30
sillons,sillon,21
ondoyants,ondoyant,30
sur,sur,81
la,le,71
nappe,nappe,22
de,de,81
la,le,71
mer,mer,22
comme,comme,83
les,le,71
longues,long,30
traînées,traînée,22
de,de,81
lueurs,lueur,22
qu',que,52
y,y,52
projette,projeter,17
le,le,71
globe,globe,21
de,de,81
la,le,71
lune,lune,22
/.,/.,P
l',le,71
ondoiement,ondoiement,21
des,de,81
des,le,71
vagues,vague,22
les,le,52
fait,faire,17
osciller,osciller,14
et,et,82
en,en,52
prolonge,prolonger,17
l',le,71
éblouissement,éblouissement,21
de,de,81
lame,lame,22
en,en,81
lame,lame,22
aussi,aussi,60
loin,loin,60
que,que,83
la,le,71
première,premier,72
vague,vague,22
les,le,52
reflète,refléter,17
aux,à,81
aux,le,71
vagues,vague,22
qui,qui,52
la,le,52
suivent,suivre,17
/.,/.,P
<III>,<>,<>
nous,nous,51
passions,passer,18
souvent,souvent,60
",",",",p
mon,mon,73
ami,ami,21
et,et,82
moi,moi,51
",",",",p
des,de,81
des,le,71
heures,heure,22
entières,entier,30
",",",",p
assis,assis,31
sur,sur,81
un,un,71
écueil,écueil,21
ou,ou,82
sur,sur,81
les,le,71
ruines,ruine,22
humides,humide,30
du,de,81
du,le,71
palais,palais,21
de,de,81
la,le,71
reine,reine,22
Jeanne,Jeanne,20
",",",",p
à,à,81
regarder,regarder,14
ces,ce,74
lueurs,lueur,22
fantastiques,fantastique,30
et,et,82
à,à,81
envier,envier,14
la,le,71
vie,vie,22
errante,errant,30
et,et,82
insouciante,insouciant,30
de,de,81
ces,ce,74
pauvres,pauvre,30
pêcheurs,pêcheur,21
/.,/.,P
quelques,quelque,75
mois,mois,21
de,de,81
séjour,séjour,21
à,à,81
Naples,Naples,20
",",",",p
la,le,71
fréquentation,fréquentation,22
habituelle,habituel,30
des,de,81
des,le,71
hommes,homme,21
du,de,81
du,le,71
peuple,peuple,21
pendant,pendant,81
nos,notre,73
courses,course,22
de,de,81
tous,tout,75
les,le,71
jours,jour,21
dans,dans,81
la,le,71
campagne,campagne,22
et,et,82
sur,sur,81
la,le,71
mer,mer,22
nous,nous,51
avaient,avoir,18
familiarisés,familiariser,12
avec,avec,81
leur,leur,73
langue,langue,22
accentuée,accentué,31
et,et,82
sonore,sonore,30
",",",",p
où,où,60
le,le,71
geste,geste,21
et,et,82
le,le,71
regard,regard,21
tiennent,tenir,17
plus,plus,60
de,de,81
place,place,22
que,que,52
le,le,71
mot,mot,21
/.,/.,P
philosophes,philosophe,21
par,par,81
pressentiment,pressentiment,21
et,et,82
fatigués,fatigué,31
des,de,81
des,le,71
agitations,agitation,22
vaines,vain,30
de,de,81
la,le,71
vie,vie,22
avant,avant,81
de,de,81
les,le,52
avoir,avoir,14
connues,connaître,12
",",",",p
nous,nous,51
portions,porter,18
souvent,souvent,60
envie,envie,22
à,à,81
ces,ce,74
heureux,heureux,30
lazzaroni,lazzaroni,92
dont,dont,52
la,le,71
plage,plage,22
et,et,82
les,le,71
quais,quai,21
de,de,81
Naples,Naples,20
étaient,être,18
alors,alors,60
couverts,couvrir,12
",",",",p
qui,qui,52
passaient,passer,18
leurs,leur,73
jours,jour,21
à,à,81
dormir,dormir,14
à,à,81
l',le,71
ombre,ombre,22
de,de,81
leur,leur,73
petite,petit,30
barque,barque,22
",",",",p
sur,sur,81
le,le,71
sable,sable,21
",",",",p
à,à,81
entendre,entendre,14
les,le,71
vers,vers,21
improvisés,improvisé,31
de,de,81
leurs,leur,73
poètes,poète,21
ambulants,ambulant,30
",",",",p
et,et,82
à,à,81
danser,danser,14
la,le,71
tarantela,tarantela,92
avec,avec,81
les,le,71
jeunes,jeune,30
filles,fille,22
de,de,81
leur,leur,73
caste,caste,22
",",",",p
le,le,71
soir,soir,21
",",",",p
sous,sous,81
quelque,quelque,75
treille,treille,22
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
mer,mer,22
/.,/.,P
nous,nous,51
connaissions,connaître,18
leurs,leur,73
habitudes,habitude,22
",",",",p
leur,leur,73
caractère,caractère,21
et,et,82
leurs,leur,73
moeurs,moeurs,22
",",",",p
beaucoup,beaucoup,60
mieux,mieux,60
que,que,83
celles,celui,52
du,de,81
du,le,71
monde,monde,21
élégant,élégant,30
",",",",p
où,où,60
nous,nous,51
n',ne,60
allions,aller,18
jamais,jamais,60
/.,/.,P
cette,ce,74
vie,vie,22
nous,nous,51
plaisait,plaire,18
et,et,82
endormait,endormir,18
en,en,81
nous,nous,51
ces,ce,74
mouvements,mouvement,21
fiévreux,fiévreux,30
de,de,81
l',le,71
âme,âme,22
",",",",p
qui,qui,52
usent,user,17
inutilement,inutilement,60
l',le,71
imagination,imagination,22
des,de,81
des,le,71
jeunes,jeune,30
hommes,homme,21
avant,avant,81
l',le,71
heure,heure,22
où,où,60
leur,leur,73
destinée,destinée,22
les,le,52
appelle,appeler,17
à,à,81
agir,agir,14
ou,ou,82
à,à,81
penser,penser,14
/.,/.,P
mon,mon,73
ami,ami,21
avait,avoir,18
vingt,vingt,72
ans,an,21
;,;,p
j',je,51
en,en,52
avais,avoir,18
dix,dix,72
huit,huit,72
:,:,p
nous,nous,51
étions,être,18
donc,donc,82
tous,tout,52
deux,deux,72
à,à,81
cet,ce,74
âge,âge,21
où,où,60
il,il,51
est,être,17
permis,permettre,12
de,de,81
confondre,confondre,14
les,le,71
rêves,rêve,21
avec,avec,81
les,le,71
réalités,réalité,22
/.,/.,P
nous,nous,51
résolûmes,résoudre,19
de,de,81
lier,lier,14
connaissance,connaissance,22
avec,avec,81
ces,ce,74
pêcheurs,pêcheur,21
et,et,82
de,de,81
nous,nous,51
embarquer,embarquer,14
avec,avec,81
eux,ils,51
pour,pour,81
mener,mener,14
quelques,quelque,75
jours,jour,21
la,le,71
même,même,75
vie,vie,22
/.,/.,P
ces,ce,74
nuits,nuit,22
tièdes,tiède,30
et,et,82
lumineuses,lumineux,30
passées,passé,31
sous,sous,81
la,le,71
voile,voile,22
",",",",p
dans,dans,81
ce,ce,74
berceau,berceau,21
ondoyant,ondoyant,30
des,de,81
des,le,71
lames,lame,22
et,et,82
sous,sous,81
le,le,71
ciel,ciel,21
profond,profond,30
et,et,82
étoilé,étoilé,31
",",",",p
nous,nous,51
semblaient,sembler,18
