11908
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-deuxième extrait>,<>,<>
Bonacieux,Bonacieux,20
se,se,51
furent,être,19
perdus,perdre,12
dans,dans,81
l',le,71
éloignement,éloignement,21
:,:,p
“,“,p
bien,bien,60
",",",",p
dit,dire,19
il,il,51
",",",",p
voici,voici,81
désormais,désormais,60
un,un,71
homme,homme,21
qui,qui,52
se,se,51
fera,faire,15
tuer,tuer,14
pour,pour,81
moi,moi,51
/.,/.,P
“,“,p
et,et,82
le,le,71
cardinal,cardinal,21
se,se,51
mit,mettre,19
à,à,81
examiner,examiner,14
avec,avec,81
la,le,71
plus,plus,60
grande,grand,30
attention,attention,22
la,le,71
carte,carte,22
de,de,81
La Rochelle,La Rochelle,20
qui,qui,52
",",",",p
ainsi,ainsi,60
que,que,83
nous,nous,51
l',le,52
avons,avoir,17
dit,dire,12
",",",",p
était,être,18
étendue,étendre,12
sur,sur,81
son,son,73
bureau,bureau,21
",",",",p
traçant,tracer,13
avec,avec,81
un,un,71
crayon,crayon,21
la,le,71
ligne,ligne,22
où,où,60
devait,devoir,18
passer,passer,14
la,le,71
fameuse,fameux,30
digue,digue,22
qui,qui,52
",",",",p
dix,dix,72
huit,huit,72
mois,mois,21
plus,plus,60
tard,tard,60
",",",",p
fermait,fermer,18
le,le,71
port,port,21
de,de,81
la,le,71
cité,cité,22
assiégée,assiégé,31
/.,/.,P
comme,comme,83
il,il,51
en,en,52
était,être,18
au,à,81
au,le,71
plus,plus,60
profond,profond,30
de,de,81
ses,son,73
méditations,méditation,22
stratégiques,stratégique,30
",",",",p
la,le,71
porte,porte,22
se,se,51
rouvrit,rouvrir,19
",",",",p
et,et,82
Rochefort,Rochefort,20
rentra,rentrer,19
/.,/.,P
“,“,p
eh,eh,93
bien,bien,60
?,?,p
dit,dire,19
vivement,vivement,60
le,le,71
cardinal,cardinal,21
en,en,81
se,se,51
levant,lever,13
avec,avec,81
une,un,71
promptitude,promptitude,22
qui,qui,52
prouvait,prouver,18
le,le,71
degré,degré,21
d',de,81
importance,importance,22
qu',que,52
il,il,51
attachait,attacher,18
à,à,81
la,le,71
commission,commission,22
dont,dont,52
il,il,51
avait,avoir,18
chargé,charger,12
le,le,71
comte,comte,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
dit,dire,19
celui-ci,celui-ci,52
",",",",p
une,un,71
jeune,jeune,30
femme,femme,22
de,de,81
vingt,vingt,72
six,six,72
à,à,81
vingt,vingt,72
huit,huit,72
ans,an,21
et,et,82
un,un,71
homme,homme,21
de,de,81
trente,trente,72
cinq,cinq,72
à,à,81
quarante,quarante,72
ans,an,21
ont,avoir,17
logé,loger,12
effectivement,effectivement,60
",",",",p
l',le,71
un,un,52
quatre,quatre,72
jours,jour,21
et,et,82
l',le,71
autre,autre,52
cinq,cinq,72
",",",",p
dans,dans,81
les,le,71
maisons,maison,22
indiquées,indiqué,31
par,par,81
votre,votre,73
éminence,éminence,22
:,:,p
mais,mais,82
la,le,71
femme,femme,22
est,être,17
partie,partir,12
cette,ce,74
nuit,nuit,22
",",",",p
et,et,82
l',le,71
homme,homme,21
ce,ce,74
matin,matin,21
/.,/.,P
-,-,p
c',ce,52
étaient,être,18
eux,ils,51
!,!,p
s',se,51
écria,écrier,19
le,le,71
cardinal,cardinal,21
",",",",p
qui,qui,52
regardait,regarder,18
à,à,81
la,le,71
pendule,pendule,22
;,;,p
et,et,82
maintenant,maintenant,60
",",",",p
continua,continuer,19
t,t,94
il,il,51
",",",",p
il,il,51
est,être,17
trop,trop,60
tard,tard,60
pour,pour,81
faire,faire,14
courir,courir,14
après,après,81
:,:,p
la,le,71
duchesse,duchesse,22
est,être,17
à,à,81
Tours,Tours,20
",",",",p
et,et,82
le,le,71
duc,duc,21
à,à,81
Boulogne,Boulogne,20
/.,/.,P
c',ce,52
est,être,17
à,à,81
Londres,Londres,20
qu',que,83
il,il,51
faut,falloir,17
les,le,52
rejoindre,rejoindre,14
/.,/.,P
-,-,p
quels,quel,52
sont,être,17
les,le,71
ordres,ordre,21
de,de,81
votre,votre,73
éminence,éminence,22
/?,/?,P
pas,pas,60
un,un,71
mot,mot,21
de,de,81
ce,ce,52
qui,qui,52
s',se,51
est,être,17
passé,passer,12
;,;,p
que,que,52
la,le,71
reine,reine,22
reste,rester,17
dans,dans,81
une,un,71
sécurité,sécurité,22
parfaite,parfait,31
;,;,p
qu',que,52
elle,il,51
ignore,ignorer,17
que,que,83
nous,nous,51
savons,savoir,17
son,son,73
secret,secret,21
;,;,p
qu',que,52
elle,il,51
croie,croire,17
que,que,83
nous,nous,51
sommes,être,17
à,à,81
la,le,71
recherche,recherche,22
d',de,81
une,un,71
conspiration,conspiration,22
quelconque,quelconque,30
/.,/.,P
envoyez,envoyer,17
moi,moi,51
le,le,71
garde,garde,21
des,de,81
des,le,71
sceaux,sceau,21
Séguier,Séguier,20
/.,/.,P
-,-,p
et,et,82
cet,ce,74
homme,homme,21
",",",",p
qu',que,52
en,en,52
a,avoir,17
fait,faire,12
votre,votre,73
éminence,éminence,22
/?,/?,P
quel,quel,75
homme,homme,21
?,?,p
demanda,demander,19
le,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
ce,ce,74
Bonacieux,Bonacieux,20
/?,/?,P
j',je,51
en,en,52
ai,avoir,17
fait,faire,12
tout,tout,52
ce,ce,52
qu',que,52
on,on,51
pouvait,pouvoir,18
en,en,52
faire,faire,14
/.,/.,P
j',je,51
en,en,52
ai,avoir,17
fait,faire,12
l',le,71
espion,espion,21
de,de,81
sa,son,73
femme,femme,22
/.,/.,P
“,“,p
le,le,71
comte,comte,21
de,de,81
Rochefort,Rochefort,20
s',se,51
inclina,incliner,19
en,en,81
homme,homme,21
qui,qui,52
reconnaît,reconnaître,17
la,le,71
grande,grand,30
supériorité,supériorité,22
du,de,81
du,le,71
maître,maître,21
",",",",p
et,et,82
se,se,51
retira,retirer,19
/.,/.,P
resté,resté,31
seul,seul,30
",",",",p
le,le,71
cardinal,cardinal,21
s',se,51
assit,asseoir,19
de,de,81
nouveau,nouveau,21
",",",",p
écrivit,écrire,19
une,un,71
lettre,lettre,22
qu',que,52
il,il,51
cacheta,cacheter,19
de,de,81
son,son,73
sceau,sceau,21
particulier,particulier,30
",",",",p
puis,puis,60
il,il,51
sonna,sonner,19
/.,/.,P
l',le,71
officier,officier,21
entra,entrer,19
pour,pour,81
la,le,71
quatrième,quatrième,72
fois,fois,22
/.,/.,P
“,“,p
faites,faire,17
moi,moi,51
venir,venir,14
Vitray,Vitray,20
",",",",p
dit,dire,19
il,il,51
",",",",p
et,et,82
dites,dire,17
lui,lui,51
de,de,81
s',se,51
apprêter,apprêter,14
pour,pour,81
un,un,71
voyage,voyage,21
/.,/.,P
“,“,p
un,un,71
instant,instant,21
après,après,81
",",",",p
l',le,71
homme,homme,21
qu',que,52
il,il,51
avait,avoir,18
demandé,demander,12
était,être,18
debout,debout,60
devant,devant,81
lui,lui,51
",",",",p
tout,tout,60
botté,botter,12
et,et,82
tout,tout,60
éperonné,éperonner,12
/.,/.,P
“,“,p
Vitray,Vitray,20
",",",",p
dit,dire,19
il,il,51
",",",",p
vous,vous,51
allez,aller,17
partir,partir,14
tout,tout,60
courant,courir,13
pour,pour,81
Londres,Londres,20
/.,/.,P
vous,vous,51
ne,ne,60
vous,vous,51
arrêterez,arrêter,15
pas,pas,60
un,un,71
instant,instant,21
en,en,81
route,route,22
/.,/.,P
vous,vous,51
remettrez,remettre,15
cette,ce,74
lettre,lettre,22
à,à,81
Milady,Milady,20
/.,/.,P
voici,voici,81
un,un,71
bon,bon,21
de,de,81
deux,deux,72
cents,cent,72
pistoles,pistole,22
",",",",p
passez,passer,17
chez,chez,81
mon,mon,73
trésorier,trésorier,21
et,et,82
faites,faire,17
vous,vous,51
payer,payer,14
/.,/.,P
il,il,51
y,y,52
en,en,52
a,avoir,17
autant,autant,60
à,à,81
toucher,toucher,14
si,si,83
vous,vous,51
êtes,être,17
ici,ici,60
de,de,81
retour,retour,21
dans,dans,81
six,six,72
jours,jour,21
et,et,82
si,si,83
vous,vous,51
avez,avoir,17
bien,bien,60
fait,faire,12
ma,mon,73
commission,commission,22
/.,/.,P
“,“,p
le,le,71
messager,messager,21
",",",",p
sans,sans,81
répondre,répondre,14
un,un,71
seul,seul,30
mot,mot,21
",",",",p
s',se,51
inclina,incliner,19
",",",",p
prit,prendre,19
la,le,71
lettre,lettre,22
",",",",p
le,le,71
bon,bon,21
de,de,81
deux,deux,72
cents,cent,72
pistoles,pistole,22
",",",",p
et,et,82
sortit,sortir,19
/.,/.,P
voici,voici,81
ce,ce,52
que,que,52
contenait,contenir,18
la,le,71
lettre,lettre,22
:,:,p
“,“,p
Milady,Milady,20
",",",",p
“,“,p
trouvez,trouver,17
vous,vous,51
au,à,81
au,le,71
premier,premier,72
bal,bal,21
où,où,60
se,se,51
trouvera,trouver,15
le,le,71
duc,duc,21
de,de,81
Buckingham,Buckingham,20
/.,/.,P
il,il,51
aura,avoir,15
à,à,81
son,son,73
pourpoint,pourpoint,21
douze,douze,72
ferrets,ferret,21
de,de,81
diamants,diamant,21
",",",",p
approchez,approcher,17
vous,vous,51
de,de,81
lui,lui,51
et,et,82
coupez,couper,17
en,en,52
deux,deux,72
/.,/.,P
“,“,p
aussitôt,aussitôt,60
que,que,83
ces,ce,74
ferrets,ferret,21
seront,être,15
en,en,81
votre,votre,73
possession,possession,22
",",",",p
prévenez,prévenir,17
moi,moi,51
/.,/.,P
“,“,p
<Chapitre 15>,<>,<>
gens,gens,21
de,de,81
robe,robe,22
et,et,82
gens,gens,21
d',de,81
épée,épée,22
/.,/.,P
le,le,71
lendemain,lendemain,21
du,de,81
du,le,71
jour,jour,21
où,où,60
ces,ce,74
événements,événement,21
étaient,être,18
arrivés,arriver,12
",",",",p
Athos,Athos,20
n',ne,60
ayant,avoir,13
point,point,60
reparu,reparaître,12
",",",",p
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
avait,avoir,18
été,être,12
prévenu,prévenir,12
par,par,81
d',de,81
Artagnan,Artagnan,20
et,et,82
par,par,81
Porthos,Porthos,20
de,de,81
sa,son,73
disparition,disparition,22
/.,/.,P
quant,quand,83
à,à,81
Aramis,Aramis,20
",",",",p
il,il,51
avait,avoir,18
demandé,demander,12
un,un,71
congé,congé,21
de,de,81
cinq,cinq,72
jours,jour,21
",",",",p
et,et,82
il,il,51
était,être,18
à,à,81
Rouen,Rouen,20
",",",",p
disait,dire,18
on,on,51
",",",",p
pour,pour,81
affaires,affaire,22
de,de,81
famille,famille,22
/.,/.,P
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
était,être,18
le,le,71
père,père,21
de,de,81
ses,son,73
soldats,soldat,21
/.,/.,P
le,le,71
moindre,moindre,30
et,et,82
le,le,71
plus,plus,60
inconnu,inconnu,30
d',de,81
entre,entre,81
eux,ils,51
",",",",p
dès,dès,81
qu',que,83
il,il,51
portait,porter,18
l',le,71
uniforme,uniforme,21
de,de,81
la,le,71
compagnie,compagnie,22
",",",",p
était,être,18
aussi,aussi,60
certain,certain,30
de,de,81
son,son,73
aide,aide,22
et,et,82
de,de,81
son,son,73
appui,appui,21
qu',que,52
aurait,avoir,16
pu,pouvoir,12
l',le,52
être,être,14
son,son,73
frère,frère,21
lui-même,lui-même,51
/.,/.,P
il,il,51
se,se,51
rendit,rendre,19
donc,donc,82
à,à,81
l',le,71
instant,instant,21
chez,chez,81
le,le,71
lieutenant,lieutenant,21
criminel,criminel,30
/.,/.,P
on,on,51
fit,faire,19
venir,venir,14
l',le,71
officier,officier,21
qui,qui,52
commandait,commander,18
le,le,71
poste,poste,21
de,de,81
la,le,71
Croix-Rouge,Croix Rouge,20
",",",",p
et,et,82
les,le,71
renseignements,renseignement,21
successifs,successif,30
apprirent,apprendre,19
qu',que,83
Athos,Athos,20
était,être,18
momentanément,momentanément,60
logé,loger,12
au,à,81
au,le,71
For-l'Evêque,For-l'Evêque,20
/.,/.,P
Athos,Athos,20
avait,avoir,18
passé,passer,12
par,par,81
toutes,tout,75
les,le,71
épreuves,épreuve,22
que,que,52
nous,nous,51
avons,avoir,17
vu,voir,12
Bonacieux,Bonacieux,20
subir,subir,14
/.,/.,P
nous,nous,51
avons,avoir,17
assisté,assister,12
à,à,81
la,le,71
scène,scène,22
de,de,81
confrontation,confrontation,22
entre,entre,81
les,le,71
deux,deux,72
captifs,captif,21
/.,/.,P
Athos,Athos,20
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
rien,rien,52
dit,dire,12
jusque-là,jusque-là,81
de,de,81
peur,peur,22
que,que,83
d',de,81
Artagnan,Artagnan,20
",",",",p
inquiété,inquiéter,12
à,à,81
son,son,73
tour,tour,21
",",",",p
n',ne,60
eût,avoir,19
point,point,60
le,le,71
temps,temps,21
qu',que,52
il,il,51
lui,lui,51
fallait,falloir,18
",",",",p
Athos,Athos,20
déclara,déclarer,19
",",",",p
à,à,81
partir,partir,14
de,de,81
ce,ce,74
moment,moment,21
",",",",p
qu',que,52
il,il,51
se,se,51
nommait,nommer,18
Athos,Athos,20
et,et,82
non,non,60
d',de,81
Artagnan,Artagnan,20
/.,/.,P
il,il,51
ajouta,ajouter,19
qu',que,83
il,il,51
ne,ne,60
connaissait,connaître,18
ni,ni,82
monsieur,monsieur,21
",",",",p
ni,ni,82
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
parlé,parler,12
ni,ni,82
à,à,81
l',le,71
un,un,52
",",",",p
ni,ni,82
à,à,81
l',le,71
autre,autre,52
;,;,p
qu',que,83
il,il,51
était,être,18
venu,venir,12
vers,vers,81
les,le,71
dix,dix,72
heures,heure,22
du,de,81
du,le,71
soir,soir,21
pour,pour,81
faire,faire,14
visite,visite,22
à,à,81
monsieur,monsieur,21
d',de,81
Artagnan,Artagnan,20
",",",",p
son,son,73
ami,ami,21
",",",",p
mais,mais,82
que,que,83
jusqu',jusque,81
à,à,81
cette,ce,74
heure,heure,22
il,il,51
était,être,18
resté,rester,12
chez,chez,81
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
",",",",p
où,où,60
il,il,51
avait,avoir,18
dîné,dîner,12
;,;,p
vingt,vingt,72
témoins,témoin,21
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
",",",",p
pouvaient,pouvoir,18
attester,attester,14
le,le,71
fait,fait,21
",",",",p
et,et,82
il,il,51
nomma,nommer,19
plusieurs,plusieurs,75
gentilshommes,gentilhomme,21
distingués,distingué,31
",",",",p
entre,entre,81
autres,autre,75
monsieur,monsieur,21
le,le,71
duc,duc,21
de,de,81
La Trémouille,La Trémouille,20
/.,/.,P
le,le,71
second,second,72
commissaire,commissaire,21
fut,être,19
aussi,aussi,60
étourdi,étourdir,12
que,que,83
le,le,71
premier,premier,72
de,de,81
la,le,71
déclaration,déclaration,22
simple,simple,30
et,et,82
ferme,ferme,30
de,de,81
ce,ce,74
mousquetaire,mousquetaire,21
",",",",p
sur,sur,81
lequel,lequel,52
il,il,51
aurait,avoir,16
bien,bien,60
voulu,vouloir,12
prendre,prendre,14
la,le,71
revanche,revanche,22
que,que,52
les,le,71
gens,gens,21
de,de,81
robe,robe,22
aiment,aimer,17
tant,tant,60
à,à,81
gagner,gagner,14
sur,sur,81
les,le,71
gens,gens,21
d',de,81
épée,épée,22
;,;,p
mais,mais,82
le,le,71
nom,nom,21
de,de,81
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
et,et,82
celui,celui,52
de,de,81
monsieur,monsieur,21
le,le,71
duc,duc,21
de,de,81
La Trémouille,La Trémouille,20
méritaient,mériter,18
réflexion,réflexion,22
/.,/.,P
Athos,Athos,20
fut,être,19
aussi,aussi,60
envoyé,envoyer,12
au,à,81
au,le,71
cardinal,cardinal,21
",",",",p
mais,mais,82
malheureusement,malheureusement,60
le,le,71
cardinal,cardinal,21
était,être,18
au,à,81
au,le,71
Louvre,Louvre,20
chez,chez,81
le,le,71
roi,roi,21
/.,/.,P
c',ce,52
était,être,18
précisément,précisément,60
le,le,71
moment,moment,21
où,où,60
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
",",",",p
sortant,sortir,13
de,de,81
chez,chez,81
le,le,71
lieutenant,lieutenant,21
criminel,criminel,30
et,et,82
de,de,81
chez,chez,81
le,le,71
gouverneur,gouverneur,21
du,de,81
du,le,71
For-l'Evêque,For-l'Evêque,20
",",",",p
sans,sans,81
avoir,avoir,14
pu,pouvoir,12
trouver,trouver,14
Athos,Athos,20
",",",",p
arriva,arriver,19
chez,chez,81
sa,son,73
majesté,majesté,22
/.,/.,P
comme,comme,83
capitaine,capitaine,21
des,de,81
des,le,71
mousquetaires,mousquetaire,21
",",",",p
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
avait,avoir,18
à,à,81
toute,tout,75
heure,heure,22
ses,son,73
entrées,entrée,22
chez,chez,81
le,le,71
roi,roi,21
/.,/.,P
on,on,51
sait,savoir,17
quelles,quel,52
étaient,être,18
les,le,71
préventions,prévention,22
du,de,81
du,le,71
roi,roi,21
contre,contre,81
la,le,71
reine,reine,22
",",",",p
préventions,prévention,22
habilement,habilement,60
entretenues,entretenu,31
par,par,81
le,le,71
cardinal,cardinal,21
",",",",p
qui,qui,52
",",",",p
en,en,81
fait,fait,21
d',de,81
intrigues,intrigue,22
",",",",p
se,se,51
défiait,défier,18
infiniment,infiniment,60
plus,plus,60
des,de,81
des,le,71
femmes,femme,22
que,que,83
des,de,81
des,le,71
hommes,homme,21
/.,/.,P
une,un,52
des,de,81
des,le,71
grandes,grand,30
causes,cause,22
surtout,surtout,60
de,de,81
cette,ce,74
prévention,prévention,22
était,être,18
l',le,71
amitié,amitié,22
d',de,81
Anne,Anne,20
d',de,81
Autriche,Autriche,20
pour,pour,81
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
/.,/.,P
ces,ce,74
deux,deux,72
femmes,femme,22
l',le,52
inquiétaient,inquiéter,18
plus,plus,60
que,que,83
les,le,71
guerres,guerre,22
avec,avec,81
l',le,71
Espagne,Espagne,20
",",",",p
les,le,71
démêlés,démêlé,21
avec,avec,81
l',le,71
Angleterre,Angleterre,20
et,et,82
l',le,71
embarras,embarras,21
des,de,81
des,le,71
finances,finance,22
/.,/.,P
à,à,81
ses,son,73
yeux,oeil,21
et,et,82
dans,dans,81
sa,son,73
conviction,conviction,22
",",",",p
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
servait,servir,18
la,le,71
reine,reine,22
non,non,60
seulement,seulement,60
dans,dans,81
ses,son,73
intrigues,intrigue,22
politiques,politique,30
",",",",p
mais,mais,82
",",",",p
ce,ce,52
qui,qui,52
le,le,52
tourmentait,tourmenter,18
bien,bien,60
plus,plus,60
encore,encore,60
",",",",p
dans,dans,81
ses,son,73
intrigues,intrigue,22
amoureuses,amoureux,30
/.,/.,P
au,à,81
au,le,71
premier,premier,72
mot,mot,21
de,de,81
ce,ce,52
qu',que,52
avait,avoir,18
dit,dire,12
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
",",",",p
que,que,83
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
",",",",p
exilée,exilé,31
à,à,81
Tours,Tours,20
et,et,82
qu',que,52
on,on,51
croyait,croire,18
dans,dans,81
cette,ce,74
ville,ville,22
",",",",p
était,être,18
venue,venir,12
à,à,81
Paris,Paris,20
et,et,82
",",",",p
pendant,pendant,81
cinq,cinq,72
jours,jour,21
qu',que,83
elle,il,51
y,y,52
était,être,18
restée,rester,12
",",",",p
avait,avoir,18
dépisté,dépister,12
la,le,71
police,police,22
",",",",p
le,le,71
roi,roi,21
était,être,18
entré,entrer,12
dans,dans,81
une,un,71
furieuse,furieux,30
colère,colère,22
/.,/.,P
capricieux,capricieux,30
et,et,82
infidèle,infidèle,30
",",",",p
le,le,71
roi,roi,21
voulait,vouloir,18
être,être,14
appelé,appeler,12
Louis,Louis,20
le,le,71
juste,juste,30
et,et,82
Louis,Louis,20
le,le,71
chaste,chaste,30
/.,/.,P
la,le,71
postérité,postérité,22
comprendra,comprendre,15
difficilement,difficilement,60
ce,ce,74
caractère,caractère,21
",",",",p
que,que,52
l',le,71
histoire,histoire,22
n',ne,60
explique,expliquer,17
que,que,83
par,par,81
des,de,81
des,le,71
faits,fait,21
et,et,82
jamais,jamais,60
par,par,81
des,de,81
des,le,71
raisonnements,raisonnement,21
/.,/.,P
mais,mais,82
lorsque,lorsque,83
le,le,71
cardinal,cardinal,21
ajouta,ajouter,19
que,que,83
non,non,60
seulement,seulement,60
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
était,être,18
venue,venir,12
à,à,81
Paris,Paris,20
",",",",p
mais,mais,82
encore,encore,60
que,que,83
la,le,71
reine,reine,22
avait,avoir,18
renoué,renouer,12
avec,avec,81
elle,il,51
à,à,81
l',le,71
aide,aide,22
d',de,81
une,un,52
de,de,81
ces,ce,74
correspondances,correspondance,22
mystérieuses,mystérieux,30
qu',que,52
à,à,81
cette,ce,74
époque,époque,22
on,on,51
nommait,nommer,18
une,un,71
cabale,cabale,22
;,;,p
lorsqu',lorsque,83
il,il,51
affirma,affirmer,19
que,que,83
lui,lui,51
",",",",p
le,le,71
cardinal,cardinal,21
",",",",p
allait,aller,18
démêler,démêler,14
les,le,71
fils,fil,21
les,le,71
plus,plus,60
obscurs,obscur,30
de,de,81
cette,ce,74
intrigue,intrigue,22
",",",",p
quand,quand,83
",",",",p
au,à,81
au,le,71
moment,moment,21
d',de,81
arrêter,arrêter,14
sur,sur,81
le,le,71
fait,fait,21
",",",",p
en,en,81
flagrant,flagrant,30
délit,délit,21
",",",",p
nanti,nanti,31
de,de,81
toutes,tout,75
les,le,71
preuves,preuve,22
",",",",p
l',le,71
émissaire,émissaire,21
de,de,81
la,le,71
reine,reine,22
près,près,81
de,de,81
l',le,71
exilée,exilée,22
",",",",p
un,un,71
mousquetaire,mousquetaire,21
avait,avoir,18
osé,oser,12
interrompre,interrompre,14
violemment,violemment,60
le,le,71
cours,cours,21
de,de,81
la,le,71
justice,justice,22
en,en,81
tombant,tomber,13
",",",",p
l',le,71
épée,épée,22
à,à,81
la,le,71
main,main,22
",",",",p
sur,sur,81
d',de,81
honnêtes,honnête,30
gens,gens,21
de,de,81
loi,loi,22
chargés,chargé,31
d',de,81
examiner,examiner,14
avec,avec,81
impartialité,impartialité,22
toute,tout,75
l',le,71
affaire,affaire,22
pour,pour,81
la,le,52
mettre,mettre,14
sous,sous,81
les,le,71
yeux,oeil,21
du,de,81
du,le,71
roi,roi,21
",",",",p
-,-,p
Louis XIII,Louis XIII,20
ne,ne,60
se,se,51
contint,contenir,19
plus,plus,60
",",",",p
il,il,51
fit,faire,19
un,un,71
pas,pas,21
vers,vers,81
l',le,71
appartement,appartement,21
de,de,81
la,le,71
reine,reine,22
avec,avec,81
cette,ce,74
pâle,pâle,30
et,et,82
muette,muet,30
indignation,indignation,22
qui,qui,52
",",",",p
lorsqu',lorsque,83
elle,il,51
éclatait,éclater,18
",",",",p
conduisait,conduire,18
ce,ce,74
prince,prince,21
jusqu',jusque,81
à,à,81
la,le,71
plus,plus,60
froide,froid,30
cruauté,cruauté,22
/.,/.,P
et,et,82
cependant,cependant,82
",",",",p
dans,dans,81
tout,tout,75
cela,cela,52
",",",",p
le,le,71
cardinal,cardinal,21
n',ne,60
avait,avoir,18
pas,pas,60
encore,encore,60
dit,dire,12
un,un,71
mot,mot,21
du,de,81
du,le,71
duc,duc,21
de,de,81
Buckingham,Buckingham,20
/.,/.,P
ce,ce,52
fut,être,19
alors,alors,60
que,que,83
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
entra,entrer,19
",",",",p
froid,froid,30
",",",",p
poli,poli,31
et,et,82
dans,dans,81
une,un,71
tenue,tenue,22
irréprochable,irréprochable,30
/.,/.,P
averti,averti,31
de,de,81
ce,ce,52
qui,qui,52
venait,venir,18
de,de,81
se,se,51
passer,passer,14
par,par,81
la,le,71
présence,présence,22
du,de,81
du,le,71
cardinal,cardinal,21
et,et,82
par,par,81
l',le,71
altération,altération,22
de,de,81
la,le,71
figure,figure,22
du,de,81
du,le,71
roi,roi,21
",",",",p
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
se,se,51
sentit,sentir,19
fort,fort,60
comme,comme,83
Samson,Samson,20
devant,devant,81
les,le,71
Philistins,Philistin,20
/.,/.,P
Louis XIII,Louis XIII,20
mettait,mettre,18
déjà,déjà,60
la,le,71
main,main,22
sur,sur,81
le,le,71
bouton,bouton,21
de,de,81
la,le,71
porte,porte,22
;,;,p
au,à,81
au,le,71
bruit,bruit,21
que,que,52
fit,faire,19
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
en,en,81
entrant,entrer,13
",",",",p
il,il,51
se,se,51
retourna,retourner,19
/.,/.,P
“,“,p
vous,vous,51
arrivez,arriver,17
bien,bien,60
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
le,le,71
roi,roi,21
",",",",p
qui,qui,52
",",",",p
lorsque,lorsque,83
ses,son,73
passions,passion,22
étaient,être,18
montées,monter,12
à,à,81
un,un,71
certain,certain,75
point,point,21
",",",",p
ne,ne,60
savait,savoir,18
pas,pas,60
dissimuler,dissimuler,14
",",",",p
et,et,82
j',je,51
en,en,52
apprends,apprendre,17
de,de,81
belles,beau,30
sur,sur,81
le,le,71
compte,compte,21
de,de,81
vos,votre,73
mousquetaires,mousquetaire,21
/.,/.,P
-,-,p
et,et,82
moi,moi,51
",",",",p
dit,dire,19
froidement,froidement,60
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
",",",",p
j',je,51
en,en,52
ai,avoir,17
de,de,81
belles,beau,30
à,à,81
apprendre,apprendre,14
à,à,81
votre,votre,73
majesté,majesté,22
sur,sur,81
ses,son,73
gens,gens,21
de,de,81
robe,robe,22
/.,/.,P
-,-,p
plaît,plaire,17
il,il,51
?,?,p
dit,dire,19
le,le,71
roi,roi,21
avec,avec,81
hauteur,hauteur,22
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
l',le,71
honneur,honneur,21
d',de,81
apprendre,apprendre,14
à,à,81
votre,votre,73
majesté,majesté,22
",",",",p
continua,continuer,19
monsieur,monsieur,21
de,de,81
Tréville,Tréville,20
du,de,81
du,le,71
même,même,30
ton,ton,21
",",",",p
qu',que,83
un,un,71
parti,parti,21
de,de,81
procureurs,procureur,21
",",",",p
de,de,81
commissaires,commissaire,21
et,et,82
de,de,81
gens,gens,21
de,de,81
police,police,22
",",",",p
gens,gens,21
fort,fort,60
estimables,estimable,30
mais,mais,82
fort,fort,60
acharnés,acharné,31
",",",",p
à,à,81
ce,ce,52
qu',que,52
il,il,51
paraît,paraître,17
",",",",p
contre,contre,81
l',le,71
uniforme,uniforme,21
",",",",p
s',se,51
est,être,17
permis,permettre,12
d',de,81
arrêter,arrêter,14
dans,dans,81
une,un,71
maison,maison,22
",",",",p
d',de,81
emmener,emmener,14
en,en,81
pleine,plein,30
rue,rue,22
et,et,82
de,de,81
jeter,jeter,14
au,à,81
au,le,71
For-l'Evêque,For-l'Evêque,20
",",",",p
tout,tout,75
cela,cela,52
sur,sur,81
un,un,71
ordre,ordre,21
que,que,52
l',l',94
on,on,51
a,avoir,17
refusé,refuser,12
de,de,81
me,je,51
représenter,représenter,14
",",",",p
un,un,52
de,de,81
mes,mon,73
mousquetaires,mousquetaire,21
",",",",p
ou,ou,82
plutôt,plutôt,60
des,de,81
des,le,71
vôtres,vôtre,52
",",",",p
sire,sire,21
",",",",p
d',de,81
une,un,71
conduite,conduite,22
irréprochable,irréprochable,30
",",",",p
d',de,81
