11875
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quinzième extrait>,<>,<>
alla,aller,19
",",",",p
laissant,laisser,13
Eugène,Eugène,20
seul,seul,30
avec,avec,81
le,le,71
vieillard,vieillard,21
",",",",p
et,et,82
dans,dans,81
l',le,71
appréhension,appréhension,22
d',de,81
une,un,71
crise,crise,22
qui,qui,52
ne,ne,60
tarda,tarder,19
pas,pas,60
à,à,81
se,se,51
déclarer,déclarer,14
/.,/.,P
-,-,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
vous,vous,51
",",",",p
mon,mon,73
cher,cher,30
enfant,enfant,21
",",",",p
dit,dire,12
le,le,71
père,père,21
Goriot,Goriot,20
en,en,81
reconnaissant,reconnaître,13
Eugène,Eugène,20
/.,/.,P
-,-,p
allez,aller,17
vous,vous,51
mieux,mieux,60
?,?,p
demanda,demander,19
l',le,71
étudiant,étudiant,21
en,en,81
lui,lui,51
prenant,prendre,13
la,le,71
main,main,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
j',je,51
avais,avoir,18
la,le,71
tête,tête,22
serrée,serré,31
comme,comme,83
dans,dans,81
un,un,71
étau,étau,21
",",",",p
mais,mais,82
elle,il,51
se,se,51
dégage,dégager,17
/.,/.,P
avez,avoir,17
vous,vous,51
vu,voir,12
mes,mon,73
filles,fille,22
/?,/?,P
elles,ils,51
vont,aller,17
venir,venir,14
bientôt,bientôt,60
",",",",p
elles,ils,51
accourront,accourir,15
aussitôt,aussitôt,60
qu',que,83
elles,ils,51
me,je,51
sauront,savoir,15
malade,malade,30
",",",",p
elles,ils,51
m',je,51
ont,avoir,17
tant,tant,60
soigné,soigner,12
rue,rue,22
de,de,81
la,le,71
Jussienne,Jussienne,20
/!,/!,P
mon,mon,73
dieu,dieu,21
!,!,p
je,je,51
voudrais,vouloir,16
que,que,83
ma,mon,73
chambre,chambre,22
fût,être,19
propre,propre,30
pour,pour,81
les,le,52
recevoir,recevoir,14
/.,/.,P
il,il,51
y,y,52
a,avoir,17
un,un,71
jeune,jeune,30
homme,homme,21
qui,qui,52
m',je,51
a,avoir,17
brûlé,brûler,12
toutes,tout,75
mes,mon,73
mottes,motte,22
/.,/.,P
-,-,p
j',je,51
entends,entendre,17
Christophe,Christophe,20
",",",",p
lui,lui,51
dit,dire,19
Eugène,Eugène,20
",",",",p
il,il,51
vous,vous,51
monte,monter,17
du,de,81
du,le,71
bois,bois,21
que,que,52
ce,ce,74
jeune,jeune,30
homme,homme,21
vous,vous,51
envoie,envoyer,17
/.,/.,P
-,-,p
bon,bon,60
!,!,p
mais,mais,82
comment,comment,60
payer,payer,14
le,le,71
bois,bois,21
?,?,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
un,un,71
sou,sou,21
",",",",p
mon,mon,73
enfant,enfant,21
/.,/.,P
j',je,51
ai,avoir,17
tout,tout,52
donné,donner,12
",",",",p
tout,tout,52
/.,/.,P
je,je,51
suis,être,17
à,à,81
la,le,71
charité,charité,22
/.,/.,P
la,le,71
robe,robe,22
lamée,lamé,31
était,être,18
elle,il,51
belle,beau,30
au,à,81
au,le,71
moins,moins,60
?,?,p
(,(,p
ah,ah,93
!,!,p
je,je,51
souffre,souffrir,17
!,!,p
),),p
merci,merci,21
",",",",p
Christophe,Christophe,20
/.,/.,P
dieu,dieu,21
vous,vous,51
récompensera,récompenser,15
",",",",p
mon,mon,73
garçon,garçon,21
;,;,p
moi,moi,51
",",",",p
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
rien,rien,52
/.,/.,P
-,-,p
je,je,51
te,tu,51
payerai,payer,15
bien,bien,60
",",",",p
toi,toi,51
et,et,82
Sylvie,Sylvie,20
",",",",p
dit,dire,19
Eugène,Eugène,20
à,à,81
l',le,71
oreille,oreille,22
du,de,81
du,le,71
garçon,garçon,21
/.,/.,P
-,-,p
mes,mon,73
filles,fille,22
vous,vous,51
ont,avoir,17
dit,dire,12
qu',que,83
elles,ils,51
allaient,aller,18
venir,venir,14
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
Christophe,Christophe,20
/?,/?,P
vas,aller,17
y,y,52
encore,encore,60
",",",",p
je,je,51
te,tu,51
donnerai,donner,15
cent,cent,72
sous,sou,21
/.,/.,P
dis,dire,17
leur,leur,52
que,que,83
je,je,51
ne,ne,60
me,je,51
sens,sentir,17
pas,pas,60
bien,bien,60
",",",",p
que,que,83
je,je,51
voudrais,vouloir,16
les,le,52
embrasser,embrasser,14
",",",",p
les,le,52
voir,voir,14
encore,encore,60
une,un,71
fois,fois,22
avant,avant,81
de,de,81
mourir,mourir,14
/.,/.,P
dis,dire,17
leur,leur,52
cela,cela,52
",",",",p
mais,mais,82
sans,sans,81
trop,trop,60
les,le,52
effrayer,effrayer,14
/.,/.,P
Christophe,Christophe,20
partit,partir,19
sur,sur,81
un,un,71
signe,signe,21
de,de,81
Rastignac,Rastignac,20
/.,/.,P
-,-,p
elles,ils,51
vont,aller,17
venir,venir,14
",",",",p
reprit,reprendre,19
le,le,71
vieillard,vieillard,21
/.,/.,P
je,je,51
les,le,52
connais,connaître,17
/.,/.,P
cette,ce,74
bonne,bon,30
Delphine,Delphine,20
",",",",p
si,si,83
je,je,51
meurs,mourir,17
",",",",p
quel,quel,75
chagrin,chagrin,21
je,je,51
lui,lui,51
causerai,causer,15
/!,/!,P
Nasie,Nasie,20
aussi,aussi,60
/.,/.,P
je,je,51
ne,ne,60
voudrais,vouloir,16
pas,pas,60
mourir,mourir,14
",",",",p
pour,pour,81
ne,ne,60
pas,pas,60
les,le,52
faire,faire,14
pleurer,pleurer,14
/.,/.,P
mourir,mourir,14
",",",",p
mon,mon,73
bon,bon,30
Eugène,Eugène,20
",",",",p
c',ce,52
est,être,17
ne,ne,60
plus,plus,60
les,le,52
voir,voir,14
/.,/.,P
là,là,60
où,où,60
l',l',94
on,on,51
s',se,51
en,en,52
va,aller,17
",",",",p
je,je,51
m',je,51
ennuierai,ennuyer,15
bien,bien,60
/.,/.,P
pour,pour,81
un,un,71
père,père,21
",",",",p
l',le,71
enfer,enfer,21
c',ce,52
est,être,17
d',de,81
être,être,14
sans,sans,81
enfants,enfant,21
",",",",p
et,et,82
j',je,51
ai,avoir,17
déjà,déjà,60
fait,faire,12
mon,mon,73
apprentissage,apprentissage,21
depuis,depuis,81
qu',que,83
elles,ils,51
sont,être,17
mariées,marier,12
/.,/.,P
mon,mon,73
paradis,paradis,21
était,être,18
rue,rue,22
de,de,81
la,le,71
Jussienne,Jussienne,20
/.,/.,P
dites,dire,17
donc,donc,82
",",",",p
si,si,83
je,je,51
vais,aller,17
en,en,81
paradis,paradis,21
je,je,51
pourrai,pouvoir,15
revenir,revenir,14
sur,sur,81
terre,terre,22
en,en,81
esprit,esprit,21
autour,autour,60
d',de,81
elles,ils,51
/.,/.,P
j',je,51
ai,avoir,17
entendu,entendre,12
dire,dire,14
de,de,81
ces,ce,74
choses,chose,22
là,là,60
/.,/.,P
sont,être,17
elles,ils,51
vraies,vrai,30
?,?,p
je,je,51
crois,croire,17
les,le,52
voir,voir,14
en,en,81
ce,ce,74
moment,moment,21
telles,tel,75
qu',que,83
elles,ils,51
étaient,être,18
rue,rue,22
de,de,81
la,le,71
Jussienne,Jussienne,20
/.,/.,P
elles,ils,51
descendaient,descendre,18
le,le,71
matin,matin,21
/.,/.,P
bonjour,bonjour,21
",",",",p
papa,papa,21
",",",",p
disaient,dire,18
elles,ils,51
/.,/.,P
je,je,51
les,le,52
prenais,prendre,18
sur,sur,81
mes,mon,73
genoux,genou,21
",",",",p
je,je,51
leur,leur,52
faisais,faire,18
mille,mille,72
agaceries,agacerie,22
",",",",p
des,de,81
des,le,71
niches,niche,22
/.,/.,P
elles,ils,51
me,je,51
caressaient,caresser,18
gentiment,gentiment,60
/.,/.,P
nous,nous,51
déjeunions,déjeuner,18
tous,tout,75
les,le,71
matins,matin,21
ensemble,ensemble,60
",",",",p
nous,nous,51
dînions,dîner,18
",",",",p
enfin,enfin,60
j',je,51
étais,être,18
père,père,21
",",",",p
je,je,51
jouissais,jouir,18
de,de,81
mes,mon,73
enfants,enfant,21
/.,/.,P
quand,quand,83
elles,ils,51
étaient,être,18
rue,rue,22
de,de,81
la,le,71
Jussienne,Jussienne,20
",",",",p
elles,ils,51
ne,ne,60
raisonnaient,raisonner,18
pas,pas,60
",",",",p
elles,ils,51
ne,ne,60
savaient,savoir,18
rien,rien,52
du,de,81
du,le,71
monde,monde,21
",",",",p
elles,ils,51
m',je,51
aimaient,aimer,18
bien,bien,60
/.,/.,P
mon,mon,73
dieu,dieu,21
!,!,p
pourquoi,pourquoi,60
ne,ne,60
sont,être,17
elles,ils,51
pas,pas,60
toujours,toujours,60
restées,rester,12
petites,petit,30
?,?,p
(,(,p
oh,oh,93
!,!,p
je,je,51
souffre,souffrir,17
",",",",p
la,le,71
tête,tête,22
me,je,51
tire,tirer,17
/.,/.,P
),),p
ah,ah,93
!,!,p
ah,ah,93
!,!,p
pardon,pardon,21
",",",",p
mes,mon,73
enfants,enfant,21
!,!,p
je,je,51
souffre,souffrir,17
horriblement,horriblement,60
",",",",p
et,et,82
il,il,51
faut,falloir,17
que,que,83
ce,ce,52
soit,être,17
de,de,81
la,le,71
vraie,vrai,30
douleur,douleur,22
",",",",p
vous,vous,51
m',je,51
avez,avoir,17
rendu,rendre,12
bien,bien,60
dur,dur,30
au,à,81
au,le,71
mal,mal,21
/.,/.,P
mon,mon,73
dieu,dieu,21
!,!,p
si,si,83
j',je,51
avais,avoir,18
seulement,seulement,60
leurs,leur,73
mains,main,22
dans,dans,81
les,le,71
miennes,mien,52
",",",",p
je,je,51
ne,ne,60
sentirais,sentir,16
point,point,60
mon,mon,73
mal,mal,21
/.,/.,P
croyez,croire,17
vous,vous,51
qu',que,83
elles,ils,51
viennent,venir,17
/?,/?,P
Christophe,Christophe,20
est,être,17
si,si,60
bête,bête,30
/!,/!,P
j',je,51
aurais,avoir,16
dû,devoir,12
y,y,52
aller,aller,14
moi-même,moi-même,51
/.,/.,P
il,il,51
va,aller,17
les,le,52
voir,voir,14
",",",",p
lui,lui,51
/.,/.,P
mais,mais,82
vous,vous,51
avez,avoir,17
été,être,12
hier,hier,60
au,à,81
au,le,71
bal,bal,21
/.,/.,P
dites,dire,17
moi,moi,51
donc,donc,82
comment,comment,60
elles,ils,51
étaient,être,18
/?,/?,P
elles,ils,51
ne,ne,60
savaient,savoir,18
rien,rien,52
de,de,81
ma,mon,73
maladie,maladie,22
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
elles,ils,51
n',ne,60
auraient,avoir,16
pas,pas,60
dansé,danser,12
",",",",p
pauvres,pauvre,30
petites,petite,22
/!,/!,P
oh,oh,93
!,!,p
je,je,51
ne,ne,60
veux,vouloir,17
plus,plus,60
être,être,14
malade,malade,30
/.,/.,P
elles,ils,51
ont,avoir,17
encore,encore,60
trop,trop,60
besoin,besoin,21
de,de,81
moi,moi,51
/.,/.,P
leurs,leur,73
fortunes,fortune,22
sont,être,17
compromises,compromettre,12
/.,/.,P
et,et,82
à,à,81
quels,quel,75
maris,mari,21
sont,être,17
elles,ils,51
livrées,livrer,12
/!,/!,P
guérissez,guérir,17
moi,moi,51
",",",",p
guérissez,guérir,17
moi,moi,51
!,!,p
(,(,p
oh,oh,93
!,!,p
que,que,52
je,je,51
souffre,souffrir,17
/!,/!,P
ah,ah,93
!,!,p
ah,ah,93
!,!,p
ah,ah,93
!,!,p
),),p
voyez,voir,17
vous,vous,51
",",",",p
il,il,51
faut,falloir,17
me,je,51
guérir,guérir,14
",",",",p
parce qu',parce que,83
il,il,51
leur,leur,52
faut,falloir,17
de,de,81
l',le,71
argent,argent,21
",",",",p
et,et,82
je,je,51
sais,savoir,17
où,où,60
aller,aller,14
en,en,52
gagner,gagner,14
/.,/.,P
j',je,51
irai,aller,15
faire,faire,14
de,de,81
l',le,71
amidon,amidon,21
en,en,81
aiguilles,aiguille,22
à,à,81
Odessa,Odessa,20
/.,/.,P
je,je,51
suis,être,17
un,un,71
malin,malin,21
",",",",p
je,je,51
gagnerai,gagner,15
des,de,81
des,le,71
millions,million,21
/.,/.,P
(,(,p
oh,oh,93
!,!,p
je,je,51
souffre,souffrir,17
trop,trop,60
!,!,p
),),p
Goriot,Goriot,20
garda,garder,19
le,le,71
silence,silence,21
pendant,pendant,81
un,un,71
moment,moment,21
",",",",p
en,en,81
paraissant,paraître,13
faire,faire,14
tous,tout,75
ses,son,73
efforts,effort,21
pour,pour,81
rassembler,rassembler,14
ses,son,73
forces,force,22
afin,afin,81
de,de,81
supporter,supporter,14
la,le,71
douleur,douleur,22
/.,/.,P
-,-,p
si,si,83
elles,ils,51
étaient,être,18
là,là,60
",",",",p
je,je,51
ne,ne,60
me,je,51
plaindrais,plaindre,16
pas,pas,60
",",",",p
dit,dire,19
il,il,51
/.,/.,P
pourquoi,pourquoi,60
donc,donc,82
me,je,51
plaindre,plaindre,14
/?,/?,P
un,un,71
léger,léger,30
assoupissement,assoupissement,21
survint,survenir,19
et,et,82
dura,durer,19
longtemps,longtemps,60
/.,/.,P
Christophe,Christophe,20
revint,revenir,19
/.,/.,P
Rastignac,Rastignac,20
",",",",p
qui,qui,52
croyait,croire,18
le,le,71
père,père,21
Goriot,Goriot,20
endormi,endormi,31
",",",",p
laissa,laisser,19
le,le,71
garçon,garçon,21
lui,lui,51
rendre,rendre,14
compte,compte,21
à,à,81
haute,haut,30
voix,voix,22
de,de,81
sa,son,73
mission,mission,22
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
il,il,51
",",",",p
je,je,51
suis,être,17
d'abord,d'abord,60
allé,aller,12
chez,chez,81
madame,madame,22
la,le,71
comtesse,comtesse,22
",",",",p
à,à,81
laquelle,lequel,52
il,il,51
m',je,51
a,avoir,17
été,être,12
impossible,impossible,30
de,de,81
parler,parler,14
",",",",p
elle,il,51
était,être,18
dans,dans,81
de,de,81
grandes,grand,30
affaires,affaire,22
avec,avec,81
son,son,73
mari,mari,21
/.,/.,P
comme,comme,83
j',je,51
insistais,insister,18
",",",",p
monsieur,monsieur,21
de,de,81
Restaud,Restaud,20
est,être,17
venu,venir,12
lui-même,lui-même,51
",",",",p
et,et,82
m',je,51
a,avoir,17
dit,dire,12
comme,comme,83
ça,ça,52
:,:,p
“,“,p
monsieur,monsieur,21
Goriot,Goriot,20
se,se,51
meurt,mourir,17
",",",",p
eh,eh,93
bien,bien,60
!,!,p
c',ce,52
est,être,17
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
de,de,81
mieux,mieux,60
à,à,81
faire,faire,14
/.,/.,P
j',je,51
ai,avoir,17
besoin,besoin,21
de,de,81
madame,madame,22
de,de,81
Restaud,Restaud,20
pour,pour,81
terminer,terminer,14
des,de,81
des,le,71
affaires,affaire,22
importantes,important,30
",",",",p
elle,il,51
ira,aller,15
quand,quand,83
tout,tout,52
sera,être,15
fini,finir,12
/.,/.,P
“,“,p
il,il,51
avait,avoir,18
l',le,71
air,air,21
en,en,81
colère,colère,22
",",",",p
ce,ce,74
monsieur,monsieur,21
là,là,60
/.,/.,P
j',je,51
allais,aller,18
sortir,sortir,14
",",",",p
lorsque,lorsque,83
madame,madame,22
est,être,17
entrée,entrer,12
dans,dans,81
l',le,71
antichambre,antichambre,22
par,par,81
une,un,71
porte,porte,22
que,que,52
je,je,51
ne,ne,60
voyais,voir,18
pas,pas,60
",",",",p
et,et,82
m',je,51
a,avoir,17
dit,dire,12
:,:,p
“,“,p
Christophe,Christophe,20
",",",",p
dis,dire,17
à,à,81
mon,mon,73
père,père,21
que,que,52
je,je,51
suis,être,17
en,en,81
discussion,discussion,22
avec,avec,81
mon,mon,73
mari,mari,21
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
pas,pas,60
le,le,52
quitter,quitter,14
;,;,p
il,il,51
s',se,51
agit,agir,17
de,de,81
la,le,71
vie,vie,22
ou,ou,82
de,de,81
la,le,71
mort,mort,22
de,de,81
mes,mon,73
enfants,enfant,21
",",",",p
mais,mais,82
aussitôt,aussitôt,60
que,que,83
tout,tout,52
sera,être,15
fini,finir,12
",",",",p
j',je,51
irai,aller,15
/.,/.,P
“,“,p
quant,quand,83
à,à,81
madame,madame,22
la,le,71
baronne,baronne,22
",",",",p
autre,autre,75
histoire,histoire,22
!,!,p
je,je,51
ne,ne,60
l',le,52
ai,avoir,17
point,point,60
vue,voir,12
",",",",p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
pu,pouvoir,12
lui,lui,51
parler,parler,14
/.,/.,P
“,“,p
ah,ah,93
!,!,p
me,je,51
dit,dire,19
la,le,71
femme,femme,22
de,de,81
chambre,chambre,22
madame,madame,22
est,être,17
rentrée,rentrer,12
du,de,81
du,le,71
bal,bal,21
à,à,81
cinq,cinq,72
heures,heure,22
un,un,71
quart,quart,21
",",",",p
elle,il,51
dort,dormir,17
",",",",p
si,si,83
je,je,51
l',le,52
éveille,éveiller,17
avant,avant,81
midi,midi,21
",",",",p
elle,il,51
me,je,51
grondera,gronder,15
/.,/.,P
je,je,51
lui,lui,51
dirai,dire,15
que,que,83
son,son,73
père,père,21
va,aller,17
plus,plus,60
mal,mal,60
quand,quand,83
elle,il,51
me,je,51
sonnera,sonner,15
/.,/.,P
pour,pour,81
une,un,71
mauvaise,mauvais,30
nouvelle,nouvelle,22
",",",",p
il,il,51
est,être,17
toujours,toujours,60
temps,temps,21
de,de,81
la,le,52
lui,lui,51
dire,dire,14
/.,/.,P
“,“,p
j',je,51
ai,avoir,17
eu,avoir,12
beau,beau,60
prier,prier,14
/!,/!,P
ah,ah,93
ouin,oui,60
/!,/!,P
j',je,51
ai,avoir,17
demandé,demander,12
à,à,81
parler,parler,14
à,à,81
monsieur,monsieur,21
le,le,71
baron,baron,21
",",",",p
il,il,51
était,être,18
sorti,sortir,12
/.,/.,P
aucune,aucun,52
de,de,81
ses,son,73
filles,fille,22
ne,ne,60
viendrait,venir,16
!,!,p
s',se,51
écria,écrier,19
Rastignac,Rastignac,20
/.,/.,P
je,je,51
vais,aller,17
écrire,écrire,14
à,à,81
toutes,tout,75
deux,deux,72
/.,/.,P
-,-,p
aucune,aucun,52
",",",",p
répondit,répondre,19
le,le,71
vieillard,vieillard,21
en,en,81
se,se,51
dressant,dresser,13
sur,sur,81
son,son,73
séant,séant,21
/.,/.,P
elles,ils,51
ont,avoir,17
des,de,81
des,le,71
affaires,affaire,22
",",",",p
elles,ils,51
dorment,dormir,17
",",",",p
elles,ils,51
ne,ne,60
viendront,venir,15
pas,pas,60
/.,/.,P
je,je,51
le,le,52
savais,savoir,18
/.,/.,P
il,il,51
faut,falloir,17
mourir,mourir,14
pour,pour,81
savoir,savoir,14
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
des,de,81
des,le,71
enfants,enfant,21
/.,/.,P
ah,ah,93
!,!,p
mon,mon,73
ami,ami,21
",",",",p
ne,ne,60
vous,vous,51
mariez,marier,17
pas,pas,60
",",",",p
n',ne,60
ayez,avoir,17
pas,pas,60
d',de,81
enfants,enfant,21
/!,/!,P
vous,vous,51
leur,leur,52
donnez,donner,17
la,le,71
vie,vie,22
",",",",p
ils,ils,51
vous,vous,51
donnent,donner,17
la,le,71
mort,mort,22
/.,/.,P
vous,vous,51
les,le,52
faites,faire,17
entrer,entrer,14
dans,dans,81
le,le,71
monde,monde,21
",",",",p
ils,ils,51
vous,vous,51
en,en,52
chassent,chasser,17
/.,/.,P
non,non,60
",",",",p
elles,ils,51
ne,ne,60
viendront,venir,15
pas,pas,60
!,!,p
je,je,51
sais,savoir,17
cela,cela,52
depuis,depuis,81
dix,dix,72
ans,an,21
/.,/.,P
je,je,51
me,je,51
le,le,52
disais,dire,18
quelquefois,quelquefois,60
",",",",p
mais,mais,82
je,je,51
n',ne,60
osais,oser,18
pas,pas,60
y,y,52
croire,croire,14
/.,/.,P
une,un,71
larme,larme,22
roula,rouler,19
dans,dans,81
chacun,chacun,52
de,de,81
ses,son,73
yeux,oeil,21
",",",",p
sur,sur,81
la,le,71
bordure,bordure,22
rouge,rouge,30
",",",",p
sans,sans,81
en,en,52
tomber,tomber,14
/.,/.,P
-,-,p
ah,ah,93
!,!,p
si,si,83
j',je,51
étais,être,18
riche,riche,30
",",",",p
si,si,83
j',je,51
avais,avoir,18
gardé,garder,12
ma,mon,73
fortune,fortune,22
",",",",p
si,si,83
je,je,51
ne,ne,60
la,le,52
leur,leur,52
avais,avoir,18
pas,pas,60
donnée,donner,12
",",",",p
elles,ils,51
seraient,être,16
là,là,60
",",",",p
elles,ils,51
me,je,51
lécheraient,lécher,16
les,le,71
joues,joue,22
de,de,81
leurs,leur,73
baisers,baiser,21
!,!,p
je,je,51
demeurerais,demeurer,16
dans,dans,81
un,un,71
hôtel,hôtel,21
",",",",p
j',je,51
aurais,avoir,16
de,de,81
belles,beau,30
chambres,chambre,22
",",",",p
des,de,81
des,le,71
domestiques,domestique,21
",",",",p
du,de,81
du,le,71
feu,feu,21
à,à,81
moi,moi,51
;,;,p
et,et,82
elles,ils,51
seraient,être,16
tout,tout,52
en,en,81
larmes,larme,22
",",",",p
avec,avec,81
leurs,leur,73
maris,mari,21
",",",",p
leurs,leur,73
enfants,enfant,21
/.,/.,P
j',je,51
aurais,avoir,16
tout,tout,52
cela,cela,52
/.,/.,P
mais,mais,82
rien,rien,52
/.,/.,P
l',le,71
argent,argent,21
donne,donner,17
tout,tout,52
",",",",p
même,même,60
des,de,81
des,le,71
filles,fille,22
/.,/.,P
oh,oh,93
!,!,p
mon,mon,73
argent,argent,21
",",",",p
où,où,60
est,être,17
il,il,51
/?,/?,P
si,si,83
j',je,51
avais,avoir,18
des,de,81
des,le,71
trésors,trésor,21
à,à,81
laisser,laisser,14
",",",",p
elles,ils,51
me,je,51
panseraient,panser,16
",",",",p
elles,ils,51
me,je,51
soigneraient,soigner,16
;,;,p
je,je,51
les,le,52
entendrais,entendre,16
;,;,p
je,je,51
les,le,52
verrais,voir,16
/.,/.,P
ah,ah,93
!,!,p
mon,mon,73
cher,cher,30
enfant,enfant,21
",",",",p
mon,mon,73
seul,seul,30
enfant,enfant,21
",",",",p
j',je,51
aime,aimer,17
mieux,mieux,60
mon,mon,73
abandon,abandon,21
et,et,82
ma,mon,73
misère,misère,22
/!,/!,P
au,à,81
au,le,71
moins,moins,60
",",",",p
quand,quand,83
un,un,71
malheureux,malheureux,21
est,être,17
aimé,aimer,12
",",",",p
il,il,51
est,être,17
bien,bien,60
sûr,sûr,30
qu',que,83
on,on,51
l',le,52
aime,aimer,17
/.,/.,P
non,non,60
",",",",p
je,je,51
voudrais,vouloir,16
être,être,14
riche,riche,30
",",",",p
je,je,51
les,le,52
verrais,voir,16
/.,/.,P
ma,mon,73
foi,foi,22
",",",",p
qui,qui,52
sait,savoir,17
/?,/?,P
elles,ils,51
ont,avoir,17
toutes,tout,75
les,le,71
deux,deux,72
des,de,81
des,le,71
coeurs,coeur,21
de,de,81
roche,roche,22
/.,/.,P
j',je,51
avais,avoir,18
trop,trop,60
d',de,81
amour,amour,21
pour,pour,81
elles,ils,51
pour,pour,81
qu',que,83
elles,ils,51
en,en,52
eussent,avoir,18
pour,pour,81
moi,moi,51
/.,/.,P
un,un,71
père,père,21
doit,devoir,17
être,être,14
toujours,toujours,60
riche,riche,30
",",",",p
il,il,51
doit,devoir,17
tenir,tenir,14
ses,son,73
enfants,enfant,21
en,en,81
bride,bride,22
comme,comme,83
des,de,81
des,le,71
chevaux,cheval,21
sournois,sournois,30
/.,/.,P
et,et,82
j',je,51
étais,être,18
à,à,81
genoux,genou,21
devant,devant,81
elles,ils,51
/.,/.,P
les,le,71
misérables,misérable,22
!,!,p
elles,ils,51
couronnent,couronner,17
dignement,dignement,60
leur,leur,73
conduite,conduite,22
envers,envers,81
moi,moi,51
depuis,depuis,81
dix,dix,72
ans,an,21
/.,/.,P
si,si,83
vous,vous,51
saviez,savoir,18
comme,comme,83
elles,ils,51
étaient,être,18
aux,à,81
aux,le,71
petits,petit,30
soins,soin,21
pour,pour,81
moi,moi,51
dans,dans,81
les,le,71
premiers,premier,72
temps,temps,21
de,de,81
leur,leur,73
mariage,mariage,21
!,!,p
(,(,p
oh,oh,93
!,!,p
je,je,51
souffre,souffrir,17
un,un,71
cruel,cruel,30
martyre,martyre,21
!,!,p
),),p
je,je,51
venais,venir,18
de,de,81
leur,leur,52
donner,donner,14
à,à,81
chacune,chacun,52
près,près,81
de,de,81
huit,huit,72
cent,cent,72
mille,mille,72
francs,franc,21
",",",",p
elles,ils,51
ne,ne,60
pouvaient,pouvoir,18
pas,pas,60
",",",",p
ni,ni,82
leurs,leur,73
maris,mari,21
non,non,60
plus,plus,60
",",",",p
être,être,14
rudes,rude,30
avec,avec,81
moi,moi,51
/.,/.,P
l',l',94
on,on,51
me,je,51
recevait,recevoir,18
:,:,p
“,“,p
mon,mon,73
père,père,21
",",",",p
par-ci,par-ci,60
;,;,p
mon,mon,73
cher,cher,30
père,père,21
",",",",p
par-là,par-là,60
“,“,p
/.,/.,P
mon,mon,73
couvert,couvert,21
était,être,18
toujours,toujours,60
mis,mettre,12
chez,chez,81
elles,ils,51
/.,/.,P
enfin,enfin,60
je,je,51
dînais,dîner,18
avec,avec,81
leurs,leur,73
maris,mari,21
",",",",p
qui,qui,52
me,je,51
traitaient,traiter,18
avec,avec,81
considération,considération,22
/.,/.,P
j',je,51
avais,avoir,18
l',le,71
air,air,21
d',de,81
avoir,avoir,14
encore,encore,60
quelque,quelque,75
chose,chose,22
/.,/.,P
pourquoi,pourquoi,60
ça,ça,52
?,?,p
je,je,51
n',ne,60
avais,avoir,18
rien,rien,52
dit,dire,12
de,de,81
mes,mon,73
affaires,affaire,22
/.,/.,P
un,un,71
homme,homme,21
qui,qui,52
donne,donner,17
huit,huit,72
cent,cent,72
mille,mille,72
francs,franc,21
à,à,81
ses,son,73
deux,deux,72
filles,fille,22
était,être,18
un,un,71
homme,homme,21
à,à,81
soigner,soigner,14
/.,/.,P
et,et,82
l',l',94
on,on,51
était,être,18
aux,à,81
aux,le,71
petits,petit,30
soins,soin,21
",",",",p
mais,mais,82
c',ce,52
était,être,18
pour,pour,81
mon,mon,73
argent,argent,21
/.,/.,P
le,le,71
monde,monde,21
n',ne,60
est,être,17
pas,pas,60
beau,beau,30
/.,/.,P
j',je,51
ai,avoir,17
vu,voir,12
cela,cela,52
",",",",p
moi,moi,51
/!,/!,P
l',l',94
on,on,51
me,je,51
menait,mener,18
en,en,81
voiture,voiture,22
au,à,81
au,le,71
spectacle,spectacle,21
",",",",p
et,et,82
je,je,51
restais,rester,18
comme,comme,83
je,je,51
voulais,vouloir,18
aux,à,81
aux,le,71
soirées,soirée,22
/.,/.,P
enfin,enfin,60
elles,ils,51
se,se,51
disaient,dire,18
mes,mon,73
filles,fille,22
",",",",p
et,et,82
elles,ils,51
m',je,51
avouaient,avouer,18
pour,pour,81
leur,leur,73
père,père,21
/.,/.,P
j',je,51
ai,avoir,17
encore,encore,60
ma,mon,73
finesse,finesse,22
",",",",p
allez,aller,17
",",",",p
et,et,82
rien,rien,52
ne,ne,60
m',je,51
est,être,17
échappé,échapper,12
/.,/.,P
tout,tout,52
a,avoir,17
été,être,12
à,à,81
son,son,73
adresse,adresse,22
et,et,82
m',je,51
a,avoir,17
percé,percer,12
le,le,71
coeur,coeur,21
/.,/.,P
je,je,51
voyais,voir,18
bien,bien,60
que,que,83
c',ce,52
était,être,18
des,de,81
des,le,71
frimes,frime,22
",",",",p
mais,mais,82
le,le,71
mal,mal,21
était,être,18
sans,sans,81
remède,remède,21
/.,/.,P
je,je,51
