11581
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-troisième extrait>,<>,<>
de,de,81
bambou,bambou,21
et,et,82
garda,garder,19
le,le,71
silence,silence,21
/.,/.,P
“,“,p
eh,eh,93
bien,bien,60
",",",",p
mon,mon,73
oncle,oncle,21
",",",",p
quand,quand,83
même,même,60
cette,ce,74
accusation,accusation,22
odieuse,odieux,30
et,et,82
stupide,stupide,30
serait,être,16
vraie,vrai,30
",",",",p
faudra,falloir,15
t,t,94
il,il,51
pour,pour,81
cela,cela,52
repousser,repousser,14
monsieur,monsieur,21
d',de,81
Aspremont,Aspremont,20
et,et,82
lui,lui,51
faire,faire,14
un,un,71
crime,crime,21
d',de,81
un,un,71
malheur,malheur,21
/?,/?,P
n',ne,60
avez,avoir,17
vous,vous,51
pas,pas,60
reconnu,reconnaître,12
que,que,83
le,le,71
mal,mal,21
qu',que,52
il,il,51
pouvait,pouvoir,18
produire,produire,14
ne,ne,60
dépendait,dépendre,18
pas,pas,60
de,de,81
sa,son,73
volonté,volonté,22
",",",",p
et,et,82
que,que,83
jamais,jamais,60
âme,âme,22
ne,ne,60
fut,être,19
plus,plus,60
aimante,aimant,30
",",",",p
plus,plus,60
généreuse,généreux,30
et,et,82
plus,plus,60
noble,noble,30
/?,/?,P
-,-,p
on,on,51
n',ne,60
épouse,épouser,17
pas,pas,60
les,le,71
vampires,vampire,21
",",",",p
quelque,quelque,75
bonnes,bonne,22
que,que,83
soient,être,17
leurs,leur,73
intentions,intention,22
",",",",p
répondit,répondre,19
le,le,71
commodore,commodore,21
/.,/.,P
-,-,p
mais,mais,82
tout,tout,75
cela,cela,52
est,être,17
chimère,chimère,22
",",",",p
extravagance,extravagance,22
",",",",p
superstition,superstition,22
;,;,p
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
vrai,vrai,60
",",",",p
malheureusement,malheureusement,60
",",",",p
c',ce,52
est,être,17
que,que,83
Paul,Paul,20
s',se,51
est,être,17
frappé,frapper,12
de,de,81
ces,ce,74
folies,folie,22
",",",",p
qu',que,83
il,il,51
a,avoir,17
prises,prendre,12
au,à,81
au,le,71
sérieux,sérieux,21
;,;,p
il,il,51
est,être,17
effrayé,effrayer,12
",",",",p
halluciné,halluciner,12
;,;,p
il,il,51
croit,croire,17
à,à,81
son,son,73
pouvoir,pouvoir,21
fatal,fatal,30
",",",",p
il,il,51
a,avoir,17
peur,peur,22
de,de,81
lui-même,lui-même,51
",",",",p
et,et,82
chaque,chaque,75
petit,petit,30
accident,accident,21
qu',que,52
il,il,51
ne,ne,60
remarquait,remarquer,18
pas,pas,60
autrefois,autrefois,60
",",",",p
et,et,82
dont,dont,52
aujourd'hui,aujourd'hui,60
il,il,51
s',se,51
imagine,imaginer,17
être,être,14
la,le,71
cause,cause,22
",",",",p
confirme,confirmer,17
en,en,81
lui,lui,51
cette,ce,74
conviction,conviction,22
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
à,à,81
moi,moi,51
",",",",p
qui,qui,52
suis,être,17
sa,son,73
femme,femme,22
devant,devant,81
dieu,dieu,21
",",",",p
et,et,82
qui,qui,52
le,le,52
serai,être,16
bientôt,bientôt,60
devant,devant,81
les,le,71
hommes,homme,21
",",",",p
-,-,p
bénie,béni,31
par,par,81
vous,vous,51
",",",",p
mon,mon,73
cher,cher,30
oncle,oncle,21
",",",",p
-,-,p
de,de,81
calmer,calmer,14
cette,ce,74
imagination,imagination,22
surexcitée,surexcité,31
",",",",p
de,de,81
chasser,chasser,14
ces,ce,74
vains,vain,30
fantômes,fantôme,21
",",",",p
de,de,81
rassurer,rassurer,14
",",",",p
par,par,81
ma,mon,73
sécurité,sécurité,22
apparente,apparent,30
et,et,82
réelle,réel,30
",",",",p
cette,ce,74
anxiété,anxiété,22
hagarde,hagard,30
",",",",p
soeur,soeur,22
de,de,81
la,le,71
monomanie,monomanie,22
",",",",p
et,et,82
de,de,81
sauver,sauver,14
",",",",p
au,à,81
au,le,71
moyen,moyen,21
du,de,81
du,le,71
bonheur,bonheur,21
",",",",p
cette,ce,74
belle,beau,30
âme,âme,22
troublée,troublé,31
",",",",p
cet,ce,74
esprit,esprit,21
charmant,charmant,30
en,en,81
péril,péril,21
/?,/?,P
-,-,p
vous,vous,51
avez,avoir,17
toujours,toujours,60
raison,raison,22
",",",",p
miss,miss,22
Ward,Ward,20
",",",",p
dit,dit,31
le,le,71
commodore,commodore,21
;,;,p
et,et,82
moi,moi,51
",",",",p
que,que,52
vous,vous,51
appelez,appeler,17
sage,sage,30
",",",",p
je,je,51
ne,ne,60
suis,être,17
qu',que,83
un,un,71
vieux,vieux,30
fou,fou,21
/.,/.,P
je,je,51
crois,croire,17
que,que,83
cette,ce,74
Vicè,Vicè,20
est,être,17
sorcière,sorcier,30
;,;,p
elle,il,51
m',je,51
avait,avoir,18
tourné,tourner,12
la,le,71
tête,tête,22
avec,avec,81
toutes,tout,75
ses,son,73
histoires,histoire,22
/.,/.,P
quant,quand,83
au,à,81
au,le,71
comte,comte,21
Altavilla,Altavilla,20
",",",",p
ses,son,73
cornes,corne,22
et,et,82
sa,son,73
bimbeloterie,bimbeloterie,22
cabbalistique,cabalistique,30
me,je,51
semblent,sembler,17
à,à,81
présent,présent,21
assez,assez,60
ridicules,ridicule,30
/.,/.,P
sans,sans,81
doute,doute,21
",",",",p
c',ce,52
était,être,18
un,un,71
stratagème,stratagème,21
imaginé,imaginé,31
pour,pour,81
faire,faire,14
éconduire,éconduire,14
Paul,Paul,20
et,et,82
t',tu,51
épouser,épouser,14
lui-même,lui-même,51
/.,/.,P
-,-,p
il,il,51
se,se,51
peut,pouvoir,17
que,que,83
le,le,71
comte,comte,21
Altavilla,Altavilla,20
soit,être,17
de,de,81
bonne,bonne,22
foi,foi,22
",",",",p
dit,dire,12
miss,miss,22
Ward,Ward,20
en,en,81
souriant,sourire,13
;,;,p
-,-,p
tout,tout,60
à,à,81
l',le,71
heure,heure,22
vous,vous,51
étiez,être,18
encore,encore,60
de,de,81
son,son,73
avis,avis,21
sur,sur,81
la,le,71
jettature,jettature,92
/.,/.,P
-,-,p
n',ne,60
abusez,abuser,17
pas,pas,60
de,de,81
vos,votre,73
avantages,avantage,21
",",",",p
miss,miss,22
Alicia,Alicia,20
;,;,p
d',de,81
ailleurs,ailleurs,60
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
encore,encore,60
si,si,60
bien,bien,60
revenu,revenu,31
de,de,81
mon,mon,73
erreur,erreur,22
que,que,52
je,je,51
n',ne,60
y,y,52
puisse,pouvoir,17
retomber,retomber,14
/.,/.,P
le,le,71
meilleur,meilleur,30
serait,être,16
de,de,81
quitter,quitter,14
Naples,Naples,20
par,par,81
le,le,71
premier,premier,72
départ,départ,21
de,de,81
bateau,bateau,21
à,à,81
vapeur,vapeur,22
et,et,82
de,de,81
retourner,retourner,14
tout,tout,60
tranquillement,tranquillement,60
en,en,81
Angleterre,Angleterre,20
/.,/.,P
quand,quand,83
Paul,Paul,20
ne,ne,60
verra,voir,15
plus,plus,60
les,le,71
cornes,corne,22
de,de,81
boeuf,boeuf,21
",",",",p
les,le,71
massacres,massacre,21
de,de,81
cerf,cerf,21
",",",",p
les,le,71
doigts,doigt,21
allongés,allongé,31
en,en,81
pointe,pointe,22
",",",",p
les,le,71
amulettes,amulette,22
de,de,81
corail,corail,21
et,et,82
tous,tout,75
ces,ce,74
engins,engin,21
diaboliques,diabolique,30
",",",",p
son,son,73
imagination,imagination,22
se,se,51
tranquillisera,tranquilliser,15
",",",",p
et,et,82
moi-même,moi-même,51
j',je,51
oublierai,oublier,15
ces,ce,74
sornettes,sornette,22
qui,qui,52
ont,avoir,17
failli,faillir,12
me,je,51
faire,faire,14
fausser,fausser,14
ma,mon,73
parole,parole,22
et,et,82
commettre,commettre,14
une,un,71
action,action,22
indigne,indigne,30
d',de,81
un,un,71
galant,galant,30
homme,homme,21
/.,/.,P
-,-,p
vous,vous,51
épouserez,épouser,15
Paul,Paul,20
",",",",p
puisque,puisque,83
c',ce,52
est,être,17
convenu,convenir,12
/.,/.,P
vous,vous,51
me,je,51
garderez,garder,15
le,le,71
parloir,parloir,21
et,et,82
la,le,71
chambre,chambre,22
du,de,81
du,le,71
rez-de-chaussée,rez-de-chaussée,21
dans,dans,81
la,le,71
maison,maison,22
de,de,81
Richmond,Richmond,20
",",",",p
la,le,71
tourelle,tourelle,22
octogone,octogone,30
au,à,81
au,le,71
castel,castel,21
de,de,81
Lincolnshire,Lincolnshire,20
",",",",p
et,et,82
nous,nous,51
vivrons,vivre,15
heureux,heureux,30
ensemble,ensemble,21
/.,/.,P
si,si,83
votre,votre,73
santé,santé,22
exige,exiger,17
un,un,71
air,air,21
plus,plus,60
chaud,chaud,30
",",",",p
nous,nous,51
louerons,louer,15
une,un,71
maison,maison,22
de,de,81
campagne,campagne,22
aux,à,81
aux,le,71
environs,environs,21
de,de,81
Tours,Tours,20
",",",",p
ou,ou,82
bien,bien,60
encore,encore,60
à,à,81
Cannes,Cannes,20
",",",",p
où,où,60
lord,lord,21
Brougham,Brougham,20
possède,posséder,17
une,un,71
belle,beau,30
propriété,propriété,22
",",",",p
et,et,82
où,où,60
ces,ce,74
damnables,damnable,30
superstitions,superstition,22
de,de,81
jettature,jettature,92
sont,être,17
inconnues,inconnu,30
",",",",p
dieu,dieu,21
merci,merci,21
/.,/.,P
-,-,p
que,que,52
dites,dire,17
vous,vous,51
de,de,81
mon,mon,73
projet,projet,21
",",",",p
Alicia,Alicia,20
/?,/?,P
-,-,p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
mon,mon,73
approbation,approbation,22
",",",",p
ne,ne,60
suis,être,17
je,je,51
pas,pas,60
la,le,71
plus,plus,60
obéissante,obéissant,30
des,de,81
des,le,71
nièces,nièce,22
/?,/?,P
-,-,p
oui,oui,60
",",",",p
lorsque,lorsque,83
je,je,51
fais,faire,17
ce,ce,52
que,que,52
vous,vous,51
voulez,vouloir,17
",",",",p
petite,petite,22
masque,masquer,17
",",",",p
“,“,p
dit,dire,17
en,en,81
souriant,sourire,13
le,le,71
commodore,commodore,21
qui,qui,52
se,se,51
leva,lever,19
pour,pour,81
regagner,regagner,14
sa,son,73
chambre,chambre,22
/.,/.,P
Alicia,Alicia,20
resta,rester,19
quelques,quelque,75
minutes,minute,22
encore,encore,60
sur,sur,81
la,le,71
terrasse,terrasse,22
;,;,p
mais,mais,82
",",",",p
soit,soit,82
que,que,83
cette,ce,74
scène,scène,22
eût,avoir,19
déterminé,déterminer,12
chez,chez,81
elle,il,51
quelque,quelque,75
excitation,excitation,22
fébrile,fébrile,30
",",",",p
soit,soit,82
que,que,83
Paul,Paul,20
exerçât,exercer,18
réellement,réellement,60
sur,sur,81
la,le,71
jeune,jeune,30
fille,fille,22
l',le,71
influence,influence,22
que,que,52
redoutait,redouter,18
le,le,71
commodore,commodore,21
",",",",p
la,le,71
brise,brise,22
tiède,tiède,30
",",",",p
en,en,81
passant,passer,13
sur,sur,81
ses,son,73
épaules,épaule,22
protégées,protégé,31
d',de,81
une,un,71
simple,simple,30
gaze,gaze,22
",",",",p
lui,lui,51
causa,causer,19
une,un,71
impression,impression,22
glaciale,glacial,30
",",",",p
et,et,82
",",",",p
le,le,71
soir,soir,21
",",",",p
se,se,51
sentant,sentir,13
mal,mal,60
à,à,81
l',le,71
aise,aise,22
",",",",p
elle,il,51
pria,prier,19
Vicè,Vicè,20
d',de,81
étendre,étendre,14
sur,sur,81
ses,son,73
pieds,pied,21
froids,froid,30
et,et,82
blancs,blanc,30
comme,comme,83
le,le,71
marbre,marbre,21
une,un,52
de,de,81
ces,ce,74
couvertures,couverture,22
arlequinées,arlequinées,92
qu',que,52
on,on,51
fabrique,fabriquer,17
à,à,81
Venise,Venise,20
/.,/.,P
cependant,cependant,82
les,le,71
lucioles,luciole,22
scintillaient,scintiller,18
dans,dans,81
le,le,71
gazon,gazon,21
",",",",p
les,le,71
grillons,grillon,21
chantaient,chanter,18
",",",",p
et,et,82
la,le,71
lune,lune,22
large,large,30
et,et,82
jaune,jaune,30
montait,monter,18
au,à,81
au,le,71
ciel,ciel,21
dans,dans,81
une,un,71
brume,brume,22
de,de,81
chaleur,chaleur,22
/.,/.,P
<XI>,<>,<>
le,le,71
lendemain,lendemain,21
de,de,81
cette,ce,74
scène,scène,22
",",",",p
Alicia,Alicia,20
",",",",p
dont,dont,52
la,le,71
nuit,nuit,22
n',ne,60
avait,avoir,18
pas,pas,60
été,être,12
bonne,bon,30
",",",",p
effleura,effleurer,19
à,à,81
peine,peine,22
des,de,81
des,le,71
lèvres,lèvre,22
le,le,71
breuvage,breuvage,21
que,que,52
lui,lui,51
offrait,offrir,18
Vicè,Vicè,20
tous,tout,75
les,le,71
matins,matin,21
",",",",p
et,et,82
le,le,52
reposa,reposer,19
languissamment,languissamment,60
sur,sur,81
le,le,71
guéridon,guéridon,21
près,près,81
de,de,81
son,son,73
lit,lit,21
/.,/.,P
elle,il,51
n',ne,60
éprouvait,éprouver,18
précisément,précisément,60
aucune,aucun,75
douleur,douleur,22
",",",",p
mais,mais,82
elle,il,51
se,se,51
sentait,sentir,18
brisée,brisé,31
;,;,p
c',ce,52
était,être,18
plutôt,plutôt,60
une,un,71
difficulté,difficulté,22
de,de,81
vivre,vivre,14
qu',que,83
une,un,71
maladie,maladie,22
",",",",p
et,et,82
elle,il,51
eût,avoir,19
été,être,12
embarrassée,embarrasser,12
d',de,81
en,en,52
accuser,accuser,14
les,le,71
symptômes,symptôme,21
à,à,81
un,un,71
médecin,médecin,21
/.,/.,P
elle,il,51
demanda,demander,19
un,un,71
miroir,miroir,21
à,à,81
Vicè,Vicè,20
",",",",p
car,car,82
une,un,71
jeune,jeune,30
fille,fille,22
s',se,51
inquiète,inquiéter,17
plutôt,plutôt,60
de,de,81
l',le,71
altération,altération,22
que,que,52
la,le,71
souffrance,souffrance,22
peut,pouvoir,17
apporter,apporter,14
à,à,81
sa,son,73
beauté,beauté,22
que,que,52
de,de,81
la,le,71
souffrance,souffrance,22
elle-même,lui-même,51
/.,/.,P
elle,il,51
était,être,18
d',de,81
une,un,71
blancheur,blancheur,22
extrême,extrême,30
;,;,p
seulement,seulement,60
deux,deux,72
petites,petit,30
taches,tache,22
semblables,semblable,30
à,à,81
deux,deux,72
feuilles,feuille,22
de,de,81
rose,rose,22
du,de,81
du,le,71
Bengale,Bengale,20
tombées,tombé,31
sur,sur,81
une,un,71
coupe,coupe,22
de,de,81
lait,lait,21
nageaient,nager,18
sur,sur,81
sa,son,73
pâleur,pâleur,22
/.,/.,P
ses,son,73
yeux,oeil,21
brillaient,briller,18
d',de,81
un,un,71
éclat,éclat,21
insolite,insolite,30
",",",",p
allumés,allumé,31
par,par,81
les,le,71
dernières,dernier,30
flammes,flamme,22
de,de,81
la,le,71
fièvre,fièvre,22
;,;,p
mais,mais,82
le,le,71
cerise,cerise,22
de,de,81
ses,son,73
lèvres,lèvre,22
était,être,18
beaucoup,beaucoup,60
moins,moins,60
vif,vif,30
",",",",p
et,et,82
pour,pour,81
y,y,52
faire,faire,14
revenir,revenir,14
la,le,71
couleur,couleur,22
",",",",p
elle,il,51
les,le,52
mordit,mordre,19
de,de,81
ses,son,73
petites,petit,30
dents,dent,22
de,de,81
nacre,nacre,22
/.,/.,P
elle,il,51
se,se,51
leva,lever,19
",",",",p
s',se,51
enveloppa,envelopper,19
d',de,81
une,un,71
robe,robe,22
de,de,81
chambre,chambre,22
en,en,81
cachemire,cachemire,21
blanc,blanc,30
",",",",p
tourna,tourner,19
une,un,71
écharpe,écharpe,22
de,de,81
gaze,gaze,22
autour,autour,60
de,de,81
sa,son,73
tête,tête,22
",",",",p
-,-,p
car,car,82
",",",",p
malgré,malgré,81
la,le,71
chaleur,chaleur,22
qui,qui,52
faisait,faire,18
crier,crier,14
les,le,71
cigales,cigale,22
",",",",p
elle,il,51
était,être,18
encore,encore,60
un,un,71
peu,peu,60
frileuse,frileux,30
",",",",p
-,-,p
et,et,82
se,se,51
rendit,rendre,19
sur,sur,81
la,le,71
terrasse,terrasse,22
à,à,81
l',le,71
heure,heure,22
accoutumée,accoutumé,31
",",",",p
pour,pour,81
ne,ne,60
pas,pas,60
éveiller,éveiller,14
la,le,71
sollicitude,sollicitude,22
toujours,toujours,60
aux,à,81
aux,le,71
aguets,aguet,21
du,de,81
du,le,71
commodore,commodore,21
/.,/.,P
elle,il,51
toucha,toucher,19
du,de,81
du,le,71
bout,bout,21
de,de,81
ses,son,73
lèvres,lèvre,22
au,à,81
au,le,71
déjeuner,déjeuner,21
",",",",p
bien,bien,60
qu',que,83
elle,il,51
n',ne,60
eût,avoir,19
pas,pas,60
faim,faim,22
",",",",p
mais,mais,82
le,le,71
moindre,moindre,30
indice,indice,21
de,de,81
malaise,malaise,21
n',ne,60
eût,avoir,19
pas,pas,60
manqué,manquer,12
d',de,81
être,être,14
attribué,attribuer,12
à,à,81
l',le,71
influence,influence,22
de,de,81
Paul,Paul,20
par,par,81
sir,sir,92
Joshua,Joshua,20
Ward,Ward,20
",",",",p
et,et,82
c',ce,52
est,être,17
ce,ce,52
qu',que,52
Alicia,Alicia,20
voulait,vouloir,18
éviter,éviter,14
avant,avant,81
toute,tout,75
chose,chose,22
/.,/.,P
puis,puis,60
",",",",p
sous,sous,81
prétexte,prétexte,21
que,que,83
l',le,71
éclatante,éclatant,30
lumière,lumière,22
du,de,81
du,le,71
jour,jour,21
la,le,52
fatiguait,fatiguer,18
",",",",p
elle,il,51
se,se,51
retira,retirer,19
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
non,non,60
sans,sans,81
avoir,avoir,14
réitéré,réitérer,12
plusieurs,plusieurs,75
fois,fois,22
au,à,81
au,le,71
commodore,commodore,21
",",",",p
soupçonneux,soupçonneux,30
en,en,81
pareille,pareil,30
matière,matière,22
",",",",p
l',le,71
assurance,assurance,22
qu',que,52
elle,il,51
se,se,51
portait,porter,18
à,à,81
ravir,ravir,14
/.,/.,P
“,“,p
à,à,81
ravir,ravir,14
/…,/…,P
j',je,51
en,en,52
doute,douter,17
",",",",p
se,se,51
dit,dire,17
le,le,71
commodore,commodore,21
à,à,81
lui-même,lui-même,51
lorsque,lorsque,83
sa,son,73
nièce,nièce,22
s',se,51
en,en,52
fut,être,19
allée,aller,12
/.,/.,P
-,-,p
elle,il,51
avait,avoir,18
des,de,81
des,le,71
tons,ton,21
nacrés,nacré,31
près,près,81
de,de,81
l',le,71
oeil,oeil,21
",",",",p
de,de,81
petites,petit,30
couleurs,couleur,22
vives,vif,30
au,à,81
au,le,71
haut,haut,21
des,de,81
des,le,71
joues,joue,22
",",",",p
-,-,p
juste,juste,60
comme,comme,83
sa,son,73
pauvre,pauvre,30
mère,mère,22
",",",",p
qui,qui,52
",",",",p
elle,il,51
aussi,aussi,60
",",",",p
prétendait,prétendre,18
ne,ne,60
s',se,51
être,être,14
jamais,jamais,60
mieux,mieux,60
portée,porter,12
/.,/.,P
-,-,p
que,que,52
faire,faire,14
/?,/?,P
lui,lui,51
ôter,ôter,14
Paul,Paul,20
",",",",p
ce,ce,52
serait,être,16
la,le,52
tuer,tuer,14
d',de,81
une,un,71
autre,autre,75
manière,manière,22
;,;,p
laissons,laisser,17
agir,agir,14
la,le,71
nature,nature,22
/.,/.,P
Alicia,Alicia,20
est,être,17
si,si,60
jeune,jeune,30
/!,/!,P
oui,oui,60
",",",",p
mais,mais,82
c',ce,52
est,être,17
aux,à,81
aux,le,71
plus,plus,60
jeunes,jeune,30
et,et,82
aux,à,81
aux,le,71
plus,plus,60
belles,beau,30
que,que,83
la,le,71
vieille,vieux,30
Mob,Mob,20
en,en,52
veut,vouloir,17
;,;,p
elle,il,51
est,être,17
jalouse,jaloux,30
comme,comme,83
une,un,71
femme,femme,22
/.,/.,P
si,si,83
je,je,51
faisais,faire,18
venir,venir,14
un,un,71
docteur,docteur,21
?,?,p
mais,mais,82
que,que,52
peut,pouvoir,17
la,le,71
médecine,médecine,22
sur,sur,81
un,un,71
ange,ange,21
/?,/?,P
pourtant,pourtant,60
tous,tout,75
les,le,71
symptômes,symptôme,21
fâcheux,fâcheux,30
avaient,avoir,18
disparu,disparaître,12
/…,/…,P
ah,ah,93
!,!,p
si,si,83
c',ce,52
était,être,18
toi,toi,51
",",",",p
damné,damner,12
Paul,Paul,20
",",",",p
dont,dont,52
le,le,71
souffle,souffle,21
fît,faire,18
pencher,pencher,14
cette,ce,74
fleur,fleur,22
divine,divin,30
",",",",p
je,je,51
t',tu,51
étranglerais,étrangler,16
de,de,81
mes,mon,73
propres,propre,30
mains,main,22
/.,/.,P
Nancy,Nancy,20
ne,ne,60
subissait,subir,18
le,le,71
regard,regard,21
d',de,81
aucun,aucun,75
jettatore,jettatore,92
",",",",p
et,et,82
elle,il,51
est,être,17
morte,mourir,12
/.,/.,P
-,-,p
si,si,83
Alicia,Alicia,20
mourait,mourir,18
/!,/!,P
non,non,60
",",",",p
cela,cela,52
n',ne,60
est,être,17
pas,pas,60
possible,possible,30
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
fait,faire,12
à,à,81
dieu,dieu,21
pour,pour,81
qu',que,83
il,il,51
me,je,51
réserve,réserver,17
cette,ce,74
affreuse,affreux,30
douleur,douleur,22
/.,/.,P
quand,quand,83
cela,cela,52
arrivera,arriver,15
",",",",p
il,il,51
y,y,52
aura,avoir,15
longtemps,longtemps,60
que,que,83
je,je,51
dormirai,dormir,15
sous,sous,81
ma,mon,73
pierre,pierre,22
avec,avec,81
le,le,71
Sacred,Sacred,20
to,to,92
the,the,92
memory,memory,92
of,of,92
sir,sir,92
Joshua,Joshua,20
Ward,Ward,20
",",",",p
à,à,81
l',le,71
ombre,ombre,22
de,de,81
mon,mon,73
clocher,clocher,21
natal,natal,30
/.,/.,P
c',ce,52
est,être,17
elle,il,51
qui,qui,52
viendra,venir,15
pleurer,pleurer,14
et,et,82
prier,prier,14
sur,sur,81
la,le,71
pierre,pierre,22
grise,gris,30
pour,pour,81
le,le,71
vieux,vieux,30
commodore,commodore,21
/…,/…,P
je,je,51
ne,ne,60
sais,savoir,17
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
",",",",p
mais,mais,82
je,je,51
suis,être,17
mélancolique,mélancolique,30
et,et,82
funèbre,funèbre,30
en,en,81
diable,diable,21
ce,ce,74
matin,matin,21
/!,/!,P
“,“,p
pour,pour,81
dissiper,dissiper,14
ces,ce,74
idées,idée,22
noires,noir,30
",",",",p
le,le,71
commodore,commodore,21
ajouta,ajouter,19
un,un,71
peu,peu,60
de,de,81
rhum,rhum,21
de,de,81
la,le,71
Jamaïque,Jamaïque,20
au,à,81
au,le,71
thé,thé,21
refroidi,refroidi,31
dans,dans,81
sa,son,73
tasse,tasse,22
",",",",p
et,et,82
se,se,51
fit,faire,19
apporter,apporter,14
son,son,73
hooka,hooka,92
",",",",p
distraction,distraction,22
innocente,innocent,30
qu',que,83
il,il,51
ne,ne,60
se,se,51
permettait,permettre,18
qu',que,83
en,en,81
l',le,71
absence,absence,22
d',de,81
Alicia,Alicia,20
",",",",p
dont,dont,52
la,le,71
délicatesse,délicatesse,22
eût,avoir,19
pu,pouvoir,12
être,être,14
offusquée,offusquer,12
même,même,60
par,par,81
cette,ce,74
fumée,fumée,22
légère,léger,30
mêlée,mêlé,31
de,de,81
parfums,parfum,21
/.,/.,P
il,il,51
avait,avoir,18
déjà,déjà,60
fait,faire,12
bouillonner,bouillonner,14
l',le,71
eau,eau,22
aromatisée,aromatisé,31
du,de,81
du,le,71
récipient,récipient,21
et,et,82
chassé,chassé,31
devant,devant,81
lui,lui,51
quelques,quelque,75
nuages,nuage,21
bleuâtres,bleuâtre,30
",",",",p
lorsque,lorsque,83
Vicè,Vicè,20
parut,paraître,19
annonçant,annoncer,13
le,le,71
comte,comte,21
Altavilla,Altavilla,20
/.,/.,P
“,“,p
sir,sir,92
Joshua,Joshua,20
",",",",p
dit,dire,17
le,le,71
comte,comte,21
après,après,81
les,le,71
premières,premier,72
civilités,civilité,22
",",",",p
avez,avoir,17
vous,vous,51
réfléchi,réfléchir,12
à,à,81
la,le,71
demande,demande,22
que,que,52
je,je,51
vous,vous,51
ai,avoir,17
faite,faire,12
l',le,71
autre,autre,75
jour,jour,21
/?,/?,P
-,-,p
j',je,51
y,y,52
ai,avoir,17
réfléchi,réfléchir,12
",",",",p
reprit,reprendre,19
le,le,71
commodore,commodore,21
;,;,p
mais,mais,82
",",",",p
vous,vous,51
le,le,52
savez,savoir,17
",",",",p
monsieur,monsieur,21
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
a,avoir,17
ma,mon,73
parole,parole,22
/.,/.,P
-,-,p
sans,sans,81
doute,doute,21
;,;,p
pourtant,pourtant,60
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
cas,cas,21
où,où,60
une,un,71
parole,parole,22
se,se,51
retire,retirer,17
;,;,p
par,par,81
exemple,exemple,21
",",",",p
lorsque,lorsque,83
l',le,71
homme,homme,21
à,à,81
qui,qui,52
on,on,51
l',le,52
a,avoir,17
donnée,donner,12
",",",",p
pour,pour,81
une,un,71
raison,raison,22
ou,ou,82
pour,pour,81
une,un,71
autre,autre,52
",",",",p
n',ne,60
est,être,17
pas,pas,60
tel,tel,75
qu',que,83
on,on,51
le,le,52
croyait,croire,18
d'abord,d'abord,60
/.,/.,P
-,-,p
comte,comte,21
",",",",p
parlez,parler,17
plus,plus,60
clairement,clairement,60
/.,/.,P
-,-,p
il,il,51
me,je,51
répugne,répugner,17
de,de,81
charger,charger,14
un,un,71
rival,rival,21
;,;,p
mais,mais,82
",",",",p
d',de,81
après,après,81
la,le,71
conversation,conversation,22
que,que,52
nous,nous,51
avons,avoir,17
eue,avoir,12
ensemble,ensemble,60
",",",",p
vous,vous,51
devez,devoir,17
me,je,51
comprendre,comprendre,14
/.,/.,P
si,si,83
vous,vous,51
rejetiez,rejeter,18
monsieur,monsieur,21
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
",",",",p
m',je,51
accepteriez,accepter,16
vous,vous,51
pour,pour,81
gendre,gendre,21
/?,/?,P
-,-,p
moi,moi,51
",",",",p
certainement,certainement,60
;,;,p
mais,mais,82
il,il,51
n',ne,60
est,être,17
pas,pas,60
aussi,aussi,60
sûr,sûr,30
que,que,83
miss,miss,22
Ward,Ward,20
s',se,51
arrangeât,arranger,18
de,de,81
cette,ce,74
substitution,substitution,22
/.,/.,P
-,-,p
elle,il,51
est,être,17
entêtée,entêter,12
de,de,81
ce,ce,74
Paul,Paul,20
",",",",p
et,et,82
c',ce,52
est,être,17
un,un,71
peu,peu,60
ma,mon,73
faute,faute,22
",",",",p
car,car,82
moi-même,moi-même,51
je,je,51
favorisais,favoriser,18
ce,ce,74
garçon,garçon,21
avant,avant,81
toutes,tout,75
ces,ce,74
sottes,sot,30
histoires,histoire,22
/.,/.,P
-,-,p
pardon,pardon,21
",",",",p
comte,comte,21
",",",",p
de,de,81
l',le,71
épithète,épithète,22
",",",",p
mais,mais,82
j',je,51
ai,avoir,17
vraiment,vraiment,60
la,le,71
cervelle,cervelle,22
à,à,81
l',le,71
envers,envers,21
/.,/.,P
-,-,p
voulez,vouloir,17
vous,vous,51
que,que,83
votre,votre,73
nièce,nièce,22
meure,mourir,17
?,?,p
dit,dire,17
Altavilla,Altavilla,20
d',de,81
un,un,71
ton,ton,21
ému,ému,31
et,et,82
grave,grave,30
/.,/.,P
-,-,p
tête,tête,22
et,et,82
sang,sang,21
!,!,p
ma,mon,73
nièce,nièce,22
mourir,mourir,14
!,!,p
“,“,p
s',se,51
écria,écrier,19
