11697
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-septième extrait>,<>,<>
trouver,trouver,14
en,en,81
lui,lui,51
ce,ce,74
retour,retour,21
de,de,81
sensations,sensation,22
qui,qui,52
n',ne,60
étaient,être,18
plus,plus,60
de,de,81
son,son,73
âge,âge,21
/.,/.,P
mais,mais,82
",",",",p
comme,comme,83
la,le,71
note,note,22
obstinée,obstiné,31
de,de,81
la,le,71
mélodie,mélodie,22
de,de,81
Schubert,Schubert,20
",",",",p
la,le,71
pensée,pensée,22
d',de,81
Annette,Annette,20
",",",",p
la,le,71
vision,vision,22
de,de,81
son,son,73
visage,visage,21
penché,penché,31
sous,sous,81
la,le,71
lampe,lampe,22
",",",",p
et,et,82
le,le,71
soupçon,soupçon,21
bizarre,bizarre,30
de,de,81
la,le,71
comtesse,comtesse,22
",",",",p
le,le,52
ressaisissaient,ressaisir,18
à,à,81
tout,tout,75
instant,instant,21
/.,/.,P
il,il,51
continuait,continuer,18
malgré,malgré,81
lui,lui,51
à,à,81
occuper,occuper,14
son,son,73
coeur,coeur,21
de,de,81
cette,ce,74
question,question,22
",",",",p
à,à,81
sonder,sonder,14
les,le,71
fonds,fond,21
impénétrables,impénétrable,30
où,où,60
germent,germer,17
",",",",p
avant,avant,81
de,de,81
naître,naître,14
",",",",p
les,le,71
sentiments,sentiment,21
humains,humain,30
/.,/.,P
cette,ce,74
recherche,recherche,22
obstinée,obstiné,31
l',le,52
agitait,agiter,18
;,;,p
cette,ce,74
préoccupation,préoccupation,22
constante,constant,30
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
semblait,sembler,18
ouvrir,ouvrir,14
à,à,81
son,son,73
âme,âme,22
une,un,71
route,route,22
de,de,81
rêveries,rêverie,22
tendres,tendre,30
;,;,p
il,il,51
ne,ne,60
pouvait,pouvoir,18
plus,plus,60
la,le,52
chasser,chasser,14
de,de,81
sa,son,73
mémoire,mémoire,22
;,;,p
il,il,51
portait,porter,18
en,en,81
lui,lui,51
une,un,71
sorte,sorte,22
d',de,81
évocation,évocation,22
d',de,81
elle,il,51
",",",",p
comme,comme,83
autrefois,autrefois,60
il,il,51
gardait,garder,18
",",",",p
quand,quand,83
la,le,71
comtesse,comtesse,22
l',le,52
avait,avoir,18
quitté,quitter,12
",",",",p
l',le,71
étrange,étrange,30
sensation,sensation,22
de,de,81
sa,son,73
présence,présence,22
dans,dans,81
les,le,71
murs,mur,21
de,de,81
son,son,73
atelier,atelier,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
impatienté,impatienté,31
de,de,81
cette,ce,74
domination,domination,22
d',de,81
un,un,71
souvenir,souvenir,21
",",",",p
il,il,51
murmura,murmurer,19
en,en,81
se,se,51
levant,lever,13
:,:,p
“,“,p
Any,Any,20
est,être,17
stupide,stupide,30
de,de,81
m',je,51
avoir,avoir,14
dit,dire,12
ça,ça,52
/.,/.,P
elle,il,51
va,aller,17
me,je,51
faire,faire,14
penser,penser,14
à,à,81
la,le,71
petite,petite,22
à,à,81
présent,présent,21
/.,/.,P
“,“,p
il,il,51
rentra,rentrer,19
chez,chez,81
lui,lui,51
",",",",p
inquiet,inquiet,30
sur,sur,81
lui-même,lui-même,51
/.,/.,P
quand,quand,83
il,il,51
se,se,51
fut,être,19
mis,mettre,12
au,à,81
au,le,71
lit,lit,21
",",",",p
il,il,51
sentit,sentir,19
que,que,83
le,le,71
sommeil,sommeil,21
ne,ne,60
viendrait,venir,16
point,point,60
",",",",p
car,car,82
une,un,71
fièvre,fièvre,22
courait,courir,18
en,en,81
ses,son,73
veines,veine,22
",",",",p
une,un,71
sève,sève,22
de,de,81
rêve,rêve,21
fermentait,fermenter,18
en,en,81
son,son,73
coeur,coeur,21
/.,/.,P
redoutant,redouter,13
l',le,71
insomnie,insomnie,22
",",",",p
une,un,52
de,de,81
ces,ce,74
insomnies,insomnie,22
énervantes,énervant,30
que,que,52
provoque,provoquer,17
l',le,71
agitation,agitation,22
de,de,81
l',le,71
âme,âme,22
",",",",p
il,il,51
voulut,vouloir,19
essayer,essayer,14
de,de,81
prendre,prendre,14
un,un,71
livre,livre,21
/.,/.,P
combien,combien,60
de,de,81
fois,fois,22
une,un,71
courte,court,30
lecture,lecture,22
lui,lui,51
avait,avoir,18
servi,servir,12
de,de,81
narcotique,narcotique,21
/!,/!,P
il,il,51
se,se,51
leva,lever,19
donc,donc,82
et,et,82
passa,passer,19
dans,dans,81
sa,son,73
bibliothèque,bibliothèque,22
",",",",p
afin,afin,81
de,de,81
choisir,choisir,14
un,un,52
ouvrage,ouvrager,17
bien,bien,60
fait,faire,17
et,et,82
soporifique,soporifique,30
;,;,p
mais,mais,82
son,son,73
esprit,esprit,21
éveillé,éveillé,31
malgré,malgré,81
lui,lui,51
",",",",p
avide,avide,30
d',de,81
une,un,71
émotion,émotion,22
quelconque,quelconque,30
",",",",p
cherchait,chercher,18
sur,sur,81
les,le,71
rayons,rayon,21
un,un,71
nom,nom,21
d',de,81
écrivain,écrivain,21
qui,qui,52
répondît,répondre,18
à,à,81
son,son,73
état,état,21
d',de,81
exaltation,exaltation,22
et,et,82
d',de,81
attente,attente,22
/.,/.,P
Balzac,Balzac,20
",",",",p
qu',que,52
il,il,51
adorait,adorer,18
",",",",p
ne,ne,60
lui,lui,51
dit,dire,19
rien,rien,52
;,;,p
il,il,51
dédaigna,dédaigner,19
Hugo,Hugo,20
",",",",p
méprisa,mépriser,19
Lamartine,Lamartine,20
qui,qui,52
pourtant,pourtant,60
le,le,52
laissait,laisser,18
toujours,toujours,60
attendri,attendri,31
et,et,82
il,il,51
tomba,tomber,19
avidement,avidement,60
sur,sur,81
Musset,Musset,20
",",",",p
le,le,71
poète,poète,21
des,de,81
des,le,71
tout,tout,60
jeunes,jeune,30
gens,gens,21
/.,/.,P
il,il,51
en,en,52
prit,prendre,19
un,un,71
volume,volume,21
et,et,82
l',le,52
emporta,emporter,19
pour,pour,81
lire,lire,14
au,à,81
au,le,71
hasard,hasard,21
des,de,81
des,le,71
feuilles,feuille,22
/.,/.,P
quand,quand,83
il,il,51
se,se,51
fut,être,19
recouché,recoucher,12
",",",",p
il,il,51
se,se,51
mit,mettre,19
à,à,81
boire,boire,14
",",",",p
avec,avec,81
une,un,71
soif,soif,22
d',de,81
ivrogne,ivrogne,21
",",",",p
ces,ce,74
vers,vers,21
faciles,facile,30
d',de,81
inspiré,inspiré,31
qui,qui,52
chanta,chanter,19
",",",",p
comme,comme,83
un,un,71
oiseau,oiseau,21
",",",",p
l',le,71
aurore,aurore,22
de,de,81
l',le,71
existence,existence,22
et,et,82
",",",",p
n',ne,60
ayant,avoir,13
d',de,81
haleine,haleine,22
que,que,83
pour,pour,81
le,le,71
matin,matin,21
",",",",p
se,se,51
tut,taire,19
devant,devant,81
le,le,71
jour,jour,21
brutal,brutal,30
",",",",p
ces,ce,74
vers,vers,21
d',de,81
un,un,71
poète,poète,21
qui,qui,52
fut,être,19
surtout,surtout,60
un,un,71
homme,homme,21
enivré,enivré,31
de,de,81
la,le,71
vie,vie,22
",",",",p
lâchant,lâcher,13
son,son,73
ivresse,ivresse,22
en,en,81
fanfares,fanfare,22
d',de,81
amours,amour,21
éclatantes,éclatant,30
et,et,82
naïves,naïf,30
",",",",p
écho,écho,21
de,de,81
tous,tout,75
les,le,71
jeunes,jeune,30
coeurs,coeur,21
éperdus,éperdu,30
de,de,81
désirs,désir,21
/.,/.,P
jamais,jamais,60
Bertin,Bertin,20
n',ne,60
avait,avoir,18
compris,comprendre,12
ainsi,ainsi,60
le,le,71
charme,charme,21
physique,physique,30
de,de,81
ces,ce,74
poèmes,poème,21
qui,qui,52
émeuvent,émouvoir,17
les,le,71
sens,sens,21
et,et,82
remuent,remuer,17
à,à,81
peine,peine,22
l',le,71
intelligence,intelligence,22
/.,/.,P
les,le,71
yeux,oeil,21
sur,sur,81
ces,ce,74
vers,vers,21
vibrants,vibrant,30
",",",",p
il,il,51
se,se,51
sentait,sentir,18
une,un,71
âme,âme,22
de,de,81
vingt,vingt,72
ans,an,21
",",",",p
soulevée,soulevé,31
d',de,81
espérances,espérance,22
",",",",p
et,et,82
il,il,51
lut,lire,19
le,le,71
volume,volume,21
presque,presque,60
entier,entier,30
dans,dans,81
une,un,71
griserie,griserie,22
juvénile,juvénile,30
/.,/.,P
trois,trois,72
heures,heure,22
sonnèrent,sonner,19
",",",",p
jetant,jeter,13
en,en,81
lui,lui,51
l',le,71
étonnement,étonnement,21
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
encore,encore,60
sommeil,sommeil,21
/.,/.,P
il,il,51
se,se,51
leva,lever,19
pour,pour,81
fermer,fermer,14
sa,son,73
fenêtre,fenêtre,22
restée,rester,12
ouverte,ouvert,31
et,et,82
pour,pour,81
porter,porter,14
le,le,71
livre,livre,21
sur,sur,81
la,le,71
table,table,22
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
chambre,chambre,22
;,;,p
mais,mais,82
au,à,81
au,le,71
contact,contact,21
de,de,81
l',le,71
air,air,21
frais,frais,30
de,de,81
la,le,71
nuit,nuit,22
",",",",p
une,un,71
douleur,douleur,22
",",",",p
mal,mal,60
assoupie,assoupi,31
par,par,81
les,le,71
saisons,saison,22
d',de,81
Aix,Aix,20
",",",",p
",",",",p
lui,lui,51
courut,courir,19
le,le,71
long,long,21
des,de,81
des,le,71
reins,rein,21
comme,comme,83
un,un,71
rappel,rappel,21
",",",",p
comme,comme,83
un,un,71
avis,avis,21
",",",",p
et,et,82
il,il,51
rejeta,rejeter,19
le,le,71
poète,poète,21
avec,avec,81
un,un,71
geste,geste,21
d',de,81
impatience,impatience,22
en,en,81
murmurant,murmurer,13
:,:,p
“,“,p
vieux,vieux,30
fou,fou,21
",",",",p
va,aller,17
/!,/!,P
puis,puis,60
il,il,51
se,se,51
recoucha,recoucher,19
et,et,82
souffla,souffler,19
sa,son,73
lumière,lumière,22
/.,/.,P
il,il,51
n',ne,60
alla,aller,19
pas,pas,60
le,le,71
lendemain,lendemain,21
chez,chez,81
la,le,71
comtesse,comtesse,22
",",",",p
et,et,82
il,il,51
prit,prendre,19
même,même,60
la,le,71
résolution,résolution,22
énergique,énergique,30
de,de,81
n',ne,60
y,y,52
point,point,60
retourner,retourner,14
avant,avant,81
deux,deux,72
jours,jour,21
/.,/.,P
mais,mais,82
quoi,quoi,52
qu',que,52
il,il,51
fît,faire,18
",",",",p
soit,soit,82
qu',que,83
il,il,51
essayât,essayer,18
de,de,81
peindre,peindre,14
",",",",p
soit,soit,82
qu',que,83
il,il,51
voulût,vouloir,18
se,se,51
promener,promener,14
",",",",p
soit,soit,82
qu',que,83
il,il,51
traînât,traîner,18
de,de,81
maison,maison,22
en,en,81
maison,maison,22
sa,son,73
mélancolie,mélancolie,22
",",",",p
il,il,51
était,être,18
partout,partout,60
harcelé,harceler,12
par,par,81
la,le,71
préoccupation,préoccupation,22
inapaisable,inapaisable,30
de,de,81
ces,ce,74
deux,deux,72
femmes,femme,22
/.,/.,P
s',se,51
étant,être,13
interdit,interdire,12
d',de,81
aller,aller,14
les,le,52
voir,voir,14
",",",",p
il,il,51
se,se,51
soulageait,soulager,18
en,en,81
pensant,penser,13
à,à,81
elles,ils,51
",",",",p
et,et,82
il,il,51
laissait,laisser,18
sa,son,73
pensée,pensée,22
",",",",p
il,il,51
laissait,laisser,18
son,son,73
coeur,coeur,21
se,se,51
rassasier,rassasier,14
de,de,81
leur,leur,73
souvenir,souvenir,21
/.,/.,P
il,il,51
arrivait,arriver,18
alors,alors,60
souvent,souvent,60
que,que,83
",",",",p
dans,dans,81
cette,ce,74
sorte,sorte,22
d',de,81
hallucination,hallucination,22
où,où,60
il,il,51
berçait,bercer,18
son,son,73
isolement,isolement,21
",",",",p
les,le,71
deux,deux,72
figures,figure,22
se,se,51
rapprochaient,rapprocher,18
",",",",p
différentes,différent,30
",",",",p
telles,tel,75
qu',que,83
il,il,51
les,le,52
connaissait,connaître,18
",",",",p
puis,puis,60
passaient,passer,18
l',le,71
une,un,52
devant,devant,81
l',le,71
autre,autre,52
",",",",p
se,se,51
mêlaient,mêler,18
",",",",p
fondues,fondu,31
ensemble,ensemble,60
",",",",p
ne,ne,60
faisaient,faire,18
plus,plus,60
qu',que,83
un,un,71
visage,visage,21
",",",",p
un,un,71
peu,peu,60
confus,confus,30
",",",",p
qui,qui,52
n',ne,60
était,être,18
plus,plus,60
celui,celui,52
de,de,81
la,le,71
mère,mère,22
",",",",p
pas,pas,60
tout,tout,60
à,à,81
fait,fait,21
celui,celui,52
de,de,81
la,le,71
fille,fille,22
",",",",p
mais,mais,82
celui,celui,52
d',de,81
une,un,71
femme,femme,22
aimée,aimé,31
éperdument,éperdument,60
",",",",p
autrefois,autrefois,60
",",",",p
encore,encore,60
",",",",p
toujours,toujours,60
/.,/.,P
alors,alors,60
",",",",p
il,il,51
avait,avoir,18
des,de,81
des,le,71
remords,remords,21
de,de,81
s',se,51
abandonner,abandonner,14
ainsi,ainsi,60
sur,sur,81
la,le,71
pente,pente,22
de,de,81
ces,ce,74
attendrissements,attendrissement,21
qu',que,52
il,il,51
sentait,sentir,18
puissants,puissant,30
et,et,82
dangereux,dangereux,30
/.,/.,P
pour,pour,81
leur,leur,52
échapper,échapper,14
",",",",p
les,le,52
rejeter,rejeter,14
",",",",p
se,se,51
délivrer,délivrer,14
de,de,81
ce,ce,74
songe,songe,21
captivant,captivant,30
et,et,82
doux,doux,30
",",",",p
il,il,51
dirigeait,diriger,18
son,son,73
esprit,esprit,21
vers,vers,81
toutes,tout,75
les,le,71
idées,idée,22
imaginables,imaginable,30
",",",",p
vers,vers,81
tous,tout,75
les,le,71
sujets,sujet,21
de,de,81
réflexion,réflexion,22
et,et,82
de,de,81
méditation,méditation,22
possibles,possible,30
/.,/.,P
vains,vain,30
efforts,effort,21
/!,/!,P
toutes,tout,75
les,le,71
routes,route,22
de,de,81
distraction,distraction,22
qu',que,52
il,il,51
prenait,prendre,18
le,le,52
ramenaient,ramener,18
au,à,81
au,le,71
même,même,75
point,point,21
",",",",p
où,où,60
il,il,51
rencontrait,rencontrer,18
une,un,71
jeune,jeune,30
figure,figure,22
blonde,blonde,22
qui,qui,52
semblait,sembler,18
embusquée,embusqué,31
pour,pour,81
l',le,52
attendre,attendre,14
/.,/.,P
c',ce,52
était,être,18
une,un,71
vague,vague,30
et,et,82
inévitable,inévitable,30
obsession,obsession,22
flottant,flotter,13
sur,sur,81
lui,lui,51
",",",",p
tournant,tourner,13
autour,autour,60
de,de,81
lui,lui,51
et,et,82
l',le,52
arrêtant,arrêter,13
",",",",p
quel,quel,52
que,que,52
fût,être,19
le,le,71
détour,détour,21
qu',que,52
il,il,51
avait,avoir,18
essayé,essayer,12
pour,pour,81
fuir,fuir,14
/.,/.,P
la,le,71
confusion,confusion,22
de,de,81
ces,ce,74
deux,deux,72
êtres,être,21
",",",",p
qui,qui,52
l',le,52
avait,avoir,18
si,si,60
fort,fort,60
troublé,troubler,12
le,le,71
soir,soir,21
de,de,81
leur,leur,73
promenade,promenade,22
dans,dans,81
le,le,71
parc,parc,21
de,de,81
Roncières,Roncières,20
",",",",p
recommençait,recommencer,18
en,en,81
sa,son,73
mémoire,mémoire,22
dès,dès,81
que,que,83
",",",",p
cessant,cesser,13
de,de,81
réfléchir,réfléchir,14
et,et,82
de,de,81
raisonner,raisonner,14
",",",",p
il,il,51
les,le,52
évoquait,évoquer,18
et,et,82
s',se,51
efforçait,efforcer,18
de,de,81
comprendre,comprendre,14
quelle,quel,75
émotion,émotion,22
bizarre,bizarre,30
remuait,remuer,18
sa,son,73
chair,chair,22
/.,/.,P
il,il,51
se,se,51
disait,dire,18
:,:,p
“,“,p
voyons,voir,17
",",",",p
ai,avoir,17
je,je,51
pour,pour,81
Annette,Annette,20
plus,plus,60
de,de,81
tendresse,tendresse,22
qu',que,83
il,il,51
ne,ne,60
convient,convenir,17
/?,/?,P
alors,alors,60
",",",",p
fouillant,fouiller,13
son,son,73
coeur,coeur,21
",",",",p
il,il,51
le,le,52
sentait,sentir,18
brûlant,brûlant,30
d',de,81
affection,affection,22
pour,pour,81
une,un,71
femme,femme,22
toute,tout,60
jeune,jeune,30
",",",",p
qui,qui,52
avait,avoir,18
tous,tout,75
les,le,71
traits,trait,21
d',de,81
Annette,Annette,20
",",",",p
mais,mais,82
qui,qui,52
n',ne,60
était,être,18
pas,pas,60
elle,il,51
/.,/.,P
et,et,82
il,il,51
se,se,51
rassurait,rassurer,18
lâchement,lâchement,60
en,en,81
songeant,songer,13
:,:,p
“,“,p
non,non,60
",",",",p
je,je,51
n',ne,60
aime,aimer,17
pas,pas,60
la,le,71
petite,petite,22
",",",",p
je,je,51
suis,être,17
la,le,71
victime,victime,22
de,de,81
sa,son,73
ressemblance,ressemblance,22
/.,/.,P
“,“,p
cependant,cependant,82
",",",",p
les,le,71
deux,deux,72
jours,jour,21
passés,passé,31
à,à,81
Roncières,Roncières,20
restaient,rester,18
en,en,81
son,son,73
âme,âme,22
comme,comme,83
une,un,71
source,source,22
de,de,81
chaleur,chaleur,22
",",",",p
de,de,81
bonheur,bonheur,21
",",",",p
d',de,81
enivrement,enivrement,21
;,;,p
et,et,82
les,le,71
moindres,moindre,30
détails,détail,21
lui,lui,51
revenaient,revenir,18
un,un,52
à,à,81
un,un,52
",",",",p
précis,précis,30
",",",",p
plus,plus,60
savoureux,savoureux,30
qu',que,83
à,à,81
l',le,71
heure,heure,22
même,même,30
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
en,en,81
suivant,suivre,13
le,le,71
cours,cours,21
de,de,81
ses,son,73
ressouvenirs,ressouvenirs,21
",",",",p
il,il,51
revit,revoir,19
le,le,71
chemin,chemin,21
qu',que,52
ils,ils,51
suivaient,suivre,18
en,en,81
sortant,sortir,13
du,de,81
du,le,71
cimetière,cimetière,21
",",",",p
les,le,71
cueillettes,cueillette,22
de,de,81
fleurs,fleur,22
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
et,et,82
il,il,51
se,se,51
rappela,rappeler,19
brusquement,brusquement,60
lui,lui,51
avoir,avoir,14
promis,promettre,12
un,un,71
bluet,bluet,21
en,en,81
saphirs,saphir,21
dès,dès,81
leur,leur,73
retour,retour,21
à,à,81
Paris,Paris,20
/.,/.,P
toutes,tout,75
ses,son,73
résolutions,résolution,22
s',se,51
envolèrent,envoler,19
",",",",p
et,et,82
",",",",p
sans,sans,81
plus,plus,60
lutter,lutter,14
",",",",p
il,il,51
prit,prendre,19
son,son,73
chapeau,chapeau,21
et,et,82
sortit,sortir,19
",",",",p
tout,tout,60
ému,ému,31
par,par,81
la,le,71
pensée,pensée,22
du,de,81
du,le,71
plaisir,plaisir,21
qu',que,52
il,il,51
lui,lui,51
ferait,faire,16
/.,/.,P
le,le,71
valet,valet,21
de,de,81
pied,pied,21
des,de,81
des,le,71
Guilleroy,Guilleroy,20
lui,lui,51
répondit,répondre,19
",",",",p
quand,quand,83
il,il,51
se,se,51
présenta,présenter,19
:,:,p
“,“,p
madame,madame,22
est,être,17
sortie,sortir,12
",",",",p
mais,mais,82
mademoiselle,mademoiselle,22
est,être,17
ici,ici,60
/.,/.,P
“,“,p
il,il,51
ressentit,ressentir,19
une,un,71
joie,joie,22
vive,vif,30
/.,/.,P
“,“,p
prévenez,prévenir,17
la,le,52
que,que,83
je,je,51
voudrais,vouloir,16
lui,lui,51
parler,parler,14
/.,/.,P
“,“,p
puis,puis,60
il,il,51
glissa,glisser,19
dans,dans,81
le,le,71
salon,salon,21
",",",",p
à,à,81
pas,pas,21
légers,léger,30
",",",",p
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
craint,craindre,12
d',de,81
être,être,14
entendu,entendre,12
/.,/.,P
Annette,Annette,20
parut,paraître,19
presque,presque,60
aussitôt,aussitôt,60
/.,/.,P
“,“,p
bonjour,bonjour,21
",",",",p
cher,cher,30
maître,maître,21
“,“,p
",",",",p
dit,dire,19
elle,il,51
avec,avec,81
gravité,gravité,22
/.,/.,P
il,il,51
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
",",",",p
lui,lui,51
serra,serrer,19
la,le,71
main,main,22
",",",",p
et,et,82
",",",",p
s',se,51
asseyant,asseoir,13
auprès,auprès,60
“,“,p
devine,deviner,17
pourquoi,pourquoi,60
je,je,51
suis,être,17
venu,venir,12
/?,/?,P
elle,il,51
chercha,chercher,19
quelques,quelque,75
secondes,seconde,22
/.,/.,P
“,“,p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
/.,/.,P
-,-,p
pour,pour,81
t',tu,51
emmener,emmener,14
avec,avec,81
ta,ton,73
mère,mère,22
chez,chez,81
le,le,71
bijoutier,bijoutier,21
choisir,choisir,14
le,le,71
bluet,bluet,21
en,en,81
saphirs,saphir,21
que,que,52
je,je,51
t',tu,51
ai,avoir,17
promis,promettre,12
à,à,81
Roncières,Roncières,20
/.,/.,P
“,“,p
la,le,71
figure,figure,22
de,de,81
la,le,71
jeune,jeune,30
fille,fille,22
fut,être,19
illuminée,illuminer,12
de,de,81
bonheur,bonheur,21
/.,/.,P
“,“,p
oh,oh,93
!,!,p
dit,dire,19
elle,il,51
",",",",p
et,et,82
maman,maman,22
qui,qui,52
est,être,17
sortie,sortir,12
/.,/.,P
mais,mais,82
elle,il,51
va,aller,17
rentrer,rentrer,14
/.,/.,P
vous,vous,51
l',le,52
attendrez,attendre,15
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
oui,oui,60
",",",",p
si,si,83
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
trop,trop,60
long,long,30
/.,/.,P
-,-,p
oh,oh,93
!,!,p
quel,quel,75
insolent,insolent,21
",",",",p
trop,trop,60
long,long,30
",",",",p
avec,avec,81
moi,moi,51
/.,/.,P
vous,vous,51
me,je,51
traitez,traiter,17
en,en,81
gamine,gamine,22
/.,/.,P
-,-,p
non,non,60
",",",",p
dit,dire,19
il,il,51
",",",",p
pas,pas,60
tant,tant,60
que,que,83
tu,tu,51
crois,croire,17
/.,/.,P
“,“,p
il,il,51
se,se,51
sentait,sentir,18
au,à,81
au,le,71
coeur,coeur,21
une,un,71
envie,envie,22
de,de,81
plaire,plaire,14
",",",",p
d',de,81
être,être,14
galant,galant,30
et,et,82
spirituel,spirituel,30
",",",",p
comme,comme,83
aux,à,81
aux,le,71
jours,jour,21
les,le,71
plus,plus,60
fringants,fringant,30
de,de,81
sa,son,73
jeunesse,jeunesse,22
",",",",p
une,un,52
de,de,81
ces,ce,74
envies,envie,22
instinctives,instinctif,30
qui,qui,52
surexcitent,surexciter,17
toutes,tout,75
les,le,71
facultés,faculté,22
de,de,81
séduction,séduction,22
",",",",p
qui,qui,52
font,faire,17
faire,faire,14
la,le,71
roue,roue,22
aux,à,81
aux,le,71
paons,paon,21
et,et,82
des,de,81
des,le,71
vers,vers,21
aux,à,81
aux,le,71
poètes,poète,21
/.,/.,P
les,le,71
phrases,phrase,22
lui,lui,51
venaient,venir,18
aux,à,81
aux,le,71
lèvres,lèvre,22
",",",",p
pressées,pressé,31
",",",",p
alertes,alerte,30
",",",",p
et,et,82
il,il,51
parla,parler,19
comme,comme,83
il,il,51
savait,savoir,18
parler,parler,14
en,en,81
ses,son,73
bonnes,bon,30
heures,heure,22
/.,/.,P
la,le,71
petite,petit,30
",",",",p
animée,animé,31
par,par,81
cette,ce,74
verve,verve,22
",",",",p
lui,lui,51
répondit,répondre,19
avec,avec,81
toute,tout,75
la,le,71
malice,malice,22
",",",",p
avec,avec,81
toute,tout,75
la,le,71
finesse,finesse,22
espiègle,espiègle,30
qui,qui,52
germaient,germer,18
en,en,81
elle,il,51
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
comme,comme,83
il,il,51
discutait,discuter,18
une,un,71
opinion,opinion,22
",",",",p
il,il,51
s',se,51
écria,écrier,19
:,:,p
“,“,p
mais,mais,82
vous,vous,51
m',je,51
avez,avoir,17
déjà,déjà,60
dit,dire,12
cela,cela,52
souvent,souvent,60
",",",",p
et,et,82
je,je,51
vous,vous,51
ai,avoir,17
répondu,répondre,12
/…,/…,P
“,“,p
elle,il,51
l',le,52
interrompit,interrompre,19
en,en,81
éclatant,éclater,13
de,de,81
rire,rire,21
:,:,p
“,“,p
tiens,tenir,17
",",",",p
vous,vous,51
ne,ne,60
me,je,51
tutoyez,tutoyer,17
plus,plus,60
/!,/!,P
vous,vous,51
me,je,51
prenez,prendre,17
pour,pour,81
maman,maman,22
/.,/.,P
“,“,p
il,il,51
rougit,rougir,19
",",",",p
se,se,51
tut,taire,19
",",",",p
puis,puis,60
balbutia,balbutier,19
:,:,p
“,“,p
c',ce,52
est,être,17
que,que,83
ta,ton,73
mère,mère,22
m',je,51
a,avoir,17
déjà,déjà,60
soutenu,soutenir,12
cent,cent,72
fois,fois,22
cette,ce,74
idée,idée,22
là,là,60
/.,/.,P
“,“,p
son,son,73
éloquence,éloquence,22
s',se,51
était,être,18
éteinte,éteindre,12
;,;,p
il,il,51
ne,ne,60
savait,savoir,18
plus,plus,60
que,que,83
dire,dire,14
",",",",p
et,et,82
il,il,51
avait,avoir,18
peur,peur,22
maintenant,maintenant,60
",",",",p
une,un,71
peur,peur,22
incompréhensible,incompréhensible,30
de,de,81
cette,ce,74
fillette,fillette,22
/.,/.,P
“,“,p
voici,voici,81
maman,maman,22
“,“,p
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
elle,il,51
avait,avoir,18
entendu,entendre,12
s',se,51
ouvrir,ouvrir,14
la,le,71
porte,porte,22
du,de,81
du,le,71
premier,premier,72
salon,salon,21
",",",",p
et,et,82
Olivier,Olivier,20
",",",",p
troublé,troublé,31
comme,comme,83
si,si,83
on,on,51
l',le,52
eût,avoir,19
pris,prendre,12
en,en,81
faute,faute,22
",",",",p
expliqua,expliquer,19
comment,comment,60
il,il,51
s',se,51
était,être,18
souvenu,souvenir,12
tout,tout,60
à,à,81
coup,coup,21
de,de,81
la,le,71
promesse,promesse,22
faite,fait,31
",",",",p
et,et,82
comment,comment,60
il,il,51
était,être,18
venu,venir,12
les,le,52
prendre,prendre,14
l',le,71
une,un,52
et,et,82
l',le,71
autre,autre,52
pour,pour,81
aller,aller,14
chez,chez,81
le,le,71
bijoutier,bijoutier,21
/.,/.,P
“,“,p
j',je,51
ai,avoir,17
un,un,71
coupé,coupé,21
",",",",p
dit,dire,19
il,il,51
/.,/.,P
je,je,51
me,je,51
mettrai,mettre,15
sur,sur,81
le,le,71
strapontin,strapontin,21
/.,/.,P
“,“,p
ils,ils,51
partirent,partir,19
",",",",p
et,et,82
quelques,quelque,75
minutes,minute,22
plus,plus,60
tard,tard,60
ils,ils,51
entraient,entrer,18
chez,chez,81
Montara,Montara,20
/.,/.,P
ayant,avoir,13
passé,passer,12
toute,tout,75
sa,son,73
vie,vie,22
dans,dans,81
l',le,71
intimité,intimité,22
",",",",p
l',le,71
observation,observation,22
",",",",p
l',le,71
étude,étude,22
et,et,82
l',le,71
affection,affection,22
des,de,81
des,le,71
femmes,femme,22
",",",",p
s',se,51
étant,être,13
toujours,toujours,60
occupé,occuper,12
d',de,81
elles,ils,51
",",",",p
ayant,avoir,13
dû,devoir,12
sonder,sonder,14
et,et,82
découvrir,découvrir,14
leurs,leur,73
goûts,goût,21
",",",",p
connaître,connaître,14
comme,comme,83
elles,ils,51
la,le,71
toilette,toilette,22
",",",",p
les,le,71
questions,question,22
de,de,81
mode,mode,22
",",",",p
tous,tout,75
les,le,71
menus,menu,30
détails,détail,21
de,de,81
leur,leur,73
existence,existence,22
privée,privé,31
",",",",p
il,il,51
était,être,18
