11516
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-unième extrait>,<>,<>
se,se,51
dit,dire,19
:,:,p
la,le,71
morale,morale,22
de,de,81
ceci,ceci,52
est,être,17
qu',que,83
une,un,71
jolie,joli,30
femme,femme,22
ne,ne,60
voudra,vouloir,15
jamais,jamais,60
reconnaître,reconnaître,14
son,son,73
mari,mari,21
",",",",p
ni,ni,82
même,même,60
son,son,73
amant,amant,21
dans,dans,81
un,un,71
homme,homme,21
en,en,81
vieux,vieux,30
carrick,carrick,21
",",",",p
en,en,81
perruque,perruque,22
de,de,81
chiendent,chiendent,21
et,et,82
en,en,81
bottes,botte,22
percées,percé,31
/.,/.,P
un,un,71
sourire,sourire,21
malicieux,malicieux,30
et,et,82
mordant,mordant,30
exprima,exprimer,19
les,le,71
idées,idée,22
moitié,moitié,22
philosophiques,philosophique,30
",",",",p
moitié,moitié,22
railleuses,railleur,30
qui,qui,52
devaient,devoir,18
venir,venir,14
à,à,81
un,un,71
homme,homme,21
si,si,60
bien,bien,60
placé,placé,31
pour,pour,81
connaître,connaître,14
le,le,71
fond,fond,21
des,de,81
des,le,71
choses,chose,22
",",",",p
malgré,malgré,81
les,le,71
mensonges,mensonge,21
sous,sous,81
lesquels,lequel,52
la,le,71
plupart,plupart,22
des,de,81
des,le,71
familles,famille,22
parisiennes,parisien,30
cachent,cacher,17
leur,leur,73
existence,existence,22
/.,/.,P
bonjour,bonjour,21
",",",",p
monsieur,monsieur,21
Derville,Derville,20
",",",",p
dit,dire,19
elle,il,51
en,en,81
continuant,continuer,13
à,à,81
faire,faire,14
prendre,prendre,14
du,de,81
du,le,71
café,café,21
au,à,81
au,le,71
singe,singe,21
/.,/.,P
-,-,p
madame,madame,22
",",",",p
dit,dire,19
il,il,51
brusquement,brusquement,60
",",",",p
car,car,82
il,il,51
se,se,51
choqua,choquer,19
du,de,81
du,le,71
ton,ton,21
léger,léger,30
avec,avec,81
lequel,lequel,52
la,le,71
comtesse,comtesse,22
lui,lui,51
avait,avoir,18
dit,dire,12
:,:,p
bonjour,bonjour,21
",",",",p
monsieur,monsieur,21
Derville,Derville,20
",",",",p
je,je,51
viens,venir,17
causer,causer,14
avec,avec,81
vous,vous,51
d',de,81
une,un,71
affaire,affaire,22
assez,assez,60
grave,grave,30
/.,/.,P
-,-,p
j',je,51
en,en,52
suis,être,17
désespérée,désespérer,12
",",",",p
monsieur,monsieur,21
le,le,71
comte,comte,21
est,être,17
absent,absent,30
/…,/…,P
-,-,p
j',je,51
en,en,52
suis,être,17
enchanté,enchanter,12
",",",",p
moi,moi,51
",",",",p
madame,madame,22
/.,/.,P
il,il,51
serait,être,16
désespérant,désespérant,30
qu',que,83
il,il,51
assistât,assister,18
à,à,81
notre,notre,73
conférence,conférence,22
/.,/.,P
je,je,51
sais,savoir,17
d',de,81
ailleurs,ailleurs,60
",",",",p
par,par,81
Delbecq,Delbecq,20
",",",",p
que,que,83
vous,vous,51
aimez,aimer,17
à,à,81
faire,faire,14
vos,votre,73
affaires,affaire,22
vous-même,vous-même,51
sans,sans,81
en,en,52
ennuyer,ennuyer,14
monsieur,monsieur,21
le,le,71
comte,comte,21
/.,/.,P
-,-,p
alors,alors,60
",",",",p
je,je,51
vais,aller,17
faire,faire,14
appeler,appeler,14
Delbecq,Delbecq,20
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
-,-,p
il,il,51
vous,vous,51
serait,être,16
inutile,inutile,30
",",",",p
malgré,malgré,81
son,son,73
habileté,habileté,22
",",",",p
reprit,reprendre,19
Derville,Derville,20
/.,/.,P
écoutez,écouter,17
",",",",p
madame,madame,22
",",",",p
un,un,71
mot,mot,21
suffira,suffire,15
pour,pour,81
vous,vous,51
rendre,rendre,14
sérieuse,sérieux,30
/.,/.,P
le,le,71
comte,comte,21
Chabert,Chabert,20
existe,exister,17
/.,/.,P
-,-,p
est,être,17
ce,ce,52
en,en,81
disant,dire,13
de,de,81
semblables,semblable,30
bouffonneries,bouffonnerie,22
que,que,83
vous,vous,51
voulez,vouloir,17
me,je,51
rendre,rendre,14
sérieuse,sérieux,30
?,?,p
dit,dire,19
-,-,p
elle,il,51
en,en,81
partant,partir,13
d',de,81
un,un,71
éclat,éclat,21
de,de,81
rire,rire,21
/.,/.,P
mais,mais,82
la,le,71
comtesse,comtesse,22
fut,être,19
tout,tout,60
à,à,81
coup,coup,21
domptée,dompter,12
par,par,81
l',le,71
étrange,étrange,30
lucidité,lucidité,22
du,de,81
du,le,71
regard,regard,21
fixe,fixe,30
par,par,81
lequel,lequel,52
Derville,Derville,20
l',le,52
interrogeait,interroger,18
en,en,81
paraissant,paraître,13
lire,lire,14
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
âme,âme,22
/.,/.,P
madame,madame,22
",",",",p
répondit,répondre,19
il,il,51
avec,avec,81
une,un,71
gravité,gravité,22
froide,froid,30
et,et,82
perçante,perçant,30
",",",",p
vous,vous,51
ignorez,ignorer,17
l',le,71
étendue,étendue,22
des,de,81
des,le,71
dangers,danger,21
qui,qui,52
vous,vous,51
menacent,menacer,17
/.,/.,P
je,je,51
ne,ne,60
vous,vous,51
parlerai,parler,15
pas,pas,60
de,de,81
l',le,71
incontestable,incontestable,30
authenticité,authenticité,22
des,de,81
des,le,71
pièces,pièce,22
",",",",p
ni,ni,82
de,de,81
la,le,71
certitude,certitude,22
des,de,81
des,le,71
preuves,preuve,22
qui,qui,52
attestent,attester,17
l',le,71
existence,existence,22
du,de,81
du,le,71
comte,comte,21
Chabert,Chabert,20
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
homme,homme,21
à,à,81
me,je,51
charger,charger,14
d',de,81
une,un,71
mauvaise,mauvais,30
cause,cause,22
",",",",p
vous,vous,51
le,le,52
savez,savoir,17
/.,/.,P
si,si,83
vous,vous,51
vous,vous,51
opposez,opposer,17
à,à,81
notre,notre,73
inscription,inscription,22
en,en,81
faux,faux,21
contre,contre,81
l',le,71
acte,acte,21
de,de,81
décès,décès,21
",",",",p
vous,vous,51
perdrez,perdre,15
ce,ce,74
premier,premier,72
procès,procès,21
",",",",p
et,et,82
cette,ce,74
question,question,22
résolue,résolu,31
en,en,81
notre,notre,73
faveur,faveur,22
nous,nous,51
fait,faire,17
gagner,gagner,14
toutes,tout,75
les,le,71
autres,autre,52
/.,/.,P
-,-,p
de,de,81
quoi,quoi,52
prétendez,prétendre,17
vous,vous,51
donc,donc,82
me,je,51
parler,parler,14
/?,/?,P
-,-,p
ni,ni,82
du,de,81
du,le,71
colonel,colonel,21
",",",",p
ni,ni,82
de,de,81
vous,vous,51
/.,/.,P
je,je,51
ne,ne,60
vous,vous,51
parlerai,parler,15
pas,pas,60
non,non,60
plus,plus,60
des,de,81
des,le,71
mémoires,mémoire,21
que,que,52
pourraient,pouvoir,16
faire,faire,14
des,de,81
des,le,71
avocats,avocat,21
spirituels,spirituel,30
",",",",p
armés,armé,31
des,de,81
des,le,71
faits,fait,21
curieux,curieux,30
de,de,81
cette,ce,74
cause,cause,22
",",",",p
et,et,82
du,de,81
du,le,71
parti,parti,21
qu',que,52
ils,ils,51
tireraient,tirer,16
des,de,81
des,le,71
lettres,lettre,22
que,que,52
vous,vous,51
avez,avoir,17
reçues,recevoir,12
de,de,81
votre,votre,73
premier,premier,72
mari,mari,21
avant,avant,81
la,le,71
célébration,célébration,22
de,de,81
votre,votre,73
mariage,mariage,21
avec,avec,81
votre,votre,73
second,second,72
/.,/.,P
-,-,p
cela,cela,52
est,être,17
faux,faux,30
!,!,p
dit,dire,19
elle,il,51
avec,avec,81
toute,tout,75
la,le,71
violence,violence,22
d',de,81
une,un,71
petite,petit,30
maîtresse,maîtresse,22
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
reçu,recevoir,12
de,de,81
lettre,lettre,22
du,de,81
du,le,71
comte,comte,21
Chabert,Chabert,20
;,;,p
et,et,82
si,si,83
quelqu'un,quelqu'un,52
se,se,51
dit,dire,17
être,être,14
le,le,71
colonel,colonel,21
",",",",p
ce,ce,52
ne,ne,60
peut,pouvoir,17
être,être,14
qu',que,83
un,un,71
intrigant,intrigant,21
",",",",p
quelque,quelque,75
forçat,forçat,21
libéré,libéré,31
",",",",p
comme,comme,83
Coignard,Coignard,20
peut-être,peut-être,60
/.,/.,P
le,le,71
frisson,frisson,21
prend,prendre,17
rien,rien,52
que,que,83
d',de,81
y,y,52
penser,penser,14
/.,/.,P
le,le,71
colonel,colonel,21
peut,pouvoir,17
il,il,51
ressusciter,ressusciter,14
",",",",p
monsieur,monsieur,21
/?,/?,P
Bonaparte,Bonaparte,20
m',je,51
a,avoir,17
fait,faire,12
complimenter,complimenter,14
sur,sur,81
sa,son,73
mort,mort,22
par,par,81
un,un,71
aide,aide,21
de,de,81
camp,camp,21
",",",",p
et,et,82
je,je,51
touche,toucher,17
encore,encore,60
aujourd'hui,aujourd'hui,60
trois,trois,72
mille,mille,72
francs,franc,21
de,de,81
pension,pension,22
accordée,accordé,31
à,à,81
sa,son,73
veuve,veuve,22
par,par,81
les,le,71
chambres,chambre,22
/.,/.,P
j',je,51
ai,avoir,17
eu,avoir,12
mille,mille,72
fois,fois,22
raison,raison,22
de,de,81
repousser,repousser,14
tous,tout,75
les,le,71
Chabert,Chabert,20
qui,qui,52
sont,être,17
venus,venir,12
",",",",p
comme,comme,83
je,je,51
repousserai,repousser,15
tous,tout,75
ceux,celui,52
qui,qui,52
viendront,venir,15
/.,/.,P
-,-,p
heureusement,heureusement,60
nous,nous,51
sommes,être,17
seuls,seul,30
",",",",p
madame,madame,22
/.,/.,P
nous,nous,51
pouvons,pouvoir,17
mentir,mentir,14
à,à,81
notre,notre,73
aise,aise,22
",",",",p
dit,dire,19
il,il,51
froidement,froidement,60
en,en,81
s',se,51
amusant,amuser,13
à,à,81
aiguillonner,aiguillonner,14
la,le,71
colère,colère,22
qui,qui,52
agitait,agiter,18
la,le,71
comtesse,comtesse,22
afin,afin,81
de,de,81
lui,lui,51
arracher,arracher,14
quelques,quelque,75
indiscrétions,indiscrétion,22
",",",",p
par,par,81
une,un,71
manoeuvre,manoeuvre,22
familière,familier,30
aux,à,81
aux,le,71
avoués,avoué,21
",",",",p
habitués,habitué,31
à,à,81
rester,rester,14
calmes,calme,30
quand,quand,83
leurs,leur,73
adversaires,adversaire,21
ou,ou,82
leurs,leur,73
clients,client,21
s',se,51
emportent,emporter,17
/.,/.,P
hé,hé,93
bien,bien,60
donc,donc,82
",",",",p
à,à,81
nous,nous,51
deux,deux,72
",",",",p
se,se,51
dit,dire,19
il,il,51
à,à,81
lui-même,lui-même,51
en,en,81
imaginant,imaginer,13
à,à,81
l',le,71
instant,instant,21
un,un,71
piège,piège,21
pour,pour,81
lui,lui,51
démontrer,démontrer,14
sa,son,73
faiblesse,faiblesse,22
/.,/.,P
la,le,71
preuve,preuve,22
de,de,81
la,le,71
remise,remise,22
de,de,81
la,le,71
première,premier,72
lettre,lettre,22
existe,exister,17
",",",",p
madame,madame,22
",",",",p
reprit,reprendre,19
il,il,51
à,à,81
haute,haut,30
voix,voix,22
",",",",p
elle,il,51
contenait,contenir,18
des,de,81
des,le,71
valeurs,valeur,22
/…,/…,P
-,-,p
oh,oh,93
!,!,p
pour,pour,81
des,de,81
des,le,71
valeurs,valeur,22
",",",",p
elle,il,51
n',ne,60
en,en,52
contenait,contenir,18
pas,pas,60
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
donc,donc,82
reçu,recevoir,12
cette,ce,74
première,premier,72
lettre,lettre,22
",",",",p
reprit,reprendre,19
Derville,Derville,20
en,en,81
souriant,sourire,13
/.,/.,P
vous,vous,51
êtes,être,17
déjà,déjà,60
prise,prendre,12
dans,dans,81
le,le,71
premier,premier,72
piège,piège,21
que,que,52
vous,vous,51
tend,tendre,17
un,un,71
avoué,avoué,21
",",",",p
et,et,82
vous,vous,51
croyez,croire,17
pouvoir,pouvoir,14
lutter,lutter,14
avec,avec,81
la,le,71
justice,justice,22
/…,/…,P
la,le,71
comtesse,comtesse,22
rougit,rougir,19
",",",",p
pâlit,pâlir,19
",",",",p
se,se,51
cacha,cacher,19
la,le,71
figure,figure,22
dans,dans,81
les,le,71
mains,main,22
/.,/.,P
puis,puis,60
",",",",p
elle,il,51
secoua,secouer,19
sa,son,73
honte,honte,22
",",",",p
et,et,82
reprit,reprendre,19
avec,avec,81
le,le,71
sang-froid,sang-froid,21
naturel,naturel,30
à,à,81
ces,ce,74
sortes,sorte,22
de,de,81
femmes,femme,22
:,:,p
puisque,puisque,83
vous,vous,51
êtes,être,17
l',le,71
avoué,avoué,21
du,de,81
du,le,71
prétendu,prétendu,31
Chabert,Chabert,20
",",",",p
faites,faire,17
moi,moi,51
le,le,71
plaisir,plaisir,21
de,de,81
/…,/…,P
-,-,p
madame,madame,22
",",",",p
dit,dire,19
Derville,Derville,20
en,en,81
l',le,52
interrompant,interrompre,13
",",",",p
je,je,51
suis,être,17
encore,encore,60
en,en,81
ce,ce,74
moment,moment,21
votre,votre,73
avoué,avoué,21
comme,comme,83
celui,celui,52
du,de,81
du,le,71
colonel,colonel,21
/.,/.,P
croyez,croire,17
vous,vous,51
que,que,83
je,je,51
veuille,vouloir,17
perdre,perdre,14
une,un,71
clientèle,clientèle,22
aussi,aussi,60
précieuse,précieux,30
que,que,83
l',le,52
est,être,17
la,le,71
vôtre,vôtre,52
/?,/?,P
mais,mais,82
vous,vous,51
ne,ne,60
m',je,51
écoutez,écouter,17
pas,pas,60
/…,/…,P
-,-,p
parlez,parler,17
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
elle,il,51
gracieusement,gracieusement,60
/.,/.,P
-,-,p
votre,votre,73
fortune,fortune,22
vous,vous,51
venait,venir,18
de,de,81
monsieur,monsieur,21
le,le,71
comte,comte,21
Chabert,Chabert,20
et,et,82
vous,vous,51
l',le,52
avez,avoir,17
repoussé,repousser,12
/.,/.,P
votre,votre,73
fortune,fortune,22
est,être,17
colossale,colossal,30
",",",",p
et,et,82
vous,vous,51
le,le,52
laissez,laisser,17
mendier,mendier,14
/.,/.,P
madame,madame,22
",",",",p
les,le,71
avocats,avocat,21
sont,être,17
bien,bien,60
éloquents,éloquent,30
lorsque,lorsque,83
les,le,71
causes,cause,22
sont,être,17
éloquentes,éloquent,30
par,par,81
elles-mêmes,eux-mêmes,51
",",",",p
il,il,51
se,se,51
rencontre,rencontrer,17
ici,ici,60
des,de,81
des,le,71
circonstances,circonstance,22
capables,capable,30
de,de,81
soulever,soulever,14
contre,contre,81
vous,vous,51
l',le,71
opinion,opinion,22
publique,public,30
/.,/.,P
-,-,p
mais,mais,82
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
la,le,71
comtesse,comtesse,22
impatientée,impatienté,31
de,de,81
la,le,71
manière,manière,22
dont,dont,52
Derville,Derville,20
la,le,52
tournait,tourner,18
et,et,82
retournait,retourner,18
sur,sur,81
le,le,71
gril,gril,21
",",",",p
en,en,81
admettant,admettre,13
que,que,83
votre,votre,73
monsieur,monsieur,21
Chabert,Chabert,20
existe,exister,17
",",",",p
les,le,71
tribunaux,tribunal,21
maintiendront,maintenir,15
mon,mon,73
second,second,72
mariage,mariage,21
à,à,81
cause,cause,22
des,de,81
des,le,71
enfants,enfant,21
",",",",p
et,et,82
j',je,51
en,en,52
serai,être,16
quitte,quitte,30
pour,pour,81
rendre,rendre,14
deux,deux,72
cent,cent,72
vingt,vingt,72
cinq,cinq,72
mille,mille,72
francs,franc,21
à,à,81
monsieur,monsieur,21
Chabert,Chabert,20
/.,/.,P
-,-,p
madame,madame,22
",",",",p
nous,nous,51
ne,ne,60
savons,savoir,17
pas,pas,60
de,de,81
quel,quel,75
côté,côté,21
les,le,71
tribunaux,tribunal,21
verront,voir,15
la,le,71
question,question,22
sentimentale,sentimental,30
/.,/.,P
si,si,83
",",",",p
d',de,81
une,un,71
part,part,22
",",",",p
nous,nous,51
avons,avoir,17
une,un,71
mère,mère,22
et,et,82
ses,son,73
enfants,enfant,21
",",",",p
nous,nous,51
avons,avoir,17
de,de,81
l',le,71
autre,autre,52
un,un,71
homme,homme,21
accablé,accablé,31
de,de,81
malheurs,malheur,21
",",",",p
vieilli,vieilli,31
par,par,81
vous,vous,51
",",",",p
par,par,81
vos,votre,73
refus,refus,21
/.,/.,P
où,où,60
trouvera,trouver,15
t,t,94
il,il,51
une,un,71
femme,femme,22
/?,/?,P
puis,puis,60
",",",",p
les,le,71
juges,juge,21
peuvent,pouvoir,17
ils,ils,51
heurter,heurter,14
la,le,71
loi,loi,22
/?,/?,P
votre,votre,73
mariage,mariage,21
avec,avec,81
le,le,71
colonel,colonel,21
a,avoir,17
pour,pour,81
lui,lui,51
le,le,71
droit,droit,21
",",",",p
la,le,71
priorité,priorité,22
/.,/.,P
mais,mais,82
si,si,83
vous,vous,51
êtes,être,17
représentée,représenter,12
sous,sous,81
d',de,81
odieuses,odieux,30
couleurs,couleur,22
",",",",p
vous,vous,51
pourriez,pouvoir,16
avoir,avoir,14
un,un,71
adversaire,adversaire,21
auquel,à,81
auquel,lequel,52
vous,vous,51
ne,ne,60
vous,vous,51
attendez,attendre,17
pas,pas,60
/.,/.,P
là,là,60
",",",",p
madame,madame,22
",",",",p
est,être,17
ce,ce,52
danger,danger,21
dont,dont,52
je,je,51
voudrais,vouloir,16
vous,vous,51
préserver,préserver,14
/.,/.,P
-,-,p
un,un,71
nouvel,nouveau,30
adversaire,adversaire,21
!,!,p
dit,dire,19
elle,il,51
",",",",p
qui,qui,52
/?,/?,P
-,-,p
monsieur,monsieur,21
le,le,71
comte,comte,21
Ferraud,Ferraud,20
",",",",p
madame,madame,22
/.,/.,P
-,-,p
monsieur,monsieur,21
Ferraud,Ferraud,20
a,avoir,17
pour,pour,81
moi,moi,51
un,un,71
trop,trop,60
vif,vif,30
attachement,attachement,21
",",",",p
et,et,82
",",",",p
pour,pour,81
la,le,71
mère,mère,22
de,de,81
ses,son,73
enfants,enfant,21
",",",",p
un,un,71
trop,trop,60
grand,grand,30
respect,respect,21
/…,/…,P
-,-,p
ne,ne,60
parlez,parler,17
pas,pas,60
de,de,81
ces,ce,74
niaiseries,niaiserie,22
là,là,60
",",",",p
dit,dire,19
Derville,Derville,20
en,en,81
l',le,52
interrompant,interrompre,13
",",",",p
à,à,81
des,de,81
des,le,71
avoués,avoué,21
habitués,habitué,31
à,à,81
lire,lire,14
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
coeurs,coeur,21
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
monsieur,monsieur,21
Ferraud,Ferraud,20
n',ne,60
a,avoir,17
pas,pas,60
la,le,71
moindre,moindre,30
envie,envie,22
de,de,81
rompre,rompre,14
votre,votre,73
mariage,mariage,21
et,et,82
je,je,51
suis,être,17
persuadé,persuader,12
qu',que,83
il,il,51
vous,vous,51
adore,adorer,17
;,;,p
mais,mais,82
si,si,83
quelqu'un,quelqu'un,52
venait,venir,18
lui,lui,51
dire,dire,14
que,que,83
son,son,73
mariage,mariage,21
peut,pouvoir,17
être,être,14
annulé,annuler,12
",",",",p
que,que,83
sa,son,73
femme,femme,22
sera,être,15
traduite,traduire,12
en,en,81
criminelle,criminelle,22
au,à,81
au,le,71
ban,ban,21
de,de,81
l',le,71
opinion,opinion,22
publique,public,30
/…,/…,P
-,-,p
il,il,51
me,je,51
défendrait,défendre,16
!,!,p
monsieur,monsieur,21
/.,/.,P
-,-,p
non,non,60
",",",",p
madame,madame,22
/.,/.,P
-,-,p
quelle,quel,75
raison,raison,22
aurait,avoir,16
il,il,51
de,de,81
m',je,51
abandonner,abandonner,14
",",",",p
monsieur,monsieur,21
/?,/?,P
-,-,p
mais,mais,82
celle,celui,52
d',de,81
épouser,épouser,14
la,le,71
fille,fille,22
unique,unique,30
d',de,81
un,un,71
pair,pair,21
de,de,81
France,France,20
",",",",p
dont,dont,52
la,le,71
pairie,pairie,22
lui,lui,51
serait,être,16
transmise,transmettre,12
par,par,81
ordonnance,ordonnance,22
du,de,81
du,le,71
roi,roi,21
/…,/…,P
la,le,71
comtesse,comtesse,22
pâlit,pâlir,19
/.,/.,P
nous,nous,51
y,y,52
sommes,être,17
!,!,p
se,se,51
dit,dire,19
en,en,81
lui-même,lui-même,51
Derville,Derville,20
/.,/.,P
bien,bien,60
",",",",p
je,je,51
te,tu,51
tiens,tenir,17
",",",",p
l',le,71
affaire,affaire,22
du,de,81
du,le,71
pauvre,pauvre,30
colonel,colonel,21
est,être,17
gagnée,gagner,12
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
madame,madame,22
",",",",p
reprit,reprendre,19
il,il,51
à,à,81
haute,haut,30
voix,voix,22
",",",",p
il,il,51
aurait,avoir,16
d'autant,d'autant,60
moins,moins,60
de,de,81
remords,remords,21
",",",",p
qu',que,83
un,un,71
homme,homme,21
couvert,couvert,31
de,de,81
gloire,gloire,22
",",",",p
général,général,21
",",",",p
comte,comte,21
",",",",p
grand-officier,grand-officier,21
de,de,81
la,le,71
légion,légion,22
d',de,81
honneur,honneur,21
",",",",p
ne,ne,60
serait,être,16
pas,pas,60
un,un,71
pis-aller,pis-aller,21
;,;,p
et,et,82
si,si,83
cet,ce,74
homme,homme,21
lui,lui,51
redemande,redemander,17
sa,son,73
femme,femme,22
/…,/…,P
-,-,p
assez,assez,60
!,!,p
assez,assez,60
!,!,p
monsieur,monsieur,21
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
je,je,51
n',ne,60
aurai,avoir,15
jamais,jamais,60
que,que,83
vous,vous,51
pour,pour,81
avoué,avoué,21
/.,/.,P
que,que,52
faire,faire,14
/?,/?,P
-,-,p
transiger,transiger,14
!,!,p
dit,dire,19
Derville,Derville,20
/.,/.,P
-,-,p
m',je,51
aime,aimer,17
t,t,94
il,il,51
encore,encore,60
?,?,p
dit,dire,19
elle,il,51
/.,/.,P
-,-,p
mais,mais,82
je,je,51
ne,ne,60
crois,croire,17
pas,pas,60
qu',que,83
il,il,51
puisse,pouvoir,17
en,en,52
être,être,14
autrement,autrement,60
/.,/.,P
à,à,81
ce,ce,74
moment,moment,21
",",",",p
la,le,71
comtesse,comtesse,22
dressa,dresser,19
la,le,71
tête,tête,22
/.,/.,P
un,un,71
éclair,éclair,21
d',de,81
espérance,espérance,22
brilla,briller,19
dans,dans,81
ses,son,73
yeux,oeil,21
;,;,p
elle,il,51
comptait,compter,18
peut-être,peut-être,60
spéculer,spéculer,14
sur,sur,81
la,le,71
tendresse,tendresse,22
de,de,81
son,son,73
premier,premier,72
mari,mari,21
pour,pour,81
gagner,gagner,14
son,son,73
procès,procès,21
par,par,81
quelque,quelque,75
ruse,ruse,22
de,de,81
femme,femme,22
/.,/.,P
j',je,51
attendrai,attendre,15
vos,votre,73
ordres,ordre,21
",",",",p
madame,madame,22
",",",",p
pour,pour,81
savoir,savoir,14
s',si,83
il,il,51
faut,falloir,17
vous,vous,51
signifier,signifier,14
nos,notre,73
actes,acte,21
",",",",p
ou,ou,82
si,si,83
vous,vous,51
voulez,vouloir,17
venir,venir,14
chez,chez,81
moi,moi,51
pour,pour,81
arrêter,arrêter,14
les,le,71
bases,base,22
d',de,81
une,un,71
transaction,transaction,22
",",",",p
dit,dire,19
Derville,Derville,20
en,en,81
saluant,saluer,13
la,le,71
comtesse,comtesse,22
/.,/.,P
huit,huit,72
jours,jour,21
après,après,81
les,le,71
deux,deux,72
visites,visite,22
que,que,52
Derville,Derville,20
avait,avoir,18
faites,faire,12
",",",",p
et,et,82
par,par,81
une,un,71
belle,beau,30
matinée,matinée,22
du,de,81
du,le,71
mois,mois,21
de,de,81
juin,juin,21
",",",",p
les,le,71
époux,époux,21
",",",",p
désunis,désuni,31
par,par,81
un,un,71
hasard,hasard,21
presque,presque,60
surnaturel,surnaturel,30
",",",",p
partirent,partir,19
des,de,81
des,le,71
deux,deux,72
points,point,21
les,le,71
plus,plus,60
opposés,opposé,31
de,de,81
Paris,Paris,20
",",",",p
pour,pour,81
venir,venir,14
se,se,51
rencontrer,rencontrer,14
dans,dans,81
l',le,71
étude,étude,22
de,de,81
leur,leur,73
avoué,avoué,21
commun,commun,30
/.,/.,P
les,le,71
avances,avance,22
qui,qui,52
furent,être,19
largement,largement,60
faites,faire,12
par,par,81
Derville,Derville,20
au,à,81
au,le,71
colonel,colonel,21
Chabert,Chabert,20
lui,lui,51
avaient,avoir,18
permis,permettre,12
d',de,81
être,être,14
vêtu,vêtir,12
selon,selon,81
son,son,73
rang,rang,21
/.,/.,P
le,le,71
défunt,défunt,21
arriva,arriver,19
donc,donc,82
voituré,voituré,31
dans,dans,81
un,un,71
cabriolet,cabriolet,21
fort,fort,60
propre,propre,30
/.,/.,P
il,il,51
avait,avoir,18
la,le,71
tête,tête,22
couverte,couvert,31
d',de,81
une,un,71
perruque,perruque,22
appropriée,approprié,31
à,à,81
sa,son,73
physionomie,physionomie,22
",",",",p
il,il,51
était,être,18
habillé,habiller,12
de,de,81
drap,drap,21
bleu,bleu,30
",",",",p
avait,avoir,18
du,de,81
du,le,71
linge,linge,21
blanc,blanc,30
",",",",p
et,et,82
portait,porter,18
sous,sous,81
son,son,73
gilet,gilet,21
le,le,71
sautoir,sautoir,21
rouge,rouge,30
des,de,81
des,le,71
grands,grand,30
officiers,officier,21
de,de,81
la,le,71
légion,légion,22
d',de,81
honneur,honneur,21
/.,/.,P
en,en,81
reprenant,reprendre,13
les,le,71
habitudes,habitude,22
de,de,81
l',le,71
aisance,aisance,22
",",",",p
il,il,51
avait,avoir,18
retrouvé,retrouver,12
son,son,73
ancienne,ancien,30
élégance,élégance,22
martiale,martial,30
/.,/.,P
il,il,51
se,se,51
tenait,tenir,18
droit,droit,30
/.,/.,P
sa,son,73
figure,figure,22
",",",",p
grave,grave,30
et,et,82
mystérieuse,mystérieux,30
",",",",p
où,où,60
se,se,51
peignaient,peindre,18
le,le,71
bonheur,bonheur,21
et,et,82
toutes,tout,75
ses,son,73
espérances,espérance,22
",",",",p
paraissait,paraître,18
être,être,14
rajeunie,rajeunir,12
et,et,82
plus,plus,60
grasse,gras,30
",",",",p
pour,pour,81
emprunter,emprunter,14
à,à,81
la,le,71
peinture,peinture,22
une,un,52
de,de,81
ses,son,73
expressions,expression,22
les,le,71
plus,plus,60
pittoresques,pittoresque,30
/.,/.,P
il,il,51
ne,ne,60
ressemblait,ressembler,18
pas,pas,60
plus,plus,60
au,à,81
au,le,71
Chabert,Chabert,20
en,en,81
vieux,vieux,30
carrick,carrick,21
",",",",p
qu',que,83
un,un,71
gros,gros,30
sou,sou,21
ne,ne,60
ressemble,ressembler,17
à,à,81
une,un,71
pièce,pièce,22
de,de,81
quarante,quarante,72
francs,franc,21
nouvellement,nouvellement,60
frappée,frappé,31
/.,/.,P
à,à,81
le,le,52
voir,voir,14
",",",",p
les,le,71
passants,passant,21
eussent,avoir,18
facilement,facilement,60
reconnu,reconnaître,12
en,en,81
lui,lui,51
l',le,71
un,un,52
de,de,81
ces,ce,74
beaux,beau,30
débris,débris,21
de,de,81
notre,notre,73
ancienne,ancien,30
armée,armée,22
",",",",p
un,un,52
de,de,81
ces,ce,74
hommes,homme,21
héroïques,héroïque,30
sur,sur,81
lesquels,lequel,52
se,se,51
reflète,refléter,17
notre,notre,73
gloire,gloire,22
nationale,national,30
",",",",p
et,et,82
qui,qui,52
la,le,52
représentent,représenter,17
comme,comme,83
un,un,71
éclat,éclat,21
de,de,81
glace,glace,22
illuminé,illuminé,31
par,par,81
le,le,71
soleil,soleil,21
semble,sembler,17
en,en,52
réfléchir,réfléchir,14
tous,tout,75
les,le,71
rayons,rayon,21
/.,/.,P
ces,ce,74
