11738
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-septième extrait>,<>,<>
levait,lever,18
vers,vers,81
ses,son,73
yeux,oeil,21
/.,/.,P
quand,quand,83
elle,il,51
s',se,51
asseyait,asseoir,18
pour,pour,81
lire,lire,14
ou,ou,82
pour,pour,81
écrire,écrire,14
",",",",p
dans,dans,81
le,le,71
salon,salon,21
aux,à,81
aux,le,71
tapisseries,tapisserie,22
",",",",p
sa,son,73
pensée,pensée,22
",",",",p
un,un,71
instant,instant,21
distraite,distrait,31
par,par,81
cette,ce,74
besogne,besogne,22
nouvelle,nouveau,30
",",",",p
revenait,revenir,18
bientôt,bientôt,60
à,à,81
son,son,73
obsession,obsession,22
/.,/.,P
elle,il,51
luttait,lutter,18
",",",",p
essayait,essayer,18
de,de,81
se,se,51
distraire,distraire,14
",",",",p
d',de,81
avoir,avoir,14
d',de,81
autres,autre,75
idées,idée,22
",",",",p
de,de,81
continuer,continuer,14
son,son,73
travail,travail,21
/.,/.,P
c',ce,52
était,être,18
en,en,81
vain,vain,30
;,;,p
la,le,71
piqûre,piqûre,22
du,de,81
du,le,71
désir,désir,21
la,le,52
harcelait,harceler,18
",",",",p
et,et,82
bientôt,bientôt,60
sa,son,73
main,main,22
",",",",p
lâchant,lâcher,13
le,le,71
livre,livre,21
ou,ou,82
la,le,71
plume,plume,22
",",",",p
se,se,51
tendait,tendre,18
par,par,81
un,un,71
mouvement,mouvement,21
irrésistible,irrésistible,30
vers,vers,81
la,le,71
petite,petit,30
glace,glace,22
à,à,81
manche,manche,21
de,de,81
vieil,vieux,30
argent,argent,21
qui,qui,52
traînait,traîner,18
sur,sur,81
son,son,73
bureau,bureau,21
/.,/.,P
dans,dans,81
le,le,71
cadre,cadre,21
ovale,ovale,30
et,et,82
ciselé,ciselé,31
son,son,73
visage,visage,21
entier,entier,30
s',se,51
enfermait,enfermer,18
comme,comme,83
une,un,71
figure,figure,22
d',de,81
autrefois,autrefois,60
",",",",p
comme,comme,83
un,un,71
portrait,portrait,21
du,de,81
du,le,71
dernier,dernier,30
siècle,siècle,21
",",",",p
comme,comme,83
un,un,71
pastel,pastel,21
jadis,jadis,60
frais,frais,30
que,que,52
le,le,71
soleil,soleil,21
avait,avoir,18
terni,ternir,12
/.,/.,P
puis,puis,60
",",",",p
lorsqu',lorsque,83
elle,il,51
s',se,51
était,être,18
longtemps,longtemps,60
contemplée,contempler,12
",",",",p
elle,il,51
reposait,reposer,18
",",",",p
d',de,81
un,un,71
mouvement,mouvement,21
las,las,30
",",",",p
le,le,71
petit,petit,30
objet,objet,21
sur,sur,81
le,le,71
meuble,meuble,21
et,et,82
s',se,51
efforçait,efforcer,18
de,de,81
se,se,51
remettre,remettre,14
à,à,81
l',le,71
oeuvre,oeuvre,22
",",",",p
mais,mais,82
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
lu,lire,12
deux,deux,72
pages,page,22
ou,ou,82
écrit,écrire,12
vingt,vingt,72
lignes,ligne,22
",",",",p
que,que,83
le,le,71
besoin,besoin,21
de,de,81
se,se,51
regarder,regarder,14
renaissait,renaître,18
en,en,81
elle,il,51
",",",",p
invincible,invincible,30
et,et,82
torturant,torturant,30
;,;,p
et,et,82
elle,il,51
tendait,tendre,18
de,de,81
nouveau,nouveau,21
le,le,71
bras,bras,21
pour,pour,81
reprendre,reprendre,14
le,le,71
miroir,miroir,21
/.,/.,P
elle,il,51
le,le,52
maniait,manier,18
maintenant,maintenant,60
comme,comme,83
un,un,71
bibelot,bibelot,21
irritant,irritant,30
et,et,82
familier,familier,30
que,que,52
la,le,71
main,main,22
ne,ne,60
peut,pouvoir,17
quitter,quitter,14
",",",",p
s',se,51
en,en,52
servait,servir,18
à,à,81
tout,tout,75
moment,moment,21
en,en,81
recevant,recevoir,13
ses,son,73
amis,ami,21
",",",",p
et,et,82
s',se,51
énervait,énerver,18
jusqu',jusque,81
à,à,81
crier,crier,14
",",",",p
le,le,52
haïssait,haïr,18
comme,comme,83
un,un,71
être,être,21
en,en,81
le,le,52
retournant,retourner,13
dans,dans,81
ses,son,73
doigts,doigt,21
/.,/.,P
un,un,71
jour,jour,21
",",",",p
exaspérée,exaspéré,31
par,par,81
cette,ce,74
lutte,lutte,22
entre,entre,81
elle,il,51
et,et,82
ce,ce,74
morceau,morceau,21
de,de,81
verre,verre,21
",",",",p
elle,il,51
le,le,52
lança,lancer,19
contre,contre,81
le,le,71
mur,mur,21
où,où,60
il,il,51
se,se,51
fendit,fendre,19
et,et,82
s',se,51
émietta,émietter,19
/.,/.,P
mais,mais,82
au,à,81
au,le,71
bout,bout,21
de,de,81
quelque,quelque,75
temps,temps,21
son,son,73
mari,mari,21
",",",",p
qui,qui,52
l',le,52
avait,avoir,18
fait,faire,12
réparer,réparer,14
",",",",p
le,le,71
lui,lui,51
remit,remettre,19
plus,plus,60
clair,clair,60
que,que,83
jamais,jamais,60
/.,/.,P
elle,il,51
dut,devoir,19
le,le,52
prendre,prendre,14
et,et,82
remercier,remercier,14
",",",",p
résignée,résigné,31
à,à,81
le,le,52
garder,garder,14
/.,/.,P
chaque,chaque,75
soir,soir,21
aussi,aussi,60
et,et,82
chaque,chaque,75
matin,matin,21
enfermée,enfermé,31
en,en,81
sa,son,73
chambre,chambre,22
",",",",p
elle,il,51
recommençait,recommencer,18
malgré,malgré,81
elle,il,51
cet,ce,74
examen,examen,21
minutieux,minutieux,30
et,et,82
patient,patient,30
de,de,81
l',le,71
odieux,odieux,30
et,et,82
tranquille,tranquille,30
ravage,ravager,17
/.,/.,P
couchée,couché,31
",",",",p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
dormir,dormir,14
",",",",p
rallumait,rallumer,18
une,un,71
bougie,bougie,22
et,et,82
demeurait,demeurer,18
",",",",p
les,le,71
yeux,oeil,21
ouverts,ouvert,31
",",",",p
à,à,81
songer,songer,14
que,que,83
les,le,71
insomnies,insomnie,22
et,et,82
le,le,71
chagrin,chagrin,21
hâtaient,hâter,18
irrémédiablement,irrémédiablement,60
la,le,71
besogne,besogne,22
horrible,horrible,30
du,de,81
du,le,71
temps,temps,21
qui,qui,52
court,courir,17
/.,/.,P
elle,il,51
écoutait,écouter,18
dans,dans,81
le,le,71
silence,silence,21
de,de,81
la,le,71
nuit,nuit,22
le,le,71
balancier,balancier,21
de,de,81
sa,son,73
pendule,pendule,22
qui,qui,52
semblait,sembler,18
murmurer,murmurer,14
de,de,81
son,son,73
tic-tac,tic-tac,21
",",",",p
monotone,monotone,30
et,et,82
régulier,régulier,30
“,“,p
ça,ça,52
va,aller,17
",",",",p
ça,ça,52
va,aller,17
",",",",p
ça,ça,52
va,aller,17
“,“,p
",",",",p
et,et,82
son,son,73
coeur,coeur,21
se,se,51
crispait,crisper,18
dans,dans,81
une,un,71
telle,tel,75
souffrance,souffrance,22
que,que,83
",",",",p
son,son,73
drap,drap,21
sur,sur,81
sa,son,73
bouche,bouche,22
",",",",p
elle,il,51
gémissait,gémir,18
de,de,81
désespoir,désespoir,21
/.,/.,P
autrefois,autrefois,60
",",",",p
comme,comme,83
tout,tout,75
le,le,71
monde,monde,21
",",",",p
elle,il,51
avait,avoir,18
eu,avoir,12
la,le,71
notion,notion,22
des,de,81
des,le,71
années,année,22
qui,qui,52
passent,passer,17
et,et,82
des,de,81
des,le,71
changements,changement,21
qu',que,52
elles,ils,51
apportent,apporter,17
/.,/.,P
comme,comme,83
tout,tout,75
le,le,71
monde,monde,21
",",",",p
elle,il,51
avait,avoir,18
dit,dire,12
",",",",p
elle,il,51
s',se,51
était,être,18
dit,dire,12
",",",",p
chaque,chaque,75
hiver,hiver,21
",",",",p
chaque,chaque,75
printemps,printemps,21
ou,ou,82
chaque,chaque,75
été,été,21
:,:,p
“,“,p
j',je,51
ai,avoir,17
beaucoup,beaucoup,60
changé,changer,12
depuis,depuis,81
l',le,71
an,an,21
dernier,dernier,30
/.,/.,P
“,“,p
mais,mais,82
toujours,toujours,60
belle,beau,30
",",",",p
d',de,81
une,un,71
beauté,beauté,22
un,un,71
peu,peu,60
différente,différent,30
",",",",p
elle,il,51
ne,ne,60
s',se,51
en,en,52
inquiétait,inquiéter,18
pas,pas,60
/.,/.,P
aujourd'hui,aujourd'hui,60
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
constater,constater,14
encore,encore,60
paisiblement,paisiblement,60
la,le,71
marche,marche,22
lente,lent,30
des,de,81
des,le,71
saisons,saison,22
",",",",p
elle,il,51
venait,venir,18
de,de,81
découvrir,découvrir,14
et,et,82
de,de,81
comprendre,comprendre,14
la,le,71
fuite,fuite,22
formidable,formidable,30
des,de,81
des,le,71
instants,instant,21
/.,/.,P
elle,il,51
avait,avoir,18
eu,avoir,12
la,le,71
révélation,révélation,22
subite,subit,30
de,de,81
ce,ce,74
glissement,glissement,21
de,de,81
l',le,71
heure,heure,22
",",",",p
de,de,81
cette,ce,74
course,course,22
imperceptible,imperceptible,30
",",",",p
affolante,affolant,30
quand,quand,83
on,on,51
y,y,52
songe,songer,17
",",",",p
de,de,81
ce,ce,74
défilé,défilé,21
infini,infini,30
des,de,81
des,le,71
petites,petit,30
secondes,seconde,22
pressées,pressé,31
qui,qui,52
grignotent,grignoter,17
le,le,71
corps,corps,21
et,et,82
la,le,71
vie,vie,22
des,de,81
des,le,71
hommes,homme,21
/.,/.,P
après,après,81
ces,ce,74
nuits,nuit,22
misérables,misérable,30
",",",",p
elle,il,51
trouvait,trouver,18
de,de,81
longues,long,30
somnolences,somnolence,22
plus,plus,60
tranquilles,tranquille,30
",",",",p
dans,dans,81
la,le,71
tiédeur,tiédeur,22
des,de,81
des,le,71
draps,drap,21
",",",",p
lorsque,lorsque,83
sa,son,73
femme,femme,22
de,de,81
chambre,chambre,22
avait,avoir,18
ouvert,ouvrir,12
ses,son,73
rideaux,rideau,21
et,et,82
fait,faire,12
flamber,flamber,14
le,le,71
feu,feu,21
matinal,matinal,30
/.,/.,P
elle,il,51
demeurait,demeurer,18
lasse,las,30
",",",",p
assoupie,assoupi,31
",",",",p
ni,ni,82
éveillée,éveillé,31
ni,ni,82
endormie,endormi,31
",",",",p
dans,dans,81
un,un,71
engourdissement,engourdissement,21
de,de,81
pensée,pensée,22
qui,qui,52
laissait,laisser,18
renaître,renaître,14
en,en,81
elle,il,51
l',le,71
espoir,espoir,21
instinctif,instinctif,30
et,et,82
providentiel,providentiel,30
dont,dont,52
s',se,51
éclairent,éclairer,17
et,et,82
dont,dont,52
vivent,vivre,17
jusqu',jusque,81
à,à,81
leurs,leur,73
derniers,dernier,30
jours,jour,21
le,le,71
coeur,coeur,21
et,et,82
le,le,71
sourire,sourire,21
des,de,81
des,le,71
hommes,homme,21
/.,/.,P
chaque,chaque,75
matin,matin,21
maintenant,maintenant,60
",",",",p
dès,dès,81
qu',que,83
elle,il,51
avait,avoir,18
quitté,quitter,12
son,son,73
lit,lit,21
",",",",p
elle,il,51
se,se,51
sentait,sentir,18
dominée,dominé,31
par,par,81
un,un,71
désir,désir,21
puissant,puissant,30
de,de,81
prier,prier,14
dieu,dieu,21
",",",",p
d',de,81
obtenir,obtenir,14
de,de,81
lui,lui,51
un,un,71
peu,peu,60
de,de,81
soulagement,soulagement,21
et,et,82
de,de,81
consolation,consolation,22
/.,/.,P
elle,il,51
s',se,51
agenouillait,agenouiller,18
alors,alors,60
devant,devant,81
un,un,71
grand,grand,30
Christ,Christ,20
de,de,81
chêne,chêne,21
",",",",p
cadeau,cadeau,21
d',de,81
Olivier,Olivier,20
",",",",p
oeuvre,oeuvre,22
rare,rare,30
découverte,découvert,31
par,par,81
lui,lui,51
",",",",p
et,et,82
les,le,71
lèvres,lèvre,22
closes,clos,31
",",",",p
implorant,implorer,13
avec,avec,81
cette,ce,74
voix,voix,22
de,de,81
l',le,71
âme,âme,22
dont,dont,52
on,on,51
se,se,51
parle,parler,17
à,à,81
soi-même,soi-même,51
",",",",p
elle,il,51
poussait,pousser,18
vers,vers,81
le,le,71
martyr,martyr,21
divin,divin,30
une,un,71
douloureuse,douloureux,30
supplication,supplication,22
/.,/.,P
affolée,affolé,31
par,par,81
le,le,71
besoin,besoin,21
d',de,81
être,être,14
entendue,entendre,12
et,et,82
secourue,secourir,12
",",",",p
naïve,naïf,30
en,en,81
sa,son,73
détresse,détresse,22
comme,comme,83
tous,tout,75
les,le,71
fidèles,fidèle,21
à,à,81
genoux,genou,21
",",",",p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
douter,douter,14
qu',que,83
il,il,51
l',le,52
écoutât,écouter,18
",",",",p
qu',que,83
il,il,51
fût,être,19
attentif,attentif,30
à,à,81
sa,son,73
requête,requête,22
et,et,82
peut-être,peut-être,60
touché,toucher,12
pour,pour,81
sa,son,73
peine,peine,22
/.,/.,P
elle,il,51
ne,ne,60
lui,lui,51
demandait,demander,18
pas,pas,60
de,de,81
faire,faire,14
pour,pour,81
elle,il,51
ce,ce,52
que,que,52
jamais,jamais,60
il,il,51
n',ne,60
a,avoir,17
fait,faire,12
pour,pour,81
personne,personne,52
",",",",p
de,de,81
lui,lui,51
laisser,laisser,14
jusqu',jusque,81
à,à,81
sa,son,73
mort,mort,22
le,le,71
charme,charme,21
",",",",p
la,le,71
fraîcheur,fraîcheur,22
et,et,82
la,le,71
grâce,grâce,22
",",",",p
elle,il,51
lui,lui,51
demandait,demander,18
seulement,seulement,60
un,un,71
peu,peu,60
de,de,81
repos,repos,21
et,et,82
de,de,81
répit,répit,21
/.,/.,P
il,il,51
fallait,falloir,18
bien,bien,60
qu',que,83
elle,il,51
vieillît,vieillir,18
",",",",p
comme,comme,83
il,il,51
fallait,falloir,18
qu',que,83
elle,il,51
mourût,mourir,18
/!,/!,P
mais,mais,82
pourquoi,pourquoi,60
si,si,60
vite,vite,60
/?,/?,P
des,de,81
des,le,71
femmes,femme,22
restaient,rester,18
belles,beau,30
si,si,60
tard,tard,60
/!,/!,P
ne,ne,60
pouvait,pouvoir,18
il,il,51
lui,lui,51
accorder,accorder,14
d',de,81
être,être,14
une,un,52
de,de,81
celles-là,celui-là,52
/?,/?,P
comme,comme,83
il,il,51
serait,être,16
bon,bon,30
",",",",p
celui,celui,52
qui,qui,52
avait,avoir,18
aussi,aussi,60
tant,tant,60
souffert,souffrir,12
",",",",p
s',si,83
il,il,51
lui,lui,51
abandonnait,abandonner,18
seulement,seulement,60
pendant,pendant,81
deux,deux,72
ou,ou,82
trois,trois,72
ans,an,21
encore,encore,60
le,le,71
reste,reste,21
de,de,81
séduction,séduction,22
qu',que,52
il,il,51
lui,lui,51
fallait,falloir,18
pour,pour,81
plaire,plaire,14
/!,/!,P
elle,il,51
ne,ne,60
lui,lui,51
disait,dire,18
point,point,60
ces,ce,74
choses,chose,22
",",",",p
mais,mais,82
elle,il,51
les,le,52
gémissait,gémir,18
vers,vers,81
lui,lui,51
",",",",p
dans,dans,81
la,le,71
plainte,plainte,22
confuse,confus,30
de,de,81
son,son,73
âme,âme,22
/.,/.,P
puis,puis,60
",",",",p
s',se,51
étant,être,13
relevée,relever,12
",",",",p
elle,il,51
s',se,51
asseyait,asseoir,18
devant,devant,81
sa,son,73
toilette,toilette,22
",",",",p
et,et,82
",",",",p
avec,avec,81
une,un,71
tension,tension,22
de,de,81
pensée,pensée,22
aussi,aussi,60
ardente,ardent,30
que,que,83
pour,pour,81
la,le,71
prière,prière,22
",",",",p
elle,il,51
maniait,manier,18
les,le,71
poudres,poudre,22
",",",",p
les,le,71
pâtes,pâte,22
",",",",p
les,le,71
crayons,crayon,21
",",",",p
les,le,71
houppes,houppe,22
et,et,82
les,le,71
brosses,brosse,22
qui,qui,52
lui,lui,51
refaisaient,refaire,18
une,un,71
beauté,beauté,22
de,de,81
plâtre,plâtre,21
",",",",p
quotidienne,quotidien,30
et,et,82
fragile,fragile,30
/.,/.,P
<VI>,<>,<>
sur,sur,81
le,le,71
boulevard,boulevard,21
deux,deux,72
noms,nom,21
sonnaient,sonner,18
dans,dans,81
toutes,tout,75
les,le,71
bouches,bouche,22
:,:,p
“,“,p
Emma,Emma,20
Helsson,Helsson,20
“,“,p
et,et,82
“,“,p
Montrosé,Montrosé,20
“,“,p
/.,/.,P
plus,plus,60
on,on,51
approchait,approcher,18
de,de,81
l',le,71
Opéra,Opéra,20
",",",",p
plus,plus,60
on,on,51
les,le,52
entendait,entendre,18
répéter,répéter,14
/.,/.,P
d',de,81
immenses,immense,30
affiches,affiche,22
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
collées,collé,31
sur,sur,81
les,le,71
colonnes,colonne,22
Morris,Morris,20
",",",",p
les,le,52
lançaient,lancer,18
aux,à,81
aux,le,71
yeux,oeil,21
des,de,81
des,le,71
passants,passant,21
",",",",p
et,et,82
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
l',le,71
air,air,21
du,de,81
du,le,71
soir,soir,21
l',le,71
émotion,émotion,22
d',de,81
un,un,71
événement,événement,21
/.,/.,P
le,le,71
lourd,lourd,30
monument,monument,21
",",",",p
qu',que,52
on,on,51
appelle,appeler,17
“,“,p
l',le,71
académie,académie,22
nationale,national,30
de,de,81
musique,musique,22
“,“,p
",",",",p
accroupi,accroupi,31
sous,sous,81
le,le,71
ciel,ciel,21
noir,noir,30
",",",",p
montrait,montrer,18
au,à,81
au,le,71
public,public,21
amassé,amassé,31
devant,devant,81
lui,lui,51
sa,son,73
façade,façade,22
pompeuse,pompeux,30
et,et,82
blanchâtre,blanchâtre,30
et,et,82
la,le,71
colonnade,colonnade,22
de,de,81
marbre,marbre,21
de,de,81
sa,son,73
galerie,galerie,22
",",",",p
que,que,52
d',de,81
invisibles,invisible,30
foyers,foyer,21
électriques,électrique,30
illuminaient,illuminer,18
comme,comme,83
un,un,71
décor,décor,21
/.,/.,P
sur,sur,81
la,le,71
place,place,22
",",",",p
les,le,71
gardes,garde,21
républicains,républicain,30
à,à,81
cheval,cheval,21
dirigeaient,diriger,18
la,le,71
circulation,circulation,22
",",",",p
et,et,82
d',de,81
innombrables,innombrable,30
voitures,voiture,22
arrivaient,arriver,18
de,de,81
tous,tout,75
les,le,71
coins,coin,21
de,de,81
Paris,Paris,20
",",",",p
laissant,laisser,13
entrevoir,entrevoir,14
",",",",p
derrière,derrière,81
leurs,leur,73
glaces,glace,22
baissées,baissé,31
",",",",p
une,un,71
crème,crème,22
d',de,81
étoffes,étoffe,22
claires,clair,30
et,et,82
des,de,81
des,le,71
têtes,tête,22
pâles,pâle,30
/.,/.,P
les,le,71
coupés,coupé,21
et,et,82
les,le,71
landaus,landau,21
s',se,51
engageaient,engager,18
à,à,81
la,le,71
file,file,22
dans,dans,81
les,le,71
arcades,arcade,22
réservées,réservé,31
et,et,82
",",",",p
s',se,51
arrêtant,arrêter,13
quelques,quelque,75
instants,instant,21
",",",",p
laissaient,laisser,18
descendre,descendre,14
",",",",p
sous,sous,81
leurs,leur,73
pelisses,pelisse,22
de,de,81
soirée,soirée,22
garnies,garni,31
de,de,81
fourrures,fourrure,22
",",",",p
de,de,81
plumes,plume,22
ou,ou,82
de,de,81
dentelles,dentelle,22
inestimables,inestimable,30
",",",",p
les,le,71
femmes,femme,22
du,de,81
du,le,71
monde,monde,21
et,et,82
les,le,71
autres,autre,52
",",",",p
chair,chair,22
précieuse,précieux,30
",",",",p
divinement,divinement,60
parée,paré,31
/.,/.,P
tout,tout,75
le,le,71
long,long,21
du,de,81
du,le,71
célèbre,célèbre,30
escalier,escalier,21
c',ce,52
était,être,18
une,un,71
ascension,ascension,22
de,de,81
féerie,féerie,22
",",",",p
une,un,71
montée,montée,22
ininterrompue,ininterrompu,30
de,de,81
dames,dame,22
vêtues,vêtu,31
comme,comme,83
des,de,81
des,le,71
reines,reine,22
",",",",p
dont,dont,52
la,le,71
gorge,gorge,22
et,et,82
les,le,71
oreilles,oreille,22
jetaient,jeter,18
des,de,81
des,le,71
éclairs,éclair,21
de,de,81
diamants,diamant,21
et,et,82
dont,dont,52
la,le,71
longue,long,30
robe,robe,22
traînait,traîner,18
sur,sur,81
les,le,71
marches,marche,22
/.,/.,P
la,le,71
salle,salle,22
se,se,51
peuplait,peupler,18
de,de,81
bonne,bon,30
heure,heure,22
",",",",p
car,car,82
on,on,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
perdre,perdre,14
une,un,71
note,note,22
des,de,81
des,le,71
deux,deux,72
illustres,illustre,30
artistes,artiste,21
;,;,p
et,et,82
c',ce,52
était,être,18
",",",",p
par,par,81
tout,tout,75
le,le,71
vaste,vaste,30
amphithéâtre,amphithéâtre,21
",",",",p
sous,sous,81
l',le,71
éclatante,éclatant,30
lumière,lumière,22
électrique,électrique,30
tombée,tombé,31
du,de,81
du,le,71
lustre,lustre,21
",",",",p
une,un,71
houle,houle,22
de,de,81
gens,gens,21
qui,qui,52
s',se,51
installaient,installer,18
et,et,82
une,un,71
grande,grand,30
rumeur,rumeur,22
de,de,81
voix,voix,22
/.,/.,P
de,de,81
la,le,71
loge,loge,22
sur,sur,81
la,le,71
scène,scène,22
qu',que,52
occupaient,occuper,18
déjà,déjà,60
la,le,71
duchesse,duchesse,22
",",",",p
Annette,Annette,20
",",",",p
le,le,71
comte,comte,21
",",",",p
le,le,71
marquis,marquis,21
",",",",p
Bertin,Bertin,20
et,et,82
monsieur,monsieur,21
de,de,81
Musadieu,Musadieu,20
",",",",p
on,on,51
ne,ne,60
voyait,voir,18
rien,rien,52
que,que,83
les,le,71
coulisses,coulisse,22
où,où,60
des,de,81
des,le,71
hommes,homme,21
causaient,causer,18
",",",",p
couraient,courir,18
",",",",p
criaient,crier,18
:,:,p
des,de,81
des,le,71
machinistes,machiniste,21
en,en,81
blouse,blouse,22
",",",",p
des,de,81
des,le,71
messieurs,monsieur,21
en,en,81
habit,habit,21
",",",",p
des,de,81
des,le,71
acteurs,acteur,21
en,en,81
costume,costume,21
/.,/.,P
mais,mais,82
derrière,derrière,81
l',le,71
immense,immense,30
rideau,rideau,21
baissé,baissé,31
on,on,51
entendait,entendre,18
le,le,71
bruit,bruit,21
profond,profond,30
de,de,81
la,le,71
foule,foule,22
",",",",p
on,on,51
sentait,sentir,18
la,le,71
présence,présence,22
d',de,81
une,un,71
masse,masse,22
d',de,81
êtres,être,21
remuants,remuant,30
et,et,82
surexcités,surexcité,31
",",",",p
dont,dont,52
l',le,71
agitation,agitation,22
semblait,sembler,18
traverser,traverser,14
la,le,71
toile,toile,22
pour,pour,81
se,se,51
répandre,répandre,14
jusqu',jusque,81
aux,à,81
aux,le,71
décors,décor,21
/.,/.,P
on,on,51
allait,aller,18
jouer,jouer,14
Faust,Faust,20
/.,/.,P
Musadieu,Musadieu,20
racontait,raconter,18
des,de,81
des,le,71
anecdotes,anecdote,22
sur,sur,81
les,le,71
premières,premier,72
représentations,représentation,22
de,de,81
cette,ce,74
oeuvre,oeuvre,22
à,à,81
l',le,71
Opéra-Comique,Opéra Comique,20
",",",",p
sur,sur,81
le,le,71
demi-four,demi-four,21
d',de,81
alors,alors,60
suivi,suivi,31
d',de,81
un,un,71
éclatant,éclatant,30
triomphe,triomphe,21
",",",",p
sur,sur,81
les,le,71
interprètes,interprète,21
du,de,81
du,le,71
début,début,21
",",",",p
sur,sur,81
leur,leur,73
manière,manière,22
de,de,81
chanter,chanter,14
chaque,chaque,75
morceau,morceau,21
/.,/.,P
Annette,Annette,20
",",",",p
à,à,81
demi,demi,30
tournée,tourné,31
vers,vers,81
lui,lui,51
",",",",p
l',le,52
écoutait,écouter,18
avec,avec,81
cette,ce,74
curiosité,curiosité,22
avide,avide,30
et,et,82
jeune,jeune,30
dont,dont,52
elle,il,51
enveloppait,envelopper,18
le,le,71
monde,monde,21
entier,entier,30
",",",",p
et,et,82
",",",",p
par,par,81
moments,moment,21
",",",",p
elle,il,51
jetait,jeter,18
sur,sur,81
son,son,73
fiancé,fiancé,21
",",",",p
qui,qui,52
serait,être,16
son,son,73
mari,mari,21
dans,dans,81
quelques,quelque,75
jours,jour,21
",",",",p
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
plein,plein,30
de,de,81
tendresse,tendresse,22
/.,/.,P
elle,il,51
l',le,52
aimait,aimer,18
",",",",p
maintenant,maintenant,60
",",",",p
comme,comme,83
aiment,aimer,17
les,le,71
coeurs,coeur,21
naïfs,naïf,30
",",",",p
c'est-à-dire,c'est-à-dire,91
qu',que,83
elle,il,51
aimait,aimer,18
en,en,81
lui,lui,51
toutes,tout,75
les,le,71
espérances,espérance,22
du,de,81
du,le,71
lendemain,lendemain,21
/.,/.,P
l',le,71
ivresse,ivresse,22
des,de,81
des,le,71
premières,premier,72
fêtes,fête,22
de,de,81
la,le,71
vie,vie,22
et,et,82
l',le,71
ardent,ardent,30
besoin,besoin,21
d',de,81
être,être,14
heureuse,heureux,30
la,le,52
faisaient,faire,18
frémir,frémir,14
d',de,81
allégresse,allégresse,22
et,et,82
d',de,81
attente,attente,22
/.,/.,P
et,et,82
Olivier,Olivier,20
",",",",p
qui,qui,52
voyait,voir,18
tout,tout,52
",",",",p
qui,qui,52
savait,savoir,18
tout,tout,52
",",",",p
qui,qui,52
avait,avoir,18
descendu,descendre,12
tous,tout,75
les,le,71
degrés,degré,21
de,de,81
l',le,71
amour,amour,21
secret,secret,30
",",",",p
impuissant,impuissant,30
et,et,82
jaloux,jaloux,30
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
foyer,foyer,21
de,de,81
la,le,71
souffrance,souffrance,22
humaine,humain,30
où,où,60
le,le,71
coeur,coeur,21
semble,sembler,17
crépiter,crépiter,14
comme,comme,83
de,de,81
la,le,71
chair,chair,22
sur,sur,81
des,de,81
des,le,71
charbons,charbon,21
",",",",p
restait,rester,18
debout,debout,60
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
loge,loge,22
en,en,81
les,le,52
couvrant,couvrir,13
l',le,71
un,un,52
et,et,82
l',le,71
autre,autre,52
d',de,81
un,un,71
regard,regard,21
de,de,81
supplicié,supplicié,21
/.,/.,P
les,le,71
trois,trois,72
coups,coup,21
furent,être,19
frappés,frapper,12
",",",",p
et,et,82
soudain,soudain,60
le,le,71
petit,petit,30
tapotement,tapotement,21
sec,sec,30
d',de,81
un,un,71
archet,archet,21
sur,sur,81
le,le,71
pupitre,pupitre,21
du,de,81
du,le,71
chef,chef,21
d',de,81
orchestre,orchestre,21
arrêta,arrêter,19
net,net,60
tous,tout,75
les,le,71
mouvements,mouvement,21
",",",",p
les,le,71
toux,toux,22
et,et,82
les,le,71
murmures,murmure,21
;,;,p
puis,puis,60
",",",",p
après,après,81
un,un,71
court,court,30
et,et,82
profond,profond,30
silence,silence,21
",",",",p
les,le,71
premières,premier,72
mesures,mesure,22
de,de,81
l',le,71
introduction,introduction,22
s',se,51
élevèrent,élever,19
",",",",p
emplirent,emplir,19
la,le,71
salle,salle,22
de,de,81
l',le,71
invisible,invisible,30
et,et,82
irrésistible,irrésistible,30
mystère,mystère,21
de,de,81
la,le,71
musique,musique,22
qui,qui,52
s',se,51
épand,épandre,17
à,à,81
travers,travers,21
les,le,71
corps,corps,21
affole,affoler,17
les,le,71
nerfs,nerf,21
et,et,82
les,le,71
âmes,âme,22
d',de,81
une,un,71
fièvre,fièvre,22
poétique,poétique,30
et,et,82
matérielle,matériel,30
",",",",p
en,en,81
mêlant,mêler,13
à,à,81
l',le,71
air,air,21
limpide,limpide,30
qu',que,52
on,on,51
respire,respirer,17
une,un,71
onde,onde,22
sonore,sonore,30
qu',que,52
on,on,51
écoute,écouter,17
/.,/.,P
Olivier,Olivier,20
s',se,51
assit,asseoir,19
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
loge,loge,22
",",",",p
