11939
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-sixième extrait>,<>,<>
en,en,81
alléguant,alléguer,13
pour,pour,81
garantie,garantie,22
de,de,81
ses,son,73
projets,projet,21
",",",",p
la,le,71
soumission,soumission,22
des,de,81
des,le,71
Esséniens,Essénien,20
aux,à,81
aux,le,71
rois,roi,21
/.,/.,P
on,on,51
respectait,respecter,18
ces,ce,74
hommes,homme,21
pauvres,pauvre,30
",",",",p
indomptables,indomptable,30
par,par,81
les,le,71
supplices,supplice,21
",",",",p
vêtus,vêtu,31
de,de,81
lin,lin,21
",",",",p
et,et,82
qui,qui,52
lisaient,lire,18
l',le,71
avenir,avenir,21
dans,dans,81
les,le,71
étoiles,étoile,22
/.,/.,P
Antipas,Antipas,20
se,se,51
rappela,rappeler,19
un,un,71
mot,mot,21
de,de,81
lui,lui,51
",",",",p
tout,tout,60
à,à,81
l',le,71
heure,heure,22
/.,/.,P
-,-,p
“,“,p
quelle,quel,52
est,être,17
cette,ce,74
chose,chose,22
que,que,52
tu,tu,51
m',je,51
annonçais,annoncer,18
comme,comme,83
importante,importante,22
/?,/?,P
un,un,71
nègre,nègre,21
survint,survenir,19
/.,/.,P
son,son,73
corps,corps,21
était,être,18
blanc,blanc,30
de,de,81
poussière,poussière,22
/.,/.,P
il,il,51
râlait,râler,18
-,-,p
et,et,82
ne,ne,60
put,pouvoir,19
que,que,83
dire,dire,14
:,:,p
-,-,p
“,“,p
Vitellius,Vitellius,20
/!,/!,P
comment,comment,60
?,?,p
il,il,51
arrive,arriver,17
/!,/!,P
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
/!,/!,P
avant,avant,81
trois,trois,72
heures,heure,22
",",",",p
il,il,51
est,être,17
ici,ici,60
/!,/!,P
les,le,71
portières,portière,22
des,de,81
des,le,71
corridors,corridor,21
furent,être,19
agitées,agiter,12
comme,comme,83
par,par,81
le,le,71
vent,vent,21
/.,/.,P
une,un,71
rumeur,rumeur,22
emplit,emplir,17
le,le,71
château,château,21
",",",",p
un,un,71
vacarme,vacarme,21
de,de,81
gens,gens,21
qui,qui,52
couraient,courir,18
",",",",p
de,de,81
meubles,meuble,21
qu',que,83
on,on,51
traînait,traîner,18
",",",",p
d',de,81
argenteries,argenterie,22
s',se,51
écroulant,écrouler,13
;,;,p
-,-,p
et,et,82
",",",",p
du,de,81
du,le,71
haut,haut,21
des,de,81
des,le,71
tours,tour,21
",",",",p
des,de,81
des,le,71
buccins,buccin,21
sonnaient,sonner,18
pour,pour,81
avertir,avertir,14
les,le,71
esclaves,esclave,21
dispersés,dispersé,31
/.,/.,P
<II>,<>,<>
les,le,71
remparts,rempart,21
étaient,être,18
couverts,couvrir,12
de,de,81
monde,monde,21
quand,quand,83
Vitellius,Vitellius,20
entra,entrer,19
dans,dans,81
la,le,71
cour,cour,22
/.,/.,P
il,il,51
s',se,51
appuyait,appuyer,18
sur,sur,81
le,le,71
bras,bras,21
de,de,81
son,son,73
interprète,interprète,21
",",",",p
suivi,suivi,21
d',de,81
une,un,71
grande,grand,30
litière,litière,22
rouge,rouge,30
ornée,orné,31
de,de,81
panaches,panache,21
et,et,82
de,de,81
miroirs,miroir,21
",",",",p
ayant,avoir,13
la,le,71
toge,toge,22
",",",",p
le,le,71
laticlave,laticlave,21
",",",",p
les,le,71
brodequins,brodequin,21
d',de,81
un,un,71
consul,consul,21
et,et,82
des,de,81
des,le,71
licteurs,licteur,21
autour,autour,60
de,de,81
sa,son,73
personne,personne,22
/.,/.,P
ils,ils,51
plantèrent,planter,19
contre,contre,81
la,le,71
porte,porte,22
leurs,leur,73
douze,douze,72
faisceaux,faisceau,21
",",",",p
des,de,81
des,le,71
baguettes,baguette,22
reliées,relié,31
par,par,81
une,un,71
courroie,courroie,22
avec,avec,81
une,un,71
hache,hache,22
dans,dans,81
le,le,71
milieu,milieu,21
/.,/.,P
alors,alors,60
tous,tout,52
frémirent,frémir,19
devant,devant,81
la,le,71
majesté,majesté,22
du,de,81
du,le,71
peuple,peuple,21
romain,romain,30
/.,/.,P
la,le,71
litière,litière,22
",",",",p
que,que,52
huit,huit,72
hommes,homme,21
manoeuvraient,manoeuvrer,18
s',se,51
arrêta,arrêter,19
/.,/.,P
il,il,51
en,en,52
sortit,sortir,19
un,un,71
adolescent,adolescent,21
le,le,71
ventre,ventre,21
gros,gros,30
",",",",p
la,le,71
face,face,22
bourgeonnée,bourgeonné,31
",",",",p
des,de,81
des,le,71
perles,perle,22
le,le,71
long,long,21
des,de,81
des,le,71
doigts,doigt,21
/.,/.,P
on,on,51
lui,lui,51
offrit,offrir,19
une,un,71
coupe,coupe,22
pleine,plein,30
de,de,81
vin,vin,21
et,et,82
d',de,81
aromates,aromate,21
/.,/.,P
il,il,51
la,le,52
but,boire,19
",",",",p
et,et,82
en,en,52
réclama,réclamer,19
une,un,71
seconde,seconde,22
/.,/.,P
le,le,71
Tétrarque,Tétrarque,20
était,être,18
tombé,tomber,12
aux,à,81
aux,le,71
genoux,genou,21
du,de,81
du,le,71
proconsul,proconsul,21
chagrin,chagrin,30
",",",",p
disait,dire,18
il,il,51
",",",",p
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
connu,connaître,12
plus,plus,60
tôt,tôt,60
la,le,71
faveur,faveur,22
de,de,81
sa,son,73
présence,présence,22
/.,/.,P
autrement,autrement,60
",",",",p
il,il,51
eût,avoir,19
ordonné,ordonner,12
sur,sur,81
les,le,71
routes,route,22
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
fallait,falloir,18
pour,pour,81
les,le,71
Vitellius,Vitellius,20
/.,/.,P
ils,ils,51
descendaient,descendre,18
de,de,81
la,le,71
déesse,déesse,22
Vitellia,Vitellia,20
",",",",p
une,un,71
voie,voie,22
",",",",p
menant,mener,13
du,de,81
du,le,71
Janicule,Janicule,20
à,à,81
la,le,71
mer,mer,22
",",",",p
portait,porter,18
encore,encore,60
leur,leur,73
nom,nom,21
/.,/.,P
les,le,71
questures,questure,22
",",",",p
les,le,71
consulats,consulat,21
étaient,être,18
innombrables,innombrable,30
dans,dans,81
la,le,71
famille,famille,22
;,;,p
-,-,p
et,et,82
quant,quand,83
à,à,81
Lucius,Lucius,20
",",",",p
maintenant,maintenant,60
son,son,73
hôte,hôte,21
",",",",p
on,on,51
devait,devoir,18
le,le,52
remercier,remercier,14
comme,comme,83
vainqueur,vainqueur,21
des,de,81
des,le,71
Clites,Clites,20
et,et,82
père,père,21
de,de,81
ce,ce,74
jeune,jeune,30
Aulus,Aulus,20
-,-,p
qui,qui,52
semblait,sembler,18
revenir,revenir,14
dans,dans,81
son,son,73
domaine,domaine,21
",",",",p
puisque,puisque,83
l',le,71
Orient,Orient,20
était,être,18
la,le,71
patrie,patrie,22
des,de,81
des,le,71
dieux,dieu,21
/.,/.,P
ces,ce,74
hyperboles,hyperbole,22
furent,être,19
exprimées,exprimer,12
en,en,81
latin,latin,21
/.,/.,P
Vitellius,Vitellius,20
les,le,52
accepta,accepter,19
impassiblement,impassiblement,60
/.,/.,P
il,il,51
répondit,répondre,19
que,que,83
le,le,71
grand,grand,30
Hérode,Hérode,20
suffisait,suffire,18
à,à,81
la,le,71
gloire,gloire,22
d',de,81
une,un,71
nation,nation,22
/.,/.,P
les,le,71
Athéniens,Athénien,20
lui,lui,51
avaient,avoir,18
donné,donner,12
la,le,71
surintendance,surintendance,22
des,de,81
des,le,71
jeux,jeu,21
olympiques,olympique,30
/.,/.,P
il,il,51
avait,avoir,18
bâti,bâtir,12
des,de,81
des,le,71
temples,temple,21
en,en,81
l',le,71
honneur,honneur,21
d',de,81
Auguste,Auguste,20
",",",",p
été,été,21
patient,patient,30
",",",",p
ingénieux,ingénieux,30
",",",",p
terrible,terrible,30
",",",",p
et,et,82
fidèle,fidèle,30
toujours,toujours,60
aux,à,81
aux,le,71
Césars,César,20
/.,/.,P
entre,entre,81
les,le,71
colonnes,colonne,22
à,à,81
chapiteaux,chapiteau,21
d',de,81
airain,airain,21
",",",",p
on,on,51
aperçut,apercevoir,19
Hérodias,Hérodias,20
qui,qui,52
s',se,51
avançait,avancer,18
d',de,81
un,un,71
air,air,21
d',de,81
impératrice,impératrice,22
",",",",p
-,-,p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
femmes,femme,22
et,et,82
d',de,81
eunuques,eunuque,21
tenant,tenir,13
sur,sur,81
des,de,81
des,le,71
plateaux,plateau,21
de,de,81
vermeil,vermeil,21
",",",",p
des,de,81
des,le,71
parfums,parfum,21
allumés,allumé,31
/.,/.,P
le,le,71
proconsul,proconsul,21
fit,faire,19
trois,trois,72
pas,pas,21
à,à,81
sa,son,73
rencontre,rencontre,22
;,;,p
-,-,p
et,et,82
l',le,52
ayant,avoir,13
saluée,saluer,12
d',de,81
une,un,71
inclinaison,inclinaison,22
de,de,81
tête,tête,22
:,:,p
-,-,p
“,“,p
quel,quel,75
bonheur,bonheur,21
!,!,p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
",",",",p
“,“,p
que,que,83
désormais,désormais,60
Agrippa,Agrippa,20
",",",",p
l',le,71
ennemi,ennemi,21
de,de,81
Tibère,Tibère,20
fût,être,19
dans,dans,81
l',le,71
impossibilité,impossibilité,22
de,de,81
nuire,nuire,14
!,!,p
/…,/…,P
“,“,p
il,il,51
ignorait,ignorer,18
l',le,71
événement,événement,21
",",",",p
elle,il,51
lui,lui,51
parut,paraître,19
dangereuse,dangereux,30
-,-,p
et,et,82
comme,comme,83
Antipas,Antipas,20
jurait,jurer,18
qu',que,83
il,il,51
ferait,faire,16
tout,tout,52
pour,pour,81
l',le,71
empereur,empereur,21
",",",",p
Vitellius,Vitellius,20
ajouta,ajouter,19
:,:,p
-,-,p
“,“,p
même,même,60
au,à,81
au,le,71
détriment,détriment,21
des,de,81
des,le,71
autres,autre,52
/.,/.,P
“,“,p
il,il,51
avait,avoir,18
tiré,tirer,12
des,de,81
des,le,71
otages,otage,21
du,de,81
du,le,71
roi,roi,21
des,de,81
des,le,71
Parthes,Parthe,20
;,;,p
et,et,82
l',le,71
empereur,empereur,21
n',ne,60
y,y,52
songeait,songer,18
plus,plus,60
/.,/.,P
car,car,82
Antipas,Antipas,20
",",",",p
présent,présent,21
à,à,81
la,le,71
conférence,conférence,22
",",",",p
pour,pour,81
se,se,51
faire,faire,14
valoir,valoir,14
en,en,52
avait,avoir,18
tout,tout,60
de,de,81
suite,suite,22
expédié,expédier,12
la,le,71
nouvelle,nouvelle,22
",",",",p
-,-,p
de,de,81
là,là,60
",",",",p
une,un,71
haine,haine,22
profonde,profond,30
",",",",p
et,et,82
les,le,71
retards,retard,21
à,à,81
fournir,fournir,14
des,de,81
des,le,71
secours,secours,21
/.,/.,P
le,le,71
Tétrarque,Tétrarque,20
balbutia,balbutier,19
/.,/.,P
mais,mais,82
Aulus,Aulus,20
dit,dire,19
en,en,81
riant,rire,13
:,:,p
-,-,p
“,“,p
calme,calmer,17
toi,toi,51
",",",",p
je,je,51
te,tu,51
protège,protéger,17
/!,/!,P
le,le,71
proconsul,proconsul,21
feignit,feindre,19
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
entendu,entendre,12
/.,/.,P
la,le,71
fortune,fortune,22
du,de,81
du,le,71
père,père,21
dépendait,dépendre,18
de,de,81
la,le,71
souillure,souillure,22
du,de,81
du,le,71
fils,fils,21
;,;,p
-,-,p
et,et,82
cette,ce,74
fleur,fleur,22
des,de,81
des,le,71
fanges,fange,22
de,de,81
Caprée,Caprée,20
lui,lui,51
procurait,procurer,18
des,de,81
des,le,71
bénéfices,bénéfice,21
tellement,tellement,60
considérables,considérable,30
qu',que,83
il,il,51
l',le,52
entourait,entourer,18
d',de,81
égards,égard,21
",",",",p
tout,tout,60
en,en,81
se,se,51
méfiant,méfier,13
",",",",p
parce qu',parce que,83
elle,il,51
était,être,18
vénéneuse,vénéneux,30
/.,/.,P
un,un,71
tumulte,tumulte,21
s',se,51
éleva,élever,19
sous,sous,81
la,le,71
porte,porte,22
/.,/.,P
on,on,51
introduisait,introduire,18
une,un,71
file,file,22
de,de,81
mules,mule,22
blanches,blanc,30
",",",",p
montées,monté,31
par,par,81
des,de,81
des,le,71
personnages,personnage,21
en,en,81
costume,costume,21
de,de,81
prêtres,prêtre,21
/.,/.,P
c',ce,52
étaient,être,18
des,de,81
des,le,71
Sadducéens,Sadducéens,20
et,et,82
des,de,81
des,le,71
Pharisiens,Pharisiens,20
que,que,52
la,le,71
même,même,75
ambition,ambition,22
poussait,pousser,18
à,à,81
Machaerous,Machaerous,20
",",",",p
les,le,71
premiers,premier,72
voulant,vouloir,13
obtenir,obtenir,14
la,le,71
sacrificature,sacrificature,22
",",",",p
et,et,82
les,le,71
autres,autre,52
la,le,52
conserver,conserver,14
/.,/.,P
leurs,leur,73
visages,visage,21
étaient,être,18
sombres,sombre,30
",",",",p
ceux,celui,52
des,de,81
des,le,71
Pharisiens,Pharisiens,20
surtout,surtout,60
ennemis,ennemi,30
de,de,81
Rome,Rome,20
et,et,82
du,de,81
du,le,71
Tétrarque,Tétrarque,20
/.,/.,P
les,le,71
pans,pan,21
de,de,81
leur,leur,73
tunique,tunique,22
les,le,52
embarrassaient,embarrasser,18
dans,dans,81
la,le,71
cohue,cohue,22
",",",",p
et,et,82
leur,leur,73
tiare,tiare,22
chancelait,chanceler,18
à,à,81
leur,leur,73
front,front,21
",",",",p
par-dessus,par-dessus,60
des,de,81
des,le,71
bandelettes,bandelette,22
de,de,81
parchemin,parchemin,21
",",",",p
où,où,60
des,de,81
des,le,71
écritures,écriture,22
étaient,être,18
tracées,tracer,12
/.,/.,P
presque,presque,60
en,en,81
même,même,75
temps,temps,21
arrivèrent,arriver,19
des,de,81
des,le,71
soldats,soldat,21
de,de,81
l',le,71
avant-garde,avant-garde,22
/.,/.,P
ils,ils,51
avaient,avoir,18
mis,mettre,12
leurs,leur,73
boucliers,bouclier,21
dans,dans,81
des,de,81
des,le,71
sacs,sac,21
",",",",p
par,par,81
précaution,précaution,22
contre,contre,81
la,le,71
poussière,poussière,22
/.,/.,P
-,-,p
et,et,82
derrière,derrière,81
eux,ils,51
était,être,18
Marcellus,Marcellus,20
le,le,71
lieutenant,lieutenant,21
du,de,81
du,le,71
proconsul,proconsul,21
",",",",p
avec,avec,81
des,de,81
des,le,71
Publicains,Publicains,20
",",",",p
serrant,serrer,13
sous,sous,81
leurs,leur,73
aisselles,aisselle,22
des,de,81
des,le,71
tablettes,tablette,22
de,de,81
bois,bois,21
/.,/.,P
Antipas,Antipas,20
nomma,nommer,19
les,le,71
principaux,principal,30
de,de,81
son,son,73
entourage,entourage,21
Tolmaï,Tolmaï,20
",",",",p
Kanthera,Kanthera,20
",",",",p
Sehon,Sehon,20
",",",",p
Ammonius,Ammonius,20
d',de,81
Alexandrie,Alexandrie,20
",",",",p
qui,qui,52
lui,lui,51
achetait,acheter,18
de,de,81
l',le,71
asphalte,asphalte,21
",",",",p
Naâmann,Naâmann,20
capitaine,capitaine,21
de,de,81
ses,son,73
vélites,vélite,21
Iaçim,Iaçim,20
le,le,71
Babylonien,Babylonien,20
/.,/.,P
Vitellius,Vitellius,20
avait,avoir,18
remarqué,remarquer,12
Mannaëi,Mannaëi,20
/.,/.,P
-,-,p
“,“,p
celui-là,celui-là,52
",",",",p
qu',que,52
est,être,17
ce,ce,52
donc,donc,82
/?,/?,P
le,le,71
Tétrarque,Tétrarque,20
fit,faire,19
comprendre,comprendre,14
d',de,81
un,un,71
geste,geste,21
que,que,83
c',ce,52
était,être,18
le,le,71
bourreau,bourreau,21
/.,/.,P
puis,puis,60
il,il,51
présenta,présenter,19
les,le,71
Sadducéens,Sadducéens,20
/.,/.,P
Jonathas,Jonathas,20
",",",",p
un,un,71
petit,petit,30
homme,homme,21
libre,libre,30
d',de,81
allures,allure,22
et,et,82
parlant,parler,13
grec,grec,21
",",",",p
supplia,supplier,19
le,le,71
maître,maître,21
de,de,81
les,le,52
honorer,honorer,14
d',de,81
une,un,71
visite,visite,22
à,à,81
Jérusalem,Jérusalem,20
/.,/.,P
il,il,51
s',se,51
y,y,52
rendrait,rendre,16
probablement,probablement,60
/.,/.,P
Eléazar,Eléazar,20
",",",",p
le,le,71
nez,nez,21
crochu,crochu,30
et,et,82
la,le,71
barbe,barbe,22
longue,long,30
",",",",p
réclama,réclamer,19
pour,pour,81
les,le,71
Pharisiens,Pharisiens,20
le,le,71
manteau,manteau,21
du,de,81
du,le,71
grand,grand,30
prêtre,prêtre,21
détenu,détenu,31
dans,dans,81
la,le,71
tour,tour,22
Antonia,Antonia,20
par,par,81
l',le,71
autorité,autorité,22
civile,civil,30
/.,/.,P
en,en,81
suite,suite,22
les,le,71
Galiléens,Galiléens,20
dénoncèrent,dénoncer,19
Ponce,Ponce,20
Pilate,Pilate,20
/.,/.,P
à,à,81
l',le,71
occasion,occasion,22
d',de,81
un,un,71
fou,fou,21
qui,qui,52
cherchait,chercher,18
les,le,71
vases,vase,21
d',de,81
or,or,21
de,de,81
David,David,20
dans,dans,81
une,un,71
caverne,caverne,22
près,près,81
de,de,81
Samarie,Samarie,20
",",",",p
il,il,51
avait,avoir,18
tué,tuer,12
des,de,81
des,le,71
habitants,habitant,21
et,et,82
tous,tout,52
parlaient,parler,18
à,à,81
la,le,71
fois,fois,22
",",",",p
Mannaëi,Mannaëi,20
plus,plus,60
violemment,violemment,60
que,que,83
les,le,71
autres,autre,52
/.,/.,P
Vitellius,Vitellius,20
affirma,affirmer,19
que,que,83
les,le,71
criminels,criminel,21
seraient,être,16
punis,punir,12
/.,/.,P
des,de,81
des,le,71
vociférations,vocifération,22
éclatèrent,éclater,19
en,en,81
face,face,22
d',de,81
un,un,71
portique,portique,21
où,où,60
les,le,71
soldats,soldat,21
avaient,avoir,18
suspendu,suspendre,12
leurs,leur,73
boucliers,bouclier,21
/.,/.,P
les,le,71
housses,housse,22
étant,être,13
défaites,défaire,12
",",",",p
on,on,51
voyait,voir,18
sur,sur,81
les,le,71
umbo,umbo,21
la,le,71
figure,figure,22
de,de,81
César,César,20
/.,/.,P
c',ce,52
était,être,18
pour,pour,81
les,le,71
juifs,juif,21
une,un,71
idolâtrie,idolâtrie,22
/.,/.,P
Antipas,Antipas,20
les,le,52
harangua,haranguer,19
",",",",p
pendant,pendant,81
que,que,83
Vitellius,Vitellius,20
dans,dans,81
la,le,71
colonnade,colonnade,22
",",",",p
sur,sur,81
un,un,71
siège,siège,21
élevé,élevé,31
",",",",p
s',se,51
étonnait,étonner,18
de,de,81
leur,leur,73
fureur,fureur,22
/.,/.,P
Tibère,Tibère,20
avait,avoir,18
eu,avoir,12
raison,raison,22
d',de,81
en,en,52
exiler,exiler,14
quatre,quatre,72
cents,cent,72
en,en,81
Sardaigne,Sardaigne,20
/.,/.,P
mais,mais,82
chez,chez,81
eux,ils,51
",",",",p
ils,ils,51
étaient,être,18
forts,fort,30
",",",",p
et,et,82
il,il,51
commanda,commander,19
de,de,81
retirer,retirer,14
les,le,71
boucliers,bouclier,21
/.,/.,P
alors,alors,60
ils,ils,51
entourèrent,entourer,19
le,le,71
proconsul,proconsul,21
",",",",p
en,en,81
implorant,implorer,13
des,de,81
des,le,71
réparations,réparation,22
d',de,81
injustice,injustice,22
",",",",p
des,de,81
des,le,71
privilèges,privilège,21
",",",",p
des,de,81
des,le,71
aumônes,aumône,22
/.,/.,P
les,le,71
vêtements,vêtement,21
étaient,être,18
déchirés,déchirer,12
",",",",p
on,on,51
s',se,51
écrasait,écraser,18
;,;,p
et,et,82
pour,pour,81
faire,faire,14
de,de,81
la,le,71
place,place,22
",",",",p
des,de,81
des,le,71
esclaves,esclave,21
avec,avec,81
des,de,81
des,le,71
bâtons,bâton,21
frappaient,frapper,18
de,de,81
droite,droite,22
et,et,82
de,de,81
gauche,gauche,22
",",",",p
les,le,71
plus,plus,60
voisins,voisin,30
de,de,81
la,le,71
porte,porte,22
descendirent,descendre,19
sur,sur,81
le,le,71
",",",",p
sentier,sentier,21
",",",",p
d',de,81
autres,autre,52
le,le,52
montaient,monter,18
",",",",p
ils,ils,51
refluèrent,refluer,19
;,;,p
deux,deux,72
courants,courant,21
se,se,51
croisaient,croiser,18
dans,dans,81
cette,ce,74
masse,masse,22
d',de,81
hommes,homme,21
qui,qui,52
oscillait,osciller,18
",",",",p
comprimés,comprimé,31
par,par,81
l',le,71
enceinte,enceinte,22
des,de,81
des,le,71
murs,mur,21
/.,/.,P
Vitellius,Vitellius,20
demanda,demander,19
pourquoi,pourquoi,60
tant,tant,60
de,de,81
monde,monde,21
/.,/.,P
Antipas,Antipas,20
en,en,52
dit,dire,19
la,le,71
cause,cause,22
:,:,p
le,le,71
festin,festin,21
de,de,81
son,son,73
anniversaire,anniversaire,21
;,;,p
et,et,82
il,il,51
montra,montrer,19
plusieurs,plusieurs,75
de,de,81
ses,son,73
gens,gens,21
qui,qui,52
",",",",p
penchés,penché,31
sur,sur,81
les,le,71
créneaux,créneau,21
",",",",p
halaient,haler,18
d',de,81
immenses,immense,30
corbeilles,corbeille,22
de,de,81
viandes,viande,22
",",",",p
de,de,81
fruits,fruit,21
",",",",p
de,de,81
légumes,légume,21
",",",",p
-,-,p
des,de,81
des,le,71
antilopes,antilope,22
et,et,82
des,de,81
des,le,71
cigognes,cigogne,22
",",",",p
de,de,81
larges,large,30
poissons,poisson,21
couleur,couleur,22
d',de,81
azur,azur,21
",",",",p
des,de,81
des,le,71
raisins,raisin,21
",",",",p
des,de,81
des,le,71
pastèques,pastèque,22
",",",",p
des,de,81
des,le,71
grenades,grenade,22
élevées,élevé,31
en,en,81
pyramides,pyramide,22
/.,/.,P
Aulus,Aulus,20
n',ne,60
y,y,52
tint,tenir,19
pas,pas,60
/.,/.,P
il,il,51
se,se,51
précipita,précipiter,19
vers,vers,81
les,le,71
cuisines,cuisine,22
",",",",p
emporté,emporté,31
par,par,81
cette,ce,74
goinfrerie,goinfrerie,22
qui,qui,52
devait,devoir,18
surprendre,surprendre,14
l',le,71
univers,univers,21
/.,/.,P
en,en,81
passant,passer,13
près,près,81
d',de,81
un,un,71
caveau,caveau,21
",",",",p
il,il,51
aperçut,apercevoir,19
des,de,81
des,le,71
marmites,marmite,22
pareilles,pareil,30
à,à,81
des,de,81
des,le,71
cuirasses,cuirasse,22
/.,/.,P
Vitellius,Vitellius,20
vint,venir,19
les,le,52
regarder,regarder,14
et,et,82
exigea,exiger,19
qu',que,83
on,on,51
lui,lui,51
ouvrît,ouvrir,18
les,le,71
chambres,chambre,22
souterraines,souterrain,30
de,de,81
la,le,71
forteresse,forteresse,22
/.,/.,P
elles,ils,51
étaient,être,18
taillées,tailler,12
dans,dans,81
le,le,71
roc,roc,21
",",",",p
en,en,81
hautes,haut,30
voûtes,voûte,22
",",",",p
avec,avec,81
des,de,81
des,le,71
piliers,pilier,21
de,de,81
distance,distance,22
en,en,81
distance,distance,22
/.,/.,P
la,le,71
première,premier,72
contenait,contenir,18
de,de,81
vieilles,vieux,30
armures,armure,22
/.,/.,P
mais,mais,82
la,le,71
seconde,seconde,22
regorgeait,regorger,18
de,de,81
piques,pique,21
",",",",p
-,-,p
et,et,82
qui,qui,52
allongeaient,allonger,18
toutes,tout,75
leurs,leur,73
pointes,pointe,22
",",",",p
émergeant,émerger,13
d',de,81
un,un,71
bouquet,bouquet,21
de,de,81
plumes,plume,22
/.,/.,P
la,le,71
troisième,troisième,72
semblait,sembler,18
tapissée,tapissé,31
en,en,81
nattes,natte,22
de,de,81
roseaux,roseau,21
",",",",p
tant,tant,60
les,le,71
flèches,flèche,22
minces,mince,30
étaient,être,18
perpendiculairement,perpendiculairement,60
",",",",p
les,le,71
unes,un,52
à,à,81
côté,côté,21
des,de,81
des,le,71
autres,autre,52
/.,/.,P
des,de,81
des,le,71
lames,lame,22
de,de,81
cimeterres,cimeterre,21
couvraient,couvrir,18
les,le,71
parois,paroi,22
de,de,81
la,le,71
quatrième,quatrième,72
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
cinquième,cinquième,72
",",",",p
des,de,81
des,le,71
rangs,rang,21
de,de,81
casques,casque,21
faisaient,faire,18
avec,avec,81
leurs,leur,73
crêtes,crête,22
comme,comme,83
un,un,71
bataillon,bataillon,21
de,de,81
serpents,serpent,21
rouges,rouge,30
/.,/.,P
on,on,51
ne,ne,60
voyait,voir,18
dans,dans,81
la,le,71
sixième,sixième,72
que,que,83
des,de,81
des,le,71
carquois,carquois,21
",",",",p
dans,dans,81
la,le,71
septième,septième,72
",",",",p
que,que,52
des,de,81
des,le,71
cnémides,cnémide,22
",",",",p
dans,dans,81
la,le,71
huitième,huitième,72
",",",",p
que,que,52
des,de,81
des,le,71
brassards,brassard,21
",",",",p
dans,dans,81
les,le,71
suivantes,suivante,22
",",",",p
des,de,81
des,le,71
fourches,fourche,22
",",",",p
des,de,81
des,le,71
grappins,grappin,21
",",",",p
des,de,81
des,le,71
échelles,échelle,22
",",",",p
des,de,81
des,le,71
cordages,cordage,21
-,-,p
jusqu',jusque,81
à,à,81
des,de,81
des,le,71
mâts,mât,21
pour,pour,81
les,le,71
catapultes,catapulte,22
",",",",p
jusqu',jusque,81
à,à,81
des,de,81
des,le,71
grelots,grelot,21
pour,pour,81
le,le,71
poitrail,poitrail,21
des,de,81
des,le,71
dromadaires,dromadaire,21
!,!,p
et,et,82
comme,comme,83
la,le,71
montagne,montagne,22
allait,aller,18
en,en,81
s',se,51
élargissant,élargir,13
vers,vers,81
sa,son,73
base,base,22
",",",",p
évidée,évidé,31
à,à,81
l',le,71
intérieur,intérieur,21
telle,tel,75
qu',que,83
une,un,71
ruche,ruche,22
d',de,81
abeilles,abeille,22
au-dessous,au-dessous,60
de,de,81
ces,ce,74
chambres,chambre,22
",",",",p
il,il,51
y,y,52
en,en,52
avait,avoir,18
de,de,81
plus,plus,60
nombreuses,nombreux,30
",",",",p
et,et,82
d',de,81
encore,encore,60
plus,plus,60
profondes,profond,30
/.,/.,P
Vitellius,Vitellius,20
",",",",p
Phinées,Phinées,20
son,son,73
interprète,interprète,21
",",",",p
et,et,82
Sisenna,Sisenna,20
le,le,71
chef,chef,21
des,de,81
des,le,71
Publicains,Publicains,20
les,le,52
parcouraient,parcourir,18
à,à,81
la,le,71
lumière,lumière,22
des,de,81
des,le,71
flambeaux,flambeau,21
",",",",p
que,que,52
portaient,porter,18
trois,trois,72
eunuques,eunuque,21
/.,/.,P
on,on,51
distinguait,distinguer,18
dans,dans,81
l',le,71
ombre,ombre,22
des,de,81
des,le,71
choses,chose,22
hideuses,hideux,30
inventées,inventé,31
par,par,81
les,le,71
barbares,barbare,21
",",",",p
casse-tête,casse-tête,21
garnis,garni,31
de,de,81
clous,clou,21
",",",",p
javelots,javelot,21
empoisonnant,empoisonner,13
les,le,71
blessures,blessure,22
",",",",p
tenailles,tenaille,22
qui,qui,52
ressemblaient,ressembler,18
à,à,81
des,de,81
des,le,71
mâchoires,mâchoire,22
de,de,81
crocodiles,crocodile,21
-,-,p
enfin,enfin,60
le,le,71
Tétrarque,Tétrarque,20
possédait,posséder,18
dans,dans,81
Machaerous,Machaerous,20
des,de,81
des,le,71
munitions,munition,22
de,de,81
guerre,guerre,22
pour,pour,81
quarante,quarante,72
mille,mille,72
hommes,homme,21
/.,/.,P
il,il,51
les,le,52
avait,avoir,18
rassemblées,rassembler,12
en,en,81
prévision,prévision,22
d',de,81
une,un,71
alliance,alliance,22
de,de,81
ses,son,73
ennemis,ennemi,21
;,;,p
mais,mais,82
le,le,71
proconsul,proconsul,21
pouvait,pouvoir,18
croire,croire,14
ou,ou,82
dire,dire,14
que,que,83
c',ce,52
était,être,18
pour,pour,81
combattre,combattre,14
les,le,71
