12011
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-onzième extrait>,<>,<>
pour,pour,81
cacher,cacher,14
ses,son,73
pleurs,pleur,21
:,:,p
“,“,p
non,non,60
…,…,p
non,non,60
…,…,p
je,je,51
ne,ne,60
l',le,52
aime,aimer,17
pas,pas,60
…,…,p
lui,lui,51
…,…,p
c',ce,52
est,être,17
trop,trop,60
vilain,vilain,30
de,de,81
s',se,51
être,être,14
conduit,conduire,12
comme,comme,83
ça,ça,52
/…,/…,P
il,il,51
s',se,51
est,être,17
joué,jouer,12
de,de,81
moi,moi,51
…,…,p
c',ce,52
est,être,17
trop,trop,60
vilain,vilain,30
…,…,p
c',ce,52
est,être,17
trop,trop,60
lâche,lâche,30
…,…,p
mais,mais,82
ça,ça,52
m',je,51
a,avoir,17
fait,faire,12
de,de,81
la,le,71
peine,peine,22
tout,tout,60
de,de,81
même,même,60
…,…,p
beaucoup,beaucoup,60
…,…,p
parce que,parce que,83
c',ce,52
est,être,17
dur,dur,30
…,…,p
bien,bien,60
dur,dur,30
/…,/…,P
oh,oh,93
oui,oui,60
/…,/…,P
mais,mais,82
ce,ce,52
qui,qui,52
me,je,51
fait,faire,17
le,le,71
plus,plus,60
mal,mal,60
",",",",p
c',ce,52
est,être,17
ma,mon,73
soeur,soeur,22
…,…,p
ma,mon,73
soeur,soeur,22
…,…,p
qui,qui,52
ne,ne,60
m',je,51
aime,aimer,17
pas,pas,60
non,non,60
plus,plus,60
…,…,p
elle,il,51
…,…,p
et,et,82
qui,qui,52
a,avoir,17
été,être,12
plus,plus,60
méchante,méchant,30
que,que,83
lui,lui,51
/…,/…,P
je,je,51
sens,sentir,17
qu',que,83
elle,il,51
ne,ne,60
m',je,51
aime,aimer,17
plus,plus,60
…,…,p
plus,plus,60
du,de,81
du,le,71
tout,tout,21
…,…,p
qu',que,83
elle,il,51
me,je,51
déteste,détester,17
…,…,p
je,je,51
n',ne,60
avais,avoir,18
qu',que,83
elle,il,51
…,…,p
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
personne,personne,52
…,…,p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
fait,faire,12
",",",",p
moi,moi,51
!,!,p
/…,/…,P
“,“,p
il,il,51
ne,ne,60
voyait,voir,18
que,que,83
son,son,73
oreille,oreille,22
et,et,82
son,son,73
cou,cou,21
de,de,81
chair,chair,22
jeune,jeune,30
qui,qui,52
s',se,51
enfonçait,enfoncer,18
dans,dans,81
le,le,71
col,col,21
de,de,81
la,le,71
robe,robe,22
",",",",p
sous,sous,81
l',le,71
étoffe,étoffe,22
légère,léger,30
",",",",p
vers,vers,81
des,de,81
des,le,71
formes,forme,22
plus,plus,60
rondes,rond,30
/.,/.,P
et,et,82
il,il,51
se,se,51
sentait,sentir,18
bouleversé,bouleversé,31
de,de,81
compassion,compassion,22
",",",",p
de,de,81
tendresse,tendresse,22
",",",",p
soulevé,soulevé,31
par,par,81
ce,ce,74
désir,désir,21
impétueux,impétueux,30
de,de,81
dévouement,dévouement,21
qui,qui,52
s',se,51
emparait,emparer,18
de,de,81
lui,lui,51
chaque,chaque,75
fois,fois,22
qu',que,83
une,un,71
femme,femme,22
touchait,toucher,18
son,son,73
âme,âme,22
/.,/.,P
et,et,82
son,son,73
âme,âme,22
prompte,prompt,30
aux,à,81
aux,le,71
fusées,fusée,22
d',de,81
enthousiasme,enthousiasme,21
s',se,51
exaltait,exalter,18
auprès,auprès,60
de,de,81
cette,ce,74
douleur,douleur,22
innocente,innocent,30
",",",",p
troublante,troublant,30
",",",",p
naïve,naïf,30
",",",",p
et,et,82
cruellement,cruellement,60
charmante,charmant,30
/.,/.,P
il,il,51
étendit,étendre,19
la,le,71
main,main,22
vers,vers,81
elle,il,51
",",",",p
par,par,81
un,un,71
geste,geste,21
inconsidéré,inconsidéré,30
",",",",p
ainsi,ainsi,60
qu',que,83
on,on,51
fait,faire,17
pour,pour,81
flatter,flatter,14
",",",",p
pour,pour,81
calmer,calmer,14
les,le,71
enfants,enfant,21
",",",",p
et,et,82
la,le,52
posa,poser,19
sur,sur,81
la,le,71
taille,taille,22
",",",",p
près,près,81
de,de,81
l',le,71
épaule,épaule,22
",",",",p
par-derrière,par-derrière,60
/.,/.,P
alors,alors,60
il,il,51
sentit,sentir,19
battre,battre,14
le,le,71
coeur,coeur,21
à,à,81
coups,coup,21
pressés,pressé,31
",",",",p
comme,comme,83
on,on,51
sent,sentir,17
le,le,71
petit,petit,30
coeur,coeur,21
d',de,81
un,un,71
oiseau,oiseau,21
qu',que,83
on,on,51
a,avoir,17
pris,prendre,12
/.,/.,P
et,et,82
ce,ce,74
battement,battement,21
continu,continu,30
",",",",p
précipité,précipité,31
",",",",p
montait,monter,18
le,le,71
long,long,21
de,de,81
son,son,73
bras,bras,21
",",",",p
vers,vers,81
son,son,73
coeur,coeur,21
à,à,81
lui,lui,51
dont,dont,52
le,le,71
mouvement,mouvement,21
s',se,51
accélérait,accélérer,18
/.,/.,P
il,il,51
le,le,52
sentait,sentir,18
ce,ce,74
toc,toc,21
toc,toc,21
rapide,rapide,30
",",",",p
venant,venir,13
d',de,81
elle,il,51
et,et,82
l',le,71
envahissant,envahissant,30
par,par,81
sa,son,73
chair,chair,22
",",",",p
ses,son,73
muscles,muscle,21
et,et,82
ses,son,73
nerfs,nerf,21
",",",",p
ne,ne,60
leur,leur,52
faisant,faire,13
plus,plus,60
qu',que,83
un,un,71
coeur,coeur,21
souffrant,souffrant,30
de,de,81
la,le,71
même,même,75
souffrance,souffrance,22
",",",",p
agité,agité,31
de,de,81
la,le,71
même,même,75
palpitation,palpitation,22
",",",",p
vivant,vivre,13
de,de,81
la,le,71
même,même,75
vie,vie,22
",",",",p
comme,comme,83
ces,ce,74
horloges,horloge,22
qu',que,52
un,un,71
fil,fil,21
unit,unir,17
de,de,81
loin,loin,60
et,et,82
fait,faire,17
marcher,marcher,14
ensemble,ensemble,21
seconde,seconder,17
par,par,81
seconde,seconde,22
/.,/.,P
mais,mais,82
elle,il,51
découvrit,découvrir,19
brusquement,brusquement,60
son,son,73
visage,visage,21
rougi,rougi,31
",",",",p
joli,joli,30
toujours,toujours,60
",",",",p
l',le,52
essuya,essuyer,19
vivement,vivement,60
et,et,82
dit,dire,19
:,:,p
“,“,p
allons,aller,17
",",",",p
je,je,51
n',ne,60
aurais,avoir,16
pas,pas,60
dû,devoir,12
vous,vous,51
parler,parler,14
de,de,81
ça,ça,52
/.,/.,P
je,je,51
suis,être,17
folle,fou,30
/.,/.,P
retournons,retourner,17
bien,bien,60
vite,vite,60
auprès,auprès,60
de,de,81
madame,madame,22
Honorat,Honorat,20
",",",",p
et,et,82
oubliez,oublier,17
/…,/…,P
vous,vous,51
me,je,51
le,le,52
promettez,promettre,17
/?,/?,P
je,je,51
vous,vous,51
le,le,52
promets,promettre,17
/.,/.,P
“,“,p
elle,il,51
lui,lui,51
tendit,tendre,19
la,le,71
main,main,22
/.,/.,P
“,“,p
j',je,51
ai,avoir,17
confiance,confiance,22
/.,/.,P
je,je,51
vous,vous,51
crois,croire,17
très,très,60
honnête,honnête,30
",",",",p
vous,vous,51
/!,/!,P
ils,ils,51
revinrent,revenir,19
/.,/.,P
il,il,51
la,le,52
souleva,soulever,19
pour,pour,81
traverser,traverser,14
le,le,71
ruisseau,ruisseau,21
",",",",p
comme,comme,83
il,il,51
soulevait,soulever,18
Christiane,Christiane,20
",",",",p
l',le,71
année,année,22
d',de,81
avant,avant,21
/.,/.,P
Christiane,Christiane,20
/!,/!,P
que,que,52
de,de,81
fois,fois,22
il,il,51
était,être,18
venu,venir,12
avec,avec,81
elle,il,51
par,par,81
ce,ce,74
chemin,chemin,21
aux,à,81
aux,le,71
jours,jour,21
où,où,60
il,il,51
l',le,52
adorait,adorer,18
/.,/.,P
il,il,51
pensa,penser,19
",",",",p
s',se,51
étonnant,étonner,13
de,de,81
son,son,73
changement,changement,21
:,:,p
“,“,p
comme,comme,83
ça,ça,52
a,avoir,17
peu,peu,52
duré,durer,12
cette,ce,74
passion,passion,22
là,là,60
/!,/!,P
Charlotte,Charlotte,20
",",",",p
posant,poser,13
un,un,71
doigt,doigt,21
sur,sur,81
son,son,73
bras,bras,21
",",",",p
murmurait,murmurer,18
:,:,p
“,“,p
madame,madame,22
Honorat,Honorat,20
s',se,51
est,être,17
endormie,endormir,12
",",",",p
asseyons,asseoir,17
nous,nous,51
sans,sans,81
faire,faire,14
de,de,81
bruit,bruit,21
/.,/.,P
“,“,p
madame,madame,22
Honorat,Honorat,20
dormait,dormir,18
en,en,81
effet,effet,21
",",",",p
adossée,adossé,31
au,à,81
au,le,71
pin,pin,21
",",",",p
son,son,73
mouchoir,mouchoir,21
sur,sur,81
la,le,71
figure,figure,22
et,et,82
les,le,71
mains,main,22
croisées,croisé,31
sur,sur,81
son,son,73
ventre,ventre,21
/.,/.,P
ils,ils,51
s',se,51
assirent,asseoir,19
à,à,81
quelques,quelque,75
pas,pas,21
d',de,81
elle,il,51
",",",",p
et,et,82
ne,ne,60
parlèrent,parler,19
point,point,60
afin,afin,81
de,de,81
ne,ne,60
pas,pas,60
l',le,52
éveiller,éveiller,14
/.,/.,P
alors,alors,60
le,le,71
silence,silence,21
du,de,81
du,le,71
bois,bois,21
fut,être,19
si,si,60
profond,profond,30
qu',que,83
il,il,51
devenait,devenir,18
pour,pour,81
eux,ils,51
pénible,pénible,30
comme,comme,83
une,un,71
souffrance,souffrance,22
/.,/.,P
on,on,51
n',ne,60
entendait,entendre,18
rien,rien,52
que,que,52
l',le,71
eau,eau,22
courant,courir,13
dans,dans,81
les,le,71
pierres,pierre,22
",",",",p
un,un,71
peu,peu,60
plus,plus,60
bas,bas,60
",",",",p
puis,puis,60
",",",",p
ces,ce,74
imperceptibles,imperceptible,30
frissons,frisson,21
de,de,81
bêtes,bête,22
menues,menu,30
qui,qui,52
passent,passer,17
",",",",p
ces,ce,74
rumeurs,rumeur,22
insaisissables,insaisissable,30
de,de,81
mouches,mouche,22
qui,qui,52
volent,voler,17
ou,ou,82
de,de,81
gros,gros,30
insectes,insecte,21
noirs,noir,30
faisant,faire,13
basculer,basculer,14
des,de,81
des,le,71
feuilles,feuille,22
mortes,mort,31
/.,/.,P
où,où,60
étaient,être,18
donc,donc,82
Louise,Louise,20
et,et,82
Gontran,Gontran,20
/?,/?,P
que,que,52
faisaient,faire,18
ils,ils,51
/?,/?,P
tout,tout,60
à,à,81
coup,coup,21
on,on,51
les,le,52
entendit,entendre,19
",",",",p
très,très,60
loin,loin,60
;,;,p
ils,ils,51
revenaient,revenir,18
/.,/.,P
madame,madame,22
Honorat,Honorat,20
se,se,51
réveilla,réveiller,19
et,et,82
fut,être,19
surprise,surprendre,12
:,:,p
“,“,p
tiens,tenir,17
",",",",p
vous,vous,51
êtes,être,17
ici,ici,60
/!,/!,P
je,je,51
ne,ne,60
vous,vous,51
ai,avoir,17
pas,pas,60
sentis,sentir,12
approcher,approcher,14
!,!,p
/…,/…,P
et,et,82
les,le,71
autres,autre,52
",",",",p
vous,vous,51
les,le,52
avez,avoir,17
trouvés,trouver,12
/?,/?,P
Paul,Paul,20
répondit,répondre,19
:,:,p
“,“,p
les,le,52
voici,voici,81
/.,/.,P
ils,ils,51
arrivent,arriver,17
/.,/.,P
“,“,p
on,on,51
reconnaissait,reconnaître,18
les,le,71
rires,rire,21
de,de,81
Gontran,Gontran,20
/.,/.,P
ce,ce,74
rire,rire,21
soulagea,soulager,19
Charlotte,Charlotte,20
d',de,81
un,un,71
poids,poids,21
accablant,accablant,30
qui,qui,52
pesait,peser,18
sur,sur,81
son,son,73
esprit,esprit,21
/.,/.,P
elle,il,51
n',ne,60
eût,avoir,19
pas,pas,60
su,savoir,12
dire,dire,14
pourquoi,pourquoi,60
/.,/.,P
on,on,51
les,le,52
aperçut,apercevoir,19
bientôt,bientôt,60
/.,/.,P
Gontran,Gontran,20
courait,courir,18
presque,presque,60
",",",",p
entraînant,entraîner,13
par,par,81
le,le,71
bras,bras,21
la,le,71
jeune,jeune,30
fille,fille,22
toute,tout,60
rouge,rouge,30
/.,/.,P
et,et,82
",",",",p
avant,avant,81
même,même,60
d',de,81
être,être,14
arrivé,arriver,12
",",",",p
tant,tant,60
il,il,51
avait,avoir,18
hâte,hâte,22
de,de,81
conter,conter,14
son,son,73
histoire,histoire,22
:,:,p
“,“,p
vous,vous,51
ne,ne,60
savez,savoir,17
pas,pas,60
qui,qui,52
nous,nous,51
avons,avoir,17
surpris,surprendre,12
?,?,p
/…,/…,P
je,je,51
vous,vous,51
le,le,52
donne,donner,17
en,en,81
mille,mille,72
/…,/…,P
le,le,71
beau,beau,30
docteur,docteur,21
Mazelli,Mazelli,20
avec,avec,81
la,le,71
fille,fille,22
de,de,81
l',le,71
illustre,illustre,30
professeur,professeur,21
Cloche,Cloche,20
",",",",p
comme,comme,83
dirait,dire,16
Will,Will,20
",",",",p
la,le,71
jolie,joli,30
veuve,veuve,22
aux,à,81
aux,le,71
cheveux,cheveu,21
roux,roux,30
/…,/…,P
oh,oh,93
!,!,p
mais,mais,82
là,là,60
…,…,p
surpris,surpris,31
…,…,p
vous,vous,51
entendez,entendre,17
…,…,p
surpris,surprendre,19
/…,/…,P
il,il,51
l',le,52
embrassait,embrasser,18
",",",",p
le,le,71
gredin,gredin,21
/…,/…,P
oh,oh,93
!,!,p
mais,mais,82
!,!,p
/…,/…,P
oh,oh,93
!,!,p
mais,mais,82
!,!,p
/…,/…,P
“,“,p
madame,madame,22
Honorat,Honorat,20
",",",",p
devant,devant,81
cette,ce,74
gaîté,gaieté,22
immodérée,immodéré,30
",",",",p
eut,avoir,19
un,un,71
mouvement,mouvement,21
de,de,81
dignité,dignité,22
:,:,p
“,“,p
oh,oh,93
!,!,p
monsieur,monsieur,21
le,le,71
Comte,Comte,20
…,…,p
pensez,penser,17
à,à,81
ces,ce,74
demoiselles,demoiselle,22
!,!,p
/…,/…,P
“,“,p
Gontran,Gontran,20
s',se,51
inclina,incliner,19
profondément,profondément,60
/.,/.,P
“,“,p
vous,vous,51
avez,avoir,17
tout,tout,60
à,à,81
fait,fait,21
raison,raison,22
",",",",p
chère,cher,30
madame,madame,22
",",",",p
de,de,81
me,je,51
rappeler,rappeler,14
aux,à,81
aux,le,71
convenances,convenance,22
/.,/.,P
toutes,tout,75
vos,votre,73
inspirations,inspiration,22
sont,être,17
excellentes,excellent,30
/.,/.,P
“,“,p
puis,puis,60
",",",",p
afin,afin,81
de,de,81
ne,ne,60
pas,pas,60
rentrer,rentrer,14
ensemble,ensemble,60
",",",",p
les,le,71
deux,deux,72
jeunes,jeune,30
gens,gens,21
saluèrent,saluer,19
les,le,71
dames,dame,22
et,et,82
revinrent,revenir,19
à,à,81
travers,travers,21
bois,bois,21
/.,/.,P
“,“,p
eh,eh,93
bien,bien,60
?,?,p
demanda,demander,19
Paul,Paul,20
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
je,je,51
lui,lui,51
ai,avoir,17
déclaré,déclarer,12
que,que,83
je,je,51
l',le,52
adorais,adorer,18
et,et,82
que,que,83
je,je,51
serais,être,16
enchanté,enchanter,12
de,de,81
l',le,52
épouser,épouser,14
/.,/.,P
-,-,p
et,et,82
elle,il,51
a,avoir,17
dit,dire,12
/?,/?,P
elle,il,51
a,avoir,17
dit,dire,12
avec,avec,81
une,un,71
prudence,prudence,22
très,très,60
gentille,gentil,30
:,:,p
“,“,p
cela,cela,52
regarde,regarder,17
mon,mon,73
père,père,21
/.,/.,P
c',ce,52
est,être,17
à,à,81
lui,lui,51
que,que,83
je,je,51
répondrai,répondre,15
/.,/.,P
“,“,p
-,-,p
alors,alors,60
tu,tu,51
vas,aller,17
/?,/?,P
charger,charger,14
tout,tout,60
de,de,81
suite,suite,22
mon,mon,73
ambassadeur,ambassadeur,21
Andermatt,Andermatt,20
de,de,81
la,le,71
demande,demande,22
officielle,officiel,30
/.,/.,P
et,et,82
si,si,83
le,le,71
vieux,vieux,21
rustre,rustre,30
fait,faire,17
quelque,quelque,75
mine,mine,22
",",",",p
je,je,51
compromets,compromettre,17
la,le,71
fille,fille,22
par,par,81
un,un,71
éclat,éclat,21
/.,/.,P
“,“,p
et,et,82
comme,comme,83
Andermatt,Andermatt,20
causait,causer,18
encore,encore,60
avec,avec,81
le,le,71
docteur,docteur,21
Latonne,Latonne,20
sur,sur,81
la,le,71
terrasse,terrasse,22
du,de,81
du,le,71
Casino,Casino,20
",",",",p
Gontran,Gontran,20
les,le,52
sépara,séparer,19
et,et,82
mit,mettre,19
aussitôt,aussitôt,60
son,son,73
beau-frère,beau-frère,21
au,à,81
au,le,71
fait,fait,21
de,de,81
la,le,71
situation,situation,22
/.,/.,P
Paul,Paul,20
s',se,51
en,en,52
alla,aller,19
sur,sur,81
la,le,71
route,route,22
de,de,81
Riom,Riom,20
/.,/.,P
il,il,51
avait,avoir,18
besoin,besoin,21
d',de,81
être,être,14
seul,seul,30
",",",",p
tant,tant,60
il,il,51
se,se,51
sentait,sentir,18
envahi,envahi,31
par,par,81
cette,ce,74
agitation,agitation,22
de,de,81
toute,tout,75
la,le,71
pensée,pensée,22
et,et,82
de,de,81
tout,tout,75
le,le,71
corps,corps,21
que,que,52
jette,jeter,17
en,en,81
nous,nous,51
chaque,chaque,75
rencontre,rencontre,22
d',de,81
une,un,71
femme,femme,22
qu',que,83
on,on,51
est,être,17
sur,sur,81
le,le,71
point,point,21
d',de,81
aimer,aimer,14
/.,/.,P
depuis,depuis,81
quelque,quelque,75
temps,temps,21
déjà,déjà,60
il,il,51
subissait,subir,18
",",",",p
sans,sans,81
s',se,51
en,en,52
rendre,rendre,14
compte,compte,21
",",",",p
le,le,71
charme,charme,21
pénétrant,pénétrant,30
et,et,82
frais,frais,30
de,de,81
cette,ce,74
fillette,fillette,22
abandonnée,abandonné,31
/.,/.,P
il,il,51
la,le,52
devinait,deviner,18
si,si,60
gentille,gentil,30
",",",",p
si,si,60
bonne,bonne,22
",",",",p
si,si,60
simple,simple,30
",",",",p
si,si,60
droite,droite,22
",",",",p
si,si,60
naïve,naïf,30
",",",",p
qu',que,83
il,il,51
avait,avoir,18
été,être,12
d'abord,d'abord,60
ému,émouvoir,12
de,de,81
compassion,compassion,22
",",",",p
de,de,81
cette,ce,74
compassion,compassion,22
attendrie,attendri,31
que,que,83
nous,nous,51
inspire,inspirer,17
toujours,toujours,60
le,le,71
chagrin,chagrin,21
des,de,81
des,le,71
femmes,femme,22
/.,/.,P
puis,puis,60
",",",",p
la,le,52
voyant,voir,13
souvent,souvent,60
",",",",p
il,il,51
avait,avoir,18
laissé,laisser,12
germer,germer,14
dans,dans,81
son,son,73
coeur,coeur,21
cette,ce,74
graine,graine,22
",",",",p
cette,ce,74
petite,petit,30
graine,graine,22
de,de,81
tendresse,tendresse,22
qu',que,52
elles,ils,51
sèment,semer,17
en,en,81
nous,nous,51
si,si,60
vite,vite,60
",",",",p
et,et,82
qui,qui,52
pousse,pousser,17
si,si,60
grande,grand,30
/.,/.,P
et,et,82
maintenant,maintenant,60
",",",",p
depuis,depuis,81
une,un,71
heure,heure,22
surtout,surtout,60
",",",",p
il,il,51
commençait,commencer,18
à,à,81
se,se,51
sentir,sentir,14
possédé,possédé,31
",",",",p
à,à,81
sentir,sentir,14
en,en,81
lui,lui,51
cette,ce,74
présence,présence,22
constante,constant,30
de,de,81
l',le,71
absente,absente,22
qui,qui,52
est,être,17
le,le,71
premier,premier,72
signe,signe,21
de,de,81
l',le,71
amour,amour,21
/.,/.,P
il,il,51
allait,aller,18
sur,sur,81
la,le,71
route,route,22
",",",",p
hanté,hanté,31
par,par,81
le,le,71
souvenir,souvenir,21
de,de,81
son,son,73
regard,regard,21
",",",",p
par,par,81
le,le,71
son,son,21
de,de,81
sa,son,73
voix,voix,22
",",",",p
par,par,81
le,le,71
pli,pli,21
de,de,81
son,son,73
sourire,sourire,21
ou,ou,82
celui,celui,52
de,de,81
ses,son,73
larmes,larme,22
",",",",p
par,par,81
l',le,71
allure,allure,22
de,de,81
sa,son,73
démarche,démarche,22
",",",",p
même,même,60
par,par,81
la,le,71
couleur,couleur,22
et,et,82
le,le,71
frisson,frisson,21
de,de,81
sa,son,73
robe,robe,22
/.,/.,P
et,et,82
il,il,51
se,se,51
disait,dire,18
:,:,p
“,“,p
je,je,51
crois,croire,17
que,que,83
je,je,51
suis,être,17
pincé,pincer,12
/.,/.,P
je,je,51
me,je,51
connais,connaître,17
/.,/.,P
c',ce,52
est,être,17
embêtant,embêtant,30
",",",",p
cela,cela,52
/!,/!,P
je,je,51
ferais,faire,16
peut-être,peut-être,60
mieux,mieux,60
de,de,81
retourner,retourner,14
à,à,81
Paris,Paris,20
/.,/.,P
sacrebleu,sacrebleu,93
",",",",p
c',ce,52
est,être,17
une,un,71
jeune,jeune,30
fille,fille,22
/.,/.,P
je,je,51
ne,ne,60
peux,pouvoir,17
pourtant,pourtant,60
pas,pas,60
en,en,52
faire,faire,14
ma,mon,73
maîtresse,maîtresse,22
/.,/.,P
“,“,p
puis,puis,60
",",",",p
il,il,51
se,se,51
mettait,mettre,18
à,à,81
songer,songer,14
à,à,81
elle,il,51
",",",",p
ainsi,ainsi,60
qu',que,83
il,il,51
songeait,songer,18
à,à,81
Christiane,Christiane,20
l',le,71
année,année,22
d',de,81
avant,avant,21
/.,/.,P
comme,comme,83
elle,il,51
était,être,18
aussi,aussi,60
",",",",p
celle-là,celui-là,52
",",",",p
différente,différent,30
de,de,81
toutes,tout,75
les,le,71
femmes,femme,22
qu',que,83
il,il,51
avait,avoir,18
connues,connaître,12
",",",",p
nées,né,31
et,et,82
grandies,grandir,12
à,à,81
la,le,71
ville,ville,22
",",",",p
différente,différent,30
même,même,60
des,de,81
des,le,71
jeunes,jeune,30
filles,fille,22
instruites,instruit,31
dès,dès,81
l',le,71
enfance,enfance,22
par,par,81
la,le,71
coquetterie,coquetterie,22
maternelle,maternel,30
ou,ou,82
par,par,81
la,le,71
coquetterie,coquetterie,22
qui,qui,52
passe,passer,17
dans,dans,81
la,le,71
rue,rue,22
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
rien,rien,52
du,de,81
du,le,71
factice,factice,30
de,de,81
la,le,71
femme,femme,22
préparée,préparé,31
pour,pour,81
la,le,71
séduction,séduction,22
",",",",p
rien,rien,52
d',de,81
appris,appris,31
dans,dans,81
les,le,71
paroles,parole,22
",",",",p
rien,rien,52
de,de,81
convenu,convenu,31
dans,dans,81
le,le,71
geste,geste,21
",",",",p
rien,rien,52
de,de,81
faux,faux,30
dans,dans,81
le,le,71
regard,regard,21
/.,/.,P
non,non,60
seulement,seulement,60
c',ce,52
était,être,18
un,un,71
être,être,14
neuf,neuf,30
et,et,82
pur,pur,30
",",",",p
mais,mais,82
il,il,51
sortait,sortir,18
d',de,81
une,un,71
race,race,22
primitive,primitif,30
",",",",p
c',ce,52
était,être,18
une,un,71
vraie,vrai,30
fille,fille,22
de,de,81
la,le,71
terre,terre,22
au,à,81
au,le,71
moment,moment,21
où,où,60
elle,il,51
allait,aller,18
devenir,devenir,14
une,un,71
femme,femme,22
des,de,81
des,le,71
cités,cité,22
/.,/.,P
et,et,82
il,il,51
s',se,51
exaltait,exalter,18
",",",",p
plaidant,plaider,13
pour,pour,81
elle,il,51
contre,contre,81
cette,ce,74
vague,vague,30
résistance,résistance,22
qu',que,52
il,il,51
sentait,sentir,18
encore,encore,60
en,en,81
lui,lui,51
/.,/.,P
des,de,81
des,le,71
figures,figure,22
de,de,81
romans,roman,21
poétiques,poétique,30
lui,lui,51
passaient,passer,18
devant,devant,81
les,le,71
yeux,oeil,21
",",",",p
des,de,81
des,le,71
créations,création,22
de,de,81
Walter,Walter,20
Scott,Scott,20
",",",",p
de,de,81
Dickens,Dickens,20
ou,ou,82
de,de,81
George,George,20
Sand,Sand,20
qui,qui,52
excitaient,exciter,18
davantage,davantage,60
son,son,73
imagination,imagination,22
toujours,toujours,60
fouettée,fouetté,31
par,par,81
les,le,71
femmes,femme,22
/.,/.,P
Gontran,Gontran,20
le,le,52
jugeait,juger,18
ainsi,ainsi,60
:,:,p
“,“,p
Paul,Paul,20
!,!,p
c',ce,52
est,être,17
un,un,71
cheval,cheval,21
emballé,emballé,31
avec,avec,81
un,un,71
amour,amour,21
sur,sur,81
le,le,71
dos,dos,21
/.,/.,P
quand,quand,83
il,il,51
en,en,52
jette,jeter,17
un,un,52
par,par,81
terre,terre,22
",",",",p
un,un,71
autre,autre,52
lui,lui,51
saute,sauter,17
dessus,dessus,60
/.,/.,P
“,“,p
mais,mais,82
Brétigny,Brétigny,20
s',se,51
aperçut,apercevoir,19
que,que,83
le,le,71
soir,soir,21
venait,venir,18
/.,/.,P
il,il,51
avait,avoir,18
marché,marcher,12
longtemps,longtemps,60
/.,/.,P
il,il,51
rentra,rentrer,19
/.,/.,P
en,en,81
passant,passer,13
devant,devant,81
les,le,71
nouveaux,nouveau,30
bains,bain,21
",",",",p
il,il,51
vit,voir,19
Andermatt,Andermatt,20
et,et,82
les,le,71
deux,deux,72
Oriol,Oriol,20
",",",",p
arpentant,arpenter,13
les,le,71
vignes,vigne,22
et,et,82
les,le,52
mesurant,mesurer,13
;,;,p
et,et,82
il,il,51
comprit,comprendre,19
à,à,81
leurs,leur,73
gestes,geste,21
qu',que,83
ils,ils,51
discutaient,discuter,18
avec,avec,81
agitation,agitation,22
/.,/.,P
une,un,71
heure,heure,22
plus,plus,60
tard,tard,60
",",",",p
Will,Will,20
",",",",p
entrant,entrer,13
dans,dans,81
le,le,71
salon,salon,21
où,où,60
la,le,71
famille,famille,22
entière,entier,30
était,être,18
réunie,réunir,12
",",",",p
dit,dit,31
au,à,81
au,le,71
marquis,marquis,21
:,:,p
“,“,p
mon,mon,73
cher,cher,30
beau-père,beau-père,21
",",",",p
je,je,51
vous,vous,51
annonce,annoncer,17
que,que,83
votre,votre,73
fils,fils,21
Gontran,Gontran,20
va,aller,17
épouser,épouser,14
",",",",p
dans,dans,81
six,six,72
semaines,semaine,22
ou,ou,82
deux,deux,72
mois,mois,21
",",",",p
mademoiselle,mademoiselle,22
Louise,Louise,20
Oriol,Oriol,20
/.,/.,P
“,“,p
monsieur,monsieur,21
de,de,81
Ravenel,Ravenel,20
fut,être,19
effaré,effarer,12
:,:,p
“,“,p
Gontran,Gontran,20
/?,/?,P
vous,vous,51
dites,dire,17
/?,/?,P
je,je,51
dis,dire,17
qu',que,83
il,il,51
épousera,épouser,15
",",",",p
dans,dans,81
six,six,72
semaines,semaine,22
ou,ou,82
deux,deux,72
mois,mois,21
",",",",p
avec,avec,81
votre,votre,73
consentement,consentement,21
",",",",p
mademoiselle,mademoiselle,22
Louise,Louise,20
Oriol,Oriol,20
",",",",p
qui,qui,52
sera,être,15
fort,fort,60
riche,riche,30
/.,/.,P
“,“,p
alors,alors,60
le,le,71
marquis,marquis,21
dit,dire,19
simplement,simplement,60
:,:,p
“,“,p
mon,mon,73
dieu,dieu,21
",",",",p
si,si,83
cela,cela,52
lui,lui,51
plaît,plaire,17
",",",",p
je,je,51
veux,vouloir,17
bien,bien,60
",",",",p
moi,moi,51
/.,/.,P
“,“,p
et,et,82
le,le,71
banquier,banquier,21
raconta,raconter,19
sa,son,73
démarche,démarche,22
auprès,auprès,60
du,de,81
du,le,71
vieux,vieux,30
paysan,paysan,21
/.,/.,P
aussitôt,aussitôt,60
prévenu,prévenu,31
par,par,81
le,le,71
comte,comte,21
que,que,52
la,le,71
jeune,jeune,30
fille,fille,22
consentirait,consentir,16
",",",",p
il,il,51
voulut,vouloir,19
enlever,enlever,14
",",",",p
séance,séance,22
tenante,tenant,30
",",",",p
l',le,71
