-
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-cinquième extrait>,<>,<>
",",",",p
dit,dire,19
Goriot,Goriot,20
d',de,81
une,un,71
voix,voix,22
faible,faible,30
",",",",p
pourquoi,pourquoi,60
votre,votre,73
union,union,22
est,être,17
elle,il,51
due,devoir,12
au,à,81
au,le,71
malheur,malheur,21
/?,/?,P
pour,pour,81
sauver,sauver,14
la,le,71
vie,vie,22
de,de,81
Maxime,Maxime,20
",",",",p
enfin,enfin,60
pour,pour,81
sauver,sauver,14
tout,tout,75
mon,mon,73
bonheur,bonheur,21
",",",",p
reprit,reprendre,19
la,le,71
comtesse,comtesse,22
encouragée,encouragé,31
par,par,81
ces,ce,74
témoignages,témoignage,21
d',de,81
une,un,71
tendresse,tendresse,22
chaude,chaud,30
et,et,82
palpitante,palpitant,30
",",",",p
j',je,51
ai,avoir,17
porté,porter,12
chez,chez,81
cet,ce,74
usurier,usurier,21
que,que,52
vous,vous,51
connaissez,connaître,17
",",",",p
un,un,71
homme,homme,21
fabriqué,fabriqué,31
par,par,81
l',le,71
enfer,enfer,21
",",",",p
que,que,83
rien,rien,52
ne,ne,60
peut,pouvoir,17
attendrir,attendrir,14
",",",",p
ce,ce,74
monsieur,monsieur,21
Gobseck,Gobseck,20
",",",",p
les,le,71
diamants,diamant,21
de,de,81
famille,famille,22
auxquels,à,81
auxquels,lequel,52
tient,tenir,17
tant,tant,60
monsieur,monsieur,21
de,de,81
Restaud,Restaud,20
",",",",p
les,le,71
siens,sien,52
",",",",p
les,le,71
miens,mien,52
",",",",p
tout,tout,52
",",",",p
je,je,51
les,le,52
ai,avoir,17
vendus,vendre,12
/.,/.,P
vendus,vendu,31
!,!,p
comprenez,comprendre,17
vous,vous,51
?,?,p
il,il,51
a,avoir,17
été,être,12
sauvé,sauver,12
/!,/!,P
mais,mais,82
",",",",p
moi,moi,51
",",",",p
je,je,51
suis,être,17
morte,mourir,12
/.,/.,P
Restaud,Restaud,20
a,avoir,17
tout,tout,52
su,savoir,12
/.,/.,P
-,-,p
par,par,81
qui,qui,52
?,?,p
comment,comment,60
/?,/?,P
que,que,52
je,je,51
le,le,52
tue,tuer,17
!,!,p
cria,crier,19
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
-,-,p
hier,hier,60
",",",",p
il,il,51
m',je,51
a,avoir,17
fait,faire,12
appeler,appeler,14
dans,dans,81
sa,son,73
chambre,chambre,22
/.,/.,P
j',je,51
y,y,52
suis,être,17
allée,aller,12
/…,/…,P
“,“,p
Anastasie,Anastasie,20
",",",",p
m',je,51
a,avoir,17
t,t,94
il,il,51
dit,dire,12
d',de,81
une,un,71
voix,voix,22
/…,/…,P
(,(,p
oh,oh,93
!,!,p
sa,son,73
voix,voix,22
a,avoir,17
suffi,suffire,12
",",",",p
j',je,51
ai,avoir,17
tout,tout,52
deviné,deviner,12
),),p
",",",",p
où,où,60
sont,être,17
vos,votre,73
diamants,diamant,21
/?,/?,P
chez,chez,81
moi,moi,51
/.,/.,P
“,“,p
non,non,60
",",",",p
m',je,51
a,avoir,17
t,t,94
il,il,51
dit,dire,12
en,en,81
me,je,51
regardant,regarder,13
",",",",p
ils,ils,51
sont,être,17
là,là,60
",",",",p
sur,sur,81
ma,mon,73
commode,commode,22
/.,/.,P
“,“,p
et,et,82
il,il,51
m',je,51
a,avoir,17
montré,montrer,12
l',le,71
écrin,écrin,21
qu',que,52
il,il,51
avait,avoir,18
couvert,couvrir,12
de,de,81
son,son,73
mouchoir,mouchoir,21
/.,/.,P
“,“,p
vous,vous,51
savez,savoir,17
d',de,81
où,où,60
ils,ils,51
viennent,venir,17
?,?,p
m',je,51
a,avoir,17
t,t,94
il,il,51
dit,dire,12
/.,/.,P
je,je,51
suis,être,17
tombée,tomber,12
à,à,81
ses,son,73
genoux,genou,21
…,…,p
j',je,51
ai,avoir,17
pleuré,pleurer,12
",",",",p
je,je,51
lui,lui,51
ai,avoir,17
demandé,demander,12
de,de,81
quelle,quel,75
mort,mort,22
il,il,51
voulait,vouloir,18
me,je,51
voir,voir,14
mourir,mourir,14
/.,/.,P
-,-,p
tu,tu,51
as,avoir,17
dit,dire,12
cela,cela,52
!,!,p
s',se,51
écria,écrier,19
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
par,par,81
le,le,71
sacré,sacré,31
nom,nom,21
de,de,81
dieu,dieu,21
",",",",p
celui,celui,52
qui,qui,52
vous,vous,51
fera,faire,15
mal,mal,60
à,à,81
l',le,71
une,un,52
ou,ou,82
à,à,81
l',le,71
autre,autre,52
",",",",p
tant,tant,60
que,que,83
je,je,51
serai,être,16
vivant,vivant,30
",",",",p
peut,pouvoir,17
être,être,14
sûr,sûr,30
que,que,83
je,je,51
le,le,52
brûlerai,brûler,15
à,à,81
petit,petit,30
feu,feu,21
/!,/!,P
oui,oui,60
",",",",p
je,je,51
le,le,52
déchiquetterai,déchiqueter,15
comme,comme,83
/…,/…,P
le,le,71
père,père,21
Goriot,Goriot,20
se,se,51
tut,taire,19
",",",",p
les,le,71
mots,mot,21
expiraient,expirer,18
dans,dans,81
sa,son,73
gorge,gorge,22
/.,/.,P
enfin,enfin,60
",",",",p
ma,mon,73
chère,cher,30
",",",",p
il,il,51
m',je,51
a,avoir,17
demandé,demander,12
quelque,quelque,75
chose,chose,22
de,de,81
plus,plus,60
difficile,difficile,30
à,à,81
faire,faire,14
que,que,83
de,de,81
mourir,mourir,14
/.,/.,P
le,le,71
ciel,ciel,21
préserve,préserver,17
toute,tout,75
femme,femme,22
d',de,81
entendre,entendre,14
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
entendu,entendre,12
/!,/!,P
j',je,51
assassinerai,assassiner,15
cet,ce,74
homme,homme,21
",",",",p
dit,dire,19
le,le,71
père,père,21
Goriot,Goriot,20
tranquillement,tranquillement,60
/.,/.,P
mais,mais,82
il,il,51
n',ne,60
a,avoir,17
qu',que,83
une,un,71
vie,vie,22
",",",",p
et,et,82
il,il,51
m',je,51
en,en,52
doit,devoir,17
deux,deux,72
/.,/.,P
enfin,enfin,60
",",",",p
quoi,quoi,52
?,?,p
reprit,reprendre,19
il,il,51
en,en,81
regardant,regarder,13
Anastasie,Anastasie,20
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
dit,dire,19
la,le,71
comtesse,comtesse,22
en,en,81
continuant,continuer,13
après,après,81
une,un,71
pause,pause,22
",",",",p
il,il,51
m',je,51
a,avoir,17
regardée,regarder,12
:,:,p
“,“,p
Anastasie,Anastasie,20
",",",",p
m',je,51
a,avoir,17
t,t,94
il,il,51
dit,dire,12
",",",",p
j',je,51
ensevelis,ensevelir,17
tout,tout,52
dans,dans,81
le,le,71
silence,silence,21
",",",",p
nous,nous,51
resterons,rester,15
ensemble,ensemble,60
",",",",p
nous,nous,51
avons,avoir,17
des,de,81
des,le,71
enfants,enfant,21
/.,/.,P
je,je,51
ne,ne,60
tuerai,tuer,15
pas,pas,60
monsieur,monsieur,21
de,de,81
Trailles,Trailles,20
",",",",p
je,je,51
pourrais,pouvoir,16
le,le,52
manquer,manquer,14
",",",",p
et,et,82
pour,pour,81
m',je,51
en,en,52
défaire,défaire,14
autrement,autrement,60
je,je,51
pourrais,pouvoir,16
me,je,51
heurter,heurter,14
contre,contre,81
la,le,71
justice,justice,22
humaine,humain,30
/.,/.,P
le,le,52
tuer,tuer,14
dans,dans,81
vos,votre,73
bras,bras,21
",",",",p
ce,ce,52
serait,être,16
déshonorer,déshonorer,14
les,le,71
enfants,enfant,21
/.,/.,P
mais,mais,82
pour,pour,81
ne,ne,60
voir,voir,14
périr,périr,14
ni,ni,82
vos,votre,73
enfants,enfant,21
",",",",p
ni,ni,82
leur,leur,73
père,père,21
",",",",p
ni,ni,82
moi,moi,51
",",",",p
je,je,51
vous,vous,51
impose,imposer,17
deux,deux,72
conditions,condition,22
/.,/.,P
répondez,répondre,17
:,:,p
ai,avoir,17
je,je,51
un,un,71
enfant,enfant,21
à,à,81
moi,moi,51
/?,/?,P
j',je,51
ai,avoir,17
dit,dire,12
oui,oui,60
/.,/.,P
“,“,p
lequel,lequel,52
?,?,p
a,avoir,17
t,t,94
il,il,51
demandé,demander,12
/.,/.,P
Ernest,Ernest,20
",",",",p
notre,notre,73
aîné,aîné,21
/.,/.,P
“,“,p
bien,bien,60
",",",",p
a,avoir,17
t,t,94
il,il,51
dit,dire,12
/.,/.,P
maintenant,maintenant,60
",",",",p
jurez,jurer,17
moi,moi,51
de,de,81
m',je,51
obéir,obéir,14
désormais,désormais,60
sur,sur,81
un,un,71
seul,seul,30
point,point,21
/.,/.,P
“,“,p
j',je,51
ai,avoir,17
juré,jurer,12
/.,/.,P
“,“,p
vous,vous,51
signerez,signer,15
la,le,71
vente,vente,22
de,de,81
vos,votre,73
biens,bien,21
quand,quand,83
je,je,51
vous,vous,51
le,le,52
demanderai,demander,15
/.,/.,P
“,“,p
-,-,p
ne,ne,60
signe,signer,17
pas,pas,60
",",",",p
cria,crier,19
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
ne,ne,60
signe,signer,17
jamais,jamais,60
cela,cela,52
/.,/.,P
ah,ah,93
!,!,p
ah,ah,93
!,!,p
monsieur,monsieur,21
de,de,81
Restaud,Restaud,20
",",",",p
vous,vous,51
ne,ne,60
savez,savoir,17
pas,pas,60
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
de,de,81
rendre,rendre,14
une,un,71
femme,femme,22
heureuse,heureux,30
",",",",p
elle,il,51
va,aller,17
chercher,chercher,14
le,le,71
bonheur,bonheur,21
là,là,60
où,où,60
il,il,51
est,être,17
",",",",p
et,et,82
vous,vous,51
la,le,52
punissez,punir,17
de,de,81
votre,votre,73
niaise,niais,30
impuissance,impuissance,22
?,?,p
…,…,p
je,je,51
suis,être,17
là,là,60
",",",",p
moi,moi,51
",",",",p
halte,halte,22
là,là,60
!,!,p
il,il,51
me,je,51
trouvera,trouver,15
dans,dans,81
sa,son,73
route,route,22
/.,/.,P
Nasie,Nasie,20
",",",",p
sois,être,17
en,en,81
repos,repos,21
/.,/.,P
ah,ah,93
",",",",p
il,il,51
tient,tenir,17
à,à,81
son,son,73
héritier,héritier,21
!,!,p
bon,bon,60
",",",",p
bon,bon,60
/.,/.,P
je,je,51
lui,lui,51
empoignerai,empoigner,15
son,son,73
fils,fils,21
",",",",p
qui,qui,52
",",",",p
sacré,sacré,31
tonnerre,tonnerre,21
",",",",p
est,être,17
mon,mon,73
petit-fils,petit-fils,21
/.,/.,P
je,je,51
puis,pouvoir,17
bien,bien,60
le,le,52
voir,voir,14
",",",",p
ce,ce,74
marmot,marmot,21
?,?,p
je,je,51
le,le,52
mets,mettre,17
dans,dans,81
mon,mon,73
village,village,21
",",",",p
j',je,51
en,en,52
aurai,avoir,15
soin,soin,21
",",",",p
sois,être,17
bien,bien,60
tranquille,tranquille,30
/.,/.,P
je,je,51
le,le,52
ferai,faire,15
capituler,capituler,14
",",",",p
ce,ce,74
monstre,monstre,21
là,là,60
",",",",p
en,en,81
lui,lui,51
disant,dire,13
:,:,p
à,à,81
nous,nous,51
deux,deux,72
/!,/!,P
si,si,83
tu,tu,51
veux,vouloir,17
avoir,avoir,14
ton,ton,73
fils,fils,21
",",",",p
rends,rendre,17
à,à,81
ma,mon,73
fille,fille,22
son,son,73
bien,bien,21
",",",",p
et,et,82
laisse,laisser,17
la,le,52
se,se,51
conduire,conduire,14
à,à,81
sa,son,73
guise,guise,22
/.,/.,P
-,-,p
mon,mon,73
père,père,21
/!,/!,P
oui,oui,60
",",",",p
ton,ton,73
père,père,21
/!,/!,P
ah,ah,93
!,!,p
je,je,51
suis,être,17
un,un,71
vrai,vrai,30
père,père,21
/.,/.,P
que,que,52
ce,ce,74
drôle,drôle,30
de,de,81
grand,grand,30
seigneur,seigneur,21
ne,ne,60
maltraite,maltraiter,17
pas,pas,60
mes,mon,73
filles,fille,22
/.,/.,P
tonnerre,tonnerre,21
!,!,p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
dans,dans,81
les,le,71
veines,veine,22
/.,/.,P
j',je,51
y,y,52
ai,avoir,17
le,le,71
sang,sang,21
d',de,81
un,un,71
tigre,tigre,21
",",",",p
je,je,51
voudrais,vouloir,16
dévorer,dévorer,14
ces,ce,74
deux,deux,72
hommes,homme,21
/.,/.,P
o,oh,93
mes,mon,73
enfants,enfant,21
!,!,p
voilà,voilà,81
donc,donc,82
votre,votre,73
vie,vie,22
/?,/?,P
mais,mais,82
c',ce,52
est,être,17
ma,mon,73
mort,mort,22
/.,/.,P
que,que,52
deviendrez,devenir,15
vous,vous,51
donc,donc,82
quand,quand,83
je,je,51
ne,ne,60
serai,être,16
plus,plus,60
là,là,60
/?,/?,P
les,le,71
pères,père,21
devraient,devoir,16
vivre,vivre,14
autant,autant,60
que,que,83
leurs,leur,73
enfants,enfant,21
/.,/.,P
mon,mon,73
dieu,dieu,21
",",",",p
comme,comme,83
ton,ton,73
monde,monde,21
est,être,17
mal,mal,60
arrangé,arranger,12
/!,/!,P
et,et,82
tu,tu,51
as,avoir,17
un,un,71
fils,fils,21
cependant,cependant,82
",",",",p
à,à,81
ce,ce,52
qu',que,52
on,on,51
nous,nous,51
dit,dire,17
/.,/.,P
tu,tu,51
devrais,devoir,16
nous,nous,51
empêcher,empêcher,14
de,de,81
souffrir,souffrir,14
dans,dans,81
nos,notre,73
enfants,enfant,21
/.,/.,P
mes,mon,73
chers,cher,30
anges,ange,21
",",",",p
quoi,quoi,52
!,!,p
ce,ce,52
n',ne,60
est,être,17
qu',que,83
à,à,81
vos,votre,73
douleurs,douleur,22
que,que,52
je,je,51
dois,devoir,17
votre,votre,73
présence,présence,22
/.,/.,P
vous,vous,51
ne,ne,60
me,je,51
faites,faire,17
connaître,connaître,14
que,que,83
vos,votre,73
larmes,larme,22
/.,/.,P
eh,eh,93
bien,bien,60
",",",",p
oui,oui,60
",",",",p
vous,vous,51
m',je,51
aimez,aimer,17
",",",",p
je,je,51
le,le,52
vois,voir,17
/.,/.,P
venez,venir,17
",",",",p
venez,venir,17
vous,vous,51
plaindre,plaindre,14
ici,ici,60
!,!,p
mon,mon,73
coeur,coeur,21
est,être,17
grand,grand,30
",",",",p
il,il,51
peut,pouvoir,17
tout,tout,52
recevoir,recevoir,14
/.,/.,P
oui,oui,60
",",",",p
vous,vous,51
aurez,avoir,15
beau,beau,60
le,le,52
percer,percer,14
",",",",p
les,le,71
lambeaux,lambeau,21
feront,faire,15
encore,encore,60
des,de,81
des,le,71
coeurs,coeur,21
de,de,81
père,père,21
/.,/.,P
je,je,51
voudrais,vouloir,16
prendre,prendre,14
vos,votre,73
peines,peine,22
",",",",p
souffrir,souffrir,14
pour,pour,81
vous,vous,51
/.,/.,P
ah,ah,93
!,!,p
quand,quand,83
vous,vous,51
étiez,être,18
petites,petit,30
",",",",p
vous,vous,51
étiez,être,18
bien,bien,60
heureuses,heureux,30
/…,/…,P
-,-,p
nous,nous,51
n',ne,60
avons,avoir,17
eu,avoir,12
que,que,83
ce,ce,74
temps,temps,21
là,là,60
de,de,81
bon,bon,30
",",",",p
dit,dire,19
Delphine,Delphine,20
/.,/.,P
où,où,60
sont,être,17
les,le,71
moments,moment,21
où,où,60
nous,nous,51
dégringolions,dégringoler,18
du,de,81
du,le,71
haut,haut,21
des,de,81
des,le,71
sacs,sac,21
dans,dans,81
le,le,71
grand,grand,30
grenier,grenier,21
/?,/?,P
mon,mon,73
père,père,21
!,!,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
tout,tout,52
",",",",p
dit,dire,19
Anastasie,Anastasie,20
à,à,81
l',le,71
oreille,oreille,22
de,de,81
Goriot,Goriot,20
qui,qui,52
fit,faire,19
un,un,71
bond,bond,21
/.,/.,P
les,le,71
diamants,diamant,21
n',ne,60
ont,avoir,17
pas,pas,60
été,être,12
vendus,vendre,12
cent,cent,72
mille,mille,72
francs,franc,21
/.,/.,P
Maxime,Maxime,20
est,être,17
poursuivi,poursuivre,12
/.,/.,P
nous,nous,51
n',ne,60
avons,avoir,17
plus,plus,60
que,que,83
douze,douze,72
mille,mille,72
francs,franc,21
à,à,81
payer,payer,14
/.,/.,P
il,il,51
m',je,51
a,avoir,17
promis,promettre,12
d',de,81
être,être,14
sage,sage,30
",",",",p
de,de,81
ne,ne,60
plus,plus,60
jouer,jouer,14
/.,/.,P
il,il,51
ne,ne,60
me,je,51
reste,rester,17
plus,plus,60
au,à,81
au,le,71
monde,monde,21
que,que,83
son,son,73
amour,amour,21
",",",",p
et,et,82
je,je,51
l',le,52
ai,avoir,17
payé,payer,12
trop,trop,60
cher,cher,60
pour,pour,81
ne,ne,60
pas,pas,60
mourir,mourir,14
s',si,83
il,il,51
m',je,51
échappait,échapper,18
/.,/.,P
je,je,51
lui,lui,51
ai,avoir,17
sacrifié,sacrifier,12
fortune,fortune,22
",",",",p
honneur,honneur,21
",",",",p
repos,repos,21
",",",",p
enfants,enfant,21
/.,/.,P
oh,oh,93
!,!,p
faites,faire,17
qu',que,83
au,à,81
au,le,71
moins,moins,60
Maxime,Maxime,20
soit,être,17
libre,libre,30
",",",",p
honoré,honorer,12
",",",",p
qu',que,83
il,il,51
puisse,pouvoir,17
demeurer,demeurer,14
dans,dans,81
le,le,71
monde,monde,21
où,où,60
il,il,51
saura,savoir,15
se,se,51
faire,faire,14
une,un,71
position,position,22
/.,/.,P
maintenant,maintenant,60
il,il,51
ne,ne,60
me,je,51
doit,devoir,17
pas,pas,60
que,que,83
le,le,71
bonheur,bonheur,21
",",",",p
nous,nous,51
avons,avoir,17
des,de,81
des,le,71
enfants,enfant,21
qui,qui,52
seraient,être,16
sans,sans,81
fortune,fortune,22
/.,/.,P
tout,tout,52
sera,être,15
perdu,perdre,12
s',si,83
il,il,51
est,être,17
mis,mettre,12
à,à,81
sainte,saint,30
Pélagie,Pélagie,20
/.,/.,P
-,-,p
je,je,51
ne,ne,60
les,le,52
ai,avoir,17
pas,pas,60
",",",",p
Nasie,Nasie,20
/.,/.,P
plus,plus,60
",",",",p
plus,plus,60
rien,rien,52
",",",",p
plus,plus,60
rien,rien,52
/!,/!,P
c',ce,52
est,être,17
la,le,71
fin,fin,22
du,de,81
du,le,71
monde,monde,21
/.,/.,P
oh,oh,93
!,!,p
le,le,71
monde,monde,21
va,aller,17
crouler,crouler,14
",",",",p
c',ce,52
est,être,17
sûr,sûr,30
/.,/.,P
allez,aller,17
vous,vous,51
en,en,52
",",",",p
sauvez,sauver,17
vous,vous,51
avant,avant,81
/!,/!,P
ah,ah,93
!,!,p
j',je,51
ai,avoir,17
encore,encore,60
mes,mon,73
boucles,boucle,22
d',de,81
argent,argent,21
",",",",p
six,six,72
couverts,couvert,21
",",",",p
les,le,71
premiers,premier,72
que,que,52
j',je,51
aie,avoir,17
eus,avoir,12
dans,dans,81
ma,mon,73
vie,vie,22
/.,/.,P
enfin,enfin,60
",",",",p
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
que,que,83
douze,douze,72
cents,cent,72
francs,franc,21
de,de,81
rente,rente,22
viagère,viager,30
/…,/…,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
donc,donc,82
fait,faire,12
de,de,81
vos,votre,73
rentes,rente,22
perpétuelles,perpétuel,30
/?,/?,P
je,je,51
les,le,52
ai,avoir,17
vendues,vendre,12
en,en,81
me,je,51
réservant,réserver,13
ce,ce,74
petit,petit,30
bout,bout,21
de,de,81
revenu,revenu,21
pour,pour,81
mes,mon,73
besoins,besoin,21
/.,/.,P
il,il,51
me,je,51
fallait,falloir,18
douze,douze,72
mille,mille,72
francs,franc,21
pour,pour,81
arranger,arranger,14
un,un,71
appartement,appartement,21
à,à,81
Fifine,Fifine,20
/.,/.,P
-,-,p
chez,chez,81
toi,toi,51
",",",",p
Delphine,Delphine,20
?,?,p
dit,dire,19
madame,madame,22
de,de,81
Restaud,Restaud,20
à,à,81
sa,son,73
soeur,soeur,22
/.,/.,P
-,-,p
oh,oh,93
!,!,p
qu',que,52
est,être,17
ce,ce,52
que,que,83
cela,cela,52
fait,faire,17
!,!,p
reprit,reprendre,19
le,le,71
père,père,21
Goriot,Goriot,20
",",",",p
les,le,71
douze,douze,72
mille,mille,72
francs,franc,21
sont,être,17
employés,employer,12
/.,/.,P
-,-,p
je,je,51
devine,deviner,17
",",",",p
dit,dire,19
la,le,71
comtesse,comtesse,22
/.,/.,P
pour,pour,81
monsieur,monsieur,21
de,de,81
Rastignac,Rastignac,20
/.,/.,P
ah,ah,93
!,!,p
ma,mon,73
pauvre,pauvre,30
Delphine,Delphine,20
",",",",p
arrête,arrêter,17
toi,toi,51
/.,/.,P
vois,voir,17
où,où,60
j',je,51
en,en,52
suis,être,17
/.,/.,P
-,-,p
ma,mon,73
chère,cher,30
",",",",p
monsieur,monsieur,21
de,de,81
Rastignac,Rastignac,20
est,être,17
un,un,71
jeune,jeune,30
homme,homme,21
incapable,incapable,30
de,de,81
ruiner,ruiner,14
sa,son,73
maîtresse,maîtresse,22
/.,/.,P
-,-,p
merci,merci,21
",",",",p
Delphine,Delphine,20
/.,/.,P
dans,dans,81
la,le,71
crise,crise,22
où,où,60
je,je,51
me,je,51
trouve,trouver,17
",",",",p
j',je,51
attendais,attendre,18
mieux,mieux,60
de,de,81
toi,toi,51
mais,mais,82
tu,tu,51
ne,ne,60
m',je,51
as,avoir,17
jamais,jamais,60
aimée,aimer,12
/.,/.,P
-,-,p
si,si,60
",",",",p
elle,il,51
t',tu,51
aime,aimer,17
",",",",p
Nasie,Nasie,20
",",",",p
cria,crier,19
le,le,71
père,père,21
Goriot,Goriot,20
",",",",p
elle,il,51
me,je,51
le,le,52
disait,dire,18
tout,tout,60
à,à,81
l',le,71
heure,heure,22
/.,/.,P
nous,nous,51
parlions,parler,18
de,de,81
toi,toi,51
",",",",p
elle,il,51
me,je,51
soutenait,soutenir,18
que,que,83
tu,tu,51
étais,être,18
belle,beau,30
et,et,82
qu',que,83
elle,il,51
n',ne,60
était,être,18
que,que,83
jolie,joli,30
",",",",p
elle,il,51
/!,/!,P
elle,il,51
!,!,p
répéta,répéter,19
la,le,71
comtesse,comtesse,22
",",",",p
elle,il,51
est,être,17
d',de,81
un,un,71
beau,beau,30
froid,froid,21
/.,/.,P
-,-,p
quand,quand,83
cela,cela,52
serait,être,16
",",",",p
dit,dire,12
Delphine,Delphine,20
en,en,81
rougissant,rougir,13
",",",",p
comment,comment,60
t',tu,51
es,être,17
tu,tu,51
comportée,comporter,12
envers,envers,81
moi,moi,51
/?,/?,P
tu,tu,51
m',je,51
as,avoir,17
reniée,renier,12
",",",",p
tu,tu,51
m',je,51
as,avoir,17
fait,faire,12
fermer,fermer,14
les,le,71
portes,porte,22
de,de,81
toutes,tout,75
les,le,71
maisons,maison,22
où,où,60
je,je,51
souhaitais,souhaiter,18
aller,aller,14
",",",",p
enfin,enfin,60
tu,tu,51
n',ne,60
as,avoir,17
jamais,jamais,60
manqué,manquer,12
la,le,71
moindre,moindre,30
occasion,occasion,22
de,de,81
me,je,51
causer,causer,14
de,de,81
la,le,71
peine,peine,22
/.,/.,P
et,et,82
moi,moi,51
",",",",p
suis,être,17
je,je,51
venue,venir,12
",",",",p
comme,comme,83
toi,toi,51
",",",",p
soutirer,soutirer,14
à,à,81
ce,ce,74
pauvre,pauvre,30
père,père,21
",",",",p
mille,mille,72
francs,franc,21
à,à,81
mille,mille,72
francs,franc,21
",",",",p
sa,son,73
fortune,fortune,22
",",",",p
et,et,82
le,le,52
réduire,réduire,14
dans,dans,81
l',le,71
état,état,21
où,où,60
il,il,51
est,être,17
/?,/?,P
voilà,voilà,81
ton,ton,73
ouvrage,ouvrage,21
",",",",p
ma,mon,73
soeur,soeur,22
/.,/.,P
moi,moi,51
",",",",p
j',je,51
ai,avoir,17
vu,voir,12
mon,mon,73
père,père,21
tant,tant,60
que,que,83
j',je,51
ai,avoir,17
pu,pouvoir,12
",",",",p
je,je,51
ne,ne,60
l',le,52
ai,avoir,17
pas,pas,60
mis,mettre,12
à,à,81
la,le,71
porte,porte,22
",",",",p
et,et,82
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
venue,venir,12
lui,lui,51
lécher,lécher,14
les,le,71
mains,main,22
quand,quand,83
j',je,51
avais,avoir,18
besoin,besoin,21
de,de,81
lui,lui,51
/.,/.,P
je,je,51
ne,ne,60
savais,savoir,18
seulement,seulement,60
pas,pas,60
qu',que,83
il,il,51
eût,avoir,19
employé,employer,12
ces,ce,74
douze,douze,72
mille,mille,72
francs,franc,21
pour,pour,81
moi,moi,51
/.,/.,P
j',je,51
ai,avoir,17
de,de,81
l',le,71
ordre,ordre,21
",",",",p
moi,moi,51
!,!,p
tu,tu,51
le,le,52
sais,savoir,17
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
quand,quand,83
papa,papa,21
m',je,51
a,avoir,17
fait,faire,12
des,de,81
des,le,71
cadeaux,cadeau,21
",",",",p
je,je,51
ne,ne,60
les,le,52
ai,avoir,17
jamais,jamais,60
quêtés,quêter,12
/.,/.,P
-,-,p
tu,tu,51
étais,être,18
plus,plus,60
heureuse,heureux,30
que,que,83
moi,moi,51
:,:,p
monsieur,monsieur,21
de,de,81
Marsay,Marsay,20
était,être,18
riche,riche,30
",",",",p
tu,tu,51
en,en,52
sais,savoir,17
quelque,quelque,75
chose,chose,22
/.,/.,P
tu,tu,51
as,avoir,17
toujours,toujours,60
été,être,12
vilaine,vilain,30
comme,comme,83
l',le,71
or,or,21
/.,/.,P
adieu,adieu,21
",",",",p
je,je,51
n',ne,60
ai,avoir,17
ni,ni,82
soeur,soeur,22
",",",",p
ni,ni,82
/…,/…,P
-,-,p
tais,taire,17
toi,toi,51
",",",",p
Nasie,Nasie,20
!,!,p
cria,crier,19
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
-,-,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
qu',que,83
une,un,71
soeur,soeur,22
comme,comme,83
toi,toi,51
qui,qui,52
puisse,pouvoir,17
répéter,répéter,14
ce,ce,52
que,que,52
le,le,71
monde,monde,21
ne,ne,60
croit,croire,17
plus,plus,60
",",",",p
tu,tu,51
es,être,17
un,un,71
monstre,monstre,21
",",",",p
lui,lui,51
dit,dire,19
Delphine,Delphine,20
/.,/.,P
-,-,p
mes,mon,73
enfants,enfant,21
",",",",p
mes,mon,73
enfants,enfant,21
",",",",p
taisez,taire,17
vous,vous,51
",",",",p
ou,ou,82
je,je,51
me,je,51
tue,tuer,17
devant,devant,81
vous,vous,51
/.,/.,P
-,-,p
va,aller,17
",",",",p
Nasie,Nasie,20
",",",",p
je,je,51
te,tu,51
pardonne,pardonner,17
",",",",p
dit,dire,19
madame,madame,22
de,de,81
Nucingen,Nucingen,20
en,en,81
continuant,continuer,13
",",",",p
tu,tu,51
es,être,17
malheureuse,malheureux,30
/.,/.,P
mais,mais,82
je,je,51
suis,être,17
meilleure,meilleur,30
que,que,83
tu,tu,51
ne,ne,60
l',le,52
es,être,17
/.,/.,P
me,je,51
dire,dire,14
cela,cela,52
au,à,81
au,le,71
moment,moment,21
où,où,60
je,je,51
me,je,51
sentais,sentir,18
capable,capable,30
de,de,81
tout,tout,52
pour,pour,81
te,tu,51
secourir,secourir,14
",",",",p
même,même,60
d',de,81
entrer,entrer,14
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
mon,mon,73
mari,mari,21
",",",",p
ce,ce,52
que,que,52
je,je,51
ne,ne,60
ferais,faire,16
ni,ni,82
pour,pour,81
moi,moi,51
ni,ni,82
pour,pour,81
/…,/…,P
ceci,ceci,52
est,être,17
