11735
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatrième extrait>,<>,<>
rendit,rendre,19
ensuite,ensuite,60
le,le,71
service,service,21
d',de,81
emmener,emmener,14
tout,tout,75
le,le,71
monde,monde,21
",",",",p
sous,sous,81
prétexte,prétexte,21
de,de,81
conduire,conduire,14
dans,dans,81
la,le,71
cour,cour,22
les,le,71
quatre,quatre,72
prisonniers,prisonnier,21
qui,qui,52
étaient,être,18
là,là,60
/.,/.,P
quand,quand,83
Pierre,Pierre,20
fut,être,19
seul,seul,30
avec,avec,81
son,son,73
frère,frère,21
",",",",p
il,il,51
sentit,sentir,19
tout,tout,75
son,son,73
aplomb,aplomb,21
lui,lui,51
revenir,revenir,14
/.,/.,P
il,il,51
reprit,reprendre,19
:,:,p
-,-,p
vous,vous,51
ne,ne,60
m',je,51
attendiez,attendre,17
guère,guère,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
je,je,51
comprends,comprendre,17
maintenant,maintenant,60
:,:,p
vous,vous,51
deviez,devoir,18
avoir,avoir,14
dressé,dresser,12
quelque,quelque,75
guet-apens,guet-apens,21
chez,chez,81
moi,moi,51
/.,/.,P
malheureux,malheureux,30
!,!,p
voyez,voir,17
où,où,60
vous,vous,51
ont,avoir,17
conduit,conduire,12
vos,votre,73
vices,vice,21
et,et,82
vos,votre,73
désordres,désordre,21
/!,/!,P
Macquart,Macquart,20
haussa,hausser,19
les,le,71
épaules,épaule,22
/.,/.,P
-,-,p
tenez,tenir,17
",",",",p
répondit,répondre,19
il,il,51
",",",",p
fichez,ficher,17
moi,moi,51
la,le,71
paix,paix,22
/.,/.,P
vous,vous,51
êtes,être,17
un,un,71
vieux,vieux,30
coquin,coquin,21
/.,/.,P
rira,rire,15
bien,bien,60
qui,qui,52
rira,rire,15
le,le,71
dernier,dernier,21
/.,/.,P
Rougon,Rougon,20
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
pas,pas,60
de,de,81
plan,plan,21
arrêté,arrêté,31
à,à,81
son,son,73
égard,égard,21
",",",",p
le,le,52
poussa,pousser,19
dans,dans,81
un,un,71
cabinet,cabinet,21
de,de,81
toilette,toilette,22
où,où,60
monsieur,monsieur,21
Garçonnet,Garçonnet,20
venait,venir,18
se,se,51
reposer,reposer,14
parfois,parfois,60
/.,/.,P
ce,ce,74
cabinet,cabinet,21
",",",",p
éclairé,éclairé,31
par,par,81
en,en,81
haut,haut,21
",",",",p
n',ne,60
avait,avoir,18
d',de,81
autre,autre,75
issue,issue,22
que,que,83
la,le,71
porte,porte,22
d',de,81
entrée,entrée,22
/.,/.,P
il,il,51
était,être,18
meublé,meubler,12
de,de,81
quelques,quelque,75
fauteuils,fauteuil,21
",",",",p
d',de,81
un,un,71
divan,divan,21
et,et,82
d',de,81
un,un,71
lavabo,lavabo,21
de,de,81
marbre,marbre,21
/.,/.,P
Pierre,Pierre,20
ferma,fermer,19
la,le,71
porte,porte,22
à,à,81
double,double,30
tour,tour,21
",",",",p
après,après,81
avoir,avoir,14
délié,délier,12
à,à,81
moitié,moitié,22
les,le,71
mains,main,22
de,de,81
son,son,73
frère,frère,21
/.,/.,P
on,on,51
entendit,entendre,19
ce,ce,74
dernier,dernier,21
se,se,51
jeter,jeter,14
sur,sur,81
le,le,71
divan,divan,21
",",",",p
et,et,82
il,il,51
entonna,entonner,19
le,le,71
ça,ça,52
ira,aller,15
!,!,p
d',de,81
une,un,71
voix,voix,22
formidable,formidable,30
",",",",p
comme,comme,83
pour,pour,81
se,se,51
bercer,bercer,14
/.,/.,P
Rougon,Rougon,20
",",",",p
seul,seul,30
enfin,enfin,60
",",",",p
s',se,51
assit,asseoir,19
à,à,81
son,son,73
tour,tour,21
dans,dans,81
le,le,71
fauteuil,fauteuil,21
du,de,81
du,le,71
maire,maire,21
/.,/.,P
il,il,51
poussa,pousser,19
un,un,71
soupir,soupir,21
",",",",p
il,il,51
s',se,51
essuya,essuyer,19
le,le,71
front,front,21
/.,/.,P
que,que,52
la,le,71
conquête,conquête,22
de,de,81
la,le,71
fortune,fortune,22
et,et,82
des,de,81
des,le,71
honneurs,honneur,21
était,être,18
rude,rude,30
/!,/!,P
enfin,enfin,60
il,il,51
touchait,toucher,18
au,à,81
au,le,71
but,but,21
",",",",p
il,il,51
sentait,sentir,18
le,le,71
fauteuil,fauteuil,21
moelleux,moelleux,30
s',se,51
enfoncer,enfoncer,14
sous,sous,81
lui,lui,51
",",",",p
il,il,51
caressait,caresser,18
de,de,81
la,le,71
main,main,22
",",",",p
d',de,81
un,un,71
geste,geste,21
machinal,machinal,30
",",",",p
le,le,71
bureau,bureau,21
d',de,81
acajou,acajou,21
",",",",p
qu',que,52
il,il,51
trouvait,trouver,18
soyeux,soyeux,30
et,et,82
délicat,délicat,30
comme,comme,83
la,le,71
peau,peau,22
d',de,81
une,un,71
jolie,joli,30
femme,femme,22
/.,/.,P
et,et,82
il,il,51
se,se,51
carra,carrer,19
davantage,davantage,60
",",",",p
il,il,51
prit,prendre,19
la,le,71
pose,pose,22
digne,digne,30
que,que,52
Macquart,Macquart,20
avait,avoir,18
un,un,71
instant,instant,21
auparavant,auparavant,60
",",",",p
en,en,81
écoutant,écouter,13
la,le,71
lecture,lecture,22
de,de,81
la,le,71
proclamation,proclamation,22
/.,/.,P
autour,autour,60
de,de,81
lui,lui,51
",",",",p
le,le,71
silence,silence,21
du,de,81
du,le,71
cabinet,cabinet,21
lui,lui,51
semblait,sembler,18
prendre,prendre,14
une,un,71
gravité,gravité,22
religieuse,religieux,30
qui,qui,52
lui,lui,51
pénétrait,pénétrer,18
l',le,71
âme,âme,22
d',de,81
une,un,71
divine,divin,30
volupté,volupté,22
/.,/.,P
il,il,51
n',ne,60
était,être,18
pas,pas,60
jusqu',jusque,81
à,à,81
l',le,71
odeur,odeur,22
de,de,81
poussière,poussière,22
et,et,82
de,de,81
vieux,vieux,21
papiers,papier,21
",",",",p
traînant,traîner,13
dans,dans,81
les,le,71
coins,coin,21
",",",",p
qui,qui,52
ne,ne,60
montât,monter,18
comme,comme,83
un,un,71
encens,encens,21
à,à,81
ses,son,73
narines,narine,22
dilatées,dilaté,31
/.,/.,P
cette,ce,74
pièce,pièce,22
",",",",p
aux,à,81
aux,le,71
tentures,tenture,22
fanées,fané,31
",",",",p
puant,puer,13
les,le,71
affaires,affaire,22
étroites,étroit,30
",",",",p
les,le,71
soucis,souci,21
misérables,misérable,30
d',de,81
une,un,71
municipalité,municipalité,22
de,de,81
troisième,troisième,72
ordre,ordre,21
",",",",p
était,être,18
un,un,71
temple,temple,21
dont,dont,52
il,il,51
devenait,devenir,18
le,le,71
dieu,dieu,21
/.,/.,P
il,il,51
entrait,entrer,18
dans,dans,81
quelque,quelque,75
chose,chose,22
de,de,81
sacré,sacré,31
/.,/.,P
lui,lui,51
qui,qui,52
",",",",p
au,à,81
au,le,71
fond,fond,21
",",",",p
n',ne,60
aimait,aimer,18
pas,pas,60
les,le,71
prêtres,prêtre,21
",",",",p
il,il,51
se,se,51
rappela,rappeler,19
l',le,71
émotion,émotion,22
délicieuse,délicieux,30
de,de,81
sa,son,73
première,premier,72
communion,communion,22
quand,quand,83
il,il,51
avait,avoir,18
cru,croire,12
avaler,avaler,14
Jésus,Jésus,20
/.,/.,P
mais,mais,82
",",",",p
dans,dans,81
son,son,73
ravissement,ravissement,21
",",",",p
il,il,51
éprouvait,éprouver,18
de,de,81
petits,petit,30
soubresauts,soubresaut,21
nerveux,nerveux,30
",",",",p
à,à,81
chaque,chaque,75
éclat,éclat,21
de,de,81
voix,voix,22
de,de,81
Macquart,Macquart,20
/.,/.,P
les,le,71
mots,mot,21
d',de,81
aristocrate,aristocrate,21
",",",",p
de,de,81
lanterne,lanterne,22
",",",",p
les,le,71
menaces,menace,22
de,de,81
pendaison,pendaison,22
",",",",p
lui,lui,51
arrivaient,arriver,18
par,par,81
souffles,souffle,21
violents,violent,30
à,à,81
travers,travers,21
la,le,71
porte,porte,22
",",",",p
et,et,82
coupaient,couper,18
d',de,81
une,un,71
façon,façon,22
désagréable,désagréable,30
son,son,73
rêve,rêve,21
triomphant,triomphant,30
/.,/.,P
toujours,toujours,60
cet,ce,74
homme,homme,21
/!,/!,P
et,et,82
son,son,73
rêve,rêve,21
",",",",p
qui,qui,52
lui,lui,51
montrait,montrer,18
Plassans,Plassans,20
à,à,81
ses,son,73
pieds,pied,21
",",",",p
s',se,51
achevait,achever,18
par,par,81
la,le,71
vision,vision,22
brusque,brusque,30
de,de,81
la,le,71
cour,cour,22
d',de,81
assises,assise,22
",",",",p
des,de,81
des,le,71
juges,juge,21
",",",",p
des,de,81
des,le,71
jurés,juré,21
et,et,82
du,de,81
du,le,71
public,public,21
",",",",p
écoutant,écouter,13
les,le,71
révélations,révélation,22
honteuses,honteux,30
de,de,81
Macquart,Macquart,20
",",",",p
l',le,71
histoire,histoire,22
des,de,81
des,le,71
cinquante,cinquante,72
mille,mille,72
francs,franc,21
et,et,82
les,le,71
autres,autre,52
;,;,p
ou,ou,82
bien,bien,60
",",",",p
tout,tout,60
en,en,81
goûtant,goûter,13
la,le,71
mollesse,mollesse,22
du,de,81
du,le,71
fauteuil,fauteuil,21
de,de,81
monsieur,monsieur,21
Garçonnet,Garçonnet,20
",",",",p
il,il,51
se,se,51
voyait,voir,18
tout,tout,60
d',de,81
un,un,71
coup,coup,21
pendu,pendu,31
à,à,81
une,un,71
lanterne,lanterne,22
de,de,81
la,le,71
rue,rue,22
de,de,81
la,le,71
Banne,Banne,20
/.,/.,P
qui,qui,52
donc,donc,82
le,le,52
débarrasserait,débarrasser,16
de,de,81
ce,ce,74
misérable,misérable,21
/?,/?,P
enfin,enfin,60
Antoine,Antoine,20
s',se,51
endormit,endormir,19
/.,/.,P
Pierre,Pierre,20
eut,avoir,19
dix,dix,72
bonnes,bon,30
minutes,minute,22
d',de,81
extase,extase,22
pure,pur,30
/.,/.,P
Roudier,Roudier,20
et,et,82
Granoux,Granoux,20
vinrent,venir,19
le,le,52
tirer,tirer,14
de,de,81
cette,ce,74
béatitude,béatitude,22
/.,/.,P
ils,ils,51
arrivaient,arriver,18
de,de,81
la,le,71
prison,prison,22
",",",",p
où,où,60
ils,ils,51
avaient,avoir,18
conduit,conduire,12
les,le,71
insurgés,insurgé,21
/.,/.,P
le,le,71
jour,jour,21
grandissait,grandir,18
",",",",p
la,le,71
ville,ville,22
allait,aller,18
s',se,51
éveiller,éveiller,14
",",",",p
il,il,51
s',se,51
agissait,agir,18
de,de,81
prendre,prendre,14
un,un,71
parti,parti,21
/.,/.,P
Roudier,Roudier,20
déclara,déclarer,19
qu',que,83
avant,avant,81
tout,tout,52
il,il,51
serait,être,16
bon,bon,30
d',de,81
adresser,adresser,14
une,un,71
proclamation,proclamation,22
aux,à,81
aux,le,71
habitants,habitant,21
/.,/.,P
Pierre,Pierre,20
",",",",p
justement,justement,60
",",",",p
lisait,lire,18
celle,celui,52
que,que,52
les,le,71
insurgés,insurgé,21
avaient,avoir,18
laissée,laisser,12
sur,sur,81
une,un,71
table,table,22
/.,/.,P
-,-,p
mais,mais,82
",",",",p
s',se,51
écria,écrier,19
t,t,94
il,il,51
",",",",p
voilà,voilà,81
qui,qui,52
nous,nous,51
convient,convenir,17
parfaitement,parfaitement,60
/.,/.,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
que,que,83
quelques,quelque,75
mots,mot,21
à,à,81
changer,changer,14
/.,/.,P
et,et,82
",",",",p
en,en,81
effet,effet,21
",",",",p
un,un,71
quart,quart,21
d',de,81
heure,heure,22
suffit,suffire,19
",",",",p
au,à,81
au,le,71
bout,bout,21
duquel,de,81
duquel,lequel,52
Granoux,Granoux,20
lut,lire,19
",",",",p
d',de,81
une,un,71
voix,voix,22
émue,ému,31
:,:,p
“,“,p
habitants,habitant,21
de,de,81
Plassans,Plassans,20
",",",",p
l',le,71
heure,heure,22
de,de,81
la,le,71
résistance,résistance,22
a,avoir,17
sonné,sonner,12
",",",",p
le,le,71
règne,règne,21
de,de,81
l',le,71
ordre,ordre,21
est,être,17
revenu,revenir,12
/…,/…,P
il,il,51
fut,être,19
décidé,décider,12
que,que,83
l',le,71
imprimerie,imprimerie,22
de,de,81
la,le,71
Gazette,Gazette,20
imprimerait,imprimer,16
la,le,71
proclamation,proclamation,22
",",",",p
et,et,82
qu',que,52
on,on,51
l',le,52
afficherait,afficher,16
à,à,81
tous,tout,75
les,le,71
coins,coin,21
de,de,81
rue,rue,22
/.,/.,P
-,-,p
maintenant,maintenant,60
",",",",p
écoutez,écouter,17
",",",",p
dit,dire,19
Rougon,Rougon,20
",",",",p
nous,nous,51
allons,aller,17
nous,nous,51
rendre,rendre,14
chez,chez,81
moi,moi,51
;,;,p
pendant,pendant,81
ce,ce,74
temps,temps,21
",",",",p
monsieur,monsieur,21
Granoux,Granoux,20
réunira,réunir,15
ici,ici,60
les,le,71
membres,membre,21
du,de,81
du,le,71
conseil,conseil,21
municipal,municipal,30
qui,qui,52
n',ne,60
ont,avoir,17
pas,pas,60
été,être,12
arrêtés,arrêter,12
",",",",p
et,et,82
leur,leur,52
racontera,raconter,15
les,le,71
terribles,terrible,30
événements,événement,21
de,de,81
cette,ce,74
nuit,nuit,22
/.,/.,P
puis,puis,60
il,il,51
ajouta,ajouter,19
",",",",p
avec,avec,81
majesté,majesté,22
:,:,p
-,-,p
je,je,51
suis,être,17
tout,tout,60
prêt,prêt,30
à,à,81
accepter,accepter,14
la,le,71
responsabilité,responsabilité,22
de,de,81
mes,mon,73
actes,acte,21
/.,/.,P
si,si,83
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
déjà,déjà,60
fait,faire,12
paraît,paraître,17
un,un,71
gage,gage,21
suffisant,suffisant,30
de,de,81
mon,mon,73
amour,amour,21
de,de,81
l',le,71
ordre,ordre,21
",",",",p
je,je,51
consens,consentir,17
à,à,81
me,je,51
mettre,mettre,14
à,à,81
la,le,71
tête,tête,22
d',de,81
une,un,71
commission,commission,22
municipale,municipal,30
",",",",p
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
les,le,71
autorités,autorité,22
régulières,régulier,30
puissent,pouvoir,17
être,être,14
rétablies,rétablir,12
/.,/.,P
mais,mais,82
",",",",p
pour,pour,81
qu',que,83
on,on,51
ne,ne,60
m',je,51
accuse,accuser,17
pas,pas,60
d',de,81
ambition,ambition,22
",",",",p
je,je,51
ne,ne,60
rentrerai,rentrer,15
à,à,81
la,le,71
mairie,mairie,22
que,que,83
rappelé,rappelé,31
par,par,81
les,le,71
instances,instance,22
de,de,81
mes,mon,73
concitoyens,concitoyen,21
/.,/.,P
Granoux,Granoux,20
et,et,82
Roudier,Roudier,20
se,se,51
récrièrent,récrier,19
/.,/.,P
Plassans,Plassans,20
ne,ne,60
serait,être,16
pas,pas,60
ingrat,ingrat,30
/.,/.,P
car,car,82
enfin,enfin,60
leur,leur,73
ami,ami,21
avait,avoir,18
sauvé,sauver,12
la,le,71
ville,ville,22
/.,/.,P
et,et,82
ils,ils,51
rappelèrent,rappeler,19
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
avait,avoir,18
fait,faire,12
pour,pour,81
la,le,71
cause,cause,22
de,de,81
l',le,71
ordre,ordre,21
:,:,p
le,le,71
salon,salon,21
jaune,jaune,30
toujours,toujours,60
ouvert,ouvert,31
aux,à,81
aux,le,71
amis,ami,21
du,de,81
du,le,71
pouvoir,pouvoir,21
",",",",p
la,le,71
bonne,bon,30
parole,parole,22
portée,porté,31
dans,dans,81
les,le,71
trois,trois,72
quartiers,quartier,21
",",",",p
le,le,71
dépôt,dépôt,21
d',de,81
armes,arme,22
dont,dont,52
l',le,71
idée,idée,22
lui,lui,51
appartenait,appartenir,18
",",",",p
et,et,82
surtout,surtout,60
cette,ce,74
nuit,nuit,22
mémorable,mémorable,30
",",",",p
cette,ce,74
nuit,nuit,22
de,de,81
prudence,prudence,22
et,et,82
d',de,81
héroïsme,héroïsme,21
",",",",p
dans,dans,81
laquelle,lequel,52
il,il,51
s',se,51
était,être,18
illustré,illustrer,12
à,à,81
jamais,jamais,60
/.,/.,P
Granoux,Granoux,20
ajouta,ajouter,19
qu',que,83
il,il,51
était,être,18
sûr,sûr,30
d',de,81
avance,avance,22
de,de,81
l',le,71
admiration,admiration,22
et,et,82
de,de,81
la,le,71
reconnaissance,reconnaissance,22
de,de,81
messieurs,monsieur,21
les,le,71
conseillers,conseiller,21
municipaux,municipal,30
/.,/.,P
il,il,51
conclut,conclure,19
en,en,81
disant,dire,13
:,:,p
-,-,p
ne,ne,60
bougez,bouger,17
pas,pas,60
de,de,81
chez,chez,81
vous,vous,51
;,;,p
je,je,51
veux,vouloir,17
aller,aller,14
vous,vous,51
chercher,chercher,14
et,et,82
vous,vous,51
ramener,ramener,14
en,en,81
triomphe,triomphe,21
/.,/.,P
Roudier,Roudier,20
dit,dire,19
encore,encore,60
qu',que,83
il,il,51
comprenait,comprendre,18
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
le,le,71
tact,tact,21
",",",",p
la,le,71
modestie,modestie,22
de,de,81
leur,leur,73
ami,ami,21
",",",",p
et,et,82
qu',que,52
il,il,51
l',le,52
approuvait,approuver,18
/.,/.,P
personne,personne,52
",",",",p
certes,certes,60
",",",",p
ne,ne,60
songerait,songer,16
à,à,81
l',le,52
accuser,accuser,14
d',de,81
ambition,ambition,22
",",",",p
mais,mais,82
on,on,51
sentirait,sentir,16
la,le,71
délicatesse,délicatesse,22
qu',que,52
il,il,51
mettait,mettre,18
à,à,81
ne,ne,60
vouloir,vouloir,14
rien,rien,52
être,être,14
sans,sans,81
l',le,71
assentiment,assentiment,21
de,de,81
ses,son,73
concitoyens,concitoyen,21
/.,/.,P
cela,cela,52
était,être,18
très,très,60
digne,digne,30
",",",",p
très,très,60
noble,noble,30
",",",",p
tout,tout,60
à,à,81
fait,fait,21
grand,grand,30
/.,/.,P
sous,sous,81
cette,ce,74
pluie,pluie,22
d',de,81
éloges,éloge,21
",",",",p
Rougon,Rougon,20
baissait,baisser,18
humblement,humblement,60
la,le,71
tête,tête,22
/.,/.,P
il,il,51
murmurait,murmurer,18
:,:,p
“,“,p
non,non,60
",",",",p
non,non,60
",",",",p
vous,vous,51
allez,aller,17
trop,trop,60
loin,loin,60
",",",",p
“,“,p
avec,avec,81
de,de,81
petites,petit,30
pâmoisons,pâmoison,22
d',de,81
homme,homme,21
chatouillé,chatouillé,31
voluptueusement,voluptueusement,60
/.,/.,P
chaque,chaque,75
phrase,phrase,22
du,de,81
du,le,71
bonnetier,bonnetier,21
retiré,retiré,31
et,et,82
de,de,81
l',le,71
ancien,ancien,30
marchand,marchand,21
d',de,81
amandes,amande,22
",",",",p
placés,placé,31
l',le,71
un,un,52
à,à,81
sa,son,73
droite,droite,22
",",",",p
l',le,71
autre,autre,52
à,à,81
sa,son,73
gauche,gauche,22
",",",",p
lui,lui,51
passait,passer,18
suavement,suavement,60
sur,sur,81
la,le,71
face,face,22
;,;,p
et,et,82
",",",",p
renversé,renversé,31
dans,dans,81
le,le,71
fauteuil,fauteuil,21
du,de,81
du,le,71
maire,maire,21
",",",",p
pénétré,pénétré,31
par,par,81
les,le,71
senteurs,senteur,22
administratives,administratif,30
du,de,81
du,le,71
cabinet,cabinet,21
",",",",p
il,il,51
saluait,saluer,18
à,à,81
gauche,gauche,22
",",",",p
à,à,81
droite,droite,22
",",",",p
avec,avec,81
des,de,81
des,le,71
allures,allure,22
de,de,81
prince,prince,21
prétendant,prétendre,13
dont,dont,52
un,un,71
coup,coup,21
d',de,81
Etat,état,21
va,aller,17
faire,faire,14
un,un,71
empereur,empereur,21
/.,/.,P
quand,quand,83
ils,ils,51
furent,être,19
las,las,30
de,de,81
s',se,51
encenser,encenser,14
",",",",p
ils,ils,51
descendirent,descendre,19
/.,/.,P
Granoux,Granoux,20
partit,partir,19
à,à,81
la,le,71
recherche,recherche,22
du,de,81
du,le,71
conseil,conseil,21
municipal,municipal,30
/.,/.,P
Roudier,Roudier,20
dit,dire,19
à,à,81
Rougon,Rougon,20
d',de,81
aller,aller,14
en,en,81
avant,avant,21
;,;,p
il,il,51
le,le,52
rejoindrait,rejoindre,16
chez,chez,81
lui,lui,51
",",",",p
après,après,81
avoir,avoir,14
donné,donner,12
les,le,71
ordres,ordre,21
nécessaires,nécessaire,30
pour,pour,81
la,le,71
garde,garde,22
de,de,81
la,le,71
mairie,mairie,22
/.,/.,P
le,le,71
jour,jour,21
grandissait,grandir,18
/.,/.,P
Pierre,Pierre,20
gagna,gagner,19
la,le,71
rue,rue,22
de,de,81
la,le,71
Banne,Banne,20
",",",",p
en,en,81
faisant,faire,13
sonner,sonner,14
militairement,militairement,60
ses,son,73
talons,talon,21
sur,sur,81
les,le,71
trottoirs,trottoir,21
encore,encore,60
déserts,désert,30
/.,/.,P
il,il,51
tenait,tenir,18
son,son,73
chapeau,chapeau,21
à,à,81
la,le,71
main,main,22
",",",",p
malgré,malgré,81
le,le,71
froid,froid,21
vif,vif,30
;,;,p
des,de,81
des,le,71
bouffées,bouffée,22
d',de,81
orgueil,orgueil,21
lui,lui,51
jetaient,jeter,18
tout,tout,75
le,le,71
sang,sang,21
au,à,81
au,le,71
visage,visage,21
/.,/.,P
au,à,81
au,le,71
bas,bas,21
de,de,81
l',le,71
escalier,escalier,21
",",",",p
il,il,51
trouva,trouver,19
Cassoute,Cassoute,20
/.,/.,P
le,le,71
terrassier,terrassier,21
n',ne,60
avait,avoir,18
pas,pas,60
bougé,bouger,12
",",",",p
n',ne,60
ayant,avoir,13
vu,voir,12
rentrer,rentrer,14
personne,personne,52
/.,/.,P
il,il,51
était,être,18
là,là,60
",",",",p
sur,sur,81
la,le,71
première,premier,72
marche,marche,22
",",",",p
sa,son,73
grosse,gros,30
tête,tête,22
entre,entre,81
les,le,71
mains,main,22
",",",",p
regardant,regarder,13
fixement,fixement,60
devant,devant,81
lui,lui,51
",",",",p
avec,avec,81
le,le,71
regard,regard,21
vide,vide,30
et,et,82
l',le,71
entêtement,entêtement,21
muet,muet,30
d',de,81
un,un,71
chien,chien,21
fidèle,fidèle,30
/.,/.,P
-,-,p
vous,vous,51
m',je,51
attendiez,attendre,17
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
lui,lui,51
dit,dire,19
Pierre,Pierre,20
",",",",p
qui,qui,52
comprit,comprendre,19
tout,tout,52
en,en,81
l',le,52
apercevant,apercevoir,13
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
allez,aller,17
dire,dire,14
à,à,81
monsieur,monsieur,21
Macquart,Macquart,20
que,que,83
je,je,51
suis,être,17
rentré,rentrer,12
/.,/.,P
demandez,demander,17
le,le,52
à,à,81
la,le,71
mairie,mairie,22
/.,/.,P
Cassoute,Cassoute,20
se,se,51
leva,lever,19
et,et,82
se,se,51
retira,retirer,19
",",",",p
en,en,81
saluant,saluer,13
gauchement,gauchement,60
/.,/.,P
il,il,51
alla,aller,19
se,se,51
faire,faire,14
arrêter,arrêter,14
comme,comme,83
un,un,71
mouton,mouton,21
",",",",p
pour,pour,81
la,le,71
grande,grand,30
réjouissance,réjouissance,22
de,de,81
Pierre,Pierre,20
",",",",p
qui,qui,52
riait,rire,18
tout,tout,60
seul,seul,30
en,en,81
montant,monter,13
l',le,71
escalier,escalier,21
",",",",p
surpris,surpris,31
de,de,81
lui-même,lui-même,51
",",",",p
ayant,avoir,13
vaguement,vaguement,60
cette,ce,74
pensée,pensée,22
:,:,p
-,-,p
j',je,51
ai,avoir,17
du,de,81
du,le,71
courage,courage,21
",",",",p
aurais,avoir,16
je,je,51
de,de,81
l',le,71
esprit,esprit,21
/?,/?,P
Félicité,Félicité,20
ne,ne,60
s',se,51
était,être,18
pas,pas,60
couchée,coucher,12
/.,/.,P
il,il,51
la,le,52
trouva,trouver,19
endimanchée,endimanché,31
",",",",p
avec,avec,81
son,son,73
bonnet,bonnet,21
à,à,81
rubans,ruban,21
citron,citron,21
",",",",p
comme,comme,83
une,un,71
femme,femme,22
qui,qui,52
attend,attendre,17
du,de,81
du,le,71
monde,monde,21
/.,/.,P
elle,il,51
était,être,18
vainement,vainement,60
restée,rester,12
à,à,81
la,le,71
fenêtre,fenêtre,22
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
rien,rien,52
entendu,entendre,12
;,;,p
elle,il,51
se,se,51
mourait,mourir,18
de,de,81
curiosité,curiosité,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
?,?,p
demanda,demander,19
t,t,94
elle,il,51
",",",",p
en,en,81
se,se,51
précipitant,précipiter,13
au-devant,au-devant,60
de,de,81
son,son,73
mari,mari,21
/.,/.,P
celui-ci,celui-ci,52
",",",",p
soufflant,souffler,13
",",",",p
entra,entrer,19
dans,dans,81
le,le,71
salon,salon,21
jaune,jaune,30
",",",",p
où,où,60
elle,il,51
le,le,52
suivit,suivre,19
",",",",p
en,en,81
fermant,fermer,13
soigneusement,soigneusement,60
les,le,71
portes,porte,22
derrière,derrière,81
elle,il,51
/.,/.,P
il,il,51
se,se,51
laissa,laisser,19
aller,aller,14
dans,dans,81
un,un,71
fauteuil,fauteuil,21
",",",",p
il,il,51
dit,dire,19
d',de,81
une,un,71
voix,voix,22
étranglée,étranglé,31
:,:,p
-,-,p
c',ce,52
est,être,17
fait,faire,12
",",",",p
nous,nous,51
serons,être,15
receveur,receveur,21
particulier,particulier,30
/.,/.,P
elle,il,51
lui,lui,51
sauta,sauter,19
au,à,81
au,le,71
cou,cou,21
;,;,p
elle,il,51
l',le,52
embrassa,embrasser,19
/.,/.,P
-,-,p
vrai,vrai,30
?,?,p
vrai,vrai,30
?,?,p
cria,crier,19
t,t,94
elle,il,51
/.,/.,P
mais,mais,82
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
entendu,entendre,12
/.,/.,P
o,oh,93
mon,mon,73
petit,petit,30
homme,homme,21
",",",",p
raconte,raconter,17
moi,moi,51
ça,ça,52
",",",",p
raconte,raconter,17
moi,moi,51
tout,tout,52
/.,/.,P
elle,il,51
avait,avoir,18
quinze,quinze,72
ans,an,21
",",",",p
elle,il,51
se,se,51
faisait,faire,18
chatte,chatte,22
",",",",p
elle,il,51
tourbillonnait,tourbillonner,18
",",",",p
avec,avec,81
ses,son,73
vols,vol,21
brusques,brusque,30
de,de,81
cigale,cigale,22
ivre,ivre,30
de,de,81
lumière,lumière,22
et,et,82
de,de,81
chaleur,chaleur,22
/.,/.,P
et,et,82
Pierre,Pierre,20
",",",",p
dans,dans,81
l',le,71
effusion,effusion,22
de,de,81
sa,son,73
victoire,victoire,22
",",",",p
vida,vider,19
son,son,73
coeur,coeur,21
/.,/.,P
il,il,51
n',ne,60
omit,omettre,19
pas,pas,60
un,un,71
détail,détail,21
/.,/.,P
il,il,51
expliqua,expliquer,19
même,même,60
ses,son,73
projets,projet,21
futurs,futur,30
",",",",p
oubliant,oublier,13
que,que,83
",",",",p
selon,selon,81
lui,lui,51
",",",",p
les,le,71
femmes,femme,22
n',ne,60
étaient,être,18
bonnes,bon,30
à,à,81
rien,rien,52
",",",",p
et,et,82
que,que,83
la,le,71
sienne,sien,52
devait,devoir,18
tout,tout,52
ignorer,ignorer,14
",",",",p
s',si,83
il,il,51
voulait,vouloir,18
rester,rester,14
le,le,71
maître,maître,21
/.,/.,P
Félicité,Félicité,20
",",",",p
penchée,penché,31
",",",",p
buvait,boire,18
ses,son,73
paroles,parole,22
/.,/.,P
elle,il,51
lui,lui,51
fit,faire,19
recommencer,recommencer,14
certaines,certain,75
parties,partie,22
du,de,81
du,le,71
récit,récit,21
",",",",p
disant,dire,13
qu',que,83
elle,il,51
n',ne,60
