11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-huitième extrait>,<>,<>
avoir,avoir,14
encore,encore,60
de,de,81
la,le,71
misère,misère,22
et,et,82
de,de,81
la,le,71
peine,peine,22
",",",",p
de,de,81
porter,porter,14
de,de,81
pauvres,pauvre,30
habits,habit,21
et,et,82
de,de,81
souffrir,souffrir,14
de,de,81
la,le,71
faim,faim,22
pendant,pendant,81
deux,deux,72
ou,ou,82
trois,trois,72
mois,mois,21
de,de,81
l',le,71
année,année,22
",",",",p
pourvu,pourvu,81
qu',que,83
elle,il,51
contente,contenter,17
son,son,73
coeur,coeur,21
un,un,71
jour,jour,21
et,et,82
qu',que,83
elle,il,51
puisse,pouvoir,17
se,se,51
donner,donner,14
à,à,81
un,un,71
mari,mari,21
qui,qui,52
lui,lui,51
plaira,plaire,15
…,…,p
elle,il,51
a,avoir,17
raison,raison,22
",",",",p
elle,il,51
!,!,p
je,je,51
ferais,faire,16
de,de,81
même,même,60
à,à,81
sa,son,73
place,place,22
…,…,p
et,et,82
",",",",p
dès,dès,81
à,à,81
présent,présent,21
",",",",p
si,si,83
je,je,51
pouvais,pouvoir,18
suivre,suivre,14
ma,mon,73
volonté,volonté,22
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
m',je,51
embarquer,embarquer,14
dans,dans,81
un,un,71
mariage,mariage,21
qui,qui,52
ne,ne,60
me,je,51
sourit,sourire,17
pas,pas,60
",",",",p
je,je,51
choisirais,choisir,16
une,un,71
fille,fille,22
à,à,81
mon,mon,73
gré,gré,21
/…,/…,P
plus,plus,60
Germain,Germain,20
cherchait,chercher,18
à,à,81
raisonner,raisonner,14
et,et,82
à,à,81
se,se,51
calmer,calmer,14
",",",",p
moins,moins,60
il,il,51
en,en,52
venait,venir,18
à,à,81
bout,bout,21
/.,/.,P
il,il,51
s',se,51
en,en,52
allait,aller,18
à,à,81
vingt,vingt,72
pas,pas,21
de,de,81
là,là,60
",",",",p
se,se,51
perdre,perdre,14
dans,dans,81
le,le,71
brouillard,brouillard,21
;,;,p
et,et,82
puis,puis,60
",",",",p
tout,tout,60
d',de,81
un,un,71
coup,coup,21
",",",",p
il,il,51
se,se,51
retrouvait,retrouver,18
à,à,81
genoux,genou,21
à,à,81
côté,côté,21
des,de,81
des,le,71
deux,deux,72
enfants,enfant,21
endormis,endormi,31
/.,/.,P
une,un,71
fois,fois,22
même,même,30
il,il,51
voulut,vouloir,19
embrasser,embrasser,14
Petit-Pierre,Petit Pierre,20
",",",",p
qui,qui,52
avait,avoir,18
un,un,71
bras,bras,21
passé,passé,31
autour,autour,60
du,de,81
du,le,71
cou,cou,21
de,de,81
Marie,Marie,20
",",",",p
et,et,82
il,il,51
se,se,51
trompa,tromper,19
si,si,60
bien,bien,60
que,que,83
Marie,Marie,20
",",",",p
sentant,sentir,13
une,un,71
haleine,haleine,22
chaude,chaud,30
comme,comme,83
le,le,71
feu,feu,21
courir,courir,14
sur,sur,81
ses,son,73
lèvres,lèvre,22
",",",",p
se,se,51
réveilla,réveiller,19
et,et,82
le,le,52
regarda,regarder,19
d',de,81
un,un,71
air,air,21
tout,tout,60
effaré,effaré,31
",",",",p
ne,ne,60
comprenant,comprendre,13
rien,rien,52
du,de,81
du,le,71
tout,tout,21
à,à,81
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
en,en,81
lui,lui,51
/.,/.,P
-,-,p
je,je,51
ne,ne,60
vous,vous,51
voyais,voir,18
pas,pas,60
",",",",p
mes,mon,73
pauvres,pauvre,30
enfants,enfant,21
!,!,p
dit,dire,19
Germain,Germain,20
en,en,81
se,se,51
retirant,retirer,13
bien,bien,60
vite,vite,60
/.,/.,P
j',je,51
ai,avoir,17
failli,faillir,12
tomber,tomber,14
sur,sur,81
vous,vous,51
et,et,82
vous,vous,51
faire,faire,14
du,de,81
du,le,71
mal,mal,21
/.,/.,P
la,le,71
petite,petit,30
Marie,Marie,20
eut,avoir,19
la,le,71
candeur,candeur,22
de,de,81
le,le,52
croire,croire,14
et,et,82
se,se,51
rendormit,rendormir,19
/.,/.,P
Germain,Germain,20
passa,passer,19
de,de,81
l',le,71
autre,autre,75
côté,côté,21
du,de,81
du,le,71
feu,feu,21
et,et,82
jura,jurer,19
à,à,81
dieu,dieu,21
qu',que,83
il,il,51
n',ne,60
en,en,52
bougerait,bouger,16
jusqu',jusque,81
à,à,81
ce,ce,52
qu',que,52
elle,il,51
fût,être,19
réveillée,réveiller,12
/.,/.,P
il,il,51
tint,tenir,19
parole,parole,22
",",",",p
mais,mais,82
ce,ce,52
ne,ne,60
fut,être,19
pas,pas,60
sans,sans,81
peine,peine,22
/.,/.,P
il,il,51
crut,croire,19
qu',que,83
il,il,51
en,en,52
deviendrait,devenir,16
fou,fou,30
/.,/.,P
enfin,enfin,60
",",",",p
vers,vers,81
minuit,minuit,21
",",",",p
le,le,71
brouillard,brouillard,21
se,se,51
dissipa,dissiper,19
et,et,82
Germain,Germain,20
put,pouvoir,19
voir,voir,14
les,le,71
étoiles,étoile,22
briller,briller,14
à,à,81
travers,travers,21
les,le,71
arbres,arbre,21
/.,/.,P
la,le,71
lune,lune,22
se,se,51
dégagea,dégager,19
aussi,aussi,60
des,de,81
des,le,71
vapeurs,vapeur,22
qui,qui,52
la,le,52
couvraient,couvrir,18
et,et,82
commença,commencer,19
à,à,81
semer,semer,14
des,de,81
des,le,71
diamants,diamant,21
sur,sur,81
la,le,71
mousse,mousse,22
humide,humide,30
/.,/.,P
le,le,71
tronc,tronc,21
des,de,81
des,le,71
chênes,chêne,21
restait,rester,18
dans,dans,81
une,un,71
majestueuse,majestueux,30
obscurité,obscurité,22
;,;,p
mais,mais,82
",",",",p
un,un,71
peu,peu,60
plus,plus,60
loin,loin,60
",",",",p
les,le,71
tiges,tige,22
blanches,blanc,30
des,de,81
des,le,71
bouleaux,bouleau,21
semblaient,sembler,18
une,un,71
rangée,rangée,22
de,de,81
fantômes,fantôme,21
dans,dans,81
leurs,leur,73
suaires,suaire,21
/.,/.,P
le,le,71
feu,feu,21
se,se,51
reflétait,refléter,18
dans,dans,81
la,le,71
mare,mare,22
;,;,p
et,et,82
les,le,71
grenouilles,grenouille,22
",",",",p
commençant,commencer,13
à,à,81
s',se,51
y,y,52
habituer,habituer,14
",",",",p
hasardaient,hasarder,18
quelques,quelque,75
notes,note,22
grêles,grêle,30
et,et,82
timides,timide,30
;,;,p
les,le,71
branches,branche,22
anguleuses,anguleux,30
des,de,81
des,le,71
vieux,vieux,30
arbres,arbre,21
",",",",p
hérissées,hérissé,31
de,de,81
pâles,pâle,30
lichens,lichen,21
",",",",p
s',se,51
étendaient,étendre,18
et,et,82
s',se,51
entre-croisaient,entre-croiser,18
comme,comme,83
de,de,81
grands,grand,30
bras,bras,21
décharnés,décharné,31
sur,sur,81
la,le,71
tête,tête,22
de,de,81
nos,notre,73
voyageurs,voyageur,21
;,;,p
c',ce,52
était,être,18
un,un,71
bel,beau,30
endroit,endroit,21
",",",",p
mais,mais,82
si,si,60
désert,désert,30
et,et,82
si,si,60
triste,triste,30
",",",",p
que,que,83
Germain,Germain,20
",",",",p
las,las,30
d',de,81
y,y,52
souffrir,souffrir,14
",",",",p
se,se,51
mit,mettre,19
à,à,81
chanter,chanter,14
et,et,82
à,à,81
jeter,jeter,14
des,de,81
des,le,71
pierres,pierre,22
dans,dans,81
l',le,71
eau,eau,22
pour,pour,81
s',se,51
étourdir,étourdir,14
sur,sur,81
l',le,71
ennui,ennui,21
effrayant,effrayant,30
de,de,81
la,le,71
solitude,solitude,22
/.,/.,P
il,il,51
désirait,désirer,18
aussi,aussi,60
éveiller,éveiller,14
la,le,71
petite,petit,30
Marie,Marie,20
;,;,p
et,et,82
lorsqu',lorsque,83
il,il,51
vit,voir,19
qu',que,83
elle,il,51
se,se,51
levait,lever,18
et,et,82
regardait,regarder,18
le,le,71
temps,temps,21
",",",",p
il,il,51
lui,lui,51
proposa,proposer,19
de,de,81
se,se,51
remettre,remettre,14
en,en,81
route,route,22
/.,/.,P
-,-,p
dans,dans,81
deux,deux,72
heures,heure,22
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
l',le,71
approche,approche,22
du,de,81
du,le,71
jour,jour,21
rendra,rendre,15
l',le,71
air,air,21
si,si,60
froid,froid,30
",",",",p
que,que,83
nous,nous,51
ne,ne,60
pourrons,pouvoir,15
plus,plus,60
y,y,52
tenir,tenir,14
malgré,malgré,81
notre,notre,73
feu,feu,21
/…,/…,P
à,à,81
présent,présent,21
",",",",p
on,on,51
voit,voir,17
à,à,81
se,se,51
conduire,conduire,14
et,et,82
nous,nous,51
trouverons,trouver,15
bien,bien,60
une,un,71
maison,maison,22
qui,qui,52
nous,nous,51
ouvrira,ouvrir,15
",",",",p
ou,ou,82
du,de,81
du,le,71
moins,moins,60
quelque,quelque,75
grange,grange,22
où,où,60
nous,nous,51
pourrons,pouvoir,15
passer,passer,14
à,à,81
couvert,couvert,21
le,le,71
reste,reste,21
de,de,81
la,le,71
nuit,nuit,22
/.,/.,P
Marie,Marie,20
n',ne,60
avait,avoir,18
pas,pas,60
de,de,81
volonté,volonté,22
;,;,p
et,et,82
",",",",p
quoiqu',quoique,83
elle,il,51
eût,avoir,19
encore,encore,60
grande,grand,30
envie,envie,22
de,de,81
dormir,dormir,14
",",",",p
elle,il,51
se,se,51
disposa,disposer,19
à,à,81
suivre,suivre,14
Germain,Germain,20
/.,/.,P
celui-ci,celui-ci,52
prit,prendre,19
son,son,73
fils,fils,21
dans,dans,81
ses,son,73
bras,bras,21
sans,sans,81
le,le,52
réveiller,réveiller,14
et,et,82
voulut,vouloir,19
que,que,83
Marie,Marie,20
s',se,51
approchât,approcher,18
de,de,81
lui,lui,51
pour,pour,81
se,se,51
cacher,cacher,14
dans,dans,81
son,son,73
manteau,manteau,21
",",",",p
puisqu',puisque,83
elle,il,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
reprendre,reprendre,14
sa,son,73
cape,cape,22
roulée,roulé,31
autour,autour,60
du,de,81
du,le,71
petit,petit,30
Pierre,Pierre,20
/.,/.,P
quand,quand,83
il,il,51
sentit,sentir,19
la,le,71
jeune,jeune,30
fille,fille,22
si,si,60
près,près,81
de,de,81
lui,lui,51
",",",",p
Germain,Germain,20
",",",",p
qui,qui,52
s',se,51
était,être,18
distrait,distraire,12
et,et,82
égayé,égayer,12
un,un,71
instant,instant,21
",",",",p
recommença,recommencer,19
à,à,81
perdre,perdre,14
la,le,71
tête,tête,22
/.,/.,P
deux,deux,72
ou,ou,82
trois,trois,72
fois,fois,22
il,il,51
s',se,51
éloigna,éloigner,19
brusquement,brusquement,60
et,et,82
la,le,52
laissa,laisser,19
marcher,marcher,14
seule,seul,30
/.,/.,P
puis,puis,60
",",",",p
voyant,voir,13
qu',que,83
elle,il,51
avait,avoir,18
peine,peine,22
à,à,81
le,le,52
suivre,suivre,14
",",",",p
il,il,51
l',le,52
attendait,attendre,18
",",",",p
l',le,52
attirait,attirer,18
vivement,vivement,60
près,près,81
de,de,81
lui,lui,51
",",",",p
et,et,82
la,le,52
pressait,presser,18
si,si,60
fort,fort,60
qu',que,83
elle,il,51
en,en,52
était,être,18
étonnée,étonner,12
et,et,82
même,même,60
fâchée,fâcher,12
sans,sans,81
oser,oser,14
le,le,52
dire,dire,14
/.,/.,P
comme,comme,83
ils,ils,51
ne,ne,60
savaient,savoir,18
point,point,60
du,de,81
du,le,71
tout,tout,21
de,de,81
quelle,quel,75
direction,direction,22
ils,ils,51
étaient,être,18
partis,partir,12
",",",",p
ils,ils,51
ne,ne,60
savaient,savoir,18
pas,pas,60
celle,celui,52
qu',que,52
ils,ils,51
suivaient,suivre,18
;,;,p
si,si,60
bien,bien,60
qu',que,83
ils,ils,51
remontèrent,remonter,19
encore,encore,60
une,un,71
fois,fois,22
tout,tout,75
le,le,71
bois,bois,21
",",",",p
se,se,51
retrouvèrent,retrouver,19
",",",",p
de,de,81
nouveau,nouveau,21
en,en,81
face,face,22
de,de,81
la,le,71
lande,lande,22
déserte,désert,30
",",",",p
revinrent,revenir,19
sur,sur,81
leurs,leur,73
pas,pas,21
et,et,82
",",",",p
après,après,81
avoir,avoir,14
tourné,tourner,12
et,et,82
marché,marcher,12
longtemps,longtemps,60
",",",",p
ils,ils,51
aperçurent,apercevoir,19
de,de,81
la,le,71
clarté,clarté,22
à,à,81
travers,travers,21
les,le,71
branches,branche,22
/.,/.,P
-,-,p
bon,bon,60
!,!,p
voici,voici,81
une,un,71
maison,maison,22
",",",",p
dit,dire,19
Germain,Germain,20
",",",",p
et,et,82
des,de,81
des,le,71
gens,gens,21
déjà,déjà,60
éveillés,éveillé,31
puisque,puisque,83
le,le,71
feu,feu,21
est,être,17
allumé,allumer,12
/.,/.,P
il,il,51
est,être,17
donc,donc,82
bien,bien,60
tard,tard,60
/?,/?,P
mais,mais,82
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
une,un,71
maison,maison,22
:,:,p
c',ce,52
était,être,18
le,le,71
feu,feu,21
de,de,81
bivouac,bivouac,21
qu',que,52
ils,ils,51
avaient,avoir,18
couvert,couvrir,12
en,en,81
partant,partir,13
",",",",p
et,et,82
qui,qui,52
s',se,51
était,être,18
rallumé,rallumer,12
à,à,81
la,le,71
brise,brise,22
/…,/…,P
ils,ils,51
avaient,avoir,18
marché,marcher,12
pendant,pendant,81
deux,deux,72
heures,heure,22
pour,pour,81
se,se,51
retrouver,retrouver,14
au,à,81
au,le,71
point,point,21
de,de,81
départ,départ,21
/.,/.,P
<XI>,<>,<>
à,à,81
la,le,71
belle,beau,30
étoile,étoile,22
/.,/.,P
pour,pour,81
le,le,71
coup,coup,21
",",",",p
j',je,51
y,y,52
renonce,renoncer,17
!,!,p
dit,dire,19
Germain,Germain,20
en,en,81
frappant,frapper,13
du,de,81
du,le,71
pied,pied,21
/.,/.,P
on,on,51
nous,nous,51
a,avoir,17
jeté,jeter,12
un,un,71
sort,sort,21
",",",",p
c',ce,52
est,être,17
bien,bien,60
sûr,sûr,30
",",",",p
et,et,82
nous,nous,51
ne,ne,60
sortirons,sortir,15
d',de,81
ici,ici,60
qu',que,83
au,à,81
au,le,71
grand,grand,30
jour,jour,21
/.,/.,P
il,il,51
faut,falloir,17
que,que,83
cet,ce,74
endroit,endroit,21
soit,être,17
endiablé,endiablé,30
/.,/.,P
-,-,p
allons,aller,17
",",",",p
allons,aller,17
",",",",p
ne,ne,60
nous,nous,51
fâchons,fâcher,17
pas,pas,60
",",",",p
dit,dire,19
Marie,Marie,20
",",",",p
et,et,82
prenons,prendre,17
en,en,81
notre,notre,73
parti,parti,21
/.,/.,P
nous,nous,51
ferons,faire,15
un,un,71
plus,plus,60
grand,grand,30
feu,feu,21
",",",",p
l',le,71
enfant,enfant,21
est,être,17
si,si,60
bien,bien,60
enveloppé,envelopper,12
qu',que,83
il,il,51
ne,ne,60
risque,risquer,17
rien,rien,52
",",",",p
et,et,82
pour,pour,81
passer,passer,14
une,un,71
nuit,nuit,22
dehors,dehors,60
nous,nous,51
n',ne,60
en,en,52
mourrons,mourir,15
point,point,60
/.,/.,P
où,où,60
avez,avoir,17
vous,vous,51
caché,cacher,12
la,le,71
bâtine,bâtine,22
",",",",p
Germain,Germain,20
/?,/?,P
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
houx,houx,21
",",",",p
grand,grand,30
étourdi,étourdi,21
/!,/!,P
c',ce,52
est,être,17
commode,commode,30
pour,pour,81
aller,aller,14
la,le,52
reprendre,reprendre,14
/!,/!,P
tiens,tenir,17
l',le,71
enfant,enfant,21
",",",",p
prends,prendre,17
le,le,52
que,que,83
je,je,51
retire,retirer,17
son,son,73
lit,lit,21
des,de,81
des,le,71
broussailles,broussaille,22
;,;,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
que,que,83
tu,tu,51
te,tu,51
piques,piquer,17
les,le,71
mains,main,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
fait,faire,12
",",",",p
voici,voici,81
le,le,71
lit,lit,21
",",",",p
et,et,82
quelques,quelque,75
piqûres,piqûre,22
ne,ne,60
sont,être,17
pas,pas,60
des,de,81
des,le,71
coups,coup,21
de,de,81
sabre,sabre,21
",",",",p
reprit,reprendre,19
la,le,71
brave,brave,30
petite,petit,30
fille,fille,22
/.,/.,P
elle,il,51
procéda,procéder,19
de,de,81
nouveau,nouveau,21
au,à,81
au,le,71
coucher,coucher,21
du,de,81
du,le,71
petit,petit,30
Pierre,Pierre,20
",",",",p
qui,qui,52
était,être,18
si,si,60
bien,bien,60
endormi,endormir,12
cette,ce,74
fois,fois,22
qu',que,83
il,il,51
ne,ne,60
s',se,51
aperçut,apercevoir,19
en,en,81
rien,rien,52
de,de,81
ce,ce,74
nouveau,nouveau,30
voyage,voyage,21
/.,/.,P
Germain,Germain,20
mit,mettre,19
tant,tant,60
de,de,81
bois,bois,21
au,à,81
au,le,71
feu,feu,21
que,que,83
toute,tout,75
la,le,71
forêt,forêt,22
en,en,52
resplendit,resplendir,19
à,à,81
la,le,71
ronde,ronde,22
;,;,p
mais,mais,82
la,le,71
petite,petit,30
Marie,Marie,20
n',ne,60
en,en,52
pouvait,pouvoir,18
plus,plus,60
",",",",p
et,et,82
quoiqu',quoique,83
elle,il,51
ne,ne,60
se,se,51
plaignît,plaindre,18
de,de,81
rien,rien,52
",",",",p
elle,il,51
ne,ne,60
se,se,51
soutenait,soutenir,18
plus,plus,60
sur,sur,81
ses,son,73
jambes,jambe,22
/.,/.,P
elle,il,51
était,être,18
pâle,pâle,30
et,et,82
ses,son,73
dents,dent,22
claquaient,claquer,18
de,de,81
froid,froid,21
et,et,82
de,de,81
faiblesse,faiblesse,22
/.,/.,P
Germain,Germain,20
la,le,52
prit,prendre,19
dans,dans,81
ses,son,73
bras,bras,21
pour,pour,81
la,le,52
réchauffer,réchauffer,14
;,;,p
et,et,82
l',le,71
inquiétude,inquiétude,22
",",",",p
la,le,71
compassion,compassion,22
",",",",p
des,de,81
des,le,71
mouvements,mouvement,21
de,de,81
tendresse,tendresse,22
irrésistible,irrésistible,30
s',se,51
emparant,emparer,13
de,de,81
son,son,73
coeur,coeur,21
",",",",p
firent,faire,19
taire,taire,14
ses,son,73
sens,sens,21
/.,/.,P
sa,son,73
langue,langue,22
se,se,51
délia,délier,19
comme,comme,83
par,par,81
miracle,miracle,21
",",",",p
et,et,82
toute,tout,75
honte,honte,22
cessant,cesser,13
:,:,p
-,-,p
Marie,Marie,20
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
tu,tu,51
me,je,51
plais,plaire,17
",",",",p
et,et,82
je,je,51
suis,être,17
bien,bien,60
malheureux,malheureux,30
de,de,81
ne,ne,60
pas,pas,60
te,tu,51
plaire,plaire,14
/.,/.,P
si,si,83
tu,tu,51
voulais,vouloir,18
m',je,51
accepter,accepter,14
pour,pour,81
ton,ton,73
mari,mari,21
",",",",p
il,il,51
n',ne,60
y,y,52
aurait,avoir,16
ni,ni,82
beau-père,beau-père,21
",",",",p
ni,ni,82
parents,parent,21
",",",",p
ni,ni,82
voisins,voisin,21
",",",",p
ni,ni,82
conseils,conseil,21
qui,qui,52
pussent,pouvoir,18
m',je,51
empêcher,empêcher,14
de,de,81
me,je,51
donner,donner,14
à,à,81
toi,toi,51
/.,/.,P
je,je,51
sais,savoir,17
que,que,83
tu,tu,51
rendrais,rendre,16
mes,mon,73
enfants,enfant,21
heureux,heureux,30
",",",",p
que,que,52
tu,tu,51
leur,leur,52
apprendrais,apprendre,16
à,à,81
respecter,respecter,14
le,le,71
souvenir,souvenir,21
de,de,81
leur,leur,73
mère,mère,22
et,et,82
",",",",p
ma,mon,73
conscience,conscience,22
étant,être,13
en,en,81
repos,repos,21
",",",",p
je,je,51
pourrais,pouvoir,16
contenter,contenter,14
mon,mon,73
coeur,coeur,21
/.,/.,P
j',je,51
ai,avoir,17
toujours,toujours,60
eu,avoir,12
de,de,81
l',le,71
amitié,amitié,22
pour,pour,81
toi,toi,51
",",",",p
et,et,82
à,à,81
présent,présent,21
je,je,51
me,je,51
sens,sentir,17
si,si,60
amoureux,amoureux,30
que,que,83
si,si,83
tu,tu,51
me,je,51
demandais,demander,18
de,de,81
faire,faire,14
toute,tout,75
ma,mon,73
vie,vie,22
tes,ton,73
mille,mille,72
volontés,volonté,22
",",",",p
je,je,51
te,tu,51
le,le,52
jurerais,jurer,16
sur,sur,81
l',le,71
heure,heure,22
/.,/.,P
vois,voir,17
",",",",p
je,je,51
t',tu,51
en,en,52
prie,prier,17
",",",",p
comme,comme,83
je,je,51
t',tu,51
aime,aimer,17
",",",",p
et,et,82
tâche,tâcher,17
d',de,81
oublier,oublier,14
mon,mon,73
âge,âge,21
/.,/.,P
pense,penser,17
que,que,83
c',ce,52
est,être,17
une,un,71
fausse,faux,30
idée,idée,22
qu',que,52
on,on,51
se,se,51
fait,faire,17
quand,quand,83
on,on,51
croit,croire,17
qu',que,83
un,un,71
homme,homme,21
de,de,81
trente,trente,72
ans,an,21
est,être,17
vieux,vieux,30
/.,/.,P
d',de,81
ailleurs,ailleurs,60
je,je,51
n',ne,60
ai,avoir,17
que,que,83
vingt,vingt,72
huit,huit,72
ans,an,21
!,!,p
une,un,71
jeune,jeune,30
fille,fille,22
craint,craindre,17
de,de,81
se,se,51
faire,faire,14
critiquer,critiquer,14
en,en,81
prenant,prendre,13
un,un,71
homme,homme,21
qui,qui,52
a,avoir,17
dix,dix,72
ou,ou,82
douze,douze,72
ans,an,21
de,de,81
plus,plus,60
qu',que,83
elle,il,51
",",",",p
parce que,parce que,83
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
la,le,71
coutume,coutume,22
du,de,81
du,le,71
pays,pays,21
;,;,p
mais,mais,82
j',je,51
ai,avoir,17
entendu,entendre,12
dire,dire,14
que,que,83
dans,dans,81
d',de,81
autres,autre,75
pays,pays,21
on,on,51
ne,ne,60
regardait,regarder,18
point,point,60
à,à,81
cela,cela,52
;,;,p
qu',que,83
au,à,81
au,le,71
contraire,contraire,21
on,on,51
aimait,aimer,18
mieux,mieux,60
donner,donner,14
pour,pour,81
soutien,soutien,21
",",",",p
à,à,81
une,un,71
jeunesse,jeunesse,22
",",",",p
un,un,71
homme,homme,21
raisonnable,raisonnable,30
et,et,82
d',de,81
un,un,71
courage,courage,21
bien,bien,60
éprouvé,éprouvé,31
qu',que,83
un,un,71
jeune,jeune,30
gars,gars,21
qui,qui,52
peut,pouvoir,17
se,se,51
déranger,déranger,14
et,et,82
",",",",p
de,de,81
bon,bon,30
sujet,sujet,21
qu',que,52
on,on,51
le,le,52
croyait,croire,18
",",",",p
devenir,devenir,14
un,un,71
mauvais,mauvais,30
garnement,garnement,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
les,le,71
années,année,22
ne,ne,60
font,faire,17
pas,pas,60
toujours,toujours,60
l',le,71
âge,âge,21
/.,/.,P
cela,cela,52
dépend,dépendre,17
de,de,81
la,le,71
force,force,22
et,et,82
de,de,81
la,le,71
santé,santé,22
qu',que,52
on,on,51
a,avoir,17
/.,/.,P
quand,quand,83
un,un,71
homme,homme,21
est,être,17
usé,user,12
par,par,81
trop,trop,60
de,de,81
travail,travail,21
et,et,82
de,de,81
misère,misère,22
ou,ou,82
par,par,81
la,le,71
mauvaise,mauvais,30
conduite,conduite,22
",",",",p
il,il,51
est,être,17
vieux,vieux,30
avant,avant,21
vingt,vingt,72
cinq,cinq,72
ans,an,21
/.,/.,P
au,à,81
au,le,71
lieu,lieu,21
que,que,83
moi,moi,51
/…,/…,P
mais,mais,82
tu,tu,51
ne,ne,60
m',je,51
écoutes,écouter,17
pas,pas,60
",",",",p
Marie,Marie,20
/.,/.,P
-,-,p
si,si,60
fait,fait,31
",",",",p
Germain,Germain,20
",",",",p
je,je,51
vous,vous,51
entends,entendre,17
bien,bien,60
",",",",p
répondit,répondre,19
la,le,71
petite,petit,30
Marie,Marie,20
;,;,p
mais,mais,82
je,je,51
songe,songer,17
à,à,81
ce,ce,52
que,que,52
m',je,51
a,avoir,17
toujours,toujours,60
dit,dire,12
ma,mon,73
mère,mère,22
:,:,p
c',ce,52
est,être,17
qu',que,83
une,un,71
femme,femme,22
de,de,81
soixante,soixante,72
ans,an,21
est,être,17
bien,bien,60
à,à,81
plaindre,plaindre,14
quand,quand,83
son,son,73
mari,mari,21
en,en,52
a,avoir,17
soixante,soixante,72
dix,dix,72
ou,ou,82
soixante,soixante,72
quinze,quinze,72
",",",",p
et,et,82
qu',que,83
il,il,51
ne,ne,60
peut,pouvoir,17
plus,plus,60
travailler,travailler,14
pour,pour,81
la,le,52
nourrir,nourrir,14
/.,/.,P
il,il,51
devient,devenir,17
infirme,infirme,30
et,et,82
il,il,51
faut,falloir,17
qu',que,83
elle,il,51
le,le,52
soigne,soigner,17
à,à,81
l',le,71
âge,âge,21
où,où,60
elle,il,51
commencerait,commencer,16
elle-même,lui-même,51
à,à,81
avoir,avoir,14
grand,grand,30
besoin,besoin,21
de,de,81
ménagement,ménagement,21
et,et,82
de,de,81
repos,repos,21
/.,/.,P
c',ce,52
est,être,17
ainsi,ainsi,60
qu',que,83
on,on,51
arrive,arriver,17
à,à,81
finir,finir,14
sur,sur,81
la,le,71
paille,paille,22
/.,/.,P
-,-,p
les,le,71
parents,parent,21
ont,avoir,17
raison,raison,22
de,de,81
dire,dire,14
cela,cela,52
",",",",p
j',je,51
en,en,52
conviens,convenir,17
",",",",p
Marie,Marie,20
",",",",p
reprit,reprendre,19
Germain,Germain,20
;,;,p
mais,mais,82
enfin,enfin,60
ils,ils,51
sacrifieraient,sacrifier,16
tout,tout,75
le,le,71
temps,temps,21
de,de,81
la,le,71
jeunesse,jeunesse,22
",",",",p
qui,qui,52
est,être,17
le,le,71
meilleur,meilleur,30
",",",",p
à,à,81
prévoir,prévoir,14
ce,ce,52
qu',que,52
on,on,51
deviendra,devenir,15
à,à,81
l',le,71
âge,âge,21
où,où,60
l',l',94
on,on,51
n',ne,60
est,être,17
plus,plus,60
bon,bon,30
à,à,81
rien,rien,52
",",",",p
et,et,82
où,où,60
il,il,51
est,être,17
indifférent,indifférent,30
de,de,81
finir,finir,14
d',de,81
une,un,71
manière,manière,22
ou,ou,82
d',de,81
une,un,71
autre,autre,52
/.,/.,P
mais,mais,82
",",",",p
moi,moi,51
",",",",p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
dans,dans,81
le,le,71
danger,danger,21
de,de,81
mourir,mourir,14
de,de,81
faim,faim,22
sur,sur,81
mes,mon,73
vieux,vieux,30
jours,jour,21
/.,/.,P
je,je,51
suis,être,17
à,à,81
même,même,60
d',de,81
amasser,amasser,14
quelque,quelque,75
chose,chose,22
puisque,puisque,83
",",",",p
vivant,vivre,13
avec,avec,81
les,le,71
parents,parent,21
de,de,81
ma,mon,73
femme,femme,22
",",",",p
je,je,51
travaille,travailler,17
beaucoup,beaucoup,60
et,et,82
je,je,51
ne,ne,60
dépense,dépenser,17
rien,rien,52
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
je,je,51
t',tu,51
aimerai,aimer,15
tant,tant,60
",",",",p
vois,voir,17
tu,tu,51
",",",",p
que,que,83
ça,ça,52
m',je,51
empêchera,empêcher,15
de,de,81
vieillir,vieillir,14
/.,/.,P
on,on,51
dit,dire,17
que,que,83
quand,quand,83
un,un,71
homme,homme,21
est,être,17
heureux,heureux,30
",",",",p
il,il,51
se,se,51
conserve,conserver,17
",",",",p
et,et,82
je,je,51
sens,sentir,17
bien,bien,60
que,que,83
je,je,51
suis,être,17
plus,plus,60
jeune,jeune,30
que,que,83
Bastien,Bastien,20
pour,pour,81
t',tu,51
