11688
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-cinquième extrait>,<>,<>
dévouée,dévoué,31
",",",",p
à,à,81
toute,tout,75
épreuve,épreuve,22
/?,/?,P
voulez,vouloir,17
vous,vous,51
que,que,83
nous,nous,51
soyons,être,17
comme,comme,83
deux,deux,72
soeurs,soeur,22
/?,/?,P
voulez,vouloir,17
vous,vous,51
me,je,51
jurer,jurer,14
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
plus,plus,60
de,de,81
secrets,secret,21
pour,pour,81
moi,moi,51
que,que,83
je,je,51
n',ne,60
en,en,52
aurai,avoir,15
pour,pour,81
vous,vous,51
",",",",p
d',de,81
être,être,14
mon,mon,73
espion,espion,21
comme,comme,83
je,je,51
serai,être,16
le,le,71
vôtre,vôtre,52
?,?,p
voulez,vouloir,17
vous,vous,51
surtout,surtout,60
me,je,51
jurer,jurer,14
que,que,83
vous,vous,51
ne,ne,60
me,je,51
vendrez,vendre,15
jamais,jamais,60
",",",",p
ni,ni,82
à,à,81
mon,mon,73
mari,mari,21
",",",",p
ni,ni,82
à,à,81
monsieur,monsieur,21
Hulot,Hulot,20
",",",",p
et,et,82
que,que,83
vous,vous,51
n',ne,60
avouerez,avouer,15
jamais,jamais,60
que,que,83
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
vous,vous,51
ai,avoir,17
dit,dire,12
/…,/…,P
madame,madame,22
Marneffe,Marneffe,20
s',se,51
arrêta,arrêter,19
dans,dans,81
cette,ce,74
oeuvre,oeuvre,22
de,de,81
picador,picador,21
",",",",p
la,le,71
cousine,cousine,22
Bette,Bette,20
l',le,52
effraya,effrayer,19
/.,/.,P
la,le,71
physionomie,physionomie,22
de,de,81
la,le,71
Lorraine,Lorraine,20
était,être,18
devenue,devenir,12
terrible,terrible,30
/.,/.,P
ses,son,73
yeux,oeil,21
noirs,noir,30
et,et,82
pénétrants,pénétrant,30
avaient,avoir,18
la,le,71
fixité,fixité,22
de,de,81
ceux,celui,52
des,de,81
des,le,71
tigres,tigre,21
/.,/.,P
sa,son,73
figure,figure,22
ressemblait,ressembler,18
à,à,81
celles,celui,52
que,que,52
nous,nous,51
supposons,supposer,17
aux,à,81
aux,le,71
pythonisses,pythonisse,22
",",",",p
elle,il,51
serrait,serrer,18
ses,son,73
dents,dent,22
pour,pour,81
les,le,52
empêcher,empêcher,14
de,de,81
claquer,claquer,14
",",",",p
et,et,82
une,un,71
affreuse,affreux,30
convulsion,convulsion,22
faisait,faire,18
trembler,trembler,14
ses,son,73
membres,membre,21
/.,/.,P
elle,il,51
avait,avoir,18
glissé,glisser,12
sa,son,73
main,main,22
crochue,crochu,30
entre,entre,81
son,son,73
bonnet,bonnet,21
et,et,82
ses,son,73
cheveux,cheveu,21
pour,pour,81
les,le,52
empoigner,empoigner,14
et,et,82
soutenir,soutenir,14
sa,son,73
tête,tête,22
",",",",p
devenue,devenu,31
trop,trop,60
lourde,lourd,30
;,;,p
elle,il,51
brûlait,brûler,18
/!,/!,P
la,le,71
fumée,fumée,22
de,de,81
l',le,71
incendie,incendie,21
qui,qui,52
la,le,52
ravageait,ravager,18
semblait,sembler,18
passer,passer,14
par,par,81
ses,son,73
rides,ride,22
comme,comme,83
par,par,81
autant,autant,60
de,de,81
crevasses,crevasse,22
labourées,labouré,31
par,par,81
une,un,71
éruption,éruption,22
volcanique,volcanique,30
/.,/.,P
ce,ce,52
fut,être,19
un,un,71
spectacle,spectacle,21
sublime,sublime,30
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
pourquoi,pourquoi,60
vous,vous,51
arrêtez,arrêter,17
vous,vous,51
?,?,p
dit,dire,19
elle,il,51
d',de,81
une,un,71
voix,voix,22
creuse,creux,30
",",",",p
je,je,51
serai,être,16
pour,pour,81
vous,vous,51
tout,tout,52
ce,ce,52
que,que,52
j',je,51
étais,être,18
pour,pour,81
lui,lui,51
/.,/.,P
oh,oh,93
!,!,p
je,je,51
lui,lui,51
aurais,avoir,16
donné,donner,12
tout,tout,75
mon,mon,73
sang,sang,21
/…,/…,P
vous,vous,51
l',le,52
aimez,aimer,17
donc,donc,82
/?,/?,P
-,-,p
comme,comme,83
s',si,83
il,il,51
était,être,18
mon,mon,73
enfant,enfant,21
/!,/!,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
reprit,reprendre,19
madame,madame,22
Marneffe,Marneffe,20
en,en,81
respirant,respirer,13
à,à,81
l',le,71
aise,aise,22
",",",",p
puisque,puisque,83
vous,vous,51
ne,ne,60
l',le,52
aimez,aimer,17
que,que,83
comme,comme,83
ça,ça,52
",",",",p
vous,vous,51
allez,aller,17
être,être,14
bien,bien,60
heureuse,heureux,30
",",",",p
car,car,82
vous,vous,51
le,le,52
voulez,vouloir,17
heureux,heureux,30
/?,/?,P
Lisbeth,Lisbeth,20
répondit,répondre,19
par,par,81
un,un,71
signe,signe,21
de,de,81
tête,tête,22
rapide,rapide,30
comme,comme,83
celui,celui,52
d',de,81
une,un,71
folle,folle,22
/.,/.,P
-,-,p
il,il,51
épouse,épouser,17
dans,dans,81
un,un,71
mois,mois,21
votre,votre,73
petite,petit,30
cousine,cousine,22
/.,/.,P
-,-,p
Hortense,Hortense,20
?,?,p
cria,crier,19
la,le,71
vieille,vieux,30
fille,fille,22
en,en,81
se,se,51
frappant,frapper,13
le,le,71
front,front,21
et,et,82
en,en,81
se,se,51
levant,lever,13
/.,/.,P
-,-,p
ah,ah,93
ça,ça,52
!,!,p
vous,vous,51
l',le,52
aimez,aimer,17
donc,donc,82
ce,ce,74
jeune,jeune,30
homme,homme,21
?,?,p
demanda,demander,19
madame,madame,22
Marneffe,Marneffe,20
/.,/.,P
-,-,p
ma,mon,73
petite,petite,22
",",",",p
c',ce,52
est,être,17
entre,entre,81
nous,nous,51
à,à,81
la,le,71
vie,vie,22
à,à,81
la,le,71
mort,mort,22
",",",",p
dit,dire,19
mademoiselle,mademoiselle,22
Fischer,Fischer,20
/.,/.,P
oui,oui,60
",",",",p
si,si,83
vous,vous,51
avez,avoir,17
des,de,81
des,le,71
attachements,attachement,21
",",",",p
ils,ils,51
me,je,51
seront,être,15
sacrés,sacrer,12
/.,/.,P
enfin,enfin,60
",",",",p
vos,votre,73
vices,vice,21
deviendront,devenir,15
pour,pour,81
moi,moi,51
des,de,81
des,le,71
vertus,vertu,22
",",",",p
car,car,82
j',je,51
en,en,52
aurai,avoir,15
besoin,besoin,21
",",",",p
moi,moi,51
",",",",p
de,de,81
vos,votre,73
vices,vice,21
/!,/!,P
vous,vous,51
viviez,vivre,18
donc,donc,82
avec,avec,81
lui,lui,51
?,?,p
s',se,51
écria,écrier,19
Valérie,Valérie,20
/.,/.,P
-,-,p
non,non,60
",",",",p
je,je,51
voulais,vouloir,18
être,être,14
sa,son,73
mère,mère,22
/…,/…,P
ah,ah,93
!,!,p
je,je,51
n',ne,60
y,y,52
comprends,comprendre,17
plus,plus,60
rien,rien,52
",",",",p
reprit,reprendre,19
Valérie,Valérie,20
",",",",p
car,car,82
alors,alors,60
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
jouée,jouer,12
ni,ni,82
trompée,tromper,12
",",",",p
et,et,82
vous,vous,51
devez,devoir,17
être,être,14
bien,bien,60
heureuse,heureux,30
de,de,81
lui,lui,51
voir,voir,14
faire,faire,14
un,un,71
beau,beau,30
mariage,mariage,21
",",",",p
le,le,52
voilà,voilà,81
lancé,lancé,31
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
tout,tout,52
est,être,17
bien,bien,60
fini,finir,12
pour,pour,81
vous,vous,51
",",",",p
allez,aller,17
/.,/.,P
notre,notre,73
artiste,artiste,21
va,aller,17
tous,tout,75
les,le,71
jours,jour,21
chez,chez,81
madame,madame,22
Hulot,Hulot,20
",",",",p
dès,dès,81
que,que,83
vous,vous,51
sortez,sortir,17
pour,pour,81
dîner,dîner,14
/…,/…,P
Adeline,Adeline,20
!,!,p
se,se,51
dit,dire,17
Lisbeth,Lisbeth,20
/.,/.,P
oh,oh,93
/!,/!,P
Adeline,Adeline,20
",",",",p
tu,tu,51
me,je,51
le,le,52
payeras,payer,15
",",",",p
je,je,51
te,tu,51
rendrai,rendre,15
plus,plus,60
laide,laid,30
que,que,83
moi,moi,51
/!,/!,P
-,-,p
mais,mais,82
vous,vous,51
voilà,voilà,81
pâle,pâle,30
comme,comme,83
une,un,71
morte,morte,22
!,!,p
reprit,reprendre,19
Valérie,Valérie,20
/.,/.,P
il,il,51
y,y,52
a,avoir,17
donc,donc,82
quelque,quelque,75
chose,chose,22
?,?,p
oh,oh,93
!,!,p
suis,être,17
je,je,51
bête,bête,30
!,!,p
la,le,71
mère,mère,22
et,et,82
la,le,71
fille,fille,22
doivent,devoir,17
se,se,51
douter,douter,14
que,que,83
vous,vous,51
mettriez,mettre,16
des,de,81
des,le,71
obstacles,obstacle,21
à,à,81
cet,ce,74
amour,amour,21
",",",",p
puisqu',puisque,83
ils,ils,51
se,se,51
cachent,cacher,17
de,de,81
vous,vous,51
",",",",p
s',se,51
écria,écrier,19
madame,madame,22
Marneffe,Marneffe,20
;,;,p
mais,mais,82
",",",",p
si,si,83
vous,vous,51
ne,ne,60
viviez,vivre,18
pas,pas,60
avec,avec,81
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
tout,tout,75
cela,cela,52
",",",",p
ma,mon,73
petite,petite,22
",",",",p
est,être,17
pour,pour,81
moi,moi,51
plus,plus,60
obscur,obscur,30
que,que,83
le,le,71
coeur,coeur,21
de,de,81
mon,mon,73
mari,mari,21
/…,/…,P
oh,oh,93
!,!,p
vous,vous,51
ne,ne,60
savez,savoir,17
pas,pas,60
",",",",p
vous,vous,51
",",",",p
reprit,reprendre,19
Lisbeth,Lisbeth,20
",",",",p
vous,vous,51
ne,ne,60
savez,savoir,17
pas,pas,60
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
cette,ce,74
manigance,manigance,22
là,là,60
!,!,p
c',ce,52
est,être,17
le,le,71
dernier,dernier,30
coup,coup,21
qui,qui,52
tue,tuer,17
/!,/!,P
en,en,52
ai,avoir,17
je,je,51
reçu,recevoir,12
des,de,81
des,le,71
meurtrissures,meurtrissure,22
à,à,81
l',le,71
âme,âme,22
/!,/!,P
vous,vous,51
ignorez,ignorer,17
que,que,83
depuis,depuis,81
l',le,71
âge,âge,21
où,où,60
l',l',94
on,on,51
sent,sentir,17
",",",",p
j',je,51
ai,avoir,17
été,être,12
immolée,immoler,12
à,à,81
Adeline,Adeline,20
/!,/!,P
on,on,51
me,je,51
donnait,donner,18
des,de,81
des,le,71
coups,coup,21
",",",",p
et,et,82
on,on,51
lui,lui,51
faisait,faire,18
des,de,81
des,le,71
caresses,caresse,22
/!,/!,P
j',je,51
allais,aller,18
mise,mise,22
comme,comme,83
un,un,71
souillon,souillon,22
",",",",p
et,et,82
elle,il,51
était,être,18
vêtue,vêtir,12
comme,comme,83
une,un,71
dame,dame,22
/.,/.,P
je,je,51
piochais,piocher,18
le,le,71
jardin,jardin,21
",",",",p
j',je,51
épluchais,éplucher,18
les,le,71
légumes,légume,21
",",",",p
et,et,82
elle,il,51
ses,son,73
dix,dix,72
doigts,doigt,21
ne,ne,60
se,se,51
remuaient,remuer,18
que,que,83
pour,pour,81
arranger,arranger,14
des,de,81
des,le,71
chiffons,chiffon,21
!,!,p
elle,il,51
a,avoir,17
épousé,épouser,12
le,le,71
baron,baron,21
",",",",p
elle,il,51
est,être,17
venue,venir,12
briller,briller,14
à,à,81
la,le,71
cour,cour,22
de,de,81
l',le,71
empereur,empereur,21
",",",",p
et,et,82
je,je,51
suis,être,17
restée,rester,12
jusqu',jusque,81
en,en,81
<Nombre 1809>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
neuf,neuf,72
<Fin nombre>,<>,<>
dans,dans,81
mon,mon,73
village,village,21
",",",",p
attendant,attendre,13
un,un,71
parti,parti,21
sortable,sortable,30
",",",",p
pendant,pendant,81
quatre,quatre,72
ans,an,21
;,;,p
ils,ils,51
m',je,51
en,en,52
ont,avoir,17
tirée,tirer,12
",",",",p
mais,mais,82
pour,pour,81
me,je,51
faire,faire,14
ouvrière,ouvrière,22
et,et,82
pour,pour,81
me,je,51
proposer,proposer,14
des,de,81
des,le,71
employés,employé,21
",",",",p
des,de,81
des,le,71
capitaines,capitaine,21
qui,qui,52
ressemblaient,ressembler,18
à,à,81
des,de,81
des,le,71
portiers,portier,21
!,!,p
j',je,51
ai,avoir,17
eu,avoir,12
pendant,pendant,81
vingt,vingt,72
six,six,72
ans,an,21
tous,tout,75
leurs,leur,73
restes,reste,21
/…,/…,P
et,et,82
voilà,voilà,81
que,que,83
",",",",p
comme,comme,83
dans,dans,81
l',le,71
ancien,ancien,30
testament,testament,21
",",",",p
le,le,71
pauvre,pauvre,21
possède,posséder,17
un,un,71
seul,seul,30
agneau,agneau,21
qui,qui,52
fait,faire,17
son,son,73
bonheur,bonheur,21
",",",",p
et,et,82
le,le,71
riche,riche,21
qui,qui,52
a,avoir,17
des,de,81
des,le,71
troupeaux,troupeau,21
envie,envier,17
la,le,71
brebis,brebis,22
du,de,81
du,le,71
pauvre,pauvre,21
et,et,82
la,le,52
lui,lui,51
dérobe,dérober,17
!,!,p
sans,sans,81
le,le,52
prévenir,prévenir,14
",",",",p
sans,sans,81
la,le,52
lui,lui,51
demander,demander,14
/.,/.,P
Adeline,Adeline,20
me,je,51
filoute,filouter,17
mon,mon,73
bonheur,bonheur,21
/!,/!,P
Adeline,Adeline,20
!,!,p
Adeline,Adeline,20
",",",",p
je,je,51
te,tu,51
verrai,voir,15
dans,dans,81
la,le,71
boue,boue,22
et,et,82
plus,plus,60
bas,bas,30
que,que,83
moi,moi,51
/!,/!,P
Hortense,Hortense,20
",",",",p
que,que,52
j',je,51
aimais,aimer,18
",",",",p
m',je,51
a,avoir,17
trompée,tromper,12
/…,/…,P
le,le,71
baron,baron,21
…,…,p
non,non,60
",",",",p
cela,cela,52
n',ne,60
est,être,17
pas,pas,60
possible,possible,30
/.,/.,P
voyons,voir,17
",",",",p
redites,redire,17
moi,moi,51
les,le,71
choses,chose,22
qui,qui,52
là-dedans,là-dedans,60
peuvent,pouvoir,17
être,être,14
vraies,vrai,30
/?,/?,P
calmez,calmer,17
vous,vous,51
",",",",p
ma,mon,73
petite,petite,22
/…,/…,P
Valérie,Valérie,20
",",",",p
mon,mon,73
cher,cher,30
ange,ange,21
",",",",p
je,je,51
vais,aller,17
me,je,51
calmer,calmer,14
",",",",p
répondit,répondre,19
cette,ce,74
fille,fille,22
bizarre,bizarre,30
en,en,81
s',se,51
asseyant,asseoir,13
/.,/.,P
une,un,71
seule,seul,30
chose,chose,22
peut,pouvoir,17
me,je,51
rendre,rendre,14
la,le,71
raison,raison,22
:,:,p
donnez,donner,17
moi,moi,51
une,un,71
preuve,preuve,22
/!,/!,P
-,-,p
mais,mais,82
votre,votre,73
cousine,cousine,22
Hortense,Hortense,20
possède,posséder,17
le,le,71
groupe,groupe,21
de,de,81
Samson,Samson,20
dont,dont,52
voici,voici,81
la,le,71
lithographie,lithographie,22
publiée,publié,31
par,par,81
une,un,71
revue,revue,22
;,;,p
elle,il,51
l',le,52
a,avoir,17
payé,payer,12
de,de,81
ses,son,73
économies,économie,22
",",",",p
et,et,82
c',ce,52
est,être,17
le,le,71
baron,baron,21
qui,qui,52
",",",",p
dans,dans,81
l',le,71
intérêt,intérêt,21
de,de,81
son,son,73
futur,futur,30
gendre,gendre,21
",",",",p
le,le,52
lance,lancer,17
et,et,82
obtient,obtenir,17
tout,tout,52
/.,/.,P
-,-,p
de,de,81
l',le,71
eau,eau,22
!,!,p
de,de,81
l',le,71
eau,eau,22
!,!,p
demanda,demander,19
Lisbeth,Lisbeth,20
après,après,81
avoir,avoir,14
jeté,jeter,12
les,le,71
yeux,oeil,21
sur,sur,81
la,le,71
lithographie,lithographie,22
au,à,81
au,le,71
bas,bas,21
de,de,81
laquelle,lequel,52
elle,il,51
lut,lire,19
:,:,p
groupe,groupe,21
appartenant,appartenir,13
à,à,81
mademoiselle,mademoiselle,22
Hulot,Hulot,20
d',de,81
Ervy,Ervy,20
/.,/.,P
de,de,81
l',le,71
eau,eau,22
!,!,p
ma,mon,73
tête,tête,22
brûle,brûler,17
",",",",p
je,je,51
deviens,devenir,17
folle,fou,30
/!,/!,P
madame,madame,22
Marneffe,Marneffe,20
apporta,apporter,19
de,de,81
l',le,71
eau,eau,22
",",",",p
la,le,71
vieille,vieux,30
fille,fille,22
ôta,ôter,19
son,son,73
bonnet,bonnet,21
",",",",p
défit,défaire,19
ses,son,73
noirs,noir,30
cheveux,cheveu,21
",",",",p
et,et,82
se,se,51
mit,mettre,19
la,le,71
tête,tête,22
dans,dans,81
la,le,71
cuvette,cuvette,22
que,que,52
lui,lui,51
tint,tenir,19
sa,son,73
nouvelle,nouveau,30
amie,amie,22
;,;,p
elle,il,51
s',se,51
y,y,52
trempa,tremper,19
le,le,71
front,front,21
à,à,81
plusieurs,plusieurs,75
reprises,reprise,22
",",",",p
et,et,82
arrêta,arrêter,19
l',le,71
inflammation,inflammation,22
commencée,commencé,31
/.,/.,P
après,après,81
cette,ce,74
immersion,immersion,22
",",",",p
elle,il,51
retrouva,retrouver,19
tout,tout,75
son,son,73
empire,empire,21
sur,sur,81
elle-même,lui-même,51
/.,/.,P
-,-,p
pas,pas,60
un,un,71
mot,mot,21
",",",",p
dit,dire,19
elle,il,51
à,à,81
madame,madame,22
Marneffe,Marneffe,20
en,en,81
s',se,51
essuyant,essuyer,13
",",",",p
pas,pas,60
un,un,71
mot,mot,21
de,de,81
tout,tout,75
ceci,ceci,52
/…,/…,P
voyez,voir,17
!,!,p
je,je,51
suis,être,17
tranquille,tranquille,30
",",",",p
et,et,82
tout,tout,52
est,être,17
oublié,oublier,12
",",",",p
je,je,51
pense,penser,17
à,à,81
bien,bien,21
autre,autre,75
chose,chose,22
/!,/!,P
elle,il,51
sera,être,15
demain,demain,60
à,à,81
Charenton,Charenton,20
",",",",p
c',ce,52
est,être,17
sûr,sûr,30
",",",",p
se,se,51
dit,dire,17
madame,madame,22
Marneffe,Marneffe,20
en,en,81
regardant,regarder,13
la,le,71
Lorraine,Lorraine,20
/.,/.,P
-,-,p
que,que,52
faire,faire,14
?,?,p
reprit,reprendre,19
Lisbeth,Lisbeth,20
/.,/.,P
voyez,voir,17
vous,vous,51
",",",",p
mon,mon,73
petit,petit,30
ange,ange,21
",",",",p
il,il,51
faut,falloir,17
se,se,51
taire,taire,14
",",",",p
courber,courber,14
la,le,71
tête,tête,22
",",",",p
et,et,82
aller,aller,14
à,à,81
la,le,71
tombe,tombe,22
",",",",p
comme,comme,83
l',le,71
eau,eau,22
va,aller,17
droit,droit,60
à,à,81
la,le,71
rivière,rivière,22
/.,/.,P
que,que,52
tenterais,tenter,16
je,je,51
/?,/?,P
je,je,51
voudrais,vouloir,16
réduire,réduire,14
tout,tout,75
ce,ce,74
monde,monde,21
",",",",p
Adeline,Adeline,20
",",",",p
sa,son,73
fille,fille,22
",",",",p
le,le,71
baron,baron,21
en,en,81
poussière,poussière,22
/.,/.,P
mais,mais,82
que,que,52
peut,pouvoir,17
une,un,71
parente,parente,22
pauvre,pauvre,30
contre,contre,81
toute,tout,75
une,un,71
famille,famille,22
riche,riche,30
?,?,p
ce,ce,52
serait,être,16
l',le,71
histoire,histoire,22
du,de,81
du,le,71
pot,pot,21
de,de,81
terre,terre,22
contre,contre,81
le,le,71
pot,pot,21
de,de,81
fer,fer,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
vous,vous,51
avez,avoir,17
raison,raison,22
",",",",p
répondit,répondre,19
Valérie,Valérie,20
",",",",p
il,il,51
faut,falloir,17
seulement,seulement,60
s',se,51
occuper,occuper,14
de,de,81
tirer,tirer,14
le,le,71
plus,plus,60
de,de,81
foin,foin,21
à,à,81
soi,soi,51
du,de,81
du,le,71
râtelier,râtelier,21
/.,/.,P
voilà,voilà,81
la,le,71
vie,vie,22
à,à,81
Paris,Paris,20
/.,/.,P
-,-,p
et,et,82
",",",",p
dit,dire,19
Lisbeth,Lisbeth,20
",",",",p
je,je,51
mourrai,mourir,15
promptement,promptement,60
",",",",p
allez,aller,17
",",",",p
si,si,83
je,je,51
perds,perdre,17
cet,ce,74
enfant,enfant,21
à,à,81
qui,qui,52
je,je,51
croyais,croire,18
toujours,toujours,60
servir,servir,14
de,de,81
mère,mère,22
",",",",p
avec,avec,81
qui,qui,52
je,je,51
comptais,compter,18
vivre,vivre,14
toute,tout,75
ma,mon,73
vie,vie,22
/…,/…,P
elle,il,51
eut,avoir,19
des,de,81
des,le,71
larmes,larme,22
dans,dans,81
les,le,71
yeux,oeil,21
",",",",p
et,et,82
s',se,51
arrêta,arrêter,19
/.,/.,P
cette,ce,74
sensibilité,sensibilité,22
chez,chez,81
cette,ce,74
fille,fille,22
de,de,81
soufre,soufre,21
et,et,82
de,de,81
feu,feu,21
fit,faire,19
frissonner,frissonner,14
madame,madame,22
Marneffe,Marneffe,20
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
je,je,51
vous,vous,51
trouve,trouver,17
",",",",p
dit,dire,19
elle,il,51
en,en,81
prenant,prendre,13
la,le,71
main,main,22
de,de,81
Valérie,Valérie,20
",",",",p
c',ce,52
est,être,17
une,un,71
consolation,consolation,22
dans,dans,81
ce,ce,74
grand,grand,30
malheur,malheur,21
/…,/…,P
nous,nous,51
nous,nous,51
aimerons,aimer,15
bien,bien,60
",",",",p
et,et,82
pourquoi,pourquoi,60
nous,nous,51
quitterions,quitter,16
nous,nous,51
?,?,p
je,je,51
n',ne,60
irai,aller,15
jamais,jamais,60
sur,sur,81
vos,votre,73
brisées,brisée,22
/.,/.,P
on,on,51
ne,ne,60
m',je,51
aimera,aimer,15
jamais,jamais,60
",",",",p
moi,moi,51
!,!,p
tous,tout,75
ceux,celui,52
qui,qui,52
voulaient,vouloir,18
de,de,81
moi,moi,51
",",",",p
m',je,51
épousaient,épouser,18
à,à,81
cause,cause,22
de,de,81
la,le,71
protection,protection,22
de,de,81
mon,mon,73
cousin,cousin,21
/…,/…,P
avoir,avoir,14
de,de,81
l',le,71
énergie,énergie,22
à,à,81
escalader,escalader,14
le,le,71
Paradis,Paradis,20
",",",",p
et,et,82
l',le,52
employer,employer,14
à,à,81
se,se,51
procurer,procurer,14
du,de,81
du,le,71
pain,pain,21
",",",",p
de,de,81
l',le,71
eau,eau,22
",",",",p
des,de,81
des,le,71
guenilles,guenille,22
et,et,82
une,un,71
mansarde,mansarde,22
/!,/!,P
ah,ah,93
!,!,p
c',ce,52
est,être,17
là,là,60
",",",",p
ma,mon,73
petite,petite,22
",",",",p
un,un,71
martyre,martyre,21
/!,/!,P
j',je,51
y,y,52
ai,avoir,17
séché,sécher,12
/.,/.,P
elle,il,51
s',se,51
arrêta,arrêter,19
brusquement,brusquement,60
et,et,82
plongea,plonger,19
dans,dans,81
les,le,71
yeux,oeil,21
bleus,bleu,30
de,de,81
madame,madame,22
Marneffe,Marneffe,20
un,un,71
regard,regard,21
noir,noir,30
qui,qui,52
traversa,traverser,19
l',le,71
âme,âme,22
de,de,81
cette,ce,74
jolie,joli,30
femme,femme,22
",",",",p
comme,comme,83
la,le,71
lame,lame,22
d',de,81
un,un,71
poignard,poignard,21
lui,lui,51
eût,avoir,19
traversé,traverser,12
le,le,71
coeur,coeur,21
/.,/.,P
-,-,p
et,et,82
pourquoi,pourquoi,60
parler,parler,14
?,?,p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
en,en,81
s',se,51
adressant,adresser,13
un,un,71
reproche,reproche,21
à,à,81
elle-même,lui-même,51
/.,/.,P
ah,ah,93
!,!,p
je,je,51
n',ne,60
en,en,52
ai,avoir,17
jamais,jamais,60
tant,tant,60
dit,dire,12
",",",",p
allez,aller,17
!,!,p
la,le,71
triche,triche,22
en,en,52
reviendra,revenir,15
à,à,81
son,son,73
maître,maître,21
!,!,p
ajouta,ajouter,19
t,t,94
elle,il,51
après,après,81
une,un,71
pause,pause,22
",",",",p
en,en,81
employant,employer,13
une,un,71
expression,expression,22
du,de,81
du,le,71
langage,langage,21
enfantin,enfantin,30
/.,/.,P
comme,comme,83
vous,vous,51
dites,dire,17
sagement,sagement,60
:,:,p
aiguisons,aiguiser,17
nos,notre,73
dents,dent,22
et,et,82
tirons,tirer,17
du,de,81
du,le,71
râtelier,râtelier,21
le,le,71
plus,plus,60
de,de,81
foin,foin,21
possible,possible,30
/.,/.,P
-,-,p
vous,vous,51
avez,avoir,17
raison,raison,22
",",",",p
dit,dire,19
madame,madame,22
Marneffe,Marneffe,20
que,que,52
cette,ce,74
crise,crise,22
effrayait,effrayer,18
et,et,82
qui,qui,52
ne,ne,60
se,se,51
souvenait,souvenir,18
plus,plus,60
d',de,81
avoir,avoir,14
émis,émettre,12
cet,ce,74
apophthegme,apophtegme,21
/.,/.,P
je,je,51
vous,vous,51
crois,croire,17
dans,dans,81
le,le,71
vrai,vrai,30
",",",",p
ma,mon,73
petite,petite,22
/.,/.,P
allez,aller,17
",",",",p
la,le,71
vie,vie,22
n',ne,60
est,être,17
déjà,déjà,60
pas,pas,60
si,si,60
longue,long,30
",",",",p
il,il,51
faut,falloir,17
en,en,52
tirer,tirer,14
parti,parti,21
tant,tant,60
qu',que,83
on,on,51
peut,pouvoir,17
",",",",p
et,et,82
employer,employer,14
les,le,71
autres,autre,52
à,à,81
son,son,73
plaisir,plaisir,21
/…,/…,P
j',je,51
en,en,52
suis,être,17
arrivée,arriver,12
là,là,60
",",",",p
moi,moi,51
",",",",p
si,si,60
jeune,jeune,30
/!,/!,P
j',je,51
ai,avoir,17
été,être,12
élevée,élever,12
en,en,81
enfant,enfant,21
gâté,gâté,31
",",",",p
mon,mon,73
père,père,21
s',se,51
est,être,17
marié,marier,12
par,par,81
ambition,ambition,22
et,et,82
m',je,51
a,avoir,17
presque,presque,60
oubliée,oublier,12
",",",",p
après,après,81
avoir,avoir,14
fait,faire,12
de,de,81
moi,moi,51
son,son,73
idole,idole,22
",",",",p
après,après,81
m',je,51
avoir,avoir,14
élevée,élever,12
comme,comme,83
la,le,71
fille,fille,22
d',de,81
une,un,71
reine,reine,22
/!,/!,P
ma,mon,73
pauvre,pauvre,30
mère,mère,22
",",",",p
qui,qui,52
me,je,51
berçait,bercer,18
des,de,81
des,le,71
plus,plus,60
beaux,beau,30
rêves,rêve,21
",",",",p
est,être,17
morte,mourir,12
de,de,81
chagrin,chagrin,21
en,en,81
me,je,51
voyant,voir,13
épouser,épouser,14
un,un,71
petit,petit,30
employé,employé,21
à,à,81
douze,douze,72
cents,cent,72
francs,franc,21
",",",",p
vieux,vieux,30
et,et,82
froid,froid,30
libertin,libertin,21
à,à,81
trente,trente,72
neuf,neuf,72
ans,an,21
",",",",p
corrompu,corrompu,31
comme,comme,83
un,un,71
bagne,bagne,21
",",",",p
et,et,82
qui,qui,52
ne,ne,60
voyait,voir,18
en,en,81
moi,moi,51
que,que,83
ce,ce,52
qu',que,52
on,on,51
voyait,voir,18
en,en,81
vous,vous,51
",",",",p
un,un,71
instrument,instrument,21
de,de,81
fortune,fortune,22
!,!,p
eh,eh,93
bien,bien,60
!,!,p
j',je,51
ai,avoir,17
fini,finir,12
par,par,81
trouver,trouver,14
que,que,83
cet,ce,74
homme,homme,21
infâme,infâme,30
est,être,17
le,le,71
meilleur,meilleur,30
des,de,81
des,le,71
maris,mari,21
/.,/.,P
en,en,81
me,je,51
préférant,préférer,13
les,le,71
sales,sale,30
guenons,guenon,22
du,de,81
du,le,71
coin,coin,21
de,de,81
la,le,71
rue,rue,22
",",",",p
il,il,51
me,je,51
