11862
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-septième extrait>,<>,<>
ses,son,73
besognes,besogne,22
",",",",p
quelles,quel,52
qu',que,52
elles,ils,51
fussent,être,18
",",",",p
que,que,83
des,de,81
des,le,71
gens,gens,21
qu',que,52
il,il,51
avait,avoir,18
tâtés,tâter,12
",",",",p
éprouvés,éprouver,12
",",",",p
flairés,flairer,12
",",",",p
qu',que,83
il,il,51
sentait,sentir,18
retors,retors,30
",",",",p
audacieux,audacieux,30
et,et,82
souples,souple,30
/.,/.,P
Duroy,Duroy,20
",",",",p
nommé,nommé,31
chef,chef,21
des,de,81
des,le,71
Echos,Echos,20
",",",",p
lui,lui,51
semblait,sembler,18
un,un,71
garçon,garçon,21
précieux,précieux,30
/.,/.,P
cette,ce,74
fonction,fonction,22
avait,avoir,18
été,être,12
remplie,remplir,12
jusque-là,jusque-là,81
par,par,81
le,le,71
secrétaire,secrétaire,21
de,de,81
la,le,71
rédaction,rédaction,22
",",",",p
monsieur,monsieur,21
Boisrenard,Boisrenard,20
",",",",p
un,un,71
vieux,vieux,30
journaliste,journaliste,21
correct,correct,30
",",",",p
ponctuel,ponctuel,30
et,et,82
méticuleux,méticuleux,30
comme,comme,83
un,un,71
employé,employé,21
/.,/.,P
depuis,depuis,81
trente,trente,72
ans,an,21
il,il,51
avait,avoir,18
été,être,12
secrétaire,secrétaire,21
de,de,81
la,le,71
rédaction,rédaction,22
de,de,81
onze,onze,72
journaux,journal,21
différents,différent,30
",",",",p
sans,sans,81
modifier,modifier,14
en,en,81
rien,rien,52
sa,son,73
manière,manière,22
de,de,81
faire,faire,14
ou,ou,82
de,de,81
voir,voir,14
/.,/.,P
il,il,51
passait,passer,18
d',de,81
une,un,71
rédaction,rédaction,22
dans,dans,81
une,un,71
autre,autre,52
comme,comme,83
on,on,51
change,changer,17
de,de,81
restaurant,restaurant,21
",",",",p
s',se,51
apercevant,apercevoir,13
à,à,81
peine,peine,22
que,que,83
la,le,71
cuisine,cuisine,22
n',ne,60
avait,avoir,18
pas,pas,60
tout,tout,60
à,à,81
fait,fait,21
le,le,71
même,même,75
goût,goût,21
/.,/.,P
les,le,71
opinions,opinion,22
politiques,politique,30
et,et,82
religieuses,religieux,30
lui,lui,51
demeuraient,demeurer,18
étrangères,étrangère,22
/.,/.,P
il,il,51
était,être,18
dévoué,dévouer,12
au,à,81
au,le,71
journal,journal,21
quel,quel,52
qu',que,52
il,il,51
fût,être,19
",",",",p
entendu,entendre,12
dans,dans,81
la,le,71
besogne,besogne,22
",",",",p
et,et,82
précieux,précieux,30
par,par,81
son,son,73
expérience,expérience,22
/.,/.,P
il,il,51
travaillait,travailler,18
comme,comme,83
un,un,71
aveugle,aveugle,21
qui,qui,52
ne,ne,60
voit,voir,17
rien,rien,52
",",",",p
comme,comme,83
un,un,71
sourd,sourd,21
qui,qui,52
n',ne,60
entend,entendre,17
rien,rien,52
",",",",p
et,et,82
comme,comme,83
un,un,71
muet,muet,21
qui,qui,52
ne,ne,60
parle,parler,17
jamais,jamais,60
de,de,81
rien,rien,52
/.,/.,P
il,il,51
avait,avoir,18
cependant,cependant,82
une,un,71
grande,grand,30
loyauté,loyauté,22
professionnelle,professionnel,30
",",",",p
et,et,82
ne,ne,60
se,se,51
fût,être,19
point,point,60
prêté,prêter,12
à,à,81
une,un,71
chose,chose,22
qu',que,52
il,il,51
n',ne,60
aurait,avoir,16
pas,pas,60
jugée,juger,12
honnête,honnête,30
",",",",p
loyale,loyal,30
et,et,82
correcte,correct,30
",",",",p
au,à,81
au,le,71
point,point,21
de,de,81
vue,vue,22
spécial,spécial,30
de,de,81
son,son,73
métier,métier,21
/.,/.,P
monsieur,monsieur,21
Walter,Walter,20
",",",",p
qui,qui,52
l',le,52
appréciait,apprécier,18
cependant,cependant,82
",",",",p
avait,avoir,18
souvent,souvent,60
désiré,désirer,12
un,un,71
autre,autre,75
homme,homme,21
pour,pour,81
lui,lui,51
confier,confier,14
les,le,71
Echos,Echos,20
",",",",p
qui,qui,52
sont,être,17
",",",",p
disait,dire,18
il,il,51
",",",",p
la,le,71
moelle,moelle,22
du,de,81
du,le,71
journal,journal,21
/.,/.,P
c',ce,52
est,être,17
par,par,81
eux,ils,51
qu',que,83
on,on,51
lance,lancer,17
les,le,71
nouvelles,nouvelle,22
",",",",p
qu',que,83
on,on,51
fait,faire,17
courir,courir,14
les,le,71
bruits,bruit,21
",",",",p
qu',que,83
on,on,51
agit,agir,17
sur,sur,81
le,le,71
public,public,21
et,et,82
sur,sur,81
la,le,71
rente,rente,22
/.,/.,P
entre,entre,81
deux,deux,72
soirées,soirée,22
mondaines,mondain,30
il,il,51
faut,falloir,17
savoir,savoir,14
glisser,glisser,14
",",",",p
sans,sans,81
avoir,avoir,14
l',le,71
air,air,21
de,de,81
rien,rien,52
",",",",p
la,le,71
chose,chose,22
importante,important,30
",",",",p
plutôt,plutôt,60
insinuée,insinué,31
que,que,83
dite,dit,31
/.,/.,P
il,il,51
faut,falloir,17
",",",",p
par,par,81
des,de,81
des,le,71
sous-entendus,sous-entendu,21
",",",",p
laisser,laisser,14
deviner,deviner,14
ce,ce,52
qu',que,52
on,on,51
veut,vouloir,17
",",",",p
démentir,démentir,14
de,de,81
telle,tel,75
sorte,sorte,22
que,que,83
la,le,71
rumeur,rumeur,22
s',se,51
affirme,affirmer,17
",",",",p
ou,ou,82
affirmer,affirmer,14
de,de,81
telle,tel,75
manière,manière,22
que,que,83
personne,personne,52
ne,ne,60
croie,croire,17
au,à,81
au,le,71
fait,fait,21
annoncé,annoncé,31
/.,/.,P
il,il,51
faut,falloir,17
que,que,83
",",",",p
dans,dans,81
les,le,71
échos,écho,21
",",",",p
chacun,chacun,52
trouve,trouver,17
",",",",p
chaque,chaque,75
jour,jour,21
une,un,71
ligne,ligne,22
au,à,81
au,le,71
moins,moins,60
qui,qui,52
l',le,52
intéresse,intéresser,17
",",",",p
afin,afin,81
que,que,83
tout,tout,75
le,le,71
monde,monde,21
les,le,52
lise,lire,17
/.,/.,P
il,il,51
faut,falloir,17
penser,penser,14
à,à,81
tout,tout,52
et,et,82
à,à,81
tous,tout,52
",",",",p
à,à,81
tous,tout,75
les,le,71
mondes,monde,21
",",",",p
à,à,81
toutes,tout,75
les,le,71
professions,profession,22
",",",",p
à,à,81
Paris,Paris,20
et,et,82
à,à,81
la,le,71
province,province,22
",",",",p
à,à,81
l',le,71
armée,armée,22
et,et,82
aux,à,81
aux,le,71
peintres,peintre,21
",",",",p
au,à,81
au,le,71
clergé,clergé,21
et,et,82
à,à,81
l',le,71
université,université,22
",",",",p
aux,à,81
aux,le,71
magistrats,magistrat,21
et,et,82
aux,à,81
aux,le,71
courtisanes,courtisane,22
/.,/.,P
l',le,71
homme,homme,21
qui,qui,52
les,le,52
dirige,diriger,17
et,et,82
qui,qui,52
commande,commander,17
au,à,81
au,le,71
bataillon,bataillon,21
des,de,81
des,le,71
reporters,reporter,21
doit,devoir,17
être,être,14
toujours,toujours,60
en,en,81
éveil,éveil,21
",",",",p
et,et,82
toujours,toujours,60
en,en,81
garde,garde,22
",",",",p
méfiant,méfiant,30
",",",",p
prévoyant,prévoyant,30
",",",",p
rusé,rusé,31
",",",",p
alerte,alerte,30
et,et,82
souple,souple,30
",",",",p
armé,armé,31
de,de,81
toutes,tout,75
les,le,71
astuces,astuce,22
et,et,82
doué,doué,31
d',de,81
un,un,71
flair,flair,21
infaillible,infaillible,30
pour,pour,81
découvrir,découvrir,14
la,le,71
nouvelle,nouvelle,22
fausse,faux,30
du,de,81
du,le,71
premier,premier,72
coup,coup,21
d',de,81
oeil,oeil,21
",",",",p
pour,pour,81
juger,juger,14
ce,ce,52
qui,qui,52
est,être,17
bon,bon,30
à,à,81
dire,dire,14
et,et,82
bon,bon,30
à,à,81
celer,celer,14
",",",",p
pour,pour,81
deviner,deviner,14
ce,ce,52
qui,qui,52
portera,porter,15
sur,sur,81
le,le,71
public,public,21
;,;,p
et,et,82
il,il,51
doit,devoir,17
savoir,savoir,14
le,le,52
présenter,présenter,14
de,de,81
telle,tel,75
façon,façon,22
que,que,83
l',le,71
effet,effet,21
en,en,52
soit,être,17
multiplié,multiplier,12
/.,/.,P
monsieur,monsieur,21
Boisrenard,Boisrenard,20
",",",",p
qui,qui,52
avait,avoir,18
pour,pour,81
lui,lui,51
une,un,71
bonne,bon,30
pratique,pratique,22
",",",",p
manquait,manquer,18
de,de,81
maîtrise,maîtrise,22
et,et,82
de,de,81
chic,chic,21
;,;,p
il,il,51
manquait,manquer,18
surtout,surtout,60
de,de,81
la,le,71
rouerie,rouerie,22
native,natif,30
qu',que,52
il,il,51
fallait,falloir,18
pour,pour,81
pressentir,pressentir,14
chaque,chaque,75
jour,jour,21
les,le,71
idées,idée,22
secrètes,secret,30
du,de,81
du,le,71
patron,patron,21
/.,/.,P
Duroy,Duroy,20
devait,devoir,18
faire,faire,14
l',le,71
affaire,affaire,22
en,en,81
perfection,perfection,22
",",",",p
et,et,82
il,il,51
complétait,compléter,18
admirablement,admirablement,60
la,le,71
rédaction,rédaction,22
de,de,81
cette,ce,74
feuille,feuille,22
“,“,p
qui,qui,52
naviguait,naviguer,18
sur,sur,81
les,le,71
fonds,fonds,21
de,de,81
l',le,71
Etat,état,21
et,et,82
sur,sur,81
les,le,71
bas-fonds,bas-fond,21
de,de,81
la,le,71
politique,politique,22
“,“,p
",",",",p
selon,selon,81
l',le,71
expression,expression,22
de,de,81
Norbert,Norbert,20
de,de,81
Varenne,Varenne,20
/.,/.,P
les,le,71
inspirateurs,inspirateur,21
et,et,82
véritables,véritable,30
rédacteurs,rédacteur,21
de,de,81
la,le,71
Vie Française,Vie Française,20
étaient,être,18
une,un,71
demi-douzaine,demi-douzaine,22
de,de,81
députés,député,21
intéressés,intéressé,31
dans,dans,81
toutes,tout,75
les,le,71
spéculations,spéculation,22
que,que,52
lançait,lancer,18
ou,ou,82
que,que,52
soutenait,soutenir,18
le,le,71
directeur,directeur,21
/.,/.,P
on,on,51
les,le,52
nommait,nommer,18
à,à,81
la,le,71
chambre,chambre,22
“,“,p
la,le,71
bande,bande,22
Walter,Walter,20
“,“,p
et,et,82
on,on,51
les,le,52
enviait,envier,18
parce qu',parce que,83
ils,ils,51
devaient,devoir,18
gagner,gagner,14
de,de,81
l',le,71
argent,argent,21
avec,avec,81
lui,lui,51
et,et,82
par,par,81
lui,lui,51
/.,/.,P
Forestier,Forestier,20
",",",",p
rédacteur,rédacteur,21
politique,politique,30
",",",",p
n',ne,60
était,être,18
que,que,83
l',le,71
homme,homme,21
de,de,81
paille,paille,22
de,de,81
ces,ce,74
hommes,homme,21
d',de,81
affaires,affaire,22
;,;,p
l',le,71
exécuteur,exécuteur,21
des,de,81
des,le,71
intentions,intention,22
suggérées,suggéré,31
par,par,81
eux,ils,51
/.,/.,P
ils,ils,51
lui,lui,51
soufflaient,souffler,18
ses,son,73
articles,article,21
de,de,81
fond,fond,21
qu',que,52
il,il,51
allait,aller,18
toujours,toujours,60
écrire,écrire,14
chez,chez,81
lui,lui,51
pour,pour,81
être,être,14
tranquille,tranquille,30
",",",",p
disait,dire,18
il,il,51
/.,/.,P
mais,mais,82
",",",",p
enfin,enfin,60
de,de,81
donner,donner,14
au,à,81
au,le,71
journal,journal,21
une,un,71
allure,allure,22
littéraire,littéraire,30
et,et,82
parisienne,parisien,30
",",",",p
on,on,51
y,y,52
avait,avoir,18
attaché,attacher,12
deux,deux,72
écrivains,écrivain,21
célèbres,célèbre,30
en,en,81
des,de,81
des,le,71
genres,genre,21
différents,différent,30
",",",",p
Jacques,Jacques,20
rival,rival,30
",",",",p
chroniqueur,chroniqueur,21
d',de,81
actualité,actualité,22
",",",",p
et,et,82
Norbert,Norbert,20
de,de,81
Varenne,Varenne,20
",",",",p
poète,poète,21
et,et,82
chroniqueur,chroniqueur,21
fantaisiste,fantaisiste,30
",",",",p
ou,ou,82
plutôt,plutôt,60
conteur,conteur,21
",",",",p
suivant,suivant,81
la,le,71
nouvelle,nouveau,30
école,école,22
/.,/.,P
puis,puis,60
on,on,51
s',se,51
était,être,18
procuré,procurer,12
",",",",p
à,à,81
bas,bas,30
prix,prix,21
",",",",p
des,de,81
des,le,71
critiques,critique,21
d',de,81
art,art,21
",",",",p
de,de,81
peinture,peinture,22
",",",",p
de,de,81
musique,musique,22
",",",",p
de,de,81
",",",",p
théâtre,théâtre,21
",",",",p
un,un,71
rédacteur,rédacteur,21
criminaliste,criminaliste,21
et,et,82
un,un,71
rédacteur,rédacteur,21
hippique,hippique,30
",",",",p
parmi,parmi,81
la,le,71
grande,grand,30
tribu,tribu,22
mercenaire,mercenaire,30
des,de,81
des,le,71
écrivains,écrivain,21
à,à,81
tout,tout,52
faire,faire,14
/.,/.,P
deux,deux,72
femmes,femme,22
du,de,81
du,le,71
monde,monde,21
",",",",p
“,“,p
domino,domino,21
rose,rose,30
“,“,p
et,et,82
“,“,p
patte,patte,22
blanche,blanc,30
“,“,p
",",",",p
envoyaient,envoyer,18
des,de,81
des,le,71
variétés,variété,22
mondaines,mondain,30
",",",",p
traitaient,traiter,18
les,le,71
questions,question,22
de,de,81
mode,mode,22
",",",",p
de,de,81
vie,vie,22
élégante,élégant,30
",",",",p
d',de,81
étiquette,étiquette,22
",",",",p
de,de,81
savoir-vivre,savoir-vivre,21
",",",",p
et,et,82
commettaient,commettre,18
des,de,81
des,le,71
indiscrétions,indiscrétion,22
sur,sur,81
les,le,71
grandes,grand,30
dames,dame,22
/.,/.,P
et,et,82
la,le,71
Vie Française,Vie Française,20
“,“,p
naviguait,naviguer,18
sur,sur,81
les,le,71
fonds,fond,21
et,et,82
bas-fonds,bas-fond,21
“,“,p
",",",",p
manoeuvrée,manoeuvré,31
par,par,81
toutes,tout,75
ces,ce,74
mains,main,22
différentes,différent,30
/.,/.,P
Duroy,Duroy,20
était,être,18
dans,dans,81
toute,tout,75
la,le,71
joie,joie,22
de,de,81
sa,son,73
nomination,nomination,22
aux,à,81
aux,le,71
fonctions,fonction,22
de,de,81
chef,chef,21
des,de,81
des,le,71
Echos,Echos,20
quand,quand,83
il,il,51
reçut,recevoir,19
un,un,71
petit,petit,30
carton,carton,21
gravé,gravé,31
",",",",p
où,où,60
il,il,51
lut,lire,19
/.,/.,P
“,“,p
monsieur,monsieur,21
et,et,82
madame,madame,22
Walter,Walter,20
prient,prier,17
monsieur,monsieur,21
Georges,Georges,20
Duroy,Duroy,20
de,de,81
leur,leur,52
faire,faire,14
le,le,71
plaisir,plaisir,21
de,de,81
venir,venir,14
dîner,dîner,14
chez,chez,81
eux,ils,51
le,le,71
<Nombre jeudi 20 janvier>,<>,<>
jeudi,jeudi,21
vingt,vingt,72
janvier,janvier,21
<Fin nombre>,<>,<>
/.,/.,P
“,“,p
cette,ce,74
nouvelle,nouveau,30
faveur,faveur,22
",",",",p
tombant,tomber,13
sur,sur,81
l',le,71
autre,autre,52
",",",",p
l',le,52
emplit,emplir,19
d',de,81
une,un,71
telle,tel,75
joie,joie,22
qu',que,83
il,il,51
baisa,baiser,19
l',le,71
invitation,invitation,22
comme,comme,83
il,il,51
eût,avoir,19
fait,faire,12
d',de,81
une,un,71
lettre,lettre,22
d',de,81
amour,amour,21
/.,/.,P
puis,puis,60
il,il,51
alla,aller,19
trouver,trouver,14
le,le,71
caissier,caissier,21
pour,pour,81
traiter,traiter,14
la,le,71
grosse,gros,30
question,question,22
des,de,81
des,le,71
fonds,fonds,21
/.,/.,P
un,un,71
chef,chef,21
des,de,81
des,le,71
Echos,Echos,20
a,avoir,17
généralement,généralement,60
son,son,73
budget,budget,21
sur,sur,81
lequel,lequel,52
il,il,51
paye,payer,17
ses,son,73
reporters,reporter,21
et,et,82
les,le,71
nouvelles,nouveau,30
",",",",p
bonnes,bon,30
ou,ou,82
médiocres,médiocre,30
",",",",p
apportées,apporté,31
par,par,81
l',le,71
un,un,52
ou,ou,82
par,par,81
l',le,71
autre,autre,52
",",",",p
comme,comme,83
les,le,71
jardiniers,jardinier,21
apportent,apporter,17
leurs,leur,73
fruits,fruit,21
chez,chez,81
un,un,71
marchand,marchand,21
de,de,81
primeurs,primeur,21
/.,/.,P
douze,douze,72
cents,cent,72
francs,franc,21
par,par,81
mois,mois,21
",",",",p
au,à,81
au,le,71
début,début,21
",",",",p
étaient,être,18
alloués,allouer,12
à,à,81
Duroy,Duroy,20
",",",",p
qui,qui,52
se,se,51
proposait,proposer,18
bien,bien,60
d',de,81
en,en,52
garder,garder,14
une,un,71
forte,fort,30
partie,partie,22
/.,/.,P
le,le,71
caissier,caissier,21
",",",",p
sur,sur,81
ses,son,73
représentations,représentation,22
pressantes,pressant,30
",",",",p
avait,avoir,18
fini,finir,12
par,par,81
lui,lui,51
avancer,avancer,14
quatre,quatre,72
cents,cent,72
francs,franc,21
/.,/.,P
il,il,51
eut,avoir,19
",",",",p
au,à,81
au,le,71
premier,premier,72
moment,moment,21
",",",",p
l',le,71
intention,intention,22
formelle,formel,30
de,de,81
renvoyer,renvoyer,14
à,à,81
madame,madame,22
de,de,81
Marelle,Marelle,20
les,le,71
deux,deux,72
cent,cent,72
quatre,quatre,72
vingts,vingt,72
francs,franc,21
qu',que,52
il,il,51
lui,lui,51
devait,devoir,18
",",",",p
mais,mais,82
il,il,51
réfléchit,réfléchir,19
presque,presque,60
aussitôt,aussitôt,60
qu',que,83
il,il,51
ne,ne,60
lui,lui,51
resterait,rester,16
plus,plus,60
entre,entre,81
les,le,71
mains,main,22
que,que,83
cent,cent,72
vingt,vingt,72
francs,franc,21
",",",",p
somme,somme,22
tout,tout,60
à,à,81
fait,fait,21
insuffisante,insuffisant,30
pour,pour,81
faire,faire,14
marcher,marcher,14
",",",",p
d',de,81
une,un,71
façon,façon,22
convenable,convenable,30
",",",",p
son,son,73
nouveau,nouveau,30
service,service,21
",",",",p
et,et,82
il,il,51
remit,remettre,19
cette,ce,74
restitution,restitution,22
à,à,81
des,de,81
des,le,71
temps,temps,21
plus,plus,60
éloignés,éloigné,31
/.,/.,P
pendant,pendant,81
deux,deux,72
jours,jour,21
",",",",p
il,il,51
s',se,51
occupa,occuper,19
de,de,81
son,son,73
installation,installation,22
",",",",p
car,car,82
il,il,51
héritait,hériter,18
d',de,81
une,un,71
table,table,22
particulière,particulier,30
et,et,82
de,de,81
casiers,casier,21
à,à,81
lettres,lettre,22
",",",",p
dans,dans,81
la,le,71
vaste,vaste,30
pièce,pièce,22
commune,commun,30
à,à,81
toute,tout,75
la,le,71
rédaction,rédaction,22
/.,/.,P
il,il,51
occupait,occuper,18
un,un,71
bout,bout,21
de,de,81
cette,ce,74
pièce,pièce,22
",",",",p
tandis que,tandis que,83
Boisrenard,Boisrenard,20
",",",",p
dont,dont,52
les,le,71
cheveux,cheveu,21
d',de,81
un,un,71
noir,noir,21
d',de,81
ébène,ébène,21
malgré,malgré,81
son,son,73
âge,âge,21
étaient,être,18
toujours,toujours,60
penchés,pencher,12
sur,sur,81
une,un,71
feuille,feuille,22
de,de,81
papier,papier,21
",",",",p
tenait,tenir,18
l',le,71
autre,autre,75
bout,bout,21
/.,/.,P
la,le,71
longue,long,30
table,table,22
du,de,81
du,le,71
centre,centre,21
appartenait,appartenir,18
aux,à,81
aux,le,71
rédacteurs,rédacteur,21
volants,volant,30
/.,/.,P
généralement,généralement,60
elle,il,51
servait,servir,18
de,de,81
banc,banc,21
pour,pour,81
s',se,51
asseoir,asseoir,14
",",",",p
soit,soit,82
les,le,71
jambes,jambe,22
pendantes,pendant,30
le,le,71
long,long,21
des,de,81
des,le,71
bords,bord,21
",",",",p
soit,soit,82
à,à,81
la,le,71
turque,turc,30
sur,sur,81
le,le,71
milieu,milieu,21
/.,/.,P
ils,ils,51
étaient,être,18
quelquefois,quelquefois,60
cinq,cinq,72
ou,ou,82
six,six,72
accroupis,accroupir,12
sur,sur,81
cette,ce,74
table,table,22
",",",",p
et,et,82
jouant,jouer,13
au,à,81
au,le,71
bilboquet,bilboquet,21
avec,avec,81
persévérance,persévérance,22
",",",",p
dans,dans,81
une,un,71
pose,pose,22
",",",",p
de,de,81
magots,magot,21
chinois,chinois,30
/.,/.,P
Duroy,Duroy,20
avait,avoir,18
fini,finir,12
par,par,81
prendre,prendre,14
goût,goût,21
à,à,81
ce,ce,74
divertissement,divertissement,21
et,et,82
il,il,51
commençait,commencer,18
à,à,81
devenir,devenir,14
fort,fort,60
",",",",p
sous,sous,81
la,le,71
direction,direction,22
et,et,82
grâce,grâce,22
aux,à,81
aux,le,71
conseils,conseil,21
de,de,81
Saint Potin,Saint Potin,20
/.,/.,P
Forestier,Forestier,20
",",",",p
de,de,81
plus,plus,60
en,en,81
plus,plus,60
souffrant,souffrir,13
",",",",p
lui,lui,51
avait,avoir,18
confié,confier,12
son,son,73
beau,beau,30
bilboquet,bilboquet,21
en,en,81
bois,bois,21
des,de,81
des,le,71
îles,île,22
",",",",p
le,le,71
dernier,dernier,21
acheté,acheté,31
",",",",p
qu',que,52
il,il,51
trouvait,trouver,18
un,un,71
peu,peu,60
lourd,lourd,30
",",",",p
et,et,82
Duroy,Duroy,20
manoeuvrait,manoeuvrer,18
d',de,81
un,un,71
bras,bras,21
vigoureux,vigoureux,30
la,le,71
grosse,gros,30
boule,boule,22
noire,noir,30
au,à,81
au,le,71
bout,bout,21
de,de,81
sa,son,73
corde,corde,22
",",",",p
en,en,81
comptant,compter,13
tout,tout,60
bas,bas,30
:,:,p
“,“,p
un,un,52
-,-,p
deux,deux,72
-,-,p
trois,trois,72
-,-,p
quatre,quatre,72
-,-,p
cinq,cinq,72
-,-,p
six,six,72
“,“,p
/.,/.,P
il,il,51
arriva,arriver,19
justement,justement,60
",",",",p
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
",",",",p
à,à,81
faire,faire,14
vingt,vingt,72
points,point,21
de,de,81
suite,suite,22
",",",",p
le,le,71
jour,jour,21
même,même,30
où,où,60
il,il,51
devait,devoir,18
dîner,dîner,14
chez,chez,81
madame,madame,22
Walter,Walter,20
/.,/.,P
“,“,p
bonne,bon,30
journée,journée,22
",",",",p
pensa,penser,19
t,t,94
il,il,51
",",",",p
j',je,51
ai,avoir,17
tous,tout,75
les,le,71
succès,succès,21
/.,/.,P
“,“,p
car,car,82
l',le,71
adresse,adresse,22
au,à,81
au,le,71
bilboquet,bilboquet,21
conférait,conférer,18
vraiment,vraiment,60
un,un,71
sorte,sorte,22
de,de,81
supériorité,supériorité,22
",",",",p
dans,dans,81
les,le,71
bureaux,bureau,21
de,de,81
la,le,71
vie,vie,22
Français,Français,20
/.,/.,P
il,il,51
quitta,quitter,19
la,le,71
rédaction,rédaction,22
de,de,81
bonne,bon,30
heure,heure,22
pour,pour,81
avoir,avoir,14
le,le,71
temps,temps,21
de,de,81
s',se,51
habiller,habiller,14
",",",",p
et,et,82
il,il,51
remontait,remonter,18
la,le,71
rue,rue,22
de,de,81
Londres,Londres,20
",",",",p
quand,quand,83
il,il,51
vit,voir,19
trotter,trotter,14
devant,devant,81
lui,lui,51
une,un,71
petite,petit,30
femme,femme,22
qui,qui,52
avait,avoir,18
la,le,71
tournure,tournure,22
de,de,81
madame,madame,22
de,de,81
Marelle,Marelle,20
/.,/.,P
il,il,51
sentit,sentir,19
une,un,71
chaleur,chaleur,22
lui,lui,51
monter,monter,14
au,à,81
au,le,71
visage,visage,21
",",",",p
et,et,82
son,son,73
coeur,coeur,21
se,se,51
mit,mettre,19
à,à,81
battre,battre,14
/.,/.,P
il,il,51
traversa,traverser,19
la,le,71
rue,rue,22
pour,pour,81
la,le,52
regarder,regarder,14
de,de,81
profil,profil,21
/.,/.,P
elle,il,51
s',se,51
arrêta,arrêter,19
pour,pour,81
traverser,traverser,14
aussi,aussi,60
/.,/.,P
il,il,51
s',se,51
était,être,18
trompé,tromper,12
;,;,p
il,il,51
respira,respirer,19
/.,/.,P
il,il,51
s',se,51
était,être,18
souvent,souvent,60
demandé,demander,12
comment,comment,60
il,il,51
devrait,devoir,16
se,se,51
comporter,comporter,14
en,en,81
la,le,52
rencontrant,rencontrer,13
face,face,22
à,à,81
face,face,22
/.,/.,P
la,le,52
saluerait,saluer,16
il,il,51
ou,ou,82
bien,bien,60
aurait,avoir,16
il,il,51
l',le,71
air,air,21
de,de,81
ne,ne,60
la,le,52
point,point,60
voir,voir,14
/?,/?,P
je,je,51
ne,ne,60
la,le,52
verrais,voir,16
“,“,p
",",",",p
pensa,penser,19
t,t,94
il,il,51
/.,/.,P
il,il,51
faisait,faire,18
froid,froid,21
",",",",p
les,le,71
ruisseaux,ruisseau,21
gelés,gelé,31
gardaient,garder,18
des,de,81
des,le,71
empâtements,empâtement,21
de,de,81
glace,glace,22
/.,/.,P
les,le,71
trottoirs,trottoir,21
étaient,être,18
secs,sec,30
et,et,82
gris,gris,30
sous,sous,81
la,le,71
lueur,lueur,22
du,de,81
du,le,71
gaz,gaz,21
/.,/.,P
quand,quand,83
le,le,71
jeune,jeune,30
homme,homme,21
entra,entrer,19
chez,chez,81
lui,lui,51
",",",",p
il,il,51
songea,songer,19
:,:,p
“,“,p
il,il,51
faut,falloir,17
que,que,83
je,je,51
change,changer,17
de,de,81
logement,logement,21
/.,/.,P
cela,cela,52
ne,ne,60
me,je,51
suffit,suffire,19
plus,plus,60
maintenant,maintenant,60
/.,/.,P
“,“,p
il,il,51
se,se,51
sentait,sentir,18
nerveux,nerveux,30
et,et,82
gai,gai,30
",",",",p
capable,capable,30
de,de,81
courir,courir,14
sur,sur,81
les,le,71
toits,toit,21
",",",",p
et,et,82
il,il,51
répétait,répéter,18
tout,tout,60
haut,haut,30
",",",",p
en,en,81
allant,aller,13
de,de,81
son,son,73
lit,lit,21
à,à,81
la,le,71
fenêtre,fenêtre,22
:,:,p
“,“,p
c',ce,52
est,être,17
la,le,71
fortune,fortune,22
qui,qui,52
arrive,arriver,17
!,!,p
c',ce,52
est,être,17
la,le,71
fortune,fortune,22
/!,/!,P
il,il,51
faudra,falloir,15
que,que,83
j',je,51
écrive,écrire,17
à,à,81
papa,papa,21
/.,/.,P
“,“,p
de,de,81
temps,temps,21
en,en,81
temps,temps,21
il,il,51
lui,lui,51
écrivait,écrire,18
",",",",p
à,à,81
son,son,73
père,père,21
;,;,p
et,et,82
la,le,71
lettre,lettre,22
apportait,apporter,18
toujours,toujours,60
une,un,71
joie,joie,22
vive,vif,30
dans,dans,81
le,le,71
petit,petit,30
cabaret,cabaret,21
normand,normand,30
",",",",p
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
route,route,22
",",",",p
au,à,81
au,le,71
haut,haut,21
de,de,81
la,le,71
grande,grand,30
côte,côte,22
d',de,81
où,où,60
l',l',94
on,on,51
domine,dominer,17
Rouen,Rouen,20
et,et,82
la,le,71
large,large,30
vallée,vallée,22
de,de,81
la,le,71
Seine,Seine,20
/.,/.,P
de,de,81
temps,temps,21
en,en,81
temps,temps,21
aussi,aussi,60
il,il,51
recevait,recevoir,18
une,un,71
enveloppe,enveloppe,22
bleue,bleu,30
dont,dont,52
l',le,71
adresse,adresse,22
était,être,18
tracée,tracer,12
d',de,81
une,un,71
grosse,gros,30
écriture,écriture,22
tremblée,tremblé,31
",",",",p
et,et,82
il,il,51
lisait,lire,18
infailliblement,infailliblement,60
les,le,71
mêmes,même,75
lignes,ligne,22
au,à,81
au,le,71
début,début,21
de,de,81
la,le,71
lettre,lettre,22
paternelle,paternel,30
:,:,p
“,“,p
mon,mon,73
cher,cher,30
fils,fils,21
",",",",p
la,le,71
présente,présent,30
est,être,17
pour,pour,81
te,tu,51
dire,dire,14
que,que,83
nous,nous,51
allons,aller,17
bien,bien,60
",",",",p
ta,ton,73
mère,mère,22
et,et,82
