11796
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-seizième extrait>,<>,<>
une,un,71
nuit,nuit,22
sans,sans,81
sommeil,sommeil,21
",",",",p
les,le,71
deux,deux,72
femmes,femme,22
et,et,82
le,le,71
baron,baron,21
montèrent,monter,19
avec,avec,81
lui,lui,51
dans,dans,81
la,le,71
calèche,calèche,22
qui,qui,52
partit,partir,19
au,à,81
au,le,71
trot,trot,21
des,de,81
des,le,71
deux,deux,72
chevaux,cheval,21
/.,/.,P
on,on,51
avait,avoir,18
déjà,déjà,60
choisi,choisir,12
",",",",p
dans,dans,81
un,un,71
autre,autre,75
voyage,voyage,21
",",",",p
sa,son,73
place,place,22
au,à,81
au,le,71
dortoir,dortoir,21
et,et,82
sa,son,73
place,place,22
en,en,81
classe,classe,22
/.,/.,P
Jeanne,Jeanne,20
",",",",p
aidée,aidé,31
de,de,81
tante,tante,22
Lison,Lison,20
",",",",p
passa,passer,19
tout,tout,75
le,le,71
jour,jour,21
à,à,81
ranger,ranger,14
les,le,71
hardes,harde,22
dans,dans,81
la,le,71
petite,petit,30
commode,commode,22
/.,/.,P
comme,comme,83
le,le,71
meuble,meuble,21
ne,ne,60
contenait,contenir,18
pas,pas,60
le,le,71
quart,quart,21
de,de,81
ce,ce,52
qu',que,52
on,on,51
avait,avoir,18
apporté,apporter,12
",",",",p
elle,il,51
alla,aller,19
trouver,trouver,14
le,le,71
proviseur,proviseur,21
pour,pour,81
en,en,52
obtenir,obtenir,14
un,un,71
second,second,72
/.,/.,P
l',le,71
économe,économe,21
fut,être,19
appelé,appeler,12
;,;,p
il,il,51
représenta,représenter,19
que,que,83
tant,tant,60
de,de,81
linges,linge,21
et,et,82
d',de,81
effets,effet,21
ne,ne,60
feraient,faire,16
que,que,83
gêner,gêner,14
sans,sans,81
servir,servir,14
jamais,jamais,60
;,;,p
et,et,82
il,il,51
refusa,refuser,19
",",",",p
au,à,81
au,le,71
nom,nom,21
du,de,81
du,le,71
règlement,règlement,21
",",",",p
de,de,81
céder,céder,14
une,un,71
autre,autre,75
commode,commode,22
/.,/.,P
la,le,71
mère,mère,22
désolée,désolé,31
se,se,51
résolut,résoudre,19
alors,alors,60
à,à,81
louer,louer,14
une,un,71
chambre,chambre,22
dans,dans,81
un,un,71
petit,petit,30
hôtel,hôtel,21
voisin,voisin,30
en,en,81
recommandant,recommander,13
à,à,81
l',le,71
hôtelier,hôtelier,21
d',de,81
aller,aller,14
lui-même,lui-même,51
porter,porter,14
à,à,81
Poulet,Poulet,20
tout,tout,52
ce,ce,52
dont,dont,52
il,il,51
aurait,avoir,16
besoin,besoin,21
",",",",p
au,à,81
au,le,71
premier,premier,72
appel,appel,21
de,de,81
l',le,71
enfant,enfant,21
/.,/.,P
puis,puis,60
on,on,51
fit,faire,19
un,un,71
tour,tour,21
sur,sur,81
la,le,71
jetée,jetée,22
pour,pour,81
regarder,regarder,14
sortir,sortir,14
et,et,82
entrer,entrer,14
les,le,71
navires,navire,21
/.,/.,P
le,le,71
triste,triste,30
soir,soir,21
tomba,tomber,19
sur,sur,81
la,le,71
ville,ville,22
qui,qui,52
s',se,51
illuminait,illuminer,18
peu,peu,60
à,à,81
peu,peu,60
/.,/.,P
on,on,51
entra,entrer,19
pour,pour,81
dîner,dîner,14
dans,dans,81
un,un,71
restaurant,restaurant,21
/.,/.,P
aucun,aucun,52
d',de,81
eux,ils,51
n',ne,60
avait,avoir,18
faim,faim,22
;,;,p
et,et,82
ils,ils,51
se,se,51
regardaient,regarder,18
d',de,81
un,un,71
oeil,oeil,21
humide,humide,30
pendant,pendant,81
que,que,83
les,le,71
plats,plat,21
défilaient,défiler,18
devant,devant,81
eux,ils,51
et,et,82
s',se,51
en,en,52
retournaient,retourner,18
presque,presque,60
pleins,plein,30
/.,/.,P
puis,puis,60
on,on,51
se,se,51
mit,mettre,19
en,en,81
marche,marche,22
lentement,lentement,60
vers,vers,81
le,le,71
collège,collège,21
/.,/.,P
des,de,81
des,le,71
enfants,enfant,21
de,de,81
toutes,tout,75
les,le,71
tailles,taille,22
arrivaient,arriver,18
de,de,81
tous,tout,75
les,le,71
côtés,côté,21
",",",",p
conduits,conduit,31
par,par,81
leurs,leur,73
familles,famille,22
ou,ou,82
par,par,81
des,de,81
des,le,71
domestiques,domestique,21
/.,/.,P
beaucoup,beaucoup,60
pleuraient,pleurer,18
/.,/.,P
on,on,51
entendait,entendre,18
un,un,71
bruit,bruit,21
de,de,81
larmes,larme,22
dans,dans,81
la,le,71
grande,grand,30
cour,cour,22
à,à,81
peine,peine,22
éclairée,éclairé,31
/.,/.,P
Jeanne,Jeanne,20
et,et,82
Poulet,Poulet,20
s',se,51
étreignirent,étreindre,19
longtemps,longtemps,60
/.,/.,P
tante,tante,22
Lison,Lison,20
restait,rester,18
derrière,derrière,81
",",",",p
oubliée,oublié,31
tout,tout,60
à,à,81
fait,fait,21
et,et,82
la,le,71
figure,figure,22
dans,dans,81
son,son,73
mouchoir,mouchoir,21
/.,/.,P
mais,mais,82
le,le,71
baron,baron,21
",",",",p
qui,qui,52
s',se,51
attendrissait,attendrir,18
",",",",p
abrégea,abréger,19
les,le,71
adieux,adieu,21
en,en,81
entraînant,entraîner,13
sa,son,73
fille,fille,22
/.,/.,P
la,le,71
calèche,calèche,22
attendait,attendre,18
devant,devant,81
la,le,71
porte,porte,22
;,;,p
ils,ils,51
montèrent,monter,19
dedans,dedans,60
tous,tout,75
trois,trois,72
et,et,82
s',se,51
en,en,52
retournèrent,retourner,19
dans,dans,81
la,le,71
nuit,nuit,22
vers,vers,81
les,le,71
Peuples,Peuple,20
/.,/.,P
parfois,parfois,60
un,un,71
gros,gros,30
sanglot,sanglot,21
passait,passer,18
dans,dans,81
l',le,71
ombre,ombre,22
/.,/.,P
le,le,71
lendemain,lendemain,21
Jeanne,Jeanne,20
pleura,pleurer,19
jusqu',jusque,81
au,à,81
au,le,71
soir,soir,21
/.,/.,P
le,le,71
jour,jour,21
suivant,suivant,30
elle,il,51
fit,faire,19
atteler,atteler,14
le,le,71
phaéton,phaéton,21
et,et,82
partit,partir,19
pour,pour,81
le,le,71
Havre,Havre,20
/.,/.,P
Poulet,Poulet,20
semblait,sembler,18
avoir,avoir,14
déjà,déjà,60
pris,prendre,12
son,son,73
parti,parti,21
de,de,81
la,le,71
séparation,séparation,22
/.,/.,P
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
de,de,81
sa,son,73
vie,vie,22
il,il,51
avait,avoir,18
des,de,81
des,le,71
camarades,camarade,21
;,;,p
et,et,82
le,le,71
désir,désir,21
de,de,81
jouer,jouer,14
le,le,52
faisait,faire,18
frémir,frémir,14
sur,sur,81
sa,son,73
chaise,chaise,22
au,à,81
au,le,71
parloir,parloir,21
/.,/.,P
Jeanne,Jeanne,20
revint,revenir,19
ainsi,ainsi,60
tous,tout,75
les,le,71
deux,deux,72
jours,jour,21
",",",",p
et,et,82
le,le,71
dimanche,dimanche,21
pour,pour,81
les,le,71
sorties,sortie,22
/.,/.,P
ne,ne,60
sachant,savoir,13
que,que,83
faire,faire,14
pendant,pendant,81
les,le,71
classes,classe,22
",",",",p
entre,entre,81
les,le,71
récréations,récréation,22
",",",",p
elle,il,51
demeurait,demeurer,18
assise,assis,31
au,à,81
au,le,71
parloir,parloir,21
",",",",p
n',ne,60
ayant,avoir,13
ni,ni,82
la,le,71
force,force,22
ni,ni,82
le,le,71
courage,courage,21
de,de,81
s',se,51
éloigner,éloigner,14
du,de,81
du,le,71
collège,collège,21
/.,/.,P
le,le,71
proviseur,proviseur,21
la,le,52
fit,faire,19
prier,prier,14
de,de,81
monter,monter,14
chez,chez,81
lui,lui,51
",",",",p
et,et,82
il,il,51
lui,lui,51
demanda,demander,19
de,de,81
venir,venir,14
moins,moins,60
souvent,souvent,60
/.,/.,P
elle,il,51
ne,ne,60
tint,tenir,19
pas,pas,60
compte,compte,21
de,de,81
cette,ce,74
recommandation,recommandation,22
/.,/.,P
il,il,51
la,le,52
prévint,prévenir,19
alors,alors,60
que,que,83
",",",",p
si,si,83
elle,il,51
continuait,continuer,18
à,à,81
empêcher,empêcher,14
son,son,73
fils,fils,21
de,de,81
jouer,jouer,14
pendant,pendant,81
les,le,71
heures,heure,22
d',de,81
ébats,ébat,21
",",",",p
et,et,82
de,de,81
travailler,travailler,14
en,en,81
le,le,52
troublant,troubler,13
sans,sans,81
cesse,cesse,22
",",",",p
on,on,51
se,se,51
verrait,voir,16
forcé,forcé,31
de,de,81
le,le,52
lui,lui,51
rendre,rendre,14
;,;,p
et,et,82
le,le,71
baron,baron,21
fut,être,19
prévenu,prévenir,12
par,par,81
un,un,71
mot,mot,21
/.,/.,P
elle,il,51
demeura,demeurer,19
donc,donc,82
gardée,gardé,31
à,à,81
vue,vue,22
aux,à,81
aux,le,71
Peuples,Peuple,20
",",",",p
comme,comme,83
une,un,71
prisonnière,prisonnière,22
/.,/.,P
elle,il,51
attendait,attendre,18
chaque,chaque,75
vacance,vacance,22
avec,avec,81
plus,plus,60
d',de,81
anxiété,anxiété,22
que,que,83
son,son,73
enfant,enfant,21
/.,/.,P
et,et,82
une,un,71
inquiétude,inquiétude,22
incessante,incessant,30
agitait,agiter,18
son,son,73
âme,âme,22
/.,/.,P
elle,il,51
se,se,51
mit,mettre,19
à,à,81
rôder,rôder,14
par,par,81
le,le,71
pays,pays,21
",",",",p
se,se,51
promenant,promener,13
seule,seul,30
avec,avec,81
le,le,71
chien,chien,21
Massacre,Massacre,20
pendant,pendant,81
des,de,81
des,le,71
jours,jour,21
entiers,entier,30
",",",",p
en,en,81
rêvassant,rêvasser,13
dans,dans,81
le,le,71
vide,vide,21
/.,/.,P
parfois,parfois,60
elle,il,51
restait,rester,18
assise,assis,31
durant,durant,81
tout,tout,75
un,un,71
après-midi,après-midi,21
à,à,81
regarder,regarder,14
la,le,71
mer,mer,22
du,de,81
du,le,71
haut,haut,21
de,de,81
la,le,71
falaise,falaise,22
;,;,p
parfois,parfois,60
",",",",p
elle,il,51
descendait,descendre,18
jusqu',jusque,81
à,à,81
Yport,Yport,20
à,à,81
travers,travers,21
le,le,71
bois,bois,21
",",",",p
refaisant,refaire,13
des,de,81
des,le,71
promenades,promenade,22
anciennes,ancien,30
dont,dont,52
le,le,71
souvenir,souvenir,21
la,le,52
poursuivait,poursuivre,18
/.,/.,P
comme,comme,83
c',ce,52
était,être,18
loin,loin,60
",",",",p
comme,comme,83
c',ce,52
était,être,18
loin,loin,60
",",",",p
le,le,71
temps,temps,21
où,où,60
elle,il,51
parcourait,parcourir,18
ce,ce,74
même,même,75
pays,pays,21
",",",",p
jeune,jeune,30
fille,fille,22
",",",",p
et,et,82
grise,gris,30
de,de,81
rêves,rêve,21
/.,/.,P
chaque,chaque,75
fois,fois,22
qu',que,83
elle,il,51
revoyait,revoir,18
son,son,73
fils,fils,21
",",",",p
il,il,51
lui,lui,51
semblait,sembler,18
qu',que,83
ils,ils,51
avaient,avoir,18
été,être,12
séparés,séparer,12
pendant,pendant,81
dix,dix,72
ans,an,21
/.,/.,P
il,il,51
devenait,devenir,18
homme,homme,21
de,de,81
mois,mois,21
en,en,81
mois,mois,21
;,;,p
de,de,81
mois,mois,21
en,en,81
mois,mois,21
elle,il,51
devenait,devenir,18
une,un,71
vieille,vieux,30
femme,femme,22
/.,/.,P
son,son,73
père,père,21
paraissait,paraître,18
son,son,73
frère,frère,21
",",",",p
et,et,82
tante,tante,22
Lison,Lison,20
",",",",p
qui,qui,52
ne,ne,60
vieillissait,vieillir,18
point,point,60
",",",",p
restée,resté,31
fanée,fané,31
dès,dès,81
son,son,73
âge,âge,21
de,de,81
vingt,vingt,72
cinq,cinq,72
ans,an,21
",",",",p
avait,avoir,18
l',le,71
air,air,21
d',de,81
une,un,71
soeur,soeur,22
aînée,aîné,30
/.,/.,P
Poulet,Poulet,20
ne,ne,60
travaillait,travailler,18
guère,guère,60
;,;,p
il,il,51
doubla,doubler,19
sa,son,73
quatrième,quatrième,72
/.,/.,P
la,le,71
troisième,troisième,72
alla,aller,19
tant,tant,60
bien,bien,60
que,que,83
mal,mal,60
;,;,p
mais,mais,82
il,il,51
fallut,falloir,19
recommencer,recommencer,14
la,le,71
seconde,seconde,22
;,;,p
et,et,82
il,il,51
se,se,51
trouva,trouver,19
en,en,81
rhétorique,rhétorique,22
alors,alors,60
qu',que,83
il,il,51
atteignait,atteindre,18
vingt,vingt,72
ans,an,21
/.,/.,P
il,il,51
était,être,18
devenu,devenir,12
un,un,71
grand,grand,30
garçon,garçon,21
blond,blond,30
",",",",p
avec,avec,81
des,de,81
des,le,71
favoris,favori,21
déjà,déjà,60
touffus,touffu,30
et,et,82
une,un,71
apparence,apparence,22
de,de,81
moustaches,moustache,22
/.,/.,P
c',ce,52
était,être,18
lui,lui,51
maintenant,maintenant,60
qui,qui,52
venait,venir,18
aux,à,81
aux,le,71
Peuples,Peuple,20
chaque,chaque,75
dimanche,dimanche,21
/.,/.,P
comme,comme,83
il,il,51
prenait,prendre,18
depuis,depuis,81
longtemps,longtemps,60
des,de,81
des,le,71
leçons,leçon,22
d',de,81
équitation,équitation,22
",",",",p
il,il,51
louait,louer,18
simplement,simplement,60
un,un,71
cheval,cheval,21
et,et,82
faisait,faire,18
la,le,71
route,route,22
en,en,81
deux,deux,72
heures,heure,22
/.,/.,P
dès,dès,81
le,le,71
matin,matin,21
Jeanne,Jeanne,20
partait,partir,18
au-devant,au-devant,60
de,de,81
lui,lui,51
avec,avec,81
la,le,71
tante,tante,22
et,et,82
le,le,71
baron,baron,21
qui,qui,52
se,se,51
courbait,courber,18
peu,peu,60
à,à,81
peu,peu,60
et,et,82
marchait,marcher,18
ainsi,ainsi,60
qu',que,83
un,un,71
petit,petit,30
vieux,vieux,21
",",",",p
les,le,71
mains,main,22
rejointes,rejoint,31
derrière,derrière,81
son,son,73
dos,dos,21
comme,comme,83
pour,pour,81
s',se,51
empêcher,empêcher,14
de,de,81
tomber,tomber,14
sur,sur,81
le,le,71
nez,nez,21
/.,/.,P
ils,ils,51
allaient,aller,18
tout,tout,60
doucement,doucement,60
le,le,71
long,long,21
de,de,81
la,le,71
route,route,22
",",",",p
s',se,51
asseyant,asseoir,13
parfois,parfois,60
sur,sur,81
le,le,71
fossé,fossé,21
",",",",p
et,et,82
regardant,regarder,13
au,à,81
au,le,71
loin,loin,60
si,si,83
on,on,51
n',ne,60
apercevait,apercevoir,18
pas,pas,60
encore,encore,60
le,le,71
cavalier,cavalier,21
/.,/.,P
dès,dès,81
qu',que,83
il,il,51
apparaissait,apparaître,18
comme,comme,83
un,un,71
point,point,21
noir,noir,30
sur,sur,81
la,le,71
ligne,ligne,22
blanche,blanc,30
",",",",p
les,le,71
trois,trois,72
parents,parent,21
agitaient,agiter,18
leurs,leur,73
mouchoirs,mouchoir,21
;,;,p
et,et,82
il,il,51
mettait,mettre,18
son,son,73
cheval,cheval,21
au,à,81
au,le,71
galop,galop,21
pour,pour,81
arriver,arriver,14
comme,comme,83
un,un,71
ouragan,ouragan,21
",",",",p
ce,ce,52
qui,qui,52
faisait,faire,18
palpiter,palpiter,14
de,de,81
peur,peur,22
Jeanne,Jeanne,20
et,et,82
Lison,Lison,20
et,et,82
s',se,51
exalter,exalter,14
le,le,71
grand-père,grand-père,21
qui,qui,52
criait,crier,18
“,“,p
bravo,bravo,21
“,“,p
dans,dans,81
un,un,71
enthousiasme,enthousiasme,21
d',de,81
impotent,impotent,21
/.,/.,P
bien,bien,60
que,que,83
Paul,Paul,20
eût,avoir,19
la,le,71
tête,tête,22
de,de,81
plus,plus,60
que,que,83
sa,son,73
mère,mère,22
",",",",p
elle,il,51
le,le,52
traitait,traiter,18
toujours,toujours,60
comme,comme,83
un,un,71
marmot,marmot,21
",",",",p
lui,lui,51
demandant,demander,13
encore,encore,60
:,:,p
“,“,p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
froid,froid,30
aux,à,81
aux,le,71
pieds,pied,21
",",",",p
Poulet,Poulet,20
?,?,p
“,“,p
et,et,82
",",",",p
quand,quand,83
il,il,51
se,se,51
promenait,promener,18
devant,devant,81
le,le,71
perron,perron,21
",",",",p
après,après,81
déjeuner,déjeuner,21
",",",",p
en,en,81
fumant,fumer,13
une,un,71
cigarette,cigarette,22
",",",",p
elle,il,51
ouvrait,ouvrir,18
la,le,71
fenêtre,fenêtre,22
pour,pour,81
lui,lui,51
crier,crier,14
:,:,p
“,“,p
ne,ne,60
sors,sortir,17
pas,pas,60
nu-tête,nu-tête,30
",",",",p
je,je,51
t',tu,51
en,en,52
prie,prier,17
",",",",p
tu,tu,51
vas,aller,17
attraper,attraper,14
un,un,71
rhume,rhume,21
de,de,81
cerveau,cerveau,21
/.,/.,P
“,“,p
et,et,82
elle,il,51
frémissait,frémir,18
d',de,81
inquiétude,inquiétude,22
quand,quand,83
il,il,51
repartait,repartir,18
à,à,81
cheval,cheval,21
dans,dans,81
la,le,71
nuit,nuit,22
:,:,p
“,“,p
surtout,surtout,60
ne,ne,60
va,aller,17
pas,pas,60
trop,trop,60
vite,vite,60
",",",",p
mon,mon,73
petit,petit,30
Poulet,Poulet,20
",",",",p
sois,être,17
prudent,prudent,30
",",",",p
pense,penser,17
à,à,81
ta,ton,73
pauvre,pauvre,30
mère,mère,22
qui,qui,52
serait,être,16
désespérée,désespérer,12
s',si,83
il,il,51
t',tu,51
arrivait,arriver,18
quelque,quelque,75
chose,chose,22
/.,/.,P
“,“,p
mais,mais,82
voilà,voilà,81
qu',que,83
un,un,71
samedi,samedi,21
matin,matin,21
elle,il,51
reçut,recevoir,19
une,un,71
lettre,lettre,22
de,de,81
Paul,Paul,20
annonçant,annoncer,13
qu',que,83
il,il,51
ne,ne,60
viendrait,venir,16
pas,pas,60
le,le,71
lendemain,lendemain,21
parce que,parce que,83
des,de,81
des,le,71
amis,ami,21
avaient,avoir,18
organisé,organiser,12
une,un,71
partie,partie,22
de,de,81
plaisir,plaisir,21
à,à,81
laquelle,lequel,52
il,il,51
était,être,18
invité,inviter,12
/.,/.,P
elle,il,51
fut,être,19
torturée,torturer,12
d',de,81
angoisse,angoisse,22
pendant,pendant,81
toute,tout,75
la,le,71
journée,journée,22
du,de,81
du,le,71
dimanche,dimanche,21
comme,comme,83
sous,sous,81
la,le,71
menace,menace,22
d',de,81
un,un,71
malheur,malheur,21
puis,puis,60
",",",",p
le,le,71
jeudi,jeudi,21
",",",",p
n',ne,60
y,y,52
tenant,tenir,13
plus,plus,60
",",",",p
elle,il,51
partit,partir,19
pour,pour,81
le,le,71
Havre,Havre,20
/.,/.,P
il,il,51
lui,lui,51
parut,paraître,19
changé,changé,31
sans,sans,81
qu',que,83
elle,il,51
se,se,51
rendît,rendre,18
compte,compte,21
en,en,81
quoi,quoi,52
/.,/.,P
il,il,51
semblait,sembler,18
animé,animé,31
",",",",p
parlait,parler,18
d',de,81
une,un,71
voix,voix,22
plus,plus,60
mâle,mâle,30
/.,/.,P
et,et,82
soudain,soudain,60
il,il,51
lui,lui,51
dit,dire,19
",",",",p
comme,comme,83
une,un,71
chose,chose,22
toute,tout,60
naturelle,naturel,30
:,:,p
“,“,p
sais,savoir,17
tu,tu,51
",",",",p
maman,maman,22
",",",",p
puisque,puisque,83
tu,tu,51
es,être,17
venue,venir,12
aujourd'hui,aujourd'hui,60
",",",",p
je,je,51
n',ne,60
irai,aller,15
pas,pas,60
aux,à,81
aux,le,71
Peuples,Peuple,20
dimanche,dimanche,21
prochain,prochain,30
",",",",p
parce que,parce que,83
nous,nous,51
recommençons,recommencer,17
notre,notre,73
fête,fête,22
/.,/.,P
“,“,p
elle,il,51
resta,rester,19
toute,tout,60
saisie,saisi,31
",",",",p
suffoquée,suffoqué,31
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
annoncé,annoncer,12
qu',que,83
il,il,51
partait,partir,18
pour,pour,81
le,le,71
nouveau,nouveau,30
Monde,Monde,20
;,;,p
puis,puis,60
",",",",p
quand,quand,83
elle,il,51
put,pouvoir,19
enfin,enfin,60
parler,parler,14
:,:,p
“,“,p
oh,oh,93
/!,/!,P
Poulet,Poulet,20
",",",",p
qu',que,52
as,avoir,17
tu,tu,51
?,?,p
dis,dire,19
moi,moi,51
",",",",p
que,que,52
se,se,51
passe,passer,17
t,t,94
il,il,51
?,?,p
“,“,p
il,il,51
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
et,et,82
l',le,52
embrassa,embrasser,19
:,:,p
“,“,p
mais,mais,82
rien,rien,52
de,de,81
rien,rien,52
",",",",p
maman,maman,22
/.,/.,P
je,je,51
vais,aller,17
m',je,51
amuser,amuser,14
",",",",p
avec,avec,81
des,de,81
des,le,71
amis,ami,21
",",",",p
c',ce,52
est,être,17
de,de,81
mon,mon,73
âge,âge,21
/.,/.,P
“,“,p
elle,il,51
ne,ne,60
trouva,trouver,19
pas,pas,60
un,un,71
mot,mot,21
à,à,81
répondre,répondre,14
",",",",p
et,et,82
",",",",p
quand,quand,83
elle,il,51
fut,être,19
toute,tout,52
seule,seul,30
dans,dans,81
la,le,71
voiture,voiture,22
",",",",p
des,de,81
des,le,71
idées,idée,22
singulières,singulier,30
l',le,52
assaillirent,assaillir,19
/.,/.,P
elle,il,51
ne,ne,60
l',le,52
avait,avoir,18
plus,plus,60
reconnu,reconnaître,12
son,son,73
Poulet,Poulet,20
",",",",p
son,son,73
petit,petit,30
Poulet,Poulet,20
de,de,81
jadis,jadis,60
/.,/.,P
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
elle,il,51
s',se,51
apercevait,apercevoir,18
qu',que,83
il,il,51
était,être,18
grand,grand,30
",",",",p
qu',que,83
il,il,51
n',ne,60
était,être,18
plus,plus,60
à,à,81
elle,il,51
",",",",p
qu',que,83
il,il,51
allait,aller,18
vivre,vivre,14
de,de,81
son,son,73
côté,côté,21
sans,sans,81
s',se,51
occuper,occuper,14
des,de,81
des,le,71
vieux,vieux,21
/.,/.,P
il,il,51
lui,lui,51
semblait,sembler,18
qu',que,83
en,en,81
un,un,71
jour,jour,21
il,il,51
s',se,51
était,être,18
transformé,transformer,12
/.,/.,P
quoi,quoi,52
!,!,p
c',ce,52
était,être,18
son,son,73
fils,fils,21
",",",",p
son,son,73
pauvre,pauvre,30
petit,petit,30
enfant,enfant,21
qui,qui,52
lui,lui,51
faisait,faire,18
autrefois,autrefois,60
repiquer,repiquer,14
des,de,81
des,le,71
salades,salade,22
",",",",p
ce,ce,74
fort,fort,30
garçon,garçon,21
barbu,barbu,30
dont,dont,52
la,le,71
volonté,volonté,22
s',se,51
affirmait,affirmer,18
/!,/!,P
et,et,82
pendant,pendant,81
trois,trois,72
mois,mois,21
Paul,Paul,20
ne,ne,60
vint,venir,19
voir,voir,14
ses,son,73
parents,parent,21
que,que,83
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
toujours,toujours,60
hanté,hanté,31
d',de,81
un,un,71
désir,désir,21
évident,évident,30
de,de,81
repartir,repartir,14
au,à,81
au,le,71
plus,plus,60
vite,vite,60
",",",",p
cherchant,chercher,13
chaque,chaque,75
soir,soir,21
à,à,81
gagner,gagner,14
une,un,71
heure,heure,22
/.,/.,P
Jeanne,Jeanne,20
s',se,51
effrayait,effrayer,18
",",",",p
et,et,82
le,le,71
baron,baron,21
sans,sans,81
cesse,cesse,22
la,le,52
consolait,consoler,18
répétant,répéter,13
:,:,p
“,“,p
laisse,laisser,17
le,le,52
faire,faire,14
;,;,p
il,il,51
a,avoir,17
vingt,vingt,72
ans,an,21
",",",",p
ce,ce,74
garçon,garçon,21
/.,/.,P
“,“,p
mais,mais,82
",",",",p
un,un,71
matin,matin,21
",",",",p
un,un,71
vieil,vieux,30
homme,homme,21
assez,assez,60
mal,mal,60
vêtu,vêtu,31
demanda,demander,19
en,en,81
français,français,21
d',de,81
Allemagne,Allemagne,20
:,:,p
“,“,p
madame,madame,22
la,le,71
vicomtesse,vicomtesse,22
/.,/.,P
“,“,p
et,et,82
",",",",p
après,après,81
beaucoup,beaucoup,60
de,de,81
saluts,salut,21
cérémonieux,cérémonieux,30
",",",",p
il,il,51
tira,tirer,19
de,de,81
sa,son,73
poche,poche,22
un,un,71
portefeuille,portefeuille,21
sordide,sordide,30
en,en,81
déclarant,déclarer,13
:,:,p
“,“,p
ché,je,51
un,un,71
bétit,petit,30
bapier,papier,21
bour,pour,81
fous,vous,51
“,“,p
",",",",p
et,et,82
il,il,51
tendit,tendre,19
",",",",p
en,en,81
le,le,52
dépliant,déplier,13
",",",",p
un,un,71
morceau,morceau,21
de,de,81
papier,papier,21
graisseux,graisseux,30
/.,/.,P
elle,il,51
lut,lire,19
",",",",p
relut,relire,19
",",",",p
regarda,regarder,19
le,le,71
Juif,Juif,20
",",",",p
relut,relire,19
encore,encore,60
et,et,82
demanda,demander,19
:,:,p
“,“,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
cela,cela,52
veut,vouloir,17
dire,dire,14
?,?,p
“,“,p
l',le,71
homme,homme,21
",",",",p
obséquieux,obséquieux,30
",",",",p
expliqua,expliquer,19
:,:,p
“,“,p
ché,je,51
fé,aller,19
fous,vous,51
tire,dire,14
/.,/.,P
votre,votre,73
fils,fils,21
il,il,51
afé,avoir,19
pesoin,besoin,21
d',de,81
un,un,71
peu,peu,60
d',de,81
archent,argent,21
",",",",p
et,et,82
comme,comme,83
ché,je,51
safais,savoir,19
que,que,83
fous,vous,51
êtes,être,17
une,un,71
ponne,bon,30
mère,mère,22
",",",",p
che,je,51
lui,lui,51
prêté,prêter,12
quelque,quelque,75
betite,petit,30
chose,chose,22
bour,pour,81
son,son,73
pesoin,besoin,21
/.,/.,P
“,“,p
elle,il,51
tremblait,trembler,18
/.,/.,P
“,“,p
mais,mais,82
pourquoi,pourquoi,60
ne,ne,60
m',je,51
en,en,52
a,avoir,17
t,t,94
il,il,51
pas,pas,60
demandé,demander,12
à,à,81
moi,moi,51
?,?,p
“,“,p
le,le,71
Juif,Juif,20
expliqua,expliquer,19
longuement,longuement,60
qu',que,83
il,il,51
s',se,51
agissait,agir,18
d',de,81
une,un,71
dette,dette,22
de,de,81
jeu,jeu,21
devant,devoir,13
être,être,14
payée,payer,12
le,le,71
lendemain,lendemain,21
avant,avant,81
midi,midi,21
",",",",p
que,que,83
Paul,Paul,20
n',ne,60
étant,être,13
pas,pas,60
encore,encore,60
majeur,majeur,30
",",",",p
personne,personne,52
ne,ne,60
lui,lui,51
aurait,avoir,16
rien,rien,52
prêté,prêter,12
et,et,82
que,que,83
son,son,73
“,“,p
honneur,honneur,21
été,être,12
gombromise,compromis,31
“,“,p
sans,sans,81
le,le,71
“,“,p
bétit,petit,30
service,service,21
obligeant,obligeant,30
“,“,p
qu',que,52
il,il,51
avait,avoir,18
rendu,rendre,12
à,à,81
ce,ce,74
jeune,jeune,30
homme,homme,21
/.,/.,P
Jeanne,Jeanne,20
voulait,vouloir,18
appeler,appeler,14
le,le,71
baron,baron,21
",",",",p
mais,mais,82
elle,il,51
ne,ne,60
pouvait,pouvoir,18
se,se,51
lever,lever,14
tant,tant,60
l',le,71
émotion,émotion,22
la,le,52
paralysait,paralyser,18
/.,/.,P
enfin,enfin,60
elle,il,51
dit,dire,19
à,à,81
l',le,71
usurier,usurier,21
:,:,p
“,“,p
voulez,vouloir,17
vous,vous,51
avoir,avoir,14
la,le,71
complaisance,complaisance,22
de,de,81
sonner,sonner,14
?,?,p
“,“,p
il,il,51
hésitait,hésiter,18
",",",",p
craignant,craindre,13
une,un,71
ruse,ruse,22
/.,/.,P
il,il,51
balbutia,balbutier,19
:,:,p
“,“,p
si,si,83
che,je,51
fous,vous,51
chêne,gêner,19
",",",",p
che,je,51
refiendrai,revenir,19
