12029
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt et unième extrait>,<>,<>
porte,porte,22
/.,/.,P
sur,sur,81
le,le,71
lambris,lambris,21
en,en,81
retour,retour,21
",",",",p
la,le,71
figure,figure,22
au,à,81
au,le,71
pastel,pastel,21
d',de,81
une,un,71
dame,dame,22
en,en,52
costume,costumer,17
Louis XV,Louis XV,20
faisait,faire,18
pendant,pendant,21
au,à,81
au,le,71
portrait,portrait,21
du,de,81
du,le,71
père,père,21
Bouvard,Bouvard,20
/.,/.,P
le,le,71
chambranle,chambranle,21
de,de,81
la,le,71
glace,glace,22
avait,avoir,18
pour,pour,81
décoration,décoration,22
un,un,71
sombrero,sombrero,21
de,de,81
feutre,feutre,21
noir,noir,30
",",",",p
et,et,82
une,un,71
monstrueuse,monstrueux,30
galoche,galoche,22
",",",",p
pleine,plein,30
de,de,81
feuilles,feuille,22
",",",",p
les,le,71
restes,reste,21
d',de,81
un,un,71
nid,nid,21
/.,/.,P
deux,deux,72
noix,noix,22
de,de,81
coco,coco,21
(,(,p
appartenant,appartenir,13
à,à,81
Pécuchet,Pécuchet,20
depuis,depuis,81
sa,son,73
jeunesse,jeunesse,22
),),p
flanquaient,flanquer,18
sur,sur,81
la,le,71
cheminée,cheminée,22
un,un,71
tonneau,tonneau,21
de,de,81
faïence,faïence,22
",",",",p
que,que,52
chevauchait,chevaucher,18
un,un,71
paysan,paysan,21
/.,/.,P
auprès,auprès,60
",",",",p
dans,dans,81
une,un,71
corbeille,corbeille,22
de,de,81
paille,paille,22
",",",",p
il,il,51
y,y,52
avait,avoir,18
un,un,71
décime,décime,21
",",",",p
rendu,rendu,31
par,par,81
un,un,71
canard,canard,21
/.,/.,P
devant,devant,81
la,le,71
bibliothèque,bibliothèque,22
",",",",p
se,se,51
carrait,carrer,18
une,un,71
commode,commode,22
en,en,81
coquillages,coquillage,21
",",",",p
avec,avec,81
des,de,81
des,le,71
ornements,ornement,21
de,de,81
peluche,peluche,22
/.,/.,P
son,son,73
couvercle,couvercle,21
supportait,supporter,18
un,un,71
chat,chat,21
tenant,tenir,13
une,un,71
souris,souris,22
dans,dans,81
sa,son,73
gueule,gueule,22
",",",",p
-,-,p
pétrification,pétrification,22
de,de,81
Saint Allyre,Saint Allyre,20
",",",",p
-,-,p
une,un,71
boîte,boîte,22
à,à,81
ouvrage,ouvrage,21
en,en,81
coquilles,coquille,22
mêmement,mêmement,60
;,;,p
et,et,82
sur,sur,81
cette,ce,74
boîte,boîte,22
",",",",p
une,un,71
carafe,carafe,22
d',de,81
eau-de-vie,eau-de-vie,22
contenait,contenir,18
une,un,71
poire,poire,22
de,de,81
bon,bon,30
chrétien,chrétien,21
/.,/.,P
mais,mais,82
le,le,71
plus,plus,60
beau,beau,30
",",",",p
c',ce,52
était,être,18
dans,dans,81
l',le,71
embrasure,embrasure,22
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
une,un,71
statue,statue,22
de,de,81
saint,saint,30
Pierre,Pierre,20
/!,/!,P
sa,son,73
main,main,22
droite,droit,30
couverte,couvert,31
d',de,81
un,un,71
gant,gant,21
serrait,serrer,18
la,le,71
clef,clé,22
du,de,81
du,le,71
Paradis,Paradis,20
",",",",p
de,de,81
couleur,couleur,22
vert,vert,21
pomme,pomme,22
;,;,p
sa,son,73
chasuble,chasuble,22
que,que,52
des,de,81
des,le,71
fleurs,fleur,22
de,de,81
lis,lis,21
agrémentaient,agrémenter,18
était,être,18
bleu,bleu,21
ciel,ciel,21
",",",",p
et,et,82
sa,son,73
tiare,tiare,22
très,très,60
jaune,jaune,30
pointue,pointu,30
comme,comme,83
une,un,71
pagode,pagode,22
/.,/.,P
il,il,51
avait,avoir,18
les,le,71
joues,joue,22
fardées,fardé,31
",",",",p
de,de,81
gros,gros,30
yeux,oeil,21
ronds,rond,30
",",",",p
la,le,71
bouche,bouche,22
béante,béant,30
",",",",p
le,le,71
nez,nez,21
de,de,81
travers,travers,21
et,et,82
en,en,81
trompette,trompette,21
/.,/.,P
au-dessus,au-dessus,60
pendait,pendre,18
un,un,71
baldaquin,baldaquin,21
fait,faire,17
d',de,81
un,un,71
vieux,vieux,21
tapis,tapis,31
où,où,60
l',l',94
on,on,51
distinguait,distinguer,18
deux,deux,72
amours,amour,21
dans,dans,81
un,un,71
cercle,cercle,21
de,de,81
roses,rose,21
-,-,p
et,et,82
à,à,81
ses,son,73
pieds,pied,21
comme,comme,83
une,un,71
colonne,colonne,22
se,se,51
levait,lever,18
un,un,71
pot,pot,21
à,à,81
beurre,beurre,21
",",",",p
portant,porter,13
ces,ce,74
mots,mot,21
en,en,81
lettres,lettre,22
blanches,blanc,30
sur,sur,81
fond,fond,21
chocolat,chocolat,21
:,:,p
“,“,p
exécuté,exécuté,31
devant,devant,81
SAR,SAR,20
monseigneur,monseigneur,21
le,le,71
duc,duc,21
d',de,81
Angoulême,Angoulême,20
",",",",p
à,à,81
Noron,Noron,20
",",",",p
le,le,71
<Nombre 3>,<>,<>
trois,trois,72
<Fin nombre>,<>,<>
d',de,81
<Nombre octobre 1817>,<>,<>
octobre,octobre,21
mille,mille,72
huit,huit,72
cent,cent,72
dix,dix,72
sept,sept,72
<Fin nombre>,<>,<>
/.,/.,P
“,“,p
Pécuchet,Pécuchet,20
",",",",p
de,de,81
son,son,73
lit,lit,21
",",",",p
apercevait,apercevoir,18
tout,tout,75
cela,cela,52
en,en,81
enfilade,enfilade,22
-,-,p
et,et,82
parfois,parfois,60
même,même,60
il,il,51
allait,aller,18
jusque,jusque,81
dans,dans,81
la,le,71
chambre,chambre,22
de,de,81
Bouvard,Bouvard,20
",",",",p
pour,pour,81
allonger,allonger,14
la,le,71
perspective,perspective,22
/.,/.,P
une,un,71
place,place,22
demeurait,demeurer,18
vide,vide,21
en,en,81
face,face,22
de,de,81
la,le,71
cotte,cotte,22
de,de,81
mailles,maille,22
",",",",p
celle,celui,52
du,de,81
du,le,71
bahut,bahut,21
renaissance,renaissance,22
/.,/.,P
il,il,51
n',ne,60
était,être,18
pas,pas,60
achevé,achever,12
/.,/.,P
Gorju,Gorju,20
y,y,52
travaillait,travailler,18
encore,encore,60
;,;,p
varlopant,varloper,13
les,le,71
panneaux,panneau,21
dans,dans,81
le,le,71
fournil,fournil,21
",",",",p
et,et,82
les,le,52
ajustant,ajuster,13
",",",",p
les,le,52
démontant,démonter,13
/.,/.,P
à,à,81
onze,onze,72
heures,heure,22
",",",",p
il,il,51
déjeunait,déjeuner,18
;,;,p
causait,causer,18
ensuite,ensuite,60
avec,avec,81
Mélie,Mélie,20
",",",",p
et,et,82
souvent,souvent,60
ne,ne,60
reparaissait,reparaître,18
plus,plus,60
de,de,81
toute,tout,75
la,le,71
journée,journée,22
/.,/.,P
pour,pour,81
avoir,avoir,14
des,de,81
des,le,71
morceaux,morceau,21
dans,dans,81
le,le,71
genre,genre,21
du,de,81
du,le,71
meuble,meuble,21
Bouvard,Bouvard,20
et,et,82
Pécuchet,Pécuchet,20
s',se,51
étaient,être,18
mis,mettre,12
en,en,81
campagne,campagne,22
/.,/.,P
ce,ce,52
qu',que,52
ils,ils,51
rapportaient,rapporter,18
ne,ne,60
convenait,convenir,18
pas,pas,60
/.,/.,P
mais,mais,82
ils,ils,51
avaient,avoir,18
rencontré,rencontrer,12
une,un,71
foule,foule,22
de,de,81
choses,chose,22
curieuses,curieux,30
/.,/.,P
le,le,71
goût,goût,21
des,de,81
des,le,71
bibelots,bibelot,21
leur,leur,52
était,être,18
venu,venir,12
",",",",p
puis,puis,60
l',le,71
amour,amour,21
du,de,81
du,le,71
moyen,moyen,30
âge,âge,21
/.,/.,P
d'abord,d'abord,60
",",",",p
ils,ils,51
visitèrent,visiter,19
les,le,71
cathédrales,cathédrale,22
;,;,p
-,-,p
et,et,82
les,le,71
hautes,haut,30
nefs,nef,22
se,se,51
mirant,mirer,13
dans,dans,81
l',le,71
eau,eau,22
des,de,81
des,le,71
bénitiers,bénitier,21
",",",",p
les,le,71
verreries,verrerie,22
éblouissantes,éblouissant,30
comme,comme,83
des,de,81
des,le,71
tentures,tenture,22
de,de,81
pierreries,pierreries,22
",",",",p
les,le,71
tombeaux,tombeau,21
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
chapelles,chapelle,22
",",",",p
le,le,71
jour,jour,21
incertain,incertain,30
des,de,81
des,le,71
cryptes,crypte,22
",",",",p
tout,tout,52
",",",",p
jusqu',jusque,81
à,à,81
la,le,71
fraîcheur,fraîcheur,22
des,de,81
des,le,71
murailles,muraille,22
leur,leur,52
causa,causer,19
un,un,71
frémissement,frémissement,21
de,de,81
plaisir,plaisir,21
",",",",p
une,un,71
émotion,émotion,22
religieuse,religieux,30
/.,/.,P
bientôt,bientôt,60
",",",",p
ils,ils,51
furent,être,19
capables,capable,30
de,de,81
distinguer,distinguer,14
les,le,71
époques,époque,22
-,-,p
et,et,82
dédaigneux,dédaigneux,30
des,de,81
des,le,71
sacristains,sacristain,21
",",",",p
ils,ils,51
disaient,dire,18
:,:,p
-,-,p
“,“,p
ah,ah,93
!,!,p
une,un,71
abside,abside,22
romane,roman,30
/!,/!,P
cela,cela,52
est,être,17
du,de,81
du,le,71
XIIe,douzième,72
siècle,siècle,21
!,!,p
voilà,voilà,81
que,que,83
nous,nous,51
retombons,retomber,17
dans,dans,81
le,le,71
flamboyant,flamboyant,30
/!,/!,P
ils,ils,51
tâchaient,tâcher,18
de,de,81
comprendre,comprendre,14
les,le,71
symboles,symbole,21
sculptés,sculpté,31
sur,sur,81
les,le,71
chapiteaux,chapiteau,21
",",",",p
comme,comme,83
les,le,71
deux,deux,72
griffons,griffon,21
de,de,81
Marigny,Marigny,20
becquetant,becqueter,13
un,un,71
arbre,arbre,21
en,en,81
fleurs,fleur,22
/.,/.,P
Pécuchet,Pécuchet,20
vit,voir,19
une,un,71
satire,satire,22
dans,dans,81
les,le,71
chantres,chantre,21
à,à,81
mâchoire,mâchoire,22
grotesque,grotesque,30
qui,qui,52
terminent,terminer,17
les,le,71
cintres,cintre,21
de,de,81
Feuguerolles,Feuguerolles,20
;,;,p
-,-,p
et,et,82
pour,pour,81
l',le,71
exubérance,exubérance,22
de,de,81
l',le,71
homme,homme,21
obscène,obscène,30
couvrant,couvrir,13
un,un,52
des,de,81
des,le,71
meneaux,meneau,21
d',de,81
Hérouville,Hérouville,20
",",",",p
cela,cela,52
prouvait,prouver,18
",",",",p
suivant,suivant,81
Bouvard,Bouvard,20
",",",",p
que,que,83
nos,notre,73
aïeux,aïeul,21
avaient,avoir,18
chéri,chérir,12
la,le,71
gaudriole,gaudriole,22
/.,/.,P
ils,ils,51
arrivèrent,arriver,19
à,à,81
ne,ne,60
plus,plus,60
tolérer,tolérer,14
la,le,71
moindre,moindre,30
marque,marque,22
de,de,81
décadence,décadence,22
/.,/.,P
tout,tout,52
était,être,18
de,de,81
la,le,71
décadence,décadence,22
-,-,p
et,et,82
ils,ils,51
déploraient,déplorer,18
le,le,71
vandalisme,vandalisme,21
",",",",p
tonnaient,tonner,18
contre,contre,81
le,le,71
badigeon,badigeon,21
/.,/.,P
mais,mais,82
le,le,71
style,style,21
d',de,81
un,un,71
monument,monument,21
ne,ne,60
s',se,51
accorde,accorder,17
pas,pas,60
toujours,toujours,60
avec,avec,81
la,le,71
date,date,22
qu',que,83
on,on,51
lui,lui,51
suppose,supposer,17
/.,/.,P
le,le,71
plein,plein,21
cintre,cintrer,17
",",",",p
au,à,81
au,le,71
XIIIe,treizième,72
siècle,siècle,21
domine,dominer,17
encore,encore,60
dans,dans,81
la,le,71
Provence,Provence,20
/.,/.,P
l',le,71
ogive,ogive,22
est,être,17
peut-être,peut-être,60
fort,fort,60
ancienne,ancien,30
!,!,p
et,et,82
des,de,81
des,le,71
auteurs,auteur,21
contestent,contester,17
l',le,71
antériorité,antériorité,22
du,de,81
du,le,71
roman,roman,21
sur,sur,81
le,le,71
gothique,gothique,30
-,-,p
ce,ce,74
défaut,défaut,21
de,de,81
certitude,certitude,22
les,le,52
contrariait,contrarier,18
/.,/.,P
après,après,81
les,le,71
églises,église,22
ils,ils,51
étudièrent,étudier,19
les,le,71
châteaux,château,21
forts,fort,30
",",",",p
ceux,celui,52
de,de,81
Domfront,Domfront,20
et,et,82
de,de,81
Falaise,Falaise,20
/.,/.,P
ils,ils,51
admiraient,admirer,18
sous,sous,81
la,le,71
porte,porte,22
les,le,71
rainures,rainure,22
de,de,81
la,le,71
herse,herse,22
",",",",p
et,et,82
parvenus,parvenu,21
au,à,81
au,le,71
sommet,sommet,21
",",",",p
ils,ils,51
voyaient,voir,18
d'abord,d'abord,60
toute,tout,75
la,le,71
campagne,campagne,22
",",",",p
puis,puis,60
les,le,71
toits,toit,21
de,de,81
la,le,71
ville,ville,22
",",",",p
les,le,71
rues,rue,22
s',se,51
entrecroisant,entrecroiser,13
",",",",p
des,de,81
des,le,71
charrettes,charrette,22
sur,sur,81
la,le,71
place,place,22
",",",",p
des,de,81
des,le,71
femmes,femme,22
au,à,81
au,le,71
lavoir,lavoir,21
/.,/.,P
le,le,71
mur,mur,21
dévalait,dévaler,18
à,à,81
pic,pic,21
jusqu',jusque,81
aux,à,81
aux,le,71
broussailles,broussaille,22
des,de,81
des,le,71
douves,douve,22
-,-,p
et,et,82
ils,ils,51
pâlissaient,pâlir,18
en,en,81
songeant,songer,13
que,que,83
des,de,81
des,le,71
hommes,homme,21
avaient,avoir,18
monté,monter,12
là,là,60
",",",",p
suspendus,suspendu,31
à,à,81
des,de,81
des,le,71
échelles,échelle,22
/.,/.,P
ils,ils,51
se,se,51
seraient,être,16
risqués,risquer,12
dans,dans,81
les,le,71
souterrains,souterrain,21
",",",",p
mais,mais,82
Bouvard,Bouvard,20
avait,avoir,18
pour,pour,81
obstacle,obstacle,21
son,son,73
ventre,ventre,21
",",",",p
et,et,82
Pécuchet,Pécuchet,20
la,le,71
crainte,crainte,22
des,de,81
des,le,71
vipères,vipère,22
/.,/.,P
ils,ils,51
voulurent,vouloir,19
connaître,connaître,14
les,le,71
vieux,vieux,30
manoirs,manoir,21
",",",",p
Curcy,Curcy,20
",",",",p
Bully,Bully,20
",",",",p
Fontenay le Marmion,Fontenay le Marmion,20
",",",",p
Argouges,Argouges,20
/.,/.,P
parfois,parfois,60
",",",",p
à,à,81
l',le,71
angle,angle,21
des,de,81
des,le,71
bâtiments,bâtiment,21
",",",",p
derrière,derrière,81
le,le,71
fumier,fumier,21
se,se,51
dresse,dresser,17
une,un,71
tour,tour,22
carlovingienne,carlovingien,30
/.,/.,P
la,le,71
cuisine,cuisine,22
garnie,garni,31
de,de,81
bancs,banc,21
en,en,81
pierre,pierre,22
fait,faire,17
songer,songer,14
à,à,81
des,de,81
des,le,71
ripailles,ripaille,22
féodales,féodal,30
/.,/.,P
d',de,81
autres,autre,52
ont,avoir,17
un,un,71
aspect,aspect,21
exclusivement,exclusivement,60
farouche,farouche,30
",",",",p
avec,avec,81
leurs,leur,73
trois,trois,72
enceintes,enceinte,22
encore,encore,60
visibles,visible,30
",",",",p
des,de,81
des,le,71
meurtrières,meurtrière,22
sous,sous,81
l',le,71
escalier,escalier,21
",",",",p
de,de,81
longues,long,30
tourelles,tourelle,22
à,à,81
pans,pan,21
aigus,aigu,30
/.,/.,P
puis,puis,60
",",",",p
on,on,51
arrive,arriver,17
dans,dans,81
un,un,71
appartement,appartement,21
",",",",p
où,où,60
une,un,71
fenêtre,fenêtre,22
du,de,81
du,le,71
temps,temps,21
des,de,81
des,le,71
Valois,Valois,20
ciselée,ciselé,31
comme,comme,83
un,un,71
ivoire,ivoire,21
laisse,laisser,17
entrer,entrer,14
le,le,71
soleil,soleil,21
qui,qui,52
chauffe,chauffer,17
sur,sur,81
le,le,71
parquet,parquet,21
des,de,81
des,le,71
grains,grain,21
de,de,81
colza,colza,21
",",",",p
répandus,répandu,31
/.,/.,P
des,de,81
des,le,71
abbayes,abbaye,22
servent,servir,17
de,de,81
grange,grange,22
/.,/.,P
les,le,71
inscriptions,inscription,22
des,de,81
des,le,71
pierres,pierre,22
tombales,tombal,30
sont,être,17
effacées,effacer,12
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
champs,champ,21
",",",",p
un,un,71
pignon,pignon,21
reste,rester,17
debout,debout,60
-,-,p
et,et,82
du,de,81
du,le,71
haut,haut,21
en,en,81
bas,bas,21
est,être,17
revêtu,revêtir,12
d',de,81
un,un,71
lierre,lierre,21
que,que,52
le,le,71
vent,vent,21
fait,faire,17
trembler,trembler,14
/.,/.,P
quantité,quantité,22
de,de,81
choses,chose,22
excitaient,exciter,18
leurs,leur,73
convoitises,convoitise,22
",",",",p
un,un,71
pot,pot,21
d',de,81
étain,étain,21
",",",",p
une,un,71
boucle,boucle,22
de,de,81
strass,strass,21
",",",",p
des,de,81
des,le,71
indiennes,indienne,22
à,à,81
grands,grand,30
ramages,ramage,21
/.,/.,P
le,le,71
manque,manque,21
d',de,81
argent,argent,21
les,le,52
retenait,retenir,18
/.,/.,P
par,par,81
un,un,71
hasard,hasard,21
providentiel,providentiel,30
",",",",p
ils,ils,51
déterrèrent,déterrer,19
à,à,81
Balleroy,Balleroy,20
",",",",p
chez,chez,81
un,un,71
étameur,étameur,21
",",",",p
un,un,71
vitrail,vitrail,21
gothique,gothique,30
",",",",p
-,-,p
qui,qui,52
fut,être,19
assez,assez,60
grand,grand,30
pour,pour,81
couvrir,couvrir,14
près,près,81
du,de,81
du,le,71
fauteuil,fauteuil,21
la,le,71
partie,partie,22
droite,droit,30
de,de,81
la,le,71
croisée,croisée,22
jusqu',jusque,81
au,à,81
au,le,71
deuxième,deuxième,72
carreau,carreau,21
/.,/.,P
le,le,71
clocher,clocher,21
de,de,81
Chavignolles,Chavignolles,20
se,se,51
montrait,montrer,18
dans,dans,81
le,le,71
lointain,lointain,21
",",",",p
produisant,produire,13
un,un,71
effet,effet,21
splendide,splendide,30
/.,/.,P
avec,avec,81
un,un,71
bas,bas,21
d',de,81
armoire,armoire,22
",",",",p
Gorju,Gorju,20
fabriqua,fabriquer,19
un,un,71
prie-Dieu,prie-Dieu,21
pour,pour,81
mettre,mettre,14
sous,sous,81
le,le,71
vitrail,vitrail,21
",",",",p
car,car,82
il,il,51
flattait,flatter,18
leur,leur,73
manie,manie,22
/.,/.,P
elle,il,51
était,être,18
si,si,60
forte,fort,30
qu',que,83
ils,ils,51
regrettaient,regretter,18
les,le,71
monuments,monument,21
sur,sur,81
lesquels,lequel,52
on,on,51
ne,ne,60
sait,savoir,17
rien,rien,52
du,de,81
du,le,71
tout,tout,21
",",",",p
-,-,p
comme,comme,83
la,le,71
maison,maison,22
de,de,81
plaisance,plaisance,22
des,de,81
des,le,71
évêques,évêque,21
de,de,81
Séez,Séez,20
/.,/.,P
-,-,p
“,“,p
Bayeux,Bayeux,20
“,“,p
",",",",p
dit,dire,19
monsieur,monsieur,21
de,de,81
Caumont,Caumont,20
",",",",p
“,“,p
devait,devoir,18
avoir,avoir,14
un,un,71
théâtre,théâtre,21
/.,/.,P
“,“,p
ils,ils,51
en,en,52
cherchèrent,chercher,19
la,le,71
place,place,22
inutilement,inutilement,60
/.,/.,P
le,le,71
village,village,21
de,de,81
Montrecy,Montrecy,20
contient,contenir,17
un,un,71
pré,pré,21
célèbre,célébrer,17
",",",",p
par,par,81
des,de,81
des,le,71
médailles,médaille,22
d',de,81
empereurs,empereur,21
qu',que,52
on,on,51
y,y,52
a,avoir,17
découvertes,découvrir,12
autrefois,autrefois,60
/.,/.,P
ils,ils,51
comptaient,compter,18
y,y,52
faire,faire,14
une,un,71
belle,beau,30
récolte,récolte,22
/.,/.,P
le,le,71
gardien,gardien,21
leur,leur,52
en,en,52
refusa,refuser,19
l',le,71
entrée,entrée,22
/.,/.,P
ils,ils,51
ne,ne,60
furent,être,19
pas,pas,60
plus,plus,60
heureux,heureux,30
sur,sur,81
la,le,71
communication,communication,22
qui,qui,52
existait,exister,18
entre,entre,81
une,un,71
citerne,citerne,22
de,de,81
Falaise,Falaise,20
et,et,82
le,le,71
faubourg,faubourg,21
de,de,81
Caen,Caen,20
/.,/.,P
des,de,81
des,le,71
canards,canard,21
qu',que,52
on,on,51
y,y,52
avait,avoir,18
introduits,introduire,12
reparurent,reparaître,19
à,à,81
Vaucelles,Vaucelles,20
",",",",p
en,en,81
grognant,grogner,13
:,:,p
-,-,p
“,“,p
can,can,92
can,can,92
can,can,92
“,“,p
d',de,81
où,où,60
est,être,17
venu,venir,12
le,le,71
nom,nom,21
de,de,81
la,le,71
ville,ville,22
/.,/.,P
aucune,aucun,75
démarche,démarche,22
ne,ne,60
leur,leur,52
coûtait,coûter,18
",",",",p
aucun,aucun,75
sacrifice,sacrifice,21
/.,/.,P
à,à,81
l',le,71
auberge,auberge,22
de,de,81
Mesnil,Mesnil,20
Villement,Villement,20
",",",",p
en,en,81
<Nombre 1816>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
seize,seize,72
<Fin nombre>,<>,<>
",",",",p
monsieur,monsieur,21
Galeron,Galeron,20
eut,avoir,19
un,un,71
déjeuner,déjeuner,21
pour,pour,81
la,le,71
somme,somme,22
de,de,81
quatre,quatre,72
sols,sol,21
/.,/.,P
-,-,p
ils,ils,51
y,y,52
firent,faire,19
le,le,71
même,même,75
repas,repas,21
",",",",p
et,et,82
constatèrent,constater,19
avec,avec,81
surprise,surprise,22
que,que,83
les,le,71
choses,chose,22
ne,ne,60
se,se,51
passaient,passer,18
plus,plus,60
comme,comme,83
ça,ça,52
/!,/!,P
quel,quel,52
est,être,17
le,le,71
fondateur,fondateur,21
de,de,81
l',le,71
abbaye,abbaye,22
de,de,81
Sainte-Anne,Sainte-Anne,20
/?,/?,P
existe,exister,17
t,t,94
il,il,51
une,un,71
parenté,parenté,22
entre,entre,81
Marin,Marin,20
Onfroy,Onfroy,20
",",",",p
qui,qui,52
importa,importer,19
au,à,81
au,le,71
XIIe,douzième,72
siècle,siècle,21
une,un,71
nouvelle,nouveau,30
espèce,espèce,22
de,de,81
pommes,pomme,22
",",",",p
et,et,82
Onfroy,Onfroy,20
gouverneur,gouverneur,21
d',de,81
Hastings,Hastings,20
",",",",p
à,à,81
l',le,71
époque,époque,22
de,de,81
la,le,71
conquête,conquête,22
/?,/?,P
comment,comment,60
se,se,51
procurer,procurer,14
l',le,71
astucieuse,astucieux,30
Pythonisse,Pythonisse,20
",",",",p
comédie,comédie,22
en,en,81
vers,vers,21
d',de,81
un,un,71
certain,certain,75
Dutrésor,Dutrésor,20
",",",",p
faite,fait,31
à,à,81
Bayeux,Bayeux,20
",",",",p
et,et,82
actuellement,actuellement,60
des,de,81
des,le,71
plus,plus,60
rares,rare,30
/?,/?,P
sous,sous,81
Louis XVI,Louis XVI,20
",",",",p
Hérambert,Hérambert,20
Dupaty,Dupaty,20
",",",",p
ou,ou,82
Dupastis,Dupastis,20
Hérambert,Hérambert,20
",",",",p
composa,composer,19
un,un,71
ouvrage,ouvrage,21
",",",",p
qui,qui,52
n',ne,60
a,avoir,17
jamais,jamais,60
paru,paraître,12
",",",",p
plein,plein,81
d',de,81
anecdotes,anecdote,22
sur,sur,81
Argentan,Argentan,20
/.,/.,P
-,-,p
l,l,21
s',se,51
agirait,agir,16
de,de,81
retrouver,retrouver,14
ces,ce,74
anecdotes,anecdote,22
/.,/.,P
que,que,52
sont,être,17
devenus,devenir,12
les,le,71
mémoires,mémoire,22
autographes,autographe,21
de,de,81
madame,madame,22
Dubois,Dubois,20
de,de,81
la,le,71
Pierre,Pierre,20
",",",",p
consultés,consulté,31
pour,pour,81
l',le,71
histoire,histoire,22
inédite,inédit,30
de,de,81
Laigle,Laigle,20
",",",",p
par,par,81
Louis,Louis,20
Dasprès,Dasprès,20
",",",",p
desservant,desservant,21
de,de,81
Saint-Martin,Saint-Martin,20
/?,/?,P
autant,autant,60
de,de,81
problèmes,problème,21
",",",",p
de,de,81
points,point,21
curieux,curieux,30
à,à,81
éclaircir,éclaicir,14
/.,/.,P
mais,mais,82
souvent,souvent,60
un,un,71
faible,faible,30
indice,indice,21
met,mettre,17
sur,sur,81
la,le,71
voie,voie,22
d',de,81
une,un,71
découverte,découverte,22
inappréciable,inappréciable,30
/.,/.,P
donc,donc,82
",",",",p
ils,ils,51
revêtirent,revêtir,19
leurs,leur,73
blouses,blouse,22
",",",",p
afin,afin,81
de,de,81
ne,ne,60
pas,pas,60
donner,donner,14
l',le,71
éveil,éveil,21
;,;,p
-,-,p
et,et,82
sous,sous,81
l',le,71
apparence,apparence,22
de,de,81
colporteurs,colporteur,21
",",",",p
ils,ils,51
se,se,51
présentaient,présenter,18
dans,dans,81
les,le,71
maisons,maison,22
",",",",p
demandant,demander,13
à,à,81
acheter,acheter,14
de,de,81
vieux,vieux,30
papiers,papier,21
/.,/.,P
on,on,51
leur,leur,52
en,en,52
vendit,vendre,19
des,de,81
des,le,71
tas,tas,21
/.,/.,P
c',ce,52
étaient,être,18
des,de,81
des,le,71
cahiers,cahier,21
d',de,81
école,école,22
",",",",p
des,de,81
des,le,71
factures,facture,22
",",",",p
d',de,81
anciens,ancien,30
journaux,journal,21
",",",",p
rien,rien,52
d',de,81
utile,utile,30
/.,/.,P
enfin,enfin,60
",",",",p
Bouvard,Bouvard,20
et,et,82
Pécuchet,Pécuchet,20
s',se,51
adressèrent,adresser,19
à,à,81
Larsonneur,Larsonneur,20
/.,/.,P
il,il,51
était,être,18
perdu,perdre,12
dans,dans,81
le,le,71
celticisme,celticisme,21
",",",",p
et,et,82
répondant,répondre,13
sommairement,sommairement,60
à,à,81
leurs,leur,73
questions,question,22
en,en,52
fit,faire,19
d',de,81
autres,autre,52
/.,/.,P
avaient,avoir,18
ils,ils,51
observé,observer,12
autour,autour,60
d',de,81
eux,ils,51
des,de,81
des,le,71
traces,trace,22
de,de,81
la,le,71
religion,religion,22
du,de,81
du,le,71
chien,chien,21
comme,comme,83
on,on,51
en,en,52
voit,voir,17
à,à,81
Montargis,Montargis,20
;,;,p
et,et,82
des,de,81
des,le,71
détails,détail,21
spéciaux,spécial,30
",",",",p
sur,sur,81
les,le,71
feux,feu,21
de,de,81
la,le,71
Saint-Jean,Saint-Jean,20
",",",",p
les,le,71
mariages,mariage,21
",",",",p
les,le,71
dictons,dicton,21
populaires,populaire,30
",",",",p
etc,et cetera,91
/?,/?,P
il,il,51
les,le,52
priait,prier,18
même,même,60
de,de,81
recueillir,recueillir,14
pour,pour,81
lui,lui,51
",",",",p
quelques-unes,quelqu'un,52
de,de,81
ces,ce,74
haches,hache,22
en,en,81
silex,silex,21
",",",",p
appelées,appelé,31
alors,alors,60
des,de,81
des,le,71
celtoe,celtoe,92
",",",",p
et,et,82
que,que,83
les,le,71
druides,druide,21
employaient,employer,18
dans,dans,81
“,“,p
leurs,leur,73
criminels,criminel,30
holocaustes,holocauste,21
“,“,p
/.,/.,P
par,par,81
Gorju,Gorju,20
",",",",p
ils,ils,51
s',se,51
en,en,52
procurèrent,procurer,19
une,un,71
douzaine,douzaine,22
",",",",p
lui,lui,51
expédièrent,expédier,19
la,le,71
moins,moins,60
grande,grand,30
-,-,p
les,le,71
autres,autre,52
enrichirent,enrichir,19
le,le,71
muséum,muséum,21
/.,/.,P
ils,ils,51
s',se,51
y,y,52
promenaient,promener,18
avec,avec,81
amour,amour,21
",",",",p
le,le,52
balayaient,balayer,18
eux-mêmes,eux-mêmes,51
",",",",p
en,en,52
avaient,avoir,18
parlé,parler,12
à,à,81
toutes,tout,75
leurs,leur,73
connaissances,connaissance,22
/.,/.,P
un,un,71
après-midi,après-midi,21
",",",",p
madame,madame,22
Bordin,Bordin,20
",",",",p
et,et,82
monsieur,monsieur,21
Marescot,Marescot,20
