11663
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-huitième extrait>,<>,<>
dangers,danger,21
",",",",p
et,et,82
",",",",p
le,le,52
dirai,dire,15
je,je,51
",",",",p
celle,celui,52
de,de,81
vos,votre,73
conseils,conseil,21
/.,/.,P
-,-,p
vous,vous,51
savez,savoir,17
cependant,cependant,82
bien,bien,60
",",",",p
dit,dire,19
de,de,81
Thou,Thou,20
",",",",p
que,que,83
je,je,51
méprise,mépriser,17
les,le,71
premiers,premier,72
",",",",p
et,et,82
je,je,51
pensais,penser,18
que,que,83
vous,vous,51
ne,ne,60
méprisiez,mépriser,17
pas,pas,60
les,le,71
autres,autre,52
/.,/.,P
-,-,p
non,non,60
;,;,p
mais,mais,82
je,je,51
les,le,52
redoutais,redouter,18
",",",",p
je,je,51
les,le,52
crains,craindre,17
encore,encore,60
;,;,p
je,je,51
ne,ne,60
veux,vouloir,17
point,point,60
être,être,14
arrêté,arrêter,12
/.,/.,P
ne,ne,60
parlez,parler,17
pas,pas,60
",",",",p
mon,mon,73
ami,ami,21
",",",",p
pas,pas,60
un,un,71
mot,mot,21
",",",",p
je,je,51
vous,vous,51
en,en,52
conjure,conjurer,17
",",",",p
avant,avant,81
d',de,81
avoir,avoir,14
entendu,entendre,12
et,et,82
vu,voir,12
ce,ce,52
qui,qui,52
va,aller,17
se,se,51
passer,passer,14
/.,/.,P
je,je,51
vous,vous,51
ramène,ramener,17
chez,chez,81
vous,vous,51
en,en,81
sortant,sortir,13
du,de,81
du,le,71
Louvre,Louvre,20
;,;,p
là,là,60
",",",",p
je,je,51
vous,vous,51
écoute,écouter,17
",",",",p
et,et,82
je,je,51
pars,partir,17
pour,pour,81
continuer,continuer,14
mon,mon,73
ouvrage,ouvrage,21
",",",",p
car,car,82
rien,rien,52
ne,ne,60
m',je,51
ébranlera,ébranler,15
",",",",p
je,je,51
vous,vous,51
en,en,52
avertis,avertir,17
;,;,p
je,je,51
l',le,52
ai,avoir,17
dit,dire,12
à,à,81
ces,ce,74
messieurs,monsieur,21
chez,chez,81
vous,vous,51
tout,tout,60
à,à,81
l',le,71
heure,heure,22
/.,/.,P
Cinq-Mars,Cinq-Mars,20
n',ne,60
avait,avoir,18
rien,rien,52
dans,dans,81
son,son,73
accent,accent,21
de,de,81
la,le,71
rudesse,rudesse,22
que,que,52
supposeraient,supposer,16
ces,ce,74
paroles,parole,22
:,:,p
sa,son,73
voix,voix,22
était,être,18
caressante,caressant,30
",",",",p
son,son,73
regard,regard,21
doux,doux,30
",",",",p
amical,amical,30
et,et,82
affectueux,affectueux,30
",",",",p
son,son,73
air,air,21
tranquille,tranquille,30
et,et,82
déterminé,déterminé,31
dès,dès,81
longtemps,longtemps,60
;,;,p
rien,rien,52
n',ne,60
annonçait,annoncer,18
le,le,71
moindre,moindre,30
effort,effort,21
sur,sur,81
soi-même,soi-même,51
/.,/.,P
de,de,81
Thou,Thou,20
le,le,52
remarqua,remarquer,19
et,et,82
en,en,52
gémit,gémir,19
/.,/.,P
-,-,p
hélas,hélas,60
!,!,p
dit,dire,19
il,il,51
en,en,81
descendant,descendre,13
de,de,81
sa,son,73
voiture,voiture,22
avec,avec,81
lui,lui,51
/.,/.,P
et,et,82
il,il,51
le,le,52
suivit,suivre,19
",",",",p
en,en,81
soupirant,soupirer,13
",",",",p
dans,dans,81
le,le,71
grand,grand,30
escalier,escalier,21
du,de,81
du,le,71
Louvre,Louvre,20
/.,/.,P
lorsqu',lorsque,83
ils,ils,51
entrèrent,entrer,19
chez,chez,81
la,le,71
reine,reine,22
",",",",p
annoncés,annoncé,31
par,par,81
des,de,81
des,le,71
huissiers,huissier,21
vêtus,vêtu,31
de,de,81
noir,noir,21
et,et,82
portant,porter,13
une,un,71
verge,verge,22
d',de,81
ébène,ébène,21
",",",",p
elle,il,51
était,être,18
assise,asseoir,12
à,à,81
sa,son,73
toilette,toilette,22
/.,/.,P
c',ce,52
était,être,18
une,un,71
sorte,sorte,22
de,de,81
table,table,22
d',de,81
un,un,71
bois,bois,21
noir,noir,30
",",",",p
plaquée,plaqué,31
d',de,81
écaillé,écaillé,31
",",",",p
de,de,81
nacre,nacre,22
et,et,82
de,de,81
cuivre,cuivre,21
incrustés,incrusté,31
",",",",p
et,et,82
formant,former,13
une,un,71
infinité,infinité,22
de,de,81
dessins,dessin,21
d',de,81
assez,assez,60
mauvais,mauvais,30
goût,goût,21
",",",",p
mais,mais,82
qui,qui,52
donnaient,donner,18
à,à,81
tous,tout,75
les,le,71
meubles,meuble,21
un,un,71
air,air,21
de,de,81
grandeur,grandeur,22
qu',que,52
on,on,51
y,y,52
admire,admirer,17
encore,encore,60
;,;,p
un,un,71
miroir,miroir,21
arrondi,arrondi,31
par,par,81
le,le,71
haut,haut,21
",",",",p
et,et,82
que,que,52
les,le,71
femmes,femme,22
du,de,81
du,le,71
monde,monde,21
trouveraient,trouver,16
aujourd'hui,aujourd'hui,60
petit,petit,30
et,et,82
mesquin,mesquin,30
",",",",p
était,être,18
seulement,seulement,60
posé,poser,12
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
table,table,22
;,;,p
des,de,81
des,le,71
bijoux,bijou,21
et,et,82
des,de,81
des,le,71
colliers,collier,21
épars,épars,30
la,le,52
couvraient,couvrir,18
/.,/.,P
Anne,Anne,20
d',de,81
Autriche,Autriche,20
",",",",p
assise,assis,31
devant,devant,81
et,et,82
placée,placé,31
sur,sur,81
un,un,71
grand,grand,30
fauteuil,fauteuil,21
de,de,81
velours,velours,21
cramoisi,cramoisi,30
à,à,81
longues,long,30
franges,frange,22
d',de,81
or,or,21
",",",",p
restait,rester,18
immobile,immobile,30
et,et,82
grave,grave,30
comme,comme,83
sur,sur,81
un,un,71
trône,trône,21
",",",",p
tandis que,tandis que,83
dona,dona,92
Stephania,Stephania,20
et,et,82
madame,madame,22
de,de,81
Motteville,Motteville,20
donnaient,donner,18
de,de,81
chaque,chaque,75
côté,côté,21
quelques,quelque,75
coups,coup,21
de,de,81
peigne,peigne,21
fort,fort,60
légers,léger,30
",",",",p
comme,comme,83
pour,pour,81
achever,achever,14
la,le,71
coiffure,coiffure,22
de,de,81
la,le,71
reine,reine,22
",",",",p
qui,qui,52
était,être,18
cependant,cependant,82
en,en,81
fort,fort,60
bon,bon,30
état,état,21
",",",",p
et,et,82
déjà,déjà,60
entremêlée,entremêler,12
de,de,81
perles,perle,22
tressées,tressé,31
avec,avec,81
ses,son,73
cheveux,cheveu,21
blonds,blond,30
/.,/.,P
sa,son,73
longue,long,30
chevelure,chevelure,22
avait,avoir,18
des,de,81
des,le,71
reflets,reflet,21
d',de,81
une,un,71
beauté,beauté,22
singulière,singulier,30
",",",",p
qui,qui,52
annonçaient,annoncer,18
qu',que,83
elle,il,51
devait,devoir,18
avoir,avoir,14
au,à,81
au,le,71
toucher,toucher,21
la,le,71
finesse,finesse,22
et,et,82
la,le,71
douceur,douceur,22
de,de,81
la,le,71
soie,soie,22
/.,/.,P
le,le,71
jour,jour,21
tombait,tomber,18
sans,sans,81
voile,voile,21
sur,sur,81
son,son,73
front,front,21
;,;,p
il,il,51
ne,ne,60
devait,devoir,18
point,point,60
redouter,redouter,14
cet,ce,74
éclat,éclat,21
",",",",p
et,et,82
en,en,52
jetait,jeter,18
un,un,52
presque,presque,60
égal,égal,30
par,par,81
sa,son,73
surprenante,surprenant,30
blancheur,blancheur,22
",",",",p
qu',que,52
elle,il,51
se,se,51
plaisait,plaire,18
à,à,81
faire,faire,14
briller,briller,14
ainsi,ainsi,60
;,;,p
ses,son,73
yeux,oeil,21
bleus,bleu,30
mêlés,mêlé,31
de,de,81
vert,vert,21
étaient,être,18
grands,grand,30
et,et,82
réguliers,régulier,30
",",",",p
et,et,82
sa,son,73
bouche,bouche,22
",",",",p
très,très,60
fraîche,frais,30
",",",",p
avait,avoir,18
cette,ce,74
lèvre,lèvre,22
inférieure,inférieur,30
des,de,81
des,le,71
princesses,princesse,22
d',de,81
Autriche,Autriche,20
",",",",p
un,un,71
peu,peu,60
avancée,avancé,31
et,et,82
fendue,fendu,31
légèrement,légèrement,60
en,en,81
forme,forme,22
de,de,81
cerise,cerise,22
",",",",p
que,que,52
l',l',94
on,on,51
peut,pouvoir,17
remarquer,remarquer,14
encore,encore,60
dans,dans,81
tous,tout,75
les,le,71
portraits,portrait,21
de,de,81
cette,ce,74
époque,époque,22
/.,/.,P
il,il,51
semble,sembler,17
que,que,83
leurs,leur,73
peintres,peintre,21
aient,avoir,17
pris,prendre,12
à,à,81
tâche,tâche,22
d',de,81
imiter,imiter,14
la,le,71
bouche,bouche,22
de,de,81
la,le,71
reine,reine,22
",",",",p
pour,pour,81
plaire,plaire,14
peut-être,peut-être,60
aux,à,81
aux,le,71
femmes,femme,22
de,de,81
sa,son,73
suite,suite,22
",",",",p
dont,dont,52
la,le,71
prétention,prétention,22
devait,devoir,18
être,être,14
de,de,81
lui,lui,51
ressembler,ressembler,14
/.,/.,P
les,le,71
vêtements,vêtement,21
noirs,noir,30
",",",",p
adoptés,adopté,31
alors,alors,60
par,par,81
la,le,71
cour,cour,22
et,et,82
dont,dont,52
la,le,71
forme,forme,22
fut,être,19
même,même,60
fixée,fixer,12
par,par,81
un,un,71
édit,édit,21
",",",",p
relevaient,relever,18
encore,encore,60
l',le,71
ivoire,ivoire,21
de,de,81
ses,son,73
bras,bras,21
",",",",p
découverts,découvert,31
jusqu',jusque,81
au,à,81
au,le,71
coude,coude,21
et,et,82
ornés,orné,31
d',de,81
une,un,71
profusion,profusion,22
de,de,81
dentelles,dentelle,22
qui,qui,52
sortaient,sortir,18
de,de,81
ses,son,73
larges,large,30
manches,manche,22
/.,/.,P
de,de,81
grosses,gros,30
perles,perle,22
pendaient,pendre,18
à,à,81
ses,son,73
oreilles,oreille,22
et,et,82
un,un,71
bouquet,bouquet,21
d',de,81
autres,autre,75
perles,perle,22
plus,plus,60
grandes,grand,30
se,se,51
balançait,balancer,18
sur,sur,81
sa,son,73
poitrine,poitrine,22
et,et,82
se,se,51
rattachait,rattacher,18
à,à,81
sa,son,73
ceinture,ceinture,22
/.,/.,P
tel,tel,52
était,être,18
l',le,71
aspect,aspect,21
de,de,81
la,le,71
reine,reine,22
en,en,81
ce,ce,74
moment,moment,21
/.,/.,P
à,à,81
ses,son,73
pieds,pied,21
",",",",p
sur,sur,81
deux,deux,72
coussins,coussin,21
de,de,81
velours,velours,21
",",",",p
un,un,71
enfant,enfant,21
de,de,81
quatre,quatre,72
ans,an,21
jouait,jouer,18
avec,avec,81
un,un,71
petit,petit,30
canon,canon,21
qu',que,52
il,il,51
brisait,briser,18
:,:,p
c',ce,52
était,être,18
le,le,71
Dauphin,Dauphin,20
",",",",p
depuis,depuis,81
Louis XIV,Louis XIV,20
/.,/.,P
la,le,71
duchesse,duchesse,22
Marie,Marie,20
de,de,81
Mantoue,Mantoue,20
était,être,18
assise,asseoir,12
à,à,81
sa,son,73
droite,droite,22
sur,sur,81
un,un,71
tabouret,tabouret,21
",",",",p
la,le,71
princesse,princesse,22
de,de,81
Guéménée,Guéménée,20
",",",",p
la,le,71
duchesse,duchesse,22
de,de,81
Chevreuse,Chevreuse,20
et,et,82
mademoiselle,mademoiselle,22
de,de,81
Montbazon,Montbazon,20
",",",",p
mademoiselle,mademoiselle,22
de,de,81
Guise,Guise,20
",",",",p
de,de,81
Rohan,Rohan,20
et,et,82
de,de,81
Vendôme,Vendôme,20
",",",",p
toutes,tout,52
belles,beau,30
ou,ou,82
brillantes,brillant,30
de,de,81
jeunesse,jeunesse,22
",",",",p
étaient,être,18
placées,placer,12
derrière,derrière,81
la,le,71
reine,reine,22
",",",",p
et,et,82
debout,debout,60
/.,/.,P
dans,dans,81
l',le,71
embrasure,embrasure,22
d',de,81
une,un,71
croisée,croisée,22
",",",",p
monsieur,monsieur,21
",",",",p
le,le,71
chapeau,chapeau,21
sous,sous,81
le,le,71
bras,bras,21
",",",",p
causait,causer,18
à,à,81
voix,voix,22
basse,bas,30
avec,avec,81
un,un,71
homme,homme,21
d',de,81
une,un,71
taille,taille,22
élevée,élevé,31
",",",",p
assez,assez,60
gros,gros,30
",",",",p
rouge,rouge,30
de,de,81
visage,visage,21
et,et,82
l',le,71
oeil,oeil,21
fixe,fixe,30
et,et,82
hardi,hardi,30
:,:,p
c',ce,52
était,être,18
le,le,71
duc,duc,21
de,de,81
Bouillon,Bouillon,20
/.,/.,P
un,un,71
officier,officier,21
",",",",p
d',de,81
environ,environ,60
vingt,vingt,72
cinq,cinq,72
ans,an,21
",",",",p
d',de,81
une,un,71
tournure,tournure,22
svelte,svelte,30
et,et,82
d',de,81
une,un,71
figure,figure,22
agréable,agréable,30
",",",",p
venait,venir,18
de,de,81
remettre,remettre,14
plusieurs,plusieurs,75
papiers,papier,21
au,à,81
au,le,71
prince,prince,21
;,;,p
le,le,71
duc,duc,21
de,de,81
Bouillon,Bouillon,20
paraissait,paraître,18
les,le,52
lui,lui,51
expliquer,expliquer,14
/.,/.,P
monsieur,monsieur,21
de,de,81
Thou,Thou,20
",",",",p
après,après,81
avoir,avoir,14
salué,saluer,12
la,le,71
reine,reine,22
",",",",p
qui,qui,52
lui,lui,51
dit,dire,19
quelques,quelque,75
mots,mot,21
",",",",p
aborda,aborder,19
la,le,71
princesse,princesse,22
de,de,81
Guéménée,Guéménée,20
et,et,82
lui,lui,51
parla,parler,19
à,à,81
demi-voix,demi-voix,22
avec,avec,81
une,un,71
intimité,intimité,22
affectueuse,affectueux,30
",",",",p
mais,mais,82
pendant,pendant,81
cet,ce,74
aparté,aparté,21
",",",",p
attentif,attentif,30
à,à,81
surveiller,surveiller,14
tout,tout,52
ce,ce,52
qui,qui,52
touchait,toucher,18
son,son,73
ami,ami,21
",",",",p
et,et,82
tremblant,trembler,13
en,en,81
secret,secret,21
que,que,83
sa,son,73
destinée,destinée,22
ne,ne,60
fût,être,19
confiée,confier,12
à,à,81
un,un,71
être,être,21
moins,moins,60
digne,digne,30
qu',que,83
il,il,51
ne,ne,60
l',le,52
eût,avoir,19
désiré,désirer,12
",",",",p
il,il,51
examina,examiner,19
la,le,71
princesse,princesse,22
Marie,Marie,20
avec,avec,81
cette,ce,74
attention,attention,22
scrupuleuse,scrupuleux,30
",",",",p
cet,ce,74
oeil,oeil,21
scrutateur,scrutateur,21
d',de,81
une,un,71
mère,mère,22
sur,sur,81
la,le,71
jeune,jeune,30
personne,personne,22
qu',que,52
elle,il,51
choisirait,choisir,16
pour,pour,81
compagne,compagne,22
de,de,81
son,son,73
fils,fils,21
;,;,p
car,car,82
il,il,51
pensait,penser,18
qu',que,83
elle,il,51
n',ne,60
était,être,18
pas,pas,60
étrangère,étranger,30
aux,à,81
aux,le,71
entreprises,entreprise,22
de,de,81
Cinq-Mars,Cinq-Mars,20
/.,/.,P
il,il,51
vit,vivre,17
avec,avec,81
mécontentement,mécontentement,21
que,que,52
sa,son,73
parure,parure,22
",",",",p
extrêmement,extrêmement,60
brillante,brillant,30
",",",",p
semblait,sembler,18
lui,lui,51
donner,donner,14
plus,plus,60
de,de,81
vanité,vanité,22
que,que,83
cela,cela,52
n',ne,60
eût,avoir,19
dû,devoir,12
être,être,14
pour,pour,81
elle,il,51
et,et,82
dans,dans,81
un,un,71
tel,tel,75
moment,moment,21
/.,/.,P
elle,il,51
ne,ne,60
cessait,cesser,18
de,de,81
replacer,replacer,14
sur,sur,81
son,son,73
front,front,21
et,et,82
d',de,81
entremêler,entremêler,14
avec,avec,81
ses,son,73
boucles,boucle,22
de,de,81
cheveux,cheveu,21
les,le,71
rubis,rubis,21
qui,qui,52
paraient,parer,18
sa,son,73
tête,tête,22
",",",",p
et,et,82
n',ne,60
égalaient,égaler,18
pas,pas,60
l',le,71
éclat,éclat,21
et,et,82
les,le,71
couleurs,couleur,22
animées,animé,31
de,de,81
son,son,73
teint,teint,21
:,:,p
elle,il,51
regardait,regarder,18
souvent,souvent,60
Cinq-Mars,Cinq-Mars,20
",",",",p
mais,mais,82
c',ce,52
était,être,18
plutôt,plutôt,60
le,le,71
regard,regard,21
de,de,81
la,le,71
coquetterie,coquetterie,22
que,que,83
celui,celui,52
de,de,81
l',le,71
amour,amour,21
",",",",p
et,et,82
souvent,souvent,60
ses,son,73
yeux,oeil,21
étaient,être,18
attirés,attirer,12
vers,vers,81
les,le,71
glaces,glace,22
de,de,81
la,le,71
toilette,toilette,22
",",",",p
où,où,60
elle,il,51
veillait,veiller,18
à,à,81
la,le,71
symétrie,symétrie,22
de,de,81
sa,son,73
beauté,beauté,22
/.,/.,P
ces,ce,74
observations,observation,22
du,de,81
du,le,71
conseiller,conseiller,21
commencèrent,commencer,19
à,à,81
lui,lui,51
persuader,persuader,14
qu',que,83
il,il,51
s',se,51
était,être,18
trompé,tromper,12
en,en,81
faisant,faire,13
tomber,tomber,14
ses,son,73
soupçons,soupçon,21
sur,sur,81
elle,il,51
",",",",p
et,et,82
surtout,surtout,60
quand,quand,83
il,il,51
vit,voir,19
qu',que,83
elle,il,51
semblait,sembler,18
éprouver,éprouver,14
quelque,quelque,75
plaisir,plaisir,21
à,à,81
s',se,51
asseoir,asseoir,14
près,près,81
de,de,81
la,le,71
reine,reine,22
",",",",p
tandis que,tandis que,83
les,le,71
duchesses,duchesse,22
étaient,être,18
debout,debout,60
derrière,derrière,81
elle,il,51
",",",",p
et,et,82
qu',que,52
elle,il,51
les,le,52
regardait,regarder,18
souvent,souvent,60
avec,avec,81
hauteur,hauteur,22
/.,/.,P
-,-,p
dans,dans,81
ce,ce,74
coeur,coeur,21
de,de,81
dix,dix,72
neuf,neuf,72
ans,an,21
",",",",p
se,se,51
dit,dire,19
il,il,51
",",",",p
l',le,71
amour,amour,21
serait,être,16
seul,seul,30
",",",",p
et,et,82
aujourd'hui,aujourd'hui,60
surtout,surtout,60
:,:,p
donc,donc,82
…,…,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
elle,il,51
/.,/.,P
la,le,71
reine,reine,22
fit,faire,19
un,un,71
signe,signe,21
de,de,81
tête,tête,22
presque,presque,60
imperceptible,imperceptible,30
à,à,81
madame,madame,22
de,de,81
Guéménée,Guéménée,20
après,après,81
que,que,83
les,le,71
deux,deux,72
amis,ami,21
eurent,avoir,19
parlé,parler,12
à,à,81
voix,voix,22
basse,bas,30
un,un,71
moment,moment,21
avec,avec,81
chacun,chacun,52
;,;,p
et,et,82
à,à,81
ce,ce,74
signe,signe,21
toutes,tout,75
les,le,71
femmes,femme,22
",",",",p
excepté,excepté,81
Marie,Marie,20
de,de,81
Gonzague,Gonzague,20
",",",",p
sortirent,sortir,19
de,de,81
l',le,71
appartement,appartement,21
sans,sans,81
parler,parler,14
",",",",p
avec,avec,81
de,de,81
profondes,profond,30
révérences,révérence,22
",",",",p
comme,comme,83
si,si,83
c',ce,52
eût,avoir,19
été,être,12
convenu,convenir,12
d',de,81
avance,avance,22
/.,/.,P
alors,alors,60
la,le,71
reine,reine,22
",",",",p
retournant,retourner,13
son,son,73
fauteuil,fauteuil,21
elle-même,lui-même,51
",",",",p
dit,dire,19
à,à,81
monsieur,monsieur,21
:,:,p
-,-,p
mon,mon,73
frère,frère,21
",",",",p
je,je,51
vous,vous,51
prie,prier,17
de,de,81
vouloir,vouloir,14
bien,bien,60
venir,venir,14
vous,vous,51
asseoir,asseoir,14
près,près,81
de,de,81
moi,moi,51
/.,/.,P
nous,nous,51
allons,aller,17
nous,nous,51
consulter,consulter,14
sur,sur,81
ce,ce,52
que,que,52
je,je,51
vous,vous,51
ai,avoir,17
dit,dire,12
/.,/.,P
la,le,71
princesse,princesse,22
Marie,Marie,20
ne,ne,60
sera,être,15
point,point,60
de,de,81
trop,trop,60
",",",",p
je,je,51
l',le,52
ai,avoir,17
priée,prier,12
de,de,81
rester,rester,14
/.,/.,P
nous,nous,51
n',ne,60
aurons,avoir,15
aucune,aucun,75
interruption,interruption,22
à,à,81
redouter,redouter,14
d',de,81
ailleurs,ailleurs,60
/.,/.,P
la,le,71
reine,reine,22
semblait,sembler,18
plus,plus,60
libre,libre,30
dans,dans,81
ses,son,73
manières,manière,22
et,et,82
dans,dans,81
son,son,73
langage,langage,21
;,;,p
et,et,82
",",",",p
ne,ne,60
gardant,garder,13
plus,plus,60
sa,son,73
sévère,sévère,30
et,et,82
cérémonieuse,cérémonieux,30
immobilité,immobilité,22
",",",",p
elle,il,51
fit,faire,19
aux,à,81
aux,le,71
autres,autre,75
assistants,assistant,21
un,un,71
geste,geste,21
qui,qui,52
les,le,52
invitait,inviter,18
à,à,81
s',se,51
approcher,approcher,14
d',de,81
elle,il,51
/.,/.,P
Gaston,Gaston,20
d',de,81
Orléans,Orléans,20
",",",",p
un,un,71
peu,peu,60
inquiet,inquiet,30
de,de,81
ce,ce,74
début,début,21
solennel,solennel,30
",",",",p
vint,venir,19
nonchalamment,nonchalamment,60
s',se,51
asseoir,asseoir,14
à,à,81
sa,son,73
droite,droite,22
",",",",p
et,et,82
dit,dire,19
avec,avec,81
un,un,71
demi-sourire,demi-sourire,21
et,et,82
un,un,71
air,air,21
négligent,négligent,30
",",",",p
jouant,jouer,13
avec,avec,81
sa,son,73
fraise,fraise,22
et,et,82
la,le,71
chaîne,chaîne,22
du,de,81
du,le,71
Saint-Esprit,Saint Esprit,20
pendante,pendant,30
à,à,81
son,son,73
cou,cou,21
:,:,p
-,-,p
je,je,51
pense,penser,17
bien,bien,60
",",",",p
madame,madame,22
",",",",p
que,que,83
nous,nous,51
ne,ne,60
fatiguerons,fatiguer,15
pas,pas,60
les,le,71
oreilles,oreille,22
d',de,81
une,un,71
si,si,60
jeune,jeune,30
personne,personne,22
par,par,81
une,un,71
longue,long,30
conférence,conférence,22
;,;,p
elle,il,51
aimerait,aimer,16
mieux,mieux,60
entendre,entendre,14
parler,parler,14
de,de,81
danse,danse,22
et,et,82
de,de,81
mariage,mariage,21
",",",",p
d',de,81
un,un,71
électeur,électeur,21
ou,ou,82
du,de,81
du,le,71
roi,roi,21
de,de,81
Pologne,Pologne,20
",",",",p
par,par,81
exemple,exemple,21
/.,/.,P
Marie,Marie,20
prit,prendre,19
un,un,71
air,air,21
dédaigneux,dédaigneux,30
;,;,p
Cinq-Mars,Cinq-Mars,20
fronça,froncer,19
le,le,71
sourcil,sourcil,21
/.,/.,P
-,-,p
pardonnez,pardonner,17
moi,moi,51
",",",",p
répondit,répondre,19
la,le,71
reine,reine,22
en,en,81
la,le,52
regardant,regarder,13
",",",",p
je,je,51
vous,vous,51
assure,assurer,17
que,que,83
la,le,71
politique,politique,22
du,de,81
du,le,71
moment,moment,21
l',le,52
intéresse,intéresser,17
beaucoup,beaucoup,60
/.,/.,P
ne,ne,60
cherchez,chercher,17
pas,pas,60
à,à,81
nous,nous,51
échapper,échapper,14
",",",",p
mon,mon,73
frère,frère,21
",",",",p
ajouta,ajouter,19
t,t,94
elle,il,51
en,en,81
souriant,sourire,13
",",",",p
je,je,51
vous,vous,51
tiens,tenir,17
aujourd'hui,aujourd'hui,60
/!,/!,P
c',ce,52
est,être,17
bien,bien,60
la,le,71
moindre,moindre,30
chose,chose,22
que,que,83
nous,nous,51
écoutions,écouter,17
monsieur,monsieur,21
de,de,81
Bouillon,Bouillon,20
/.,/.,P
celui-ci,celui-ci,52
s',se,51
approcha,approcher,19
",",",",p
tenant,tenir,13
par,par,81
la,le,71
main,main,22
le,le,71
jeune,jeune,30
officier,officier,21
dont,dont,52
nous,nous,51
avons,avoir,17
parlé,parler,12
/.,/.,P
-,-,p
je,je,51
dois,devoir,17
d'abord,d'abord,60
",",",",p
dit,dire,19
il,il,51
",",",",p
présenter,présenter,14
à,à,81
votre,votre,73
majesté,majesté,22
le,le,71
baron,baron,21
de,de,81
Beauvau,Beauvau,20
",",",",p
qui,qui,52
arrive,arriver,17
d',de,81
Espagne,Espagne,20
/.,/.,P
-,-,p
d',de,81
Espagne,Espagne,20
?,?,p
dit,dire,19
la,le,71
reine,reine,22
avec,avec,81
émotion,émotion,22
;,;,p
il,il,51
y,y,52
a,avoir,17
du,de,81
du,le,71
courage,courage,21
à,à,81
cela,cela,52
/.,/.,P
vous,vous,51
avez,avoir,17
vu,voir,12
ma,mon,73
famille,famille,22
/?,/?,P
il,il,51
vous,vous,51
en,en,52
parlera,parler,15
",",",",p
ainsi,ainsi,60
que,que,83
du,de,81
du,le,71
comte,comte,21
duc,duc,21
d',de,81
Olivarès,Olivarès,20
/.,/.,P
quant,quand,83
au,à,81
au,le,71
courage,courage,21
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
la,le,71
première,premier,72
fois,fois,22
qu',que,83
il,il,51
en,en,52
montre,montrer,17
;,;,p
vous,vous,51
savez,savoir,17
qu',que,83
il,il,51
commandait,commander,18
les,le,71
cuirassiers,cuirassier,21
du,de,81
du,le,71
comte,comte,21
de,de,81
Soissons,Soisson,20
/.,/.,P
-,-,p
comment,comment,60
!,!,p
si,si,60
jeune,jeune,30
",",",",p
monsieur,monsieur,21
!,!,p
vous,vous,51
aimez,aimer,17
bien,bien,60
les,le,71
guerres,guerre,22
politiques,politique,30
/!,/!,P
au,à,81
au,le,71
contraire,contraire,21
",",",",p
j',je,51
en,en,52
demande,demander,17
pardon,pardon,21
à,à,81
votre,votre,73
majesté,majesté,22
",",",",p
répondit,répondre,19
il,il,51
",",",",p
car,car,82
je,je,51
servais,servir,18
avec,avec,81
les,le,71
princes,prince,21
de,de,81
la,le,71
paix,paix,22
/.,/.,P
Anne,Anne,20
d',de,81
Autriche,Autriche,20
se,se,51
rappela,rappeler,19
le,le,71
nom,nom,21
qu',que,52
avaient,avoir,18
pris,prendre,12
les,le,71
vainqueurs,vainqueur,21
de,de,81
La Marfée,La Marfée,20
",",",",p
et,et,82
sourit,sourire,19
/.,/.,P
le,le,71
duc,duc,21
de,de,81
Bouillon,Bouillon,20
",",",",p
saisissant,saisir,13
le,le,71
moment,moment,21
d',de,81
entamer,entamer,14
la,le,71
grande,grand,30
question,question,22
qu',que,52
il,il,51
avait,avoir,18
en,en,81
vue,vue,22
",",",",p
quitta,quitter,19
Cinq-Mars,Cinq-Mars,20
",",",",p
auquel,à,81
auquel,lequel,52
il,il,51
venait,venir,18
de,de,81
donner,donner,14
la,le,71
main,main,22
avec,avec,81
une,un,71
effusion,effusion,22
d',de,81
amitié,amitié,22
",",",",p
et,et,82
",",",",p
s',se,51
approchant,approcher,13
avec,avec,81
lui,lui,51
de,de,81
la,le,71
reine,reine,22
:,:,p
-,-,p
il,il,51
est,être,17
miraculeux,miraculeux,30
",",",",p
madame,madame,22
",",",",p
lui,lui,51
dit,dire,19
il,il,51
",",",",p
que,que,83
cette,ce,74
époque,époque,22
fasse,faire,17
encore,encore,60
jaillir,jaillir,14
de,de,81
son,son,73
sein,sein,21
quelques,quelque,75
grands,grand,30
caractères,caractère,21
comme,comme,83
ceux-ci,celui-ci,52
;,;,p
et,et,82
il,il,51
montra,montrer,19
le,le,71
grand,grand,30
écuyer,écuyer,21
",",",",p
le,le,71
jeune,jeune,30
Beauvau,Beauvau,20
et,et,82
monsieur,monsieur,21
de,de,81
Thou,Thou,20
:,:,p
ce,ce,52
n',ne,60
est,être,17
qu',que,83
en,en,81
eux,ils,51
que,que,83
nous,nous,51
pouvons,pouvoir,17
espérer,espérer,14
désormais,désormais,60
",",",",p
ils,ils,51
sont,être,17
à,à,81
présent,présent,21
bien,bien,60
rares,rare,30
",",",",p
car,car,82
le,le,71
grand,grand,30
niveleur,niveleur,21
a,avoir,17
passé,passer,12
sur,sur,81
la,le,71
France,France,20
une,un,71
longue,long,30
faux,faux,22
/.,/.,P
-,-,p
est,être,17
ce,ce,52
du,de,81
du,le,71
temps,temps,21
que,que,52
