11767
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-cinquième extrait>,<>,<> 
archidiacre,archidiacre,21
d',de,81
un,un,71
ton,ton,21
froid,froid,30
",",",",p
je,je,51
suis,être,17
très,très,60
mécontent,mécontent,30
de,de,81
vous,vous,51
/.,/.,P
-,-,p
hélas,hélas,60
!,!,p
soupira,soupirer,19
l',le,71
écolier,écolier,21
/.,/.,P
dom,dom,21
Claude,Claude,20
fit,faire,19
décrire,décrire,14
un,un,71
quart,quart,21
de,de,81
cercle,cercle,21
à,à,81
son,son,73
fauteuil,fauteuil,21
",",",",p
et,et,82
regarda,regarder,19
Jehan,Jehan,20
fixement,fixement,60
/.,/.,P
-,-,p
je,je,51
suis,être,17
bien,bien,60
aise,aise,22
de,de,81
vous,vous,51
voir,voir,14
/.,/.,P
c',ce,52
était,être,18
un,un,71
exorde,exorde,21
redoutable,redoutable,30
/.,/.,P
Jehan,Jehan,20
se,se,51
prépara,préparer,19
à,à,81
un,un,71
rude,rude,30
choc,choc,21
/.,/.,P
-,-,p
Jehan,Jehan,20
",",",",p
on,on,51
m',je,51
apporte,apporter,17
tous,tout,75
les,le,71
jours,jour,21
des,de,81
des,le,71
doléances,doléance,22
de,de,81
vous,vous,51
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
cette,ce,74
batterie,batterie,22
où,où,60
vous,vous,51
avez,avoir,17
contus,contus,30
de,de,81
bastonnade,bastonnade,22
un,un,71
petit,petit,30
vicomte,vicomte,21
Albert,Albert,20
de,de,81
Ramonchamp,Ramonchamp,20
?,?,p
/…,/…,P
-,-,p
oh,oh,93
!,!,p
dit,dire,19
Jehan,Jehan,20
",",",",p
grand'chose,grand-chose,22
!,!,p
un,un,71
méchant,méchant,30
page,page,21
qui,qui,52
s',se,51
amusait,amuser,18
à,à,81
escailbotter,escailbotter,14
les,le,71
écoliers,écolier,21
en,en,81
faisant,faire,13
courir,courir,14
son,son,73
cheval,cheval,21
dans,dans,81
les,le,71
boues,boue,22
/!,/!,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
",",",",p
reprit,reprendre,19
l',le,71
archidiacre,archidiacre,21
",",",",p
que,que,83
ce,ce,74
Mahiet,Mahiet,20
Fargel,Fargel,20
",",",",p
dont,dont,52
vous,vous,51
avez,avoir,17
déchiré,déchirer,12
la,le,71
robe,robe,22
/?,/?,P
tunicam,tunicam,92
dechiraverunt,dechiraverunt,92
",",",",p
dit,dire,19
la,le,71
plainte,plainte,22
/.,/.,P
-,-,p
ah,ah,93
bah,bah,93
!,!,p
une,un,71
mauvaise,mauvais,30
cappette,cappette,22
de,de,81
Montaigu,Montaigu,20
!,!,p
voilà,voilà,81
t,t,94
il,il,51
pas,pas,60
/!,/!,P
la,le,71
plainte,plainte,22
dit,dire,17
tunicam,tunicam,92
et,et,82
non,non,60
cappettam,cappettam,92
/.,/.,P
savez,savoir,17
vous,vous,51
le,le,71
latin,latin,21
/?,/?,P
Jehan,Jehan,20
ne,ne,60
répondit,répondre,19
pas,pas,60
/.,/.,P
-,-,p
oui,oui,60
!,!,p
poursuivit,poursuivre,19
le,le,71
prêtre,prêtre,21
en,en,81
secouant,secouer,13
la,le,71
tête,tête,22
",",",",p
voilà,voilà,81
où,où,60
en,en,52
sont,être,17
les,le,71
études,étude,22
et,et,82
les,le,71
lettres,lettre,22
maintenant,maintenant,60
/.,/.,P
la,le,71
langue,langue,22
latine,latin,30
est,être,17
à,à,81
peine,peine,22
entendue,entendre,12
",",",",p
la,le,71
syriaque,syriaque,30
inconnue,inconnue,22
",",",",p
la,le,71
grecque,grec,30
tellement,tellement,60
odieuse,odieux,30
que,que,83
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
ignorance,ignorance,22
aux,à,81
aux,le,71
plus,plus,60
savants,savant,30
de,de,81
sauter,sauter,14
un,un,71
mot,mot,21
grec,grec,30
sans,sans,81
le,le,52
lire,lire,14
",",",",p
et,et,82
qu',que,83
on,on,51
dit,dire,17
:,:,p
graecum,graecum,92
est,être,17
",",",",p
non,non,60
legitur,legitur,92
/.,/.,P
l',le,71
écolier,écolier,21
releva,relever,19
résolument,résolument,60
les,le,71
yeux,oeil,21
/.,/.,P
-,-,p
monsieur,monsieur,21
mon,mon,73
frère,frère,21
",",",",p
vous,vous,51
plaît,plaire,17
il,il,51
que,que,83
je,je,51
vous,vous,51
explique,expliquer,17
en,en,81
bon,bon,30
parler,parler,21
français,français,30
ce,ce,74
mot,mot,21
grec,grec,30
qui,qui,52
est,être,17
écrit,écrire,12
là,là,60
sur,sur,81
le,le,71
mur,mur,21
/?,/?,P
quel,quel,75
mot,mot,21
/?,/?,P
A,A,20
N,N,20
A,A,20
(,(,p
K,K,20
H,H,20
/.,/.,P
une,un,71
légère,léger,30
rougeur,rougeur,22
vint,venir,19
s',se,51
épanouir,épanouir,14
sur,sur,81
les,le,71
jaunes,jaune,30
pommettes,pommette,22
de,de,81
l',le,71
archidiacre,archidiacre,21
",",",",p
comme,comme,83
la,le,71
bouffée,bouffée,22
de,de,81
fumée,fumée,22
qui,qui,52
annonce,annoncer,17
au dehors,au-dehors,60
les,le,71
secrètes,secret,30
commotions,commotion,22
d',de,81
un,un,71
volcan,volcan,21
/.,/.,P
l',le,71
écolier,écolier,21
le,le,52
remarqua,remarquer,19
à,à,81
peine,peine,22
/.,/.,P
-,-,p
eh,eh,93
",",",",p
Jehan,Jehan,20
",",",",p
balbutia,balbutier,19
le,le,71
frère,frère,21
aîné,aîné,30
avec,avec,81
effort,effort,21
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,52
ce,ce,74
mot,mot,21
veut,vouloir,17
dire,dire,14
/?,/?,P
fatalité,fatalité,22
/.,/.,P
dom,dom,21
Claude,Claude,20
redevint,redevenir,19
pâle,pâle,30
",",",",p
et,et,82
l',le,71
écolier,écolier,21
poursuivit,poursuivre,19
avec,avec,81
insouciance,insouciance,22
:,:,p
-,-,p
et,et,82
ce,ce,74
mot,mot,21
qui,qui,52
est,être,17
au-dessous,au-dessous,60
",",",",p
gravé,graver,12
par,par,81
la,le,71
même,même,75
main,main,22
",",",",p
signifie,signifier,17
impureté,impureté,22
/.,/.,P
vous,vous,51
voyez,voir,17
qu',que,83
on,on,51
sait,savoir,17
son,son,73
grec,grec,21
/.,/.,P
l',le,71
archidiacre,archidiacre,21
demeurait,demeurer,18
silencieux,silencieux,30
/.,/.,P
cette,ce,74
leçon,leçon,22
de,de,81
grec,grec,21
l',le,52
avait,avoir,18
rendu,rendre,12
rêveur,rêveur,30
/.,/.,P
le,le,71
petit,petit,30
Jehan,Jehan,20
",",",",p
qui,qui,52
avait,avoir,18
toutes,tout,75
les,le,71
finesses,finesse,22
d',de,81
un,un,71
enfant,enfant,21
gâté,gâté,31
",",",",p
jugea,juger,19
le,le,71
moment,moment,21
favorable,favorable,30
pour,pour,81
hasarder,hasarder,14
sa,son,73
requête,requête,22
/.,/.,P
il,il,51
prit,prendre,19
donc,donc,82
une,un,71
voix,voix,22
extrêmement,extrêmement,60
douce,doux,30
",",",",p
et,et,82
commença,commencer,19
:,:,p
-,-,p
mon,mon,73
bon,bon,30
frère,frère,21
",",",",p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
m',je,51
avez,avoir,17
en,en,81
haine,haine,22
à,à,81
ce,ce,74
point,point,21
de,de,81
me,je,51
faire,faire,14
farouche,farouche,30
mine,mine,22
pour,pour,81
quelques,quelque,75
méchantes,méchant,30
gifles,gifle,22
et,et,82
pugnalades,pugnalade,22
distribuées,distribué,31
en,en,81
bonne,bon,30
guerre,guerre,22
à,à,81
je,je,51
ne,ne,60
sais,savoir,17
quels,quel,75
garçons,garçon,21
et,et,82
marmousets,marmouset,21
",",",",p
quibusdam,quibusdam,92
mormosetis,mormosetis,92
/?,/?,P
vous,vous,51
voyez,voir,17
",",",",p
bon,bon,30
frère,frère,21
Claude,Claude,20
",",",",p
qu',que,83
on,on,51
sait,savoir,17
son,son,73
latin,latin,21
/.,/.,P
mais,mais,82
toute,tout,75
cette,ce,74
caressante,caressant,30
hypocrisie,hypocrisie,22
n',ne,60
eut,avoir,19
point,point,60
sur,sur,81
le,le,71
sévère,sévère,30
grand,grand,30
frère,frère,21
son,son,73
effet,effet,21
accoutumé,accoutumé,31
/.,/.,P
Cerbère,Cerbère,20
ne,ne,60
mordit,mordre,19
pas,pas,60
au,à,81
au,le,71
gâteau,gâteau,21
de,de,81
miel,miel,21
/.,/.,P
le,le,71
front,front,21
de,de,81
l',le,71
archidiacre,archidiacre,21
ne,ne,60
se,se,51
dérida,dérider,19
pas,pas,60
d',de,81
un,un,71
pli,pli,21
/.,/.,P
-,-,p
où,où,60
voulez,vouloir,17
vous,vous,51
en,en,52
venir,venir,14
?,?,p
dit,dire,19
il,il,51
d',de,81
un,un,71
ton,ton,21
sec,sec,30
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
au,à,81
au,le,71
fait,fait,21
!,!,p
voici,voici,81
!,!,p
répondit,répondre,19
bravement,bravement,60
Jehan,Jehan,20
/.,/.,P
j',je,51
ai,avoir,17
besoin,besoin,21
d',de,81
argent,argent,21
/.,/.,P
à,à,81
cette,ce,74
déclaration,déclaration,22
effrontée,effronté,30
",",",",p
la,le,71
physionomie,physionomie,22
de,de,81
l',le,71
archidiacre,archidiacre,21
prit,prendre,19
tout,tout,60
à,à,81
fait,fait,21
l',le,71
expression,expression,22
pédagogique,pédagogique,30
et,et,82
paternelle,paternel,30
/.,/.,P
-,-,p
vous,vous,51
savez,savoir,17
",",",",p
monsieur,monsieur,21
Jehan,Jehan,20
",",",",p
que,que,83
notre,notre,73
fief,fief,21
de,de,81
Tirechappe,Tirechappe,20
ne,ne,60
rapporte,rapporter,17
",",",",p
en,en,81
mettant,mettre,13
en,en,81
bloc,bloc,21
le,le,71
cens,cens,21
et,et,82
les,le,71
rentes,rente,22
des,de,81
des,le,71
vingt,vingt,72
une,un,72
maisons,maison,22
",",",",p
que,que,83
trente,trente,72
neuf,neuf,72
livres,livre,21
onze,onze,72
sous,sous,81
six,six,72
deniers,denier,21
parisis,parisis,30
/.,/.,P
c',ce,52
est,être,17
moitié,moitié,22
plus,plus,60
que,que,83
du,de,81
du,le,71
temps,temps,21
des,de,81
des,le,71
frères,frère,21
Paclet,Paclet,20
",",",",p
mais,mais,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
beaucoup,beaucoup,60
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
besoin,besoin,21
d',de,81
argent,argent,21
",",",",p
dit,dire,19
stoïquement,stoïquement,60
Jehan,Jehan,20
/.,/.,P
-,-,p
vous,vous,51
savez,savoir,17
que,que,83
l',le,71
official,official,21
a,avoir,17
décidé,décider,12
que,que,83
nos,notre,73
vingt,vingt,72
une,un,71
maisons,maison,22
mouvaient,mouvoir,18
en,en,81
plein,plein,30
fief,fief,21
de,de,81
l',le,71
évêché,évêché,21
",",",",p
et,et,82
que,que,83
nous,nous,51
ne,ne,60
pourrions,pouvoir,16
racheter,racheter,14
cet,ce,74
hommage,hommage,21
qu',que,83
en,en,81
payant,payer,13
au,à,81
au,le,71
révérend,révérend,21
évêque,évêque,21
deux,deux,72
marcs,marc,21
d',de,81
argent,argent,21
doré,doré,31
du,de,81
du,le,71
prix,prix,21
de,de,81
six,six,72
livres,livre,22
parisis,parisis,30
/.,/.,P
or,or,82
",",",",p
ces,ce,74
deux,deux,72
marcs,marc,21
",",",",p
je,je,51
n',ne,60
ai,avoir,17
encore,encore,60
pu,pouvoir,12
les,le,52
amasser,amasser,14
/.,/.,P
vous,vous,51
le,le,52
savez,savoir,17
/.,/.,P
-,-,p
je,je,51
sais,savoir,17
que,que,83
j',je,51
ai,avoir,17
besoin,besoin,21
d',de,81
argent,argent,21
",",",",p
répéta,répéter,19
Jehan,Jehan,20
pour,pour,81
la,le,71
troisième,troisième,72
fois,fois,22
/.,/.,P
-,-,p
et,et,82
qu',que,52
en,en,52
voulez,vouloir,17
vous,vous,51
faire,faire,14
/?,/?,P
cette,ce,74
question,question,22
fit,faire,19
briller,briller,14
une,un,71
lueur,lueur,22
d',de,81
espoir,espoir,21
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
Jehan,Jehan,20
/.,/.,P
il,il,51
reprit,reprendre,19
sa,son,73
mine,mine,22
chatte,chatte,22
et,et,82
doucereuse,doucereux,30
/.,/.,P
-,-,p
tenez,tenir,17
",",",",p
cher,cher,30
frère,frère,21
Claude,Claude,20
",",",",p
je,je,51
ne,ne,60
m',je,51
adresserais,adresser,16
pas,pas,60
à,à,81
vous,vous,51
en,en,81
mauvaise,mauvais,30
intention,intention,22
/.,/.,P
il,il,51
ne,ne,60
s',se,51
agit,agir,17
pas,pas,60
de,de,81
faire,faire,14
le,le,71
beau,beau,60
dans,dans,81
les,le,71
tavernes,taverne,22
avec,avec,81
vos,votre,73
unzains,unzain,21
et,et,82
de,de,81
me,je,51
promener,promener,14
dans,dans,81
les,le,71
rues,rue,22
de,de,81
Paris,Paris,20
en,en,81
caparaçon,caparaçon,21
de,de,81
brocart,brocart,21
d',de,81
or,or,21
",",",",p
avec,avec,81
mon,mon,73
laquais,laquais,21
",",",",p
cum,cum,92
meo,meo,92
laquasio,laquasio,92
/.,/.,P
non,non,60
",",",",p
mon,mon,73
frère,frère,21
",",",",p
c',ce,52
est,être,17
pour,pour,81
une,un,71
bonne,bon,30
oeuvre,oeuvre,22
/.,/.,P
-,-,p
quelle,quel,75
bonne,bon,30
oeuvre,oeuvre,22
?,?,p
demanda,demander,19
Claude,Claude,20
un,un,71
peu,peu,60
surpris,surpris,31
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
deux,deux,72
de,de,81
mes,mon,73
amis,ami,21
qui,qui,52
voudraient,vouloir,16
acheter,acheter,14
une,un,71
layette,layette,22
à,à,81
l',le,71
enfant,enfant,21
d',de,81
une,un,71
pauvre,pauvre,30
veuve,veuve,22
haudriette,haudriette,22
/.,/.,P
c',ce,52
est,être,17
une,un,71
charité,charité,22
/.,/.,P
cela,cela,52
coûtera,coûter,15
trois,trois,72
florins,florin,21
",",",",p
et,et,82
je,je,51
voudrais,vouloir,16
mettre,mettre,14
le,le,71
mien,mien,52
/.,/.,P
-,-,p
comment,comment,60
s',se,51
appellent,appeler,17
vos,votre,73
deux,deux,72
amis,ami,21
/?,/?,P
Pierre,Pierre,20
l',le,71
Assommeur,Assommeur,20
et,et,82
Baptiste,Baptiste,20
Croque-Oison,Croque Oison,20
/.,/.,P
-,-,p
hum,hum,93
!,!,p
dit,dire,19
l',le,71
archidiacre,archidiacre,21
",",",",p
voilà,voilà,81
des,de,81
des,le,71
noms,nom,21
qui,qui,52
vont,aller,17
à,à,81
une,un,71
bonne,bon,30
oeuvre,oeuvre,22
comme,comme,83
une,un,71
bombarde,bombarde,22
sur,sur,81
un,un,71
maître-autel,maître-autel,21
/.,/.,P
il,il,51
est,être,17
certain,certain,30
que,que,83
Jehan,Jehan,20
avait,avoir,18
très,très,60
mal,mal,60
choisi,choisir,12
ses,son,73
deux,deux,72
noms,nom,21
d',de,81
amis,ami,21
/.,/.,P
il,il,51
le,le,52
sentit,sentir,19
trop,trop,60
tard,tard,60
/.,/.,P
-,-,p
et,et,82
puis,puis,60
",",",",p
poursuivit,poursuivre,19
le,le,71
sagace,sagace,30
Claude,Claude,20
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
qu',que,83
une,un,71
layette,layette,22
qui,qui,52
doit,devoir,17
coûter,coûter,14
trois,trois,72
florins,florin,21
?,?,p
et,et,82
cela,cela,52
pour,pour,81
l',le,71
enfant,enfant,21
d',de,81
une,un,71
haudriette,haudriette,22
/?,/?,P
depuis,depuis,81
quand,quand,83
les,le,71
veuves,veuve,22
haudriettes,haudriette,22
ont,avoir,17
elles,ils,51
des,de,81
des,le,71
marmots,marmot,21
au,à,81
au,le,71
maillot,maillot,21
/?,/?,P
Jehan,Jehan,20
rompit,rompre,19
la,le,71
glace,glace,22
encore,encore,60
une,un,71
fois,fois,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
oui,oui,60
!,!,p
j',je,51
ai,avoir,17
besoin,besoin,21
d',de,81
argent,argent,21
pour,pour,81
aller,aller,14
voir,voir,14
ce,ce,74
soir,soir,21
Isabeau,Isabeau,20
la,le,71
Thierrye,Thierrye,20
au,à,81
au,le,71
Val-d'Amour,Val-d'Amour,20
/!,/!,P
misérable,misérable,21
impur,impur,30
!,!,p
s',se,51
écria,écrier,19
le,le,71
prêtre,prêtre,21
/.,/.,P
-,-,p
…,…,p
dit,dire,19
Jehan,Jehan,20
/.,/.,P
cette,ce,74
citation,citation,22
",",",",p
que,que,52
l',le,71
écolier,écolier,21
empruntait,emprunter,18
",",",",p
peut-être,peut-être,60
avec,avec,81
malice,malice,22
",",",",p
à,à,81
la,le,71
muraille,muraille,22
de,de,81
la,le,71
cellule,cellule,22
",",",",p
fit,faire,19
sur,sur,81
le,le,71
prêtre,prêtre,21
un,un,71
effet,effet,21
singulier,singulier,30
/.,/.,P
il,il,51
se,se,51
mordit,mordre,19
les,le,71
lèvres,lèvre,22
",",",",p
et,et,82
sa,son,73
colère,colère,22
s',se,51
éteignit,éteindre,19
dans,dans,81
la,le,71
rougeur,rougeur,22
/.,/.,P
-,-,p
allez,aller,17
vous,vous,51
en,en,52
",",",",p
dit,dire,19
il,il,51
alors,alors,60
à,à,81
Jehan,Jehan,20
/.,/.,P
j',je,51
attends,attendre,17
quelqu'un,quelqu'un,52
/.,/.,P
l',le,71
écolier,écolier,21
tenta,tenter,19
encore,encore,60
un,un,71
effort,effort,21
/.,/.,P
-,-,p
frère,frère,21
Claude,Claude,20
",",",",p
donnez,donner,17
moi,moi,51
au,à,81
au,le,71
moins,moins,60
un,un,71
petit,petit,30
parisis,parisis,30
pour,pour,81
manger,manger,14
/.,/.,P
-,-,p
où,où,60
en,en,52
êtes,être,17
vous,vous,51
des,de,81
des,le,71
décrétales,décrétale,22
de,de,81
Gratien,Gratien,20
!,!,p
demanda,demander,19
dom,dom,21
Claude,Claude,20
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
perdu,perdre,12
mes,mon,73
cahiers,cahier,21
/.,/.,P
-,-,p
où,où,60
en,en,52
êtes,être,17
vous,vous,51
des,de,81
des,le,71
humanités,humanité,22
latines,latin,30
/?,/?,P
on,on,51
m',je,51
a,avoir,17
volé,voler,12
mon,mon,73
exemplaire,exemplaire,21
d',de,81
Horatius,Horatius,20
/.,/.,P
-,-,p
où,où,60
en,en,52
êtes,être,17
vous,vous,51
d',de,81
Aristoteles,Aristoteles,20
/?,/?,P
ma,mon,73
foi,foi,22
!,!,p
frère,frère,21
",",",",p
quel,quel,52
est,être,17
donc,donc,82
ce,ce,74
père,père,21
de,de,81
l',le,71
église,église,22
qui,qui,52
dit,dire,17
que,que,83
les,le,71
erreurs,erreur,22
des,de,81
des,le,71
hérétiques,hérétique,21
ont,avoir,17
de,de,81
tout,tout,75
temps,temps,21
eu,avoir,12
pour,pour,81
repaire,repaire,21
les,le,71
broussailles,broussaille,22
de,de,81
la,le,71
métaphysique,métaphysique,22
d',de,81
Aristoteles,Aristoteles,20
/?,/?,P
foin,foin,21
d',de,81
Aristoteles,Aristoteles,20
!,!,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
déchirer,déchirer,14
ma,mon,73
religion,religion,22
à,à,81
sa,son,73
métaphysique,métaphysique,22
/.,/.,P
-,-,p
jeune,jeune,30
homme,homme,21
",",",",p
reprit,reprendre,19
l',le,71
archidiacre,archidiacre,21
",",",",p
il,il,51
y,y,52
avait,avoir,18
à,à,81
la,le,71
dernière,dernier,30
entrée,entrée,22
du,de,81
du,le,71
roi,roi,21
un,un,71
gentilhomme,gentilhomme,21
appelé,appelé,31
Philippe,Philippe,20
de,de,81
Comines,Comines,20
",",",",p
qui,qui,52
portait,porter,18
brodée,brodé,31
sur,sur,81
la,le,71
houssure,houssure,22
de,de,81
son,son,73
cheval,cheval,21
sa,son,73
devise,devise,22
",",",",p
que,que,52
je,je,51
vous,vous,51
conseille,conseiller,17
de,de,81
méditer,méditer,14
:,:,p
qui,qui,52
non,non,60
laborat,laborat,92
non,non,60
manducet,manducet,92
/.,/.,P
l',le,71
écolier,écolier,21
resta,rester,19
un,un,71
moment,moment,21
silencieux,silencieux,30
",",",",p
le,le,71
doigt,doigt,21
à,à,81
l',le,71
oreille,oreille,22
",",",",p
l',le,71
oeil,oeil,21
fixé,fixé,31
à,à,81
terre,terre,22
",",",",p
et,et,82
la,le,71
mine,mine,22
fâchée,fâché,31
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
il,il,51
se,se,51
retourna,retourner,19
vers,vers,81
Claude,Claude,20
avec,avec,81
la,le,71
vive,vif,30
prestesse,prestesse,22
d',de,81
un,un,71
hoche-queue,hochequeue,21
/.,/.,P
-,-,p
ainsi,ainsi,60
",",",",p
bon,bon,30
frère,frère,21
",",",",p
vous,vous,51
me,je,51
refusez,refuser,17
un,un,71
sou,sou,21
parisis,parisis,30
pour,pour,81
acheter,acheter,14
une,un,71
croûte,croûte,22
chez,chez,81
un,un,71
talmellier,talmellier,21
/?,/?,P
qui,qui,52
non,non,60
laborat,laborat,92
non,non,60
manducet,manducet,92
/.,/.,P
à,à,81
cette,ce,74
réponse,réponse,22
de,de,81
l',le,71
inflexible,inflexible,30
archidiacre,archidiacre,21
",",",",p
Jehan,Jehan,20
cacha,cacher,19
sa,son,73
tête,tête,22
dans,dans,81
ses,son,73
mains,main,22
",",",",p
comme,comme,83
une,un,71
femme,femme,22
qui,qui,52
sanglote,sangloter,17
",",",",p
et,et,82
s',se,51
écria,écrier,19
avec,avec,81
une,un,71
expression,expression,22
de,de,81
désespoir,désespoir,21
:,:,p
/…,/…,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
cela,cela,52
veut,vouloir,17
dire,dire,14
",",",",p
monsieur,monsieur,21
?,?,p
demanda,demander,19
Claude,Claude,20
surpris,surpris,31
de,de,81
cette,ce,74
incartade,incartade,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
quoi,quoi,52
!,!,p
dit,dire,19
l',le,71
écolier,écolier,21
",",",",p
et,et,82
il,il,51
relevait,relever,18
sur,sur,81
Claude,Claude,20
des,de,81
des,le,71
yeux,oeil,21
effrontés,effronté,30
dans,dans,81
lesquels,lequel,52
il,il,51
venait,venir,18
d',de,81
enfoncer,enfoncer,14
ses,son,73
poings,poing,21
pour,pour,81
leur,leur,52
donner,donner,14
la,le,71
rougeur,rougeur,22
des,de,81
des,le,71
larmes,larme,22
",",",",p
c',ce,52
est,être,17
du,de,81
du,le,71
grec,grec,21
!,!,p
c',ce,52
est,être,17
un,un,71
anapeste,anapeste,92
d',de,81
Eschyles,Eschyle,20
qui,qui,52
exprime,exprimer,17
parfaitement,parfaitement,60
la,le,71
douleur,douleur,22
/.,/.,P
et,et,82
ici,ici,60
",",",",p
il,il,51
partit,partir,19
d',de,81
un,un,71
éclat,éclat,21
de,de,81
rire,rire,21
si,si,60
bouffon,bouffon,30
et,et,82
si,si,60
violent,violent,30
qu',que,83
il,il,51
en,en,52
fit,faire,19
sourire,sourire,14
l',le,71
archidiacre,archidiacre,21
/.,/.,P
c',ce,52
était,être,18
la,le,71
faute,faute,22
de,de,81
Claude,Claude,20
en,en,81
effet,effet,21
!,!,p
pourquoi,pourquoi,60
avait,avoir,18
il,il,51
tant,tant,60
gâté,gâter,12
cet,ce,74
enfant,enfant,21
/?,/?,P
oh,oh,93
!,!,p
bon,bon,30
frère,frère,21
Claude,Claude,20
",",",",p
reprit,reprendre,19
Jehan,Jehan,20
enhardi,enhardi,31
par,par,81
ce,ce,74
sourire,sourire,21
",",",",p
voyez,voir,17
mes,mon,73
brodequins,brodequin,21
percés,percé,31
/.,/.,P
y,y,52
a,avoir,17
t,t,94
il,il,51
cothurne,cothurne,21
plus,plus,60
tragique,tragique,30
au,à,81
au,le,71
monde,monde,21
que,que,83
des,de,81
des,le,71
bottines,bottine,22
dont,dont,52
la,le,71
semelle,semelle,22
tire,tirer,17
la,le,71
langue,langue,22
/?,/?,P
l',le,71
archidiacre,archidiacre,21
était,être,18
promptement,promptement,60
revenu,revenir,12
à,à,81
sa,son,73
sévérité,sévérité,22
première,premier,72
/.,/.,P
-,-,p
je,je,51
vous,vous,51
enverrai,envoyer,15
des,de,81
des,le,71
bottines,bottine,22
neuves,neuf,30
/.,/.,P
mais,mais,82
point,point,60
d',de,81
argent,argent,21
/.,/.,P
-,-,p
rien,rien,52
qu',que,83
un,un,71
pauvre,pauvre,30
petit,petit,30
parisis,parisis,21
",",",",p
frère,frère,21
",",",",p
poursuivit,poursuivre,19
le,le,71
suppliant,suppliant,21
Jehan,Jehan,20
/.,/.,P
j',je,51
apprendrai,apprendre,15
Gratien,Gratien,20
par,par,81
coeur,coeur,21
",",",",p
je,je,51
croirai,croire,15
bien,bien,60
en,en,81
dieu,dieu,21
",",",",p
je,je,51
serai,être,16
un,un,71
véritable,véritable,30
Pythagoras,Pythagoras,20
de,de,81
science,science,22
et,et,82
de,de,81
vertu,vertu,22
/.,/.,P
mais,mais,82
un,un,71
petit,petit,30
parisis,parisis,21
",",",",p
par,par,81
grâce,grâce,22
/!,/!,P
voulez,vouloir,17
vous,vous,51
que,que,83
la,le,71
famine,famine,22
me,je,51
morde,mordre,17
avec,avec,81
sa,son,73
gueule,gueule,22
qui,qui,52
est,être,17
là,là,60
",",",",p
béante,béant,30
",",",",p
devant,devant,81
moi,moi,51
",",",",p
plus,plus,60
noire,noir,30
",",",",p
plus,plus,60
puante,puant,30
",",",",p
plus,plus,60
profonde,profond,30
qu',que,83
un,un,71
tartare,tartare,21
ou,ou,82
que,que,83
le,le,71
nez,nez,21
d',de,81
un,un,71
moine,moine,21
/?,/?,P
dom,dom,21
Claude,Claude,20
hocha,hocher,19
son,son,73
chef,chef,21
ridé,ridé,31
/.,/.,P
-,-,p
qui,qui,52
non,non,60
laborat,laborat,92
/…,/…,P
Jehan,Jehan,20
ne,ne,60
le,le,52
laissa,laisser,19
pas,pas,60
achever,achever,14
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
cria,crier,19
t,t,94
il,il,51
",",",",p
au,à,81
au,le,71
diable,diable,21
/!,/!,P
vive,vivre,17
la,le,71
joie,joie,22
/!,/!,P
je,je,51
m',je,51
entavernerai,entaverner,15
",",",",p
je,je,51
me,je,51
battrai,battre,15
",",",",p
je,je,51
casserai,casser,15
les,le,71
pots,pot,21
et,et,82
j',je,51
irai,aller,15
voir,voir,14
les,le,71
filles,fille,22
/!,/!,P
et,et,82
sur,sur,81
ce,ce,52
",",",",p
il,il,51
jeta,jeter,19
son,son,73
bonnet,bonnet,21
au,à,81
au,le,71
mur,mur,21
et,et,82
fit,faire,19
claquer,claquer,14
ses,son,73
doigts,doigt,21
comme,comme,83
des,de,81
des,le,71
castagnettes,castagnettes,22
/.,/.,P
l',le,71
archidiacre,archidiacre,21
le,le,52
regarda,regarder,19
d',de,81
un,un,71
air,air,21
sombre,sombre,30
/.,/.,P
-,-,p
Jehan,Jehan,20
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
point,point,60
d',de,81
âme,âme,22
/.,/.,P
-,-,p
en,en,81
ce,ce,74
cas,cas,21
",",",",p
selon,selon,81
Epicurius,Epicurius,20
",",",",p
je,je,51
manque,manquer,17
d',de,81
un,un,71
je-ne-sais-quoi,je-ne-sais-quoi,21
fait,faire,17
de,de,81
quelque,quelque,75
chose,chose,22
qui,qui,52
