11488
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-septième extrait>,<>,<> 
chemin,chemin,21
/.,/.,P
aux,à,81
aux,le,71
premiers,premier,72
pas,pas,21
qu',que,52
elle,il,51
fit,faire,19
dans,dans,81
la,le,71
rue,rue,22
",",",",p
elle,il,51
sentit,sentir,19
ses,son,73
jambes,jambe,22
tremblantes,tremblant,30
prêtes,prêt,30
à,à,81
lui,lui,51
refuser,refuser,14
le,le,71
service,service,21
;,;,p
il,il,51
lui,lui,51
semblait,sembler,18
à,à,81
chaque,chaque,75
instant,instant,21
sentir,sentir,14
la,le,71
rude,rude,30
main,main,22
de,de,81
son,son,73
mari,mari,21
furieux,furieux,30
la,le,52
saisir,saisir,14
",",",",p
la,le,52
renverser,renverser,14
et,et,82
la,le,52
traîner,traîner,14
dans,dans,81
le,le,71
ruisseau,ruisseau,21
/.,/.,P
bientôt,bientôt,60
le,le,71
bruit,bruit,21
du,de,81
du,le,71
dehors,dehors,21
",",",",p
l',le,71
insouciance,insouciance,22
des,de,81
des,le,71
figures,figure,22
qui,qui,52
se,se,51
croisaient,croiser,18
autour,autour,60
d',de,81
elle,il,51
",",",",p
et,et,82
le,le,71
froid,froid,21
pénétrant,pénétrant,30
du,de,81
du,le,71
matin,matin,21
",",",",p
lui,lui,51
rendirent,rendre,19
la,le,71
force,force,22
et,et,82
la,le,71
tranquillité,tranquillité,22
",",",",p
mais,mais,82
une,un,71
force,force,22
douloureuse,douloureux,30
",",",",p
et,et,82
une,un,71
tranquillité,tranquillité,22
morne,morne,30
",",",",p
semblable,semblable,30
à,à,81
celle,celui,52
qui,qui,52
s',se,51
étend,étendre,17
sur,sur,81
les,le,71
eaux,eau,22
de,de,81
la,le,71
mer,mer,22
",",",",p
et,et,82
dont,dont,52
le,le,71
matelot,matelot,21
clairvoyant,clairvoyant,30
s',se,51
effraye,effrayer,17
plus,plus,60
que,que,83
des,de,81
des,le,71
soulèvements,soulèvement,21
de,de,81
la,le,71
tempête,tempête,22
/.,/.,P
elle,il,51
descendit,descendre,19
le,le,71
quai,quai,21
depuis,depuis,81
l',le,71
institut,institut,21
jusqu',jusque,81
au,à,81
au,le,71
corps,corps,21
législatif,législatif,30
;,;,p
mais,mais,82
elle,il,51
oublia,oublier,19
de,de,81
traverser,traverser,14
le,le,71
pont,pont,21
",",",",p
et,et,82
continua,continuer,19
à,à,81
longer,longer,14
la,le,71
rivière,rivière,22
",",",",p
absorbée,absorbé,31
dans,dans,81
une,un,71
rêverie,rêverie,22
stupide,stupide,30
",",",",p
dans,dans,81
une,un,71
méditation,méditation,22
sans,sans,81
idées,idée,22
",",",",p
et,et,82
poursuivant,poursuivre,13
l',le,71
action,action,22
sans,sans,81
but,but,21
de,de,81
marcher,marcher,14
devant,devant,81
elle,il,51
/.,/.,P
insensiblement,insensiblement,60
elle,il,51
se,se,51
trouva,trouver,19
au,à,81
au,le,71
bord,bord,21
de,de,81
l',le,71
eau,eau,22
",",",",p
qui,qui,52
charriait,charrier,18
des,de,81
des,le,71
glaçons,glaçon,21
à,à,81
ses,son,73
pieds,pied,21
et,et,82
les,le,52
brisait,briser,18
avec,avec,81
un,un,71
bruit,bruit,21
sec,sec,30
et,et,82
froid,froid,30
sur,sur,81
les,le,71
pierres,pierre,22
de,de,81
la,le,71
rive,rive,22
/.,/.,P
cette,ce,74
eau,eau,22
verdâtre,verdâtre,30
exerçait,exercer,18
une,un,71
force,force,22
attractive,attractif,30
sur,sur,81
les,le,71
sens,sens,21
d',de,81
Indiana,Indiana,20
/.,/.,P
on,on,51
s',se,51
accoutume,accoutumer,17
aux,à,81
aux,le,71
idées,idée,22
terribles,terrible,30
;,;,p
à,à,81
force,force,22
de,de,81
les,le,52
admettre,admettre,14
",",",",p
on,on,51
s',se,51
y,y,52
plaît,plaire,17
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
si,si,60
longtemps,longtemps,60
que,que,83
l',le,71
exemple,exemple,21
du,de,81
du,le,71
suicide,suicide,21
de,de,81
Noun,Noun,20
apaisait,apaiser,18
les,le,71
heures,heure,22
de,de,81
son,son,73
désespoir,désespoir,21
",",",",p
qu',que,83
elle,il,51
s',se,51
était,être,18
fait,faire,12
du,de,81
du,le,71
suicide,suicide,21
une,un,71
sorte,sorte,22
de,de,81
volupté,volupté,22
tentatrice,tentateur,30
/.,/.,P
une,un,71
seule,seul,30
pensée,pensée,22
",",",",p
une,un,71
pensée,pensée,22
religieuse,religieux,30
",",",",p
l',le,52
avait,avoir,18
empêchée,empêcher,12
de,de,81
s',se,51
y,y,52
arrêter,arrêter,14
définitivement,définitivement,60
;,;,p
mais,mais,82
dans,dans,81
cet,ce,74
instant,instant,21
aucune,aucun,75
pensée,pensée,22
complète,complet,30
ne,ne,60
gouvernait,gouverner,18
plus,plus,60
son,son,73
cerveau,cerveau,21
épuisé,épuisé,31
/.,/.,P
elle,il,51
se,se,51
rappelait,rappeler,18
à,à,81
peine,peine,22
que,que,83
dieu,dieu,21
existât,exister,18
",",",",p
que,que,83
Raymon,Raymon,20
eût,avoir,19
existé,exister,12
",",",",p
et,et,82
elle,il,51
marchait,marcher,18
",",",",p
se,se,51
rapprochant,rapprocher,13
toujours,toujours,60
de,de,81
la,le,71
rive,rive,22
",",",",p
obéissant,obéissant,30
a,avoir,17
l',le,71
instinct,instinct,21
du,de,81
du,le,71
malheur,malheur,21
et,et,82
au,à,81
au,le,71
magnétisme,magnétisme,21
de,de,81
la,le,71
souffrance,souffrance,22
/.,/.,P
quand,quand,83
elle,il,51
sentit,sentir,19
le,le,71
froid,froid,21
cuisant,cuisant,30
de,de,81
l',le,71
eau,eau,22
qui,qui,52
baignait,baigner,18
déjà,déjà,60
sa,son,73
chaussure,chaussure,22
",",",",p
elle,il,51
s',se,51
éveilla,éveiller,19
comme,comme,83
d',de,81
un,un,71
état,état,21
de,de,81
somnambulisme,somnambulisme,21
",",",",p
et,et,82
",",",",p
cherchant,chercher,13
des,de,81
des,le,71
yeux,oeil,21
où,où,60
elle,il,51
était,être,18
",",",",p
elle,il,51
vit,voir,19
Paris,Paris,20
derrière,derrière,81
elle,il,51
",",",",p
et,et,82
la,le,71
Seine,Seine,20
qui,qui,52
fuyait,fuir,18
sous,sous,81
ses,son,73
pieds,pied,21
",",",",p
emportant,emporter,13
dans,dans,81
sa,son,73
masse,masse,22
huileuse,huileux,30
le,le,71
reflet,reflet,21
blanc,blanc,30
des,de,81
des,le,71
maisons,maison,22
et,et,82
le,le,71
bleu,bleu,21
grisâtre,grisâtre,30
du,de,81
du,le,71
ciel,ciel,21
/.,/.,P
ce,ce,74
mouvement,mouvement,21
continu,continu,30
de,de,81
l',le,71
eau,eau,22
et,et,82
l',le,71
immobilité,immobilité,22
du,de,81
du,le,71
sol,sol,21
se,se,51
confondirent,confondre,19
dans,dans,81
ses,son,73
perceptions,perception,22
troublées,troublé,31
",",",",p
et,et,82
il,il,51
lui,lui,51
sembla,sembler,19
que,que,83
l',le,71
eau,eau,22
dormait,dormir,18
et,et,82
que,que,83
la,le,71
terre,terre,22
fuyait,fuir,18
/.,/.,P
dans,dans,81
ce,ce,74
moment,moment,21
de,de,81
vertige,vertige,21
",",",",p
elle,il,51
s',se,51
appuya,appuyer,19
contre,contre,81
un,un,71
mur,mur,21
",",",",p
et,et,82
se,se,51
pencha,pencher,19
",",",",p
fascinée,fasciné,31
",",",",p
vers,vers,81
ce,ce,52
qu',que,52
elle,il,51
prenait,prendre,18
pour,pour,81
une,un,71
masse,masse,22
solide,solide,30
/…,/…,P
mais,mais,82
les,le,71
aboiements,aboiement,21
d',de,81
un,un,71
chien,chien,21
qui,qui,52
bondissait,bondir,18
autour,autour,60
d',de,81
elle,il,51
vinrent,venir,19
la,le,52
distraire,distraire,14
et,et,82
apporter,apporter,14
quelques,quelque,75
instants,instant,21
de,de,81
retard,retard,21
à,à,81
l',le,71
accomplissement,accomplissement,21
de,de,81
son,son,73
dessein,dessein,21
/.,/.,P
alors,alors,60
un,un,71
homme,homme,21
qui,qui,52
accourait,accourir,18
",",",",p
guidé,guidé,31
par,par,81
la,le,71
voix,voix,22
du,de,81
du,le,71
chien,chien,21
",",",",p
la,le,52
saisit,saisir,19
par,par,81
le,le,71
corps,corps,21
",",",",p
l',le,52
entraîna,entraîner,19
",",",",p
et,et,82
la,le,52
déposa,déposer,19
sur,sur,81
les,le,71
débris,débris,21
d',de,81
un,un,71
bateau,bateau,21
abandonné,abandonné,31
à,à,81
la,le,71
rive,rive,22
/.,/.,P
elle,il,51
le,le,52
regarda,regarder,19
en,en,81
face,face,22
et,et,82
ne,ne,60
le,le,52
reconnut,reconnaître,19
pas,pas,60
/.,/.,P
il,il,51
se,se,51
mit,mettre,19
à,à,81
ses,son,73
pieds,pied,21
",",",",p
détacha,détacher,19
son,son,73
manteau,manteau,21
dont,dont,52
il,il,51
l',le,52
enveloppa,envelopper,19
",",",",p
prit,prendre,19
ses,son,73
mains,main,22
dans,dans,81
les,le,71
siennes,sien,52
pour,pour,81
les,le,52
réchauffer,réchauffer,14
",",",",p
et,et,82
l',le,52
appela,appeler,19
par,par,81
son,son,73
nom,nom,21
/.,/.,P
mais,mais,82
son,son,73
cerveau,cerveau,21
était,être,18
trop,trop,60
faible,faible,30
pour,pour,81
faire,faire,14
un,un,71
effort,effort,21
:,:,p
depuis,depuis,81
quarante,quarante,72
huit,huit,72
heures,heure,22
",",",",p
elle,il,51
avait,avoir,18
oublié,oublier,12
de,de,81
manger,manger,14
/.,/.,P
cependant,cependant,82
",",",",p
lorsque,lorsque,83
la,le,71
chaleur,chaleur,22
revint,revenir,19
un,un,71
peu,peu,60
dans,dans,81
ses,son,73
membres,membre,21
engourdis,engourdi,31
",",",",p
elle,il,51
vit,voir,19
Ralph,Ralph,20
à,à,81
genoux,genou,21
devant,devant,81
elle,il,51
",",",",p
qui,qui,52
tenait,tenir,18
ses,son,73
mains,main,22
et,et,82
épiait,épier,18
le,le,71
retour,retour,21
de,de,81
sa,son,73
raison,raison,22
-,-,p
avez,avoir,17
vous,vous,51
rencontré,rencontrer,12
Noun,Noun,20
?,?,p
lui,lui,51
dit,dire,19
elle,il,51
/.,/.,P
puis,puis,60
elle,il,51
ajouta,ajouter,19
",",",",p
égarée,égaré,31
par,par,81
son,son,73
idée,idée,22
fixe,fixe,30
:,:,p
-,-,p
je,je,51
l',le,52
ai,avoir,17
vue,voir,12
passer,passer,14
sur,sur,81
ce,ce,74
chemin,chemin,21
(,(,p
et,et,82
elle,il,51
montrait,montrer,18
la,le,71
rivière,rivière,22
),),p
/.,/.,P
j',je,51
ai,avoir,17
voulu,vouloir,12
la,le,52
suivre,suivre,14
",",",",p
mais,mais,82
elle,il,51
allait,aller,18
trop,trop,60
vite,vite,60
",",",",p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
la,le,71
force,force,22
de,de,81
marcher,marcher,14
/.,/.,P
c',ce,52
était,être,18
comme,comme,83
un,un,71
cauchemar,cauchemar,21
/.,/.,P
Ralph,Ralph,20
la,le,52
regardait,regarder,18
avec,avec,81
douleur,douleur,22
/.,/.,P
lui,lui,51
aussi,aussi,60
sentait,sentir,18
sa,son,73
tête,tête,22
se,se,51
briser,briser,14
et,et,82
son,son,73
cerveau,cerveau,21
se,se,51
fendre,fendre,14
/.,/.,P
-,-,p
allons,aller,17
nous,nous,51
en,en,52
",",",",p
lui,lui,51
dit,dire,19
il,il,51
/.,/.,P
-,-,p
allons,aller,17
nous,nous,51
en,en,52
",",",",p
répondit,répondre,19
elle,il,51
;,;,p
mais,mais,82
",",",",p
auparavant,auparavant,60
",",",",p
cherchez,chercher,17
mes,mon,73
pieds,pied,21
",",",",p
que,que,52
j',je,51
ai,avoir,17
égarés,égarer,12
là,là,60
sur,sur,81
ces,ce,74
cailloux,caillou,21
/.,/.,P
Ralph,Ralph,20
s',se,51
aperçut,apercevoir,19
qu',que,83
elle,il,51
avait,avoir,18
les,le,71
pieds,pied,21
mouillés,mouillé,31
et,et,82
paralysés,paralysé,31
par,par,81
le,le,71
froid,froid,21
/.,/.,P
il,il,51
l',le,52
emporta,emporter,19
dans,dans,81
ses,son,73
bras,bras,21
jusqu',jusque,81
à,à,81
une,un,71
maison,maison,22
hospitalière,hospitalier,30
",",",",p
où,où,60
les,le,71
soins,soin,21
d',de,81
une,un,71
bonne,bon,30
femme,femme,22
lui,lui,51
rendirent,rendre,19
la,le,71
connaissance,connaissance,22
/.,/.,P
pendant,pendant,81
ce,ce,74
temps,temps,21
",",",",p
Ralph,Ralph,20
envoya,envoyer,19
prévenir,prévenir,14
monsieur,monsieur,21
Delmare,Delmare,20
que,que,83
sa,son,73
femme,femme,22
était,être,18
retrouvée,retrouver,12
;,;,p
mais,mais,82
le,le,71
colonel,colonel,21
n',ne,60
était,être,18
point,point,60
rentré,rentrer,12
chez,chez,81
lui,lui,51
lorsque,lorsque,83
cette,ce,74
nouvelle,nouvelle,22
y,y,52
arriva,arriver,19
/.,/.,P
il,il,51
continuait,continuer,18
ses,son,73
recherches,recherche,22
avec,avec,81
une,un,71
rage,rage,22
d',de,81
inquiétude,inquiétude,22
et,et,82
de,de,81
colère,colère,22
/.,/.,P
Ralph,Ralph,20
",",",",p
mieux,mieux,60
avisé,avisé,31
",",",",p
s',se,51
était,être,18
rendu,rendre,12
déjà,déjà,60
chez,chez,81
monsieur,monsieur,21
de,de,81
Ramière,Ramière,20
;,;,p
mais,mais,82
il,il,51
avait,avoir,18
trouvé,trouver,12
Raymon,Raymon,20
",",",",p
ironique,ironique,30
et,et,82
froid,froid,30
",",",",p
qui,qui,52
venait,venir,18
de,de,81
se,se,51
mettre,mettre,14
au,à,81
au,le,71
lit,lit,21
/.,/.,P
alors,alors,60
il,il,51
avait,avoir,18
pensé,penser,12
à,à,81
Noun,Noun,20
",",",",p
et,et,82
il,il,51
avait,avoir,18
suivi,suivre,12
la,le,71
rivière,rivière,22
dans,dans,81
un,un,71
sens,sens,21
",",",",p
tandis que,tandis que,83
son,son,73
domestique,domestique,21
l',le,52
explorait,explorer,18
dans,dans,81
l',le,71
autre,autre,52
/.,/.,P
Ophélia,Ophélia,20
avait,avoir,18
saisi,saisir,12
aussitôt,aussitôt,60
la,le,71
trace,trace,22
de,de,81
sa,son,73
maîtresse,maîtresse,22
",",",",p
et,et,82
elle,il,51
avait,avoir,18
guidé,guider,12
rapidement,rapidement,60
sir,sir,92
Ralph,Ralph,20
au,à,81
au,le,71
lieu,lieu,21
où,où,60
il,il,51
l',le,52
avait,avoir,18
trouvée,trouver,12
/.,/.,P
lorsque,lorsque,83
Indiana,Indiana,20
ressaisit,ressaisir,19
la,le,71
mémoire,mémoire,22
de,de,81
ce,ce,52
qui,qui,52
s',se,51
était,être,18
passé,passer,12
pendant,pendant,81
cette,ce,74
nuit,nuit,22
misérable,misérable,30
",",",",p
elle,il,51
chercha,chercher,19
vainement,vainement,60
à,à,81
retrouver,retrouver,14
celle,celui,52
des,de,81
des,le,71
instants,instant,21
de,de,81
son,son,73
délire,délire,21
/.,/.,P
elle,il,51
n',ne,60
aurait,avoir,16
donc,donc,82
pu,pouvoir,12
expliquer,expliquer,14
à,à,81
son,son,73
cousin,cousin,21
quelles,quel,75
pensées,pensée,22
la,le,52
dominaient,dominer,18
une,un,71
heure,heure,22
auparavant,auparavant,60
;,;,p
mais,mais,82
il,il,51
les,le,52
devina,deviner,19
",",",",p
et,et,82
comprit,comprendre,19
l',le,71
état,état,21
de,de,81
son,son,73
coeur,coeur,21
sans,sans,81
l',le,52
interroger,interroger,14
/.,/.,P
seulement,seulement,60
",",",",p
il,il,51
lui,lui,51
prit,prendre,19
la,le,71
main,main,22
et,et,82
lui,lui,51
dit,dire,19
d',de,81
un,un,71
ton,ton,21
doux,doux,30
",",",",p
mais,mais,82
solennel,solennel,30
:,:,p
-,-,p
ma,mon,73
cousine,cousine,22
",",",",p
j',je,51
exige,exiger,17
de,de,81
vous,vous,51
une,un,71
promesse,promesse,22
:,:,p
c',ce,52
est,être,17
le,le,71
dernier,dernier,30
témoignage,témoignage,21
d',de,81
amitié,amitié,22
dont,dont,52
je,je,51
vous,vous,51
importunerai,importuner,15
/.,/.,P
-,-,p
parlez,parler,17
",",",",p
répondit,répondre,19
elle,il,51
;,;,p
vous,vous,51
obliger,obliger,14
est,être,17
le,le,71
dernier,dernier,30
bonheur,bonheur,21
qui,qui,52
me,je,51
reste,rester,17
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
jurez,jurer,17
moi,moi,51
",",",",p
reprit,reprendre,19
Ralph,Ralph,20
",",",",p
de,de,81
ne,ne,60
plus,plus,60
avoir,avoir,14
recours,recours,21
au,à,81
au,le,71
suicide,suicide,21
sans,sans,81
m',je,51
en,en,52
prévenir,prévenir,14
/.,/.,P
je,je,51
vous,vous,51
jure,jurer,17
sur,sur,81
l',le,71
honneur,honneur,21
de,de,81
ne,ne,60
m',je,51
y,y,52
opposer,opposer,14
en,en,81
aucune,aucun,75
manière,manière,22
/.,/.,P
je,je,51
ne,ne,60
tiens,tenir,17
qu',que,83
à,à,81
être,être,14
averti,avertir,12
;,;,p
quant,quand,83
au,à,81
au,le,71
reste,reste,21
",",",",p
je,je,51
m',je,51
en,en,52
soucie,soucier,17
aussi,aussi,60
peu,peu,60
que,que,83
vous,vous,51
",",",",p
et,et,82
vous,vous,51
savez,savoir,17
que,que,83
j',je,51
ai,avoir,17
eu,avoir,12
souvent,souvent,60
la,le,71
même,même,75
idée,idée,22
/…,/…,P
-,-,p
pourquoi,pourquoi,60
me,je,51
parlez,parler,17
vous,vous,51
de,de,81
suicide,suicide,21
?,?,p
dit,dire,19
madame,madame,22
Delmare,Delmare,20
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
voulu,vouloir,12
attenter,attenter,14
à,à,81
ma,mon,73
vie,vie,22
/.,/.,P
je,je,51
crains,craindre,17
dieu,dieu,21
;,;,p
sans,sans,81
cela,cela,52
!,!,p
/…,/…,P
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
Indiana,Indiana,20
",",",",p
quand,quand,83
je,je,51
vous,vous,51
ai,avoir,17
saisie,saisir,12
dans,dans,81
mes,mon,73
bras,bras,21
",",",",p
quand,quand,83
cette,ce,74
pauvre,pauvre,30
bête,bête,22
(,(,p
et,et,82
il,il,51
caressait,caresser,18
Ophélia,Ophélia,20
),),p
vous,vous,51
a,avoir,17
retenue,retenir,12
par,par,81
votre,votre,73
robe,robe,22
",",",",p
vous,vous,51
aviez,avoir,18
oublié,oublier,12
dieu,dieu,21
et,et,82
tout,tout,75
l',le,71
univers,univers,21
",",",",p
votre,votre,73
cousin,cousin,21
Ralph,Ralph,20
comme,comme,83
les,le,71
autres,autre,52
/…,/…,P
une,un,71
larme,larme,22
vint,venir,19
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
paupière,paupière,22
d',de,81
Indiana,Indiana,20
/.,/.,P
elle,il,51
pressa,presser,19
la,le,71
main,main,22
de,de,81
sir,sir,92
Ralph,Ralph,20
/.,/.,P
-,-,p
pourquoi,pourquoi,60
m',je,51
avez,avoir,17
vous,vous,51
arrêtée,arrêter,12
?,?,p
lui,lui,51
dit,dire,19
elle,il,51
tristement,tristement,60
;,;,p
je,je,51
serais,être,16
maintenant,maintenant,60
dans,dans,81
le,le,71
sein,sein,21
de,de,81
dieu,dieu,21
",",",",p
car,car,82
je,je,51
n',ne,60
étais,être,18
pas,pas,60
coupable,coupable,30
",",",",p
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
la,le,71
conscience,conscience,22
de,de,81
ce,ce,52
que,que,52
je,je,51
faisais,faire,18
/…,/…,P
-,-,p
je,je,51
l',le,52
ai,avoir,17
bien,bien,60
vu,voir,12
",",",",p
et,et,82
j',je,51
ai,avoir,17
pensé,penser,12
qu',que,83
il,il,51
valait,valoir,18
mieux,mieux,60
se,se,51
donner,donner,14
la,le,71
mort,mort,22
avec,avec,81
réflexion,réflexion,22
/.,/.,P
nous,nous,51
en,en,52
reparlerons,reparler,15
si,si,83
vous,vous,51
voulez,vouloir,17
/…,/…,P
Indiana,Indiana,20
tressaillit,tressaillir,19
/.,/.,P
la,le,71
voiture,voiture,22
qui,qui,52
les,le,52
conduisait,conduire,18
s',se,51
arrêta,arrêter,19
devant,devant,81
la,le,71
maison,maison,22
où,où,60
elle,il,51
devait,devoir,18
retrouver,retrouver,14
son,son,73
mari,mari,21
/.,/.,P
elle,il,51
n',ne,60
eut,avoir,19
pas,pas,60
la,le,71
force,force,22
de,de,81
monter,monter,14
les,le,71
escaliers,escalier,21
;,;,p
Ralph,Ralph,20
la,le,52
porta,porter,19
jusque,jusque,81
dans,dans,81
sa,son,73
chambre,chambre,22
/.,/.,P
tout,tout,75
leur,leur,73
domestique,domestique,21
était,être,18
réduit,réduire,12
à,à,81
une,un,71
femme,femme,22
de,de,81
service,service,21
",",",",p
qui,qui,52
était,être,18
allée,aller,12
commenter,commenter,14
la,le,71
fuite,fuite,22
de,de,81
madame,madame,22
Delmare,Delmare,20
dans,dans,81
le,le,71
voisinage,voisinage,21
",",",",p
et,et,82
à,à,81
Lelièvre,Lelièvre,20
",",",",p
qui,qui,52
",",",",p
en,en,81
désespoir,désespoir,21
de,de,81
cause,cause,22
",",",",p
avait,avoir,18
été,être,12
s',se,51
informer,informer,14
à,à,81
la,le,71
morgue,morgue,22
des,de,81
des,le,71
cadavres,cadavre,21
apportés,apporté,31
dans,dans,81
la,le,71
matinée,matinée,22
/.,/.,P
Ralph,Ralph,20
resta,rester,19
donc,donc,82
auprès,auprès,60
de,de,81
madame,madame,22
Delmare,Delmare,20
pour,pour,81
la,le,52
soigner,soigner,14
/.,/.,P
elle,il,51
était,être,18
en,en,81
proie,proie,22
à,à,81
de,de,81
vives,vif,30
souffrances,souffrance,22
lorsque,lorsque,83
la,le,71
sonnette,sonnette,22
",",",",p
rudement,rudement,60
ébranlée,ébranlé,31
",",",",p
annonça,annoncer,19
le,le,71
retour,retour,21
du,de,81
du,le,71
colonel,colonel,21
/.,/.,P
un,un,71
frisson,frisson,21
de,de,81
terreur,terreur,22
et,et,82
de,de,81
haine,haine,22
parcourut,parcourir,19
tout,tout,75
son,son,73
sang,sang,21
/.,/.,P
elle,il,51
prit,prendre,19
brusquement,brusquement,60
le,le,71
bras,bras,21
de,de,81
son,son,73
cousin,cousin,21
:,:,p
-,-,p
écoutez,écouter,17
",",",",p
Ralph,Ralph,20
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
",",",",p
si,si,83
vous,vous,51
avez,avoir,17
un,un,71
peu,peu,60
d',de,81
attachement,attachement,21
pour,pour,81
moi,moi,51
",",",",p
vous,vous,51
m',je,51
épargnerez,épargner,15
la,le,71
vue,vue,22
de,de,81
cet,ce,74
homme,homme,21
dans,dans,81
l',le,71
état,état,21
où,où,60
je,je,51
suis,être,17
/.,/.,P
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
lui,lui,51
faire,faire,14
pitié,pitié,22
",",",",p
j',je,51
aime,aimer,17
mieux,mieux,60
sa,son,73
colère,colère,22
que,que,83
sa,son,73
compassion,compassion,22
/…,/…,P
n',ne,60
ouvrez,ouvrir,17
pas,pas,60
",",",",p
ou,ou,82
renvoyez,renvoyer,17
le,le,52
;,;,p
dites,dire,17
lui,lui,51
que,que,83
l',l',94
on,on,51
ne,ne,60
m',je,51
a,avoir,17
pas,pas,60
retrouvée,retrouver,12
/…,/…,P
ses,son,73
lèvres,lèvre,22
tremblaient,trembler,18
",",",",p
ses,son,73
bras,bras,21
se,se,51
contractaient,contracter,18
avec,avec,81
une,un,71
énergie,énergie,22
convulsive,convulsif,30
pour,pour,81
retenir,retenir,14
Ralph,Ralph,20
/.,/.,P
partagé,partagé,31
entre,entre,81
deux,deux,72
sentiments,sentiment,21
contraires,contraire,30
",",",",p
le,le,71
pauvre,pauvre,30
baronnet,baronnet,21
ne,ne,60
savait,savoir,18
quel,quel,75
parti,parti,21
prendre,prendre,14
/.,/.,P
Delmare,Delmare,20
secouait,secouer,18
la,le,71
sonnette,sonnette,22
à,à,81
la,le,52
briser,briser,14
",",",",p
et,et,82
sa,son,73
femme,femme,22
était,être,18
mourante,mourant,30
sur,sur,81
son,son,73
fauteuil,fauteuil,21
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
songez,songer,17
qu',que,83
à,à,81
sa,son,73
colère,colère,22
",",",",p
dit,dire,19
enfin,enfin,60
Ralph,Ralph,20
",",",",p
vous,vous,51
ne,ne,60
songez,songer,17
pas,pas,60
à,à,81
ses,son,73
tourments,tourment,21
",",",",p
à,à,81
son,son,73
inquiétude,inquiétude,22
;,;,p
vous,vous,51
croyez,croire,17
toujours,toujours,60
qu',que,83
il,il,51
vous,vous,51
hait,haïr,17
/…,/…,P
si,si,83
vous,vous,51
aviez,avoir,18
vu,voir,12
sa,son,73
douleur,douleur,22
ce,ce,74
matin,matin,21
!,!,p
/…,/…,P
Indiana,Indiana,20
laissa,laisser,19
retomber,retomber,14
son,son,73
bras,bras,21
avec,avec,81
accablement,accablement,21
",",",",p
et,et,82
Ralph,Ralph,20
alla,aller,19
ouvrir,ouvrir,14
/.,/.,P
-,-,p
elle,il,51
est,être,17
ici,ici,60
?,?,p
cria,crier,19
le,le,71
colonel,colonel,21
en,en,81
entrant,entrer,13
/.,/.,P
mille,mille,72
sabords,sabord,21
de,de,81
dieu,dieu,21
!,!,p
j',je,51
ai,avoir,17
assez,assez,60
couru,courir,12
pour,pour,81
la,le,52
retrouver,retrouver,14
:,:,p
je,je,51
lui,lui,51
suis,être,17
fort,fort,60
obligé,obliger,12
du,de,81
du,le,71
joli,joli,30
métier,métier,21
qu',que,52
elle,il,51
me,je,51
fait,faire,17
faire,faire,14
/!,/!,P
le,le,71
ciel,ciel,21
la,le,52
confonde,confondre,17
/!,/!,P
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
la,le,52
voir,voir,14
",",",",p
car,car,82
je,je,51
la,le,52
tuerais,tuer,16
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
songez,songer,17
pas,pas,60
qu',que,83
elle,il,51
vous,vous,51
entend,entendre,17
",",",",p
répondit,répondre,19
Ralph,Ralph,20
à,à,81
voix,voix,22
basse,bas,30
/.,/.,P
elle,il,51
est,être,17
dans,dans,81
un,un,71
état,état,21
à,à,81
ne,ne,60
pouvoir,pouvoir,14
supporter,supporter,14
aucune,aucun,75
émotion,émotion,22
pénible,pénible,30
/.,/.,P
modérez,modérer,17
vous,vous,51
/.,/.,P
-,-,p
vingt,vingt,72
cinq,cinq,72
mille,mille,72
malédictions,malédiction,22
!,!,p
hurla,hurler,19
le,le,71
colonel,colonel,21
",",",",p
j',je,51
en,en,52
ai,avoir,17
bien,bien,60
supporté,supporter,12
d',de,81
autres,autre,52
",",",",p
moi,moi,51
",",",",p
depuis,depuis,81
ce,ce,74
matin,matin,21
/.,/.,P
bien,bien,60
m',je,51
a,avoir,17
pris,prendre,12
d',de,81
avoir,avoir,14
les,le,71
nerfs,nerf,21
comme,comme,83
des,de,81
des,le,71
câbles,câble,21
/.,/.,P
où,où,60
est,être,17
",",",",p
s',si,83
il,il,51
vous,vous,51
plaît,plaire,17
",",",",p
le,le,71
plus,plus,60
froissé,froisser,12
",",",",p
le,le,71
plus,plus,60
fatigué,fatiguer,12
",",",",p
le,le,71
plus,plus,60
justement,justement,60
malade,malade,30
d',de,81
elle,il,51
ou,ou,82
de,de,81
moi,moi,51
/?,/?,P
et,et,82
où,où,60
l',le,52
avez,avoir,17
vous,vous,51
trouvée,trouver,12
?,?,p
que,que,52
faisait,faire,18
elle,il,51
/?,/?,P
