11637
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-huitième extrait>,<>,<>
;,;,p
aussi,aussi,60
vos,votre,73
amis,ami,21
sont,être,17
toujours,toujours,60
prêts,prêt,30
à,à,81
vous,vous,51
rendre,rendre,14
service,service,21
/.,/.,P
-,-,p
j',je,51
étais,être,18
en,en,81
train,train,21
de,de,81
causer,causer,14
avec,avec,81
votre,votre,73
femme,femme,22
",",",",p
et,et,82
je,je,51
lui,lui,51
demandais,demander,18
si,si,83
Germain,Germain,20
se,se,51
décidait,décider,18
enfin,enfin,60
à,à,81
se,se,51
remarier,remarier,14
/.,/.,P
-,-,p
vous,vous,51
n',ne,60
êtes,être,17
point,point,60
une,un,71
bavarde,bavarde,22
",",",",p
répondit,répondre,19
le,le,71
père,père,21
Maurice,Maurice,20
",",",",p
on,on,51
peut,pouvoir,17
parler,parler,14
devant,devant,81
vous,vous,51
sans,sans,81
craindre,craindre,14
les,le,71
propos,propos,21
:,:,p
ainsi,ainsi,60
je,je,51
dirai,dire,15
à,à,81
ma,mon,73
femme,femme,22
et,et,82
à,à,81
vous,vous,51
que,que,83
Germain,Germain,20
est,être,17
tout,tout,60
à,à,81
fait,fait,21
décidé,décider,12
;,;,p
il,il,51
part,partir,17
demain,demain,60
pour,pour,81
le,le,71
domaine,domaine,21
de,de,81
Fourche,Fourche,20
/.,/.,P
-,-,p
à,à,81
la,le,71
bonne,bon,30
heure,heure,22
!,!,p
s',se,51
écria,écrier,19
la,le,71
mère,mère,22
Maurice,Maurice,20
;,;,p
ce,ce,74
pauvre,pauvre,30
enfant,enfant,21
/!,/!,P
dieu,dieu,21
veuille,vouloir,17
qu',que,83
il,il,51
trouve,trouver,17
une,un,71
femme,femme,22
aussi,aussi,60
bonne,bon,30
et,et,82
aussi,aussi,60
brave,brave,30
que,que,83
lui,lui,51
/!,/!,P
-,-,p
ah,ah,93
!,!,p
il,il,51
va,aller,17
à,à,81
Fourche,Fourche,20
?,?,p
observa,observer,19
la,le,71
Guillette,Guillette,20
/.,/.,P
voyez,voir,17
comme,comme,83
ça,ça,52
se,se,51
trouve,trouver,17
!,!,p
cela,cela,52
m',je,51
arrange,arranger,17
beaucoup,beaucoup,60
",",",",p
et,et,82
puisque,puisque,83
vous,vous,51
me,je,51
demandiez,demander,17
tout,tout,60
à,à,81
l',le,71
heure,heure,22
si,si,83
je,je,51
désirais,désirer,18
quelque,quelque,75
chose,chose,22
",",",",p
je,je,51
vas,aller,17
vous,vous,51
dire,dire,14
",",",",p
père,père,21
Maurice,Maurice,20
",",",",p
en,en,81
quoi,quoi,52
vous,vous,51
pouvez,pouvoir,17
m',je,51
obliger,obliger,14
/.,/.,P
-,-,p
dites,dire,17
",",",",p
dites,dire,17
",",",",p
vous,vous,51
obliger,obliger,14
",",",",p
nous,nous,51
le,le,52
voulons,vouloir,17
/.,/.,P
-,-,p
je,je,51
voudrais,vouloir,16
que,que,83
Germain,Germain,20
prît,prendre,18
la,le,71
peine,peine,22
d',de,81
emmener,emmener,14
ma,mon,73
fille,fille,22
avec,avec,81
lui,lui,51
/.,/.,P
-,-,p
où,où,60
donc,donc,82
/?,/?,P
à,à,81
Fourche,Fourche,20
/?,/?,P
-,-,p
non,non,60
",",",",p
pas,pas,60
à,à,81
Fourche,Fourche,20
;,;,p
mais,mais,82
aux,à,81
aux,le,71
Ormeaux,Ormeaux,20
",",",",p
où,où,60
elle,il,51
va,aller,17
demeurer,demeurer,14
le,le,71
reste,reste,21
de,de,81
l',le,71
année,année,22
/.,/.,P
-,-,p
comment,comment,60
!,!,p
dit,dire,19
la,le,71
mère,mère,22
Maurice,Maurice,20
",",",",p
vous,vous,51
vous,vous,51
séparez,séparer,17
de,de,81
votre,votre,73
fille,fille,22
/?,/?,P
-,-,p
il,il,51
faut,falloir,17
bien,bien,60
qu',que,83
elle,il,51
entre,entrer,17
en,en,81
condition,condition,22
et,et,82
qu',que,83
elle,il,51
gagne,gagner,17
quelque,quelque,75
chose,chose,22
/.,/.,P
ça,ça,52
me,je,51
fait,faire,17
assez,assez,60
de,de,81
peine,peine,22
et,et,82
à,à,81
elle,il,51
aussi,aussi,60
",",",",p
la,le,71
pauvre,pauvre,30
âme,âme,22
/!,/!,P
nous,nous,51
n',ne,60
avons,avoir,17
pas,pas,60
pu,pouvoir,12
nous,nous,51
décider,décider,14
à,à,81
nous,nous,51
quitter,quitter,14
à,à,81
l',le,71
époque,époque,22
de,de,81
la,le,71
Saint-Jean,Saint-Jean,20
;,;,p
mais,mais,82
voilà,voilà,81
que,que,83
la,le,71
Saint-Martin,Saint-Martin,20
arrive,arriver,17
",",",",p
et,et,82
qu',que,83
elle,il,51
trouve,trouver,17
une,un,71
bonne,bon,30
place,place,22
de,de,81
bergère,bergère,22
dans,dans,81
les,le,71
fermes,ferme,22
des,de,81
des,le,71
Ormeaux,Ormeaux,20
/.,/.,P
le,le,71
fermier,fermier,21
passait,passer,18
l',le,71
autre,autre,75
jour,jour,21
par,par,81
ici,ici,60
en,en,81
revenant,revenir,13
de,de,81
la,le,71
foire,foire,22
/.,/.,P
il,il,51
vit,voir,19
ma,mon,73
petite,petit,30
Marie,Marie,20
qui,qui,52
gardait,garder,18
ses,son,73
trois,trois,72
moutons,mouton,21
sur,sur,81
le,le,71
communal,communal,30
/.,/.,P
vous,vous,51
n',ne,60
êtes,être,17
guère,guère,60
occupée,occuper,12
",",",",p
ma,mon,73
petite,petit,30
fille,fille,22
",",",",p
qu',que,83
il,il,51
lui,lui,51
dit,dire,19
;,;,p
et,et,82
trois,trois,72
moutons,mouton,21
pour,pour,81
une,un,71
pastoure,pastoure,22
",",",",p
ce,ce,52
n',ne,60
est,être,17
guère,guère,60
/.,/.,P
voulez,vouloir,17
vous,vous,51
en,en,52
garder,garder,14
cent,cent,72
?,?,p
je,je,51
vous,vous,51
emmène,emmener,17
/.,/.,P
la,le,71
bergère,bergère,22
de,de,81
chez,chez,81
nous,nous,51
est,être,17
tombée,tomber,12
malade,malade,30
",",",",p
elle,il,51
retourne,retourner,17
chez,chez,81
ses,son,73
parents,parent,21
",",",",p
et,et,82
si,si,83
vous,vous,51
voulez,vouloir,17
être,être,14
chez,chez,81
nous,nous,51
avant,avant,81
huit,huit,72
jours,jour,21
",",",",p
vous,vous,51
aurez,avoir,15
cinquante,cinquante,72
francs,franc,21
pour,pour,81
le,le,71
reste,reste,21
de,de,81
l',le,71
année,année,22
jusqu',jusque,81
à,à,81
la,le,71
Saint-Jean,Saint-Jean,20
/.,/.,P
l',le,71
enfant,enfant,21
a,avoir,17
refusé,refuser,12
",",",",p
mais,mais,82
elle,il,51
n',ne,60
a,avoir,17
pu,pouvoir,12
se,se,51
défendre,défendre,14
d',de,81
y,y,52
songer,songer,14
et,et,82
de,de,81
me,je,51
le,le,52
dire,dire,14
lorsqu',lorsque,83
en,en,81
rentrant,rentrer,13
le,le,71
soir,soir,21
elle,il,51
m',je,51
a,avoir,17
vue,voir,12
triste,triste,30
et,et,82
embarrassée,embarrassé,31
de,de,81
passer,passer,14
l',le,71
hiver,hiver,21
",",",",p
qui,qui,52
va,aller,17
être,être,14
rude,rude,30
et,et,82
long,long,30
",",",",p
puisqu',puisque,83
on,on,51
a,avoir,17
vu,voir,12
",",",",p
cette,ce,74
année,année,22
",",",",p
les,le,71
grues,grue,22
et,et,82
les,le,71
oies,oie,22
sauvages,sauvage,30
traverser,traverser,14
les,le,71
airs,air,21
un,un,71
grand,grand,30
mois,mois,21
plus,plus,60
tôt,tôt,60
que,que,83
de,de,81
coutume,coutume,22
/.,/.,P
nous,nous,51
avons,avoir,17
pleuré,pleurer,12
toutes,tout,75
deux,deux,72
;,;,p
mais,mais,82
enfin,enfin,60
le,le,71
courage,courage,21
est,être,17
venu,venir,12
/.,/.,P
nous,nous,51
nous,nous,51
sommes,être,17
dit,dire,12
que,que,83
nous,nous,51
ne,ne,60
pouvions,pouvoir,17
pas,pas,60
rester,rester,14
ensemble,ensemble,60
",",",",p
puisqu',puisque,83
il,il,51
y,y,52
a,avoir,17
à,à,81
peine,peine,22
de,de,81
quoi,quoi,52
faire,faire,14
vivre,vivre,14
une,un,71
seule,seul,30
personne,personne,22
sur,sur,81
notre,notre,73
lopin,lopin,21
de,de,81
terre,terre,22
;,;,p
et,et,82
puisque,puisque,83
Marie,Marie,20
est,être,17
en,en,81
âge,âge,21
(,(,p
la,le,52
voilà,voilà,81
qui,qui,52
prend,prendre,17
seize,seize,72
ans,an,21
),),p
",",",",p
il,il,51
faut,falloir,17
bien,bien,60
qu',que,83
elle,il,51
fasse,faire,17
comme,comme,83
les,le,71
autres,autre,52
",",",",p
qu',que,83
elle,il,51
gagne,gagner,17
son,son,73
pain,pain,21
et,et,82
qu',que,83
elle,il,51
aide,aider,17
sa,son,73
pauvre,pauvre,30
mère,mère,22
/.,/.,P
-,-,p
mère,mère,22
Guillette,Guillette,20
",",",",p
dit,dire,19
le,le,71
vieux,vieux,30
laboureur,laboureur,21
",",",",p
s',si,83
il,il,51
ne,ne,60
fallait,falloir,18
que,que,83
cinquante,cinquante,72
francs,franc,21
pour,pour,81
vous,vous,51
consoler,consoler,14
de,de,81
vos,votre,73
peines,peine,22
et,et,82
vous,vous,51
dispenser,dispenser,14
d',de,81
envoyer,envoyer,14
votre,votre,73
enfant,enfant,21
au,à,81
au,le,71
loin,loin,60
",",",",p
vrai,vrai,60
",",",",p
je,je,51
vous,vous,51
les,le,52
ferais,faire,16
trouver,trouver,14
",",",",p
quoique,quoique,83
cinquante,cinquante,72
francs,franc,21
pour,pour,81
des,de,81
des,le,71
gens,gens,21
comme,comme,83
nous,nous,51
ça,ça,52
commence,commencer,17
à,à,81
peser,peser,14
/.,/.,P
mais,mais,82
en,en,81
toutes,tout,75
choses,chose,22
",",",",p
il,il,51
faut,falloir,17
consulter,consulter,14
la,le,71
raison,raison,22
autant,autant,60
que,que,83
l',le,71
amitié,amitié,22
/.,/.,P
pour,pour,81
être,être,14
sauvée,sauver,12
de,de,81
la,le,71
misère,misère,22
de,de,81
cet,ce,74
hiver,hiver,21
",",",",p
vous,vous,51
ne,ne,60
le,le,52
serez,être,15
pas,pas,60
de,de,81
la,le,71
misère,misère,22
à,à,81
venir,venir,14
",",",",p
et,et,82
plus,plus,60
votre,votre,73
fille,fille,22
tardera,tarder,15
à,à,81
prendre,prendre,14
un,un,71
parti,parti,21
",",",",p
plus,plus,60
elle,il,51
et,et,82
vous,vous,51
aurez,avoir,15
de,de,81
peine,peine,22
à,à,81
vous,vous,51
quitter,quitter,14
/.,/.,P
la,le,71
petite,petit,30
Marie,Marie,20
se,se,51
fait,faire,17
grande,grand,30
et,et,82
forte,fort,30
",",",",p
et,et,82
elle,il,51
n',ne,60
a,avoir,17
pas,pas,60
de,de,81
quoi,quoi,52
s',se,51
occuper,occuper,14
chez,chez,81
vous,vous,51
/.,/.,P
elle,il,51
pourrait,pouvoir,16
y,y,52
prendre,prendre,14
l',le,71
habitude,habitude,22
de,de,81
la,le,71
fainéantise,fainéantise,22
/…,/…,P
-,-,p
ôh,oh,93
!,!,p
pour,pour,81
cela,cela,52
",",",",p
je,je,51
ne,ne,60
le,le,52
crains,craindre,17
pas,pas,60
",",",",p
dit,dire,19
la,le,71
Guillette,Guillette,20
/.,/.,P
Marie,Marie,20
est,être,17
courageuse,courageux,30
autant,autant,60
que,que,83
fille,fille,22
riche,riche,30
et,et,82
à,à,81
la,le,71
tête,tête,22
d',de,81
un,un,71
gros,gros,30
travail,travail,21
puisse,pouvoir,17
l',le,52
être,être,14
/.,/.,P
elle,il,51
ne,ne,60
reste,rester,17
pas,pas,60
un,un,71
instant,instant,21
les,le,71
bras,bras,21
croisés,croisé,31
",",",",p
et,et,82
quand,quand,83
nous,nous,51
n',ne,60
avons,avoir,17
pas,pas,60
d',de,81
ouvrage,ouvrage,21
",",",",p
elle,il,51
nettoie,nettoyer,17
et,et,82
frotte,frotter,17
nos,notre,73
pauvres,pauvre,21
meubles,meuble,21
qu',que,52
elle,il,51
rend,rendre,17
clairs,clair,30
comme,comme,83
des,de,81
des,le,71
miroirs,miroir,21
/.,/.,P
c',ce,52
est,être,17
une,un,71
enfant,enfant,21
qui,qui,52
vaut,valoir,17
son,son,73
pesant,pesant,21
d',de,81
or,or,21
",",",",p
et,et,82
j',je,51
aurais,avoir,16
bien,bien,60
mieux,mieux,60
aimé,aimer,12
qu',que,83
elle,il,51
entrât,entrer,18
chez,chez,81
vous,vous,51
comme,comme,83
bergère,bergère,22
que,que,52
d',de,81
aller,aller,14
si,si,60
loin,loin,60
chez,chez,81
des,de,81
des,le,71
gens,gens,21
que,que,52
je,je,51
ne,ne,60
connais,connaître,17
pas,pas,60
/.,/.,P
vous,vous,51
l',le,52
auriez,avoir,16
prise,prendre,12
à,à,81
la,le,71
Saint-Jean,Saint-Jean,20
",",",",p
si,si,83
nous,nous,51
avions,avoir,18
su,savoir,12
nous,nous,51
décider,décider,14
;,;,p
mais,mais,82
à,à,81
présent,présent,21
vous,vous,51
avez,avoir,17
loué,louer,12
tout,tout,75
votre,votre,73
monde,monde,21
",",",",p
et,et,82
ce,ce,52
n',ne,60
est,être,17
qu',que,83
à,à,81
la,le,71
Saint-Jean,Saint-Jean,20
de,de,81
l',le,71
autre,autre,75
année,année,22
que,que,52
nous,nous,51
pourrons,pouvoir,15
y,y,52
songer,songer,14
/.,/.,P
-,-,p
eh,eh,93
!,!,p
j',je,51
y,y,52
consens,consentir,17
de,de,81
tout,tout,75
mon,mon,73
coeur,coeur,21
",",",",p
Guillette,Guillette,20
/!,/!,P
cela,cela,52
me,je,51
fera,faire,15
plaisir,plaisir,21
/.,/.,P
mais,mais,82
en,en,81
attendant,attendre,13
",",",",p
elle,il,51
fera,faire,15
bien,bien,60
d',de,81
apprendre,apprendre,14
un,un,71
état,état,21
et,et,82
de,de,81
s',se,51
habituer,habituer,14
à,à,81
servir,servir,14
les,le,71
autres,autre,52
/.,/.,P
-,-,p
oui,oui,60
",",",",p
sans,sans,81
doute,doute,21
;,;,p
le,le,71
sort,sort,21
en,en,52
est,être,17
jeté,jeter,12
/.,/.,P
le,le,71
fermier,fermier,21
des,de,81
des,le,71
Ormeaux,Ormeaux,20
l',le,52
a,avoir,17
fait,faire,12
demander,demander,14
ce,ce,74
matin,matin,21
;,;,p
nous,nous,51
avons,avoir,17
dit,dire,12
oui,oui,60
",",",",p
et,et,82
il,il,51
faut,falloir,17
qu',que,83
elle,il,51
parte,partir,17
/.,/.,P
mais,mais,82
la,le,71
pauvre,pauvre,30
enfant,enfant,21
ne,ne,60
sait,savoir,17
pas,pas,60
le,le,71
chemin,chemin,21
",",",",p
et,et,82
je,je,51
n',ne,60
aimerais,aimer,16
pas,pas,60
à,à,81
l',le,52
envoyer,envoyer,14
si,si,60
loin,loin,60
toute,tout,60
seule,seul,30
/.,/.,P
puisque,puisque,83
votre,votre,73
gendre,gendre,21
va,aller,17
à,à,81
Fourche,Fourche,20
demain,demain,60
",",",",p
il,il,51
peut,pouvoir,17
bien,bien,60
l',le,52
emmener,emmener,14
/.,/.,P
il,il,51
paraît,paraître,17
que,que,83
c',ce,52
est,être,17
tout,tout,60
à,à,81
côté,côté,21
du,de,81
du,le,71
domaine,domaine,21
où,où,60
elle,il,51
va,aller,17
",",",",p
à,à,81
ce,ce,52
qu',que,52
on,on,51
m',je,51
a,avoir,17
dit,dire,12
;,;,p
car,car,82
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
fait,faire,12
ce,ce,74
voyage,voyage,21
là,là,60
/.,/.,P
-,-,p
c',ce,52
est,être,17
tout,tout,60
à,à,81
côté,côté,21
",",",",p
et,et,82
mon,mon,73
gendre,gendre,21
la,le,52
conduira,conduire,15
/.,/.,P
cela,cela,52
se,se,51
doit,devoir,17
;,;,p
il,il,51
pourra,pouvoir,15
même,même,60
la,le,52
prendre,prendre,14
en,en,81
croupe,croupe,22
sur,sur,81
la,le,71
jument,jument,22
",",",",p
ce,ce,52
qui,qui,52
ménagera,ménager,15
ses,son,73
souliers,soulier,21
/.,/.,P
le,le,52
voilà,voilà,81
qui,qui,52
rentre,rentrer,17
pour,pour,81
souper,souper,14
/.,/.,P
dis,dire,17
moi,moi,51
",",",",p
Germain,Germain,20
",",",",p
la,le,71
petite,petit,30
Marie,Marie,20
à,à,81
la,le,71
mère,mère,22
Guillette,Guillette,20
s',se,51
en,en,52
va,aller,17
bergère,bergère,22
aux,à,81
aux,le,71
Ormeaux,Ormeaux,20
/.,/.,P
tu,tu,51
la,le,52
conduiras,conduire,15
sur,sur,81
ton,ton,73
cheval,cheval,21
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
-,-,p
c',ce,52
est,être,17
bien,bien,60
",",",",p
répondit,répondre,19
Germain,Germain,20
qui,qui,52
était,être,18
soucieux,soucieux,30
",",",",p
mais,mais,82
toujours,toujours,60
disposé,disposer,12
à,à,81
rendre,rendre,14
service,service,21
à,à,81
son,son,73
prochain,prochain,21
/.,/.,P
dans,dans,81
notre,notre,73
monde,monde,21
à,à,81
nous,nous,51
",",",",p
pareille,pareil,30
chose,chose,22
ne,ne,60
viendrait,venir,16
pas,pas,60
à,à,81
la,le,71
pensée,pensée,22
d',de,81
une,un,71
mère,mère,22
",",",",p
de,de,81
confier,confier,14
une,un,71
fille,fille,22
de,de,81
seize,seize,72
ans,an,21
à,à,81
un,un,71
homme,homme,21
de,de,81
vingt,vingt,72
huit,huit,72
;,;,p
car,car,82
Germain,Germain,20
n',ne,60
avait,avoir,18
réellement,réellement,60
que,que,83
vingt,vingt,72
huit,huit,72
ans,an,21
;,;,p
et,et,82
quoique,quoique,83
",",",",p
selon,selon,81
les,le,71
idées,idée,22
de,de,81
son,son,73
pays,pays,21
",",",",p
il,il,51
passât,passer,18
pour,pour,81
vieux,vieux,21
au,à,81
au,le,71
point,point,21
de,de,81
vue,vue,22
du,de,81
du,le,71
mariage,mariage,21
",",",",p
il,il,51
était,être,18
encore,encore,60
le,le,71
plus,plus,60
bel,beau,30
homme,homme,21
de,de,81
l',le,71
endroit,endroit,21
/.,/.,P
le,le,71
travail,travail,21
ne,ne,60
l',le,52
avait,avoir,18
pas,pas,60
creusé,creuser,12
et,et,82
flétri,flétrir,12
comme,comme,83
la,le,71
plupart,plupart,22
des,de,81
des,le,71
paysans,paysan,21
qui,qui,52
ont,avoir,17
dix,dix,72
années,année,22
de,de,81
labourage,labourage,21
sur,sur,81
la,le,71
tête,tête,22
/.,/.,P
il,il,51
était,être,18
de,de,81
force,force,22
à,à,81
labourer,labourer,14
encore,encore,60
dix,dix,72
ans,an,21
sans,sans,81
paraître,paraître,14
vieux,vieux,30
",",",",p
et,et,82
il,il,51
eût,avoir,19
fallu,falloir,12
que,que,83
le,le,71
préjugé,préjugé,21
de,de,81
l',le,71
âge,âge,21
fût,être,19
bien,bien,60
fort,fort,30
sur,sur,81
l',le,71
esprit,esprit,21
d',de,81
une,un,71
jeune,jeune,30
fille,fille,22
pour,pour,81
l',le,52
empêcher,empêcher,14
de,de,81
voir,voir,14
que,que,83
Germain,Germain,20
avait,avoir,18
le,le,71
teint,teint,21
frais,frais,30
",",",",p
l',le,71
oeil,oeil,21
vif,vif,30
et,et,82
bleu,bleu,30
comme,comme,83
le,le,71
ciel,ciel,21
de,de,81
mai,mai,21
",",",",p
la,le,71
bouche,bouche,22
rose,rose,30
",",",",p
des,de,81
des,le,71
dents,dent,22
superbes,superbe,30
",",",",p
le,le,71
corps,corps,21
élégant,élégant,30
et,et,82
souple,souple,30
comme,comme,83
celui,celui,52
d',de,81
un,un,71
jeune,jeune,30
cheval,cheval,21
qui,qui,52
n',ne,60
a,avoir,17
pas,pas,60
encore,encore,60
quitté,quitter,12
le,le,71
pré,pré,21
/.,/.,P
mais,mais,82
la,le,71
chasteté,chasteté,22
des,de,81
des,le,71
moeurs,moeurs,22
est,être,17
une,un,71
tradition,tradition,22
sacrée,sacré,31
dans,dans,81
certaines,certain,75
campagnes,campagne,22
éloignées,éloigné,31
du,de,81
du,le,71
mouvement,mouvement,21
corrompu,corrompu,31
des,de,81
des,le,71
grandes,grand,30
villes,ville,22
",",",",p
et,et,82
",",",",p
entre,entre,81
toutes,tout,75
les,le,71
familles,famille,22
de,de,81
Belair,Belair,20
",",",",p
la,le,71
famille,famille,22
de,de,81
Maurice,Maurice,20
était,être,18
réputée,réputer,12
honnête,honnête,30
et,et,82
servant,servir,13
la,le,71
vérité,vérité,22
/.,/.,P
Germain,Germain,20
s',se,51
en,en,52
allait,aller,18
chercher,chercher,14
femme,femme,22
;,;,p
Marie,Marie,20
était,être,18
une,un,71
enfant,enfant,21
trop,trop,60
jeune,jeune,30
et,et,82
trop,trop,60
pauvre,pauvre,30
pour,pour,81
qu',que,83
il,il,51
y,y,52
songeât,songer,18
dans,dans,81
cette,ce,74
vue,vue,22
",",",",p
et,et,82
",",",",p
à,à,81
moins,moins,60
d',de,81
être,être,14
un,un,52
sans,sans,81
coeur,coeur,21
et,et,82
un,un,71
mauvais,mauvais,30
homme,homme,21
",",",",p
il,il,51
était,être,18
impossible,impossible,30
qu',que,83
il,il,51
eût,avoir,19
une,un,71
coupable,coupable,30
pensée,pensée,22
auprès,auprès,60
d',de,81
elle,il,51
/.,/.,P
le,le,71
père,père,21
Maurice,Maurice,20
ne,ne,60
fut,être,19
donc,donc,82
nullement,nullement,60
inquiet,inquiet,30
de,de,81
lui,lui,51
voir,voir,14
prendre,prendre,14
en,en,81
croupe,croupe,22
cette,ce,74
jolie,joli,30
fille,fille,22
;,;,p
la,le,71
Guillette,Guillette,20
eût,avoir,19
cru,croire,12
lui,lui,51
faire,faire,14
injure,injure,22
si,si,83
elle,il,51
lui,lui,51
eût,avoir,19
recommandé,recommander,12
de,de,81
la,le,52
respecter,respecter,14
comme,comme,83
sa,son,73
soeur,soeur,22
;,;,p
Marie,Marie,20
monta,monter,19
sur,sur,81
la,le,71
jument,jument,22
en,en,81
pleurant,pleurer,13
",",",",p
après,après,81
avoir,avoir,14
vingt,vingt,72
fois,fois,22
embrassé,embrasser,12
sa,son,73
mère,mère,22
et,et,82
ses,son,73
jeunes,jeune,30
amies,amie,22
/.,/.,P
Germain,Germain,20
",",",",p
qui,qui,52
était,être,18
triste,triste,30
pour,pour,81
son,son,73
compte,compte,21
",",",",p
compatissait,compatir,18
d'autant,d'autant,60
plus,plus,60
à,à,81
son,son,73
chagrin,chagrin,21
",",",",p
et,et,82
s',se,51
en,en,52
alla,aller,19
d',de,81
un,un,71
air,air,21
sérieux,sérieux,30
",",",",p
tandis que,tandis que,83
les,le,71
gens,gens,21
du,de,81
du,le,71
voisinage,voisinage,21
disaient,dire,18
adieu,adieu,21
de,de,81
la,le,71
main,main,22
à,à,81
la,le,71
pauvre,pauvre,30
Marie,Marie,20
sans,sans,81
songer,songer,14
à,à,81
mal,mal,21
/.,/.,P
Petit-Pierre,Petit Pierre,20
/.,/.,P
la,le,71
Grise,Grise,20
était,être,18
jeune,jeune,30
",",",",p
belle,beau,30
et,et,82
vigoureuse,vigoureux,30
/.,/.,P
elle,il,51
portait,porter,18
sans,sans,81
effort,effort,21
son,son,73
double,double,30
fardeau,fardeau,21
",",",",p
couchant,coucher,13
les,le,71
oreilles,oreille,22
et,et,82
rongeant,ronger,13
son,son,73
frein,frein,21
",",",",p
comme,comme,83
une,un,71
fière,fier,30
et,et,82
ardente,ardent,30
jument,jument,22
qu',que,52
elle,il,51
était,être,18
/.,/.,P
en,en,81
passant,passer,13
devant,devant,81
le,le,71
pré,pré,21
long,long,30
elle,il,51
aperçut,apercevoir,19
sa,son,73
mère,mère,22
",",",",p
qui,qui,52
s',se,51
appelait,appeler,18
la,le,71
vieille,vieux,30
Grise,Grise,20
",",",",p
comme,comme,83
elle,il,51
la,le,71
jeune,jeune,30
Grise,Grise,20
",",",",p
et,et,82
elle,il,51
hennit,hennir,17
en,en,81
signe,signe,21
d',de,81
adieu,adieu,21
/.,/.,P
la,le,71
vieille,vieux,30
Grise,Grise,20
approcha,approcher,19
de,de,81
la,le,71
haie,haie,22
en,en,81
faisant,faire,13
résonner,résonner,14
ses,son,73
enferges,enferge,22
",",",",p
essaya,essayer,19
de,de,81
galoper,galoper,14
sur,sur,81
la,le,71
marge,marge,22
du,de,81
du,le,71
pré,pré,21
pour,pour,81
suivre,suivre,14
sa,son,73
fille,fille,22
;,;,p
puis,puis,60
",",",",p
la,le,52
voyant,voir,13
prendre,prendre,14
le,le,71
grand,grand,30
trot,trot,21
",",",",p
elle,il,51
hennit,hennir,17
à,à,81
son,son,73
tour,tour,21
",",",",p
et,et,82
resta,rester,19
pensive,pensif,30
",",",",p
inquiète,inquiet,30
",",",",p
le,le,71
nez,nez,21
au,à,81
au,le,71
vent,vent,21
",",",",p
la,le,71
bouche,bouche,22
pleine,plein,30
d',de,81
herbes,herbe,22
qu',que,52
elle,il,51
ne,ne,60
songeait,songer,18
plus,plus,60
à,à,81
manger,manger,14
/.,/.,P
-,-,p
cet,ce,74
pauvre,pauvre,30
bête,bête,22
connaît,connaître,17
toujours,toujours,60
sa,son,73
progéniture,progéniture,22
",",",",p
dit,dire,19
Germain,Germain,20
pour,pour,81
distraire,distraire,14
la,le,71
petite,petit,30
Marie,Marie,20
de,de,81
son,son,73
chagrin,chagrin,21
/.,/.,P
ça,ça,52
me,je,51
fait,faire,17
penser,penser,14
que,que,83
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
embrassé,embrasser,12
mon,mon,73
petit,petit,30
Pierre,Pierre,20
avant,avant,81
de,de,81
partir,partir,14
/.,/.,P
le,le,71
mauvais,mauvais,30
enfant,enfant,21
n',ne,60
était,être,18
pas,pas,60
là,là,60
/!,/!,P
il,il,51
voulait,vouloir,18
",",",",p
hier,hier,60
au,à,81
au,le,71
soir,soir,21
",",",",p
me,je,51
faire,faire,14
promettre,promettre,14
de,de,81
l',le,52
emmener,emmener,14
",",",",p
et,et,82
il,il,51
a,avoir,17
pleuré,pleurer,12
pendant,pendant,81
une,un,71
heure,heure,22
dans,dans,81
son,son,73
lit,lit,21
/.,/.,P
ce,ce,74
matin,matin,21
",",",",p
encore,encore,60
",",",",p
il,il,51
a,avoir,17
tout,tout,52
essayé,essayer,12
pour,pour,81
me,je,51
persuader,persuader,14
/.,/.,P
ôh,oh,93
!,!,p
qu',que,52
il,il,51
est,être,17
adroit,adroit,30
et,et,82
câlin,câlin,30
!,!,p
mais,mais,82
quand,quand,83
il,il,51
a,avoir,17
vu,voir,12
que,que,83
ça,ça,52
ne,ne,60
se,se,51
pouvait,pouvoir,18
pas,pas,60
",",",",p
monsieur,monsieur,21
s',se,51
est,être,17
fâché,fâcher,12
:,:,p
il,il,51
est,être,17
parti,partir,12
dans,dans,81
les,le,71
champs,champ,21
",",",",p
et,et,82
je,je,51
ne,ne,60
l',le,52
ai,avoir,17
pas,pas,60
revu,revoir,12
de,de,81
la,le,71
journée,journée,22
/.,/.,P
-,-,p
moi,moi,51
",",",",p
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
",",",",p
dit,dire,12
la,le,71
petite,petit,30
Marie,Marie,20
en,en,81
faisant,faire,13
effort,effort,21
pour,pour,81
rentrer,rentrer,14
ses,son,73
larmes,larme,22
/.,/.,P
il,il,51
courait,courir,18
avec,avec,81
les,le,71
enfants,enfant,21
de,de,81
Soulas,Soulas,20
du,de,81
du,le,71
côté,côté,21
des,de,81
des,le,71
tailles,taille,22
",",",",p
et,et,82
je,je,51
me,je,51
suis,être,17
bien,bien,60
doutée,douter,12
qu',que,83
il,il,51
était,être,18
hors,hors,81
de,de,81
la,le,71
maison,maison,22
depuis,depuis,81
longtemps,longtemps,60
",",",",p
