11987
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-troisième extrait>,<>,<>
ils,ils,51
ont,avoir,17
le,le,71
droit,droit,21
de,de,81
faire,faire,14
cela,cela,52
",",",",p
puisqu',puisque,83
ils,ils,51
payent,payer,17
patente,patente,22
comme,comme,83
des,de,81
des,le,71
épiciers,épicier,21
",",",",p
ces,ce,74
gredins,gredin,21
là,là,60
/?,/?,P
on,on,51
doit,devoir,17
pouvoir,pouvoir,14
les,le,52
forcer,forcer,14
à,à,81
soigner,soigner,14
les,le,71
gens,gens,21
",",",",p
comme,comme,83
on,on,51
force,forcer,17
les,le,71
trains,train,21
à,à,81
prendre,prendre,14
tous,tout,75
les,le,71
voyageurs,voyageur,21
/.,/.,P
je,je,51
vais,aller,17
écrire,écrire,14
aux,à,81
aux,le,71
journaux,journal,21
pour,pour,81
signaler,signaler,14
le,le,71
fait,fait,21
/.,/.,P
“,“,p
il,il,51
marchait,marcher,18
avec,avec,81
agitation,agitation,22
et,et,82
il,il,51
reprit,reprendre,19
",",",",p
en,en,81
se,se,51
retournant,retourner,13
vers,vers,81
son,son,73
fils,fils,21
:,:,p
“,“,p
écoute,écoute,22
",",",",p
il,il,51
va,aller,17
falloir,falloir,14
en,en,52
faire,faire,14
venir,venir,14
un,un,52
de,de,81
Royat,Royat,20
ou,ou,82
de,de,81
Clermont,Clermont,20
/.,/.,P
nous,nous,51
ne,ne,60
pouvons,pouvoir,17
pas,pas,60
rester,rester,14
ainsi,ainsi,60
!,!,p
/…,/…,P
“,“,p
Gontran,Gontran,20
répondit,répondre,19
en,en,81
souriant,sourire,13
:,:,p
“,“,p
mais,mais,82
ceux,celui,52
de,de,81
Clermont,Clermont,20
et,et,82
de,de,81
Royat,Royat,20
ne,ne,60
connaissent,connaître,17
pas,pas,60
bien,bien,60
le,le,71
liquide,liquide,21
d',de,81
Enval,Enval,20
",",",",p
qui,qui,52
n',ne,60
a,avoir,17
pas,pas,60
la,le,71
même,même,75
action,action,22
spéciale,spécial,30
que,que,83
leur,leur,73
eau,eau,22
sur,sur,81
le,le,71
tube,tube,21
digestif,digestif,30
et,et,82
sur,sur,81
l',le,71
appareil,appareil,21
circulatoire,circulatoire,30
/.,/.,P
et,et,82
pais,paître,17
",",",",p
sois,être,17
certain,certain,30
qu',que,83
ils,ils,51
ne,ne,60
viendront,venir,15
pas,pas,60
non,non,60
plus,plus,60
",",",",p
ceux,celui,52
de,de,81
là-bas,là-bas,60
",",",",p
pour,pour,81
ne,ne,60
point,point,60
avoir,avoir,14
l',le,71
air,air,21
de,de,81
couper,couper,14
les,le,71
chardons,chardon,21
sous,sous,81
la,le,71
dent,dent,22
de,de,81
leurs,leur,73
confrères,confrère,21
/.,/.,P
“,“,p
le,le,71
marquis,marquis,21
",",",",p
effaré,effaré,31
",",",",p
balbutia,balbutier,19
:,:,p
“,“,p
mais,mais,82
alors,alors,60
",",",",p
que,que,52
deviendrons,devenir,15
nous,nous,51
/?,/?,P
Andermatt,Andermatt,20
saisit,saisir,17
son,son,73
chapeau,chapeau,21
:,:,p
“,“,p
laissez,laisser,17
moi,moi,51
faire,faire,14
",",",",p
et,et,82
je,je,51
vous,vous,51
réponds,répondre,17
que,que,83
nous,nous,51
les,le,52
aurons,avoir,15
ce,ce,74
soir,soir,21
tous,tout,75
les,le,71
trois,trois,72
",",",",p
vous,vous,51
entendez,entendre,17
bien,bien,60
-,-,p
tous,tout,52
-,-,p
les,le,71
-,-,p
trois,trois,72
-,-,p
à,à,81
nos,notre,73
genoux,genou,21
/.,/.,P
allons,aller,17
voir,voir,14
le,le,71
paralytique,paralytique,21
",",",",p
maintenant,maintenant,60
/.,/.,P
“,“,p
il,il,51
cria,crier,19
:,:,p
“,“,p
es,être,17
tu,tu,51
prête,prêt,30
",",",",p
Christiane,Christiane,20
/?,/?,P
elle,il,51
parut,paraître,19
sur,sur,81
la,le,71
porte,porte,22
",",",",p
très,très,60
pâle,pâle,30
",",",",p
avec,avec,81
un,un,71
air,air,21
déterminé,déterminé,31
/.,/.,P
ayant,avoir,13
embrassé,embrasser,12
son,son,73
père,père,21
et,et,82
son,son,73
frère,frère,21
",",",",p
elle,il,51
se,se,51
tourna,tourner,19
vers,vers,81
Paul,Paul,20
et,et,82
lui,lui,51
tendit,tendre,19
la,le,71
main,main,22
/.,/.,P
il,il,51
la,le,52
prit,prendre,19
",",",",p
les,le,71
yeux,oeil,21
baissés,baissé,31
",",",",p
tremblant,trembler,13
d',de,81
angoisse,angoisse,22
/.,/.,P
comme,comme,83
le,le,71
marquis,marquis,21
",",",",p
Andermatt,Andermatt,20
et,et,82
Gontran,Gontran,20
s',se,51
en,en,52
allaient,aller,18
en,en,81
causant,causer,13
et,et,82
sans,sans,81
s',se,51
occuper,occuper,14
d',de,81
elle,il,51
",",",",p
elle,il,51
dit,dire,19
",",",",p
d',de,81
une,un,71
voix,voix,22
ferme,ferme,30
",",",",p
en,en,81
fixant,fixer,13
sur,sur,81
le,le,71
jeune,jeune,30
homme,homme,21
un,un,71
regard,regard,21
tendre,tendre,30
et,et,82
décidé,décidé,31
:,:,p
“,“,p
je,je,51
vous,vous,51
appartiens,appartenir,17
corps,corps,21
et,et,82
âme,âme,22
/.,/.,P
faites,faire,17
de,de,81
moi,moi,51
désormais,désormais,60
ce,ce,52
qu',que,52
il,il,51
vous,vous,51
plaira,plaire,15
/.,/.,P
“,“,p
puis,puis,60
elle,il,51
sortit,sortir,19
",",",",p
sans,sans,81
le,le,52
laisser,laisser,14
répondre,répondre,14
/.,/.,P
en,en,81
approchant,approcher,13
de,de,81
la,le,71
source,source,22
des,de,81
des,le,71
Oriol,Oriol,20
",",",",p
ils,ils,51
aperçurent,apercevoir,19
",",",",p
pareil,pareil,30
à,à,81
un,un,71
énorme,énorme,30
champignon,champignon,21
",",",",p
le,le,71
chapeau,chapeau,21
du,de,81
du,le,71
père,père,21
Clovis,Clovis,20
",",",",p
qui,qui,52
sommeillait,sommeiller,18
sous,sous,81
le,le,71
soleil,soleil,21
",",",",p
dans,dans,81
l',le,71
eau,eau,22
chaude,chaud,30
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
trou,trou,21
/.,/.,P
il,il,51
y,y,52
passait,passer,18
maintenant,maintenant,60
ses,son,73
matinées,matinée,22
entières,entier,30
",",",",p
accoutumé,accoutumé,31
à,à,81
ce,ce,74
bain,bain,21
brûlant,brûlant,30
qui,qui,52
le,le,52
rendait,rendre,18
",",",",p
disait,dire,18
il,il,51
",",",",p
plus,plus,60
gaillard,gaillard,30
qu',que,83
un,un,71
nouveau,nouveau,30
marié,marié,21
/.,/.,P
Andermatt,Andermatt,20
le,le,52
réveilla,réveiller,19
:,:,p
“,“,p
eh,eh,93
bien,bien,60
",",",",p
mon,mon,73
brave,brave,21
",",",",p
ça,ça,52
va,aller,17
t,t,94
il,il,51
mieux,mieux,60
/?,/?,P
quand,quand,83
il,il,51
eut,avoir,19
reconnu,reconnaître,12
son,son,73
bourgeois,bourgeois,21
",",",",p
le,le,71
vieux,vieux,21
fit,faire,19
une,un,71
grimace,grimace,22
de,de,81
satisfaction,satisfaction,22
:,:,p
“,“,p
oui,oui,60
",",",",p
oui,oui,60
",",",",p
cha,ça,52
va,aller,17
",",",",p
cha,ça,52
va,aller,17
à,à,81
lo,le,71
voulounta,volonté,22
/.,/.,P
-,-,p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
commencez,commencer,17
à,à,81
marcher,marcher,14
/?,/?,P
comme,comme,83
un,un,71
lapin,lapin,21
",",",",p
môchieu,monsieur,21
",",",",p
comme,comme,83
un,un,71
lapin,lapin,21
/.,/.,P
je,je,51
dancherai,danser,17
une,un,71
bourrée,bourrée,22
avec,avec,81
ma,mon,73
bonne,bon,30
amie,amie,22
au,à,81
au,le,71
premier,premier,72
dimanche,dimanche,21
du,de,81
du,le,71
mois,mois,21
/.,/.,P
“,“,p
Andermatt,Andermatt,20
sentit,sentir,19
battre,battre,14
son,son,73
coeur,coeur,21
;,;,p
il,il,51
répéta,répéter,19
:,:,p
“,“,p
vrai,vrai,60
",",",",p
vous,vous,51
marchez,marcher,17
/?,/?,P
le,le,71
père,père,21
Clovis,Clovis,20
cessa,cesser,19
de,de,81
plaisanter,plaisanter,14
:,:,p
“,“,p
oh,oh,93
!,!,p
pas,pas,60
fort,fort,30
",",",",p
pas,pas,60
fort,fort,30
/.,/.,P
n',ne,60
importe,importer,17
",",",",p
cha,ça,52
va,aller,17
/.,/.,P
“,“,p
alors,alors,60
le,le,71
banquier,banquier,21
voulut,vouloir,19
voir,voir,14
tout,tout,60
de,de,81
suite,suite,22
comment,comment,60
marchait,marcher,18
le,le,71
vagabond,vagabond,21
/.,/.,P
il,il,51
tournait,tourner,18
autour,autour,60
du,de,81
du,le,71
trou,trou,21
",",",",p
s',se,51
agitait,agiter,18
",",",",p
donnait,donner,18
des,de,81
des,le,71
ordres,ordre,21
comme,comme,83
pour,pour,81
renflouer,renflouer,14
un,un,71
navire,navire,21
coulé,coulé,31
/.,/.,P
“,“,p
tenez,tenir,17
",",",",p
Gontran,Gontran,20
",",",",p
prenez,prendre,17
le,le,71
bras,bras,21
droit,droit,30
/.,/.,P
-,-,p
vous,vous,51
",",",",p
Brétigny,Brétigny,20
",",",",p
le,le,71
bras,bras,21
gauche,gauche,30
/.,/.,P
moi,moi,51
",",",",p
je,je,51
vais,aller,17
lui,lui,51
soutenir,soutenir,14
les,le,71
reins,rein,21
/.,/.,P
allons,aller,17
",",",",p
ensemble,ensemble,60
-,-,p
une,un,52
-,-,p
deux,deux,72
-,-,p
trois,trois,72
/.,/.,P
-,-,p
mon,mon,73
cher,cher,30
beau-père,beau-père,21
",",",",p
tirez,tirer,17
à,à,81
vous,vous,51
la,le,71
jambe,jambe,22
",",",",p
-,-,p
non,non,60
",",",",p
l',le,71
autre,autre,52
",",",",p
celle,celui,52
qui,qui,52
reste,rester,17
dans,dans,81
l',le,71
eau,eau,22
/.,/.,P
-,-,p
vite,vite,60
",",",",p
je,je,51
vous,vous,51
prie,prier,17
",",",",p
je,je,51
n',ne,60
en,en,52
puis,pouvoir,17
plus,plus,60
/!,/!,P
nous,nous,51
y,y,52
sommes,être,17
",",",",p
-,-,p
une,un,52
",",",",p
-,-,p
deux,deux,72
",",",",p
-,-,p
voilà,voilà,81
",",",",p
ouf,ouf,93
/!,/!,P
ils,ils,51
avaient,avoir,18
assis,asseoir,12
par,par,81
terre,terre,22
le,le,71
bonhomme,bonhomme,21
qui,qui,52
les,le,52
laissait,laisser,18
faire,faire,14
d',de,81
un,un,71
air,air,21
goguenard,goguenard,30
",",",",p
sans,sans,81
aider,aider,14
en,en,81
rien,rien,52
leurs,leur,73
efforts,effort,21
/.,/.,P
puis,puis,60
on,on,51
le,le,52
souleva,soulever,19
de,de,81
nouveau,nouveau,21
et,et,82
on,on,51
le,le,52
dressa,dresser,19
sur,sur,81
ses,son,73
jambes,jambe,22
en,en,81
lui,lui,51
donnant,donner,13
ses,son,73
béquilles,béquille,22
",",",",p
dont,dont,52
il,il,51
se,se,51
servit,servir,19
comme,comme,83
de,de,81
cannes,canne,22
;,;,p
et,et,82
il,il,51
se,se,51
mit,mettre,19
à,à,81
marcher,marcher,14
",",",",p
courbé,courbé,31
en,en,81
deux,deux,72
",",",",p
traînant,traîner,13
ses,son,73
pieds,pied,21
",",",",p
geignant,geindre,13
",",",",p
soufflant,souffler,13
/.,/.,P
il,il,51
avançait,avancer,18
à,à,81
la,le,71
façon,façon,22
d',de,81
une,un,71
limace,limace,22
et,et,82
laissait,laisser,18
derrière,derrière,81
lui,lui,51
une,un,71
longue,long,30
traînée,traînée,22
d',de,81
eau,eau,22
sur,sur,81
la,le,71
poussière,poussière,22
blanche,blanc,30
de,de,81
la,le,71
route,route,22
/.,/.,P
Andermatt,Andermatt,20
",",",",p
enthousiasmé,enthousiasmé,31
",",",",p
battit,battre,19
des,de,81
des,le,71
mains,main,22
",",",",p
en,en,81
criant,crier,13
comme,comme,83
on,on,51
fait,faire,17
au,à,81
au,le,71
théâtre,théâtre,21
pour,pour,81
acclamer,acclamer,14
les,le,71
acteurs,acteur,21
:,:,p
“,“,p
bravo,bravo,21
",",",",p
bravo,bravo,21
",",",",p
admirable,admirable,30
",",",",p
bravo,bravo,21
!,!,p
/!,/!,P
puis,puis,60
",",",",p
comme,comme,83
le,le,71
vieux,vieux,21
semblait,sembler,18
exténué,exténué,31
",",",",p
il,il,51
s',se,51
élança,élancer,19
pour,pour,81
le,le,52
soutenir,soutenir,14
",",",",p
le,le,52
saisit,saisir,19
dans,dans,81
ses,son,73
bras,bras,21
",",",",p
bien,bien,60
que,que,83
ses,son,73
hardes,harde,22
fussent,être,18
ruisselantes,ruisselant,30
",",",",p
et,et,82
il,il,51
répétait,répéter,18
:,:,p
“,“,p
assez,assez,60
",",",",p
ne,ne,60
vous,vous,51
fatiguez,fatiguer,17
pas,pas,60
/.,/.,P
nous,nous,51
allons,aller,17
vous,vous,51
remettre,remettre,14
dans,dans,81
le,le,71
bain,bain,21
/.,/.,P
“,“,p
et,et,82
le,le,71
père,père,21
Clovis,Clovis,20
fut,être,19
replongé,replonger,12
dans,dans,81
son,son,73
trou,trou,21
",",",",p
par,par,81
les,le,71
quatre,quatre,72
hommes,homme,21
qui,qui,52
l',le,52
avaient,avoir,18
pris,prendre,12
par,par,81
ses,son,73
quatre,quatre,72
membres,membre,21
et,et,82
le,le,52
portaient,porter,18
avec,avec,81
précaution,précaution,22
",",",",p
comme,comme,83
un,un,71
objet,objet,21
fragile,fragile,30
et,et,82
précieux,précieux,30
/.,/.,P
alors,alors,60
le,le,71
paralytique,paralytique,21
déclara,déclarer,19
",",",",p
d',de,81
une,un,71
voix,voix,22
convaincue,convaincu,31
:,:,p
“,“,p
ch',ce,52
est,être,17
de,de,81
la,le,71
bonne,bon,30
eau,eau,22
tout,tout,60
d',de,81
même,même,60
",",",",p
d',de,81
la,le,71
bonne,bon,30
eau,eau,22
qui,qui,52
n',ne,60
a,avoir,17
point,point,60
cha,ça,52
pareille,pareil,30
/.,/.,P
cha,ça,52
vaut,valoir,17
un,un,71
tréjor,trésor,21
",",",",p
de,de,81
l',le,71
eau,eau,22
comme,comme,83
cha,ça,52
/!,/!,P
Andermatt,Andermatt,20
",",",",p
tout,tout,60
à,à,81
coup,coup,21
",",",",p
se,se,51
retourna,retourner,19
vers,vers,81
son,son,73
beau-père,beau-père,21
:,:,p
“,“,p
ne,ne,60
m',je,51
attendez,attendre,17
point,point,60
pour,pour,81
déjeuner,déjeuner,14
/.,/.,P
je,je,51
vais,aller,17
chez,chez,81
les,le,71
Oriol,Oriol,20
et,et,82
je,je,51
ne,ne,60
sais,savoir,17
quand,quand,83
je,je,51
serai,être,16
libre,libre,30
/.,/.,P
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
laisser,laisser,14
traîner,traîner,14
ces,ce,74
choses,chose,22
là,là,60
/!,/!,P
et,et,82
il,il,51
partit,partir,19
",",",",p
pressé,pressé,31
",",",",p
courant,courir,13
presque,presque,60
",",",",p
et,et,82
faisant,faire,13
avec,avec,81
sa,son,73
badine,badine,22
un,un,71
moulinet,moulinet,21
d',de,81
homme,homme,21
enchanté,enchanté,31
/.,/.,P
les,le,71
autres,autre,52
s',se,51
assirent,asseoir,19
sous,sous,81
les,le,71
saules,saule,21
",",",",p
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
route,route,22
",",",",p
en,en,81
face,face,22
du,de,81
du,le,71
trou,trou,21
du,de,81
du,le,71
père,père,21
Clovis,Clovis,20
/.,/.,P
Christiane,Christiane,20
",",",",p
à,à,81
côté,côté,21
de,de,81
Paul,Paul,20
",",",",p
regardait,regarder,18
devant,devant,81
elle,il,51
la,le,71
haute,haut,30
butte,butter,17
d',de,81
où,où,60
elle,il,51
avait,avoir,18
vu,voir,12
sauter,sauter,14
le,le,71
morne,morne,21
/!,/!,P
elle,il,51
était,être,18
là-haut,là-haut,60
",",",",p
ce,ce,74
jour,jour,21
là,là,60
",",",",p
voici,voici,81
un,un,71
mois,mois,21
à,à,81
peine,peine,22
/!,/!,P
elle,il,51
était,être,18
assise,asseoir,12
sur,sur,81
cette,ce,74
herbe,herbe,22
rousse,roux,30
/!,/!,P
un,un,71
mois,mois,21
/!,/!,P
rien,rien,52
qu',que,83
un,un,71
mois,mois,21
/!,/!,P
elle,il,51
se,se,51
rappelait,rappeler,18
les,le,71
plus,plus,60
légers,léger,30
détails,détail,21
",",",",p
les,le,71
ombrelles,ombrelle,22
tricolores,tricolore,30
",",",",p
les,le,71
marmitons,marmiton,21
",",",",p
les,le,71
moindres,moindre,30
paroles,parole,22
de,de,81
chacun,chacun,52
/!,/!,P
et,et,82
le,le,71
chien,chien,21
",",",",p
le,le,71
pauvre,pauvre,30
chien,chien,21
broyé,broyé,31
par,par,81
l',le,71
explosion,explosion,22
/!,/!,P
et,et,82
ce,ce,74
grand,grand,30
garçon,garçon,21
inconnu,inconnu,30
qui,qui,52
s',se,51
était,être,18
élancé,élancer,12
sur,sur,81
un,un,71
mot,mot,21
d',de,81
elle,il,51
pour,pour,81
sauver,sauver,14
la,le,71
bête,bête,22
/!,/!,P
aujourd'hui,aujourd'hui,60
il,il,51
était,être,18
son,son,73
amant,amant,21
!,!,p
son,son,73
amant,amant,21
/!,/!,P
donc,donc,82
elle,il,51
avait,avoir,18
un,un,71
amant,amant,21
/!,/!,P
elle,il,51
était,être,18
sa,son,73
maîtresse,maîtresse,22
sa,son,73
maîtresse,maîtresse,22
/!,/!,P
elle,il,51
se,se,51
répétait,répéter,18
ce,ce,74
mot,mot,21
dans,dans,81
le,le,71
secret,secret,21
de,de,81
sa,son,73
conscience,conscience,22
sa,son,73
maîtresse,maîtresse,22
/!,/!,P
quel,quel,75
mot,mot,21
bizarre,bizarre,30
/!,/!,P
cet,ce,74
homme,homme,21
",",",",p
assis,assis,31
à,à,81
côté,côté,21
d',de,81
elle,il,51
",",",",p
dont,dont,52
elle,il,51
voyait,voir,18
une,un,71
main,main,22
arracher,arracher,14
un,un,52
à,à,81
un,un,52
des,de,81
des,le,71
brins,brin,21
d',de,81
herbe,herbe,22
auprès,auprès,60
de,de,81
sa,son,73
robe,robe,22
qu',que,52
il,il,51
cherchait,chercher,18
à,à,81
toucher,toucher,14
",",",",p
cet,ce,74
homme,homme,21
était,être,18
maintenant,maintenant,60
lié,lier,12
à,à,81
sa,son,73
chair,chair,22
et,et,82
à,à,81
son,son,73
coeur,coeur,21
",",",",p
par,par,81
cette,ce,74
chaîne,chaîne,22
mystérieuse,mystérieux,30
",",",",p
inavouable,inavouable,30
",",",",p
honteuse,honteux,30
",",",",p
que,que,52
la,le,71
nature,nature,22
a,avoir,17
tendue,tendre,12
entre,entre,81
la,le,71
femme,femme,22
et,et,82
l',le,71
homme,homme,21
/.,/.,P
avec,avec,81
cette,ce,74
voix,voix,22
de,de,81
la,le,71
pensée,pensée,22
",",",",p
cette,ce,74
voix,voix,22
muette,muet,30
qui,qui,52
semble,sembler,17
parler,parler,14
si,si,60
haut,haut,60
dans,dans,81
le,le,71
silence,silence,21
des,de,81
des,le,71
âmes,âme,22
troublées,troublé,31
",",",",p
elle,il,51
se,se,51
répétait,répéter,18
sans,sans,81
cesse,cesse,22
:,:,p
“,“,p
je,je,51
suis,être,17
sa,son,73
maîtresse,maîtresse,22
",",",",p
sa,son,73
maîtresse,maîtresse,22
!,!,p
sa,son,73
maîtresse,maîtresse,22
/!,/!,P
comme,comme,83
cela,cela,52
était,être,18
étrange,étrange,30
",",",",p
imprévu,imprévu,30
/!,/!,P
est,être,17
ce,ce,52
que,que,83
je,je,51
l',le,52
aime,aimer,17
/?,/?,P
elle,il,51
jeta,jeter,19
sur,sur,81
lui,lui,51
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
rapide,rapide,30
/.,/.,P
leurs,leur,73
yeux,oeil,21
se,se,51
rencontrèrent,rencontrer,19
et,et,82
elle,il,51
se,se,51
sentit,sentir,19
tellement,tellement,60
caressée,caressé,31
par,par,81
le,le,71
regard,regard,21
passionné,passionné,31
dont,dont,52
il,il,51
l',le,52
avait,avoir,18
couverte,couvrir,12
",",",",p
qu',que,83
elle,il,51
frémit,frémir,19
de,de,81
la,le,71
tête,tête,22
aux,à,81
aux,le,71
pieds,pied,21
/.,/.,P
elle,il,51
avait,avoir,18
envie,envie,22
",",",",p
maintenant,maintenant,60
",",",",p
une,un,71
envie,envie,22
folle,folle,22
",",",",p
irrésistible,irrésistible,30
",",",",p
de,de,81
prendre,prendre,14
cette,ce,74
main,main,22
qui,qui,52
jouait,jouer,18
dans,dans,81
l',le,71
herbe,herbe,22
",",",",p
et,et,82
de,de,81
la,le,52
serrer,serrer,14
bien,bien,60
fort,fort,60
pour,pour,81
lui,lui,51
exprimer,exprimer,14
tout,tout,52
ce,ce,52
qu',que,52
on,on,51
peut,pouvoir,17
dire,dire,14
dans,dans,81
une,un,71
étreinte,étreinte,22
/.,/.,P
elle,il,51
fit,faire,19
glisser,glisser,14
la,le,71
sienne,sien,52
le,le,71
long,long,21
de,de,81
sa,son,73
robe,robe,22
jusqu',jusque,81
au,à,81
au,le,71
gazon,gazon,21
",",",",p
puis,puis,60
elle,il,51
l',le,52
y,y,52
laissa,laisser,19
",",",",p
immobile,immobile,30
",",",",p
les,le,71
doigts,doigt,21
ouverts,ouvert,31
/.,/.,P
alors,alors,60
elle,il,51
vit,voir,19
l',le,71
autre,autre,52
s',se,51
en,en,52
venir,venir,14
",",",",p
tout,tout,60
doucement,doucement,60
",",",",p
comme,comme,83
une,un,71
bête,bête,22
amoureuse,amoureux,30
qui,qui,52
cherche,chercher,17
sa,son,73
compagne,compagne,22
/.,/.,P
elle,il,51
s',se,51
en,en,52
vint,venir,19
",",",",p
tout,tout,60
près,près,81
",",",",p
tout,tout,60
près,près,81
",",",",p
et,et,82
leurs,leur,73
petits,petit,30
doigts,doigt,21
se,se,51
touchèrent,toucher,19
/!,/!,P
ils,ils,51
se,se,51
frôlèrent,frôler,19
par,par,81
le,le,71
bout,bout,21
",",",",p
doucement,doucement,60
",",",",p
à,à,81
peine,peine,22
",",",",p
se,se,51
perdirent,perdre,19
et,et,82
se,se,51
retrouvèrent,retrouver,19
",",",",p
ainsi,ainsi,60
que,que,83
des,de,81
des,le,71
lèvres,lèvre,22
qui,qui,52
s',se,51
embrassent,embrasser,17
/.,/.,P
mais,mais,82
cette,ce,74
caresse,caresse,22
imperceptible,imperceptible,30
",",",",p
cet,ce,74
effleurement,effleurement,21
léger,léger,30
",",",",p
entrait,entrer,18
en,en,81
elle,il,51
si,si,60
violemment,violemment,60
qu',que,83
elle,il,51
se,se,51
sentait,sentir,18
défaillir,défaillir,14
comme,comme,83
s',si,83
il,il,51
l',le,52
avait,avoir,18
de,de,81
nouveau,nouveau,21
écrasée,écraser,12
en,en,81
ses,son,73
bras,bras,21
/.,/.,P
et,et,82
elle,il,51
comprit,comprendre,19
soudain,soudain,60
comment,comment,60
on,on,51
appartient,appartenir,17
à,à,81
quelqu'un,quelqu'un,52
",",",",p
comment,comment,60
on,on,51
n',ne,60
est,être,17
plus,plus,60
rien,rien,52
sous,sous,81
l',le,71
amour,amour,21
qui,qui,52
vous,vous,51
possède,posséder,17
",",",",p
comment,comment,60
un,un,71
être,être,21
vous,vous,51
prend,prendre,17
",",",",p
corps,corps,21
et,et,82
âme,âme,22
",",",",p
chair,chair,22
",",",",p
pensée,pensée,22
",",",",p
volonté,volonté,22
",",",",p
sang,sang,21
",",",",p
nerfs,nerf,21
",",",",p
tout,tout,52
",",",",p
tout,tout,52
",",",",p
tout,tout,52
ce,ce,52
qui,qui,52
est,être,17
en,en,81
vous,vous,51
",",",",p
ainsi,ainsi,60
que,que,52
fait,faire,17
un,un,71
grand,grand,30
oiseau,oiseau,21
de,de,81
proie,proie,22
aux,à,81
aux,le,71
larges,large,30
ailes,aile,22
en,en,81
s',se,51
abattant,abattre,13
sur,sur,81
un,un,71
roitelet,roitelet,21
/.,/.,P
le,le,71
marquis,marquis,21
et,et,82
Gontran,Gontran,20
parlaient,parler,18
de,de,81
la,le,71
station,station,22
future,futur,30
",",",",p
gagnés,gagné,31
eux-mêmes,eux-mêmes,51
par,par,81
l',le,71
enthousiasme,enthousiasme,21
de,de,81
Will,Will,20
/.,/.,P
et,et,82
ils,ils,51
disaient,dire,18
les,le,71
mérites,mérite,21
du,de,81
du,le,71
banquier,banquier,21
",",",",p
la,le,71
netteté,netteté,22
de,de,81
son,son,73
esprit,esprit,21
",",",",p
la,le,71
sûreté,sûreté,22
de,de,81
son,son,73
jugement,jugement,21
",",",",p
la,le,71
certitude,certitude,22
de,de,81
sa,son,73
méthode,méthode,22
spéculative,spéculatif,30
",",",",p
la,le,71
hardiesse,hardiesse,22
de,de,81
ses,son,73
procédés,procédé,21
et,et,82
la,le,71
régularité,régularité,22
de,de,81
son,son,73
caractère,caractère,21
/.,/.,P
beau,beau,30
père,père,21
et,et,82
beau-frère,beau-frère,21
",",",",p
devant,devant,81
le,le,71
succès,succès,21
probable,probable,30
",",",",p
dont,dont,52
ils,ils,51
se,se,51
croyaient,croire,18
certains,certain,75
",",",",p
étaient,être,18
d'accord,d'accord,60
et,et,82
se,se,51
félicitaient,féliciter,18
de,de,81
cette,ce,74
alliance,alliance,22
/.,/.,P
Christiane,Christiane,20
et,et,82
Paul,Paul,20
ne,ne,60
semblaient,sembler,18
pas,pas,60
entendre,entendre,14
",",",",p
tout,tout,60
occupés,occupé,31
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
/.,/.,P
le,le,71
marquis,marquis,21
dit,dit,31
à,à,81
sa,son,73
fille,fille,22
:,:,p
“,“,p
hé,hé,93
!,!,p
mignonne,mignonne,22
",",",",p
tu,tu,51
pourrais,pouvoir,16
bien,bien,60
devenir,devenir,14
un,un,71
jour,jour,21
une,un,52
des,de,81
des,le,71
femmes,femme,22
les,le,71
plus,plus,60
riches,riche,30
de,de,81
France,France,20
",",",",p
et,et,82
on,on,51
te,tu,51
nommera,nommer,15
comme,comme,83
on,on,51
nomme,nommer,17
les,le,71
Rothschild,Rothschild,20
/.,/.,P
Will,Will,20
est,être,17
vraiment,vraiment,60
un,un,71
homme,homme,21
remarquable,remarquable,30
",",",",p
très,très,60
remarquable,remarquable,30
",",",",p
une,un,71
grande,grand,30
intelligence,intelligence,22
/.,/.,P
“,“,p
mais,mais,82
une,un,71
jalousie,jalousie,22
brusque,brusque,30
et,et,82
bizarre,bizarre,30
entra,entrer,19
soudain,soudain,60
dans,dans,81
le,le,71
coeur,coeur,21
de,de,81
Paul,Paul,20
/.,/.,P
“,“,p
laissez,laisser,17
donc,donc,82
",",",",p
dit,dire,17
il,il,51
",",",",p
je,je,51
la,le,52
connais,connaître,17
",",",",p
leur,leur,73
intelligence,intelligence,22
",",",",p
à,à,81
tous,tout,75
ces,ce,74
brasseurs,brasseur,21
d',de,81
affaires,affaire,22
/.,/.,P
ils,ils,51
n',ne,60
ont,avoir,17
qu',que,83
une,un,71
chose,chose,22
en,en,81
tête,tête,22
:,:,p
l',le,71
argent,argent,21
/!,/!,P
toutes,tout,75
les,le,71
pensées,pensée,22
que,que,52
nous,nous,51
donnons,donner,17
aux,à,81
aux,le,71
belles,beau,30
choses,chose,22
",",",",p
tous,tout,75
les,le,71
actes,acte,21
que,que,83
nous,nous,51
perdons,perdre,17
pour,pour,81
nos,notre,73
caprices,caprice,21
",",",",p
toutes,tout,75
les,le,71
heures,heure,22
que,que,83
nous,nous,51
jetons,jeter,17
à,à,81
nos,notre,73
distractions,distraction,22
",",",",p
toute,tout,75
la,le,71
force,force,22
