11549
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quinzième extrait>,<>,<>
colliers,collier,21
de,de,81
projectiles,projectile,21
",",",",p
les,le,71
guirlandes,guirlande,22
d',de,81
obus,obus,21
",",",",p
en,en,81
un,un,71
mot,mot,21
",",",",p
tous,tout,75
les,le,71
outils,outil,21
de,de,81
l',le,71
artilleur,artilleur,21
surprenaient,surprendre,18
l',le,71
oeil,oeil,21
par,par,81
leur,leur,73
étonnante,étonnant,30
disposition,disposition,22
et,et,82
laissaient,laisser,18
à,à,81
penser,penser,14
que,que,83
leur,leur,73
véritable,véritable,30
destination,destination,22
était,être,18
plus,plus,60
décorative,décoratif,30
que,que,83
meurtrière,meurtrier,30
/.,/.,P
à,à,81
la,le,71
place,place,22
d',de,81
honneur,honneur,21
",",",",p
on,on,51
voyait,voir,18
",",",",p
abrité,abrité,31
par,par,81
une,un,71
splendide,splendide,30
vitrine,vitrine,22
",",",",p
un,un,71
morceau,morceau,21
de,de,81
culasse,culasse,22
",",",",p
brisé,brisé,31
et,et,82
tordu,tordu,31
sous,sous,81
l',le,71
effort,effort,21
de,de,81
la,le,71
poudre,poudre,22
",",",",p
précieux,précieux,30
débris,débris,21
du,de,81
du,le,71
canon,canon,21
de,de,81
J-T,J-T,20
Maston,Maston,20
/.,/.,P
à,à,81
l',le,71
extrémité,extrémité,22
de,de,81
la,le,71
salle,salle,22
",",",",p
le,le,71
président,président,21
",",",",p
assisté,assisté,31
de,de,81
quatre,quatre,72
secrétaires,secrétaire,21
",",",",p
occupait,occuper,18
une,un,71
large,large,30
esplanade,esplanade,22
/.,/.,P
son,son,73
siège,siège,21
",",",",p
élevé,élevé,31
sur,sur,81
un,un,71
affût,affût,21
sculpté,sculpté,31
",",",",p
affectait,affecter,18
dans,dans,81
son,son,73
ensemble,ensemble,21
les,le,71
formes,forme,22
puissantes,puissant,30
d',de,81
un,un,71
mortier,mortier,21
de,de,81
trente,trente,72
deux,deux,72
pouces,pouce,21
;,;,p
il,il,51
était,être,18
braqué,braquer,12
sous,sous,81
un,un,71
angle,angle,21
de,de,81
quatre,quatre,72
vingt,vingt,72
dix,dix,72
degrés,degré,21
et,et,82
suspendu,suspendre,12
à,à,81
des,de,81
des,le,71
tourillons,tourillon,21
",",",",p
de,de,81
telle,tel,75
sorte,sorte,22
que,que,83
le,le,71
président,président,21
pouvait,pouvoir,18
lui,lui,51
imprimer,imprimer,14
",",",",p
comme,comme,83
aux,à,81
aux,le,71
rocking-chairs,rocking-chair,21
(,(,p
chaises,chaise,22
à,à,81
bascule,bascule,22
en,en,81
usage,usage,21
aux,à,81
aux,le,71
Etats-Unis,Etats-Unis,20
),),p
un,un,71
balancement,balancement,21
fort,fort,60
agréable,agréable,30
par,par,81
les,le,71
grandes,grand,30
chaleurs,chaleur,22
/.,/.,P
sur,sur,81
le,le,71
bureau,bureau,21
",",",",p
vaste,vaste,30
plaque,plaque,22
de,de,81
tôle,tôle,22
supportée,supporté,31
par,par,81
six,six,72
caronades,caronade,22
",",",",p
on,on,51
voyait,voir,18
un,un,71
encrier,encrier,21
d',de,81
un,un,71
goût,goût,21
exquis,exquis,30
",",",",p
fait,fait,31
d',de,81
un,un,71
biscaïen,biscaïen,21
délicieusement,délicieusement,60
ciselé,ciselé,31
",",",",p
et,et,82
un,un,71
timbre,timbre,21
à,à,81
détonation,détonation,22
qui,qui,52
éclatait,éclater,18
",",",",p
à,à,81
l',le,71
occasion,occasion,22
",",",",p
comme,comme,83
un,un,71
revolver,revolver,21
/.,/.,P
pendant,pendant,81
les,le,71
discussions,discussion,22
véhémentes,véhément,30
",",",",p
cette,ce,74
sonnette,sonnette,22
d',de,81
un,un,71
nouveau,nouveau,30
genre,genre,21
suffisait,suffire,18
à,à,81
peine,peine,22
à,à,81
couvrir,couvrir,14
la,le,71
voix,voix,22
de,de,81
cette,ce,74
légion,légion,22
d',de,81
artilleurs,artilleur,21
surexcités,surexcité,31
/.,/.,P
devant,devant,81
le,le,71
bureau,bureau,21
",",",",p
des,de,81
des,le,71
banquettes,banquette,22
disposées,disposé,31
en,en,81
zigzags,zigzag,21
",",",",p
comme,comme,83
les,le,71
circonvallations,circonvallation,22
d',de,81
un,un,71
retranchement,retranchement,21
",",",",p
formaient,former,18
une,un,71
succession,succession,22
de,de,81
bastions,bastion,21
et,et,82
de,de,81
courtines,courtine,22
où,où,60
prenaient,prendre,18
place,place,22
tous,tout,75
les,le,71
membres,membre,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
et,et,82
ce,ce,74
soir,soir,21
là,là,60
",",",",p
on,on,51
peut,pouvoir,17
le,le,52
dire,dire,14
",",",",p
il,il,51
y,y,52
avait,avoir,18
du,de,81
du,le,71
monde,monde,21
sur,sur,81
les,le,71
remparts,rempart,21
/.,/.,P
on,on,51
connaissait,connaître,18
assez,assez,60
le,le,71
président,président,21
pour,pour,81
savoir,savoir,14
qu',que,83
il,il,51
n',ne,60
eût,avoir,19
pas,pas,60
dérangé,déranger,12
ses,son,73
collègues,collègue,21
sans,sans,81
un,un,71
motif,motif,21
de,de,81
la,le,71
plus,plus,60
haute,haut,30
gravité,gravité,22
/.,/.,P
Impey,Impey,20
Barbicane,Barbicane,20
était,être,18
un,un,71
homme,homme,21
de,de,81
quarante,quarante,72
ans,an,21
",",",",p
calme,calme,30
",",",",p
froid,froid,30
",",",",p
austère,austère,30
",",",",p
d',de,81
un,un,71
esprit,esprit,21
éminemment,éminemment,60
sérieux,sérieux,30
et,et,82
concentré,concentré,31
;,;,p
exact,exact,30
comme,comme,83
un,un,71
chronomètre,chronomètre,21
",",",",p
d',de,81
un,un,71
tempérament,tempérament,21
à,à,81
toute,tout,75
épreuve,épreuve,22
",",",",p
d',de,81
un,un,71
caractère,caractère,21
inébranlable,inébranlable,30
;,;,p
peu,peu,60
chevaleresque,chevaleresque,30
",",",",p
aventureux,aventureux,30
cependant,cependant,82
",",",",p
mais,mais,82
apportant,apporter,13
des,de,81
des,le,71
idées,idée,22
pratiques,pratique,30
jusque,jusque,81
dans,dans,81
ses,son,73
entreprises,entreprise,22
les,le,71
plus,plus,60
téméraires,téméraire,30
;,;,p
l',le,71
homme,homme,21
par,par,81
excellence,excellence,22
de,de,81
la,le,71
Nouvelle-Angleterre,Nouvelle-Angleterre,20
",",",",p
le,le,71
Nordiste,Nordiste,20
colonisateur,colonisateur,30
",",",",p
le,le,71
descendant,descendant,21
de,de,81
ces,ce,74
têtes,tête,22
rondes,rond,30
si,si,60
funestes,funeste,30
aux,à,81
aux,le,71
Stuarts,Stuarts,20
",",",",p
et,et,82
l',le,71
implacable,implacable,30
ennemi,ennemi,21
des,de,81
des,le,71
gentlemen,gentleman,21
du,de,81
du,le,71
sud,sud,21
",",",",p
ces,ce,74
anciens,ancien,30
cavaliers,cavalier,21
de,de,81
la,le,71
mère,mère,22
patrie,patrie,22
/.,/.,P
en,en,81
un,un,71
mot,mot,21
",",",",p
un,un,71
Yankee,Yankee,20
coulé,coulé,31
d',de,81
un,un,71
seul,seul,30
bloc,bloc,21
/.,/.,P
Barbicane,Barbicane,20
avait,avoir,18
fait,faire,12
une,un,71
grande,grand,30
fortune,fortune,22
dans,dans,81
le,le,71
commerce,commerce,21
des,de,81
des,le,71
bois,bois,21
;,;,p
nommé,nommé,31
directeur,directeur,21
de,de,81
l',le,71
artillerie,artillerie,22
pendant,pendant,81
la,le,71
guerre,guerre,22
",",",",p
il,il,51
se,se,51
montra,montrer,19
fertile,fertile,30
en,en,81
inventions,invention,22
;,;,p
audacieux,audacieux,30
dans,dans,81
ses,son,73
idées,idée,22
",",",",p
il,il,51
contribua,contribuer,19
puissamment,puissamment,60
aux,à,81
aux,le,71
progrès,progrès,21
de,de,81
cette,ce,74
arme,arme,22
",",",",p
et,et,82
donna,donner,19
aux,à,81
aux,le,71
choses,chose,22
expérimentales,expérimental,30
un,un,71
incomparable,incomparable,30
élan,élan,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
personnage,personnage,21
de,de,81
taille,taille,22
moyenne,moyen,30
",",",",p
ayant,avoir,13
",",",",p
par,par,81
une,un,71
rare,rare,30
exception,exception,22
dans,dans,81
le,le,71
Gun-Club,Gun-Club,20
",",",",p
tous,tout,75
ses,son,73
membres,membre,21
intacts,intact,30
/.,/.,P
ses,son,73
traits,trait,21
accentués,accentué,31
semblaient,sembler,18
tracés,tracé,31
à,à,81
l',le,71
équerre,équerre,22
et,et,82
au,à,81
au,le,71
tire-ligne,tire-ligne,21
",",",",p
et,et,82
s',si,83
il,il,51
est,être,17
vrai,vrai,30
que,que,83
",",",",p
pour,pour,81
deviner,deviner,14
les,le,71
instincts,instinct,21
d',de,81
un,un,71
homme,homme,21
",",",",p
on,on,51
doive,devoir,17
le,le,52
regarder,regarder,14
de,de,81
profil,profil,21
",",",",p
Barbicane,Barbicane,20
",",",",p
vu,vu,31
ainsi,ainsi,60
",",",",p
offrait,offrir,18
les,le,71
indices,indice,21
les,le,71
plus,plus,60
certains,certain,30
de,de,81
l',le,71
énergie,énergie,22
",",",",p
de,de,81
l',le,71
audace,audace,22
et,et,82
du,de,81
du,le,71
sang-froid,sang-froid,21
/.,/.,P
en,en,81
cet,ce,74
instant,instant,21
",",",",p
il,il,51
demeurait,demeurer,18
immobile,immobile,30
dans,dans,81
son,son,73
fauteuil,fauteuil,21
",",",",p
muet,muet,21
",",",",p
absorbé,absorbé,31
",",",",p
le,le,71
regard,regard,21
en,en,81
dedans,dedans,21
",",",",p
abrité,abrité,31
sous,sous,81
son,son,73
chapeau,chapeau,21
à,à,81
haute,haut,30
forme,forme,22
",",",",p
cylindre,cylindre,21
de,de,81
soie,soie,22
noire,noir,30
qui,qui,52
semble,sembler,17
vissé,vissé,31
sur,sur,81
les,le,71
crânes,crâne,21
américains,américain,30
/.,/.,P
ses,son,73
collègues,collègue,21
causaient,causer,18
bruyamment,bruyamment,60
autour,autour,60
de,de,81
lui,lui,51
sans,sans,81
le,le,52
distraire,distraire,14
;,;,p
ils,ils,51
s',se,51
interrogeaient,interroger,18
",",",",p
ils,ils,51
se,se,51
lançaient,lancer,18
dans,dans,81
le,le,71
champ,champ,21
des,de,81
des,le,71
suppositions,supposition,22
",",",",p
ils,ils,51
examinaient,examiner,18
leur,leur,73
président,président,21
et,et,82
cherchaient,chercher,18
",",",",p
mais,mais,82
en,en,81
vain,vain,30
",",",",p
à,à,81
dégager,dégager,14
l',le,71
X,X,20
de,de,81
son,son,73
imperturbable,imperturbable,30
physionomie,physionomie,22
/.,/.,P
lorsque,lorsque,83
huit,huit,72
heures,heure,22
sonnèrent,sonner,19
à,à,81
l',le,71
horloge,horloge,22
fulminante,fulminant,30
de,de,81
la,le,71
grande,grand,30
salle,salle,22
",",",",p
Barbicane,Barbicane,20
",",",",p
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
été,être,12
mû,mouvoir,12
par,par,81
un,un,71
ressort,ressort,21
",",",",p
se,se,51
redressa,redresser,19
subitement,subitement,60
;,;,p
il,il,51
se,se,51
fit,faire,19
un,un,71
silence,silence,21
général,général,30
",",",",p
et,et,82
l',le,71
orateur,orateur,21
",",",",p
d',de,81
un,un,71
ton,ton,21
un,un,71
peu,peu,60
emphatique,emphatique,30
",",",",p
prit,prendre,19
la,le,71
parole,parole,22
en,en,81
ces,ce,74
termes,terme,21
:,:,p
braves,brave,30
collègues,collègue,21
",",",",p
depuis,depuis,81
trop,trop,60
longtemps,longtemps,60
déjà,déjà,60
une,un,71
paix,paix,22
inféconde,infécond,30
est,être,17
venue,venir,12
plonger,plonger,14
les,le,71
membres,membre,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
dans,dans,81
un,un,71
regrettable,regrettable,30
désoeuvrement,désoeuvrement,21
/.,/.,P
après,après,81
une,un,71
période,période,22
de,de,81
quelques,quelque,75
années,année,22
",",",",p
si,si,60
pleine,plein,30
d',de,81
incidents,incident,21
",",",",p
il,il,51
a,avoir,17
fallu,falloir,12
abandonner,abandonner,14
nos,notre,73
travaux,travail,21
et,et,82
nous,nous,51
arrêter,arrêter,14
net,net,60
sur,sur,81
la,le,71
route,route,22
du,de,81
du,le,71
progrès,progrès,21
/.,/.,P
je,je,51
ne,ne,60
crains,craindre,17
pas,pas,60
de,de,81
le,le,52
proclamer,proclamer,14
à,à,81
haute,haut,30
voix,voix,22
",",",",p
toute,tout,75
guerre,guerre,22
qui,qui,52
nous,nous,51
remettrait,remettre,16
les,le,71
armes,arme,22
à,à,81
la,le,71
main,main,22
serait,être,16
bien,bien,60
venue,venir,12
/…,/…,P
-,-,p
oui,oui,60
",",",",p
la,le,71
guerre,guerre,22
!,!,p
s',se,51
écria,écrier,19
l',le,71
impétueux,impétueux,30
J-T,J-T,20
Maston,Maston,20
/.,/.,P
-,-,p
écoutez,écouter,17
/!,/!,P
écoutez,écouter,17
!,!,p
répliqua,répliquer,19
t,t,94
on,on,51
de,de,81
toutes,tout,75
parts,part,22
/.,/.,P
-,-,p
mais,mais,82
la,le,71
guerre,guerre,22
",",",",p
dit,dire,19
Barbicane,Barbicane,20
",",",",p
la,le,71
guerre,guerre,22
est,être,17
impossible,impossible,30
dans,dans,81
les,le,71
circonstances,circonstance,22
actuelles,actuel,30
",",",",p
et,et,82
",",",",p
quoi,quoi,52
que,que,52
puisse,pouvoir,17
espérer,espérer,14
mon,mon,73
honorable,honorable,30
interrupteur,interrupteur,21
",",",",p
de,de,81
longues,long,30
années,année,22
s',se,51
écouleront,écouler,15
encore,encore,60
avant,avant,81
que,que,83
nos,notre,73
canons,canon,21
tonnent,tonner,17
sur,sur,81
un,un,71
champ,champ,21
de,de,81
bataille,bataille,22
/.,/.,P
il,il,51
faut,falloir,17
donc,donc,82
en,en,52
prendre,prendre,14
son,son,73
parti,parti,21
et,et,82
chercher,chercher,14
dans,dans,81
un,un,71
autre,autre,75
ordre,ordre,21
d',de,81
idées,idée,22
un,un,71
aliment,aliment,21
à,à,81
l',le,71
activité,activité,22
qui,qui,52
nous,nous,51
dévore,dévorer,17
/!,/!,P
l',le,71
assemblée,assemblée,22
sentit,sentir,19
que,que,83
son,son,73
président,président,21
allait,aller,18
aborder,aborder,14
le,le,71
point,point,21
délicat,délicat,30
/.,/.,P
elle,il,51
redoubla,redoubler,19
d',de,81
attention,attention,22
/.,/.,P
depuis,depuis,81
quelques,quelque,75
mois,mois,21
",",",",p
mes,mon,73
braves,brave,30
collègues,collègue,21
",",",",p
reprit,reprendre,19
Barbicane,Barbicane,20
",",",",p
je,je,51
me,je,51
suis,être,17
demandé,demander,12
si,si,83
",",",",p
tout,tout,60
en,en,81
restant,rester,13
dans,dans,81
notre,notre,73
spécialité,spécialité,22
",",",",p
nous,nous,51
ne,ne,60
pourrions,pouvoir,16
pas,pas,60
entreprendre,entreprendre,14
quelque,quelque,75
grande,grand,30
expérience,expérience,22
digne,digne,30
du,de,81
du,le,71
XIXe,dix-neuvième,72
siècle,siècle,21
",",",",p
et,et,82
si,si,83
les,le,71
progrès,progrès,21
de,de,81
la,le,71
balistique,balistique,22
ne,ne,60
nous,nous,51
permettraient,permettre,16
pas,pas,60
de,de,81
la,le,52
mener,mener,14
à,à,81
bonne,bon,30
fin,fin,22
/.,/.,P
j',je,51
ai,avoir,17
donc,donc,82
cherché,chercher,12
",",",",p
travaillé,travailler,12
",",",",p
calculé,calculer,12
",",",",p
et,et,82
de,de,81
mes,mon,73
études,étude,22
est,être,17
résultée,résulter,12
cette,ce,74
conviction,conviction,22
que,que,52
nous,nous,51
devons,devoir,17
réussir,réussir,14
dans,dans,81
une,un,71
entreprise,entreprise,22
qui,qui,52
paraîtrait,paraître,16
impraticable,impraticable,30
à,à,81
tout,tout,75
autre,autre,75
pays,pays,21
/.,/.,P
ce,ce,74
projet,projet,21
",",",",p
longuement,longuement,60
élaboré,élaboré,31
",",",",p
va,aller,17
faire,faire,14
l',le,71
objet,objet,21
de,de,81
ma,mon,73
communication,communication,22
;,;,p
il,il,51
est,être,17
digne,digne,30
de,de,81
vous,vous,51
",",",",p
digne,digne,30
du,de,81
du,le,71
passé,passé,21
du,de,81
du,le,71
Gun-Club,Gun-Club,20
",",",",p
et,et,82
il,il,51
ne,ne,60
pourra,pouvoir,15
manquer,manquer,14
de,de,81
faire,faire,14
du,de,81
du,le,71
bruit,bruit,21
dans,dans,81
le,le,71
monde,monde,21
/!,/!,P
-,-,p
beaucoup,beaucoup,60
de,de,81
bruit,bruit,21
?,?,p
s',se,51
écria,écrier,19
un,un,71
artilleur,artilleur,21
passionné,passionné,31
/.,/.,P
-,-,p
beaucoup,beaucoup,60
de,de,81
bruit,bruit,21
dans,dans,81
le,le,71
vrai,vrai,30
sens,sens,21
du,de,81
du,le,71
mot,mot,21
",",",",p
répondit,répondre,19
Barbicane,Barbicane,20
/.,/.,P
-,-,p
n',ne,60
interrompez,interrompre,17
pas,pas,60
!,!,p
répétèrent,répéter,19
plusieurs,plusieurs,75
voix,voix,22
/.,/.,P
-,-,p
je,je,51
vous,vous,51
prie,prier,17
donc,donc,82
",",",",p
braves,brave,30
collègues,collègue,21
",",",",p
reprit,reprendre,19
le,le,71
président,président,21
",",",",p
de,de,81
m',je,51
accorder,accorder,14
toute,tout,75
votre,votre,73
attention,attention,22
/.,/.,P
un,un,71
frémissement,frémissement,21
courut,courir,19
dans,dans,81
l',le,71
assemblée,assemblée,22
/.,/.,P
Barbicane,Barbicane,20
",",",",p
ayant,avoir,13
d',de,81
un,un,71
geste,geste,21
rapide,rapide,30
assuré,assurer,12
son,son,73
chapeau,chapeau,21
sur,sur,81
sa,son,73
tête,tête,22
",",",",p
continua,continuer,19
son,son,73
discours,discours,21
d',de,81
une,un,71
voix,voix,22
calme,calme,30
:,:,p
il,il,51
n',ne,60
est,être,17
aucun,aucun,75
de,de,81
vous,vous,51
",",",",p
braves,brave,30
collègues,collègue,21
",",",",p
qui,qui,52
n',ne,60
ait,avoir,17
vu,voir,12
la,le,71
Lune,Lune,20
",",",",p
ou,ou,82
tout,tout,60
au,à,81
au,le,71
moins,moins,60
",",",",p
qui,qui,52
n',ne,60
en,en,52
ait,avoir,17
entendu,entendre,12
parler,parler,14
/.,/.,P
ne,ne,60
vous,vous,51
étonnez,étonner,17
pas,pas,60
si,si,83
je,je,51
viens,venir,17
vous,vous,51
entretenir,entretenir,14
ici,ici,60
de,de,81
l',le,71
astre,astre,21
des,de,81
des,le,71
nuits,nuit,22
/.,/.,P
il,il,51
nous,nous,51
est,être,17
peut-être,peut-être,60
réservé,réserver,12
d',de,81
être,être,14
les,le,71
Colombs,Colombs,20
de,de,81
ce,ce,74
monde,monde,21
inconnu,inconnu,30
/.,/.,P
comprenez,comprendre,17
moi,moi,51
",",",",p
secondez,seconder,17
moi,moi,51
de,de,81
tout,tout,75
votre,votre,73
pouvoir,pouvoir,21
",",",",p
je,je,51
vous,vous,51
mènerai,mener,15
à,à,81
sa,son,73
conquête,conquête,22
",",",",p
et,et,82
son,son,73
nom,nom,21
se,se,51
joindra,joindre,15
à,à,81
ceux,celui,52
des,de,81
des,le,71
trente,trente,72
six,six,72
Etats,état,21
qui,qui,52
forment,former,17
ce,ce,74
grand,grand,30
pays,pays,21
de,de,81
l',le,71
Union,Union,20
/!,/!,P
-,-,p
hurrah,hurrah,21
pour,pour,81
la,le,71
Lune,Lune,20
!,!,p
s',se,51
écria,écrier,19
le,le,71
Gun-Club,Gun-Club,20
d',de,81
une,un,71
seule,seul,30
voix,voix,22
/.,/.,P
-,-,p
on,on,51
a,avoir,17
beaucoup,beaucoup,60
étudié,étudier,12
la,le,71
Lune,Lune,20
",",",",p
reprit,reprendre,19
Barbicane,Barbicane,20
;,;,p
sa,son,73
masse,masse,22
",",",",p
sa,son,73
densité,densité,22
",",",",p
son,son,73
poids,poids,21
",",",",p
son,son,73
volume,volume,21
",",",",p
sa,son,73
constitution,constitution,22
",",",",p
ses,son,73
mouvements,mouvement,21
",",",",p
sa,son,73
distance,distance,22
",",",",p
son,son,73
rôle,rôle,21
dans,dans,81
le,le,71
monde,monde,21
solaire,solaire,30
",",",",p
sont,être,17
parfaitement,parfaitement,60
déterminés,déterminer,12
;,;,p
on,on,51
a,avoir,17
dressé,dresser,12
des,de,81
des,le,71
cartes,carte,22
sélénographiques,sélénographique,30
(,(,p
de,de,81
sélénè,sélénè,92
",",",",p
mot,mot,21
grec,grec,30
qui,qui,52
signifie,signifier,17
Lune,Lune,20
),),p
avec,avec,81
une,un,71
perfection,perfection,22
qui,qui,52
égale,égaler,17
",",",",p
si,si,83
même,même,60
elle,il,51
ne,ne,60
surpasse,surpasser,17
pas,pas,60
",",",",p
celle,celui,52
des,de,81
des,le,71
cartes,carte,22
terrestres,terrestre,30
;,;,p
la,le,71
photographie,photographie,22
a,avoir,17
donné,donner,12
de,de,81
notre,notre,73
satellite,satellite,21
des,de,81
des,le,71
épreuves,épreuve,22
d',de,81
une,un,71
incomparable,incomparable,30
beauté,beauté,22
(,(,p
voir,voir,14
les,le,71
magnifiques,magnifique,30
clichés,cliché,21
de,de,81
la,le,71
Lune,Lune,20
",",",",p
obtenus,obtenu,31
par,par,81
monsieur,monsieur,21
Waren,Waren,20
de,de,81
la,le,71
rue,rue,22
),),p
/.,/.,P
en,en,81
un,un,71
mot,mot,21
",",",",p
on,on,51
sait,savoir,17
de,de,81
la,le,71
Lune,Lune,20
tout,tout,52
ce,ce,52
que,que,52
les,le,71
sciences,science,22
mathématiques,mathématique,30
",",",",p
l',le,71
astronomie,astronomie,22
",",",",p
la,le,71
géologie,géologie,22
",",",",p
l',le,71
optique,optique,22
peuvent,pouvoir,17
en,en,52
apprendre,apprendre,14
;,;,p
mais,mais,82
jusqu'ici,jusqu'ici,81
il,il,51
n',ne,60
a,avoir,17
jamais,jamais,60
été,être,12
établi,établir,12
de,de,81
communication,communication,22
directe,direct,30
avec,avec,81
elle,il,51
/.,/.,P
un,un,71
violent,violent,30
mouvement,mouvement,21
d',de,81
intérêt,intérêt,21
et,et,82
de,de,81
surprise,surprise,22
accueillit,accueillir,19
ces,ce,74
paroles,parole,22
/.,/.,P
permettez,permettre,17
moi,moi,51
",",",",p
reprit,reprendre,19
il,il,51
",",",",p
de,de,81
vous,vous,51
rappeler,rappeler,14
en,en,81
quelques,quelque,75
mots,mot,21
comment,comment,60
certains,certain,75
esprits,esprit,21
ardents,ardent,30
",",",",p
embarqués,embarqué,31
pour,pour,81
des,de,81
des,le,71
voyages,voyage,21
imaginaires,imaginaire,30
",",",",p
prétendirent,prétendre,19
avoir,avoir,14
pénétré,pénétrer,12
les,le,71
secrets,secret,21
de,de,81
notre,notre,73
satellite,satellite,21
/.,/.,P
au,à,81
au,le,71
XVIIe,dix-septième,72
siècle,siècle,21
",",",",p
un,un,71
certain,certain,75
David,David,20
Fabricius,Fabricius,20
se,se,51
vanta,vanter,19
d',de,81
avoir,avoir,14
vu,voir,12
de,de,81
ses,son,73
yeux,oeil,21
des,de,81
des,le,71
habitants,habitant,21
de,de,81
la,le,71
Lune,Lune,20
/.,/.,P
en,en,81
<Nombre 1649>,<>,<>
mille,mille,72
six,six,72
cent,cent,72
quarante,quarante,72
neuf,neuf,72
<Fin nombre>,<>,<>
",",",",p
un,un,71
Français,Français,20
",",",",p
Jean,Jean,20
Baudoin,Baudoin,20
",",",",p
publia,publier,19
le,le,71
voyage,voyage,21
fait,fait,31
au,à,81
au,le,71
monde,monde,21
de,de,81
la,le,71
Lune,Lune,20
par,par,81
Dominique,Dominique,20
Gonzalès,Gonzalès,20
",",",",p
aventurier,aventurier,21
espagnol,espagnol,30
/.,/.,P
à,à,81
la,le,71
même,même,75
époque,époque,22
",",",",p
Cyrano,Cyrano,20
de,de,81
Bergerac,Bergerac,20
fit,faire,19
paraître,paraître,14
cette,ce,74
expédition,expédition,22
célèbre,célèbre,30
qui,qui,52
eut,avoir,19
tant,tant,60
de,de,81
succès,succès,21
en,en,81
France,France,20
/.,/.,P
plus,plus,60
tard,tard,60
",",",",p
un,un,71
autre,autre,75
Français,Français,20
-,-,p
ces,ce,74
gens,gens,21
là,là,60
s',se,51
occupent,occuper,17
beaucoup,beaucoup,60
de,de,81
la,le,71
Lune,Lune,20
-,-,p
le,le,71
nommé,nommé,31
Fontenelle,Fontenelle,20
",",",",p
écrivit,écrire,19
la,le,71
pluralité,pluralité,22
des,de,81
des,le,71
mondes,monde,21
",",",",p
un,un,71
chef-d'oeuvre,chef-d'oeuvre,21
en,en,81
son,son,73
temps,temps,21
;,;,p
mais,mais,82
la,le,71
science,science,22
",",",",p
en,en,81
marchant,marcher,13
",",",",p
écrase,écraser,17
même,même,60
les,le,71
chefs-d'oeuvre,chef-d'oeuvre,21
/!,/!,P
vers,vers,81
<Nombre 1835>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
trente,trente,72
cinq,cinq,72
<Fin nombre>,<>,<>
",",",",p
un,un,71
opuscule,opuscule,21
traduit,traduit,31
du,de,81
du,le,71
New York American,New York American,20
raconta,raconter,19
que,que,83
sir,sir,92
John,John,20
Herschell,Herschell,20
",",",",p
envoyé,envoyé,31
au,à,81
au,le,71
cap,cap,21
de,de,81
Bonne-Espérance,Bonne-Espérance,20
pour,pour,81
y,y,52
faire,faire,14
des,de,81
des,le,71
études,étude,22
astronomiques,astronomique,30
",",",",p
avait,avoir,18
",",",",p
au,à,81
au,le,71
moyen,moyen,21
d',de,81
un,un,71
télescope,télescope,21
perfectionné,perfectionné,31
par,par,81
un,un,71
éclairage,éclairage,21
intérieur,intérieur,30
",",",",p
ramené,ramener,12
la,le,71
Lune,Lune,20
à,à,81
une,un,71
distance,distance,22
de,de,81
quatre,quatre,72
vingts,vingt,72
yards,yard,21
(,(,p
le,le,71
yard,yard,21
vaut,valoir,17
un,un,71
peu,peu,60
moins,moins,60
que,que,83
le,le,71
mètre,mètre,21
",",",",p
soit,soit,82
<Nombre 91 centimètres>,<>,<>
quatre,quatre,72
vingt,vingt,72
onze,onze,72
centimètres,centimètre,21
<Fin nombre>,<>,<>
),),p
/.,/.,P
alors,alors,60
il,il,51
aurait,avoir,16
aperçu,apercevoir,12
distinctement,distinctement,60
des,de,81
des,le,71
cavernes,caverne,22
dans,dans,81
lesquelles,lequel,52
vivaient,vivre,18
des,de,81
des,le,71
hippopotames,hippopotame,21
",",",",p
de,de,81
vertes,vert,30
montagnes,montagne,22
frangées,frangé,31
de,de,81
dentelles,dentelle,22
d',de,81
or,or,21
",",",",p
des,de,81
des,le,71
moutons,mouton,21
aux,à,81
aux,le,71
cornes,corne,22
d',de,81
ivoire,ivoire,21
",",",",p
des,de,81
des,le,71
chevreuils,chevreuil,21
blancs,blanc,30
",",",",p
des,de,81
des,le,71
habitants,habitant,21
avec,avec,81
des,de,81
des,le,71
ailes,aile,22
membraneuses,membraneux,30
comme,comme,83
celles,celui,52
de,de,81
la,le,71
chauve-souris,chauve-souris,22
/.,/.,P
cette,ce,74
brochure,brochure,22
",",",",p
oeuvre,oeuvre,22
d',de,81
un,un,71
Américain,Américain,20
nommé,nommé,31
Locke,Locke,20
(,(,p
cette,ce,74
brochure,brochure,22
fut,être,19
publiée,publier,12
en,en,81
France,France,20
par,par,81
le,le,71
républicain,républicain,21
Laviron,Laviron,20
",",",",p
qui,qui,52
fut,être,19
tué,tuer,12
au,à,81
au,le,71
siège,siège,21
de,de,81
Rome,Rome,20
en,en,81
<Nombre 1840>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quarante,quarante,72
<Fin nombre>,<>,<>
),),p
eut,avoir,19
un,un,71
très,très,60
grand,grand,30
succès,succès,21
/.,/.,P
mais,mais,82
bientôt,bientôt,60
on,on,51
reconnut,reconnaître,19
que,que,83
c',ce,52
était,être,18
