11994
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-douzième extrait>,<>,<>
hein,hein,93
?,?,p
beaucoup,beaucoup,60
de,de,81
bourgeois,bourgeois,21
n',ne,60
auraient,avoir,16
pas,pas,60
su,savoir,12
dire,dire,14
si,si,60
bien,bien,60
leur,leur,73
histoire,histoire,22
/!,/!,P
encore,encore,60
",",",",p
lorsqu',lorsque,83
on,on,51
mange,manger,17
!,!,p
murmura,murmurer,19
de,de,81
nouveau,nouveau,30
Etienne,Etienne,20
/.,/.,P
-,-,p
c',ce,52
est,être,17
ce,ce,52
que,que,52
je,je,51
dis,dire,17
",",",",p
tant,tant,60
qu',que,83
on,on,51
a,avoir,17
du,de,81
du,le,71
pain,pain,21
à,à,81
manger,manger,14
",",",",p
on,on,51
peut,pouvoir,17
vivre,vivre,14
/.,/.,P
Bonnemort,Bonnemort,20
se,se,51
tut,taire,19
",",",",p
les,le,71
yeux,oeil,21
tournés,tourné,31
vers,vers,81
le,le,71
coron,coron,21
",",",",p
où,où,60
des,de,81
des,le,71
lueurs,lueur,22
s',se,51
allumaient,allumer,18
une,un,52
à,à,81
une,un,52
/.,/.,P
quatre,quatre,72
heures,heure,22
sonnaient,sonner,18
au,à,81
au,le,71
clocher,clocher,21
de,de,81
Montsou,Montsou,20
",",",",p
le,le,71
froid,froid,21
devenait,devenir,18
plus,plus,60
vif,vif,30
/.,/.,P
-,-,p
et,et,82
elle,il,51
est,être,17
riche,riche,30
",",",",p
votre,votre,73
compagnie,compagnie,22
?,?,p
reprit,reprendre,19
Etienne,Etienne,20
/.,/.,P
le,le,71
vieux,vieux,21
haussa,hausser,19
les,le,71
épaules,épaule,22
",",",",p
puis,puis,60
les,le,52
laissa,laisser,19
retomber,retomber,14
",",",",p
comme,comme,83
accablé,accablé,31
sous,sous,81
un,un,71
écroulement,écroulement,21
d',de,81
écus,écu,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
oui,oui,60
",",",",p
ah,ah,93
!,!,p
oui,oui,60
/…,/…,P
pas,pas,60
aussi,aussi,60
riche,riche,30
peut-être,peut-être,60
que,que,83
sa,son,73
voisine,voisine,22
",",",",p
la,le,71
Compagnie d'Anzin,Compagnie d'Anzin,20
/.,/.,P
mais,mais,82
des,de,81
des,le,71
millions,million,21
et,et,82
des,de,81
des,le,71
millions,million,21
tout,tout,60
de,de,81
même,même,60
/.,/.,P
on,on,51
ne,ne,60
compte,compter,17
plus,plus,60
/…,/…,P
dix-,dix,72
neuf,neuf,72
fosses,fosse,22
",",",",p
dont,dont,52
treize,treize,72
pour,pour,81
l',le,71
exploitation,exploitation,22
",",",",p
le,le,71
Voreux,Voreux,20
",",",",p
la,le,71
Victoire,Victoire,20
",",",",p
Crèvecoeur,Crèvecoeur,20
",",",",p
Mirou,Mirou,20
",",",",p
Saint-Thomas,Saint Thomas,20
",",",",p
Madeleine,Madeleine,20
",",",",p
Feutry-Cantel,Feutry-Cantel,20
",",",",p
d',de,81
autres,autre,52
encore,encore,60
",",",",p
et,et,82
six,six,72
pour,pour,81
l',le,71
épuisement,épuisement,21
ou,ou,82
l',le,71
aérage,aérage,21
",",",",p
comme,comme,83
Réquillart,Réquillart,20
/…,/…,P
dix,dix,72
mille,mille,72
ouvriers,ouvrier,21
",",",",p
des,de,81
des,le,71
concessions,concession,22
qui,qui,52
s',se,51
étendent,étendre,17
sur,sur,81
soixante,soixante,72
sept,sept,72
communes,commune,22
",",",",p
une,un,71
extraction,extraction,22
de,de,81
cinq,cinq,72
mille,mille,72
tonnes,tonne,22
par,par,81
jour,jour,21
",",",",p
un,un,71
chemin,chemin,21
de,de,81
fer,fer,21
reliant,relier,13
toutes,tout,75
les,le,71
fosses,fosse,22
",",",",p
et,et,82
des,de,81
des,le,71
ateliers,atelier,21
",",",",p
et,et,82
des,de,81
des,le,71
fabriques,fabrique,22
!,!,p
/…,/…,P
ah,ah,93
!,!,p
oui,oui,60
",",",",p
ah,ah,93
!,!,p
oui,oui,60
",",",",p
il,il,51
y,y,52
en,en,52
a,avoir,17
",",",",p
de,de,81
l',le,71
argent,argent,21
/!,/!,P
un,un,71
roulement,roulement,21
de,de,81
berlines,berline,22
",",",",p
sur,sur,81
les,le,71
tréteaux,tréteau,21
",",",",p
fit,faire,19
dresser,dresser,14
les,le,71
oreilles,oreille,22
du,de,81
du,le,71
gros,gros,30
cheval,cheval,21
jaune,jaune,30
/.,/.,P
en,en,81
bas,bas,21
",",",",p
la,le,71
cage,cage,22
devait,devoir,18
être,être,14
réparée,réparer,12
",",",",p
les,le,71
moulineurs,moulineur,21
avaient,avoir,18
repris,reprendre,12
leur,leur,73
besogne,besogne,22
/.,/.,P
pendant,pendant,81
qu',que,83
il,il,51
attelait,atteler,18
sa,son,73
bête,bête,22
",",",",p
pour,pour,81
redescendre,redescendre,14
",",",",p
le,le,71
charretier,charretier,21
ajouta,ajouter,19
doucement,doucement,60
",",",",p
en,en,81
s',se,51
adressant,adresser,13
à,à,81
elle,il,51
:,:,p
-,-,p
faut,falloir,17
pas,pas,60
t',tu,51
habituer,habituer,14
à,à,81
bavarder,bavarder,14
",",",",p
fichu,fichu,31
paresseux,paresseux,30
!,!,p
/…,/…,P
si,si,83
monsieur,monsieur,21
Hennebeau,Hennebeau,20
savait,savoir,18
à,à,81
quoi,quoi,52
tu,tu,51
perds,perdre,17
le,le,71
temps,temps,21
/!,/!,P
Etienne,Etienne,20
",",",",p
songeur,songeur,30
",",",",p
regardait,regarder,18
la,le,71
nuit,nuit,22
/.,/.,P
il,il,51
demanda,demander,19
:,:,p
-,-,p
alors,alors,60
",",",",p
c',ce,52
est,être,17
à,à,81
monsieur,monsieur,21
Hennebeau,Hennebeau,20
",",",",p
la,le,71
mine,mine,22
/?,/?,P
non,non,60
",",",",p
expliqua,expliquer,19
le,le,71
vieux,vieux,21
",",",",p
monsieur,monsieur,21
Hennebeau,Hennebeau,20
n',ne,60
est,être,17
que,que,83
le,le,71
directeur,directeur,21
général,général,30
/.,/.,P
il,il,51
est,être,17
payé,payer,12
comme,comme,83
nous,nous,51
/.,/.,P
d',de,81
un,un,71
geste,geste,21
",",",",p
le,le,71
jeune,jeune,30
homme,homme,21
montra,montrer,19
l',le,71
immensité,immensité,22
des,de,81
des,le,71
ténèbres,ténèbre,22
/.,/.,P
-,-,p
à,à,81
qui,qui,52
est,être,17
ce,ce,52
donc,donc,82
",",",",p
tout,tout,75
ça,ça,52
/?,/?,P
mais,mais,82
Bonnemort,Bonnemort,20
resta,rester,19
un,un,71
instant,instant,21
suffoqué,suffoqué,31
par,par,81
une,un,71
nouvelle,nouveau,30
crise,crise,22
",",",",p
d',de,81
une,un,71
telle,tel,75
violence,violence,22
",",",",p
qu',que,83
il,il,51
ne,ne,60
pouvait,pouvoir,18
reprendre,reprendre,14
haleine,haleine,22
/.,/.,P
enfin,enfin,60
",",",",p
quand,quand,83
il,il,51
eut,avoir,19
craché,cracher,12
et,et,82
essuyé,essuyer,12
l',le,71
écume,écume,22
noire,noir,30
de,de,81
ses,son,73
lèvres,lèvre,22
",",",",p
il,il,51
dit,dire,19
",",",",p
dans,dans,81
le,le,71
vent,vent,21
qui,qui,52
redoublait,redoubler,18
:,:,p
-,-,p
hein,hein,93
?,?,p
à,à,81
qui,qui,52
tout,tout,52
ça,ça,52
?,?,p
/…,/…,P
on,on,51
n',ne,60
en,en,52
sait,savoir,17
rien,rien,52
/.,/.,P
à,à,81
des,de,81
des,le,71
gens,gens,21
/.,/.,P
et,et,82
",",",",p
de,de,81
la,le,71
main,main,22
",",",",p
il,il,51
désignait,désigner,18
dans,dans,81
l',le,71
ombre,ombre,22
un,un,71
point,point,21
vague,vague,30
",",",",p
un,un,71
lieu,lieu,21
ignoré,ignoré,31
et,et,82
reculé,reculé,31
",",",",p
peuplé,peuplé,31
de,de,81
ces,ce,74
gens,gens,21
",",",",p
pour,pour,81
qui,qui,52
les,le,71
Maheu,Maheu,20
tapaient,taper,18
à,à,81
la,le,71
veine,veine,22
depuis,depuis,81
plus,plus,60
d',de,81
un,un,71
siècle,siècle,21
/.,/.,P
sa,son,73
voix,voix,22
avait,avoir,18
pris,prendre,12
une,un,71
sorte,sorte,22
de,de,81
peur,peur,22
religieuse,religieux,30
",",",",p
c',ce,52
était,être,18
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
parlé,parler,12
d',de,81
un,un,71
tabernacle,tabernacle,21
inaccessible,inaccessible,30
",",",",p
où,où,60
se,se,51
cachait,cacher,18
le,le,71
dieu,dieu,21
repu,repu,31
et,et,82
accroupi,accroupi,31
",",",",p
auquel,à,81
auquel,lequel,52
ils,ils,51
donnaient,donner,18
tous,tout,52
leur,leur,73
chair,chair,22
",",",",p
et,et,82
qu',que,52
ils,ils,51
n',ne,60
avaient,avoir,18
jamais,jamais,60
vu,voir,12
/.,/.,P
-,-,p
au,à,81
au,le,71
moins,moins,60
si,si,83
l',l',94
on,on,51
mangeait,manger,18
du,de,81
du,le,71
pain,pain,21
à,à,81
sa,son,73
suffisance,suffisance,22
!,!,p
répéta,répéter,19
pour,pour,81
la,le,71
troisième,troisième,72
fois,fois,22
Etienne,Etienne,20
",",",",p
sans,sans,81
transition,transition,22
apparente,apparent,30
/.,/.,P
-,-,p
dame,dame,22
",",",",p
oui,oui,60
!,!,p
si,si,83
l',l',94
on,on,51
mangeait,manger,18
toujours,toujours,60
du,de,81
du,le,71
pain,pain,21
",",",",p
ça,ça,52
serait,être,16
trop,trop,60
beau,beau,30
/!,/!,P
le,le,71
cheval,cheval,21
était,être,18
parti,partir,12
",",",",p
le,le,71
charretier,charretier,21
disparut,disparaître,19
à,à,81
son,son,73
tour,tour,21
",",",",p
d',de,81
un,un,71
pas,pas,21
traînard,traînard,30
d',de,81
invalide,invalide,21
/.,/.,P
près,près,81
du,de,81
du,le,71
culbuteur,culbuteur,21
",",",",p
le,le,71
manoeuvre,manoeuvre,21
n',ne,60
avait,avoir,18
point,point,60
bougé,bouger,12
",",",",p
ramassé,ramasser,12
en,en,81
boule,boule,22
",",",",p
enfonçant,enfoncer,13
le,le,71
menton,menton,21
entre,entre,81
ses,son,73
genoux,genou,21
",",",",p
fixant,fixer,13
sur,sur,81
le,le,71
vide,vide,21
ses,son,73
gros,gros,30
yeux,oeil,21
éteints,éteint,31
/.,/.,P
quand,quand,83
il,il,51
eut,avoir,19
repris,reprendre,12
son,son,73
paquet,paquet,21
",",",",p
Etienne,Etienne,20
ne,ne,60
s',se,51
éloigna,éloigner,19
pas,pas,60
encore,encore,60
/.,/.,P
il,il,51
sentait,sentir,18
les,le,71
rafales,rafale,22
lui,lui,51
glacer,glacer,14
le,le,71
dos,dos,21
",",",",p
pendant,pendant,81
que,que,83
sa,son,73
poitrine,poitrine,22
brûlait,brûler,18
",",",",p
devant,devant,81
le,le,71
grand,grand,30
feu,feu,21
/.,/.,P
peut-être,peut-être,60
",",",",p
tout,tout,60
de,de,81
même,même,60
",",",",p
ferait,faire,16
il,il,51
bien,bien,60
de,de,81
s',se,51
adresser,adresser,14
à,à,81
la,le,71
fosse,fosse,22
:,:,p
le,le,71
vieux,vieux,21
pouvait,pouvoir,18
ne,ne,60
pas,pas,60
savoir,savoir,14
;,;,p
puis,puis,60
",",",",p
il,il,51
se,se,51
résignait,résigner,18
",",",",p
il,il,51
accepterait,accepter,16
n',ne,60
importe,importer,17
quelle,quel,75
besogne,besogne,22
/.,/.,P
où,où,60
aller,aller,14
et,et,82
que,que,52
devenir,devenir,14
",",",",p
à,à,81
travers,travers,21
ce,ce,74
pays,pays,21
affamé,affamé,31
par,par,81
le,le,71
chômage,chômage,21
/?,/?,P
laisser,laisser,14
derrière,derrière,81
un,un,71
mur,mur,21
sa,son,73
carcasse,carcasse,22
de,de,81
chien,chien,21
perdu,perdu,31
/?,/?,P
cependant,cependant,82
",",",",p
une,un,71
hésitation,hésitation,22
le,le,52
troublait,troubler,18
",",",",p
une,un,71
peur,peur,22
du,de,81
du,le,71
Voreux,Voreux,20
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
cette,ce,74
plaine,plaine,22
rase,ras,30
",",",",p
noyée,noyé,31
sous,sous,81
une,un,71
nuit,nuit,22
si,si,60
épaisse,épais,30
/.,/.,P
à,à,81
chaque,chaque,75
bourrasque,bourrasque,22
",",",",p
le,le,71
vent,vent,21
paraissait,paraître,18
grandir,grandir,14
",",",",p
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
soufflé,souffler,12
d',de,81
un,un,71
horizon,horizon,21
sans,sans,81
cesse,cesse,22
élargi,élargi,31
/.,/.,P
aucune,aucun,75
aube,aube,22
ne,ne,60
blanchissait,blanchir,18
dans,dans,81
le,le,71
ciel,ciel,21
mort,mort,31
",",",",p
les,le,71
hauts,haut,30
fourneaux,fourneau,21
seuls,seul,30
flambaient,flamber,18
",",",",p
ainsi,ainsi,60
que,que,83
les,le,71
fours,four,21
à,à,81
coke,coke,21
",",",",p
ensanglantant,ensanglanter,13
les,le,71
ténèbres,ténèbre,22
",",",",p
sans,sans,81
en,en,52
éclairer,éclairer,14
l',le,71
inconnu,inconnu,21
/.,/.,P
et,et,82
le,le,71
Voreux,Voreux,20
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
trou,trou,21
",",",",p
avec,avec,81
son,son,73
tassement,tassement,21
de,de,81
bête,bête,22
méchante,méchant,30
",",",",p
s',se,51
écrasait,écraser,18
davantage,davantage,60
",",",",p
respirait,respirer,18
d',de,81
une,un,71
haleine,haleine,22
plus,plus,60
grosse,gros,30
et,et,82
plus,plus,60
longue,long,30
",",",",p
l',le,71
air,air,21
gêné,gêné,31
par,par,81
sa,son,73
digestion,digestion,22
pénible,pénible,30
de,de,81
chair,chair,22
humaine,humain,30
/.,/.,P
<I II>,<>,<>
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
champs,champ,21
de,de,81
blé,blé,21
et,et,82
de,de,81
betteraves,betterave,22
",",",",p
le,le,71
coron,coron,21
des,de,81
des,le,71
deux,deux,72
-,-,p
cent,cent,72
quarante,quarante,72
dormait,dormir,18
sous,sous,81
la,le,71
nuit,nuit,22
noire,noir,30
/.,/.,P
on,on,51
distinguait,distinguer,18
vaguement,vaguement,60
les,le,71
quatre,quatre,72
immenses,immense,30
corps,corps,21
de,de,81
petites,petit,30
maisons,maison,22
adossées,adossé,31
",",",",p
des,de,81
des,le,71
corps,corps,21
de,de,81
caserne,caserne,22
ou,ou,82
d',de,81
hôpital,hôpital,21
",",",",p
géométriques,géométrique,30
",",",",p
parallèles,parallèle,30
",",",",p
que,que,52
séparaient,séparer,18
les,le,71
trois,trois,72
larges,large,30
avenues,avenue,22
",",",",p
divisées,divisé,31
en,en,81
jardins,jardin,21
égaux,égal,30
/.,/.,P
et,et,82
",",",",p
sur,sur,81
le,le,71
plateau,plateau,21
désert,désert,30
",",",",p
on,on,51
entendait,entendre,18
la,le,71
seule,seul,30
plainte,plainte,22
des,de,81
des,le,71
rafales,rafale,22
",",",",p
dans,dans,81
les,le,71
treillages,treillage,21
arrachés,arraché,31
des,de,81
des,le,71
clôtures,clôture,22
/.,/.,P
chez,chez,81
les,le,71
Maheu,Maheu,20
",",",",p
au,à,81
au,le,71
numéro,numéro,21
<Nombre 16>,<>,<>
seize,seize,72
<Fin nombre>,<>,<>
du,de,81
du,le,71
deuxième,deuxième,72
corps,corps,21
",",",",p
rien,rien,52
ne,ne,60
bougeait,bouger,18
/.,/.,P
des,de,81
des,le,71
ténèbres,ténèbre,22
épaisses,épais,30
noyaient,noyer,18
l',le,71
unique,unique,30
chambre,chambre,22
du,de,81
du,le,71
premier,premier,72
étage,étage,21
",",",",p
comme,comme,83
écrasant,écraser,13
de,de,81
leur,leur,73
poids,poids,21
le,le,71
sommeil,sommeil,21
des,de,81
des,le,71
êtres,être,21
que,que,52
l',l',94
on,on,51
sentait,sentir,18
là,là,60
",",",",p
en,en,81
tas,tas,21
",",",",p
la,le,71
bouche,bouche,22
ouverte,ouvert,31
",",",",p
assommés,assommé,31
de,de,81
fatigue,fatigue,22
/.,/.,P
malgré,malgré,81
le,le,71
froid,froid,21
vif,vif,30
du,de,81
du,le,71
dehors,dehors,21
",",",",p
l',le,71
air,air,21
alourdi,alourdi,31
avait,avoir,18
une,un,71
chaleur,chaleur,22
vivante,vivant,30
",",",",p
cet,ce,74
étouffement,étouffement,21
chaud,chaud,30
des,de,81
des,le,71
chambrées,chambrée,22
les,le,71
mieux,mieux,60
tenues,tenu,31
",",",",p
qui,qui,52
sentent,sentir,17
le,le,71
bétail,bétail,21
humain,humain,30
/.,/.,P
quatre,quatre,72
heures,heure,22
sonnèrent,sonner,19
au,à,81
au,le,71
coucou,coucou,21
de,de,81
la,le,71
salle,salle,22
du,de,81
du,le,71
rez-de-chaussée,rez-de-chaussée,21
",",",",p
rien,rien,52
encore,encore,60
ne,ne,60
remua,remuer,19
",",",",p
des,de,81
des,le,71
haleines,haleine,22
grêles,grêle,30
sifflaient,siffler,18
",",",",p
accompagnées,accompagné,31
de,de,81
deux,deux,72
ronflements,ronflement,21
sonores,sonore,30
/.,/.,P
et,et,82
brusquement,brusquement,60
",",",",p
ce,ce,52
fut,être,19
Catherine,Catherine,20
qui,qui,52
se,se,51
leva,lever,19
/.,/.,P
dans,dans,81
sa,son,73
fatigue,fatigue,22
",",",",p
elle,il,51
avait,avoir,18
",",",",p
par,par,81
habitude,habitude,22
",",",",p
compté,compter,12
les,le,71
quatre,quatre,72
coups,coup,21
du,de,81
du,le,71
timbre,timbre,21
",",",",p
à,à,81
travers,travers,21
le,le,71
plancher,plancher,21
",",",",p
sans,sans,81
trouver,trouver,14
la,le,71
force,force,22
de,de,81
s',se,51
éveiller,éveiller,14
complètement,complètement,60
/.,/.,P
puis,puis,60
",",",",p
les,le,71
jambes,jambe,22
jetées,jeté,31
hors,hors,81
des,de,81
des,le,71
couvertures,couverture,22
",",",",p
elle,il,51
tâtonna,tâtonner,19
",",",",p
frotta,frotter,19
enfin,enfin,60
une,un,71
allumette,allumette,22
et,et,82
alluma,allumer,19
la,le,71
chandelle,chandelle,22
/.,/.,P
mais,mais,82
elle,il,51
restait,rester,18
assise,assis,31
",",",",p
la,le,71
tête,tête,22
si,si,60
pesante,pesant,30
",",",",p
qu',que,83
elle,il,51
se,se,51
renversait,renverser,18
entre,entre,81
les,le,71
deux,deux,72
épaules,épaule,22
",",",",p
cédant,céder,13
au,à,81
au,le,71
besoin,besoin,21
invincible,invincible,30
de,de,81
retomber,retomber,14
sur,sur,81
le,le,71
traversin,traversin,21
/.,/.,P
maintenant,maintenant,60
",",",",p
la,le,71
chandelle,chandelle,22
éclairait,éclairer,18
la,le,71
chambre,chambre,22
",",",",p
carrée,carré,31
",",",",p
à,à,81
deux,deux,72
fenêtres,fenêtre,22
",",",",p
que,que,52
trois,trois,72
lits,lit,21
emplissaient,emplir,18
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
une,un,71
armoire,armoire,22
",",",",p
une,un,71
table,table,22
",",",",p
deux,deux,72
chaises,chaise,22
de,de,81
vieux,vieux,30
noyer,noyer,21
",",",",p
dont,dont,52
le,le,71
ton,ton,21
fumeux,fumeux,30
tachait,tacher,18
durement,durement,60
les,le,71
murs,mur,21
",",",",p
peints,peint,31
en,en,81
jaune,jaune,30
clair,clair,30
/.,/.,P
et,et,82
rien,rien,52
autre,autre,30
",",",",p
des,de,81
des,le,71
hardes,harde,22
pendues,pendu,31
à,à,81
des,de,81
des,le,71
clous,clou,21
",",",",p
une,un,71
cruche,cruche,22
posée,posé,31
sur,sur,81
le,le,71
carreau,carreau,21
",",",",p
près,près,81
d',de,81
une,un,71
terrine,terrine,22
rouge,rouge,30
servant,servir,13
de,de,81
cuvette,cuvette,22
/.,/.,P
dans,dans,81
le,le,71
lit,lit,21
de,de,81
gauche,gauche,22
",",",",p
Zacharie,Zacharie,20
",",",",p
l',le,71
aîné,aîné,21
",",",",p
un,un,71
garçon,garçon,21
de,de,81
vingt,vingt,72
et,et,82
un,un,71
ans,an,21
",",",",p
était,être,18
couché,coucher,12
avec,avec,81
son,son,73
frère,frère,21
Jeanlin,Jeanlin,20
",",",",p
qui,qui,52
achevait,achever,18
sa,son,73
onzième,onzième,72
année,année,22
;,;,p
dans,dans,81
celui,celui,52
de,de,81
droite,droite,22
",",",",p
deux,deux,72
mioches,mioche,21
",",",",p
Lénore,Lénore,20
et,et,82
Henri,Henri,20
",",",",p
la,le,71
première,premier,72
de,de,81
six,six,72
ans,an,21
",",",",p
le,le,71
second,second,72
de,de,81
quatre,quatre,72
",",",",p
dormaient,dormir,18
aux,à,81
aux,le,71
bras,bras,21
l',le,71
un,un,52
de,de,81
l',le,71
autre,autre,52
;,;,p
tandis que,tandis que,83
Catherine,Catherine,20
partageait,partager,18
le,le,71
troisième,troisième,72
lit,lit,21
avec,avec,81
sa,son,73
soeur,soeur,22
Alzire,Alzire,20
",",",",p
si,si,60
chétive,chétif,30
pour,pour,81
ses,son,73
neuf,neuf,72
ans,an,21
",",",",p
qu',que,83
elle,il,51
ne,ne,60
l',le,52
aurait,avoir,16
même,même,60
pas,pas,60
sentie,sentir,12
près,près,81
d',de,81
elle,il,51
",",",",p
sans,sans,81
la,le,71
bosse,bosse,22
de,de,81
la,le,71
petite,petit,30
infirme,infirme,22
qui,qui,52
lui,lui,51
enfonçait,enfoncer,18
les,le,71
côtes,côte,22
/.,/.,P
la,le,71
porte,porte,22
vitrée,vitré,30
était,être,18
ouverte,ouvrir,12
",",",",p
on,on,51
apercevait,apercevoir,18
le,le,71
couloir,couloir,21
du,de,81
du,le,71
palier,palier,21
",",",",p
l',le,71
espèce,espèce,22
de,de,81
boyau,boyau,21
où,où,60
le,le,71
père,père,21
et,et,82
la,le,71
mère,mère,22
occupaient,occuper,18
un,un,71
quatrième,quatrième,72
lit,lit,21
",",",",p
contre,contre,81
lequel,lequel,52
ils,ils,51
avaient,avoir,18
dû,devoir,12
installer,installer,14
le,le,71
berceau,berceau,21
de,de,81
la,le,71
dernière,dernier,30
venue,venue,22
",",",",p
Estelle,Estelle,20
",",",",p
âgée,âgé,30
de,de,81
trois,trois,72
mois,mois,21
à,à,81
peine,peine,22
/.,/.,P
cependant,cependant,82
",",",",p
Catherine,Catherine,20
fit,faire,19
un,un,71
effort,effort,21
désespéré,désespéré,31
/.,/.,P
elle,il,51
s',se,51
étirait,étirer,18
",",",",p
elle,il,51
crispait,crisper,18
ses,son,73
deux,deux,72
mains,main,22
dans,dans,81
ses,son,73
cheveux,cheveu,21
roux,roux,30
",",",",p
qui,qui,52
lui,lui,51
embroussaillaient,embroussailler,18
le,le,71
front,front,21
et,et,82
la,le,71
nuque,nuque,22
/.,/.,P
fluette,fluet,30
pour,pour,81
ses,son,73
quinze,quinze,72
ans,an,21
",",",",p
elle,il,51
ne,ne,60
montrait,montrer,18
de,de,81
ses,son,73
membres,membre,21
",",",",p
hors,hors,81
du,de,81
du,le,71
fourreau,fourreau,21
étroit,étroit,30
de,de,81
sa,son,73
chemise,chemise,22
",",",",p
que,que,83
des,de,81
des,le,71
pieds,pied,21
bleuis,bleui,31
",",",",p
comme,comme,83
tatoués,tatoué,31
de,de,81
charbon,charbon,21
",",",",p
et,et,82
des,de,81
des,le,71
bras,bras,21
délicats,délicat,30
",",",",p
dont,dont,52
la,le,71
blancheur,blancheur,22
de,de,81
lait,lait,21
tranchait,trancher,18
sur,sur,81
le,le,71
teint,teint,21
blême,blême,30
du,de,81
du,le,71
visage,visage,21
",",",",p
déjà,déjà,60
gâté,gâté,31
par,par,81
les,le,71
continuels,continuel,30
lavages,lavage,21
au,à,81
au,le,71
savon,savon,21
noir,noir,30
/.,/.,P
un,un,71
dernier,dernier,30
bâillement,bâillement,21
ouvrit,ouvrir,19
sa,son,73
bouche,bouche,22
un,un,71
peu,peu,60
grande,grand,30
",",",",p
aux,à,81
aux,le,71
dents,dent,22
superbes,superbe,30
dans,dans,81
la,le,71
pâleur,pâleur,22
chlorotique,chlorotique,30
des,de,81
des,le,71
gencives,gencive,22
;,;,p
pendant,pendant,81
que,que,83
ses,son,73
yeux,oeil,21
gris,gris,30
pleuraient,pleurer,18
de,de,81
sommeil,sommeil,21
combattu,combattu,31
",",",",p
avec,avec,81
une,un,71
expression,expression,22
douloureuse,douloureux,30
et,et,82
brisée,brisé,31
",",",",p
qui,qui,52
semblait,sembler,18
enfler,enfler,14
de,de,81
fatigue,fatigue,22
sa,son,73
nudité,nudité,22
entière,entier,30
/.,/.,P
mais,mais,82
un,un,71
grognement,grognement,21
arriva,arriver,19
du,de,81
du,le,71
palier,palier,21
",",",",p
la,le,71
voix,voix,22
de,de,81
Maheu,Maheu,20
bégayait,bégayer,18
",",",",p
empâtée,empâté,31
:,:,p
-,-,p
sacré,sacré,31
nom,nom,21
!,!,p
il,il,51
est,être,17
l',le,71
heure,heure,22
/…,/…,P
c',ce,52
est,être,17
toi,toi,51
qui,qui,52
allumes,allumer,17
",",",",p
Catherine,Catherine,20
/?,/?,P
oui,oui,60
",",",",p
père,père,21
/…,/…,P
ça,ça,52
vient,venir,17
de,de,81
sonner,sonner,14
",",",",p
en,en,81
bas,bas,21
/.,/.,P
-,-,p
dépêche,dépêcher,17
toi,toi,51
donc,donc,82
",",",",p
fainéante,fainéante,22
/!,/!,P
si,si,83
tu,tu,51
avais,avoir,18
moins,moins,60
dansé,danser,12
hier,hier,60
dimanche,dimanche,21
",",",",p
tu,tu,51
nous,nous,51
aurais,avoir,16
réveillés,réveiller,12
plus,plus,60
tôt,tôt,60
/…,/…,P
en,en,52
voilà,voilà,81
une,un,71
vie,vie,22
de,de,81
paresse,paresse,22
/!,/!,P
et,et,82
il,il,51
continua,continuer,19
de,de,81
gronder,gronder,14
",",",",p
mais,mais,82
le,le,71
sommeil,sommeil,21
le,le,52
reprit,reprendre,19
à,à,81
son,son,73
tour,tour,21
",",",",p
ses,son,73
reproches,reproche,21
s',se,51
embarrassèrent,embarrasser,19
",",",",p
s',se,51
éteignirent,éteindre,19
dans,dans,81
un,un,71
nouveau,nouveau,30
ronflement,ronflement,21
/.,/.,P
la,le,71
jeune,jeune,30
fille,fille,22
",",",",p
en,en,81
chemise,chemise,22
",",",",p
pieds,pied,21
nus,nu,30
sur,sur,81
le,le,71
carreau,carreau,21
",",",",p
allait,aller,18
et,et,82
venait,venir,18
par,par,81
la,le,71
chambre,chambre,22
/.,/.,P
comme,comme,83
elle,il,51
passait,passer,18
devant,devant,81
le,le,71
lit,lit,21
d',de,81
Henri,Henri,20
et,et,82
de,de,81
Lénore,Lénore,20
",",",",p
elle,il,51
rejeta,rejeter,19
sur,sur,81
eux,ils,51
la,le,71
couverture,couverture,22
",",",",p
qui,qui,52
avait,avoir,18
glissé,glisser,12
;,;,p
et,et,82
ils,ils,51
ne,ne,60
s',se,51
éveillaient,éveiller,18
pas,pas,60
",",",",p
anéantis,anéanti,31
dans,dans,81
le,le,71
gros,gros,30
sommeil,sommeil,21
de,de,81
l',le,71
enfance,enfance,22
/.,/.,P
Alzire,Alzire,20
",",",",p
les,le,71
yeux,oeil,21
ouverts,ouvert,31
",",",",p
s',se,51
était,être,18
retournée,retourner,12
pour,pour,81
prendre,prendre,14
la,le,71
place,place,22
chaude,chaud,30
de,de,81
sa,son,73
grande,grand,30
soeur,soeur,22
",",",",p
sans,sans,81
prononcer,prononcer,14
un,un,71
mot,mot,21
/.,/.,P
-,-,p
dis,dire,17
donc,donc,82
",",",",p
Zacharie,Zacharie,20
!,!,p
et,et,82
toi,toi,51
",",",",p
Jeanlin,Jeanlin,20
",",",",p
dis,dire,17
donc,donc,82
!,!,p
répétait,répéter,18
Catherine,Catherine,20
