11751
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-quinzième extrait>,<>,<>
une,un,71
mort,mort,22
de,de,81
philosophe,philosophe,21
",",",",p
et,et,82
j',je,51
y,y,52
étais,être,18
prédestiné,prédestiner,12
peut-être,peut-être,60
/.,/.,P
il,il,51
est,être,17
magnifique,magnifique,30
de,de,81
mourir,mourir,14
comme,comme,83
on,on,51
a,avoir,17
vécu,vivre,12
/.,/.,P
le,le,71
prêtre,prêtre,21
l',le,52
interrompit,interrompre,19
:,:,p
-,-,p
est,être,17
ce,ce,52
convenu,convenir,12
/?,/?,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
la,le,71
mort,mort,22
",",",",p
à,à,81
tout,tout,52
prendre,prendre,14
?,?,p
poursuivit,poursuivre,19
Gringoire,Gringoire,20
avec,avec,81
exaltation,exaltation,22
/.,/.,P
un,un,71
mauvais,mauvais,30
moment,moment,21
",",",",p
un,un,71
péage,péage,21
",",",",p
le,le,71
passage,passage,21
de,de,81
peu,peu,60
de,de,81
chose,chose,22
à,à,81
rien,rien,52
/.,/.,P
quelqu'un,quelqu'un,52
ayant,avoir,13
demandé,demander,12
à,à,81
Cercidas,Cercidas,20
",",",",p
mégalopolitain,mégalopolitain,21
",",",",p
s',si,83
il,il,51
mourrait,mourir,16
volontiers,volontiers,60
:,:,p
pourquoi,pourquoi,60
non,non,60
?,?,p
répondit,répondre,19
il,il,51
;,;,p
car,car,82
après,après,81
ma,mon,73
mort,mort,22
je,je,51
verrai,voir,15
ces,ce,74
grands,grand,30
hommes,homme,21
",",",",p
Pythagoras,Pythagoras,20
entre,entre,81
les,le,71
philosophes,philosophe,21
",",",",p
Hecataeus,Hecataeus,20
entre,entre,81
les,le,71
historiens,historien,21
",",",",p
Homère,Homère,20
entre,entre,81
les,le,71
poètes,poète,21
",",",",p
Olympe,Olympe,20
entre,entre,81
les,le,71
musiciens,musicien,21
/.,/.,P
l',le,71
archidiacre,archidiacre,21
lui,lui,51
présenta,présenter,19
la,le,71
main,main,22
/.,/.,P
-,-,p
donc,donc,82
c',ce,52
est,être,17
dit,dire,12
?,?,p
vous,vous,51
viendrez,venir,15
demain,demain,60
/.,/.,P
ce,ce,74
geste,geste,21
ramena,ramener,19
Gringoire,Gringoire,20
au,à,81
au,le,71
positif,positif,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
ma,mon,73
foi,foi,22
non,non,60
!,!,p
dit,dire,19
il,il,51
du,de,81
du,le,71
ton,ton,21
d',de,81
un,un,71
homme,homme,21
qui,qui,52
se,se,51
réveille,réveiller,17
/.,/.,P
être,être,14
pendu,pendre,12
!,!,p
c',ce,52
est,être,17
trop,trop,60
absurde,absurde,30
/.,/.,P
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
/.,/.,P
-,-,p
adieu,adieu,21
alors,alors,60
/!,/!,P
et,et,82
l',le,71
archidiacre,archidiacre,21
ajouta,ajouter,19
entre,entre,81
ses,son,73
dents,dent,22
:,:,p
je,je,51
te,tu,51
retrouverai,retrouver,15
/!,/!,P
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
que,que,83
ce,ce,74
diable,diable,21
d',de,81
homme,homme,21
me,je,51
retrouve,retrouver,17
",",",",p
pensa,penser,19
Gringoire,Gringoire,20
;,;,p
et,et,82
il,il,51
courut,courir,19
après,après,81
dom,dom,21
Claude,Claude,20
/.,/.,P
-,-,p
tenez,tenir,17
",",",",p
monsieur,monsieur,21
l',le,71
archidiacre,archidiacre,21
",",",",p
pas,pas,60
d',de,81
humeur,humeur,22
entre,entre,81
vieux,vieux,30
amis,ami,21
/!,/!,P
vous,vous,51
vous,vous,51
intéressez,intéresser,17
à,à,81
cette,ce,74
fille,fille,22
",",",",p
à,à,81
ma,mon,73
femme,femme,22
",",",",p
veux,vouloir,17
je,je,51
dire,dire,14
",",",",p
c',ce,52
est,être,17
bien,bien,60
/.,/.,P
vous,vous,51
avez,avoir,17
imaginé,imaginer,12
un,un,71
stratagème,stratagème,21
pour,pour,81
la,le,52
faire,faire,14
sortir,sortir,14
sauve,sauf,30
de,de,81
Notre-Dame,Notre Dame,20
",",",",p
mais,mais,82
votre,votre,73
moyen,moyen,21
est,être,17
extrêmement,extrêmement,60
désagréable,désagréable,30
pour,pour,81
moi,moi,51
",",",",p
Gringoire,Gringoire,20
/.,/.,P
-,-,p
si,si,83
j',je,51
en,en,52
avais,avoir,18
un,un,71
autre,autre,52
",",",",p
moi,moi,51
/!,/!,P
je,je,51
vous,vous,51
préviens,prévenir,17
qu',que,83
il,il,51
vient,venir,17
de,de,81
me,je,51
survenir,survenir,14
à,à,81
l',le,71
instant,instant,21
une,un,71
inspiration,inspiration,22
très,très,60
lumineuse,lumineux,30
/.,/.,P
-,-,p
si,si,83
j',je,51
avais,avoir,18
une,un,71
idée,idée,22
expédiente,expédient,30
pour,pour,81
la,le,52
tirer,tirer,14
du,de,81
du,le,71
mauvais,mauvais,30
pas,pas,21
sans,sans,81
compromettre,compromettre,14
mon,mon,73
cou,cou,21
avec,avec,81
le,le,71
moindre,moindre,30
noeud,noeud,21
coulant,coulant,30
?,?,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
diriez,dire,16
?,?,p
cela,cela,52
ne,ne,60
vous,vous,51
suffirait,suffire,16
il,il,51
point,point,60
/?,/?,P
est,être,17
il,il,51
absolument,absolument,60
nécessaire,nécessaire,30
que,que,83
je,je,51
sois,être,17
pendu,pendre,12
pour,pour,81
que,que,83
vous,vous,51
soyez,être,17
content,content,30
/?,/?,P
le,le,71
prêtre,prêtre,21
arrachait,arracher,18
d',de,81
impatience,impatience,22
les,le,71
boutons,bouton,21
de,de,81
sa,son,73
soutane,soutane,22
/.,/.,P
-,-,p
ruisseau,ruisseau,21
de,de,81
paroles,parole,22
/!,/!,P
quel,quel,52
est,être,17
ton,ton,73
moyen,moyen,21
/?,/?,P
oui,oui,60
",",",",p
reprit,reprendre,19
Gringoire,Gringoire,20
se,se,51
parlant,parler,13
à,à,81
lui-même,lui-même,51
et,et,82
touchant,toucher,13
son,son,73
nez,nez,21
avec,avec,81
son,son,73
index,index,21
en,en,81
signe,signe,21
de,de,81
méditation,méditation,22
",",",",p
c',ce,52
est,être,17
cela,cela,52
/!,/!,P
les,le,71
truands,truand,21
sont,être,17
de,de,81
braves,brave,30
fils,fils,21
/.,/.,P
-,-,p
la,le,71
tribu,tribu,22
d',de,81
Egypte,Egypte,20
l',le,52
aime,aimer,17
/.,/.,P
-,-,p
ils,ils,51
se,se,51
lèveront,lever,15
au,à,81
au,le,71
premier,premier,72
mot,mot,21
/.,/.,P
-,-,p
rien,rien,52
de,de,81
plus,plus,60
facile,facile,30
/.,/.,P
-,-,p
un,un,71
coup,coup,21
de,de,81
main,main,22
/.,/.,P
-,-,p
à,à,81
la,le,71
faveur,faveur,22
du,de,81
du,le,71
désordre,désordre,21
",",",",p
on,on,51
l',le,52
enlèvera,enlever,15
aisément,aisément,60
/.,/.,P
-,-,p
dès,dès,81
demain,demain,60
soir,soir,21
…,…,p
ils,ils,51
ne,ne,60
demanderont,demander,15
pas,pas,60
mieux,mieux,60
/.,/.,P
-,-,p
le,le,71
moyen,moyen,21
!,!,p
parle,parler,17
",",",",p
dit,dire,19
le,le,71
prêtre,prêtre,21
en,en,81
le,le,52
secouant,secouer,13
/.,/.,P
Gringoire,Gringoire,20
se,se,51
tourna,tourner,19
majestueusement,majestueusement,60
vers,vers,81
lui,lui,51
:,:,p
-,-,p
laissez,laisser,17
moi,moi,51
donc,donc,82
!,!,p
vous,vous,51
voyez,voir,17
bien,bien,60
que,que,83
je,je,51
compose,composer,17
/.,/.,P
il,il,51
réfléchit,réfléchir,17
encore,encore,60
quelques,quelque,75
instants,instant,21
/.,/.,P
puis,puis,60
il,il,51
se,se,51
mit,mettre,19
à,à,81
battre,battre,14
des,de,81
des,le,71
mains,main,22
à,à,81
sa,son,73
pensée,pensée,22
en,en,81
criant,crier,13
:,:,p
-,-,p
admirable,admirable,30
!,!,p
réussite,réussite,22
sûre,sûr,30
/!,/!,P
le,le,71
moyen,moyen,21
!,!,p
reprit,reprendre,19
Claude,Claude,20
en,en,81
colère,colère,22
/.,/.,P
Gringoire,Gringoire,20
était,être,18
radieux,radieux,30
/.,/.,P
-,-,p
venez,venir,17
",",",",p
que,que,52
je,je,51
vous,vous,51
dise,dire,17
cela,cela,52
tout,tout,60
bas,bas,60
/.,/.,P
c',ce,52
est,être,17
une,un,71
contre-mine,contre-mine,22
vraiment,vraiment,60
gaillarde,gaillard,30
et,et,82
qui,qui,52
nous,nous,51
tire,tirer,17
tous,tout,52
d',de,81
affaire,affaire,22
/.,/.,P
pardieu,pardieu,93
!,!,p
il,il,51
faut,falloir,17
convenir,convenir,14
que,que,83
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
un,un,71
imbécile,imbécile,21
/.,/.,P
il,il,51
s',se,51
interrompit,interrompre,19
:,:,p
-,-,p
ah,ah,93
çà,çà,60
!,!,p
la,le,71
petite,petit,30
chèvre,chèvre,22
est,être,17
elle,il,51
avec,avec,81
la,le,71
fille,fille,22
/?,/?,P
oui,oui,60
/.,/.,P
que,que,52
le,le,71
diable,diable,21
t',tu,51
emporte,emporter,17
/!,/!,P
c',ce,52
est,être,17
qu',que,83
ils,ils,51
l',le,52
auraient,avoir,16
pendue,pendre,12
aussi,aussi,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
qu',que,52
est,être,17
ce,ce,52
que,que,52
cela,cela,52
me,je,51
fait,faire,17
/?,/?,P
oui,oui,60
",",",",p
ils,ils,51
l',le,52
auraient,avoir,16
pendue,pendre,12
/.,/.,P
ils,ils,51
ont,avoir,17
bien,bien,60
pendu,pendre,12
une,un,71
truie,truie,22
le,le,71
mois,mois,21
passé,passé,31
/.,/.,P
le,le,71
bourrel,bourreau,21
aime,aimer,17
cela,cela,52
/.,/.,P
il,il,51
mange,manger,17
la,le,71
bête,bête,22
après,après,81
/.,/.,P
pendre,pendre,14
ma,mon,73
jolie,joli,30
Djali,Djali,20
/!,/!,P
pauvre,pauvre,30
petit,petit,30
agneau,agneau,21
/!,/!,P
malédiction,malédiction,22
!,!,p
s',se,51
écria,écrier,19
dom,dom,21
Claude,Claude,20
/.,/.,P
le,le,71
bourreau,bourreau,21
",",",",p
c',ce,52
est,être,17
toi,toi,51
/.,/.,P
quel,quel,75
moyen,moyen,21
de,de,81
salut,salut,21
as,avoir,17
tu,tu,51
donc,donc,82
trouvé,trouver,12
",",",",p
drôle,drôle,30
?,?,p
faudra,falloir,15
t,t,94
il,il,51
t',tu,51
accoucher,accoucher,14
ton,ton,73
idée,idée,22
avec,avec,81
le,le,71
forceps,forceps,21
/?,/?,P
tout,tout,60
beau,beau,30
",",",",p
maître,maître,21
!,!,p
voici,voici,81
/.,/.,P
Gringoire,Gringoire,20
se,se,51
pencha,pencher,19
à,à,81
l',le,71
oreille,oreille,22
de,de,81
l',le,71
archidiacre,archidiacre,21
et,et,82
lui,lui,51
parla,parler,19
très,très,60
bas,bas,60
",",",",p
en,en,81
jetant,jeter,13
un,un,71
regard,regard,21
inquiet,inquiet,30
d',de,81
un,un,71
bout,bout,21
à,à,81
l',le,71
autre,autre,52
de,de,81
la,le,71
rue,rue,22
où,où,60
il,il,51
ne,ne,60
passait,passer,18
pourtant,pourtant,60
personne,personne,52
/.,/.,P
quand,quand,83
il,il,51
eut,avoir,19
fini,finir,12
",",",",p
dom,dom,21
Claude,Claude,20
lui,lui,51
prit,prendre,19
la,le,71
main,main,22
et,et,82
lui,lui,51
dit,dire,19
froidement,froidement,60
:,:,p
-,-,p
c',ce,52
est,être,17
bon,bon,30
/.,/.,P
à,à,81
demain,demain,60
/.,/.,P
-,-,p
à,à,81
demain,demain,60
",",",",p
répéta,répéter,19
Gringoire,Gringoire,20
/.,/.,P
et,et,82
tandis que,tandis que,83
l',le,71
archidiacre,archidiacre,21
s',se,51
éloignait,éloigner,18
d',de,81
un,un,71
côté,côté,21
",",",",p
il,il,51
s',se,51
en,en,52
alla,aller,19
de,de,81
l',le,71
autre,autre,52
en,en,81
se,se,51
disant,dire,13
à,à,81
demi-voix,demi-voix,22
:,:,p
-,-,p
voilà,voilà,81
une,un,71
fière,fier,30
affaire,affaire,22
",",",",p
monsieur,monsieur,21
Pierre,Pierre,20
Gringoire,Gringoire,20
/.,/.,P
n',ne,60
importe,importer,17
/.,/.,P
il,il,51
n',ne,60
est,être,17
pas,pas,60
dit,dire,12
",",",",p
parce qu',parce que,83
on,on,51
est,être,17
petit,petit,30
",",",",p
qu',que,83
on,on,51
s',se,51
effraiera,effrayer,15
d',de,81
une,un,71
grande,grand,30
entreprise,entreprise,22
/.,/.,P
Biton,Biton,20
porta,porter,19
un,un,71
grand,grand,30
taureau,taureau,21
sur,sur,81
ses,son,73
épaules,épaule,22
;,;,p
les,le,71
hochequeues,hochequeue,21
",",",",p
les,le,71
fauvettes,fauvette,22
et,et,82
les,le,71
traquets,traquet,21
traversent,traverser,17
l',le,71
océan,océan,21
/.,/.,P
<Chapitre II>,<>,<>
faites,faire,17
vous,vous,51
truand,truand,21
/.,/.,P
l',le,71
archidiacre,archidiacre,21
",",",",p
en,en,81
rentrant,rentrer,13
au,à,81
au,le,71
cloître,cloître,21
",",",",p
trouva,trouver,19
à,à,81
la,le,71
porte,porte,22
de,de,81
sa,son,73
cellule,cellule,22
son,son,73
frère,frère,21
Jehan,Jehan,20
du,de,81
du,le,71
Moulin,Moulin,20
qui,qui,52
l',le,52
attendait,attendre,18
et,et,82
qui,qui,52
avait,avoir,18
charmé,charmer,12
les,le,71
ennuis,ennui,21
de,de,81
l',le,71
attente,attente,22
en,en,81
dessinant,dessiner,13
avec,avec,81
un,un,71
charbon,charbon,21
sur,sur,81
le,le,71
mur,mur,21
un,un,71
profil,profil,21
de,de,81
son,son,73
frère,frère,21
aîné,aîné,30
enrichi,enrichi,31
d',de,81
un,un,71
nez,nez,21
démesuré,démesuré,30
/.,/.,P
dom,dom,21
Claude,Claude,20
regarda,regarder,19
à,à,81
peine,peine,22
son,son,73
frère,frère,21
/.,/.,P
il,il,51
avait,avoir,18
d',de,81
autres,autre,75
songes,songe,21
/.,/.,P
ce,ce,74
joyeux,joyeux,30
visage,visage,21
de,de,81
vaurien,vaurien,21
dont,dont,52
le,le,71
rayonnement,rayonnement,21
avait,avoir,18
tant,tant,60
de,de,81
fois,fois,22
rasséréné,rasséréner,12
la,le,71
sombre,sombre,30
physionomie,physionomie,22
du,de,81
du,le,71
prêtre,prêtre,21
était,être,18
maintenant,maintenant,60
impuissant,impuissant,30
à,à,81
fondre,fondre,14
la,le,71
brume,brume,22
qui,qui,52
s',se,51
épaississait,épaissir,18
chaque,chaque,75
jour,jour,21
davantage,davantage,60
sur,sur,81
cette,ce,74
âme,âme,22
corrompue,corrompu,31
",",",",p
méphitique,méphitique,30
et,et,82
stagnante,stagnant,30
/.,/.,P
-,-,p
mon,mon,73
frère,frère,21
",",",",p
dit,dire,19
timidement,timidement,60
Jehan,Jehan,20
",",",",p
je,je,51
viens,venir,17
vous,vous,51
voir,voir,14
/.,/.,P
l',le,71
archidiacre,archidiacre,21
ne,ne,60
leva,lever,19
seulement,seulement,60
pas,pas,60
les,le,71
yeux,oeil,21
sur,sur,81
lui,lui,51
/.,/.,P
-,-,p
après,après,81
/?,/?,P
mon,mon,73
frère,frère,21
",",",",p
reprit,reprendre,19
l',le,71
hypocrite,hypocrite,21
",",",",p
vous,vous,51
êtes,être,17
si,si,60
bon,bon,30
pour,pour,81
moi,moi,51
",",",",p
et,et,82
vous,vous,51
me,je,51
donnez,donner,17
de,de,81
si,si,60
bons,bon,30
conseils,conseil,21
que,que,83
je,je,51
reviens,revenir,17
toujours,toujours,60
à,à,81
vous,vous,51
/.,/.,P
-,-,p
ensuite,ensuite,60
/?,/?,P
hélas,hélas,60
!,!,p
mon,mon,73
frère,frère,21
",",",",p
c',ce,52
est,être,17
que,que,83
vous,vous,51
aviez,avoir,18
bien,bien,60
raison,raison,22
quand,quand,83
vous,vous,51
me,je,51
disiez,dire,18
:,:,p
-,-,p
Jehan,Jehan,20
/!,/!,P
Jehan,Jehan,20
!,!,p
cessat,cessat,92
doctorum,doctorum,92
doctrina,doctrina,92
",",",",p
discipulorum,discipulorum,92
disciplina,discipliner,19
/.,/.,P
Jehan,Jehan,20
",",",",p
soyez,être,17
sage,sage,30
",",",",p
Jehan,Jehan,20
",",",",p
docte,docte,30
",",",",p
Jehan,Jehan,20
",",",",p
ne,ne,60
pernoctez,pernocter,17
pas,pas,60
hors,hors,81
le,le,71
collège,collège,21
sans,sans,81
légitime,légitime,30
et,et,82
congé,congé,21
du,de,81
du,le,71
maître,maître,21
/.,/.,P
ne,ne,60
battez,battre,17
pas,pas,60
les,le,71
picards,picard,21
",",",",p
noli,noli,92
",",",",p
Joannes,Joannes,20
",",",",p
verberare,verberare,92
picardos,picardos,92
/.,/.,P
ne,ne,60
pourrissez,pourrir,17
pas,pas,60
comme,comme,83
un,un,71
âne,âne,21
illettré,illettré,30
",",",",p
quasi,quasi,60
asinus,asinus,21
illitteratus,illitteratus,92
",",",",p
sur,sur,81
le,le,71
feurre,feurre,21
de,de,81
l',le,71
école,école,22
/.,/.,P
Jehan,Jehan,20
",",",",p
laissez,laisser,17
vous,vous,51
punir,punir,14
à,à,81
la,le,71
discrétion,discrétion,22
du,de,81
du,le,71
maître,maître,21
/.,/.,P
Jehan,Jehan,20
",",",",p
allez,aller,17
tous,tout,75
les,le,71
soirs,soir,21
à,à,81
la,le,71
chapelle,chapelle,22
et,et,82
chantez,chanter,17
y,y,52
une,un,71
antienne,antienne,22
avec,avec,81
verset,verset,21
et,et,82
oraison,oraison,22
à,à,81
madame,madame,22
la,le,71
glorieuse,glorieux,30
Vierge Marie,Vierge Marie,20
/.,/.,P
hélas,hélas,60
!,!,p
que,que,52
c',ce,52
étaient,être,18
là,là,60
de,de,81
très,très,60
excellents,excellent,30
avis,avis,21
/!,/!,P
et,et,82
puis,puis,60
/?,/?,P
mon,mon,73
frère,frère,21
",",",",p
vous,vous,51
voyez,voir,17
un,un,71
coupable,coupable,21
",",",",p
un,un,71
criminel,criminel,21
",",",",p
un,un,71
misérable,misérable,21
",",",",p
un,un,71
libertin,libertin,21
",",",",p
un,un,71
homme,homme,21
énorme,énorme,30
/!,/!,P
mon,mon,73
cher,cher,30
frère,frère,21
",",",",p
Jehan,Jehan,20
a,avoir,17
fait,faire,12
de,de,81
vos,votre,73
gracieux,gracieux,30
conseils,conseil,21
paille,paille,22
et,et,82
fumier,fumier,21
à,à,81
fouler,fouler,14
aux,à,81
aux,le,71
pieds,pied,21
/.,/.,P
j',je,51
en,en,52
suis,être,17
bien,bien,60
châtié,châtier,12
",",",",p
et,et,82
le,le,71
bon,bon,30
dieu,dieu,21
est,être,17
extraordinairement,extraordinairement,60
juste,juste,30
/.,/.,P
tant,tant,60
que,que,83
j',je,51
ai,avoir,17
eu,avoir,12
de,de,81
l',le,71
argent,argent,21
",",",",p
j',je,51
ai,avoir,17
fait,faire,12
ripaille,ripaille,22
",",",",p
folie,folie,22
et,et,82
vie,vie,22
joyeuse,joyeux,30
/.,/.,P
oh,oh,93
!,!,p
que,que,52
la,le,71
débauche,débauche,22
",",",",p
si,si,60
charmante,charmant,30
de,de,81
face,face,22
",",",",p
est,être,17
laide,laid,30
et,et,82
rechignée,rechigné,31
par derrière,par-derrière,60
/!,/!,P
maintenant,maintenant,60
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
un,un,71
blanc,blanc,21
",",",",p
j',je,51
ai,avoir,17
vendu,vendre,12
ma,mon,73
nappe,nappe,22
",",",",p
ma,mon,73
chemise,chemise,22
et,et,82
ma,mon,73
touaille,touaille,22
",",",",p
plus,plus,60
de,de,81
joyeuse,joyeux,30
vie,vie,22
!,!,p
la,le,71
belle,beau,30
chandelle,chandelle,22
est,être,17
éteinte,éteindre,12
",",",",p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
que,que,83
la,le,71
vilaine,vilain,30
mèche,mèche,22
de,de,81
suif,suif,21
qui,qui,52
me,je,51
fume,fumer,17
dans,dans,81
le,le,71
nez,nez,21
/.,/.,P
les,le,71
filles,fille,22
se,se,51
moquent,moquer,17
de,de,81
moi,moi,51
/.,/.,P
je,je,51
bois,boire,17
de,de,81
l',le,71
eau,eau,22
/.,/.,P
je,je,51
suis,être,17
bourrelé,bourreler,12
de,de,81
remords,remords,21
et,et,82
de,de,81
créanciers,créancier,21
/.,/.,P
-,-,p
le,le,71
reste,reste,21
?,?,p
dit,dire,19
l',le,71
archidiacre,archidiacre,21
/.,/.,P
-,-,p
hélas,hélas,60
!,!,p
très,très,60
cher,cher,60
frère,frère,21
",",",",p
je,je,51
voudrais,vouloir,16
bien,bien,60
me,je,51
ranger,ranger,14
à,à,81
une,un,71
meilleure,meilleur,30
vie,vie,22
/.,/.,P
je,je,51
viens,venir,17
à,à,81
vous,vous,51
",",",",p
plein,plein,30
de,de,81
contrition,contrition,22
/.,/.,P
je,je,51
suis,être,17
pénitent,pénitent,21
/.,/.,P
je,je,51
me,je,51
confesse,confesser,17
/.,/.,P
je,je,51
me,je,51
frappe,frapper,17
la,le,71
poitrine,poitrine,22
à,à,81
grands,grand,30
coups,coup,21
de,de,81
poing,poing,21
/.,/.,P
vous,vous,51
avez,avoir,17
bien,bien,60
raison,raison,22
de,de,81
vouloir,vouloir,14
que,que,83
je,je,51
devienne,devenir,17
un,un,71
jour,jour,21
licencié,licencié,31
et,et,82
sous-moniteur,sous-moniteur,21
du,de,81
du,le,71
collège,collège,21
de,de,81
Torchi,Torchi,20
/.,/.,P
voici,voici,81
que,que,83
je,je,51
me,je,51
sens,sentir,17
à,à,81
présent,présent,21
une,un,71
vocation,vocation,22
magnifique,magnifique,30
pour,pour,81
cet,ce,74
état,état,21
/.,/.,P
mais,mais,82
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
d',de,81
encre,encre,22
",",",",p
il,il,51
faut,falloir,17
que,que,83
j',je,51
en,en,52
rachète,racheter,17
;,;,p
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
de,de,81
plumes,plume,22
",",",",p
il,il,51
faut,falloir,17
que,que,83
rachète,racheter,17
;,;,p
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
de,de,81
papier,papier,21
",",",",p
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
de,de,81
livres,livre,21
",",",",p
il,il,51
faut,falloir,17
que,que,83
j',je,51
en,en,52
rachète,racheter,17
/.,/.,P
j',je,51
ai,avoir,17
grand,grand,30
besoin,besoin,21
pour,pour,81
cela,cela,52
d',de,81
un,un,71
peu,peu,60
de,de,81
finance,finance,22
/.,/.,P
et,et,82
je,je,51
viens,venir,17
à,à,81
vous,vous,51
",",",",p
mon,mon,73
frère,frère,21
",",",",p
le,le,71
coeur,coeur,21
plein,plein,30
de,de,81
contrition,contrition,22
/.,/.,P
-,-,p
est,être,17
ce,ce,52
tout,tout,52
/?,/?,P
oui,oui,60
",",",",p
dit,dire,19
l',le,71
écolier,écolier,21
/.,/.,P
un,un,71
peu,peu,60
d',de,81
argent,argent,21
/.,/.,P
-,-,p
je,je,51
n',ne,60
en,en,52
ai,avoir,17
pas,pas,60
/.,/.,P
l',le,71
écolier,écolier,21
dit,dire,19
alors,alors,60
d',de,81
un,un,71
air,air,21
grave,grave,30
et,et,82
résolu,résolu,31
en,en,81
même,même,75
temps,temps,21
:,:,p
-,-,p
eh,eh,93
bien,bien,60
",",",",p
mon,mon,73
frère,frère,21
",",",",p
je,je,51
suis,être,17
fâché,fâcher,12
d',de,81
avoir,avoir,14
à,à,81
vous,vous,51
dire,dire,14
qu',que,83
on,on,51
me,je,51
fait,faire,17
d',de,81
autre,autre,75
part,part,22
de,de,81
très,très,60
belles,beau,30
offres,offre,22
et,et,82
propositions,proposition,22
/.,/.,P
vous,vous,51
ne,ne,60
voulez,vouloir,17
pas,pas,60
me,je,51
donner,donner,14
d',de,81
argent,argent,21
/?,/?,P
non,non,60
/?,/?,P
en,en,81
ce,ce,74
cas,cas,21
",",",",p
je,je,51
vais,aller,17
me,je,51
faire,faire,14
truand,truand,21
/.,/.,P
en,en,81
prononçant,prononcer,13
ce,ce,74
mot,mot,21
monstrueux,monstrueux,30
",",",",p
il,il,51
prit,prendre,19
une,un,71
mine,mine,22
d',de,81
Ajax,Ajax,20
",",",",p
s',se,51
attendant,attendre,13
à,à,81
voir,voir,14
tomber,tomber,14
la,le,71
foudre,foudre,22
sur,sur,81
sa,son,73
tête,tête,22
/.,/.,P
l',le,71
archidiacre,archidiacre,21
lui,lui,51
dit,dire,19
froidement,froidement,60
:,:,p
-,-,p
faites,faire,17
vous,vous,51
truand,truand,21
/.,/.,P
Jehan,Jehan,20
le,le,52
salua,saluer,19
profondément,profondément,60
et,et,82
redescendit,redescendre,19
l',le,71
escalier,escalier,21
cloître,cloître,21
en,en,81
sifflant,siffler,13
/.,/.,P
au,à,81
au,le,71
moment,moment,21
où,où,60
il,il,51
passait,passer,18
dans,dans,81
la,le,71
cour,cour,22
du,de,81
du,le,71
cloître,cloître,21
sous,sous,81
la,le,71
fenêtre,fenêtre,22
de,de,81
la,le,71
cellule,cellule,22
de,de,81
son,son,73
frère,frère,21
",",",",p
il,il,51
entendit,entendre,19
cette,ce,74
fenêtre,fenêtre,22
s',se,51
ouvrir,ouvrir,14
",",",",p
leva,lever,19
le,le,71
nez,nez,21
et,et,82
vit,voir,19
passer,passer,14
par,par,81
l',le,71
ouverture,ouverture,22
la,le,71
tête,tête,22
sévère,sévère,30
de,de,81
l',le,71
archidiacre,archidiacre,21
/.,/.,P
-,-,p
va,aller,17
t',tu,51
en,en,52
au,à,81
au,le,71
diable,diable,21
!,!,p
disait,dire,18
dom,dom,21
Claude,Claude,20
;,;,p
voici,voici,81
le,le,71
dernier,dernier,30
argent,argent,21
que,que,52
tu,tu,51
auras,avoir,15
de,de,81
moi,moi,51
/.,/.,P
en,en,81
même,même,75
temps,temps,21
",",",",p
le,le,71
prêtre,prêtre,21
jeta,jeter,19
à,à,81
Jehan,Jehan,20
une,un,71
bourse,bourse,22
qui,qui,52
fit,faire,19
à,à,81
l',le,71
écolier,écolier,21
une,un,71
grosse,gros,30
bosse,bosse,22
au,à,81
au,le,71
front,front,21
",",",",p
et,et,82
dont,dont,52
Jehan,Jehan,20
s',se,51
en,en,52
alla,aller,19
à,à,81
la,le,71
fois,fois,22
fâché,fâché,31
et,et,82
content,content,30
",",",",p
comme,comme,83
un,un,71
chien,chien,21
qu',que,52
on,on,51
lapiderait,lapider,16
avec,avec,81
des,de,81
des,le,71
os,os,21
à,à,81
moelle,moelle,22
/.,/.,P
<Chapitre III>,<>,<>
vive,vivre,17
la,le,71
joie,joie,22
/!,/!,P
le,le,71
lecteur,lecteur,21
n',ne,60
a,avoir,17
peut-être,peut-être,60
pas,pas,60
oublié,oublier,12
qu',que,83
une,un,71
partie,partie,22
de,de,81
la,le,71
cour,cour,22
des,de,81
des,le,71
miracles,miracle,21
était,être,18
enclose,enclore,12
par,par,81
l',le,71
ancien,ancien,30
mur,mur,21
d',de,81
enceinte,enceinte,22
de,de,81
la,le,71
ville,ville,22
",",",",p
dont,dont,52
bon,bon,30
nombre,nombre,21
de,de,81
tours,tour,22
commençaient,commencer,18
dès,dès,81
cette,ce,74
époque,époque,22
à,à,81
tomber,tomber,14
en,en,81
ruine,ruine,22
/.,/.,P
l',le,71
une,un,52
de,de,81
ces,ce,74
tours,tour,22
avait,avoir,18
été,être,12
convertie,convertir,12
en,en,81
