11435
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-neuvième extrait>,<>,<>
cherchez,chercher,17
pas,pas,60
à,à,81
vous,vous,51
jouer,jouer,14
de,de,81
la,le,71
simplicité,simplicité,22
d',de,81
une,un,71
pauvre,pauvre,30
étrangère,étrangère,22
;,;,p
mais,mais,82
donnez,donner,17
moi,moi,51
quelque,quelque,75
raison,raison,22
physique,physique,30
de,de,81
cette,ce,74
idée,idée,22
superstitieuse,superstitieux,30
",",",",p
car,car,82
",",",",p
dussiez,devoir,18
vous,vous,51
me,je,51
juger,juger,14
comme,comme,83
un,un,71
être,être,21
entièrement,entièrement,60
dénué,dénué,30
de,de,81
poésie,poésie,22
",",",",p
je,je,51
suis,être,17
très,très,60
incrédule,incrédule,30
:,:,p
le,le,71
fantastique,fantastique,21
",",",",p
le,le,71
mystérieux,mystérieux,30
",",",",p
l',le,71
occulte,occulte,30
",",",",p
l',le,71
inexplicable,inexplicable,30
ont,avoir,17
fort,fort,60
peu,peu,60
de,de,81
prise,prise,22
sur,sur,81
moi,moi,51
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
nierez,nier,15
pas,pas,60
",",",",p
miss,miss,22
Alicia,Alicia,20
",",",",p
reprit,reprendre,19
le,le,71
comte,comte,21
",",",",p
la,le,71
puissance,puissance,22
de,de,81
l',le,71
oeil,oeil,21
humain,humain,30
;,;,p
la,le,71
lumière,lumière,22
du,de,81
du,le,71
ciel,ciel,21
s',se,51
y,y,52
combine,combiner,17
avec,avec,81
le,le,71
reflet,reflet,21
de,de,81
l',le,71
âme,âme,22
;,;,p
la,le,71
prunelle,prunelle,22
est,être,17
une,un,71
lentille,lentille,22
qui,qui,52
concentre,concentrer,17
les,le,71
rayons,rayon,21
de,de,81
la,le,71
vie,vie,22
",",",",p
et,et,82
l',le,71
électricité,électricité,22
intellectuelle,intellectuel,30
jaillit,jaillir,17
par,par,81
cette,ce,74
étroite,étroit,30
ouverture,ouverture,22
:,:,p
le,le,71
regard,regard,21
d',de,81
une,un,71
femme,femme,22
ne,ne,60
traverse,traverser,17
t,t,94
il,il,51
pas,pas,60
le,le,71
coeur,coeur,21
le,le,71
plus,plus,60
dur,dur,30
/?,/?,P
le,le,71
regard,regard,21
d',de,81
un,un,71
héros,héros,21
n',ne,60
aimante,aimanter,17
t,t,94
il,il,51
pas,pas,60
toute,tout,75
une,un,71
armée,armée,22
/?,/?,P
le,le,71
regard,regard,21
du,de,81
du,le,71
médecin,médecin,21
ne,ne,60
dompte,dompter,17
t,t,94
il,il,51
pas,pas,60
le,le,71
fou,fou,21
comme,comme,83
une,un,71
douche,douche,22
froide,froid,30
/?,/?,P
le,le,71
regard,regard,21
d',de,81
une,un,71
mère,mère,22
ne,ne,60
fait,faire,17
il,il,51
pas,pas,60
reculer,reculer,14
les,le,71
lions,lion,21
/?,/?,P
-,-,p
vous,vous,51
plaidez,plaider,17
votre,votre,73
cause,cause,22
avec,avec,81
éloquence,éloquence,22
",",",",p
répondit,répondre,19
miss,miss,22
Ward,Ward,20
",",",",p
en,en,81
secouant,secouer,13
sa,son,73
jolie,joli,30
tête,tête,22
;,;,p
pardonnez,pardonner,17
moi,moi,51
s',si,83
il,il,51
me,je,51
reste,rester,17
des,de,81
des,le,71
doutes,doute,21
/.,/.,P
-,-,p
et,et,82
l',le,71
oiseau,oiseau,21
qui,qui,52
",",",",p
palpitant,palpiter,13
d',de,81
horreur,horreur,22
et,et,82
poussant,pousser,13
des,de,81
des,le,71
cris,cri,21
lamentables,lamentable,30
",",",",p
descend,descendre,17
du,de,81
du,le,71
haut,haut,21
d',de,81
un,un,71
arbre,arbre,21
",",",",p
d',de,81
où,où,60
il,il,51
pourrait,pouvoir,16
s',se,51
envoler,envoler,14
",",",",p
pour,pour,81
se,se,51
jeter,jeter,14
dans,dans,81
la,le,71
gueule,gueule,22
du,de,81
du,le,71
serpent,serpent,21
qui,qui,52
le,le,52
fascine,fasciner,17
",",",",p
obéit,obéir,19
il,il,51
à,à,81
un,un,71
préjugé,préjugé,21
?,?,p
a,avoir,17
t,t,94
il,il,51
entendu,entendre,12
",",",",p
dans,dans,81
les,le,71
nids,nid,21
",",",",p
des,de,81
des,le,71
commères,commère,22
emplumées,emplumé,31
raconter,raconter,14
des,de,81
des,le,71
histoires,histoire,22
de,de,81
jettatura,jettatura,92
/?,/?,P
-,-,p
beaucoup,beaucoup,60
d',de,81
effets,effet,21
n',ne,60
ont,avoir,17
ils,ils,51
pas,pas,60
eu,avoir,12
lieu,lieu,21
par,par,81
des,de,81
des,le,71
causes,cause,22
inappréciables,inappréciable,30
pour,pour,81
nos,notre,73
organes,organe,21
/?,/?,P
les,le,71
miasmes,miasme,21
de,de,81
la,le,71
fièvre,fièvre,22
paludéenne,paludéen,30
",",",",p
de,de,81
la,le,71
peste,peste,22
",",",",p
du,de,81
du,le,71
choléra,choléra,21
",",",",p
sont,être,17
ils,ils,51
visibles,visible,30
/?,/?,P
nul,nul,75
oeil,oeil,21
n',ne,60
aperçoit,apercevoir,17
le,le,71
fluide,fluide,21
électrique,électrique,30
sur,sur,81
la,le,71
broche,broche,22
du,de,81
du,le,71
paratonnerre,paratonnerre,21
",",",",p
et,et,82
pourtant,pourtant,60
la,le,71
foudre,foudre,22
est,être,17
soutirée,soutirer,12
/!,/!,P
qu',que,52
y,y,52
a,avoir,17
t,t,94
il,il,51
d',de,81
absurde,absurde,21
à,à,81
supposer,supposer,14
qu',que,83
il,il,51
se,se,51
dégage,dégager,17
de,de,81
ce,ce,74
disque,disque,21
noir,noir,30
",",",",p
bleu,bleu,30
ou,ou,82
gris,gris,30
",",",",p
un,un,71
rayon,rayon,21
propice,propice,30
ou,ou,82
fatal,fatal,30
/?,/?,P
pourquoi,pourquoi,60
cet,ce,74
effluve,effluve,21
ne,ne,60
serait,être,16
il,il,51
pas,pas,60
heureux,heureux,30
ou,ou,82
malheureux,malheureux,30
d',de,81
après,après,81
le,le,71
mode,mode,21
d',de,81
émission,émission,22
et,et,82
l',le,71
angle,angle,21
sous,sous,81
lequel,lequel,52
l',le,71
objet,objet,21
la,le,52
reçoit,recevoir,17
/?,/?,P
-,-,p
il,il,51
me,je,51
semble,sembler,17
",",",",p
dit,dire,17
le,le,71
commodore,commodore,21
",",",",p
que,que,83
la,le,71
théorie,théorie,22
du,de,81
du,le,71
comte,comte,21
a,avoir,17
quelque,quelque,75
chose,chose,22
de,de,81
spécieux,spécieux,30
;,;,p
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
pu,pouvoir,12
",",",",p
moi,moi,51
",",",",p
regarder,regarder,14
les,le,71
yeux,oeil,21
d',de,81
or,or,21
d',de,81
un,un,71
crapaud,crapaud,21
sans,sans,81
me,je,51
sentir,sentir,14
à,à,81
l',le,71
estomac,estomac,21
une,un,71
chaleur,chaleur,22
intolérable,intolérable,30
",",",",p
comme,comme,83
si,si,83
j',je,51
avais,avoir,18
pris,prendre,12
de,de,81
l',le,71
émétique,émétique,21
;,;,p
et,et,82
pourtant,pourtant,60
le,le,71
pauvre,pauvre,30
reptile,reptile,21
avait,avoir,18
plus,plus,60
de,de,81
raison,raison,22
de,de,81
craindre,craindre,14
que,que,83
moi,moi,51
qui,qui,52
pouvais,pouvoir,18
l',le,52
écraser,écraser,14
d',de,81
un,un,71
coup,coup,21
de,de,81
talon,talon,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
mon,mon,73
oncle,oncle,21
!,!,p
si,si,83
vous,vous,51
vous,vous,51
mettez,mettre,17
avec,avec,81
monsieur,monsieur,21
d',de,81
Altavilla,Altavilla,20
",",",",p
fit,faire,19
miss,miss,22
Ward,Ward,20
",",",",p
je,je,51
vais,aller,17
être,être,14
battue,battre,12
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
de,de,81
force,force,22
à,à,81
lutter,lutter,14
/.,/.,P
quoique,quoique,83
j',je,51
eusse,avoir,18
peut-être,peut-être,60
bien,bien,60
des,de,81
des,le,71
choses,chose,22
à,à,81
objecter,objecter,14
contre,contre,81
cette,ce,74
électricité,électricité,22
oculaire,oculaire,30
dont,dont,52
aucun,aucun,75
physicien,physicien,21
n',ne,60
a,avoir,17
parlé,parler,12
",",",",p
je,je,51
veux,vouloir,17
bien,bien,60
admettre,admettre,14
son,son,73
existence,existence,22
pour,pour,81
un,un,71
instant,instant,21
",",",",p
mais,mais,82
quelle,quel,75
efficacité,efficacité,22
peuvent,pouvoir,17
avoir,avoir,14
pour,pour,81
se,se,51
préserver,préserver,14
de,de,81
leurs,leur,73
funestes,funeste,30
effets,effet,21
les,le,71
immenses,immense,30
cornes,corne,22
dont,dont,52
vous,vous,51
m',je,51
avez,avoir,17
gratifiée,gratifier,12
/?,/?,P
-,-,p
de,de,81
même,même,60
que,que,83
le,le,71
paratonnerre,paratonnerre,21
avec,avec,81
sa,son,73
pointe,pointe,22
soutire,soutirer,17
la,le,71
foudre,foudre,22
",",",",p
répondit,répondre,19
Altavilla,Altavilla,20
",",",",p
ainsi,ainsi,60
les,le,71
pitons,piton,21
aigus,aigu,30
de,de,81
ces,ce,74
cornes,corne,22
sur,sur,81
lesquelles,lequel,52
se,se,51
fixe,fixer,17
le,le,71
regard,regard,21
du,de,81
du,le,71
jettatore,jettatore,92
détournent,détourner,17
le,le,71
fluide,fluide,21
malfaisant,malfaisant,30
et,et,82
le,le,52
dépouillent,dépouiller,17
de,de,81
sa,son,73
dangereuse,dangereux,30
électricité,électricité,22
/.,/.,P
les,le,71
doigts,doigt,21
tendus,tendu,31
en,en,81
avant,avant,21
et,et,82
les,le,71
amulettes,amulette,22
de,de,81
corail,corail,21
rendent,rendre,17
le,le,71
même,même,75
service,service,21
/.,/.,P
-,-,p
tout,tout,52
ce,ce,52
que,que,52
vous,vous,51
me,je,51
contez,conter,17
là,là,60
est,être,17
bien,bien,60
fou,fou,30
",",",",p
monsieur,monsieur,21
le,le,71
comte,comte,21
",",",",p
reprit,reprendre,19
miss,miss,22
Ward,Ward,20
;,;,p
et,et,82
voici,voici,81
ce,ce,52
que,que,52
j',je,51
y,y,52
crois,croire,17
comprendre,comprendre,14
:,:,p
selon,selon,81
vous,vous,51
",",",",p
je,je,51
serais,être,16
sous,sous,81
le,le,71
coup,coup,21
du,de,81
du,le,71
fascino,fascino,92
d',de,81
un,un,71
jettatore,jettatore,92
bien,bien,60
dangereux,dangereux,30
;,;,p
et,et,82
vous,vous,51
m',je,51
avez,avoir,17
envoyé,envoyer,12
des,de,81
des,le,71
cornes,corne,22
comme,comme,83
moyen,moyen,21
de,de,81
défense,défense,22
/?,/?,P
-,-,p
je,je,51
le,le,52
crains,craindre,17
",",",",p
miss,miss,22
Alicia,Alicia,20
",",",",p
répondit,répondre,19
le,le,71
comte,comte,21
avec,avec,81
un,un,71
ton,ton,21
de,de,81
conviction,conviction,22
profonde,profond,30
/.,/.,P
-,-,p
il,il,51
ferait,faire,16
beau,beau,60
voir,voir,14
",",",",p
s',se,51
écria,écrier,19
le,le,71
commodore,commodore,21
",",",",p
qu',que,83
un,un,52
de,de,81
ces,ce,74
drôles,drôle,21
à,à,81
l',le,71
oeil,oeil,21
louche,louche,30
essayât,essayer,18
de,de,81
fasciner,fasciner,14
ma,mon,73
nièce,nièce,22
/!,/!,P
quoique,quoique,83
j',je,51
aie,avoir,17
dépassé,dépasser,12
la,le,71
soixantaine,soixantaine,22
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
encore,encore,60
oublié,oublier,12
mes,mon,73
leçons,leçon,22
de,de,81
boxe,boxe,22
/.,/.,P
“,“,p
et,et,82
il,il,51
fermait,fermer,18
son,son,73
poing,poing,21
en,en,81
serrant,serrer,13
le,le,71
pouce,pouce,21
contre,contre,81
les,le,71
doigts,doigt,21
pliés,plié,31
/.,/.,P
“,“,p
deux,deux,72
doigts,doigt,21
suffisent,suffire,17
",",",",p
milord,milord,21
",",",",p
dit,dire,17
Altavilla,Altavilla,20
en,en,81
faisant,faire,13
prendre,prendre,14
à,à,81
la,le,71
main,main,22
du,de,81
du,le,71
commodore,commodore,21
la,le,71
position,position,22
voulue,voulu,31
/.,/.,P
le,le,71
plus,plus,60
ordinairement,ordinairement,60
la,le,71
jettatura,jettatura,92
est,être,17
involontaire,involontaire,30
;,;,p
elle,il,51
s',se,51
exerce,exercer,17
à,à,81
l',le,71
insu,insu,21
de,de,81
ceux,celui,52
qui,qui,52
possèdent,posséder,17
ce,ce,74
don,don,21
fatal,fatal,30
",",",",p
et,et,82
souvent,souvent,60
même,même,60
",",",",p
lorsque,lorsque,83
les,le,71
jettatori,jettatori,92
arrivent,arriver,17
à,à,81
la,le,71
conscience,conscience,22
de,de,81
leur,leur,73
funeste,funeste,30
pouvoir,pouvoir,21
",",",",p
ils,ils,51
en,en,52
déplorent,déplorer,17
les,le,71
effets,effet,21
plus,plus,60
que,que,83
personne,personne,52
;,;,p
il,il,51
faut,falloir,17
donc,donc,82
les,le,52
éviter,éviter,14
et,et,82
non,non,60
les,le,52
maltraiter,maltraiter,14
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
avec,avec,81
les,le,71
cornes,corne,22
",",",",p
les,le,71
doigts,doigt,21
en,en,81
pointe,pointe,22
",",",",p
les,le,71
branches,branche,22
de,de,81
corail,corail,21
bifurquées,bifurqué,31
",",",",p
on,on,51
peut,pouvoir,17
neutraliser,neutraliser,14
ou,ou,82
du,de,81
du,le,71
moins,moins,60
atténuer,atténuer,14
leur,leur,73
influence,influence,22
/.,/.,P
-,-,p
en,en,81
vérité,vérité,22
",",",",p
c',ce,52
est,être,17
fort,fort,60
étrange,étrange,30
",",",",p
dit,dire,17
le,le,71
commodore,commodore,21
",",",",p
que,que,52
le,le,71
sang-froid,sang-froid,21
d',de,81
Altavilla,Altavilla,20
impressionnait,impressionner,18
malgré,malgré,81
lui,lui,51
/.,/.,P
-,-,p
je,je,51
ne,ne,60
me,je,51
savais,savoir,18
pas,pas,60
si,si,60
fort,fort,60
obsédée,obsédé,31
par,par,81
les,le,71
jettatori,jettatori,92
;,;,p
je,je,51
ne,ne,60
quitte,quitter,17
guère,guère,60
cette,ce,74
terrasse,terrasse,22
",",",",p
si,si,83
ce,ce,52
n',ne,60
est,être,17
pour,pour,81
aller,aller,14
faire,faire,14
",",",",p
le,le,71
soir,soir,21
",",",",p
un,un,71
tour,tour,21
en,en,81
calèche,calèche,22
le,le,71
long,long,21
de,de,81
la,le,71
Villa,Villa,20
Reale,Reale,20
",",",",p
avec,avec,81
mon,mon,73
oncle,oncle,21
",",",",p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
remarqué,remarquer,12
qui,qui,52
pût,pouvoir,18
donner,donner,14
lieu,lieu,21
à,à,81
votre,votre,73
supposition,supposition,22
",",",",p
dit,dit,31
la,le,71
jeune,jeune,30
fille,fille,22
dont,dont,52
la,le,71
curiosité,curiosité,22
s',se,51
éveillait,éveiller,18
",",",",p
quoique,quoique,83
son,son,73
incrédulité,incrédulité,22
fût,être,19
toujours,toujours,60
la,le,71
même,même,52
/.,/.,P
sur,sur,81
qui,qui,52
se,se,51
portent,porter,17
vos,votre,73
soupçons,soupçon,21
/?,/?,P
-,-,p
ce,ce,52
ne,ne,60
sont,être,17
pas,pas,60
des,de,81
des,le,71
soupçons,soupçon,21
",",",",p
miss,miss,22
Ward,Ward,20
;,;,p
ma,mon,73
certitude,certitude,22
est,être,17
complète,complet,30
",",",",p
répondit,répondre,19
le,le,71
jeune,jeune,30
comte,comte,21
napolitain,napolitain,30
/.,/.,P
-,-,p
de,de,81
grâce,grâce,22
",",",",p
révélez,révéler,17
nous,nous,51
le,le,71
nom,nom,21
de,de,81
cet,ce,74
être,être,21
fatal,fatal,30
!,!,p
“,“,p
dit,dire,17
miss,miss,21
Ward,Ward,20
avec,avec,81
une,un,71
légère,léger,30
nuance,nuance,22
de,de,81
moquerie,moquerie,22
/.,/.,P
Altavilla,Altavilla,20
garda,garder,19
le,le,71
silence,silence,21
/.,/.,P
“,“,p
il,il,51
est,être,17
bon,bon,30
de,de,81
savoir,savoir,14
de,de,81
qui,qui,52
l',l',94
on,on,51
doit,devoir,17
se,se,51
défier,défier,14
",",",",p
“,“,p
ajouta,ajouter,19
le,le,71
commodore,commodore,21
/.,/.,P
le,le,71
jeune,jeune,30
comte,comte,21
napolitain,napolitain,30
parut,paraître,19
se,se,51
recueillir,recueillir,14
;,;,p
-,-,p
puis,puis,60
il,il,51
se,se,51
leva,lever,19
",",",",p
s',se,51
arrêta,arrêter,19
devant,devant,81
l',le,71
oncle,oncle,21
de,de,81
miss,miss,21
Ward,Ward,20
",",",",p
lui,lui,51
fit,faire,19
un,un,71
salut,salut,21
respectueux,respectueux,30
et,et,82
lui,lui,51
dit,dire,19
:,:,p
“,“,p
milord,milord,21
Ward,Ward,20
",",",",p
je,je,51
vous,vous,51
demande,demander,17
la,le,71
main,main,22
de,de,81
votre,votre,73
nièce,nièce,22
/.,/.,P
“,“,p
à,à,81
cette,ce,74
phrase,phrase,22
inattendue,inattendu,30
",",",",p
Alicia,Alicia,20
devint,devenir,19
toute,tout,52
rose,rose,30
",",",",p
et,et,82
le,le,71
commodore,commodore,21
passa,passer,19
du,de,81
du,le,71
rouge,rouge,21
à,à,81
l',le,71
écarlate,écarlate,30
/.,/.,P
certes,certes,60
",",",",p
le,le,71
comte,comte,21
Altavilla,Altavilla,20
pouvait,pouvoir,18
prétendre,prétendre,14
à,à,81
la,le,71
main,main,22
de,de,81
miss,miss,22
Ward,Ward,20
;,;,p
il,il,51
appartenait,appartenir,18
à,à,81
une,un,52
des,de,81
des,le,71
plus,plus,60
anciennes,ancien,30
et,et,82
plus,plus,60
nobles,noble,30
familles,famille,22
de,de,81
Naples,Naples,20
;,;,p
il,il,51
était,être,18
beau,beau,30
",",",",p
jeune,jeune,30
",",",",p
riche,riche,30
",",",",p
très,très,60
bien,bien,60
en,en,81
cour,cour,22
",",",",p
parfaitement,parfaitement,60
élevé,élevé,31
",",",",p
d',de,81
une,un,71
élégance,élégance,22
irréprochable,irréprochable,30
;,;,p
sa,son,73
demande,demande,22
",",",",p
en,en,81
elle-même,lui-même,51
",",",",p
n',ne,60
avait,avoir,18
donc,donc,82
rien,rien,52
de,de,81
choquant,choquant,30
;,;,p
mais,mais,82
elle,il,51
venait,venir,18
d',de,81
une,un,71
manière,manière,22
si,si,60
soudaine,soudain,30
",",",",p
si,si,60
étrange,étrange,30
;,;,p
elle,il,51
ressortait,ressortir,18
si,si,83
peu,peu,60
de,de,81
la,le,71
conversation,conversation,22
entamée,entamé,31
",",",",p
que,que,83
la,le,71
stupéfaction,stupéfaction,22
de,de,81
l',le,71
oncle,oncle,21
et,et,82
de,de,81
la,le,71
nièce,nièce,22
était,être,18
tout,tout,60
à,à,81
fait,fait,21
convenable,convenable,30
/.,/.,P
aussi,aussi,60
Altavilla,Altavilla,20
n',ne,60
en,en,52
parut,paraître,19
il,il,51
ni,ni,82
surpris,surpris,31
ni,ni,82
découragé,découragé,31
",",",",p
et,et,82
attendit,attendre,19
il,il,51
la,le,71
réponse,réponse,22
de,de,81
pied,pied,21
ferme,ferme,30
/.,/.,P
“,“,p
mon,mon,73
cher,cher,30
comte,comte,21
",",",",p
dit,dire,17
enfin,enfin,60
le,le,71
commodore,commodore,21
",",",",p
un,un,71
peu,peu,60
remis,remis,31
de,de,81
son,son,73
trouble,trouble,21
",",",",p
votre,votre,73
proposition,proposition,22
m',je,51
étonne,étonner,17
-,-,p
autant,autant,60
qu',que,83
elle,il,51
m',je,51
honore,honorer,17
/.,/.,P
-,-,p
en,en,81
vérité,vérité,22
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
que,que,83
vous,vous,51
répondre,répondre,14
;,;,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
consulté,consulter,12
ma,mon,73
nièce,nièce,22
/.,/.,P
-,-,p
on,on,51
parlait,parler,18
de,de,81
fascino,fascino,92
",",",",p
de,de,81
jettatura,jettatura,92
",",",",p
de,de,81
cornes,corne,22
",",",",p
d',de,81
amulettes,amulette,22
",",",",p
de,de,81
mains,main,22
ouvertes,ouvert,31
ou,ou,82
fermées,fermé,31
",",",",p
de,de,81
toutes,tout,75
sortes,sorte,22
de,de,81
choses,chose,22
qui,qui,52
n',ne,60
ont,avoir,17
aucun,aucun,75
rapport,rapport,21
au,à,81
au,le,71
mariage,mariage,21
",",",",p
et,et,82
puis,puis,60
voilà,voilà,81
que,que,83
vous,vous,51
me,je,51
demandez,demander,17
la,le,71
main,main,22
d',de,81
Alicia,Alicia,20
/!,/!,P
-,-,p
cela,cela,52
ne,ne,60
se,se,51
suit,suivre,17
pas,pas,60
du,de,81
du,le,71
tout,tout,21
",",",",p
et,et,82
vous,vous,51
ne,ne,60
m',je,51
en,en,52
voudrez,vouloir,15
pas,pas,60
si,si,83
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
des,de,81
des,le,71
idées,idée,22
bien,bien,60
nettes,net,30
à,à,81
ce,ce,74
sujet,sujet,21
/.,/.,P
cette,ce,74
union,union,22
serait,être,16
à,à,81
coup,coup,21
sûr,sûr,30
très,très,60
convenable,convenable,30
",",",",p
mais,mais,82
je,je,51
croyais,croire,18
que,que,83
ma,mon,73
nièce,nièce,22
avait,avoir,18
d',de,81
autres,autre,75
intentions,intention,22
/.,/.,P
il,il,51
est,être,17
vrai,vrai,30
qu',que,83
un,un,71
vieux,vieux,30
loup,loup,21
de,de,81
mer,mer,22
comme,comme,83
moi,moi,51
ne,ne,60
lit,lire,17
pas,pas,60
bien,bien,60
couramment,couramment,60
dans,dans,81
le,le,71
coeur,coeur,21
des,de,81
des,le,71
jeunes,jeune,30
filles,fille,22
/…,/…,P
“,“,p
Alicia,Alicia,20
",",",",p
voyant,voir,13
son,son,73
oncle,oncle,21
s',se,51
embrouiller,embrouiller,14
",",",",p
profita,profiter,19
du,de,81
du,le,71
temps,temps,21
d',de,81
arrêt,arrêt,21
qu',que,52
il,il,51
prit,prendre,19
après,après,81
sa,son,73
dernière,dernier,30
phrase,phrase,22
pour,pour,81
faire,faire,14
cesser,cesser,14
une,un,71
scène,scène,22
qui,qui,52
devenait,devenir,18
gênante,gênant,30
",",",",p
et,et,82
dit,dire,17
au,à,81
au,le,71
Napolitain,Napolitain,20
:,:,p
“,“,p
comte,comte,21
",",",",p
lorsqu',lorsque,83
un,un,71
galant,galant,30
homme,homme,21
demande,demander,17
loyalement,loyalement,60
la,le,71
main,main,22
d',de,81
une,un,71
honnête,honnête,30
jeune,jeune,22
fille,fille,22
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
lieu,lieu,21
pour,pour,81
elle,il,51
de,de,81
s',se,51
offenser,offenser,14
",",",",p
mais,mais,82
elle,il,51
a,avoir,17
droit,droit,21
d',de,81
être,être,14
étonnée,étonner,12
de,de,81
la,le,71
forme,forme,22
bizarre,bizarre,30
donnée,donné,31
à,à,81
cette,ce,74
demande,demande,22
/.,/.,P
je,je,51
vous,vous,51
priais,prier,18
de,de,81
me,je,51
dire,dire,14
le,le,71
nom,nom,21
du,de,81
du,le,71
prétendu,prétendu,31
jettatore,jettatore,92
dont,dont,52
l',le,71
influence,influence,22
peut,pouvoir,17
",",",",p
selon,selon,81
vous,vous,51
",",",",p
m',je,51
être,être,14
nuisible,nuisible,30
",",",",p
et,et,82
vous,vous,51
faites,faire,17
brusquement,brusquement,60
à,à,81
mon,mon,73
oncle,oncle,21
une,un,71
proposition,proposition,22
dont,dont,52
je,je,51
ne,ne,60
démêle,démêler,17
pas,pas,60
le,le,71
motif,motif,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
",",",",p
répondit,répondre,19
Altavilla,Altavilla,20
",",",",p
qu',que,83
un,un,71
gentilhomme,gentilhomme,21
ne,ne,60
se,se,51
fait,faire,17
pas,pas,60
volontiers,volontiers,60
dénonciateur,dénonciateur,30
",",",",p
et,et,82
qu',que,83
un,un,71
mari,mari,21
seul,seul,30
peut,pouvoir,17
défendre,défendre,14
sa,son,73
femme,femme,22
/.,/.,P
mais,mais,82
prenez,prendre,17
quelques,quelque,75
jours,jour,21
pour,pour,81
réfléchir,réfléchir,14
/.,/.,P
jusque-là,jusque-là,81
",",",",p
les,le,71
cornes,corne,22
exposées,exposé,31
d',de,81
une,un,71
façon,façon,22
bien,bien,60
visible,visible,30
suffiront,suffire,15
",",",",p
je,je,51
l',le,52
espère,espérer,17
",",",",p
à,à,81
vous,vous,51
garantir,garantir,14
de,de,81
tout,tout,75
événement,événement,21
fâcheux,fâcheux,30
/.,/.,P
“,“,p
cela,cela,52
dit,dit,31
",",",",p
le,le,71
comte,comte,21
se,se,51
leva,lever,19
et,et,82
sortit,sortir,19
après,après,81
avoir,avoir,14
salué,saluer,12
profondément,profondément,60
/.,/.,P
Vicè,Vicè,20
",",",",p
la,le,71
fauve,fauve,30
servante,servante,22
aux,à,81
aux,le,71
cheveux,cheveu,21
crépus,crépu,30
",",",",p
qui,qui,52
venait,venir,18
pour,pour,81
emporter,emporter,14
la,le,71
théière,théière,22
et,et,82
les,le,71
tasses,tasse,22
",",",",p
avait,avoir,18
",",",",p
en,en,81
montant,monter,13
lentement,lentement,60
l',le,71
escalier,escalier,21
de,de,81
la,le,71
terrasse,terrasse,22
",",",",p
entendu,entendre,12
la,le,71
fin,fin,22
de,de,81
la,le,71
conversation,conversation,22
;,;,p
elle,il,51
nourrissait,nourrir,18
contre,contre,81
Paul,Paul,20
d',de,81
Aspremont,Aspremont,20
toute,tout,75
l',le,71
aversion,aversion,22
qu',que,52
une,un,71
paysanne,paysanne,22
des,de,81
des,le,71
Abruzzes,Abruzze,20
apprivoisée,apprivoisé,31
à,à,81
peine,peine,22
par,par,81
deux,deux,72
ou,ou,82
trois,trois,72
ans,an,21
de,de,81
domesticité,domesticité,22
",",",",p
peut,pouvoir,17
avoir,avoir,14
à,à,81
l',le,71
endroit,endroit,21
d',de,81
un,un,71
forestiere,forestiere,92
soupçonné,soupçonné,31
de,de,81
jettature,jettature,92
;,;,p
elle,il,51
trouvait,trouver,18
d',de,81
ailleurs,ailleurs,60
le,le,71
comte,comte,21
Altavilla,Altavilla,20
superbe,superbe,30
",",",",p
et,et,82
ne,ne,60
concevait,concevoir,18
pas,pas,60
que,que,83
miss,miss,21
Ward,Ward,20
pût,pouvoir,18
lui,lui,51
préférer,préférer,14
un,un,71
jeune,jeune,30
homme,homme,21
chétif,chétif,30
et,et,82
pâle,pâle,30
dont,dont,52
elle,il,51
",",",",p
Vicè,Vicè,20
",",",",p
n',ne,60
eût,avoir,19
pas,pas,60
voulu,vouloir,12
",",",",p
quand,quand,83
même,même,60
il,il,51
n',ne,60
aurait,avoir,16
pas,pas,60
eu,avoir,12
le,le,71
fascino,fascino,92
/.,/.,P
aussi,aussi,60
",",",",p
n',ne,60
appréciant,apprécier,13
pas,pas,60
la,le,71
délicatesse,délicatesse,22
de,de,81
procédé,procédé,21
du,de,81
du,le,71
comte,comte,21
",",",",p
et,et,82
désirant,désirer,13
soustraire,soustraire,14
sa,son,73
maîtresse,maîtresse,22
",",",",p
qu',que,83
elle,il,51
aimait,aimer,18
",",",",p
à,à,81
une,un,71
nuisible,nuisible,30
influence,influence,22
",",",",p
Vicè,Vicè,20
se,se,51
pencha,pencher,19
vers,vers,81
l',le,71
oreille,oreille,22
de,de,81
miss,miss,21
Ward,Ward,20
et,et,82
lui,lui,51
dit,dire,19
:,:,p
“,“,p
le,le,71
nom,nom,21
que,que,83
vous,vous,51
cache,cache,21
le,le,71
comte,comte,21
Altavilla,Altavilla,20
",",",",p
je,je,51
le,le,52
sais,savoir,17
",",",",p
