11776
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-huitième extrait>,<>,<>
sur,sur,81
une,un,71
aussi,aussi,60
belle,beau,30
occasion,occasion,22
/.,/.,P
il,il,51
eut,avoir,19
des,de,81
des,le,71
mots,mot,21
sublimes,sublime,30
/.,/.,P
ce,ce,52
fut,être,19
dans,dans,81
le,le,71
cabinet,cabinet,21
du,de,81
du,le,71
maire,maire,21
que,que,83
le,le,71
président,président,21
de,de,81
la,le,71
commission,commission,22
provisoire,provisoire,30
reçut,recevoir,19
la,le,71
députation,députation,22
de,de,81
la,le,71
ville,ville,22
neuve,neuf,30
/.,/.,P
ces,ce,74
messieurs,monsieur,21
",",",",p
après,après,81
avoir,avoir,14
rendu,rendre,12
hommage,hommage,21
à,à,81
son,son,73
patriotisme,patriotisme,21
",",",",p
le,le,52
supplièrent,supplier,19
de,de,81
ne,ne,60
pas,pas,60
songer,songer,14
à,à,81
la,le,71
résistance,résistance,22
/.,/.,P
mais,mais,82
lui,lui,51
",",",",p
d',de,81
une,un,71
voix,voix,22
haute,haut,30
",",",",p
parla,parler,19
du,de,81
du,le,71
devoir,devoir,21
",",",",p
de,de,81
la,le,71
patrie,patrie,22
",",",",p
de,de,81
l',le,71
ordre,ordre,21
",",",",p
de,de,81
la,le,71
liberté,liberté,22
",",",",p
et,et,82
d',de,81
autres,autre,75
choses,chose,22
encore,encore,60
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
il,il,51
ne,ne,60
forçait,forcer,18
personne,personne,52
à,à,81
l',le,52
imiter,imiter,14
;,;,p
il,il,51
accomplissait,accomplir,18
simplement,simplement,60
ce,ce,52
que,que,52
sa,son,73
conscience,conscience,22
",",",",p
son,son,73
coeur,coeur,21
lui,lui,51
dictaient,dicter,18
/.,/.,P
-,-,p
vous,vous,51
le,le,52
voyez,voir,17
",",",",p
messieurs,monsieur,21
",",",",p
je,je,51
suis,être,17
seul,seul,30
",",",",p
dit,dire,19
il,il,51
en,en,81
terminant,terminer,13
/.,/.,P
je,je,51
veux,vouloir,17
prendre,prendre,14
toute,tout,75
la,le,71
responsabilité,responsabilité,22
pour,pour,81
que,que,83
nul,nul,75
autre,autre,52
que,que,52
moi,moi,51
ne,ne,60
soit,être,17
compromis,compromettre,12
/.,/.,P
et,et,82
",",",",p
s',si,83
il,il,51
faut,falloir,17
une,un,71
victime,victime,22
",",",",p
je,je,51
m',je,51
offre,offrir,17
de,de,81
bon,bon,30
coeur,coeur,21
;,;,p
je,je,51
désire,désirer,17
que,que,83
le,le,71
sacrifice,sacrifice,21
de,de,81
ma,mon,73
vie,vie,22
sauve,sauf,30
celle,celui,52
des,de,81
des,le,71
habitants,habitant,21
/.,/.,P
un,un,71
notaire,notaire,21
",",",",p
la,le,71
forte,fort,30
tête,tête,22
de,de,81
la,le,71
bande,bande,22
",",",",p
lui,lui,51
fit,faire,19
remarquer,remarquer,14
qu',que,83
il,il,51
courait,courir,18
à,à,81
une,un,71
mort,mort,22
certaine,certain,30
/.,/.,P
-,-,p
je,je,51
le,le,52
sais,savoir,17
",",",",p
reprit,reprendre,19
il,il,51
gravement,gravement,60
/.,/.,P
je,je,51
suis,être,17
prêt,prêt,30
/!,/!,P
ces,ce,74
messieurs,monsieur,21
se,se,51
regardèrent,regarder,19
/.,/.,P
ce,ce,74
“,“,p
je,je,51
suis,être,17
prêt,prêt,30
!,!,p
les,le,52
cloua,clouer,19
d',de,81
admiration,admiration,22
/.,/.,P
décidément,décidément,60
",",",",p
cet,ce,74
homme,homme,21
était,être,18
un,un,71
brave,brave,21
/.,/.,P
le,le,71
notaire,notaire,21
le,le,52
conjura,conjurer,19
d',de,81
appeler,appeler,14
à,à,81
lui,lui,51
les,le,71
gendarmes,gendarme,21
;,;,p
mais,mais,82
il,il,51
répondit,répondre,19
que,que,83
le,le,71
sang,sang,21
de,de,81
ces,ce,74
soldats,soldat,21
était,être,18
précieux,précieux,30
et,et,82
qu',que,83
il,il,51
ne,ne,60
le,le,52
ferait,faire,16
couler,couler,14
qu',que,83
à,à,81
la,le,71
dernière,dernier,30
extrémité,extrémité,22
/.,/.,P
la,le,71
députation,députation,22
se,se,51
retira,retirer,19
lentement,lentement,60
",",",",p
très,très,60
émue,ému,31
/.,/.,P
une,un,71
heure,heure,22
après,après,81
",",",",p
Plassans,Plassans,20
traitait,traiter,18
Rougon,Rougon,20
de,de,81
héros,héros,21
;,;,p
les,le,71
plus,plus,60
poltrons,poltron,21
l',le,52
appelaient,appeler,18
“,“,p
un,un,71
vieux,vieux,30
fou,fou,21
/.,/.,P
“,“,p
vers,vers,81
le,le,71
soir,soir,21
",",",",p
Rougon,Rougon,20
fut,être,19
très,très,60
étonné,étonner,12
de,de,81
voir,voir,14
accourir,accourir,14
Granoux,Granoux,20
/.,/.,P
l',le,71
ancien,ancien,30
marchand,marchand,21
d',de,81
amandes,amande,22
se,se,51
jeta,jeter,19
dans,dans,81
ses,son,73
bras,bras,21
",",",",p
en,en,81
l',le,52
appelant,appeler,13
“,“,p
grand,grand,30
homme,homme,21
",",",",p
“,“,p
et,et,82
en,en,81
lui,lui,51
disant,dire,13
qu',que,83
il,il,51
voulait,vouloir,18
mourir,mourir,14
avec,avec,81
lui,lui,51
/.,/.,P
le,le,71
“,“,p
je,je,51
suis,être,17
prêt,prêt,30
!,!,p
que,que,52
sa,son,73
bonne,bonne,22
venait,venir,18
de,de,81
lui,lui,51
rapporter,rapporter,14
de,de,81
chez,chez,81
la,le,71
fruitière,fruitière,22
",",",",p
l',le,52
avait,avoir,18
réellement,réellement,60
enthousiasmé,enthousiasmer,12
/.,/.,P
au,à,81
au,le,71
fond,fond,21
de,de,81
ce,ce,74
peureux,peureux,30
",",",",p
de,de,81
ce,ce,74
grotesque,grotesque,30
",",",",p
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
naïvetés,naïveté,22
charmantes,charmant,30
/.,/.,P
Pierre,Pierre,20
le,le,52
garda,garder,19
",",",",p
pensant,penser,13
qu',que,83
il,il,51
ne,ne,60
tirait,tirer,18
pas,pas,60
à,à,81
conséquence,conséquence,22
/.,/.,P
il,il,51
fut,être,19
même,même,60
touché,toucher,12
du,de,81
du,le,71
dévouement,dévouement,21
du,de,81
du,le,71
pauvre,pauvre,30
homme,homme,21
;,;,p
il,il,51
se,se,51
promit,promettre,19
de,de,81
le,le,52
faire,faire,14
complimenter,complimenter,14
publiquement,publiquement,60
par,par,81
le,le,71
préfet,préfet,21
",",",",p
ce,ce,52
qui,qui,52
ferait,faire,16
crever,crever,14
de,de,81
dépit,dépit,21
les,le,71
autres,autre,75
bourgeois,bourgeois,21
",",",",p
qui,qui,52
l',le,52
avaient,avoir,18
si,si,60
lâchement,lâchement,60
abandonné,abandonner,12
/.,/.,P
et,et,82
tous,tout,75
deux,deux,72
ils,ils,51
attendirent,attendre,19
la,le,71
nuit,nuit,22
dans,dans,81
la,le,71
mairie,mairie,22
déserte,désert,30
/.,/.,P
à,à,81
la,le,71
même,même,75
heure,heure,22
",",",",p
Aristide,Aristide,20
se,se,51
promenait,promener,18
chez,chez,81
lui,lui,51
d',de,81
un,un,71
air,air,21
profondément,profondément,60
inquiet,inquiet,30
/.,/.,P
l',le,71
article,article,21
de,de,81
Vuillet,Vuillet,20
l',le,52
avait,avoir,18
surpris,surprendre,12
/.,/.,P
l',le,71
attitude,attitude,22
de,de,81
son,son,73
père,père,21
le,le,52
stupéfiait,stupéfier,18
/.,/.,P
il,il,51
venait,venir,18
de,de,81
l',le,52
apercevoir,apercevoir,14
à,à,81
une,un,71
fenêtre,fenêtre,22
",",",",p
en,en,81
cravate,cravate,22
blanche,blanc,30
",",",",p
en,en,81
redingote,redingote,22
noire,noir,30
",",",",p
si,si,60
calme,calme,30
à,à,81
l',le,71
approche,approche,22
du,de,81
du,le,71
danger,danger,21
",",",",p
que,que,83
toutes,tout,75
ses,son,73
idées,idée,22
étaient,être,18
bouleversées,bouleverser,12
dans,dans,81
sa,son,73
pauvre,pauvre,30
tête,tête,22
/.,/.,P
pourtant,pourtant,60
les,le,71
insurgés,insurgé,21
revenaient,revenir,18
victorieux,victorieux,30
",",",",p
c',ce,52
était,être,18
la,le,71
croyance,croyance,22
de,de,81
la,le,71
ville,ville,22
entière,entier,30
/.,/.,P
mais,mais,82
des,de,81
des,le,71
doutes,doute,21
lui,lui,51
venaient,venir,18
",",",",p
il,il,51
flairait,flairer,18
quelque,quelque,75
farce,farce,22
lugubre,lugubre,30
/.,/.,P
n',ne,60
osant,oser,13
plus,plus,60
se,se,51
présenter,présenter,14
chez,chez,81
ses,son,73
parents,parent,21
",",",",p
il,il,51
y,y,52
avait,avoir,18
envoyé,envoyer,12
sa,son,73
femme,femme,22
/.,/.,P
quand,quand,83
Angèle,Angèle,20
revint,revenir,19
",",",",p
elle,il,51
lui,lui,51
dit,dire,19
de,de,81
sa,son,73
voix,voix,22
traînante,traînant,30
:,:,p
-,-,p
ta,ton,73
mère,mère,22
t',tu,51
attend,attendre,17
:,:,p
elle,il,51
n',ne,60
est,être,17
pas,pas,60
en,en,81
colère,colère,22
du,de,81
du,le,71
tout,tout,21
",",",",p
mais,mais,82
elle,il,51
a,avoir,17
l',le,71
air,air,21
de,de,81
se,se,51
moquer,moquer,14
joliment,joliment,60
de,de,81
toi,toi,51
/.,/.,P
elle,il,51
m',je,51
a,avoir,17
répété,répéter,12
à,à,81
plusieurs,plusieurs,75
reprises,reprise,22
que,que,83
tu,tu,51
pouvais,pouvoir,18
remettre,remettre,14
ton,ton,73
écharpe,écharpe,22
dans,dans,81
ta,ton,73
poche,poche,22
/.,/.,P
Aristide,Aristide,20
fut,être,19
horriblement,horriblement,60
vexé,vexer,12
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
il,il,51
courut,courir,19
à,à,81
la,le,71
rue,rue,22
de,de,81
la,le,71
Banne,Banne,20
",",",",p
prêt,prêt,30
aux,à,81
aux,le,71
plus,plus,60
humbles,humble,30
soumissions,soumission,22
/.,/.,P
sa,son,73
mère,mère,22
se,se,51
contenta,contenter,19
de,de,81
l',le,52
accueillir,accueillir,14
avec,avec,81
des,de,81
des,le,71
rires,rire,21
de,de,81
dédain,dédain,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
mon,mon,73
pauvre,pauvre,30
garçon,garçon,21
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
en,en,81
l',le,52
apercevant,apercevoir,13
",",",",p
tu,tu,51
n',ne,60
es,être,17
décidément,décidément,60
pas,pas,60
fort,fort,30
/.,/.,P
-,-,p
est,être,17
ce,ce,52
qu',que,83
on,on,51
sait,savoir,17
",",",",p
dans,dans,81
un,un,71
trou,trou,21
comme,comme,83
Plassans,Plassans,20
!,!,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
avec,avec,81
dépit,dépit,21
/.,/.,P
j',je,51
y,y,52
deviens,devenir,17
bête,bête,30
",",",",p
ma,mon,73
parole,parole,22
d',de,81
honneur,honneur,21
/.,/.,P
pas,pas,60
une,un,71
nouvelle,nouvelle,22
",",",",p
et,et,82
l',l',94
on,on,51
grelotte,grelotter,17
/.,/.,P
c',ce,52
est,être,17
d',de,81
être,être,14
enfermé,enfermer,12
dans,dans,81
ces,ce,74
gredins,gredin,21
de,de,81
remparts,rempart,21
/…,/…,P
ah,ah,93
!,!,p
si,si,83
j',je,51
avais,avoir,18
pu,pouvoir,12
suivre,suivre,14
Eugène,Eugène,20
à,à,81
Paris,Paris,20
/!,/!,P
puis,puis,60
",",",",p
amèrement,amèrement,60
",",",",p
voyant,voir,13
que,que,83
Félicité,Félicité,20
continuait,continuer,18
à,à,81
rire,rire,14
:,:,p
-,-,p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
été,être,12
gentille,gentil,30
avec,avec,81
moi,moi,51
",",",",p
ma,mon,73
mère,mère,22
/.,/.,P
je,je,51
sais,savoir,17
bien,bien,60
des,de,81
des,le,71
choses,chose,22
",",",",p
allez,aller,17
/…,/…,P
mon,mon,73
frère,frère,21
vous,vous,51
tenait,tenir,18
au,à,81
au,le,71
courant,courant,21
de,de,81
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
",",",",p
et,et,82
jamais,jamais,60
vous,vous,51
ne,ne,60
m',je,51
avez,avoir,17
donné,donner,12
la,le,71
moindre,moindre,30
indication,indication,22
utile,utile,30
/.,/.,P
-,-,p
tu,tu,51
sais,savoir,17
cela,cela,52
?,?,p
toi,toi,51
",",",",p
dit,dire,19
Félicité,Félicité,20
devenue,devenu,31
sérieuse,sérieux,30
et,et,82
méfiante,méfiant,30
/.,/.,P
eh,eh,93
bien,bien,60
",",",",p
tu,tu,51
es,être,17
alors,alors,60
moins,moins,60
bête,bête,30
que,que,83
je,je,51
ne,ne,60
croyais,croire,18
/.,/.,P
est,être,17
ce,ce,52
que,que,83
tu,tu,51
décachetterais,décacheter,16
les,le,71
lettres,lettre,22
",",",",p
comme,comme,83
quelqu'un,quelqu'un,52
de,de,81
ma,mon,73
connaissance,connaissance,22
/?,/?,P
non,non,60
",",",",p
mais,mais,82
j',je,51
écoute,écouter,17
aux,à,81
aux,le,71
portes,porte,22
",",",",p
répondit,répondre,19
Aristide,Aristide,20
avec,avec,81
un,un,71
grand,grand,30
aplomb,aplomb,21
/.,/.,P
cette,ce,74
franchise,franchise,22
ne,ne,60
déplut,déplaire,19
pas,pas,60
à,à,81
la,le,71
vieille,vieux,30
femme,femme,22
/.,/.,P
elle,il,51
se,se,51
remit,remettre,19
à,à,81
sourire,sourire,14
",",",",p
et,et,82
",",",",p
plus,plus,60
douce,doux,30
:,:,p
-,-,p
alors,alors,60
",",",",p
bêta,bêta,30
",",",",p
demanda,demander,19
t,t,94
elle,il,51
",",",",p
comment,comment,60
se,se,51
fait,faire,17
il,il,51
que,que,83
tu,tu,51
ne,ne,60
te,tu,51
sois,être,17
pas,pas,60
rallié,rallier,12
plus,plus,60
tôt,tôt,60
/?,/?,P
ah,ah,93
!,!,p
voilà,voilà,81
",",",",p
dit,dire,19
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
embarrassé,embarrassé,31
/.,/.,P
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
grande,grand,30
confiance,confiance,22
en,en,81
vous,vous,51
/.,/.,P
vous,vous,51
receviez,recevoir,18
de,de,81
telles,tel,75
brutes,brute,22
:,:,p
mon,mon,73
beau-père,beau-père,21
",",",",p
Granoux,Granoux,20
et,et,82
les,le,71
autres,autre,52
!,!,p
et,et,82
puis,puis,60
je,je,51
ne,ne,60
voulais,vouloir,18
pas,pas,60
trop,trop,60
m',je,51
avancer,avancer,14
/…,/…,P
il,il,51
hésitait,hésiter,18
/.,/.,P
il,il,51
reprit,reprendre,19
d',de,81
une,un,71
voix,voix,22
inquiète,inquiet,30
:,:,p
-,-,p
aujourd'hui,aujourd'hui,60
",",",",p
vous,vous,51
êtes,être,17
bien,bien,60
sûre,sûr,30
au,à,81
au,le,71
moins,moins,60
du,de,81
du,le,71
succès,succès,21
du,de,81
du,le,71
coup,coup,21
d',de,81
Etat,état,21
/?,/?,P
moi,moi,51
?,?,p
s',se,51
écria,écrier,19
Félicité,Félicité,20
",",",",p
que,que,52
les,le,71
doutes,doute,21
de,de,81
son,son,73
fils,fils,21
blessaient,blesser,18
",",",",p
mais,mais,82
je,je,51
ne,ne,60
suis,être,17
sûre,sûr,30
de,de,81
rien,rien,52
/.,/.,P
-,-,p
vous,vous,51
m',je,51
avez,avoir,17
pourtant,pourtant,60
fait,faire,12
dire,dire,14
d',de,81
ôter,ôter,14
mon,mon,73
écharpe,écharpe,22
/?,/?,P
oui,oui,60
",",",",p
parce que,parce que,83
tous,tout,75
ces,ce,74
messieurs,monsieur,21
se,se,51
moquent,moquer,17
de,de,81
toi,toi,51
/.,/.,P
Aristide,Aristide,20
resta,rester,19
planté,planté,31
sur,sur,81
ses,son,73
pieds,pied,21
",",",",p
le,le,71
regard,regard,21
perdu,perdu,31
",",",",p
semblant,sembler,13
contempler,contempler,14
un,un,52
des,de,81
des,le,71
ramages,ramage,21
du,de,81
du,le,71
papier,papier,21
orange,orange,30
/.,/.,P
sa,son,73
mère,mère,22
fut,être,19
prise,prendre,12
d',de,81
une,un,71
brusque,brusque,30
impatience,impatience,22
à,à,81
le,le,52
voir,voir,14
ainsi,ainsi,60
hésitant,hésiter,13
/.,/.,P
-,-,p
tiens,tenir,17
",",",",p
dit,dire,19
elle,il,51
",",",",p
j',je,51
en,en,52
reviens,revenir,17
à,à,81
ma,mon,73
première,premier,72
opinion,opinion,22
:,:,p
tu,tu,51
n',ne,60
es,être,17
pas,pas,60
fort,fort,30
/.,/.,P
et,et,82
tu,tu,51
aurais,avoir,16
voulu,vouloir,12
qu',que,83
on,on,51
te,tu,51
fît,faire,18
lire,lire,14
les,le,71
lettres,lettre,22
d',de,81
Eugène,Eugène,20
/!,/!,P
mais,mais,82
",",",",p
malheureux,malheureux,30
",",",",p
avec,avec,81
tes,ton,73
continuelles,continuel,30
incertitudes,incertitude,22
",",",",p
tu,tu,51
aurais,avoir,16
tout,tout,52
gâté,gâter,12
/.,/.,P
tu,tu,51
es,être,17
là,là,60
à,à,81
hésiter,hésiter,14
/…,/…,P
moi,moi,51
",",",",p
j',je,51
hésite,hésiter,17
?,?,p
interrompit,interrompre,19
il,il,51
en,en,81
jetant,jeter,13
sur,sur,81
sa,son,73
mère,mère,22
un,un,71
regard,regard,21
clair,clair,30
et,et,82
froid,froid,30
/.,/.,P
ah,ah,93
!,!,p
bien,bien,60
",",",",p
vous,vous,51
ne,ne,60
me,je,51
connaissez,connaître,17
pas,pas,60
/.,/.,P
je,je,51
mettrais,mettre,16
le,le,71
feu,feu,21
à,à,81
la,le,71
ville,ville,22
si,si,83
j',je,51
avais,avoir,18
envie,envie,22
de,de,81
me,je,51
chauffer,chauffer,14
les,le,71
pieds,pied,21
/.,/.,P
mais,mais,82
comprenez,comprendre,17
donc,donc,82
que,que,83
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
faire,faire,14
fausse,faux,30
route,route,22
/!,/!,P
je,je,51
suis,être,17
las,las,30
de,de,81
manger,manger,14
mon,mon,73
pain,pain,21
dur,dur,30
",",",",p
et,et,82
j',je,51
entends,entendre,17
tricher,tricher,14
la,le,71
fortune,fortune,22
/.,/.,P
je,je,51
ne,ne,60
jouerai,jouer,15
qu',que,83
à,à,81
coup,coup,21
sûr,sûr,30
/.,/.,P
il,il,51
avait,avoir,18
prononcé,prononcer,12
ces,ce,74
paroles,parole,22
avec,avec,81
une,un,71
telle,tel,75
âpreté,âpreté,22
",",",",p
que,que,83
sa,son,73
mère,mère,22
",",",",p
dans,dans,81
cet,ce,74
appétit,appétit,21
brûlant,brûlant,30
du,de,81
du,le,71
succès,succès,21
",",",",p
reconnut,reconnaître,19
le,le,71
cri,cri,21
de,de,81
son,son,73
sang,sang,21
/.,/.,P
elle,il,51
murmura,murmurer,19
:,:,p
-,-,p
ton,ton,73
père,père,21
a,avoir,17
bien,bien,60
du,de,81
du,le,71
courage,courage,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
",",",",p
dit,dire,19
il,il,51
en,en,81
ricanant,ricaner,13
/.,/.,P
il,il,51
a,avoir,17
une,un,71
bonne,bon,30
tête,tête,22
/.,/.,P
il,il,51
m',je,51
a,avoir,17
rappelé,rappeler,12
Léonidas,Léonidas,20
aux,à,81
aux,le,71
Thermopyles,Thermopyles,20
/…,/…,P
est,être,17
ce,ce,52
que,que,83
c',ce,52
est,être,17
toi,toi,51
",",",",p
mère,mère,22
",",",",p
qui,qui,52
lui,lui,51
as,avoir,17
fait,faire,12
cette,ce,74
figure,figure,22
là,là,60
/?,/?,P
et,et,82
",",",",p
gaiement,gaiement,60
",",",",p
avec,avec,81
un,un,71
geste,geste,21
résolu,résolu,31
:,:,p
-,-,p
tant,tant,60
pis,pis,60
!,!,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
",",",",p
je,je,51
suis,être,17
bonapartiste,bonapartiste,30
!,!,p
papa,papa,21
n',ne,60
est,être,17
pas,pas,60
un,un,71
homme,homme,21
à,à,81
se,se,51
faire,faire,14
tuer,tuer,14
sans,sans,81
que,que,83
ça,ça,52
lui,lui,51
rapporte,rapporter,17
gros,gros,60
/.,/.,P
-,-,p
et,et,82
tu,tu,51
as,avoir,17
raison,raison,22
",",",",p
dit,dire,19
sa,son,73
mère,mère,22
;,;,p
je,je,51
ne,ne,60
puis,pouvoir,17
parler,parler,14
",",",",p
mais,mais,82
tu,tu,51
verras,voir,15
demain,demain,60
/.,/.,P
il,il,51
n',ne,60
insista,insister,19
pas,pas,60
",",",",p
il,il,51
lui,lui,51
jura,jurer,19
qu',que,83
elle,il,51
serait,être,16
bientôt,bientôt,60
glorieuse,glorieux,30
de,de,81
lui,lui,51
",",",",p
et,et,82
il,il,51
s',se,51
en,en,52
alla,aller,19
",",",",p
tandis que,tandis que,83
Félicité,Félicité,20
",",",",p
sentant,sentir,13
se,se,51
réveiller,réveiller,14
ses,son,73
anciennes,ancien,30
préférences,préférence,22
",",",",p
se,se,51
disait,dire,18
à,à,81
la,le,71
fenêtre,fenêtre,22
",",",",p
en,en,81
le,le,52
regardant,regarder,13
s',se,51
éloigner,éloigner,14
",",",",p
qu',que,83
il,il,51
avait,avoir,18
un,un,71
esprit,esprit,21
de,de,81
tous,tout,75
les,le,71
diables,diable,21
",",",",p
et,et,82
que,que,83
jamais,jamais,60
elle,il,51
n',ne,60
aurait,avoir,16
eu,avoir,12
le,le,71
courage,courage,21
de,de,81
le,le,52
laisser,laisser,14
partir,partir,14
sans,sans,81
le,le,52
mettre,mettre,14
enfin,enfin,60
dans,dans,81
la,le,71
bonne,bon,30
voie,voie,22
/.,/.,P
pour,pour,81
la,le,71
troisième,troisième,72
fois,fois,22
",",",",p
la,le,71
nuit,nuit,22
",",",",p
la,le,71
nuit,nuit,22
pleine,plein,30
d',de,81
angoisse,angoisse,22
",",",",p
tombait,tomber,18
sur,sur,81
Plassans,Plassans,20
/.,/.,P
la,le,71
ville,ville,22
agonisante,agonisant,30
en,en,52
était,être,18
aux,à,81
aux,le,71
derniers,dernier,30
râles,râle,21
/.,/.,P
les,le,71
bourgeois,bourgeois,21
rentraient,rentrer,18
rapidement,rapidement,60
chez,chez,81
eux,ils,51
",",",",p
les,le,71
portes,porte,22
se,se,51
barricadaient,barricader,18
avec,avec,81
un,un,71
grand,grand,30
bruit,bruit,21
de,de,81
boulons,boulon,21
et,et,82
de,de,81
barres,barre,22
de,de,81
fer,fer,21
/.,/.,P
le,le,71
sentiment,sentiment,21
général,général,30
semblait,sembler,18
être,être,14
que,que,83
Plassans,Plassans,20
n',ne,60
existerait,exister,16
plus,plus,60
le,le,71
lendemain,lendemain,21
",",",",p
qu',que,52
il,il,51
se,se,51
serait,être,16
abîmé,abîmer,12
sous,sous,81
terre,terre,22
ou,ou,82
évaporé,évaporer,12
dans,dans,81
le,le,71
ciel,ciel,21
/.,/.,P
quand,quand,83
Rougon,Rougon,20
rentra,rentrer,19
pour,pour,81
dîner,dîner,14
",",",",p
il,il,51
trouva,trouver,19
les,le,71
rues,rue,22
absolument,absolument,60
désertes,désert,30
/.,/.,P
cette,ce,74
solitude,solitude,22
le,le,52
rendit,rendre,19
triste,triste,30
et,et,82
mélancolique,mélancolique,30
/.,/.,P
aussi,aussi,60
",",",",p
à,à,81
la,le,71
fin,fin,22
du,de,81
du,le,71
repas,repas,21
",",",",p
eut,avoir,19
il,il,51
une,un,71
faiblesse,faiblesse,22
",",",",p
et,et,82
demanda,demander,19
t,t,94
il,il,51
à,à,81
sa,son,73
femme,femme,22
s',si,83
il,il,51
était,être,18
nécessaire,nécessaire,30
de,de,81
donner,donner,14
suite,suite,22
à,à,81
l',le,71
insurrection,insurrection,22
que,que,52
Macquart,Macquart,20
préparait,préparer,18
/.,/.,P
-,-,p
on,on,51
ne,ne,60
clabaude,clabauder,17
plus,plus,60
",",",",p
dit,dire,19
il,il,51
/.,/.,P
si,si,83
tu,tu,51
avais,avoir,18
vu,voir,12
ces,ce,74
messieurs,monsieur,21
de,de,81
la,le,71
ville,ville,22
neuve,neuf,30
",",",",p
comme,comme,83
ils,ils,51
m',je,51
ont,avoir,17
salué,saluer,12
/!,/!,P
ça,ça,52
ne,ne,60
me,je,51
paraît,paraître,17
guère,guère,60
utile,utile,30
maintenant,maintenant,60
de,de,81
tuer,tuer,14
du,de,81
du,le,71
monde,monde,21
/.,/.,P
hein,hein,93
!,!,p
qu',que,52
en,en,52
penses,penser,17
tu,tu,51
/?,/?,P
nous,nous,51
ferons,faire,15
notre,notre,73
pelote,pelote,22
sans,sans,81
cela,cela,52
/.,/.,P
-,-,p
ah,ah,93
!,!,p
quel,quel,75
mollasse,mollasse,21
tu,tu,51
es,être,17
!,!,p
s',se,51
écria,écrier,19
Félicité,Félicité,20
avec,avec,81
colère,colère,22
/.,/.,P
c',ce,52
est,être,17
toi,toi,51
qui,qui,52
as,avoir,17
eu,avoir,12
l',le,71
idée,idée,22
",",",",p
et,et,82
voilà,voilà,81
que,que,83
tu,tu,51
recules,reculer,17
/!,/!,P
je,je,51
te,tu,51
dis,dire,17
que,que,83
tu,tu,51
ne,ne,60
feras,faire,15
jamais,jamais,60
rien,rien,52
sans,sans,81
moi,moi,51
!,!,p
va,aller,17
donc,donc,82
",",",",p
va,aller,17
donc,donc,82
ton,ton,73
chemin,chemin,21
/.,/.,P
est,être,17
ce,ce,52
que,que,83
les,le,71
républicains,républicain,21
t',tu,51
épargneraient,épargner,16
s',si,83
ils,ils,51
te,tu,51
tenaient,tenir,18
/?,/?,P
Rougon,Rougon,20
",",",",p
de,de,81
retour,retour,21
à,à,81
la,le,71
mairie,mairie,22
",",",",p
prépara,préparer,19
le,le,71
guet-apens,guet-apens,21
/.,/.,P
Granoux,Granoux,20
lui,lui,51
fut,être,19
d',de,81
une,un,71
grande,grand,30
utilité,utilité,22
/.,/.,P
il,il,51
l',le,52
envoya,envoyer,19
porter,porter,14
ses,son,73
ordres,ordre,21
aux,à,81
aux,le,71
différents,différent,30
postes,poste,21
qui,qui,52
gardaient,garder,18
les,le,71
remparts,rempart,21
;,;,p
les,le,71
gardes,garde,21
nationaux,national,30
devaient,devoir,18
se,se,51
rendre,rendre,14
à,à,81
l',le,71
hôtel,hôtel,21
de,de,81
ville,ville,22
",",",",p
par,par,81
petits,petit,30
groupes,groupe,21
",",",",p
le,le,71
plus,plus,60
secrètement,secrètement,60
possible,possible,30
/.,/.,P
Roudier,Roudier,20
",",",",p
ce,ce,74
bourgeois,bourgeois,21
parisien,parisien,30
égaré,égaré,31
en,en,81
province,province,22
",",",",p
qui,qui,52
aurait,avoir,16
pu,pouvoir,12
gâter,gâter,14
l',le,71
affaire,affaire,22
en,en,81
prêchant,prêcher,13
l',le,71
humanité,humanité,22
",",",",p
ne,ne,60
fut,être,19
même,même,60
pas,pas,60
averti,avertir,12
/.,/.,P
vers,vers,81
onze,onze,72
heures,heure,22
",",",",p
la,le,71
cour,cour,22
de,de,81
la,le,71
mairie,mairie,22
était,être,18
pleine,plein,30
de,de,81
gardes,garde,21
nationaux,national,30
/.,/.,P
Rougon,Rougon,20
les,le,52
épouvanta,épouvanter,19
;,;,p
il,il,51
leur,leur,52
dit,dire,19
que,que,83
les,le,71
républicains,républicain,21
restés,resté,31
à,à,81
Plassans,Plassans,20
allaient,aller,18
tenter,tenter,14
un,un,71
coup,coup,21
de,de,81
main,main,22
désespéré,désespéré,31
",",",",p
et,et,82
il,il,51
se,se,51
fit,faire,19
un,un,71
mérite,mérite,21
d',de,81
