11659
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Centième extrait>,<>,<>
mariée,marier,12
/.,/.,P
en,en,81
allant,aller,13
dans,dans,81
le,le,71
monde,monde,21
Malvina,Malvina,20
avait,avoir,18
fini,finir,12
par,par,81
remarquer,remarquer,14
combien,combien,60
les,le,71
relations,relation,22
y,y,52
sont,être,17
superficielles,superficiel,30
",",",",p
combien,combien,60
tout,tout,52
y,y,52
est,être,17
examiné,examiner,12
",",",",p
défini,définir,12
/.,/.,P
semblable,semblable,30
à,à,81
la,le,71
plupart,plupart,22
des,de,81
des,le,71
filles,fille,22
dites,dit,31
bien,bien,60
élevées,élevé,31
",",",",p
Malvina,Malvina,20
ignorait,ignorer,18
le,le,71
mécanisme,mécanisme,21
de,de,81
la,le,71
vie,vie,22
",",",",p
l',le,71
importance,importance,22
de,de,81
la,le,71
fortune,fortune,22
",",",",p
la,le,71
difficulté,difficulté,22
d',de,81
acquérir,acquérir,14
la,le,71
moindre,moindre,30
monnaie,monnaie,22
",",",",p
le,le,71
prix,prix,21
des,de,81
des,le,71
choses,chose,22
/.,/.,P
aussi,aussi,60
",",",",p
pendant,pendant,81
ces,ce,74
six,six,72
années,année,22
",",",",p
chaque,chaque,75
enseignement,enseignement,21
avait,avoir,18
il,il,51
été,être,12
une,un,71
blessure,blessure,22
pour,pour,81
elle,il,51
/.,/.,P
les,le,71
quatre,quatre,72
cent,cent,72
mille,mille,72
francs,franc,21
laissés,laissé,31
par,par,81
feu,feu,21
d',de,81
Aldrigger,Aldrigger,20
à,à,81
la,le,71
maison,maison,22
Nucingen,Nucingen,20
furent,être,19
portés,porter,12
au,à,81
au,le,71
crédit,crédit,21
de,de,81
la,le,71
baronne,baronne,22
",",",",p
car,car,82
la,le,71
succession,succession,22
de,de,81
son,son,73
mari,mari,21
lui,lui,51
redevait,redevoir,18
douze,douze,72
cent,cent,72
mille,mille,72
francs,franc,21
;,;,p
et,et,82
dans,dans,81
les,le,71
moments,moment,21
de,de,81
gêne,gêne,22
",",",",p
la,le,71
bergère,bergère,22
des,de,81
des,le,71
Alpes,Alpe,20
y,y,52
puisait,puiser,18
comme,comme,83
dans,dans,81
une,un,71
caisse,caisse,22
inépuisable,inépuisable,30
/.,/.,P
au,à,81
au,le,71
moment,moment,21
où,où,60
notre,notre,73
pigeon,pigeon,21
s',se,51
avançait,avancer,18
vers,vers,81
sa,son,73
colombe,colombe,22
",",",",p
Nucingen,Nucingen,20
",",",",p
connaissant,connaître,13
le,le,71
caractère,caractère,21
de,de,81
son,son,73
ancienne,ancien,30
patronne,patronne,22
",",",",p
avait,avoir,18
dû,devoir,12
s',se,51
ouvrir,ouvrir,14
à,à,81
Malvina,Malvina,20
sur,sur,81
la,le,71
situation,situation,22
financière,financier,30
où,où,60
la,le,71
veuve,veuve,22
se,se,51
trouvait,trouver,18
:,:,p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
plus,plus,60
que,que,83
trois,trois,72
cent,cent,72
mille,mille,72
francs,franc,21
chez,chez,81
lui,lui,51
",",",",p
les,le,71
vingt,vingt,72
quatre,quatre,72
mille,mille,72
livres,livre,22
de,de,81
rente,rente,22
se,se,51
trouvaient,trouver,18
donc,donc,82
réduites,réduit,31
à,à,81
dix,dix,72
huit,huit,72
mille,mille,72
/.,/.,P
Wirth,Wirth,20
avait,avoir,18
maintenu,maintenir,12
la,le,71
position,position,22
pendant,pendant,81
trois,trois,72
ans,an,21
/!,/!,P
après,après,81
la,le,71
confidence,confidence,22
du,de,81
du,le,71
banquier,banquier,21
",",",",p
les,le,71
chevaux,cheval,21
furent,être,19
réformés,réformer,12
",",",",p
la,le,71
voiture,voiture,22
fut,être,19
vendue,vendre,12
et,et,82
le,le,71
cocher,cocher,21
congédié,congédier,12
par,par,81
Malvina,Malvina,20
",",",",p
à,à,81
l',le,71
insu,insu,21
de,de,81
sa,son,73
mère,mère,22
/.,/.,P
le,le,71
mobilier,mobilier,21
de,de,81
l',le,71
hôtel,hôtel,21
",",",",p
qui,qui,52
comptait,compter,18
dix,dix,72
années,année,22
d',de,81
existence,existence,22
",",",",p
ne,ne,60
put,pouvoir,19
être,être,14
renouvelé,renouveler,12
",",",",p
mais,mais,82
tout,tout,52
s',se,51
était,être,18
fané,faner,12
en,en,81
même,même,75
temps,temps,21
/.,/.,P
pour,pour,81
ceux,celui,52
qui,qui,52
aiment,aimer,17
l',le,71
harmonie,harmonie,22
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
que,que,83
demi-mal,demi-mal,21
/.,/.,P
la,le,71
baronne,baronne,22
",",",",p
cette,ce,74
fleur,fleur,22
si,si,60
bien,bien,60
conservée,conservé,31
",",",",p
avait,avoir,18
pris,prendre,12
l',le,71
aspect,aspect,21
d',de,81
une,un,71
rose,rose,22
froide,froid,30
et,et,82
grippée,grippé,31
qui,qui,52
reste,rester,17
unique,unique,30
dans,dans,81
un,un,71
buisson,buisson,21
au,à,81
au,le,71
milieu,milieu,21
de,de,81
novembre,novembre,21
/.,/.,P
moi,moi,51
qui,qui,52
vous,vous,51
parle,parler,17
",",",",p
j',je,51
ai,avoir,17
vu,voir,12
cette,ce,74
opulence,opulence,22
se,se,51
dégradant,dégrader,13
par,par,81
teintes,teinte,22
",",",",p
par,par,81
demi-tons,demi-ton,21
/!,/!,P
effroyable,effroyable,30
!,!,p
parole,parole,22
d',de,81
honneur,honneur,21
/.,/.,P
c',ce,52
a,avoir,17
été,être,12
mon,mon,73
dernier,dernier,30
chagrin,chagrin,21
/.,/.,P
après,après,81
je,je,51
me,je,51
suis,être,17
dit,dire,12
:,:,p
c',ce,52
est,être,17
bête,bête,30
de,de,81
prendre,prendre,14
tant,tant,60
d',de,81
intérêt,intérêt,21
aux,à,81
aux,le,71
autres,autre,52
/!,/!,P
pendant,pendant,81
que,que,83
j',je,51
étais,être,18
employé,employer,12
",",",",p
j',je,51
avais,avoir,18
la,le,71
sottise,sottise,22
de,de,81
m',je,51
intéresser,intéresser,14
à,à,81
toutes,tout,75
les,le,71
maisons,maison,22
où,où,60
je,je,51
dînais,dîner,18
",",",",p
je,je,51
les,le,52
défendais,défendre,18
en,en,81
cas,cas,21
de,de,81
médisance,médisance,22
",",",",p
je,je,51
ne,ne,60
les,le,52
calomniais,calomnier,18
pas,pas,60
",",",",p
je,je,51
/…,/…,P
oh,oh,93
!,!,p
j',je,51
étais,être,18
un,un,71
enfant,enfant,21
/.,/.,P
quand,quand,83
sa,son,73
fille,fille,22
lui,lui,51
eut,avoir,19
expliqué,expliquer,12
sa,son,73
position,position,22
",",",",p
la,le,52
ci-devant,ci-devant,60
perle,perle,22
s',se,51
écria,écrier,19
:,:,p
-,-,p
mes,mon,73
pauvres,pauvre,30
enfants,enfant,21
!,!,p
qui,qui,52
donc,donc,82
me,je,51
fera,faire,15
mes,mon,73
robes,robe,22
/?,/?,P
je,je,51
ne,ne,60
pourrai,pouvoir,15
donc,donc,82
plus,plus,60
avoir,avoir,14
de,de,81
bonnets,bonnet,21
frais,frais,30
",",",",p
ni,ni,82
recevoir,recevoir,14
",",",",p
ni,ni,82
aller,aller,14
dans,dans,81
le,le,71
monde,monde,21
/!,/!,P
à,à,81
quoi,quoi,52
pensez,penser,17
vous,vous,51
que,que,83
se,se,51
reconnaisse,reconnaître,17
l',le,71
amour,amour,21
chez,chez,81
un,un,71
homme,homme,21
?,?,p
dit,dire,19
Bixiou,Bixiou,20
en,en,81
s',se,51
interrompant,interrompre,13
",",",",p
il,il,51
s',se,51
agit,agir,17
de,de,81
savoir,savoir,14
si,si,83
Beaudenord,Beaudenord,20
était,être,18
vraiment,vraiment,60
amoureux,amoureux,30
de,de,81
cette,ce,74
petite,petit,30
blonde,blonde,22
/.,/.,P
-,-,p
il,il,51
néglige,négliger,17
ses,son,73
affaires,affaire,22
",",",",p
répondit,répondre,19
Couture,Couture,20
/.,/.,P
-,-,p
il,il,51
met,mettre,17
trois,trois,72
chemises,chemise,22
par,par,81
jour,jour,21
",",",",p
dit,dire,19
Finot,Finot,20
/.,/.,P
-,-,p
une,un,71
question,question,22
préalable,préalable,30
?,?,p
dit,dire,19
Blondet,Blondet,20
",",",",p
un,un,71
homme,homme,21
supérieur,supérieur,30
peut,pouvoir,17
il,il,51
et,et,82
doit,devoir,17
il,il,51
être,être,14
amoureux,amoureux,30
/?,/?,P
mes,mon,73
amis,ami,21
",",",",p
reprit,reprendre,19
Bixiou,Bixiou,20
d',de,81
un,un,71
air,air,21
sentimental,sentimental,30
",",",",p
gardons,garder,17
nous,nous,51
comme,comme,83
d',de,81
une,un,71
bête,bête,22
venimeuse,venimeux,30
de,de,81
l',le,71
homme,homme,21
qui,qui,52
",",",",p
se,se,51
sentant,sentir,13
pris,pris,31
d',de,81
amour,amour,21
pour,pour,81
une,un,71
femme,femme,22
",",",",p
fait,faire,17
claquer,claquer,14
ses,son,73
doigts,doigt,21
ou,ou,82
jette,jeter,17
son,son,73
cigare,cigare,21
en,en,81
disant,dire,13
:,:,p
bah,bah,93
!,!,p
il,il,51
y,y,52
en,en,52
a,avoir,17
d',de,81
autres,autre,52
dans,dans,81
le,le,71
monde,monde,21
/!,/!,P
mais,mais,82
le,le,71
gouvernement,gouvernement,21
peut,pouvoir,17
employer,employer,14
ce,ce,74
citoyen,citoyen,21
dans,dans,81
le,le,71
ministère,ministère,21
des,de,81
des,le,71
affaires,affaire,22
étrangères,étranger,30
/.,/.,P
Blondet,Blondet,20
",",",",p
je,je,51
te,tu,51
fais,faire,17
observer,observer,14
que,que,83
ce,ce,74
Godefroid,Godefroid,20
avait,avoir,18
quitté,quitter,12
la,le,71
diplomatie,diplomatie,22
/.,/.,P
-,-,p
hé,hé,93
!,!,p
bien,bien,60
",",",",p
il,il,51
a,avoir,17
été,être,12
absorbé,absorber,12
",",",",p
l',le,71
amour,amour,21
est,être,17
la,le,71
seule,seul,30
chance,chance,22
qu',que,52
aient,avoir,17
les,le,71
sots,sot,21
pour,pour,81
se,se,51
grandir,grandir,14
",",",",p
répondit,répondre,19
Blondet,Blondet,20
/.,/.,P
-,-,p
Blondet,Blondet,20
",",",",p
Blondet,Blondet,20
",",",",p
pourquoi,pourquoi,60
donc,donc,82
sommes,être,17
nous,nous,51
si,si,60
pauvres,pauvre,30
?,?,p
s',se,51
écria,écrier,19
Bixiou,Bixiou,20
/.,/.,P
-,-,p
et,et,82
pourquoi,pourquoi,60
Finot,Finot,20
est,être,17
il,il,51
riche,riche,30
?,?,p
reprit,reprendre,19
Blondet,Blondet,20
",",",",p
je,je,51
te,tu,51
le,le,52
dirai,dire,15
",",",",p
va,aller,17
",",",",p
mon,mon,73
fils,fils,21
",",",",p
nous,nous,51
nous,nous,51
entendons,entendre,17
/.,/.,P
allons,aller,17
",",",",p
voilà,voilà,81
Finot,Finot,20
qui,qui,52
me,je,51
verse,verser,17
à,à,81
boire,boire,14
comme,comme,83
si,si,83
j',je,51
avais,avoir,18
monté,monter,12
son,son,73
bois,bois,21
/.,/.,P
mais,mais,82
à,à,81
la,le,71
fin,fin,22
d',de,81
un,un,71
dîner,dîner,21
",",",",p
on,on,51
doit,devoir,17
siroter,siroter,14
le,le,71
vin,vin,21
/.,/.,P
eh,eh,93
!,!,p
bien,bien,60
/?,/?,P
tu,tu,51
l',le,52
as,avoir,17
dit,dire,12
",",",",p
l',le,71
absorbé,absorbé,31
Godefroid,Godefroid,20
fit,faire,19
ample,ample,30
connaissance,connaissance,22
avec,avec,81
la,le,71
grande,grand,30
Malvina,Malvina,20
",",",",p
la,le,71
légère,léger,30
baronne,baronne,22
et,et,82
la,le,71
petite,petit,30
danseuse,danseuse,22
/.,/.,P
il,il,51
tomba,tomber,19
dans,dans,81
le,le,71
servantisme,servantisme,21
le,le,71
plus,plus,60
minutieux,minutieux,30
et,et,82
le,le,71
plus,plus,60
astringent,astringent,30
/.,/.,P
ces,ce,74
restes,reste,21
d',de,81
une,un,71
opulence,opulence,22
cadavéreuse,cadavéreux,30
ne,ne,60
l',le,52
effrayèrent,effrayer,19
pas,pas,60
/.,/.,P
ah,ah,93
!,!,p
bah,bah,93
!,!,p
il,il,51
s',se,51
habitua,habituer,19
par,par,81
degrés,degré,21
à,à,81
toutes,tout,75
ces,ce,74
guenilles,guenille,22
/.,/.,P
jamais,jamais,60
le,le,71
lampasse,lampasse,21
vert,vert,30
à,à,81
ornements,ornement,21
blancs,blanc,30
du,de,81
du,le,71
salon,salon,21
ne,ne,60
devait,devoir,18
paraître,paraître,14
à,à,81
ce,ce,74
garçon,garçon,21
ni,ni,82
passé,passé,21
",",",",p
ni,ni,82
vieux,vieux,30
",",",",p
ni,ni,82
taché,taché,31
",",",",p
ni,ni,82
bon,bon,30
à,à,81
remplacer,remplacer,14
/.,/.,P
les,le,71
rideaux,rideau,21
",",",",p
la,le,71
table,table,22
à,à,81
thé,thé,21
",",",",p
les,le,71
chinoiseries,chinoiserie,22
étalées,étalé,31
sur,sur,81
la,le,71
cheminée,cheminée,22
",",",",p
le,le,71
lustre,lustre,21
rococo,rococo,21
",",",",p
le,le,71
tapis,tapis,21
façon,façon,22
cachemire,cachemire,21
qui,qui,52
montrait,montrer,18
la,le,71
corde,corde,22
",",",",p
le,le,71
piano,piano,21
",",",",p
le,le,71
petit,petit,30
service,service,21
fleureté,fleureté,31
",",",",p
les,le,71
serviettes,serviette,22
frangées,frangé,31
et,et,82
aussi,aussi,60
trouées,troué,31
à,à,81
l',le,71
espagnole,espagnol,30
",",",",p
le,le,71
salon,salon,21
de,de,81
Perse,Perse,20
qui,qui,52
précédait,précéder,18
la,le,71
chambre,chambre,22
à,à,81
coucher,coucher,14
bleue,bleu,30
de,de,81
la,le,71
baronne,baronne,22
",",",",p
avec,avec,81
ses,son,73
accessoires,accessoire,21
",",",",p
tout,tout,52
lui,lui,51
fut,être,19
saint,saint,30
et,et,82
sacré,sacrer,12
/.,/.,P
les,le,71
femmes,femme,22
stupides,stupide,30
et,et,82
chez,chez,81
qui,qui,52
la,le,71
beauté,beauté,22
brille,briller,17
de,de,81
manière,manière,22
à,à,81
laisser,laisser,14
dans,dans,81
l',le,71
ombre,ombre,22
l',le,71
esprit,esprit,21
",",",",p
le,le,71
coeur,coeur,21
",",",",p
l',le,71
âme,âme,22
",",",",p
peuvent,pouvoir,17
seules,seul,30
inspirer,inspirer,14
de,de,81
pareils,pareil,30
oublis,oubli,21
",",",",p
car,car,82
une,un,71
femme,femme,22
d',de,81
esprit,esprit,21
n',ne,60
abuse,abuser,17
jamais,jamais,60
de,de,81
ses,son,73
avantages,avantage,21
",",",",p
il,il,51
faut,falloir,17
être,être,14
petite,petite,22
et,et,82
sotte,sotte,22
pour,pour,81
s',se,51
emparer,emparer,14
d',de,81
un,un,71
homme,homme,21
/.,/.,P
Beaudenord,Beaudenord,20
",",",",p
il,il,51
me,je,51
l',le,52
a,avoir,17
dit,dire,12
",",",",p
aimait,aimer,18
le,le,71
vieux,vieux,30
et,et,82
solennel,solennel,30
Wirth,Wirth,20
/!,/!,P
ce,ce,74
vieux,vieux,30
drôle,drôle,21
avait,avoir,18
pour,pour,81
son,son,73
futur,futur,30
maître,maître,21
le,le,71
respect,respect,21
d',de,81
un,un,71
croyant,croyant,21
catholique,catholique,30
pour,pour,81
l',le,71
Eucharistie,Eucharistie,20
/.,/.,P
cet,ce,74
honnête,honnête,30
Wirth,Wirth,20
était,être,18
un,un,71
Gaspard,Gaspard,20
allemand,allemand,30
",",",",p
un,un,52
de,de,81
ces,ce,74
buveurs,buveur,21
de,de,81
bière,bière,22
qui,qui,52
enveloppent,envelopper,17
leur,leur,73
finesse,finesse,22
de,de,81
bonhomie,bonhomie,22
",",",",p
comme,comme,83
un,un,71
cardinal,cardinal,21
moyen,moyen,30
âge,âge,21
",",",",p
son,son,73
poignard,poignard,21
dans,dans,81
sa,son,73
manche,manche,22
/.,/.,P
Wirth,Wirth,20
",",",",p
voyant,voir,13
un,un,71
mari,mari,21
pour,pour,81
Isaure,Isaure,20
",",",",p
entourait,entourer,18
Godefroid,Godefroid,20
des,de,81
des,le,71
ambages,ambages,22
et,et,82
circonlocutions,circonlocution,22
arabesques,arabesque,22
de,de,81
sa,son,73
bonhomie,bonhomie,22
alsacienne,alsacien,30
",",",",p
la,le,71
glu,glu,22
la,le,71
plus,plus,60
adhérente,adhérent,30
de,de,81
toutes,tout,75
les,le,71
matières,matière,22
collantes,collant,30
/.,/.,P
madame,madame,22
d',de,81
Aldrigger,Aldrigger,20
était,être,18
profondément,profondément,60
improper,improper,92
",",",",p
elle,il,51
trouvait,trouver,18
l',le,71
amour,amour,21
la,le,71
chose,chose,22
la,le,71
plus,plus,60
naturelle,naturel,30
/.,/.,P
quand,quand,83
Isaure,Isaure,20
et,et,82
Malvina,Malvina,20
sortaient,sortir,18
ensemble,ensemble,60
et,et,82
allaient,aller,18
aux,à,81
aux,le,71
Tuileries,Tuileries,20
ou,ou,82
aux,à,81
aux,le,71
Champs-Elysées,Champs Elysées,20
",",",",p
où,où,60
elles,ils,51
devaient,devoir,18
rencontrer,rencontrer,14
des,de,81
des,le,71
jeunes,jeune,30
gens,gens,21
de,de,81
leur,leur,73
société,société,22
",",",",p
la,le,71
mère,mère,22
leur,leur,52
disait,dire,18
:,:,p
-,-,p
“,“,p
amusez,amuser,17
vous,vous,51
bien,bien,60
",",",",p
mes,mon,73
chères,cher,30
filles,fille,22
/!,/!,P
leurs,leur,73
amis,ami,21
",",",",p
les,le,71
seuls,seul,30
qui,qui,52
pussent,pouvoir,18
calomnier,calomnier,14
les,le,71
deux,deux,72
soeurs,soeur,22
",",",",p
les,le,52
défendaient,défendre,18
;,;,p
car,car,82
l',le,71
excessive,excessif,30
liberté,liberté,22
que,que,52
chacun,chacun,52
avait,avoir,18
dans,dans,81
le,le,71
salon,salon,21
des,de,81
des,le,71
d',de,81
Aldrigger,Aldrigger,20
",",",",p
en,en,52
faisait,faire,18
un,un,71
endroit,endroit,21
unique,unique,30
à,à,81
Paris,Paris,20
/.,/.,P
avec,avec,81
des,de,81
des,le,71
millions,million,21
on,on,51
aurait,avoir,16
obtenu,obtenir,12
difficilement,difficilement,60
de,de,81
pareilles,pareil,30
soirées,soirée,22
où,où,60
l',l',94
on,on,51
parlait,parler,18
de,de,81
tout,tout,52
avec,avec,81
esprit,esprit,21
",",",",p
où,où,60
la,le,71
mise,mise,22
soignée,soigné,31
n',ne,60
était,être,18
pas,pas,60
de,de,81
rigueur,rigueur,22
",",",",p
où,où,60
l',l',94
on,on,51
était,être,18
à,à,81
son,son,73
aise,aise,22
au,à,81
au,le,71
point,point,21
d',de,81
y,y,52
demander,demander,14
à,à,81
souper,souper,14
/.,/.,P
les,le,71
deux,deux,72
soeurs,soeur,22
écrivaient,écrire,18
à,à,81
qui,qui,52
leur,leur,52
plaisait,plaire,18
",",",",p
recevaient,recevoir,18
tranquillement,tranquillement,60
des,de,81
des,le,71
lettres,lettre,22
",",",",p
à,à,81
côté,côté,21
de,de,81
leur,leur,73
mère,mère,22
",",",",p
sans,sans,81
que,que,83
jamais,jamais,60
la,le,71
baronne,baronne,22
eût,avoir,19
l',le,71
idée,idée,22
de,de,81
leur,leur,52
demander,demander,14
de,de,81
quoi,quoi,52
il,il,51
s',se,51
agissait,agir,18
/.,/.,P
cette,ce,74
adorable,adorable,30
mère,mère,22
donnait,donner,18
à,à,81
ses,son,73
filles,fille,22
tous,tout,75
les,le,71
bénéfices,bénéfice,21
de,de,81
son,son,73
égoïsme,égoïsme,21
",",",",p
la,le,71
passion,passion,22
la,le,71
plus,plus,60
aimable,aimable,30
du,de,81
du,le,71
monde,monde,21
",",",",p
en,en,81
ce,ce,74
sens,sens,21
que,que,83
les,le,71
égoïstes,égoïste,21
",",",",p
ne,ne,60
voulant,vouloir,13
pas,pas,60
être,être,14
gênés,gêner,12
",",",",p
ne,ne,60
gênent,gêner,17
personne,personne,52
",",",",p
et,et,82
n',ne,60
embarrassent,embarrasser,17
point,point,60
la,le,71
vie,vie,22
de,de,81
ceux,celui,52
qui,qui,52
les,le,52
entourent,entourer,17
par,par,81
les,le,71
ronces,ronce,22
du,de,81
du,le,71
conseil,conseil,21
",",",",p
par,par,81
les,le,71
épines,épine,22
de,de,81
la,le,71
remontrance,remontrance,22
",",",",p
ni,ni,82
par,par,81
les,le,71
taquinages,taquinage,21
de,de,81
guêpe,guêpe,22
que,que,52
se,se,51
permettent,permettre,17
les,le,71
amitiés,amitié,22
excessives,excessif,30
qui,qui,52
veulent,vouloir,17
tout,tout,52
savoir,savoir,14
",",",",p
tout,tout,52
contrôler,contrôler,14
/…,/…,P
tu,tu,51
me,je,51
vas,aller,17
au,à,81
au,le,71
coeur,coeur,21
",",",",p
dit,dire,19
Blondet,Blondet,20
/.,/.,P
mais,mais,82
",",",",p
mon,mon,73
cher,cher,30
",",",",p
tu,tu,51
ne,ne,60
racontes,raconter,17
pas,pas,60
",",",",p
tu,tu,51
blagues,blaguer,17
/…,/…,P
Blondet,Blondet,20
",",",",p
si,si,83
tu,tu,51
n',ne,60
étais,être,18
pas,pas,60
gris,gris,30
",",",",p
tu,tu,51
me,je,51
ferais,faire,16
de,de,81
la,le,71
peine,peine,22
/!,/!,P
de,de,81
nous,nous,51
quatre,quatre,72
",",",",p
il,il,51
est,être,17
le,le,71
seul,seul,30
homme,homme,21
sérieusement,sérieusement,60
littéraire,littéraire,30
/!,/!,P
à,à,81
cause,cause,22
de,de,81
lui,lui,51
",",",",p
je,je,51
vous,vous,51
fais,faire,17
l',le,71
honneur,honneur,21
de,de,81
vous,vous,51
traiter,traiter,14
en,en,81
gourmets,gourmet,21
",",",",p
je,je,51
vous,vous,51
distille,distiller,17
mon,mon,73
histoire,histoire,22
",",",",p
et,et,82
il,il,51
me,je,51
critique,critiquer,17
/!,/!,P
mes,mon,73
amis,ami,21
",",",",p
la,le,71
plus,plus,60
grande,grand,30
marque,marque,22
de,de,81
stérilité,stérilité,22
spirituelle,spirituel,30
est,être,17
l',le,71
entassement,entassement,21
des,de,81
des,le,71
faits,fait,21
/.,/.,P
la,le,71
sublime,sublime,30
comédie,comédie,22
du,de,81
du,le,71
Misanthrope,Misanthrope,20
prouve,prouver,17
que,que,83
l',le,71
art,art,21
consiste,consister,17
à,à,81
bâtir,bâtir,14
un,un,71
palais,palais,21
sur,sur,81
la,le,71
pointe,pointe,22
d',de,81
une,un,71
aiguille,aiguille,22
/.,/.,P
le,le,71
mythe,mythe,21
de,de,81
mon,mon,73
idée,idée,22
est,être,17
dans,dans,81
la,le,71
baguette,baguette,22
des,de,81
des,le,71
fées,fée,22
qui,qui,52
peut,pouvoir,17
faire,faire,14
de,de,81
la,le,71
plaine,plaine,22
des,de,81
des,le,71
Sablons,Sablons,20
",",",",p
un,un,71
Interlachen,Interlachen,20
",",",",p
en,en,81
dix,dix,72
secondes,seconde,22
(,(,p
le,le,71
temps,temps,21
de,de,81
vider,vider,14
ce,ce,74
verre,verre,21
!,!,p
),),p
/.,/.,P
voulez,vouloir,17
vous,vous,51
que,que,83
je,je,51
vous,vous,51
fasse,faire,17
un,un,71
récit,récit,21
qui,qui,52
aille,aller,17
comme,comme,83
un,un,71
boulet,boulet,21
de,de,81
canon,canon,21
",",",",p
un,un,71
rapport,rapport,21
de,de,81
général,général,21
en,en,81
chef,chef,21
/?,/?,P
nous,nous,51
causons,causer,17
",",",",p
nous,nous,51
rions,rire,17
",",",",p
ce,ce,74
journaliste,journaliste,21
",",",",p
bibliophobe,bibliophobe,30
à jeun,à jeun,60
",",",",p
veut,vouloir,17
",",",",p
quand,quand,83
il,il,51
est,être,17
ivre,ivre,30
",",",",p
que,que,83
je,je,51
donne,donner,17
à,à,81
ma,mon,73
langue,langue,22
la,le,71
sotte,sot,30
allure,allure,22
d',de,81
un,un,71
livre,livre,21
(,(,p
il,il,51
feignit,feindre,19
de,de,81
pleurer,pleurer,14
),),p
/.,/.,P
malheur,malheur,21
à,à,81
l',le,71
imagination,imagination,22
française,français,30
",",",",p
on,on,51
veut,vouloir,17
épointer,épointer,14
les,le,71
aiguilles,aiguille,22
de,de,81
sa,son,73
plaisanterie,plaisanterie,22
/!,/!,P
dies irae,dies irae,21
/.,/.,P
pleurons,pleurer,17
Candide,Candide,20
",",",",p
et,et,82
vive,vivre,17
la,le,71
critique,critique,22
de,de,81
la,le,71
raison,raison,22
pure,pur,30
!,!,p
la,le,71
symbolique,symbolique,22
",",",",p
et,et,82
les,le,71
systèmes,système,21
en,en,81
cinq,cinq,72
volumes,volume,21
compactes,compact,30
",",",",p
imprimés,imprimé,31
par,par,81
des,de,81
des,le,71
Allemands,Allemand,20
qui,qui,52
ne,ne,60
les,le,52
savaient,savoir,18
pas,pas,60
à,à,81
Paris,Paris,20
depuis,depuis,81
<Nombre 1750>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
cinquante,cinquante,72
<Fin nombre>,<>,<>
",",",",p
en,en,81
quelques,quelque,75
mots,mot,21
fins,fin,30
",",",",p
les,le,71
diamants,diamant,21
de,de,81
notre,notre,73
intelligence,intelligence,22
nationale,national,30
/.,/.,P
Blondet,Blondet,20
mène,mener,17
le,le,71
convoi,convoi,21
de,de,81
son,son,73
suicide,suicide,21
",",",",p
lui,lui,51
qui,qui,52
fait,faire,17
dans,dans,81
son,son,73
journal,journal,21
les,le,71
derniers,dernier,30
mots,mot,21
de,de,81
tous,tout,75
les,le,71
grands,grand,30
hommes,homme,21
qui,qui,52
nous,nous,51
meurent,mourir,17
sans,sans,81
rien,rien,52
dire,dire,14
/!,/!,P
va,aller,17
ton,ton,73
train,train,21
",",",",p
dit,dire,19
Finot,Finot,20
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
voulu,vouloir,12
vous,vous,51
expliquer,expliquer,14
en,en,81
quoi,quoi,52
consiste,consister,17
le,le,71
bonheur,bonheur,21
d',de,81
un,un,71
homme,homme,21
qui,qui,52
n',ne,60
est,être,17
pas,pas,60
actionnaire,actionnaire,21
(,(,p
une,un,71
politesse,politesse,22
à,à,81
Couture,Couture,20
!,!,p
),),p
/.,/.,P
eh,eh,93
!,!,p
bien,bien,60
",",",",p
ne,ne,60
voyez,voir,17
vous,vous,51
pas,pas,60
maintenant,maintenant,60
à,à,81
quel,quel,75
prix,prix,21
Godefroid,Godefroid,20
se,se,51
procura,procurer,19
le,le,71
bonheur,bonheur,21
le,le,71
plus,plus,60
étendu,étendu,31
que,que,83
puisse,pouvoir,17
rêver,rêver,14
un,un,71
jeune,jeune,30
homme,homme,21
?,?,p
il,il,51
étudiait,étudier,18
Isaure,Isaure,20
pour,pour,81
être,être,14
sûr,sûr,30
d',de,81
être,être,14
compris,comprendre,12
!,!,p
les,le,71
choses,chose,22
qui,qui,52
se,se,51
comprennent,comprendre,17
les,le,71
unes,un,52
les,le,71
autres,autre,52
doivent,devoir,17
être,être,14
similaires,similaire,30
/.,/.,P
or,or,82
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
de,de,81
pareils,pareil,30
à,à,81
eux-mêmes,eux-mêmes,51
que,que,83
le,le,71
néant,néant,21
et,et,82
l',le,71
infini,infini,21
:,:,p
le,le,71
néant,néant,21
est,être,17
la,le,71
bêtise,bêtise,22
",",",",p
le,le,71
génie,génie,21
est,être,17
l',le,71
infini,infini,21
/.,/.,P
ces,ce,74
deux,deux,72
amants,amant,21
s',se,51
écrivaient,écrire,18
les,le,71
plus,plus,60
stupides,stupide,30
lettres,lettre,22
du,de,81
du,le,71
monde,monde,21
",",",",p
en,en,81
se,se,51
renvoyant,renvoyer,13
sur,sur,81
du,de,81
du,le,71
papier,papier,21
parfumé,parfumé,31
des,de,81
des,le,71
mots,mot,21
à,à,81
la,le,71
mode,mode,22
:,:,p
