11215
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-quatrième extrait>,<>,<>
bus,bus,21
qui,qui,52
peuvent,pouvoir,17
m',je,51
avoir,avoir,14
porté,porter,12
à,à,81
la,le,71
tête,tête,22
/.,/.,P
j',je,51
ai,avoir,17
la,le,71
cervelle,cervelle,22
plus,plus,60
solide,solide,30
que,que,83
cela,cela,52
/.,/.,P
que,que,52
vais,aller,17
je,je,51
devenir,devenir,14
si,si,83
la,le,71
vérité,vérité,22
me,je,51
coule,couler,17
ainsi,ainsi,60
de,de,81
la,le,71
plume,plume,22
sans,sans,81
que,que,83
je,je,51
le,le,52
sente,sentir,17
/?,/?,P
par,par,81
bonheur,bonheur,21
j',je,51
ai,avoir,17
relu,relire,12
mon,mon,73
épître,épître,22
",",",",p
n',ne,60
étant,être,13
jamais,jamais,60
bien,bien,60
sûr,sûr,30
de,de,81
mon,mon,73
orthographe,orthographe,22
du,de,81
du,le,71
soir,soir,21
/.,/.,P
quel,quel,75
effet,effet,21
auraient,avoir,16
produit,produire,12
ces,ce,74
aimables,aimable,30
lignes,ligne,22
par,par,81
trop,trop,60
véridiques,véridique,30
",",",",p
et,et,82
quelle,quel,75
mine,mine,22
indignée,indigné,31
et,et,82
stupéfaite,stupéfait,30
aurait,avoir,16
eue,avoir,12
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
en,en,81
les,le,52
lisant,lire,13
/!,/!,P
peut-être,peut-être,60
eût,avoir,19
il,il,51
mieux,mieux,60
valu,valoir,12
que,que,83
la,le,71
lettre,lettre,22
partît,partir,18
telle,tel,75
quelle,quel,75
:,:,p
j',je,51
aurais,avoir,16
passé,passer,12
pour,pour,81
un,un,71
monstre,monstre,21
",",",",p
pour,pour,81
un,un,71
sauvage,sauvage,21
tatoué,tatoué,31
",",",",p
indigne,indigne,30
de,de,81
mettre,mettre,14
une,un,71
cravate,cravate,22
blanche,blanc,30
",",",",p
mais,mais,82
du,de,81
du,le,71
moins,moins,60
cette,ce,74
liaison,liaison,22
qui,qui,52
m',je,51
ennuie,ennuyer,17
eût,avoir,19
été,être,12
brisée,briser,12
net,net,60
comme,comme,83
verre,verre,21
;,;,p
et,et,82
le,le,71
verre,verre,21
ne,ne,60
se,se,51
raccommode,raccommoder,17
pas,pas,60
",",",",p
même,même,60
en,en,81
y,y,52
collant,coller,13
du,de,81
du,le,71
papier,papier,21
/.,/.,P
si,si,83
j',je,51
étais,être,18
un,un,71
peu,peu,60
superstitieux,superstitieux,30
",",",",p
il,il,51
ne,ne,60
tiendrait,tenir,16
qu',que,83
à,à,81
moi,moi,51
de,de,81
voir,voir,14
là-dedans,là-dedans,60
un,un,71
avertissement,avertissement,21
du,de,81
du,le,71
ciel,ciel,21
au,à,81
au,le,71
lieu,lieu,21
d',de,81
une,un,71
distraction,distraction,22
inqualifiable,inqualifiable,30
/.,/.,P
“,“,p
après,après,81
une,un,71
pause,pause,22
",",",",p
Guy,Guy,20
prit,prendre,19
un,un,71
parti,parti,21
violent,violent,30
:,:,p
“,“,p
allons,aller,17
chez,chez,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
",",",",p
car,car,82
je,je,51
suis,être,17
incapable,incapable,30
de,de,81
récrire,récrire,14
cette,ce,74
lettre,lettre,22
/.,/.,P
“,“,p
il,il,51
s',se,51
habilla,habiller,19
rageusement,rageusement,60
",",",",p
et,et,82
",",",",p
comme,comme,83
il,il,51
allait,aller,18
sortir,sortir,14
de,de,81
sa,son,73
chambre,chambre,22
",",",",p
il,il,51
crut,croire,19
entendre,entendre,14
un,un,71
soupir,soupir,21
",",",",p
mais,mais,82
si,si,60
faible,faible,30
",",",",p
si,si,60
léger,léger,30
",",",",p
si,si,60
aérien,aérien,30
",",",",p
qu',que,83
il,il,51
fallait,falloir,18
le,le,71
profond,profond,30
silence,silence,21
de,de,81
la,le,71
nuit,nuit,22
pour,pour,81
que,que,83
l',le,71
oreille,oreille,22
pût,pouvoir,18
le,le,52
saisir,saisir,14
/.,/.,P
ce,ce,74
soupir,soupir,21
arrêta,arrêter,19
Malivert,Malivert,20
sur,sur,81
le,le,71
seuil,seuil,21
de,de,81
son,son,73
cabinet,cabinet,21
",",",",p
et,et,82
lui,lui,51
causa,causer,19
cette,ce,74
impression,impression,22
que,que,52
le,le,71
surnaturel,surnaturel,30
fait,faire,17
éprouver,éprouver,14
aux,à,81
aux,le,71
plus,plus,60
braves,brave,30
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
rien,rien,52
de,de,81
bien,bien,60
effrayant,effrayant,30
dans,dans,81
cette,ce,74
note,note,22
vague,vague,30
",",",",p
inarticulée,inarticulé,30
et,et,82
plaintive,plaintif,30
",",",",p
et,et,82
cependant,cependant,82
Guy,Guy,20
en,en,52
fut,être,19
plus,plus,60
troublé,troubler,12
qu',que,83
il,il,51
n',ne,60
osait,oser,18
se,se,51
l',le,52
avouer,avouer,14
à,à,81
lui-même,lui-même,51
/.,/.,P
“,“,p
bah,bah,93
!,!,p
c',ce,52
est,être,17
mon,mon,73
angora,angora,21
qui,qui,52
aura,avoir,15
poussé,pousser,12
une,un,71
plainte,plainte,22
en,en,81
dormant,dormir,13
“,“,p
",",",",p
dit,dire,17
Malivert,Malivert,20
;,;,p
et,et,82
",",",",p
prenant,prendre,13
des,de,81
des,le,71
mains,main,22
de,de,81
son,son,73
valet,valet,21
de,de,81
chambre,chambre,22
une,un,71
pelisse,pelisse,22
de,de,81
fourrure,fourrure,22
dans,dans,81
laquelle,lequel,52
il,il,51
s',se,51
enveloppa,envelopper,19
avec,avec,81
une,un,71
correction,correction,22
qui,qui,52
prouvait,prouver,18
de,de,81
longs,long,30
voyages,voyage,21
en,en,81
Russie,Russie,20
",",",",p
il,il,51
descendit,descendre,19
d',de,81
assez,assez,60
mauvaise,mauvais,30
humeur,humeur,22
sur,sur,81
le,le,71
perron,perron,21
au,à,81
au,le,71
bas,bas,21
duquel,de,81
duquel,lequel,52
l',le,52
attendait,attendre,18
la,le,71
voiture,voiture,22
/.,/.,P
<II>,<>,<>
blotti,blotti,31
dans,dans,81
le,le,71
coin,coin,21
de,de,81
son,son,73
coupé,coupé,21
",",",",p
les,le,71
pieds,pied,21
sur,sur,81
sa,son,73
boule,boule,22
d',de,81
eau,eau,22
bouillante,bouillant,30
",",",",p
sa,son,73
pelisse,pelisse,22
bien,bien,60
serrée,serré,31
autour,autour,60
de,de,81
lui,lui,51
",",",",p
Malivert,Malivert,20
regardait,regarder,18
sans,sans,81
les,le,52
voir,voir,14
les,le,71
bizarres,bizarre,30
jeux,jeu,21
d',de,81
ombre,ombre,22
et,et,82
de,de,81
lumière,lumière,22
que,que,52
faisaient,faire,18
contre,contre,81
la,le,71
vitre,vitre,22
couverte,couvert,31
d',de,81
une,un,71
légère,léger,30
buée,buée,22
les,le,71
éclats,éclat,21
soudains,soudain,30
d',de,81
une,un,71
boutique,boutique,22
incendiée,incendié,31
de,de,81
gaz,gaz,21
et,et,82
encore,encore,60
ouverte,ouvert,31
à,à,81
cette,ce,74
heure,heure,22
avancée,avancé,31
",",",",p
et,et,82
les,le,71
perspectives,perspective,22
des,de,81
des,le,71
rues,rue,22
étoilées,étoilé,31
de,de,81
quelques,quelque,75
points,point,21
brillants,brillant,30
/.,/.,P
la,le,71
voiture,voiture,22
traversa,traverser,19
bientôt,bientôt,60
le,le,71
pont,pont,21
de,de,81
la,le,71
Concorde,Concorde,20
",",",",p
sous,sous,81
lequel,lequel,52
coulait,couler,18
obscurément,obscurément,60
la,le,71
Seine,Seine,20
avec,avec,81
ses,son,73
miroitements,miroitement,21
sombres,sombre,30
et,et,82
ses,son,73
reflets,reflet,21
de,de,81
lanternes,lanterne,22
/.,/.,P
tout,tout,60
en,en,81
roulant,rouler,13
",",",",p
Malivert,Malivert,20
ne,ne,60
pouvait,pouvoir,18
s',se,51
empêcher,empêcher,14
de,de,81
penser,penser,14
au,à,81
au,le,71
soupir,soupir,21
mystérieux,mystérieux,30
qu',que,83
il,il,51
avait,avoir,18
entendu,entendre,12
ou,ou,82
cru,croire,12
entendre,entendre,14
au,à,81
au,le,71
moment,moment,21
de,de,81
quitter,quitter,14
sa,son,73
chambre,chambre,22
/.,/.,P
il,il,51
se,se,51
disait,dire,18
tout,tout,52
ce,ce,52
que,que,52
les,le,71
sceptiques,sceptique,21
allèguent,alléguer,17
de,de,81
raisons,raison,22
naturelles,naturel,30
pour,pour,81
expliquer,expliquer,14
l',le,71
incompréhensible,incompréhensible,30
/.,/.,P
ce,ce,52
devait,devoir,18
être,être,14
",",",",p
sans,sans,81
doute,doute,21
",",",",p
le,le,71
vent,vent,21
engagé,engagé,31
dans,dans,81
la,le,71
cheminée,cheminée,22
ou,ou,82
dans,dans,81
le,le,71
corridor,corridor,21
",",",",p
quelque,quelque,75
bruit,bruit,21
du,de,81
du,le,71
dehors,dehors,21
modifié,modifié,31
par,par,81
l',le,71
écho,écho,21
",",",",p
la,le,71
vibration,vibration,22
sourde,sourd,30
d',de,81
une,un,52
des,de,81
des,le,71
cordes,corde,22
du,de,81
du,le,71
piano,piano,21
ébranlée,ébranlé,31
au,à,81
au,le,71
passage,passage,21
d',de,81
une,un,71
voiture,voiture,22
pesante,pesant,30
",",",",p
ou,ou,82
même,même,60
une,un,71
plainte,plainte,22
de,de,81
son,son,73
angora,angora,21
rêvant,rêver,13
auprès,auprès,60
du,de,81
du,le,71
feu,feu,21
",",",",p
comme,comme,83
il,il,51
l',le,52
avait,avoir,18
imaginé,imaginer,12
d'abord,d'abord,60
/.,/.,P
rien,rien,52
n',ne,60
était,être,18
plus,plus,60
probable,probable,30
;,;,p
le,le,71
bon,bon,30
sens,sens,21
le,le,52
voulait,vouloir,18
/.,/.,P
cependant,cependant,82
Malivert,Malivert,20
",",",",p
tout,tout,60
en,en,81
reconnaissant,reconnaître,13
combien,combien,60
ces,ce,74
explications,explication,22
étaient,être,18
logiques,logique,30
",",",",p
ne,ne,60
pouvait,pouvoir,18
intérieurement,intérieurement,60
s',se,51
en,en,52
contenter,contenter,14
;,;,p
un,un,71
instinct,instinct,21
secret,secret,30
lui,lui,51
affirmait,affirmer,18
que,que,83
ce,ce,74
soupir,soupir,21
n',ne,60
était,être,18
dû,devoir,12
à,à,81
aucune,aucun,52
des,de,81
des,le,71
causes,cause,22
auxquelles,à,81
auxquelles,lequel,52
sa,son,73
prudence,prudence,22
philosophique,philosophique,30
l',le,52
attribuait,attribuer,18
;,;,p
il,il,51
sentait,sentir,18
que,que,83
ce,ce,74
faible,faible,30
gémissement,gémissement,21
partait,partir,18
d',de,81
une,un,71
âme,âme,22
et,et,82
n',ne,60
était,être,18
pas,pas,60
un,un,71
bruit,bruit,21
vague,vague,30
de,de,81
la,le,71
matière,matière,22
;,;,p
il,il,51
s',se,51
y,y,52
mêlait,mêler,18
un,un,71
souffle,souffle,21
et,et,82
une,un,71
douleur,douleur,22
:,:,p
d',de,81
où,où,60
venait,venir,18
il,il,51
alors,alors,60
/?,/?,P
Guy,Guy,20
n',ne,60
y,y,52
pensait,penser,18
qu',que,83
avec,avec,81
cette,ce,74
espèce,espèce,22
d',de,81
anxiété,anxiété,22
pleine,plein,30
de,de,81
questions,question,22
qu',que,52
éprouvent,éprouver,17
les,le,71
plus,plus,60
fermes,ferme,30
esprits,esprit,21
",",",",p
qui,qui,52
",",",",p
sans,sans,81
le,le,52
chercher,chercher,14
",",",",p
se,se,51
rencontrent,rencontrer,17
avec,avec,81
l',le,71
inconnu,inconnu,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
personne,personne,52
dans,dans,81
la,le,71
chambre,chambre,22
",",",",p
-,-,p
personne,personne,52
",",",",p
excepté,excepté,81
Jack,Jack,20
",",",",p
créature,créature,22
peu,peu,60
sentimentale,sentimental,30
;,;,p
-,-,p
le,le,71
soupir,soupir,21
doucement,doucement,60
modulé,modulé,31
",",",",p
harmonieux,harmonieux,30
",",",",p
attendri,attendri,31
",",",",p
plus,plus,60
léger,léger,30
qu',que,83
un,un,71
susurrement,susurrement,21
de,de,81
brise,brise,22
dans,dans,81
des,de,81
des,le,71
feuilles,feuille,22
de,de,81
tremble,tremble,21
",",",",p
était,être,18
féminin,féminin,30
indubitablement,indubitablement,60
;,;,p
on,on,51
ne,ne,60
pouvait,pouvoir,18
lui,lui,51
nier,nier,14
ce,ce,74
caractère,caractère,21
/.,/.,P
une,un,71
autre,autre,75
circonstance,circonstance,22
intriguait,intriguer,18
Malivert,Malivert,20
:,:,p
c',ce,52
était,être,18
cette,ce,74
lettre,lettre,22
qui,qui,52
s',se,51
était,être,18
écrite,écrire,12
pour,pour,81
ainsi,ainsi,60
dire,dire,14
toute,tout,60
seule,seul,30
",",",",p
comme,comme,83
si,si,83
une,un,71
volonté,volonté,22
étrangère,étranger,30
à,à,81
la,le,71
sienne,sien,52
eût,avoir,19
guidé,guider,12
ses,son,73
doigts,doigt,21
/.,/.,P
l',le,71
excuse,excuse,22
d',de,81
une,un,71
distraction,distraction,22
",",",",p
dont,dont,52
Guy,Guy,20
s',se,51
était,être,18
payé,payer,12
d'abord,d'abord,60
",",",",p
ne,ne,60
pouvait,pouvoir,18
guère,guère,60
être,être,14
prise,prendre,12
au,à,81
au,le,71
sérieux,sérieux,21
/.,/.,P
les,le,71
sentiments,sentiment,21
de,de,81
l',le,71
âme,âme,22
passent,passer,17
par,par,81
le,le,71
contrôle,contrôle,21
de,de,81
l',le,71
esprit,esprit,21
avant,avant,81
de,de,81
se,se,51
fixer,fixer,14
sur,sur,81
le,le,71
papier,papier,21
",",",",p
et,et,82
d',de,81
ailleurs,ailleurs,60
ils,ils,51
ne,ne,60
vont,aller,17
pas,pas,60
s',se,51
y,y,52
rédiger,rédiger,14
d',de,81
eux-mêmes,eux-mêmes,51
pendant,pendant,81
que,que,83
le,le,71
cerveau,cerveau,21
rêve,rêver,17
à,à,81
autre,autre,75
chose,chose,22
;,;,p
il,il,51
fallait,falloir,18
qu',que,83
une,un,71
influence,influence,22
qu',que,52
il,il,51
ne,ne,60
pouvait,pouvoir,18
définir,définir,14
se,se,51
fût,être,19
emparée,emparer,12
de,de,81
lui,lui,51
pendant,pendant,81
qu',que,83
il,il,51
était,être,18
absent,absent,30
de,de,81
lui-même,lui-même,51
et,et,82
eût,avoir,19
agi,agir,12
à,à,81
sa,son,73
place,place,22
",",",",p
car,car,82
il,il,51
était,être,18
bien,bien,60
sûr,sûr,30
",",",",p
maintenant,maintenant,60
qu',que,83
il,il,51
y,y,52
réfléchissait,réfléchir,18
",",",",p
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
dormi,dormir,12
une,un,71
seule,seul,30
minute,minute,22
;,;,p
toute,tout,75
la,le,71
soirée,soirée,22
il,il,51
avait,avoir,18
été,être,12
paresseux,paresseux,30
",",",",p
somnolent,somnolent,30
",",",",p
engourdi,engourdi,31
par,par,81
une,un,71
torpeur,torpeur,22
de,de,81
bien-être,bien-être,21
",",",",p
mais,mais,82
à,à,81
ce,ce,74
moment,moment,21
là,là,60
il,il,51
était,être,18
parfaitement,parfaitement,60
éveillé,éveiller,12
/.,/.,P
l',le,71
alternative,alternative,22
contrariante,contrariant,30
d',de,81
aller,aller,14
chez,chez,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
ou,ou,82
de,de,81
lui,lui,51
écrire,écrire,14
un,un,71
billet,billet,21
pour,pour,81
se,se,51
dégager,dégager,14
de,de,81
l',le,71
invitation,invitation,22
lui,lui,51
donnait,donner,18
même,même,60
une,un,71
certaine,certain,75
surexcitation,surexcitation,22
fébrile,fébrile,30
:,:,p
ces,ce,74
lignes,ligne,22
qui,qui,52
résumaient,résumer,18
son,son,73
idée,idée,22
secrète,secret,30
d',de,81
une,un,71
façon,façon,22
si,si,60
juste,juste,30
et,et,82
plus,plus,60
nettement,nettement,60
qu',que,83
il,il,51
ne,ne,60
se,se,51
l',le,52
était,être,18
encore,encore,60
avoué,avouer,12
",",",",p
étaient,être,18
dues,devoir,12
à,à,81
une,un,71
intervention,intervention,22
qu',que,52
il,il,51
fallait,falloir,18
bien,bien,60
qualifier,qualifier,14
de,de,81
surnaturelle,surnaturel,30
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
l',le,71
analyse,analyse,22
l',le,52
eût,avoir,19
expliquée,expliquer,12
ou,ou,82
lui,lui,51
eût,avoir,19
donné,donner,12
un,un,71
autre,autre,75
titre,titre,21
/.,/.,P
pendant,pendant,81
que,que,83
Guy,Guy,20
de,de,81
Malivert,Malivert,20
remuait,remuer,18
ces,ce,74
questions,question,22
dans,dans,81
sa,son,73
tête,tête,22
",",",",p
la,le,71
voiture,voiture,22
roulait,rouler,18
par,par,81
les,le,71
rues,rue,22
",",",",p
que,que,52
le,le,71
froid,froid,21
et,et,82
la,le,71
neige,neige,22
rendaient,rendre,18
plus,plus,60
désertes,désert,30
qu',que,83
elles,ils,51
ne,ne,60
l',le,52
eussent,avoir,18
été,être,12
dans,dans,81
ces,ce,74
quartiers,quartier,21
élégants,élégant,30
et,et,82
riches,riche,30
où,où,60
la,le,71
vie,vie,22
nocturne,nocturne,30
ne,ne,60
s',se,51
arrête,arrêter,17
que,que,83
fort,fort,60
tard,tard,60
/.,/.,P
la,le,71
place,place,22
de,de,81
la,le,71
Concorde,Concorde,20
",",",",p
la,le,71
rue,rue,22
de,de,81
Rivoli,Rivoli,20
",",",",p
la,le,71
place,place,22
Vendôme,Vendôme,20
",",",",p
avaient,avoir,18
été,être,12
promptement,promptement,60
laissées,laisser,12
en,en,81
arrière,arrière,21
",",",",p
et,et,82
le,le,71
coupé,coupé,21
",",",",p
prenant,prendre,13
le,le,71
boulevard,boulevard,21
",",",",p
tourna,tourner,19
le,le,71
coin,coin,21
de,de,81
la,le,71
rue,rue,22
de,de,81
la,le,71
Chaussée-d'Antin,Chaussée d'Antin,20
",",",",p
où,où,60
demeurait,demeurer,18
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
/.,/.,P
en,en,81
entrant,entrer,13
dans,dans,81
la,le,71
cour,cour,22
",",",",p
Guy,Guy,20
éprouva,éprouver,19
une,un,71
sensation,sensation,22
désagréable,désagréable,30
:,:,p
deux,deux,72
files,file,22
de,de,81
voitures,voiture,22
avec,avec,81
leurs,leur,73
cochers,cocher,21
engoncés,engoncé,31
de,de,81
fourrures,fourrure,22
stationnaient,stationner,18
dans,dans,81
l',le,71
espace,espace,21
sablé,sablé,31
qui,qui,52
en,en,52
occupait,occuper,18
le,le,71
centre,centre,21
",",",",p
et,et,82
les,le,71
chevaux,cheval,21
ennuyés,ennuyé,31
",",",",p
secouant,secouer,13
leurs,leur,73
mors,mors,21
",",",",p
mêlaient,mêler,18
sur,sur,81
le,le,71
pavé,pavé,21
des,de,81
des,le,71
flocons,flocon,21
d',de,81
écume,écume,22
à,à,81
des,de,81
des,le,71
flocons,flocon,21
de,de,81
neige,neige,22
/.,/.,P
“,“,p
voilà,voilà,81
ce,ce,52
qu',que,52
elle,il,51
appelle,appeler,17
une,un,71
soirée,soirée,22
intime,intime,30
",",",",p
un,un,71
thé,thé,21
au,à,81
au,le,71
coin,coin,21
du,de,81
du,le,71
feu,feu,21
!,!,p
elle,il,51
n',ne,60
en,en,52
fait,faire,17
jamais,jamais,60
d',de,81
autres,autre,52
/!,/!,P
tout,tout,75
Paris,Paris,20
va,aller,17
être,être,14
là,là,60
;,;,p
et,et,82
moi,moi,51
qui,qui,52
n',ne,60
ai,avoir,17
pas,pas,60
mis,mettre,12
de,de,81
cravate,cravate,22
blanche,blanc,30
!,!,p
grommela,grommeler,19
Malivert,Malivert,20
;,;,p
j',je,51
aurais,avoir,16
mieux,mieux,60
fait,faire,12
de,de,81
me,je,51
coucher,coucher,14
",",",",p
mais,mais,82
j',je,51
ai,avoir,17
essayé,essayer,12
d',de,81
être,être,14
diplomate,diplomate,21
comme,comme,83
Talleyrand,Talleyrand,20
:,:,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
voulu,vouloir,12
suivre,suivre,14
mon,mon,73
premier,premier,72
mouvement,mouvement,21
parce que,parce que,83
c',ce,52
était,être,18
le,le,71
bon,bon,21
/.,/.,P
“,“,p
il,il,51
monta,monter,19
l',le,71
escalier,escalier,21
d',de,81
un,un,71
pas,pas,21
lent,lent,30
",",",",p
et,et,82
",",",",p
après,après,81
s',se,51
être,être,14
débarrassé,débarrasser,12
de,de,81
sa,son,73
pelisse,pelisse,22
",",",",p
il,il,51
se,se,51
dirigea,diriger,19
vers,vers,81
le,le,71
salon,salon,21
",",",",p
dont,dont,52
un,un,71
laquais,laquais,21
lui,lui,51
ouvrit,ouvrir,19
les,le,71
portes,porte,22
avec,avec,81
une,un,71
sorte,sorte,22
de,de,81
déférence,déférence,22
obséquieuse,obséquieux,30
et,et,82
confidentielle,confidentiel,30
",",",",p
comme,comme,83
à,à,81
un,un,71
homme,homme,21
qui,qui,52
serait,être,16
bientôt,bientôt,60
le,le,71
maître,maître,21
de,de,81
la,le,71
maison,maison,22
et,et,82
au,à,81
au,le,71
service,service,21
duquel,de,81
duquel,lequel,52
il,il,51
désirait,désirer,18
rester,rester,14
/.,/.,P
“,“,p
comment,comment,60
!,!,p
se,se,51
dit,dire,17
tout,tout,60
bas,bas,60
Guy,Guy,20
de,de,81
Malivert,Malivert,20
",",",",p
remarquant,remarquer,13
cette,ce,74
servilité,servilité,22
plus,plus,60
accentuée,accentué,31
qu',que,83
à,à,81
l',le,71
ordinaire,ordinaire,22
",",",",p
il,il,51
n',ne,60
est,être,17
pas,pas,60
jusqu',jusque,81
aux,à,81
aux,le,71
domestiques,domestique,21
qui,qui,52
ne,ne,60
disposent,disposer,17
de,de,81
ma,mon,73
personne,personne,22
et,et,82
ne,ne,60
me,je,51
marient,marier,17
de,de,81
leur,leur,73
autorité,autorité,22
privée,privé,31
à,à,81
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
/!,/!,P
les,le,71
bans,ban,21
ne,ne,60
sont,être,17
pas,pas,60
publiés,publier,12
encore,encore,60
cependant,cependant,82
/.,/.,P
“,“,p
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
",",",",p
en,en,81
apercevant,apercevoir,13
Guy,Guy,20
qui,qui,52
s',se,51
avançait,avancer,18
vers,vers,81
elle,il,51
baissant,baisser,13
la,le,71
tête,tête,22
et,et,82
faisant,faire,13
le,le,71
gros,gros,30
dos,dos,21
",",",",p
ce,ce,52
qui,qui,52
est,être,17
le,le,71
salut,salut,21
moderne,moderne,30
",",",",p
poussa,pousser,19
un,un,71
petit,petit,30
cri,cri,21
de,de,81
satisfaction,satisfaction,22
qu',que,83
elle,il,51
essaya,essayer,19
de,de,81
corriger,corriger,14
par,par,81
un,un,71
air,air,21
de,de,81
froideur,froideur,22
boudeuse,boudeur,30
/.,/.,P
mais,mais,82
ses,son,73
lèvres,lèvre,22
toujours,toujours,60
souriantes,souriant,30
",",",",p
habituées,habitué,31
à,à,81
découvrir,découvrir,14
jusqu',jusque,81
à,à,81
leurs,leur,73
gencives,gencive,22
roses,rose,30
des,de,81
des,le,71
dents,dent,22
d',de,81
une,un,71
nacre,nacre,22
irréprochable,irréprochable,30
",",",",p
ne,ne,60
purent,pouvoir,19
se,se,51
rapprocher,rapprocher,14
pour,pour,81
former,former,14
la,le,71
jolie,joli,30
moue,moue,22
qu',que,52
on,on,51
leur,leur,52
demandait,demander,18
",",",",p
et,et,82
la,le,71
dame,dame,22
",",",",p
voyant,voir,13
du,de,81
du,le,71
coin,coin,21
de,de,81
l',le,71
oeil,oeil,21
dans,dans,81
une,un,71
glace,glace,22
que,que,52
cette,ce,74
physionomie,physionomie,22
ne,ne,60
réussissait,réussir,18
pas,pas,60
",",",",p
prit,prendre,19
le,le,71
parti,parti,21
de,de,81
se,se,51
montrer,montrer,14
bon,bon,30
enfant,enfant,21
comme,comme,83
une,un,71
femme,femme,22
indulgente,indulgent,30
qui,qui,52
sait,savoir,17
qu',que,83
on,on,51
ne,ne,60
doit,devoir,17
pas,pas,60
exiger,exiger,14
beaucoup,beaucoup,60
aujourd'hui,aujourd'hui,60
de,de,81
la,le,71
galanterie,galanterie,22
des,de,81
des,le,71
hommes,homme,21
/.,/.,P
“,“,p
comme,comme,83
vous,vous,51
venez,venir,17
tard,tard,60
",",",",p
monsieur,monsieur,21
Guy,Guy,20
!,!,p
dit,dire,19
elle,il,51
en,en,81
lui,lui,51
tendant,tendre,13
une,un,71
petite,petit,30
main,main,22
si,si,60
étroitement,étroitement,60
gantée,ganté,31
qu',que,83
elle,il,51
semblait,sembler,18
de,de,81
bois,bois,21
au,à,81
au,le,71
toucher,toucher,21
;,;,p
vous,vous,51
vous,vous,51
êtes,être,17
sans,sans,81
doute,doute,21
attardé,attarder,12
à,à,81
votre,votre,73
vilain,vilain,30
club,club,21
à,à,81
fumer,fumer,14
vos,votre,73
cigares,cigare,21
et,et,82
à,à,81
battre,battre,14
les,le,71
cartes,carte,22
;,;,p
aussi,aussi,60
",",",",p
et,et,82
c',ce,52
est,être,17
votre,votre,73
punition,punition,22
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
entendu,entendre,12
le,le,71
grand,grand,30
pianiste,pianiste,21
allemand,allemand,30
Kreisler,Kreisler,20
jouer,jouer,14
le,le,71
galop,galop,21
chromatique,chromatique,30
de,de,81
Listz,Listz,20
",",",",p
ni,ni,82
la,le,71
délicieuse,délicieux,30
comtesse,comtesse,22
Salvarosa,Salvarosa,20
chanter,chanter,14
la,le,71
romance,romance,22
du,de,81
du,le,71
saule,saule,21
comme,comme,83
jamais,jamais,60
ne,ne,60
l',le,52
a,avoir,17
fait,faire,12
la,le,71
Malibran,Malibran,20
/.,/.,P
“,“,p
Guy,Guy,20
",",",",p
en,en,81
quelques,quelque,75
phrases,phrase,22
convenables,convenable,30
",",",",p
exprima,exprimer,19
le,le,71
regret,regret,21
",",",",p
qu',que,83
il,il,51
ressentait,ressentir,18
à,à,81
vrai,vrai,60
dire,dire,14
médiocrement,médiocrement,60
",",",",p
d',de,81
avoir,avoir,14
manqué,manquer,12
le,le,71
galop,galop,21
du,de,81
du,le,71
virtuose,virtuose,21
et,et,82
l',le,71
air,air,21
de,de,81
la,le,71
femme,femme,22
du,de,81
du,le,71
monde,monde,21
",",",",p
et,et,82
comme,comme,83
il,il,51
se,se,51
trouvait,trouver,18
un,un,71
peu,peu,60
gêné,gêné,31
d',de,81
avoir,avoir,14
autour,autour,60
du,de,81
du,le,71
col,col,21
",",",",p
parmi,parmi,81
ces,ce,74
gens,gens,21
très,très,60
parés,paré,31
",",",",p
deux,deux,72
doigts,doigt,21
de,de,81
soie,soie,22
noire,noir,30
au,à,81
au,le,71
lieu,lieu,21
de,de,81
deux,deux,72
doigts,doigt,21
de,de,81
mousseline,mousseline,22
blanche,blanc,30
",",",",p
il,il,51
chercha,chercher,19
à,à,81
s',se,51
échapper,échapper,14
par,par,81
la,le,71
tangente,tangente,22
et,et,82
à,à,81
gagner,gagner,14
quelque,quelque,75
coin,coin,21
moins,moins,60
inondé,inondé,31
de,de,81
lumière,lumière,22
où,où,60
ce,ce,74
solécisme,solécisme,21
involontaire,involontaire,30
de,de,81
toilette,toilette,22
se,se,51
dissimulât,dissimuler,18
plus,plus,60
aisément,aisément,60
dans,dans,81
une,un,71
ombre,ombre,22
relative,relatif,30
/.,/.,P
il,il,51
eut,avoir,19
beaucoup,beaucoup,60
de,de,81
peine,peine,22
à,à,81
effectuer,effectuer,14
cette,ce,74
résolution,résolution,22
",",",",p
car,car,82
madame,madame,22
d',de,81
Ymbercourt,Ymbercourt,20
le,le,52
ramenait,ramener,18
toujours,toujours,60
