11480
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Onzième extrait>,<>,<>
ses,son,73
traits,trait,21
à,à,81
découvert,découvert,21
;,;,p
au,à,81
au,le,71
moment,moment,21
où,où,60
l',le,71
enfant,enfant,21
me,je,51
quitta,quitter,19
",",",",p
je,je,51
levai,lever,19
la,le,71
tête,tête,22
/.,/.,P
elle,il,51
était,être,18
près,près,81
du,de,81
du,le,71
lit,lit,21
",",",",p
tenant,tenir,13
à,à,81
la,le,71
main,main,22
une,un,71
tasse,tasse,22
et,et,82
la,le,52
présentant,présenter,13
à,à,81
la,le,71
fermière,fermière,22
qui,qui,52
s',se,51
était,être,18
éveillée,éveiller,12
/.,/.,P
elle,il,51
me,je,51
parut,paraître,19
pâle,pâle,30
et,et,82
un,un,71
peu,peu,60
maigre,maigre,30
;,;,p
ses,son,73
cheveux,cheveu,21
étaient,être,18
d',de,81
un,un,71
blond,blond,21
cendré,cendré,30
/.,/.,P
elle,il,51
n',ne,60
était,être,18
pas,pas,60
régulièrement,régulièrement,60
belle,beau,30
;,;,p
qu',que,52
en,en,52
dirais,dire,16
je,je,51
/?,/?,P
ses,son,73
grands,grand,30
yeux,oeil,21
noirs,noir,30
étaient,être,18
fixés,fixer,12
sur,sur,81
ceux,celui,52
de,de,81
la,le,71
malade,malade,22
",",",",p
et,et,82
ce,ce,74
pauvre,pauvre,30
être,être,21
près,près,81
de,de,81
mourir,mourir,14
la,le,52
regardait,regarder,18
aussi,aussi,60
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
ce,ce,74
simple,simple,30
échange,échange,21
de,de,81
charité,charité,22
et,et,82
de,de,81
reconnaissance,reconnaissance,22
une,un,71
beauté,beauté,22
qui,qui,52
ne,ne,60
se,se,51
dit,dire,17
pas,pas,60
/.,/.,P
la,le,71
pluie,pluie,22
redoublait,redoubler,18
;,;,p
une,un,71
profonde,profond,30
obscurité,obscurité,22
pesait,peser,18
sur,sur,81
les,le,71
champs,champ,21
déserts,désert,30
que,que,52
de,de,81
violents,violent,30
coups,coup,21
de,de,81
tonnerre,tonnerre,21
éclairaient,éclairer,18
par,par,81
instants,instant,21
/.,/.,P
le,le,71
bruit,bruit,21
de,de,81
l',le,71
orage,orage,21
",",",",p
le,le,71
vent,vent,21
qui,qui,52
mugissait,mugir,18
",",",",p
la,le,71
colère,colère,22
des,de,81
des,le,71
éléments,élément,21
déchaînée,déchaîné,31
sur,sur,81
le,le,71
toit,toit,21
de,de,81
chaume,chaume,21
",",",",p
donnaient,donner,18
",",",",p
par,par,81
leur,leur,73
contraste,contraste,21
avec,avec,81
le,le,71
silence,silence,21
religieux,religieux,30
de,de,81
la,le,71
cabane,cabane,22
",",",",p
plus,plus,60
de,de,81
sainteté,sainteté,22
encore,encore,60
et,et,82
comme,comme,83
une,un,71
grandeur,grandeur,22
étrange,étrange,30
à,à,81
la,le,71
scène,scène,22
dont,dont,52
j',je,51
étais,être,18
témoin,témoin,21
/.,/.,P
je,je,51
regardais,regarder,18
ce,ce,74
grabat,grabat,21
",",",",p
ces,ce,74
vitres,vitre,22
inondées,inondé,31
",",",",p
les,le,71
bouffées,bouffée,22
de,de,81
fumée,fumée,22
épaisse,épais,30
renvoyées,renvoyé,31
par,par,81
la,le,71
tempête,tempête,22
",",",",p
l',le,71
abattement,abattement,21
stupide,stupide,30
du,de,81
du,le,71
fermier,fermier,21
",",",",p
la,le,71
terreur,terreur,22
superstitieuse,superstitieux,30
des,de,81
des,le,71
enfants,enfant,21
",",",",p
toute,tout,75
cette,ce,74
furie,furie,22
au dehors,au-dehors,60
assiégeant,assiéger,13
une,un,71
moribonde,moribond,30
;,;,p
et,et,82
lorsqu',lorsque,83
au,à,81
au,le,71
milieu,milieu,21
de,de,81
tout,tout,75
cela,cela,52
",",",",p
je,je,51
voyais,voir,18
cette,ce,74
femme,femme,22
douce,doux,30
et,et,82
pâle,pâle,30
",",",",p
allant,aller,13
et,et,82
venant,venir,13
sur,sur,81
la,le,71
pointe,pointe,22
du,de,81
du,le,71
pied,pied,21
",",",",p
ne,ne,60
quittant,quitter,13
pas,pas,60
d',de,81
une,un,71
minute,minute,22
son,son,73
bienfait,bienfait,21
patient,patient,30
",",",",p
ne,ne,60
paraissant,paraître,13
s',se,51
apercevoir,apercevoir,14
de,de,81
rien,rien,52
",",",",p
ni,ni,82
de,de,81
la,le,71
tempête,tempête,22
",",",",p
ni,ni,82
de,de,81
notre,notre,73
présence,présence,22
",",",",p
ni,ni,82
de,de,81
son,son,73
courage,courage,21
",",",",p
sinon,sinon,83
qu',que,83
on,on,51
avait,avoir,18
besoin,besoin,21
d',de,81
elle,il,51
",",",",p
il,il,51
me,je,51
semblait,sembler,18
qu',que,83
il,il,51
y,y,52
avait,avoir,18
",",",",p
dans,dans,81
cette,ce,74
oeuvre,oeuvre,22
tranquille,tranquille,30
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
quoi,quoi,52
de,de,81
plus,plus,60
serein,serein,30
que,que,83
le,le,71
plus,plus,60
beau,beau,30
ciel,ciel,21
sans,sans,81
nuages,nuage,21
",",",",p
et,et,82
que,que,83
c',ce,52
était,être,18
une,un,71
créature,créature,22
surhumaine,surhumain,30
que,que,83
celle,celui,52
qui,qui,52
",",",",p
à,à,81
travers,travers,21
tant,tant,60
d',de,81
horreur,horreur,22
",",",",p
ne,ne,60
doutait,douter,18
pas,pas,60
un,un,71
instant,instant,21
de,de,81
son,son,73
dieu,dieu,21
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
donc,donc,82
que,que,83
cette,ce,74
femme,femme,22
?,?,p
me,je,51
demandais,demander,18
je,je,51
/.,/.,P
d',de,81
où,où,60
vient,venir,17
elle,il,51
?,?,p
depuis,depuis,81
quand,quand,83
ici,ici,60
/?,/?,P
depuis,depuis,81
longtemps,longtemps,60
",",",",p
puisqu',puisque,83
on,on,51
s',se,51
y,y,52
souvient,souvenir,17
de,de,81
l',le,52
avoir,avoir,14
vue,voir,12
rosière,rosière,22
/.,/.,P
comment,comment,60
n',ne,60
ai,avoir,17
je,je,51
point,point,60
entendu,entendre,12
parler,parler,14
d',de,81
elle,il,51
/?,/?,P
elle,il,51
vient,venir,17
seule,seul,30
dans,dans,81
cette,ce,74
chaumière,chaumière,22
",",",",p
à,à,81
cette,ce,74
heure,heure,22
/?,/?,P
là,là,60
où,où,60
le,le,71
danger,danger,21
ne,ne,60
l',le,52
appellera,appeler,15
plus,plus,60
",",",",p
elle,il,51
ira,aller,15
en,en,52
chercher,chercher,14
un,un,71
autre,autre,52
/?,/?,P
oui,oui,60
",",",",p
à,à,81
travers,travers,21
tous,tout,75
ces,ce,74
orages,orage,21
",",",",p
toutes,tout,75
ces,ce,74
forêts,forêt,22
",",",",p
toutes,tout,75
ces,ce,74
montagnes,montagne,22
",",",",p
elle,il,51
va,aller,17
et,et,82
vient,venir,17
",",",",p
simple,simple,30
et,et,82
voilée,voilé,31
",",",",p
portant,porter,13
la,le,71
vie,vie,22
où,où,60
elle,il,51
manque,manquer,17
",",",",p
dans,dans,81
cette,ce,74
petite,petit,30
tasse,tasse,22
fragile,fragile,30
",",",",p
caressant,caresser,13
sa,son,73
chèvre,chèvre,22
en,en,81
passant,passer,13
/.,/.,P
c',ce,52
est,être,17
de,de,81
ce,ce,74
pas,pas,21
silencieux,silencieux,30
et,et,82
calme,calme,30
qu',que,83
elle,il,51
marche,marcher,17
elle-même,lui-même,51
à,à,81
la,le,71
mort,mort,22
/.,/.,P
voilà,voilà,81
ce,ce,52
qu',que,52
elle,il,51
faisait,faire,18
dans,dans,81
cette,ce,74
vallée,vallée,22
",",",",p
pendant,pendant,81
que,que,83
je,je,51
courais,courir,18
les,le,71
tripots,tripot,21
:,:,p
elle,il,51
y,y,52
est,être,17
sans,sans,81
doute,doute,21
née,naître,12
",",",",p
et,et,82
on,on,51
l',le,52
y,y,52
ensevelira,ensevelir,15
dans,dans,81
un,un,71
coin,coin,21
du,de,81
du,le,71
cimetière,cimetière,21
",",",",p
à,à,81
côté,côté,21
de,de,81
mon,mon,73
père,père,21
bien-aimé,bien-aimé,30
/.,/.,P
ainsi,ainsi,60
mourra,mourir,15
cette,ce,74
femme,femme,22
obscure,obscur,30
",",",",p
dont,dont,52
personne,personne,52
ne,ne,60
parle,parler,17
",",",",p
et,et,82
dont,dont,52
les,le,71
enfants,enfant,21
vous,vous,51
demandent,demander,17
:,:,p
est,être,17
ce,ce,52
que,que,83
vous,vous,51
ne,ne,60
la,le,52
connaissez,connaître,17
pas,pas,60
/?,/?,P
je,je,51
ne,ne,60
puis,pouvoir,17
rendre,rendre,14
ce,ce,52
que,que,52
j',je,51
éprouvais,éprouver,18
;,;,p
j',je,51
étais,être,18
immobile,immobile,30
dans,dans,81
un,un,71
coin,coin,21
;,;,p
je,je,51
ne,ne,60
respirais,respirer,18
qu',que,83
en,en,81
tremblant,trembler,13
",",",",p
et,et,82
il,il,51
me,je,51
semblait,sembler,18
que,que,83
",",",",p
si,si,83
j',je,51
avais,avoir,18
essayé,essayer,12
de,de,81
l',le,52
aider,aider,14
",",",",p
si,si,83
j',je,51
avais,avoir,18
étendu,étendre,12
la,le,71
main,main,22
pour,pour,81
lui,lui,51
épargner,épargner,14
un,un,71
pas,pas,21
",",",",p
j',je,51
aurais,avoir,16
commis,commettre,12
un,un,71
sacrilège,sacrilège,21
et,et,82
touché,toucher,12
aux,à,81
aux,le,71
vases,vase,21
sacrés,sacré,31
/.,/.,P
l',le,71
orage,orage,21
dura,durer,19
près,près,81
de,de,81
deux,deux,72
heures,heure,22
/.,/.,P
lorsqu',lorsque,83
il,il,51
fut,être,19
apaisé,apaiser,12
",",",",p
la,le,71
malade,malade,22
",",",",p
s',se,51
étant,être,13
mise,mettre,12
sur,sur,81
son,son,73
séant,séant,21
",",",",p
commença,commencer,19
à,à,81
dire,dire,14
qu',que,83
elle,il,51
se,se,51
sentait,sentir,18
mieux,mieux,60
et,et,82
que,que,83
ce,ce,52
qu',que,52
elle,il,51
avait,avoir,18
pris,prendre,12
lui,lui,51
faisait,faire,18
du,de,81
du,le,71
bien,bien,21
/.,/.,P
les,le,71
enfants,enfant,21
accoururent,accourir,19
aussitôt,aussitôt,60
à,à,81
son,son,73
lit,lit,21
",",",",p
regardant,regarder,13
leur,leur,73
mère,mère,22
avec,avec,81
de,de,81
grands,grand,30
yeux,oeil,21
",",",",p
moitié,moitié,22
inquiets,inquiet,30
",",",",p
moitié,moitié,22
réjouis,réjoui,31
",",",",p
et,et,82
s',se,51
accrochant,accrocher,13
à,à,81
la,le,71
robe,robe,22
de,de,81
madame,madame,22
Pierson,Pierson,20
/.,/.,P
-,-,p
je,je,51
le,le,52
crois,croire,17
bien,bien,60
",",",",p
dit,dire,19
le,le,71
mari,mari,21
",",",",p
qui,qui,52
ne,ne,60
bougea,bouger,19
pas,pas,60
de,de,81
sa,son,73
place,place,22
;,;,p
nous,nous,51
avons,avoir,17
fait,faire,12
dire,dire,14
une,un,71
messe,messe,22
;,;,p
et,et,82
il,il,51
nous,nous,51
en,en,52
a,avoir,17
coûté,coûter,12
gros,gros,60
/.,/.,P
à,à,81
cette,ce,74
parole,parole,22
grossière,grossier,30
et,et,82
stupide,stupide,30
",",",",p
je,je,51
regardai,regarder,19
madame,madame,22
Pierson,Pierson,20
;,;,p
ses,son,73
yeux,oeil,21
battus,battu,31
",",",",p
sa,son,73
pâleur,pâleur,22
",",",",p
l',le,71
attitude,attitude,22
de,de,81
son,son,73
corps,corps,21
",",",",p
montraient,montrer,18
clairement,clairement,60
sa,son,73
fatigue,fatigue,22
",",",",p
et,et,82
que,que,52
les,le,71
veilles,veille,22
l',le,52
épuisaient,épuiser,18
/.,/.,P
-,-,p
ah,ah,93
!,!,p
mon,mon,73
pauvre,pauvre,30
homme,homme,21
",",",",p
dit,dire,19
la,le,71
malade,malade,22
",",",",p
que,que,52
dieu,dieu,21
te,tu,51
le,le,52
rende,rendre,17
/!,/!,P
je,je,51
ne,ne,60
pouvais,pouvoir,18
plus,plus,60
y,y,52
tenir,tenir,14
;,;,p
je,je,51
me,je,51
levai,lever,19
comme,comme,83
transporté,transporté,31
de,de,81
la,le,71
sottise,sottise,22
de,de,81
ces,ce,74
brutes,brute,22
qui,qui,52
rendaient,rendre,18
grâces,grâce,22
de,de,81
la,le,71
charité,charité,22
d',de,81
un,un,71
ange,ange,21
à,à,81
l',le,71
avarice,avarice,22
de,de,81
leur,leur,73
curé,curé,21
;,;,p
j',je,51
étais,être,18
prêt,prêt,30
à,à,81
leur,leur,52
reprocher,reprocher,14
leur,leur,73
plate,plat,30
ingratitude,ingratitude,22
et,et,82
à,à,81
les,le,52
traiter,traiter,14
comme,comme,83
ils,ils,51
le,le,52
méritaient,mériter,18
/.,/.,P
madame,madame,22
Pierson,Pierson,20
souleva,soulever,19
dans,dans,81
ses,son,73
bras,bras,21
un,un,52
des,de,81
des,le,71
enfants,enfant,21
de,de,81
la,le,71
fermière,fermière,22
",",",",p
et,et,82
lui,lui,51
dit,dire,19
avec,avec,81
un,un,71
sourire,sourire,21
:,:,p
-,-,p
embrasse,embrasser,17
ta,ton,73
mère,mère,22
:,:,p
elle,il,51
est,être,17
sauvée,sauver,12
/.,/.,P
je,je,51
m',je,51
arrêtai,arrêter,19
en,en,81
entendant,entendre,13
ce,ce,74
mot,mot,21
;,;,p
jamais,jamais,60
le,le,71
naïf,naïf,30
contentement,contentement,21
d',de,81
une,un,71
âme,âme,22
heureuse,heureux,30
et,et,82
bienveillante,bienveillant,30
ne,ne,60
s',se,51
est,être,17
peint,peindre,12
avec,avec,81
tant,tant,60
de,de,81
franchise,franchise,22
sur,sur,81
un,un,71
si,si,60
doux,doux,30
visage,visage,21
/.,/.,P
je,je,51
ne,ne,60
retrouvai,retrouver,19
plus,plus,60
tout,tout,60
d',de,81
un,un,71
coup,coup,21
ni,ni,82
sa,son,73
fatigue,fatigue,22
ni,ni,82
sa,son,73
pâleur,pâleur,22
;,;,p
elle,il,51
rayonnait,rayonner,18
de,de,81
toute,tout,75
la,le,71
pureté,pureté,22
de,de,81
sa,son,73
joie,joie,22
;,;,p
et,et,82
elle,il,51
aussi,aussi,60
rendait,rendre,18
grâces,grâce,22
à,à,81
dieu,dieu,21
/.,/.,P
la,le,71
malade,malade,22
venait,venir,18
de,de,81
parler,parler,14
;,;,p
et,et,82
qu',que,52
importait,importer,18
ce,ce,52
qu',que,52
elle,il,51
avait,avoir,18
dit,dire,12
/?,/?,P
cependant,cependant,82
",",",",p
quelques,quelque,75
instants,instant,21
après,après,81
",",",",p
madame,madame,22
Pierson,Pierson,20
dit,dire,19
aux,à,81
aux,le,71
enfants,enfant,21
de,de,81
réveiller,réveiller,14
le,le,71
garçon,garçon,21
de,de,81
ferme,ferme,22
",",",",p
afin,afin,81
qu',que,83
il,il,51
la,le,52
reconduisît,reconduire,18
/.,/.,P
je,je,51
m',je,51
avançai,avancer,19
pour,pour,81
lui,lui,51
offrir,offrir,14
mon,mon,73
escorte,escorte,22
;,;,p
je,je,51
lui,lui,51
dis,dire,19
qu',que,83
il,il,51
était,être,18
inutile,inutile,30
de,de,81
réveiller,réveiller,14
le,le,71
garçon,garçon,21
",",",",p
puisque,puisque,83
je,je,51
revenais,revenir,18
par,par,81
le,le,71
même,même,75
chemin,chemin,21
",",",",p
qu',que,83
elle,il,51
me,je,51
ferait,faire,16
honneur,honneur,21
en,en,81
acceptant,accepter,13
/.,/.,P
elle,il,51
me,je,51
demanda,demander,19
si,si,83
je,je,51
n',ne,60
étais,être,18
pas,pas,60
Octave,Octave,20
de,de,81
T.,T,20
je,je,51
lui,lui,51
répondis,répondre,19
que,que,83
oui,oui,60
",",",",p
et,et,82
qu',que,52
elle,il,51
se,se,51
souvenait,souvenir,18
peut-être,peut-être,60
de,de,81
mon,mon,73
père,père,21
/.,/.,P
il,il,51
me,je,51
parut,paraître,19
singulier,singulier,30
que,que,83
cette,ce,74
demande,demande,22
la,le,52
fît,faire,18
sourire,sourire,14
;,;,p
elle,il,51
prit,prendre,19
mon,mon,73
bras,bras,21
gaiement,gaiement,60
",",",",p
et,et,82
nous,nous,51
partîmes,partir,19
/.,/.,P
<Chapitre IV>,<>,<>
nous,nous,51
marchions,marcher,18
en,en,81
silence,silence,21
;,;,p
le,le,71
vent,vent,21
s',se,51
apaisait,apaiser,18
;,;,p
les,le,71
arbres,arbre,21
frémissaient,frémir,18
doucement,doucement,60
en,en,81
secouant,secouer,13
la,le,71
pluie,pluie,22
sur,sur,81
leurs,leur,73
rameaux,rameau,21
/.,/.,P
quelques,quelque,75
éclairs,éclair,21
lointains,lointain,30
brillaient,briller,18
encore,encore,60
;,;,p
un,un,71
parfum,parfum,21
de,de,81
verdure,verdure,22
humide,humide,30
s',se,51
élevait,élever,18
dans,dans,81
l',le,71
air,air,21
attiédi,attiédi,31
/.,/.,P
le,le,71
ciel,ciel,21
redevint,redevenir,19
bientôt,bientôt,60
pur,pur,30
",",",",p
et,et,82
la,le,71
lune,lune,22
éclaira,éclairer,19
la,le,71
montagne,montagne,22
/.,/.,P
je,je,51
ne,ne,60
pouvais,pouvoir,18
m',je,51
empêcher,empêcher,14
de,de,81
penser,penser,14
à,à,81
la,le,71
bizarrerie,bizarrerie,22
du,de,81
du,le,71
hasard,hasard,21
qui,qui,52
",",",",p
en,en,81
si,si,83
peu,peu,60
d',de,81
heures,heure,22
",",",",p
me,je,51
faisait,faire,18
ainsi,ainsi,60
me,je,51
trouver,trouver,14
seul,seul,30
",",",",p
la,le,71
nuit,nuit,22
",",",",p
dans,dans,81
une,un,71
campagne,campagne,22
déserte,désert,30
",",",",p
le,le,71
compagnon,compagnon,21
de,de,81
voyage,voyage,21
d',de,81
une,un,71
femme,femme,22
dont,dont,52
je,je,51
ne,ne,60
connaissais,connaître,18
pas,pas,60
l',le,71
existence,existence,22
au,à,81
au,le,71
lever,lever,21
du,de,81
du,le,71
soleil,soleil,21
/.,/.,P
elle,il,51
avait,avoir,18
accepté,accepter,12
ma,mon,73
conduite,conduite,22
sur,sur,81
le,le,71
nom,nom,21
que,que,52
je,je,51
portais,porter,18
",",",",p
et,et,82
marchait,marcher,18
avec,avec,81
assurance,assurance,22
",",",",p
s',se,51
appuyant,appuyer,13
sur,sur,81
mon,mon,73
bras,bras,21
d',de,81
un,un,71
air,air,21
distrait,distrait,31
/.,/.,P
il,il,51
me,je,51
semblait,sembler,18
que,que,83
cette,ce,74
confiance,confiance,22
était,être,18
bien,bien,60
hardie,hardi,30
ou,ou,82
bien,bien,60
simple,simple,30
;,;,p
et,et,82
elle,il,51
devait,devoir,18
être,être,14
en,en,81
effet,effet,21
l',le,71
un,un,52
et,et,82
l',le,71
autre,autre,52
",",",",p
car,car,82
",",",",p
à,à,81
chaque,chaque,75
pas,pas,21
que,que,52
nous,nous,51
faisions,faire,18
",",",",p
je,je,51
sentais,sentir,18
mon,mon,73
coeur,coeur,21
",",",",p
à,à,81
côté,côté,21
d',de,81
elle,il,51
",",",",p
devenir,devenir,14
fier,fier,30
et,et,82
innocent,innocent,30
/.,/.,P
nous,nous,51
commençâmes,commencer,19
à,à,81
nous,nous,51
entretenir,entretenir,14
de,de,81
la,le,71
malade,malade,22
qu',que,52
elle,il,51
quittait,quitter,18
",",",",p
de,de,81
ce,ce,52
que,que,52
nous,nous,51
voyions,voir,18
sur,sur,81
la,le,71
route,route,22
;,;,p
il,il,51
ne,ne,60
nous,nous,51
vint,venir,19
pas,pas,60
la,le,71
pensée,pensée,22
de,de,81
nous,nous,51
faire,faire,14
des,de,81
des,le,71
questions,question,22
comme,comme,83
de,de,81
nouvelles,nouveau,30
connaissances,connaissance,22
/.,/.,P
elle,il,51
me,je,51
parla,parler,19
de,de,81
mon,mon,73
père,père,21
",",",",p
et,et,82
toujours,toujours,60
sur,sur,81
le,le,71
même,même,75
ton,ton,21
qu',que,52
elle,il,51
avait,avoir,18
pris,prendre,12
lorsque,lorsque,83
je,je,51
lui,lui,51
en,en,52
avais,avoir,18
d'abord,d'abord,60
rappelé,rappeler,12
le,le,71
souvenir,souvenir,21
",",",",p
c'est-à-dire,c'est-à-dire,91
presque,presque,60
gaiement,gaiement,60
/.,/.,P
à,à,81
mesure,mesure,22
que,que,52
je,je,51
l',le,52
écoutais,écouter,18
",",",",p
je,je,51
crus,croire,19
comprendre,comprendre,14
pourquoi,pourquoi,60
",",",",p
et,et,82
que,que,83
non,non,60
seulement,seulement,60
elle,il,51
parlait,parler,18
ainsi,ainsi,60
de,de,81
la,le,71
mort,mort,22
",",",",p
mais,mais,82
de,de,81
la,le,71
vie,vie,22
",",",",p
de,de,81
la,le,71
souffrance,souffrance,22
et,et,82
de,de,81
tout,tout,52
au,à,81
au,le,71
monde,monde,21
/.,/.,P
c',ce,52
était,être,18
que,que,83
les,le,71
douleurs,douleur,22
humaines,humain,30
ne,ne,60
lui,lui,51
enseignaient,enseigner,18
rien,rien,52
qui,qui,52
pût,pouvoir,18
accuser,accuser,14
dieu,dieu,21
",",",",p
et,et,82
je,je,51
sentis,sentir,19
la,le,71
piété,piété,22
de,de,81
son,son,73
sourire,sourire,21
/.,/.,P
je,je,51
lui,lui,51
contai,conter,19
la,le,71
vie,vie,22
solitaire,solitaire,30
que,que,52
je,je,51
menais,mener,18
/.,/.,P
sa,son,73
tante,tante,22
",",",",p
me,je,51
dit,dire,19
elle,il,51
",",",",p
voyait,voir,18
mon,mon,73
père,père,21
plus,plus,60
souvent,souvent,60
qu',que,83
elle-même,lui-même,51
;,;,p
ils,ils,51
jouaient,jouer,18
ensemble,ensemble,60
aux,à,81
aux,le,71
cartes,carte,22
l',le,71
après-dînée,après-dîner,21
/.,/.,P
elle,il,51
m',je,51
engagea,engager,19
à,à,81
aller,aller,14
chez,chez,81
elle,il,51
",",",",p
où,où,60
je,je,51
serais,être,16
le,le,71
bienvenu,bienvenu,30
/.,/.,P
vers,vers,81
le,le,71
milieu,milieu,21
de,de,81
la,le,71
route,route,22
",",",",p
elle,il,51
se,se,51
sentit,sentir,19
fatiguée,fatigué,31
",",",",p
et,et,82
s',se,51
assit,asseoir,19
quelques,quelque,75
moments,moment,21
sur,sur,81
un,un,71
banc,banc,21
que,que,52
des,de,81
des,le,71
arbres,arbre,21
épais,épais,30
avaient,avoir,18
protégé,protéger,12
contre,contre,81
la,le,71
pluie,pluie,22
/.,/.,P
je,je,51
restai,rester,19
debout,debout,60
devant,devant,81
elle,il,51
",",",",p
et,et,82
je,je,51
regardais,regarder,18
sur,sur,81
son,son,73
front,front,21
les,le,71
pâles,pâle,30
rayons,rayon,21
de,de,81
la,le,71
lune,lune,22
/.,/.,P
après,après,81
un,un,71
instant,instant,21
de,de,81
silence,silence,21
",",",",p
elle,il,51
se,se,51
leva,lever,19
",",",",p
et,et,82
me,je,51
voyant,voir,13
distrait,distrait,31
:,:,p
-,-,p
à,à,81
quoi,quoi,52
songez,songer,17
vous,vous,51
?,?,p
me,je,51
dit,dire,19
elle,il,51
;,;,p
il,il,51
est,être,17
temps,temps,21
de,de,81
nous,nous,51
remettre,remettre,14
en,en,81
marche,marche,22
/.,/.,P
-,-,p
je,je,51
songeais,songer,18
",",",",p
répondis,répondre,19
je,je,51
",",",",p
pourquoi,pourquoi,60
dieu,dieu,21
vous,vous,51
a,avoir,17
créée,créer,12
",",",",p
et,et,82
je,je,51
me,je,51
disais,dire,18
qu',que,83
en,en,81
effet,effet,21
c',ce,52
était,être,18
pour,pour,81
guérir,guérir,14
ceux,celui,52
qui,qui,52
souffrent,souffrir,17
/.,/.,P
-,-,p
voilà,voilà,81
une,un,71
parole,parole,22
",",",",p
dit,dire,19
elle,il,51
",",",",p
qui,qui,52
ne,ne,60
peut,pouvoir,17
guère,guère,60
être,être,14
dans,dans,81
votre,votre,73
bouche,bouche,22
autre,autre,75
chose,chose,22
qu',que,83
un,un,71
compliment,compliment,21
/.,/.,P
-,-,p
pourquoi,pourquoi,60
/?,/?,P
parce que,parce que,83
vous,vous,51
me,je,51
paraissez,paraître,17
bien,bien,60
jeune,jeune,30
/.,/.,P
-,-,p
il,il,51
arrive,arriver,17
quelquefois,quelquefois,60
",",",",p
lui,lui,51
dis,dire,17
je,je,51
",",",",p
qu',que,83
on,on,51
soit,être,17
plus,plus,60
vieux,vieux,30
que,que,83
son,son,73
visage,visage,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
répondit,répondre,19
elle,il,51
en,en,81
riant,rire,13
",",",",p
et,et,82
il,il,51
arrive,arriver,17
aussi,aussi,60
qu',que,83
on,on,51
soit,être,17
plus,plus,60
jeune,jeune,30
que,que,83
ses,son,73
paroles,parole,22
/.,/.,P
-,-,p
ne,ne,60
croyez,croire,17
vous,vous,51
pas,pas,60
à,à,81
l',le,71
expérience,expérience,22
/?,/?,P
je,je,51
sais,savoir,17
que,que,83
c',ce,52
est,être,17
le,le,71
nom,nom,21
que,que,52
la,le,71
plupart,plupart,22
des,de,81
des,le,71
hommes,homme,21
donnent,donner,17
à,à,81
leurs,leur,73
folies,folie,22
et,et,82
à,à,81
leurs,leur,73
chagrins,chagrin,21
;,;,p
qu',que,52
en,en,52
peut,pouvoir,17
on,on,51
savoir,savoir,14
à,à,81
votre,votre,73
âge,âge,21
/?,/?,P
madame,madame,22
",",",",p
un,un,71
homme,homme,21
de,de,81
vingt,vingt,72
ans,an,21
peut,pouvoir,17
avoir,avoir,14
plus,plus,60
vécu,vivre,12
qu',que,83
une,un,71
femme,femme,22
de,de,81
trente,trente,72
/.,/.,P
la,le,71
liberté,liberté,22
dont,dont,52
les,le,71
hommes,homme,21
jouissent,jouir,17
les,le,52
mène,mener,17
bien,bien,60
plus,plus,60
vite,vite,60
au,à,81
au,le,71
fond,fond,21
de,de,81
toutes,tout,75
choses,chose,22
;,;,p
ils,ils,51
courent,courir,17
sans,sans,81
entraves,entrave,22
à,à,81
tout,tout,52
ce,ce,52
qui,qui,52
les,le,52
attire,attirer,17
;,;,p
ils,ils,51
essaient,essayer,17
de,de,81
tout,tout,52
/.,/.,P
dès,dès,81
qu',que,83
ils,ils,51
espèrent,espérer,17
",",",",p
ils,ils,51
se,se,51
mettent,mettre,17
en,en,81
marche,marche,22
;,;,p
ils,ils,51
vont,aller,17
",",",",p
ils,ils,51
s',se,51
empressent,empresser,17
/.,/.,P
arrivés,arrivé,31
au,à,81
au,le,71
but,but,21
",",",",p
ils,ils,51
se,se,51
retournent,retourner,17
;,;,p
l',le,71
espérance,espérance,22
est,être,17
restée,rester,12
en,en,81
route,route,22
",",",",p
et,et,82
le,le,71
bonheur,bonheur,21
a,avoir,17
manqué,manquer,12
de,de,81
parole,parole,22
/.,/.,P
comme,comme,83
je,je,51
parlais,parler,18
ainsi,ainsi,60
",",",",p
nous,nous,51
étions,être,18
au,à,81
au,le,71
sommet,sommet,21
d',de,81
une,un,71
petite,petit,30
colline,colline,22
qui,qui,52
descendait,descendre,18
dans,dans,81
la,le,71
vallée,vallée,22
;,;,p
madame,madame,22
Pierson,Pierson,20
",",",",p
comme,comme,83
invitée,invité,31
par,par,81
la,le,71
pente,pente,22
rapide,rapide,30
",",",",p
se,se,51
mit,mettre,19
à,à,81
sauter,sauter,14
légèrement,légèrement,60
/.,/.,P
sans,sans,81
savoir,savoir,14
pourquoi,pourquoi,60
",",",",p
j',je,51
en,en,52
fis,faire,19
autant,autant,60
qu',que,83
elle,il,51
;,;,p
nous,nous,51
nous,nous,51
mîmes,mettre,19
à,à,81
courir,courir,14
sans,sans,81
nous,nous,51
quitter,quitter,14
le,le,71
bras,bras,21
;,;,p
l',le,71
herbe,herbe,22
glissante,glissant,30
nous,nous,51
entraînait,entraîner,18
/.,/.,P
enfin,enfin,60
