11073
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-deuxième extrait>,<>,<>
étais,être,18
comme,comme,83
un,un,71
homme,homme,21
étourdi,étourdi,31
d',de,81
un,un,71
coup,coup,21
soudain,soudain,30
qui,qui,52
ne,ne,60
sait,savoir,17
pas,pas,60
encore,encore,60
bien,bien,60
d',de,81
où,où,60
il,il,51
souffre,souffrir,17
",",",",p
mais,mais,82
qui,qui,52
souffre,souffrir,17
de,de,81
partout,partout,60
/.,/.,P
je,je,51
quittai,quitter,19
mon,mon,73
lit,lit,21
avant,avant,81
qu',que,83
aucun,aucun,75
bruit,bruit,21
se,se,51
fît,faire,18
entendre,entendre,14
dans,dans,81
la,le,71
maison,maison,22
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
quel,quel,75
instinct,instinct,21
me,je,51
portait,porter,18
à,à,81
m',je,51
éloigner,éloigner,14
pendant,pendant,81
quelque,quelque,75
temps,temps,21
",",",",p
comme,comme,83
si,si,83
ma,mon,73
présence,présence,22
eût,avoir,19
dû,devoir,12
troubler,troubler,14
dans,dans,81
un,un,71
pareil,pareil,30
moment,moment,21
le,le,71
sanctuaire,sanctuaire,21
de,de,81
cette,ce,74
famille,famille,22
dont,dont,52
le,le,71
sort,sort,21
s',se,51
agitait,agiter,18
ainsi,ainsi,60
devant,devant,81
un,un,71
étranger,étranger,21
/.,/.,P
je,je,51
sortis,sortir,19
en,en,81
avertissant,avertir,13
Beppo,Beppo,20
que,que,83
je,je,51
ne,ne,60
reviendrais,revenir,16
pas,pas,60
de,de,81
quelques,quelque,75
jours,jour,21
/.,/.,P
je,je,51
pris,prendre,19
au,à,81
au,le,71
hasard,hasard,21
la,le,71
direction,direction,22
que,que,52
me,je,51
tracèrent,tracer,19
mes,mon,73
premiers,premier,72
pas,pas,21
/.,/.,P
je,je,51
suivis,suivre,19
les,le,71
longs,long,30
quais,quai,21
de,de,81
Naples,Naples,20
",",",",p
la,le,71
côte,côte,22
de,de,81
Resina,Resina,20
",",",",p
de,de,81
Portici,Portici,20
",",",",p
le,le,71
pied,pied,21
du,de,81
du,le,71
Vésuve,Vésuve,20
/.,/.,P
je,je,51
pris,prendre,19
des,de,81
des,le,71
guides,guide,21
à,à,81
Torre,Torre,20
del,del,92
Greco,Greco,20
;,;,p
je,je,51
couchai,coucher,19
sur,sur,81
une,un,71
pierre,pierre,22
à,à,81
la,le,71
porte,porte,22
de,de,81
l',le,71
ermitage,ermitage,21
de,de,81
San Salvatore,San Salvatore,20
",",",",p
aux,à,81
aux,le,71
confins,confins,21
où,où,60
la,le,71
nature,nature,22
habitée,habité,31
finit,finir,17
et,et,82
où,où,60
la,le,71
région,région,22
du,de,81
du,le,71
feu,feu,21
commence,commencer,17
/.,/.,P
comme,comme,83
le,le,71
volcan,volcan,21
était,être,18
depuis,depuis,81
quelque,quelque,75
temps,temps,21
en,en,81
ébullition,ébullition,22
et,et,82
lançait,lancer,18
à,à,81
chaque,chaque,75
secousse,secousse,22
des,de,81
des,le,71
nuages,nuage,21
de,de,81
cendre,cendre,22
et,et,82
de,de,81
pierres,pierre,22
que,que,52
nous,nous,51
entendions,entendre,18
rouler,rouler,14
la,le,71
nuit,nuit,22
jusque,jusque,81
dans,dans,81
le,le,71
ravin,ravin,21
de,de,81
lave,lave,22
qui,qui,52
est,être,17
au,à,81
au,le,71
pied,pied,21
de,de,81
l',le,71
ermitage,ermitage,21
",",",",p
mes,mon,73
guides,guide,21
refusèrent,refuser,19
de,de,81
m',je,51
accompagner,accompagner,14
plus,plus,60
loin,loin,60
/.,/.,P
je,je,51
montai,monter,19
seul,seul,30
;,;,p
je,je,51
gravis,gravir,19
péniblement,péniblement,60
le,le,71
dernier,dernier,30
cône,cône,21
en,en,81
enfonçant,enfoncer,13
mes,mon,73
pieds,pied,21
et,et,82
mes,mon,73
mains,main,22
dans,dans,81
une,un,71
cendre,cendre,22
épaisse,épais,30
et,et,82
brûlante,brûlant,30
qui,qui,52
s',se,51
éboulait,ébouler,18
sous,sous,81
le,le,71
poids,poids,21
de,de,81
l',le,71
homme,homme,21
/.,/.,P
le,le,71
volcan,volcan,21
grondait,gronder,18
et,et,82
tonnait,tonner,18
par,par,81
moments,moment,21
/.,/.,P
les,le,71
pierres,pierre,22
calcinées,calciné,31
et,et,82
encore,encore,60
rouges,rouge,30
pleuvaient,pleuvoir,18
ça,ça,52
et,et,82
là,là,60
autour,autour,60
de,de,81
moi,moi,51
en,en,81
s',se,51
éteignant,éteindre,13
dans,dans,81
la,le,71
cendre,cendre,22
/.,/.,P
rien,rien,52
ne,ne,60
m',je,51
arrêta,arrêter,19
/.,/.,P
je,je,51
parvins,parvenir,19
jusqu',jusque,81
au,à,81
au,le,71
rebord,rebord,21
extrême,extrême,30
du,de,81
du,le,71
cratère,cratère,21
/.,/.,P
je,je,51
m',je,51
assis,asseoir,19
/.,/.,P
je,je,51
vis,voir,19
lever,lever,14
le,le,71
soleil,soleil,21
sur,sur,81
le,le,71
golfe,golfe,21
",",",",p
sur,sur,81
la,le,71
campagne,campagne,22
et,et,82
sur,sur,81
la,le,71
ville,ville,22
éblouissante,éblouissant,30
de,de,81
Naples,Naples,20
/.,/.,P
je,je,51
fus,être,19
insensible,insensible,30
et,et,82
froid,froid,30
à,à,81
ce,ce,74
spectacle,spectacle,21
que,que,52
tant,tant,60
de,de,81
voyageurs,voyageur,21
viennent,venir,17
admirer,admirer,14
de,de,81
mille,mille,72
lieues,lieue,22
/.,/.,P
je,je,51
ne,ne,60
cherchais,chercher,18
dans,dans,81
cette,ce,74
immensité,immensité,22
de,de,81
lumière,lumière,22
",",",",p
de,de,81
mers,mer,22
",",",",p
de,de,81
côtes,côte,22
et,et,82
d',de,81
édifices,édifice,21
frappés,frappé,31
du,de,81
du,le,71
soleil,soleil,21
qu',que,83
un,un,71
petit,petit,30
point,point,21
blanc,blanc,30
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
vert,vert,21
sombre,sombre,30
des,de,81
des,le,71
arbres,arbre,21
",",",",p
à,à,81
l',le,71
extrémité,extrémité,22
de,de,81
la,le,71
colline,colline,22
du,de,81
du,le,71
Pausilippe,Pausilippe,20
où,où,60
je,je,51
croyais,croire,18
distinguer,distinguer,14
la,le,71
chaumière,chaumière,22
d',de,81
Andréa,Andréa,20
/.,/.,P
l',le,71
homme,homme,21
a,avoir,17
beau,beau,60
regarder,regarder,14
et,et,82
embrasser,embrasser,14
l',le,71
espace,espace,21
",",",",p
la,le,71
nature,nature,22
entière,entier,30
ne,ne,60
se,se,51
compose,composer,17
pour,pour,81
lui,lui,51
que,que,83
de,de,81
deux,deux,72
ou,ou,82
trois,trois,72
points,point,21
sensibles,sensible,30
auxquels,à,81
auxquels,lequel,52
toute,tout,75
son,son,73
âme,âme,22
aboutit,aboutir,17
/.,/.,P
ôtez,ôter,17
de,de,81
la,le,71
vie,vie,22
le,le,71
coeur,coeur,21
qui,qui,52
vous,vous,51
aime,aimer,17
:,:,p
qu',que,52
y,y,52
reste,rester,17
t,t,94
il,il,51
/?,/?,P
il,il,51
en,en,52
est,être,17
de,de,81
même,même,60
de,de,81
la,le,71
nature,nature,22
/.,/.,P
effacez,effacer,17
en,en,52
le,le,71
site,site,21
et,et,82
la,le,71
maison,maison,22
que,que,52
vos,votre,73
pensées,pensée,22
cherchent,chercher,17
ou,ou,82
que,que,52
vos,votre,73
souvenirs,souvenir,21
peuplent,peupler,17
",",",",p
ce,ce,52
n',ne,60
est,être,17
plus,plus,60
qu',que,83
un,un,71
vide,vide,21
éclatant,éclatant,30
où,où,60
le,le,71
regard,regard,21
se,se,51
plonge,plonger,17
sans,sans,81
trouver,trouver,14
ni,ni,82
fond,fond,21
ni,ni,82
repos,repos,21
/.,/.,P
faut,falloir,17
il,il,51
s',se,51
étonner,étonner,14
après,après,81
cela,cela,52
que,que,83
les,le,71
plus,plus,60
sublimes,sublime,30
scènes,scène,22
de,de,81
la,le,71
création,création,22
soient,être,17
contemplées,contempler,12
d',de,81
un,un,71
oeil,oeil,21
si,si,60
divers,divers,30
par,par,81
les,le,71
voyageurs,voyageur,21
/?,/?,P
c',ce,52
est,être,17
que,que,83
chacun,chacun,52
porte,porter,17
avec,avec,81
soi,soi,51
son,son,73
point,point,21
de,de,81
vue,vue,22
/.,/.,P
un,un,71
nuage,nuage,21
sur,sur,81
l',le,71
âme,âme,22
couvre,couvrir,17
et,et,82
décolore,décolorer,17
plus,plus,60
la,le,71
terre,terre,22
qu',que,52
un,un,71
nuage,nuage,21
sur,sur,81
l',le,71
horizon,horizon,21
/.,/.,P
le,le,71
spectacle,spectacle,21
est,être,17
dans,dans,81
le,le,71
spectateur,spectateur,21
/.,/.,P
je,je,51
l',le,52
éprouvai,éprouver,19
/.,/.,P
<XI>,<>,<>
je,je,51
regardai,regarder,19
tout,tout,52
;,;,p
je,je,51
ne,ne,60
vis,voir,19
rien,rien,52
/.,/.,P
en,en,81
vain,vain,30
je,je,51
descendis,descendre,19
comme,comme,83
un,un,71
insensé,insensé,30
",",",",p
en,en,81
me,je,51
retenant,retenir,13
aux,à,81
aux,le,71
pointes,pointe,22
de,de,81
laves,lave,22
refroidies,refroidi,31
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
cratère,cratère,21
/.,/.,P
en,en,81
vain,vain,30
je,je,51
franchis,franchir,19
des,de,81
des,le,71
crevasses,crevasse,22
profondes,profond,30
d',de,81
où,où,60
la,le,71
fumée,fumée,22
et,et,82
les,le,71
flammes,flamme,22
rampantes,rampant,30
m',je,51
étouffaient,étouffer,18
et,et,82
me,je,51
brûlaient,brûler,18
/.,/.,P
en,en,81
vain,vain,30
je,je,51
contemplai,contempler,19
les,le,71
grands,grand,30
champs,champ,21
de,de,81
soufre,soufre,21
et,et,82
de,de,81
sel,sel,21
cristallisés,cristallisé,31
qui,qui,52
ressemblaient,ressembler,18
à,à,81
des,de,81
des,le,71
glaciers,glacier,21
coloriés,colorié,31
par,par,81
ces,ce,74
haleines,haleine,22
du,de,81
du,le,71
feu,feu,21
/.,/.,P
je,je,51
restai,rester,19
aussi,aussi,60
froid,froid,30
à,à,81
l',le,71
admiration,admiration,22
qu',que,83
au,à,81
au,le,71
danger,danger,21
/.,/.,P
mon,mon,73
âme,âme,22
était,être,18
ailleurs,ailleurs,60
;,;,p
je,je,51
voulais,vouloir,18
en,en,81
vain,vain,30
la,le,52
rappeler,rappeler,14
/.,/.,P
je,je,51
redescendis,redescendre,19
le,le,71
soir,soir,21
à,à,81
l',le,71
ermitage,ermitage,21
/.,/.,P
je,je,51
congédiai,congédier,19
mes,mon,73
guides,guide,21
;,;,p
je,je,51
revins,revenir,19
à,à,81
travers,travers,21
les,le,71
vignes,vigne,22
de,de,81
Pompeia,Pompeia,20
/.,/.,P
je,je,51
passai,passer,19
un,un,71
jour,jour,21
entier,entier,30
à,à,81
me,je,51
promener,promener,14
dans,dans,81
les,le,71
rues,rue,22
désertes,désert,30
de,de,81
la,le,71
ville,ville,22
engloutie,englouti,31
/.,/.,P
ce,ce,74
tombeau,tombeau,21
",",",",p
ouvert,ouvert,31
après,après,81
deux,deux,72
mille,mille,72
ans,an,21
et,et,82
rendant,rendre,13
au,à,81
au,le,71
soleil,soleil,21
ses,son,73
rues,rue,22
",",",",p
ses,son,73
monuments,monument,21
",",",",p
ses,son,73
arts,art,21
",",",",p
me,je,51
laissa,laisser,19
aussi,aussi,60
insensible,insensible,30
que,que,83
le,le,71
Vésuve,Vésuve,20
/.,/.,P
l',le,71
âme,âme,22
de,de,81
toute,tout,75
cette,ce,74
cendre,cendre,22
a,avoir,17
été,être,12
balayée,balayer,12
depuis,depuis,81
tant,tant,60
de,de,81
siècles,siècle,21
par,par,81
le,le,71
vent,vent,21
de,de,81
dieu,dieu,21
qu',que,83
elle,il,51
ne,ne,60
me,je,51
parlait,parler,18
plus,plus,60
au,à,81
au,le,71
coeur,coeur,21
/.,/.,P
je,je,51
foulais,fouler,18
sous,sous,81
mes,mon,73
pieds,pied,21
cette,ce,74
poussière,poussière,22
d',de,81
hommes,homme,21
dans,dans,81
les,le,71
rues,rue,22
de,de,81
ce,ce,52
qui,qui,52
fut,être,19
leur,leur,73
ville,ville,22
avec,avec,81
autant,autant,60
d',de,81
indifférence,indifférence,22
que,que,83
des,de,81
des,le,71
amas,amas,21
de,de,81
coquillages,coquillage,21
vides,vide,30
roulés,roulé,31
par,par,81
la,le,71
mer,mer,22
sur,sur,81
ses,son,73
bords,bord,21
/.,/.,P
le,le,71
temps,temps,21
est,être,17
une,un,71
grande,grand,30
mer,mer,22
qui,qui,52
déborde,déborder,17
",",",",p
comme,comme,83
l',le,71
autre,autre,75
mer,mer,22
",",",",p
de,de,81
nos,notre,73
débris,débris,21
/.,/.,P
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
pleurer,pleurer,14
sur,sur,81
tous,tout,52
/.,/.,P
à,à,81
chaque,chaque,75
homme,homme,21
ses,son,73
douleurs,douleur,22
",",",",p
à,à,81
chaque,chaque,75
siècle,siècle,21
sa,son,73
pitié,pitié,22
;,;,p
c',ce,52
est,être,17
bien,bien,60
assez,assez,60
/.,/.,P
en,en,81
quittant,quitter,13
Pompeia,Pompeia,20
",",",",p
je,je,51
m',je,51
enfonçai,enfoncer,19
dans,dans,81
les,le,71
gorges,gorge,22
boisées,boisé,31
des,de,81
des,le,71
montagnes,montagne,22
de,de,81
Castellamare,Castellamare,20
et,et,82
de,de,81
Sorrente,Sorrente,20
/.,/.,P
j',je,51
y,y,52
vécus,vivre,19
quelques,quelque,75
jours,jour,21
",",",",p
allant,aller,13
d',de,81
un,un,71
village,village,21
à,à,81
l',le,71
autre,autre,52
",",",",p
et,et,82
me,je,51
faisant,faire,13
guider,guider,14
par,par,81
les,le,71
chevriers,chevrier,21
aux,à,81
aux,le,71
sites,site,21
les,le,71
plus,plus,60
renommés,renommé,31
de,de,81
leurs,leur,73
montagnes,montagne,22
/.,/.,P
on,on,51
me,je,51
prenait,prendre,18
pour,pour,81
un,un,71
peintre,peintre,21
qui,qui,52
étudiait,étudier,18
des,de,81
des,le,71
points,point,21
de,de,81
vue,vue,22
",",",",p
parce que,parce que,83
j',je,51
écrivais,écrire,18
de,de,81
temps,temps,21
en,en,81
temps,temps,21
quelques,quelque,75
notes,note,22
sur,sur,81
un,un,71
petit,petit,30
livre,livre,21
de,de,81
dessins,dessin,21
que,que,52
mon,mon,73
ami,ami,21
m',je,51
avait,avoir,18
laissé,laisser,12
/.,/.,P
je,je,51
n',ne,60
étais,être,18
qu',que,83
une,un,71
âme,âme,22
errante,errant,30
qui,qui,52
divaguait,divaguer,18
ça,ça,52
et,et,82
là,là,60
dans,dans,81
la,le,71
campagne,campagne,22
pour,pour,81
user,user,14
les,le,71
jours,jour,21
/.,/.,P
tout,tout,52
me,je,51
manquait,manquer,18
/.,/.,P
je,je,51
me,je,51
manquais,manquer,18
à,à,81
moi-même,moi-même,51
/.,/.,P
je,je,51
ne,ne,60
pus,pouvoir,19
continuer,continuer,14
plus,plus,60
longtemps,longtemps,60
/.,/.,P
quand,quand,83
les,le,71
fêtes,fête,22
de,de,81
Noël,Noël,20
furent,être,19
passées,passer,12
",",",",p
et,et,82
ce,ce,74
premier,premier,72
jour,jour,21
de,de,81
l',le,71
année,année,22
aussi,aussi,60
dont,dont,52
les,le,71
hommes,homme,21
ont,avoir,17
fait,faire,12
une,un,71
fête,fête,22
comme,comme,83
pour,pour,81
séduire,séduire,14
et,et,82
fléchir,fléchir,14
le,le,71
temps,temps,21
avec,avec,81
des,de,81
des,le,71
joies,joie,22
et,et,82
des,de,81
des,le,71
couronnes,couronne,22
",",",",p
comme,comme,83
un,un,71
hôte,hôte,21
sévère,sévère,30
qu',que,52
on,on,51
veut,vouloir,17
attendrir,attendrir,14
",",",",p
je,je,51
me,je,51
hâtai,hâter,19
de,de,81
rentrer,rentrer,14
à,à,81
Naples,Naples,20
/.,/.,P
j',je,51
y,y,52
rentrai,rentrer,19
la,le,71
nuit,nuit,22
et,et,82
en,en,81
hésitant,hésiter,13
",",",",p
partagé,partagé,31
entre,entre,81
l',le,71
impatience,impatience,22
de,de,81
revoir,revoir,14
Graziella,Graziella,20
et,et,82
la,le,71
terreur,terreur,22
d',de,81
apprendre,apprendre,14
que,que,83
je,je,51
ne,ne,60
la,le,52
verrais,voir,16
plus,plus,60
/.,/.,P
je,je,51
m',je,51
arrêtai,arrêter,19
vingt,vingt,72
fois,fois,22
;,;,p
je,je,51
m',je,51
assis,asseoir,19
sur,sur,81
le,le,71
rebord,rebord,21
des,de,81
des,le,71
barques,barque,22
en,en,81
approchant,approcher,13
de,de,81
la,le,71
Margellina,Margellina,20
/.,/.,P
je,je,51
rencontrai,rencontrer,19
Beppo,Beppo,20
à,à,81
quelques,quelque,75
pas,pas,21
de,de,81
la,le,71
maison,maison,22
/.,/.,P
il,il,51
jeta,jeter,19
un,un,71
cri,cri,21
de,de,81
joie,joie,22
en,en,81
me,je,51
voyant,voir,13
",",",",p
et,et,82
il,il,51
me,je,51
sauta,sauter,19
au,à,81
au,le,71
cou,cou,21
comme,comme,83
un,un,71
jeune,jeune,30
frère,frère,21
/.,/.,P
il,il,51
m',je,51
emmena,emmener,19
vers,vers,81
sa,son,73
barque,barque,22
et,et,82
me,je,51
raconta,raconter,19
ce,ce,52
qui,qui,52
s',se,51
était,être,18
passé,passer,12
en,en,81
mon,mon,73
absence,absence,22
/.,/.,P
tout,tout,52
était,être,18
bien,bien,60
changé,changer,12
dans,dans,81
la,le,71
maison,maison,22
/.,/.,P
Graziella,Graziella,20
ne,ne,60
faisait,faire,18
plus,plus,60
que,que,83
pleurer,pleurer,14
depuis,depuis,81
que,que,83
j',je,51
étais,être,18
parti,partir,12
/.,/.,P
elle,il,51
ne,ne,60
se,se,51
mettait,mettre,18
plus,plus,60
à,à,81
table,table,22
pour,pour,81
le,le,71
repas,repas,21
/.,/.,P
elle,il,51
ne,ne,60
travaillait,travailler,18
plus,plus,60
au,à,81
au,le,71
corail,corail,21
/.,/.,P
elle,il,51
passait,passer,18
tous,tout,75
ses,son,73
jours,jour,21
enfermée,enfermé,31
dans,dans,81
sa,son,73
chambre,chambre,22
sans,sans,81
vouloir,vouloir,14
répondre,répondre,14
quand,quand,83
on,on,51
l',le,52
appelait,appeler,18
",",",",p
et,et,82
toutes,tout,75
ses,son,73
nuits,nuit,22
à,à,81
se,se,51
promener,promener,14
sur,sur,81
la,le,71
terrasse,terrasse,22
/.,/.,P
on,on,51
disait,dire,18
dans,dans,81
le,le,71
voisinage,voisinage,21
qu',que,83
elle,il,51
était,être,18
folle,fou,30
ou,ou,82
qu',que,83
elle,il,51
était,être,18
tombée,tomber,12
innamorata,innamorata,92
/.,/.,P
mais,mais,82
lui,lui,51
savait,savoir,18
bien,bien,60
que,que,83
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
vrai,vrai,30
/.,/.,P
tout,tout,75
le,le,71
mal,mal,21
venait,venir,18
",",",",p
disait,dire,18
l',le,71
enfant,enfant,21
",",",",p
de,de,81
ce,ce,52
qu',que,52
on,on,51
voulait,vouloir,18
la,le,52
fiancer,fiancer,14
à,à,81
Cecco,Cecco,20
et,et,82
qu',que,83
elle,il,51
ne,ne,60
le,le,52
voulait,vouloir,18
pas,pas,60
/.,/.,P
Beppino,Beppino,20
avait,avoir,18
tout,tout,52
vu,voir,12
et,et,82
tout,tout,52
entendu,entendre,12
/.,/.,P
le,le,71
père,père,21
de,de,81
Cecco,Cecco,20
venait,venir,18
tous,tout,75
les,le,71
jours,jour,21
demander,demander,14
une,un,71
réponse,réponse,22
à,à,81
son,son,73
grand-père,grand-père,21
et,et,82
à,à,81
sa,son,73
grand-mère,grand-mère,22
/.,/.,P
ceux-ci,celui-ci,52
ne,ne,60
cessaient,cesser,18
de,de,81
tourmenter,tourmenter,14
Graziella,Graziella,20
pour,pour,81
qu',que,83
elle,il,51
donnât,donner,18
enfin,enfin,60
son,son,73
consentement,consentement,21
/.,/.,P
elle,il,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
en,en,52
entendre,entendre,14
parler,parler,14
;,;,p
elle,il,51
disait,dire,18
qu',que,83
elle,il,51
se,se,51
sauverait,sauver,16
plutôt,plutôt,60
à,à,81
Genève,Genève,20
/.,/.,P
c',ce,52
est,être,17
pour,pour,81
le,le,71
peuple,peuple,21
catholique,catholique,30
de,de,81
Naples,Naples,20
une,un,71
expression,expression,22
analogue,analogue,30
à,à,81
celle-ci,celui-ci,52
:,:,p
“,“,p
je,je,51
me,je,51
ferais,faire,16
plutôt,plutôt,60
renégat,renégat,21
/.,/.,P
“,“,p
c',ce,52
est,être,17
une,un,71
menace,menace,22
pire,pire,30
que,que,83
celle,celui,52
du,de,81
du,le,71
suicide,suicide,21
:,:,p
c',ce,52
est,être,17
le,le,71
suicide,suicide,21
éternel,éternel,30
de,de,81
l',le,71
âme,âme,22
/.,/.,P
Andréa,Andréa,20
et,et,82
sa,son,73
femme,femme,22
",",",",p
qui,qui,52
adoraient,adorer,18
Graziella,Graziella,20
",",",",p
se,se,51
désespéraient,désespérer,18
à,à,81
la,le,71
fois,fois,22
de,de,81
sa,son,73
résistance,résistance,22
et,et,82
de,de,81
la,le,71
perte,perte,22
de,de,81
leurs,leur,73
espérances,espérance,22
d',de,81
établissement,établissement,21
pour,pour,81
elle,il,51
/.,/.,P
ils,ils,51
la,le,52
conjuraient,conjurer,18
par,par,81
leurs,leur,73
cheveux,cheveu,21
blancs,blanc,30
;,;,p
ils,ils,51
lui,lui,51
parlaient,parler,18
de,de,81
leur,leur,73
vieillesse,vieillesse,22
",",",",p
de,de,81
leur,leur,73
misère,misère,22
",",",",p
de,de,81
l',le,71
avenir,avenir,21
des,de,81
des,le,71
deux,deux,72
enfants,enfant,21
/.,/.,P
alors,alors,60
Graziella,Graziella,20
s',se,51
attendrissait,attendrir,18
/.,/.,P
elle,il,51
recevait,recevoir,18
un,un,71
peu,peu,60
mieux,mieux,60
le,le,71
pauvre,pauvre,30
Cecco,Cecco,20
",",",",p
qui,qui,52
venait,venir,18
de,de,81
temps,temps,21
en,en,81
temps,temps,21
s',se,51
asseoir,asseoir,14
humblement,humblement,60
le,le,71
soir,soir,21
à,à,81
la,le,71
porte,porte,22
de,de,81
la,le,71
chambre,chambre,22
de,de,81
sa,son,73
cousine,cousine,22
et,et,82
jouer,jouer,14
avec,avec,81
les,le,71
petits,petit,21
/.,/.,P
il,il,51
lui,lui,51
disait,dire,18
bonjour,bonjour,21
et,et,82
adieu,adieu,21
à,à,81
travers,travers,21
la,le,71
porte,porte,22
;,;,p
mais,mais,82
il,il,51
était,être,18
rare,rare,30
qu',que,83
elle,il,51
lui,lui,51
répondît,répondre,18
un,un,71
seul,seul,30
mot,mot,21
/.,/.,P
il,il,51
s',se,51
en,en,52
allait,aller,18
mécontent,mécontent,30
mais,mais,82
résigné,résigné,31
",",",",p
et,et,82
revenait,revenir,18
le,le,71
lendemain,lendemain,21
toujours,toujours,60
le,le,71
même,même,52
/.,/.,P
“,“,p
ma,mon,73
soeur,soeur,22
a,avoir,17
bien,bien,60
tort,tort,21
",",",",p
disait,dire,18
Beppino,Beppino,20
/.,/.,P
Cecco,Cecco,20
l',le,52
aime,aimer,17
tant,tant,60
et,et,82
il,il,51
est,être,17
si,si,60
bon,bon,30
/!,/!,P
elle,il,51
serait,être,16
bien,bien,60
heureuse,heureux,30
/!,/!,P
-,-,p
enfin,enfin,60
ce,ce,74
soir,soir,21
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
",",",",p
elle,il,51
s',se,51
est,être,17
laissé,laisser,12
vaincre,vaincre,14
par,par,81
les,le,71
prières,prière,22
de,de,81
mon,mon,73
grand-père,grand-père,21
et,et,82
de,de,81
ma,mon,73
grand-mère,grand-mère,22
et,et,82
par,par,81
les,le,71
larmes,larme,22
de,de,81
Cecco,Cecco,20
/.,/.,P
elle,il,51
a,avoir,17
entrouvert,entrouvrir,12
un,un,71
peu,peu,60
la,le,71
porte,porte,22
;,;,p
elle,il,51
lui,lui,51
a,avoir,17
tendu,tendre,12
la,le,71
main,main,22
;,;,p
il,il,51
a,avoir,17
passé,passer,12
une,un,71
bague,bague,22
à,à,81
son,son,73
doigt,doigt,21
et,et,82
elle,il,51
a,avoir,17
promis,promettre,12
qu',que,83
elle,il,51
se,se,51
laisserait,laisser,16
fiancer,fiancer,14
demain,demain,60
/.,/.,P
mais,mais,82
qui,qui,52
sait,savoir,17
si,si,83
demain,demain,60
elle,il,51
n',ne,60
aura,avoir,15
pas,pas,60
un,un,71
nouveau,nouveau,30
caprice,caprice,21
/?,/?,P
elle,il,51
qui,qui,52
était,être,18
si,si,60
douce,doux,30
et,et,82
si,si,60
gaie,gai,30
/!,/!,P
mon,mon,73
dieu,dieu,21
!,!,p
qu',que,52
elle,il,51
a,avoir,17
changé,changer,12
/!,/!,P
vous,vous,51
ne,ne,60
la,le,52
reconnaîtriez,reconnaître,16
plus,plus,60
!,!,p
/…,/…,P
“,“,p
<XII>,<>,<>
Beppino,Beppino,20
se,se,51
coucha,coucher,19
dans,dans,81
la,le,71
barque,barque,22
/.,/.,P
instruit,instruit,31
ainsi,ainsi,60
par,par,81
lui,lui,51
de,de,81
ce,ce,52
qui,qui,52
s',se,51
était,être,18
passé,passer,12
",",",",p
j',je,51
entrai,entrer,19
dans,dans,81
la,le,71
maison,maison,22
/.,/.,P
Andréa,Andréa,20
et,et,82
sa,son,73
femme,femme,22
étaient,être,18
seuls,seul,30
sur,sur,81
l',le,71
astrico,astrico,92
/.,/.,P
ils,ils,51
me,je,51
revirent,revoir,19
avec,avec,81
amitié,amitié,22
et,et,82
me,je,51
comblèrent,combler,19
de,de,81
reproches,reproche,21
tendres,tendre,30
sur,sur,81
mon,mon,73
absence,absence,22
si,si,60
prolongée,prolongé,31
/.,/.,P
ils,ils,51
me,je,51
racontèrent,raconter,19
leurs,leur,73
peines,peine,22
et,et,82
leurs,leur,73
espérances,espérance,22
touchant,touchant,81
Graziella,Graziella,20
/.,/.,P
“,“,p
si,si,83
vous,vous,51
aviez,avoir,18
été,être,12
là,là,60
",",",",p
me,je,51
dit,dire,19
Andréa,Andréa,20
",",",",p
vous,vous,51
qu',que,52
elle,il,51
aime,aimer,17
tant,tant,60
et,et,82
à,à,81
qui,qui,52
elle,il,51
ne,ne,60
dit,dire,19
jamais,jamais,60
non,non,60
",",",",p
vous,vous,51
nous,nous,51
auriez,avoir,16
bien,bien,60
aidés,aider,12
/.,/.,P
que,que,52
nous,nous,51
sommes,être,17
contents,content,30
de,de,81
vous,vous,51
revoir,revoir,14
/!,/!,P
c',ce,52
est,être,17
demain,demain,60
que,que,83
se,se,51
font,faire,17
les,le,71
fiançailles,fiançaille,22
;,;,p
vous,vous,51
y,y,52
serez,être,15
;,;,p
votre,votre,73
présence,présence,22
nous,nous,51
a,avoir,17
toujours,toujours,60
porté,porter,12
bonheur,bonheur,21
/.,/.,P
“,“,p
je,je,51
sentis,sentir,19
un,un,71
frisson,frisson,21
courir,courir,14
sur,sur,81
tout,tout,75
mon,mon,73
corps,corps,21
à,à,81
ces,ce,74
paroles,parole,22
de,de,81
ces,ce,74
pauvres,pauvre,30
gens,gens,21
/.,/.,P
quelque,quelque,75
chose,chose,22
me,je,51
disait,dire,18
que,que,83
leur,leur,73
malheur,malheur,21
viendrait,venir,16
de,de,81
moi,moi,51
/.,/.,P
je,je,51
brûlais,brûler,18
et,et,82
je,je,51
tremblais,trembler,18
de,de,81
revoir,revoir,14
Graziella,Graziella,20
/.,/.,P
j',je,51
affectai,affecter,19
de,de,81
parler,parler,14
haut,haut,60
