11681
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-septième extrait>,<>,<>
profondément,profondément,60
humilié,humilier,12
de,de,81
sa,son,73
communauté,communauté,22
d',de,81
intérêts,intérêt,21
avec,avec,81
Delphine,Delphine,20
de,de,81
Nucingen,Nucingen,20
",",",",p
je,je,51
puis,pouvoir,17
parler,parler,14
de,de,81
ses,son,73
regrets,regret,21
",",",",p
je,je,51
l',le,52
ai,avoir,17
vu,voir,12
les,le,71
larmes,larme,22
aux,à,81
aux,le,71
yeux,oeil,21
déplorant,déplorer,13
sa,son,73
position,position,22
/.,/.,P
oui,oui,60
",",",",p
il,il,51
en,en,52
pleurait,pleurer,18
véritablement,véritablement,60
!,!,p
après,après,81
souper,souper,21
/.,/.,P
hé,hé,93
!,!,p
bien,bien,60
",",",",p
selon,selon,81
vous,vous,51
/…,/…,P
ah,ah,93
!,!,p
çà,çà,60
",",",",p
tu,tu,51
te,tu,51
moques,moquer,17
de,de,81
nous,nous,51
",",",",p
dit,dire,19
Finot,Finot,20
/.,/.,P
-,-,p
pas,pas,60
le,le,71
moins,moins,60
du,de,81
du,le,71
monde,monde,21
/.,/.,P
il,il,51
s',se,51
agit,agir,17
de,de,81
Rastignac,Rastignac,20
",",",",p
dont,dont,52
la,le,71
douleur,douleur,22
serait,être,16
selon,selon,81
vous,vous,51
une,un,71
preuve,preuve,22
de,de,81
sa,son,73
corruption,corruption,22
",",",",p
car,car,82
alors,alors,60
il,il,51
aimait,aimer,18
beaucoup,beaucoup,60
moins,moins,60
Delphine,Delphine,20
/!,/!,P
mais,mais,82
que,que,52
voulez,vouloir,17
vous,vous,51
?,?,p
le,le,71
pauvre,pauvre,30
garçon,garçon,21
avait,avoir,18
cette,ce,74
épine,épine,22
au,à,81
au,le,71
coeur,coeur,21
/.,/.,P
c',ce,52
est,être,17
un,un,71
gentilhomme,gentilhomme,21
profondément,profondément,60
dépravé,dépravé,31
",",",",p
voyez,voir,17
vous,vous,51
",",",",p
et,et,82
nous,nous,51
sommes,être,17
de,de,81
vertueux,vertueux,30
artistes,artiste,21
/.,/.,P
donc,donc,82
",",",",p
Rastignac,Rastignac,20
voulait,vouloir,18
enrichir,enrichir,14
Delphine,Delphine,20
",",",",p
lui,lui,51
pauvre,pauvre,30
",",",",p
elle,il,51
riche,riche,30
/!,/!,P
le,le,52
croirez,croire,15
vous,vous,51
?,?,p
il,il,51
y,y,52
est,être,17
parvenu,parvenir,12
/.,/.,P
Rastignac,Rastignac,20
",",",",p
qui,qui,52
se,se,51
serait,être,16
battu,battre,12
comme,comme,83
Jarnac,Jarnac,20
",",",",p
passa,passer,19
dès,dès,81
lors,lors,60
à,à,81
l',le,71
opinion,opinion,22
de,de,81
Henri II,Henri II,20
",",",",p
en,en,81
vertu,vertu,22
de,de,81
son,son,73
grand,grand,30
mot,mot,21
:,:,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
vertu,vertu,22
absolue,absolu,30
",",",",p
mais,mais,82
des,de,81
des,le,71
circonstances,circonstance,22
/.,/.,P
ceci,ceci,52
tient,tenir,17
à,à,81
l',le,71
histoire,histoire,22
de,de,81
sa,son,73
fortune,fortune,22
/.,/.,P
-,-,p
tu,tu,51
devrais,devoir,16
bien,bien,60
nous,nous,51
entamer,entamer,14
ton,ton,73
conte,conte,21
au,à,81
au,le,71
lieu,lieu,21
de,de,81
nous,nous,51
induire,induire,14
à,à,81
nous,nous,51
calomnier,calomnier,14
nous-mêmes,nous-même,51
",",",",p
dit,dire,19
Blondet,Blondet,20
avec,avec,81
une,un,71
gracieuse,gracieux,30
bonhomie,bonhomie,22
/.,/.,P
-,-,p
ha,ah,93
!,!,p
ha,ah,93
!,!,p
mon,mon,73
petit,petit,21
",",",",p
lui,lui,51
dit,dire,19
Bixiou,Bixiou,20
en,en,81
lui,lui,51
donnant,donner,13
le,le,71
baptême,baptême,21
d',de,81
une,un,71
petite,petit,30
tape,tape,22
sur,sur,81
l',le,71
occiput,occiput,21
",",",",p
tu,tu,51
te,tu,51
rattrapes,rattraper,17
au,à,81
au,le,71
vin,vin,21
de,de,81
Champagne,Champagne,20
/.,/.,P
-,-,p
hé,hé,93
",",",",p
par,par,81
le,le,71
saint,saint,30
nom,nom,21
de,de,81
l',le,71
actionnaire,actionnaire,21
",",",",p
dit,dire,19
Couture,Couture,20
",",",",p
raconte,raconter,17
nous,nous,51
ton,ton,73
histoire,histoire,22
/?,/?,P
j',je,51
y,y,52
étais,être,18
d',de,81
un,un,71
cran,cran,21
",",",",p
repartit,repartir,19
Bixiou,Bixiou,20
;,;,p
mais,mais,82
avec,avec,81
ton,ton,73
juron,juron,21
",",",",p
tu,tu,51
me,je,51
mets,mettre,17
au,à,81
au,le,71
dénoûment,dénouement,21
/.,/.,P
-,-,p
il,il,51
y,y,52
a,avoir,17
donc,donc,82
des,de,81
des,le,71
actionnaires,actionnaire,21
dans,dans,81
l',le,71
histoire,histoire,22
",",",",p
demanda,demander,19
Finot,Finot,20
/.,/.,P
-,-,p
richissimes,richissime,30
comme,comme,83
les,le,71
tiens,tien,52
",",",",p
répondit,répondre,19
Bixiou,Bixiou,20
/.,/.,P
-,-,p
il,il,51
me,je,51
semble,sembler,17
",",",",p
dit,dire,19
Finot,Finot,20
d',de,81
un,un,71
ton,ton,21
gourmé,gourmé,31
",",",",p
que,que,83
tu,tu,51
dois,devoir,17
des,de,81
des,le,71
égards,égard,21
à,à,81
un,un,71
bon,bon,30
enfant,enfant,21
chez,chez,81
qui,qui,52
tu,tu,51
trouves,trouver,17
dans,dans,81
l',le,71
occasion,occasion,22
un,un,71
billet,billet,21
de,de,81
cinq,cinq,72
cents,cent,72
/…,/…,P
garçon,garçon,21
!,!,p
cria,crier,19
Bixiou,Bixiou,20
/.,/.,P
-,-,p
que,que,52
veux,vouloir,17
tu,tu,51
au,à,81
au,le,71
garçon,garçon,21
?,?,p
lui,lui,51
dit,dire,19
Blondet,Blondet,20
/.,/.,P
-,-,p
faire,faire,14
rendre,rendre,14
à,à,81
Finot,Finot,20
ses,son,73
cinq,cinq,72
cents,cent,72
francs,franc,21
",",",",p
afin,afin,81
de,de,81
dégager,dégager,14
ma,mon,73
langue,langue,22
et,et,82
déchirer,déchirer,14
ma,mon,73
reconnaissance,reconnaissance,22
/.,/.,P
-,-,p
dis,dire,19
ton,ton,73
histoire,histoire,22
",",",",p
reprit,reprendre,19
Finot,Finot,20
en,en,81
feignant,feindre,13
de,de,81
rire,rire,14
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
témoins,témoin,21
",",",",p
dit,dire,19
Bixiou,Bixiou,20
",",",",p
que,que,83
je,je,51
n',ne,60
appartiens,appartenir,17
pas,pas,60
à,à,81
cet,ce,74
impertinent,impertinent,21
qui,qui,52
croit,croire,17
que,que,83
mon,mon,73
silence,silence,21
ne,ne,60
vaut,valoir,17
que,que,83
cinq,cinq,72
cents,cent,72
francs,franc,21
!,!,p
tu,tu,51
ne,ne,60
seras,être,15
jamais,jamais,60
ministre,ministre,21
",",",",p
si,si,83
tu,tu,51
ne,ne,60
sais,savoir,17
pas,pas,60
jauger,jauger,14
les,le,71
consciences,conscience,22
/.,/.,P
eh,eh,93
!,!,p
bien,bien,60
",",",",p
oui,oui,60
",",",",p
dit,dire,19
il,il,51
d',de,81
une,un,71
voix,voix,22
câline,câlin,30
",",",",p
mon,mon,73
bon,bon,30
Finot,Finot,20
",",",",p
je,je,51
dirai,dire,15
l',le,71
histoire,histoire,22
sans,sans,81
personnalités,personnalité,22
",",",",p
et,et,82
nous,nous,51
serons,être,15
quittes,quitte,30
/.,/.,P
-,-,p
il,il,51
va,aller,17
nous,nous,51
démontrer,démontrer,14
",",",",p
dit,dire,19
en,en,81
souriant,sourire,13
Blondet,Blondet,20
",",",",p
que,que,83
Nucingen,Nucingen,20
a,avoir,17
fait,faire,12
la,le,71
fortune,fortune,22
de,de,81
Rastignac,Rastignac,20
/.,/.,P
-,-,p
tu,tu,51
n',ne,60
en,en,52
es,être,17
pas,pas,60
si,si,60
loin,loin,60
que,que,83
lu,lire,12
le,le,52
penses,penser,17
",",",",p
reprit,reprendre,19
Bixiou,Bixiou,20
/.,/.,P
vous,vous,51
ne,ne,60
connaissez,connaître,17
pas,pas,60
ce,ce,52
qu',que,52
est,être,17
Nucingen,Nucingen,20
",",",",p
financièrement,financièrement,60
parlant,parlant,30
/.,/.,P
-,-,p
tu,tu,51
ne,ne,60
sais,savoir,17
seulement,seulement,60
pas,pas,60
",",",",p
dit,dire,19
Blondet,Blondet,20
",",",",p
un,un,71
mot,mot,21
de,de,81
ses,son,73
débuts,début,21
/?,/?,P
je,je,51
ne,ne,60
l',le,52
ai,avoir,17
connu,connaître,12
que,que,83
chez,chez,81
lui,lui,51
",",",",p
dit,dire,19
Bixiou,Bixiou,20
",",",",p
mais,mais,82
nous,nous,51
pourrions,pouvoir,16
nous,nous,51
être,être,14
vus,voir,12
autrefois,autrefois,60
sur,sur,81
la,le,71
grand'route,grand-route,22
/.,/.,P
-,-,p
la,le,71
prospérité,prospérité,22
de,de,81
la,le,71
maison,maison,22
Nucingen,Nucingen,20
est,être,17
un,un,52
des,de,81
des,le,71
phénomènes,phénomène,21
les,le,71
plus,plus,60
extraordinaires,extraordinaire,30
de,de,81
notre,notre,73
époque,époque,22
",",",",p
reprit,reprendre,19
Blondet,Blondet,20
/.,/.,P
en,en,81
<Nombre 1804>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quatre,quatre,72
<Fin nombre>,<>,<>
",",",",p
Nucingen,Nucingen,20
était,être,18
peu,peu,60
connu,connaître,12
/.,/.,P
les,le,71
banquiers,banquier,21
d',de,81
alors,alors,60
auraient,avoir,16
tremblé,trembler,12
de,de,81
savoir,savoir,14
sur,sur,81
la,le,71
place,place,22
cent,cent,72
mille,mille,72
écus,écu,21
de,de,81
ses,son,73
acceptations,acceptation,22
/.,/.,P
ce,ce,74
grand,grand,30
financier,financier,21
sent,sentir,17
alors,alors,60
son,son,73
infériorité,infériorité,22
/.,/.,P
comment,comment,60
se,se,51
faire,faire,14
connaître,connaître,14
/?,/?,P
il,il,51
suspend,suspendre,17
ses,son,73
paiements,paiement,21
/.,/.,P
bon,bon,60
/!,/!,P
son,son,73
nom,nom,21
",",",",p
restreint,restreint,31
à,à,81
Strasbourg,Strasbourg,20
et,et,82
au,à,81
au,le,71
quartier,quartier,21
Poissonnière,Poissonnière,20
",",",",p
retentit,retentir,17
sur,sur,81
toutes,tout,75
les,le,71
places,place,22
!,!,p
il,il,51
désintéresse,désintéresser,17
son,son,73
monde,monde,21
avec,avec,81
des,de,81
des,le,71
valeurs,valeur,22
mortes,mort,31
",",",",p
et,et,82
reprend,reprendre,17
ses,son,73
paiements,paiement,21
:,:,p
aussitôt,aussitôt,60
son,son,73
papier,papier,21
se,se,51
fait,faire,17
dans,dans,81
toute,tout,75
la,le,71
France,France,20
/.,/.,P
par,par,81
une,un,71
circonstance,circonstance,22
inouïe,inouï,30
",",",",p
les,le,71
valeurs,valeur,22
revivent,revivre,17
",",",",p
reprennent,reprendre,17
faveur,faveur,22
",",",",p
donnent,donner,17
des,de,81
des,le,71
bénéfices,bénéfice,21
/.,/.,P
le,le,71
Nucingen,Nucingen,20
est,être,17
très,très,60
recherché,rechercher,12
/.,/.,P
l',le,71
année,année,22
<Nombre 1815>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quinze,quinze,72
<Fin nombre>,<>,<>
arrive,arriver,17
",",",",p
mon,mon,73
gars,gars,21
réunit,réunir,17
ses,son,73
capitaux,capital,21
",",",",p
achète,acheter,17
des,de,81
des,le,71
fonds,fonds,21
avant,avant,81
la,le,71
bataille,bataille,22
de,de,81
Waterloo,Waterloo,20
",",",",p
suspend,suspendre,17
ses,son,73
paiements,paiement,21
au,à,81
au,le,71
moment,moment,21
de,de,81
la,le,71
crise,crise,22
",",",",p
liquide,liquider,17
avec,avec,81
des,de,81
des,le,71
actions,action,22
dans,dans,81
les,le,71
mines,mine,22
de,de,81
Wortschin,Wortschin,20
qu',que,52
il,il,51
s',se,51
était,être,18
procurées,procurer,12
à,à,81
vingt,vingt,72
pour,pour,81
cent,cent,72
au-dessous,au-dessous,60
de,de,81
la,le,71
valeur,valeur,22
à,à,81
laquelle,lequel,52
il,il,51
les,le,52
émettait,émettre,18
lui-même,lui-même,51
!,!,p
oui,oui,60
",",",",p
messieurs,monsieur,21
/!,/!,P
il,il,51
prend,prendre,17
à,à,81
Grandet,Grandet,20
cent,cent,72
cinquante,cinquante,72
mille,mille,72
bouteilles,bouteille,22
de,de,81
vin,vin,21
de,de,81
Champagne,Champagne,20
pour,pour,81
se,se,51
couvrir,couvrir,14
en,en,81
prévoyant,prévoir,13
la,le,71
faillite,faillite,22
de,de,81
ce,ce,74
vertueux,vertueux,30
père,père,21
du,de,81
du,le,71
comte,comte,21
d',de,81
Aubrion,Aubrion,20
actuel,actuel,30
",",",",p
et,et,82
autant,autant,60
à,à,81
Duberghe,Duberghe,20
en,en,81
vins,vin,21
de,de,81
Bordeaux,Bordeaux,20
/.,/.,P
ces,ce,74
trois,trois,72
cent,cent,72
mille,mille,72
bouteilles,bouteille,22
acceptées,accepté,31
",",",",p
acceptées,accepté,31
",",",",p
mon,mon,73
cher,cher,30
",",",",p
à,à,81
trente,trente,72
sous,sou,21
",",",",p
il,il,51
les,le,52
a,avoir,17
fait,faire,12
boire,boire,14
aux,à,81
aux,le,71
alliés,allié,21
",",",",p
à,à,81
six,six,72
francs,franc,21
",",",",p
au,à,81
au,le,71
Palais-Royal,Palais Royal,20
de,de,81
<Nombre 1817>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
dix,dix,72
sept,sept,72
<Fin nombre>,<>,<>
à,à,81
<Nombre 1819>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
dix,dix,72
neuf,neuf,72
<Fin nombre>,<>,<>
/.,/.,P
le,le,71
papier,papier,21
de,de,81
la,le,71
maison,maison,22
Nucingen,Nucingen,20
et,et,82
son,son,73
nom,nom,21
deviennent,devenir,17
européens,européen,30
/.,/.,P
cet,ce,74
illustre,illustre,30
baron,baron,21
s',se,51
est,être,17
élevé,élever,12
sur,sur,81
l',le,71
abîme,abîme,21
où,où,60
d',de,81
autres,autre,52
auraient,avoir,16
sombré,sombrer,12
/.,/.,P
deux,deux,72
fois,fois,22
",",",",p
sa,son,73
liquidation,liquidation,22
a,avoir,17
produit,produire,12
d',de,81
immenses,immense,30
avantages,avantage,21
à,à,81
ses,son,73
créanciers,créancier,21
:,:,p
il,il,51
a,avoir,17
voulu,vouloir,12
les,le,52
rouer,rouer,14
",",",",p
impossible,impossible,30
/!,/!,P
il,il,51
passe,passer,17
pour,pour,81
le,le,71
plus,plus,60
honnête,honnête,30
homme,homme,21
du,de,81
du,le,71
monde,monde,21
/.,/.,P
à,à,81
la,le,71
troisième,troisième,72
suspension,suspension,22
",",",",p
le,le,71
papier,papier,21
de,de,81
la,le,71
maison,maison,22
Nucingen,Nucingen,20
se,se,51
fera,faire,15
en,en,81
Asie,Asie,20
",",",",p
au,à,81
au,le,71
Mexique,Mexique,20
",",",",p
en,en,81
Australasie,Australasie,20
",",",",p
chez,chez,81
les,le,71
sauvages,sauvage,21
/.,/.,P
Ouvrard,Ouvrard,20
est,être,17
le,le,71
seul,seul,30
qui,qui,52
ait,avoir,17
deviné,deviner,12
cet,ce,74
Alsacien,Alsacien,20
",",",",p
fils,fils,21
de,de,81
quelque,quelque,75
juif,juif,21
converti,converti,31
par,par,81
ambition,ambition,22
:,:,p
“,“,p
quand,quand,83
Nucingen,Nucingen,20
lâche,lâcher,17
son,son,73
or,or,21
",",",",p
disait,dire,18
il,il,51
",",",",p
croyez,croire,17
qu',que,83
il,il,51
saisit,saisir,17
des,de,81
des,le,71
diamants,diamant,21
/!,/!,P
son,son,73
compère,compère,21
du,de,81
du,le,71
Tillet,Tillet,20
le,le,52
vaut,valoir,17
bien,bien,60
",",",",p
dit,dire,19
Finot,Finot,20
/.,/.,P
songez,songer,17
donc,donc,82
que,que,83
du,de,81
du,le,71
Tillet,Tillet,20
est,être,17
un,un,71
homme,homme,21
qui,qui,52
",",",",p
en,en,81
fait,fait,21
de,de,81
naissance,naissance,22
",",",",p
n',ne,60
en,en,52
a,avoir,17
que,que,83
ce,ce,52
qui,qui,52
nous,nous,51
est,être,17
indispensable,indispensable,30
pour,pour,81
exister,exister,14
",",",",p
et,et,82
que,que,83
ce,ce,74
gars,gars,21
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
pas,pas,60
un,un,71
liard,liard,21
en,en,81
<Nombre 1814>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quatorze,quatorze,72
<Fin nombre>,<>,<>
",",",",p
est,être,17
devenu,devenir,12
ce,ce,52
que,que,52
vous,vous,51
le,le,52
voyez,voir,17
;,;,p
mais,mais,82
ce,ce,52
qu',que,52
aucun,aucun,52
de,de,81
nous,nous,51
(,(,p
je,je,51
ne,ne,60
parle,parler,17
pas,pas,60
de,de,81
toi,toi,51
",",",",p
Couture,Couture,20
),),p
n',ne,60
a,avoir,17
su,savoir,12
faire,faire,14
",",",",p
il,il,51
a,avoir,17
eu,avoir,12
des,de,81
des,le,71
amis,ami,21
au,à,81
au,le,71
lieu,lieu,21
d',de,81
avoir,avoir,14
des,de,81
des,le,71
ennemis,ennemi,21
/.,/.,P
enfin,enfin,60
",",",",p
il,il,51
a,avoir,17
si,si,60
bien,bien,60
caché,cacher,12
ses,son,73
antécédents,antécédent,21
",",",",p
qu',que,83
il,il,51
a,avoir,17
fallu,falloir,12
fouiller,fouiller,14
des,de,81
des,le,71
égouts,égout,21
pour,pour,81
le,le,52
trouver,trouver,14
commis,commis,21
chez,chez,81
un,un,71
parfumeur,parfumeur,21
de,de,81
la,le,71
rue,rue,22
Saint-Honoré,Saint-Honoré,20
",",",",p
pas,pas,60
plus,plus,60
tard,tard,60
qu',que,83
en,en,81
<Nombre 1814>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quatorze,quatorze,72
<Fin nombre>,<>,<>
/.,/.,P
-,-,p
ta,ton,73
!,!,p
ta,ton,73
!,!,p
ta,ton,73
!,!,p
reprit,reprendre,19
Bixiou,Bixiou,20
",",",",p
ne,ne,60
comparez,comparer,17
jamais,jamais,60
à,à,81
Nucingen,Nucingen,20
un,un,71
petit,petit,30
carotteur,carotteur,21
comme,comme,83
du,de,81
du,le,71
Tillet,Tillet,20
",",",",p
un,un,71
chacal,chacal,21
qui,qui,52
réussit,réussir,17
par,par,81
son,son,73
odorat,odorat,21
",",",",p
qui,qui,52
devine,deviner,17
les,le,71
cadavres,cadavre,21
et,et,82
arrive,arriver,17
le,le,71
premier,premier,72
pour,pour,81
avoir,avoir,14
le,le,71
meilleur,meilleur,30
os,os,21
/.,/.,P
voyez,voir,17
d',de,81
ailleurs,ailleurs,60
ces,ce,74
deux,deux,72
hommes,homme,21
:,:,p
l',le,71
un,un,52
a,avoir,17
la,le,71
mine,mine,22
aiguë,aigu,30
des,de,81
des,le,71
chats,chat,21
",",",",p
il,il,51
est,être,17
maigre,maigre,30
",",",",p
élancé,élancé,31
;,;,p
l',le,71
autre,autre,52
est,être,17
cubique,cubique,30
",",",",p
il,il,51
est,être,17
gras,gras,30
",",",",p
il,il,51
est,être,17
lourd,lourd,30
comme,comme,83
un,un,71
sac,sac,21
",",",",p
immobile,immobile,30
comme,comme,83
un,un,71
diplomate,diplomate,21
/.,/.,P
Nucingen,Nucingen,20
a,avoir,17
la,le,71
main,main,22
épaisse,épais,30
et,et,82
un,un,71
regard,regard,21
de,de,81
loup-cervier,loup-cervier,21
qui,qui,52
ne,ne,60
s',se,51
anime,animer,17
jamais,jamais,60
;,;,p
sa,son,73
profondeur,profondeur,22
n',ne,60
est,être,17
pas,pas,60
en,en,81
avant,avant,21
",",",",p
mais,mais,82
en,en,81
arrière,arrière,21
:,:,p
il,il,51
est,être,17
impénétrable,impénétrable,30
",",",",p
on,on,51
ne,ne,60
le,le,52
voit,voir,17
jamais,jamais,60
venir,venir,14
",",",",p
tandis que,tandis que,83
la,le,71
finesse,finesse,22
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
ressemble,ressembler,17
",",",",p
comme,comme,83
le,le,52
disait,dire,18
Napoléon,Napoléon,20
de,de,81
je,je,51
ne,ne,60
sais,savoir,17
qui,qui,52
",",",",p
à,à,81
du,de,81
du,le,71
coton,coton,21
filé,filé,31
trop,trop,60
fin,fin,30
",",",",p
il,il,51
casse,casser,17
/.,/.,P
-,-,p
je,je,51
ne,ne,60
vois,voir,17
à,à,81
Nucingen,Nucingen,20
d',de,81
autre,autre,75
avantage,avantage,21
sur,sur,81
du,de,81
du,le,71
Tillet,Tillet,20
que,que,83
d',de,81
avoir,avoir,14
le,le,71
bon,bon,30
sens,sens,21
de,de,81
deviner,deviner,14
qu',que,83
un,un,71
financier,financier,21
ne,ne,60
doit,devoir,17
être,être,14
que,que,83
baron,baron,21
",",",",p
tandis que,tandis que,83
du,de,81
du,le,71
Tillet,Tillet,20
veut,vouloir,17
se,se,51
faire,faire,14
nommer,nommer,14
comte,comte,21
en,en,81
Italie,Italie,20
",",",",p
dit,dire,19
Blondet,Blondet,20
/.,/.,P
-,-,p
Blondet,Blondet,20
?,?,p
un,un,71
mot,mot,21
",",",",p
mon,mon,73
enfant,enfant,21
",",",",p
reprit,reprendre,19
Couture,Couture,20
/.,/.,P
d'abord,d'abord,60
Nucingen,Nucingen,20
a,avoir,17
osé,oser,12
dire,dire,14
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
que,que,83
des,de,81
des,le,71
apparences,apparence,22
d',de,81
honnête,honnête,30
homme,homme,21
;,;,p
puis,puis,60
",",",",p
pour,pour,81
le,le,71
bien,bien,21
connaître,connaître,14
",",",",p
il,il,51
faut,falloir,17
être,être,14
dans,dans,81
les,le,71
affaires,affaire,22
/.,/.,P
chez,chez,81
lui,lui,51
",",",",p
la,le,71
banque,banque,22
est,être,17
un,un,71
très,très,60
petit,petit,30
département,département,21
:,:,p
il,il,51
y,y,52
a,avoir,17
les,le,71
fournitures,fourniture,22
du,de,81
du,le,71
gouvernement,gouvernement,21
",",",",p
les,le,71
vins,vin,21
",",",",p
les,le,71
laines,laine,22
",",",",p
les,le,71
indigos,indigo,21
",",",",p
enfin,enfin,60
tout,tout,52
ce,ce,52
qui,qui,52
donne,donner,17
matière,matière,22
à,à,81
un,un,71
gain,gain,21
quelconque,quelconque,30
/.,/.,P
son,son,73
génie,génie,21
embrasse,embrasser,17
tout,tout,52
/.,/.,P
cet,ce,74
éléphant,éléphant,21
de,de,81
la,le,71
finance,finance,22
vendrait,vendre,16
des,de,81
des,le,71
députés,député,21
au,à,81
au,le,71
ministère,ministère,21
",",",",p
et,et,82
les,le,71
Grecs,Grec,20
aux,à,81
aux,le,71
Turcs,Turc,20
/.,/.,P
pour,pour,81
lui,lui,51
le,le,71
commerce,commerce,21
est,être,17
",",",",p
dirait,dire,16
Cousin,Cousin,20
",",",",p
la,le,71
totalité,totalité,22
des,de,81
des,le,71
variétés,variété,22
",",",",p
l',le,71
unité,unité,22
des,de,81
des,le,71
spécialités,spécialité,22
/.,/.,P
la,le,71
banque,banque,22
envisagée,envisagé,31
ainsi,ainsi,60
devient,devenir,17
toute,tout,75
une,un,71
politique,politique,22
",",",",p
elle,il,51
exige,exiger,17
une,un,71
tête,tête,22
puissante,puissant,30
",",",",p
et,et,82
porte,porter,17
alors,alors,60
un,un,71
homme,homme,21
bien,bien,60
trempé,trempé,31
à,à,81
se,se,51
mettre,mettre,14
au-dessus,au-dessus,60
des,de,81
des,le,71
lois,loi,22
de,de,81
la,le,71
probité,probité,22
dans,dans,81
lesquelles,lequel,52
il,il,51
se,se,51
trouve,trouver,17
à,à,81
l',le,71
étroit,étroit,30
/.,/.,P
-,-,p
tu,tu,51
as,avoir,17
raison,raison,22
",",",",p
mon,mon,73
fils,fils,21
",",",",p
dit,dire,19
Blondet,Blondet,20
/.,/.,P
mais,mais,82
nous,nous,51
seuls,seul,30
",",",",p
nous,nous,51
comprenons,comprendre,17
que,que,83
c',ce,52
est,être,17
alors,alors,60
la,le,71
guerre,guerre,22
portée,porté,31
dans,dans,81
le,le,71
monde,monde,21
de,de,81
l',le,71
argent,argent,21
/.,/.,P
le,le,71
banquier,banquier,21
est,être,17
un,un,71
conquérant,conquérant,21
qui,qui,52
sacrifie,sacrifier,17
des,de,81
des,le,71
masses,masse,22
pour,pour,81
arriver,arriver,14
à,à,81
des,de,81
des,le,71
résultats,résultat,21
cachés,caché,31
",",",",p
ses,son,73
soldats,soldat,21
sont,être,17
les,le,71
intérêts,intérêt,21
des,de,81
des,le,71
particuliers,particulier,21
/.,/.,P
il,il,51
a,avoir,17
ses,son,73
stratagèmes,stratagème,21
à,à,81
combiner,combiner,14
",",",",p
ses,son,73
embuscades,embuscade,22
à,à,81
tendre,tendre,14
",",",",p
ses,son,73
partisans,partisan,21
à,à,81
lancer,lancer,14
",",",",p
ses,son,73
villes,ville,22
à,à,81
prendre,prendre,14
/.,/.,P
la,le,71
plupart,plupart,22
de,de,81
ces,ce,74
hommes,homme,21
sont,être,17
si,si,60
contigus,contigu,30
à,à,81
la,le,71
politique,politique,22
",",",",p
qu',que,83
ils,ils,51
finissent,finir,17
par,par,81
s',se,51
en,en,52
mêler,mêler,14
",",",",p
et,et,82
leurs,leur,73
fortunes,fortune,22
y,y,52
succombent,succomber,17
/.,/.,P
la,le,71
maison,maison,22
Necker,Necker,20
s',se,51
y,y,52
est,être,17
perdue,perdre,12
",",",",p
le,le,71
fameux,fameux,30
Samuel,Samuel,20
Bernard,Bernard,20
s',se,51
y,y,52
est,être,17
presque,presque,60
ruiné,ruiner,12
/.,/.,P
dans,dans,81
chaque,chaque,75
siècle,siècle,21
",",",",p
il,il,51
se,se,51
trouve,trouver,17
un,un,71
banquier,banquier,21
de,de,81
fortune,fortune,22
colossale,colossal,30
qui,qui,52
ne,ne,60
laisse,laisser,17
ni,ni,82
fortune,fortune,22
ni,ni,82
successeur,successeur,21
/.,/.,P
les,le,71
frères,frère,21
Pâris,Pâris,20
",",",",p
qui,qui,52
contribuèrent,contribuer,19
à,à,81
abattre,abattre,14
Law,Law,20
",",",",p
et,et,82
Law,Law,20
lui-même,lui-même,51
",",",",p
auprès,auprès,60
de,de,81
qui,qui,52
tous,tout,52
ceux,celui,52
qui,qui,52
inventent,inventer,17
des,de,81
des,le,71
sociétés,société,22
par,par,81
actions,action,22
sont,être,17
des,de,81
des,le,71
pygmées,pygmée,21
",",",",p
Bouret,Bouret,20
",",",",p
Baujon,Baujon,20
",",",",p
tous,tout,52
ont,avoir,17
disparu,disparaître,12
sans,sans,81
se,se,51
faire,faire,14
représenter,représenter,14
par,par,81
une,un,71
famille,famille,22
/.,/.,P
comme,comme,83
le,le,71
temps,temps,21
",",",",p
la,le,71
banque,banque,22
dévore,dévorer,17
ses,son,73
enfants,enfant,21
/.,/.,P
pour,pour,81
pouvoir,pouvoir,14
subsister,subsister,14
",",",",p
le,le,71
banquier,banquier,21
doit,devoir,17
devenir,devenir,14
noble,noble,30
",",",",p
fonder,fonder,14
une,un,71
dynastie,dynastie,22
comme,comme,83
les,le,71
prêteurs,prêteur,21
de,de,81
Charles-Quint,Charles Quint,20
",",",",p
les,le,71
Fugger,Fugger,20
",",",",p
créés,créé,31
princes,prince,21
de,de,81
Babenhausen,Babenhausen,20
",",",",p
et,et,82
qui,qui,52
existent,exister,17
encore,encore,60
…,…,p
dans,dans,81
l',le,71
almanach,almanach,21
de,de,81
Gotha,Gotha,20
