11606
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante et unième extrait>,<>,<>
des,de,81
des,le,71
chandelles,chandelle,22
dans,dans,81
des,de,81
des,le,71
chandeliers,chandelier,21
de,de,81
cuivre,cuivre,21
;,;,p
l',le,71
obscurité,obscurité,22
",",",",p
la,le,71
laideur,laideur,22
",",",",p
la,le,71
tristesse,tristesse,22
;,;,p
et,et,82
de,de,81
tout,tout,75
cela,cela,52
se,se,51
dégageait,dégager,18
une,un,71
impression,impression,22
austère,austère,30
et,et,82
auguste,auguste,30
",",",",p
car,car,82
on,on,51
y,y,52
sentait,sentir,18
cette,ce,74
grande,grand,30
chose,chose,22
humaine,humain,30
qu',que,83
on,on,51
appelle,appeler,17
la,le,71
loi,loi,22
et,et,82
cette,ce,74
grande,grand,30
chose,chose,22
divine,divin,30
qu',que,52
on,on,51
appelle,appeler,17
la,le,71
justice,justice,22
/.,/.,P
personne,personne,52
dans,dans,81
cette,ce,74
foule,foule,22
ne,ne,60
fit,faire,19
attention,attention,22
à,à,81
lui,lui,51
/.,/.,P
tous,tout,75
les,le,71
regards,regard,21
convergeaient,converger,18
vers,vers,81
un,un,71
point,point,21
unique,unique,30
",",",",p
un,un,71
banc,banc,21
de,de,81
bois,bois,21
adossé,adossé,31
à,à,81
une,un,71
petite,petit,30
porte,porte,22
",",",",p
le,le,71
long,long,21
de,de,81
la,le,71
muraille,muraille,22
",",",",p
à,à,81
gauche,gauche,22
du,de,81
du,le,71
président,président,21
/.,/.,P
sur,sur,81
ce,ce,74
banc,banc,21
",",",",p
que,que,52
plusieurs,plusieurs,75
chandelles,chandelle,22
éclairaient,éclairer,18
",",",",p
il,il,51
y,y,52
avait,avoir,18
un,un,71
homme,homme,21
entre,entre,81
deux,deux,72
gendarmes,gendarme,21
/.,/.,P
cet,ce,74
homme,homme,21
",",",",p
c',ce,52
était,être,18
l',le,71
homme,homme,21
/.,/.,P
il,il,51
ne,ne,60
le,le,52
chercha,chercher,19
pas,pas,60
",",",",p
il,il,51
le,le,52
vit,voir,19
/.,/.,P
ses,son,73
yeux,oeil,21
allèrent,aller,19
là,là,60
naturellement,naturellement,60
",",",",p
comme,comme,83
s',si,83
ils,ils,51
avaient,avoir,18
su,savoir,12
d',de,81
avance,avance,22
où,où,60
était,être,18
cette,ce,74
figure,figure,22
/.,/.,P
il,il,51
crut,croire,19
se,se,51
voir,voir,14
lui-même,lui-même,51
",",",",p
vieilli,vieilli,31
",",",",p
non,non,60
pas,pas,60
sans,sans,81
doute,doute,21
absolument,absolument,60
semblable,semblable,30
de,de,81
visage,visage,21
",",",",p
mais,mais,82
tout,tout,60
pareil,pareil,30
d',de,81
attitude,attitude,22
et,et,82
d',de,81
aspect,aspect,21
",",",",p
avec,avec,81
ces,ce,74
cheveux,cheveu,21
hérissés,hérissé,31
",",",",p
avec,avec,81
cette,ce,74
prunelle,prunelle,22
fauve,fauve,30
et,et,82
inquiète,inquiet,30
",",",",p
avec,avec,81
cette,ce,74
blouse,blouse,22
",",",",p
tel,tel,75
qu',que,83
il,il,51
était,être,18
le,le,71
jour,jour,21
où,où,60
il,il,51
entrait,entrer,18
à,à,81
Digne,Digne,20
",",",",p
plein,plein,21
de,de,81
haine,haine,22
et,et,82
cachant,cacher,13
dans,dans,81
son,son,73
âme,âme,22
ce,ce,74
hideux,hideux,30
trésor,trésor,21
de,de,81
pensées,pensée,22
affreuses,affreux,30
qu',que,83
il,il,51
avait,avoir,18
mis,mettre,12
dix,dix,72
neuf,neuf,72
ans,an,21
à,à,81
ramasser,ramasser,14
sur,sur,81
le,le,71
pavé,pavé,21
du,de,81
du,le,71
bagne,bagne,21
/.,/.,P
il,il,51
se,se,51
dit,dire,19
avec,avec,81
un,un,71
frémissement,frémissement,21
:,:,p
-,-,p
mon,mon,73
dieu,dieu,21
!,!,p
est,être,17
ce,ce,52
que,que,83
je,je,51
redeviendrai,redevenir,15
ainsi,ainsi,60
/?,/?,P
cet,ce,74
être,être,21
paraissait,paraître,18
au,à,81
au,le,71
moins,moins,60
soixante,soixante,72
ans,an,21
/.,/.,P
il,il,51
avait,avoir,18
je,je,51
ne,ne,60
sais,savoir,17
quoi,quoi,52
de,de,81
rude,rude,30
",",",",p
de,de,81
stupide,stupide,30
et,et,82
d',de,81
effarouché,effarouché,31
/.,/.,P
au,à,81
au,le,71
bruit,bruit,21
de,de,81
la,le,71
porte,porte,22
",",",",p
on,on,51
s',se,51
était,être,18
rangé,ranger,12
pour,pour,81
lui,lui,51
faire,faire,14
place,place,22
",",",",p
le,le,71
président,président,21
avait,avoir,18
tourné,tourner,12
la,le,71
tête,tête,22
",",",",p
et,et,82
comprenant,comprendre,13
que,que,83
le,le,71
personnage,personnage,21
qui,qui,52
venait,venir,18
d',de,81
entrer,entrer,14
était,être,18
monsieur,monsieur,21
le,le,71
maire,maire,21
de,de,81
Montreuil,Montreuil,20
sur-mer,sur-mer,22
",",",",p
il,il,51
l',le,52
avait,avoir,18
salué,saluer,12
/.,/.,P
l',le,71
avocat,avocat,21
général,général,30
",",",",p
qui,qui,52
avait,avoir,18
vu,voir,12
monsieur,monsieur,21
Madeleine,Madeleine,20
à,à,81
Montreuil,Montreuil,20
sur-mer,sur-mer,22
où,où,60
des,de,81
des,le,71
opérations,opération,22
de,de,81
son,son,73
ministère,ministère,21
l',le,52
avaient,avoir,18
plus,plus,60
d',de,81
une,un,71
fois,fois,22
appelé,appeler,12
",",",",p
le,le,52
reconnut,reconnaître,19
",",",",p
et,et,82
salua,saluer,19
également,également,60
/.,/.,P
lui,lui,51
s',se,51
en,en,52
aperçut,apercevoir,19
à,à,81
peine,peine,22
/.,/.,P
il,il,51
était,être,18
en,en,81
proie,proie,22
à,à,81
une,un,71
sorte,sorte,22
d',de,81
hallucination,hallucination,22
;,;,p
il,il,51
regardait,regarder,18
/.,/.,P
des,de,81
des,le,71
juges,juge,21
",",",",p
un,un,71
greffier,greffier,21
",",",",p
des,de,81
des,le,71
gendarmes,gendarme,21
",",",",p
une,un,71
foule,foule,22
de,de,81
têtes,tête,22
cruellement,cruellement,60
curieuses,curieux,30
",",",",p
il,il,51
avait,avoir,18
déjà,déjà,60
vu,voir,12
cela,cela,52
une,un,71
fois,fois,22
",",",",p
autrefois,autrefois,60
",",",",p
il,il,51
y,y,52
avait,avoir,18
vingt,vingt,72
sept,sept,72
ans,an,21
/.,/.,P
ces,ce,74
choses,chose,22
funestes,funeste,30
",",",",p
il,il,51
les,le,52
retrouvait,retrouver,18
;,;,p
elles,ils,51
étaient,être,18
là,là,60
",",",",p
elles,ils,51
remuaient,remuer,18
",",",",p
elles,ils,51
existaient,exister,18
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
plus,plus,60
un,un,71
effort,effort,21
de,de,81
sa,son,73
mémoire,mémoire,22
",",",",p
un,un,71
mirage,mirage,21
de,de,81
sa,son,73
pensée,pensée,22
",",",",p
c',ce,52
étaient,être,18
de,de,81
vrais,vrai,30
gendarmes,gendarme,21
et,et,82
de,de,81
vrais,vrai,30
juges,juge,21
",",",",p
une,un,71
vraie,vrai,30
foule,foule,22
et,et,82
de,de,81
vrais,vrai,30
hommes,homme,21
en,en,81
chair,chair,22
et,et,82
en,en,81
os,os,21
/.,/.,P
c',ce,52
en,en,52
était,être,18
fait,faire,12
",",",",p
il,il,51
voyait,voir,18
reparaître,reparaître,14
et,et,82
revivre,revivre,14
autour,autour,60
de,de,81
lui,lui,51
",",",",p
avec,avec,81
tout,tout,52
ce,ce,52
que,que,52
la,le,71
réalité,réalité,22
a,avoir,17
de,de,81
formidable,formidable,30
",",",",p
les,le,71
aspects,aspect,21
monstrueux,monstrueux,30
de,de,81
son,son,73
passé,passé,21
/.,/.,P
tout,tout,75
cela,cela,52
était,être,18
béant,béant,30
devant,devant,81
lui,lui,51
/.,/.,P
il,il,51
en,en,52
eut,avoir,19
horreur,horreur,22
",",",",p
il,il,51
ferma,fermer,19
les,le,71
yeux,oeil,21
",",",",p
et,et,82
s',se,51
écria,écrier,19
au,à,81
au,le,71
plus,plus,60
profond,profond,30
de,de,81
son,son,73
âme,âme,22
:,:,p
jamais,jamais,60
/!,/!,P
et,et,82
par,par,81
un,un,71
jeu,jeu,21
tragique,tragique,30
de,de,81
la,le,71
destinée,destinée,22
qui,qui,52
faisait,faire,18
trembler,trembler,14
toutes,tout,75
ses,son,73
idées,idée,22
et,et,82
le,le,52
rendait,rendre,18
presque,presque,60
fou,fou,30
",",",",p
c',ce,52
était,être,18
un,un,71
autre,autre,52
lui-même,lui-même,51
qui,qui,52
était,être,18
là,là,60
/!,/!,P
cet,ce,74
homme,homme,21
qu',que,52
on,on,51
jugeait,juger,18
",",",",p
tous,tout,52
l',le,52
appelaient,appeler,18
Jean,Jean,20
Valjean,Valjean,20
/!,/!,P
il,il,51
avait,avoir,18
sous,sous,81
les,le,71
yeux,oeil,21
",",",",p
vision,vision,22
inouïe,inouï,30
",",",",p
une,un,71
sorte,sorte,22
de,de,81
représentation,représentation,22
du,de,81
du,le,71
moment,moment,21
le,le,71
plus,plus,60
horrible,horrible,30
de,de,81
sa,son,73
vie,vie,22
",",",",p
jouée,joué,31
par,par,81
son,son,73
fantôme,fantôme,21
/.,/.,P
tout,tout,52
y,y,52
était,être,18
",",",",p
c',ce,52
était,être,18
le,le,71
même,même,75
appareil,appareil,21
",",",",p
la,le,71
même,même,75
heure,heure,22
de,de,81
nuit,nuit,22
",",",",p
presque,presque,60
les,le,71
mêmes,même,75
faces,face,22
de,de,81
juges,juge,21
",",",",p
de,de,81
soldats,soldat,21
et,et,82
de,de,81
spectateurs,spectateur,21
/.,/.,P
seulement,seulement,60
",",",",p
au-dessus,au-dessus,60
de,de,81
la,le,71
tête,tête,22
du,de,81
du,le,71
président,président,21
",",",",p
il,il,51
y,y,52
avait,avoir,18
un,un,71
crucifix,crucifix,21
",",",",p
chose,chose,22
qui,qui,52
manquait,manquer,18
aux,à,81
aux,le,71
tribunaux,tribunal,21
du,de,81
du,le,71
temps,temps,21
de,de,81
sa,son,73
condamnation,condamnation,22
/.,/.,P
quand,quand,83
on,on,51
l',le,52
avait,avoir,18
jugé,juger,12
",",",",p
dieu,dieu,21
était,être,18
absent,absent,30
/.,/.,P
une,un,71
chaise,chaise,22
était,être,18
derrière,derrière,81
lui,lui,51
;,;,p
il,il,51
s',se,51
y,y,52
laissa,laisser,19
tomber,tomber,14
",",",",p
terrifié,terrifié,31
de,de,81
l',le,71
idée,idée,22
qu',que,52
on,on,51
pouvait,pouvoir,18
le,le,52
voir,voir,14
/.,/.,P
quand,quand,83
il,il,51
fut,être,19
assis,asseoir,12
",",",",p
il,il,51
profita,profiter,19
d',de,81
une,un,71
pile,pile,22
de,de,81
cartons,carton,21
qui,qui,52
était,être,18
sur,sur,81
le,le,71
bureau,bureau,21
des,de,81
des,le,71
juges,juge,21
pour,pour,81
dérober,dérober,14
son,son,73
visage,visage,21
à,à,81
toute,tout,75
la,le,71
salle,salle,22
/.,/.,P
il,il,51
pouvait,pouvoir,18
maintenant,maintenant,60
voir,voir,14
sans,sans,81
être,être,14
vu,voir,12
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
il,il,51
se,se,51
remit,remettre,19
/.,/.,P
il,il,51
rentra,rentrer,19
pleinement,pleinement,60
dans,dans,81
le,le,71
sentiment,sentiment,21
du,de,81
du,le,71
réel,réel,21
;,;,p
il,il,51
arriva,arriver,19
à,à,81
cette,ce,74
phase,phase,22
de,de,81
calme,calme,21
où,où,60
l',l',94
on,on,51
peut,pouvoir,17
écouter,écouter,14
/.,/.,P
monsieur,monsieur,21
Bamatabois,Bamatabois,20
était,être,18
au,à,81
au,le,71
nombre,nombre,21
des,de,81
des,le,71
jurés,juré,21
/.,/.,P
il,il,51
chercha,chercher,19
Javert,Javert,20
",",",",p
mais,mais,82
il,il,51
ne,ne,60
le,le,52
vit,voir,19
pas,pas,60
/.,/.,P
le,le,71
banc,banc,21
des,de,81
des,le,71
témoins,témoin,21
lui,lui,51
était,être,18
caché,cacher,12
par,par,81
la,le,71
table,table,22
du,de,81
du,le,71
greffier,greffier,21
/.,/.,P
et,et,82
puis,puis,60
",",",",p
nous,nous,51
venons,venir,17
de,de,81
le,le,52
dire,dire,14
",",",",p
la,le,71
salle,salle,22
était,être,18
à,à,81
peine,peine,22
éclairée,éclairer,12
/.,/.,P
au,à,81
au,le,71
moment,moment,21
où,où,60
il,il,51
était,être,18
entré,entrer,12
",",",",p
l',le,71
avocat,avocat,21
de,de,81
l',le,71
accusé,accusé,21
achevait,achever,18
sa,son,73
plaidoirie,plaidoirie,22
/.,/.,P
l',le,71
attention,attention,22
de,de,81
tous,tout,52
était,être,18
excitée,exciter,12
au,à,81
au,le,71
plus,plus,60
haut,haut,30
point,point,21
;,;,p
l',le,71
affaire,affaire,22
durait,durer,18
depuis,depuis,81
trois,trois,72
heures,heure,22
/.,/.,P
depuis,depuis,81
trois,trois,72
heures,heure,22
",",",",p
cette,ce,74
foule,foule,22
regardait,regarder,18
plier,plier,14
peu,peu,60
à,à,81
peu,peu,60
sous,sous,81
le,le,71
poids,poids,21
d',de,81
une,un,71
vraisemblance,vraisemblance,22
terrible,terrible,30
un,un,71
homme,homme,21
",",",",p
un,un,71
inconnu,inconnu,30
",",",",p
une,un,71
espèce,espèce,22
d',de,81
être,être,14
misérable,misérable,30
",",",",p
profondément,profondément,60
stupide,stupide,30
ou,ou,82
profondément,profondément,60
habile,habile,30
/.,/.,P
cet,ce,74
homme,homme,21
",",",",p
on,on,51
le,le,52
sait,savoir,17
déjà,déjà,60
",",",",p
était,être,18
un,un,71
vagabond,vagabond,21
qui,qui,52
avait,avoir,18
été,être,12
trouvé,trouver,12
dans,dans,81
un,un,71
champ,champ,21
",",",",p
emportant,emporter,13
une,un,71
branche,branche,22
chargée,chargé,31
de,de,81
pommes,pomme,22
mûres,mûr,30
",",",",p
cassée,cassé,31
à,à,81
un,un,71
pommier,pommier,21
dans,dans,81
un,un,71
clos,clos,21
voisin,voisin,30
",",",",p
appelé,appelé,21
le,le,71
clos,clos,21
Pierron,Pierron,20
/.,/.,P
qui,qui,52
était,être,18
cet,ce,74
homme,homme,21
/?,/?,P
une,un,71
enquête,enquête,22
avait,avoir,18
eu,avoir,12
lieu,lieu,21
;,;,p
des,de,81
des,le,71
témoins,témoin,21
venaient,venir,18
d',de,81
être,être,14
entendus,entendre,12
",",",",p
ils,ils,51
avaient,avoir,18
été,être,12
unanimes,unanime,30
",",",",p
des,de,81
des,le,71
lumières,lumière,22
avaient,avoir,18
jailli,jaillir,12
de,de,81
tout,tout,75
le,le,71
débat,débat,21
/.,/.,P
l',le,71
accusation,accusation,22
disait,dire,18
:,:,p
-,-,p
nous,nous,51
ne,ne,60
tenons,tenir,17
pas,pas,60
seulement,seulement,60
un,un,71
voleur,voleur,21
de,de,81
fruits,fruit,21
",",",",p
un,un,71
maraudeur,maraudeur,21
;,;,p
nous,nous,51
tenons,tenir,17
là,là,60
",",",",p
dans,dans,81
notre,notre,73
main,main,22
",",",",p
un,un,71
bandit,bandit,21
",",",",p
un,un,71
relaps,relaps,21
en,en,81
rupture,rupture,22
de,de,81
ban,ban,21
",",",",p
un,un,71
ancien,ancien,30
forçat,forçat,21
",",",",p
un,un,71
scélérat,scélérat,21
des,de,81
des,le,71
plus,plus,60
dangereux,dangereux,30
",",",",p
un,un,71
malfaiteur,malfaiteur,21
appelé,appelé,31
Jean,Jean,20
Valjean,Valjean,20
que,que,52
la,le,71
justice,justice,22
recherche,rechercher,17
depuis,depuis,81
longtemps,longtemps,60
",",",",p
et,et,82
qui,qui,52
",",",",p
il,il,51
y,y,52
a,avoir,17
huit,huit,72
ans,an,21
",",",",p
en,en,81
sortant,sortir,13
du,de,81
du,le,71
bagne,bagne,21
de,de,81
Toulon,Toulon,20
",",",",p
a,avoir,17
commis,commettre,12
un,un,71
vol,vol,21
de,de,81
grand,grand,30
chemin,chemin,21
à,à,81
main,main,22
armée,armé,31
sur,sur,81
la,le,71
personne,personne,22
d',de,81
un,un,71
enfant,enfant,21
savoyard,savoyard,30
appelé,appelé,21
Petit-Gervais,Petit-Gervais,20
",",",",p
crime,crime,21
prévu,prévu,31
par,par,81
l',le,71
article,article,21
<Nombre 383>,<>,<>
trois,trois,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
trois,trois,72
<Fin nombre>,<>,<>
du,de,81
du,le,71
code,code,21
pénal,pénal,30
",",",",p
pour,pour,81
lequel,lequel,52
nous,nous,51
nous,nous,51
réservons,réserver,17
de,de,81
le,le,52
poursuivre,poursuivre,14
ultérieurement,ultérieurement,60
",",",",p
quand,quand,83
l',le,71
identité,identité,22
sera,être,15
judiciairement,judiciairement,60
acquise,acquérir,12
/.,/.,P
il,il,51
vient,venir,17
de,de,81
commettre,commettre,14
un,un,71
nouveau,nouveau,30
vol,vol,21
/.,/.,P
c',ce,52
est,être,17
un,un,71
cas,cas,21
de,de,81
récidive,récidive,22
/.,/.,P
condamnez,condamner,17
le,le,52
pour,pour,81
le,le,71
fait,fait,21
nouveau,nouveau,30
;,;,p
il,il,51
sera,être,15
jugé,juger,12
plus,plus,60
tard,tard,60
pour,pour,81
le,le,71
fait,fait,21
ancien,ancien,30
/.,/.,P
devant,devant,81
cette,ce,74
accusation,accusation,22
",",",",p
devant,devant,81
l',le,71
unanimité,unanimité,22
des,de,81
des,le,71
témoins,témoin,21
",",",",p
l',le,71
accusé,accusé,21
paraissait,paraître,18
surtout,surtout,60
étonné,étonné,31
/.,/.,P
il,il,51
faisait,faire,18
des,de,81
des,le,71
gestes,geste,21
et,et,82
des,de,81
des,le,71
signes,signe,21
qui,qui,52
voulaient,vouloir,18
dire,dire,14
non,non,60
",",",",p
ou,ou,82
bien,bien,60
il,il,51
considérait,considérer,18
le,le,71
plafond,plafond,21
/.,/.,P
il,il,51
parlait,parler,18
avec,avec,81
peine,peine,22
",",",",p
répondait,répondre,18
avec,avec,81
embarras,embarras,21
",",",",p
mais,mais,82
de,de,81
la,le,71
tête,tête,22
aux,à,81
aux,le,71
pieds,pied,21
toute,tout,75
sa,son,73
personne,personne,22
niait,nier,18
/.,/.,P
il,il,51
était,être,18
comme,comme,83
un,un,71
idiot,idiot,30
en,en,81
présence,présence,22
de,de,81
toutes,tout,75
ces,ce,74
intelligences,intelligence,22
rangées,rangé,31
en,en,81
bataille,bataille,22
autour,autour,60
de,de,81
lui,lui,51
",",",",p
et,et,82
comme,comme,83
un,un,71
étranger,étranger,21
au,à,81
au,le,71
milieu,milieu,21
de,de,81
cette,ce,74
société,société,22
qui,qui,52
le,le,52
saisissait,saisir,18
/.,/.,P
cependant,cependant,82
il,il,51
y,y,52
allait,aller,18
pour,pour,81
lui,lui,51
de,de,81
l',le,71
avenir,avenir,21
le,le,71
plus,plus,60
menaçant,menaçant,30
",",",",p
la,le,71
vraisemblance,vraisemblance,22
croissait,croître,18
à,à,81
chaque,chaque,75
minute,minute,22
",",",",p
et,et,82
toute,tout,75
cette,ce,74
foule,foule,22
regardait,regarder,18
avec,avec,81
plus,plus,60
d',de,81
anxiété,anxiété,22
que,que,83
lui-même,lui-même,51
cette,ce,74
sentence,sentence,22
pleine,plein,30
de,de,81
calamités,calamité,22
qui,qui,52
penchait,pencher,18
sur,sur,81
lui,lui,51
de,de,81
plus,plus,60
en,en,81
plus,plus,60
/.,/.,P
une,un,71
éventualité,éventualité,22
laissait,laisser,18
même,même,60
entrevoir,entrevoir,14
",",",",p
outre,outre,81
le,le,71
bagne,bagne,21
",",",",p
la,le,71
peine,peine,22
de,de,81
mort,mort,22
possible,possible,30
",",",",p
si,si,83
l',le,71
identité,identité,22
était,être,18
reconnue,reconnaître,12
et,et,82
si,si,83
l',le,71
affaire,affaire,22
Petit-Gervais,Petit-Gervais,20
se,se,51
terminait,terminer,18
plus,plus,60
tard,tard,60
par,par,81
une,un,71
condamnation,condamnation,22
/.,/.,P
qu',que,52
était,être,18
ce,ce,52
que,que,83
cet,ce,74
homme,homme,21
/?,/?,P
de,de,81
quelle,quel,75
nature,nature,22
était,être,18
son,son,73
apathie,apathie,22
/?,/?,P
était,être,18
ce,ce,52
imbécillité,imbécillité,22
ou,ou,82
ruse,ruse,22
/?,/?,P
comprenait,comprendre,18
il,il,51
trop,trop,60
",",",",p
ou,ou,82
ne,ne,60
comprenait,comprendre,18
il,il,51
pas,pas,60
du,de,81
du,le,71
tout,tout,21
/?,/?,P
questions,question,22
qui,qui,52
divisaient,diviser,18
la,le,71
foule,foule,22
et,et,82
semblaient,sembler,18
partager,partager,14
le,le,71
jury,jury,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
dans,dans,81
ce,ce,74
procès,procès,21
ce,ce,52
qui,qui,52
effraye,effrayer,17
et,et,82
ce,ce,52
qui,qui,52
intrigue,intriguer,17
;,;,p
le,le,71
drame,drame,21
n',ne,60
était,être,18
pas,pas,60
seulement,seulement,60
sombre,sombre,30
",",",",p
il,il,51
était,être,18
obscur,obscur,30
/.,/.,P
le,le,71
défenseur,défenseur,21
avait,avoir,18
assez,assez,60
bien,bien,60
plaidé,plaider,12
",",",",p
dans,dans,81
cette,ce,74
langue,langue,22
de,de,81
province,province,22
qui,qui,52
a,avoir,17
longtemps,longtemps,60
constitué,constituer,12
l',le,71
éloquence,éloquence,22
du,de,81
du,le,71
barreau,barreau,21
et,et,82
dont,dont,52
usaient,user,18
jadis,jadis,60
tous,tout,75
les,le,71
avocats,avocat,21
",",",",p
aussi,aussi,60
bien,bien,60
à,à,81
Paris,Paris,20
qu',que,83
à,à,81
Romorantin,Romorantin,20
ou,ou,82
à,à,81
Montbrison,Montbrison,20
",",",",p
et,et,82
qui,qui,52
aujourd'hui,aujourd'hui,60
",",",",p
étant,être,13
devenue,devenir,12
classique,classique,30
",",",",p
n',ne,60
est,être,17
plus,plus,60
guère,guère,60
parlée,parler,12
que,que,83
par,par,81
les,le,71
orateurs,orateur,21
officiels,officiel,30
du,de,81
du,le,71
parquet,parquet,21
",",",",p
auxquels,à,81
auxquels,lequel,52
elle,il,51
convient,convenir,17
par,par,81
sa,son,73
sonorité,sonorité,22
grave,grave,30
et,et,82
son,son,73
allure,allure,22
majestueuse,majestueux,30
;,;,p
langue,langue,22
où,où,60
un,un,71
mari,mari,21
s',se,51
appelle,appeler,17
un,un,71
époux,époux,21
",",",",p
une,un,71
femme,femme,22
",",",",p
une,un,71
épouse,épouse,22
",",",",p
Paris,Paris,20
",",",",p
le,le,71
centre,centre,21
des,de,81
des,le,71
arts,art,21
et,et,82
de,de,81
la,le,71
civilisation,civilisation,22
",",",",p
le,le,71
roi,roi,21
",",",",p
le,le,71
monarque,monarque,21
",",",",p
monseigneur,monseigneur,21
l',le,71
évêque,évêque,21
",",",",p
un,un,71
saint,saint,30
pontife,pontife,21
",",",",p
l',le,71
avocat,avocat,21
général,général,30
",",",",p
l',le,71
éloquent,éloquent,30
interprète,interpréter,17
de,de,81
la,le,71
vindicte,vindicte,22
",",",",p
la,le,71
plaidoirie,plaidoirie,22
",",",",p
les,le,71
accents,accent,21
qu',que,52
on,on,51
vient,venir,17
d',de,81
entendre,entendre,14
",",",",p
le,le,71
siècle,siècle,21
de,de,81
Louis XIV,Louis XIV,20
",",",",p
le,le,71
grand,grand,30
siècle,siècle,21
",",",",p
un,un,71
théâtre,théâtre,21
",",",",p
le,le,71
temple,temple,21
de,de,81
Melpomène,Melpomène,20
",",",",p
la,le,71
famille,famille,22
régnante,régnant,30
",",",",p
l',le,71
auguste,auguste,30
sang,sang,21
de,de,81
nos,notre,73
rois,roi,21
",",",",p
un,un,71
concert,concert,21
",",",",p
une,un,71
solennité,solennité,22
musicale,musical,30
",",",",p
monsieur,monsieur,21
le,le,71
général,général,21
commandant,commander,13
le,le,71
département,département,21
",",",",p
l',le,71
illustre,illustre,30
guerrier,guerrier,21
qui,qui,52
",",",",p
etc,et cetera,91
",",",",p
les,le,71
élèves,élève,21
du,de,81
du,le,71
séminaire,séminaire,21
",",",",p
ces,ce,74
tendres,tendre,30
lévites,lévite,21
",",",",p
les,le,71
erreurs,erreur,22
imputées,imputé,31
aux,à,81
aux,le,71
journaux,journal,21
",",",",p
l',le,71
imposture,imposture,22
qui,qui,52
distille,distiller,17
son,son,73
venin,venin,21
dans,dans,81
les,le,71
colonnes,colonne,22
de,de,81
ces,ce,74
organes,organe,21
",",",",p
etc,et cetera,91
",",",",p
etc,et cetera,91
-,-,p
l',le,71
avocat,avocat,21
donc,donc,82
avait,avoir,18
commencé,commencer,12
par,par,81
s',se,51
expliquer,expliquer,14
sur,sur,81
le,le,71
vol,vol,21
des,de,81
des,le,71
pommes,pomme,22
",",",",p
-,-,p
chose,chose,22
malaisée,malaisé,30
en,en,81
beau,beau,30
style,style,21
;,;,p
mais,mais,82
Bénigne,Bénigne,20
Bossuet,Bossuet,20
lui-même,lui-même,51
a,avoir,17
été,être,12
obligé,obliger,12
de,de,81
faire,faire,14
allusion,allusion,22
à,à,81
une,un,71
poule,poule,22
en,en,81
pleine,plein,30
oraison,oraison,22
funèbre,funèbre,30
",",",",p
et,et,82
il,il,51
s',se,51
en,en,52
est,être,17
tiré,tirer,12
avec,avec,81
pompe,pompe,22
/.,/.,P
l',le,71
avocat,avocat,21
avait,avoir,18
établi,établir,12
que,que,83
le,le,71
vol,vol,21
de,de,81
pommes,pomme,22
n',ne,60
était,être,18
pas,pas,60
matériellement,matériellement,60
prouvé,prouver,12
/.,/.,P
-,-,p
son,son,73
client,client,21
",",",",p
qu',que,52
en,en,81
sa,son,73
qualité,qualité,22
de,de,81
défenseur,défenseur,21
",",",",p
il,il,51
persistait,persister,18
à,à,81
appeler,appeler,14
Champmathieu,Champmathieu,20
",",",",p
n',ne,60
avait,avoir,18
été,être,12
vu,voir,12
de,de,81
personne,personne,52
escaladant,escalader,13
le,le,71
mur,mur,21
ou,ou,82
cassant,casser,13
la,le,71
branche,branche,22
/.,/.,P
on,on,51
l',le,52
avait,avoir,18
arrêté,arrêter,12
nanti,nanti,31
de,de,81
cette,ce,74
branche,branche,22
(,(,p
que,que,83
l',le,71
avocat,avocat,21
appelait,appeler,18
plus,plus,60
volontiers,volontiers,60
rameau,rameau,21
),),p
;,;,p
mais,mais,82
il,il,51
disait,dire,18
l',le,52
avoir,avoir,14
trouvée,trouver,12
à,à,81
terre,terre,22
et,et,82
ramassée,ramasser,12
/.,/.,P
où,où,60
était,être,18
la,le,71
preuve,preuve,22
du,de,81
du,le,71
contraire,contraire,21
/?,/?,P
sans,sans,81
doute,doute,21
cette,ce,74
branche,branche,22
avait,avoir,18
été,être,12
cassée,casser,12
et,et,82
dérobée,dérober,12
après,après,81
escalade,escalade,22
",",",",p
puis,puis,60
jetée,jetée,22
là,là,60
par,par,81
le,le,71
maraudeur,maraudeur,21
alarmé,alarmé,31
;,;,p
sans,sans,81
doute,doute,21
il,il,51
y,y,52
avait,avoir,18
un,un,71
voleur,voleur,21
/.,/.,P
mais,mais,82
qu',que,52
est,être,17
ce,ce,52
qui,qui,52
prouvait,prouver,18
que,que,83
ce,ce,74
voleur,voleur,21
était,être,18
Champmathieu,Champmathieu,20
/?,/?,P
une,un,71
seule,seul,30
chose,chose,22
/.,/.,P
sa,son,73
qualité,qualité,22
d',de,81
ancien,ancien,30
forçat,forçat,21
/.,/.,P
l',le,71
avocat,avocat,21
ne,ne,60
niait,nier,18
pas,pas,60
que,que,83
cette,ce,74
qualité,qualité,22
ne,ne,60
parût,paraître,18
malheureusement,malheureusement,60
bien,bien,60
constatée,constaté,31
;,;,p
l',le,71
accusé,accusé,21
avait,avoir,18
résidé,résider,12
à,à,81
Faverolles,Faverolles,20
;,;,p
l',le,71
accusé,accusé,21
