<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquantième extrait>,<>,<>
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
de,de,81
quittance,quittance,22
",",",",p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
faits,fait,21
de,de,81
charge,charge,22
qui,qui,52
vont,aller,17
absorber,absorber,14
charge,charge,22
et,et,82
cautionnement,cautionnement,21
",",",",p
les,le,71
créanciers,créancier,21
croiront,croire,15
que,que,83
je,je,51
suis,être,17
son,son,73
compère,compère,21
si,si,83
je,je,51
parle,parler,17
de,de,81
mes,mon,73
cent,cent,72
mille,mille,72
francs,franc,21
",",",",p
et,et,82
quand,quand,83
on,on,51
débute,débuter,17
",",",",p
il,il,51
faut,falloir,17
prendre,prendre,14
garde,garde,22
à,à,81
sa,son,73
réputation,réputation,22
/.,/.,P
vous,vous,51
aurez,avoir,15
à,à,81
peine,peine,22
trente,trente,72
pour,pour,81
cent,cent,72
/.,/.,P
à,à,81
mon,mon,73
âge,âge,21
",",",",p
boire,boire,14
un,un,71
pareil,pareil,30
bouillon,bouillon,21
/!,/!,P
un,un,71
homme,homme,21
de,de,81
cinquante,cinquante,72
neuf,neuf,72
ans,an,21
payer,payer,14
une,un,71
femme,femme,22
!,!,p
le,le,71
vieux,vieux,30
drôle,drôle,21
/!,/!,P
il,il,51
y,y,52
a,avoir,17
vingt,vingt,72
jours,jour,21
qu',que,83
il,il,51
m',je,51
a,avoir,17
dit,dire,12
de,de,81
ne,ne,60
pas,pas,60
épouser,épouser,14
Césarine,Césarine,20
",",",",p
vous,vous,51
deviez,devoir,17
être,être,14
bientôt,bientôt,60
sans,sans,81
pain,pain,21
",",",",p
le,le,71
monstre,monstre,21
/!,/!,P
Alexandre,Alexandre,20
aurait,avoir,16
pu,pouvoir,12
parler,parler,14
pendant,pendant,81
longtemps,longtemps,60
",",",",p
Birotteau,Birotteau,20
était,être,18
debout,debout,60
",",",",p
pétrifié,pétrifier,12
/.,/.,P
autant,autant,60
de,de,81
phrases,phrase,22
",",",",p
autant,autant,60
de,de,81
coups,coup,21
de,de,81
massue,massue,22
/.,/.,P
il,il,51
n',ne,60
entendait,entendre,18
plus,plus,60
qu',que,83
un,un,71
bruit,bruit,21
de,de,81
cloches,cloche,22
mortuaires,mortuaire,30
",",",",p
de,de,81
même,même,60
qu',que,83
il,il,51
avait,avoir,18
commencé,commencer,12
par,par,81
ne,ne,60
plus,plus,60
voir,voir,14
que,que,83
le,le,71
feu,feu,21
de,de,81
son,son,73
incendie,incendie,21
/.,/.,P
Alexandre,Alexandre,20
Crottat,Crottat,20
",",",",p
qui,qui,52
croyait,croire,18
le,le,71
digne,digne,30
parfumeur,parfumeur,21
fort,fort,30
et,et,82
capable,capable,30
",",",",p
fut,être,19
épouvanté,épouvanter,12
par,par,81
sa,son,73
pâleur,pâleur,22
et,et,82
par,par,81
son,son,73
immobilité,immobilité,22
/.,/.,P
le,le,71
successeur,successeur,21
de,de,81
Roguin,Roguin,20
ne,ne,60
savait,savoir,18
pas,pas,60
que,que,83
le,le,71
notaire,notaire,21
emportait,emporter,18
plus,plus,60
que,que,83
la,le,71
fortune,fortune,22
de,de,81
César,César,20
/.,/.,P
l',le,71
idée,idée,22
du,de,81
du,le,71
suicide,suicide,21
immédiat,immédiat,30
passa,passer,19
par,par,81
la,le,71
tête,tête,22
de,de,81
cet,ce,74
homme,homme,21
si,si,60
profondément,profondément,60
religieux,religieux,30
/.,/.,P
le,le,71
suicide,suicide,21
est,être,17
dans,dans,81
ce,ce,74
cas,cas,21
un,un,71
moyen,moyen,21
de,de,81
fuir,fuir,14
mille,mille,72
morts,mort,21
",",",",p
il,il,51
semble,sembler,17
logique,logique,30
de,de,81
n',ne,60
en,en,52
accepter,accepter,14
qu',que,83
une,un,52
/.,/.,P
Alexandre,Alexandre,20
Crottat,Crottat,20
donna,donner,19
le,le,71
bras,bras,21
à,à,81
César,César,20
et,et,82
voulut,vouloir,19
le,le,52
faire,faire,14
marcher,marcher,14
",",",",p
ce,ce,52
fut,être,19
impossible,impossible,30
:,:,p
ses,son,73
jambes,jambe,22
se,se,51
dérobaient,dérober,18
sous,sous,81
lui,lui,51
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
été,être,12
ivre,ivre,30
/.,/.,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
donc,donc,82
?,?,p
dit,dire,19
Crottat,Crottat,20
/.,/.,P
mon,mon,73
brave,brave,30
monsieur,monsieur,21
César,César,20
",",",",p
un,un,71
peu,peu,60
de,de,81
courage,courage,21
!,!,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
la,le,71
mort,mort,22
d',de,81
un,un,71
homme,homme,21
/!,/!,P
d',de,81
ailleurs,ailleurs,60
",",",",p
vous,vous,51
retrouverez,retrouver,15
quarante,quarante,72
mille,mille,72
francs,franc,21
",",",",p
votre,votre,73
prêteur,prêteur,21
n',ne,60
avait,avoir,18
pas,pas,60
cette,ce,74
somme,somme,22
",",",",p
elle,il,51
ne,ne,60
vous,vous,51
a,avoir,17
pas,pas,60
été,être,12
délivrée,délivrer,12
",",",",p
il,il,51
y,y,52
a,avoir,17
lieu,lieu,21
à,à,81
plaider,plaider,14
la,le,71
rescision,rescision,22
du,de,81
du,le,71
contrat,contrat,21
/.,/.,P
-,-,p
mon,mon,73
bal,bal,21
",",",",p
ma,mon,73
croix,croix,22
",",",",p
deux,deux,72
cent,cent,72
mille,mille,72
francs,franc,21
d',de,81
effets,effet,21
sur,sur,81
la,le,71
place,place,22
",",",",p
rien,rien,52
en,en,81
caisse,caisse,22
/.,/.,P
les,le,71
Ragon,Ragon,20
",",",",p
Pillerault,Pillerault,20
/…,/…,P
et,et,82
ma,mon,73
femme,femme,22
qui,qui,52
voyait,voir,18
clair,clair,60
/!,/!,P
une,un,71
pluie,pluie,22
de,de,81
paroles,parole,22
confuses,confus,30
qui,qui,52
réveillaient,réveiller,18
des,de,81
des,le,71
masses,masse,22
d',de,81
idées,idée,22
accablantes,accablant,30
et,et,82
des,de,81
des,le,71
souffrances,souffrance,22
inouïes,inouï,30
tomba,tomber,19
comme,comme,83
une,un,71
grêle,grêle,22
en,en,81
hachant,hacher,13
toutes,tout,75
les,le,71
fleurs,fleur,22
du,de,81
du,le,71
parterre,parterre,21
de,de,81
la,le,71
reine,reine,22
des,de,81
des,le,71
Roses,Rose,20
/.,/.,P
-,-,p
je,je,51
voudrais,vouloir,16
qu',que,83
on,on,51
me,je,51
coupât,couper,18
la,le,71
tête,tête,22
",",",",p
dit,dire,19
enfin,enfin,60
Birotteau,Birotteau,20
",",",",p
elle,il,51
me,je,51
gêne,gêner,17
par,par,81
sa,son,73
masse,masse,22
",",",",p
elle,il,51
ne,ne,60
me,je,51
sert,servir,17
à,à,81
rien,rien,52
/…,/…,P
pauvre,pauvre,30
père,père,21
Birotteau,Birotteau,20
",",",",p
dit,dire,19
Alexandre,Alexandre,20
",",",",p
mais,mais,82
vous,vous,51
êtes,être,17
donc,donc,82
en,en,81
péril,péril,21
/?,/?,P
péril,péril,21
/!,/!,P
eh,eh,93
!,!,p
bien,bien,60
",",",",p
du,de,81
du,le,71
courage,courage,21
",",",",p
luttez,lutter,17
/.,/.,P
-,-,p
luttez,lutter,17
!,!,p
répéta,répéter,19
le,le,71
parfumeur,parfumeur,21
/.,/.,P
-,-,p
du,de,81
du,le,71
Tillet,Tillet,20
a,avoir,17
été,être,12
votre,votre,73
commis,commis,21
",",",",p
il,il,51
a,avoir,17
une,un,71
fière,fier,30
tête,tête,22
",",",",p
il,il,51
vous,vous,51
aidera,aider,15
/.,/.,P
-,-,p
du,de,81
du,le,71
Tillet,Tillet,20
/?,/?,P
allons,aller,17
",",",",p
venez,venir,17
/!,/!,P
mon,mon,73
dieu,dieu,21
!,!,p
je,je,51
ne,ne,60
voudrais,vouloir,16
pas,pas,60
rentrer,rentrer,14
chez,chez,81
moi,moi,51
comme,comme,83
je,je,51
suis,être,17
",",",",p
dit,dire,12
Birotteau,Birotteau,20
/.,/.,P
vous,vous,51
qui,qui,52
êtes,être,17
mon,mon,73
ami,ami,21
",",",",p
s',si,83
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
amis,ami,21
",",",",p
vous,vous,51
qui,qui,52
m',je,51
avez,avoir,17
inspiré,inspirer,12
de,de,81
l',le,71
intérêt,intérêt,21
et,et,82
qui,qui,52
dîniez,dîner,18
chez,chez,81
moi,moi,51
",",",",p
au,à,81
au,le,71
nom,nom,21
de,de,81
ma,mon,73
femme,femme,22
",",",",p
promenez,promener,17
moi,moi,51
en,en,81
fiacre,fiacre,21
",",",",p
Xandrot,Xandrot,20
",",",",p
accompagnez,accompagner,17
moi,moi,51
/.,/.,P
le,le,71
notaire,notaire,21
désigné,désigné,31
mit,mettre,19
avec,avec,81
beaucoup,beaucoup,60
de,de,81
peine,peine,22
dans,dans,81
un,un,71
fiacre,fiacre,21
la,le,71
machine,machine,22
inerte,inerte,30
qui,qui,52
avait,avoir,18
nom,nom,21
César,César,20
/.,/.,P
-,-,p
Xandrot,Xandrot,20
",",",",p
dit,dire,19
il,il,51
d',de,81
une,un,71
voix,voix,22
troublée,troublé,31
par,par,81
les,le,71
larmes,larme,22
",",",",p
car,car,82
en,en,81
ce,ce,74
moment,moment,21
les,le,71
larmes,larme,22
tombèrent,tomber,19
de,de,81
ses,son,73
yeux,oeil,21
et,et,82
desserrèrent,desserrer,19
un,un,71
peu,peu,60
le,le,71
bandeau,bandeau,21
de,de,81
fer,fer,21
qui,qui,52
lui,lui,51
cerclait,cercler,18
le,le,71
crâne,crâne,21
",",",",p
passons,passer,17
chez,chez,81
moi,moi,51
",",",",p
parlez,parler,17
pour,pour,81
moi,moi,51
à,à,81
Célestin,Célestin,20
/.,/.,P
mon,mon,73
ami,ami,21
",",",",p
dites,dire,17
lui,lui,51
qu',que,83
il,il,51
y,y,52
va,aller,17
de,de,81
ma,mon,73
vie,vie,22
et,et,82
de,de,81
celle,celui,52
de,de,81
ma,mon,73
femme,femme,22
/.,/.,P
que,que,52
sous,sou,21
aucun,aucun,75
prétexte,prétexte,21
personne,personne,52
ne,ne,60
jase,jaser,17
de,de,81
la,le,71
disparition,disparition,22
de,de,81
Roguin,Roguin,20
/.,/.,P
faites,faire,17
descendre,descendre,14
Césarine,Césarine,20
et,et,82
priez,prier,17
la,le,52
d',de,81
empêcher,empêcher,14
qu',que,83
on,on,51
ne,ne,60
parle,parler,17
de,de,81
cette,ce,74
affaire,affaire,22
à,à,81
sa,son,73
mère,mère,22
;,;,p
elle,il,51
doit,devoir,17
se,se,51
défier,défier,14
de,de,81
nos,notre,73
meilleurs,meilleur,30
amis,ami,21
",",",",p
Pillerault,Pillerault,20
",",",",p
les,le,71
Ragon,Ragon,20
",",",",p
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
le,le,71
changement,changement,21
de,de,81
la,le,71
voix,voix,22
de,de,81
Birotteau,Birotteau,20
frappa,frapper,19
vivement,vivement,60
Crottat,Crottat,20
qui,qui,52
comprit,comprendre,19
l',le,71
importance,importance,22
de,de,81
cette,ce,74
recommandation,recommandation,22
/.,/.,P
la,le,71
rue,rue,22
Saint-Honoré,Saint-Honoré,20
menait,mener,18
chez,chez,81
le,le,71
magistrat,magistrat,21
;,;,p
il,il,51
remplit,remplir,19
les,le,71
intentions,intention,22
du,de,81
du,le,71
parfumeur,parfumeur,21
",",",",p
que,que,52
Célestin,Célestin,20
et,et,82
Césarine,Césarine,20
virent,voir,19
avec,avec,81
effroi,effroi,21
sans,sans,81
voix,voix,22
",",",",p
pâle,pâle,30
et,et,82
comme,comme,83
hébété,hébété,30
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
fiacre,fiacre,21
/.,/.,P
-,-,p
gardez,garder,17
moi,moi,51
le,le,71
secret,secret,21
sur,sur,81
cette,ce,74
affaire,affaire,22
",",",",p
dit,dire,19
le,le,71
parfumeur,parfumeur,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
se,se,51
dit,dire,19
Xandrot,Xandrot,20
",",",",p
il,il,51
revient,revenir,17
!,!,p
je,je,51
le,le,52
croyais,croire,18
perdu,perdu,31
/.,/.,P
la,le,71
conférence,conférence,22
d',de,81
Alexandre,Alexandre,20
Crottat,Crottat,20
et,et,82
du,de,81
du,le,71
magistrat,magistrat,21
dura,durer,19
longtemps,longtemps,60
:,:,p
on,on,51
envoya,envoyer,19
chercher,chercher,14
le,le,71
président,président,21
de,de,81
la,le,71
chambre,chambre,22
des,de,81
des,le,71
notaires,notaire,21
;,;,p
on,on,51
transporta,transporter,19
partout,partout,60
César,César,20
comme,comme,83
un,un,71
paquet,paquet,21
",",",",p
il,il,51
ne,ne,60
bougeait,bouger,18
pas,pas,60
et,et,82
ne,ne,60
disait,dire,18
mot,mot,21
/.,/.,P
vers,vers,81
sept,sept,72
heures,heure,22
du,de,81
du,le,71
soir,soir,21
",",",",p
Alexandre,Alexandre,20
Crottat,Crottat,20
ramena,ramener,19
le,le,71
parfumeur,parfumeur,21
chez,chez,81
lui,lui,51
/.,/.,P
l',le,71
idée,idée,22
de,de,81
comparaître,comparaître,14
devant,devant,81
Constance,Constance,20
rendit,rendre,19
du,de,81
du,le,71
ton,ton,21
à,à,81
César,César,20
/.,/.,P
le,le,71
jeune,jeune,30
notaire,notaire,21
eut,avoir,19
la,le,71
charité,charité,22
de,de,81
le,le,52
précéder,précéder,14
pour,pour,81
prévenir,prévenir,14
madame,madame,22
Birotteau,Birotteau,20
que,que,83
son,son,73
mari,mari,21
venait,venir,18
d',de,81
avoir,avoir,14
une,un,71
espèce,espèce,22
de,de,81
coup,coup,21
de,de,81
sang,sang,21
/.,/.,P
-,-,p
il,il,51
a,avoir,17
les,le,71
idées,idée,22
troubles,trouble,30
",",",",p
dit,dire,19
il,il,51
en,en,81
faisant,faire,13
un,un,71
geste,geste,21
employé,employé,31
pour,pour,81
peindre,peindre,14
l',le,71
embrouillement,embrouillement,21
du,de,81
du,le,71
cerveau,cerveau,21
",",",",p
il,il,51
faudrait,falloir,16
peut-être,peut-être,60
le,le,52
saigner,saigner,14
ou,ou,82
lui,lui,51
mettre,mettre,14
les,le,71
sangsues,sangsue,22
/.,/.,P
-,-,p
cela,cela,52
devait,devoir,18
arriver,arriver,14
",",",",p
dit,dire,19
Constance,Constance,20
à,à,81
mille,mille,72
lieues,lieue,22
d',de,81
un,un,71
désastre,désastre,21
",",",",p
il,il,51
n',ne,60
a,avoir,17
pas,pas,60
pris,prendre,12
sa,son,73
médecine,médecine,22
de,de,81
précaution,précaution,22
à,à,81
l',le,71
entrée,entrée,22
de,de,81
l',le,71
hiver,hiver,21
",",",",p
et,et,82
il,il,51
se,se,51
donne,donner,17
",",",",p
depuis,depuis,81
deux,deux,72
mois,mois,21
",",",",p
un,un,71
mal,mal,21
de,de,81
galérien,galérien,21
",",",",p
comme,comme,83
s',si,83
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
son,son,73
pain,pain,21
gagné,gagné,31
/.,/.,P
César,César,20
fut,être,19
supplié,supplier,12
par,par,81
sa,son,73
femme,femme,22
et,et,82
par,par,81
sa,son,73
fille,fille,22
de,de,81
se,se,51
mettre,mettre,14
au,à,81
au,le,71
lit,lit,21
",",",",p
et,et,82
l',l',94
on,on,51
envoya,envoyer,19
chercher,chercher,14
le,le,71
vieux,vieux,30
docteur,docteur,21
Haudry,Haudry,20
",",",",p
médecin,médecin,21
de,de,81
Birotteau,Birotteau,20
/.,/.,P
le,le,71
vieux,vieux,30
Haudry,Haudry,20
était,être,18
un,un,71
médecin,médecin,21
de,de,81
l',le,71
école,école,22
de,de,81
Molière,Molière,20
",",",",p
grand,grand,30
praticien,praticien,21
et,et,82
ami,ami,21
des,de,81
des,le,71
anciennes,ancien,30
formules,formule,22
de,de,81
l',le,71
apothicairerie,apothicairerie,22
",",",",p
droguant,droguer,13
ses,son,73
malades,malade,21
ni,ni,82
plus,plus,60
ni,ni,82
moins,moins,60
qu',que,83
un,un,71
médicastre,médicastre,21
",",",",p
tout,tout,75
consultant,consultant,21
qu',que,52
il,il,51
était,être,18
/.,/.,P
il,il,51
vint,venir,19
",",",",p
étudia,étudier,19
le,le,71
faciès,faciès,21
de,de,81
César,César,20
",",",",p
ordonna,ordonner,19
l',le,71
application,application,22
immédiate,immédiat,30
de,de,81
sinapismes,sinapisme,21
à,à,81
la,le,71
plante,plante,22
des,de,81
des,le,71
pieds,pied,21
:,:,p
il,il,51
voyait,voir,18
les,le,71
symptômes,symptôme,21
d',de,81
une,un,71
congestion,congestion,22
cérébrale,cérébral,30
/.,/.,P
-,-,p
qui,qui,52
a,avoir,17
pu,pouvoir,12
lui,lui,51
causer,causer,14
cela,cela,52
",",",",p
dit,dire,19
Constance,Constance,20
/.,/.,P
-,-,p
le,le,71
temps,temps,21
humide,humide,30
",",",",p
répondit,répondre,19
le,le,71
docteur,docteur,21
à,à,81
qui,qui,52
Césarine,Césarine,20
vint,venir,19
dire,dire,14
un,un,71
mot,mot,21
/.,/.,P
il,il,51
y,y,52
a,avoir,17
souvent,souvent,60
obligation,obligation,22
pour,pour,81
les,le,71
médecins,médecin,21
de,de,81
lâcher,lâcher,14
sciemment,sciemment,60
des,de,81
des,le,71
niaiseries,niaiserie,22
afin,afin,81
de,de,81
sauver,sauver,14
l',le,71
honneur,honneur,21
ou,ou,82
la,le,71
vie,vie,22
des,de,81
des,le,71
gens,gens,21
bien-portants,bien-portant,30
qui,qui,52
sont,être,17
autour,autour,60
du,de,81
du,le,71
malade,malade,21
/.,/.,P
le,le,71
vieux,vieux,30
docteur,docteur,21
avait,avoir,18
vu,voir,12
tant,tant,60
de,de,81
choses,chose,22
",",",",p
qu',que,83
il,il,51
comprit,comprendre,19
à demi-mot,à demi-mot,60
/.,/.,P
Césarine,Césarine,20
le,le,52
suivit,suivre,19
sur,sur,81
l',le,71
escalier,escalier,21
en,en,81
lui,lui,51
demandant,demander,13
une,un,71
règle,règle,22
de,de,81
conduite,conduite,22
/.,/.,P
-,-,p
du,de,81
du,le,71
calme,calme,21
et,et,82
du,de,81
du,le,71
silence,silence,21
",",",",p
puis,puis,60
nous,nous,51
risquerons,risquer,15
des,de,81
des,le,71
fortifiants,fortifiant,21
quand,quand,83
la,le,71
tête,tête,22
sera,être,15
dégagée,dégager,12
/.,/.,P
madame,madame,22
César,César,20
passa,passer,19
deux,deux,72
jours,jour,21
au,à,81
au,le,71
chevet,chevet,21
du,de,81
du,le,71
lit,lit,21
de,de,81
son,son,73
mari,mari,21
",",",",p
qui,qui,52
lui,lui,51
parut,paraître,19
souvent,souvent,60
avoir,avoir,14
le,le,71
délire,délire,21
/.,/.,P
mis,mis,31
dans,dans,81
la,le,71
belle,beau,30
chambre,chambre,22
bleue,bleu,30
de,de,81
sa,son,73
femme,femme,22
",",",",p
il,il,51
disait,dire,18
des,de,81
des,le,71
choses,chose,22
incompréhensibles,incompréhensible,30
pour,pour,81
Constance,Constance,20
",",",",p
à,à,81
l',le,71
aspect,aspect,21
des,de,81
des,le,71
draperies,draperie,22
",",",",p
des,de,81
des,le,71
meubles,meuble,21
et,et,82
de,de,81
ses,son,73
coûteuses,coûteux,30
magnificences,magnificence,22
/.,/.,P
-,-,p
il,il,51
est,être,17
fou,fou,30
",",",",p
disait,dire,18
elle,il,51
à,à,81
Césarine,Césarine,20
en,en,81
un,un,71
moment,moment,21
où,où,60
César,César,20
s',se,51
était,être,18
dressé,dresser,12
sur,sur,81
son,son,73
séant,séant,21
et,et,82
citait,citer,18
d',de,81
une,un,71
voix,voix,22
solennelle,solennel,30
les,le,71
articles,article,21
du,de,81
du,le,71
code,code,21
de,de,81
commerce,commerce,21
par,par,81
bribes,bribe,22
/.,/.,P
-,-,p
si,si,83
les,le,71
dépenses,dépense,22
sont,être,17
jugées,juger,12
excessives,excessif,30
",",",",p
ôtez,ôter,17
les,le,71
draperies,draperie,22
/!,/!,P
après,après,81
trois,trois,72
terribles,terrible,30
jours,jour,21
",",",",p
pendant,pendant,81
lesquels,lequel,52
la,le,71
raison,raison,22
de,de,81
César,César,20
fut,être,19
en,en,81
danger,danger,21
",",",",p
la,le,71
nature,nature,22
forte,fort,30
du,de,81
du,le,71
paysan,paysan,21
tourangeau,tourangeau,30
triompha,triompher,19
;,;,p
sa,son,73
tête,tête,22
fut,être,19
dégagée,dégager,12
;,;,p
monsieur,monsieur,21
Haudry,Haudry,20
lui,lui,51
fit,faire,19
prendre,prendre,14
des,de,81
des,le,71
cordiaux,cordial,21
",",",",p
une,un,71
nourriture,nourriture,22
énergique,énergique,30
",",",",p
et,et,82
",",",",p
après,après,81
une,un,71
tasse,tasse,22
de,de,81
café,café,21
donnée,donné,31
à,à,81
temps,temps,21
",",",",p
le,le,71
négociant,négociant,21
fut,être,19
sur,sur,81
ses,son,73
pieds,pied,21
/.,/.,P
Constance,Constance,20
fatiguée,fatigué,31
prit,prendre,19
la,le,71
place,place,22
de,de,81
son,son,73
mari,mari,21
/.,/.,P
-,-,p
pauvre,pauvre,30
femme,femme,22
",",",",p
dit,dire,19
César,César,20
quand,quand,83
il,il,51
la,le,52
vit,voir,19
endormie,endormi,31
/.,/.,P
-,-,p
allons,aller,17
",",",",p
papa,papa,21
",",",",p
du,de,81
du,le,71
courage,courage,21
/!,/!,P
vous,vous,51
êtes,être,17
un,un,71
homme,homme,21
si,si,60
supérieur,supérieur,30
que,que,83
vous,vous,51
triompherez,triompher,15
/.,/.,P
ce,ce,52
ne,ne,60
sera,être,15
rien,rien,52
/.,/.,P
monsieur,monsieur,21
Anselme,Anselme,20
vous,vous,51
aidera,aider,15
/.,/.,P
Césarine,Césarine,20
dit,dire,19
d',de,81
une,un,71
voix,voix,22
douce,doux,30
ces,ce,74
vagues,vague,30
paroles,parole,22
que,que,52
la,le,71
tendresse,tendresse,22
adoucit,adoucir,17
encore,encore,60
",",",",p
et,et,82
qui,qui,52
rendent,rendre,17
le,le,71
courage,courage,21
aux,à,81
aux,le,71
plus,plus,60
abattus,abattu,31
",",",",p
comme,comme,83
les,le,71
chants,chant,21
d',de,81
une,un,71
mère,mère,22
endorment,endormir,17
les,le,71
douleurs,douleur,22
d',de,81
un,un,71
enfant,enfant,21
tourmenté,tourmenté,31
par,par,81
la,le,71
dentition,dentition,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
mon,mon,73
enfant,enfant,21
",",",",p
je,je,51
vais,aller,17
lutter,lutter,14
;,;,p
mais,mais,82
pas,pas,60
un,un,71
mot,mot,21
à,à,81
qui,qui,52
que,que,52
ce,ce,52
soit,être,17
au,à,81
au,le,71
monde,monde,21
",",",",p
ni,ni,82
à,à,81
Popinot,Popinot,20
qui,qui,52
nous,nous,51
aime,aimer,17
",",",",p
ni,ni,82
à,à,81
ton,ton,73
oncle,oncle,21
Pillerault,Pillerault,20
/.,/.,P
je,je,51
vais,aller,17
d'abord,d'abord,60
écrire,écrire,14
à,à,81
mon,mon,73
frère,frère,21
:,:,p
il,il,51
est,être,17
",",",",p
je,je,51
crois,croire,17
",",",",p
chanoine,chanoine,21
",",",",p
vicaire,vicaire,21
d',de,81
une,un,71
cathédrale,cathédrale,22
;,;,p
il,il,51
ne,ne,60
dépense,dépenser,17
rien,rien,52
",",",",p
il,il,51
doit,devoir,17
avoir,avoir,14
de,de,81
l',le,71
argent,argent,21
/.,/.,P
à,à,81
mille,mille,72
écus,écu,21
d',de,81
économies,économie,22
par,par,81
an,an,21
",",",",p
depuis,depuis,81
vingt,vingt,72
ans,an,21
",",",",p
il,il,51
doit,devoir,17
avoir,avoir,14
cent,cent,72
mille,mille,72
francs,franc,21
/.,/.,P
en,en,81
province,province,22
",",",",p
les,le,71
prêtres,prêtre,21
ont,avoir,17
du,de,81
du,le,71
crédit,crédit,21
/.,/.,P
Césarine,Césarine,20
",",",",p
empressée,empressé,31
d',de,81
apporter,apporter,14
à,à,81
son,son,73
père,père,21
une,un,71
petite,petit,30
table,table,22
et,et,82
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
fallait,falloir,18
pour,pour,81
écrire,écrire,14
",",",",p
lui,lui,51
donna,donner,19
le,le,71
reste,reste,21
des,de,81
des,le,71
invitations,invitation,22
imprimées,imprimé,31
sur,sur,81
papier,papier,21
rose,rose,30
pour,pour,81
le,le,71
bal,bal,21
/.,/.,P
-,-,p
brûle,brûler,17
tout,tout,75
ça,ça,52
!,!,p
cria,crier,19
le,le,71
négociant,négociant,21
/.,/.,P
le,le,71
diable,diable,21
seul,seul,30
a,avoir,17
pu,pouvoir,12
m',je,51
inspirer,inspirer,14
de,de,81
donner,donner,14
ce,ce,74
bal,bal,21
/.,/.,P
si,si,83
je,je,51
succombe,succomber,17
",",",",p
j',je,51
aurai,avoir,15
l',le,71
air,air,21
d',de,81
un,un,71
fripon,fripon,21
/.,/.,P
allons,aller,17
",",",",p
pas,pas,60
de,de,81
phrases,phrase,22
/.,/.,P
lettre,lettre,22
de,de,81
César,César,20
Birotteau,Birotteau,20
/.,/.,P
mon,mon,73
cher,cher,30
frère,frère,21
",",",",p
je,je,51
me,je,51
trouve,trouver,17
dans,dans,81
une,un,71
crise,crise,22
commerciale,commercial,30
si,si,60
difficile,difficile,30
",",",",p
que,que,83
je,je,51
te,tu,51
supplie,supplier,17
de,de,81
m',je,51
envoyer,envoyer,14
tout,tout,75
l',le,71
argent,argent,21
dont,dont,52
tu,tu,51
pourras,pouvoir,15
disposer,disposer,14
",",",",p
fallût,falloir,19
il,il,51
même,même,60
en,en,52
emprunter,emprunter,14
/.,/.,P
tout,tout,52
à,à,81
toi,toi,51
",",",",p
César,César,20
/.,/.,P
ta,ton,73
nièce,nièce,22
Césarine,Césarine,20
",",",",p
qui,qui,52
me,je,51
voit,voir,17
écrire,écrire,14
cette,ce,74
lettre,lettre,22
pendant,pendant,81
que,que,83
ma,mon,73
pauvre,pauvre,30
femme,femme,22
dort,dormir,17
",",",",p
se,se,51
recommande,recommander,17
à,à,81
toi,toi,51
et,et,82
t',tu,51
envoie,envoyer,17
ses,son,73
tendresses,tendresse,22
/.,/.,P
ce,ce,74
post scriptum,post scriptum,21
fut,être,19
ajouté,ajouter,12
à,à,81
la,le,71
prière,prière,22
de,de,81
Césarine,Césarine,20
qui,qui,52
porta,porter,19
la,le,71
lettre,lettre,22
à,à,81
Raguet,Raguet,20
/.,/.,P
-,-,p
mon,mon,73
père,père,21
",",",",p
dit,dire,19
elle,il,51
en,en,81
remontant,remonter,13
",",",",p
voici,voici,81
monsieur,monsieur,21
Lebas,Lebas,20
qui,qui,52
veut,vouloir,17
vous,vous,51
parler,parler,14
/.,/.,P
-,-,p
monsieur,monsieur,21
Lebas,Lebas,20
",",",",p
s',se,51
écria,écrier,19
César,César,20
effrayé,effrayé,31
comme,comme,83
si,si,83
son,son,73
désastre,désastre,21
le,le,52
rendait,rendre,18
criminel,criminel,30
",",",",p
un,un,71
juge,juge,21
/!,/!,P
mon,mon,73
cher,cher,30
monsieur,monsieur,21
Birotteau,Birotteau,20
",",",",p
je,je,51
prends,prendre,17
trop,trop,60
d',de,81
intérêt,intérêt,21
à,à,81
vous,vous,51
",",",",p
dit,dire,19
le,le,71
gros,gros,30
marchand,marchand,21
drapier,drapier,21
en,en,81
entrant,entrer,13
",",",",p
nous,nous,51
nous,nous,51
connaissons,connaître,17
depuis,depuis,81
trop,trop,60
longtemps,longtemps,60
",",",",p
nous,nous,51
avons,avoir,17
été,être,12
élus,élire,12
tous,tout,75
deux,deux,72
juges,juge,21
la,le,71
première,premier,72
fois,fois,22
ensemble,ensemble,60
",",",",p
pour,pour,81
ne,ne,60
pas,pas,60
vous,vous,51
dire,dire,14
