11870
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-neuvième extrait>,<>,<>
lui,lui,51
disant,dire,13
:,:,p
-,-,p
lisez,lire,17
cet,ce,74
article,article,21
/.,/.,P
monsieur,monsieur,21
Grandet,Grandet,20
",",",",p
l',le,71
un,un,52
des,de,81
des,le,71
négociants,négociant,21
les,le,71
plus,plus,60
estimés,estimé,31
de,de,81
Paris,Paris,20
",",",",p
s',se,51
est,être,17
brûlé,brûler,12
la,le,71
cervelle,cervelle,22
hier,hier,60
après,après,81
avoir,avoir,14
fait,faire,12
son,son,73
apparition,apparition,22
accoutumée,accoutumé,31
à,à,81
la,le,71
bourse,bourse,22
/.,/.,P
il,il,51
avait,avoir,18
envoyé,envoyer,12
au,à,81
au,le,71
président,président,21
de,de,81
la,le,71
chambre,chambre,22
des,de,81
des,le,71
députés,député,21
sa,son,73
démission,démission,22
",",",",p
et,et,82
s',se,51
était,être,18
également,également,60
démis,démettre,12
de,de,81
ses,son,73
fonctions,fonction,22
de,de,81
juge,juge,21
au,à,81
au,le,71
tribunal,tribunal,21
de,de,81
commerce,commerce,21
/.,/.,P
les,le,71
faillites,faillite,22
de,de,81
messieurs,monsieur,21
Roguin,Roguin,20
et,et,82
Souchet,Souchet,20
",",",",p
son,son,73
agent,agent,21
de,de,81
change,change,21
et,et,82
son,son,73
notaire,notaire,21
",",",",p
l',le,52
ont,avoir,17
ruiné,ruiner,12
/.,/.,P
la,le,71
considération,considération,22
dont,dont,52
jouissait,jouir,18
monsieur,monsieur,21
Grandet,Grandet,20
et,et,82
son,son,73
crédit,crédit,21
étaient,être,18
néanmoins,néanmoins,60
tels,tel,75
qu',que,83
il,il,51
eût,avoir,19
sans,sans,81
doute,doute,21
trouvé,trouver,12
des,de,81
des,le,71
secours,secours,21
sur,sur,81
la,le,71
place,place,22
de,de,81
Paris,Paris,20
/.,/.,P
il,il,51
est,être,17
à,à,81
regretter,regretter,14
que,que,83
cet,ce,74
homme,homme,21
honorable,honorable,30
ait,avoir,17
cédé,céder,12
à,à,81
un,un,71
premier,premier,72
moment,moment,21
de,de,81
désespoir,désespoir,21
",",",",p
etc,et cetera,91
/.,/.,P
-,-,p
je,je,51
le,le,52
savais,savoir,18
",",",",p
dit,dire,19
le,le,71
vieux,vieux,30
vigneron,vigneron,21
au,à,81
au,le,71
notaire,notaire,21
/.,/.,P
ce,ce,74
mot,mot,21
glaça,glacer,19
maître,maître,21
Cruchot,Cruchot,20
",",",",p
qui,qui,52
",",",",p
malgré,malgré,81
son,son,73
impassibilité,impassibilité,22
de,de,81
notaire,notaire,21
",",",",p
se,se,51
sentit,sentir,19
froid,froid,30
dans,dans,81
le,le,71
dos,dos,21
en,en,81
pensant,penser,13
que,que,83
le,le,71
Grandet,Grandet,20
de,de,81
Paris,Paris,20
avait,avoir,18
peut-être,peut-être,60
imploré,implorer,12
vainement,vainement,60
les,le,71
millions,million,21
de,de,81
Grandet,Grandet,20
de,de,81
Saumur,Saumur,20
/.,/.,P
-,-,p
et,et,82
son,son,73
fils,fils,21
",",",",p
si,si,60
joyeux,joyeux,30
hier,hier,60
/…,/…,P
il,il,51
ne,ne,60
sait,savoir,17
rien,rien,52
encore,encore,60
",",",",p
répondit,répondre,19
Grandet,Grandet,20
avec,avec,81
le,le,71
même,même,75
calme,calme,21
/.,/.,P
-,-,p
adieu,adieu,21
",",",",p
monsieur,monsieur,21
Grandet,Grandet,20
",",",",p
dit,dire,19
Cruchot,Cruchot,20
",",",",p
qui,qui,52
comprit,comprendre,19
tout,tout,52
et,et,82
alla,aller,19
rassurer,rassurer,14
le,le,71
président,président,21
de,de,81
Bonfons,Bonfons,20
/.,/.,P
en,en,81
entrant,entrer,13
",",",",p
Grandet,Grandet,20
trouva,trouver,19
le,le,71
déjeuner,déjeuner,21
prêt,prêt,30
/.,/.,P
madame,madame,22
Grandet,Grandet,20
",",",",p
au,à,81
au,le,71
cou,cou,21
de,de,81
laquelle,lequel,75
Eugénie,Eugénie,20
sauta,sauter,19
pour,pour,81
l',le,52
embrasser,embrasser,14
avec,avec,81
cette,ce,74
vive,vif,30
effusion,effusion,22
de,de,81
coeur,coeur,21
que,que,52
nous,nous,51
cause,causer,17
un,un,71
chagrin,chagrin,21
secret,secret,30
",",",",p
était,être,18
déjà,déjà,60
sur,sur,81
son,son,73
siége,siège,21
à,à,81
patins,patin,21
",",",",p
et,et,82
se,se,51
tricotait,tricoter,18
des,de,81
des,le,71
manches,manche,22
pour,pour,81
l',le,71
hiver,hiver,21
/.,/.,P
-,-,p
vous,vous,51
pouvez,pouvoir,17
manger,manger,14
",",",",p
dit,dire,19
Nanon,Nanon,20
qui,qui,52
descendit,descendre,19
les,le,71
escaliers,escalier,21
quatre,quatre,72
à,à,81
quatre,quatre,72
",",",",p
l',le,71
enfant,enfant,21
dort,dormir,17
comme,comme,83
un,un,71
chérubin,chérubin,21
/.,/.,P
qu',que,52
il,il,51
est,être,17
gentil,gentil,30
les,le,71
yeux,oeil,21
fermés,fermé,31
/!,/!,P
je,je,51
suis,être,17
entrée,entrer,12
",",",",p
je,je,51
l',le,52
ai,avoir,17
appelé,appeler,12
/.,/.,P
ah,ah,93
bien,bien,60
oui,oui,60
!,!,p
personne,personne,52
/.,/.,P
-,-,p
laisse,laisser,17
le,le,52
dormir,dormir,14
",",",",p
dit,dire,19
Grandet,Grandet,20
",",",",p
il,il,51
s',se,51
éveillera,éveiller,15
toujours,toujours,60
assez,assez,60
tôt,tôt,60
aujourd'hui,aujourd'hui,60
pour,pour,81
apprendre,apprendre,14
de,de,81
mauvaises,mauvais,30
nouvelles,nouvelle,22
/.,/.,P
-,-,p
qu',que,52
y,y,52
a,avoir,17
t,t,94
il,il,51
donc,donc,82
?,?,p
demanda,demander,19
Eugénie,Eugénie,20
en,en,81
mettant,mettre,13
dans,dans,81
son,son,73
café,café,21
les,le,71
deux,deux,72
petits,petit,30
morceaux,morceau,21
de,de,81
sucre,sucre,21
pesant,peser,13
on,on,51
ne,ne,60
sait,savoir,17
combien,combien,60
de,de,81
grammes,gramme,21
que,que,52
le,le,71
bonhomme,bonhomme,21
s',se,51
amusait,amuser,18
à,à,81
couper,couper,14
lui-même,lui-même,51
à,à,81
ses,son,73
heures,heure,22
perdues,perdu,31
/.,/.,P
madame,madame,22
Grandet,Grandet,20
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
pas,pas,60
osé,oser,12
faire,faire,14
cette,ce,74
question,question,22
",",",",p
regarda,regarder,19
son,son,73
mari,mari,21
/.,/.,P
-,-,p
son,son,73
père,père,21
s',se,51
est,être,17
brûlé,brûler,12
la,le,71
cervelle,cervelle,22
/.,/.,P
-,-,p
mon,mon,73
oncle,oncle,21
?,?,p
dit,dire,19
Eugénie,Eugénie,20
/.,/.,P
-,-,p
le,le,71
pauvre,pauvre,30
jeune,jeune,30
homme,homme,21
!,!,p
s',se,51
écria,écrier,19
madame,madame,22
Grandet,Grandet,20
/.,/.,P
-,-,p
oui,oui,60
",",",",p
pauvre,pauvre,30
",",",",p
reprit,reprendre,19
Grandet,Grandet,20
",",",",p
il,il,51
ne,ne,60
possède,posséder,17
pas,pas,60
un,un,71
sou,sou,21
/.,/.,P
-,-,p
hé,hé,93
!,!,p
ben,ben,93
",",",",p
il,il,51
dort,dormir,17
comme,comme,83
s',si,83
il,il,51
était,être,18
le,le,71
roi,roi,21
de,de,81
la,le,71
terre,terre,22
",",",",p
dit,dire,19
Nanon,Nanon,20
d',de,81
un,un,71
accent,accent,21
doux,doux,30
/.,/.,P
Eugénie,Eugénie,20
cessa,cesser,19
de,de,81
manger,manger,14
/.,/.,P
son,son,73
coeur,coeur,21
se,se,51
serra,serrer,19
",",",",p
comme,comme,83
il,il,51
se,se,51
serre,serrer,17
quand,quand,83
",",",",p
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
",",",",p
la,le,71
compassion,compassion,22
",",",",p
excitée,excité,31
par,par,81
le,le,71
malheur,malheur,21
de,de,81
celui,celui,52
qu',que,52
elle,il,51
aime,aimer,17
",",",",p
s',se,51
épanche,épancher,17
dans,dans,81
le,le,71
corps,corps,21
entier,entier,30
d',de,81
une,un,71
femme,femme,22
/.,/.,P
la,le,71
pauvre,pauvre,30
fille,fille,22
pleura,pleurer,19
/.,/.,P
-,-,p
tu,tu,51
ne,ne,60
connaissais,connaître,18
pas,pas,60
ton,ton,73
oncle,oncle,21
",",",",p
pourquoi,pourquoi,60
pleures,pleurer,17
tu,tu,51
?,?,p
lui,lui,51
dit,dire,19
son,son,73
père,père,21
en,en,81
lui,lui,51
lançant,lancer,13
un,un,52
de,de,81
ces,ce,74
regards,regard,21
de,de,81
tigre,tigre,21
affamé,affamé,31
qu',que,52
il,il,51
jetait,jeter,18
sans,sans,81
doute,doute,21
à,à,81
ses,son,73
tas,tas,21
d',de,81
or,or,21
/.,/.,P
-,-,p
mais,mais,82
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
la,le,71
servante,servante,22
",",",",p
qui,qui,52
ne,ne,60
se,se,51
sentirait,sentir,16
pas,pas,60
de,de,81
pitié,pitié,22
pour,pour,81
ce,ce,74
pauvre,pauvre,30
jeune,jeune,30
homme,homme,21
qui,qui,52
dort,dormir,17
comme,comme,83
un,un,71
sabot,sabot,21
sans,sans,81
savoir,savoir,14
son,son,73
sort,sort,21
/?,/?,P
je,je,51
ne,ne,60
te,tu,51
parle,parler,17
pas,pas,60
",",",",p
Nanon,Nanon,20
!,!,p
tiens,tenir,17
ta,ton,73
langue,langue,22
/.,/.,P
Eugénie,Eugénie,20
apprit,apprendre,19
en,en,81
ce,ce,74
moment,moment,21
que,que,83
la,le,71
femme,femme,22
qui,qui,52
aime,aimer,17
doit,devoir,17
toujours,toujours,60
dissimuler,dissimuler,14
ses,son,73
sentiments,sentiment,21
/.,/.,P
elle,il,51
ne,ne,60
répondit,répondre,19
pas,pas,60
/.,/.,P
-,-,p
jusqu',jusque,81
à,à,81
mon,mon,73
retour,retour,21
",",",",p
vous,vous,51
ne,ne,60
lui,lui,51
parlerez,parler,15
de,de,81
rien,rien,52
",",",",p
j',je,51
espère,espérer,17
",",",",p
madame,madame,22
Grandet,Grandet,20
",",",",p
dit,dire,19
le,le,71
vieillard,vieillard,21
en,en,81
continuant,continuer,13
/.,/.,P
je,je,51
suis,être,17
obligé,obliger,12
d',de,81
aller,aller,14
faire,faire,14
aligner,aligner,14
le,le,71
fossé,fossé,21
de,de,81
mes,mon,73
prés,pré,21
sur,sur,81
la,le,71
route,route,22
/.,/.,P
je,je,51
serai,être,16
revenu,revenir,12
à,à,81
midi,midi,21
pour,pour,81
le,le,71
second,second,72
déjeuner,déjeuner,21
",",",",p
et,et,82
je,je,51
causerai,causer,15
avec,avec,81
mon,mon,73
neveu,neveu,21
de,de,81
ses,son,73
affaires,affaire,22
/.,/.,P
quant,quand,83
à,à,81
toi,toi,51
",",",",p
mademoiselle,mademoiselle,22
Eugénie,Eugénie,20
",",",",p
si,si,83
c',ce,52
est,être,17
pour,pour,81
ce,ce,74
mirliflor,mirliflore,21
que,que,83
tu,tu,51
pleures,pleurer,17
",",",",p
assez,assez,60
comme,comme,83
cela,cela,52
",",",",p
mon,mon,73
enfant,enfant,21
/.,/.,P
il,il,51
partira,partir,15
",",",",p
dare-dare,dare-dare,60
",",",",p
pour,pour,81
les,le,71
grandes,grand,30
Indes,Inde,20
/.,/.,P
tu,tu,51
ne,ne,60
le,le,52
verras,voir,15
plus,plus,60
/…,/…,P
le,le,71
père,père,21
prit,prendre,19
ses,son,73
gants,gant,21
au,à,81
au,le,71
bord,bord,21
de,de,81
son,son,73
chapeau,chapeau,21
",",",",p
les,le,52
mit,mettre,19
avec,avec,81
son,son,73
calme,calme,21
habituel,habituel,30
",",",",p
les,le,52
assujettit,assujettir,19
en,en,81
s',se,51
emmortaisant,emmortaiser,13
les,le,71
doigts,doigt,21
les,le,71
uns,un,52
dans,dans,81
les,le,71
autres,autre,52
",",",",p
et,et,82
sortit,sortir,19
/.,/.,P
-,-,p
ah,ah,93
!,!,p
maman,maman,22
",",",",p
j',je,51
étouffe,étouffer,17
",",",",p
s',se,51
écria,écrier,19
Eugénie,Eugénie,20
quand,quand,83
elle,il,51
fut,être,19
seule,seul,30
avec,avec,81
sa,son,73
mère,mère,22
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
souffert,souffrir,12
ainsi,ainsi,60
/.,/.,P
madame,madame,22
Grandet,Grandet,20
",",",",p
voyant,voir,13
sa,son,73
fille,fille,22
pâlir,pâlir,14
",",",",p
ouvrit,ouvrir,19
la,le,71
croisée,croisée,22
et,et,82
lui,lui,51
fit,faire,19
respirer,respirer,14
le,le,71
grand,grand,30
air,air,21
/.,/.,P
-,-,p
je,je,51
suis,être,17
mieux,mieux,60
",",",",p
dit,dire,19
Eugénie,Eugénie,20
après,après,81
un,un,71
moment,moment,21
/.,/.,P
cette,ce,74
émotion,émotion,22
nerveuse,nerveux,30
chez,chez,81
une,un,71
nature,nature,22
jusqu',jusque,81
alors,alors,60
en,en,81
apparence,apparence,22
calme,calme,30
et,et,82
froide,froid,30
réagit,réagir,19
sur,sur,81
madame,madame,22
Grandet,Grandet,20
",",",",p
qui,qui,52
regarda,regarder,19
sa,son,73
fille,fille,22
avec,avec,81
cette,ce,74
intuition,intuition,22
sympathique,sympathique,30
dont,dont,52
sont,être,17
douées,douer,12
les,le,71
mères,mère,22
pour,pour,81
l',le,71
objet,objet,21
de,de,81
leur,leur,73
tendresse,tendresse,22
",",",",p
et,et,82
devina,deviner,19
tout,tout,52
/.,/.,P
mais,mais,82
",",",",p
à,à,81
la,le,71
vérité,vérité,22
",",",",p
la,le,71
vie,vie,22
des,de,81
des,le,71
célèbres,célèbre,30
soeurs,soeur,22
hongroises,hongrois,30
",",",",p
attachées,attaché,31
l',le,71
une,un,52
à,à,81
l',le,71
autre,autre,52
par,par,81
une,un,71
erreur,erreur,22
de,de,81
la,le,71
nature,nature,22
",",",",p
n',ne,60
avait,avoir,18
pas,pas,60
été,être,12
plus,plus,60
intime,intime,30
que,que,83
ne,ne,60
l',le,52
était,être,18
celle,celui,52
d',de,81
Eugénie,Eugénie,20
et,et,82
de,de,81
sa,son,73
mère,mère,22
",",",",p
toujours,toujours,60
ensemble,ensemble,60
dans,dans,81
cette,ce,74
embrasure,embrasure,22
de,de,81
croisée,croisée,22
",",",",p
ensemble,ensemble,60
à,à,81
l',le,71
église,église,22
",",",",p
et,et,82
dormant,dormir,13
ensemble,ensemble,60
dans,dans,81
le,le,71
même,même,75
air,air,21
/.,/.,P
-,-,p
ma,mon,73
pauvre,pauvre,30
enfant,enfant,21
!,!,p
dit,dire,19
madame,madame,22
Grandet,Grandet,20
en,en,81
prenant,prendre,13
la,le,71
tête,tête,22
d',de,81
Eugénie,Eugénie,20
pour,pour,81
l',le,52
appuyer,appuyer,14
contre,contre,81
son,son,73
sein,sein,21
/.,/.,P
à,à,81
ces,ce,74
mots,mot,21
",",",",p
la,le,71
jeune,jeune,30
fille,fille,22
releva,relever,19
la,le,71
tête,tête,22
",",",",p
interrogea,interroger,19
sa,son,73
mère,mère,22
par,par,81
un,un,71
regard,regard,21
",",",",p
en,en,52
scruta,scruter,19
les,le,71
secrètes,secret,30
pensées,pensée,22
",",",",p
et,et,82
lui,lui,51
dit,dire,19
:,:,p
-,-,p
pourquoi,pourquoi,60
l',le,52
envoyer,envoyer,14
aux,à,81
aux,le,71
Indes,Inde,20
/?,/?,P
s',si,83
il,il,51
est,être,17
malheureux,malheureux,30
",",",",p
ne,ne,60
doit,devoir,17
il,il,51
pas,pas,60
rester,rester,14
ici,ici,60
",",",",p
n',ne,60
est,être,17
il,il,51
pas,pas,60
notre,notre,73
plus,plus,60
proche,proche,30
parent,parent,21
/?,/?,P
oui,oui,60
",",",",p
mon,mon,73
enfant,enfant,21
",",",",p
ce,ce,52
serait,être,16
bien,bien,60
naturel,naturel,30
;,;,p
mais,mais,82
ton,ton,73
père,père,21
a,avoir,17
ses,son,73
raisons,raison,22
",",",",p
nous,nous,51
devons,devoir,17
les,le,52
respecter,respecter,14
/.,/.,P
la,le,71
mère,mère,22
et,et,82
la,le,71
fille,fille,22
s',se,51
assirent,asseoir,19
en,en,81
silence,silence,21
",",",",p
l',le,71
une,un,52
sur,sur,81
sa,son,73
chaise,chaise,22
à,à,81
patins,patin,21
",",",",p
l',le,71
autre,autre,52
sur,sur,81
son,son,73
petit,petit,30
fauteuil,fauteuil,21
;,;,p
et,et,82
",",",",p
toutes,tout,75
deux,deux,72
",",",",p
elles,ils,51
reprirent,reprendre,19
leur,leur,73
ouvrage,ouvrage,21
/.,/.,P
oppressée,oppressé,31
de,de,81
reconnaissance,reconnaissance,22
pour,pour,81
l',le,71
admirable,admirable,30
entente,entente,22
de,de,81
coeur,coeur,21
que,que,52
lui,lui,51
avait,avoir,18
témoignée,témoigner,12
sa,son,73
mère,mère,22
",",",",p
Eugénie,Eugénie,20
lui,lui,51
baisa,baiser,19
la,le,71
main,main,22
en,en,81
disant,dire,13
:,:,p
-,-,p
combien,combien,60
tu,tu,51
es,être,17
bonne,bon,30
",",",",p
ma,mon,73
chère,cher,30
maman,maman,22
/!,/!,P
ces,ce,74
paroles,parole,22
firent,faire,19
rayonner,rayonner,14
le,le,71
vieux,vieux,30
visage,visage,21
maternel,maternel,30
",",",",p
flétri,flétri,31
par,par,81
de,de,81
longues,long,30
douleurs,douleur,22
/.,/.,P
-,-,p
le,le,52
trouves,trouver,17
tu,tu,51
bien,bien,60
?,?,p
demanda,demander,19
Eugénie,Eugénie,20
/.,/.,P
madame,madame,22
Grandet,Grandet,20
ne,ne,60
répondit,répondre,19
que,que,83
par,par,81
un,un,71
sourire,sourire,21
;,;,p
puis,puis,60
",",",",p
après,après,81
un,un,71
moment,moment,21
de,de,81
silence,silence,21
",",",",p
elle,il,51
dit,dire,19
à,à,81
voix,voix,22
basse,bas,30
:,:,p
-,-,p
l',le,52
aimerais,aimer,16
tu,tu,51
donc,donc,82
déjà,déjà,60
?,?,p
ce,ce,52
serait,être,16
mal,mal,30
/.,/.,P
-,-,p
mal,mal,60
",",",",p
reprit,reprendre,19
Eugénie,Eugénie,20
",",",",p
pourquoi,pourquoi,60
/?,/?,P
il,il,51
te,tu,51
plaît,plaire,17
",",",",p
il,il,51
plaît,plaire,17
à,à,81
Nanon,Nanon,20
",",",",p
pourquoi,pourquoi,60
ne,ne,60
me,je,51
plairait,plaire,16
il,il,51
pas,pas,60
/?,/?,P
tiens,tenir,17
",",",",p
maman,maman,22
",",",",p
mettons,mettre,17
la,le,71
table,table,22
pour,pour,81
son,son,73
déjeuner,déjeuner,21
/.,/.,P
elle,il,51
jeta,jeter,19
son,son,73
ouvrage,ouvrage,21
",",",",p
la,le,71
mère,mère,22
en,en,52
fit,faire,19
autant,autant,60
en,en,81
lui,lui,51
disant,dire,13
:,:,p
-,-,p
tu,tu,51
es,être,17
folle,fou,30
/!,/!,P
mais,mais,82
elle,il,51
se,se,51
plut,plaire,19
à,à,81
justifier,justifier,14
la,le,71
folie,folie,22
de,de,81
sa,son,73
fille,fille,22
en,en,81
la,le,52
partageant,partager,13
/.,/.,P
Eugénie,Eugénie,20
appela,appeler,19
Nanon,Nanon,20
/.,/.,P
-,-,p
quoi,quoi,52
que,que,52
vous,vous,51
voulez,vouloir,17
encore,encore,60
",",",",p
mademoiselle,mademoiselle,22
/?,/?,P
Nanon,Nanon,20
",",",",p
tu,tu,51
auras,avoir,15
bien,bien,60
de,de,81
la,le,71
crème,crème,22
pour,pour,81
midi,midi,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
pour,pour,81
midi,midi,21
",",",",p
oui,oui,60
",",",",p
répondit,répondre,19
la,le,71
vieille,vieux,30
servante,servante,22
/.,/.,P
-,-,p
hé,hé,93
!,!,p
bien,bien,60
",",",",p
donne,donner,17
lui,lui,51
du,de,81
du,le,71
café,café,21
bien,bien,60
fort,fort,30
",",",",p
j',je,51
ai,avoir,17
entendu,entendre,12
dire,dire,14
à,à,81
monsieur,monsieur,21
des,de,81
des,le,71
Grassins,Grassins,20
que,que,83
le,le,71
café,café,21
se,se,51
faisait,faire,18
bien,bien,60
fort,fort,60
à,à,81
Paris,Paris,20
/.,/.,P
mets,mettre,17
en,en,81
beaucoup,beaucoup,60
/.,/.,P
-,-,p
et,et,82
où,où,60
voulez,vouloir,17
vous,vous,51
que,que,83
j',je,51
en,en,52
prenne,prendre,17
/?,/?,P
achètes,acheter,17
en,en,52
/.,/.,P
-,-,p
et,et,82
si,si,83
monsieur,monsieur,21
me,je,51
rencontre,rencontrer,17
/?,/?,P
il,il,51
est,être,17
à,à,81
ses,son,73
prés,pré,21
/.,/.,P
-,-,p
je,je,51
cours,courir,17
/.,/.,P
mais,mais,82
monsieur,monsieur,21
Fessard,Fessard,20
m',je,51
a,avoir,17
déjà,déjà,60
demandé,demander,12
si,si,83
les,le,71
trois,trois,72
mages,mage,21
étaient,être,18
chez,chez,81
nous,nous,51
",",",",p
en,en,81
me,je,51
donnant,donner,13
de,de,81
la,le,71
bougie,bougie,22
/.,/.,P
toute,tout,75
la,le,71
ville,ville,22
va,aller,17
savoir,savoir,14
nos,notre,73
déportements,déportement,21
/.,/.,P
-,-,p
si,si,83
ton,ton,73
père,père,21
s',se,51
aperçoit,apercevoir,17
de,de,81
quelque,quelque,75
chose,chose,22
",",",",p
dit,dire,19
madame,madame,22
Grandet,Grandet,20
",",",",p
il,il,51
est,être,17
capable,capable,30
de,de,81
nous,nous,51
battre,battre,14
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
il,il,51
nous,nous,51
battra,battre,15
",",",",p
nous,nous,51
recevrons,recevoir,15
ses,son,73
coups,coup,21
à,à,81
genoux,genou,21
/.,/.,P
madame,madame,22
Grandet,Grandet,20
leva,lever,19
les,le,71
yeux,oeil,21
au,à,81
au,le,71
ciel,ciel,21
",",",",p
pour,pour,81
toute,tout,75
réponse,réponse,22
/.,/.,P
Nanon,Nanon,20
prit,prendre,19
sa,son,73
coiffe,coiffe,22
et,et,82
sortit,sortir,19
/.,/.,P
Eugénie,Eugénie,20
donna,donner,19
du,de,81
du,le,71
linge,linge,21
blanc,blanc,30
",",",",p
elle,il,51
alla,aller,19
chercher,chercher,14
quelques-unes,quelqu'un,52
des,de,81
des,le,71
grappes,grappe,22
de,de,81
raisin,raisin,21
qu',que,83
elle,il,51
s',se,51
était,être,18
amusée,amuser,12
à,à,81
étendre,étendre,14
sur,sur,81
des,de,81
des,le,71
cordes,corde,22
dans,dans,81
le,le,71
grenier,grenier,21
;,;,p
elle,il,51
marcha,marcher,19
légèrement,légèrement,60
le,le,71
long,long,21
du,de,81
du,le,71
corridor,corridor,21
pour,pour,81
ne,ne,60
point,point,60
éveiller,éveiller,14
son,son,73
cousin,cousin,21
",",",",p
et,et,82
ne,ne,60
put,pouvoir,19
s',se,51
empêcher,empêcher,14
d',de,81
écouter,écouter,14
à,à,81
sa,son,73
porte,porte,22
la,le,71
respiration,respiration,22
qui,qui,52
s',se,51
échappait,échapper,18
en,en,81
temps,temps,21
égaux,égal,30
de,de,81
ses,son,73
lèvres,lèvre,22
/.,/.,P
-,-,p
le,le,71
malheur,malheur,21
veille,veiller,17
pendant,pendant,81
qu',que,83
il,il,51
dort,dormir,17
",",",",p
se,se,51
dit,dire,17
elle,il,51
/.,/.,P
elle,il,51
prit,prendre,19
les,le,71
plus,plus,60
vertes,vert,30
feuilles,feuille,22
de,de,81
la,le,71
vigne,vigne,22
",",",",p
arrangea,arranger,19
son,son,73
raisin,raisin,21
aussi,aussi,60
coquettement,coquettement,60
que,que,83
l',le,52
aurait,avoir,16
pu,pouvoir,12
dresser,dresser,14
un,un,71
vieux,vieux,30
chef,chef,21
d',de,81
office,office,21
",",",",p
et,et,82
l',le,52
apporta,apporter,19
triomphalement,triomphalement,60
sur,sur,81
la,le,71
table,table,22
/.,/.,P
elle,il,51
fit,faire,19
main,main,22
basse,bas,30
",",",",p
dans,dans,81
la,le,71
cuisine,cuisine,22
",",",",p
sur,sur,81
les,le,71
poires,poire,22
comptées,compté,31
par,par,81
son,son,73
père,père,21
",",",",p
et,et,82
les,le,52
disposa,disposer,19
en,en,81
pyramide,pyramide,22
parmi,parmi,81
des,de,81
des,le,71
feuilles,feuille,22
/.,/.,P
elle,il,51
allait,aller,18
",",",",p
venait,venir,18
",",",",p
trottait,trotter,18
",",",",p
sautait,sauter,18
/.,/.,P
elle,il,51
aurait,avoir,16
bien,bien,60
voulu,vouloir,12
mettre,mettre,14
à,à,81
sac,sac,21
toute,tout,75
la,le,71
maison,maison,22
de,de,81
son,son,73
père,père,21
;,;,p
mais,mais,82
il,il,51
avait,avoir,18
les,le,71
clefs,clé,22
de,de,81
tout,tout,52
/.,/.,P
Nanon,Nanon,20
revint,revenir,19
avec,avec,81
deux,deux,72
oeufs,oeuf,21
frais,frais,30
/.,/.,P
en,en,81
voyant,voir,13
les,le,71
oeufs,oeuf,21
",",",",p
Eugénie,Eugénie,20
eut,avoir,19
l',le,71
envie,envie,22
de,de,81
lui,lui,51
sauter,sauter,14
au,à,81
au,le,71
cou,cou,21
/.,/.,P
-,-,p
le,le,71
fermier,fermier,21
de,de,81
la,le,71
Lande,Lande,20
en,en,52
avait,avoir,18
dans,dans,81
son,son,73
panier,panier,21
",",",",p
je,je,51
les,le,52
lui,lui,51
ai,avoir,17
demandés,demander,12
",",",",p
et,et,82
il,il,51
me,je,51
les,le,52
a,avoir,17
donnés,donner,12
pour,pour,81
m',je,51
être,être,14
agréable,agréable,30
",",",",p
le,le,71
mignon,mignon,21
/.,/.,P
après,après,81
deux,deux,72
heures,heure,22
de,de,81
soins,soin,21
",",",",p
pendant,pendant,81
lesquelles,lequel,75
Eugénie,Eugénie,20
quitta,quitter,19
vingt,vingt,72
fois,fois,22
son,son,73
ouvrage,ouvrage,21
pour,pour,81
aller,aller,14
voir,voir,14
bouillir,bouillir,14
le,le,71
café,café,21
",",",",p
pour,pour,81
aller,aller,14
écouter,écouter,14
le,le,71
bruit,bruit,21
que,que,52
faisait,faire,18
son,son,73
cousin,cousin,21
en,en,81
se,se,51
levant,lever,13
",",",",p
elle,il,51
réussit,réussir,19
à,à,81
préparer,préparer,14
un,un,71
déjeuner,déjeuner,21
très,très,60
simple,simple,30
",",",",p
peu,peu,60
coûteux,coûteux,30
",",",",p
mais,mais,82
qui,qui,52
dérogeait,déroger,18
terriblement,terriblement,60
aux,à,81
aux,le,71
habitudes,habitude,22
invétérées,invétéré,30
de,de,81
la,le,71
maison,maison,22
/.,/.,P
le,le,71
déjeuner,déjeuner,21
de,de,81
midi,midi,21
s',se,51
y,y,52
faisait,faire,18
debout,debout,60
/.,/.,P
chacun,chacun,52
prenait,prendre,18
un,un,71
peu,peu,60
de,de,81
pain,pain,21
",",",",p
un,un,71
fruit,fruit,21
ou,ou,82
du,de,81
du,le,71
beurre,beurre,21
",",",",p
et,et,82
un,un,71
verre,verre,21
de,de,81
vin,vin,21
/.,/.,P
en,en,81
voyant,voir,13
la,le,71
table,table,22
placée,placé,31
auprès,auprès,60
du,de,81
du,le,71
feu,feu,21
",",",",p
l',le,71
un,un,52
des,de,81
des,le,71
fauteuils,fauteuil,21
mis,mis,31
devant,devant,81
le,le,71
couvert,couvert,21
de,de,81
son,son,73
cousin,cousin,21
",",",",p
en,en,81
voyant,voir,13
les,le,71
deux,deux,72
assiettées,assiettée,22
de,de,81
fruits,fruit,21
",",",",p
le,le,71
coquetier,coquetier,21
",",",",p
la,le,71
bouteille,bouteille,22
de,de,81
vin,vin,21
blanc,blanc,30
",",",",p
