11756
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-quatorzième extrait>,<>,<>
et,et,82
sur,sur,81
la,le,71
dorure,dorure,22
des,de,81
des,le,71
boucliers,bouclier,21
!,!,p
j',je,51
entends,entendre,17
ta,ton,73
voix,voix,22
dans,dans,81
le,le,71
retentissement,retentissement,21
des,de,81
des,le,71
cymbales,cymbale,22
/.,/.,P
je,je,51
me,je,51
détourne,détourner,17
",",",",p
tu,tu,51
n',ne,60
es,être,17
pas,pas,60
là,là,60
!,!,p
et,et,82
alors,alors,60
je,je,51
me,je,51
replonge,replonger,17
dans,dans,81
la,le,71
bataille,bataille,22
/!,/!,P
il,il,51
levait,lever,18
ses,son,73
bras,bras,21
où,où,60
des,de,81
des,le,71
veines,veine,22
s',se,51
entrecroisaient,entrecroiser,18
comme,comme,83
des,de,81
des,le,71
lierres,lierre,21
sur,sur,81
des,de,81
des,le,71
branches,branche,22
d',de,81
arbre,arbre,21
/.,/.,P
de,de,81
la,le,71
sueur,sueur,22
coulait,couler,18
sur,sur,81
sa,son,73
poitrine,poitrine,22
",",",",p
entre,entre,81
ses,son,73
muscles,muscle,21
carrés,carré,31
;,;,p
et,et,82
son,son,73
haleine,haleine,22
secouait,secouer,18
ses,son,73
flancs,flanc,21
avec,avec,81
sa,son,73
ceinture,ceinture,22
de,de,81
bronze,bronze,21
toute,tout,60
garnie,garni,31
de,de,81
lanières,lanière,22
qui,qui,52
pendaient,pendre,18
jusqu',jusque,81
à,à,81
ses,son,73
genoux,genou,21
",",",",p
plus,plus,60
fermes,ferme,30
que,que,83
du,de,81
du,le,71
marbre,marbre,21
/.,/.,P
Salammbô,Salammbô,20
",",",",p
accoutumée,accoutumé,31
aux,à,81
aux,le,71
eunuques,eunuque,21
",",",",p
se,se,51
laissait,laisser,18
ébahir,ébahir,14
par,par,81
la,le,71
force,force,22
de,de,81
cet,ce,74
homme,homme,21
/.,/.,P
c',ce,52
était,être,18
le,le,71
châtiment,châtiment,21
de,de,81
la,le,71
déesse,déesse,22
ou,ou,82
l',le,71
influence,influence,22
de,de,81
Moloch,Moloch,20
circulant,circuler,13
autour,autour,60
d',de,81
elle,il,51
",",",",p
dans,dans,81
les,le,71
cinq,cinq,72
armées,armée,22
/.,/.,P
une,un,71
lassitude,lassitude,22
l',le,52
accablait,accabler,18
;,;,p
elle,il,51
écoutait,écouter,18
avec,avec,81
stupeur,stupeur,22
le,le,71
cri,cri,21
intermittent,intermittent,30
des,de,81
des,le,71
sentinelles,sentinelle,22
",",",",p
qui,qui,52
se,se,51
répondaient,répondre,18
/.,/.,P
les,le,71
flammes,flamme,22
de,de,81
la,le,71
lampe,lampe,22
vacillaient,vaciller,18
sous,sous,81
des,de,81
des,le,71
rafales,rafale,22
d',de,81
air,air,21
chaud,chaud,30
/.,/.,P
il,il,51
venait,venir,18
",",",",p
par,par,81
moment,moment,21
",",",",p
de,de,81
larges,large,30
éclairs,éclair,21
;,;,p
puis,puis,60
l',le,71
obscurité,obscurité,22
redoublait,redoubler,18
;,;,p
et,et,82
elle,il,51
ne,ne,60
voyait,voir,18
plus,plus,60
que,que,83
les,le,71
prunelles,prunelle,22
de,de,81
Mâtho,Mâtho,20
",",",",p
comme,comme,83
deux,deux,72
charbons,charbon,21
dans,dans,81
la,le,71
nuit,nuit,22
/.,/.,P
cependant,cependant,82
",",",",p
elle,il,51
sentait,sentir,18
bien,bien,60
qu',que,83
une,un,71
fatalité,fatalité,22
l',le,52
entourait,entourer,18
",",",",p
qu',que,83
elle,il,51
touchait,toucher,18
à,à,81
un,un,71
moment,moment,21
suprême,suprême,30
",",",",p
irrévocable,irrévocable,30
",",",",p
et,et,82
",",",",p
dans,dans,81
un,un,71
effort,effort,21
",",",",p
elle,il,51
remonta,remonter,19
vers,vers,81
le,le,71
zaïmph,zaïmph,21
et,et,82
leva,lever,19
les,le,71
mains,main,22
pour,pour,81
le,le,52
saisir,saisir,14
/.,/.,P
-,-,p
“,“,p
que,que,52
fais,faire,17
tu,tu,51
?,?,p
s',se,51
écria,écrier,19
Mâtho,Mâtho,20
/.,/.,P
elle,il,51
répondit,répondre,19
avec,avec,81
placidité,placidité,22
:,:,p
-,-,p
“,“,p
je,je,51
m',je,51
en,en,52
retourne,retourner,17
à,à,81
Carthage,Carthage,20
/.,/.,P
“,“,p
il,il,51
s',se,51
avança,avancer,19
en,en,81
croisant,croiser,13
les,le,71
bras,bras,21
",",",",p
et,et,82
d',de,81
un,un,71
air,air,21
si,si,60
terrible,terrible,30
qu',que,83
elle,il,51
fut,être,19
immédiatement,immédiatement,60
comme,comme,83
clouée,clouer,12
sur,sur,81
ses,son,73
talons,talon,21
/.,/.,P
-,-,p
“,“,p
t',tu,51
en,en,52
retourner,retourner,14
à,à,81
Carthage,Carthage,20
/!,/!,P
il,il,51
balbutiait,balbutier,18
",",",",p
et,et,82
il,il,51
répétait,répéter,18
",",",",p
en,en,81
grinçant,grincer,13
des,de,81
des,le,71
dents,dent,22
:,:,p
-,-,p
“,“,p
t',tu,51
en,en,52
retourner,retourner,14
à,à,81
Carthage,Carthage,20
/!,/!,P
ah,ah,93
!,!,p
tu,tu,51
venais,venir,18
pour,pour,81
prendre,prendre,14
le,le,71
zaïmph,zaïmph,21
",",",",p
pour,pour,81
me,je,51
vaincre,vaincre,14
",",",",p
puis,puis,60
disparaître,disparaître,14
/!,/!,P
non,non,60
!,!,p
non,non,60
",",",",p
tu,tu,51
m',je,51
appartiens,appartenir,17
!,!,p
et,et,82
personne,personne,52
à,à,81
présent,présent,21
ne,ne,60
t',tu,51
arrachera,arracher,15
d',de,81
ici,ici,60
/!,/!,P
oh,oh,93
!,!,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
oublié,oublier,12
l',le,71
insolence,insolence,22
de,de,81
tes,ton,73
grands,grand,30
yeux,oeil,21
tranquilles,tranquille,30
et,et,82
comme,comme,83
tu,tu,51
m',je,51
écrasais,écraser,18
avec,avec,81
la,le,71
hauteur,hauteur,22
de,de,81
ta,ton,73
beauté,beauté,22
/!,/!,P
à,à,81
mon,mon,73
tour,tour,21
",",",",p
maintenant,maintenant,60
/!,/!,P
tu,tu,51
es,être,17
ma,mon,73
captive,captive,22
",",",",p
mon,mon,73
esclave,esclave,21
",",",",p
ma,mon,73
servante,servante,22
/!,/!,P
appelle,appeler,17
",",",",p
si,si,83
tu,tu,51
veux,vouloir,17
",",",",p
ton,ton,73
père,père,21
et,et,82
son,son,73
armée,armée,22
",",",",p
les,le,71
anciens,ancien,21
",",",",p
les,le,71
riches,riche,21
et,et,82
ton,ton,73
exécrable,exécrable,30
peuple,peupler,17
",",",",p
tout,tout,60
entier,entier,30
/!,/!,P
je,je,51
suis,être,17
le,le,71
maître,maître,21
de,de,81
trois,trois,72
cent,cent,72
mille,mille,72
soldats,soldat,21
!,!,p
j',je,51
irai,aller,15
en,en,52
chercher,chercher,14
dans,dans,81
la,le,71
Lusitanie,Lusitanie,20
",",",",p
dans,dans,81
les,le,71
Gaules,Gaule,20
et,et,82
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
désert,désert,21
",",",",p
et,et,82
je,je,51
renverserai,renverser,15
ta,ton,73
ville,ville,22
",",",",p
je,je,51
brûlerai,brûler,15
tous,tout,75
ses,son,73
temples,temple,21
;,;,p
les,le,71
trirèmes,trirème,22
vogueront,voguer,15
sur,sur,81
des,de,81
des,le,71
vagues,vague,22
de,de,81
sang,sang,21
/!,/!,P
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
qu',que,83
il,il,51
en,en,52
reste,rester,17
une,un,71
maison,maison,22
",",",",p
une,un,71
pierre,pierre,22
ni,ni,82
un,un,71
palmier,palmier,21
/!,/!,P
et,et,82
si,si,83
les,le,71
hommes,homme,21
me,je,51
manquent,manquer,17
",",",",p
j',je,51
attirerai,attirer,15
les,le,71
ours,ours,21
des,de,81
des,le,71
montagnes,montagne,22
et,et,82
je,je,51
pousserai,pousser,15
les,le,71
lions,lion,21
/!,/!,P
n',ne,60
essaye,essayer,17
pas,pas,60
de,de,81
t',tu,51
enfuir,enfuir,14
",",",",p
je,je,51
te,tu,51
tue,tuer,17
/!,/!,P
blême,blême,30
et,et,82
les,le,71
poings,poing,21
crispés,crispé,31
",",",",p
il,il,51
frémissait,frémir,18
comme,comme,83
une,un,71
harpe,harpe,22
dont,dont,52
les,le,71
cordes,corde,22
vont,aller,17
éclater,éclater,14
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
des,de,81
des,le,71
sanglots,sanglot,21
l',le,52
étouffèrent,étouffer,19
et,et,82
",",",",p
en,en,81
s',se,51
affaissant,affaisser,13
sur,sur,81
les,le,71
jarrets,jarret,21
:,:,p
-,-,p
“,“,p
ah,ah,93
!,!,p
pardonne,pardonner,17
moi,moi,51
/!,/!,P
je,je,51
suis,être,17
un,un,71
infâme,infâme,30
et,et,82
plus,plus,60
vil,vil,30
que,que,83
les,le,71
scorpions,scorpion,21
",",",",p
que,que,83
la,le,71
fange,fange,22
et,et,82
la,le,71
poussière,poussière,22
/!,/!,P
tout,tout,60
à,à,81
l',le,71
heure,heure,22
",",",",p
pendant,pendant,81
que,que,83
tu,tu,51
parlais,parler,18
",",",",p
ton,ton,73
haleine,haleine,22
a,avoir,17
passé,passer,12
sur,sur,81
ma,mon,73
face,face,22
",",",",p
et,et,82
je,je,51
me,je,51
délectais,délecter,18
comme,comme,83
un,un,71
moribond,moribond,21
qui,qui,52
boit,boire,17
à,à,81
plat,plat,30
ventre,ventre,21
au,à,81
au,le,71
bord,bord,21
d',de,81
un,un,71
ruisseau,ruisseau,21
/.,/.,P
écrase,écraser,17
moi,moi,51
",",",",p
pourvu,pourvu,81
que,que,83
je,je,51
sente,sentir,17
tes,ton,73
pieds,pied,21
!,!,p
maudis,maudire,17
moi,moi,51
",",",",p
pourvu,pourvu,81
que,que,83
j',je,51
entende,entendre,17
ta,ton,73
voix,voix,22
/!,/!,P
ne,ne,60
t',tu,51
en,en,52
va,aller,17
pas,pas,60
!,!,p
pitié,pitié,22
!,!,p
je,je,51
t',tu,51
aime,aimer,17
!,!,p
je,je,51
t',tu,51
aime,aimer,17
/!,/!,P
il,il,51
était,être,18
à,à,81
genoux,genou,21
",",",",p
par,par,81
terre,terre,22
",",",",p
devant,devant,81
elle,il,51
;,;,p
et,et,82
il,il,51
lui,lui,51
entourait,entourer,18
la,le,71
taille,taille,22
de,de,81
ses,son,73
deux,deux,72
bras,bras,21
",",",",p
la,le,71
tête,tête,22
en,en,81
arrière,arrière,21
",",",",p
les,le,71
mains,main,22
errantes,errant,30
;,;,p
les,le,71
disques,disque,21
d',de,81
or,or,21
suspendus,suspendu,31
à,à,81
ses,son,73
oreilles,oreille,22
luisaient,luire,18
sur,sur,81
son,son,73
cou,cou,21
bronzé,bronzé,31
;,;,p
de,de,81
grosses,gros,30
larmes,larme,22
roulaient,rouler,18
dans,dans,81
ses,son,73
yeux,oeil,21
pareils,pareil,30
à,à,81
des,de,81
des,le,71
globes,globe,21
d',de,81
argent,argent,21
;,;,p
il,il,51
soupirait,soupirer,18
d',de,81
une,un,71
façon,façon,22
caressante,caressant,30
",",",",p
et,et,82
murmurait,murmurer,18
de,de,81
vagues,vague,30
paroles,parole,22
",",",",p
plus,plus,60
légères,léger,30
qu',que,83
une,un,71
brise,brise,22
et,et,82
suaves,suave,30
comme,comme,83
un,un,71
baiser,baiser,21
/.,/.,P
Salammbô,Salammbô,20
était,être,18
envahie,envahir,12
par,par,81
une,un,71
mollesse,mollesse,22
où,où,60
elle,il,51
perdait,perdre,18
toute,tout,75
conscience,conscience,22
d',de,81
elle-même,lui-même,51
/.,/.,P
quelque,quelque,75
chose,chose,22
à,à,81
la,le,71
fois,fois,22
d',de,81
intime,intime,21
et,et,82
de,de,81
supérieur,supérieur,21
",",",",p
un,un,71
ordre,ordre,21
des,de,81
des,le,71
dieux,dieu,21
la,le,52
forçait,forcer,18
à,à,81
s',se,51
y,y,52
abandonner,abandonner,14
;,;,p
des,de,81
des,le,71
nuages,nuage,21
la,le,52
soulevaient,soulever,18
",",",",p
et,et,82
",",",",p
en,en,81
défaillant,défaillir,13
",",",",p
elle,il,51
se,se,51
renversa,renverser,19
sur,sur,81
le,le,71
lit,lit,21
dans,dans,81
les,le,71
poils,poil,21
du,de,81
du,le,71
lion,lion,21
/.,/.,P
Mâtho,Mâtho,20
lui,lui,51
saisit,saisir,17
les,le,71
talons,talon,21
",",",",p
la,le,71
chaînette,chaînette,22
d',de,81
or,or,21
éclata,éclater,19
",",",",p
et,et,82
les,le,71
deux,deux,72
bouts,bout,21
",",",",p
en,en,81
s',se,51
envolant,envoler,13
",",",",p
frappèrent,frapper,19
la,le,71
toile,toile,22
comme,comme,83
deux,deux,72
vipères,vipère,22
rebondissantes,rebondissant,30
/.,/.,P
le,le,71
zaïmph,zaïmph,21
tomba,tomber,19
",",",",p
l',le,52
enveloppait,envelopper,18
;,;,p
elle,il,51
aperçut,apercevoir,19
la,le,71
figure,figure,22
de,de,81
Mâtho,Mâtho,20
se,se,51
courbant,courber,13
sur,sur,81
sa,son,73
poitrine,poitrine,22
/.,/.,P
-,-,p
“,“,p
Moloch,Moloch,20
",",",",p
tu,tu,51
me,je,51
brûles,brûler,17
!,!,p
et,et,82
les,le,71
baisers,baiser,21
du,de,81
du,le,71
soldat,soldat,21
",",",",p
plus,plus,60
dévorateurs,dévorateur,30
que,que,83
des,de,81
des,le,71
flammes,flamme,22
",",",",p
la,le,52
parcouraient,parcourir,18
;,;,p
elle,il,51
était,être,18
comme,comme,83
enlevée,enlever,12
dans,dans,81
un,un,71
ouragan,ouragan,21
",",",",p
prise,prise,22
dans,dans,81
la,le,71
force,force,22
du,de,81
du,le,71
soleil,soleil,21
/.,/.,P
il,il,51
baisa,baiser,19
tous,tout,75
les,le,71
doigts,doigt,21
de,de,81
ses,son,73
mains,main,22
",",",",p
ses,son,73
bras,bras,21
",",",",p
ses,son,73
pieds,pied,21
",",",",p
et,et,82
d',de,81
un,un,71
bout,bout,21
à,à,81
l',le,71
autre,autre,52
les,le,71
longues,long,30
tresses,tresse,22
de,de,81
ses,son,73
cheveux,cheveu,21
/.,/.,P
-,-,p
“,“,p
emporte,emporter,17
le,le,52
“,“,p
",",",",p
disait,dire,18
il,il,51
",",",",p
est,être,17
ce,ce,52
que,que,83
j',je,51
y,y,52
tiens,tenir,17
/!,/!,P
emmène,emmener,17
moi,moi,51
avec,avec,81
lui,lui,51
!,!,p
j',je,51
abandonne,abandonner,17
l',le,71
armée,armée,22
!,!,p
je,je,51
renonce,renoncer,17
à,à,81
tout,tout,52
/!,/!,P
au-delà,au-delà,60
de,de,81
Gadès,Gadès,20
",",",",p
à,à,81
vingt,vingt,72
jours,jour,21
dans,dans,81
la,le,71
mer,mer,22
",",",",p
on,on,51
rencontre,rencontrer,17
une,un,71
île,île,22
couverte,couvert,31
de,de,81
poudre,poudre,22
d',de,81
or,or,21
",",",",p
de,de,81
verdure,verdure,22
et,et,82
d',de,81
oiseaux,oiseau,21
/.,/.,P
sur,sur,81
les,le,71
montagnes,montagne,22
",",",",p
de,de,81
grandes,grand,30
fleurs,fleur,22
pleines,plein,30
de,de,81
parfums,parfum,21
qui,qui,52
fument,fumer,17
se,se,51
balancent,balancer,17
comme,comme,83
d',de,81
éternels,éternel,30
encensoirs,encensoir,21
;,;,p
dans,dans,81
les,le,71
citronniers,citronnier,21
plus,plus,60
hauts,haut,30
que,que,83
des,de,81
des,le,71
cèdres,cèdre,21
",",",",p
des,de,81
des,le,71
serpents,serpent,21
couleur,couleur,22
de,de,81
lait,lait,21
font,faire,17
avec,avec,81
les,le,71
diamants,diamant,21
de,de,81
leur,leur,73
gueule,gueule,22
tomber,tomber,14
les,le,71
fruits,fruit,21
sur,sur,81
le,le,71
gazon,gazon,21
;,;,p
l',le,71
air,air,21
est,être,17
si,si,60
doux,doux,30
qu',que,83
il,il,51
empêche,empêcher,17
de,de,81
mourir,mourir,14
/.,/.,P
oh,oh,93
!,!,p
je,je,51
la,le,52
trouverai,trouver,15
",",",",p
tu,tu,51
verras,voir,15
/.,/.,P
nous,nous,51
vivrons,vivre,15
dans,dans,81
les,le,71
grottes,grotte,22
de,de,81
cristal,cristal,21
",",",",p
taillées,taillé,31
au,à,81
au,le,71
bas,bas,21
des,de,81
des,le,71
collines,colline,22
/.,/.,P
personne,personne,52
encore,encore,60
ne,ne,60
l',le,52
habite,habiter,17
",",",",p
ou,ou,82
je,je,51
deviendrai,devenir,15
le,le,71
roi,roi,21
du,de,81
du,le,71
pays,pays,21
/.,/.,P
“,“,p
il,il,51
balaya,balayer,19
la,le,71
poussière,poussière,22
de,de,81
ses,son,73
cothurnes,cothurne,21
;,;,p
il,il,51
voulut,vouloir,19
qu',que,83
elle,il,51
mît,mettre,18
entre,entre,81
ses,son,73
lèvres,lèvre,22
le,le,71
quartier,quartier,21
d',de,81
une,un,71
grenade,grenade,22
",",",",p
il,il,51
accumula,accumuler,19
derrière,derrière,81
sa,son,73
tête,tête,22
des,de,81
des,le,71
vêtements,vêtement,21
pour,pour,81
lui,lui,51
faire,faire,14
un,un,71
coussin,coussin,21
/.,/.,P
il,il,51
cherchait,chercher,18
les,le,71
moyens,moyen,21
de,de,81
la,le,52
servir,servir,14
",",",",p
de,de,81
s',se,51
humilier,humilier,14
",",",",p
et,et,82
même,même,60
il,il,51
étala,étaler,19
sur,sur,81
ses,son,73
jambes,jambe,22
le,le,71
zaïmph,zaïmph,21
",",",",p
comme,comme,83
un,un,71
simple,simple,21
tapis,tapis,31
/.,/.,P
-,-,p
“,“,p
as,avoir,17
tu,tu,51
toujours,toujours,60
“,“,p
",",",",p
disait,dire,18
il,il,51
",",",",p
“,“,p
ces,ce,74
petites,petit,30
cornes,corne,22
de,de,81
gazelle,gazelle,22
où,où,60
sont,être,17
suspendus,suspendre,12
tes,ton,73
colliers,collier,21
/?,/?,P
tu,tu,51
me,je,51
les,le,52
donneras,donner,15
;,;,p
je,je,51
les,le,52
aime,aimer,17
/!,/!,P
car,car,82
il,il,51
parlait,parler,18
comme,comme,83
si,si,83
la,le,71
guerre,guerre,22
était,être,18
finie,finir,12
",",",",p
des,de,81
des,le,71
rires,rire,21
de,de,81
joie,joie,22
lui,lui,51
échappaient,échapper,18
;,;,p
et,et,82
les,le,71
mercenaires,mercenaire,21
",",",",p
Hamilcar,Hamilcar,20
",",",",p
tous,tout,75
les,le,71
obstacles,obstacle,21
avaient,avoir,18
maintenant,maintenant,60
disparu,disparaître,12
/.,/.,P
la,le,71
lune,lune,22
glissait,glisser,18
entre,entre,81
deux,deux,72
nuages,nuage,21
/.,/.,P
ils,ils,51
la,le,52
voyaient,voir,18
par,par,81
une,un,71
ouverture,ouverture,22
de,de,81
la,le,71
tente,tente,22
/.,/.,P
-,-,p
“,“,p
ah,ah,93
!,!,p
que,que,52
j',je,51
ai,avoir,17
passé,passer,12
de,de,81
nuits,nuit,22
à,à,81
la,le,52
contempler,contempler,14
!,!,p
elle,il,51
me,je,51
semblait,sembler,18
un,un,71
voile,voile,21
qui,qui,52
cachait,cacher,18
ta,ton,73
figure,figure,22
;,;,p
tu,tu,51
me,je,51
regardais,regarder,18
à,à,81
travers,travers,21
;,;,p
ton,ton,73
souvenir,souvenir,21
se,se,51
mêlait,mêler,18
à,à,81
ses,son,73
rayonnements,rayonnement,21
;,;,p
je,je,51
ne,ne,60
vous,vous,51
distinguais,distinguer,18
plus,plus,60
/!,/!,P
et,et,82
la,le,71
tête,tête,22
entre,entre,81
ses,son,73
seins,sein,21
",",",",p
il,il,51
pleurait,pleurer,18
abondamment,abondamment,60
/.,/.,P
-,-,p
“,“,p
c',ce,52
est,être,17
donc,donc,82
là,là,60
!,!,p
songeait,songer,18
elle,il,51
“,“,p
cet,ce,74
homme,homme,21
formidable,formidable,30
qui,qui,52
fait,faire,17
trembler,trembler,14
Carthage,Carthage,20
/!,/!,P
il,il,51
s',se,51
endormit,endormir,19
/.,/.,P
alors,alors,60
",",",",p
en,en,81
se,se,51
dégageant,dégager,13
de,de,81
son,son,73
bras,bras,21
",",",",p
elle,il,51
posa,poser,19
un,un,71
pied,pied,21
par,par,81
terre,terre,22
",",",",p
et,et,82
elle,il,51
s',se,51
aperçut,apercevoir,19
que,que,83
sa,son,73
chaînette,chaînette,22
était,être,18
brisée,briser,12
/.,/.,P
on,on,51
accoutumait,accoutumer,18
les,le,71
vierges,vierge,22
dans,dans,81
les,le,71
grandes,grand,30
familles,famille,22
à,à,81
respecter,respecter,14
ces,ce,74
entraves,entrave,22
comme,comme,83
une,un,71
chose,chose,22
presque,presque,60
religieuse,religieux,30
",",",",p
et,et,82
Salammbô,Salammbô,20
",",",",p
en,en,81
rougissant,rougir,13
",",",",p
roula,rouler,19
autour,autour,60
de,de,81
ses,son,73
jambes,jambe,22
les,le,71
deux,deux,72
tronçons,tronçon,21
de,de,81
la,le,71
chaîne,chaîne,22
d',de,81
or,or,21
/.,/.,P
Carthage,Carthage,20
",",",",p
Mégara,Mégara,20
",",",",p
sa,son,73
maison,maison,22
",",",",p
sa,son,73
chambre,chambre,22
et,et,82
les,le,71
campagnes,campagne,22
qu',que,52
elle,il,51
avait,avoir,18
traversées,traverser,12
",",",",p
tourbillonnaient,tourbillonner,18
dans,dans,81
sa,son,73
mémoire,mémoire,22
en,en,81
images,image,22
tumultueuses,tumultueux,30
et,et,82
nettes,net,30
cependant,cependant,82
/.,/.,P
mais,mais,82
un,un,71
abîme,abîme,21
survenu,survenu,31
les,le,52
reculait,reculer,18
loin,loin,60
d',de,81
elle,il,51
",",",",p
à,à,81
une,un,71
distance,distance,22
infinie,infini,30
/.,/.,P
l',le,71
orage,orage,21
s',se,51
en,en,52
allait,aller,18
;,;,p
de,de,81
rares,rare,30
gouttes,goutte,22
d',de,81
eau,eau,22
en,en,81
claquant,claquer,13
une,un,52
à,à,81
une,un,52
faisaient,faire,18
osciller,osciller,14
le,le,71
toit,toit,21
de,de,81
la,le,71
tente,tente,22
/.,/.,P
Mâtho,Mâtho,20
",",",",p
tel,tel,75
qu',que,83
un,un,71
homme,homme,21
ivre,ivre,30
",",",",p
dormait,dormir,18
étendu,étendu,31
sur,sur,81
le,le,71
flanc,flanc,21
",",",",p
avec,avec,81
un,un,71
bras,bras,21
qui,qui,52
dépassait,dépasser,18
le,le,71
bord,bord,21
de,de,81
la,le,71
couche,couche,22
/.,/.,P
son,son,73
bandeau,bandeau,21
de,de,81
perles,perle,22
était,être,18
un,un,71
peu,peu,60
remonté,remonter,12
et,et,82
découvrait,découvrir,18
son,son,73
front,front,21
/.,/.,P
un,un,71
sourire,sourire,21
écartait,écarter,18
ses,son,73
dents,dent,22
/.,/.,P
elles,ils,51
brillaient,briller,18
entre,entre,81
sa,son,73
barbe,barbe,22
noire,noir,30
",",",",p
et,et,82
dans,dans,81
les,le,71
paupières,paupière,22
à,à,81
demi,demi,30
closes,clos,31
il,il,51
y,y,52
avait,avoir,18
une,un,71
gaieté,gaieté,22
silencieuse,silencieux,30
et,et,82
presque,presque,60
outrageante,outrageant,30
/.,/.,P
Salammbô,Salammbô,20
le,le,52
regardait,regarder,18
immobile,immobile,30
",",",",p
la,le,71
tête,tête,22
basse,bas,30
",",",",p
les,le,71
mains,main,22
croisées,croisé,31
/.,/.,P
au,à,81
au,le,71
chevet,chevet,21
du,de,81
du,le,71
lit,lit,21
",",",",p
un,un,71
poignard,poignard,21
s',se,51
étalait,étaler,18
sur,sur,81
une,un,71
table,table,22
de,de,81
cyprès,cyprès,21
;,;,p
la,le,71
vue,vue,22
de,de,81
cette,ce,74
lame,lame,22
luisante,luisant,30
l',le,52
enflamma,enflammer,19
d',de,81
une,un,71
envie,envie,22
sanguinaire,sanguinaire,30
/.,/.,P
des,de,81
des,le,71
voix,voix,22
lamentables,lamentable,30
se,se,51
traînaient,traîner,18
au,à,81
au,le,71
loin,loin,60
",",",",p
dans,dans,81
l',le,71
ombre,ombre,22
",",",",p
et,et,82
",",",",p
comme,comme,83
un,un,71
choeur,choeur,21
de,de,81
génies,génie,21
",",",",p
la,le,52
sollicitaient,solliciter,18
/.,/.,P
elle,il,51
se,se,51
rapprocha,rapprocher,19
;,;,p
elle,il,51
saisit,saisir,17
le,le,71
fer,fer,21
par,par,81
le,le,71
manche,manche,21
/.,/.,P
au,à,81
au,le,71
frôlement,frôlement,21
de,de,81
sa,son,73
robe,robe,22
",",",",p
Mâtho,Mâtho,20
entrouvrit,entrouvrir,19
les,le,71
yeux,oeil,21
",",",",p
en,en,81
avançant,avancer,13
la,le,71
bouche,bouche,22
sur,sur,81
ses,son,73
mains,main,22
",",",",p
et,et,82
le,le,71
poignard,poignard,21
tomba,tomber,19
/.,/.,P
des,de,81
des,le,71
cris,cri,21
s',se,51
élevèrent,élever,19
;,;,p
une,un,71
lueur,lueur,22
effrayante,effrayant,30
fulgurait,fulgurer,18
derrière,derrière,81
la,le,71
toile,toile,22
/.,/.,P
Mâtho,Mâtho,20
la,le,52
souleva,soulever,19
;,;,p
ils,ils,51
aperçurent,apercevoir,19
de,de,81
grandes,grand,30
flammes,flamme,22
qui,qui,52
enveloppaient,envelopper,18
le,le,71
camp,camp,21
des,de,81
des,le,71
Libyens,Libyen,20
/.,/.,P
leurs,leur,73
cabanes,cabane,22
de,de,81
roseaux,roseau,21
brûlaient,brûler,18
",",",",p
et,et,82
les,le,71
tiges,tige,22
",",",",p
en,en,81
se,se,51
tordant,tordre,13
",",",",p
éclataient,éclater,18
dans,dans,81
la,le,71
fumée,fumée,22
et,et,82
s',se,51
envolaient,envoler,18
comme,comme,83
des,de,81
des,le,71
flèches,flèche,22
;,;,p
sur,sur,81
l',le,71
horizon,horizon,21
tout,tout,60
rouge,rouge,30
",",",",p
des,de,81
des,le,71
ombres,ombre,22
noires,noir,30
couraient,courir,18
éperdues,éperdu,30
/.,/.,P
on,on,51
entendait,entendre,18
les,le,71
hurlements,hurlement,21
de,de,81
ceux,celui,52
qui,qui,52
étaient,être,18
dans,dans,81
les,le,71
cabanes,cabane,22
;,;,p
les,le,71
éléphants,éléphant,21
",",",",p
les,le,71
boeufs,boeuf,21
et,et,82
les,le,71
chevaux,cheval,21
bondissaient,bondir,18
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
foule,foule,22
en,en,81
l',le,52
écrasant,écraser,13
",",",",p
avec,avec,81
les,le,71
munitions,munition,22
et,et,82
les,le,71
bagages,bagage,21
que,que,52
l',l',94
on,on,51
tirait,tirer,18
de,de,81
l',le,71
incendie,incendie,21
/.,/.,P
des,de,81
des,le,71
trompettes,trompette,21
sonnaient,sonner,18
/.,/.,P
on,on,51
appelait,appeler,18
:,:,p
“,“,p
Mâtho,Mâtho,20
/!,/!,P
Mâtho,Mâtho,20
/!,/!,P
des,de,81
des,le,71
gens,gens,21
à,à,81
la,le,71
porte,porte,22
voulaient,vouloir,18
entrer,entrer,14
/.,/.,P
-,-,p
“,“,p
viens,venir,17
donc,donc,82
!,!,p
c',ce,52
est,être,17
Hamilcar,Hamilcar,20
qui,qui,52
brûle,brûler,17
le,le,71
camp,camp,21
d',de,81
Autharite,Autharite,20
/!,/!,P
il,il,51
fit,faire,19
un,un,71
bond,bond,21
/.,/.,P
elle,il,51
se,se,51
trouva,trouver,19
toute,tout,60
seule,seul,30
/.,/.,P
alors,alors,60
elle,il,51
examina,examiner,19
le,le,71
zaïmph,zaïmph,21
;,;,p
et,et,82
quand,quand,83
elle,il,51
l',le,52
eut,avoir,19
bien,bien,60
contemplé,contempler,12
",",",",p
elle,il,51
fut,être,19
surprise,surprendre,12
de,de,81
ne,ne,60
pas,pas,60
avoir,avoir,14
