11574
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-douzième extrait>,<>,<>
Chabert,Chabert,20
",",",",p
est,être,17
ce,ce,52
qu',que,83
il,il,51
n',ne,60
aurait,avoir,16
pas,pas,60
chaussé,chausser,12
le,le,71
bout,bout,21
de,de,81
son,son,73
pied,pied,21
dans,dans,81
le,le,71
postérieur,postérieur,21
de,de,81
ce,ce,74
farceur,farceur,21
de,de,81
Simonnin,Simonnin,20
quand,quand,83
il,il,51
a,avoir,17
fait,faire,12
le,le,71
sourd,sourd,21
?,?,p
dit,dire,19
Desroches,Desroches,20
en,en,81
regardant,regarder,13
cette,ce,74
observation,observation,22
comme,comme,83
plus,plus,60
concluante,concluant,30
que,que,83
celle,celui,52
de,de,81
Godeschal,Godeschal,20
/.,/.,P
-,-,p
puisque,puisque,83
rien,rien,52
n',ne,60
est,être,17
décidé,décider,12
",",",",p
reprit,reprendre,19
Boucard,Boucard,20
",",",",p
convenons,convenir,17
d',de,81
aller,aller,14
aux,à,81
aux,le,71
secondes,second,72
loges,loge,22
des,de,81
des,le,71
Français,Français,20
voir,voir,14
Talma,Talma,20
dans,dans,81
Néron,Néron,20
/.,/.,P
Simonnin,Simonnin,20
ira,aller,15
au,à,81
au,le,71
parterre,parterre,21
/.,/.,P
là-dessus,là-dessus,60
",",",",p
le,le,71
maître,maître,21
clerc,clerc,21
s',se,51
assit,asseoir,19
à,à,81
son,son,73
bureau,bureau,21
",",",",p
et,et,82
chacun,chacun,52
l',le,52
imita,imiter,19
/.,/.,P
-,-,p
rendue,rendu,31
en,en,81
juin,juin,21
mil,mil,21
huit,huit,72
cent,cent,72
quatorze,quatorze,72
(,(,p
en,en,81
toutes,tout,75
lettres,lettre,22
),),p
",",",",p
dit,dire,19
Godeschal,Godeschal,20
",",",",p
y,y,52
êtes,être,17
vous,vous,51
/?,/?,P
-,-,p
oui,oui,60
",",",",p
répondirent,répondre,19
les,le,71
deux,deux,72
copistes,copiste,21
et,et,82
le,le,71
grossoyeur,grossoyeur,21
dont,dont,52
les,le,71
plumes,plume,22
recommencèrent,recommencer,19
à,à,81
crier,crier,14
sur,sur,81
le,le,71
papier,papier,21
timbré,timbré,31
en,en,81
faisant,faire,13
dans,dans,81
l',le,71
étude,étude,22
le,le,71
bruit,bruit,21
de,de,81
cent,cent,72
hannetons,hanneton,21
enfermés,enfermé,31
par,par,81
des,de,81
des,le,71
écoliers,écolier,21
dans,dans,81
des,de,81
des,le,71
cornets,cornet,21
de,de,81
papier,papier,21
/.,/.,P
-,-,p
et,et,82
nous,nous,51
espérons,espérer,17
que,que,83
messieurs,monsieur,21
composant,composer,13
le,le,71
tribunal,tribunal,21
",",",",p
dit,dire,19
l',le,71
improvisateur,improvisateur,21
/.,/.,P
halte,halte,22
!,!,p
il,il,51
faut,falloir,17
que,que,83
je,je,51
relise,relire,17
ma,mon,73
phrase,phrase,22
",",",",p
je,je,51
ne,ne,60
me,je,51
comprends,comprendre,17
plus,plus,60
moi-même,moi-même,51
/.,/.,P
-,-,p
quarante,quarante,72
six,six,72
/…,/…,P
ça,ça,52
doit,devoir,17
arriver,arriver,14
souvent,souvent,60
!,!,p
/…,/…,P
et,et,82
trois,trois,72
",",",",p
quarante,quarante,72
neuf,neuf,72
",",",",p
dit,dire,19
Boucard,Boucard,20
/.,/.,P
-,-,p
nous,nous,51
espérons,espérer,17
",",",",p
reprit,reprendre,19
Godeschal,Godeschal,20
après,après,81
avoir,avoir,14
tout,tout,52
relu,relire,12
",",",",p
que,que,83
messieurs,monsieur,21
composant,composer,13
le,le,71
tribunal,tribunal,21
ne,ne,60
seront,être,15
pas,pas,60
moins,moins,60
grands,grand,30
que,que,83
ne,ne,60
l',le,52
est,être,17
l',le,71
auguste,auguste,30
auteur,auteur,21
de,de,81
l',le,71
ordonnance,ordonnance,22
",",",",p
et,et,82
qu',que,83
ils,ils,51
feront,faire,15
justice,justice,22
des,de,81
des,le,71
misérables,misérable,30
prétentions,prétention,22
de,de,81
l',le,71
administration,administration,22
de,de,81
la,le,71
grande,grand,30
chancellerie,chancellerie,22
de,de,81
la,le,71
légion,légion,22
d',de,81
honneur,honneur,21
en,en,81
fixant,fixer,13
la,le,71
jurisprudence,jurisprudence,22
dans,dans,81
le,le,71
sens,sens,21
large,large,30
que,que,52
nous,nous,51
établissons,établir,17
ici,ici,60
/…,/…,P
-,-,p
monsieur,monsieur,21
Godeschal,Godeschal,20
",",",",p
voulez,vouloir,17
vous,vous,51
un,un,71
verre,verre,21
d',de,81
eau,eau,22
?,?,p
dit,dire,19
le,le,71
petit,petit,30
clerc,clerc,21
/.,/.,P
-,-,p
ce,ce,74
farceur,farceur,21
de,de,81
Simonnin,Simonnin,20
!,!,p
dit,dire,19
Boucard,Boucard,20
/.,/.,P
tiens,tenir,17
",",",",p
apprête,apprêter,17
tes,ton,73
chevaux,cheval,21
à,à,81
double,double,30
semelle,semelle,22
",",",",p
prends,prendre,17
ce,ce,74
paquet,paquet,21
",",",",p
et,et,82
valse,valser,17
jusqu',jusque,81
aux,à,81
aux,le,71
Invalides,Invalides,20
/.,/.,P
-,-,p
que,que,52
nous,nous,51
établissons,établir,17
ici,ici,60
",",",",p
reprit,reprendre,19
Godeschal,Godeschal,20
/.,/.,P
ajoutez,ajouter,17
:,:,p
dans,dans,81
l',le,71
intérêt,intérêt,21
de,de,81
madame,madame,22
/…,/…,P
(,(,p
en,en,81
toutes,tout,75
lettres,lettre,22
),),p
la,le,71
vicomtesse,vicomtesse,22
de,de,81
Grandlieu,Grandlieu,20
/…,/…,P
-,-,p
comment,comment,60
!,!,p
s',se,51
écria,écrier,19
le,le,71
maître,maître,21
clerc,clerc,21
",",",",p
vous,vous,51
vous,vous,51
avisez,aviser,17
de,de,81
faire,faire,14
des,de,81
des,le,71
requêtes,requête,22
dans,dans,81
l',le,71
affaire,affaire,22
vicomtesse,vicomtesse,22
de,de,81
Grandlieu,Grandlieu,20
contre,contre,81
légion,légion,22
d',de,81
honneur,honneur,21
",",",",p
une,un,71
affaire,affaire,22
pour,pour,81
compte,compte,21
d',de,81
étude,étude,22
",",",",p
entreprise,entrepris,31
à,à,81
forfait,forfait,21
/?,/?,P
ah,ah,93
!,!,p
vous,vous,51
êtes,être,17
un,un,71
fier,fier,30
nigaud,nigaud,21
/!,/!,P
voulez,vouloir,17
vous,vous,51
bien,bien,60
me,je,51
mettre,mettre,14
de,de,81
côté,côté,21
vos,votre,73
copies,copie,22
et,et,82
votre,votre,73
minute,minute,22
",",",",p
gardez,garder,17
moi,moi,51
cela,cela,52
pour,pour,81
l',le,71
affaire,affaire,22
Navarreins,Navarreins,20
contre,contre,81
les,le,71
Hospices,Hospices,20
/.,/.,P
il,il,51
est,être,17
tard,tard,60
",",",",p
je,je,51
vais,aller,17
faire,faire,14
un,un,71
bout,bout,21
de,de,81
placet,placet,21
",",",",p
avec,avec,81
des,de,81
des,le,71
attendu,attendu,21
",",",",p
et,et,82
j',je,51
irai,aller,15
moi-même,moi-même,51
au,à,81
au,le,71
palais,palais,21
/…,/…,P
cette,ce,74
scène,scène,22
représente,représenter,17
un,un,52
des,de,81
des,le,71
mille,mille,72
plaisirs,plaisir,21
qui,qui,52
",",",",p
plus,plus,60
tard,tard,60
",",",",p
font,faire,17
dire,dire,14
en,en,81
pensant,penser,13
à,à,81
la,le,71
jeunesse,jeunesse,22
:,:,p
-,-,p
c',ce,52
était,être,18
le,le,71
bon,bon,30
temps,temps,21
/!,/!,P
vers,vers,81
une,un,71
heure,heure,22
du,de,81
du,le,71
matin,matin,21
",",",",p
le,le,71
prétendu,prétendu,31
colonel,colonel,21
Chabert,Chabert,20
vint,venir,19
frapper,frapper,14
à,à,81
la,le,71
porte,porte,22
de,de,81
maître,maître,21
Derville,Derville,20
",",",",p
avoué,avoué,21
près,près,81
le,le,71
tribunal,tribunal,21
de,de,81
première,premier,72
instance,instance,22
du,de,81
du,le,71
département,département,21
de,de,81
la,le,71
Seine,Seine,20
/.,/.,P
le,le,71
portier,portier,21
lui,lui,51
répondit,répondre,19
que,que,83
monsieur,monsieur,21
Derville,Derville,20
n',ne,60
était,être,18
pas,pas,60
rentré,rentrer,12
/.,/.,P
le,le,71
vieillard,vieillard,21
allégua,alléguer,19
le,le,71
rendez-vous,rendez-vous,21
et,et,82
monta,monter,19
chez,chez,81
ce,ce,74
célèbre,célèbre,30
légiste,légiste,21
",",",",p
qui,qui,52
",",",",p
malgré,malgré,81
sa,son,73
jeunesse,jeunesse,22
",",",",p
passait,passer,18
pour,pour,81
être,être,14
une,un,52
des,de,81
des,le,71
plus,plus,60
fortes,fort,30
têtes,tête,22
du,de,81
du,le,71
palais,palais,21
/.,/.,P
après,après,81
avoir,avoir,14
sonné,sonner,12
",",",",p
le,le,71
défiant,défier,13
solliciteur,solliciteur,21
ne,ne,60
fut,être,19
pas,pas,60
médiocrement,médiocrement,60
étonné,étonner,12
de,de,81
voir,voir,14
le,le,71
premier,premier,72
clerc,clerc,21
occupé,occupé,31
à,à,81
ranger,ranger,14
sur,sur,81
la,le,71
table,table,22
de,de,81
la,le,71
salle,salle,22
à,à,81
manger,manger,14
de,de,81
son,son,73
patron,patron,21
les,le,71
nombreux,nombreux,30
dossiers,dossier,21
des,de,81
des,le,71
affaires,affaire,22
qui,qui,52
venaient,venir,18
le,le,71
lendemain,lendemain,21
en,en,81
ordre,ordre,21
utile,utile,30
/.,/.,P
le,le,71
clerc,clerc,21
",",",",p
non,non,60
moins,moins,60
étonné,étonné,31
",",",",p
salua,saluer,19
le,le,71
colonel,colonel,21
en,en,81
le,le,52
priant,prier,13
de,de,81
s',se,51
asseoir,asseoir,14
:,:,p
ce,ce,52
que,que,52
fit,faire,19
le,le,71
plaideur,plaideur,21
/.,/.,P
-,-,p
ma,mon,73
foi,foi,22
",",",",p
monsieur,monsieur,21
",",",",p
j',je,51
ai,avoir,17
cru,croire,12
que,que,83
vous,vous,51
plaisantiez,plaisanter,17
hier,hier,60
en,en,81
m',je,51
indiquant,indiquer,13
une,un,71
heure,heure,22
si,si,60
matinale,matinal,30
pour,pour,81
une,un,71
consultation,consultation,22
",",",",p
dit,dire,19
le,le,71
vieillard,vieillard,21
avec,avec,81
la,le,71
fausse,faux,30
gaieté,gaieté,22
d',de,81
un,un,71
homme,homme,21
ruiné,ruiné,31
qui,qui,52
s',se,51
efforce,efforcer,17
de,de,81
sourire,sourire,14
/.,/.,P
-,-,p
les,le,71
clercs,clerc,21
plaisantaient,plaisanter,18
et,et,82
disaient,dire,18
vrai,vrai,60
tout,tout,60
ensemble,ensemble,60
",",",",p
reprit,reprendre,19
le,le,71
principal,principal,21
en,en,81
continuant,continuer,13
son,son,73
travail,travail,21
/.,/.,P
monsieur,monsieur,21
Derville,Derville,20
a,avoir,17
choisi,choisir,12
cette,ce,74
heure,heure,22
pour,pour,81
examiner,examiner,14
ses,son,73
causes,cause,22
",",",",p
en,en,52
résumer,résumer,14
les,le,71
moyens,moyen,21
",",",",p
en,en,52
ordonner,ordonner,14
la,le,71
conduite,conduite,22
",",",",p
en,en,52
disposer,disposer,14
les,le,71
défenses,défense,22
/.,/.,P
sa,son,73
prodigieuse,prodigieux,30
intelligence,intelligence,22
est,être,17
plus,plus,60
libre,libre,30
en,en,81
ce,ce,74
moment,moment,21
",",",",p
le,le,71
seul,seul,30
où,où,60
il,il,51
obtienne,obtenir,17
le,le,71
silence,silence,21
et,et,82
la,le,71
tranquillité,tranquillité,22
nécessaires,nécessaire,30
à,à,81
la,le,71
conception,conception,22
des,de,81
des,le,71
bonnes,bon,30
idées,idée,22
/.,/.,P
vous,vous,51
êtes,être,17
",",",",p
depuis,depuis,81
qu',que,83
il,il,51
est,être,17
avoué,avouer,12
",",",",p
le,le,71
troisième,troisième,72
exemple,exemple,21
d',de,81
une,un,71
consultation,consultation,22
donnée,donné,31
à,à,81
cette,ce,74
heure,heure,22
nocturne,nocturne,30
/.,/.,P
après,après,81
être,être,14
rentré,rentrer,12
",",",",p
le,le,71
patron,patron,21
discutera,discuter,15
chaque,chaque,75
affaire,affaire,22
",",",",p
lira,lire,15
tout,tout,52
",",",",p
passera,passer,15
peut-être,peut-être,60
quatre,quatre,72
ou,ou,82
cinq,cinq,72
heures,heure,22
à,à,81
sa,son,73
besogne,besogne,22
;,;,p
puis,puis,60
",",",",p
il,il,51
me,je,51
sonnera,sonner,15
et,et,82
m',je,51
expliquera,expliquer,15
ses,son,73
intentions,intention,22
/.,/.,P
le,le,71
matin,matin,21
",",",",p
de,de,81
dix,dix,72
heures,heure,22
à,à,81
deux,deux,72
heures,heure,22
",",",",p
il,il,51
écoute,écouter,17
ses,son,73
clients,client,21
",",",",p
puis,puis,60
il,il,51
emploie,employer,17
le,le,71
reste,reste,21
de,de,81
la,le,71
journée,journée,22
à,à,81
ses,son,73
rendez-vous,rendez-vous,21
/.,/.,P
le,le,71
soir,soir,21
",",",",p
il,il,51
va,aller,17
dans,dans,81
le,le,71
monde,monde,21
pour,pour,81
y,y,52
entretenir,entretenir,14
ses,son,73
relations,relation,22
/.,/.,P
il,il,51
n',ne,60
a,avoir,17
donc,donc,82
que,que,83
la,le,71
nuit,nuit,22
pour,pour,81
creuser,creuser,14
ses,son,73
procès,procès,21
",",",",p
fouiller,fouiller,14
les,le,71
arsenaux,arsenal,21
du,de,81
du,le,71
code,code,21
et,et,82
faire,faire,14
ses,son,73
plans,plan,21
de,de,81
bataille,bataille,22
/.,/.,P
il,il,51
ne,ne,60
veut,vouloir,17
pas,pas,60
perdre,perdre,14
une,un,71
seule,seul,30
cause,cause,22
",",",",p
il,il,51
a,avoir,17
l',le,71
amour,amour,21
de,de,81
son,son,73
art,art,21
/.,/.,P
il,il,51
ne,ne,60
se,se,51
charge,charger,17
pas,pas,60
",",",",p
comme,comme,83
ses,son,73
confrères,confrère,21
",",",",p
de,de,81
toute,tout,75
espèce,espèce,22
d',de,81
affaire,affaire,22
/.,/.,P
voilà,voilà,81
sa,son,73
vie,vie,22
",",",",p
qui,qui,52
est,être,17
singulièrement,singulièrement,60
active,actif,30
/.,/.,P
aussi,aussi,60
gagne,gagner,17
t,t,94
il,il,51
beaucoup,beaucoup,60
d',de,81
argent,argent,21
/.,/.,P
en,en,81
entendant,entendre,13
cette,ce,74
explication,explication,22
",",",",p
le,le,71
vieillard,vieillard,21
resta,rester,19
silencieux,silencieux,30
",",",",p
et,et,82
sa,son,73
bizarre,bizarre,30
figure,figure,22
prit,prendre,19
une,un,71
expression,expression,22
si,si,60
dépourvue,dépourvu,31
d',de,81
intelligence,intelligence,22
",",",",p
que,que,83
le,le,71
clerc,clerc,21
",",",",p
après,après,81
l',le,52
avoir,avoir,14
regardé,regarder,12
",",",",p
ne,ne,60
s',se,51
occupa,occuper,19
plus,plus,60
de,de,81
lui,lui,51
/.,/.,P
quelques,quelque,75
instants,instant,21
après,après,81
",",",",p
Derville,Derville,20
rentra,rentrer,19
",",",",p
mis,mis,31
en,en,81
costume,costume,21
de,de,81
bal,bal,21
;,;,p
son,son,73
maître,maître,21
clerc,clerc,21
lui,lui,51
ouvrit,ouvrir,19
la,le,71
porte,porte,22
",",",",p
et,et,82
se,se,51
remit,remettre,19
à,à,81
achever,achever,14
le,le,71
classement,classement,21
des,de,81
des,le,71
dossiers,dossier,21
/.,/.,P
le,le,71
jeune,jeune,30
avoué,avoué,21
demeura,demeurer,19
pendant,pendant,81
un,un,71
moment,moment,21
stupéfait,stupéfait,30
en,en,81
entrevoyant,entrevoir,13
dans,dans,81
le,le,71
clair-obscur,clair-obscur,21
le,le,71
singulier,singulier,30
client,client,21
qui,qui,52
l',le,52
attendait,attendre,18
/.,/.,P
le,le,71
colonel,colonel,21
Chabert,Chabert,20
était,être,18
aussi,aussi,60
parfaitement,parfaitement,60
immobile,immobile,30
que,que,83
peut,pouvoir,17
l',le,52
être,être,14
une,un,71
figure,figure,22
en,en,81
cire,cire,22
de,de,81
ce,ce,74
cabinet,cabinet,21
de,de,81
Curtius,Curtius,20
où,où,60
Godeschal,Godeschal,20
avait,avoir,18
voulu,vouloir,12
mener,mener,14
ses,son,73
camarades,camarade,21
/.,/.,P
cette,ce,74
immobilité,immobilité,22
n',ne,60
aurait,avoir,16
peut-être,peut-être,60
pas,pas,60
été,être,12
un,un,71
sujet,sujet,21
d',de,81
étonnement,étonnement,21
",",",",p
si,si,83
elle,il,51
n',ne,60
eut,avoir,19
complété,compléter,12
le,le,71
spectacle,spectacle,21
surnaturel,surnaturel,30
que,que,52
présentait,présenter,18
l',le,71
ensemble,ensemble,21
du,de,81
du,le,71
personnage,personnage,21
/.,/.,P
le,le,71
vieux,vieux,30
soldat,soldat,21
était,être,18
sec,sec,30
et,et,82
maigre,maigre,30
/.,/.,P
son,son,73
front,front,21
",",",",p
volontairement,volontairement,60
caché,caché,31
sous,sous,81
les,le,71
cheveux,cheveu,21
de,de,81
sa,son,73
perruque,perruque,22
lisse,lisse,30
",",",",p
lui,lui,51
donnait,donner,18
quelque,quelque,75
chose,chose,22
de,de,81
mystérieux,mystérieux,30
/.,/.,P
ses,son,73
yeux,oeil,21
paraissaient,paraître,18
couverts,couvert,31
d',de,81
une,un,71
taie,taie,22
transparente,transparent,30
:,:,p
vous,vous,51
eussiez,avoir,18
dit,dire,12
de,de,81
la,le,71
nacre,nacre,22
sale,sale,30
dont,dont,52
les,le,71
reflets,reflet,21
bleuâtres,bleuâtre,30
chatoyaient,chatoyer,18
à,à,81
la,le,71
lueur,lueur,22
des,de,81
des,le,71
bougies,bougie,22
/.,/.,P
le,le,71
visage,visage,21
pale,pale,22
",",",",p
livide,livide,30
",",",",p
et,et,82
en,en,81
lame,lame,22
de,de,81
couteau,couteau,21
",",",",p
s',si,83
il,il,51
est,être,17
permis,permettre,12
d',de,81
emprunter,emprunter,14
cette,ce,74
expression,expression,22
vulgaire,vulgaire,30
",",",",p
semblait,sembler,18
mort,mort,31
/.,/.,P
le,le,71
cou,cou,21
était,être,18
serré,serrer,12
par,par,81
une,un,71
mauvaise,mauvais,30
cravate,cravate,22
de,de,81
soie,soie,22
noire,noir,30
/.,/.,P
l',le,71
ombre,ombre,22
cachait,cacher,18
si,si,60
bien,bien,60
le,le,71
corps,corps,21
à,à,81
partir,partir,14
de,de,81
la,le,71
ligne,ligne,22
brune,brun,30
que,que,52
décrivait,décrire,18
ce,ce,74
haillon,haillon,21
",",",",p
qu',que,83
un,un,71
homme,homme,21
d',de,81
imagination,imagination,22
aurait,avoir,16
pu,pouvoir,12
prendre,prendre,14
cette,ce,74
vieille,vieux,30
tête,tête,22
pour,pour,81
quelque,quelque,75
silhouette,silhouette,22
due,dû,31
au,à,81
au,le,71
hasard,hasard,21
",",",",p
ou,ou,82
pour,pour,81
un,un,71
portrait,portrait,21
de,de,81
Rembrandt,Rembrandt,20
",",",",p
sans,sans,81
cadre,cadre,21
/.,/.,P
les,le,71
bords,bord,21
du,de,81
du,le,71
chapeau,chapeau,21
qui,qui,52
couvrait,couvrir,18
le,le,71
front,front,21
du,de,81
du,le,71
vieillard,vieillard,21
projetaient,projeter,18
un,un,71
sillon,sillon,21
noir,noir,30
sur,sur,81
le,le,71
haut,haut,21
du,de,81
du,le,71
visage,visage,21
/.,/.,P
cet,ce,74
effet,effet,21
bizarre,bizarre,30
",",",",p
quoique,quoique,83
naturel,naturel,30
",",",",p
faisait,faire,18
ressortir,ressortir,14
",",",",p
par,par,81
la,le,71
brusquerie,brusquerie,22
du,de,81
du,le,71
contraste,contraste,21
",",",",p
les,le,71
rides,ride,22
blanches,blanc,30
",",",",p
les,le,71
sinuosités,sinuosité,22
froides,froid,30
",",",",p
le,le,71
sentiment,sentiment,21
décoloré,décoloré,31
de,de,81
cette,ce,74
physionomie,physionomie,22
cadavéreuse,cadavéreux,30
/.,/.,P
enfin,enfin,60
l',le,71
absence,absence,22
de,de,81
tout,tout,75
mouvement,mouvement,21
dans,dans,81
le,le,71
corps,corps,21
",",",",p
de,de,81
toute,tout,75
chaleur,chaleur,22
dans,dans,81
le,le,71
regard,regard,21
",",",",p
s',se,51
accordait,accorder,18
avec,avec,81
une,un,71
certaine,certain,75
expression,expression,22
de,de,81
démence,démence,22
triste,triste,30
",",",",p
avec,avec,81
les,le,71
dégradants,dégradant,30
symptômes,symptôme,21
par,par,81
lesquels,lequel,52
se,se,51
caractérise,caractériser,17
l',le,71
idiotisme,idiotisme,21
",",",",p
pour,pour,81
faire,faire,14
de,de,81
cette,ce,74
figure,figure,22
je,je,51
ne,ne,60
sais,savoir,17
quoi,quoi,52
de,de,81
funeste,funeste,30
qu',que,52
aucune,aucun,75
parole,parole,22
humaine,humain,30
ne,ne,60
pourrait,pouvoir,16
exprimer,exprimer,14
/.,/.,P
mais,mais,82
un,un,71
observateur,observateur,21
",",",",p
et,et,82
surtout,surtout,60
un,un,71
avoué,avoué,21
",",",",p
aurait,avoir,16
trouvé,trouver,12
de,de,81
plus,plus,60
en,en,81
cet,ce,74
homme,homme,21
foudroyé,foudroyé,31
les,le,71
signes,signe,21
d',de,81
une,un,71
douleur,douleur,22
profonde,profond,30
",",",",p
les,le,71
indices,indice,21
d',de,81
une,un,71
misère,misère,22
qui,qui,52
avait,avoir,18
dégradé,dégrader,12
ce,ce,74
visage,visage,21
",",",",p
comme,comme,83
les,le,71
gouttes,goutte,22
d',de,81
eau,eau,22
tombées,tombé,31
du,de,81
du,le,71
ciel,ciel,21
sur,sur,81
un,un,71
beau,beau,30
marbre,marbre,21
l',le,52
ont,avoir,17
à,à,81
la,le,71
longue,longue,22
défiguré,défigurer,12
/.,/.,P
un,un,71
médecin,médecin,21
",",",",p
un,un,71
auteur,auteur,21
",",",",p
un,un,71
magistrat,magistrat,21
eussent,avoir,18
pressenti,pressentir,12
tout,tout,75
un,un,71
drame,drame,21
à,à,81
l',le,71
aspect,aspect,21
de,de,81
cette,ce,74
sublime,sublime,30
horreur,horreur,22
dont,dont,52
le,le,71
moindre,moindre,30
mérite,mérite,21
de,de,81
ressembler,ressembler,14
à,à,81
ces,ce,74
fantaisies,fantaisie,22
que,que,52
les,le,71
peintres,peintre,21
s',se,51
amusent,amuser,17
à,à,81
dessiner,dessiner,14
au,à,81
au,le,71
bas,bas,21
de,de,81
leurs,leur,73
pierres,pierre,22
lithographiques,lithographique,30
en,en,81
causant,causer,13
avec,avec,81
leurs,leur,73
amis,ami,21
/.,/.,P
en,en,81
voyant,voir,13
l',le,71
avoué,avoué,21
",",",",p
l',le,71
inconnu,inconnu,21
tressaillit,tressaillir,17
par,par,81
un,un,71
mouvement,mouvement,21
convulsif,convulsif,30
semblable,semblable,30
à,à,81
celui,celui,52
qui,qui,52
échappe,échapper,17
aux,à,81
aux,le,71
poètes,poète,21
quand,quand,83
un,un,71
bruit,bruit,21
inattendu,inattendu,30
vient,venir,17
les,le,52
détourner,détourner,14
d',de,81
une,un,71
féconde,fécond,30
rêverie,rêverie,22
",",",",p
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
silence,silence,21
et,et,82
de,de,81
la,le,71
nuit,nuit,22
/.,/.,P
le,le,71
vieillard,vieillard,21
se,se,51
découvrit,découvrir,19
promptement,promptement,60
et,et,82
se,se,51
leva,lever,19
pour,pour,81
saluer,saluer,14
le,le,71
jeune,jeune,30
homme,homme,21
;,;,p
le,le,71
cuir,cuir,21
qui,qui,52
garnissait,garnir,18
l',le,71
intérieur,intérieur,21
de,de,81
son,son,73
chapeau,chapeau,21
étant,être,13
sans,sans,81
doute,doute,21
fort,fort,60
gras,gras,30
",",",",p
sa,son,73
perruque,perruque,22
y,y,52
resta,rester,19
collée,collé,31
sans,sans,81
qu',que,83
il,il,51
s',se,51
en,en,52
aperçût,apercevoir,18
",",",",p
et,et,82
laissa,laisser,19
voir,voir,14
à,à,81
nu,nu,21
son,son,73
crâne,crâne,21
horriblement,horriblement,60
mutilé,mutilé,31
par,par,81
une,un,71
cicatrice,cicatrice,22
transversale,transversal,30
qui,qui,52
prenait,prendre,18
à,à,81
l',le,71
occiput,occiput,21
et,et,82
venait,venir,18
mourir,mourir,14
à,à,81
l',le,71
oeil,oeil,21
droit,droit,30
",",",",p
en,en,81
formant,former,13
partout,partout,60
une,un,71
grosse,gros,30
couture,couture,22
saillante,saillant,30
/.,/.,P
l',le,71
enlèvement,enlèvement,21
soudain,soudain,30
de,de,81
cette,ce,74
perruque,perruque,22
sale,sale,30
",",",",p
que,que,52
le,le,71
pauvre,pauvre,30
homme,homme,21
portait,porter,18
pour,pour,81
cacher,cacher,14
sa,son,73
blessure,blessure,22
",",",",p
ne,ne,60
donna,donner,19
nulle,nul,75
envie,envie,22
de,de,81
rire,rire,14
aux,à,81
aux,le,71
deux,deux,72
gens,gens,21
de,de,81
loi,loi,22
",",",",p
tant,tant,60
ce,ce,74
crâne,crâne,21
fendu,fendu,31
était,être,18
épouvantable,épouvantable,30
à,à,81
voir,voir,14
/.,/.,P
la,le,71
première,premier,72
pensée,pensée,22
que,que,52
suggérait,suggérer,18
l',le,71
aspect,aspect,21
de,de,81
cette,ce,74
blessure,blessure,22
était,être,18
celle-ci,celui-ci,52
:,:,p
-,-,p
par-là,par-là,60
s',se,51
est,être,17
enfuie,enfuir,12
l',le,71
intelligence,intelligence,22
/!,/!,P
-,-,p
si,si,83
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
le,le,71
colonel,colonel,21
Chabert,Chabert,20
",",",",p
ce,ce,52
doit,devoir,17
être,être,14
un,un,71
fier,fier,30
troupier,troupier,21
!,!,p
pensa,penser,19
Boucard,Boucard,20
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
Derville,Derville,20
",",",",p
à,à,81
qui,qui,52
ai,avoir,17
je,je,51
l',le,71
honneur,honneur,21
de,de,81
parler,parler,14
/?,/?,P
-,-,p
au,à,81
au,le,71
colonel,colonel,21
Chabert,Chabert,20
/.,/.,P
-,-,p
lequel,lequel,52
/?,/?,P
-,-,p
celui,celui,52
qui,qui,52
est,être,17
mort,mourir,12
à,à,81
Eylau,Eylau,20
",",",",p
répondit,répondre,19
le,le,71
vieillard,vieillard,21
/.,/.,P
en,en,81
entendant,entendre,13
cette,ce,74
singulière,singulier,30
phrase,phrase,22
",",",",p
le,le,71
clerc,clerc,21
et,et,82
l',le,71
avoué,avoué,21
se,se,51
jetèrent,jeter,19
un,un,71
regard,regard,21
qui,qui,52
signifiait,signifier,18
:,:,p
-,-,p
c',ce,52
est,être,17
un,un,71
fou,fou,21
/!,/!,P
-,-,p
monsieur,monsieur,21
",",",",p
reprit,reprendre,19
le,le,71
colonel,colonel,21
",",",",p
je,je,51
désirerais,désirer,16
ne,ne,60
confier,confier,14
qu',que,83
à,à,81
vous,vous,51
le,le,71
secret,secret,21
de,de,81
ma,mon,73
situation,situation,22
/.,/.,P
une,un,71
chose,chose,22
digne,digne,30
de,de,81
remarque,remarque,22
est,être,17
l',le,71
intrépidité,intrépidité,22
naturelle,naturel,30
aux,à,81
aux,le,71
avoués,avoué,21
/.,/.,P
soit,soit,82
l',le,71
habitude,habitude,22
de,de,81
recevoir,recevoir,14
un,un,71
grand,grand,30
nombre,nombre,21
de,de,81
personnes,personne,22
",",",",p
soit,soit,82
le,le,71
profond,profond,30
sentiment,sentiment,21
de,de,81
la,le,71
protection,protection,22
que,que,52
les,le,71
lois,loi,22
leur,leur,52
accordent,accorder,17
",",",",p
soit,soit,82
confiance,confiance,22
en,en,81
leur,leur,73
ministère,ministère,21
",",",",p
ils,ils,51
entrent,entrer,17
partout,partout,60
sans,sans,81
rien,rien,52
craindre,craindre,14
",",",",p
comme,comme,83
les,le,71
prêtres,prêtre,21
et,et,82
les,le,71
médecins,médecin,21
/.,/.,P
