11897
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-treizième extrait>,<>,<>
Grassins,Grassins,20
au,à,81
au,le,71
notaire,notaire,21
/.,/.,P
-,-,p
nous,nous,51
irons,aller,15
plus,plus,60
tard,tard,60
",",",",p
répondit,répondre,19
le,le,71
président,président,21
/.,/.,P
si,si,83
mon,mon,73
oncle,oncle,21
le,le,52
permet,permettre,17
",",",",p
j',je,51
ai,avoir,17
promis,promettre,12
à,à,81
mademoiselle,mademoiselle,22
de,de,81
Gribeaucourt,Gribeaucourt,20
de,de,81
lui,lui,51
dire,dire,14
un,un,71
petit,petit,30
bonsoir,bonsoir,21
",",",",p
et,et,82
nous,nous,51
nous,nous,51
y,y,52
rendrons,rendre,15
d'abord,d'abord,60
/.,/.,P
-,-,p
au revoir,au revoir,21
donc,donc,82
",",",",p
messieurs,monsieur,21
",",",",p
dit,dire,19
madame,madame,22
des,de,81
des,le,71
Grassins,Grassins,20
/.,/.,P
et,et,82
",",",",p
quand,quand,83
les,le,71
des,de,81
des,le,71
Grassins,Grassins,20
furent,être,19
à,à,81
quelques,quelque,75
pas,pas,21
des,de,81
des,le,71
deux,deux,72
Cruchot,Cruchot,20
",",",",p
Adolphe,Adolphe,20
dit,dire,19
à,à,81
son,son,73
père,père,21
:,:,p
-,-,p
ils,ils,51
fument,fumer,17
joliment,joliment,60
",",",",p
hein,hein,93
/?,/?,P
tais,taire,17
toi,toi,51
donc,donc,82
",",",",p
mon,mon,73
fils,fils,21
",",",",p
lui,lui,51
répliqua,répliquer,19
sa,son,73
mère,mère,22
",",",",p
ils,ils,51
peuvent,pouvoir,17
encore,encore,60
nous,nous,51
entendre,entendre,14
/.,/.,P
d',de,81
ailleurs,ailleurs,60
ce,ce,52
que,que,52
tu,tu,51
dis,dire,17
n',ne,60
est,être,17
pas,pas,60
de,de,81
bon,bon,30
goût,goût,21
et,et,82
sent,sentir,17
l',le,71
école,école,22
de,de,81
droit,droit,21
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
mon,mon,73
oncle,oncle,21
",",",",p
s',se,51
écria,écrier,19
le,le,71
magistrat,magistrat,21
quand,quand,83
il,il,51
vit,voir,19
les,le,71
des,de,81
des,le,71
Grassins,Grassins,20
éloignés,éloigné,31
",",",",p
j',je,51
ai,avoir,17
commencé,commencer,12
par,par,81
être,être,14
le,le,71
président,président,21
de,de,81
Bonfons,Bonfons,20
",",",",p
et,et,82
j',je,51
ai,avoir,17
fini,finir,12
par,par,81
être,être,14
tout,tout,60
simplement,simplement,60
un,un,71
Cruchot,Cruchot,20
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
bien,bien,60
vu,voir,12
que,que,83
ça,ça,52
te,tu,51
contrariait,contrarier,18
;,;,p
mais,mais,82
le,le,71
vent,vent,21
était,être,18
aux,à,81
aux,le,71
des,de,81
des,le,71
Grassins,Grassins,20
/.,/.,P
es,être,17
tu,tu,51
bête,bête,30
",",",",p
avec,avec,81
tout,tout,75
ton,ton,73
esprit,esprit,21
?,?,p
laisse,laisser,17
les,le,52
s',se,51
embarquer,embarquer,14
sur,sur,81
un,un,52
nous,nous,51
verrons,voir,15
du,de,81
du,le,71
père,père,21
Grandet,Grandet,20
",",",",p
et,et,82
tiens,tenir,17
toi,toi,51
tranquille,tranquille,30
",",",",p
mon,mon,73
petit,petit,21
:,:,p
Eugénie,Eugénie,20
n',ne,60
en,en,52
sera,être,15
pas,pas,60
moins,moins,60
ta,ton,73
femme,femme,22
/.,/.,P
en,en,81
quelques,quelque,75
instants,instant,21
la,le,71
nouvelle,nouvelle,22
de,de,81
la,le,71
magnanime,magnanime,30
résolution,résolution,22
de,de,81
Grandet,Grandet,20
se,se,51
répandit,répandre,19
dans,dans,81
trois,trois,72
maisons,maison,22
à,à,81
la,le,71
fois,fois,22
",",",",p
et,et,82
il,il,51
ne,ne,60
fut,être,19
plus,plus,60
question,question,22
dans,dans,81
toute,tout,75
la,le,71
ville,ville,22
que,que,83
de,de,81
ce,ce,74
dévouement,dévouement,21
fraternel,fraternel,30
/.,/.,P
chacun,chacun,52
pardonnait,pardonner,18
à,à,81
Grandet,Grandet,20
sa,son,73
vente,vente,22
faite,fait,31
au,à,81
au,le,71
mépris,mépris,21
de,de,81
la,le,71
foi,foi,22
jurée,juré,31
entre,entre,81
les,le,71
propriétaires,propriétaire,21
",",",",p
en,en,81
admirant,admirer,13
son,son,73
honneur,honneur,21
",",",",p
en,en,81
vantant,vanter,13
une,un,71
générosité,générosité,22
dont,dont,52
on,on,51
ne,ne,60
le,le,52
croyait,croire,18
pas,pas,60
capable,capable,30
/.,/.,P
il,il,51
est,être,17
dans,dans,81
le,le,71
caractère,caractère,21
français,français,30
de,de,81
s',se,51
enthousiasmer,enthousiasmer,14
",",",",p
de,de,81
se,se,51
colérer,colérer,14
",",",",p
de,de,81
se,se,51
passionner,passionner,14
pour,pour,81
le,le,71
météore,météore,21
du,de,81
du,le,71
moment,moment,21
",",",",p
pour,pour,81
les,le,71
bâtons,bâton,21
flottants,flottant,30
de,de,81
l',le,71
actualité,actualité,22
/.,/.,P
les,le,71
êtres,être,21
collectifs,collectif,30
",",",",p
les,le,71
peuples,peuple,21
",",",",p
seraient,être,16
ils,ils,51
donc,donc,82
sans,sans,81
mémoire,mémoire,22
/?,/?,P
quand,quand,83
le,le,71
père,père,21
Grandet,Grandet,20
eut,avoir,19
fermé,fermer,12
sa,son,73
porte,porte,22
",",",",p
il,il,51
appela,appeler,19
Nanon,Nanon,20
/.,/.,P
-,-,p
ne,ne,60
lâche,lâcher,17
pas,pas,60
le,le,71
chien,chien,21
et,et,82
ne,ne,60
dors,dormir,17
pas,pas,60
",",",",p
nous,nous,51
avons,avoir,17
à,à,81
travailler,travailler,14
ensemble,ensemble,60
/.,/.,P
à,à,81
onze,onze,72
heures,heure,22
Cornoiller,Cornoiller,20
doit,devoir,17
se,se,51
trouver,trouver,14
à,à,81
ma,mon,73
porte,porte,22
avec,avec,81
le,le,71
berlingot,berlingot,21
de,de,81
Froidfond,Froidfond,20
/.,/.,P
écoute,écouter,17
le,le,52
venir,venir,14
afin,afin,81
de,de,81
l',le,52
empêcher,empêcher,14
de,de,81
cogner,cogner,14
",",",",p
et,et,82
dis,dire,17
lui,lui,51
d',de,81
entrer,entrer,14
tout,tout,60
bellement,bellement,60
/.,/.,P
les,le,71
lois,loi,22
de,de,81
police,police,22
défendent,défendre,17
le,le,71
tapage,tapage,21
nocturne,nocturne,30
/.,/.,P
d',de,81
ailleurs,ailleurs,60
le,le,71
quartier,quartier,21
n',ne,60
a,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
savoir,savoir,14
que,que,83
je,je,51
vais,aller,17
me,je,51
mettre,mettre,14
en,en,81
route,route,22
/.,/.,P
ayant,avoir,13
dit,dire,12
",",",",p
Grandet,Grandet,20
remonta,remonter,19
dans,dans,81
son,son,73
laboratoire,laboratoire,21
",",",",p
où,où,60
Nanon,Nanon,20
l',le,52
entendit,entendre,19
remuant,remuer,13
",",",",p
fouillant,fouiller,13
",",",",p
allant,aller,13
",",",",p
venant,venir,13
",",",",p
mais,mais,82
avec,avec,81
précaution,précaution,22
/.,/.,P
il,il,51
ne,ne,60
voulait,vouloir,18
évidemment,évidemment,60
réveiller,réveiller,14
ni,ni,82
sa,son,73
femme,femme,22
ni,ni,82
sa,son,73
fille,fille,22
",",",",p
et,et,82
surtout,surtout,60
ne,ne,60
point,point,60
exciter,exciter,14
l',le,71
attention,attention,22
de,de,81
son,son,73
neveu,neveu,21
",",",",p
qu',que,52
il,il,51
avait,avoir,18
commencé,commencer,12
par,par,81
maudire,maudire,14
en,en,81
apercevant,apercevoir,13
de,de,81
la,le,71
lumière,lumière,22
dans,dans,81
sa,son,73
chambre,chambre,22
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
nuit,nuit,22
",",",",p
Eugénie,Eugénie,20
",",",",p
préoccupée,préoccupé,31
de,de,81
son,son,73
cousin,cousin,21
",",",",p
crut,croire,19
avoir,avoir,14
entendu,entendre,12
la,le,71
plainte,plainte,22
d',de,81
un,un,71
mourant,mourant,21
",",",",p
et,et,82
pour,pour,81
elle,il,51
ce,ce,74
mourant,mourant,21
était,être,18
Charles,Charles,20
:,:,p
elle,il,51
l',le,52
avait,avoir,18
quitté,quitter,12
si,si,60
pâle,pâle,30
",",",",p
si,si,60
désespéré,désespéré,31
!,!,p
peut-être,peut-être,60
s',se,51
était,être,18
il,il,51
tué,tuer,12
/.,/.,P
soudain,soudain,60
elle,il,51
s',se,51
enveloppa,envelopper,19
d',de,81
une,un,71
coiffe,coiffe,22
",",",",p
espèce,espèce,22
de,de,81
pelisse,pelisse,22
à,à,81
capuchon,capuchon,21
",",",",p
et,et,82
voulut,vouloir,19
sortir,sortir,14
/.,/.,P
d'abord,d'abord,60
une,un,71
vive,vif,30
lumière,lumière,22
qui,qui,52
passait,passer,18
par,par,81
les,le,71
fentes,fente,22
de,de,81
sa,son,73
porte,porte,22
lui,lui,51
donna,donner,19
peur,peur,22
du,de,81
du,le,71
feu,feu,21
;,;,p
puis,puis,60
elle,il,51
se,se,51
rassura,rassurer,19
bientôt,bientôt,60
en,en,81
entendant,entendre,13
les,le,71
pas,pas,21
pesants,pesant,30
de,de,81
Nanon,Nanon,20
et,et,82
sa,son,73
voix,voix,22
mêlée,mêlé,31
au,à,81
au,le,71
hennissement,hennissement,21
de,de,81
plusieurs,plusieurs,75
chevaux,cheval,21
/.,/.,P
-,-,p
mon,mon,73
père,père,21
enlèverait,enlever,16
il,il,51
mon,mon,73
cousin,cousin,21
?,?,p
se,se,51
dit,dire,17
elle,il,51
en,en,81
entr'ouvrant,entr'ouvrir,13
sa,son,73
porte,porte,22
avec,avec,81
assez,assez,60
de,de,81
précaution,précaution,22
pour,pour,81
l',le,52
empêcher,empêcher,14
de,de,81
crier,crier,14
",",",",p
mais,mais,82
de,de,81
manière,manière,22
à,à,81
voir,voir,14
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
dans,dans,81
le,le,71
corridor,corridor,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
son,son,73
oeil,oeil,21
rencontra,rencontrer,19
celui,celui,52
de,de,81
son,son,73
père,père,21
",",",",p
dont,dont,52
le,le,71
regard,regard,21
",",",",p
quelque,quelque,75
vague,vague,30
et,et,82
insouciant,insouciant,30
qu',que,83
il,il,51
fût,être,19
",",",",p
la,le,52
glaça,glacer,19
de,de,81
terreur,terreur,22
/.,/.,P
le,le,71
bonhomme,bonhomme,21
et,et,82
Nanon,Nanon,20
étaient,être,18
accouplés,accoupler,12
par,par,81
un,un,71
gros,gros,30
gourdin,gourdin,21
dont,dont,52
chaque,chaque,75
bout,bout,21
reposait,reposer,18
sur,sur,81
leur,leur,73
épaule,épaule,22
droite,droit,30
et,et,82
soutenait,soutenir,18
un,un,71
câble,câble,21
auquel,à,81
auquel,lequel,52
était,être,18
attaché,attacher,12
un,un,71
barillet,barillet,21
semblable,semblable,30
à,à,81
ceux,celui,52
que,que,52
le,le,71
père,père,21
Grandet,Grandet,20
s',se,51
amusait,amuser,18
à,à,81
faire,faire,14
dans,dans,81
son,son,73
fournil,fournil,21
à,à,81
ses,son,73
moments,moment,21
perdus,perdu,31
/.,/.,P
-,-,p
Sainte Vierge,Sainte Vierge,20
!,!,p
monsieur,monsieur,21
",",",",p
ça,ça,52
pèse,peser,17
t,t,94
il,il,51
?,?,p
dit,dire,19
à,à,81
voix,voix,22
basse,bas,30
la,le,71
Nanon,Nanon,20
/.,/.,P
-,-,p
quel,quel,75
malheur,malheur,21
que,que,52
ce,ce,52
ne,ne,60
soit,être,17
que,que,83
des,de,81
des,le,71
gros,gros,30
sous,sou,21
!,!,p
répondit,répondre,19
le,le,71
bonhomme,bonhomme,21
/.,/.,P
prends,prendre,17
garde,garde,22
de,de,81
heurter,heurter,14
le,le,71
chandelier,chandelier,21
/.,/.,P
cette,ce,74
scène,scène,22
était,être,18
éclairée,éclairer,12
par,par,81
une,un,71
seule,seul,30
chandelle,chandelle,22
placée,placé,31
entre,entre,81
deux,deux,72
barreaux,barreau,21
de,de,81
la,le,71
rampe,rampe,22
/.,/.,P
-,-,p
Cornoiller,Cornoiller,20
",",",",p
dit,dire,19
Grandet,Grandet,20
à,à,81
son,son,73
garde,garde,21
in partibus,in partibus,91
",",",",p
as,avoir,17
tu,tu,51
pris,prendre,12
tes,ton,73
pistolets,pistolet,21
/?,/?,P
non,non,60
",",",",p
monsieur,monsieur,21
/.,/.,P
Pardé,Pardé,20
!,!,p
quoi,quoi,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
donc,donc,82
à,à,81
craindre,craindre,14
pour,pour,81
vos,votre,73
gros,gros,30
sous,sou,21
/?,/?,P
-,-,p
oh,oh,93
!,!,p
rien,rien,52
",",",",p
dit,dire,19
le,le,71
père,père,21
Grandet,Grandet,20
/.,/.,P
-,-,p
d',de,81
ailleurs,ailleurs,60
nous,nous,51
irons,aller,15
vite,vite,60
",",",",p
reprit,reprendre,19
le,le,71
garde,garde,21
",",",",p
vos,votre,73
fermiers,fermier,21
ont,avoir,17
choisi,choisir,12
pour,pour,81
vous,vous,51
leurs,leur,73
meilleurs,meilleur,30
chevaux,cheval,21
/.,/.,P
-,-,p
bien,bien,60
",",",",p
bien,bien,60
/.,/.,P
tu,tu,51
ne,ne,60
leur,leur,52
as,avoir,17
pas,pas,60
dit,dire,12
où,où,60
j',je,51
allais,aller,18
/?,/?,P
je,je,51
ne,ne,60
le,le,52
savais,savoir,18
point,point,60
/.,/.,P
-,-,p
bien,bien,60
/.,/.,P
la,le,71
voiture,voiture,22
est,être,17
solide,solide,30
/?,/?,P
ça,ça,52
",",",",p
notre,notre,73
maître,maître,21
?,?,p
ha,ah,93
!,!,p
ben,ben,93
",",",",p
ça,ça,52
porterait,porter,16
trois,trois,72
mille,mille,72
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
que,que,83
ça,ça,52
pèse,peser,17
donc,donc,82
vos,votre,73
méchants,méchant,30
barils,baril,21
/?,/?,P
tiens,tenir,17
",",",",p
dit,dire,19
Nanon,Nanon,20
",",",",p
je,je,51
le,le,52
savons,savoir,17
bien,bien,60
/!,/!,P
y,y,52
a,avoir,17
ben,ben,93
près,près,81
de,de,81
dix,dix,72
huit,huit,72
cents,cent,21
/.,/.,P
-,-,p
veux,vouloir,17
tu,tu,51
te,tu,51
taire,taire,14
",",",",p
Nanon,Nanon,20
/!,/!,P
tu,tu,51
diras,dire,15
à,à,81
ma,mon,73
femme,femme,22
que,que,52
je,je,51
suis,être,17
allé,aller,12
à,à,81
la,le,71
campagne,campagne,22
/.,/.,P
je,je,51
serai,être,16
revenu,revenir,12
pour,pour,81
dîner,dîner,14
/.,/.,P
va,aller,17
bon,bon,30
train,train,21
",",",",p
Cornoiller,Cornoiller,20
",",",",p
faut,falloir,17
être,être,14
à,à,81
Angers,Angers,20
avant,avant,81
neuf,neuf,72
heures,heure,22
/.,/.,P
la,le,71
voiture,voiture,22
partit,partir,19
/.,/.,P
Nanon,Nanon,20
verrouilla,verrouiller,19
la,le,71
grande,grand,30
porte,porte,22
",",",",p
lâcha,lâcher,19
le,le,71
chien,chien,21
",",",",p
se,se,51
coucha,coucher,19
l',le,71
épaule,épaule,22
meurtrie,meurtri,31
",",",",p
et,et,82
personne,personne,52
dans,dans,81
le,le,71
quartier,quartier,21
ne,ne,60
soupçonna,soupçonner,19
ni,ni,82
le,le,71
départ,départ,21
de,de,81
Grandet,Grandet,20
ni,ni,82
l',le,71
objet,objet,21
de,de,81
son,son,73
voyage,voyage,21
/.,/.,P
la,le,71
discrétion,discrétion,22
du,de,81
du,le,71
bonhomme,bonhomme,21
était,être,18
complète,complet,30
/.,/.,P
personne,personne,52
ne,ne,60
voyait,voir,18
jamais,jamais,60
un,un,71
sou,sou,21
dans,dans,81
cette,ce,74
maison,maison,22
pleine,plein,30
d',de,81
or,or,21
/.,/.,P
après,après,81
avoir,avoir,14
appris,apprendre,12
dans,dans,81
la,le,71
matinée,matinée,22
par,par,81
les,le,71
causeries,causerie,22
du,de,81
du,le,71
port,port,21
que,que,83
l',le,71
or,or,21
avait,avoir,18
doublé,doubler,12
de,de,81
prix,prix,21
par,par,81
suite,suite,22
de,de,81
nombreux,nombreux,30
armements,armement,21
entrepris,entrepris,31
à,à,81
Nantes,Nantes,20
",",",",p
et,et,82
que,que,83
des,de,81
des,le,71
spéculateurs,spéculateur,21
étaient,être,18
arrivés,arriver,12
à,à,81
Angers,Angers,20
pour,pour,81
en,en,52
acheter,acheter,14
",",",",p
le,le,71
vieux,vieux,30
vigneron,vigneron,21
par,par,81
un,un,71
simple,simple,30
emprunt,emprunt,21
de,de,81
chevaux,cheval,21
fait,fait,31
à,à,81
ses,son,73
fermiers,fermier,21
",",",",p
se,se,51
mit,mettre,19
en,en,81
mesure,mesure,22
d',de,81
aller,aller,14
y,y,52
vendre,vendre,14
le,le,71
sien,sien,52
et,et,82
d',de,81
en,en,52
rapporter,rapporter,14
en,en,81
valeurs,valeur,22
du,de,81
du,le,71
receveur,receveur,21
général,général,30
sur,sur,81
le,le,71
trésor,trésor,21
la,le,71
somme,somme,22
nécessaire,nécessaire,30
à,à,81
l',le,71
achat,achat,21
de,de,81
ses,son,73
rentes,rente,22
après,après,81
l',le,52
avoir,avoir,14
grossie,grossir,12
de,de,81
l',le,71
agio,agio,21
/.,/.,P
-,-,p
mon,mon,73
père,père,21
s',se,51
en,en,52
va,aller,17
",",",",p
dit,dire,19
Eugénie,Eugénie,20
qui,qui,52
du,de,81
du,le,71
haut,haut,21
de,de,81
l',le,71
escalier,escalier,21
avait,avoir,18
tout,tout,52
entendu,entendre,12
/.,/.,P
le,le,71
silence,silence,21
était,être,18
rétabli,rétablir,12
dans,dans,81
la,le,71
maison,maison,22
",",",",p
et,et,82
le,le,71
lointain,lointain,30
roulement,roulement,21
de,de,81
la,le,71
voiture,voiture,22
",",",",p
qui,qui,52
cessa,cesser,19
par,par,81
degrés,degré,21
",",",",p
ne,ne,60
retentissait,retentir,18
déjà,déjà,60
plus,plus,60
dans,dans,81
Saumur,Saumur,20
endormi,endormi,31
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
",",",",p
Eugénie,Eugénie,20
entendit,entendre,19
en,en,81
son,son,73
coeur,coeur,21
",",",",p
avant,avant,81
de,de,81
l',le,52
écouter,écouter,14
par,par,81
l',le,71
oreille,oreille,22
",",",",p
une,un,71
plainte,plainte,22
qui,qui,52
perça,percer,19
les,le,71
cloisons,cloison,22
",",",",p
et,et,82
qui,qui,52
venait,venir,18
de,de,81
la,le,71
chambre,chambre,22
de,de,81
son,son,73
cousin,cousin,21
/.,/.,P
une,un,71
bande,bande,22
lumineuse,lumineux,30
",",",",p
fine,fin,30
autant,autant,60
que,que,83
le,le,71
tranchant,tranchant,21
d',de,81
un,un,71
sabre,sabre,21
",",",",p
passait,passer,18
par,par,81
la,le,71
fente,fente,22
de,de,81
la,le,71
porte,porte,22
et,et,82
coupait,couper,18
horizontalement,horizontalement,60
les,le,71
balustres,balustre,21
du,de,81
du,le,71
vieil,vieux,30
escalier,escalier,21
/.,/.,P
-,-,p
il,il,51
souffre,souffrir,17
",",",",p
dit,dire,19
elle,il,51
en,en,81
grimpant,grimper,13
deux,deux,72
marches,marche,22
/.,/.,P
un,un,71
second,second,72
gémissement,gémissement,21
la,le,52
fit,faire,19
arriver,arriver,14
sur,sur,81
le,le,71
palier,palier,21
de,de,81
la,le,71
chambre,chambre,22
/.,/.,P
la,le,71
porte,porte,22
était,être,18
entr'ouverte,entr'ouvrir,12
",",",",p
elle,il,51
la,le,52
poussa,pousser,19
/.,/.,P
Charles,Charles,20
dormait,dormir,18
la,le,71
tête,tête,22
penchée,penché,31
en,en,81
dehors,dehors,21
du,de,81
du,le,71
vieux,vieux,30
fauteuil,fauteuil,21
",",",",p
sa,son,73
main,main,22
avait,avoir,18
laissé,laisser,12
tomber,tomber,14
la,le,71
plume,plume,22
et,et,82
touchait,toucher,18
presque,presque,60
à,à,81
terre,terre,22
/.,/.,P
la,le,71
respiration,respiration,22
saccadée,saccadé,31
que,que,52
nécessitait,nécessiter,18
la,le,71
posture,posture,22
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
effraya,effrayer,19
soudain,soudain,60
Eugénie,Eugénie,20
",",",",p
qui,qui,52
entra,entrer,19
promptement,promptement,60
/.,/.,P
-,-,p
il,il,51
doit,devoir,17
être,être,14
bien,bien,60
fatigué,fatiguer,12
",",",",p
se,se,51
dit,dire,17
elle,il,51
en,en,81
regardant,regarder,13
une,un,71
dizaine,dizaine,22
de,de,81
lettres,lettre,22
cachetées,cacheté,31
",",",",p
elle,il,51
en,en,52
lut,lire,19
les,le,71
adresses,adresse,22
:,:,p
à,à,81
messieurs,monsieur,21
Farry,Farry,20
",",",",p
Breilman,Breilman,20
et,et,82
cie,compagnie,22
",",",",p
carrossiers,carrossier,21
/.,/.,P
-,-,p
à,à,81
monsieur,monsieur,21
Buisson,Buisson,20
",",",",p
tailleur,tailleur,21
",",",",p
etc,et cetera,91
-,-,p
il,il,51
a,avoir,17
sans,sans,81
doute,doute,21
arrangé,arranger,12
toutes,tout,75
ses,son,73
affaires,affaire,22
pour,pour,81
pouvoir,pouvoir,14
bientôt,bientôt,60
quitter,quitter,14
la,le,71
France,France,20
",",",",p
pensa,penser,19
t,t,94
elle,il,51
/.,/.,P
ses,son,73
yeux,oeil,21
tombèrent,tomber,19
sur,sur,81
deux,deux,72
lettres,lettre,22
ouvertes,ouvert,31
/.,/.,P
ces,ce,74
mots,mot,21
qui,qui,52
en,en,52
commençaient,commencer,18
une,un,52
:,:,p
“,“,p
ma,mon,73
chère,cher,30
Annette,Annette,20
…,…,p
lui,lui,51
causèrent,causer,19
un,un,71
éblouissement,éblouissement,21
/.,/.,P
son,son,73
coeur,coeur,21
palpita,palpiter,19
",",",",p
ses,son,73
pieds,pied,21
se,se,51
clouèrent,clouer,19
sur,sur,81
le,le,71
carreau,carreau,21
/.,/.,P
sa,son,73
chère,cher,30
Annette,Annette,20
",",",",p
il,il,51
aime,aimer,17
",",",",p
il,il,51
est,être,17
aimé,aimer,12
/!,/!,P
plus,plus,60
d',de,81
espoir,espoir,21
/!,/!,P
que,que,52
lui,lui,51
dit,dire,19
il,il,51
/?,/?,P
ces,ce,74
idées,idée,22
lui,lui,51
traversèrent,traverser,19
la,le,71
tête,tête,22
et,et,82
le,le,71
coeur,coeur,21
/.,/.,P
elle,il,51
lisait,lire,18
ces,ce,74
mots,mot,21
partout,partout,60
",",",",p
même,même,60
sur,sur,81
les,le,71
carreaux,carreau,21
",",",",p
en,en,81
traits,trait,21
de,de,81
flammes,flamme,22
/.,/.,P
-,-,p
déjà,déjà,60
renoncer,renoncer,14
à,à,81
lui,lui,51
/!,/!,P
non,non,60
",",",",p
je,je,51
ne,ne,60
lirai,lire,15
pas,pas,60
cette,ce,74
lettre,lettre,22
/.,/.,P
je,je,51
dois,devoir,17
m',je,51
en,en,52
aller,aller,14
/.,/.,P
si,si,83
je,je,51
la,le,52
lisais,lire,18
",",",",p
cependant,cependant,82
/?,/?,P
elle,il,51
regarda,regarder,19
Charles,Charles,20
",",",",p
lui,lui,51
prit,prendre,19
doucement,doucement,60
la,le,71
tête,tête,22
",",",",p
la,le,52
posa,poser,19
sur,sur,81
le,le,71
dos,dos,21
du,de,81
du,le,71
fauteuil,fauteuil,21
",",",",p
et,et,82
il,il,51
se,se,51
laissa,laisser,19
faire,faire,14
comme,comme,83
un,un,71
enfant,enfant,21
qui,qui,52
",",",",p
même,même,60
en,en,81
dormant,dormir,13
",",",",p
connaît,connaître,17
encore,encore,60
sa,son,73
mère,mère,22
et,et,82
reçoit,recevoir,17
",",",",p
sans,sans,81
s',se,51
éveiller,éveiller,14
",",",",p
ses,son,73
soins,soin,21
et,et,82
ses,son,73
baisers,baiser,21
/.,/.,P
comme,comme,83
une,un,71
mère,mère,22
",",",",p
Eugénie,Eugénie,20
releva,relever,19
la,le,71
main,main,22
pendante,pendant,30
",",",",p
et,et,82
",",",",p
comme,comme,83
une,un,71
mère,mère,22
",",",",p
elle,il,51
baisa,baiser,19
doucement,doucement,60
les,le,71
cheveux,cheveu,21
/.,/.,P
chère,cher,30
Annette,Annette,20
/!,/!,P
un,un,71
démon,démon,21
lui,lui,51
criait,crier,18
ces,ce,74
deux,deux,72
mots,mot,21
aux,à,81
aux,le,71
oreilles,oreille,22
/.,/.,P
-,-,p
je,je,51
sais,savoir,17
que,que,83
je,je,51
fais,faire,17
peut-être,peut-être,60
mal,mal,60
",",",",p
mais,mais,82
je,je,51
lirai,lire,15
la,le,71
lettre,lettre,22
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
Eugénie,Eugénie,20
détourna,détourner,19
la,le,71
tête,tête,22
",",",",p
car,car,82
sa,son,73
noble,noble,30
probité,probité,22
gronda,gronder,19
/.,/.,P
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
de,de,81
sa,son,73
vie,vie,22
",",",",p
le,le,71
bien,bien,21
et,et,82
le,le,71
mal,mal,21
étaient,être,18
en,en,81
présence,présence,22
dans,dans,81
son,son,73
coeur,coeur,21
/.,/.,P
jusque-là,jusque-là,81
elle,il,51
n',ne,60
avait,avoir,18
eu,avoir,12
à,à,81
rougir,rougir,14
d',de,81
aucune,aucun,75
action,action,22
/.,/.,P
la,le,71
passion,passion,22
",",",",p
la,le,71
curiosité,curiosité,22
l',le,52
emportèrent,emporter,19
/.,/.,P
à,à,81
chaque,chaque,75
phrase,phrase,22
",",",",p
son,son,73
coeur,coeur,21
se,se,51
gonfla,gonfler,19
davantage,davantage,60
",",",",p
et,et,82
l',le,71
ardeur,ardeur,22
piquante,piquant,30
qui,qui,52
anima,animer,19
sa,son,73
vie,vie,22
pendant,pendant,81
cette,ce,74
lecture,lecture,22
lui,lui,51
rendit,rendre,19
encore,encore,60
plus,plus,60
friands,friand,30
les,le,71
plaisirs,plaisir,21
du,de,81
du,le,71
premier,premier,72
amour,amour,21
/.,/.,P
“,“,p
ma,mon,73
chère,cher,30
Annette,Annette,20
",",",",p
rien,rien,52
ne,ne,60
devait,devoir,18
nous,nous,51
séparer,séparer,14
",",",",p
si,si,83
ce,ce,52
n',ne,60
est,être,17
le,le,71
malheur,malheur,21
qui,qui,52
m',je,51
accable,accabler,17
et,et,82
qu',que,52
aucune,aucun,75
prudence,prudence,22
humaine,humain,30
n',ne,60
aurait,avoir,16
su,savoir,12
prévoir,prévoir,14
/.,/.,P
mon,mon,73
père,père,21
s',se,51
est,être,17
tué,tuer,12
",",",",p
sa,son,73
fortune,fortune,22
et,et,82
la,le,71
mienne,mien,52
sont,être,17
entièrement,entièrement,60
perdues,perdre,12
/.,/.,P
je,je,51
suis,être,17
orphelin,orphelin,30
à,à,81
un,un,71
âge,âge,21
où,où,60
",",",",p
par,par,81
la,le,71
nature,nature,22
de,de,81
mon,mon,73
éducation,éducation,22
",",",",p
je,je,51
puis,pouvoir,17
passer,passer,14
pour,pour,81
un,un,71
enfant,enfant,21
;,;,p
et,et,82
je,je,51
dois,devoir,17
néanmoins,néanmoins,60
me,je,51
relever,relever,14
homme,homme,21
de,de,81
l',le,71
abîme,abîme,21
où,où,60
je,je,51
suis,être,17
tombé,tomber,12
/.,/.,P
je,je,51
viens,venir,17
d',de,81
employer,employer,14
une,un,71
partie,partie,22
de,de,81
cette,ce,74
nuit,nuit,22
à,à,81
faire,faire,14
mes,mon,73
calculs,calcul,21
/.,/.,P
si,si,83
je,je,51
veux,vouloir,17
quitter,quitter,14
la,le,71
France,France,20
