11727
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-quatrième extrait>,<>,<>
feuille,feuille,22
de,de,81
papier,papier,21
timbré,timbré,31
et,et,82
se,se,51
mit,mettre,19
à,à,81
écrire,écrire,14
/.,/.,P
ces,ce,74
classes,classe,22
de,de,81
femmes,femme,22
sont,être,17
entièrement,entièrement,60
remises,remettre,12
par,par,81
nos,notre,73
lois,loi,22
à,à,81
la,le,71
discrétion,discrétion,22
de,de,81
la,le,71
police,police,22
/.,/.,P
elle,il,51
en,en,52
fait,faire,17
ce,ce,52
qu',que,52
elle,il,51
veut,vouloir,17
",",",",p
les,le,52
punit,punir,17
comme,comme,83
bon,bon,60
lui,lui,51
semble,sembler,17
",",",",p
et,et,82
confisque,confisquer,17
à,à,81
son,son,73
gré,gré,21
ces,ce,74
deux,deux,72
tristes,triste,30
choses,chose,22
qu',que,52
elles,ils,51
appellent,appeler,17
leur,leur,73
industrie,industrie,22
et,et,82
leur,leur,73
liberté,liberté,22
/.,/.,P
Javert,Javert,20
était,être,18
impassible,impassible,30
;,;,p
son,son,73
visage,visage,21
sérieux,sérieux,30
ne,ne,60
trahissait,trahir,18
aucune,aucun,75
émotion,émotion,22
/.,/.,P
pourtant,pourtant,60
il,il,51
était,être,18
gravement,gravement,60
et,et,82
profondément,profondément,60
préoccupé,préoccuper,12
/.,/.,P
c',ce,52
était,être,18
un,un,52
de,de,81
ces,ce,74
moments,moment,21
où,où,60
il,il,51
exerçait,exercer,18
sans,sans,81
contrôle,contrôle,21
",",",",p
mais,mais,82
avec,avec,81
tous,tout,75
les,le,71
scrupules,scrupule,21
d',de,81
une,un,71
conscience,conscience,22
sévère,sévère,30
",",",",p
son,son,73
redoutable,redoutable,30
pouvoir,pouvoir,21
discrétionnaire,discrétionnaire,30
/.,/.,P
en,en,81
cet,ce,74
instant,instant,21
",",",",p
il,il,51
le,le,52
sentait,sentir,18
",",",",p
son,son,73
escabeau,escabeau,21
d',de,81
agent,agent,21
de,de,81
police,police,22
était,être,18
un,un,71
tribunal,tribunal,21
/.,/.,P
il,il,51
jugeait,juger,18
/.,/.,P
il,il,51
jugeait,juger,18
",",",",p
et,et,82
il,il,51
condamnait,condamner,18
/.,/.,P
il,il,51
appelait,appeler,18
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
pouvait,pouvoir,18
avoir,avoir,14
d',de,81
idées,idée,22
dans,dans,81
l',le,71
esprit,esprit,21
autour,autour,60
de,de,81
la,le,71
grande,grand,30
chose,chose,22
qu',que,52
il,il,51
faisait,faire,18
/.,/.,P
plus,plus,60
il,il,51
examinait,examiner,18
le,le,71
fait,fait,21
de,de,81
cette,ce,74
fille,fille,22
",",",",p
plus,plus,60
il,il,51
se,se,51
sentait,sentir,18
révolté,révolté,31
/.,/.,P
il,il,51
était,être,18
évident,évident,30
qu',que,83
il,il,51
venait,venir,18
de,de,81
voir,voir,14
commettre,commettre,14
un,un,71
crime,crime,21
/.,/.,P
il,il,51
venait,venir,18
de,de,81
voir,voir,14
",",",",p
là,là,60
dans,dans,81
la,le,71
rue,rue,22
",",",",p
la,le,71
société,société,22
",",",",p
représentée,représenté,31
par,par,81
un,un,71
propriétaire,propriétaire,21
électeur,électeur,21
",",",",p
insultée,insulté,31
et,et,82
attaquée,attaqué,31
par,par,81
une,un,71
créature,créature,22
en,en,81
dehors,dehors,21
de,de,81
tout,tout,52
/.,/.,P
une,un,71
prostituée,prostituée,22
avait,avoir,18
attenté,attenter,12
à,à,81
un,un,71
bourgeois,bourgeois,21
/.,/.,P
il,il,51
avait,avoir,18
vu,voir,12
cela,cela,52
",",",",p
lui,lui,51
Javert,Javert,20
/.,/.,P
il,il,51
écrivait,écrire,18
en,en,81
silence,silence,21
/.,/.,P
quand,quand,83
il,il,51
eut,avoir,19
fini,finir,12
",",",",p
il,il,51
signa,signer,19
",",",",p
plia,plier,19
le,le,71
papier,papier,21
et,et,82
dit,dire,19
au,à,81
au,le,71
sergent,sergent,21
du,de,81
du,le,71
poste,poste,21
",",",",p
en,en,81
le,le,71
lui,lui,51
remettant,remettre,13
:,:,p
-,-,p
prenez,prendre,17
trois,trois,72
hommes,homme,21
",",",",p
et,et,82
menez,mener,17
cette,ce,74
fille,fille,22
au,à,81
au,le,71
bloc,bloc,21
/.,/.,P
puis,puis,60
se,se,51
tournant,tourner,13
vers,vers,81
la,le,71
Fantine,Fantine,20
:,:,p
-,-,p
tu,tu,51
en,en,52
as,avoir,17
pour,pour,81
six,six,72
mois,mois,21
/.,/.,P
la,le,71
malheureuse,malheureux,30
tressaillit,tressaillir,19
/.,/.,P
-,-,p
six,six,72
mois,mois,21
!,!,p
six,six,72
mois,mois,21
de,de,81
prison,prison,22
/!,/!,P
six,six,72
mois,mois,21
à,à,81
gagner,gagner,14
sept,sept,72
sous,sou,21
par,par,81
jour,jour,21
/!,/!,P
mais,mais,82
que,que,52
deviendra,devenir,15
Cosette,Cosette,20
?,?,p
ma,mon,73
fille,fille,22
!,!,p
ma,mon,73
fille,fille,22
/!,/!,P
mais,mais,82
je,je,51
dois,devoir,17
encore,encore,60
plus,plus,60
de,de,81
cent,cent,72
francs,franc,21
aux,à,81
aux,le,71
Thénardier,Thénardier,20
",",",",p
monsieur,monsieur,21
l',le,71
inspecteur,inspecteur,21
",",",",p
savez,savoir,17
vous,vous,51
cela,cela,52
/?,/?,P
elle,il,51
se,se,51
traîna,traîner,19
sur,sur,81
la,le,71
dalle,dalle,22
mouillée,mouillé,31
par,par,81
les,le,71
bottes,botte,22
boueuses,boueux,30
de,de,81
tous,tout,75
ces,ce,74
hommes,homme,21
",",",",p
sans,sans,81
se,se,51
lever,lever,14
",",",",p
joignant,joindre,13
les,le,71
mains,main,22
",",",",p
faisant,faire,13
de,de,81
grands,grand,30
pas,pas,21
avec,avec,81
ses,son,73
genoux,genou,21
/.,/.,P
-,-,p
monsieur,monsieur,21
Javert,Javert,20
",",",",p
dit,dire,19
elle,il,51
",",",",p
je,je,51
vous,vous,51
demande,demander,17
grâce,grâce,22
/.,/.,P
je,je,51
vous,vous,51
assure,assurer,17
que,que,83
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
eu,avoir,12
tort,tort,21
/.,/.,P
si,si,83
vous,vous,51
aviez,avoir,18
vu,voir,12
le,le,71
commencement,commencement,21
",",",",p
vous,vous,51
auriez,avoir,16
vu,voir,12
!,!,p
je,je,51
vous,vous,51
jure,jurer,17
le,le,71
bon,bon,30
dieu,dieu,21
que,que,52
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
eu,avoir,12
tort,tort,21
/.,/.,P
c',ce,52
est,être,17
ce,ce,74
monsieur,monsieur,21
le,le,71
bourgeois,bourgeois,21
que,que,83
je,je,51
ne,ne,60
connais,connaître,17
pas,pas,60
qui,qui,52
m',je,51
a,avoir,17
mis,mettre,12
de,de,81
la,le,71
neige,neige,22
dans,dans,81
le,le,71
dos,dos,21
/.,/.,P
est,être,17
ce,ce,52
qu',que,83
on,on,51
a,avoir,17
le,le,71
droit,droit,21
de,de,81
nous,nous,51
mettre,mettre,14
de,de,81
la,le,71
neige,neige,22
dans,dans,81
le,le,71
dos,dos,21
quand,quand,83
nous,nous,51
passons,passer,17
comme,comme,83
cela,cela,52
tranquillement,tranquillement,60
sans,sans,81
faire,faire,14
de,de,81
mal,mal,21
à,à,81
personne,personne,52
/?,/?,P
cela,cela,52
m',je,51
a,avoir,17
saisie,saisir,12
/.,/.,P
je,je,51
suis,être,17
un,un,71
peu,peu,60
malade,malade,30
",",",",p
voyez,voir,17
vous,vous,51
/!,/!,P
et,et,82
puis,puis,60
il,il,51
y,y,52
avait,avoir,18
déjà,déjà,60
un,un,71
peu,peu,60
de,de,81
temps,temps,21
qu',que,52
il,il,51
me,je,51
disait,dire,18
des,de,81
des,le,71
raisons,raison,22
/.,/.,P
tu,tu,51
es,être,17
laide,laid,30
!,!,p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
de,de,81
dents,dent,22
/!,/!,P
je,je,51
le,le,52
sais,savoir,17
bien,bien,60
que,que,83
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
mes,mon,73
dents,dent,22
/.,/.,P
je,je,51
ne,ne,60
faisais,faire,18
rien,rien,52
",",",",p
moi,moi,51
;,;,p
je,je,51
disais,dire,18
:,:,p
c',ce,52
est,être,17
un,un,71
monsieur,monsieur,21
qui,qui,52
s',se,51
amuse,amuser,17
/.,/.,P
j',je,51
étais,être,18
honnête,honnête,30
avec,avec,81
lui,lui,51
",",",",p
je,je,51
ne,ne,60
lui,lui,51
parlais,parler,18
pas,pas,60
/.,/.,P
c',ce,52
est,être,17
à,à,81
cet,ce,74
instant,instant,21
là,là,60
qu',que,83
il,il,51
m',je,51
a,avoir,17
mis,mettre,12
de,de,81
la,le,71
neige,neige,22
/.,/.,P
monsieur,monsieur,21
Javert,Javert,20
",",",",p
mon,mon,73
bon,bon,30
monsieur,monsieur,21
l',le,71
inspecteur,inspecteur,21
!,!,p
est,être,17
ce,ce,52
qu',que,83
il,il,51
n',ne,60
y,y,52
a,avoir,17
personne,personne,52
là,là,60
qui,qui,52
ait,avoir,17
vu,voir,12
pour,pour,81
vous,vous,51
dire,dire,14
que,que,83
c',ce,52
est,être,17
bien,bien,60
vrai,vrai,30
/?,/?,P
j',je,51
ai,avoir,17
peut-être,peut-être,60
eu,avoir,12
tort,tort,21
de,de,81
me,je,51
fâcher,fâcher,14
/.,/.,P
vous,vous,51
savez,savoir,17
",",",",p
dans,dans,81
le,le,71
premier,premier,72
moment,moment,21
",",",",p
on,on,51
n',ne,60
est,être,17
pas,pas,60
maître,maître,21
/.,/.,P
on,on,51
a,avoir,17
des,de,81
des,le,71
vivacités,vivacité,22
/.,/.,P
et,et,82
puis,puis,60
",",",",p
quelque,quelque,75
chose,chose,22
de,de,81
si,si,60
froid,froid,30
qu',que,83
on,on,51
vous,vous,51
met,mettre,17
dans,dans,81
le,le,71
dos,dos,21
à,à,81
l',le,71
heure,heure,22
que,que,83
vous,vous,51
ne,ne,60
vous,vous,51
y,y,52
attendez,attendre,17
pas,pas,60
/!,/!,P
j',je,51
ai,avoir,17
eu,avoir,12
tort,tort,21
d',de,81
abîmer,abîmer,14
le,le,71
chapeau,chapeau,21
de,de,81
ce,ce,74
monsieur,monsieur,21
/.,/.,P
pourquoi,pourquoi,60
s',se,51
est,être,17
il,il,51
en,en,81
allé,allé,31
/?,/?,P
je,je,51
lui,lui,51
demanderais,demander,16
pardon,pardon,21
/.,/.,P
oh,oh,93
!,!,p
mon,mon,73
dieu,dieu,21
",",",",p
cela,cela,52
me,je,51
serait,être,16
bien,bien,60
égal,égal,30
de,de,81
lui,lui,51
demander,demander,14
pardon,pardon,21
/.,/.,P
faites,faire,17
moi,moi,51
grâce,grâce,22
pour,pour,81
aujourd'hui,aujourd'hui,60
cette,ce,74
fois,fois,22
",",",",p
monsieur,monsieur,21
Javert,Javert,20
/.,/.,P
tenez,tenir,17
",",",",p
vous,vous,51
ne,ne,60
savez,savoir,17
pas,pas,60
ça,ça,52
",",",",p
dans,dans,81
les,le,71
prisons,prison,22
on,on,51
ne,ne,60
gagne,gagner,17
que,que,83
sept,sept,72
sous,sou,21
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
la,le,71
faute,faute,22
du,de,81
du,le,71
gouvernement,gouvernement,21
",",",",p
mais,mais,82
on,on,51
gagne,gagner,17
sept,sept,72
sous,sou,21
",",",",p
et,et,82
figurez,figurer,17
vous,vous,51
que,que,83
j',je,51
ai,avoir,17
cent,cent,72
francs,franc,21
à,à,81
payer,payer,14
",",",",p
ou,ou,82
autrement,autrement,60
on,on,51
me,je,51
renverra,renvoyer,15
ma,mon,73
petite,petite,22
/.,/.,P
o,oh,93
mon,mon,73
dieu,dieu,21
!,!,p
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
l',le,52
avoir,avoir,14
avec,avec,81
moi,moi,51
/.,/.,P
c',ce,52
est,être,17
si,si,60
vilain,vilain,30
ce,ce,52
que,que,52
je,je,51
fais,faire,17
/!,/!,P
o,oh,93
ma,mon,73
Cosette,Cosette,20
",",",",p
ô,oh,93
mon,mon,73
petit,petit,30
ange,ange,21
de,de,81
la,le,71
bonne,bon,30
sainte,saint,30
Vierge,Vierge,20
",",",",p
qu',que,52
est,être,17
ce,ce,52
qu',que,52
elle,il,51
deviendra,devenir,15
",",",",p
pauvre,pauvre,30
loup,loup,21
/!,/!,P
je,je,51
vais,aller,17
vous,vous,51
dire,dire,14
",",",",p
c',ce,52
est,être,17
les,le,71
Thénardier,Thénardier,20
",",",",p
des,de,81
des,le,71
aubergistes,aubergiste,21
",",",",p
des,de,81
des,le,71
paysans,paysan,21
",",",",p
ça,ça,52
n',ne,60
a,avoir,17
pas,pas,60
de,de,81
raisonnement,raisonnement,21
/.,/.,P
il,il,51
leur,leur,52
faut,falloir,17
de,de,81
l',le,71
argent,argent,21
/.,/.,P
ne,ne,60
me,je,51
mettez,mettre,17
pas,pas,60
en,en,81
prison,prison,22
/!,/!,P
voyez,voir,17
vous,vous,51
",",",",p
c',ce,52
est,être,17
une,un,71
petite,petite,22
qu',que,83
on,on,51
mettrait,mettre,16
à,à,81
même,même,60
sur,sur,81
la,le,71
grande,grand,30
route,route,22
",",",",p
va,aller,17
comme,comme,83
tu,tu,51
pourras,pouvoir,15
",",",",p
en,en,81
plein,plein,30
coeur,coeur,21
d',de,81
hiver,hiver,21
",",",",p
il,il,51
faut,falloir,17
avoir,avoir,14
pitié,pitié,22
de,de,81
cette,ce,74
chose,chose,22
là,là,60
",",",",p
mon,mon,73
bon,bon,30
monsieur,monsieur,21
Javert,Javert,20
/.,/.,P
si,si,83
c',ce,52
était,être,18
plus,plus,60
grand,grand,30
",",",",p
ça,ça,52
gagnerait,gagner,16
sa,son,73
vie,vie,22
",",",",p
mais,mais,82
ça,ça,52
ne,ne,60
peut,pouvoir,17
pas,pas,60
",",",",p
à,à,81
ces,ce,74
âges,âge,21
là,là,60
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
une,un,71
mauvaise,mauvais,30
femme,femme,22
au,à,81
au,le,71
fond,fond,21
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
la,le,71
lâcheté,lâcheté,22
et,et,82
la,le,71
gourmandise,gourmandise,22
qui,qui,52
ont,avoir,17
fait,faire,12
de,de,81
moi,moi,51
ça,ça,52
/.,/.,P
j',je,51
ai,avoir,17
bu,boire,12
de,de,81
l',le,71
eau-de-vie,eau-de-vie,22
",",",",p
c',ce,52
est,être,17
par,par,81
misère,misère,22
/.,/.,P
je,je,51
ne,ne,60
l',le,52
aime,aimer,17
pas,pas,60
",",",",p
mais,mais,82
cela,cela,52
étourdit,étourdir,17
/.,/.,P
quand,quand,83
j',je,51
étais,être,18
plus,plus,60
heureuse,heureux,30
",",",",p
on,on,51
n',ne,60
aurait,avoir,16
eu,avoir,12
qu',que,83
à,à,81
regarder,regarder,14
dans,dans,81
mes,mon,73
armoires,armoire,22
",",",",p
on,on,51
aurait,avoir,16
bien,bien,60
vu,voir,12
que,que,83
je,je,51
n',ne,60
étais,être,18
pas,pas,60
une,un,71
femme,femme,22
coquette,coquet,30
qui,qui,52
a,avoir,17
du,de,81
du,le,71
désordre,désordre,21
/.,/.,P
j',je,51
avais,avoir,18
du,de,81
du,le,71
linge,linge,21
",",",",p
beaucoup,beaucoup,60
de,de,81
linge,linge,21
/.,/.,P
ayez,avoir,17
pitié,pitié,22
de,de,81
moi,moi,51
",",",",p
monsieur,monsieur,21
Javert,Javert,20
/!,/!,P
elle,il,51
parlait,parler,18
ainsi,ainsi,60
",",",",p
brisée,brisée,22
en,en,81
deux,deux,72
",",",",p
secouée,secoué,31
par,par,81
les,le,71
sanglots,sanglot,21
",",",",p
aveuglée,aveuglé,31
par,par,81
les,le,71
larmes,larme,22
",",",",p
la,le,71
gorge,gorge,22
nue,nu,30
",",",",p
se,se,51
tordant,tordre,13
les,le,71
mains,main,22
",",",",p
toussant,tousser,13
d',de,81
une,un,71
toux,toux,22
sèche,sec,30
et,et,82
courte,court,30
",",",",p
balbutiant,balbutiant,30
tout,tout,60
doucement,doucement,60
avec,avec,81
la,le,71
voix,voix,22
de,de,81
l',le,71
agonie,agonie,22
/.,/.,P
la,le,71
grande,grand,30
douleur,douleur,22
est,être,17
un,un,71
rayon,rayon,21
divin,divin,30
et,et,82
terrible,terrible,30
qui,qui,52
transfigure,transfigurer,17
les,le,71
misérables,misérable,30
/.,/.,P
à,à,81
ce,ce,74
moment,moment,21
là,là,60
",",",",p
la,le,71
Fantine,Fantine,20
était,être,18
redevenue,redevenir,12
belle,beau,30
/.,/.,P
à,à,81
de,de,81
certains,certain,75
instants,instant,21
",",",",p
elle,il,51
s',se,51
arrêtait,arrêter,18
et,et,82
baisait,baiser,18
tendrement,tendrement,60
le,le,71
bas,bas,30
de,de,81
la,le,71
redingote,redingote,22
du,de,81
du,le,71
mouchard,mouchard,21
/.,/.,P
elle,il,51
eût,avoir,19
attendri,attendrir,12
un,un,71
coeur,coeur,21
de,de,81
granit,granit,21
",",",",p
mais,mais,82
on,on,51
n',ne,60
attendrit,attendrir,17
pas,pas,60
un,un,71
coeur,coeur,21
de,de,81
bois,bois,21
/.,/.,P
-,-,p
allons,aller,17
!,!,p
dit,dire,19
Javert,Javert,20
",",",",p
je,je,51
t',tu,51
ai,avoir,17
écoutée,écouter,12
/.,/.,P
as,avoir,17
tu,tu,51
bien,bien,60
tout,tout,52
dit,dire,12
/?,/?,P
marche,marcher,17
à,à,81
présent,présent,21
/!,/!,P
tu,tu,51
as,avoir,17
tes,ton,73
six,six,72
mois,mois,21
;,;,p
le,le,71
père,père,21
éternel,éternel,30
en,en,81
personne,personne,22
n',ne,60
y,y,52
pourrait,pouvoir,16
plus,plus,60
rien,rien,52
/.,/.,P
à,à,81
cette,ce,74
solennelle,solennel,30
parole,parole,22
",",",",p
le,le,71
père,père,21
éternel,éternel,30
en,en,81
personne,personne,22
n',ne,60
y,y,52
pourrait,pouvoir,16
plus,plus,60
rien,rien,52
",",",",p
elle,il,51
comprit,comprendre,19
que,que,83
l',le,71
arrêt,arrêt,21
était,être,18
prononcé,prononcer,12
/.,/.,P
elle,il,51
s',se,51
affaissa,affaisser,19
sur,sur,81
elle-même,lui-même,51
en,en,81
murmurant,murmurer,13
:,:,p
-,-,p
grâce,grâce,22
/!,/!,P
Javert,Javert,20
tourna,tourner,19
le,le,71
dos,dos,21
/.,/.,P
les,le,71
soldats,soldat,21
la,le,52
saisirent,saisir,19
par,par,81
les,le,71
bras,bras,21
/.,/.,P
depuis,depuis,81
quelques,quelque,75
minutes,minute,22
",",",",p
un,un,71
homme,homme,21
était,être,18
entré,entrer,12
sans,sans,81
qu',que,83
on,on,51
eût,avoir,19
pris,prendre,12
garde,garde,22
à,à,81
lui,lui,51
/.,/.,P
il,il,51
avait,avoir,18
refermé,refermer,12
la,le,71
porte,porte,22
",",",",p
s',se,51
y,y,52
était,être,18
adossé,adosser,12
",",",",p
et,et,82
avait,avoir,18
entendu,entendre,12
les,le,71
prières,prière,22
désespérées,désespéré,31
de,de,81
la,le,71
Fantine,Fantine,20
/.,/.,P
au,à,81
au,le,71
moment,moment,21
où,où,60
les,le,71
soldats,soldat,21
mirent,mettre,19
la,le,71
main,main,22
sur,sur,81
la,le,71
malheureuse,malheureux,30
",",",",p
qui,qui,52
ne,ne,60
voulait,vouloir,18
pas,pas,60
se,se,51
lever,lever,14
",",",",p
il,il,51
fit,faire,19
un,un,71
pas,pas,21
",",",",p
sortit,sortir,19
de,de,81
l',le,71
ombre,ombre,22
",",",",p
et,et,82
dit,dire,19
:,:,p
-,-,p
un,un,71
instant,instant,21
",",",",p
s',si,83
il,il,51
vous,vous,51
plaît,plaire,17
/!,/!,P
Javert,Javert,20
leva,lever,19
les,le,71
yeux,oeil,21
et,et,82
reconnut,reconnaître,19
monsieur,monsieur,21
Madeleine,Madeleine,20
/.,/.,P
il,il,51
ôta,ôter,19
son,son,73
chapeau,chapeau,21
",",",",p
et,et,82
saluant,saluer,13
avec,avec,81
une,un,71
sorte,sorte,22
de,de,81
gaucherie,gaucherie,22
fâchée,fâché,31
:,:,p
-,-,p
pardon,pardon,21
",",",",p
monsieur,monsieur,21
le,le,71
maire,maire,21
/…,/…,P
ce,ce,74
mot,mot,21
",",",",p
monsieur,monsieur,21
le,le,71
maire,maire,21
",",",",p
fit,faire,19
sur,sur,81
la,le,71
Fantine,Fantine,20
un,un,71
effet,effet,21
étrange,étrange,30
/.,/.,P
elle,il,51
se,se,51
dressa,dresser,19
debout,debout,60
tout,tout,60
d',de,81
une,un,71
pièce,pièce,22
comme,comme,83
un,un,71
spectre,spectre,21
qui,qui,52
sort,sortir,17
de,de,81
terre,terre,22
",",",",p
repoussa,repousser,19
les,le,71
soldats,soldat,21
des,de,81
des,le,71
deux,deux,72
bras,bras,21
",",",",p
marcha,marcher,19
droit,droit,60
à,à,81
monsieur,monsieur,21
Madeleine,Madeleine,20
avant,avant,81
qu',que,83
on,on,51
eût,avoir,19
pu,pouvoir,12
la,le,52
retenir,retenir,14
",",",",p
et,et,82
le,le,71
regardant,regardant,30
fixement,fixement,60
",",",",p
l',le,71
air,air,21
égaré,égaré,31
",",",",p
elle,il,51
cria,crier,19
:,:,p
-,-,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
donc,donc,82
toi,toi,51
qui,qui,52
es,être,17
monsieur,monsieur,21
le,le,71
maire,maire,21
/!,/!,P
puis,puis,60
elle,il,51
éclata,éclater,19
de,de,81
rire,rire,21
et,et,82
lui,lui,51
cracha,cracher,19
au,à,81
au,le,71
visage,visage,21
/.,/.,P
monsieur,monsieur,21
Madeleine,Madeleine,20
s',se,51
essuya,essuyer,19
le,le,71
visage,visage,21
",",",",p
et,et,82
dit,dire,19
:,:,p
-,-,p
inspecteur,inspecteur,21
Javert,Javert,20
",",",",p
mettez,mettre,17
cette,ce,74
femme,femme,22
en,en,81
liberté,liberté,22
/.,/.,P
Javert,Javert,20
se,se,51
sentit,sentir,19
au,à,81
au,le,71
moment,moment,21
de,de,81
devenir,devenir,14
fou,fou,30
/.,/.,P
il,il,51
éprouvait,éprouver,18
en,en,81
cet,ce,74
instant,instant,21
",",",",p
coup,coup,21
sur,sur,81
coup,coup,21
",",",",p
et,et,82
presque,presque,60
mêlées,mêlé,31
ensemble,ensemble,60
",",",",p
les,le,71
plus,plus,60
violentes,violent,30
émotions,émotion,22
qu',que,52
il,il,51
eût,avoir,19
ressenties,ressentir,12
de,de,81
sa,son,73
vie,vie,22
/.,/.,P
voir,voir,14
une,un,71
fille,fille,22
publique,public,30
cracher,cracher,14
au,à,81
au,le,71
visage,visage,21
d',de,81
un,un,71
maire,maire,21
",",",",p
cela,cela,52
était,être,18
une,un,71
chose,chose,22
si,si,60
monstrueuse,monstrueux,30
que,que,83
",",",",p
dans,dans,81
ses,son,73
suppositions,supposition,22
les,le,71
plus,plus,60
effroyables,effroyable,30
",",",",p
il,il,51
eût,avoir,19
regardé,regarder,12
comme,comme,83
un,un,71
sacrilège,sacrilège,21
de,de,81
le,le,52
croire,croire,14
possible,possible,30
/.,/.,P
d',de,81
un,un,71
autre,autre,75
côté,côté,21
",",",",p
dans,dans,81
le,le,71
fond,fond,21
de,de,81
sa,son,73
pensée,pensée,22
",",",",p
il,il,51
faisait,faire,18
confusément,confusément,60
un,un,71
rapprochement,rapprochement,21
hideux,hideux,30
entre,entre,81
ce,ce,52
qu',que,52
était,être,18
cette,ce,74
femme,femme,22
et,et,82
ce,ce,52
que,que,52
pouvait,pouvoir,18
être,être,14
ce,ce,52
maire,maire,21
",",",",p
et,et,82
alors,alors,60
il,il,51
entrevoyait,entrevoir,18
avec,avec,81
horreur,horreur,22
je,je,51
ne,ne,60
sais,savoir,17
quoi,quoi,52
de,de,81
tout,tout,75
simple,simple,21
dans,dans,81
ce,ce,74
prodigieux,prodigieux,30
attentat,attentat,21
/.,/.,P
mais,mais,82
quand,quand,83
il,il,51
vit,voir,19
ce,ce,74
maire,maire,21
",",",",p
ce,ce,74
magistrat,magistrat,21
",",",",p
s',se,51
essuyer,essuyer,14
tranquillement,tranquillement,60
le,le,71
visage,visage,21
et,et,82
dire,dire,21
:,:,p
mettez,mettre,17
cette,ce,74
femme,femme,22
en,en,81
liberté,liberté,22
",",",",p
il,il,51
eut,avoir,19
comme,comme,83
un,un,71
éblouissement,éblouissement,21
de,de,81
stupeur,stupeur,22
;,;,p
la,le,71
pensée,pensée,22
et,et,82
la,le,71
parole,parole,22
lui,lui,51
manquèrent,manquer,19
également,également,60
;,;,p
la,le,71
somme,somme,22
de,de,81
l',le,71
étonnement,étonnement,21
possible,possible,30
était,être,18
dépassée,dépasser,12
pour,pour,81
lui,lui,51
/.,/.,P
il,il,51
resta,rester,19
muet,muet,30
/.,/.,P
ce,ce,74
mot,mot,21
n',ne,60
avait,avoir,18
pas,pas,60
porté,porter,12
un,un,71
coup,coup,21
moins,moins,60
étrange,étrange,30
à,à,81
la,le,71
Fantine,Fantine,20
/.,/.,P
elle,il,51
leva,lever,19
son,son,73
bras,bras,21
nu,nu,30
et,et,82
se,se,51
cramponna,cramponner,19
à,à,81
la,le,71
clef,clé,22
du,de,81
du,le,71
poêle,poêle,21
comme,comme,83
une,un,71
personne,personne,22
qui,qui,52
chancelle,chanceler,17
/.,/.,P
cependant,cependant,82
elle,il,51
regardait,regarder,18
tout,tout,60
autour,autour,60
d',de,81
elle,il,51
et,et,82
elle,il,51
se,se,51
mit,mettre,19
à,à,81
parler,parler,14
à,à,81
voix,voix,22
basse,bas,30
",",",",p
comme,comme,83
si,si,83
elle,il,51
se,se,51
parlait,parler,18
à,à,81
elle-même,lui-même,51
/.,/.,P
-,-,p
en,en,81
liberté,liberté,22
!,!,p
qu',que,52
on,on,51
me,je,51
laisse,laisser,17
aller,aller,14
!,!,p
que,que,52
je,je,51
n',ne,60
aille,aller,17
pas,pas,60
en,en,81
prison,prison,22
six,six,72
mois,mois,21
/!,/!,P
qui,qui,52
est,être,17
ce,ce,52
qui,qui,52
a,avoir,17
dit,dire,12
cela,cela,52
/?,/?,P
il,il,51
n',ne,60
est,être,17
pas,pas,60
possible,possible,30
qu',que,83
on,on,51
ait,avoir,17
dit,dire,12
cela,cela,52
/.,/.,P
j',je,51
ai,avoir,17
mal,mal,60
entendu,entendre,12
/.,/.,P
ça,ça,52
ne,ne,60
peut,pouvoir,17
pas,pas,60
être,être,14
ce,ce,52
monstre,monstre,30
de,de,81
maire,maire,21
/!,/!,P
est,être,17
ce,ce,52
que,que,83
c',ce,52
est,être,17
vous,vous,51
",",",",p
mon,mon,73
bon,bon,30
monsieur,monsieur,21
Javert,Javert,20
",",",",p
qui,qui,52
avez,avoir,17
dit,dire,12
qu',que,83
on,on,51
me,je,51
mette,mettre,17
en,en,81
liberté,liberté,22
/?,/?,P
oh,oh,93
!,!,p
voyez,voir,17
vous,vous,51
!,!,p
je,je,51
vais,aller,17
vous,vous,51
dire,dire,14
et,et,82
vous,vous,51
me,je,51
laisserez,laisser,15
aller,aller,14
/.,/.,P
ce,ce,74
monstre,monstre,21
de,de,81
maire,maire,21
",",",",p
ce,ce,74
vieux,vieux,30
gredin,gredin,21
de,de,81
maire,maire,21
",",",",p
c',ce,52
est,être,17
lui,lui,51
qui,qui,52
est,être,17
cause,cause,22
de,de,81
tout,tout,52
/.,/.,P
figurez,figurer,17
vous,vous,51
",",",",p
monsieur,monsieur,21
Javert,Javert,20
",",",",p
qu',que,83
il,il,51
m',je,51
a,avoir,17
chassée,chasser,12
!,!,p
à,à,81
cause,cause,22
