11881
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-quatrième extrait>,<>,<>
dépliait,déplier,18
",",",",p
étalait,étaler,18
la,le,71
reconnaissance,reconnaissance,22
du,de,81
du,le,71
comte,comte,21
:,:,p
“,“,p
c',ce,52
est,être,17
bien,bien,60
ça,ça,52
",",",",p
c',ce,52
est,être,17
le,le,71
papier,papier,21
que,que,52
monsieur,monsieur,21
Charles,Charles,20
m',je,51
a,avoir,17
signe,signe,21
/…,/…,P
j',je,51
étais,être,18
la,le,71
fille,fille,22
du,de,81
du,le,71
charretier,charretier,21
",",",",p
à,à,81
Cron,Cron,20
le,le,71
cocu,cocu,21
",",",",p
comme,comme,83
on,on,51
disait,dire,18
",",",",p
vous,vous,51
savez,savoir,17
bien,bien,60
",",",",p
madame,madame,22
!,!,p
/…,/…,P
et,et,82
alors,alors,60
",",",",p
monsieur,monsieur,21
Charles,Charles,20
était,être,18
toujours,toujours,60
pendu,pendre,12
à,à,81
mes,mon,73
jupes,jupe,22
",",",",p
à,à,81
me,je,51
demander,demander,14
des,de,81
des,le,71
saletés,saleté,22
/.,/.,P
moi,moi,51
",",",",p
ça,ça,52
m',je,51
ennuyait,ennuyer,18
/.,/.,P
quand,quand,83
on,on,51
est,être,17
jeune,jeune,30
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
on,on,51
ne,ne,60
sait,savoir,17
rien,rien,52
",",",",p
on,on,51
n',ne,60
est,être,17
pas,pas,60
gentille,gentil,30
pour,pour,81
les,le,71
vieux,vieux,21
/…,/…,P
et,et,82
alors,alors,60
",",",",p
monsieur,monsieur,21
Charles,Charles,20
m',je,51
a,avoir,17
signé,signer,12
le,le,71
papier,papier,21
",",",",p
un,un,71
soir,soir,21
qu',que,83
il,il,51
m',je,51
avait,avoir,18
emmenée,emmener,12
dans,dans,81
l',le,71
écurie,écurie,22
/…,/…,P
“,“,p
debout,debout,60
",",",",p
crucifiée,crucifié,31
",",",",p
la,le,71
comtesse,comtesse,22
la,le,52
laissait,laisser,18
dire,dire,14
",",",",p
lorsqu',lorsque,83
il,il,51
lui,lui,51
sembla,sembler,19
entendre,entendre,14
une,un,71
plainte,plainte,22
dans,dans,81
l',le,71
alcôve,alcôve,22
/.,/.,P
elle,il,51
eut,avoir,19
un,un,71
geste,geste,21
d',de,81
angoisse,angoisse,22
/.,/.,P
“,“,p
taisez,taire,17
vous,vous,51
/!,/!,P
mais,mais,82
Léonide,Léonide,20
était,être,18
lancée,lancer,12
",",",",p
voulait,vouloir,18
finir,finir,14
/.,/.,P
“,“,p
ce,ce,52
n',ne,60
est,être,17
guère,guère,60
honnête,honnête,30
tout,tout,60
de,de,81
même,même,60
",",",",p
lorsqu',lorsque,83
on,on,51
ne,ne,60
veut,vouloir,17
pas,pas,60
payer,payer,14
",",",",p
d',de,81
aller,aller,14
débaucher,débaucher,14
une,un,71
petite,petit,30
fille,fille,22
sage,sage,30
/…,/…,P
oui,oui,60
",",",",p
madame,madame,22
",",",",p
votre,votre,73
monsieur,monsieur,21
Charles,Charles,20
était,être,18
un,un,71
voleur,voleur,21
/.,/.,P
c',ce,52
est,être,17
ce,ce,52
qu',que,52
en,en,52
pensent,penser,17
toutes,tout,75
les,le,71
femmes,femme,22
à,à,81
qui,qui,52
je,je,51
raconte,raconter,17
ça,ça,52
/…,/…,P
et,et,82
je,je,51
vous,vous,51
réponds,répondre,17
que,que,83
ça,ça,52
valait,valoir,18
bien,bien,60
l',le,71
argent,argent,21
/.,/.,P
-,-,p
taisez,taire,17
vous,vous,51
!,!,p
taisez,taire,17
vous,vous,51
!,!,p
cria,crier,19
furieusement,furieusement,60
la,le,71
comtesse,comtesse,22
",",",",p
les,le,52
deux,deux,72
bras,bras,21
en,en,81
l',le,71
air,air,21
",",",",p
comme,comme,83
pour,pour,81
l',le,52
écraser,écraser,14
",",",",p
si,si,83
elle,il,51
continuait,continuer,18
/.,/.,P
Léonide,Léonide,20
eut,avoir,19
peur,peur,22
",",",",p
leva,lever,19
le,le,71
coude,coude,21
",",",",p
afin,afin,81
de,de,81
se,se,51
protéger,protéger,14
la,le,71
figure,figure,22
",",",",p
dans,dans,81
le,le,71
mouvement,mouvement,21
instinctif,instinctif,30
des,de,81
des,le,71
filles,fille,22
habituées,habitué,31
aux,à,81
aux,le,71
gifles,gifle,22
/.,/.,P
et,et,82
un,un,71
effrayant,effrayant,30
silence,silence,21
régna,régner,19
",",",",p
durant,durant,81
lequel,lequel,52
il,il,51
sembla,sembler,19
qu',que,83
une,un,71
nouvelle,nouveau,30
plainte,plainte,22
",",",",p
un,un,71
petit,petit,30
bruit,bruit,21
étouffé,étouffé,31
de,de,81
larmes,larme,22
venait,venir,18
de,de,81
l',le,71
alcôve,alcôve,22
/.,/.,P
“,“,p
enfin,enfin,60
",",",",p
que,que,52
voulez,vouloir,17
vous,vous,51
?,?,p
reprit,reprendre,19
la,le,71
comtesse,comtesse,22
",",",",p
tremblante,tremblant,30
",",",",p
baissant,baisser,13
la,le,71
voix,voix,22
/.,/.,P
ici,ici,60
",",",",p
Busch,Busch,20
intervint,intervenir,19
/.,/.,P
“,“,p
mais,mais,82
",",",",p
madame,madame,22
",",",",p
cette,ce,74
fille,fille,22
veut,vouloir,17
qu',que,83
on,on,51
la,le,52
paie,payer,17
/.,/.,P
et,et,82
elle,il,51
a,avoir,17
raison,raison,22
",",",",p
la,le,71
malheureuse,malheureux,30
",",",",p
de,de,81
dire,dire,14
que,que,83
monsieur,monsieur,21
le,le,71
comte,comte,21
de,de,81
Beauvilliers,Beauvilliers,20
a,avoir,17
fort,fort,60
mal,mal,60
agi,agir,12
avec,avec,81
elle,il,51
/.,/.,P
c',ce,52
est,être,17
de,de,81
l',le,71
escroquerie,escroquerie,22
",",",",p
simplement,simplement,60
/.,/.,P
-,-,p
jamais,jamais,60
je,je,51
ne,ne,60
paierai,payer,15
une,un,71
pareille,pareil,30
dette,dette,22
/.,/.,P
-,-,p
alors,alors,60
",",",",p
nous,nous,51
allons,aller,17
prendre,prendre,14
une,un,71
voiture,voiture,22
",",",",p
en,en,81
sortant,sortir,13
d',de,81
ici,ici,60
",",",",p
et,et,82
nous,nous,51
rendre,rendre,14
au,à,81
au,le,71
palais,palais,21
",",",",p
où,où,60
je,je,51
déposerai,déposer,15
la,le,71
plainte,plainte,22
que,que,52
j',je,51
ai,avoir,17
rédigée,rédiger,12
d',de,81
avance,avance,22
",",",",p
et,et,82
que,que,52
voici,voici,81
/…,/…,P
tous,tout,75
les,le,71
faits,fait,21
que,que,52
mademoiselle,mademoiselle,22
vient,venir,17
de,de,81
vous,vous,51
dire,dire,14
y,y,52
sont,être,17
relatés,relater,12
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
c',ce,52
est,être,17
un,un,71
abominable,abominable,30
chantage,chantage,21
",",",",p
vous,vous,51
ne,ne,60
ferez,faire,15
pas,pas,60
cela,cela,52
/.,/.,P
-,-,p
je,je,51
vous,vous,51
demande,demander,17
pardon,pardon,21
",",",",p
madame,madame,22
",",",",p
je,je,51
vais,aller,17
le,le,71
faire,faire,14
à,à,81
l',le,71
instant,instant,21
/.,/.,P
les,le,71
affaires,affaire,22
sont,être,17
les,le,71
affaires,affaire,22
/.,/.,P
“,“,p
une,un,71
fatigue,fatigue,22
immense,immense,30
",",",",p
un,un,71
suprême,suprême,30
découragement,découragement,21
envahit,envahir,19
la,le,71
comtesse,comtesse,22
/.,/.,P
le,le,71
dernier,dernier,30
orgueil,orgueil,21
qui,qui,52
la,le,52
tenait,tenir,18
debout,debout,60
",",",",p
venait,venir,18
de,de,81
se,se,51
briser,briser,14
;,;,p
et,et,82
toute,tout,75
sa,son,73
violence,violence,22
",",",",p
toute,tout,75
sa,son,73
force,force,22
tomba,tomber,19
/.,/.,P
elle,il,51
joignit,joindre,19
les,le,71
mains,main,22
",",",",p
elle,il,51
bégayait,bégayer,18
/.,/.,P
“,“,p
mais,mais,82
vous,vous,51
voyez,voir,17
où,où,60
nous,nous,51
en,en,52
sommes,être,17
/.,/.,P
regardez,regarder,17
donc,donc,82
cette,ce,74
chambre,chambre,22
/…,/…,P
nous,nous,51
n',ne,60
avons,avoir,17
plus,plus,60
rien,rien,52
",",",",p
demain,demain,60
peut-être,peut-être,60
il,il,51
ne,ne,60
nous,nous,51
restera,rester,15
pas,pas,60
de,de,81
quoi,quoi,52
manger,manger,14
/…,/…,P
où,où,60
voulez,vouloir,17
vous,vous,51
que,que,83
je,je,51
prenne,prendre,17
de,de,81
l',le,71
argent,argent,21
",",",",p
dix,dix,72
mille,mille,72
francs,franc,21
",",",",p
mon,mon,73
dieu,dieu,21
/!,/!,P
Busch,Busch,20
eut,avoir,19
un,un,71
sourire,sourire,21
d',de,81
homme,homme,21
accoutumé,accoutumé,31
à,à,81
pécher,pécher,14
dans,dans,81
ces,ce,74
ruines,ruine,22
/.,/.,P
“,“,p
oh,oh,93
!,!,p
les,le,71
dames,dame,22
comme,comme,83
vous,vous,51
ont,avoir,17
toujours,toujours,60
des,de,81
des,le,71
ressources,ressource,22
/.,/.,P
en,en,81
cherchant,chercher,13
bien,bien,60
",",",",p
on,on,51
trouve,trouver,17
/.,/.,P
“,“,p
depuis,depuis,81
un,un,71
moment,moment,21
",",",",p
il,il,51
guettait,guetter,18
sur,sur,81
la,le,71
cheminée,cheminée,22
un,un,71
vieux,vieux,30
coffret,coffret,21
à,à,81
bijoux,bijou,21
",",",",p
que,que,52
la,le,71
comtesse,comtesse,22
avait,avoir,18
laissé,laisser,12
là,là,60
",",",",p
le,le,71
matin,matin,21
",",",",p
en,en,81
achevant,achever,13
de,de,81
vider,vider,14
une,un,71
malle,malle,22
;,;,p
et,et,82
il,il,51
flairait,flairer,18
des,de,81
des,le,71
pierreries,pierrerie,22
",",",",p
avec,avec,81
la,le,71
certitude,certitude,22
de,de,81
l',le,71
instinct,instinct,21
/.,/.,P
son,son,73
regard,regard,21
brilla,briller,19
d',de,81
une,un,71
telle,tel,75
flamme,flamme,22
",",",",p
qu',que,83
elle,il,51
en,en,52
suivit,suivre,19
la,le,71
direction,direction,22
et,et,82
comprit,comprendre,19
/.,/.,P
“,“,p
non,non,60
",",",",p
non,non,60
!,!,p
cria,crier,19
t,t,94
elle,il,51
",",",",p
les,le,71
bijoux,bijou,21
",",",",p
jamais,jamais,60
/!,/!,P
et,et,82
elle,il,51
saisit,saisir,19
le,le,71
coffret,coffret,21
",",",",p
comme,comme,83
pour,pour,81
le,le,52
défendre,défendre,14
/.,/.,P
ces,ce,74
derniers,dernier,30
bijoux,bijou,21
depuis,depuis,81
si,si,60
longtemps,longtemps,60
dans,dans,81
la,le,71
famille,famille,22
",",",",p
ces,ce,74
quelques,quelque,75
bijoux,bijou,21
qu',que,52
elle,il,51
avait,avoir,18
gardés,garder,12
au,à,81
au,le,71
travers,travers,21
des,de,81
des,le,71
plus,plus,60
grandes,grand,30
gênes,gêne,22
",",",",p
comme,comme,83
l',le,71
unique,unique,30
dot,dot,22
de,de,81
sa,son,73
fille,fille,22
",",",",p
et,et,82
qui,qui,52
restaient,rester,18
à,à,81
cette,ce,74
heure,heure,22
sa,son,73
suprême,suprême,30
ressource,ressource,22
/!,/!,P
jamais,jamais,60
",",",",p
j',je,51
aimerais,aimer,16
mieux,mieux,60
donner,donner,14
de,de,81
ma,mon,73
chair,chair,22
/!,/!,P
mais,mais,82
",",",",p
à,à,81
cette,ce,74
minute,minute,22
",",",",p
il,il,51
y,y,52
eut,avoir,19
une,un,71
diversion,diversion,22
",",",",p
madame,madame,22
Caroline,Caroline,20
frappa,frapper,19
et,et,82
entra,entrer,19
/.,/.,P
elle,il,51
arrivait,arriver,18
bouleversée,bouleversé,31
",",",",p
elle,il,51
demeura,demeurer,19
saisie,saisi,31
de,de,81
la,le,71
scène,scène,22
au,à,81
au,le,71
milieu,milieu,21
de,de,81
laquelle,lequel,52
elle,il,51
tombait,tomber,18
/.,/.,P
d',de,81
un,un,71
mot,mot,21
",",",",p
elle,il,51
avait,avoir,18
prié,prier,12
la,le,71
comtesse,comtesse,22
de,de,81
ne,ne,60
point,point,60
se,se,51
déranger,déranger,14
;,;,p
et,et,82
elle,il,51
serait,être,16
partie,partir,12
",",",",p
sans,sans,81
un,un,71
geste,geste,21
suppliant,suppliant,30
de,de,81
celle-ci,celui-ci,52
",",",",p
qu',que,52
elle,il,51
crut,croire,19
comprendre,comprendre,14
/.,/.,P
immobile,immobile,30
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
pièce,pièce,22
",",",",p
elle,il,51
s',se,51
effaça,effacer,19
/.,/.,P
Busch,Busch,20
venait,venir,18
de,de,81
remettre,remettre,14
son,son,73
chapeau,chapeau,21
",",",",p
tandis que,tandis que,83
",",",",p
de,de,81
plus,plus,60
en,en,81
plus,plus,60
mal,mal,60
à,à,81
l',le,71
aise,aise,22
",",",",p
Léonide,Léonide,20
gagnait,gagner,18
la,le,71
porte,porte,22
/.,/.,P
“,“,p
alors,alors,60
",",",",p
madame,madame,22
",",",",p
il,il,51
ne,ne,60
nous,nous,51
reste,rester,17
donc,donc,82
qu',que,83
à,à,81
nous,nous,51
retirer,retirer,14
/…,/…,P
“,“,p
pourtant,pourtant,60
",",",",p
il,il,51
ne,ne,60
se,se,51
retirait,retirer,18
pas,pas,60
/.,/.,P
il,il,51
reprit,reprendre,19
toute,tout,75
l',le,71
histoire,histoire,22
",",",",p
en,en,81
termes,terme,21
plus,plus,60
honteux,honteux,30
",",",",p
comme,comme,83
s',si,83
il,il,51
avait,avoir,18
voulu,vouloir,12
humilier,humilier,14
encore,encore,60
la,le,71
comtesse,comtesse,22
devant,devant,81
la,le,71
nouvelle,nouveau,30
venue,venu,31
",",",",p
cette,ce,74
dame,dame,22
qu',que,52
il,il,51
affectait,affecter,18
de,de,81
ne,ne,60
pas,pas,60
reconnaître,reconnaître,14
",",",",p
selon,selon,81
son,son,73
habitude,habitude,22
",",",",p
quand,quand,83
il,il,51
était,être,18
en,en,81
affaire,affaire,22
/.,/.,P
“,“,p
adieu,adieu,21
",",",",p
madame,madame,22
",",",",p
nous,nous,51
allons,aller,17
de,de,81
ce,ce,74
pas,pas,21
au,à,81
au,le,71
parquet,parquet,21
/.,/.,P
le,le,71
récit,récit,21
détaillé,détaillé,31
sera,être,15
dans,dans,81
les,le,71
journaux,journal,21
",",",",p
avant,avant,81
trois,trois,72
jours,jour,21
/.,/.,P
c',ce,52
est,être,17
vous,vous,51
qui,qui,52
l',le,52
aurez,avoir,15
voulu,vouloir,12
/.,/.,P
“,“,p
dans,dans,81
les,le,71
journaux,journal,21
/!,/!,P
cet,ce,74
horrible,horrible,30
scandale,scandale,21
sur,sur,81
les,le,71
rai,rai,21
mêmes,même,30
de,de,81
sa,son,73
maison,maison,22
/!,/!,P
ce,ce,52
n',ne,60
était,être,18
donc,donc,82
pas,pas,60
assez,assez,60
de,de,81
voir,voir,14
tomber,tomber,14
en,en,81
poudre,poudre,22
l',le,71
antique,antique,30
fortune,fortune,22
",",",",p
il,il,51
fallait,falloir,18
que,que,83
tout,tout,52
croulât,crouler,18
dans,dans,81
la,le,71
boue,boue,22
/!,/!,P
ah,ah,93
!,!,p
que,que,52
l',le,71
honneur,honneur,21
du,de,81
du,le,71
nom,nom,21
au,à,81
au,le,71
moins,moins,60
fût,être,19
sauvé,sauver,12
/!,/!,P
et,et,82
",",",",p
d',de,81
un,un,71
mouvement,mouvement,21
machinal,machinal,30
",",",",p
elle,il,51
ouvrit,ouvrir,19
le,le,71
coffret,coffret,21
/.,/.,P
les,le,71
boucles,boucle,22
d',de,81
oreilles,oreille,22
",",",",p
le,le,71
bracelet,bracelet,21
",",",",p
trois,trois,72
bagues,bague,22
apparurent,apparaître,19
",",",",p
des,de,81
des,le,71
brillants,brillant,21
et,et,82
des,de,81
des,le,71
rubis,rubis,21
",",",",p
avec,avec,81
leurs,leur,73
montures,monture,22
anciennes,ancien,30
/.,/.,P
Busch,Busch,20
",",",",p
vivement,vivement,60
",",",",p
s',se,51
était,être,18
approché,approcher,12
/.,/.,P
ses,son,73
yeux,oeil,21
s',se,51
attendrissaient,attendrir,18
",",",",p
d',de,81
une,un,71
douceur,douceur,22
de,de,81
caresse,caresse,22
/.,/.,P
“,“,p
oh,oh,93
!,!,p
il,il,51
n',ne,60
y,y,52
en,en,52
a,avoir,17
pas,pas,60
pour,pour,81
dix,dix,72
mille,mille,72
francs,franc,21
/…,/…,P
permettez,permettre,17
que,que,83
je,je,51
voie,voir,17
/.,/.,P
“,“,p
déjà,déjà,60
",",",",p
un,un,52
à,à,81
un,un,52
",",",",p
il,il,51
prenait,prendre,18
les,le,71
bijoux,bijou,21
",",",",p
les,le,52
retournait,retourner,18
",",",",p
les,le,52
élevait,élever,18
en,en,81
l',le,71
air,air,21
",",",",p
de,de,81
ses,son,73
gros,gros,30
doigts,doigt,21
tremblants,tremblant,30
d',de,81
amoureux,amoureux,21
",",",",p
avec,avec,81
sa,son,73
passion,passion,22
sensuelle,sensuel,30
des,de,81
des,le,71
pierreries,pierrerie,22
/.,/.,P
la,le,71
pureté,pureté,22
des,de,81
des,le,71
rubis,rubis,21
surtout,surtout,60
semblait,sembler,18
le,le,52
jeter,jeter,14
dans,dans,81
une,un,71
extase,extase,22
/.,/.,P
et,et,82
ces,ce,74
brillants,brillant,21
anciens,ancien,30
",",",",p
si,si,83
la,le,71
taille,taille,22
en,en,52
est,être,17
parfois,parfois,60
maladroite,maladroit,30
",",",",p
quelle,quel,75
eau,eau,22
merveilleuse,merveilleux,30
/!,/!,P
six,six,72
mille,mille,72
francs,franc,21
!,!,p
dit,dire,19
il,il,51
d',de,81
une,un,71
voix,voix,22
de,de,81
commissaire,commissaire,21
priseur,priseur,30
",",",",p
cachant,cacher,13
son,son,73
émotion,émotion,22
sous,sous,81
ce,ce,74
chiffre,chiffre,21
d',de,81
estimation,estimation,22
totale,total,30
/.,/.,P
je,je,51
ne,ne,60
compte,compter,17
que,que,83
les,le,71
pierres,pierre,22
",",",",p
les,le,71
montures,monture,22
sont,être,17
bonnes,bon,30
à,à,81
fondre,fondre,14
/.,/.,P
enfin,enfin,60
",",",",p
nous,nous,51
nous,nous,51
contenterons,contenter,15
de,de,81
six,six,72
mille,mille,72
francs,franc,21
/.,/.,P
“,“,p
mais,mais,82
le,le,71
sacrifice,sacrifice,21
était,être,18
trop,trop,60
rude,rude,30
pour,pour,81
la,le,71
comtesse,comtesse,22
/.,/.,P
elle,il,51
eut,avoir,19
un,un,71
réveil,réveil,21
de,de,81
violence,violence,22
",",",",p
elle,il,51
lui,lui,51
reprit,reprendre,19
les,le,71
bijoux,bijou,21
",",",",p
les,le,52
serra,serrer,19
dans,dans,81
ses,son,73
mains,main,22
convulsées,convulsé,31
/.,/.,P
non,non,60
",",",",p
non,non,60
!,!,p
c',ce,52
était,être,18
trop,trop,60
",",",",p
d',de,81
exiger,exiger,14
d',de,81
elle,il,51
qu',que,83
elle,il,51
jetât,jeter,18
encore,encore,60
au,à,81
au,le,71
gouffre,gouffre,21
ces,ce,74
quelques,quelque,75
pierres,pierre,22
que,que,52
sa,son,73
mère,mère,22
avait,avoir,18
portées,porter,12
",",",",p
que,que,52
sa,son,73
fille,fille,22
devait,devoir,18
porter,porter,14
le,le,71
jour,jour,21
de,de,81
son,son,73
mariage,mariage,21
/.,/.,P
et,et,82
des,de,81
des,le,71
larmes,larme,22
brûlantes,brûlant,30
jaillirent,jaillir,19
de,de,81
ses,son,73
yeux,oeil,21
",",",",p
ruisselèrent,ruisseler,19
sur,sur,81
ses,son,73
joues,joue,22
",",",",p
dans,dans,81
une,un,71
telle,tel,75
douleur,douleur,22
tragique,tragique,30
",",",",p
que,que,83
Léonide,Léonide,20
",",",",p
le,le,71
coeur,coeur,21
touché,touché,31
",",",",p
éperdue,éperdu,30
d',de,81
apitoiement,apitoiement,21
",",",",p
se,se,51
mit,mettre,19
à,à,81
tirer,tirer,14
Busch,Busch,20
par,par,81
sa,son,73
redingote,redingote,22
pour,pour,81
le,le,52
forcer,forcer,14
de,de,81
partir,partir,14
/.,/.,P
elle,il,51
voulait,vouloir,18
s',se,51
en,en,52
aller,aller,14
",",",",p
ça,ça,52
la,le,52
bousculait,bousculer,18
à,à,81
la,le,71
fin,fin,22
",",",",p
de,de,81
faire,faire,14
tant,tant,60
de,de,81
peine,peine,22
à,à,81
cette,ce,74
pauvre,pauvre,30
vieille,vieux,30
dame,dame,22
",",",",p
qui,qui,52
avait,avoir,18
l',le,71
air,air,21
si,si,60
bon,bon,30
/.,/.,P
Busch,Busch,20
",",",",p
très,très,60
froid,froid,30
",",",",p
suivait,suivre,18
la,le,71
scène,scène,22
",",",",p
certain,certain,30
maintenant,maintenant,60
de,de,81
tout,tout,52
emporter,emporter,14
",",",",p
sachant,savoir,13
par,par,81
sa,son,73
longue,long,30
expérience,expérience,22
que,que,83
les,le,71
crises,crise,22
de,de,81
larmes,larme,22
",",",",p
chez,chez,81
les,le,71
femmes,femme,22
",",",",p
annoncent,annoncer,17
la,le,71
débâcle,débâcle,22
de,de,81
la,le,71
volonté,volonté,22
;,;,p
et,et,82
il,il,51
attendait,attendre,18
/.,/.,P
peut-être,peut-être,60
l',le,71
affreuse,affreux,30
scène,scène,22
se,se,51
serait,être,16
elle,il,51
prolongée,prolonger,12
",",",",p
si,si,83
",",",",p
à,à,81
ce,ce,74
moment,moment,21
",",",",p
une,un,71
voix,voix,22
lointaine,lointain,30
",",",",p
étouffée,étouffé,31
",",",",p
n',ne,60
avait,avoir,18
éclaté,éclater,12
en,en,81
sanglots,sanglot,21
/.,/.,P
c',ce,52
était,être,18
Alice,Alice,20
qui,qui,52
criait,crier,18
du,de,81
du,le,71
fond,fond,21
de,de,81
l',le,71
alcôve,alcôve,22
:,:,p
“,“,p
oh,oh,93
!,!,p
maman,maman,22
",",",",p
ils,ils,51
me,je,51
tuent,tuer,17
!,!,p
/…,/…,P
donne,donner,17
leur,leur,52
tout,tout,52
",",",",p
qu',que,52
ils,ils,51
emportent,emporter,17
tout,tout,52
!,!,p
/…,/…,P
oh,oh,93
!,!,p
maman,maman,22
",",",",p
qu',que,52
ils,ils,51
s',se,51
en,en,52
aillent,aller,17
!,!,p
ils,ils,51
me,je,51
tuent,tuer,17
",",",",p
ils,ils,51
me,je,51
tuent,tuer,17
/!,/!,P
alors,alors,60
",",",",p
la,le,71
comtesse,comtesse,22
eut,avoir,19
un,un,71
geste,geste,21
d',de,81
abandon,abandon,21
désespéré,désespéré,31
",",",",p
un,un,71
geste,geste,21
dans,dans,81
lequel,lequel,52
elle,il,51
aurait,avoir,16
donné,donner,12
sa,son,73
vie,vie,22
/.,/.,P
sa,son,73
fille,fille,22
avait,avoir,18
entendu,entendre,12
/.,/.,P
sa,son,73
fille,fille,22
se,se,51
mourait,mourir,18
de,de,81
honte,honte,22
/.,/.,P
et,et,82
elle,il,51
jeta,jeter,19
les,le,71
bijoux,bijou,21
à,à,81
Busch,Busch,20
",",",",p
et,et,82
elle,il,51
lui,lui,51
laissa,laisser,19
à,à,81
peine,peine,22
le,le,71
temps,temps,21
de,de,81
poser,poser,14
sur,sur,81
la,le,71
table,table,22
",",",",p
en,en,81
échange,échange,21
",",",",p
la,le,71
reconnaissance,reconnaissance,22
du,de,81
du,le,71
comte,comte,21
",",",",p
le,le,52
poussant,pousser,13
dehors,dehors,60
",",",",p
derrière,derrière,81
Léonide,Léonide,20
déjà,déjà,60
disparue,disparu,31
/.,/.,P
puis,puis,60
",",",",p
elle,il,51
rouvrit,rouvrir,19
l',le,71
alcôve,alcôve,22
",",",",p
elle,il,51
alla,aller,19
s',se,51
abattre,abattre,14
sur,sur,81
l',le,71
oreiller,oreiller,21
d',de,81
Alice,Alice,20
",",",",p
toutes,tout,75
les,le,71
deux,deux,72
achevées,achevé,31
",",",",p
anéanties,anéanti,31
",",",",p
mêlant,mêler,13
leurs,leur,73
larmes,larme,22
/.,/.,P
madame,madame,22
Caroline,Caroline,20
",",",",p
révoltée,révolté,31
",",",",p
avait,avoir,18
été,être,12
un,un,71
moment,moment,21
sur,sur,81
le,le,71
point,point,21
d',de,81
intervenir,intervenir,14
/.,/.,P
laisserait,laisser,16
elle,il,51
donc,donc,82
le,le,71
misérable,misérable,21
dépouiller,dépouiller,14
ainsi,ainsi,60
ces,ce,74
deux,deux,72
pauvres,pauvre,30
femmes,femme,22
/?,/?,P
mais,mais,82
elle,il,51
venait,venir,18
d',de,81
entendre,entendre,14
l',le,71
ignoble,ignoble,30
histoire,histoire,22
",",",",p
et,et,82
que,que,52
faire,faire,14
pour,pour,81
éviter,éviter,14
le,le,71
scandale,scandale,21
?,?,p
car,car,82
elle,il,51
le,le,52
savait,savoir,18
homme,homme,21
à,à,81
aller,aller,14
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
ses,son,73
menaces,menace,22
/.,/.,P
elle-même,lui-même,51
restait,rester,18
honteuse,honteux,30
devant,devant,81
lui,lui,51
",",",",p
dans,dans,81
la,le,71
complicité,complicité,22
des,de,81
des,le,71
secrets,secret,21
qu',que,52
il,il,51
y,y,52
avait,avoir,18
entre,entre,81
eux,ils,51
/.,/.,P
ah,ah,93
!,!,p
que,que,52
de,de,81
souffrances,souffrance,22
",",",",p
que,que,52
d',de,81
ordures,ordure,22
/!,/!,P
une,un,71
gêne,gêne,22
l',le,52
envahissait,envahir,18
",",",",p
qu',que,52
était,être,18
elle,il,51
accourue,accourir,12
faire,faire,14
là,là,60
",",",",p
puisqu',puisque,83
elle,il,51
ne,ne,60
trouvait,trouver,18
ni,ni,82
une,un,71
parole,parole,22
à,à,81
dire,dire,14
ni,ni,82
un,un,71
secours,secours,21
à,à,81
donner,donner,14
/?,/?,P
toutes,tout,75
les,le,71
phrases,phrase,22
qui,qui,52
lui,lui,51
montaient,monter,18
aux,à,81
aux,le,71
lèvres,lèvre,22
",",",",p
les,le,71
questions,question,22
",",",",p
les,le,71
simples,simple,30
allusions,allusion,22
",",",",p
au,à,81
au,le,71
sujet,sujet,21
du,de,81
du,le,71
drame,drame,21
de,de,81
la,le,71
veille,veille,22
",",",",p
lui,lui,51
semblaient,sembler,18
blessantes,blessant,30
",",",",p
salissantes,salissant,30
",",",",p
impossibles,impossible,30
à,à,81
risquer,risquer,14
devant,devant,81
la,le,71
victime,victime,22
",",",",p
égarée,égaré,31
encore,encore,60
",",",",p
agonisant,agoniser,13
de,de,81
sa,son,73
souillure,souillure,22
/.,/.,P
et,et,82
quel,quel,75
secours,secours,21
aurait,avoir,16
elle,il,51
laissé,laisser,12
",",",",p
qui,qui,52
n',ne,60
aurait,avoir,16
paru,paraître,12
une,un,71
aumône,aumône,22
dérisoire,dérisoire,30
",",",",p
elle,il,51
ruinée,ruiné,31
également,également,60
",",",",p
embarrassée,embarrassé,31
déjà,déjà,60
pour,pour,81
attendre,attendre,14
l',le,71
issue,issue,22
du,de,81
du,le,71
procès,procès,21
/?,/?,P
enfin,enfin,60
",",",",p
elle,il,51
s',se,51
avança,avancer,19
",",",",p
les,le,71
yeux,oeil,21
pleins,plein,30
de,de,81
larmes,larme,22
",",",",p
les,le,71
bras,bras,21
ouverts,ouvert,31
",",",",p
dans,dans,81
une,un,71
infinie,infini,30
pitié,pitié,22
",",",",p
un,un,71
attendrissement,attendrissement,21
éperdu,éperdu,30
dont,dont,52
elle,il,51
tremblait,trembler,18
toute,tout,52
/.,/.,P
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
banale,banal,30
alcôve,alcôve,22
d',de,81
hôtel,hôtel,21
meublé,meublé,31
",",",",p
ces,ce,74
deux,deux,72
misérables,misérable,30
créatures,créature,22
effondrées,effondré,31
",",",",p
