11921
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Dixième extrait>,<>,<>
attente,attente,22
on,on,51
le,le,52
fit,faire,19
entrer,entrer,14
dans,dans,81
le,le,71
cabinet,cabinet,21
où,où,60
il,il,51
avait,avoir,18
passé,passer,12
une,un,71
si,si,60
bonne,bon,30
matinée,matinée,22
/.,/.,P
à,à,81
la,le,71
place,place,22
occupée,occupé,31
par,par,81
lui,lui,51
",",",",p
Forestier,Forestier,20
maintenant,maintenant,60
était,être,18
assis,asseoir,12
et,et,82
écrivait,écrire,18
",",",",p
en,en,81
robe,robe,22
de,de,81
chambre,chambre,22
",",",",p
les,le,71
pieds,pied,21
dans,dans,81
ses,son,73
pantoufles,pantoufle,22
",",",",p
la,le,71
tête,tête,22
couverte,couvert,31
d',de,81
une,un,71
petite,petit,30
toque,toque,22
anglaise,anglais,30
;,;,p
tandis que,tandis que,83
sa,son,73
femme,femme,22
",",",",p
enveloppée,enveloppé,31
du,de,81
du,le,71
même,même,75
peignoir,peignoir,21
blanc,blanc,30
",",",",p
et,et,82
accoudée,accoudé,31
à,à,81
la,le,71
cheminée,cheminée,22
",",",",p
dictait,dicter,18
",",",",p
une,un,71
cigarette,cigarette,22
à,à,81
la,le,71
bouche,bouche,22
/.,/.,P
Duroy,Duroy,20
",",",",p
s',se,51
arrêtant,arrêter,13
sur,sur,81
le,le,71
seuil,seuil,21
",",",",p
murmura,murmurer,19
:,:,p
-,-,p
je,je,51
vous,vous,51
demande,demander,17
bien,bien,60
pardon,pardon,21
",",",",p
je,je,51
vous,vous,51
dérange,déranger,17
/?,/?,P
et,et,82
son,son,73
ami,ami,21
",",",",p
ayant,avoir,13
tourné,tourner,12
la,le,71
tête,tête,22
",",",",p
une,un,71
tête,tête,22
furieuse,furieux,30
",",",",p
grogna,grogner,19
:,:,p
-,-,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
tu,tu,51
veux,vouloir,17
encore,encore,60
/?,/?,P
dépêche,dépêcher,17
toi,toi,51
",",",",p
nous,nous,51
sommes,être,17
pressés,presser,12
/.,/.,P
l',le,71
autre,autre,52
",",",",p
interdit,interdit,31
",",",",p
balbutiait,balbutier,18
:,:,p
-,-,p
non,non,60
",",",",p
ce,ce,52
n',ne,60
est,être,17
rien,rien,52
",",",",p
pardon,pardon,21
/.,/.,P
mais,mais,82
Forestier,Forestier,20
",",",",p
se,se,51
fâchant,fâcher,13
:,:,p
-,-,p
allons,aller,17
",",",",p
sacrebleu,sacrebleu,93
!,!,p
ne,ne,60
perds,perdre,17
pas,pas,60
de,de,81
temps,temps,21
",",",",p
tu,tu,51
n',ne,60
as,avoir,17
pourtant,pourtant,60
pas,pas,60
forcé,forcer,12
ma,mon,73
porte,porte,22
pour,pour,81
le,le,71
plaisir,plaisir,21
de,de,81
nous,nous,51
dire,dire,14
bonjour,bonjour,21
/.,/.,P
alors,alors,60
Duroy,Duroy,20
fort,fort,60
troublé,troublé,31
",",",",p
se,se,51
décida,décider,19
:,:,p
-,-,p
non,non,60
…,…,p
voilà,voilà,81
…,…,p
c',ce,52
est,être,17
que,que,83
…,…,p
je,je,51
n',ne,60
arrive,arriver,17
pas,pas,60
encore,encore,60
à,à,81
faire,faire,14
mon,mon,73
article,article,21
…,…,p
et,et,82
tu,tu,51
as,avoir,17
été,être,12
…,…,p
vous,vous,51
avez,avoir,17
été,être,12
si,si,83
…,…,p
si,si,83
…,…,p
si,si,60
gentils,gentil,30
la,le,71
dernière,dernier,30
fois,fois,22
que,que,83
…,…,p
que,que,83
j',je,51
espérais,espérer,18
…,…,p
que,que,83
j',je,51
ai,avoir,17
osé,oser,12
venir,venir,14
/…,/…,P
Forestier,Forestier,20
lui,lui,51
coupa,couper,19
la,le,71
parole,parole,22
:,:,p
-,-,p
tu,tu,51
te,tu,51
fiches,ficher,17
du,de,81
du,le,71
monde,monde,21
",",",",p
à,à,81
la,le,71
fin,fin,22
/.,/.,P
alors,alors,60
tu,tu,51
t',tu,51
imagines,imaginer,17
que,que,83
je,je,51
vais,aller,17
faire,faire,14
ton,ton,73
métier,métier,21
",",",",p
et,et,82
que,que,83
tu,tu,51
n',ne,60
auras,avoir,15
qu',que,83
à,à,81
passer,passer,14
à,à,81
la,le,71
caisse,caisse,22
au,à,81
au,le,71
bout,bout,21
du,de,81
du,le,71
mois,mois,21
/.,/.,P
non,non,60
/!,/!,P
elle,il,51
est,être,17
bonne,bon,30
",",",",p
celle-là,celui-là,52
/!,/!,P
la,le,71
jeune,jeune,30
femme,femme,22
continuait,continuer,18
à,à,81
fumer,fumer,14
",",",",p
sans,sans,81
dire,dire,14
un,un,71
mot,mot,21
",",",",p
souriant,sourire,13
toujours,toujours,60
d',de,81
un,un,71
vague,vague,30
sourire,sourire,21
qui,qui,52
semblait,sembler,18
un,un,71
masque,masque,21
aimable,aimable,30
sur,sur,81
l',le,71
ironie,ironie,22
de,de,81
sa,son,73
pensée,pensée,22
/.,/.,P
et,et,82
Duroy,Duroy,20
",",",",p
rougissant,rougir,13
",",",",p
bégayait,bégayer,18
:,:,p
-,-,p
excusez,excuser,17
moi,moi,51
…,…,p
j',je,51
avais,avoir,18
cru,croire,12
…,…,p
j',je,51
avais,avoir,18
pensé,penser,12
/…,/…,P
puis,puis,60
brusquement,brusquement,60
",",",",p
d',de,81
une,un,71
voix,voix,22
claire,clair,30
:,:,p
-,-,p
je,je,51
vous,vous,51
demande,demander,17
mille,mille,72
fois,fois,22
pardon,pardon,21
",",",",p
madame,madame,22
",",",",p
en,en,81
vous,vous,51
adressant,adresser,13
encore,encore,60
mes,mon,73
remerciements,remerciement,21
les,le,71
plus,plus,60
vifs,vif,30
pour,pour,81
la,le,71
chronique,chronique,22
si,si,60
charmante,charmant,30
que,que,83
vous,vous,51
m',je,51
avez,avoir,17
faite,faire,12
hier,hier,60
/.,/.,P
puis,puis,60
il,il,51
salua,saluer,19
",",",",p
dit,dire,19
à,à,81
Charles,Charles,20
:,:,p
-,-,p
je,je,51
serai,être,16
à,à,81
trois,trois,72
heures,heure,22
au,à,81
au,le,71
journal,journal,21
",",",",p
-,-,p
et,et,82
il,il,51
sortit,sortir,19
/.,/.,P
il,il,51
retourna,retourner,19
chez,chez,81
lui,lui,51
",",",",p
à,à,81
grands,grand,30
pas,pas,21
",",",",p
en,en,81
grommelant,grommeler,13
:,:,p
“,“,p
eh,eh,93
bien,bien,60
",",",",p
je,je,51
m',je,51
en,en,52
vais,aller,17
la,le,52
faire,faire,14
celle-là,celui-là,52
",",",",p
et,et,82
tout,tout,60
seul,seul,30
",",",",p
et,et,82
ils,ils,51
verront,voir,15
/.,/.,P
“,“,p
à,à,81
peine,peine,22
rentré,rentré,31
",",",",p
la,le,71
colère,colère,22
l',le,52
excitant,exciter,13
",",",",p
il,il,51
se,se,51
mit,mettre,19
à,à,81
écrire,écrire,14
/.,/.,P
il,il,51
continua,continuer,19
l',le,71
aventure,aventure,22
commencée,commencé,31
par,par,81
madame,madame,22
Forestier,Forestier,20
",",",",p
accumulant,accumuler,13
des,de,81
des,le,71
détails,détail,21
de,de,81
roman-feuilleton,roman-feuilleton,21
",",",",p
des,de,81
des,le,71
péripéties,péripétie,22
surprenantes,surprenant,30
et,et,82
des,de,81
des,le,71
descriptions,description,22
ampoulées,ampoulé,30
",",",",p
avec,avec,81
une,un,71
maladresse,maladresse,22
de,de,81
style,style,21
de,de,81
collégien,collégien,21
et,et,82
des,de,81
des,le,71
formules,formule,22
de,de,81
sous-officier,sous-officier,21
/.,/.,P
en,en,81
une,un,71
heure,heure,22
",",",",p
il,il,51
eut,avoir,19
terminé,terminer,12
",",",",p
une,un,71
chronique,chronique,22
qui,qui,52
ressemblait,ressembler,18
à,à,81
un,un,71
chaos,chaos,21
de,de,81
folies,folie,22
",",",",p
et,et,82
il,il,51
la,le,52
porta,porter,19
",",",",p
avec,avec,81
assurance,assurance,22
",",",",p
à,à,81
la,le,71
Vie Française,Vie Française,20
/.,/.,P
la,le,71
première,premier,72
personne,personne,22
qu',que,52
il,il,51
rencontra,rencontrer,19
fut,être,19
Saint Potin,Saint Potin,20
qui,qui,52
",",",",p
lui,lui,51
serrant,serrer,13
la,le,71
main,main,22
avec,avec,81
une,un,71
énergie,énergie,22
de,de,81
complice,complice,21
",",",",p
demanda,demander,19
:,:,p
-,-,p
vous,vous,51
avez,avoir,17
lu,lire,12
ma,mon,73
conversation,conversation,22
avec,avec,81
le,le,71
Chinois,Chinois,20
et,et,82
avec,avec,81
l',le,71
Hindou,Hindou,20
/.,/.,P
est,être,17
ce,ce,52
assez,assez,60
drôle,drôle,30
/?,/?,P
ça,ça,52
a,avoir,17
amusé,amuser,12
tout,tout,75
Paris,Paris,20
/.,/.,P
et,et,82
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
vu,voir,12
seulement,seulement,60
le,le,71
bout,bout,21
de,de,81
leur,leur,73
nez,nez,21
/.,/.,P
Duroy,Duroy,20
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
rien,rien,52
lu,lire,12
",",",",p
prit,prendre,19
aussitôt,aussitôt,60
le,le,71
journal,journal,21
",",",",p
et,et,82
il,il,51
parcourut,parcourir,19
de,de,81
l',le,71
oeil,oeil,21
un,un,71
long,long,30
article,article,21
intitulé,intitulé,31
:,:,p
“,“,p
Inde,Inde,20
et,et,82
Chine,Chine,20
“,“,p
",",",",p
pendant,pendant,81
que,que,83
le,le,71
reporter,reporter,21
lui,lui,51
indiquait,indiquer,18
et,et,82
soulignait,souligner,18
les,le,71
passages,passage,21
les,le,71
plus,plus,60
intéressants,intéressant,30
/.,/.,P
Forestier,Forestier,20
survint,survenir,19
",",",",p
soufflant,souffler,13
",",",",p
pressé,pressé,31
",",",",p
l',le,71
air,air,21
affairé,affairé,31
:,:,p
-,-,p
ah,ah,93
bon,bon,60
",",",",p
j',je,51
ai,avoir,17
besoin,besoin,21
de,de,81
vous,vous,51
deux,deux,72
/.,/.,P
et,et,82
il,il,51
leur,leur,52
indiqua,indiquer,19
une,un,71
série,série,22
d',de,81
informations,information,22
politiques,politique,30
qu',que,52
il,il,51
fallait,falloir,18
se,se,51
procurer,procurer,14
pour,pour,81
le,le,71
soir,soir,21
même,même,30
/.,/.,P
Duroy,Duroy,20
lui,lui,51
tendit,tendre,19
son,son,73
article,article,21
/.,/.,P
-,-,p
voici,voici,81
la,le,71
suite,suite,22
sur,sur,81
l',le,71
Algérie,Algérie,20
/.,/.,P
-,-,p
très,très,60
bien,bien,60
",",",",p
donne,donner,17
",",",",p
je,je,51
vais,aller,17
la,le,52
remettre,remettre,14
au,à,81
au,le,71
patron,patron,21
/.,/.,P
ce,ce,52
fut,être,19
tout,tout,52
/.,/.,P
Saint Potin,Saint Potin,20
entraîna,entraîner,19
son,son,73
nouveau,nouveau,30
confrère,confrère,21
",",",",p
et,et,82
lorsqu',lorsque,83
ils,ils,51
furent,être,19
dans,dans,81
le,le,71
corridor,corridor,21
",",",",p
il,il,51
lui,lui,51
dit,dire,19
:,:,p
-,-,p
avez,avoir,17
vous,vous,51
passé,passer,12
à,à,81
la,le,71
caisse,caisse,22
/?,/?,P
non,non,60
/.,/.,P
pourquoi,pourquoi,60
/?,/?,P
pourquoi,pourquoi,60
/?,/?,P
pour,pour,81
",",",",p
vous,vous,51
faire,faire,14
payer,payer,14
/.,/.,P
voyez,voir,17
vous,vous,51
",",",",p
il,il,51
faut,falloir,17
toujours,toujours,60
prendre,prendre,14
un,un,71
mois,mois,21
d',de,81
avance,avance,22
/.,/.,P
on,on,51
ne,ne,60
sait,savoir,17
pas,pas,60
ce,ce,52
qui,qui,52
peut,pouvoir,17
arriver,arriver,14
/.,/.,P
-,-,p
mais,mais,82
…,…,p
je,je,51
ne,ne,60
demande,demander,17
pas,pas,60
mieux,mieux,60
/.,/.,P
-,-,p
je,je,51
vais,aller,17
vous,vous,51
présenter,présenter,14
au,à,81
au,le,71
caissier,caissier,21
/.,/.,P
il,il,51
ne,ne,60
fera,faire,15
point,point,60
de,de,81
difficultés,difficulté,22
/.,/.,P
on,on,51
paye,payer,17
bien,bien,60
ici,ici,60
/.,/.,P
et,et,82
Duroy,Duroy,20
alla,aller,19
toucher,toucher,14
ses,son,73
deux,deux,72
cents,cent,72
francs,franc,21
",",",",p
plus,plus,60
vingt,vingt,72
huit,huit,72
francs,franc,21
pour,pour,81
son,son,73
article,article,21
de,de,81
la,le,71
veille,veille,22
",",",",p
qui,qui,52
",",",",p
joints,joint,31
à,à,81
ce,ce,52
qui,qui,52
lui,lui,51
restait,rester,18
de,de,81
son,son,73
traitement,traitement,21
du,de,81
du,le,71
chemin,chemin,21
de,de,81
fer,fer,21
",",",",p
lui,lui,51
faisait,faire,18
trois,trois,72
cent,cent,72
quarante,quarante,72
francs,franc,21
en,en,81
poche,poche,22
/.,/.,P
jamais,jamais,60
il,il,51
n',ne,60
avait,avoir,18
tenu,tenir,12
pareille,pareil,30
somme,somme,22
;,;,p
et,et,82
il,il,51
se,se,51
crut,croire,19
riche,riche,30
pour,pour,81
des,de,81
des,le,71
temps,temps,21
indéfinis,indéfini,30
/.,/.,P
puis,puis,60
Saint Potin,Saint Potin,20
l',le,52
emmena,emmener,19
bavarder,bavarder,14
dans,dans,81
les,le,71
bureaux,bureau,21
de,de,81
quatre,quatre,72
ou,ou,82
cinq,cinq,72
feuilles,feuille,22
rivales,rival,30
",",",",p
espérant,espérer,13
que,que,83
les,le,71
nouvelles,nouvelle,22
qu',que,52
on,on,51
l',le,52
avait,avoir,18
chargé,charger,12
de,de,81
recueillir,recueillir,14
avaient,avoir,18
été,être,12
prises,prendre,12
déjà,déjà,60
par,par,81
d',de,81
autres,autre,52
",",",",p
et,et,82
qu',que,83
il,il,51
saurait,savoir,16
bien,bien,60
les,le,71
leur,leur,52
souffler,souffler,14
",",",",p
grâce,grâce,22
à,à,81
l',le,71
abondance,abondance,22
et,et,82
à,à,81
l',le,71
astuce,astuce,22
de,de,81
sa,son,73
conversation,conversation,22
/.,/.,P
le,le,71
soir,soir,21
venu,venu,31
",",",",p
Duroy,Duroy,20
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
plus,plus,60
rien,rien,52
à,à,81
faire,faire,14
",",",",p
songea,songer,19
à,à,81
retourner,retourner,14
aux,à,81
aux,le,71
Folies-Bergère,Folies-Bergère,20
",",",",p
et,et,82
",",",",p
payant,payer,13
d',de,81
audace,audace,22
",",",",p
il,il,51
se,se,51
présenta,présenter,19
au,à,81
au,le,71
contrôle,contrôle,21
:,:,p
-,-,p
je,je,51
m',je,51
appelle,appeler,17
Georges,Georges,20
Duroy,Duroy,20
",",",",p
rédacteur,rédacteur,21
à,à,81
la,le,71
Vie Française,Vie Française,20
/.,/.,P
je,je,51
suis,être,17
venu,venir,12
l',le,71
autre,autre,75
jour,jour,21
avec,avec,81
monsieur,monsieur,21
Forestier,Forestier,20
",",",",p
qui,qui,52
m',je,51
avait,avoir,18
promis,promettre,12
de,de,81
demander,demander,14
mes,mon,73
entrées,entrée,22
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
s',si,83
il,il,51
y,y,52
a,avoir,17
songé,songer,12
/.,/.,P
on,on,51
consulta,consulter,19
un,un,71
registre,registre,21
/.,/.,P
son,son,73
nom,nom,21
ne,ne,60
s',se,51
y,y,52
trouvait,trouver,18
pas,pas,60
inscrit,inscrit,31
/.,/.,P
cependant,cependant,82
le,le,71
contrôleur,contrôleur,21
",",",",p
homme,homme,21
très,très,60
affable,affable,30
",",",",p
lui,lui,51
dit,dire,17
:,:,p
-,-,p
entrez,entrer,17
toujours,toujours,60
",",",",p
monsieur,monsieur,21
",",",",p
et,et,82
adressez,adresser,17
vous-même,vous-même,51
votre,votre,73
demande,demande,22
à,à,81
monsieur,monsieur,21
le,le,71
directeur,directeur,21
qui,qui,52
y,y,52
fera,faire,15
droit,droit,21
assurément,assurément,60
/.,/.,P
il,il,51
entra,entrer,19
",",",",p
et,et,82
presque,presque,60
aussitôt,aussitôt,60
il,il,51
rencontra,rencontrer,19
Rachel,Rachel,20
",",",",p
la,le,71
femme,femme,22
emmenée,emmené,31
le,le,71
premier,premier,72
soir,soir,21
/.,/.,P
elle,il,51
vint,venir,19
à,à,81
lui,lui,51
:,:,p
-,-,p
bonjour,bonjour,21
",",",",p
mon,mon,73
chat,chat,21
/.,/.,P
tu,tu,51
vas,aller,17
bien,bien,60
/?,/?,P
très,très,60
bien,bien,60
",",",",p
et,et,82
toi,toi,51
/?,/?,P
moi,moi,51
",",",",p
pas,pas,60
mal,mal,60
/.,/.,P
tu,tu,51
ne,ne,60
sais,savoir,17
pas,pas,60
",",",",p
j',je,51
ai,avoir,17
rêvé,rêver,12
deux,deux,72
fois,fois,22
de,de,81
toi,toi,51
depuis,depuis,81
l',le,71
autre,autre,75
jour,jour,21
/.,/.,P
Duroy,Duroy,20
sourit,sourire,17
",",",",p
flatté,flatté,31
:,:,p
-,-,p
ah,ah,93
!,!,p
ah,ah,93
!,!,p
et,et,82
qu',que,52
est,être,17
ce,ce,52
que,que,52
ça,ça,52
prouve,prouver,17
/?,/?,P
ça,ça,52
prouve,prouver,17
que,que,83
tu,tu,51
m',je,51
as,avoir,17
plu,plaire,12
",",",",p
gros,gros,30
serin,serin,21
",",",",p
et,et,82
que,que,83
nous,nous,51
recommencerons,recommencer,15
quand,quand,83
ça,ça,52
te,tu,51
dira,dire,15
/.,/.,P
-,-,p
aujourd'hui,aujourd'hui,60
si,si,83
tu,tu,51
veux,vouloir,17
/.,/.,P
-,-,p
oui,oui,60
",",",",p
je,je,51
veux,vouloir,17
bien,bien,60
/.,/.,P
-,-,p
bon,bon,60
",",",",p
mais,mais,82
écoute,écouter,17
/…,/…,P
il,il,51
hésitait,hésiter,18
",",",",p
un,un,71
peu,peu,60
confus,confus,30
de,de,81
ce,ce,52
qu',que,52
il,il,51
allait,aller,18
faire,faire,14
:,:,p
-,-,p
c',ce,52
est,être,17
que,que,83
",",",",p
cette,ce,74
fois,fois,22
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
le,le,71
sou,sou,21
",",",",p
je,je,51
viens,venir,17
du,de,81
du,le,71
cercle,cercle,21
où,où,60
j',je,51
ai,avoir,17
tout,tout,52
claqué,claquer,12
/.,/.,P
elle,il,51
le,le,52
regardait,regarder,18
au,à,81
au,le,71
fond,fond,21
des,de,81
des,le,71
yeux,oeil,21
",",",",p
flairant,flairer,13
le,le,71
mensonge,mensonge,21
avec,avec,81
son,son,73
instinct,instinct,21
et,et,82
sa,son,73
pratique,pratique,22
de,de,81
fille,fille,22
habituée,habitué,31
aux,à,81
aux,le,71
roueries,rouerie,22
et,et,82
aux,à,81
aux,le,71
marchandages,marchandage,21
des,de,81
des,le,71
hommes,homme,21
/.,/.,P
elle,il,51
dit,dire,17
:,:,p
-,-,p
blagueur,blagueur,30
/!,/!,P
tu,tu,51
sais,savoir,17
",",",",p
ça,ça,52
n',ne,60
est,être,17
pas,pas,60
gentil,gentil,30
avec,avec,81
moi,moi,51
cette,ce,74
manière,manière,22
là,là,60
/.,/.,P
il,il,51
eut,avoir,19
un,un,71
sourire,sourire,21
embarrassé,embarrassé,31
:,:,p
-,-,p
si,si,83
tu,tu,51
veux,vouloir,17
dix,dix,72
francs,franc,21
",",",",p
c',ce,52
est,être,17
tout,tout,52
ce,ce,52
qui,qui,52
me,je,51
reste,rester,17
/.,/.,P
elle,il,51
murmura,murmurer,19
avec,avec,81
un,un,71
désintéressement,désintéressement,21
de,de,81
courtisane,courtisane,22
qui,qui,52
se,se,51
paye,payer,17
un,un,71
caprice,caprice,21
:,:,p
-,-,p
ce,ce,52
qui,qui,52
te,tu,51
plaira,plaire,15
",",",",p
mon,mon,73
chéri,chéri,31
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
que,que,83
toi,toi,51
/.,/.,P
et,et,82
levant,lever,13
ses,son,73
yeux,oeil,21
séduits,séduit,31
vers,vers,81
la,le,71
moustache,moustache,22
du,de,81
du,le,71
jeune,jeune,30
homme,homme,21
",",",",p
elle,il,51
prit,prendre,19
son,son,73
bras,bras,21
et,et,82
s',se,51
appuya,appuyer,19
dessus,dessus,60
amoureusement,amoureusement,60
:,:,p
-,-,p
allons,aller,17
boire,boire,14
une,un,71
grenadine,grenadine,22
d'abord,d'abord,60
/.,/.,P
et,et,82
puis,puis,60
nous,nous,51
ferons,faire,15
un,un,71
tour,tour,21
ensemble,ensemble,60
/.,/.,P
moi,moi,51
je,je,51
voudrais,vouloir,16
aller,aller,14
à,à,81
l',le,71
Opéra,Opéra,20
",",",",p
comme,comme,83
ça,ça,52
",",",",p
avec,avec,81
toi,toi,51
",",",",p
pour,pour,81
te,tu,51
montrer,montrer,14
/.,/.,P
et,et,82
puis,puis,60
nous,nous,51
rentrerons,rentrer,15
de,de,81
bonne,bon,30
heure,heure,22
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
il,il,51
dormit,dormir,19
tard,tard,60
",",",",p
chez,chez,81
cette,ce,74
fille,fille,22
/.,/.,P
il,il,51
faisait,faire,18
jour,jour,21
quand,quand,83
il,il,51
sortit,sortir,19
",",",",p
et,et,82
la,le,71
pensée,pensée,22
lui,lui,51
vint,venir,19
aussitôt,aussitôt,60
d',de,81
acheter,acheter,14
la,le,71
Vie Française,Vie Française,20
/.,/.,P
il,il,51
ouvrit,ouvrir,19
le,le,71
journal,journal,21
d',de,81
une,un,71
main,main,22
fiévreuse,fiévreux,30
;,;,p
sa,son,73
chronique,chronique,22
n',ne,60
y,y,52
était,être,18
pas,pas,60
;,;,p
et,et,82
il,il,51
demeurait,demeurer,18
debout,debout,60
sur,sur,81
le,le,71
trottoir,trottoir,21
",",",",p
parcourant,parcourir,13
anxieusement,anxieusement,60
de,de,81
l',le,71
oeil,oeil,21
les,le,71
colonnes,colonne,22
imprimées,imprimé,31
avec,avec,81
l',le,71
espoir,espoir,21
d',de,81
y,y,52
trouver,trouver,14
",",",",p
enfin,enfin,60
",",",",p
ce,ce,52
qu',que,52
il,il,51
cherchait,chercher,18
/.,/.,P
quelque,quelque,75
chose,chose,22
de,de,81
pesant,pesant,30
tout,tout,60
à,à,81
coup,coup,21
accablait,accabler,18
son,son,73
coeur,coeur,21
",",",",p
car,car,82
",",",",p
après,après,81
la,le,71
fatigue,fatigue,22
d',de,81
une,un,71
nuit,nuit,22
d',de,81
amour,amour,21
",",",",p
cette,ce,74
contrariété,contrariété,22
tombant,tomber,13
sur,sur,81
sa,son,73
lassitude,lassitude,22
avait,avoir,18
le,le,71
poids,poids,21
d',de,81
un,un,71
désastre,désastre,21
/.,/.,P
il,il,51
remonta,remonter,19
chez,chez,81
lui,lui,51
et,et,82
s',se,51
endormit,endormir,19
tout,tout,60
habillé,habillé,31
sur,sur,81
son,son,73
lit,lit,21
/.,/.,P
en,en,81
entrant,entrer,13
quelques,quelque,75
heures,heure,22
plus,plus,60
tard,tard,60
dans,dans,81
les,le,71
bureaux,bureau,21
de,de,81
la,le,71
rédaction,rédaction,22
",",",",p
il,il,51
se,se,51
présenta,présenter,19
devant,devant,81
monsieur,monsieur,21
Walter,Walter,20
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
été,être,12
tout,tout,60
surpris,surprendre,12
ce,ce,74
matin,matin,21
",",",",p
monsieur,monsieur,21
",",",",p
de,de,81
ne,ne,60
pas,pas,60
trouver,trouver,14
mon,mon,73
second,second,72
article,article,21
sur,sur,81
l',le,71
Algérie,Algérie,20
/.,/.,P
le,le,71
directeur,directeur,21
leva,lever,19
la,le,71
tête,tête,22
",",",",p
et,et,82
d',de,81
une,un,71
voix,voix,22
sèche,sec,30
:,:,p
-,-,p
je,je,51
l',le,52
ai,avoir,17
donné,donner,12
à,à,81
votre,votre,73
ami,ami,21
Forestier,Forestier,20
",",",",p
en,en,81
le,le,52
priant,prier,13
de,de,81
le,le,52
lire,lire,14
;,;,p
il,il,51
ne,ne,60
l',le,52
a,avoir,17
pas,pas,60
trouvé,trouver,12
suffisant,suffisant,30
",",",",p
il,il,51
faudra,falloir,15
me,je,51
le,le,52
refaire,refaire,14
/.,/.,P
Duroy,Duroy,20
",",",",p
furieux,furieux,30
",",",",p
sortit,sortir,19
sans,sans,81
répondre,répondre,14
un,un,71
mot,mot,21
",",",",p
et,et,82
",",",",p
pénétrant,pénétrer,13
brusquement,brusquement,60
dans,dans,81
le,le,71
cabinet,cabinet,21
de,de,81
son,son,73
camarade,camarade,21
:,:,p
-,-,p
pourquoi,pourquoi,60
n',ne,60
as,avoir,17
tu,tu,51
pas,pas,60
fait,faire,12
paraître,paraître,14
",",",",p
ce,ce,74
matin,matin,21
",",",",p
ma,mon,73
chronique,chronique,22
/?,/?,P
le,le,71
journaliste,journaliste,21
fumait,fumer,18
une,un,71
cigarette,cigarette,22
",",",",p
le,le,71
dos,dos,21
au,à,81
au,le,71
fond,fond,21
de,de,81
son,son,73
fauteuil,fauteuil,21
et,et,82
les,le,71
pieds,pied,21
sur,sur,81
sa,son,73
table,table,22
",",",",p
salissant,salir,13
de,de,81
ses,son,73
talons,talon,21
un,un,71
article,article,21
commencé,commencé,31
/.,/.,P
il,il,51
articula,articuler,19
tranquillement,tranquillement,60
avec,avec,81
un,un,71
son,son,21
de,de,81
voix,voix,22
ennuyé,ennuyé,31
et,et,82
lointain,lointain,30
",",",",p
comme,comme,83
s',si,83
il,il,51
parlait,parler,18
du,de,81
du,le,71
fond,fond,21
d',de,81
un,un,71
trou,trou,21
:,:,p
-,-,p
le,le,71
patron,patron,21
l',le,52
a,avoir,17
trouvé,trouver,12
mauvais,mauvais,30
",",",",p
et,et,82
m',je,51
a,avoir,17
chargé,charger,12
de,de,81
te,tu,51
le,le,52
remettre,remettre,14
pour,pour,81
le,le,52
recommencer,recommencer,14
/.,/.,P
tiens,tenir,17
",",",",p
le,le,52
voilà,voilà,81
/.,/.,P
et,et,82
il,il,51
indiquait,indiquer,18
du,de,81
du,le,71
doigt,doigt,21
les,le,71
feuilles,feuille,22
dépliées,déplié,31
sous,sous,81
un,un,71
presse-papier,presse-papier,21
/.,/.,P
Duroy,Duroy,20
",",",",p
confondu,confondu,31
",",",",p
ne,ne,60
trouva,trouver,19
rien,rien,52
à,à,81
dire,dire,14
",",",",p
et,et,82
",",",",p
comme,comme,83
il,il,51
mettait,mettre,18
sa,son,73
prose,prose,22
dans,dans,81
sa,son,73
poche,poche,22
",",",",p
Forestier,Forestier,20
reprit,reprendre,19
:,:,p
-,-,p
aujourd'hui,aujourd'hui,60
tu,tu,51
vas,aller,17
te,tu,51
rendre,rendre,14
d'abord,d'abord,60
à,à,81
la,le,71
préfecture,préfecture,22
/…,/…,P
et,et,82
il,il,51
indiqua,indiquer,19
une,un,71
série,série,22
de,de,81
courses,course,22
d',de,81
affaires,affaire,22
",",",",p
de,de,81
nouvelles,nouvelle,22
à,à,81
recueillir,recueillir,14
/.,/.,P
Duroy,Duroy,20
s',se,51
en,en,52
alla,aller,19
",",",",p
sans,sans,81
avoir,avoir,14
pu,pouvoir,12
découvrir,découvrir,14
le,le,71
mot,mot,21
mordant,mordant,30
qu',que,52
il,il,51
cherchait,chercher,18
/.,/.,P
il,il,51
rapporta,rapporter,19
son,son,73
article,article,21
le,le,71
lendemain,lendemain,21
/.,/.,P
il,il,51
lui,lui,51
fut,être,19
rendu,rendre,12
de,de,81
nouveau,nouveau,21
/.,/.,P
l',le,52
ayant,avoir,13
refait,refaire,12
une,un,71
troisième,troisième,72
fois,fois,22
",",",",p
et,et,82
le,le,52
voyant,voir,13
refusé,refusé,31
",",",",p
il,il,51
comprit,comprendre,19
qu',que,83
il,il,51
allait,aller,18
trop,trop,60
vite,vite,60
et,et,82
