12080
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-treizième extrait>,<>,<>
votre,votre,73
enlèvement,enlèvement,21
",",",",p
je,je,51
vous,vous,51
prie,prier,17
/.,/.,P
-,-,p
il,il,51
ne,ne,60
s',se,51
agit,agir,17
point,point,60
de,de,81
cela,cela,52
pour,pour,81
le,le,71
moment,moment,21
",",",",p
dit,dire,19
madame,madame,22
Bonacieux,Bonacieux,20
/.,/.,P
-,-,p
et,et,82
de,de,81
quoi,quoi,52
s',se,51
agit,agir,17
il,il,51
donc,donc,82
?,?,p
de,de,81
ma,mon,73
captivité,captivité,22
/?,/?,P
je,je,51
l',le,52
ai,avoir,17
apprise,apprendre,12
le,le,71
jour,jour,21
même,même,30
;,;,p
mais,mais,82
comme,comme,83
vous,vous,51
n',ne,60
étiez,être,18
coupable,coupable,30
d',de,81
aucun,aucun,75
crime,crime,21
",",",",p
comme,comme,83
vous,vous,51
n',ne,60
étiez,être,18
complice,complice,30
d',de,81
aucune,aucun,75
intrigue,intrigue,22
",",",",p
comme,comme,83
vous,vous,51
ne,ne,60
saviez,savoir,18
rien,rien,52
enfin,enfin,60
qui,qui,52
pût,pouvoir,18
vous,vous,51
compromettre,compromettre,14
",",",",p
ni,ni,82
vous,vous,51
",",",",p
ni,ni,82
personne,personne,52
",",",",p
je,je,51
n',ne,60
ai,avoir,17
attaché,attacher,12
à,à,81
cet,ce,74
événement,événement,21
que,que,83
l',le,71
importance,importance,22
qu',que,52
il,il,51
méritait,mériter,18
/.,/.,P
-,-,p
vous,vous,51
en,en,52
parlez,parler,17
bien,bien,60
à,à,81
votre,votre,73
aise,aise,22
",",",",p
madame,madame,22
!,!,p
reprit,reprendre,19
Bonacieux,Bonacieux,20
blessé,blessé,31
du,de,81
du,le,71
peu,peu,60
d',de,81
intérêt,intérêt,21
que,que,52
lui,lui,51
témoignait,témoigner,18
sa,son,73
femme,femme,22
;,;,p
savez,savoir,17
vous,vous,51
que,que,83
j',je,51
ai,avoir,17
été,être,12
plongé,plonger,12
un,un,71
jour,jour,21
et,et,82
une,un,71
nuit,nuit,22
dans,dans,81
un,un,71
cachot,cachot,21
de,de,81
la,le,71
Bastille,Bastille,20
/?,/?,P
un,un,71
jour,jour,21
et,et,82
une,un,71
nuit,nuit,22
sont,être,17
bientôt,bientôt,60
passés,passer,12
;,;,p
laissons,laisser,17
donc,donc,82
votre,votre,73
captivité,captivité,22
",",",",p
et,et,82
revenons,revenir,17
à,à,81
ce,ce,52
qui,qui,52
m',je,51
amène,amener,17
près,près,81
de,de,81
vous,vous,51
/.,/.,P
-,-,p
comment,comment,60
?,?,p
ce,ce,52
qui,qui,52
vous,vous,51
amène,amener,17
près,près,81
de,de,81
moi,moi,51
/!,/!,P
n',ne,60
est,être,17
ce,ce,52
donc,donc,82
pas,pas,60
le,le,71
désir,désir,21
de,de,81
revoir,revoir,14
un,un,71
mari,mari,21
dont,dont,52
vous,vous,51
êtes,être,17
séparée,séparer,12
depuis,depuis,81
huit,huit,72
jours,jour,21
?,?,p
demanda,demander,19
le,le,71
mercier,mercier,21
piqué,piqué,31
au,à,81
au,le,71
vif,vif,30
/.,/.,P
-,-,p
c',ce,52
est,être,17
cela,cela,52
d'abord,d'abord,60
",",",",p
et,et,82
autre,autre,75
chose,chose,22
ensuite,ensuite,60
/.,/.,P
-,-,p
parlez,parler,17
/!,/!,P
une,un,71
chose,chose,22
du,de,81
du,le,71
plus,plus,60
haut,haut,30
intérêt,intérêt,21
et,et,82
de,de,81
laquelle,lequel,52
dépend,dépendre,17
notre,notre,73
fortune,fortune,22
à,à,81
venir,venir,14
peut-être,peut-être,60
/.,/.,P
-,-,p
notre,notre,73
fortune,fortune,22
a,avoir,17
fort,fort,60
changé,changer,12
de,de,81
face,face,22
depuis,depuis,81
que,que,83
je,je,51
vous,vous,51
ai,avoir,17
vue,voir,12
",",",",p
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
et,et,82
je,je,51
ne,ne,60
serais,être,16
pas,pas,60
étonné,étonner,12
que,que,83
d',de,81
ici,ici,60
à,à,81
quelques,quelque,75
mois,mois,21
elle,il,51
ne,ne,60
fît,faire,18
envie,envie,22
à,à,81
beaucoup,beaucoup,60
de,de,81
gens,gens,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
surtout,surtout,60
si,si,83
vous,vous,51
voulez,vouloir,17
suivre,suivre,14
les,le,71
instructions,instruction,22
que,que,52
je,je,51
vais,aller,17
vous,vous,51
donner,donner,14
/.,/.,P
-,-,p
à,à,81
moi,moi,51
/?,/?,P
oui,oui,60
",",",",p
à,à,81
vous,vous,51
/.,/.,P
il,il,51
y,y,52
a,avoir,17
une,un,71
bonne,bon,30
et,et,82
sainte,saint,30
action,action,22
à,à,81
faire,faire,14
",",",",p
monsieur,monsieur,21
",",",",p
et,et,82
beaucoup,beaucoup,60
d',de,81
argent,argent,21
à,à,81
gagner,gagner,14
en,en,81
même,même,75
temps,temps,21
/.,/.,P
“,“,p
madame,madame,22
Bonacieux,Bonacieux,20
savait,savoir,18
qu',que,83
en,en,81
parlant,parler,13
d',de,81
argent,argent,21
à,à,81
son,son,73
mari,mari,21
",",",",p
elle,il,51
le,le,52
prenait,prendre,18
par,par,81
son,son,73
faible,faible,21
/.,/.,P
mais,mais,82
un,un,71
homme,homme,21
",",",",p
fût,être,19
ce,ce,52
un,un,71
mercier,mercier,21
",",",",p
lorsqu',lorsque,83
il,il,51
a,avoir,17
causé,causer,12
dix,dix,72
minutes,minute,22
avec,avec,81
le,le,71
cardinal,cardinal,21
de,de,81
Richelieu,Richelieu,20
",",",",p
n',ne,60
est,être,17
plus,plus,60
le,le,71
même,même,75
homme,homme,21
/.,/.,P
“,“,p
beaucoup,beaucoup,60
d',de,81
argent,argent,21
à,à,81
gagner,gagner,14
!,!,p
dit,dire,19
Bonacieux,Bonacieux,20
en,en,81
allongeant,allonger,13
les,le,71
lèvres,lèvre,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
beaucoup,beaucoup,60
/.,/.,P
-,-,p
combien,combien,60
",",",",p
à,à,81
peu,peu,60
près,près,81
/?,/?,P
mille,mille,72
pistoles,pistole,22
peut-être,peut-être,60
/.,/.,P
-,-,p
ce,ce,52
que,que,52
vous,vous,51
avez,avoir,17
à,à,81
me,je,51
demander,demander,14
est,être,17
donc,donc,82
bien,bien,60
grave,grave,30
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
que,que,52
faut,falloir,17
il,il,51
faire,faire,14
/?,/?,P
vous,vous,51
partirez,partir,15
sur-le-champ,sur-le-champ,60
",",",",p
je,je,51
vous,vous,51
remettrai,remettre,15
un,un,71
papier,papier,21
dont,dont,52
vous,vous,51
ne,ne,60
vous,vous,51
dessaisirez,dessaisir,15
sous,sous,81
aucun,aucun,75
prétexte,prétexte,21
",",",",p
et,et,82
que,que,52
vous,vous,51
remettrez,remettre,15
en,en,81
main,main,22
propre,propre,30
/.,/.,P
-,-,p
et,et,82
pour,pour,81
où,où,60
partirai,partir,15
je,je,51
/?,/?,P
pour,pour,81
Londres,Londres,20
/.,/.,P
-,-,p
moi,moi,51
",",",",p
pour,pour,81
Londres,Londres,20
/!,/!,P
allons,aller,17
donc,donc,82
",",",",p
vous,vous,51
raillez,railler,17
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
affaire,affaire,22
à,à,81
Londres,Londres,20
/.,/.,P
-,-,p
mais,mais,82
d',de,81
autres,autre,52
ont,avoir,17
besoin,besoin,21
que,que,83
vous,vous,51
y,y,52
alliez,aller,17
/.,/.,P
-,-,p
quels,quel,52
sont,être,17
ces,ce,74
autres,autre,52
/?,/?,P
je,je,51
vous,vous,51
avertis,avertir,17
",",",",p
je,je,51
ne,ne,60
fais,faire,17
plus,plus,60
rien,rien,52
en,en,81
aveugle,aveugle,21
",",",",p
et,et,82
je,je,51
veux,vouloir,17
savoir,savoir,14
non,non,60
seulement,seulement,60
à,à,81
quoi,quoi,52
je,je,51
m',je,51
expose,exposer,17
",",",",p
mais,mais,82
encore,encore,60
pour,pour,81
qui,qui,52
je,je,51
m',je,51
expose,exposer,17
/.,/.,P
-,-,p
une,un,71
personne,personne,22
illustre,illustre,30
vous,vous,51
envoie,envoyer,17
",",",",p
une,un,71
personne,personne,22
illustre,illustre,30
vous,vous,51
attend,attendre,17
:,:,p
la,le,71
récompense,récompense,22
dépassera,dépasser,15
vos,votre,73
désirs,désir,21
",",",",p
voilà,voilà,81
tout,tout,52
ce,ce,52
que,que,52
je,je,51
puis,pouvoir,17
vous,vous,51
promettre,promettre,14
/.,/.,P
-,-,p
des,de,81
des,le,71
intrigues,intrigue,22
encore,encore,60
",",",",p
toujours,toujours,60
des,de,81
des,le,71
intrigues,intrigue,22
!,!,p
merci,merci,21
",",",",p
je,je,51
m',je,51
en,en,52
défie,défier,17
maintenant,maintenant,60
",",",",p
et,et,82
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
m',je,51
a,avoir,17
éclairé,éclairer,12
là-dessus,là-dessus,60
/.,/.,P
-,-,p
le,le,71
cardinal,cardinal,21
!,!,p
s',se,51
écria,écrier,19
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
vous,vous,51
avez,avoir,17
vu,voir,12
le,le,71
cardinal,cardinal,21
/?,/?,P
il,il,51
m',je,51
a,avoir,17
fait,faire,12
appeler,appeler,14
",",",",p
répondit,répondre,19
fièrement,fièrement,60
le,le,71
mercier,mercier,21
/.,/.,P
-,-,p
et,et,82
vous,vous,51
vous,vous,51
êtes,être,17
rendu,rendre,12
à,à,81
son,son,73
invitation,invitation,22
",",",",p
imprudent,imprudent,30
que,que,52
vous,vous,51
êtes,être,17
/.,/.,P
-,-,p
je,je,51
dois,devoir,17
dire,dire,14
que,que,83
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
le,le,71
choix,choix,21
de,de,81
m',je,51
y,y,52
rendre,rendre,14
ou,ou,82
de,de,81
ne,ne,60
pas,pas,60
m',je,51
y,y,52
rendre,rendre,14
",",",",p
car,car,82
j',je,51
étais,être,18
entre,entre,81
deux,deux,72
gardes,garde,21
/.,/.,P
il,il,51
est,être,17
vrai,vrai,30
encore,encore,60
de,de,81
dire,dire,14
que,que,83
",",",",p
comme,comme,83
alors,alors,60
je,je,51
ne,ne,60
connaissais,connaître,18
pas,pas,60
son,son,73
éminence,éminence,22
",",",",p
si,si,83
j',je,51
avais,avoir,18
pu,pouvoir,12
me,je,51
dispenser,dispenser,14
de,de,81
cette,ce,74
visite,visite,22
",",",",p
j',je,51
en,en,52
eusse,avoir,18
été,être,12
fort,fort,60
enchanté,enchanter,12
/.,/.,P
-,-,p
il,il,51
vous,vous,51
a,avoir,17
donc,donc,82
maltraité,maltraiter,12
?,?,p
il,il,51
vous,vous,51
a,avoir,17
donc,donc,82
fait,faire,12
des,de,81
des,le,71
menaces,menace,22
/?,/?,P
il,il,51
m',je,51
a,avoir,17
tendu,tendre,12
la,le,71
main,main,22
et,et,82
m',je,51
a,avoir,17
appelé,appeler,12
son,son,73
ami,ami,21
",",",",p
-,-,p
son,son,73
ami,ami,21
!,!,p
entendez,entendre,17
vous,vous,51
",",",",p
madame,madame,22
?,?,p
je,je,51
suis,être,17
l',le,71
ami,ami,21
du,de,81
du,le,71
grand,grand,30
cardinal,cardinal,21
/!,/!,P
du,de,81
du,le,71
grand,grand,30
cardinal,cardinal,21
/!,/!,P
lui,lui,51
contesteriez,contester,16
vous,vous,51
ce,ce,74
titre,titre,21
",",",",p
par,par,81
hasard,hasard,21
",",",",p
madame,madame,22
/?,/?,P
je,je,51
ne,ne,60
lui,lui,51
conteste,contester,17
rien,rien,52
",",",",p
mais,mais,82
je,je,51
vous,vous,51
dis,dire,17
que,que,83
la,le,71
faveur,faveur,22
d',de,81
un,un,71
ministre,ministre,21
est,être,17
éphémère,éphémère,30
",",",",p
et,et,82
qu',que,52
il,il,51
faut,falloir,17
être,être,14
fou,fou,30
pour,pour,81
s',se,51
attacher,attacher,14
à,à,81
un,un,71
ministre,ministre,21
;,;,p
il,il,51
est,être,17
des,de,81
des,le,71
pouvoirs,pouvoir,21
au-dessus,au-dessus,60
du,de,81
du,le,71
sien,sien,52
",",",",p
qui,qui,52
ne,ne,60
reposent,reposer,17
pas,pas,60
sur,sur,81
le,le,71
caprice,caprice,21
d',de,81
un,un,71
homme,homme,21
ou,ou,82
l',le,71
issue,issue,22
d',de,81
un,un,71
événement,événement,21
;,;,p
c',ce,52
est,être,17
à,à,81
ces,ce,74
pouvoirs,pouvoir,21
qu',que,83
il,il,51
faut,falloir,17
se,se,51
rallier,rallier,14
/.,/.,P
-,-,p
j',je,51
en,en,52
suis,être,17
fâché,fâcher,12
",",",",p
madame,madame,22
",",",",p
mais,mais,82
je,je,51
ne,ne,60
connais,connaître,17
pas,pas,60
d',de,81
autre,autre,75
pouvoir,pouvoir,21
que,que,52
celui,celui,52
du,de,81
du,le,71
grand,grand,30
homme,homme,21
que,que,52
j',je,51
ai,avoir,17
l',le,71
honneur,honneur,21
de,de,81
servir,servir,14
/.,/.,P
-,-,p
vous,vous,51
servez,servir,17
le,le,71
cardinal,cardinal,21
/?,/?,P
oui,oui,60
",",",",p
madame,madame,22
",",",",p
et,et,82
comme,comme,83
son,son,73
serviteur,serviteur,21
je,je,51
ne,ne,60
permettrai,permettre,15
pas,pas,60
que,que,83
vous,vous,51
vous,vous,51
livriez,livrer,17
à,à,81
des,de,81
des,le,71
complots,complot,21
contre,contre,81
la,le,71
sûreté,sûreté,22
de,de,81
l',le,71
Etat,état,21
",",",",p
et,et,82
que,que,52
vous,vous,51
serviez,servir,18
",",",",p
vous,vous,51
",",",",p
les,le,71
intrigues,intrigue,22
d',de,81
une,un,71
femme,femme,22
qui,qui,52
n',ne,60
est,être,17
pas,pas,60
française,français,30
et,et,82
qui,qui,52
a,avoir,17
le,le,71
coeur,coeur,21
espagnol,espagnol,30
/.,/.,P
heureusement,heureusement,60
",",",",p
le,le,71
grand,grand,30
cardinal,cardinal,21
est,être,17
là,là,60
",",",",p
son,son,73
regard,regard,21
vigilant,vigilant,30
surveille,surveiller,17
et,et,82
pénètre,pénétrer,17
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
/.,/.,P
“,“,p
Bonacieux,Bonacieux,20
répétait,répéter,18
mot,mot,21
pour,pour,81
mot,mot,21
une,un,71
phrase,phrase,22
qu',que,52
il,il,51
avait,avoir,18
entendu,entendre,12
dire,dire,14
au,à,81
au,le,71
comte,comte,21
de,de,81
Rochefort,Rochefort,20
;,;,p
mais,mais,82
la,le,71
pauvre,pauvre,30
femme,femme,22
",",",",p
qui,qui,52
avait,avoir,18
compté,compter,12
sur,sur,81
son,son,73
mari,mari,21
et,et,82
qui,qui,52
",",",",p
dans,dans,81
cet,ce,74
espoir,espoir,21
",",",",p
avait,avoir,18
répondu,répondre,12
de,de,81
lui,lui,51
à,à,81
la,le,71
reine,reine,22
",",",",p
n',ne,60
en,en,52
frémit,frémir,19
pas,pas,60
moins,moins,60
",",",",p
et,et,82
du,de,81
du,le,71
danger,danger,21
dans,dans,81
lequel,lequel,52
elle,il,51
avait,avoir,18
failli,faillir,12
se,se,51
jeter,jeter,14
",",",",p
et,et,82
de,de,81
l',le,71
impuissance,impuissance,22
dans,dans,81
laquelle,lequel,52
elle,il,51
se,se,51
trouvait,trouver,18
/.,/.,P
cependant,cependant,82
connaissant,connaître,13
la,le,71
faiblesse,faiblesse,22
et,et,82
surtout,surtout,60
la,le,71
cupidité,cupidité,22
de,de,81
son,son,73
mari,mari,21
elle,il,51
ne,ne,60
désespérait,désespérer,18
pas,pas,60
de,de,81
l',le,52
amener,amener,14
à,à,81
ses,son,73
fins,fin,22
/.,/.,P
“,“,p
ah,ah,93
!,!,p
vous,vous,51
êtes,être,17
cardinaliste,cardinaliste,30
",",",",p
monsieur,monsieur,21
",",",",p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
;,;,p
ah,ah,93
!,!,p
vous,vous,51
servez,servir,17
le,le,71
parti,parti,21
de,de,81
ceux,celui,52
qui,qui,52
maltraitent,maltraiter,17
votre,votre,73
femme,femme,22
et,et,82
qui,qui,52
insultent,insulter,17
votre,votre,73
reine,reine,22
/!,/!,P
les,le,71
intérêts,intérêt,21
particuliers,particulier,30
ne,ne,60
sont,être,17
rien,rien,52
devant,devant,81
les,le,71
intérêts,intérêt,21
de,de,81
tous,tout,52
/.,/.,P
je,je,51
suis,être,17
pour,pour,81
ceux,celui,52
qui,qui,52
sauvent,sauver,17
Etat,état,21
“,“,p
",",",",p
dit,dire,19
avec,avec,81
emphase,emphase,22
Bonacieux,Bonacieux,20
/.,/.,P
c',ce,52
était,être,18
une,un,71
autre,autre,75
phrase,phrase,22
du,de,81
du,le,71
comte,comte,21
de,de,81
Rochefort,Rochefort,20
",",",",p
qu',que,52
il,il,51
avait,avoir,18
retenue,retenir,12
et,et,82
qu',que,52
il,il,51
trouvait,trouver,18
l',le,71
occasion,occasion,22
de,de,81
placer,placer,14
/.,/.,P
“,“,p
et,et,82
savez,savoir,17
vous,vous,51
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
l',le,71
Etat,état,21
dont,dont,52
vous,vous,51
parlez,parler,17
?,?,p
dit,dire,19
madame,madame,22
Bonacieux,Bonacieux,20
en,en,81
haussant,hausser,13
les,le,71
épaules,épaule,22
/.,/.,P
contentez,contenter,17
vous,vous,51
d',de,81
être,être,14
un,un,71
bourgeois,bourgeois,21
sans,sans,81
finesse,finesse,22
aucune,aucun,52
",",",",p
et,et,82
tournez,tourner,17
vous,vous,51
du,de,81
du,le,71
côté,côté,21
qui,qui,52
vous,vous,51
offre,offrir,17
le,le,71
plus,plus,60
d',de,81
avantages,avantage,21
/.,/.,P
-,-,p
eh,eh,93
!,!,p
eh,eh,93
!,!,p
dit,dire,19
Bonacieux,Bonacieux,20
en,en,81
frappant,frapper,13
sur,sur,81
un,un,71
sac,sac,21
à,à,81
la,le,71
panse,panse,22
arrondie,arrondi,31
et,et,82
qui,qui,52
rendit,rendre,19
un,un,71
son,son,21
argentin,argentin,30
;,;,p
que,que,52
dites,dire,17
vous,vous,51
de,de,81
ceci,ceci,52
",",",",p
madame,madame,22
la,le,71
prêcheuse,prêcheuse,22
/?,/?,P
d',de,81
où,où,60
vient,venir,17
cet,ce,74
argent,argent,21
/?,/?,P
vous,vous,51
ne,ne,60
devinez,deviner,17
pas,pas,60
/?,/?,P
du,de,81
du,le,71
cardinal,cardinal,21
/?,/?,P
de,de,81
lui,lui,51
et,et,82
de,de,81
mon,mon,73
ami,ami,21
le,le,71
comte,comte,21
de,de,81
Rochefort,Rochefort,20
/.,/.,P
-,-,p
le,le,71
comte,comte,21
de,de,81
Rochefort,Rochefort,20
!,!,p
mais,mais,82
c',ce,52
est,être,17
lui,lui,51
qui,qui,52
m',je,51
a,avoir,17
enlevée,enlever,12
/!,/!,P
cela,cela,52
se,se,51
peut,pouvoir,17
",",",",p
madame,madame,22
/.,/.,P
-,-,p
et,et,82
vous,vous,51
recevez,recevoir,17
de,de,81
l',le,71
argent,argent,21
de,de,81
cet,ce,74
homme,homme,21
/?,/?,P
ne,ne,60
m',je,51
avez,avoir,17
vous,vous,51
pas,pas,60
dit,dire,12
que,que,83
cet,ce,74
enlèvement,enlèvement,21
était,être,18
tout,tout,60
politique,politique,30
/?,/?,P
oui,oui,60
;,;,p
mais,mais,82
cet,ce,74
enlèvement,enlèvement,21
avait,avoir,18
pour,pour,81
but,but,21
de,de,81
me,je,51
faire,faire,14
trahir,trahir,14
ma,mon,73
maîtresse,maîtresse,22
",",",",p
de,de,81
m',je,51
arracher,arracher,14
par,par,81
des,de,81
des,le,71
tortures,torture,22
des,de,81
des,le,71
aveux,aveu,21
qui,qui,52
pussent,pouvoir,18
compromettre,compromettre,14
l',le,71
honneur,honneur,21
et,et,82
peut-être,peut-être,60
la,le,71
vie,vie,22
de,de,81
mon,mon,73
auguste,auguste,30
maîtresse,maître,21
/.,/.,P
-,-,p
madame,madame,22
",",",",p
reprit,reprendre,19
Bonacieux,Bonacieux,20
",",",",p
votre,votre,73
auguste,auguste,30
maîtresse,maître,21
est,être,17
une,un,71
perfide,perfide,30
Espagnole,Espagnol,20
",",",",p
et,et,82
ce,ce,52
que,que,52
le,le,71
cardinal,cardinal,21
fait,faire,17
est,être,17
bien,bien,60
fait,faire,12
/.,/.,P
-,-,p
monsieur,monsieur,21
",",",",p
dit,dire,19
la,le,71
jeune,jeune,30
femme,femme,22
",",",",p
je,je,51
vous,vous,51
savais,savoir,18
lâche,lâche,30
",",",",p
avare,avare,30
et,et,82
imbécile,imbécile,30
",",",",p
mais,mais,82
je,je,51
ne,ne,60
vous,vous,51
savais,savoir,18
pas,pas,60
infâme,infâme,30
/!,/!,P
madame,madame,22
",",",",p
dit,dire,19
Bonacieux,Bonacieux,20
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
jamais,jamais,60
vu,voir,12
sa,son,73
femme,femme,22
en,en,81
colère,colère,22
",",",",p
et,et,82
qui,qui,52
reculait,reculer,18
devant,devant,81
le,le,71
courroux,courroux,21
conjugal,conjugal,30
;,;,p
madame,madame,22
",",",",p
que,que,52
dites,dire,17
vous,vous,51
donc,donc,82
/?,/?,P
je,je,51
dis,dire,17
que,que,83
vous,vous,51
êtes,être,17
un,un,71
misérable,misérable,21
!,!,p
continua,continuer,19
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
qui,qui,52
vit,vivre,17
qu',que,83
elle,il,51
reprenait,reprendre,18
quelque,quelque,75
influence,influence,22
sur,sur,81
son,son,73
mari,mari,21
/.,/.,P
ah,ah,93
!,!,p
vous,vous,51
faites,faire,17
de,de,81
la,le,71
politique,politique,22
",",",",p
vous,vous,51
!,!,p
et,et,82
de,de,81
la,le,71
politique,politique,22
cardinaliste,cardinaliste,30
encore,encore,60
/!,/!,P
ah,ah,93
!,!,p
vous,vous,51
vous,vous,51
vendez,vendre,17
",",",",p
corps,corps,21
et,et,82
âme,âme,22
",",",",p
au,à,81
au,le,71
démon,démon,21
pour,pour,81
de,de,81
l',le,71
argent,argent,21
/.,/.,P
-,-,p
non,non,60
",",",",p
mais,mais,82
au,à,81
au,le,71
cardinal,cardinal,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
la,le,71
même,même,75
chose,chose,22
!,!,p
s',se,51
écria,écrier,19
la,le,71
jeune,jeune,30
femme,femme,22
/.,/.,P
qui,qui,52
dit,dire,17
Richelieu,Richelieu,20
",",",",p
dit,dire,17
Satan,Satan,20
/.,/.,P
-,-,p
taisez,taire,17
vous,vous,51
",",",",p
madame,madame,22
",",",",p
taisez,taire,17
vous,vous,51
",",",",p
on,on,51
pourrait,pouvoir,16
vous,vous,51
entendre,entendre,14
/!,/!,P
oui,oui,60
",",",",p
vous,vous,51
avez,avoir,17
raison,raison,22
",",",",p
et,et,82
je,je,51
serais,être,16
honteuse,honteux,30
pour,pour,81
vous,vous,51
de,de,81
votre,votre,73
lâcheté,lâcheté,22
/.,/.,P
-,-,p
mais,mais,82
qu',que,52
exigez,exiger,17
vous,vous,51
donc,donc,82
de,de,81
moi,moi,51
?,?,p
voyons,voir,17
/!,/!,P
je,je,51
vous,vous,51
l',le,52
ai,avoir,17
dit,dire,12
:,:,p
que,que,83
vous,vous,51
partiez,partir,17
à,à,81
l',le,71
instant,instant,21
même,même,30
",",",",p
monsieur,monsieur,21
",",",",p
que,que,52
vous,vous,51
accomplissiez,accomplir,18
loyalement,loyalement,60
la,le,71
commission,commission,22
dont,dont,52
je,je,51
daigne,daigner,17
vous,vous,51
charger,charger,14
",",",",p
et,et,82
à,à,81
cette,ce,74
condition,condition,22
j',je,51
oublie,oublier,17
tout,tout,52
",",",",p
je,je,51
pardonne,pardonner,17
",",",",p
et,et,82
il,il,51
y,y,52
a,avoir,17
plus,plus,60
-,-,p
elle,il,51
lui,lui,51
tendit,tendre,19
la,le,71
main,main,22
-,-,p
je,je,51
vous,vous,51
rends,rendre,17
mon,mon,73
amitié,amitié,22
/.,/.,P
“,“,p
Bonacieux,Bonacieux,20
était,être,18
poltron,poltron,21
et,et,82
avare,avare,30
;,;,p
mais,mais,82
il,il,51
aimait,aimer,18
sa,son,73
femme,femme,22
:,:,p
il,il,51
fut,être,19
attendri,attendrir,12
/.,/.,P
un,un,71
homme,homme,21
de,de,81
cinquante,cinquante,72
ans,an,21
ne,ne,60
tient,tenir,17
pas,pas,60
longtemps,longtemps,60
rancune,rancune,22
à,à,81
une,un,71
femme,femme,22
de,de,81
vingt,vingt,72
trois,trois,72
/.,/.,P
madame,madame,22
Bonacieux,Bonacieux,20
vit,voir,19
qu',que,83
il,il,51
hésitait,hésiter,18
:,:,p
“,“,p
allons,aller,17
",",",",p
êtes,être,17
vous,vous,51
décidé,décider,12
?,?,p
“,“,p
dit,dire,19
elle,il,51
/.,/.,P
-,-,p
mais,mais,82
",",",",p
ma,mon,73
chère,cher,30
amie,amie,22
",",",",p
réfléchissez,réfléchir,17
donc,donc,82
un,un,71
peu,peu,60
à,à,81
ce,ce,52
que,que,52
vous,vous,51
exigez,exiger,17
de,de,81
moi,moi,51
;,;,p
Londres,Londres,20
est,être,17
loin,loin,60
de,de,81
Paris,Paris,20
",",",",p
fort,fort,60
loin,loin,60
",",",",p
et,et,82
peut-être,peut-être,60
la,le,71
commission,commission,22
dont,dont,52
vous,vous,51
me,je,51
chargez,charger,17
n',ne,60
est,être,17
elle,il,51
pas,pas,60
sans,sans,81
dangers,danger,21
/.,/.,P
-,-,p
que,que,52
importe,importer,17
",",",",p
si,si,83
vous,vous,51
les,le,52
évitez,éviter,17
/!,/!,P
tenez,tenir,17
",",",",p
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
dit,dire,19
le,le,71
mercier,mercier,21
",",",",p
tenez,tenir,17
",",",",p
décidément,décidément,60
",",",",p
je,je,51
refuse,refuser,17
:,:,p
les,le,71
intrigues,intrigue,22
me,je,51
font,faire,17
peur,peur,22
/.,/.,P
j',je,51
ai,avoir,17
vu,voir,12
la,le,71
Bastille,Bastille,20
",",",",p
moi,moi,51
/.,/.,P
brrrrou,brrrrou,93
!,!,p
c',ce,52
est,être,17
affreux,affreux,30
",",",",p
la,le,71
Bastille,Bastille,20
/!,/!,P
rien,rien,52
que,que,83
d',de,81
y,y,52
penser,penser,14
",",",",p
j',je,51
en,en,52
ai,avoir,17
la,le,71
chair,chair,22
de,de,81
poule,poule,22
/.,/.,P
on,on,51
m',je,51
a,avoir,17
menacé,menacer,12
de,de,81
la,le,71
torture,torture,22
/.,/.,P
savez,savoir,17
vous,vous,51
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
la,le,71
torture,torture,22
/?,/?,P
des,de,81
des,le,71
coins,coin,21
de,de,81
bois,bois,21
qu',que,52
on,on,51
vous,vous,51
enfonce,enfoncer,17
entre,entre,81
les,le,71
jambes,jambe,22
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
les,le,71
os,os,21
éclatent,éclater,17
/!,/!,P
non,non,60
",",",",p
décidément,décidément,60
",",",",p
je,je,51
n',ne,60
irai,aller,15
pas,pas,60
/.,/.,P
et,et,82
morbleu,morbleu,93
!,!,p
que,que,52
n',ne,60
y,y,52
allez,aller,17
vous,vous,51
vous-même,vous-même,51
?,?,p
car,car,82
",",",",p
en,en,81
vérité,vérité,22
",",",",p
je,je,51
crois,croire,17
que,que,83
je,je,51
me,je,51
suis,être,17
trompé,tromper,12
sur,sur,81
votre,votre,73
compte,compte,21
jusqu',jusque,81
à,à,81
présent,présent,21
:,:,p
je,je,51
crois,croire,17
que,que,83
