11536
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-cinquième extrait>,<>,<>
de,de,81
soupe,soupe,22
/.,/.,P
grâce,grâce,22
à,à,81
ce,ce,74
sustenteur,sustenteur,21
",",",",p
la,le,71
névrose,névrose,22
stationna,stationner,19
",",",",p
et,et,82
des,de,81
des,le,71
Esseintes,Esseintes,20
se,se,51
dit,dire,19
:,:,p
-,-,p
c',ce,52
est,être,17
toujours,toujours,60
autant,autant,60
de,de,81
gagné,gagné,31
;,;,p
peut-être,peut-être,60
que,que,83
la,le,71
température,température,22
changera,changer,15
",",",",p
que,que,83
le,le,71
ciel,ciel,21
versera,verser,15
un,un,71
peu,peu,60
de,de,81
cendre,cendre,22
sur,sur,81
cet,ce,74
exécrable,exécrable,30
soleil,soleil,21
qui,qui,52
m',je,51
épuise,épuiser,17
",",",",p
et,et,82
que,que,83
j',je,51
atteindrai,atteindre,15
ainsi,ainsi,60
",",",",p
sans,sans,81
trop,trop,60
d',de,81
encombre,encombre,21
",",",",p
les,le,71
premiers,premier,72
brouillards,brouillard,21
et,et,82
les,le,71
premiers,premier,72
froids,froid,21
/.,/.,P
dans,dans,81
cet,ce,74
engourdissement,engourdissement,21
",",",",p
dans,dans,81
cet,ce,74
ennui,ennui,21
désoeuvré,désoeuvré,30
où,où,60
il,il,51
plongeait,plonger,18
",",",",p
sa,son,73
bibliothèque,bibliothèque,22
dont,dont,52
le,le,71
rangement,rangement,21
demeurait,demeurer,18
inachevé,inachevé,30
",",",",p
l',le,52
agaça,agacer,19
;,;,p
ne,ne,60
bougeant,bouger,13
plus,plus,60
de,de,81
son,son,73
fauteuil,fauteuil,21
",",",",p
il,il,51
avait,avoir,18
constamment,constamment,60
sous,sous,81
les,le,71
yeux,oeil,21
ses,son,73
livres,livre,21
profanes,profane,30
",",",",p
posés,posé,31
de guingois,de guingois,60
sur,sur,81
les,le,71
tablettes,tablette,22
",",",",p
empiétant,empiéter,13
les,le,71
uns,un,52
sur,sur,81
les,le,71
autres,autre,52
",",",",p
s',se,51
étayant,étayer,13
entre,entre,81
eux,ils,51
ou,ou,82
gisant,gésir,13
de,de,81
même,même,60
que,que,83
des,de,81
des,le,71
capucins,capucin,21
de,de,81
cartes,carte,22
",",",",p
sur,sur,81
le,le,71
flanc,flanc,21
",",",",p
à,à,81
plat,plat,21
;,;,p
ce,ce,74
désordre,désordre,21
le,le,52
choqua,choquer,19
d'autant,d'autant,60
plus,plus,60
qu',que,83
il,il,51
contrastait,contraster,18
avec,avec,81
le,le,71
parfait,parfait,31
équilibre,équilibre,21
des,de,81
des,le,71
oeuvres,oeuvre,22
religieuses,religieux,30
",",",",p
soigneusement,soigneusement,60
alignées,aligné,31
à,à,81
la,le,71
parade,parade,22
",",",",p
le,le,71
long,long,21
des,de,81
des,le,71
murs,mur,21
/.,/.,P
il,il,51
tenta,tenter,19
de,de,81
faire,faire,14
cesser,cesser,14
cette,ce,74
confusion,confusion,22
",",",",p
mais,mais,82
après,après,81
dix,dix,72
minutes,minute,22
de,de,81
travail,travail,21
",",",",p
des,de,81
des,le,71
sueurs,sueur,22
l',le,52
inondèrent,inonder,19
;,;,p
cet,ce,74
effort,effort,21
l',le,52
épuisait,épuiser,18
;,;,p
il,il,51
fut,être,19
s',se,51
étendre,étendre,14
",",",",p
brisé,brisé,31
",",",",p
sur,sur,81
un,un,71
divan,divan,21
",",",",p
et,et,82
il,il,51
sonna,sonner,19
son,son,73
domestique,domestique,21
/.,/.,P
sur,sur,81
ses,son,73
indications,indication,22
",",",",p
le,le,71
vieillard,vieillard,21
se,se,51
mit,mettre,19
à,à,81
l',le,71
oeuvre,oeuvre,22
",",",",p
lui,lui,51
apportant,apporter,13
",",",",p
un,un,52
à,à,81
un,un,52
",",",",p
les,le,71
livres,livre,21
qu',que,52
il,il,51
examinait,examiner,18
et,et,82
dont,dont,52
il,il,51
désignait,désigner,18
la,le,71
place,place,22
/.,/.,P
cette,ce,74
besogne,besogne,22
fut,être,19
de,de,81
courte,court,30
durée,durée,22
",",",",p
car,car,82
la,le,71
bibliothèque,bibliothèque,22
de,de,81
des,de,81
des,le,71
Esseintes,Esseintes,20
ne,ne,60
renfermait,renfermer,18
qu',que,83
un,un,71
nombre,nombre,21
singulièrement,singulièrement,60
restreint,restreint,31
d',de,81
oeuvres,oeuvre,22
laïques,laïc,30
",",",",p
contemporaines,contemporain,30
/.,/.,P
à,à,81
force,force,22
de,de,81
les,le,52
avoir,avoir,14
passées,passer,12
",",",",p
dans,dans,81
son,son,73
cerveau,cerveau,21
",",",",p
comme,comme,83
on,on,51
passe,passer,17
des,de,81
des,le,71
bandes,bande,22
de,de,81
métal,métal,21
dans,dans,81
une,un,71
filière,filière,22
d',de,81
acier,acier,21
d',de,81
où,où,60
elles,ils,51
sortent,sortir,17
ténues,ténu,30
",",",",p
légères,léger,30
",",",",p
presque,presque,60
réduites,réduit,31
en,en,81
d',de,81
imperceptibles,imperceptible,30
fils,fil,21
",",",",p
il,il,51
avait,avoir,18
fini,finir,12
par,par,81
ne,ne,60
plus,plus,60
posséder,posséder,14
de,de,81
livres,livre,21
qui,qui,52
résistassent,résister,18
à,à,81
un,un,71
tel,tel,75
traitement,traitement,21
et,et,82
fussent,être,18
assez,assez,60
solidement,solidement,60
trempés,tremper,12
pour,pour,81
supporter,supporter,14
le,le,71
nouveau,nouveau,30
laminoir,laminoir,21
d',de,81
une,un,71
lecture,lecture,22
;,;,p
à,à,81
avoir,avoir,14
ainsi,ainsi,60
voulu,vouloir,12
raffiner,raffiner,14
",",",",p
il,il,51
avait,avoir,18
restreint,restreindre,12
et,et,82
presque,presque,60
stérilisé,stériliser,12
toute,tout,75
jouissance,jouissance,22
",",",",p
en,en,81
accentuant,accentuer,13
encore,encore,60
l',le,71
irrémédiable,irrémédiable,30
conflit,conflit,21
qui,qui,52
existait,exister,18
entre,entre,81
ses,son,73
idées,idée,22
et,et,82
celles,celui,52
du,de,81
du,le,71
monde,monde,21
où,où,60
le,le,71
hasard,hasard,21
l',le,52
avait,avoir,18
fait,faire,12
naître,naître,14
/.,/.,P
il,il,51
était,être,18
arrivé,arriver,12
maintenant,maintenant,60
à,à,81
ce,ce,74
résultat,résultat,21
",",",",p
qu',que,83
il,il,51
ne,ne,60
pouvait,pouvoir,18
plus,plus,60
découvrir,découvrir,14
un,un,71
écrit,écrit,21
qui,qui,52
contentât,contenter,18
ses,son,73
secrets,secret,30
désirs,désir,21
;,;,p
et,et,82
même,même,75
son,son,73
admiration,admiration,22
se,se,51
détachait,détacher,18
des,de,81
des,le,71
volumes,volume,21
qui,qui,52
avaient,avoir,18
certainement,certainement,60
contribué,contribuer,12
à,à,81
lui,lui,51
aiguiser,aiguiser,14
l',le,71
esprit,esprit,21
",",",",p
à,à,81
le,le,52
rendre,rendre,14
aussi,aussi,60
soupçonneux,soupçonneux,30
et,et,82
aussi,aussi,60
subtil,subtil,30
/.,/.,P
en,en,81
art,art,21
",",",",p
ses,son,73
idées,idée,22
étaient,être,18
pourtant,pourtant,60
parties,partir,12
d',de,81
un,un,71
point,point,21
de,de,81
vue,vue,22
simple,simple,30
;,;,p
pour,pour,81
lui,lui,51
",",",",p
les,le,71
écoles,école,22
n',ne,60
existaient,exister,18
point,point,60
;,;,p
seul,seul,30
le,le,71
tempérament,tempérament,21
de,de,81
l',le,71
écrivain,écrivain,21
importait,importer,18
;,;,p
seul,seul,30
le,le,71
travail,travail,21
de,de,81
sa,son,73
cervelle,cervelle,22
intéressait,intéresser,18
",",",",p
quel,quel,52
que,que,52
fût,être,19
le,le,71
sujet,sujet,21
qu',que,52
il,il,51
abordât,aborder,18
/.,/.,P
malheureusement,malheureusement,60
",",",",p
cette,ce,74
vérité,vérité,22
d',de,81
appréciation,appréciation,22
",",",",p
digne,digne,30
de,de,81
La Palisse,La Palisse,20
",",",",p
était,être,18
à,à,81
peu,peu,60
près,près,81
inapplicable,inapplicable,30
",",",",p
par,par,81
ce,ce,74
simple,simple,30
motif,motif,21
que,que,52
",",",",p
tout,tout,60
en,en,81
désirant,désirer,13
se,se,51
dégager,dégager,14
des,de,81
des,le,71
préjugés,préjugé,21
",",",",p
s',se,51
abstenir,abstenir,14
de,de,81
toute,tout,75
passion,passion,22
",",",",p
chacun,chacun,52
va,aller,17
de,de,81
préférence,préférence,22
aux,à,81
aux,le,71
oeuvres,oeuvre,22
qui,qui,52
correspondent,correspondre,17
le,le,71
plus,plus,60
intimement,intimement,60
à,à,81
son,son,73
propre,propre,30
tempérament,tempérament,21
et,et,82
finit,finir,19
par,par,81
reléguer,reléguer,14
en,en,81
arrière,arrière,21
toutes,tout,75
les,le,71
autres,autre,52
/.,/.,P
ce,ce,74
travail,travail,21
de,de,81
sélection,sélection,22
s',se,51
était,être,18
lentement,lentement,60
opéré,opérer,12
en,en,81
lui,lui,51
;,;,p
il,il,51
avait,avoir,18
naguère,naguère,60
adoré,adorer,12
le,le,71
grand,grand,30
Balzac,Balzac,20
",",",",p
mais,mais,82
en,en,81
même,même,75
temps,temps,21
que,que,83
son,son,73
organisme,organisme,21
s',se,51
était,être,18
déséquilibré,déséquilibrer,12
",",",",p
que,que,83
ses,son,73
nerfs,nerf,21
avaient,avoir,18
pris,prendre,12
le,le,71
dessus,dessus,21
",",",",p
ses,son,73
inclinations,inclination,22
s',se,51
étaient,être,18
modifiées,modifier,12
et,et,82
ses,son,73
admirations,admiration,22
avaient,avoir,18
changé,changer,12
/.,/.,P
bientôt,bientôt,60
même,même,60
",",",",p
et,et,82
quoiqu',quoique,83
il,il,51
se,se,51
rendît,rendre,18
compte,compte,21
de,de,81
son,son,73
injustice,injustice,22
envers,envers,81
le,le,71
prodigieux,prodigieux,30
auteur,auteur,21
de,de,81
la,le,71
comédie,comédie,22
humaine,humain,30
",",",",p
il,il,51
en,en,52
était,être,18
venu,venir,12
à,à,81
ne,ne,60
plus,plus,60
ouvrir,ouvrir,14
ses,son,73
livres,livre,21
dont,dont,52
l',le,71
art,art,21
valide,valide,30
le,le,52
froissait,froisser,18
;,;,p
d',de,81
autres,autre,75
aspirations,aspiration,22
l',le,52
agitaient,agiter,18
maintenant,maintenant,60
",",",",p
qui,qui,52
devenaient,devenir,18
",",",",p
en,en,81
quelque,quelque,75
sorte,sorte,22
",",",",p
indéfinissables,indéfinissable,30
/.,/.,P
en,en,81
se,se,51
sondant,sonder,13
bien,bien,60
",",",",p
néanmoins,néanmoins,60
",",",",p
il,il,51
comprenait,comprendre,18
d'abord,d'abord,60
que,que,83
",",",",p
pour,pour,81
l',le,52
attirer,attirer,14
",",",",p
une,un,71
oeuvre,oeuvre,22
devait,devoir,18
revêtir,revêtir,14
ce,ce,74
caractère,caractère,21
d',de,81
étrangeté,étrangeté,22
que,que,52
réclamait,réclamer,18
Edgar,Edgar,20
Poe,Poe,20
",",",",p
mais,mais,82
il,il,51
s',se,51
aventurait,aventurer,18
volontiers,volontiers,60
plus,plus,60
loin,loin,60
",",",",p
sur,sur,81
cette,ce,74
route,route,22
et,et,82
appelait,appeler,18
des,de,81
des,le,71
flores,flore,22
byzantines,byzantin,30
de,de,81
cervelle,cervelle,22
et,et,82
des,de,81
des,le,71
déliquescences,déliquescence,22
compliquées,compliqué,31
de,de,81
langue,langue,22
;,;,p
il,il,51
souhaitait,souhaiter,18
une,un,71
indécision,indécision,22
troublante,troublant,30
sur,sur,81
laquelle,lequel,52
il,il,51
pût,pouvoir,18
rêver,rêver,14
",",",",p
jusqu',jusque,81
à,à,81
ce,ce,52
qu',que,52
il,il,51
la,le,52
fit,faire,19
",",",",p
à,à,81
sa,son,73
volonté,volonté,22
",",",",p
plus,plus,60
vague,vague,30
ou,ou,82
plus,plus,60
ferme,ferme,30
selon,selon,81
l',le,71
état,état,21
momentané,momentané,30
de,de,81
son,son,73
âme,âme,22
/.,/.,P
il,il,51
voulait,vouloir,18
",",",",p
en,en,81
somme,somme,22
",",",",p
une,un,71
oeuvre,oeuvre,22
d',de,81
art,art,21
et,et,82
pour,pour,81
ce,ce,52
qu',que,52
elle,il,51
était,être,18
par,par,81
elle-même,lui-même,51
et,et,82
pour,pour,81
ce,ce,52
qu',que,52
elle,il,51
pouvait,pouvoir,18
permettre,permettre,14
de,de,81
lui,lui,51
prêter,prêter,14
",",",",p
il,il,51
voulait,vouloir,18
aller,aller,14
avec,avec,81
elle,il,51
",",",",p
grâce,grâce,22
à,à,81
elle,il,51
",",",",p
comme,comme,83
soutenu,soutenu,31
par,par,81
un,un,71
adjuvant,adjuvant,21
",",",",p
comme,comme,83
porté,porté,31
par,par,81
un,un,71
véhicule,véhicule,21
",",",",p
dans,dans,81
une,un,71
sphère,sphère,22
où,où,60
les,le,71
sensations,sensation,22
sublimées,sublimé,31
lui,lui,51
imprimeraient,imprimer,16
une,un,71
commotion,commotion,22
inattendue,inattendu,30
et,et,82
dont,dont,52
il,il,51
chercherait,chercher,16
longtemps,longtemps,60
et,et,82
même,même,60
vainement,vainement,60
à,à,81
analyser,analyser,14
les,le,71
causes,cause,22
/.,/.,P
enfin,enfin,60
",",",",p
depuis,depuis,81
son,son,73
départ,départ,21
de,de,81
Paris,Paris,20
",",",",p
il,il,51
s',se,51
éloignait,éloigner,18
",",",",p
de,de,81
plus,plus,60
en,en,81
plus,plus,60
",",",",p
de,de,81
la,le,71
réalité,réalité,22
et,et,82
surtout,surtout,60
du,de,81
du,le,71
monde,monde,21
contemporain,contemporain,30
qu',que,52
il,il,51
tenait,tenir,18
en,en,81
une,un,71
croissante,croissant,30
horreur,horreur,22
;,;,p
cette,ce,74
haine,haine,22
avait,avoir,18
forcément,forcément,60
agi,agir,12
sur,sur,81
ses,son,73
goûts,goût,21
littéraires,littéraire,30
et,et,82
artistiques,artistique,30
",",",",p
et,et,82
il,il,51
se,se,51
détournait,détourner,18
le,le,71
plus,plus,60
possible,possible,30
des,de,81
des,le,71
tableaux,tableau,21
et,et,82
des,de,81
des,le,71
livres,livre,21
dont,dont,52
les,le,71
sujets,sujet,21
délimités,délimité,31
se,se,51
reléguaient,reléguer,18
dans,dans,81
la,le,71
vie,vie,22
moderne,moderne,30
/.,/.,P
aussi,aussi,60
",",",",p
perdant,perdre,13
la,le,71
faculté,faculté,22
d',de,81
admirer,admirer,14
indifféremment,indifféremment,60
la,le,71
beauté,beauté,22
sous,sous,81
quelque,quelque,75
forme,forme,22
qu',que,52
elle,il,51
se,se,51
présente,présenter,17
",",",",p
préférait,préférer,18
il,il,51
",",",",p
chez,chez,81
Flaubert,Flaubert,20
",",",",p
la,le,71
tentation,tentation,22
de,de,81
Saint Antoine,Saint Antoine,20
à,à,81
l',le,71
éducation,éducation,22
sentimentale,sentimental,30
;,;,p
chez,chez,81
de,de,81
Goncourt,Goncourt,20
",",",",p
la,le,71
Faustin,Faustin,20
à,à,81
Germinie,Germinie,20
Lacerteux,Lacerteux,20
;,;,p
chez,chez,81
Zola,Zola,20
",",",",p
la,le,71
faute,faute,22
de,de,81
l',le,71
abbé,abbé,21
Mouret,Mouret,20
à,à,81
l',le,71
assommoir,assommoir,21
/.,/.,P
ce,ce,74
point,point,21
de,de,81
vue,vue,22
lui,lui,51
paraissait,paraître,18
logique,logique,30
;,;,p
ces,ce,74
oeuvres,oeuvre,22
moins,moins,60
immédiates,immédiat,30
",",",",p
mais,mais,82
aussi,aussi,60
vibrantes,vibrant,30
",",",",p
aussi,aussi,60
humaines,humain,30
",",",",p
le,le,52
faisaient,faire,18
pénétrer,pénétrer,14
plus,plus,60
loin,loin,60
dans,dans,81
le,le,71
tréfonds,tréfonds,21
du,de,81
du,le,71
tempérament,tempérament,21
de,de,81
ces,ce,74
maîtres,maître,21
qui,qui,52
livraient,livrer,18
avec,avec,81
un,un,71
plus,plus,60
sincère,sincère,30
abandon,abandon,21
les,le,71
élans,élan,21
les,le,71
plus,plus,60
mystérieux,mystérieux,30
de,de,81
leur,leur,52
être,être,14
",",",",p
et,et,82
elles,ils,51
l',le,52
enlevaient,enlever,18
",",",",p
lui,lui,51
aussi,aussi,60
",",",",p
plus,plus,60
haut,haut,30
que,que,83
les,le,71
autres,autre,52
",",",",p
hors,hors,81
de,de,81
cette,ce,74
vie,vie,22
triviale,trivial,30
dont,dont,52
il,il,51
était,être,18
si,si,60
las,las,30
/.,/.,P
puis,puis,60
il,il,51
entrait,entrer,18
",",",",p
avec,avec,81
elles,ils,51
",",",",p
en,en,81
complète,complet,30
communion,communion,22
d',de,81
idées,idée,22
avec,avec,81
les,le,71
écrivains,écrivain,21
qui,qui,52
les,le,52
avaient,avoir,18
conçues,concevoir,12
",",",",p
parce qu',parce que,83
ils,ils,51
s',se,51
étaient,être,18
alors,alors,60
trouvés,trouver,12
dans,dans,81
une,un,71
situation,situation,22
d',de,81
esprit,esprit,21
analogue,analogue,30
à,à,81
la,le,71
sienne,sien,52
/.,/.,P
en,en,81
effet,effet,21
",",",",p
lorsque,lorsque,83
l',le,71
époque,époque,22
où,où,60
un,un,71
homme,homme,21
de,de,81
talent,talent,21
est,être,17
obligé,obliger,12
de,de,81
vivre,vivre,14
",",",",p
est,être,17
plate,plat,30
et,et,82
bête,bête,30
",",",",p
l',le,71
artiste,artiste,21
est,être,17
",",",",p
à,à,81
son,son,73
insu,insu,21
même,même,30
",",",",p
hanté,hanter,12
par,par,81
la,le,71
nostalgie,nostalgie,22
d',de,81
un,un,71
autre,autre,75
siècle,siècle,21
/.,/.,P
ne,ne,60
pouvant,pouvoir,13
s',se,51
harmoniser,harmoniser,14
qu',que,83
à,à,81
de,de,81
rares,rare,30
intervalles,intervalle,21
avec,avec,81
le,le,71
milieu,milieu,21
où,où,60
il,il,51
évolue,évoluer,17
;,;,p
ne,ne,60
découvrant,découvrir,13
plus,plus,60
dans,dans,81
l',le,71
examen,examen,21
de,de,81
ce,ce,74
milieu,milieu,21
et,et,82
des,de,81
des,le,71
créatures,créature,22
qui,qui,52
le,le,52
subissent,subir,17
",",",",p
des,de,81
des,le,71
jouissances,jouissance,22
d',de,81
observation,observation,22
et,et,82
d',de,81
analyse,analyse,22
suffisantes,suffisant,30
à,à,81
le,le,52
distraire,distraire,14
",",",",p
il,il,51
sent,sentir,17
sourdre,sourdre,14
et,et,82
éclore,éclore,14
en,en,81
lui,lui,51
de,de,81
particuliers,particulier,30
phénomènes,phénomène,21
/.,/.,P
de,de,81
confus,confus,30
désirs,désir,21
de,de,81
migration,migration,22
se,se,51
lèvent,lever,17
qui,qui,52
se,se,51
débrouillent,débrouiller,17
dans,dans,81
la,le,71
réflexion,réflexion,22
et,et,82
dans,dans,81
l',le,71
étude,étude,22
/.,/.,P
les,le,71
instincts,instinct,21
",",",",p
les,le,71
sensations,sensation,22
",",",",p
les,le,71
penchants,penchant,21
légués,légué,31
par,par,81
l',le,71
hérédité,hérédité,22
se,se,51
réveillent,réveiller,17
",",",",p
se,se,51
déterminent,déterminer,17
",",",",p
s',se,51
imposent,imposer,17
avec,avec,81
une,un,71
impérieuse,impérieux,30
assurance,assurance,22
/.,/.,P
il,il,51
se,se,51
rappelle,rappeler,17
des,de,81
des,le,71
souvenirs,souvenir,21
d',de,81
êtres,être,21
et,et,82
de,de,81
choses,chose,22
qu',que,52
il,il,51
n',ne,60
a,avoir,17
pas,pas,60
personnellement,personnellement,60
connus,connaître,12
",",",",p
et,et,82
il,il,51
vient,venir,17
un,un,71
moment,moment,21
où,où,60
il,il,51
s',se,51
évade,évader,17
violemment,violemment,60
du,de,81
du,le,71
pénitencier,pénitencier,21
de,de,81
son,son,73
siècle,siècle,21
et,et,82
rôde,rôder,17
",",",",p
en,en,81
toute,tout,75
liberté,liberté,22
",",",",p
dans,dans,81
une,un,71
autre,autre,75
époque,époque,22
avec,avec,81
laquelle,lequel,52
",",",",p
par,par,81
une,un,71
dernière,dernier,30
illusion,illusion,22
",",",",p
il,il,51
lui,lui,51
semble,sembler,17
qu',que,83
il,il,51
eût,avoir,19
été,être,12
mieux,mieux,60
en,en,81
accord,accord,21
/.,/.,P
chez,chez,81
les,le,71
uns,un,52
",",",",p
c',ce,52
est,être,17
un,un,71
retour,retour,21
aux,à,81
aux,le,71
âges,âge,21
consommés,consommé,31
",",",",p
aux,à,81
aux,le,71
civilisations,civilisation,22
disparues,disparu,31
",",",",p
aux,à,81
aux,le,71
temps,temps,21
morts,mort,31
;,;,p
chez,chez,81
les,le,71
autres,autre,52
",",",",p
c',ce,52
est,être,17
un,un,71
élancement,élancement,21
vers,vers,81
le,le,71
fantastique,fantastique,21
et,et,82
vers,vers,81
le,le,71
rêve,rêve,21
",",",",p
c',ce,52
est,être,17
une,un,71
vision,vision,22
plus,plus,60
ou,ou,82
moins,moins,60
intense,intense,30
d',de,81
un,un,71
temps,temps,21
à,à,81
éclore,éclore,14
dont,dont,52
l',le,71
image,image,22
reproduit,reproduire,17
",",",",p
sans,sans,81
qu',que,83
il,il,51
le,le,52
sache,savoir,17
",",",",p
par,par,81
un,un,71
effet,effet,21
d',de,81
atavisme,atavisme,21
",",",",p
celle,celui,52
des,de,81
des,le,71
époques,époque,22
révolues,révolu,30
/.,/.,P
chez,chez,81
Flaubert,Flaubert,20
",",",",p
c',ce,52
étaient,être,18
des,de,81
des,le,71
tableaux,tableau,21
solennels,solennel,30
et,et,82
immenses,immense,30
",",",",p
des,de,81
des,le,71
pompes,pompe,22
grandioses,grandiose,30
dans,dans,81
le,le,71
cadre,cadre,21
barbare,barbare,30
et,et,82
splendide,splendide,30
desquels,de,81
desquels,lequel,52
gravitaient,graviter,18
des,de,81
des,le,71
créatures,créature,22
palpitantes,palpitant,30
et,et,82
délicates,délicat,30
",",",",p
mystérieuses,mystérieux,30
et,et,82
hautaines,hautain,30
",",",",p
des,de,81
des,le,71
femmes,femme,22
pourvues,pourvu,31
",",",",p
dans,dans,81
la,le,71
perfection,perfection,22
de,de,81
leur,leur,73
beauté,beauté,22
",",",",p
d',de,81
âmes,âme,22
en,en,81
souffrance,souffrance,22
",",",",p
au,à,81
au,le,71
fond,fond,21
desquelles,de,81
desquelles,lequel,52
il,il,51
discernait,discerner,18
d',de,81
affreux,affreux,30
détraquements,détraquement,21
",",",",p
de,de,81
folles,fou,30
aspirations,aspiration,22
",",",",p
désolées,désolé,31
qu',que,83
elles,ils,51
étaient,être,18
déjà,déjà,60
par,par,81
la,le,71
menaçante,menaçant,30
médiocrité,médiocrité,22
des,de,81
des,le,71
plaisirs,plaisir,21
qui,qui,52
pouvaient,pouvoir,18
naître,naître,14
/.,/.,P
tout,tout,75
le,le,71
tempérament,tempérament,21
du,de,81
du,le,71
grand,grand,30
artiste,artiste,21
éclatait,éclater,18
en,en,81
ces,ce,74
incomparables,incomparable,30
pages,page,22
de,de,81
la,le,71
tentation,tentation,22
de,de,81
Saint Antoine,Saint Antoine,20
et,et,82
de,de,81
Salammbô,Salammbô,20
où,où,60
",",",",p
loin,loin,60
de,de,81
notre,notre,73
vie,vie,22
mesquine,mesquin,30
",",",",p
il,il,51
évoquait,évoquer,18
les,le,71
éclats,éclat,21
asiatiques,asiatique,30
des,de,81
des,le,71
vieux,vieux,30
âges,âge,21
",",",",p
leurs,leur,73
éjaculations,éjaculation,22
et,et,82
leurs,leur,73
abattements,abattement,21
mystiques,mystique,30
",",",",p
leurs,leur,73
démences,démence,22
oisives,oisif,30
",",",",p
leurs,leur,73
férocités,férocité,22
commandées,commandé,31
par,par,81
ce,ce,74
lourd,lourd,30
ennui,ennui,21
qui,qui,52
découle,découler,17
",",",",p
avant,avant,81
même,même,60
qu',que,83
on,on,51
les,le,52
ait,avoir,17
épuisées,épuiser,12
",",",",p
de,de,81
l',le,71
opulence,opulence,22
et,et,82
de,de,81
la,le,71
prière,prière,22
/.,/.,P
chez,chez,81
de,de,81
Goncourt,Goncourt,20
",",",",p
c',ce,52
était,être,18
la,le,71
nostalgie,nostalgie,22
du,de,81
du,le,71
siècle,siècle,21
précédent,précédent,30
",",",",p
un,un,71
retour,retour,21
vers,vers,81
les,le,71
élégances,élégance,22
d',de,81
une,un,71
société,société,22
à,à,81
jamais,jamais,60
perdue,perdu,31
/.,/.,P
le,le,71
gigantesque,gigantesque,30
décor,décor,21
des,de,81
des,le,71
mers,mer,22
battant,battre,13
les,le,71
môles,môle,21
",",",",p
des,de,81
des,le,71
déserts,désert,21
se,se,51
déroulant,dérouler,13
à,à,81
perte,perte,22
de,de,81
vue,vue,22
sous,sous,81
de,de,81
torrides,torride,30
firmaments,firmament,21
",",",",p
n',ne,60
existait,exister,18
pas,pas,60
dans,dans,81
son,son,73
oeuvre,oeuvre,22
nostalgique,nostalgique,30
qui,qui,52
se,se,51
confinait,confiner,18
",",",",p
près,près,81
d',de,81
un,un,71
parc,parc,21
aulique,aulique,30
",",",",p
dans,dans,81
un,un,71
boudoir,boudoir,21
attiédi,attiédi,31
par,par,81
les,le,71
voluptueux,voluptueux,30
effluves,effluve,21
d',de,81
une,un,71
femme,femme,22
au,à,81
au,le,71
sourire,sourire,21
fatigué,fatigué,31
",",",",p
à,à,81
la,le,71
moue,moue,22
perverse,pervers,30
",",",",p
aux,à,81
aux,le,71
prunelles,prunelle,22
irrésignées,irrésigné,31
et,et,82
pensives,pensif,30
/.,/.,P
l',le,71
âme,âme,22
dont,dont,52
il,il,51
animait,animer,18
ses,son,73
personnages,personnage,21
",",",",p
n',ne,60
était,être,18
plus,plus,60
cette,ce,74
âme,âme,22
insufflée,insufflé,31
par,par,81
Flaubert,Flaubert,20
à,à,81
ses,son,73
créatures,créature,22
",",",",p
cette,ce,74
âme,âme,22
révoltée,révolté,31
d',de,81
avance,avance,22
par,par,81
l',le,71
inexorable,inexorable,30
certitude,certitude,22
qu',que,52
aucun,aucun,75
bonheur,bonheur,21
nouveau,nouveau,30
n',ne,60
était,être,18
possible,possible,30
;,;,p
c',ce,52
était,être,18
une,un,71
âme,âme,22
révoltée,révolté,31
après,après,81
coup,coup,21
",",",",p
par,par,81
l',le,71
expérience,expérience,22
",",",",p
de,de,81
tous,tout,75
les,le,71
inutiles,inutile,30
efforts,effort,21
qu',que,52
elle,il,51
avait,avoir,18
tentés,tenter,12
pour,pour,81
inventer,inventer,14
des,de,81
des,le,71
liaisons,liaison,22
spirituelles,spirituel,30
plus,plus,60
inédites,inédit,30
et,et,82
pour,pour,81
remédier,remédier,14
à,à,81
cette,ce,74
immémoriale,immémorial,30
jouissance,jouissance,22
qui,qui,52
se,se,51
répercute,répercuter,17
",",",",p
de,de,81
siècles,siècle,21
en,en,81
siècles,siècle,21
",",",",p
dans,dans,81
l',le,71
assouvissement,assouvissement,21
plus,plus,60
ou,ou,82
moins,moins,60
ingénieux,ingénieux,30
des,de,81
des,le,71
couples,couple,21
/.,/.,P
bien,bien,60
qu',que,83
elle,il,51
vécût,vivre,18
parmi,parmi,81
nous,nous,51
et,et,82
qu',que,83
elle,il,51
fût,être,19
bien,bien,60
et,et,82
de,de,81
vie,vie,22
et,et,82
de,de,81
corps,corps,21
de,de,81
notre,notre,73
temps,temps,21
",",",",p
la,le,71
Faustin,Faustin,20
était,être,18
",",",",p
par,par,81
les,le,71
influences,influence,22
ancestrales,ancestral,30
",",",",p
une,un,71
créature,créature,22
du,de,81
du,le,71
siècle,siècle,21
passé,passé,31
",",",",p
dont,dont,52
elle,il,51
avait,avoir,18
les,le,71
épices,épice,21
d',de,81
âme,âme,22
",",",",p
la,le,71
lassitude,lassitude,22
cérébrale,cérébral,30
",",",",p
l',le,71
excèdement,excèdement,21
sensuel,sensuel,30
/.,/.,P
ce,ce,74
livre,livre,21
d',de,81
Edmond,Edmond,20
de,de,81
Goncourt,Goncourt,20
était,être,18
l',le,71
un,un,52
des,de,81
des,le,71
volumes,volume,21
les,le,71
plus,plus,60
caressés,caressé,31
par,par,81
