11459
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-neuvième extrait>,<>,<>
voulu,vouloir,12
m',je,51
avoir,avoir,14
à,à,81
son,son,73
bord,bord,21
;,;,p
il,il,51
me,je,51
parlait,parler,18
le,le,71
meilleur,meilleur,30
français,français,21
avec,avec,81
une,un,71
douceur,douceur,22
mélancolique,mélancolique,30
dont,dont,52
l',le,71
expression,expression,22
ne,ne,60
m',je,51
est,être,17
jamais,jamais,60
sortie,sortir,12
de,de,81
la,le,71
mémoire,mémoire,22
/.,/.,P
il,il,51
m',je,51
offrit,offrir,19
de,de,81
rester,rester,14
à,à,81
son,son,73
bord,bord,21
",",",",p
sur,sur,81
parole,parole,22
de,de,81
ne,ne,60
faire,faire,14
aucune,aucun,75
tentative,tentative,22
d',de,81
évasion,évasion,22
/.,/.,P
j',je,51
en,en,52
donnai,donner,19
ma,mon,73
parole,parole,22
d',de,81
honneur,honneur,21
",",",",p
sans,sans,81
hésiter,hésiter,14
",",",",p
à,à,81
la,le,71
manière,manière,22
des,de,81
des,le,71
jeunes,jeune,30
gens,gens,21
de,de,81
dix,dix,72
huit,huit,72
ans,an,21
",",",",p
et,et,82
me,je,51
trouvant,trouver,13
beaucoup,beaucoup,60
mieux,mieux,60
à,à,81
bord,bord,21
de,de,81
la,le,71
Victoire,Victoire,20
que,que,52
sur,sur,81
quelque,quelque,75
ponton,ponton,21
;,;,p
étonné,étonné,31
de,de,81
ne,ne,60
rien,rien,52
voir,voir,14
qui,qui,52
justifiât,justifier,18
les,le,71
préventions,prévention,22
qu',que,52
on,on,51
nous,nous,51
donnait,donner,18
contre,contre,81
les,le,71
Anglais,Anglais,20
",",",",p
je,je,51
fis,faire,19
connaissance,connaissance,22
assez,assez,60
facilement,facilement,60
avec,avec,81
les,le,71
officiers,officier,21
du,de,81
du,le,71
bâtiment,bâtiment,21
",",",",p
que,que,52
mon,mon,73
ignorance,ignorance,22
de,de,81
la,le,71
mer,mer,22
et,et,82
de,de,81
leur,leur,73
langue,langue,22
amusait,amuser,18
beaucoup,beaucoup,60
",",",",p
et,et,82
qui,qui,52
se,se,51
divertirent,divertir,19
à,à,81
me,je,51
faire,faire,14
connaître,connaître,14
l',le,71
une,un,52
et,et,82
l',le,71
autre,autre,52
",",",",p
avec,avec,81
une,un,71
politesse,politesse,22
d'autant,d'autant,60
plus,plus,60
grande,grand,30
que,que,83
leur,leur,73
amiral,amiral,21
me,je,51
traitait,traiter,18
comme,comme,83
son,son,73
fils,fils,21
/.,/.,P
cependant,cependant,82
une,un,71
grande,grand,30
tristesse,tristesse,22
me,je,51
prenait,prendre,18
quand,quand,83
je,je,51
voyais,voir,18
de,de,81
loin,loin,60
les,le,71
côtes,côte,22
blanches,blanc,30
de,de,81
la,le,71
Normandie,Normandie,20
",",",",p
et,et,82
je,je,51
me,je,51
retirais,retirer,18
pour,pour,81
ne,ne,60
pas,pas,60
pleurer,pleurer,14
/.,/.,P
je,je,51
résistais,résister,18
à,à,81
l',le,71
envie,envie,22
que,que,52
j',je,51
en,en,52
avais,avoir,18
",",",",p
parce que,parce que,83
j',je,51
étais,être,18
jeune,jeune,30
et,et,82
courageux,courageux,30
;,;,p
mais,mais,82
ensuite,ensuite,60
",",",",p
dès,dès,81
que,que,83
ma,mon,73
volonté,volonté,22
ne,ne,60
surveillait,surveiller,18
plus,plus,60
mon,mon,73
coeur,coeur,21
",",",",p
dès,dès,81
que,que,83
j',je,51
étais,être,18
couché,coucher,12
et,et,82
endormi,endormir,12
",",",",p
les,le,71
larmes,larme,22
sortaient,sortir,18
de,de,81
mes,mon,73
yeux,oeil,21
malgré,malgré,81
moi,moi,51
et,et,82
trempaient,tremper,18
mes,mon,73
joues,joue,22
et,et,82
la,le,71
toile,toile,22
de,de,81
mon,mon,73
lit,lit,21
au,à,81
au,le,71
point,point,21
de,de,81
me,je,51
réveiller,réveiller,14
/.,/.,P
un,un,71
soir,soir,21
surtout,surtout,60
",",",",p
il,il,51
y,y,52
avait,avoir,18
eu,avoir,12
une,un,71
prise,prise,22
nouvelle,nouveau,30
d',de,81
un,un,71
brick,brick,21
français,français,30
;,;,p
je,je,51
l',le,52
avais,avoir,18
vu,voir,12
périr,périr,14
de,de,81
loin,loin,60
",",",",p
sans,sans,81
que,que,83
l',l',94
on,on,51
pût,pouvoir,18
sauver,sauver,14
un,un,71
seul,seul,30
homme,homme,21
de,de,81
l',le,71
équipage,équipage,21
",",",",p
et,et,82
",",",",p
malgré,malgré,81
la,le,71
gravité,gravité,22
et,et,82
la,le,71
retenue,retenue,22
des,de,81
des,le,71
officiers,officier,21
",",",",p
il,il,51
m',je,51
avait,avoir,18
fallu,falloir,12
entendre,entendre,14
les,le,71
cris,cri,21
et,et,82
les,le,71
hourras,hurrah,21
des,de,81
des,le,71
matelots,matelot,21
qui,qui,52
voyaient,voir,18
avec,avec,81
joie,joie,22
l',le,71
expédition,expédition,22
s',se,51
évanouir,évanouir,14
et,et,82
la,le,71
mer,mer,22
engloutir,engloutir,14
goutte,goutte,22
à,à,81
goutte,goutte,22
cette,ce,74
avalanche,avalanche,22
qui,qui,52
menaçait,menacer,18
d',de,81
écraser,écraser,14
leur,leur,73
patrie,patrie,22
/.,/.,P
je,je,51
m',je,51
étais,être,18
retiré,retirer,12
et,et,82
caché,cacher,12
tout,tout,75
le,le,71
jour,jour,21
dans,dans,81
le,le,71
réduit,réduit,21
que,que,52
lord,lord,21
Collingwood,Collingwood,20
m',je,51
avait,avoir,18
fait,faire,12
donner,donner,14
près,près,81
de,de,81
son,son,73
appartement,appartement,21
",",",",p
comme,comme,83
pour,pour,81
mieux,mieux,60
déclarer,déclarer,14
sa,son,73
protection,protection,22
",",",",p
et,et,82
",",",",p
quand,quand,83
la,le,71
nuit,nuit,22
fut,être,19
venue,venir,12
",",",",p
je,je,51
montai,monter,19
seul,seul,30
sur,sur,81
le,le,71
pont,pont,21
/.,/.,P
j',je,51
avais,avoir,18
senti,sentir,12
l',le,71
ennemi,ennemi,21
autour,autour,60
de,de,81
moi,moi,51
plus,plus,60
que,que,83
jamais,jamais,60
",",",",p
et,et,82
je,je,51
me,je,51
mis,mettre,19
à,à,81
réfléchir,réfléchir,14
sur,sur,81
ma,mon,73
destinée,destinée,22
sitôt,sitôt,60
arrêtée,arrêté,31
",",",",p
avec,avec,81
une,un,71
amertume,amertume,22
plus,plus,60
grande,grand,30
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
un,un,71
mois,mois,21
déjà,déjà,60
que,que,83
j',je,51
étais,être,18
prisonnier,prisonnier,21
de,de,81
guerre,guerre,22
",",",",p
et,et,82
l',le,71
amiral,amiral,21
Collingwood,Collingwood,20
",",",",p
qui,qui,52
",",",",p
en,en,81
public,public,21
",",",",p
me,je,51
traitait,traiter,18
avec,avec,81
tant,tant,60
de,de,81
bienveillance,bienveillance,22
",",",",p
ne,ne,60
m',je,51
avait,avoir,18
parlé,parler,12
qu',que,83
un,un,71
instant,instant,21
en,en,81
particulier,particulier,21
",",",",p
le,le,71
premier,premier,72
jour,jour,21
de,de,81
mon,mon,73
arrivée,arrivée,22
à,à,81
son,son,73
bord,bord,21
;,;,p
il,il,51
était,être,18
bon,bon,30
",",",",p
mais,mais,82
froid,froid,30
",",",",p
et,et,82
",",",",p
dans,dans,81
ses,son,73
manières,manière,22
",",",",p
ainsi,ainsi,60
que,que,83
dans,dans,81
celles,celui,52
des,de,81
des,le,71
officiers,officier,21
anglais,anglais,30
",",",",p
il,il,51
y,y,52
avait,avoir,18
un,un,71
point,point,21
où,où,60
tous,tout,75
les,le,71
épanchements,épanchement,21
s',se,51
arrêtaient,arrêter,18
et,et,82
où,où,60
la,le,71
politique,politique,22
compassée,compassé,30
se,se,51
présentait,présenter,18
comme,comme,83
une,un,71
barrière,barrière,22
sur,sur,81
tous,tout,75
les,le,71
chemins,chemin,21
/.,/.,P
c',ce,52
est,être,17
à,à,81
cela,cela,52
que,que,83
se,se,51
fait,faire,17
sentir,sentir,14
la,le,71
vie,vie,22
en,en,81
pays,pays,21
étranger,étranger,30
/.,/.,P
j',je,51
y,y,52
pensais,penser,18
avec,avec,81
une,un,71
sorte,sorte,22
de,de,81
terreur,terreur,22
en,en,81
considérant,considérer,13
l',le,71
abjection,abjection,22
de,de,81
ma,mon,73
position,position,22
qui,qui,52
pouvait,pouvoir,18
durer,durer,14
jusqu',jusque,81
à,à,81
la,le,71
fin,fin,22
de,de,81
la,le,71
guerre,guerre,22
",",",",p
et,et,82
je,je,51
voyais,voir,18
comme,comme,83
inévitable,inévitable,30
le,le,71
sacrifice,sacrifice,21
de,de,81
ma,mon,73
jeunesse,jeunesse,22
",",",",p
anéantie,anéanti,31
dans,dans,81
la,le,71
honteuse,honteux,30
inutilité,inutilité,22
du,de,81
du,le,71
prisonnier,prisonnier,21
/.,/.,P
la,le,71
frégate,frégate,22
marchait,marcher,18
rapidement,rapidement,60
",",",",p
toutes,tout,75
voiles,voile,22
dehors,dehors,60
",",",",p
et,et,82
je,je,51
ne,ne,60
la,le,52
sentais,sentir,18
pas,pas,60
aller,aller,14
/.,/.,P
j',je,51
avais,avoir,18
appuyé,appuyer,12
mes,mon,73
deux,deux,72
mains,main,22
à,à,81
un,un,71
câble,câble,21
et,et,82
mon,mon,73
front,front,21
sur,sur,81
mes,mon,73
deux,deux,72
mains,main,22
",",",",p
et,et,82
",",",",p
ainsi,ainsi,60
penché,penché,31
",",",",p
je,je,51
regardais,regarder,18
dans,dans,81
l',le,71
eau,eau,22
de,de,81
la,le,71
mer,mer,22
/.,/.,P
ses,son,73
profondeurs,profondeur,22
vertes,vert,30
et,et,82
sombres,sombre,30
me,je,51
donnaient,donner,18
une,un,71
sorte,sorte,22
de,de,81
vertige,vertige,21
",",",",p
et,et,82
le,le,71
silence,silence,21
de,de,81
la,le,71
nuit,nuit,22
n',ne,60
était,être,18
interrompu,interrompre,12
que,que,83
par,par,81
des,de,81
des,le,71
cris,cri,21
anglais,anglais,30
/.,/.,P
j',je,51
espérais,espérer,18
un,un,71
moment,moment,21
que,que,83
le,le,71
navire,navire,21
m',je,51
emportait,emporter,18
bien,bien,60
loin,loin,60
de,de,81
France,France,20
et,et,82
que,que,83
je,je,51
ne,ne,60
verrais,voir,16
plus,plus,60
le,le,71
lendemain,lendemain,21
ces,ce,74
côtes,côte,22
droites,droit,30
et,et,82
blanches,blanc,30
",",",",p
coupées,coupé,31
dans,dans,81
la,le,71
bonne,bon,30
terre,terre,22
chérie,chéri,31
de,de,81
mon,mon,73
pauvre,pauvre,30
pays,pays,21
/.,/.,P
-,-,p
je,je,51
pensais,penser,18
que,que,83
je,je,51
serais,être,16
ainsi,ainsi,60
délivré,délivrer,12
du,de,81
du,le,71
désir,désir,21
perpétuel,perpétuel,30
que,que,52
me,je,51
donnait,donner,18
cette,ce,74
vue,vue,22
et,et,82
que,que,52
je,je,51
n',ne,60
aurais,avoir,16
pas,pas,60
",",",",p
du,de,81
du,le,71
moins,moins,60
",",",",p
ce,ce,74
supplice,supplice,21
de,de,81
ne,ne,60
pouvoir,pouvoir,14
même,même,60
songer,songer,14
à,à,81
m',je,51
échapper,échapper,14
sans,sans,81
déshonneur,déshonneur,21
",",",",p
supplice,supplice,21
de,de,81
Tantale,Tantale,20
",",",",p
où,où,60
une,un,71
soif,soif,22
avide,avide,30
de,de,81
la,le,71
patrie,patrie,22
devait,devoir,18
me,je,51
dévorer,dévorer,14
pour,pour,81
longtemps,longtemps,60
/.,/.,P
j',je,51
étais,être,18
accablé,accabler,12
de,de,81
ma,mon,73
solitude,solitude,22
et,et,82
je,je,51
souhaitais,souhaiter,18
une,un,71
prochaine,prochain,30
occasion,occasion,22
de,de,81
me,je,51
faire,faire,14
tuer,tuer,14
/.,/.,P
je,je,51
rêvais,rêver,18
à,à,81
composer,composer,14
ma,mon,73
mort,mort,22
habilement,habilement,60
et,et,82
à,à,81
la,le,71
manière,manière,22
grande,grand,30
et,et,82
grave,grave,30
des,de,81
des,le,71
anciens,ancien,21
/.,/.,P
j',je,51
imaginais,imaginer,18
une,un,71
fin,fin,22
héroïque,héroïque,30
et,et,82
digne,digne,30
de,de,81
celles,celui,52
qui,qui,52
avaient,avoir,18
été,être,12
le,le,71
sujet,sujet,21
de,de,81
tant,tant,60
de,de,81
conversations,conversation,22
de,de,81
pages,page,21
et,et,82
d',de,81
enfants,enfant,21
guerriers,guerrier,30
",",",",p
l',le,71
objet,objet,21
de,de,81
tant,tant,60
d',de,81
envie,envie,22
parmi,parmi,81
mes,mon,73
compagnons,compagnon,21
/.,/.,P
j',je,51
étais,être,18
dans,dans,81
ces,ce,74
rêves,rêve,21
qui,qui,52
",",",",p
à,à,81
dix,dix,72
huit,huit,72
ans,an,21
",",",",p
ressemblent,ressembler,17
plutôt,plutôt,60
à,à,81
une,un,71
continuation,continuation,22
d',de,81
action,action,22
et,et,82
de,de,81
combat,combat,21
qu',que,83
à,à,81
une,un,71
sérieuse,sérieux,30
méditation,méditation,22
",",",",p
lorsque,lorsque,83
je,je,51
me,je,51
sentis,sentir,19
doucement,doucement,60
tirer,tirer,14
par,par,81
le,le,71
bras,bras,21
",",",",p
et,et,82
",",",",p
en,en,81
me,je,51
retournant,retourner,13
",",",",p
je,je,51
vis,voir,19
",",",",p
debout,debout,60
derrière,derrière,81
moi,moi,51
",",",",p
le,le,71
bon,bon,30
amiral,amiral,21
Collingwood,Collingwood,20
/.,/.,P
il,il,51
avait,avoir,18
à,à,81
la,le,71
main,main,22
sa,son,73
lunette,lunette,22
de,de,81
nuit,nuit,22
et,et,82
il,il,51
était,être,18
vêtu,vêtir,12
de,de,81
son,son,73
grand,grand,30
uniforme,uniforme,21
avec,avec,81
la,le,71
rigide,rigide,30
tenue,tenue,22
anglaise,anglais,30
/.,/.,P
il,il,51
me,je,51
mit,mettre,19
une,un,71
main,main,22
sur,sur,81
l',le,71
épaule,épaule,22
d',de,81
une,un,71
façon,façon,22
paternelle,paternel,30
",",",",p
et,et,82
je,je,51
remarquai,remarquer,19
un,un,71
air,air,21
de,de,81
mélancolie,mélancolie,22
profonde,profond,30
dans,dans,81
ses,son,73
grands,grand,30
yeux,oeil,21
noirs,noir,30
et,et,82
sur,sur,81
son,son,73
front,front,21
/.,/.,P
ses,son,73
cheveux,cheveu,21
blancs,blanc,30
",",",",p
à,à,81
demi,demi,30
poudrés,poudré,31
",",",",p
tombaient,tomber,18
assez,assez,60
négligemment,négligemment,60
sur,sur,81
ses,son,73
oreilles,oreille,22
",",",",p
et,et,82
il,il,51
y,y,52
avait,avoir,18
",",",",p
à,à,81
travers,travers,21
le,le,71
calme,calme,21
inaltérable,inaltérable,30
de,de,81
sa,son,73
voix,voix,22
et,et,82
de,de,81
ses,son,73
manières,manière,22
",",",",p
un,un,71
fond,fond,21
de,de,81
tristesse,tristesse,22
qui,qui,52
me,je,51
frappa,frapper,19
ce,ce,74
soir,soir,21
là,là,60
surtout,surtout,60
",",",",p
et,et,82
me,je,51
donna,donner,19
pour,pour,81
lui,lui,51
",",",",p
tout,tout,60
d'abord,d'abord,60
",",",",p
plus,plus,60
de,de,81
respect,respect,21
et,et,82
d',de,81
attention,attention,22
/.,/.,P
-,-,p
“,“,p
vous,vous,51
êtes,être,17
déjà,déjà,60
triste,triste,30
",",",",p
mon,mon,73
enfant,enfant,21
",",",",p
me,je,51
dit,dire,19
il,il,51
/.,/.,P
j',je,51
ai,avoir,17
quelques,quelque,75
petites,petit,30
choses,chose,22
à,à,81
vous,vous,51
dire,dire,14
;,;,p
voulez,vouloir,17
vous,vous,51
causer,causer,14
un,un,71
peu,peu,60
avec,avec,81
moi,moi,51
/?,/?,P
je,je,51
balbutiai,balbutier,19
quelques,quelque,75
paroles,parole,22
vagues,vague,30
de,de,81
reconnaissance,reconnaissance,22
et,et,82
de,de,81
politesse,politesse,22
qui,qui,52
n',ne,60
avaient,avoir,18
pas,pas,60
le,le,71
sens,sens,21
commun,commun,30
probablement,probablement,60
",",",",p
car,car,82
il,il,51
ne,ne,60
les,le,52
écouta,écouter,19
pas,pas,60
",",",",p
et,et,82
s',se,51
assit,asseoir,19
sur,sur,81
un,un,71
banc,banc,21
",",",",p
me,je,51
tenant,tenir,13
une,un,71
main,main,22
/.,/.,P
j',je,51
étais,être,18
debout,debout,60
devant,devant,81
lui,lui,51
/.,/.,P
-,-,p
“,“,p
vous,vous,51
n',ne,60
êtes,être,17
prisonnier,prisonnier,30
que,que,83
depuis,depuis,81
un,un,71
mois,mois,21
",",",",p
reprit,reprendre,19
il,il,51
",",",",p
et,et,82
je,je,51
le,le,52
suis,être,17
depuis,depuis,81
trente,trente,72
trois,trois,72
ans,an,21
/.,/.,P
oui,oui,60
",",",",p
mon,mon,73
ami,ami,21
",",",",p
je,je,51
suis,être,17
prisonnier,prisonnier,30
de,de,81
la,le,71
mer,mer,22
;,;,p
elle,il,51
me,je,51
garde,garder,17
de,de,81
tous,tout,75
côtés,côté,21
:,:,p
toujours,toujours,60
des,de,81
des,le,71
flots,flot,21
et,et,82
des,de,81
des,le,71
flots,flot,21
;,;,p
je,je,51
ne,ne,60
vois,voir,17
qu',que,83
eux,ils,51
",",",",p
je,je,51
n',ne,60
entends,entendre,17
qu',que,83
eux,ils,51
/.,/.,P
mes,mon,73
cheveux,cheveu,21
ont,avoir,17
blanchi,blanchir,12
sous,sous,81
leur,leur,73
écume,écume,22
",",",",p
et,et,82
mon,mon,73
dos,dos,21
s',se,51
est,être,17
un,un,71
peu,peu,60
voûté,voûter,12
sous,sous,81
leur,leur,73
humidité,humidité,22
/.,/.,P
j',je,51
ai,avoir,17
passé,passer,12
si,si,83
peu,peu,60
de,de,81
temps,temps,21
en,en,81
Angleterre,Angleterre,20
",",",",p
que,que,52
je,je,51
ne,ne,60
la,le,52
connais,connaître,17
que,que,83
par,par,81
la,le,71
carte,carte,22
/.,/.,P
la,le,71
patrie,patrie,22
est,être,17
un,un,71
être,être,21
idéal,idéal,30
que,que,52
je,je,51
n',ne,60
ai,avoir,17
fait,faire,12
qu',que,83
entrevoir,entrevoir,14
",",",",p
mais,mais,82
que,que,52
je,je,51
sers,servir,17
en,en,81
esclave,esclave,21
et,et,82
qui,qui,52
augmente,augmenter,17
pour,pour,81
moi,moi,51
de,de,81
rigueur,rigueur,22
à,à,81
mesure,mesure,22
que,que,83
je,je,51
deviens,devenir,17
plus,plus,60
nécessaire,nécessaire,30
/.,/.,P
c',ce,52
est,être,17
le,le,71
sort,sort,21
commun,commun,30
et,et,82
c',ce,52
est,être,17
même,même,60
ce,ce,52
que,que,52
nous,nous,51
devons,devoir,17
le,le,71
plus,plus,60
souhaiter,souhaiter,14
que,que,83
d',de,81
avoir,avoir,14
de,de,81
telles,tel,75
chaînes,chaîne,22
;,;,p
mais,mais,82
elles,ils,51
sont,être,17
quelquefois,quelquefois,60
bien,bien,60
lourdes,lourd,30
/.,/.,P
“,“,p
il,il,51
s',se,51
interrompit,interrompre,19
un,un,71
instant,instant,21
et,et,82
nous,nous,51
nous,nous,51
tûmes,taire,19
tous,tout,75
deux,deux,72
",",",",p
car,car,82
je,je,51
n',ne,60
aurais,avoir,16
pas,pas,60
osé,oser,12
dire,dire,14
un,un,71
mot,mot,21
",",",",p
voyant,voir,13
qu',que,83
il,il,51
allait,aller,18
poursuivre,poursuivre,14
/.,/.,P
-,-,p
“,“,p
j',je,51
ai,avoir,17
bien,bien,60
réfléchi,réfléchir,12
",",",",p
me,je,51
dit,dire,19
il,il,51
",",",",p
et,et,82
je,je,51
me,je,51
suis,être,17
interrogé,interroger,12
sur,sur,81
mon,mon,73
devoir,devoir,21
quand,quand,83
je,je,51
vous,vous,51
ai,avoir,17
eu,avoir,12
à,à,81
mon,mon,73
bord,bord,21
/.,/.,P
j',je,51
aurais,avoir,16
pu,pouvoir,12
vous,vous,51
laisser,laisser,14
conduire,conduire,14
en,en,81
Angleterre,Angleterre,20
",",",",p
mais,mais,82
vous,vous,51
auriez,avoir,16
pu,pouvoir,12
y,y,52
tomber,tomber,14
dans,dans,81
une,un,71
misère,misère,22
dont,dont,52
je,je,51
vous,vous,51
garantirai,garantir,15
toujours,toujours,60
et,et,82
dans,dans,81
un,un,71
désespoir,désespoir,21
dont,dont,52
j',je,51
espère,espérer,17
aussi,aussi,60
vous,vous,51
sauver,sauver,14
;,;,p
j',je,51
avais,avoir,18
pour,pour,81
votre,votre,73
père,père,21
une,un,71
amitié,amitié,22
bien,bien,60
vraie,vrai,30
",",",",p
et,et,82
je,je,51
lui,lui,51
en,en,52
donnerai,donner,15
ici,ici,60
une,un,71
preuve,preuve,22
;,;,p
s',si,83
il,il,51
me,je,51
voit,voir,17
",",",",p
il,il,51
sera,être,15
content,content,30
de,de,81
moi,moi,51
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
l',le,71
amiral,amiral,21
se,se,51
tut,taire,19
encore,encore,60
et,et,82
me,je,51
serra,serrer,19
la,le,71
main,main,22
/.,/.,P
il,il,51
s',se,51
avança,avancer,19
même,même,60
dans,dans,81
la,le,71
nuit,nuit,22
et,et,82
me,je,51
regarda,regarder,19
attentivement,attentivement,60
",",",",p
pour,pour,81
voir,voir,14
ce,ce,52
que,que,52
j',je,51
éprouvais,éprouver,18
à,à,81
mesure,mesure,22
qu',que,83
il,il,51
me,je,51
parlait,parler,18
/.,/.,P
mais,mais,82
j',je,51
étais,être,18
trop,trop,60
interdit,interdire,12
pour,pour,81
lui,lui,51
répondre,répondre,14
/.,/.,P
il,il,51
poursuivit,poursuivre,19
plus,plus,60
rapidement,rapidement,60
:,:,p
“,“,p
j',je,51
ai,avoir,17
déjà,déjà,60
écrit,écrire,12
à,à,81
l',le,71
Amirauté,Amirauté,20
pour,pour,81
qu',que,83
au,à,81
au,le,71
premier,premier,72
échange,échange,21
vous,vous,51
fussiez,être,18
renvoyé,renvoyer,12
en,en,81
France,France,20
/.,/.,P
mais,mais,82
cela,cela,52
pourra,pouvoir,15
être,être,14
long,long,30
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
",",",",p
je,je,51
ne,ne,60
vous,vous,51
le,le,52
cache,cacher,17
pas,pas,60
;,;,p
car,car,82
",",",",p
outre,outre,81
que,que,83
Bonaparte,Bonaparte,20
s',se,51
y,y,52
prête,prêter,17
mal,mal,60
",",",",p
on,on,51
nous,nous,51
fait,faire,17
peu,peu,60
de,de,81
prisonniers,prisonnier,21
/.,/.,P
-,-,p
en,en,81
attendant,attendre,13
",",",",p
je,je,51
veux,vouloir,17
vous,vous,51
dire,dire,14
que,que,83
je,je,51
vous,vous,51
verrais,voir,16
avec,avec,81
plaisir,plaisir,21
étudier,étudier,14
la,le,71
langue,langue,22
de,de,81
vos,votre,73
ennemis,ennemi,21
",",",",p
vous,vous,51
voyez,voir,17
que,que,83
nous,nous,51
savons,savoir,17
la,le,71
vôtre,vôtre,52
/.,/.,P
si,si,83
vous,vous,51
voulez,vouloir,17
",",",",p
nous,nous,51
travaillerons,travailler,15
ensemble,ensemble,60
et,et,82
je,je,51
vous,vous,51
prêterai,prêter,15
Shakespeare,Shakespeare,20
et,et,82
le,le,71
capitaine,capitaine,21
Cook,Cook,20
/.,/.,P
-,-,p
ne,ne,60
vous,vous,51
affligez,affliger,17
pas,pas,60
",",",",p
vous,vous,51
serez,être,15
libre,libre,30
avant,avant,81
moi,moi,51
",",",",p
car,car,82
",",",",p
si,si,83
l',le,71
empereur,empereur,21
ne,ne,60
fait,faire,17
la,le,71
paix,paix,22
",",",",p
j',je,51
en,en,52
ai,avoir,17
pour,pour,81
toute,tout,75
ma,mon,73
vie,vie,22
/.,/.,P
“,“,p
ce,ce,74
ton,ton,21
de,de,81
bonté,bonté,22
",",",",p
par,par,81
lequel,lequel,52
il,il,51
s',se,51
associait,associer,18
à,à,81
moi,moi,51
et,et,82
nous,nous,51
faisait,faire,18
camarades,camarade,21
",",",",p
dans,dans,81
sa,son,73
prison,prison,22
flottante,flottant,30
",",",",p
me,je,51
fit,faire,19
de,de,81
la,le,71
peine,peine,22
pour,pour,81
lui,lui,51
;,;,p
je,je,51
sentis,sentir,19
que,que,83
",",",",p
dans,dans,81
cette,ce,74
vie,vie,22
sacrifiée,sacrifié,31
et,et,82
isolée,isolé,31
",",",",p
il,il,51
avait,avoir,18
besoin,besoin,21
de,de,81
faire,faire,14
du,de,81
du,le,71
bien,bien,21
pour,pour,81
se,se,51
consoler,consoler,14
secrètement,secrètement,60
de,de,81
la,le,71
rudesse,rudesse,22
de,de,81
sa,son,73
mission,mission,22
toujours,toujours,60
guerroyante,guerroyant,30
/.,/.,P
-,-,p
“,“,p
milord,milord,21
",",",",p
lui,lui,51
dis,dire,19
je,je,51
",",",",p
avant,avant,81
de,de,81
m',je,51
enseigner,enseigner,14
les,le,71
mots,mot,21
d',de,81
une,un,71
langue,langue,22
nouvelle,nouveau,30
",",",",p
apprenez,apprendre,17
moi,moi,51
les,le,71
pensées,pensée,22
par,par,81
lesquelles,lequel,52
vous,vous,51
êtes,être,17
parvenu,parvenir,12
à,à,81
ce,ce,74
calme,calme,21
parfait,parfait,31
",",",",p
à,à,81
cette,ce,74
égalité,égalité,22
d',de,81
âme,âme,22
qui,qui,52
ressemble,ressembler,17
à,à,81
du,de,81
du,le,71
bonheur,bonheur,21
",",",",p
et,et,82
qui,qui,52
cache,cacher,17
un,un,71
éternel,éternel,30
ennui,ennui,21
/…,/…,P
pardonnez,pardonner,17
moi,moi,51
ce,ce,52
que,que,52
je,je,51
vais,aller,17
vous,vous,51
dire,dire,14
",",",",p
mais,mais,82
je,je,51
crains,craindre,17
que,que,83
cette,ce,74
vertu,vertu,22
ne,ne,60
soit,être,17
qu',que,83
une,un,71
dissimulation,dissimulation,22
perpétuelle,perpétuel,30
/.,/.,P
-,-,p
vous,vous,51
vous,vous,51
trompez,tromper,17
grandement,grandement,60
",",",",p
dit,dire,19
il,il,51
",",",",p
le,le,71
sentiment,sentiment,21
du,de,81
du,le,71
devoir,devoir,21
finit,finir,17
par,par,81
dominer,dominer,14
tellement,tellement,60
l',le,71
esprit,esprit,21
",",",",p
qu',que,83
il,il,51
entre,entrer,17
dans,dans,81
le,le,71
caractère,caractère,21
et,et,82
devient,devenir,17
un,un,52
de,de,81
ses,son,73
traits,trait,21
principaux,principal,30
",",",",p
justement,justement,60
comme,comme,83
une,un,71
saine,sain,30
nourriture,nourriture,22
",",",",p
perpétuellement,perpétuellement,60
reçue,reçu,31
",",",",p
peut,pouvoir,17
changer,changer,14
la,le,71
masse,masse,22
du,de,81
du,le,71
sang,sang,21
et,et,82
devenir,devenir,14
un,un,52
des,de,81
des,le,71
principes,principe,21
de,de,81
notre,notre,73
constitution,constitution,22
/.,/.,P
j',je,51
ai,avoir,17
éprouvé,éprouver,12
",",",",p
plus,plus,60
que,que,83
tout,tout,75
homme,homme,21
peut-être,peut-être,60
",",",",p
à,à,81
quel,quel,75
point,point,21
il,il,51
est,être,17
facile,facile,30
d',de,81
arriver,arriver,14
à,à,81
s',se,51
oublier,oublier,14
complètement,complètement,60
/.,/.,P
mais,mais,82
on,on,51
ne,ne,60
peut,pouvoir,17
dépouiller,dépouiller,14
l',le,71
homme,homme,21
tout,tout,60
entier,entier,30
",",",",p
et,et,82
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
choses,chose,22
qui,qui,52
tiennent,tenir,17
plus,plus,60
au,à,81
au,le,71
coeur,coeur,21
que,que,83
l',l',94
on,on,51
ne,ne,60
voudrait,vouloir,16
/.,/.,P
“,“,p
là,là,60
",",",",p
il,il,51
s',se,51
interrompit,interrompre,19
et,et,82
prit,prendre,19
sa,son,73
longue,long,30
lunette,lunette,22
/.,/.,P
il,il,51
