11269
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquième extrait>,<>,<>
l',le,71
immobilité,immobilité,22
/?,/?,P
est,être,17
ce,ce,52
la,le,71
soif,soif,22
du,de,81
du,le,71
pouvoir,pouvoir,21
qui,qui,52
vous,vous,51
tourmente,tourmenter,17
/?,/?,P
avez,avoir,17
vous,vous,51
renoncé,renoncer,12
volontairement,volontairement,60
à,à,81
un,un,71
but,but,21
placé,placé,31
hors,hors,81
de,de,81
la,le,71
portée,portée,22
humaine,humain,30
/?,/?,P
vous,vous,51
êtes,être,17
bien,bien,60
jeune,jeune,30
pour,pour,81
cela,cela,52
/.,/.,P
-,-,p
une,un,71
femme,femme,22
vous,vous,51
a,avoir,17
t,t,94
elle,il,51
trompé,tromper,12
/?,/?,P
non,non,60
",",",",p
docteur,docteur,21
",",",",p
répondit,répondre,19
Octave,Octave,20
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
même,même,60
eu,avoir,12
ce,ce,52
bonheur,bonheur,21
/.,/.,P
-,-,p
et,et,82
cependant,cependant,82
",",",",p
reprit,reprendre,19
monsieur,monsieur,21
Balthazar,Balthazar,20
Cherbonneau,Cherbonneau,20
",",",",p
je,je,51
lis,lire,17
dans,dans,81
vos,votre,73
yeux,oeil,21
ternes,terne,30
",",",",p
dans,dans,81
l',le,71
habitude,habitude,22
découragée,découragé,31
de,de,81
votre,votre,73
corps,corps,21
",",",",p
dans,dans,81
le,le,71
timbre,timbre,21
sourd,sourd,30
de,de,81
votre,votre,73
voix,voix,22
",",",",p
le,le,71
titre,titre,21
d',de,81
une,un,71
pièce,pièce,22
de,de,81
Shakespeare,Shakespeare,20
aussi,aussi,60
nettement,nettement,60
que,que,83
s',si,83
il,il,51
était,être,18
estampé,estamper,12
en,en,81
lettres,lettre,22
d',de,81
or,or,21
sur,sur,81
le,le,71
dos,dos,21
d',de,81
une,un,71
reliure,reliure,22
de,de,81
maroquin,maroquin,21
/.,/.,P
-,-,p
et,et,82
quelle,quel,52
est,être,17
cette,ce,74
pièce,pièce,22
que,que,52
je,je,51
traduis,traduire,17
sans,sans,81
le,le,52
savoir,savoir,14
?,?,p
dit,dire,19
Octave,Octave,20
",",",",p
dont,dont,52
la,le,71
curiosité,curiosité,22
s',se,51
éveillait,éveiller,18
malgré,malgré,81
lui,lui,51
/.,/.,P
-,-,p
love,love,92
is,is,92
labour's,labour,92
lost,lost,92
",",",",p
continua,continuer,19
le,le,71
docteur,docteur,21
avec,avec,81
une,un,71
pureté,pureté,22
d',de,81
accent,accent,21
qui,qui,52
trahissait,trahir,18
un,un,71
long,long,30
séjour,séjour,21
dans,dans,81
les,le,71
possessions,possession,22
anglaises,anglais,30
de,de,81
l',le,71
Inde,Inde,20
/.,/.,P
-,-,p
cela,cela,52
veut,vouloir,17
dire,dire,14
",",",",p
si,si,83
je,je,51
ne,ne,60
me,je,51
trompe,tromper,17
",",",",p
peines,peine,22
d',de,81
amour,amour,21
perdues,perdu,31
/.,/.,P
-,-,p
précisément,précisément,60
/.,/.,P
“,“,p
Octave,Octave,20
ne,ne,60
répondit,répondre,19
pas,pas,60
;,;,p
une,un,71
légère,léger,30
rougeur,rougeur,22
colora,colorer,19
ses,son,73
joues,joue,22
",",",",p
et,et,82
",",",",p
pour,pour,81
se,se,51
donner,donner,14
une,un,71
contenance,contenance,22
",",",",p
il,il,51
se,se,51
mit,mettre,19
à,à,81
jouer,jouer,14
avec,avec,81
le,le,71
gland,gland,21
de,de,81
sa,son,73
cordelière,cordelière,22
/.,/.,P
le,le,71
docteur,docteur,21
avait,avoir,18
reployé,reployer,12
une,un,52
de,de,81
ses,son,73
jambes,jambe,22
sur,sur,81
l',le,71
autre,autre,52
",",",",p
ce,ce,52
qui,qui,52
produisait,produire,18
l',le,71
effet,effet,21
des,de,81
des,le,71
os,os,21
en,en,81
sautoir,sautoir,21
gravés,gravé,31
sur,sur,81
les,le,71
tombes,tombe,22
",",",",p
et,et,82
se,se,51
tenait,tenir,18
le,le,71
pied,pied,21
avec,avec,81
la,le,71
main,main,22
à,à,81
la,le,71
mode,mode,22
orientale,oriental,30
/.,/.,P
ses,son,73
yeux,oeil,21
bleus,bleu,30
se,se,51
plongeaient,plonger,18
dans,dans,81
les,le,71
yeux,oeil,21
d',de,81
Octave,Octave,20
et,et,82
les,le,52
interrogeaient,interroger,18
d',de,81
un,un,71
regard,regard,21
impérieux,impérieux,30
et,et,82
doux,doux,30
/.,/.,P
“,“,p
allons,aller,17
",",",",p
dit,dire,19
monsieur,monsieur,21
Balthazar,Balthazar,20
Cherbonneau,Cherbonneau,20
",",",",p
ouvrez,ouvrir,17
vous,vous,51
à,à,81
moi,moi,51
",",",",p
je,je,51
suis,être,17
le,le,71
médecin,médecin,21
des,de,81
des,le,71
âmes,âme,22
",",",",p
vous,vous,51
êtes,être,17
mon,mon,73
malade,malade,21
",",",",p
et,et,82
comme,comme,83
le,le,71
prêtre,prêtre,21
catholique,catholique,30
à,à,81
son,son,73
pénitent,pénitent,21
",",",",p
je,je,51
vous,vous,51
demande,demander,17
une,un,71
confession,confession,22
complète,compléter,17
",",",",p
et,et,82
vous,vous,51
pourrez,pouvoir,15
la,le,52
faire,faire,14
sans,sans,81
vous,vous,51
mettre,mettre,14
à,à,81
genoux,genou,21
/.,/.,P
-,-,p
à,à,81
quoi,quoi,52
bon,bon,60
/?,/?,P
en,en,81
supposant,supposer,13
que,que,83
vous,vous,51
ayez,avoir,17
deviné,deviner,12
juste,juste,60
",",",",p
vous,vous,51
raconter,raconter,14
mes,mon,73
douleurs,douleur,22
ne,ne,60
les,le,52
soulagerait,soulager,16
pas,pas,60
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
le,le,71
chagrin,chagrin,21
bavard,bavard,30
",",",",p
-,-,p
aucun,aucun,75
pouvoir,pouvoir,21
humain,humain,30
",",",",p
même,même,60
le,le,71
vôtre,vôtre,52
",",",",p
ne,ne,60
saurait,savoir,16
me,je,51
guérir,guérir,14
/.,/.,P
-,-,p
peut-être,peut-être,60
“,“,p
",",",",p
fit,faire,19
le,le,71
docteur,docteur,21
en,en,81
s',se,51
établissant,établir,13
plus,plus,60
carrément,carrément,60
dans,dans,81
son,son,73
fauteuil,fauteuil,21
",",",",p
comme,comme,83
quelqu'un,quelqu'un,52
qui,qui,52
se,se,51
dispose,disposer,17
à,à,81
écouter,écouter,14
une,un,71
confidence,confidence,22
d',de,81
une,un,71
certaine,certain,75
longueur,longueur,22
/.,/.,P
“,“,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
",",",",p
reprit,reprendre,19
Octave,Octave,20
",",",",p
que,que,83
vous,vous,51
m',je,51
accusiez,accuser,17
d',de,81
un,un,71
entêtement,entêtement,21
puéril,puéril,30
",",",",p
et,et,82
vous,vous,51
laisser,laisser,14
",",",",p
par,par,81
mon,mon,73
mutisme,mutisme,21
",",",",p
un,un,71
moyen,moyen,30
de,de,81
vous,vous,51
laver,laver,14
les,le,71
mains,main,22
de,de,81
mon,mon,73
trépas,trépas,21
;,;,p
mais,mais,82
",",",",p
puisque,puisque,83
vous,vous,51
y,y,52
tenez,tenir,17
",",",",p
je,je,51
vais,aller,17
vous,vous,51
raconter,raconter,14
mon,mon,73
histoire,histoire,22
;,;,p
-,-,p
vous,vous,51
en,en,52
avez,avoir,17
deviné,deviner,12
le,le,71
fond,fond,21
",",",",p
je,je,51
ne,ne,60
vous,vous,51
en,en,52
disputerai,disputer,15
pas,pas,60
les,le,71
détails,détail,21
/.,/.,P
ne,ne,60
vous,vous,51
attendez,attendre,17
à,à,81
rien,rien,52
de,de,81
singulier,singulier,30
ou,ou,82
de,de,81
romanesque,romanesque,30
/.,/.,P
c',ce,52
est,être,17
une,un,71
aventure,aventure,22
très,très,60
simple,simple,30
",",",",p
très,très,60
commune,commun,30
",",",",p
très,très,60
usée,usé,31
;,;,p
mais,mais,82
",",",",p
comme,comme,83
dit,dire,17
la,le,71
chanson,chanson,22
de,de,81
Henri,Henri,20
Heine,Heine,20
",",",",p
celui,celui,52
à,à,81
qui,qui,52
elle,il,51
arrive,arriver,17
la,le,52
trouve,trouver,17
toujours,toujours,60
nouvelle,nouveau,30
",",",",p
et,et,82
il,il,51
en,en,52
a,avoir,17
le,le,71
coeur,coeur,21
brisé,brisé,31
/.,/.,P
en,en,81
vérité,vérité,22
",",",",p
j',je,51
ai,avoir,17
honte,honte,22
de,de,81
dire,dire,14
quelque,quelque,75
chose,chose,22
de,de,81
si,si,60
vulgaire,vulgaire,30
à,à,81
un,un,71
homme,homme,21
qui,qui,52
a,avoir,17
vécu,vivre,12
dans,dans,81
les,le,71
pays,pays,21
les,le,71
plus,plus,60
fabuleux,fabuleux,30
et,et,82
les,le,71
plus,plus,60
chimériques,chimérique,30
/.,/.,P
-,-,p
n',ne,60
avez,avoir,17
aucune,aucun,75
crainte,crainte,22
;,;,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
plus,plus,60
que,que,83
le,le,71
commun,commun,30
qui,qui,52
soit,être,17
extraordinaire,extraordinaire,30
pour,pour,81
moi,moi,51
",",",",p
dit,dire,19
le,le,71
docteur,docteur,21
en,en,81
souriant,sourire,13
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
docteur,docteur,21
",",",",p
je,je,51
me,je,51
meurs,mourir,17
d',de,81
amour,amour,21
/.,/.,P
“,“,p
II,II,20
“,“,p
je,je,51
me,je,51
trouvais,trouver,18
à,à,81
Florence,Florence,20
",",",",p
vers,vers,81
la,le,71
fin,fin,22
de,de,81
l',le,71
été,été,21
",",",",p
en,en,81
<Nombre 184>,<>,<>
cent,cent,72
quatre,quatre,72
vingt,vingt,72
quatre,quatre,72
<Fin nombre>,<>,<>
/.,/.,P
…,…,p
la,le,71
plus,plus,60
belle,beau,30
saison,saison,22
pour,pour,81
voir,voir,14
Florence,Florence,20
/.,/.,P
j',je,51
avais,avoir,18
du,de,81
du,le,71
temps,temps,21
",",",",p
de,de,81
l',le,71
argent,argent,21
",",",",p
de,de,81
bonnes,bon,30
lettres,lettre,22
de,de,81
recommandation,recommandation,22
",",",",p
et,et,82
alors,alors,60
j',je,51
étais,être,18
un,un,71
jeune,jeune,30
homme,homme,21
de,de,81
belle,beau,30
humeur,humeur,22
",",",",p
ne,ne,60
demandant,demander,13
pas,pas,60
mieux,mieux,60
que,que,83
de,de,81
s',se,51
amuser,amuser,14
/.,/.,P
je,je,51
m',je,51
installai,installer,19
sur,sur,81
le,le,71
long,long,30
Arno,Arno,20
",",",",p
je,je,51
louai,louer,19
une,un,71
calèche,calèche,22
et,et,82
je,je,51
me,je,51
laissai,laisser,19
aller,aller,14
à,à,81
cette,ce,74
douce,doux,30
vie,vie,22
florentine,florentin,30
qui,qui,52
a,avoir,17
tant,tant,60
de,de,81
charme,charme,21
pour,pour,81
l',le,71
étranger,étranger,21
/.,/.,P
le,le,71
matin,matin,21
",",",",p
j',je,51
allais,aller,18
visiter,visiter,14
quelque,quelque,75
église,église,22
",",",",p
quelque,quelque,75
palais,palais,21
ou,ou,82
quelque,quelque,75
galerie,galerie,22
tout,tout,60
à,à,81
mon,mon,73
aise,aise,22
",",",",p
sans,sans,81
me,je,51
presser,presser,14
",",",",p
ne,ne,60
voulant,vouloir,13
pas,pas,60
me,je,51
donner,donner,14
cette,ce,74
indigestion,indigestion,22
de,de,81
chefs-d'oeuvre,chef-d'oeuvre,21
qui,qui,52
",",",",p
en,en,81
Italie,Italie,20
",",",",p
fait,faire,17
venir,venir,14
aux,à,81
aux,le,71
touristes,touriste,21
trop,trop,60
hâtifs,hâtif,30
la,le,71
nausée,nausée,22
de,de,81
l',le,71
art,art,21
;,;,p
tantôt,tantôt,60
je,je,51
regardais,regarder,18
les,le,71
portes,porte,22
de,de,81
bronze,bronze,21
du,de,81
du,le,71
baptistère,baptistère,21
",",",",p
tantôt,tantôt,60
le,le,71
Persée,Persée,20
de,de,81
Benvenuto,Benvenuto,20
sous,sous,81
la,le,71
loggia,loggia,22
dei,dei,92
Lanzi,Lanzi,20
",",",",p
le,le,71
portrait,portrait,21
de,de,81
la,le,71
Fornarina,Fornarina,20
aux,à,81
aux,le,71
offices,office,21
",",",",p
ou,ou,82
bien,bien,60
encore,encore,60
la,le,71
Vénus,Vénus,20
de,de,81
Canova,Canova,20
au,à,81
au,le,71
palais,palais,21
Pitti,Pitti,20
",",",",p
mais,mais,82
jamais,jamais,60
plus,plus,60
d',de,81
un,un,71
objet,objet,21
à,à,81
la,le,71
fois,fois,22
/.,/.,P
puis,puis,60
je,je,51
déjeunais,déjeuner,18
",",",",p
au,à,81
au,le,71
café,café,21
Doney,Doney,20
",",",",p
d',de,81
une,un,71
tasse,tasse,22
de,de,81
café,café,21
à,à,81
la,le,71
glace,glace,22
",",",",p
je,je,51
fumais,fumer,18
quelques,quelque,75
cigares,cigare,21
",",",",p
parcourais,parcourir,18
les,le,71
journaux,journal,21
",",",",p
et,et,82
",",",",p
la,le,71
boutonnière,boutonnière,22
fleurie,fleuri,31
de,de,81
gré,gré,21
ou,ou,82
de,de,81
force,force,22
par,par,81
ces,ce,74
jolies,joli,30
bouquetières,bouquetière,22
coiffées,coiffé,31
de,de,81
grands,grand,30
chapeaux,chapeau,21
de,de,81
paille,paille,22
qui,qui,52
stationnent,stationner,17
devant,devant,81
le,le,71
café,café,21
;,;,p
je,je,51
rentrais,rentrer,18
chez,chez,81
moi,moi,51
faire,faire,14
la,le,71
sieste,sieste,22
;,;,p
à,à,81
trois,trois,72
heures,heure,22
",",",",p
la,le,71
calèche,calèche,22
venait,venir,18
me,je,51
prendre,prendre,14
et,et,82
me,je,51
transportait,transporter,18
aux,à,81
aux,le,71
Cascines,Cascines,20
/.,/.,P
les,le,71
Cascines,Cascines,20
sont,être,17
à,à,81
Florence,Florence,20
ce,ce,52
que,que,52
le,le,71
bois,bois,21
de,de,81
Boulogne,Boulogne,20
est,être,17
à,à,81
Paris,Paris,20
",",",",p
avec,avec,81
cette,ce,74
différence,différence,22
que,que,52
tout,tout,75
le,le,71
monde,monde,21
s',se,51
y,y,52
connaît,connaître,17
",",",",p
et,et,82
que,que,83
le,le,71
rond-point,rond-point,21
forme,former,17
un,un,71
salon,salon,21
en,en,81
plein,plein,30
air,air,21
",",",",p
où,où,60
les,le,71
fauteuils,fauteuil,21
sont,être,17
remplacés,remplacer,12
par,par,81
des,de,81
des,le,71
voitures,voiture,22
",",",",p
arrêtées,arrêté,31
et,et,82
rangées,rangé,31
en,en,81
demi-cercle,demi-cercle,21
/.,/.,P
les,le,71
femmes,femme,22
",",",",p
en,en,81
grande,grand,30
toilette,toilette,22
",",",",p
à,à,81
demi,demi,30
couchées,couché,31
sur,sur,81
les,le,71
coussins,coussin,21
",",",",p
reçoivent,recevoir,17
les,le,71
visites,visite,22
des,de,81
des,le,71
amants,amant,21
et,et,82
des,de,81
des,le,71
attentifs,attentif,30
",",",",p
des,de,81
des,le,71
dandys,dandy,21
et,et,82
des,de,81
des,le,71
attachés,attaché,21
de,de,81
légation,légation,22
",",",",p
qui,qui,52
se,se,51
tiennent,tenir,17
debout,debout,60
et,et,82
chapeau,chapeau,21
bas,bas,30
sur,sur,81
le,le,71
marchepied,marchepied,21
/.,/.,P
-,-,p
mais,mais,82
vous,vous,51
savez,savoir,17
cela,cela,52
tout,tout,60
aussi,aussi,60
bien,bien,60
que,que,83
moi,moi,51
/.,/.,P
-,-,p
là,là,60
se,se,51
forment,former,17
les,le,71
projets,projet,21
pour,pour,81
la,le,71
soirée,soirée,22
",",",",p
s',se,51
assignent,assigner,17
les,le,71
rendez-vous,rendez-vous,21
",",",",p
se,se,51
donnent,donner,17
les,le,71
réponses,réponse,22
",",",",p
s',se,51
acceptent,accepter,17
les,le,71
invitations,invitation,22
;,;,p
c',ce,52
est,être,17
comme,comme,83
une,un,71
bourse,bourse,22
du,de,81
du,le,71
plaisir,plaisir,21
qui,qui,52
se,se,51
tient,tenir,17
de,de,81
trois,trois,72
heures,heure,22
à,à,81
cinq,cinq,72
heures,heure,22
",",",",p
à,à,81
l',le,71
ombre,ombre,22
des,de,81
des,le,71
beaux,beau,30
arbres,arbre,21
",",",",p
sous,sous,81
le,le,71
ciel,ciel,21
le,le,71
plus,plus,60
doux,doux,30
du,de,81
du,le,71
monde,monde,21
/.,/.,P
il,il,51
est,être,17
obligatoire,obligatoire,30
",",",",p
pour,pour,81
tout,tout,52
être,être,14
un,un,71
peu,peu,60
bien,bien,60
situé,situer,12
",",",",p
de,de,81
faire,faire,14
chaque,chaque,75
jour,jour,21
une,un,71
apparition,apparition,22
aux,à,81
aux,le,71
Cascines,Cascines,20
/.,/.,P
je,je,51
n',ne,60
avais,avoir,18
garde,garde,22
d',de,81
y,y,52
manquer,manquer,14
",",",",p
et,et,82
le,le,71
soir,soir,21
",",",",p
après,après,81
dîner,dîner,21
",",",",p
j',je,51
allais,aller,18
dans,dans,81
quelques,quelque,75
salons,salon,21
",",",",p
ou,ou,82
à,à,81
la,le,71
Pergola,Pergola,20
",",",",p
lorsque,lorsque,83
la,le,71
cantatrice,cantatrice,22
en,en,52
valait,valoir,18
la,le,71
peine,peine,22
/.,/.,P
“,“,p
je,je,51
passai,passer,19
ainsi,ainsi,60
un,un,52
des,de,81
des,le,71
plus,plus,60
heureux,heureux,30
mois,mois,21
de,de,81
ma,mon,73
vie,vie,22
;,;,p
mais,mais,82
ce,ce,74
bonheur,bonheur,21
ne,ne,60
devait,devoir,18
pas,pas,60
durer,durer,14
/.,/.,P
une,un,71
magnifique,magnifique,30
calèche,calèche,22
fit,faire,19
un,un,71
jour,jour,21
son,son,73
début,début,21
aux,à,81
aux,le,71
Cascines,Cascines,20
/.,/.,P
ce,ce,74
superbe,superbe,30
produit,produit,21
de,de,81
la,le,71
carrosserie,carrosserie,22
de,de,81
Vienne,Vienne,20
",",",",p
chef-d'oeuvre,chef-d'oeuvre,21
de,de,81
Laurenzi,Laurenzi,20
",",",",p
miroité,miroité,31
d',de,81
un,un,71
vernis,vernis,21
étincelant,étincelant,30
",",",",p
historié,historié,31
d',de,81
un,un,71
blason,blason,21
presque,presque,60
royal,royal,30
",",",",p
était,être,18
attelé,atteler,12
de,de,81
la,le,71
plus,plus,60
belle,beau,30
paire,paire,22
de,de,81
chevaux,cheval,21
qui,qui,52
ait,avoir,17
jamais,jamais,60
piaffé,piaffer,12
à,à,81
Hyde Park,Hyde Park,20
ou,ou,82
à,à,81
Saint,Saint,20
James,James,20
au,à,81
au,le,71
Drawing,Drawing,20
Room,Room,20
de,de,81
la,le,71
reine,reine,22
Victoria,Victoria,20
",",",",p
et,et,82
mené,mené,31
à,à,81
la,le,71
Daumont,Daumont,20
de,de,81
la,le,71
façon,façon,22
la,le,71
plus,plus,60
correcte,correct,30
par,par,81
un,un,71
tout,tout,60
jeune,jeune,30
jockey,jockey,21
en,en,81
culotte,culotte,22
de,de,81
peau,peau,22
blanche,blanc,30
et,et,82
en,en,81
casaque,casaque,22
verte,vert,30
;,;,p
les,le,71
cuivres,cuivre,21
des,de,81
des,le,71
harnais,harnais,21
",",",",p
les,le,71
boîtes,boîte,22
des,de,81
des,le,71
roues,roue,22
",",",",p
les,le,71
poignées,poignée,22
des,de,81
des,le,71
portières,portière,22
brillaient,briller,18
comme,comme,83
de,de,81
l',le,71
or,or,21
et,et,82
lançaient,lancer,18
des,de,81
des,le,71
éclairs,éclair,21
au,à,81
au,le,71
soleil,soleil,21
;,;,p
tous,tout,75
les,le,71
regards,regard,21
suivaient,suivre,18
ce,ce,74
splendide,splendide,30
équipage,équipage,21
qui,qui,52
",",",",p
après,après,81
avoir,avoir,14
décrit,décrire,12
sur,sur,81
le,le,71
sable,sable,21
une,un,71
courbe,courbe,22
aussi,aussi,60
régulière,régulier,30
que,que,83
si,si,83
elle,il,51
eût,avoir,19
été,être,12
tracée,tracer,12
au,à,81
au,le,71
compas,compas,21
",",",",p
alla,aller,19
se,se,51
ranger,ranger,14
auprès,auprès,60
des,de,81
des,le,71
voitures,voiture,22
/.,/.,P
la,le,71
calèche,calèche,22
n',ne,60
était,être,18
pas,pas,60
vide,vide,30
",",",",p
comme,comme,83
vous,vous,51
le,le,52
pensez,penser,17
bien,bien,60
;,;,p
mais,mais,82
dans,dans,81
la,le,71
rapidité,rapidité,22
du,de,81
du,le,71
mouvement,mouvement,21
on,on,51
n',ne,60
avait,avoir,18
pu,pouvoir,12
distinguer,distinguer,14
qu',que,83
un,un,71
bout,bout,21
de,de,81
bottine,bottine,22
allongé,allongé,31
sur,sur,81
le,le,71
coussin,coussin,21
du,de,81
du,le,71
devant,devant,81
",",",",p
un,un,71
large,large,30
pli,pli,21
de,de,81
châle,châle,21
et,et,82
le,le,71
disque,disque,21
d',de,81
une,un,71
ombrelle,ombrelle,22
frangée,frangé,31
de,de,81
soie,soie,22
blanche,blanc,30
/.,/.,P
l',le,71
ombrelle,ombrelle,22
se,se,51
referma,refermer,19
et,et,82
l',l',94
on,on,51
vit,voir,19
resplendir,resplendir,14
une,un,71
femme,femme,22
d',de,81
une,un,71
beauté,beauté,22
incomparable,incomparable,30
/.,/.,P
j',je,51
étais,être,18
à,à,81
cheval,cheval,21
et,et,82
je,je,51
pus,pouvoir,19
m',je,51
approcher,approcher,14
assez,assez,60
pour,pour,81
ne,ne,60
perdre,perdre,14
aucun,aucun,75
détail,détail,21
de,de,81
ce,ce,74
chef-d'oeuvre,chef-d'oeuvre,21
humain,humain,30
/.,/.,P
l',le,71
étrangère,étrangère,22
portait,porter,18
une,un,71
robe,robe,22
de,de,81
ce,ce,74
vert,vert,21
d',de,81
eau,eau,22
glacé,glacé,31
d',de,81
argent,argent,21
qui,qui,52
fait,faire,17
paraître,paraître,14
noire,noir,30
comme,comme,83
une,un,71
taupe,taupe,22
toute,tout,75
femme,femme,22
dont,dont,52
le,le,71
teint,teint,21
n',ne,60
est,être,17
pas,pas,60
irréprochable,irréprochable,30
",",",",p
-,-,p
une,un,71
insolence,insolence,22
de,de,81
blonde,blonde,22
sûre,sûr,30
d',de,81
elle-même,lui-même,51
/.,/.,P
-,-,p
un,un,71
grand,grand,30
crêpe,crêpe,21
de,de,81
Chine,Chine,20
blanc,blanc,30
",",",",p
tout,tout,60
bossué,bossué,31
de,de,81
broderies,broderie,22
de,de,81
la,le,71
même,même,75
couleur,couleur,22
",",",",p
l',le,52
enveloppait,envelopper,18
de,de,81
sa,son,73
draperie,draperie,22
souple,souple,30
et,et,82
fripée,fripé,31
à,à,81
petits,petit,30
plis,pli,21
",",",",p
comme,comme,83
une,un,71
tunique,tunique,22
de,de,81
Phidias,Phidias,20
/.,/.,P
le,le,71
visage,visage,21
avait,avoir,18
pour,pour,81
auréole,auréole,22
un,un,71
chapeau,chapeau,21
de,de,81
la,le,71
plus,plus,60
fine,fin,30
paille,paille,22
de,de,81
Florence,Florence,20
",",",",p
fleuri,fleurir,12
de,de,81
myosotis,myosotis,21
et,et,82
de,de,81
délicates,délicat,30
plantes,plante,22
aquatiques,aquatique,30
aux,à,81
aux,le,71
étroites,étroit,30
feuilles,feuille,22
glauques,glauque,30
;,;,p
pour,pour,81
tout,tout,75
bijou,bijou,21
",",",",p
un,un,71
lézard,lézard,21
d',de,81
or,or,21
constellé,constellé,31
de,de,81
turquoises,turquoise,22
cerclait,cercler,18
le,le,71
bras,bras,21
qui,qui,52
tenait,tenir,18
le,le,71
manche,manche,22
d',de,81
ivoire,ivoire,21
de,de,81
l',le,71
ombrelle,ombrelle,22
/.,/.,P
“,“,p
pardonnez,pardonner,17
",",",",p
cher,cher,30
docteur,docteur,21
",",",",p
cette,ce,74
description,description,22
de,de,81
journal,journal,21
de,de,81
mode,mode,22
à,à,81
un,un,71
amant,amant,21
pour,pour,81
qui,qui,52
ces,ce,74
menus,menu,30
souvenirs,souvenir,21
prennent,prendre,17
une,un,71
importance,importance,22
énorme,énorme,30
/.,/.,P
d',de,81
épais,épais,30
bandeaux,bandeau,21
blonds,blond,30
crépelés,crépelé,30
",",",",p
dont,dont,52
les,le,71
annelures,annelure,22
formaient,former,18
comme,comme,83
des,de,81
des,le,71
vagues,vague,22
de,de,81
lumière,lumière,22
",",",",p
descendaient,descendre,18
en,en,81
nappes,nappe,22
opulentes,opulent,30
des,de,81
des,le,71
deux,deux,72
côtés,côté,21
de,de,81
son,son,73
front,front,21
plus,plus,60
blanc,blanc,30
et,et,82
plus,plus,60
pur,pur,30
que,que,83
la,le,71
neige,neige,22
vierge,vierge,30
tombée,tombé,31
dans,dans,81
la,le,71
nuit,nuit,22
sur,sur,81
le,le,71
plus,plus,60
haut,haut,30
sommet,sommet,21
d',de,81
une,un,71
Alpe,Alpe,20
;,;,p
des,de,81
des,le,71
cils,cil,21
longs,long,30
et,et,82
déliés,délié,31
comme,comme,83
ces,ce,74
fils,fil,21
d',de,81
or,or,21
que,que,52
les,le,71
miniaturistes,miniaturiste,21
du,de,81
du,le,71
moyen,moyen,30
âge,âge,21
font,faire,17
rayonner,rayonner,14
autour,autour,60
des,de,81
des,le,71
têtes,tête,22
de,de,81
leurs,leur,73
anges,ange,21
",",",",p
voilaient,voiler,18
à,à,81
demi,demi,30
ses,son,73
prunelles,prunelle,22
d',de,81
un,un,71
bleu,bleu,30
vert,vert,21
pareil,pareil,30
à,à,81
ces,ce,74
lueurs,lueur,22
qui,qui,52
traversent,traverser,17
les,le,71
glaciers,glacier,21
par,par,81
certains,certain,75
effets,effet,21
de,de,81
soleil,soleil,21
;,;,p
sa,son,73
bouche,bouche,22
",",",",p
divinement,divinement,60
dessinée,dessiné,31
",",",",p
présentait,présenter,18
ces,ce,74
teintes,teinte,22
pourprées,pourpré,30
qui,qui,52
lavent,laver,17
les,le,71
valves,valve,22
des,de,81
des,le,71
conques,conque,22
de,de,81
Vénus,Vénus,20
",",",",p
et,et,82
ses,son,73
joues,joue,22
ressemblaient,ressembler,18
à,à,81
de,de,81
timides,timide,22
roses,rose,30
blanches,blanc,30
que,que,52
ferait,faire,16
rougir,rougir,14
l',le,71
aveu,aveu,21
du,de,81
du,le,71
rossignol,rossignol,21
ou,ou,82
le,le,71
baiser,baiser,21
du,de,81
du,le,71
papillon,papillon,21
;,;,p
aucun,aucun,75
pinceau,pinceau,21
humain,humain,30
ne,ne,60
saurait,savoir,16
rendre,rendre,14
ce,ce,74
teint,teint,21
d',de,81
une,un,71
suavité,suavité,22
",",",",p
d',de,81
une,un,71
fraîcheur,fraîcheur,22
et,et,82
d',de,81
une,un,71
transparence,transparence,22
immatérielles,immatériel,30
",",",",p
dont,dont,52
les,le,71
couleurs,couleur,22
ne,ne,60
paraissaient,paraître,18
pas,pas,60
dues,dû,31
au,à,81
au,le,71
sang,sang,21
grossier,grossier,30
qui,qui,52
enlumine,enluminer,17
nos,notre,73
fibres,fibre,22
;,;,p
les,le,71
premières,premier,72
rougeurs,rougeur,22
de,de,81
l',le,71
aurore,aurore,22
sur,sur,81
la,le,71
cime,cime,22
des,de,81
des,le,71
sierras,sierra,22
Nevadas,Nevadas,20
",",",",p
le,le,71
ton,ton,21
carné,carné,30
de,de,81
quelques,quelque,75
camélias,camélia,21
blancs,blanc,30
",",",",p
à,à,81
l',le,71
onglet,onglet,21
de,de,81
leurs,leur,73
pétales,pétale,21
",",",",p
le,le,71
marbre,marbre,21
de,de,81
Paros,Paros,20
",",",",p
entrevu,entrevu,31
à,à,81
travers,travers,21
un,un,71
voile,voile,21
de,de,81
gaze,gaze,22
rose,rose,30
",",",",p
peuvent,pouvoir,17
seuls,seul,30
en,en,52
donner,donner,14
une,un,71
idée,idée,22
lointaine,lointain,30
/.,/.,P
ce,ce,52
qu',que,52
on,on,51
apercevait,apercevoir,18
