11735
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Seizième extrait>,<>,<>
l',le,71
air,air,21
soupçonneux,soupçonneux,30
en,en,81
la,le,52
regardant,regarder,13
/.,/.,P
-,-,p
madame,madame,22
",",",",p
dit,dire,19
il,il,51
",",",",p
que,que,52
faites,faire,17
vous,vous,51
au,à,81
au,le,71
camp,camp,21
à,à,81
cette,ce,74
heure,heure,22
;,;,p
et,et,82
",",",",p
si,si,83
votre,votre,73
esprit,esprit,21
n',ne,60
est,être,17
pas,pas,60
égaré,égarer,12
",",",",p
pourquoi,pourquoi,60
ces,ce,74
pieds,pied,21
nus,nu,30
/?,/?,P
c',ce,52
est,être,17
un,un,71
voeu,voeu,21
",",",",p
c',ce,52
est,être,17
un,un,71
voeu,voeu,21
",",",",p
répondit,répondre,19
la,le,71
jeune,jeune,30
religieuse,religieuse,22
avec,avec,81
un,un,71
air,air,21
d',de,81
impatience,impatience,22
en,en,81
s',se,51
asseyant,asseoir,13
près,près,81
de,de,81
lui,lui,51
brusquement,brusquement,60
;,;,p
j',je,51
ai,avoir,17
fait,faire,12
aussi,aussi,60
celui,celui,52
de,de,81
ne,ne,60
pas,pas,60
manger,manger,14
que,que,83
je,je,51
n',ne,60
aie,avoir,17
rencontré,rencontrer,12
l',le,71
homme,homme,21
que,que,52
je,je,51
cherche,chercher,17
/.,/.,P
-,-,p
ma,mon,73
soeur,soeur,22
",",",",p
dit,dire,19
le,le,71
cardinal,cardinal,21
étonné,étonné,31
et,et,82
radouci,radouci,31
en,en,81
s',se,51
approchant,approcher,13
pour,pour,81
l',le,52
observer,observer,14
",",",",p
dieu,dieu,21
n',ne,60
exige,exiger,17
pas,pas,60
de,de,81
telles,tel,75
rigueurs,rigueur,22
dans,dans,81
un,un,71
corps,corps,21
faible,faible,30
",",",",p
et,et,82
surtout,surtout,60
à,à,81
votre,votre,73
âge,âge,21
",",",",p
car,car,82
vous,vous,51
me,je,51
semblez,sembler,17
fort,fort,60
jeune,jeune,30
/.,/.,P
-,-,p
jeune,jeune,30
?,?,p
oh,oh,93
!,!,p
oui,oui,60
",",",",p
j',je,51
étais,être,18
bien,bien,60
jeune,jeune,30
il,il,51
y,y,52
a,avoir,17
peu,peu,60
de,de,81
jours,jour,21
encore,encore,60
;,;,p
mais,mais,82
depuis,depuis,81
j',je,51
ai,avoir,17
passé,passer,12
deux,deux,72
existences,existence,22
au,à,81
au,le,71
moins,moins,60
",",",",p
j',je,51
ai,avoir,17
tant,tant,60
pensé,penser,12
et,et,82
tant,tant,60
souffert,souffrir,12
:,:,p
regardez,regarder,17
mon,mon,73
visage,visage,21
/.,/.,P
et,et,82
elle,il,51
découvrit,découvrir,19
une,un,71
figure,figure,22
parfaitement,parfaitement,60
belle,beau,30
;,;,p
des,de,81
des,le,71
yeux,oeil,21
noirs,noir,30
très,très,60
réguliers,régulier,30
y,y,52
donnaient,donner,18
la,le,71
vie,vie,22
;,;,p
mais,mais,82
sans,sans,81
eux,ils,51
on,on,51
aurait,avoir,16
cru,croire,12
que,que,83
ces,ce,74
traits,trait,21
étaient,être,18
ceux,celui,52
d',de,81
un,un,71
fantôme,fantôme,21
",",",",p
tant,tant,60
elle,il,51
était,être,18
pâle,pâle,30
;,;,p
ses,son,73
lèvres,lèvre,22
étaient,être,18
violettes,violet,30
et,et,82
tremblaient,trembler,18
",",",",p
un,un,71
grand,grand,30
frisson,frisson,21
faisait,faire,18
entendre,entendre,14
le,le,71
choc,choc,21
de,de,81
ses,son,73
dents,dent,22
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
malade,malade,30
",",",",p
ma,mon,73
soeur,soeur,22
",",",",p
dit,dire,19
le,le,71
ministre,ministre,21
ému,ému,31
en,en,81
lui,lui,51
prenant,prendre,13
la,le,71
main,main,22
",",",",p
qu',que,52
il,il,51
sentit,sentir,19
brûlante,brûlant,30
/.,/.,P
une,un,71
sorte,sorte,22
d',de,81
habitude,habitude,22
d',de,81
interroger,interroger,14
sa,son,73
santé,santé,22
et,et,82
celle,celui,52
des,de,81
des,le,71
autres,autre,52
lui,lui,51
fit,faire,19
toucher,toucher,14
le,le,71
pouls,pouls,21
sur,sur,81
son,son,73
bras,bras,21
amaigri,amaigri,31
:,:,p
il,il,51
sentit,sentir,19
les,le,71
artères,artère,22
soulevées,soulevé,31
par,par,81
les,le,71
battements,battement,21
d',de,81
une,un,71
fièvre,fièvre,22
effrayante,effrayant,30
/.,/.,P
-,-,p
mais,mais,82
",",",",p
continua,continuer,19
t,t,94
il,il,51
avec,avec,81
plus,plus,60
d',de,81
intérêt,intérêt,21
",",",",p
vous,vous,51
vous,vous,51
êtes,être,17
tuée,tuer,12
avec,avec,81
des,de,81
des,le,71
rigueurs,rigueur,22
plus,plus,60
grandes,grand,30
que,que,83
les,le,71
forces,force,22
humaines,humain,30
;,;,p
je,je,51
les,le,52
ai,avoir,17
toujours,toujours,60
blâmées,blâmer,12
",",",",p
et,et,82
surtout,surtout,60
dans,dans,81
un,un,71
âge,âge,21
tendre,tendre,30
/.,/.,P
qui,qui,52
a,avoir,17
donc,donc,82
pu,pouvoir,12
vous,vous,51
y,y,52
porter,porter,14
?,?,p
est,être,17
ce,ce,52
pour,pour,81
me,je,51
le,le,52
confier,confier,14
que,que,83
vous,vous,51
êtes,être,17
venue,venir,12
/!,/!,P
parlez,parler,17
avec,avec,81
calme,calme,21
et,et,82
soyez,être,17
sûre,sûr,30
d',de,81
être,être,14
secourue,secourir,12
/.,/.,P
-,-,p
se,se,51
confier,confier,14
aux,à,81
aux,le,71
hommes,homme,21
!,!,p
reprit,reprendre,19
la,le,71
jeune,jeune,30
femme,femme,22
",",",",p
oh,oh,93
!,!,p
non,non,60
",",",",p
jamais,jamais,60
/!,/!,P
ils,ils,51
m',je,51
ont,avoir,17
tous,tout,52
trompée,tromper,12
;,;,p
je,je,51
ne,ne,60
me,je,51
confierais,confier,16
à,à,81
personne,personne,52
",",",",p
pas,pas,60
même,même,60
à,à,81
monsieur,monsieur,21
de,de,81
Cinq-Mars,Cinq-Mars,20
",",",",p
qui,qui,52
cependant,cependant,82
doit,devoir,17
bientôt,bientôt,60
mourir,mourir,14
/.,/.,P
-,-,p
comment,comment,60
!,!,p
dit,dire,19
Richelieu,Richelieu,20
en,en,81
fronçant,froncer,13
le,le,71
sourcil,sourcil,21
",",",",p
mais,mais,82
avec,avec,81
un,un,71
rire,rire,21
amer,amer,30
;,;,p
comment,comment,60
!,!,p
vous,vous,51
connaissez,connaître,17
ce,ce,74
jeune,jeune,30
homme,homme,21
?,?,p
est,être,17
ce,ce,52
lui,lui,51
qui,qui,52
a,avoir,17
fait,faire,12
vos,votre,73
malheurs,malheur,21
/?,/?,P
oh,oh,93
!,!,p
non,non,60
",",",",p
il,il,51
est,être,17
bien,bien,60
bon,bon,30
",",",",p
et,et,82
il,il,51
déteste,détester,17
les,le,71
méchants,méchant,21
",",",",p
c',ce,52
est,être,17
ce,ce,52
qui,qui,52
le,le,52
perdra,perdre,15
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
dit,dire,19
elle,il,51
en,en,81
prenant,prendre,13
tout,tout,60
à,à,81
coup,coup,21
un,un,71
air,air,21
dur,dur,30
et,et,82
sauvage,sauvage,30
",",",",p
les,le,71
hommes,homme,21
sont,être,17
faibles,faible,30
",",",",p
et,et,82
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
choses,chose,22
que,que,52
les,le,71
femmes,femme,22
doivent,devoir,17
accomplir,accomplir,14
/.,/.,P
quand,quand,83
il,il,51
ne,ne,60
s',se,51
est,être,17
plus,plus,60
trouvé,trouver,12
de,de,81
vaillants,vaillant,30
dans,dans,81
Israël,Israël,20
",",",",p
Déborah,Déborah,20
s',se,51
est,être,17
levée,lever,12
/.,/.,P
-,-,p
eh,eh,93
!,!,p
comment,comment,60
savez,savoir,17
vous,vous,51
toutes,tout,75
ces,ce,74
belles,beau,30
choses,chose,22
?,?,p
continua,continuer,19
le,le,71
cardinal,cardinal,21
en,en,81
lui,lui,51
tenant,tenir,13
toujours,toujours,60
la,le,71
main,main,22
/.,/.,P
-,-,p
oh,oh,93
!,!,p
cela,cela,52
",",",",p
je,je,51
ne,ne,60
puis,pouvoir,17
vous,vous,51
l',le,52
expliquer,expliquer,14
",",",",p
reprit,reprendre,19
avec,avec,81
un,un,71
air,air,21
de,de,81
naïveté,naïveté,22
touchante,touchant,30
et,et,82
une,un,71
voix,voix,22
très,très,60
douce,doux,30
la,le,71
jeune,jeune,30
religieuse,religieuse,22
",",",",p
vous,vous,51
ne,ne,60
me,je,51
comprendriez,comprendre,16
pas,pas,60
;,;,p
c',ce,52
est,être,17
le,le,71
démon,démon,21
qui,qui,52
m',je,51
a,avoir,17
tout,tout,52
appris,apprendre,12
et,et,82
qui,qui,52
m',je,51
a,avoir,17
perdue,perdre,12
/.,/.,P
-,-,p
eh,eh,93
!,!,p
mon,mon,73
enfant,enfant,21
",",",",p
c',ce,52
est,être,17
toujours,toujours,60
lui,lui,51
qui,qui,52
nous,nous,51
perd,perdre,17
;,;,p
mais,mais,82
il,il,51
nous,nous,51
instruit,instruire,17
mal,mal,60
",",",",p
dit,dire,19
Richelieu,Richelieu,20
avec,avec,81
l',le,71
air,air,21
d',de,81
une,un,71
protection,protection,22
paternelle,paternel,30
et,et,82
d',de,81
une,un,71
pitié,pitié,22
croissante,croissant,30
/.,/.,P
quelles,quel,52
ont,avoir,17
été,être,12
vos,votre,73
fautes,faute,22
?,?,p
dites,dire,17
les,le,52
moi,moi,51
;,;,p
je,je,51
peux,pouvoir,17
beaucoup,beaucoup,60
/.,/.,P
-,-,p
ah,ah,93
!,!,p
dit,dire,19
elle,il,51
d',de,81
un,un,71
air,air,21
de,de,81
doute,doute,21
",",",",p
vous,vous,51
pouvez,pouvoir,17
beaucoup,beaucoup,60
sur,sur,81
des,de,81
des,le,71
guerriers,guerrier,21
",",",",p
sur,sur,81
des,de,81
des,le,71
hommes,homme,21
braves,brave,30
et,et,82
généreux,généreux,30
;,;,p
sous,sous,81
votre,votre,73
cuirasse,cuirasse,22
doit,devoir,17
battre,battre,14
un,un,71
noble,noble,30
coeur,coeur,21
;,;,p
vous,vous,51
êtes,être,17
un,un,71
vieux,vieux,30
général,général,21
",",",",p
qui,qui,52
ne,ne,60
savez,savoir,17
rien,rien,52
des,de,81
des,le,71
ruses,ruse,22
du,de,81
du,le,71
crime,crime,21
/.,/.,P
Richelieu,Richelieu,20
sourit,sourire,17
",",",",p
cette,ce,74
méprise,méprise,22
le,le,52
flattait,flatter,18
/.,/.,P
-,-,p
je,je,51
vous,vous,51
ai,avoir,17
entendu,entendre,12
demander,demander,14
le,le,71
cardinal,cardinal,21
;,;,p
que,que,52
lui,lui,51
voulez,vouloir,17
vous,vous,51
enfin,enfin,60
/?,/?,P
que,que,52
êtes,être,17
vous,vous,51
venue,venir,12
chercher,chercher,14
/?,/?,P
la,le,71
religieuse,religieuse,22
se,se,51
recueillit,recueillir,19
et,et,82
mit,mettre,19
un,un,71
doigt,doigt,21
sur,sur,81
son,son,73
front,front,21
/.,/.,P
-,-,p
je,je,51
ne,ne,60
m',je,51
en,en,52
souviens,souvenir,17
plus,plus,60
",",",",p
dit,dire,19
elle,il,51
",",",",p
vous,vous,51
m',je,51
avez,avoir,17
trop,trop,60
parlé,parler,12
/…,/…,P
j',je,51
ai,avoir,17
perdu,perdre,12
cette,ce,74
idée,idée,22
",",",",p
c',ce,52
était,être,18
pourtant,pourtant,60
une,un,71
grande,grand,30
idée,idée,22
/…,/…,P
c',ce,52
est,être,17
pour,pour,81
elle,il,51
que,que,83
je,je,51
suis,être,17
condamnée,condamner,12
à,à,81
la,le,71
faim,faim,22
qui,qui,52
me,je,51
tue,tuer,17
;,;,p
il,il,51
faut,falloir,17
que,que,83
je,je,51
l',le,52
accomplisse,accomplir,17
:,:,p
ou,ou,82
je,je,51
vais,aller,17
mourir,mourir,14
avant,avant,81
/.,/.,P
ah,ah,93
!,!,p
dit,dire,19
elle,il,51
en,en,81
portant,porter,13
la,le,71
main,main,22
sous,sous,81
sa,son,73
robe,robe,22
dans,dans,81
son,son,73
sein,sein,21
",",",",p
où,où,60
elle,il,51
parut,paraître,19
prendre,prendre,14
quelque,quelque,75
chose,chose,22
",",",",p
la,le,52
voilà,voilà,81
",",",",p
cette,ce,74
idée,idée,22
/…,/…,P
elle,il,51
rougit,rougir,17
tout,tout,60
à,à,81
coup,coup,21
",",",",p
et,et,82
ses,son,73
yeux,oeil,21
s',se,51
ouvrirent,ouvrir,19
extraordinairement,extraordinairement,60
;,;,p
elle,il,51
continua,continuer,19
en,en,81
se,se,51
penchant,pencher,13
à,à,81
l',le,71
oreille,oreille,22
du,de,81
du,le,71
cardinal,cardinal,21
:,:,p
-,-,p
je,je,51
vais,aller,17
vous,vous,51
le,le,52
dire,dire,14
",",",",p
écoutez,écouter,17
:,:,p
Urbain,Urbain,20
Grandier,Grandier,20
",",",",p
mon,mon,73
amant,amant,21
Urbain,Urbain,20
",",",",p
m',je,51
a,avoir,17
dit,dire,12
cette,ce,74
nuit,nuit,22
que,que,52
c',ce,52
était,être,18
Richelieu,Richelieu,20
qui,qui,52
l',le,52
avait,avoir,18
fait,faire,12
périr,périr,14
;,;,p
j',je,51
ai,avoir,17
pris,prendre,12
un,un,71
couteau,couteau,21
dans,dans,81
une,un,71
auberge,auberge,22
",",",",p
et,et,82
je,je,51
viens,venir,17
ici,ici,60
pour,pour,81
le,le,52
tuer,tuer,14
",",",",p
dites,dire,17
moi,moi,51
où,où,60
il,il,51
est,être,17
/.,/.,P
le,le,71
cardinal,cardinal,21
",",",",p
effrayé,effrayé,31
et,et,82
surpris,surpris,31
",",",",p
recula,reculer,19
d',de,81
horreur,horreur,22
/.,/.,P
il,il,51
n',ne,60
osait,oser,18
appeler,appeler,14
ses,son,73
gardes,garde,21
",",",",p
craignant,craindre,13
les,le,71
cris,cri,21
de,de,81
cette,ce,74
femme,femme,22
et,et,82
ses,son,73
accusations,accusation,22
;,;,p
et,et,82
cependant,cependant,82
un,un,71
emportement,emportement,21
de,de,81
cette,ce,74
folie,folie,22
pouvait,pouvoir,18
lui,lui,51
devenir,devenir,14
fatal,fatal,30
/.,/.,P
-,-,p
cette,ce,74
histoire,histoire,22
affreuse,affreux,30
me,je,51
poursuivra,poursuivre,15
donc,donc,82
partout,partout,60
!,!,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
en,en,81
la,le,52
regardant,regarder,13
fixement,fixement,60
",",",",p
cherchant,chercher,13
dans,dans,81
son,son,73
esprit,esprit,21
le,le,71
parti,parti,21
qu',que,52
il,il,51
devait,devoir,18
prendre,prendre,14
/.,/.,P
ils,ils,51
demeurèrent,demeurer,19
en,en,81
silence,silence,21
l',le,71
un,un,52
en,en,81
face,face,22
de,de,81
l',le,71
autre,autre,52
dans,dans,81
la,le,71
même,même,75
attitude,attitude,22
",",",",p
comme,comme,83
deux,deux,72
lutteurs,lutteur,21
qui,qui,52
se,se,51
contemplent,contempler,17
avant,avant,81
de,de,81
s',se,51
attaquer,attaquer,14
",",",",p
ou,ou,82
comme,comme,83
le,le,71
chien,chien,21
d',de,81
arrêt,arrêt,21
et,et,82
sa,son,73
victime,victime,22
pétrifiés,pétrifié,31
par,par,81
la,le,71
puissance,puissance,22
du,de,81
du,le,71
regard,regard,21
/.,/.,P
cependant,cependant,82
Laubardemont,Laubardemont,20
et,et,82
Joseph,Joseph,20
étaient,être,18
sortis,sortir,12
ensemble,ensemble,60
",",",",p
et,et,82
",",",",p
avant,avant,81
de,de,81
se,se,51
séparer,séparer,14
",",",",p
ils,ils,51
se,se,51
parlèrent,parler,19
un,un,71
moment,moment,21
devant,devant,81
la,le,71
tente,tente,22
du,de,81
du,le,71
cardinal,cardinal,21
",",",",p
parce qu',parce que,83
ils,ils,51
avaient,avoir,18
besoin,besoin,21
de,de,81
se,se,51
tromper,tromper,14
mutuellement,mutuellement,60
;,;,p
leur,leur,73
haine,haine,22
venait,venir,18
de,de,81
prendre,prendre,14
des,de,81
des,le,71
forces,force,22
dans,dans,81
leur,leur,73
querelle,querelle,22
;,;,p
et,et,82
chacun,chacun,52
avait,avoir,18
résolu,résoudre,12
de,de,81
perdre,perdre,14
son,son,73
rival,rival,21
près,près,81
du,de,81
du,le,71
maître,maître,21
/.,/.,P
le,le,71
juge,juge,21
commença,commencer,19
le,le,71
dialogue,dialogue,21
",",",",p
que,que,52
chacun,chacun,52
d',de,81
eux,ils,51
avait,avoir,18
préparé,préparer,12
en,en,81
se,se,51
prenant,prendre,13
le,le,71
bras,bras,21
",",",",p
comme,comme,83
d',de,81
un,un,71
seul,seul,30
et,et,82
même,même,75
mouvement,mouvement,21
:,:,p
-,-,p
ah,ah,93
!,!,p
révérend,révérend,21
père,père,21
",",",",p
que,que,52
vous,vous,51
m',je,51
avez,avoir,17
affligé,affliger,12
en,en,81
ayant,avoir,13
l',le,71
air,air,21
de,de,81
prendre,prendre,14
en,en,81
mauvaise,mauvais,30
part,part,22
quelques,quelque,75
légères,léger,30
plaisanteries,plaisanterie,22
que,que,52
je,je,51
vous,vous,51
ai,avoir,17
faites,faire,12
tout,tout,60
à,à,81
l',le,71
heure,heure,22
/!,/!,P
eh,eh,93
!,!,p
mon,mon,73
dieu,dieu,21
",",",",p
non,non,60
",",",",p
cher,cher,30
seigneur,seigneur,21
",",",",p
je,je,51
suis,être,17
bien,bien,60
loin,loin,60
de,de,81
là,là,60
/.,/.,P
la,le,71
charité,charité,22
",",",",p
où,où,60
serait,être,16
la,le,71
charité,charité,22
/?,/?,P
j',je,51
ai,avoir,17
quelque,quelque,75
fois,fois,22
une,un,71
sainte,saint,30
chaleur,chaleur,22
dans,dans,81
le,le,71
propos,propos,21
",",",",p
pour,pour,81
ce,ce,52
qui,qui,52
est,être,17
du,de,81
du,le,71
bien,bien,21
de,de,81
l',le,71
Etat,état,21
et,et,82
de,de,81
monseigneur,monseigneur,21
",",",",p
à,à,81
qui,qui,52
je,je,51
suis,être,17
tout,tout,60
dévoué,dévouer,12
/.,/.,P
-,-,p
ah,ah,93
!,!,p
qui,qui,52
le,le,52
sait,savoir,17
mieux,mieux,60
que,que,83
moi,moi,51
",",",",p
révérend,révérend,21
père,père,21
?,?,p
mais,mais,82
vous,vous,51
me,je,51
rendez,rendre,17
justice,justice,22
",",",",p
vous,vous,51
savez,savoir,17
aussi,aussi,60
combien,combien,60
je,je,51
le,le,52
suis,être,17
à,à,81
l',le,71
éminentissime,éminentissime,30
cardinal,cardinal,21
duc,duc,21
",",",",p
auquel,à,81
auquel,lequel,52
je,je,51
dois,devoir,17
tout,tout,52
/.,/.,P
hélas,hélas,60
!,!,p
je,je,51
n',ne,60
ai,avoir,17
mis,mettre,12
que,que,83
trop,trop,60
de,de,81
zèle,zèle,21
à,à,81
le,le,52
servir,servir,14
",",",",p
puisqu',puisque,83
il,il,51
me,je,51
le,le,52
reproche,reprocher,17
/.,/.,P
-,-,p
rassurez,rassurer,17
vous,vous,51
",",",",p
dit,dire,19
Joseph,Joseph,20
",",",",p
il,il,51
ne,ne,60
vous,vous,51
en,en,52
veut,vouloir,17
pas,pas,60
;,;,p
je,je,51
le,le,52
connais,connaître,17
bien,bien,60
",",",",p
il,il,51
conçoit,concevoir,17
qu',que,83
on,on,51
fasse,faire,17
quelque,quelque,75
chose,chose,22
pour,pour,81
sa,son,73
famille,famille,22
;,;,p
il,il,51
est,être,17
fort,fort,60
bon,bon,30
parent,parent,21
aussi,aussi,60
/.,/.,P
-,-,p
oui,oui,60
",",",",p
c',ce,52
est,être,17
cela,cela,52
",",",",p
reprit,reprendre,19
Laubardemont,Laubardemont,20
",",",",p
voilà,voilà,81
mon,mon,73
affaire,affaire,22
à,à,81
moi,moi,51
;,;,p
ma,mon,73
nièce,nièce,22
était,être,18
perdue,perdre,12
tout,tout,60
à,à,81
fait,fait,21
avec,avec,81
son,son,73
couvent,couvent,21
si,si,83
Urbain,Urbain,20
eût,avoir,19
triomphé,triompher,12
;,;,p
vous,vous,51
sentez,sentir,17
cela,cela,52
comme,comme,83
moi,moi,51
",",",",p
d'autant,d'autant,60
plus,plus,60
qu',que,83
elle,il,51
ne,ne,60
nous,nous,51
avait,avoir,18
pas,pas,60
bien,bien,60
compris,comprendre,12
",",",",p
et,et,82
qu',que,52
elle,il,51
a,avoir,17
fait,faire,12
l',le,71
enfant,enfant,21
quand,quand,83
il,il,51
a,avoir,17
fallu,falloir,12
paraître,paraître,14
/.,/.,P
-,-,p
est,être,17
il,il,51
possible,possible,30
?,?,p
en,en,81
pleine,plein,30
audience,audience,22
/!,/!,P
ce,ce,52
que,que,52
vous,vous,51
me,je,51
dites,dire,17
là,là,60
me,je,51
fâche,fâcher,17
véritablement,véritablement,60
pour,pour,81
vous,vous,51
/!,/!,P
que,que,52
cela,cela,52
dut,devoir,19
être,être,14
pénible,pénible,30
/!,/!,P
plus,plus,60
que,que,83
vous,vous,51
ne,ne,60
l',le,52
imaginez,imaginer,17
/!,/!,P
elle,il,51
oubliait,oublier,18
tout,tout,52
ce,ce,52
qu',que,52
on,on,51
lui,lui,51
disait,dire,18
dans,dans,81
la,le,71
possession,possession,22
",",",",p
faisait,faire,18
mille,mille,72
fautes,faute,22
de,de,81
latin,latin,21
que,que,52
nous,nous,51
avons,avoir,17
raccommodées,raccommoder,12
comme,comme,83
nous,nous,51
avons,avoir,17
pu,pouvoir,12
;,;,p
et,et,82
même,même,60
elle,il,51
a,avoir,17
été,être,12
cause,cause,22
d',de,81
une,un,71
scène,scène,22
désagréable,désagréable,30
le,le,71
jour,jour,21
du,de,81
du,le,71
procès,procès,21
;,;,p
fort,fort,60
désagréable,désagréable,30
pour,pour,81
moi,moi,51
et,et,82
pour,pour,81
les,le,71
luges,luge,22
:,:,p
un,un,71
évanouissement,évanouissement,21
",",",",p
des,de,81
des,le,71
cris,cri,21
/.,/.,P
ah,ah,93
!,!,p
je,je,51
vous,vous,51
jure,jurer,17
que,que,83
je,je,51
l',le,52
aurais,avoir,16
bien,bien,60
chapitrée,chapitrer,12
",",",",p
si,si,83
je,je,51
n',ne,60
eusse,avoir,18
été,être,12
forcé,forcer,12
de,de,81
quitter,quitter,14
précipitamment,précipitamment,60
cette,ce,74
petite,petit,30
ville,ville,22
de,de,81
Loudun,Loudun,20
/.,/.,P
mais,mais,82
",",",",p
voyez,voir,17
vous,vous,51
",",",",p
il,il,51
est,être,17
tout,tout,60
simple,simple,30
que,que,83
j',je,51
y,y,52
tienne,tenir,17
",",",",p
c',ce,52
est,être,17
ma,mon,73
plus,plus,60
proche,proche,30
parente,parente,22
;,;,p
car,car,82
mon,mon,73
fils,fils,21
a,avoir,17
mal,mal,60
tourné,tourner,12
",",",",p
on,on,51
ne,ne,60
sait,savoir,17
ce,ce,52
qu',que,52
il,il,51
est,être,17
devenu,devenir,12
depuis,depuis,81
quatre,quatre,72
ans,an,21
/.,/.,P
la,le,71
pauvre,pauvre,30
petite,petit,30
Jeanne,Jeanne,20
de,de,81
Belfiel,Belfiel,20
!,!,p
je,je,51
ne,ne,60
l',le,52
avais,avoir,18
faite,faire,12
religieuse,religieuse,22
",",",",p
et,et,82
puis,puis,60
abbesse,abbesse,22
",",",",p
que,que,83
pour,pour,81
conserver,conserver,14
tout,tout,52
à,à,81
ce,ce,74
mauvais,mauvais,30
sujet,sujet,21
là,là,60
/.,/.,P
si,si,83
j',je,51
avais,avoir,18
prévu,prévoir,12
sa,son,73
conduite,conduite,22
",",",",p
je,je,51
l',le,52
aurais,avoir,16
réservée,réserver,12
pour,pour,81
le,le,71
monde,monde,21
/.,/.,P
-,-,p
on,on,51
la,le,52
dit,dire,17
d',de,81
une,un,71
fort,fort,60
grande,grand,30
beauté,beauté,22
",",",",p
reprit,reprendre,19
Joseph,Joseph,20
;,;,p
c',ce,52
est,être,17
un,un,71
don,don,21
très,très,60
précieux,précieux,30
pour,pour,81
une,un,71
famille,famille,22
;,;,p
on,on,51
aurait,avoir,16
pu,pouvoir,12
la,le,52
présenter,présenter,14
à,à,81
la,le,71
cour,cour,22
",",",",p
et,et,82
le,le,71
roi,roi,21
/…,/…,P
ah,ah,93
!,!,p
ah,ah,93
!,!,p
/…,/…,P
mademoiselle,mademoiselle,22
de,de,81
La Fayette,La Fayette,20
/…,/…,P
eh,eh,93
!,!,p
…,…,p
eh,eh,93
!,!,p
/…,/…,P
mademoiselle,mademoiselle,22
d',de,81
Hautefort,Hautefort,20
…,…,p
vous,vous,51
entendez,entendre,17
…,…,p
il,il,51
serait,être,16
même,même,60
possible,possible,30
encore,encore,60
d',de,81
y,y,52
penser,penser,14
/.,/.,P
-,-,p
ah,ah,93
!,!,p
que,que,52
je,je,51
vous,vous,51
reconnais,reconnaître,17
bien,bien,60
là,là,60
…,…,p
monseigneur,monseigneur,21
",",",",p
car,car,82
nous,nous,51
savons,savoir,17
qu',que,83
on,on,51
vous,vous,51
a,avoir,17
nommé,nommer,12
au,à,81
au,le,71
cardinalat,cardinalat,21
;,;,p
que,que,52
vous,vous,51
êtes,être,17
bon,bon,30
de,de,81
vous,vous,51
souvenir,souvenir,14
du,de,81
du,le,71
plus,plus,60
dévoué,dévoué,31
de,de,81
vos,votre,73
amis,ami,21
/!,/!,P
Laubardemont,Laubardemont,20
parlait,parler,18
encore,encore,60
à,à,81
Joseph,Joseph,20
",",",",p
lorsqu',lorsque,83
ils,ils,51
se,se,51
trouvèrent,trouver,19
au,à,81
au,le,71
bout,bout,21
de,de,81
la,le,71
rue,rue,22
du,de,81
du,le,71
camp,camp,21
qui,qui,52
conduisait,conduire,18
au,à,81
au,le,71
quartier,quartier,21
des,de,81
des,le,71
volontaires,volontaire,21
/.,/.,P
-,-,p
que,que,52
dieu,dieu,21
vous,vous,51
protège,protéger,17
et,et,82
sa,son,73
sainte,saint,30
mère,mère,22
pendant,pendant,81
mon,mon,73
absence,absence,22
",",",",p
dit,dire,19
Joseph,Joseph,20
s',se,51
arrêtant,arrêter,13
;,;,p
je,je,51
vais,aller,17
partir,partir,14
demain,demain,60
pour,pour,81
Paris,Paris,20
;,;,p
et,et,82
",",",",p
comme,comme,83
j',je,51
aurai,avoir,15
affaire,affaire,22
plus,plus,60
d',de,81
une,un,71
fois,fois,22
à,à,81
ce,ce,74
petit,petit,30
Cinq-Mars,Cinq-Mars,20
",",",",p
je,je,51
vais,aller,17
le,le,52
voir,voir,14
d',de,81
avance,avance,22
et,et,82
savoir,savoir,14
des,de,81
des,le,71
nouvelles,nouvelle,22
de,de,81
sa,son,73
blessure,blessure,22
/.,/.,P
-,-,p
si,si,83
l',l',94
on,on,51
m',je,51
avait,avoir,18
écouté,écouter,12
",",",",p
dit,dire,19
Laubardemont,Laubardemont,20
",",",",p
à,à,81
l',le,71
heure,heure,22
qu',que,52
il,il,51
est,être,17
vous,vous,51
n',ne,60
auriez,avoir,16
pas,pas,60
cette,ce,74
peine,peine,22
/.,/.,P
-,-,p
hélas,hélas,60
!,!,p
vous,vous,51
avez,avoir,17
bien,bien,60
raison,raison,22
!,!,p
répondit,répondre,19
Joseph,Joseph,20
avec,avec,81
un,un,71
soupir,soupir,21
profond,profond,30
et,et,82
levant,lever,13
les,le,71
yeux,oeil,21
au,à,81
au,le,71
ciel,ciel,21
;,;,p
mais,mais,82
le,le,71
cardinal,cardinal,21
n',ne,60
est,être,17
plus,plus,60
le,le,71
même,même,75
homme,homme,21
;,;,p
il,il,51
n',ne,60
accueille,accueillir,17
pas,pas,60
les,le,71
bonnes,bon,30
idées,idée,22
",",",",p
il,il,51
nous,nous,51
perdra,perdre,15
s',si,83
il,il,51
se,se,51
conduit,conduire,17
ainsi,ainsi,60
