11643
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-troisième extrait>,<>,<>
nous,nous,51
donner,donner,14
",",",",p
par,par,81
leur,leur,73
foule,foule,22
",",",",p
les,le,71
moyens,moyen,21
de,de,81
nous,nous,51
évader,évader,14
sans,sans,81
être,être,14
reconnus,reconnaître,12
",",",",p
et,et,82
",",",",p
au,à,81
au,le,71
bout,bout,21
du,de,81
du,le,71
compte,compte,21
",",",",p
notre,notre,73
tâche,tâche,22
est,être,17
finie,finir,12
;,;,p
nous,nous,51
ne,ne,60
voulions,vouloir,17
pas,pas,60
la,le,71
mort,mort,22
du,de,81
du,le,71
pécheur,pécheur,21
:,:,p
Chavigny,Chavigny,20
et,et,82
les,le,71
siens,sien,52
sont,être,17
de,de,81
braves,brave,30
gens,gens,21
que,que,52
j',je,51
aime,aimer,17
beaucoup,beaucoup,60
;,;,p
s',si,83
il,il,51
n',ne,60
est,être,17
qu',que,83
un,un,71
peu,peu,60
blessé,blesser,12
",",",",p
tant,tant,60
mieux,mieux,60
/.,/.,P
adieu,adieu,21
",",",",p
je,je,51
vais,aller,17
voir,voir,14
monsieur,monsieur,21
de,de,81
Bouillon,Bouillon,20
",",",",p
qui,qui,52
arrive,arriver,17
d',de,81
Italie,Italie,20
/.,/.,P
-,-,p
Olivier,Olivier,20
",",",",p
dit,dire,19
Fontrailles,Fontrailles,20
",",",",p
partez,partir,17
donc,donc,82
pour,pour,81
Saint-Germain,Saint-Germain,20
avec,avec,81
Fournier,Fournier,20
et,et,82
Ambrosio,Ambrosio,20
;,;,p
je,je,51
vais,aller,17
rendre,rendre,14
compte,compte,21
à,à,81
monsieur,monsieur,21
",",",",p
avec,avec,81
mon,mon,73
trésor,trésor,21
/.,/.,P
tout,tout,52
se,se,51
sépara,séparer,19
",",",",p
et,et,82
le,le,71
dégoût,dégoût,21
fit,faire,19
sur,sur,81
ces,ce,74
gens,gens,21
bien,bien,60
élevés,élevé,31
ce,ce,52
que,que,52
la,le,71
force,force,22
n',ne,60
avait,avoir,18
pu,pouvoir,12
faire,faire,14
/.,/.,P
ainsi,ainsi,60
se,se,51
termina,terminer,19
cette,ce,74
échauffourée,échauffourée,22
",",",",p
qui,qui,52
semblait,sembler,18
pouvoir,pouvoir,14
enfanter,enfanter,14
de,de,81
grands,grand,30
malheurs,malheur,21
;,;,p
personne,personne,52
n',ne,60
y,y,52
fut,être,19
tué,tuer,12
;,;,p
les,le,71
cavaliers,cavalier,21
",",",",p
avec,avec,81
quelques,quelque,75
égratignures,égratignure,22
de,de,81
plus,plus,60
",",",",p
et,et,82
quelques-uns,quelqu'un,52
avec,avec,81
leurs,leur,73
bourses,bourse,22
de,de,81
moins,moins,60
",",",",p
à,à,81
leur,leur,73
grande,grand,30
surprise,surprise,22
",",",",p
reprirent,reprendre,19
leur,leur,73
route,route,22
près,près,81
des,de,81
des,le,71
carrosses,carrosse,21
par,par,81
des,de,81
des,le,71
rues,rue,22
détournées,détourné,31
;,;,p
les,le,71
autres,autre,52
s',se,51
évadèrent,évader,19
",",",",p
un,un,52
à,à,81
un,un,52
",",",",p
à,à,81
travers,travers,21
la,le,71
populace,populace,22
qu',que,52
ils,ils,51
avaient,avoir,18
soulevée,soulever,12
/.,/.,P
les,le,71
misérables,misérable,21
qui,qui,52
la,le,52
composaient,composer,18
",",",",p
dénués,dénué,30
de,de,81
chefs,chef,21
de,de,81
troupes,troupe,22
",",",",p
restèrent,rester,19
encore,encore,60
deux,deux,72
heures,heure,22
à,à,81
pousser,pousser,14
les,le,71
mêmes,même,75
cris,cri,21
",",",",p
jusqu',jusque,81
à,à,81
ce,ce,52
que,que,52
leur,leur,73
vin,vin,21
fût,être,19
cuvé,cuver,12
",",",",p
et,et,82
que,que,83
le,le,71
froid,froid,21
éteignît,éteindre,18
ensemble,ensemble,60
le,le,71
feu,feu,21
de,de,81
leur,leur,73
sang,sang,21
et,et,82
de,de,81
leur,leur,73
enthousiasme,enthousiasme,21
/.,/.,P
on,on,51
voyait,voir,18
aux,à,81
aux,le,71
fenêtres,fenêtre,22
des,de,81
des,le,71
maisons,maison,22
du,de,81
du,le,71
quai,quai,21
de,de,81
la,le,71
Cité,Cité,20
et,et,82
le,le,71
long,long,21
des,de,81
des,le,71
murs,mur,21
le,le,71
sage,sage,30
et,et,82
véritable,véritable,30
peuple,peuple,21
de,de,81
Paris,Paris,20
",",",",p
regardant,regarder,13
d',de,81
un,un,71
air,air,21
triste,triste,30
et,et,82
dans,dans,81
un,un,71
morne,morne,30
silence,silence,21
ces,ce,74
préludes,prélude,21
de,de,81
désordre,désordre,21
;,;,p
tandis que,tandis que,83
le,le,71
corps,corps,21
des,de,81
des,le,71
marchands,marchand,21
",",",",p
vêtu,vêtu,31
de,de,81
noir,noir,21
",",",",p
précédé,précédé,31
de,de,81
ses,son,73
échevins,échevin,21
et,et,82
de,de,81
ses,son,73
prévôts,prévôt,21
",",",",p
s',se,51
acheminait,acheminer,18
lentement,lentement,60
et,et,82
courageusement,courageusement,60
",",",",p
à,à,81
travers,travers,21
la,le,71
populace,populace,22
",",",",p
vers,vers,81
le,le,71
palais,palais,21
de,de,81
justice,justice,22
où,où,60
devait,devoir,18
s',se,51
assembler,assembler,14
le,le,71
parlement,parlement,21
",",",",p
et,et,82
allait,aller,18
lui,lui,51
porter,porter,14
plainte,plainte,22
de,de,81
ces,ce,74
effrayantes,effrayant,30
scènes,scène,22
nocturnes,nocturne,30
/.,/.,P
cependant,cependant,82
les,le,71
appartements,appartement,21
de,de,81
Gaston,Gaston,20
d',de,81
Orléans,Orléans,20
étaient,être,18
dans,dans,81
une,un,71
grande,grand,30
rumeur,rumeur,22
/.,/.,P
ce,ce,74
prince,prince,21
occupait,occuper,18
alors,alors,60
l',le,71
aile,aile,22
du,de,81
du,le,71
Louvre,Louvre,20
parallèle,parallèle,30
aux,à,81
aux,le,71
Tuileries,Tuileries,20
",",",",p
et,et,82
ses,son,73
fenêtres,fenêtre,22
donnaient,donner,18
d',de,81
un,un,71
côté,côté,21
sur,sur,81
la,le,71
cour,cour,22
",",",",p
et,et,82
de,de,81
l',le,71
autre,autre,52
sur,sur,81
un,un,71
amas,amas,21
de,de,81
petites,petit,30
maisons,maison,22
et,et,82
de,de,81
rues,rue,22
étroites,étroit,30
qui,qui,52
couvraient,couvrir,18
la,le,71
place,place,22
',',p
presque,presque,60
en,en,81
entier,entier,30
/.,/.,P
il,il,51
s',se,51
était,être,18
levé,lever,12
précipitamment,précipitamment,60
",",",",p
réveillé,réveiller,12
en,en,81
sursaut,sursaut,21
par,par,81
le,le,71
bruit,bruit,21
des,de,81
des,le,71
armes,arme,22
à,à,81
feu,feu,21
",",",",p
avait,avoir,18
jeté,jeter,12
ses,son,73
pieds,pied,21
dans,dans,81
de,de,81
larges,large,30
mules,mule,22
carrées,carré,31
",",",",p
à,à,81
hauts,haut,30
talons,talon,21
",",",",p
et,et,82
",",",",p
enveloppé,enveloppé,31
dans,dans,81
une,un,71
vaste,vaste,30
robe,robe,22
de,de,81
chambre,chambre,22
de,de,81
soie,soie,22
couverte,couvert,31
de,de,81
dessins,dessin,21
d',de,81
or,or,21
brodés,brodé,31
en,en,81
relief,relief,21
",",",",p
se,se,51
promenait,promener,18
en,en,81
long,long,21
et,et,82
en,en,81
large,large,21
dans,dans,81
sa,son,73
chambre,chambre,22
à,à,81
coucher,coucher,14
",",",",p
envoyant,envoyer,13
",",",",p
de,de,81
minute,minute,22
en,en,81
minute,minute,22
",",",",p
un,un,71
laquais,laquais,21
nouveau,nouveau,30
pour,pour,81
demander,demander,14
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
",",",",p
et,et,82
décriant,décrier,13
qu',que,83
on,on,51
courût,courir,18
chercher,chercher,14
l',le,71
abbé,abbé,21
de,de,81
la,le,71
Rivière,Rivière,20
",",",",p
son,son,73
conseil,conseil,21
accoutumé,accoutumé,31
;,;,p
mais,mais,82
",",",",p
par,par,81
malheur,malheur,21
",",",",p
il,il,51
était,être,18
sorti,sortir,12
de,de,81
Paris,Paris,20
/.,/.,P
à,à,81
chaque,chaque,75
coup,coup,21
de,de,81
pistolet,pistolet,21
ce,ce,74
prince,prince,21
timide,timide,30
courait,courir,18
aux,à,81
aux,le,71
fenêtres,fenêtre,22
",",",",p
sans,sans,81
rien,rien,52
voir,voir,14
autre,autre,75
chose,chose,22
que,que,83
quelques,quelque,75
flambeaux,flambeau,21
que,que,52
l',l',94
on,on,51
portait,porter,18
en,en,81
courant,courir,13
;,;,p
on,on,51
avait,avoir,18
beau,beau,60
lui,lui,51
dire,dire,14
que,que,83
les,le,71
cris,cri,21
qu',que,52
il,il,51
entendait,entendre,18
étaient,être,18
en,en,81
sa,son,73
faveur,faveur,22
",",",",p
il,il,51
ne,ne,60
cessait,cesser,18
de,de,81
se,se,51
promener,promener,14
par,par,81
les,le,71
appartements,appartement,21
",",",",p
dans,dans,81
le,le,71
plus,plus,60
grand,grand,30
désordre,désordre,21
",",",",p
ses,son,73
longs,long,30
chevaux,cheval,21
noirs,noir,30
et,et,82
ses,son,73
yeux,oeil,21
bleus,bleu,30
ouverts,ouvert,31
et,et,82
agrandis,agrandi,31
par,par,81
l',le,71
inquiétude,inquiétude,22
et,et,82
l',le,71
effroi,effroi,21
;,;,p
il,il,51
était,être,18
moitié,moitié,22
nu,nu,30
lorsque,lorsque,83
Montrésor,Montrésor,20
et,et,82
Fontrailles,Fontrailles,20
arrivèrent,arriver,19
enfin,enfin,60
",",",",p
et,et,82
le,le,52
trouvèrent,trouver,19
se,se,51
frappant,frapper,13
la,le,71
poitrine,poitrine,22
et,et,82
répétant,répéter,13
mille,mille,72
fois,fois,22
:,:,p
mea culpa,mea-culpa,21
",",",",p
mea culpa,mea-culpa,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
arrivez,arriver,17
donc,donc,82
!,!,p
leur,leur,52
cria,crier,19
t,t,94
il,il,51
de,de,81
loin,loin,60
",",",",p
courant,courir,13
au-devant,au-devant,60
d',de,81
eux,ils,51
;,;,p
arrivez,arriver,17
donc,donc,82
enfin,enfin,60
!,!,p
que,que,52
se,se,51
passe,passer,17
t,t,94
il,il,51
?,?,p
que,que,52
fait,faire,17
on,on,51
là,là,60
?,?,p
quels,quel,52
sont,être,17
ces,ce,74
assassins,assassin,21
?,?,p
quels,quel,52
sont,être,17
ces,ce,74
cris,cri,21
/?,/?,P
on,on,51
crie,crier,17
:,:,p
vive,vivre,17
monsieur,monsieur,21
/!,/!,P
Gaston,Gaston,20
",",",",p
sans,sans,81
faire,faire,14
semblant,semblant,21
d',de,81
entendre,entendre,14
",",",",p
et,et,82
tenant,tenir,13
un,un,71
instant,instant,21
la,le,71
porte,porte,22
de,de,81
sa,son,73
chambre,chambre,22
ouverte,ouvert,31
pour,pour,81
que,que,83
sa,son,73
voix,voix,22
pénétrât,pénétrer,18
jusque,jusque,81
dans,dans,81
les,le,71
galeries,galerie,22
où,où,60
étaient,être,18
les,le,71
gens,gens,21
de,de,81
sa,son,73
maison,maison,22
",",",",p
continua,continuer,19
en,en,81
criant,crier,13
de,de,81
toute,tout,75
sa,son,73
force,force,22
et,et,82
en,en,81
gesticulant,gesticuler,13
:,:,p
-,-,p
je,je,51
ne,ne,60
sais,savoir,17
rien,rien,52
de,de,81
tout,tout,75
ceci,ceci,52
et,et,82
n',ne,60
ai,avoir,17
rien,rien,52
autorisé,autoriser,12
;,;,p
je,je,51
ne,ne,60
veux,vouloir,17
rien,rien,52
entendre,entendre,14
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
rien,rien,52
savoir,savoir,14
;,;,p
je,je,51
n',ne,60
entrerai,entrer,15
jamais,jamais,60
dans,dans,81
aucun,aucun,75
projet,projet,21
;,;,p
ce,ce,52
sont,être,17
des,de,81
des,le,71
factieux,factieux,21
qui,qui,52
font,faire,17
tout,tout,75
ce,ce,74
bruit,bruit,21
:,:,p
ne,ne,60
m',je,51
en,en,52
parlez,parler,17
pas,pas,60
si,si,83
vous,vous,51
voulez,vouloir,17
être,être,14
bien,bien,60
vus,voir,12
ici,ici,60
;,;,p
je,je,51
ne,ne,60
suis,être,17
l',le,71
ennemi,ennemi,21
de,de,81
personne,personne,52
",",",",p
je,je,51
déteste,détester,17
de,de,81
telles,tel,75
scènes,scène,22
/…,/…,P
Fontrailles,Fontrailles,20
",",",",p
qui,qui,52
savait,savoir,18
à,à,81
quel,quel,75
homme,homme,21
il,il,51
avait,avoir,18
affaire,affaire,22
",",",",p
ne,ne,60
répondit,répondre,19
rien,rien,52
",",",",p
et,et,82
entra,entrer,19
avec,avec,81
son,son,73
ami,ami,21
",",",",p
mais,mais,82
sans,sans,81
se,se,51
presser,presser,14
",",",",p
afin,afin,81
que,que,83
monsieur,monsieur,21
eût,avoir,19
le,le,71
temps,temps,21
de,de,81
jeter,jeter,14
son,son,73
premier,premier,72
feu,feu,21
;,;,p
et,et,82
",",",",p
quand,quand,83
tout,tout,52
fut,être,19
dit,dire,12
et,et,82
la,le,71
porte,porte,22
fermée,fermé,31
avec,avec,81
soin,soin,21
",",",",p
il,il,51
prit,prendre,19
la,le,71
parole,parole,22
:,:,p
-,-,p
monseigneur,monseigneur,21
",",",",p
dit,dire,19
il,il,51
",",",",p
nous,nous,51
venons,venir,17
vous,vous,51
demander,demander,14
mille,mille,72
pardons,pardon,21
de,de,81
l',le,71
impertinence,impertinence,22
de,de,81
ce,ce,74
peuple,peuple,21
",",",",p
qui,qui,52
ne,ne,60
cesse,cesser,17
de,de,81
crier,crier,14
qu',que,83
il,il,51
veut,vouloir,17
la,le,71
mort,mort,22
de,de,81
votre,votre,73
ennemi,ennemi,21
",",",",p
et,et,82
qu',que,52
il,il,51
voudrait,vouloir,16
même,même,60
vous,vous,51
voir,voir,14
régent,régent,21
si,si,83
nous,nous,51
avions,avoir,18
le,le,71
malheur,malheur,21
de,de,81
perdre,perdre,14
sa,son,73
majesté,majesté,22
;,;,p
oui,oui,60
",",",",p
le,le,71
peuple,peuple,21
est,être,17
toujours,toujours,60
libre,libre,30
dans,dans,81
ses,son,73
propos,propos,21
;,;,p
mais,mais,82
il,il,51
était,être,18
si,si,60
nombreux,nombreux,30
",",",",p
que,que,83
tous,tout,75
nos,notre,73
efforts,effort,21
n',ne,60
ont,avoir,17
pu,pouvoir,12
le,le,52
contenir,contenir,14
:,:,p
c',ce,52
était,être,18
le,le,71
cri,cri,21
du,de,81
du,le,71
coeur,coeur,21
dans,dans,81
toute,tout,75
sa,son,73
vérité,vérité,22
;,;,p
c',ce,52
était,être,18
une,un,71
explosion,explosion,22
d',de,81
amour,amour,21
que,que,52
la,le,71
froide,froid,30
raison,raison,22
n',ne,60
a,avoir,17
pu,pouvoir,12
réprimer,réprimer,14
",",",",p
et,et,82
qui,qui,52
sortait,sortir,18
de,de,81
toutes,tout,75
les,le,71
règles,règle,22
/.,/.,P
-,-,p
mais,mais,82
enfin,enfin,60
que,que,52
s',se,51
est,être,17
il,il,51
passé,passer,12
?,?,p
reprit,reprendre,19
Gaston,Gaston,20
un,un,71
peu,peu,60
calmé,calmé,31
:,:,p
qu',que,52
ont,avoir,17
ils,ils,51
fait,faire,12
depuis,depuis,81
quatre,quatre,72
heures,heure,22
que,que,83
je,je,51
les,le,52
entends,entendre,17
/?,/?,P
cet,ce,74
amour,amour,21
",",",",p
continua,continuer,19
froidement,froidement,60
Montrésor,Montrésor,20
",",",",p
comme,comme,83
monsieur,monsieur,21
de,de,81
Fontrailles,Fontrailles,20
a,avoir,17
l',le,71
honneur,honneur,21
de,de,81
vous,vous,51
le,le,52
dire,dire,14
",",",",p
sortait,sortir,18
tellement,tellement,60
des,de,81
des,le,71
règles,règle,22
et,et,82
des,de,81
des,le,71
bornes,borne,22
",",",",p
qu',que,83
il,il,51
nous,nous,51
a,avoir,17
entraînés,entraîner,12
nous-mêmes,nous-même,51
",",",",p
et,et,82
nous,nous,51
nous,nous,51
sommes,être,17
sentis,sentir,12
saisis,saisi,31
de,de,81
cet,ce,74
enthousiasme,enthousiasme,21
qui,qui,52
nous,nous,51
transporte,transporter,17
toujours,toujours,60
au,à,81
au,le,71
nom,nom,21
seul,seul,30
de,de,81
monsieur,monsieur,21
",",",",p
et,et,82
qui,qui,52
nous,nous,51
a,avoir,17
portés,porter,12
à,à,81
des,de,81
des,le,71
choses,chose,22
que,que,52
nous,nous,51
n',ne,60
avions,avoir,18
pas,pas,60
préméditées,préméditer,12
/.,/.,P
-,-,p
mais,mais,82
enfin,enfin,60
",",",",p
qu',que,52
avez,avoir,17
vous,vous,51
fait,faire,12
?,?,p
reprit,reprendre,19
le,le,71
prince,prince,21
/…,/…,P
-,-,p
ces,ce,74
choses,chose,22
",",",",p
reprit,reprendre,19
Fontrailles,Fontrailles,20
",",",",p
dont,dont,52
monsieur,monsieur,21
de,de,81
Montrésor,Montrésor,20
a,avoir,17
l',le,71
honneur,honneur,21
de,de,81
parler,parler,14
à,à,81
monsieur,monsieur,21
",",",",p
sont,être,17
précisément,précisément,60
de,de,81
celles,celui,52
que,que,52
je,je,51
prévoyais,prévoir,18
ici,ici,60
même,même,60
hier,hier,60
au,à,81
au,le,71
soir,soir,21
",",",",p
quand,quand,83
j',je,51
eus,avoir,19
l',le,71
honneur,honneur,21
de,de,81
l',le,52
entretenir,entretenir,14
/.,/.,P
-,-,p
il,il,51
ne,ne,60
s',se,51
agit,agir,17
pas,pas,60
de,de,81
cela,cela,52
",",",",p
interrompit,interrompre,19
Gaston,Gaston,20
;,;,p
vous,vous,51
ne,ne,60
pourrez,pouvoir,15
pas,pas,60
dire,dire,14
que,que,83
j',je,51
aie,avoir,17
rien,rien,52
ordonné,ordonner,12
ni,ni,82
autorisé,autoriser,12
;,;,p
je,je,51
ne,ne,60
me,je,51
mêle,mêler,17
de,de,81
rien,rien,52
",",",",p
je,je,51
n',ne,60
entends,entendre,17
rien,rien,52
au,à,81
au,le,71
gouvernement,gouvernement,21
/…,/…,P
-,-,p
je,je,51
conviens,convenir,17
",",",",p
poursuivit,poursuivre,19
Fontrailles,Fontrailles,20
",",",",p
que,que,83
votre,votre,73
altesse,altesse,22
n',ne,60
a,avoir,17
rien,rien,52
ordonné,ordonner,12
;,;,p
mais,mais,82
elle,il,51
m',je,51
a,avoir,17
permis,permettre,12
de,de,81
lui,lui,51
dire,dire,14
que,que,83
je,je,51
prévoyais,prévoir,18
que,que,83
cette,ce,74
nuit,nuit,22
serait,être,16
troublée,troubler,12
vers,vers,81
les,le,71
deux,deux,72
heures,heure,22
",",",",p
et,et,82
j',je,51
espérais,espérer,18
que,que,83
son,son,73
étonnement,étonnement,21
serait,être,16
moins,moins,60
grand,grand,30
/.,/.,P
le,le,71
prince,prince,21
",",",",p
se,se,51
remettant,remettre,13
peu,peu,60
à,à,81
peu,peu,60
",",",",p
et,et,82
voyant,voir,13
qu',que,83
il,il,51
n',ne,60
effrayait,effrayer,18
pas,pas,60
les,le,71
deux,deux,72
champions,champion,21
;,;,p
ayant,avoir,13
d',de,81
ailleurs,ailleurs,60
dans,dans,81
sa,son,73
conscience,conscience,22
et,et,82
lisant,lire,13
dans,dans,81
leurs,leur,73
yeux,oeil,21
le,le,71
souvenir,souvenir,21
du,de,81
du,le,71
consentement,consentement,21
qu',que,52
il,il,51
leur,leur,52
avait,avoir,18
donné,donner,12
la,le,71
veille,veille,22
",",",",p
s',se,51
assit,asseoir,19
sur,sur,81
le,le,71
bord,bord,21
de,de,81
son,son,73
lit,lit,21
",",",",p
croisa,croiser,19
les,le,71
bras,bras,21
",",",",p
et,et,82
",",",",p
les,le,52
regardant,regarder,13
d',de,81
un,un,71
air,air,21
de,de,81
juge,juge,21
",",",",p
leur,leur,52
dit,dire,19
encore,encore,60
avec,avec,81
une,un,71
voix,voix,22
imposante,imposant,30
:,:,p
-,-,p
mais,mais,82
enfin,enfin,60
",",",",p
qu',que,52
avez,avoir,17
vous,vous,51
donc,donc,82
fait,faire,12
/?,/?,P
eh,eh,93
!,!,p
presque,presque,60
rien,rien,52
",",",",p
monseigneur,monseigneur,21
",",",",p
dit,dire,19
Fontrailles,Fontrailles,20
;,;,p
le,le,71
hasard,hasard,21
nous,nous,51
a,avoir,17
fait,faire,12
rencontrer,rencontrer,14
dans,dans,81
la,le,71
foule,foule,22
quelques-uns,quelqu'un,52
de,de,81
nos,notre,73
amis,ami,21
qui,qui,52
avaient,avoir,18
eu,avoir,12
querelle,querelle,22
avec,avec,81
le,le,71
cocher,cocher,21
de,de,81
monsieur,monsieur,21
de,de,81
Chavigny,Chavigny,20
qui,qui,52
les,le,52
écrasait,écraser,18
",",",",p
il,il,51
s',se,51
en,en,52
est,être,17
suivi,suivre,12
quelques,quelque,75
propos,propos,21
un,un,71
peu,peu,60
vifs,vif,30
",",",",p
quelques,quelque,75
petits,petit,30
gestes,geste,21
un,un,71
peu,peu,60
brusques,brusque,30
",",",",p
quelques,quelque,75
égratignures,égratignure,22
qui,qui,52
ont,avoir,17
fait,faire,12
rebrousser,rebrousser,14
chemin,chemin,21
au,à,81
au,le,71
carrosse,carrosse,21
",",",",p
et,et,82
voilà,voilà,81
tout,tout,52
/.,/.,P
-,-,p
absolument,absolument,60
tout,tout,52
",",",",p
répéta,répéter,19
Montrésor,Montrésor,20
/.,/.,P
-,-,p
comment,comment,60
",",",",p
tout,tout,52
!,!,p
s',se,51
écria,écrier,19
Gaston,Gaston,20
très,très,60
ému,ému,31
et,et,82
sautant,sauter,13
dans,dans,81
la,le,71
chambre,chambre,22
;,;,p
et,et,82
n',ne,60
est,être,17
ce,ce,52
donc,donc,82
rien,rien,52
que,que,83
d',de,81
arrêter,arrêter,14
la,le,71
voiture,voiture,22
d',de,81
un,un,71
ami,ami,21
du,de,81
du,le,71
cardinal,cardinal,21
duc,duc,21
/?,/?,P
je,je,51
n',ne,60
aime,aimer,17
point,point,60
les,le,71
scènes,scène,22
",",",",p
je,je,51
vous,vous,51
l',le,52
ai,avoir,17
déjà,déjà,60
dit,dire,12
;,;,p
je,je,51
ne,ne,60
hais,haïr,17
point,point,60
le,le,71
cardinal,cardinal,21
;,;,p
c',ce,52
est,être,17
un,un,71
grand,grand,30
politique,politique,21
certainement,certainement,60
",",",",p
un,un,71
très,très,60
grand,grand,30
politique,politique,21
;,;,p
vous,vous,51
me,je,51
compromettez,compromettre,17
horriblement,horriblement,60
;,;,p
on,on,51
sait,savoir,17
que,que,83
Montrésor,Montrésor,20
est,être,17
à,à,81
moi,moi,51
;,;,p
si,si,83
on,on,51
l',le,52
a,avoir,17
reconnu,reconnaître,12
",",",",p
on,on,51
dira,dire,15
que,que,83
je,je,51
l',le,52
ai,avoir,17
envoyé,envoyer,12
/…,/…,P
-,-,p
le,le,71
hasard,hasard,21
",",",",p
répondit,répondre,19
Montrésor,Montrésor,20
",",",",p
m',je,51
a,avoir,17
fait,faire,12
trouver,trouver,14
cet,ce,74
habit,habit,21
du,de,81
du,le,71
peuple,peuple,21
que,que,52
monsieur,monsieur,21
peut,pouvoir,17
voir,voir,14
sous,sous,81
mon,mon,73
manteau,manteau,21
",",",",p
et,et,82
que,que,52
j',je,51
ai,avoir,17
préféré,préférer,12
à,à,81
tout,tout,75
autre,autre,52
par,par,81
ce,ce,74
motif,motif,21
/.,/.,P
Gaston,Gaston,20
respira,respirer,19
/.,/.,P
-,-,p
vous,vous,51
êtes,être,17
bien,bien,60
sûr,sûr,30
qu',que,83
on,on,51
ne,ne,60
vous,vous,51
a,avoir,17
pas,pas,60
reconnu,reconnaître,12
?,?,p
dit,dire,19
il,il,51
;,;,p
c',ce,52
est,être,17
que,que,83
vous,vous,51
sentez,sentir,17
",",",",p
mon,mon,73
cher,cher,30
ami,ami,21
",",",",p
combien,combien,60
ce,ce,52
serait,être,16
pénible,pénible,30
…,…,p
convenez,convenir,17
en,en,52
vous-même,vous-même,51
/…,/…,P
-,-,p
si,si,83
j',je,51
en,en,52
suis,être,17
sûr,sûr,30
",",",",p
ô,oh,93
ciel,ciel,21
!,!,p
s',se,51
écria,écrier,19
le,le,71
gentilhomme,gentilhomme,21
du,de,81
du,le,71
prince,prince,21
:,:,p
je,je,51
gagerais,gager,16
ma,mon,73
tête,tête,22
et,et,82
ma,mon,73
part,part,22
du,de,81
du,le,71
Paradis,Paradis,20
que,que,83
personne,personne,52
n',ne,60
a,avoir,17
vu,voir,12
mes,mon,73
traits,trait,21
et,et,82
ne,ne,60
m',je,51
a,avoir,17
appelé,appeler,12
par,par,81
mon,mon,73
nom,nom,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
continua,continuer,19
Gaston,Gaston,20
",",",",p
se,se,51
rasseyant,rasseoir,13
sur,sur,81
son,son,73
lit,lit,21
et,et,82
prenant,prendre,13
un,un,71
air,air,21
plus,plus,60
calme,calme,30
",",",",p
et,et,82
même,même,60
où,où,60
brillait,briller,18
une,un,71
légère,léger,30
satisfaction,satisfaction,22
",",",",p
contez,conter,17
moi,moi,51
donc,donc,82
un,un,71
peu,peu,60
ce,ce,52
qui,qui,52
s',se,51
est,être,17
passé,passer,12
/.,/.,P
Fontrailles,Fontrailles,20
se,se,51
chargea,charger,19
du,de,81
du,le,71
récit,récit,21
",",",",p
où,où,60
",",",",p
comme,comme,83
l',l',94
on,on,51
pense,penser,17
",",",",p
le,le,71
peuple,peuple,21
jouait,jouer,18
un,un,71
grand,grand,30
rôle,rôle,21
",",",",p
et,et,82
les,le,71
gens,gens,21
de,de,81
monsieur,monsieur,21
aucun,aucun,52
;,;,p
et,et,82
",",",",p
dans,dans,81
sa,son,73
péroraison,péroraison,22
",",",",p
il,il,51
ajouta,ajouter,19
",",",",p
entrant,entrer,13
dans,dans,81
les,le,71
détails,détail,21
:,:,p
-,-,p
on,on,51
a,avoir,17
pu,pouvoir,12
voir,voir,14
",",",",p
de,de,81
vos,votre,73
fenêtres,fenêtre,22
mêmes,même,30
",",",",p
monseigneur,monseigneur,21
",",",",p
de,de,81
respectables,respectable,30
mères,mère,22
de,de,81
famille,famille,22
",",",",p
poussées,poussé,31
par,par,81
le,le,71
désespoir,désespoir,21
",",",",p
jeter,jeter,14
leurs,leur,73
enfants,enfant,21
dans,dans,81
la,le,71
Seine,Seine,20
en,en,81
maudissant,maudire,13
Richelieu,Richelieu,20
/.,/.,P
-,-,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
épouvantable,épouvantable,30
!,!,p
s',se,51
écria,écrier,19
le,le,71
prince,prince,21
indigné,indigné,31
ou,ou,82
feignant,feindre,13
de,de,81
l',le,52
être,être,14
et,et,82
de,de,81
croire,croire,14
à,à,81
ces,ce,74
excès,excès,21
/.,/.,P
il,il,51
est,être,17
dore,dorer,17
bien,bien,60
vrai,vrai,30
qu',que,83
il,il,51
est,être,17
détesté,détester,12
si,si,60
généralement,généralement,60
?,?,p
mais,mais,82
il,il,51
fait,faire,17
convenir,convenir,14
qu',que,83
il,il,51
le,le,52
mérite,mériter,17
/!,/!,P
quoi,quoi,52
!,!,p
son,son,73
ambition,ambition,22
et,et,82
son,son,73
avarice,avarice,22
ont,avoir,17
réduit,réduire,12
là,là,60
ces,ce,74
bons,bon,30
habitants,habitant,21
de,de,81
Paris,Paris,20
que,que,52
j',je,51
aime,aimer,17
tant,tant,60
/!,/!,P
oui,oui,60
",",",",p
monseigneur,monseigneur,21
",",",",p
reprit,reprendre,19
l',le,71
orateur,orateur,21
;,;,p
et,et,82
ici,ici,60
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
Paris,Paris,20
seulement,seulement,60
",",",",p
c',ce,52
est,être,17
la,le,71
France,France,20
entière,entier,30
qui,qui,52
vous,vous,51
supplie,supplier,17
avec,avec,81
nous,nous,51
de,de,81
