11443
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-cinquième extrait>,<>,<>
-,-,p
cet,ce,74
instant,instant,21
de,de,81
terreur,terreur,22
et,et,82
de,de,81
courage,courage,21
eût,avoir,19
pu,pouvoir,12
être,être,14
le,le,71
plus,plus,60
beau,beau,30
de,de,81
ma,mon,73
vie,vie,22
",",",",p
dit,dire,19
elle,il,51
;,;,p
mais,mais,82
vous,vous,51
me,je,51
l',le,52
avez,avoir,17
gâté,gâter,12
/.,/.,P
un,un,71
bruit,bruit,21
de,de,81
roues,roue,22
se,se,51
fit,faire,19
entendre,entendre,14
dans,dans,81
la,le,71
cour,cour,22
de,de,81
la,le,71
ferme,ferme,22
",",",",p
et,et,82
la,le,71
cloche,cloche,22
du,de,81
du,le,71
château,château,21
fut,être,19
ébranlée,ébranler,12
par,par,81
une,un,71
main,main,22
rude,rude,30
et,et,82
impatiente,impatient,30
/.,/.,P
-,-,p
je,je,51
connais,connaître,17
cette,ce,74
manière,manière,22
de,de,81
sonner,sonner,14
",",",",p
dit,dire,19
Indiana,Indiana,20
attentive,attentif,30
et,et,82
froide,froid,30
",",",",p
Ralph,Ralph,20
n',ne,60
a,avoir,17
pas,pas,60
menti,mentir,12
",",",",p
mais,mais,82
vous,vous,51
avez,avoir,17
le,le,71
temps,temps,21
de,de,81
fuir,fuir,14
;,;,p
partez,partir,17
!,!,p
/…,/…,P
-,-,p
non,non,60
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
",",",",p
s',se,51
écria,écrier,19
Raymon,Raymon,20
;,;,p
je,je,51
soupçonne,soupçonner,17
quelque,quelque,75
odieuse,odieux,30
trahison,trahison,22
",",",",p
et,et,82
vous,vous,51
n',ne,60
en,en,52
serez,être,15
pas,pas,60
seule,seul,30
victime,victime,22
/.,/.,P
je,je,51
reste,rester,17
",",",",p
et,et,82
ma,mon,73
poitrine,poitrine,22
vous,vous,51
protégera,protéger,15
/…,/…,P
-,-,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
trahison,trahison,22
…,…,p
vous,vous,51
voyez,voir,17
bien,bien,60
que,que,83
les,le,71
domestiques,domestique,21
s',se,51
éveillent,éveiller,17
et,et,82
que,que,83
la,le,71
grille,grille,22
va,aller,17
être,être,14
ouverte,ouvrir,12
/…,/…,P
fuyez,fuir,17
:,:,p
les,le,71
arbres,arbre,21
du,de,81
du,le,71
parterre,parterre,21
vous,vous,51
cacheront,cacher,15
;,;,p
et,et,82
puis,puis,60
la,le,71
lune,lune,22
ne,ne,60
paraît,paraître,17
pas,pas,60
encore,encore,60
/.,/.,P
pas,pas,60
un,un,71
mot,mot,21
de,de,81
plus,plus,60
",",",",p
partez,partir,17
/!,/!,P
Raymon,Raymon,20
fut,être,19
forcé,forcer,12
d',de,81
obéir,obéir,14
;,;,p
mais,mais,82
elle,il,51
l',le,52
accompagna,accompagner,19
jusqu',jusque,81
au,à,81
au,le,71
bas,bas,21
de,de,81
l',le,71
escalier,escalier,21
et,et,82
jeta,jeter,19
un,un,71
regard,regard,21
scrutateur,scrutateur,21
sur,sur,81
les,le,71
massifs,massif,21
du,de,81
du,le,71
parterre,parterre,21
/.,/.,P
tout,tout,52
était,être,18
silencieux,silencieux,30
et,et,82
calme,calme,30
/.,/.,P
elle,il,51
resta,rester,19
longtemps,longtemps,60
sur,sur,81
la,le,71
dernière,dernier,30
marche,marche,22
",",",",p
écoutant,écouter,13
avec,avec,81
terreur,terreur,22
le,le,71
bruit,bruit,21
de,de,81
ses,son,73
pas,pas,21
sur,sur,81
le,le,71
gravier,gravier,21
et,et,82
ne,ne,60
songeant,songer,13
plus,plus,60
à,à,81
son,son,73
mari,mari,21
qui,qui,52
approchait,approcher,18
/.,/.,P
que,que,52
lui,lui,51
importaient,importer,18
ses,son,73
soupçons,soupçon,21
et,et,82
sa,son,73
colère,colère,22
",",",",p
pourvu,pourvu,81
que,que,83
Raymon,Raymon,20
fût,être,19
hors,hors,81
de,de,81
danger,danger,21
/!,/!,P
pour,pour,81
lui,lui,51
",",",",p
il,il,51
franchissait,franchir,18
",",",",p
rapide,rapide,30
et,et,82
léger,léger,30
",",",",p
la,le,71
rivière,rivière,22
et,et,82
le,le,71
parc,parc,21
/.,/.,P
il,il,51
atteignit,atteindre,19
la,le,71
petite,petit,30
porte,porte,22
",",",",p
et,et,82
",",",",p
dans,dans,81
son,son,73
trouble,trouble,21
",",",",p
il,il,51
eut,avoir,19
quelque,quelque,75
peine,peine,22
à,à,81
l',le,52
ouvrir,ouvrir,14
/.,/.,P
à,à,81
peine,peine,22
fut,être,19
il,il,51
dehors,dehors,60
",",",",p
que,que,83
sir,sir,92
Ralph,Ralph,20
se,se,51
présenta,présenter,19
devant,devant,81
lui,lui,51
et,et,82
lui,lui,51
dit,dire,19
",",",",p
avec,avec,81
le,le,71
même,même,75
sang-froid,sang-froid,21
que,que,83
s',si,83
il,il,51
l',le,52
eût,avoir,19
abordé,aborder,12
dans,dans,81
un,un,71
rout,rout,21
:,:,p
-,-,p
faites,faire,17
moi,moi,51
le,le,71
plaisir,plaisir,21
de,de,81
me,je,51
confier,confier,14
cette,ce,74
clef,clé,22
/.,/.,P
si,si,83
on,on,51
la,le,52
cherche,chercher,17
",",",",p
il,il,51
y,y,52
aura,avoir,15
peu,peu,60
d',de,81
inconvénients,inconvénient,21
à,à,81
ce,ce,52
qu',que,52
on,on,51
la,le,52
trouve,trouver,17
dans,dans,81
mes,mon,73
mains,main,22
/.,/.,P
Raymon,Raymon,20
eût,avoir,19
préféré,préférer,12
la,le,71
plus,plus,60
mortelle,mortel,30
injure,injure,22
à,à,81
cette,ce,74
ironique,ironique,30
générosité,générosité,22
/.,/.,P
-,-,p
je,je,51
ne,ne,60
serais,être,16
pas,pas,60
homme,homme,21
à,à,81
oublier,oublier,14
un,un,71
service,service,21
sincère,sincère,30
",",",",p
lui,lui,51
dit,dire,19
il,il,51
;,;,p
mais,mais,82
je,je,51
suis,être,17
homme,homme,21
à,à,81
venger,venger,14
un,un,71
affront,affront,21
et,et,82
à,à,81
punir,punir,14
une,un,71
perfidie,perfidie,22
/.,/.,P
sir,sir,92
Ralph,Ralph,20
ne,ne,60
changea,changer,19
ni,ni,82
de,de,81
ton,ton,21
ni,ni,82
de,de,81
visage,visage,21
/.,/.,P
-,-,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
de,de,81
votre,votre,73
reconnaissance,reconnaissance,22
",",",",p
répondit,répondre,19
il,il,51
",",",",p
et,et,82
j',je,51
attends,attendre,17
votre,votre,73
vengeance,vengeance,22
tranquillement,tranquillement,60
",",",",p
mais,mais,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
le,le,71
moment,moment,21
de,de,81
causer,causer,14
ensemble,ensemble,60
/.,/.,P
voici,voici,81
votre,votre,73
chemin,chemin,21
",",",",p
songez,songer,17
à,à,81
l',le,71
honneur,honneur,21
de,de,81
madame,madame,22
Delmare,Delmare,20
/.,/.,P
et,et,82
il,il,51
disparut,disparaître,19
/.,/.,P
cette,ce,74
nuit,nuit,22
d',de,81
agitation,agitation,22
avait,avoir,18
tellement,tellement,60
bouleversé,bouleverser,12
la,le,71
tête,tête,22
de,de,81
Raymon,Raymon,20
",",",",p
qu',que,83
il,il,51
aurait,avoir,16
cru,croire,12
volontiers,volontiers,60
à,à,81
la,le,71
magie,magie,22
dans,dans,81
cet,ce,74
instant,instant,21
/.,/.,P
il,il,51
arriva,arriver,19
au,à,81
au,le,71
point,point,21
du,de,81
du,le,71
jour,jour,21
à,à,81
Cercy,Cercy,20
",",",",p
et,et,82
il,il,51
se,se,51
mit,mettre,19
au,à,81
au,le,71
lit,lit,21
avec,avec,81
la,le,71
fièvre,fièvre,22
/.,/.,P
pour,pour,81
madame,madame,22
Delmare,Delmare,20
",",",",p
elle,il,51
fit,faire,19
les,le,71
honneurs,honneur,21
du,de,81
du,le,71
déjeuner,déjeuner,21
à,à,81
son,son,73
mari,mari,21
et,et,82
à,à,81
son,son,73
cousin,cousin,21
avec,avec,81
beaucoup,beaucoup,60
de,de,81
calme,calme,21
et,et,82
de,de,81
dignité,dignité,22
/.,/.,P
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
encore,encore,60
réfléchi,réfléchir,12
à,à,81
sa,son,73
situation,situation,22
;,;,p
elle,il,51
était,être,18
tout,tout,60
entière,entier,30
sous,sous,81
l',le,71
influence,influence,22
de,de,81
l',le,71
instinct,instinct,21
",",",",p
qui,qui,52
lui,lui,51
imposait,imposer,18
le,le,71
sang-froid,sang-froid,21
et,et,82
la,le,71
présence,présence,22
d',de,81
esprit,esprit,21
/.,/.,P
le,le,71
colonel,colonel,21
était,être,18
sombre,sombre,30
et,et,82
soucieux,soucieux,30
;,;,p
ses,son,73
affaires,affaire,22
cependant,cependant,82
l',le,52
absorbaient,absorber,18
seules,seul,30
",",",",p
et,et,82
nul,nul,75
soupçon,soupçon,21
jaloux,jaloux,30
ne,ne,60
trouvait,trouver,18
place,place,22
dans,dans,81
ses,son,73
pensées,pensée,22
/.,/.,P
Raymon,Raymon,20
trouva,trouver,19
vers,vers,81
le,le,71
soir,soir,21
la,le,71
force,force,22
de,de,81
s',se,51
occuper,occuper,14
de,de,81
son,son,73
amour,amour,21
;,;,p
mais,mais,82
cet,ce,74
amour,amour,21
avait,avoir,18
bien,bien,60
diminué,diminuer,12
/.,/.,P
il,il,51
aimait,aimer,18
les,le,71
obstacles,obstacle,21
",",",",p
mais,mais,82
il,il,51
reculait,reculer,18
devant,devant,81
les,le,71
ennuis,ennui,21
",",",",p
et,et,82
il,il,51
en,en,52
prévoyait,prévoir,18
d',de,81
innombrables,innombrable,30
",",",",p
maintenant,maintenant,60
qu',que,83
Indiana,Indiana,20
avait,avoir,18
le,le,71
droit,droit,21
des,de,81
des,le,71
reproches,reproche,21
/.,/.,P
enfin,enfin,60
il,il,51
se,se,51
rappela,rappeler,19
qu',que,83
il,il,51
était,être,18
de,de,81
son,son,73
honneur,honneur,21
de,de,81
s',se,51
informer,informer,14
d',de,81
elle,il,51
;,;,p
et,et,82
il,il,51
envoya,envoyer,19
son,son,73
domestique,domestique,21
rôder,rôder,14
autour,autour,60
du,de,81
du,le,71
Lagny,Lagny,20
pour,pour,81
savoir,savoir,14
ce,ce,52
qui,qui,52
s',se,51
y,y,52
passait,passer,18
/.,/.,P
ce,ce,74
messager,messager,21
lui,lui,51
apporta,apporter,19
la,le,71
lettre,lettre,22
suivante,suivant,30
",",",",p
que,que,52
madame,madame,22
Delmare,Delmare,20
lui,lui,51
avait,avoir,18
remise,remettre,12
:,:,p
“,“,p
j',je,51
ai,avoir,17
espéré,espérer,12
cette,ce,74
nuit,nuit,22
que,que,83
je,je,51
perdrais,perdre,16
la,le,71
raison,raison,22
ou,ou,82
la,le,71
vie,vie,22
/.,/.,P
pour,pour,81
mon,mon,73
malheur,malheur,21
",",",",p
j',je,51
ai,avoir,17
conservé,conserver,12
l',le,71
une,un,52
et,et,82
l',le,71
autre,autre,52
;,;,p
mais,mais,82
je,je,51
ne,ne,60
me,je,51
plaindrai,plaindre,15
pas,pas,60
",",",",p
j',je,51
ai,avoir,17
mérité,mériter,12
les,le,71
douleurs,douleur,22
que,que,52
j',je,51
éprouve,éprouver,17
;,;,p
j',je,51
ai,avoir,17
voulu,vouloir,12
vivre,vivre,14
de,de,81
cette,ce,74
vie,vie,22
orageuse,orageux,30
;,;,p
il,il,51
y,y,52
aurait,avoir,16
lâcheté,lâcheté,22
à,à,81
reculer,reculer,14
aujourd'hui,aujourd'hui,60
/.,/.,P
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
si,si,83
vous,vous,51
êtes,être,17
coupable,coupable,30
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
le,le,52
savoir,savoir,14
;,;,p
nous,nous,51
ne,ne,60
reviendrons,revenir,15
jamais,jamais,60
sur,sur,81
ce,ce,74
sujet,sujet,21
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
il,il,51
nous,nous,51
fait,faire,17
trop,trop,60
de,de,81
mal,mal,21
à,à,81
tous,tout,75
deux,deux,72
;,;,p
qu',que,52
il,il,51
en,en,52
soit,être,17
donc,donc,82
question,question,22
maintenant,maintenant,60
pour,pour,81
la,le,71
dernière,dernier,30
fois,fois,22
/.,/.,P
vous,vous,51
m',je,51
avez,avoir,17
dit,dire,12
un,un,71
mot,mot,21
dont,dont,52
j',je,51
ai,avoir,17
ressenti,ressentir,12
une,un,71
joie,joie,22
cruelle,cruel,30
/.,/.,P
pauvre,pauvre,30
Noun,Noun,20
!,!,p
du,de,81
du,le,71
haut,haut,21
des,de,81
des,le,71
cieux,ciel,21
pardonne,pardonner,17
moi,moi,51
;,;,p
tu,tu,51
ne,ne,60
souffres,souffrir,17
plus,plus,60
",",",",p
tu,tu,51
n',ne,60
aimes,aimer,17
plus,plus,60
",",",",p
tu,tu,51
me,je,51
plains,plaindre,17
peut-être,peut-être,60
!,!,p
/…,/…,P
vous,vous,51
m',je,51
avez,avoir,17
dit,dire,12
",",",",p
Raymon,Raymon,20
",",",",p
que,que,83
vous,vous,51
m',je,51
aviez,avoir,18
sacrifié,sacrifier,12
cette,ce,74
infortunée,infortuné,30
",",",",p
que,que,83
vous,vous,51
m',je,51
aimiez,aimer,18
plus,plus,60
qu',que,83
elle,il,51
/…,/…,P
oh,oh,93
!,!,p
ne,ne,60
vous,vous,51
rétractez,rétracter,17
pas,pas,60
;,;,p
vous,vous,51
l',le,52
avez,avoir,17
dit,dire,12
;,;,p
j',je,51
ai,avoir,17
tant,tant,60
besoin,besoin,21
de,de,81
le,le,52
croire,croire,14
",",",",p
que,que,83
je,je,51
le,le,52
crois,croire,17
/.,/.,P
et,et,82
pourtant,pourtant,60
votre,votre,73
conduite,conduite,22
cette,ce,74
nuit,nuit,22
",",",",p
vos,votre,73
instances,instance,22
",",",",p
vos,votre,73
égarements,égarement,21
",",",",p
eussent,avoir,18
dû,devoir,12
m',je,51
en,en,52
faire,faire,14
douter,douter,14
/.,/.,P
j',je,51
ai,avoir,17
pardonné,pardonner,12
au,à,81
au,le,71
moment,moment,21
de,de,81
trouble,trouble,21
dont,dont,52
vous,vous,51
subissiez,subir,18
l',le,71
influence,influence,22
;,;,p
maintenant,maintenant,60
",",",",p
vous,vous,51
avez,avoir,17
pu,pouvoir,12
réfléchir,réfléchir,14
",",",",p
revenir,revenir,14
à,à,81
vous-même,vous-même,51
;,;,p
dites,dire,17
",",",",p
voulez,vouloir,17
vous,vous,51
renoncer,renoncer,14
à,à,81
m',je,51
aimer,aimer,14
de,de,81
la,le,71
sorte,sorte,22
/?,/?,P
moi,moi,51
qui,qui,52
vous,vous,51
aime,aimer,17
avec,avec,81
le,le,71
coeur,coeur,21
",",",",p
j',je,51
ai,avoir,17
cru,croire,12
jusqu'ici,jusqu'ici,81
que,que,83
je,je,51
pourrais,pouvoir,16
vous,vous,51
inspirer,inspirer,14
un,un,71
amour,amour,21
aussi,aussi,60
pur,pur,30
que,que,83
le,le,71
mien,mien,52
/.,/.,P
et,et,82
puis,puis,60
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
trop,trop,60
réfléchi,réfléchir,12
à,à,81
l',le,71
avenir,avenir,21
;,;,p
mes,mon,73
regards,regard,21
ne,ne,60
s',se,51
étaient,être,18
pas,pas,60
portés,porter,12
bien,bien,60
loin,loin,60
",",",",p
et,et,82
je,je,51
ne,ne,60
m',je,51
épouvantais,épouvanter,18
pas,pas,60
de,de,81
l',le,71
idée,idée,22
qu',que,83
un,un,71
jour,jour,21
",",",",p
vaincue,vaincu,31
par,par,81
votre,votre,73
dévouement,dévouement,21
",",",",p
je,je,51
pourrais,pouvoir,16
vous,vous,51
sacrifier,sacrifier,14
mes,mon,73
scrupules,scrupule,21
et,et,82
mes,mon,73
répugnances,répugnance,22
/.,/.,P
mais,mais,82
",",",",p
aujourd'hui,aujourd'hui,60
",",",",p
il,il,51
n',ne,60
en,en,52
peut,pouvoir,17
être,être,14
ainsi,ainsi,60
;,;,p
je,je,51
ne,ne,60
puis,pouvoir,17
plus,plus,60
voir,voir,14
dans,dans,81
cet,ce,74
avenir,avenir,21
qu',que,83
une,un,71
effrayante,effrayant,30
parité,parité,22
avec,avec,81
Noun,Noun,20
/!,/!,P
oh,oh,93
!,!,p
n',ne,60
être,être,14
pas,pas,60
plus,plus,60
aimée,aimer,12
qu',que,83
elle,il,51
ne,ne,60
l',le,52
a,avoir,17
été,être,12
/!,/!,P
si,si,83
je,je,51
le,le,52
croyais,croire,18
!,!,p
/…,/…,P
et,et,82
pourtant,pourtant,60
elle,il,51
était,être,18
plus,plus,60
belle,beau,30
que,que,83
moi,moi,51
",",",",p
bien,bien,60
plus,plus,60
belle,beau,30
/!,/!,P
pourquoi,pourquoi,60
m',je,51
avez,avoir,17
vous,vous,51
préférée,préférer,12
/?,/?,P
il,il,51
faut,falloir,17
bien,bien,60
que,que,83
vous,vous,51
m',je,51
aimiez,aimer,17
autrement,autrement,60
et,et,82
mieux,mieux,60
/…,/…,P
voilà,voilà,81
ce,ce,52
que,que,52
je,je,51
voulais,vouloir,18
vous,vous,51
dire,dire,14
/.,/.,P
voulez,vouloir,17
vous,vous,51
renoncer,renoncer,14
à,à,81
être,être,14
mon,mon,73
amant,amant,21
comme,comme,83
vous,vous,51
avez,avoir,17
été,être,12
le,le,71
sien,sien,52
/?,/?,P
en,en,81
ce,ce,74
cas,cas,21
",",",",p
je,je,51
puis,pouvoir,17
vous,vous,51
estimer,estimer,14
encore,encore,60
",",",",p
croire,croire,14
à,à,81
vos,votre,73
remords,remords,21
",",",",p
à,à,81
votre,votre,73
sincérité,sincérité,22
",",",",p
à,à,81
votre,votre,73
amour,amour,21
;,;,p
sinon,sinon,83
",",",",p
ne,ne,60
pensez,penser,17
plus,plus,60
à,à,81
moi,moi,51
",",",",p
vous,vous,51
ne,ne,60
me,je,51
reverrez,revoir,15
jamais,jamais,60
/.,/.,P
j',je,51
en,en,52
mourrai,mourir,15
peut-être,peut-être,60
",",",",p
mais,mais,82
j',je,51
aime,aimer,17
mieux,mieux,60
mourir,mourir,14
que,que,83
de,de,81
descendre,descendre,14
à,à,81
n',ne,60
être,être,14
plus,plus,60
que,que,83
votre,votre,73
maîtresse,maîtresse,22
/.,/.,P
“,“,p
Raymon,Raymon,20
se,se,51
sentit,sentir,19
embarrassé,embarrassé,31
pour,pour,81
",",",",p
répondre,répondre,14
/.,/.,P
cette,ce,74
fierté,fierté,22
l',le,52
offensait,offenser,18
;,;,p
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
cru,croire,12
jusqu',jusque,81
alors,alors,60
qu',que,83
une,un,71
femme,femme,22
qui,qui,52
s',se,51
était,être,18
jetée,jeter,12
dans,dans,81
ses,son,73
bras,bras,21
pût,pouvoir,18
lui,lui,51
résister,résister,14
ouvertement,ouvertement,60
et,et,82
raisonner,raisonner,14
sa,son,73
résistance,résistance,22
/.,/.,P
-,-,p
elle,il,51
ne,ne,60
m',je,51
aime,aimer,17
pas,pas,60
",",",",p
se,se,51
dit,dire,19
il,il,51
",",",",p
son,son,73
coeur,coeur,21
est,être,17
sec,sec,30
",",",",p
son,son,73
caractère,caractère,21
hautain,hautain,30
/.,/.,P
de,de,81
ce,ce,74
moment,moment,21
",",",",p
il,il,51
ne,ne,60
l',le,52
aima,aimer,19
plus,plus,60
/.,/.,P
elle,il,51
avait,avoir,18
froissé,froisser,12
son,son,73
amour-propre,amour-propre,21
;,;,p
elle,il,51
avait,avoir,18
déçu,décevoir,12
l',le,71
espoir,espoir,21
d',de,81
un,un,52
de,de,81
ses,son,73
triomphes,triomphe,21
",",",",p
déjoué,déjouer,12
l',le,71
attente,attente,22
d',de,81
un,un,52
de,de,81
ses,son,73
plaisirs,plaisir,21
/.,/.,P
pour,pour,81
lui,lui,51
",",",",p
elle,il,51
n',ne,60
était,être,18
même,même,60
plus,plus,60
ce,ce,52
qu',que,52
avait,avoir,18
été,être,12
Noun,Noun,20
/.,/.,P
pauvre,pauvre,30
Indiana,Indiana,20
!,!,p
elle,il,51
qui,qui,52
voulait,vouloir,18
être,être,14
davantage,davantage,60
!,!,p
son,son,73
amour,amour,21
passionné,passionné,31
fut,être,19
méconnu,méconnaître,12
",",",",p
sa,son,73
confiance,confiance,22
aveugle,aveugle,30
fut,être,19
méprisée,mépriser,12
/.,/.,P
Raymon,Raymon,20
ne,ne,60
l',le,52
avait,avoir,18
jamais,jamais,60
comprise,comprendre,12
:,:,p
comment,comment,60
eût,avoir,19
il,il,51
pu,pouvoir,12
l',le,52
aimer,aimer,14
longtemps,longtemps,60
/?,/?,P
alors,alors,60
il,il,51
jura,jurer,19
",",",",p
dans,dans,81
son,son,73
dépit,dépit,21
",",",",p
qu',que,83
il,il,51
triompherait,triompher,16
d',de,81
elle,il,51
;,;,p
il,il,51
ne,ne,60
le,le,52
jura,jurer,19
plus,plus,60
par,par,81
orgueil,orgueil,21
",",",",p
mais,mais,82
par,par,81
vengeance,vengeance,22
/.,/.,P
il,il,51
ne,ne,60
s',se,51
agissait,agir,18
plus,plus,60
pour,pour,81
lui,lui,51
de,de,81
conquérir,conquérir,14
un,un,71
bonheur,bonheur,21
",",",",p
mais,mais,82
de,de,81
punir,punir,14
un,un,71
affront,affront,21
;,;,p
de,de,81
posséder,posséder,14
une,un,71
femme,femme,22
",",",",p
mais,mais,82
de,de,81
la,le,52
réduire,réduire,14
/.,/.,P
il,il,51
jura,jurer,19
qu',que,83
il,il,51
serait,être,16
son,son,73
maître,maître,21
",",",",p
ne,ne,60
fût,être,19
ce,ce,52
qu',que,83
un,un,71
jour,jour,21
",",",",p
et,et,82
qu',que,83
ensuite,ensuite,60
il,il,51
l',le,52
abandonnerait,abandonner,16
pour,pour,81
avoir,avoir,14
le,le,71
plaisir,plaisir,21
de,de,81
la,le,52
voir,voir,14
à,à,81
ses,son,73
pieds,pied,21
/.,/.,P
dans,dans,81
le,le,71
premier,premier,72
mouvement,mouvement,21
",",",",p
il,il,51
écrivit,écrire,19
cette,ce,74
lettre,lettre,22
:,:,p
“,“,p
tu,tu,51
veux,vouloir,17
que,que,83
je,je,51
te,tu,51
promette,promettre,17
/…,/…,P
folle,fou,30
",",",",p
y,y,52
penses,penser,17
tu,tu,51
/.,/.,P
je,je,51
promets,promettre,17
tout,tout,52
ce,ce,52
que,que,52
tu,tu,51
voudras,vouloir,15
",",",",p
parce que,parce que,83
je,je,51
ne,ne,60
sais,savoir,17
que,que,83
t',tu,51
obéir,obéir,14
;,;,p
mais,mais,82
",",",",p
si,si,83
je,je,51
manque,manquer,17
à,à,81
mes,mon,73
serments,serment,21
",",",",p
je,je,51
ne,ne,60
serai,être,16
coupable,coupable,30
ni,ni,82
envers,envers,81
dieu,dieu,21
",",",",p
ni,ni,82
envers,envers,81
toi,toi,51
/.,/.,P
si,si,83
tu,tu,51
m',je,51
aimais,aimer,18
",",",",p
Indiana,Indiana,20
",",",",p
tu,tu,51
ne,ne,60
m',je,51
imposerais,imposer,16
pas,pas,60
ces,ce,74
cruels,cruel,30
tourments,tourment,21
",",",",p
tu,tu,51
ne,ne,60
m',je,51
exposerais,exposer,16
pas,pas,60
à,à,81
être,être,14
parjure,parjure,30
à,à,81
ma,mon,73
parole,parole,22
",",",",p
tu,tu,51
ne,ne,60
rougirais,rougir,16
pas,pas,60
d',de,81
être,être,14
ma,mon,73
maîtresse,maîtresse,22
/…,/…,P
mais,mais,82
vous,vous,51
croiriez,croire,16
vous,vous,51
avilir,avilir,14
dans,dans,81
mes,mon,73
bras,bras,21
/…,/…,P
“,“,p
Raymon,Raymon,20
sentit,sentir,19
que,que,83
l',le,71
aigreur,aigreur,22
perçait,percer,18
malgré,malgré,81
lui,lui,51
;,;,p
il,il,51
déchira,déchirer,19
ce,ce,74
fragment,fragment,21
",",",",p
et,et,82
",",",",p
après,après,81
s',se,51
être,être,14
donné,donner,12
le,le,71
temps,temps,21
de,de,81
la,le,71
réflexion,réflexion,22
",",",",p
il,il,51
recommença,recommencer,19
:,:,p
“,“,p
vous,vous,51
avouez,avouer,17
que,que,83
vous,vous,51
avez,avoir,17
failli,faillir,12
perdre,perdre,14
la,le,71
raison,raison,22
cette,ce,74
nuit,nuit,22
;,;,p
moi,moi,51
",",",",p
je,je,51
l',le,52
avais,avoir,18
entièrement,entièrement,60
perdue,perdre,12
/.,/.,P
j',je,51
ai,avoir,17
été,être,12
coupable,coupable,30
…,…,p
mais,mais,82
non,non,60
",",",",p
j',je,51
ai,avoir,17
été,être,12
fou,fou,30
/.,/.,P
oubliez,oublier,17
ces,ce,74
heures,heure,22
de,de,81
souffrance,souffrance,22
et,et,82
de,de,81
délire,délire,21
/.,/.,P
je,je,51
suis,être,17
calme,calme,30
à,à,81
présent,présent,21
;,;,p
j',je,51
ai,avoir,17
réfléchi,réfléchir,12
",",",",p
je,je,51
suis,être,17
encore,encore,60
digne,digne,30
de,de,81
vous,vous,51
/…,/…,P
béni,bénir,12
sois,être,17
tu,tu,51
",",",",p
ange,ange,21
du,de,81
du,le,71
ciel,ciel,21
",",",",p
pour,pour,81
m',je,51
avoir,avoir,14
sauvé,sauver,12
de,de,81
moi-même,moi-même,51
",",",",p
pour,pour,81
m',je,51
avoir,avoir,14
rappelé,rappeler,12
comment,comment,60
je,je,51
devais,devoir,18
t',tu,51
aimer,aimer,14
/.,/.,P
à,à,81
présent,présent,21
",",",",p
ordonne,ordonner,17
",",",",p
Indiana,Indiana,20
!,!,p
je,je,51
suis,être,17
ton,ton,73
esclave,esclave,21
",",",",p
tu,tu,51
le,le,52
sais,savoir,17
bien,bien,60
/.,/.,P
je,je,51
donnerais,donner,16
ma,mon,73
vie,vie,22
pour,pour,81
une,un,71
heure,heure,22
passée,passé,31
dans,dans,81
tes,ton,73
bras,bras,21
;,;,p
mais,mais,82
je,je,51
puis,pouvoir,17
souffrir,souffrir,14
toute,tout,75
une,un,71
vie,vie,22
pour,pour,81
obtenir,obtenir,14
un,un,52
de,de,81
tes,ton,73
sourires,sourire,21
/.,/.,P
je,je,51
serai,être,16
ton,ton,73
ami,ami,21
",",",",p
ton,ton,73
frère,frère,21
",",",",p
rien,rien,52
de,de,81
plus,plus,60
/.,/.,P
si,si,83
je,je,51
souffre,souffrir,17
",",",",p
tu,tu,51
ne,ne,60
le,le,52
sauras,savoir,15
pas,pas,60
/.,/.,P
si,si,83
",",",",p
près,près,81
de,de,81
toi,toi,51
",",",",p
mon,mon,73
sang,sang,21
s',se,51
allume,allumer,17
",",",",p
si,si,83
ma,mon,73
poitrine,poitrine,22
s',se,51
embrase,embraser,17
",",",",p
si,si,83
un,un,71
nuage,nuage,21
passe,passer,17
sur,sur,81
mes,mon,73
yeux,oeil,21
quand,quand,83
j',je,51
effleure,effleurer,17
ta,ton,73
main,main,22
",",",",p
si,si,83
un,un,71
doux,doux,30
baiser,baiser,21
de,de,81
tes,ton,73
lèvres,lèvre,22
",",",",p
un,un,71
baiser,baiser,21
de,de,81
soeur,soeur,22
",",",",p
brûle,brûler,17
mon,mon,73
front,front,21
",",",",p
je,je,51
commanderai,commander,15
à,à,81
mon,mon,73
sang,sang,21
de,de,81
se,se,51
calmer,calmer,14
",",",",p
à,à,81
ma,mon,73
tête,tête,22
de,de,81
se,se,51
refroidir,refroidir,14
",",",",p
à,à,81
ma,mon,73
bouche,bouche,22
de,de,81
te,tu,51
respecter,respecter,14
/.,/.,P
je,je,51
serai,être,16
doux,doux,30
",",",",p
je,je,51
serai,être,16
soumis,soumettre,12
",",",",p
je,je,51
serai,être,16
malheureux,malheureux,30
",",",",p
