11347
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trentième extrait>,<>,<>
se,se,51
laisser,laisser,14
régaler,régaler,14
",",",",p
et,et,82
elle,il,51
le,le,52
refusa,refuser,19
un,un,71
peu,peu,60
fièrement,fièrement,60
/.,/.,P
puis,puis,60
",",",",p
voyant,voir,13
qu',que,83
il,il,51
se,se,51
tenait,tenir,18
dans,dans,81
un,un,71
coin,coin,21
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
tout,tout,60
remplis,rempli,31
de,de,81
larmes,larme,22
",",",",p
car,car,82
le,le,71
dépit,dépit,21
et,et,82
la,le,71
fierté,fierté,22
la,le,52
rendaient,rendre,18
plus,plus,60
jolie,joli,30
fille,fille,22
que,que,83
jamais,jamais,60
elle,il,51
ne,ne,60
lui,lui,51
avait,avoir,18
semblé,sembler,12
",",",",p
et,et,82
l',l',94
on,on,51
eût,avoir,19
dit,dire,12
que,que,83
tout,tout,75
le,le,71
monde,monde,21
en,en,52
faisait,faire,18
la,le,71
remarque,remarque,22
",",",",p
elle,il,51
mangea,manger,19
vite,vite,60
",",",",p
se,se,51
leva,lever,19
de,de,81
table,table,22
et,et,82
dit,dire,19
tout,tout,60
haut,haut,60
:,:,p
-,-,p
voilà,voilà,81
les,le,71
vêpres,vêpres,22
qui,qui,52
sonnent,sonner,17
;,;,p
avec,avec,81
qui,qui,52
vais,aller,17
je,je,51
danser,danser,14
après,après,81
/?,/?,P
elle,il,51
s',se,51
était,être,18
tournée,tourner,12
du,de,81
du,le,71
côté,côté,21
de,de,81
Landry,Landry,20
",",",",p
comptant,compter,13
qu',que,83
il,il,51
dirait,dire,16
bien,bien,60
vite,vite,60
:,:,p
-,-,p
avec,avec,81
moi,moi,51
/!,/!,P
mais,mais,82
",",",",p
avant,avant,81
qu',que,83
il,il,51
eût,avoir,19
pu,pouvoir,12
desserrer,desserrer,14
les,le,71
dents,dent,22
",",",",p
d',de,81
autres,autre,52
s',se,51
étaient,être,18
offerts,offrir,12
",",",",p
et,et,82
la,le,71
Madelon,Madelon,20
",",",",p
sans,sans,81
daigner,daigner,14
lui,lui,51
envoyer,envoyer,14
un,un,71
regard,regard,21
de,de,81
reproche,reproche,21
ou,ou,82
de,de,81
pitié,pitié,22
",",",",p
s',se,51
en,en,52
alla,aller,19
à,à,81
vêpres,vêpres,22
avec,avec,81
ses,son,73
nouveaux,nouveau,30
galants,galant,21
/.,/.,P
du,de,81
du,le,71
plus,plus,60
vite,vite,60
que,que,83
les,le,71
vêpres,vêpres,22
furent,être,19
chantées,chanter,12
",",",",p
la,le,71
Madelon,Madelon,20
partit,partir,19
avec,avec,81
Pierre,Pierre,20
Aubardeau,Aubardeau,20
",",",",p
suivie,suivi,31
de,de,81
Jean,Jean,20
Aladenise,Aladenise,20
et,et,82
d',de,81
Etienne,Etienne,20
Alaphilippe,Alaphilippe,20
",",",",p
qui,qui,52
tous,tout,75
trois,trois,72
la,le,52
firent,faire,19
danser,danser,14
l',le,71
un,un,52
après,après,81
l',le,71
autre,autre,52
",",",",p
car,car,82
elle,il,51
n',ne,60
en,en,52
pouvait,pouvoir,18
manquer,manquer,14
",",",",p
étant,être,13
belle,beau,30
fille,fille,22
et,et,82
non,non,60
sans,sans,81
avoir,avoir,21
/.,/.,P
Landry,Landry,20
la,le,52
regardait,regarder,18
du,de,81
du,le,71
coin,coin,21
de,de,81
l',le,71
oeil,oeil,21
",",",",p
et,et,82
la,le,71
petite,petit,30
Fadette,Fadette,20
était,être,18
restée,rester,12
dans,dans,81
l',le,71
église,église,22
",",",",p
disant,dire,13
de,de,81
longues,long,30
prières,prière,22
après,après,81
les,le,71
autres,autre,52
;,;,p
et,et,82
elle,il,51
faisait,faire,18
ainsi,ainsi,60
tous,tout,75
les,le,71
dimanches,dimanche,21
",",",",p
soit,soit,82
par,par,81
grande,grand,30
dévotion,dévotion,22
selon,selon,81
les,le,71
uns,un,52
",",",",p
soit,soit,82
",",",",p
selon,selon,81
d',de,81
autres,autre,52
",",",",p
pour,pour,81
mieux,mieux,60
cacher,cacher,14
son,son,73
jeu,jeu,21
avec,avec,81
le,le,71
diable,diable,21
/.,/.,P
Landry,Landry,20
fut,être,19
bien,bien,60
peiné,peiner,12
de,de,81
voir,voir,14
que,que,83
la,le,71
Madelon,Madelon,20
ne,ne,60
montrait,montrer,18
aucun,aucun,75
souci,souci,21
à,à,81
son,son,73
endroit,endroit,21
",",",",p
qu',que,83
elle,il,51
était,être,18
rouge,rouge,30
de,de,81
plaisir,plaisir,21
comme,comme,83
une,un,71
fraise,fraise,22
",",",",p
et,et,82
qu',que,83
elle,il,51
se,se,51
consolait,consoler,18
très,très,60
bien,bien,60
de,de,81
l',le,71
affront,affront,21
qu',que,52
il,il,51
s',se,51
était,être,18
vu,voir,12
forcé,forcé,31
de,de,81
lui,lui,51
faire,faire,14
/.,/.,P
il,il,51
s',se,51
avisa,aviser,19
alors,alors,60
de,de,81
ce,ce,52
qui,qui,52
ne,ne,60
lui,lui,51
était,être,18
pas,pas,60
encore,encore,60
venu,venir,12
à,à,81
l',le,71
idée,idée,22
",",",",p
à,à,81
savoir,savoir,14
qu',que,83
elle,il,51
pouvait,pouvoir,18
bien,bien,60
se,se,51
ressentir,ressentir,14
d',de,81
un,un,71
peu,peu,60
beaucoup,beaucoup,60
de,de,81
coquetterie,coquetterie,22
",",",",p
et,et,82
que,que,83
",",",",p
dans,dans,81
tous,tout,75
les,le,71
cas,cas,21
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
pour,pour,81
lui,lui,51
grande,grand,30
attache,attache,22
",",",",p
puisqu',puisque,83
elle,il,51
s',se,51
amusait,amuser,18
si,si,60
bien,bien,60
sans,sans,81
lui,lui,51
/.,/.,P
il,il,51
est,être,17
vrai,vrai,30
qu',que,83
il,il,51
se,se,51
savait,savoir,18
dans,dans,81
son,son,73
tort,tort,21
",",",",p
du,de,81
du,le,71
moins,moins,60
par,par,81
apparence,apparence,22
;,;,p
mais,mais,82
elle,il,51
l',le,52
avait,avoir,18
vu,voir,12
bien,bien,60
chagriné,chagriné,31
sous,sous,81
la,le,71
ramée,ramée,22
",",",",p
et,et,82
elle,il,51
aurait,avoir,16
pu,pouvoir,12
deviner,deviner,14
qu',que,83
il,il,51
y,y,52
avait,avoir,18
là-dessous,là-dessous,60
quelque,quelque,75
chose,chose,22
qu',que,52
il,il,51
aurait,avoir,16
voulu,vouloir,12
pouvoir,pouvoir,14
lui,lui,51
expliquer,expliquer,14
/.,/.,P
elle,il,51
ne,ne,60
s',se,51
en,en,52
souciait,soucier,18
mie,mie,22
pourtant,pourtant,60
",",",",p
et,et,82
elle,il,51
était,être,18
gaie,gai,30
comme,comme,83
un,un,71
biquet,biquet,21
",",",",p
quand,quand,83
son,son,73
coeur,coeur,21
",",",",p
à,à,81
lui,lui,51
",",",",p
se,se,51
fendait,fendre,18
de,de,81
chagrin,chagrin,21
/.,/.,P
quand,quand,83
elle,il,51
eut,avoir,19
contenté,contenter,12
ses,son,73
trois,trois,72
danseurs,danseur,21
",",",",p
Landry,Landry,20
s',se,51
approcha,approcher,19
d',de,81
elle,il,51
",",",",p
désirant,désirer,13
lui,lui,51
parler,parler,14
en,en,81
secret,secret,21
et,et,82
se,se,51
justifier,justifier,14
de,de,81
son,son,73
mieux,mieux,60
/.,/.,P
il,il,51
ne,ne,60
savait,savoir,18
comment,comment,60
s',se,51
y,y,52
prendre,prendre,14
pour,pour,81
l',le,52
emmener,emmener,14
à,à,81
l',le,71
écart,écart,21
",",",",p
car,car,82
il,il,51
était,être,18
encore,encore,60
dans,dans,81
l',le,71
âge,âge,21
où,où,60
l',l',94
on,on,51
n',ne,60
a,avoir,17
guère,guère,60
de,de,81
courage,courage,21
avec,avec,81
les,le,71
femmes,femme,22
;,;,p
aussi,aussi,60
ne,ne,60
put,pouvoir,19
il,il,51
trouver,trouver,14
aucune,aucun,75
parole,parole,22
à,à,81
propos,propos,21
et,et,82
la,le,52
prit,prendre,19
il,il,51
par,par,81
la,le,71
main,main,22
pour,pour,81
s',se,51
en,en,52
faire,faire,14
suivre,suivre,14
;,;,p
mais,mais,82
elle,il,51
lui,lui,51
dit,dire,19
d',de,81
un,un,71
air,air,21
moitié,moitié,22
dépit,dépit,21
",",",",p
moitié,moitié,22
pardon,pardon,21
:,:,p
-,-,p
oui-da,oui-da,93
",",",",p
Landry,Landry,20
",",",",p
tu,tu,51
viens,venir,17
donc,donc,82
me,je,51
faire,faire,14
danser,danser,14
à,à,81
la,le,71
fin,fin,22
/?,/?,P
non,non,60
pas,pas,60
danser,danser,14
",",",",p
répondit,répondre,19
il,il,51
",",",",p
car,car,82
il,il,51
ne,ne,60
savait,savoir,18
pas,pas,60
feindre,feindre,14
et,et,82
n',ne,60
avait,avoir,18
plus,plus,60
l',le,71
idée,idée,22
de,de,81
manquer,manquer,14
à,à,81
sa,son,73
parole,parole,22
;,;,p
mais,mais,82
vous,vous,51
dire,dire,14
quelque,quelque,75
chose,chose,22
que,que,52
vous,vous,51
ne,ne,60
pouvez,pouvoir,17
pas,pas,60
refuser,refuser,14
d',de,81
entendre,entendre,14
/.,/.,P
-,-,p
oh,oh,93
!,!,p
si,si,83
tu,tu,51
as,avoir,17
un,un,71
secret,secret,21
à,à,81
me,je,51
dire,dire,14
",",",",p
Landry,Landry,20
",",",",p
ce,ce,52
sera,être,15
pour,pour,81
une,un,71
autre,autre,75
fois,fois,22
",",",",p
répondit,répondre,19
Madelon,Madelon,20
en,en,81
lui,lui,51
retirant,retirer,13
sa,son,73
main,main,22
/.,/.,P
c',ce,52
est,être,17
aujourd'hui,aujourd'hui,60
le,le,71
jour,jour,21
de,de,81
danser,danser,14
et,et,82
de,de,81
se,se,51
divertir,divertir,14
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
encore,encore,60
à,à,81
bout,bout,21
de,de,81
mes,mon,73
jambes,jambe,22
",",",",p
et,et,82
puisque,puisque,83
le,le,71
grelet,grelet,21
a,avoir,17
usé,user,12
les,le,71
tiennes,tien,52
",",",",p
va,aller,17
te,tu,51
coucher,coucher,14
si,si,83
tu,tu,51
veux,vouloir,17
",",",",p
moi,moi,51
je,je,51
reste,rester,17
/.,/.,P
là-dessus,là-dessus,60
elle,il,51
accepta,accepter,19
l',le,71
offre,offre,22
de,de,81
Germain,Germain,20
Audoux,Audoux,20
qui,qui,52
venait,venir,18
pour,pour,81
la,le,52
faire,faire,14
danser,danser,14
/.,/.,P
et,et,82
comme,comme,83
elle,il,51
tournait,tourner,18
le,le,71
dos,dos,21
à,à,81
Landry,Landry,20
",",",",p
Landry,Landry,20
entendit,entendre,19
Germain,Germain,20
Audoux,Audoux,20
qui,qui,52
lui,lui,51
disait,dire,18
",",",",p
en,en,81
parlant,parler,13
de,de,81
lui,lui,51
:,:,p
-,-,p
voilà,voilà,81
un,un,71
gars,gars,21
qui,qui,52
paraissait,paraître,18
bien,bien,60
croire,croire,14
que,que,83
cette,ce,74
bourrée,bourrée,22
là,là,60
lui,lui,51
reviendrait,revenir,16
/.,/.,P
-,-,p
peut-être,peut-être,60
bien,bien,60
",",",",p
dit,dire,19
Madelon,Madelon,20
en,en,81
hochant,hocher,13
la,le,71
tête,tête,22
",",",",p
mais,mais,82
ce,ce,52
ne,ne,60
sera,être,15
pas,pas,60
encore,encore,60
pour,pour,81
son,son,73
nez,nez,21
/!,/!,P
Landry,Landry,20
fut,être,19
grandement,grandement,60
choqué,choquer,12
de,de,81
cette,ce,74
parole,parole,22
",",",",p
et,et,82
resta,rester,19
auprès,auprès,60
de,de,81
la,le,71
danse,danse,22
pour,pour,81
observer,observer,14
toutes,tout,75
les,le,71
allures,allure,22
de,de,81
la,le,71
Madelon,Madelon,20
",",",",p
qui,qui,52
n',ne,60
étaient,être,18
point,point,60
malhonnêtes,malhonnête,30
",",",",p
mais,mais,82
si,si,60
fières,fier,30
et,et,82
de,de,81
telle,tel,75
nargue,nargue,22
",",",",p
qu',que,83
il,il,51
s',se,51
en,en,52
dépita,dépiter,19
;,;,p
et,et,82
quand,quand,83
elle,il,51
revint,revenir,19
de,de,81
son,son,73
côté,côté,21
",",",",p
comme,comme,83
il,il,51
la,le,52
regardait,regarder,18
avec,avec,81
des,de,81
des,le,71
yeux,oeil,21
qui,qui,52
se,se,51
moquaient,moquer,18
un,un,71
peu,peu,60
d',de,81
elle,il,51
",",",",p
elle,il,51
lui,lui,51
dit,dire,19
par,par,81
bravade,bravade,22
:,:,p
-,-,p
eh,eh,93
bien,bien,60
donc,donc,82
",",",",p
Landry,Landry,20
",",",",p
tu,tu,51
ne,ne,60
peux,pouvoir,17
trouver,trouver,14
une,un,71
danseuse,danseuse,22
",",",",p
aujourd'hui,aujourd'hui,60
/.,/.,P
tu,tu,51
seras,être,15
",",",",p
ma,mon,73
fine,fin,30
",",",",p
obligé,obliger,12
de,de,81
retourner,retourner,14
au,à,81
au,le,71
grelet,grelet,21
/.,/.,P
-,-,p
et,et,82
j',je,51
y,y,52
retournerai,retourner,15
de,de,81
bon,bon,30
coeur,coeur,21
",",",",p
répondit,répondre,19
Landry,Landry,20
;,;,p
car,car,82
si,si,83
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
la,le,71
plus,plus,60
belle,beau,30
de,de,81
la,le,71
fête,fête,22
",",",",p
c',ce,52
est,être,17
toujours,toujours,60
celle,celui,52
qui,qui,52
danse,danser,17
le,le,71
mieux,mieux,60
/.,/.,P
là-dessus,là-dessus,60
",",",",p
il,il,51
s',se,51
en,en,52
fut,être,19
aux,à,81
aux,le,71
alentours,alentour,21
de,de,81
l',le,71
église,église,22
pour,pour,81
chercher,chercher,14
la,le,71
petite,petit,30
Fadette,Fadette,20
",",",",p
et,et,82
il,il,51
la,le,52
ramena,ramener,19
dans,dans,81
la,le,71
danse,danse,22
",",",",p
tout,tout,52
en,en,81
face,face,22
de,de,81
la,le,71
Madelon,Madelon,20
",",",",p
et,et,82
il,il,51
y,y,52
dansa,danser,19
deux,deux,72
bourrées,bourrée,22
sans,sans,81
quitter,quitter,14
la,le,71
place,place,22
/.,/.,P
il,il,51
fallait,falloir,18
voir,voir,14
comme,comme,83
le,le,71
grelet,grelet,21
était,être,18
fier,fier,30
et,et,82
content,content,30
/!,/!,P
elle,il,51
ne,ne,60
cachait,cacher,18
point,point,60
son,son,73
aise,aise,22
",",",",p
faisait,faire,18
reluire,reluire,14
ses,son,73
coquins,coquin,21
d',de,81
yeux,oeil,21
noirs,noir,30
",",",",p
et,et,82
relevait,relever,18
sa,son,73
petite,petit,30
tête,tête,22
et,et,82
sa,son,73
grosse,gros,30
coiffe,coiffe,22
comme,comme,83
une,un,71
poule,poule,22
huppée,huppé,30
/.,/.,P
mais,mais,82
",",",",p
par,par,81
malheur,malheur,21
",",",",p
son,son,73
triomphe,triomphe,21
donna,donner,19
du,de,81
du,le,71
dépit,dépit,21
à,à,81
cinq,cinq,72
ou,ou,82
six,six,72
gamins,gamin,21
qui,qui,52
la,le,52
faisaient,faire,18
danser,danser,14
à,à,81
l',le,71
habitude,habitude,22
",",",",p
et,et,82
qui,qui,52
",",",",p
ne,ne,60
pouvant,pouvoir,13
plus,plus,60
en,en,52
approcher,approcher,14
",",",",p
eux,ils,51
qui,qui,52
n',ne,60
avaient,avoir,18
jamais,jamais,60
été,être,12
fiers,fier,30
avec,avec,81
elle,il,51
",",",",p
et,et,82
qui,qui,52
l',le,52
estimaient,estimer,18
beaucoup,beaucoup,60
pour,pour,81
sa,son,73
danse,danse,22
",",",",p
se,se,51
mirent,mettre,17
à,à,81
la,le,52
critiquer,critiquer,14
",",",",p
à,à,81
lui,lui,51
reprocher,reprocher,14
sa,son,73
fierté,fierté,22
et,et,82
à,à,81
chuchoter,chuchoter,14
autour,autour,60
d',de,81
elle,il,51
:,:,p
-,-,p
voyez,voir,17
donc,donc,82
la,le,71
grelette,grelette,22
qui,qui,52
croit,croire,17
charmer,charmer,14
Landry,Landry,20
Barbeau,Barbeau,20
!,!,p
grelette,grelette,22
",",",",p
sautiote,sautiote,22
",",",",p
farfadette,farfadette,22
",",",",p
chat,chat,21
grillé,grillé,31
",",",",p
grillette,grillette,22
",",",",p
râlette,râlette,22
-,-,p
et,et,82
autres,autre,75
sornettes,sornette,22
à,à,81
la,le,71
manière,manière,22
de,de,81
l',le,71
endroit,endroit,21
/.,/.,P
<XVI>,<>,<>
et,et,82
puis,puis,60
",",",",p
quand,quand,83
la,le,71
petite,petit,30
Fadette,Fadette,20
passait,passer,18
auprès,auprès,60
d',de,81
eux,ils,51
",",",",p
ils,ils,51
lui,lui,51
tiraient,tirer,18
sa,son,73
manche,manche,22
",",",",p
ou,ou,82
avançaient,avancer,18
leur,leur,73
pied,pied,21
pour,pour,81
la,le,52
faire,faire,14
tomber,tomber,14
",",",",p
et,et,82
il,il,51
y,y,52
en,en,52
avait,avoir,18
",",",",p
des,de,81
des,le,71
plus,plus,60
jeunes,jeune,30
s',se,51
entend,entendre,17
",",",",p
et,et,82
des,de,81
des,le,71
moins,moins,60
bien,bien,60
appris,appris,31
",",",",p
qui,qui,52
frappaient,frapper,18
sur,sur,81
l',le,71
orillon,orillon,21
de,de,81
sa,son,73
coiffe,coiffe,22
et,et,82
la,le,52
lui,lui,51
faisaient,faire,18
virer,virer,14
d',de,81
une,un,71
oreille,oreille,22
à,à,81
l',le,71
autre,autre,52
",",",",p
en,en,81
criant,crier,13
:,:,p
-,-,p
au,à,81
au,le,71
grand,grand,30
calot,calot,21
",",",",p
au,à,81
au,le,71
grand,grand,30
calot,calot,21
à,à,81
la,le,71
mère,mère,22
Fadet,Fadet,20
/!,/!,P
le,le,71
pauvre,pauvre,30
grelet,grelet,21
allongea,allonger,19
cinq,cinq,72
ou,ou,82
six,six,72
tapes,tape,22
à,à,81
droite,droite,22
et,et,82
à,à,81
gauche,gauche,22
;,;,p
mais,mais,82
tout,tout,75
cela,cela,52
ne,ne,60
servit,servir,19
qu',que,83
à,à,81
attirer,attirer,14
l',le,71
attention,attention,22
de,de,81
son,son,73
côté,côté,21
;,;,p
et,et,82
les,le,71
personnes,personne,22
de,de,81
l',le,71
endroit,endroit,21
commencèrent,commencer,19
à,à,81
se,se,51
dire,dire,14
:,:,p
-,-,p
mais,mais,82
voyez,voir,17
donc,donc,82
notre,notre,73
grelette,grelette,22
",",",",p
comme,comme,83
elle,il,51
a,avoir,17
de,de,81
la,le,71
chance,chance,22
aujourd'hui,aujourd'hui,60
",",",",p
que,que,83
Landry,Landry,20
Barbeau,Barbeau,20
la,le,52
fait,faire,17
danser,danser,14
à,à,81
tout,tout,75
moment,moment,21
/!,/!,P
c',ce,52
est,être,17
vrai,vrai,30
qu',que,83
elle,il,51
danse,danser,17
bien,bien,60
",",",",p
mais,mais,82
la,le,52
voilà,voilà,81
qui,qui,52
fait,faire,17
la,le,71
belle-fille,belle-fille,22
et,et,82
qui,qui,52
se,se,51
carre,carrer,17
comme,comme,83
une,un,71
agasse,agace,22
/.,/.,P
-,-,p
et,et,82
parlant,parler,13
à,à,81
Landry,Landry,20
",",",",p
il,il,51
y,y,52
en,en,52
eut,avoir,19
qui,qui,52
dirent,dire,19
:,:,p
-,-,p
elle,il,51
t',tu,51
a,avoir,17
donc,donc,82
jeté,jeter,12
un,un,71
sort,sort,21
",",",",p
mon,mon,73
pauvre,pauvre,30
Landry,Landry,20
",",",",p
que,que,83
tu,tu,51
ne,ne,60
regardes,regarder,17
qu',que,83
elle,il,51
?,?,p
ou,ou,82
bien,bien,60
c',ce,52
est,être,17
que,que,83
tu,tu,51
veux,vouloir,17
passer,passer,14
sorcier,sorcier,21
",",",",p
et,et,82
que,que,83
bientôt,bientôt,60
nous,nous,51
te,tu,51
verrons,voir,15
mener,mener,14
les,le,71
loups,loup,21
aux,à,81
aux,le,71
champs,champ,21
/.,/.,P
Landry,Landry,20
fut,être,19
mortifié,mortifier,12
;,;,p
mais,mais,82
Sylvinet,Sylvinet,20
",",",",p
qui,qui,52
ne,ne,60
voyait,voir,18
rien,rien,52
de,de,81
plus,plus,60
excellent,excellent,30
et,et,82
de,de,81
plus,plus,60
estimable,estimable,30
que,que,83
son,son,73
frère,frère,21
",",",",p
le,le,52
fut,être,19
encore,encore,60
davantage,davantage,60
de,de,81
voir,voir,14
qu',que,83
il,il,51
se,se,51
donnait,donner,18
en,en,81
risée,risée,22
à,à,81
tant,tant,60
de,de,81
monde,monde,21
",",",",p
et,et,82
à,à,81
des,de,81
des,le,71
étrangers,étranger,21
qui,qui,52
commençaient,commencer,18
aussi,aussi,60
à,à,81
s',se,51
en,en,52
mêler,mêler,14
",",",",p
à,à,81
faire,faire,14
des,de,81
des,le,71
questions,question,22
",",",",p
et,et,82
à,à,81
dire,dire,14
:,:,p
-,-,p
c',ce,52
est,être,17
bien,bien,60
un,un,71
beau,beau,30
gars,gars,21
;,;,p
mais,mais,82
",",",",p
tout,tout,60
de,de,81
même,même,60
",",",",p
il,il,51
a,avoir,17
une,un,71
drôle,drôle,30
d',de,81
idée,idée,22
de,de,81
se,se,51
coiffer,coiffer,14
de,de,81
la,le,71
plus,plus,60
vilaine,vilain,30
qu',que,83
il,il,51
n',ne,60
y,y,52
ait,avoir,17
pas,pas,60
dans,dans,81
toute,tout,75
l',le,71
assemblée,assemblée,22
/.,/.,P
-,-,p
la,le,71
Madelon,Madelon,20
vint,venir,19
",",",",p
d',de,81
un,un,71
air,air,21
de,de,81
triomphe,triomphe,21
",",",",p
écouter,écouter,14
toutes,tout,75
ces,ce,74
moqueries,moquerie,22
",",",",p
et,et,82
",",",",p
sans,sans,81
charité,charité,22
",",",",p
elle,il,51
y,y,52
mêla,mêler,19
son,son,73
mot,mot,21
:,:,p
-,-,p
que,que,52
voulez,vouloir,17
vous,vous,51
?,?,p
dit,dire,19
elle,il,51
;,;,p
Landry,Landry,20
est,être,17
encore,encore,60
un,un,71
petit,petit,30
enfant,enfant,21
",",",",p
et,et,82
",",",",p
à,à,81
son,son,73
âge,âge,21
",",",",p
pourvu,pourvu,81
qu',que,83
on,on,51
trouve,trouver,17
à,à,81
qui,qui,52
parler,parler,14
",",",",p
on,on,51
ne,ne,60
regarde,regarder,17
pas,pas,60
si,si,83
c',ce,52
est,être,17
une,un,71
tête,tête,22
de,de,81
chèvre,chèvre,22
ou,ou,82
une,un,71
figure,figure,22
chrétienne,chrétien,30
/.,/.,P
Sylvinet,Sylvinet,20
prit,prendre,19
alors,alors,60
Landry,Landry,20
par,par,81
le,le,71
bras,bras,21
",",",",p
en,en,81
lui,lui,51
disant,dire,13
tout,tout,60
bas,bas,60
:,:,p
-,-,p
allons,aller,17
nous,nous,51
en,en,52
",",",",p
frère,frère,21
",",",",p
ou,ou,82
bien,bien,60
il,il,51
faudra,falloir,15
nous,nous,51
fâcher,fâcher,14
:,:,p
car,car,82
on,on,51
se,se,51
moque,moquer,17
",",",",p
et,et,82
l',le,71
insulte,insulte,22
qu',que,52
on,on,51
fait,faire,17
à,à,81
la,le,71
petite,petit,30
Fadette,Fadette,20
revient,revenir,17
sur,sur,81
toi,toi,51
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
pas,pas,60
quelle,quel,75
idée,idée,22
t',tu,51
a,avoir,17
pris,prendre,12
aujourd'hui,aujourd'hui,60
de,de,81
la,le,52
faire,faire,14
danser,danser,14
quatre,quatre,72
ou,ou,82
cinq,cinq,72
fois,fois,22
de,de,81
suite,suite,22
/.,/.,P
on,on,51
dirait,dire,16
que,que,83
tu,tu,51
cherches,chercher,17
le,le,71
ridicule,ridicule,21
;,;,p
finis,finir,17
cet,ce,74
amusement,amusement,21
là,là,60
",",",",p
je,je,51
t',tu,51
en,en,52
prie,prier,17
/.,/.,P
c',ce,52
est,être,17
bon,bon,30
pour,pour,81
elle,il,51
de,de,81
s',se,51
exposer,exposer,14
aux,à,81
aux,le,71
duretés,dureté,22
et,et,82
au,à,81
au,le,71
mépris,mépris,21
du,de,81
du,le,71
monde,monde,21
/.,/.,P
elle,il,51
ne,ne,60
cherche,chercher,17
que,que,83
cela,cela,52
",",",",p
et,et,82
c',ce,52
est,être,17
son,son,73
goût,goût,21
;,;,p
mais,mais,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
le,le,71
nôtre,nôtre,52
/.,/.,P
allons,aller,17
nous,nous,51
en,en,52
",",",",p
nous,nous,51
reviendrons,revenir,15
après,après,81
l',le,71
Angélus,Angélus,20
",",",",p
et,et,82
tu,tu,51
feras,faire,15
danser,danser,14
la,le,71
Madelon,Madelon,20
qui,qui,52
est,être,17
une,un,71
fille,fille,22
bien,bien,60
comme,comme,83
il,il,51
faut,falloir,17
/.,/.,P
je,je,51
t',tu,51
ai,avoir,17
toujours,toujours,60
dit,dire,12
que,que,83
tu,tu,51
aimais,aimer,18
trop,trop,60
la,le,71
danse,danse,22
",",",",p
et,et,82
que,que,83
cela,cela,52
te,tu,51
ferait,faire,16
faire,faire,14
des,de,81
des,le,71
choses,chose,22
sans,sans,81
raison,raison,22
/.,/.,P
Landry,Landry,20
le,le,52
suivit,suivre,19
deux,deux,72
ou,ou,82
trois,trois,72
pas,pas,21
",",",",p
mais,mais,82
il,il,51
se,se,51
retourna,retourner,19
en,en,81
entendant,entendre,13
une,un,71
grande,grand,30
clameur,clameur,22
;,;,p
et,et,82
il,il,51
vit,voir,19
la,le,71
petite,petit,30
Fadette,Fadette,20
que,que,52
Madelon,Madelon,20
et,et,82
les,le,71
autres,autre,75
filles,fille,22
avaient,avoir,18
livrée,livrer,12
aux,à,81
aux,le,71
moqueries,moquerie,22
de,de,81
leurs,leur,73
galants,galant,21
",",",",p
et,et,82
que,que,52
les,le,71
gamins,gamin,21
",",",",p
encouragés,encouragé,31
par,par,81
les,le,71
risées,risée,22
qu',que,52
on,on,51
en,en,52
faisait,faire,18
",",",",p
venaient,venir,18
de,de,81
décoiffer,décoiffer,14
d',de,81
un,un,71
coup,coup,21
de,de,81
poing,poing,21
/.,/.,P
elle,il,51
avait,avoir,18
ses,son,73
grands,grand,30
cheveux,cheveu,21
noirs,noir,30
qui,qui,52
pendaient,pendre,18
sur,sur,81
son,son,73
dos,dos,21
",",",",p
et,et,82
se,se,51
débattait,débattre,18
toute,tout,52
en,en,81
colère,colère,22
et,et,82
en,en,81
chagrin,chagrin,21
;,;,p
car,car,82
",",",",p
cette,ce,74
fois,fois,22
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
rien,rien,52
dit,dire,12
qui,qui,52
lui,lui,51
méritât,mériter,18
d',de,81
être,être,14
tant,tant,60
maltraitée,maltraiter,12
",",",",p
et,et,82
elle,il,51
pleurait,pleurer,18
de,de,81
rage,rage,22
",",",",p
sans,sans,81
pouvoir,pouvoir,14
rattraper,rattraper,14
sa,son,73
coiffe,coiffe,22
qu',que,52
un,un,71
méchant,méchant,30
galopin,galopin,21
emportait,emporter,18
au,à,81
au,le,71
bout,bout,21
d',de,81
un,un,71
bâton,bâton,21
/.,/.,P
Landry,Landry,20
trouva,trouver,19
la,le,71
chose,chose,22
bien,bien,60
mauvaise,mauvais,30
",",",",p
et,et,82
",",",",p
son,son,73
bon,bon,30
coeur,coeur,21
se,se,51
soulevant,soulever,13
contre,contre,81
l',le,71
injustice,injustice,22
",",",",p
il,il,51
attrapa,attraper,19
le,le,71
gamin,gamin,21
",",",",p
lui,lui,51
ôta,ôter,19
la,le,71
coiffe,coiffe,22
et,et,82
le,le,71
bâton,bâton,21
",",",",p
dont,dont,52
il,il,51
lui,lui,51
appliqua,appliquer,19
un,un,71
bon,bon,30
coup,coup,21
dans,dans,81
le,le,71
derrière,derrière,21
",",",",p
revint,revenir,19
au,à,81
au,le,71
milieu,milieu,21
des,de,81
