11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-quatrième extrait>,<>,<>
se,se,51
passer,passer,14
/.,/.,P
à,à,81
elle-même,lui-même,51
",",",",p
elle,il,51
se,se,51
paraissait,paraître,18
extraordinaire,extraordinaire,30
et,et,82
d',de,81
une,un,71
nature,nature,22
à,à,81
part,part,22
",",",",p
du,de,81
du,le,71
tempérament,tempérament,21
des,de,81
des,le,71
bêtes,bête,22
que,que,52
les,le,71
mauvais,mauvais,30
traitements,traitement,21
attachent,attacher,17
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
jours,jour,21
où,où,60
elle,il,51
ne,ne,60
se,se,51
reconnaissait,reconnaître,18
plus,plus,60
",",",",p
et,et,82
où,où,60
elle,il,51
se,se,51
demandait,demander,18
si,si,83
elle,il,51
était,être,18
toujours,toujours,60
la,le,71
même,même,75
femme,femme,22
/.,/.,P
en,en,81
repassant,repasser,13
toutes,tout,75
les,le,71
bassesses,bassesse,22
auxquelles,à,81
auxquelles,lequel,52
Jupillon,Jupillon,20
l',le,52
avait,avoir,18
pliée,plier,12
",",",",p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
croire,croire,14
que,que,83
c',ce,52
était,être,18
elle,il,51
qui,qui,52
avait,avoir,18
subi,subir,12
cela,cela,52
/.,/.,P
elle,il,51
qui,qui,52
se,se,51
connaissait,connaître,18
violente,violent,30
",",",",p
bouillante,bouillant,30
",",",",p
toute,tout,60
pleine,plein,30
de,de,81
passions,passion,22
chaudes,chaud,30
",",",",p
de,de,81
révoltes,révolte,22
et,et,82
d',de,81
orages,orage,21
",",",",p
elle,il,51
avait,avoir,18
passé,passer,12
par,par,81
ces,ce,74
soumissions,soumission,22
et,et,82
ces,ce,74
docilités,docilité,22
/!,/!,P
elle,il,51
avait,avoir,18
réprimé,réprimer,12
ses,son,73
colères,colère,22
",",",",p
refoulé,refouler,12
les,le,71
idées,idée,22
de,de,81
sang,sang,21
qui,qui,52
lui,lui,51
étaient,être,18
montées,monter,12
au,à,81
au,le,71
cerveau,cerveau,21
tant,tant,60
de,de,81
fois,fois,22
/!,/!,P
elle,il,51
avait,avoir,18
toujours,toujours,60
obéi,obéir,12
",",",",p
toujours,toujours,60
patienté,patienter,12
",",",",p
toujours,toujours,60
baissé,baisser,12
la,le,71
tête,tête,22
/!,/!,P
aux,à,81
aux,le,71
pieds,pied,21
de,de,81
cet,ce,74
homme,homme,21
",",",",p
elle,il,51
avait,avoir,18
fait,faire,12
ramper,ramper,14
son,son,73
caractère,caractère,21
",",",",p
ses,son,73
instincts,instinct,21
",",",",p
son,son,73
orgueil,orgueil,21
",",",",p
sa,son,73
vanité,vanité,22
",",",",p
et,et,82
plus,plus,60
que,que,83
tout,tout,75
cela,cela,52
",",",",p
sa,son,73
jalousie,jalousie,22
",",",",p
les,le,71
rages,rage,22
de,de,81
son,son,73
coeur,coeur,21
/!,/!,P
pour,pour,81
le,le,52
garder,garder,14
",",",",p
elle,il,51
en,en,52
était,être,18
venue,venir,12
à,à,81
le,le,52
partager,partager,14
",",",",p
à,à,81
lui,lui,51
permettre,permettre,14
des,de,81
des,le,71
maîtresses,maîtresse,22
",",",",p
à,à,81
le,le,52
recevoir,recevoir,14
des,de,81
des,le,71
mains,main,22
des,de,81
des,le,71
autres,autre,52
",",",",p
à,à,81
chercher,chercher,14
sur,sur,81
sa,son,73
joue,joue,22
les,le,71
endroits,endroit,21
où,où,60
ne,ne,60
l',le,52
avait,avoir,18
pas,pas,60
embrassé,embrasser,12
sa,son,73
cousine,cousine,22
/!,/!,P
et,et,82
maintenant,maintenant,60
",",",",p
tout,tout,52
au,à,81
au,le,71
bout,bout,21
de,de,81
tant,tant,60
d',de,81
immolations,immolation,22
dont,dont,52
elle,il,51
l',le,52
avait,avoir,18
lassé,lasser,12
",",",",p
elle,il,51
le,le,52
retenait,retenir,18
par,par,81
un,un,71
plus,plus,60
dégoûtant,dégoûtant,30
sacrifice,sacrifice,21
",",",",p
elle,il,51
l',le,52
attirait,attirer,18
par,par,81
des,de,81
des,le,71
cadeaux,cadeau,21
",",",",p
elle,il,51
lui,lui,51
ouvrait,ouvrir,18
sa,son,73
bourse,bourse,22
pour,pour,81
le,le,52
faire,faire,14
venir,venir,14
à,à,81
des,de,81
des,le,71
rendez-vous,rendez-vous,21
",",",",p
elle,il,51
achetait,acheter,18
son,son,73
amabilité,amabilité,22
en,en,81
satisfaisant,satisfaire,13
ses,son,73
fantaisies,fantaisie,22
et,et,82
ses,son,73
caprices,caprice,21
",",",",p
elle,il,51
payait,payer,18
cet,ce,74
homme,homme,21
qui,qui,52
se,se,51
faisait,faire,18
marchander,marchander,14
ses,son,73
baisers,baiser,21
et,et,82
demandait,demander,18
des,de,81
des,le,71
pourboires,pourboire,21
à,à,81
l',le,71
amour,amour,21
/!,/!,P
et,et,82
elle,il,51
vivait,vivre,18
",",",",p
allant,aller,13
d',de,81
un,un,71
jour,jour,21
à,à,81
l',le,71
autre,autre,52
avec,avec,81
la,le,71
terreur,terreur,22
de,de,81
ce,ce,52
que,que,52
le,le,71
misérable,misérable,21
pourrait,pouvoir,16
lui,lui,51
demander,demander,14
le,le,71
lendemain,lendemain,21
/.,/.,P
<XXXVIII.>,<>,<>
“,“,p
il,il,51
lui,lui,51
faut,falloir,17
vingt,vingt,72
francs,franc,21
/…,/…,P
“,“,p
Germinie,Germinie,20
se,se,51
répéta,répéter,19
cela,cela,52
plusieurs,plusieurs,75
fois,fois,22
machinalement,machinalement,60
",",",",p
mais,mais,82
sa,son,73
pensée,pensée,22
n',ne,60
allait,aller,18
pas,pas,60
au-delà,au-delà,60
des,de,81
des,le,71
mots,mot,21
qu',que,52
elle,il,51
se,se,51
disait,dire,18
/.,/.,P
la,le,71
marche,marche,22
",",",",p
la,le,71
montée,montée,22
des,de,81
des,le,71
cinq,cinq,72
étages,étage,21
l',le,52
avaient,avoir,18
étourdie,étourdir,12
/.,/.,P
elle,il,51
tomba,tomber,19
assise,assis,31
sur,sur,81
la,le,71
chauffeuse,chauffeuse,22
graisseuse,graisseux,30
de,de,81
sa,son,73
cuisine,cuisine,22
",",",",p
baissa,baisser,19
la,le,71
tête,tête,22
",",",",p
posa,poser,19
le,le,71
bras,bras,21
sur,sur,81
la,le,71
table,table,22
/.,/.,P
la,le,71
tête,tête,22
lui,lui,51
bourdonnait,bourdonner,18
/.,/.,P
ses,son,73
idées,idée,22
s',se,51
en,en,52
allaient,aller,18
",",",",p
puis,puis,60
revenaient,revenir,18
comme,comme,83
en,en,81
foule,foule,22
",",",",p
s',se,51
étouffaient,étouffer,18
en,en,81
elle,il,51
",",",",p
et,et,82
de,de,81
toutes,tout,52
il,il,51
ne,ne,60
lui,lui,51
en,en,52
restait,rester,18
qu',que,83
une,un,52
",",",",p
toujours,toujours,60
plus,plus,60
aiguë,aigu,30
",",",",p
plus,plus,60
fixe,fixe,30
:,:,p
il,il,51
lui,lui,51
faut,falloir,17
vingt,vingt,72
francs,franc,21
!,!,p
vingt,vingt,72
francs,franc,21
!,!,p
…,…,p
vingt,vingt,72
francs,franc,21
!,!,p
/…,/…,P
et,et,82
elle,il,51
regarda,regarder,19
autour,autour,60
d',de,81
elle,il,51
comme,comme,83
si,si,83
elle,il,51
allait,aller,18
les,le,52
trouver,trouver,14
là,là,60
",",",",p
dans,dans,81
la,le,71
cheminée,cheminée,22
",",",",p
dans,dans,81
le,le,71
panier,panier,21
aux,à,81
aux,le,71
ordures,ordure,22
",",",",p
sous,sous,81
le,le,71
fourneau,fourneau,21
/.,/.,P
puis,puis,60
elle,il,51
songea,songer,19
aux,à,81
aux,le,71
gens,gens,21
qui,qui,52
lui,lui,51
devaient,devoir,18
",",",",p
à,à,81
une,un,71
bonne,bonne,22
allemande,allemand,30
qui,qui,52
avait,avoir,18
promis,promettre,12
de,de,81
la,le,52
rembourser,rembourser,14
",",",",p
il,il,51
y,y,52
avait,avoir,18
de,de,81
cela,cela,52
plus,plus,60
d',de,81
un,un,71
an,an,21
/.,/.,P
elle,il,51
se,se,51
leva,lever,19
",",",",p
noua,nouer,19
son,son,73
bonnet,bonnet,21
/.,/.,P
elle,il,51
ne,ne,60
se,se,51
disait,dire,18
plus,plus,60
:,:,p
il,il,51
lui,lui,51
faut,falloir,17
vingt,vingt,72
francs,franc,21
;,;,p
elle,il,51
se,se,51
disait,dire,18
:,:,p
je,je,51
les,le,52
aurai,avoir,15
/.,/.,P
elle,il,51
descendit,descendre,19
chez,chez,81
Adèle,Adèle,20
:,:,p
-,-,p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
vingt,vingt,72
francs,franc,21
pour,pour,81
une,un,71
note,note,22
qu',que,83
on,on,51
apporte,apporter,17
?,?,p
…,…,p
mademoiselle,mademoiselle,22
est,être,17
sortie,sortir,12
/.,/.,P
-,-,p
pas,pas,60
de,de,81
chance,chance,22
",",",",p
dit,dire,17
Adèle,Adèle,20
;,;,p
j',je,51
ai,avoir,17
donné,donner,12
mes,mon,73
derniers,dernier,30
vingt,vingt,72
francs,franc,21
à,à,81
madame,madame,22
hier,hier,60
soir,soir,21
pour,pour,81
aller,aller,14
souper,souper,14
/.,/.,P
cette,ce,74
rosse,rosse,22
là,là,60
n',ne,60
est,être,17
pas,pas,60
encore,encore,60
rentrée,rentrer,12
/…,/…,P
veux,vouloir,17
tu,tu,51
trente,trente,72
sous,sou,21
/?,/?,P
elle,il,51
courut,courir,19
chez,chez,81
l',le,71
épicier,épicier,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
dimanche,dimanche,21
;,;,p
il,il,51
était,être,18
trois,trois,72
heures,heure,22
:,:,p
l',le,71
épicier,épicier,21
venait,venir,18
de,de,81
fermer,fermer,14
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
du,de,81
du,le,71
monde,monde,21
chez,chez,81
la,le,71
fruitière,fruitière,22
;,;,p
elle,il,51
demanda,demander,19
quatre,quatre,72
sous,sou,21
d',de,81
herbes,herbe,22
/.,/.,P
-,-,p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
d',de,81
argent,argent,21
",",",",p
dit,dire,19
elle,il,51
/.,/.,P
elle,il,51
espérait,espérer,18
que,que,83
la,le,71
fruitière,fruitière,22
lui,lui,51
dirait,dire,16
:,:,p
en,en,52
voulez,vouloir,17
vous,vous,51
/?,/?,P
la,le,71
fruitière,fruitière,22
lui,lui,51
dit,dire,19
:,:,p
en,en,52
voilà,voilà,81
un,un,71
genre,genre,21
?,?,p
comme,comme,83
si,si,83
on,on,51
avait,avoir,18
peur,peur,22
/!,/!,P
il,il,51
y,y,52
avait,avoir,18
d',de,81
autres,autre,75
bonnes,bonne,22
:,:,p
elle,il,51
sortit,sortir,19
sans,sans,81
rien,rien,52
dire,dire,14
/.,/.,P
-,-,p
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
pour,pour,81
nous,nous,51
?,?,p
dit,dire,19
elle,il,51
au,à,81
au,le,71
portier,portier,21
/.,/.,P
ah,ah,93
!,!,p
tenez,tenir,17
",",",",p
vous,vous,51
n',ne,60
auriez,avoir,16
pas,pas,60
vingt,vingt,72
francs,franc,21
",",",",p
mon,mon,73
Pipelet,Pipelet,20
",",",",p
ça,ça,52
m',je,51
éviterait,éviter,16
de,de,81
remonter,remonter,14
/.,/.,P
-,-,p
quarante,quarante,72
",",",",p
si,si,83
vous,vous,51
voulez,vouloir,17
/…,/…,P
elle,il,51
respira,respirer,19
/.,/.,P
le,le,71
portier,portier,21
alla,aller,19
dans,dans,81
le,le,71
fond,fond,21
de,de,81
sa,son,73
loge,loge,22
à,à,81
une,un,71
armoire,armoire,22
/.,/.,P
-,-,p
ah,ah,93
!,!,p
sapristi,sapristi,93
!,!,p
ma,mon,73
femme,femme,22
a,avoir,17
pris,prendre,12
la,le,71
clef,clé,22
/…,/…,P
tiens,tenir,17
!,!,p
comme,comme,83
vous,vous,51
êtes,être,17
pâle,pâle,30
!,!,p
/…,/…,P
-,-,p
ce,ce,52
n',ne,60
est,être,17
rien,rien,52
/…,/…,P
et,et,82
elle,il,51
s',se,51
enfuit,enfuir,17
dans,dans,81
la,le,71
cour,cour,22
vers,vers,81
la,le,71
porte,porte,22
de,de,81
l',le,71
escalier,escalier,21
de,de,81
service,service,21
/.,/.,P
en,en,81
remontant,remonter,13
",",",",p
voici,voici,81
ce,ce,52
qu',que,52
elle,il,51
pensait,penser,18
:,:,p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
gens,gens,21
qui,qui,52
trouvent,trouver,17
des,de,81
des,le,71
pièces,pièce,22
de,de,81
vingt,vingt,72
francs,franc,21
/…,/…,P
c',ce,52
est,être,17
aujourd'hui,aujourd'hui,60
qu',que,83
il,il,51
en,en,52
a,avoir,17
besoin,besoin,21
",",",",p
il,il,51
me,je,51
l',le,52
a,avoir,17
dit,dire,12
/…,/…,P
mademoiselle,mademoiselle,22
m',je,51
a,avoir,17
donné,donner,12
mon,mon,73
argent,argent,21
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
cinq,cinq,72
jours,jour,21
",",",",p
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
lui,lui,51
demander,demander,14
/…,/…,P
après,après,81
ça,ça,52
",",",",p
vingt,vingt,72
francs,franc,21
de,de,81
plus,plus,60
ou,ou,82
de,de,81
moins,moins,60
",",",",p
pour,pour,81
elle,il,51
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
?,?,p
/…,/…,P
l',le,71
épicier,épicier,21
me,je,51
les,le,52
aurait,avoir,16
prêtés,prêter,12
",",",",p
bien,bien,60
sûr,sûr,30
/…,/…,P
j',je,51
en,en,52
ai,avoir,17
eu,avoir,12
un,un,71
autre,autre,75
rue,rue,22
Taitbout,Taitbout,20
;,;,p
il,il,51
ne,ne,60
fermait,fermer,18
que,que,83
le,le,71
soir,soir,21
",",",",p
le,le,71
dimanche,dimanche,21
",",",",p
celui-là,celui-là,52
/…,/…,P
elle,il,51
était,être,18
à,à,81
son,son,73
étage,étage,21
devant,devant,81
sa,son,73
porte,porte,22
/.,/.,P
elle,il,51
se,se,51
pencha,pencher,19
sur,sur,81
la,le,71
rampe,rampe,22
de,de,81
l',le,71
escalier,escalier,21
des,de,81
des,le,71
maîtres,maître,21
",",",",p
regarda,regarder,19
si,si,83
personne,personne,52
ne,ne,60
montait,monter,18
",",",",p
entra,entrer,19
",",",",p
alla,aller,19
droit,droit,60
à,à,81
la,le,71
chambre,chambre,22
de,de,81
mademoiselle,mademoiselle,22
",",",",p
ouvrit,ouvrir,19
la,le,71
fenêtre,fenêtre,22
",",",",p
respira,respirer,19
largement,largement,60
",",",",p
les,le,71
deux,deux,72
coudes,coude,21
sur,sur,81
le,le,71
barreau,barreau,21
d',de,81
appui,appui,21
/.,/.,P
des,de,81
des,le,71
moineaux,moineau,21
accoururent,accourir,19
des,de,81
des,le,71
cheminées,cheminée,22
d',de,81
alentour,alentour,21
",",",",p
croyant,croire,13
qu',que,83
elle,il,51
allait,aller,18
leur,leur,52
jeter,jeter,14
du,de,81
du,le,71
pain,pain,21
/.,/.,P
elle,il,51
ferma,fermer,19
la,le,71
fenêtre,fenêtre,22
et,et,82
regarda,regarder,19
dans,dans,81
la,le,71
chambre,chambre,22
sur,sur,81
le,le,71
dessus,dessus,21
de,de,81
la,le,71
commode,commode,22
",",",",p
d'abord,d'abord,60
une,un,71
veine,veine,22
de,de,81
marbre,marbre,21
",",",",p
puis,puis,60
une,un,71
petite,petit,30
cassette,cassette,22
de,de,81
bois,bois,21
des,de,81
des,le,71
îles,île,22
",",",",p
puis,puis,60
la,le,71
clef,clé,22
",",",",p
une,un,71
petite,petit,30
clef,clé,22
d',de,81
acier,acier,21
oubliée,oublié,31
dans,dans,81
la,le,71
serrure,serrure,22
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
ses,son,73
oreilles,oreille,22
tintèrent,tinter,19
",",",",p
elle,il,51
crut,croire,19
qu',que,83
on,on,51
sonnait,sonner,18
/.,/.,P
elle,il,51
alla,aller,19
ouvrir,ouvrir,14
:,:,p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
personne,personne,52
/.,/.,P
elle,il,51
revint,revenir,19
avec,avec,81
le,le,71
sentiment,sentiment,21
d',de,81
être,être,14
seule,seul,30
",",",",p
alla,aller,19
prendre,prendre,14
un,un,71
torchon,torchon,21
à,à,81
la,le,71
cuisine,cuisine,22
et,et,82
se,se,51
mit,mettre,19
à,à,81
frotter,frotter,14
l',le,71
acajou,acajou,21
d',de,81
un,un,71
fauteuil,fauteuil,21
en,en,81
tournant,tourner,13
le,le,71
dos,dos,21
à,à,81
la,le,71
commode,commode,22
;,;,p
mais,mais,82
elle,il,51
voyait,voir,18
toujours,toujours,60
la,le,71
cassette,cassette,22
",",",",p
elle,il,51
la,le,52
voyait,voir,18
ouverte,ouvert,31
",",",",p
elle,il,51
voyait,voir,18
le,le,71
coin,coin,21
à,à,81
droite,droite,22
où,où,60
mademoiselle,mademoiselle,22
mettait,mettre,18
son,son,73
or,or,21
",",",",p
les,le,71
petits,petit,30
papiers,papier,21
dans,dans,81
lesquels,lequel,52
elle,il,51
l',le,71
empapillottait,empapillottait,92
cent,cent,72
francs,franc,21
par,par,81
cent,cent,72
francs,franc,21
;,;,p
ses,son,73
vingt,vingt,72
francs,franc,21
étaient,être,18
là,là,60
!,!,p
/.,/.,P
elle,il,51
fermait,fermer,18
les,le,71
yeux,oeil,21
comme,comme,83
à,à,81
un,un,71
éblouissement,éblouissement,21
/.,/.,P
elle,il,51
sentait,sentir,18
le,le,71
vertige,vertige,21
dans,dans,81
sa,son,73
conscience,conscience,22
;,;,p
mais,mais,82
aussitôt,aussitôt,60
elle,il,51
se,se,51
soulevait,soulever,18
tout,tout,60
entière,entier,30
contre,contre,81
elle-même,lui-même,51
",",",",p
et,et,82
il,il,51
lui,lui,51
semblait,sembler,18
que,que,83
son,son,73
coeur,coeur,21
indigné,indigné,31
lui,lui,51
remontait,remonter,18
dans,dans,81
a,avoir,17
poitrine,poitrine,22
/.,/.,P
en,en,81
un,un,71
moment,moment,21
",",",",p
l',le,71
honneur,honneur,21
de,de,81
toute,tout,75
sa,son,73
vie,vie,22
s',se,51
était,être,18
dressé,dresser,12
entre,entre,81
sa,son,73
main,main,22
et,et,82
cette,ce,74
clef,clé,22
/.,/.,P
son,son,73
passé,passé,21
de,de,81
probité,probité,22
",",",",p
de,de,81
désintéressement,désintéressement,21
",",",",p
de,de,81
dévouement,dévouement,21
",",",",p
vingt,vingt,72
ans,an,21
de,de,81
résistance,résistance,22
aux,à,81
aux,le,71
mauvais,mauvais,30
conseils,conseil,21
et,et,82
à,à,81
la,le,71
corruption,corruption,22
de,de,81
ce,ce,74
quartier,quartier,21
pourri,pourri,31
",",",",p
vingt,vingt,72
ans,an,21
de,de,81
mépris,mépris,21
pour,pour,81
le,le,71
vol,vol,21
",",",",p
vingt,vingt,72
ans,an,21
où,où,60
sa,son,73
poche,poche,22
n',ne,60
avait,avoir,18
pas,pas,60
eu,avoir,12
un,un,71
liard,liard,21
à,à,81
ses,son,73
maîtres,maître,21
",",",",p
vingt,vingt,72
ans,an,21
d',de,81
indifférence,indifférence,22
au,à,81
au,le,71
lucre,lucre,21
",",",",p
vingt,vingt,72
ans,an,21
où,où,60
la,le,71
tentation,tentation,22
n',ne,60
avait,avoir,18
pas,pas,60
approché,approcher,12
d',de,81
elle,il,51
",",",",p
sa,son,73
longue,long,30
et,et,82
naturelle,naturel,30
honnêteté,honnêteté,22
",",",",p
la,le,71
confiance,confiance,22
de,de,81
mademoiselle,mademoiselle,22
",",",",p
tout,tout,75
cela,cela,52
lui,lui,51
revint,revenir,19
d',de,81
un,un,71
seul,seul,30
coup,coup,21
/.,/.,P
ses,son,73
jeunes,jeune,30
années,année,22
l',le,52
embrassèrent,embrasser,19
et,et,82
la,le,52
reprirent,reprendre,19
/.,/.,P
de,de,81
sa,son,73
famille,famille,22
même,même,30
",",",",p
du,de,81
du,le,71
souvenir,souvenir,21
de,de,81
ses,son,73
parents,parent,21
",",",",p
de,de,81
la,le,71
mémoire,mémoire,22
pure,pur,30
de,de,81
son,son,73
misérable,misérable,30
nom,nom,21
",",",",p
des,de,81
des,le,71
morts,mort,21
dont,dont,52
elle,il,51
venait,venir,18
",",",",p
il,il,51
se,se,51
leva,lever,19
comme,comme,83
un,un,71
murmure,murmure,21
d',de,81
ombres,ombre,22
gardiennes,gardienne,22
autour,autour,60
d',de,81
elle,il,51
/…,/…,P
une,un,71
seconde,seconde,22
elle,il,51
fut,être,19
sauvée,sauver,12
/.,/.,P
puis,puis,60
insensiblement,insensiblement,60
",",",",p
de,de,81
mauvaises,mauvais,30
idées,idée,22
se,se,51
glissèrent,glisser,19
une,un,52
à,à,81
une,un,52
dans,dans,81
sa,son,73
tête,tête,22
/.,/.,P
elle,il,51
se,se,51
chercha,chercher,19
des,de,81
des,le,71
sujets,sujet,21
d',de,81
amertume,amertume,22
",",",",p
des,de,81
des,le,71
raisons,raison,22
d',de,81
ingratitude,ingratitude,22
contre,contre,81
sa,son,73
maîtresse,maîtresse,22
/.,/.,P
elle,il,51
compara,comparer,19
à,à,81
ses,son,73
gages,gage,21
le,le,71
chiffre,chiffre,21
des,de,81
des,le,71
gages,gage,21
dont,dont,52
se,se,51
vantaient,vanter,18
par,par,81
vanité,vanité,22
les,le,71
autres,autre,75
bonnes,bonne,22
de,de,81
la,le,71
maison,maison,22
/.,/.,P
elle,il,51
trouva,trouver,19
que,que,83
mademoiselle,mademoiselle,22
était,être,18
bienheureuse,bienheureux,30
",",",",p
qu',que,83
elle,il,51
aurait,avoir,16
dû,devoir,12
l',le,52
augmenter,augmenter,14
davantage,davantage,60
depuis,depuis,81
qu',que,83
elle,il,51
était,être,18
chez,chez,81
elle,il,51
/.,/.,P
et,et,82
puis,puis,60
pourquoi,pourquoi,60
",",",",p
se,se,51
demanda,demander,19
t,t,94
elle,il,51
tout,tout,60
à,à,81
coup,coup,21
",",",",p
laisse,laisser,17
t,t,94
elle,il,51
la,le,71
clef,clé,22
à,à,81
sa,son,73
cassette,cassette,22
/?,/?,P
et,et,82
elle,il,51
se,se,51
mit,mettre,19
à,à,81
penser,penser,14
que,que,83
cet,ce,74
argent,argent,21
qui,qui,52
était,être,18
là,là,60
n',ne,60
était,être,18
pas,pas,60
de,de,81
l',le,71
argent,argent,21
pour,pour,81
vivre,vivre,14
",",",",p
mais,mais,82
des,de,81
des,le,71
économies,économie,22
de,de,81
mademoiselle,mademoiselle,22
pour,pour,81
acheter,acheter,14
une,un,71
robe,robe,22
de,de,81
velours,velours,21
à,à,81
une,un,71
filleule,filleule,22
;,;,p
de,de,81
l',le,71
argent,argent,21
qui,qui,52
dormait,dormir,18
…,…,p
se,se,51
dit,dire,17
elle,il,51
encore,encore,60
/.,/.,P
elle,il,51
précipitait,précipiter,18
ses,son,73
raisons,raison,22
comme,comme,83
pour,pour,81
s',se,51
empêcher,empêcher,14
de,de,81
discuter,discuter,14
ses,son,73
excuses,excuse,22
/.,/.,P
et,et,82
puis,puis,60
",",",",p
c',ce,52
est,être,17
pour,pour,81
une,un,71
fois,fois,22
/…,/…,P
elle,il,51
me,je,51
les,le,52
prêterait,prêter,16
",",",",p
si,si,83
je,je,51
lui,lui,51
demandais,demander,18
/…,/…,P
et,et,82
je,je,51
les,le,52
lui,lui,51
rendrai,rendre,15
/…,/…,P
elle,il,51
avança,avancer,19
la,le,71
main,main,22
",",",",p
elle,il,51
fit,faire,19
tourner,tourner,14
la,le,71
clef,clé,22
/…,/…,P
elle,il,51
s',se,51
arrêta,arrêter,19
;,;,p
il,il,51
lui,lui,51
sembla,sembler,19
que,que,83
le,le,71
grand,grand,30
silence,silence,21
qui,qui,52
était,être,18
autour,autour,60
d',de,81
elle,il,51
la,le,52
regardait,regarder,18
et,et,82
l',le,52
écoutait,écouter,18
/.,/.,P
elle,il,51
leva,lever,19
les,le,71
yeux,oeil,21
:,:,p
la,le,71
glace,glace,22
lui,lui,51
jeta,jeter,19
son,son,73
visage,visage,21
/.,/.,P
devant,devant,81
cette,ce,74
figure,figure,22
qui,qui,52
était,être,18
la,le,71
sienne,sien,52
",",",",p
elle,il,51
eut,avoir,19
peur,peur,22
;,;,p
elle,il,51
recula,reculer,19
d',de,81
épouvante,épouvante,22
et,et,82
de,de,81
honte,honte,22
comme,comme,83
devant,devant,81
la,le,71
face,face,22
de,de,81
son,son,73
crime,crime,21
:,:,p
c',ce,52
était,être,18
la,le,71
tête,tête,22
d',de,81
une,un,71
voleuse,voleuse,22
qu',que,52
elle,il,51
avait,avoir,18
sur,sur,81
les,le,71
épaules,épaule,22
/!,/!,P
elle,il,51
s',se,51
était,être,18
sauvée,sauver,12
dans,dans,81
le,le,71
corridor,corridor,21
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
elle,il,51
tourna,tourner,19
sur,sur,81
ses,son,73
talons,talon,21
",",",",p
alla,aller,19
droit,droit,60
à,à,81
la,le,71
cassette,cassette,22
",",",",p
donna,donner,19
un,un,71
tour,tour,21
de,de,81
clef,clé,22
",",",",p
jeta,jeter,19
la,le,71
main,main,22
",",",",p
fouilla,fouiller,19
sous,sous,81
des,de,81
des,le,71
médaillons,médaillon,21
de,de,81
cheveux,cheveu,21
et,et,82
des,de,81
des,le,71
bijoux,bijou,21
de,de,81
souvenir,souvenir,21
",",",",p
prit,prendre,19
une,un,71
pièce,pièce,22
à tâtons,à tâtons,60
dans,dans,81
un,un,71
rouleau,rouleau,21
de,de,81
cinq,cinq,72
louis,louis,21
",",",",p
ferma,fermer,19
la,le,71
cassette,cassette,22
et,et,82
s',se,51
enfuit,enfuir,17
dans,dans,81
la,le,71
cuisine,cuisine,22
/…,/…,P
elle,il,51
tenait,tenir,18
la,le,71
petite,petit,30
pièce,pièce,22
dans,dans,81
sa,son,73
main,main,22
et,et,82
n',ne,60
osait,oser,18
la,le,52
regarder,regarder,14
/.,/.,P
<XXXIX.>,<>,<>
ce,ce,52
fut,être,19
alors,alors,60
que,que,83
les,le,71
abaissements,abaissement,21
",",",",p
les,le,71
dégradations,dégradation,22
de,de,81
Germinie,Germinie,20
commencèrent,commencer,19
à,à,81
paraître,paraître,14
dans,dans,81
toute,tout,75
sa,son,73
personne,personne,22
",",",",p
à,à,81
l',le,52
hébéter,hébéter,14
",",",",p
à,à,81
la,le,52
salir,salir,14
/.,/.,P
une,un,71
sorte,sorte,22
de,de,81
sommeil,sommeil,21
gagna,gagner,19
ses,son,73
idées,idée,22
/.,/.,P
elle,il,51
ne,ne,60
fut,être,19
plus,plus,60
vive,vif,30
",",",",p
ni,ni,82
prompte,prompt,30
à,à,81
penser,penser,14
/.,/.,P
ce,ce,52
qu',que,52
elle,il,51
avait,avoir,18
lu,lire,12
",",",",p
ce,ce,52
qu',que,52
elle,il,51
avait,avoir,18
appris,apprendre,12
parut,paraître,19
s',se,51
échapper,échapper,14
d',de,81
elle,il,51
/.,/.,P
sa,son,73
mémoire,mémoire,22
",",",",p
qui,qui,52
retenait,retenir,18
tout,tout,52
",",",",p
devint,devenir,19
confuse,confus,30
et,et,82
oublieuse,oublieux,30
/.,/.,P
l',le,71
esprit,esprit,21
de,de,81
la,le,71
bonne,bonne,22
de,de,81
Paris,Paris,20
s',se,51
en,en,52
alla,aller,19
peu,peu,60
à,à,81
peu,peu,60
de,de,81
sa,son,73
conversation,conversation,22
",",",",p
de,de,81
ses,son,73
réponses,réponse,22
",",",",p
de,de,81
son,son,73
rire,rire,21
/.,/.,P
sa,son,73
physionomie,physionomie,22
",",",",p
