11402
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dix-neuvième extrait>,<>,<>
",",",",p
parbleu,parbleu,93
!,!,p
messieurs,monsieur,21
",",",",p
vous,vous,51
porterez,porter,15
de,de,81
mes,mon,73
marques,marque,22
",",",",p
je,je,51
frapperai,frapper,15
à,à,81
la,le,71
figure,figure,22
",",",",p
comme,comme,83
les,le,71
soldats,soldat,21
de,de,81
César,César,20
à,à,81
Pharsale,Pharsale,20
/…,/…,P
quant,quand,83
aux,à,81
aux,le,71
lettres,lettre,22
",",",",p
je,je,51
puis,pouvoir,17
les,le,52
mettre,mettre,14
en,en,81
lieu,lieu,21
sûr,sûr,30
/.,/.,P
Julien,Julien,20
fit,faire,19
des,de,81
des,le,71
copies,copie,22
des,de,81
des,le,71
deux,deux,72
dernières,dernière,22
",",",",p
les,le,52
cacha,cacher,19
dans,dans,81
un,un,71
volume,volume,21
du,de,81
du,le,71
beau,beau,30
Voltaire,Voltaire,20
de,de,81
la,le,71
bibliothèque,bibliothèque,22
",",",",p
et,et,82
porta,porter,19
lui-même,lui-même,51
les,le,71
originaux,original,30
à,à,81
la,le,71
poste,poste,22
/.,/.,P
quand,quand,83
il,il,51
fut,être,19
de,de,81
retour,retour,21
:,:,p
dans,dans,81
quelle,quel,75
folie,folie,22
je,je,51
vais,aller,17
me,je,51
jeter,jeter,14
!,!,p
se,se,51
dit,dire,19
il,il,51
avec,avec,81
surprise,surprise,22
et,et,82
terreur,terreur,22
/.,/.,P
il,il,51
avait,avoir,18
été,être,12
un,un,71
quart,quart,21
d',de,81
heure,heure,22
sans,sans,81
regarder,regarder,14
en,en,81
face,face,22
son,son,73
action,action,22
de,de,81
la,le,71
nuit,nuit,22
prochaine,prochain,30
/.,/.,P
mais,mais,82
",",",",p
si,si,83
je,je,51
refuse,refuser,17
",",",",p
je,je,51
me,je,51
méprise,mépriser,17
moi-même,moi-même,51
dans,dans,81
la,le,71
suite,suite,22
/!,/!,P
toute,tout,75
la,le,71
vie,vie,22
cette,ce,74
action,action,22
sera,être,15
un,un,71
grand,grand,30
sujet,sujet,21
de,de,81
doute,doute,21
pour,pour,81
moi,moi,51
et,et,82
",",",",p
pour,pour,81
moi,moi,51
",",",",p
un,un,71
tel,tel,75
doute,doute,21
est,être,17
le,le,71
plus,plus,60
cuisant,cuisant,30
des,de,81
des,le,71
malheurs,malheur,21
/.,/.,P
ne,ne,60
l',le,52
ai,avoir,17
je,je,51
pas,pas,60
éprouvé,éprouver,12
pour,pour,81
l',le,71
amant,amant,21
d',de,81
Amanda,Amanda,20
/!,/!,P
je,je,51
crois,croire,17
que,que,83
je,je,51
me,je,51
pardonnerais,pardonner,16
plus,plus,60
aisément,aisément,60
un,un,71
crime,crime,21
bien,bien,60
clair,clair,30
;,;,p
une,un,71
fois,fois,22
avoué,avoué,31
",",",",p
je,je,51
cesserais,cesser,16
d',de,81
y,y,52
penser,penser,14
/.,/.,P
quoi,quoi,52
!,!,p
j',je,51
aurai,avoir,15
été,être,12
en,en,81
rivalité,rivalité,22
avec,avec,81
un,un,71
homme,homme,21
portant,porter,13
un,un,52
des,de,81
des,le,71
plus,plus,60
beaux,beau,30
noms,nom,21
de,de,81
France,France,20
",",",",p
et,et,82
je,je,51
me,je,51
serai,être,16
moi-même,moi-même,51
",",",",p
de,de,81
gaieté,gaieté,22
de,de,81
coeur,coeur,21
",",",",p
déclaré,déclarer,12
son,son,73
inférieur,inférieur,30
/!,/!,P
au,à,81
au,le,71
fond,fond,21
",",",",p
il,il,51
y,y,52
a,avoir,17
de,de,81
la,le,71
lâcheté,lâcheté,22
à,à,81
ne,ne,60
pas,pas,60
aller,aller,14
/.,/.,P
ce,ce,74
mot,mot,21
décide,décider,17
tout,tout,52
",",",",p
s',se,51
écria,écrier,19
Julien,Julien,20
en,en,81
se,se,51
levant,lever,13
…,…,p
d',de,81
ailleurs,ailleurs,60
elle,il,51
est,être,17
bien,bien,60
jolie,joli,30
/.,/.,P
si,si,83
ceci,ceci,52
n',ne,60
est,être,17
pas,pas,60
une,un,71
trahison,trahison,22
",",",",p
quelle,quel,75
folie,folie,22
elle,il,51
fait,faire,17
pour,pour,81
moi,moi,51
!,!,p
/…,/…,P
si,si,83
c',ce,52
est,être,17
une,un,71
mystification,mystification,22
",",",",p
parbleu,parbleu,93
!,!,p
messieurs,monsieur,21
",",",",p
il,il,51
ne,ne,60
tient,tenir,17
qu',que,83
à,à,81
moi,moi,51
de,de,81
rendre,rendre,14
la,le,71
plaisanterie,plaisanterie,22
sérieuse,sérieux,30
",",",",p
et,et,82
ainsi,ainsi,60
ferai,faire,15
je,je,51
/.,/.,P
mais,mais,82
s',si,83
ils,ils,51
m',je,51
attachent,attacher,17
les,le,71
bras,bras,21
au,à,81
au,le,71
moment,moment,21
de,de,81
l',le,71
entrée,entrée,22
dans,dans,81
la,le,71
chambre,chambre,22
;,;,p
ils,ils,51
peuvent,pouvoir,17
avoir,avoir,14
placé,placer,12
quelque,quelque,75
machine,machine,22
ingénieuse,ingénieux,30
/!,/!,P
c',ce,52
est,être,17
comme,comme,83
un,un,71
duel,duel,21
",",",",p
se,se,51
dit,dire,19
il,il,51
en,en,81
riant,rire,13
",",",",p
il,il,51
y,y,52
a,avoir,17
parade,parade,22
à,à,81
tout,tout,52
",",",",p
dit,dire,12
mon,mon,73
maître,maître,21
d',de,81
armes,arme,22
",",",",p
mais,mais,82
le,le,71
bon,bon,30
dieu,dieu,21
",",",",p
qui,qui,52
veut,vouloir,17
qu',que,83
on,on,51
en,en,52
finisse,finir,17
",",",",p
fait,faire,12
que,que,83
l',le,71
un,un,52
des,de,81
des,le,71
deux,deux,72
oublie,oublier,17
de,de,81
parer,parer,14
/.,/.,P
du,de,81
du,le,71
reste,reste,21
",",",",p
voici,voici,81
de,de,81
quoi,quoi,52
leur,leur,52
répondre,répondre,14
:,:,p
il,il,51
tirait,tirer,18
ses,son,73
pistolets,pistolet,21
de,de,81
poche,poche,22
;,;,p
et,et,82
quoique,quoique,83
l',le,71
amorce,amorce,22
fût,être,19
fulminante,fulminant,30
",",",",p
il,il,51
la,le,52
renouvela,renouveler,19
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
encore,encore,60
bien,bien,60
des,de,81
des,le,71
heures,heure,22
à,à,81
attendre,attendre,14
;,;,p
pour,pour,81
faire,faire,14
quelque,quelque,75
chose,chose,22
",",",",p
Julien,Julien,20
écrivit,écrire,19
à,à,81
Fouqué,Fouqué,20
:,:,p
“,“,p
mon,mon,73
ami,ami,21
",",",",p
n',ne,60
ouvre,ouvrir,17
la,le,71
lettre,lettre,22
ci,ci,60
incluse,inclus,31
qu',que,83
en,en,81
cas,cas,21
d',de,81
accident,accident,21
",",",",p
si,si,83
tu,tu,51
entends,entendre,17
dire,dire,14
que,que,83
quelque,quelque,75
chose,chose,22
d',de,81
étrange,étrange,30
m',je,51
est,être,17
arrivé,arriver,12
/.,/.,P
alors,alors,60
",",",",p
efface,effacer,17
les,le,71
noms,nom,21
propres,propre,30
du,de,81
du,le,71
manuscrit,manuscrit,21
que,que,52
je,je,51
t',tu,51
envoie,envoyer,17
",",",",p
et,et,82
fais,faire,17
en,en,52
huit,huit,72
copies,copie,22
que,que,83
tu,tu,51
enverras,envoyer,15
aux,à,81
aux,le,71
journaux,journal,21
de,de,81
Marseille,Marseille,20
",",",",p
Bordeaux,Bordeaux,20
",",",",p
Lyon,Lyon,20
",",",",p
Bruxelles,Bruxelles,20
",",",",p
etc,et cetera,91
;,;,p
dix,dix,72
jours,jour,21
plus,plus,60
tard,tard,60
",",",",p
fais,faire,17
imprimer,imprimer,14
ce,ce,74
manuscrit,manuscrit,21
",",",",p
envoie,envoyer,17
le,le,71
premier,premier,72
exemplaire,exemplaire,21
à,à,81
monsieur,monsieur,21
le,le,71
marquis,marquis,21
de,de,81
La Mole,La Mole,20
;,;,p
et,et,82
quinze,quinze,72
jours,jour,21
après,après,81
",",",",p
jette,jeter,17
les,le,71
autres,autre,75
exemplaires,exemplaire,21
de,de,81
nuit,nuit,22
dans,dans,81
les,le,71
rues,rue,22
de,de,81
Verrières,Verrières,20
/.,/.,P
“,“,p
ce,ce,74
petit,petit,30
mémoire,mémoire,21
justificatif,justificatif,30
arrangé,arrangé,31
en,en,81
forme,forme,22
de,de,81
conte,conte,21
",",",",p
que,que,52
Fouqué,Fouqué,20
ne,ne,60
devait,devoir,18
ouvrir,ouvrir,14
qu',que,83
en,en,81
cas,cas,21
d',de,81
accident,accident,21
",",",",p
Julien,Julien,20
le,le,52
fit,faire,19
aussi,aussi,60
peu,peu,60
compromettant,compromettre,13
que,que,83
possible,possible,30
pour,pour,81
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
",",",",p
mais,mais,82
enfin,enfin,60
il,il,51
peignait,peindre,18
fort,fort,60
exactement,exactement,60
sa,son,73
position,position,22
/.,/.,P
Julien,Julien,20
achevait,achever,18
de,de,81
fermer,fermer,14
son,son,73
paquet,paquet,21
",",",",p
lorsque,lorsque,83
la,le,71
cloche,cloche,22
du,de,81
du,le,71
dîner,dîner,21
sonna,sonner,19
;,;,p
elle,il,51
fit,faire,19
battre,battre,14
son,son,73
coeur,coeur,21
/.,/.,P
son,son,73
imagination,imagination,22
",",",",p
préoccupée,préoccupé,31
du,de,81
du,le,71
récit,récit,21
qu',que,52
il,il,51
venait,venir,18
de,de,81
composer,composer,14
",",",",p
était,être,18
toute,tout,52
aux,à,81
aux,le,71
pressentiments,pressentiment,21
tragiques,tragique,30
/.,/.,P
il,il,51
s',se,51
était,être,18
vu,voir,12
saisi,saisi,31
par,par,81
des,de,81
des,le,71
domestiques,domestique,21
",",",",p
garrotté,garrotté,31
",",",",p
conduit,conduit,31
dans,dans,81
une,un,71
cave,cave,22
avec,avec,81
un,un,71
bâillon,bâillon,21
dans,dans,81
la,le,71
bouche,bouche,22
/.,/.,P
là,là,60
",",",",p
un,un,71
domestique,domestique,21
le,le,52
gardait,garder,18
à,à,81
vue,vue,22
",",",",p
et,et,82
si,si,83
l',le,71
honneur,honneur,21
de,de,81
la,le,71
noble,noble,30
famille,famille,22
exigeait,exiger,18
que,que,83
l',le,71
aventure,aventure,22
eût,avoir,19
une,un,71
fin,fin,22
tragique,tragique,30
",",",",p
il,il,51
était,être,18
facile,facile,30
de,de,81
tout,tout,52
finir,finir,14
avec,avec,81
ces,ce,74
poisons,poison,21
qui,qui,52
ne,ne,60
laissent,laisser,17
point,point,60
de,de,81
traces,trace,22
;,;,p
alors,alors,60
",",",",p
on,on,51
disait,dire,18
qu',que,83
il,il,51
était,être,18
mort,mourir,12
de,de,81
maladie,maladie,22
",",",",p
et,et,82
on,on,51
le,le,52
transportait,transporter,18
mort,mort,31
dans,dans,81
sa,son,73
chambre,chambre,22
/.,/.,P
ému,ému,31
de,de,81
son,son,21
propre,propre,30
conte,conter,17
comme,comme,83
un,un,71
auteur,auteur,21
dramatique,dramatique,30
",",",",p
Julien,Julien,20
avait,avoir,18
réellement,réellement,60
peur,peur,22
lorsqu',lorsque,83
il,il,51
entra,entrer,19
dans,dans,81
la,le,71
salle,salle,22
à,à,81
manger,manger,14
/.,/.,P
il,il,51
regardait,regarder,18
tous,tout,75
ces,ce,74
domestiques,domestique,21
en,en,81
grande,grand,30
livrée,livrée,22
/.,/.,P
il,il,51
étudiait,étudier,18
leur,leur,73
physionomie,physionomie,22
/.,/.,P
quels,quel,52
sont,être,17
ceux,celui,52
qu',que,52
on,on,51
a,avoir,17
choisis,choisir,12
pour,pour,81
l',le,71
expédition,expédition,22
de,de,81
cette,ce,74
nuit,nuit,22
?,?,p
se,se,51
disait,dire,18
il,il,51
/.,/.,P
dans,dans,81
cette,ce,74
famille,famille,22
",",",",p
les,le,71
souvenirs,souvenir,21
de,de,81
la,le,71
cour,cour,22
de,de,81
Henri III,Henri III,20
sont,être,17
si,si,60
présents,présent,30
",",",",p
si,si,60
souvent,souvent,60
rappelés,rappeler,12
",",",",p
que,que,83
",",",",p
se,se,51
croyant,croire,13
outragés,outrager,12
",",",",p
ils,ils,51
auront,avoir,15
plus,plus,60
de,de,81
décision,décision,22
que,que,83
les,le,71
autres,autre,75
personnages,personnage,21
de,de,81
leur,leur,73
rang,rang,21
/.,/.,P
il,il,51
regarda,regarder,19
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
pour,pour,81
lire,lire,14
dans,dans,81
ses,son,73
yeux,oeil,21
les,le,71
projets,projet,21
de,de,81
sa,son,73
famille,famille,22
;,;,p
elle,il,51
était,être,18
pâle,pâle,30
",",",",p
et,et,82
avait,avoir,18
tout,tout,60
à,à,81
fait,fait,21
une,un,71
physionomie,physionomie,22
du,de,81
du,le,71
moyen,moyen,30
âge,âge,21
/.,/.,P
jamais,jamais,60
il,il,51
ne,ne,60
lui,lui,51
avait,avoir,18
trouvé,trouver,12
l',le,71
air,air,21
si,si,60
grand,grand,30
",",",",p
elle,il,51
était,être,18
vraiment,vraiment,60
belle,beau,30
et,et,82
imposante,imposant,30
/.,/.,P
il,il,51
en,en,52
devint,devenir,19
presque,presque,60
amoureux,amoureux,30
/.,/.,P
pallida,pallida,92
morte,morte,92
futura,futura,92
",",",",p
se,se,51
dit,dire,19
il,il,51
(,(,p
sa,son,73
pâleur,pâleur,22
annonce,annoncer,17
ses,son,73
grands,grand,30
desseins,dessein,21
),),p
/.,/.,P
en,en,81
vain,vain,30
",",",",p
après,après,81
dîner,dîner,21
",",",",p
il,il,51
affecta,affecter,19
de,de,81
se,se,51
promener,promener,14
longtemps,longtemps,60
dans,dans,81
le,le,71
jardin,jardin,21
",",",",p
mademoiselle,mademoiselle,22
de,de,81
La Mole,La Mole,20
n',ne,60
y,y,52
parut,paraître,19
pas,pas,60
/.,/.,P
lui,lui,51
parler,parler,14
eût,avoir,19
",",",",p
dans,dans,81
ce,ce,74
moment,moment,21
",",",",p
délivré,délivrer,12
son,son,73
coeur,coeur,21
d',de,81
un,un,71
grand,grand,30
poids,poids,21
/.,/.,P
pourquoi,pourquoi,60
ne,ne,60
pas,pas,60
l',le,52
avouer,avouer,14
/?,/?,P
il,il,51
avait,avoir,18
peur,peur,22
/.,/.,P
comme,comme,83
il,il,51
était,être,18
résolu,résoudre,12
à,à,81
agir,agir,14
",",",",p
il,il,51
s',se,51
abandonnait,abandonner,18
à,à,81
ce,ce,74
sentiment,sentiment,21
sans,sans,81
vergogne,vergogne,22
/.,/.,P
pourvu,pourvu,81
qu',que,83
au,à,81
au,le,71
moment,moment,21
d',de,81
agir,agir,14
",",",",p
je,je,51
me,je,51
trouve,trouver,17
le,le,71
courage,courage,21
qu',que,52
il,il,51
faut,falloir,17
",",",",p
se,se,51
disait,dire,18
il,il,51
",",",",p
qu',que,52
importe,importer,17
ce,ce,52
que,que,52
je,je,51
puis,pouvoir,17
sentir,sentir,14
en,en,81
ce,ce,74
moment,moment,21
/?,/?,P
il,il,51
alla,aller,19
reconnaître,reconnaître,14
la,le,71
situation,situation,22
et,et,82
le,le,71
poids,poids,21
de,de,81
l',le,71
échelle,échelle,22
/.,/.,P
c',ce,52
est,être,17
un,un,71
instrument,instrument,21
",",",",p
se,se,51
dit,dire,19
il,il,51
en,en,81
riant,rire,13
",",",",p
dont,dont,52
il,il,51
est,être,17
dans,dans,81
mon,mon,73
destin,destin,21
de,de,81
me,je,51
servir,servir,14
!,!,p
ici,ici,60
comme,comme,83
à,à,81
Verrières,Verrières,20
/.,/.,P
quelle,quel,75
différence,différence,22
/!,/!,P
alors,alors,60
",",",",p
ajouta,ajouter,19
t,t,94
il,il,51
avec,avec,81
un,un,71
soupir,soupir,21
",",",",p
je,je,51
n',ne,60
étais,être,18
pas,pas,60
obligé,obliger,12
de,de,81
me,je,51
méfier,méfier,14
de,de,81
la,le,71
personne,personne,22
pour,pour,81
laquelle,lequel,52
je,je,51
m',je,51
exposais,exposer,18
/.,/.,P
quelle,quel,75
différence,différence,22
aussi,aussi,60
dans,dans,81
le,le,71
danger,danger,21
/!,/!,P
j',je,51
eusse,avoir,18
été,être,12
tué,tuer,12
dans,dans,81
les,le,71
jardins,jardin,21
de,de,81
monsieur,monsieur,21
de,de,81
Rênal,Rênal,20
qu',que,52
il,il,51
n',ne,60
y,y,52
avait,avoir,18
point,point,60
de,de,81
déshonneur,déshonneur,21
pour,pour,81
moi,moi,51
/.,/.,P
facilement,facilement,60
on,on,51
eût,avoir,19
rendu,rendre,12
ma,mon,73
mort,mort,22
inexplicable,inexplicable,30
/.,/.,P
ici,ici,60
",",",",p
quels,quel,75
récits,récit,21
abominables,abominable,30
ne,ne,60
va,aller,17
t,t,94
on,on,51
pas,pas,60
faire,faire,14
dans,dans,81
les,le,71
salons,salon,21
de,de,81
l',le,71
hôtel,hôtel,21
de,de,81
Chaulnes,Chaulnes,20
",",",",p
de,de,81
l',le,71
hôtel,hôtel,21
de,de,81
Caylus,Caylus,20
",",",",p
de,de,81
l',le,71
hôtel,hôtel,21
de,de,81
Retz,Retz,20
",",",",p
etc,et cetera,91
",",",",p
partout,partout,60
enfin,enfin,60
/.,/.,P
je,je,51
serai,être,16
un,un,71
monstre,monstre,21
dans,dans,81
la,le,71
postérité,postérité,22
/.,/.,P
pendant,pendant,81
deux,deux,72
ou,ou,82
trois,trois,72
ans,an,21
",",",",p
reprit,reprendre,19
il,il,51
en,en,81
riant,rire,13
",",",",p
et,et,82
se,se,51
moquant,moquer,13
de,de,81
soi,soi,51
/.,/.,P
mais,mais,82
cette,ce,74
idée,idée,22
l',le,52
anéantissait,anéantir,18
/.,/.,P
et,et,82
moi,moi,51
",",",",p
où,où,60
pourra,pouvoir,15
t,t,94
on,on,51
me,je,51
justifier,justifier,14
/?,/?,P
en,en,81
supposant,supposer,13
que,que,83
Fouqué,Fouqué,20
imprime,imprimer,17
mon,mon,73
pamphlet,pamphlet,21
posthume,posthume,30
",",",",p
ce,ce,52
ne,ne,60
sera,être,15
qu',que,83
une,un,71
infamie,infamie,22
de,de,81
plus,plus,60
/.,/.,P
quoi,quoi,52
/!,/!,P
je,je,51
suis,être,17
reçu,recevoir,12
dans,dans,81
une,un,71
maison,maison,22
",",",",p
et,et,82
pour,pour,81
prix,prix,21
de,de,81
l',le,71
hospitalité,hospitalité,22
que,que,83
j',je,51
y,y,52
reçois,recevoir,17
",",",",p
des,de,81
des,le,71
bontés,bonté,22
dont,dont,52
on,on,51
m',je,51
y,y,52
accable,accabler,17
",",",",p
j',je,51
imprime,imprimer,17
un,un,71
pamphlet,pamphlet,21
sur,sur,81
ce,ce,52
qui,qui,52
s',se,51
y,y,52
passe,passer,17
!,!,p
j',je,51
attaque,attaquer,17
l',le,71
honneur,honneur,21
des,de,81
des,le,71
femmes,femme,22
/!,/!,P
ah,ah,93
!,!,p
mille,mille,72
fois,fois,22
plutôt,plutôt,60
",",",",p
soyons,être,17
dupes,dupe,30
/!,/!,P
cette,ce,74
soirée,soirée,22
fut,être,19
affreuse,affreux,30
/.,/.,P
une,un,71
heure,heure,22
du,de,81
du,le,71
matin,matin,21
/.,/.,P
ce,ce,74
jardin,jardin,21
était,être,18
fort,fort,60
grand,grand,30
",",",",p
dessiné,dessiné,31
depuis,depuis,81
peu,peu,60
d',de,81
années,année,22
avec,avec,81
un,un,71
goût,goût,21
parfait,parfait,21
/.,/.,P
mais,mais,82
les,le,71
arbres,arbre,21
avaient,avoir,18
figuré,figurer,12
dans,dans,81
le,le,71
fameux,fameux,30
Pré-aux-Clercs,Pré-aux-Clercs,20
",",",",p
si,si,60
célèbre,célèbre,30
du,de,81
du,le,71
temps,temps,21
de,de,81
Henry,Henry,20
III,III,20
",",",",p
ils,ils,51
avaient,avoir,18
plus,plus,60
d',de,81
un,un,71
siècle,siècle,21
/.,/.,P
on,on,51
y,y,52
trouvait,trouver,18
quelque,quelque,75
chose,chose,22
de,de,81
champêtre,champêtre,30
/.,/.,P
Massinger,Massinger,20
/.,/.,P
il,il,51
allait,aller,18
écrire,écrire,14
un,un,71
contre-ordre,contre-ordre,21
à,à,81
Fouqué,Fouqué,20
lorsque,lorsque,83
onze,onze,72
heures,heure,22
sonnèrent,sonner,19
/.,/.,P
il,il,51
fit,faire,19
jouer,jouer,14
avec,avec,81
bruit,bruit,21
la,le,71
serrure,serrure,22
de,de,81
la,le,71
porte,porte,22
de,de,81
sa,son,73
chambre,chambre,22
",",",",p
comme,comme,83
s',si,83
il,il,51
se,se,51
fût,être,19
enfermé,enfermer,12
chez,chez,81
lui,lui,51
/.,/.,P
il,il,51
alla,aller,19
observer,observer,14
à,à,81
pas,pas,21
de,de,81
loup,loup,21
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
dans,dans,81
toute,tout,75
la,le,71
maison,maison,22
",",",",p
surtout,surtout,60
au,à,81
au,le,71
quatrième,quatrième,72
étage,étage,21
",",",",p
habité,habité,31
par,par,81
les,le,71
domestiques,domestique,21
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
rien,rien,52
d',de,81
extraordinaire,extraordinaire,30
/.,/.,P
une,un,52
des,de,81
des,le,71
femmes,femme,22
de,de,81
chambre,chambre,22
de,de,81
madame,madame,22
de,de,81
La Mole,La Mole,20
donnait,donner,18
soirée,soirée,22
",",",",p
les,le,71
domestiques,domestique,21
prenaient,prendre,18
du,de,81
du,le,71
punch,punch,21
fort,fort,60
gaiement,gaiement,60
/.,/.,P
ceux,celui,52
qui,qui,52
rient,rire,17
ainsi,ainsi,60
",",",",p
pensa,penser,19
Julien,Julien,20
",",",",p
ne,ne,60
doivent,devoir,17
pas,pas,60
faire,faire,14
partie,partie,22
de,de,81
l',le,71
expédition,expédition,22
nocturne,nocturne,30
",",",",p
ils,ils,51
seraient,être,16
plus,plus,60
sérieux,sérieux,30
/.,/.,P
enfin,enfin,60
il,il,51
alla,aller,19
se,se,51
placer,placer,14
dans,dans,81
un,un,71
coin,coin,21
obscur,obscur,30
du,de,81
du,le,71
jardin,jardin,21
/.,/.,P
si,si,83
leur,leur,73
plan,plan,21
est,être,17
de,de,81
se,se,51
cacher,cacher,14
des,de,81
des,le,71
domestiques,domestique,21
de,de,81
la,le,71
maison,maison,22
",",",",p
ils,ils,51
feront,faire,15
arriver,arriver,14
par-dessus,par-dessus,60
les,le,71
murs,mur,21
du,de,81
du,le,71
jardin,jardin,21
les,le,71
gens,gens,21
chargés,chargé,31
de,de,81
me,je,51
surprendre,surprendre,14
/.,/.,P
si,si,83
monsieur,monsieur,21
de,de,81
Croisenois,Croisenois,20
porte,porter,17
quelque,quelque,75
sang-froid,sang-froid,21
dans,dans,81
tout,tout,75
ceci,ceci,52
",",",",p
il,il,51
doit,devoir,17
trouver,trouver,14
moins,moins,60
compromettant,compromettant,30
pour,pour,81
la,le,71
jeune,jeune,30
personne,personne,22
qu',que,52
il,il,51
veut,vouloir,17
épouser,épouser,14
de,de,81
me,je,51
faire,faire,14
surprendre,surprendre,14
avant,avant,81
le,le,71
moment,moment,21
où,où,60
je,je,51
serai,être,16
entré,entrer,12
dans,dans,81
sa,son,73
chambre,chambre,22
/.,/.,P
il,il,51
fit,faire,19
une,un,71
reconnaissance,reconnaissance,22
militaire,militaire,30
et,et,82
fort,fort,60
exacte,exact,30
/.,/.,P
il,il,51
s',se,51
agit,agir,17
de,de,81
mon,mon,73
honneur,honneur,21
",",",",p
pensa,penser,19
t,t,94
il,il,51
;,;,p
si,si,83
je,je,51
tombe,tomber,17
dans,dans,81
quelque,quelque,75
bévue,bévue,22
",",",",p
ce,ce,52
ne,ne,60
sera,être,15
pas,pas,60
une,un,71
excuse,excuse,22
à,à,81
mes,mon,73
propres,propre,30
yeux,oeil,21
de,de,81
me,je,51
dire,dire,14
:,:,p
je,je,51
n',ne,60
y,y,52
avais,avoir,18
pas,pas,60
songé,songer,12
/.,/.,P
le,le,71
temps,temps,21
était,être,18
d',de,81
une,un,71
sérénité,sérénité,22
désespérante,désespérant,30
/.,/.,P
vers,vers,81
les,le,71
onze,onze,72
heures,heure,22
la,le,71
lune,lune,22
se,se,51
leva,lever,19
",",",",p
à,à,81
minuit,minuit,21
et,et,82
demi,demi,30
elle,il,51
éclairait,éclairer,18
en,en,81
plein,plein,81
la,le,71
façade,façade,22
de,de,81
l',le,71
hôtel,hôtel,21
donnant,donnant,30
sur,sur,81
le,le,71
jardin,jardin,21
/.,/.,P
elle,il,51
est,être,17
folle,fou,30
",",",",p
se,se,51
disait,dire,18
Julien,Julien,20
;,;,p
comme,comme,83
une,un,71
heure,heure,22
sonna,sonner,19
",",",",p
il,il,51
y,y,52
avait,avoir,18
encore,encore,60
de,de,81
la,le,71
lumière,lumière,22
aux,à,81
aux,le,71
fenêtres,fenêtre,22
du,de,81
du,le,71
comte,comte,21
Norbert,Norbert,20
/.,/.,P
de,de,81
sa,son,73
vie,vie,22
Julien,Julien,20
n',ne,60
avait,avoir,18
eu,avoir,12
autant,autant,60
de,de,81
peur,peur,22
",",",",p
il,il,51
ne,ne,60
voyait,voir,18
que,que,83
les,le,71
dangers,danger,21
de,de,81
l',le,71
entreprise,entreprise,22
",",",",p
et,et,82
n',ne,60
avait,avoir,18
aucun,aucun,75
enthousiasme,enthousiasme,21
/.,/.,P
il,il,51
alla,aller,19
prendre,prendre,14
l',le,71
immense,immense,30
échelle,échelle,22
",",",",p
attendit,attendre,19
cinq,cinq,72
minutes,minute,22
",",",",p
pour,pour,81
laisser,laisser,14
le,le,71
temps,temps,21
à,à,81
un,un,71
contre-ordre,contre-ordre,21
",",",",p
et,et,82
à,à,81
une,un,71
heure,heure,22
cinq,cinq,72
minutes,minute,22
posa,poser,19
l',le,71
échelle,échelle,22
contre,contre,81
la,le,71
fenêtre,fenêtre,22
de,de,81
Mathilde,Mathilde,20
/.,/.,P
il,il,51
monta,monter,19
doucement,doucement,60
le,le,71
pistolet,pistolet,21
à,à,81
la,le,71
main,main,22
",",",",p
étonné,étonné,31
de,de,81
n',ne,60
être,être,14
pas,pas,60
attaqué,attaquer,12
/.,/.,P
comme,comme,83
il,il,51
approchait,approcher,18
de,de,81
la,le,71
fenêtre,fenêtre,22
",",",",p
elle,il,51
s',se,51
ouvrit,ouvrir,19
sans,sans,81
bruit,bruit,21
:,:,p
-,-,p
vous,vous,51
voilà,voilà,81
",",",",p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
Mathilde,Mathilde,20
avec,avec,81
beaucoup,beaucoup,60
d',de,81
émotion,émotion,22
;,;,p
je,je,51
suis,suivre,17
vos,votre,73
mouvements,mouvement,21
depuis,depuis,81
une,un,71
heure,heure,22
/.,/.,P
Julien,Julien,20
était,être,18
fort,fort,60
embarrassé,embarrasser,12
",",",",p
il,il,51
ne,ne,60
savait,savoir,18
comment,comment,60
se,se,51
conduire,conduire,14
",",",",p
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
d',de,81
amour,amour,21
du,de,81
du,le,71
tout,tout,21
/.,/.,P
dans,dans,81
son,son,73
embarras,embarras,21
",",",",p
il,il,51
pensa,penser,19
qu',que,83
il,il,51
fallait,falloir,18
oser,oser,14
",",",",p
il,il,51
essaya,essayer,19
d',de,81
embrasser,embrasser,14
Mathilde,Mathilde,20
/.,/.,P
-,-,p
fi,fi,60
donc,donc,82
!,!,p
lui,lui,51
dit,dire,19
elle,il,51
en,en,81
le,le,52
repoussant,repousser,13
/.,/.,P
fort,fort,60
content,content,30
d',de,81
être,être,14
éconduit,éconduire,12
",",",",p
il,il,51
se,se,51
hâta,hâter,19
de,de,81
jeter,jeter,14
un,un,71
coup,coup,21
d',de,81
oeil,oeil,21
autour,autour,60
de,de,81
lui,lui,51
:,:,p
la,le,71
lune,lune,22
était,être,18
si,si,60
brillante,brillant,30
que,que,83
