11673
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-dixième extrait>,<>,<>
anciens,ancien,21
l',le,52
avaient,avoir,18
forcé,forcer,12
à,à,81
la,le,71
guerre,guerre,22
",",",",p
et,et,82
pour,pour,81
leur,leur,52
montrer,montrer,14
qu',que,83
il,il,51
gardait,garder,18
sa,son,73
parole,parole,22
",",",",p
il,il,51
leur,leur,52
offrait,offrir,18
le,le,71
pillage,pillage,21
d',de,81
Utique,Utique,20
ou,ou,82
celui,celui,52
d',de,81
Hippo-Zaryte,Hippo-Zaryte,20
",",",",p
à,à,81
leur,leur,73
choix,choix,21
;,;,p
Hamilcar,Hamilcar,20
",",",",p
en,en,81
terminant,terminer,13
",",",",p
déclarait,déclarer,18
ne,ne,60
pas,pas,60
les,le,52
craindre,craindre,14
",",",",p
parce qu',parce que,83
il,il,51
avait,avoir,18
gagné,gagner,12
des,de,81
des,le,71
traîtres,traître,21
et,et,82
que,que,83
",",",",p
grâce,grâce,22
à,à,81
ceux-là,celui-là,52
",",",",p
il,il,51
viendrait,venir,16
à,à,81
bout,bout,21
",",",",p
facilement,facilement,60
",",",",p
de,de,81
tous,tout,75
les,le,71
autres,autre,52
/.,/.,P
les,le,71
barbares,barbare,21
furent,être,19
troublés,troubler,12
:,:,p
cette,ce,74
proposition,proposition,22
d',de,81
un,un,71
butin,butin,21
immédiat,immédiat,30
les,le,52
faisait,faire,18
rêver,rêver,14
;,;,p
ils,ils,51
appréhendaient,appréhender,18
une,un,71
trahison,trahison,22
",",",",p
ne,ne,60
soupçonnant,soupçonner,13
point,point,60
un,un,71
piège,piège,21
dans,dans,81
la,le,71
forfanterie,forfanterie,22
du,de,81
du,le,71
Suffète,Suffète,20
",",",",p
et,et,82
ils,ils,51
commencèrent,commencer,19
à,à,81
se,se,51
regarder,regarder,14
les,le,71
uns,un,52
les,le,71
autres,autre,52
avec,avec,81
méfiance,méfiance,22
/.,/.,P
on,on,51
observait,observer,18
les,le,71
paroles,parole,22
",",",",p
les,le,71
démarches,démarche,22
;,;,p
des,de,81
des,le,71
terreurs,terreur,22
les,le,52
réveillaient,réveiller,18
la,le,71
nuit,nuit,22
/.,/.,P
plusieurs,plusieurs,75
abandonnaient,abandonner,18
leurs,leur,73
compagnons,compagnon,21
;,;,p
suivant,suivant,81
sa,son,73
fantaisie,fantaisie,22
on,on,51
choisissait,choisir,18
son,son,73
armée,armée,22
",",",",p
et,et,82
les,le,71
Gaulois,Gaulois,20
avec,avec,81
Autharite,Autharite,20
allèrent,aller,19
se,se,51
joindre,joindre,14
aux,à,81
aux,le,71
hommes,homme,21
de,de,81
la,le,71
Cisalpine,Cisalpine,20
dont,dont,52
ils,ils,51
comprenaient,comprendre,18
la,le,71
langue,langue,22
/.,/.,P
les,le,71
quatre,quatre,72
chefs,chef,21
se,se,51
réunissaient,réunir,18
tous,tout,75
les,le,71
soirs,soir,21
dans,dans,81
la,le,71
tente,tente,22
de,de,81
Mâtho,Mâtho,20
",",",",p
et,et,82
",",",",p
accroupis,accroupi,31
autour,autour,60
d',de,81
un,un,71
bouclier,bouclier,21
",",",",p
ils,ils,51
avançaient,avancer,18
et,et,82
reculaient,reculer,18
attentivement,attentivement,60
les,le,71
petites,petit,30
figurines,figurine,22
de,de,81
bois,bois,21
",",",",p
inventées,inventé,31
par,par,81
Pyrrhus,Pyrrhus,20
pour,pour,81
reproduire,reproduire,14
les,le,71
manoeuvres,manoeuvre,22
/.,/.,P
Spendius,Spendius,20
démontrait,démontrer,18
les,le,71
ressources,ressource,22
d',de,81
Hamilcar,Hamilcar,20
;,;,p
il,il,51
suppliait,supplier,18
de,de,81
ne,ne,60
point,point,60
compromettre,compromettre,14
l',le,71
occasion,occasion,22
et,et,82
jurait,jurer,18
par,par,81
tous,tout,75
les,le,71
dieux,dieu,21
/.,/.,P
Mâtho,Mâtho,20
",",",",p
irrité,irrité,31
",",",",p
marchait,marcher,18
en,en,81
gesticulant,gesticuler,13
/.,/.,P
la,le,71
guerre,guerre,22
contre,contre,81
Carthage,Carthage,20
était,être,18
sa,son,73
chose,chose,22
personnelle,personnel,30
;,;,p
il,il,51
s',se,51
indignait,indigner,18
que,que,83
les,le,71
autres,autre,52
s',se,51
en,en,52
mêlassent,mêler,18
sans,sans,81
vouloir,vouloir,14
lui,lui,51
obéir,obéir,14
/.,/.,P
Autharite,Autharite,20
",",",",p
à,à,81
sa,son,73
figure,figure,22
",",",",p
devinait,deviner,18
ses,son,73
paroles,parole,22
",",",",p
applaudissait,applaudir,18
/.,/.,P
Narr'Havas,Narr'Havas,20
levait,lever,18
le,le,71
menton,menton,21
en,en,81
signe,signe,21
de,de,81
dédain,dédain,21
;,;,p
pas,pas,60
une,un,71
mesure,mesure,22
qu',que,83
il,il,51
ne,ne,60
jugeât,juger,18
funeste,funeste,30
;,;,p
et,et,82
il,il,51
ne,ne,60
souriait,sourire,18
plus,plus,60
/.,/.,P
des,de,81
des,le,71
soupirs,soupir,21
lui,lui,51
échappaient,échapper,18
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
refoulé,refouler,12
la,le,71
douleur,douleur,22
d',de,81
un,un,71
rêve,rêve,21
impossible,impossible,30
",",",",p
le,le,71
désespoir,désespoir,21
d',de,81
une,un,71
entreprise,entreprise,22
manquée,manqué,31
/.,/.,P
pendant,pendant,81
que,que,83
les,le,71
barbares,barbare,30
",",",",p
incertains,incertain,30
",",",",p
délibéraient,délibérer,18
",",",",p
le,le,71
Suffète,Suffète,20
augmentait,augmenter,18
ses,son,73
défenses,défense,22
:,:,p
il,il,51
fit,faire,19
creuser,creuser,14
en deçà,en-deçà,81
des,de,81
des,le,71
palissades,palissade,22
un,un,72
second,second,72
fossé,fossé,21
",",",",p
élever,élever,14
une,un,71
seconde,second,72
muraille,muraille,22
",",",",p
construire,construire,14
aux,à,81
aux,le,71
angles,angle,21
des,de,81
des,le,71
tours,tour,21
de,de,81
bois,bois,21
;,;,p
et,et,82
ses,son,73
esclaves,esclave,21
allaient,aller,18
jusqu',jusque,81
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
avant-postes,avant-poste,21
enfoncer,enfoncer,14
les,le,71
chausse-trapes,chausse-trappe,22
dans,dans,81
la,le,71
terre,terre,22
/.,/.,P
mais,mais,82
les,le,71
éléphants,éléphant,21
",",",",p
dont,dont,52
les,le,71
rations,ration,22
étaient,être,18
diminuées,diminuer,12
",",",",p
se,se,51
débattaient,débattre,18
dans,dans,81
leurs,leur,73
entraves,entrave,22
/.,/.,P
pour,pour,81
ménager,ménager,14
les,le,71
herbes,herbe,22
",",",",p
il,il,51
ordonna,ordonner,19
aux,à,81
aux,le,71
Clinabares,Clinabare,20
de,de,81
tuer,tuer,14
les,le,71
moins,moins,60
robustes,robuste,30
des,de,81
des,le,71
étalons,étalon,21
/.,/.,P
quelques-uns,quelqu'un,52
s',se,51
y,y,52
refusèrent,refuser,19
;,;,p
il,il,51
les,le,52
fit,faire,19
décapiter,décapiter,14
/.,/.,P
on,on,51
mangea,manger,19
les,le,71
chevaux,cheval,21
/.,/.,P
le,le,71
souvenir,souvenir,21
de,de,81
cette,ce,74
viande,viande,22
fraîche,frais,30
",",",",p
les,le,71
jours,jour,21
suivants,suivant,30
",",",",p
fut,être,19
une,un,71
grande,grand,30
tristesse,tristesse,22
/.,/.,P
du,de,81
du,le,71
fond,fond,21
de,de,81
l',le,71
amphithéâtre,amphithéâtre,21
où,où,60
ils,ils,51
se,se,51
trouvaient,trouver,18
resserrés,resserré,31
",",",",p
ils,ils,51
voyaient,voir,18
tout,tout,60
autour,autour,60
d',de,81
eux,ils,51
",",",",p
sur,sur,81
les,le,71
hauteurs,hauteur,22
",",",",p
les,le,71
quatre,quatre,72
camps,camp,21
des,de,81
des,le,71
barbares,barbare,21
pleins,plein,30
d',de,81
agitation,agitation,22
/.,/.,P
des,de,81
des,le,71
femmes,femme,22
circulaient,circuler,18
avec,avec,81
des,de,81
des,le,71
outres,outre,22
sur,sur,81
la,le,71
tête,tête,22
",",",",p
des,de,81
des,le,71
chèvres,chèvre,22
en,en,81
bêlant,bêler,13
erraient,errer,18
sous,sous,81
les,le,71
faisceaux,faisceau,21
des,de,81
des,le,71
piques,pique,21
;,;,p
on,on,51
relevait,relever,18
les,le,71
sentinelles,sentinelle,22
",",",",p
on,on,51
mangeait,manger,18
autour,autour,60
des,de,81
des,le,71
trépieds,trépied,21
/.,/.,P
en,en,81
effet,effet,21
",",",",p
les,le,71
tribus,tribu,22
leur,leur,52
fournissaient,fournir,18
des,de,81
des,le,71
vivres,vivre,21
abondamment,abondamment,60
",",",",p
et,et,82
ils,ils,51
ne,ne,60
se,se,51
doutaient,douter,18
pas,pas,60
eux-mêmes,eux-mêmes,51
combien,combien,60
leur,leur,73
inaction,inaction,22
effrayait,effrayer,18
l',le,71
armée,armée,22
punique,punique,30
/.,/.,P
dès,dès,81
le,le,71
second,second,72
jour,jour,21
",",",",p
les,le,71
Carthaginois,Carthaginois,20
avaient,avoir,18
remarqué,remarquer,12
dans,dans,81
le,le,71
camp,camp,21
des,de,81
des,le,71
nomades,nomade,22
une,un,71
troupe,troupe,22
de,de,81
trois,trois,72
cents,cent,72
hommes,homme,21
à,à,81
l',le,71
écart,écart,21
des,de,81
des,le,71
autres,autre,52
/.,/.,P
c',ce,52
étaient,être,18
les,le,71
riches,riche,21
",",",",p
retenus,retenu,31
prisonniers,prisonnier,30
depuis,depuis,81
le,le,71
commencement,commencement,21
de,de,81
la,le,71
guerre,guerre,22
/.,/.,P
des,de,81
des,le,71
Libyens,Libyen,20
les,le,52
rangèrent,ranger,19
tous,tout,52
au,à,81
au,le,71
bord,bord,21
du,de,81
du,le,71
fossé,fossé,21
",",",",p
et,et,82
",",",",p
postés,posté,31
derrière,derrière,81
eux,ils,51
",",",",p
ils,ils,51
envoyaient,envoyer,18
des,de,81
des,le,71
javelots,javelot,21
en,en,81
se,se,51
faisant,faire,13
un,un,71
rempart,rempart,21
de,de,81
leur,leur,73
corps,corps,21
/.,/.,P
à,à,81
peine,peine,22
pouvait,pouvoir,18
on,on,51
reconnaître,reconnaître,14
ces,ce,74
misérables,misérable,21
",",",",p
tant,tant,60
leur,leur,73
visage,visage,21
disparaissait,disparaître,18
sous,sous,81
la,le,71
vermine,vermine,22
et,et,82
les,le,71
ordures,ordure,22
/.,/.,P
leurs,leur,73
cheveux,cheveu,21
arrachés,arraché,31
par,par,81
endroits,endroit,21
laissaient,laisser,18
à,à,81
nu,nu,21
les,le,71
ulcères,ulcère,21
de,de,81
leur,leur,73
tête,tête,22
",",",",p
et,et,82
ils,ils,51
étaient,être,18
si,si,60
maigres,maigre,30
et,et,82
hideux,hideux,30
qu',que,83
ils,ils,51
ressemblaient,ressembler,18
à,à,81
des,de,81
des,le,71
momies,momie,22
dans,dans,81
des,de,81
des,le,71
linceuls,linceul,21
troués,troué,31
/.,/.,P
quelques-uns,quelqu'un,52
",",",",p
en,en,81
tremblant,trembler,13
",",",",p
sanglotaient,sangloter,18
d',de,81
un,un,71
air,air,21
stupide,stupide,30
;,;,p
les,le,71
autres,autre,52
criaient,crier,18
à,à,81
leurs,leur,73
amis,ami,21
de,de,81
tirer,tirer,14
sur,sur,81
les,le,71
barbares,barbare,21
/.,/.,P
il,il,51
y,y,52
en,en,52
avait,avoir,18
un,un,52
",",",",p
tout,tout,60
immobile,immobile,30
",",",",p
le,le,71
front,front,21
baissé,baissé,31
",",",",p
qui,qui,52
ne,ne,60
parlait,parler,18
pas,pas,60
;,;,p
sa,son,73
grande,grand,30
barbe,barbe,22
blanche,blanc,30
tombait,tomber,18
jusqu',jusque,81
à,à,81
ses,son,73
mains,main,22
couvertes,couvert,31
de,de,81
chaînes,chaîne,22
;,;,p
et,et,82
les,le,71
Carthaginois,Carthaginois,20
",",",",p
en,en,81
sentant,sentir,13
au,à,81
au,le,71
fond,fond,21
de,de,81
leur,leur,73
coeur,coeur,21
comme,comme,83
l',le,71
écroulement,écroulement,21
de,de,81
la,le,71
république,république,22
",",",",p
reconnaissaient,reconnaître,18
Giscon,Giscon,20
/.,/.,P
bien,bien,60
que,que,83
la,le,71
place,place,22
fût,être,19
dangereuse,dangereux,30
",",",",p
ils,ils,51
se,se,51
poussaient,pousser,18
pour,pour,81
le,le,52
voir,voir,14
/.,/.,P
on,on,51
l',le,52
avait,avoir,18
coiffé,coiffer,12
d',de,81
une,un,71
tiare,tiare,22
grotesque,grotesque,30
",",",",p
en,en,81
cuir,cuir,21
d',de,81
hippopotame,hippopotame,21
",",",",p
incrustée,incrusté,31
de,de,81
cailloux,caillou,21
/.,/.,P
c',ce,52
était,être,18
une,un,71
imagination,imagination,22
d',de,81
Autharite,Autharite,20
;,;,p
mais,mais,82
cela,cela,52
déplaisait,déplaire,18
à,à,81
Mâtho,Mâtho,20
/.,/.,P
Hamilcar,Hamilcar,20
",",",",p
exaspéré,exaspéré,31
",",",",p
fit,faire,19
ouvrir,ouvrir,14
les,le,71
palissades,palissade,22
",",",",p
résolu,résolu,31
à,à,81
se,se,51
faire,faire,14
jour,jour,21
n',ne,60
importe,importer,17
comment,comment,60
;,;,p
et,et,82
d',de,81
un,un,71
train,train,21
furieux,furieux,30
les,le,71
Carthaginois,Carthaginois,20
montèrent,monter,19
jusqu',jusque,81
à,à,81
mi-côte,mi-côte,22
",",",",p
pendant,pendant,81
trois,trois,72
cents,cent,72
pas,pas,21
/.,/.,P
un,un,71
tel,tel,75
flot,flot,21
de,de,81
barbares,barbare,21
descendit,descendre,19
qu',que,83
ils,ils,51
furent,être,19
refoulés,refouler,12
sur,sur,81
leurs,leur,73
lignes,ligne,22
/.,/.,P
un,un,52
des,de,81
des,le,71
gardes,garde,22
de,de,81
la,le,71
légion,légion,22
",",",",p
resté,resté,31
en,en,81
dehors,dehors,21
",",",",p
trébuchait,trébucher,18
parmi,parmi,81
les,le,71
pierres,pierre,22
/.,/.,P
Zarxas,Zarxas,20
accourut,accourir,19
",",",",p
et,et,82
",",",",p
le,le,52
terrassant,terrasser,13
",",",",p
il,il,51
lui,lui,51
enfonça,enfoncer,19
un,un,71
poignard,poignard,21
dans,dans,81
la,le,71
gorge,gorge,22
;,;,p
il,il,51
l',le,52
en,en,52
retira,retirer,19
",",",",p
se,se,51
jeta,jeter,19
sur,sur,81
la,le,71
blessure,blessure,22
",",",",p
-,-,p
et,et,82
",",",",p
la,le,71
bouche,bouche,22
collée,collé,31
contre,contre,81
elle,il,51
",",",",p
avec,avec,81
des,de,81
des,le,71
grondements,grondement,21
de,de,81
joie,joie,22
et,et,82
des,de,81
des,le,71
soubresauts,soubresaut,21
qui,qui,52
le,le,52
secouaient,secouer,18
jusqu',jusque,81
aux,à,81
aux,le,71
talons,talon,21
",",",",p
il,il,51
pompait,pomper,18
le,le,71
sang,sang,21
à,à,81
pleine,plein,30
poitrine,poitrine,22
;,;,p
puis,puis,60
",",",",p
tranquillement,tranquillement,60
",",",",p
il,il,51
s',se,51
assit,asseoir,19
sur,sur,81
le,le,71
cadavre,cadavre,21
",",",",p
releva,relever,19
son,son,73
visage,visage,21
en,en,81
se,se,51
renversant,renverser,13
le,le,71
cou,cou,21
pour,pour,81
mieux,mieux,60
humer,humer,14
l',le,71
air,air,21
",",",",p
comme,comme,83
fait,faire,17
une,un,71
biche,biche,22
qui,qui,52
vient,venir,17
de,de,81
boire,boire,14
à,à,81
un,un,71
torrent,torrent,21
",",",",p
et,et,82
",",",",p
d',de,81
une,un,71
voix,voix,22
aiguë,aigu,30
",",",",p
il,il,51
entonna,entonner,19
une,un,71
chanson,chanson,22
des,de,81
des,le,71
Baléares,Baléares,20
",",",",p
une,un,71
vague,vague,30
mélodie,mélodie,22
pleine,plein,30
de,de,81
modulations,modulation,22
prolongées,prolongé,31
",",",",p
s',se,51
interrompant,interrompre,13
",",",",p
alternant,alterner,13
",",",",p
comme,comme,83
des,de,81
des,le,71
échos,écho,21
qui,qui,52
se,se,51
répondent,répondre,17
dans,dans,81
les,le,71
montagnes,montagne,22
;,;,p
il,il,51
appelait,appeler,18
ses,son,73
frères,frère,21
morts,mort,31
et,et,82
les,le,52
conviait,convier,18
à,à,81
un,un,71
festin,festin,21
;,;,p
-,-,p
puis,puis,60
il,il,51
laissa,laisser,19
retomber,retomber,14
ses,son,73
mains,main,22
entre,entre,81
ses,son,73
jambes,jambe,22
",",",",p
baissa,baisser,19
lentement,lentement,60
la,le,71
tête,tête,22
",",",",p
et,et,82
pleura,pleurer,19
/.,/.,P
cette,ce,74
chose,chose,22
atroce,atroce,30
fit,faire,19
horreur,horreur,22
aux,à,81
aux,le,71
barbares,barbare,21
",",",",p
aux,à,81
aux,le,71
Grecs,Grec,20
surtout,surtout,60
/.,/.,P
les,le,71
Carthaginois,Carthaginois,20
",",",",p
à,à,81
partir,partir,14
de,de,81
ce,ce,74
moment,moment,21
",",",",p
ne,ne,60
tentèrent,tenter,19
aucune,aucun,75
sortie,sortie,22
;,;,p
-,-,p
et,et,82
ils,ils,51
ne,ne,60
songeaient,songer,18
pas,pas,60
à,à,81
se,se,51
rendre,rendre,14
",",",",p
certains,certain,52
de,de,81
périr,périr,14
dans,dans,81
les,le,71
supplices,supplice,21
/.,/.,P
cependant,cependant,82
",",",",p
les,le,71
vivres,vivre,21
",",",",p
malgré,malgré,81
les,le,71
soins,soin,21
d',de,81
Hamilcar,Hamilcar,20
",",",",p
diminuaient,diminuer,18
effroyablement,effroyablement,60
/.,/.,P
pour,pour,81
chaque,chaque,75
homme,homme,21
",",",",p
il,il,51
ne,ne,60
restait,rester,18
plus,plus,60
que,que,83
dix,dix,72
kommer,kommer,21
de,de,81
blé,blé,21
",",",",p
trois,trois,72
hin,hin,21
de,de,81
millet,millet,21
et,et,82
douze,douze,72
betza,betza,21
de,de,81
fruits,fruit,21
secs,sec,30
/.,/.,P
plus,plus,60
de,de,81
viande,viande,22
",",",",p
plus,plus,60
d',de,81
huile,huile,22
",",",",p
plus,plus,60
de,de,81
salaisons,salaison,22
",",",",p
pas,pas,60
un,un,71
grain,grain,21
d',de,81
orge,orge,22
pour,pour,81
les,le,71
chevaux,cheval,21
;,;,p
on,on,51
les,le,52
voyait,voir,18
",",",",p
baissant,baisser,13
leur,leur,73
encolure,encolure,22
amaigrie,amaigri,31
",",",",p
chercher,chercher,14
dans,dans,81
la,le,71
poussière,poussière,22
des,de,81
des,le,71
brins,brin,21
de,de,81
paille,paille,22
piétinés,piétiné,31
/.,/.,P
souvent,souvent,60
les,le,71
sentinelles,sentinelle,22
en,en,81
vedette,vedette,22
sur,sur,81
la,le,71
terrasse,terrasse,22
apercevaient,apercevoir,18
",",",",p
au,à,81
au,le,71
clair,clair,21
de,de,81
la,le,71
lune,lune,22
",",",",p
un,un,71
chien,chien,21
des,de,81
des,le,71
barbares,barbare,21
qui,qui,52
venait,venir,18
rôder,rôder,14
sous,sous,81
le,le,71
retranchement,retranchement,21
",",",",p
dans,dans,81
les,le,71
tas,tas,21
d',de,81
immondices,immondice,21
;,;,p
on,on,51
l',le,52
assommait,assommer,18
avec,avec,81
une,un,71
pierre,pierre,22
",",",",p
et,et,82
",",",",p
s',se,51
aidant,aider,13
des,de,81
des,le,71
courroies,courroie,22
du,de,81
du,le,71
bouclier,bouclier,21
",",",",p
on,on,51
descendait,descendre,18
le,le,71
long,long,21
des,de,81
des,le,71
palissades,palissade,22
",",",",p
puis,puis,60
",",",",p
sans,sans,81
rien,rien,52
dire,dire,14
",",",",p
on,on,51
le,le,52
mangeait,manger,18
/.,/.,P
parfois,parfois,60
d',de,81
horribles,horrible,30
aboiements,aboiement,21
s',se,51
élevaient,élever,18
",",",",p
et,et,82
l',le,71
homme,homme,21
ne,ne,60
remontait,remonter,18
plus,plus,60
/.,/.,P
dans,dans,81
la,le,71
quatrième,quatrième,72
dilochie,dilochie,22
de,de,81
la,le,71
douzième,douzième,72
syntagme,syntagme,21
",",",",p
trois,trois,72
phalangites,phalangite,21
",",",",p
en,en,81
se,se,51
disputant,disputer,13
un,un,71
rat,rat,21
",",",",p
se,se,51
tuèrent,tuer,19
à,à,81
coups,coup,21
de,de,81
couteau,couteau,21
/.,/.,P
tous,tout,52
regrettaient,regretter,18
leurs,leur,73
familles,famille,22
",",",",p
leurs,leur,73
maisons,maison,22
:,:,p
les,le,71
pauvres,pauvre,21
",",",",p
leurs,leur,73
cabanes,cabane,22
en,en,81
forme,forme,22
de,de,81
ruche,ruche,22
",",",",p
avec,avec,81
des,de,81
des,le,71
coquilles,coquille,22
au,à,81
au,le,71
seuil,seuil,21
des,de,81
des,le,71
portes,porte,22
",",",",p
un,un,71
filet,filet,21
suspendu,suspendu,31
",",",",p
et,et,82
les,le,71
patriciens,patricien,21
",",",",p
leurs,leur,73
grandes,grand,30
salles,salle,22
emplies,empli,31
de,de,81
ténèbres,ténèbre,22
bleuâtres,bleuâtre,30
",",",",p
quand,quand,83
",",",",p
à,à,81
l',le,71
heure,heure,22
la,le,71
plus,plus,60
molle,mou,30
du,de,81
du,le,71
jour,jour,21
",",",",p
ils,ils,51
se,se,51
reposaient,reposer,18
",",",",p
écoutant,écouter,13
le,le,71
bruit,bruit,21
vague,vaguer,17
des,de,81
des,le,71
rues,rue,22
mêlé,mêlé,31
au,à,81
au,le,71
frémissement,frémissement,21
des,de,81
des,le,71
feuilles,feuille,22
qui,qui,52
s',se,51
agitaient,agiter,18
dans,dans,81
leurs,leur,73
jardins,jardin,21
;,;,p
-,-,p
et,et,82
",",",",p
pour,pour,81
mieux,mieux,60
descendre,descendre,14
dans,dans,81
cette,ce,74
pensée,pensée,22
",",",",p
afin,afin,81
d',de,81
en,en,52
jouir,jouir,14
davantage,davantage,60
",",",",p
ils,ils,51
entre-fermaient,entre-fermer,18
les,le,71
paupières,paupière,22
;,;,p
la,le,71
secousse,secousse,22
d',de,81
une,un,71
blessure,blessure,22
les,le,52
réveillait,réveiller,18
/.,/.,P
à,à,81
chaque,chaque,75
minute,minute,22
",",",",p
c',ce,52
était,être,18
un,un,71
engagement,engagement,21
",",",",p
une,un,71
alerte,alerte,22
nouvelle,nouvelle,22
;,;,p
les,le,71
tours,tour,21
brûlaient,brûler,18
",",",",p
les,le,71
mangeurs,mangeur,21
de,de,81
choses,chose,22
immondes,immonde,30
sautaient,sauter,18
aux,à,81
aux,le,71
palissades,palissade,22
;,;,p
avec,avec,81
des,de,81
des,le,71
haches,hache,22
",",",",p
on,on,51
leur,leur,52
abattait,abattre,18
les,le,71
mains,main,22
;,;,p
d',de,81
autres,autre,52
accouraient,accourir,18
;,;,p
une,un,71
pluie,pluie,22
de,de,81
fer,fer,21
tombait,tomber,18
sur,sur,81
les,le,71
tentes,tente,22
/.,/.,P
on,on,51
éleva,élever,19
des,de,81
des,le,71
galeries,galerie,22
en,en,81
claies,claie,22
de,de,81
jonc,jonc,21
pour,pour,81
se,se,51
garantir,garantir,14
des,de,81
des,le,71
projectiles,projectile,21
/.,/.,P
les,le,71
Carthaginois,Carthaginois,20
s',se,51
y,y,52
enfermèrent,enfermer,19
;,;,p
ils,ils,51
n',ne,60
en,en,52
bougeaient,bouger,18
plus,plus,60
/.,/.,P
tous,tout,75
les,le,71
jours,jour,21
",",",",p
le,le,71
soleil,soleil,21
qui,qui,52
tournait,tourner,18
sur,sur,81
la,le,71
colline,colline,22
",",",",p
abandonnant,abandonner,13
",",",",p
dès,dès,81
les,le,71
premières,premier,72
heures,heure,22
",",",",p
le,le,71
fond,fond,21
de,de,81
la,le,71
gorge,gorge,22
",",",",p
les,le,52
laissait,laisser,18
dans,dans,81
l',le,71
ombre,ombre,22
/.,/.,P
en,en,81
face,face,22
et,et,82
par-derrière,par-derrière,60
",",",",p
les,le,71
pentes,pente,22
grises,gris,30
du,de,81
du,le,71
terrain,terrain,21
remontaient,remonter,18
",",",",p
couvertes,couvert,31
de,de,81
cailloux,caillou,21
tachetés,tacheté,31
d',de,81
un,un,71
rare,rare,30
lichen,lichen,21
",",",",p
et,et,82
",",",",p
sur,sur,81
leurs,leur,73
têtes,tête,22
",",",",p
le,le,71
ciel,ciel,21
",",",",p
continuellement,continuellement,60
pur,pur,30
",",",",p
s',se,51
étalait,étaler,18
",",",",p
plus,plus,60
lisse,lisse,30
et,et,82
froid,froid,30
à,à,81
l',le,71
oeil,oeil,21
qu',que,83
une,un,71
coupole,coupole,22
de,de,81
métal,métal,21
/.,/.,P
Hamilcar,Hamilcar,20
était,être,18
si,si,60
indigné,indigner,12
contre,contre,81
Carthage,Carthage,20
qu',que,83
il,il,51
sentait,sentir,18
l',le,71
envie,envie,22
de,de,81
se,se,51
jeter,jeter,14
dans,dans,81
les,le,71
barbares,barbare,21
pour,pour,81
les,le,52
conduire,conduire,14
sur,sur,81
elle,il,51
/.,/.,P
puis,puis,60
voilà,voilà,81
que,que,83
les,le,71
porteurs,porteur,21
",",",",p
les,le,71
vivandiers,vivandier,21
",",",",p
les,le,71
esclaves,esclave,21
commençaient,commencer,18
à,à,81
murmurer,murmurer,14
",",",",p
et,et,82
ni,ni,82
le,le,71
peuple,peuple,21
ni,ni,82
le,le,71
grand,grand,30
Conseil,conseil,21
",",",",p
personne,personne,52
n',ne,60
envoyait,envoyer,18
même,même,60
une,un,71
espérance,espérance,22
/.,/.,P
la,le,71
situation,situation,22
était,être,18
intolérable,intolérable,30
surtout,surtout,60
par,par,81
l',le,71
idée,idée,22
qu',que,83
elle,il,51
deviendrait,devenir,16
pire,pire,30
/.,/.,P
à,à,81
la,le,71
nouvelle,nouvelle,22
du,de,81
du,le,71
désastre,désastre,21
",",",",p
Carthage,Carthage,20
avait,avoir,18
comme,comme,83
bondi,bondir,12
de,de,81
colère,colère,22
et,et,82
de,de,81
haine,haine,22
;,;,p
on,on,51
aurait,avoir,16
moins,moins,60
exécré,exécrer,12
le,le,71
Suffète,Suffète,20
",",",",p
si,si,83
",",",",p
dès,dès,81
le,le,71
commencement,commencement,21
",",",",p
il,il,51
se,se,51
fût,être,19
laissé,laisser,12
vaincre,vaincre,14
/.,/.,P
mais,mais,82
pour,pour,81
acheter,acheter,14
d',de,81
autres,autre,75
mercenaires,mercenaire,21
",",",",p
le,le,71
temps,temps,21
manquait,manquer,18
",",",",p
l',le,71
argent,argent,21
manquait,manquer,18
/.,/.,P
quant,quand,83
à,à,81
lever,lever,14
des,de,81
des,le,71
soldats,soldat,21
dans,dans,81
la,le,71
ville,ville,22
",",",",p
comment,comment,60
les,le,52
équiper,équiper,14
/?,/?,P
Hamilcar,Hamilcar,20
avait,avoir,18
pris,prendre,12
toutes,tout,75
les,le,71
armes,arme,22
!,!,p
et,et,82
qui,qui,52
donc,donc,82
les,le,52
commanderait,commander,16
/?,/?,P
les,le,71
meilleurs,meilleur,30
capitaines,capitaine,21
se,se,51
trouvaient,trouver,18
là-bas,là-bas,60
avec,avec,81
lui,lui,51
/!,/!,P
cependant,cependant,82
",",",",p
des,de,81
des,le,71
hommes,homme,21
expédiés,expédié,31
par,par,81
le,le,71
Suffète,Suffète,20
arrivaient,arriver,18
dans,dans,81
les,le,71
rues,rue,22
",",",",p
poussaient,pousser,18
des,de,81
des,le,71
cris,cri,21
/.,/.,P
le,le,71
grand,grand,30
Conseil,conseil,21
s',se,51
en,en,52
émut,émouvoir,19
",",",",p
et,et,82
il,il,51
s',se,51
arrangea,arranger,19
pour,pour,81
les,le,52
faire,faire,14
disparaître,disparaître,14
/.,/.,P
c',ce,52
était,être,18
une,un,71
prudence,prudence,22
inutile,inutile,30
;,;,p
tous,tout,52
accusaient,accuser,18
Barca,Barca,20
de,de,81
s',se,51
être,être,14
conduit,conduire,12
avec,avec,81
mollesse,mollesse,22
/.,/.,P
il,il,51
aurait,avoir,16
dû,devoir,12
