11847
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-neuvième extrait>,<>,<>
le,le,71
gamin,gamin,21
s',se,51
était,être,18
endormi,endormir,12
sur,sur,81
la,le,71
table,table,22
/.,/.,P
il,il,51
leva,lever,19
la,le,71
tête,tête,22
en,en,81
sursaut,sursaut,21
/.,/.,P
-,-,p
écoute,écouter,17
",",",",p
dis,dire,17
lui,lui,51
que,que,83
tu,tu,51
le,le,52
veux,vouloir,17
/…,/…,P
oui,oui,60
",",",",p
à,à,81
ce,ce,74
monsieur,monsieur,21
là,là,60
/…,/…,P
dis,dire,17
lui,lui,51
bien,bien,60
fort,fort,60
:,:,p
je,je,51
le,le,52
veux,vouloir,17
/!,/!,P
je,je,51
le,le,52
veux,vouloir,17
!,!,p
bégaya,bégayer,19
Etienne,Etienne,20
",",",",p
la,le,71
bouche,bouche,22
empâtée,empâté,31
de,de,81
sommeil,sommeil,21
/.,/.,P
tout,tout,75
le,le,71
monde,monde,21
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
/.,/.,P
mais,mais,82
Lantier,Lantier,20
reprit,reprendre,19
bientôt,bientôt,60
son,son,73
air,air,21
grave,grave,30
et,et,82
pénétré,pénétré,31
/.,/.,P
il,il,51
serra,serrer,19
la,le,71
main,main,22
de,de,81
Coupeau,Coupeau,20
",",",",p
par-dessus,par-dessus,60
la,le,71
table,table,22
",",",",p
en,en,81
disant,dire,13
:,:,p
-,-,p
j',je,51
accepte,accepter,17
/…,/…,P
c',ce,52
est,être,17
de,de,81
bonne,bon,30
amitié,amitié,22
de,de,81
part,part,22
et,et,82
d',de,81
autre,autre,52
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
oui,oui,60
",",",",p
j',je,51
accepte,accepter,17
pour,pour,81
l',le,71
enfant,enfant,21
/.,/.,P
dès,dès,81
le,le,71
lendemain,lendemain,21
",",",",p
le,le,71
propriétaire,propriétaire,21
",",",",p
monsieur,monsieur,21
Marescot,Marescot,20
",",",",p
étant,être,13
venu,venir,12
passer,passer,14
une,un,71
heure,heure,22
dans,dans,81
la,le,71
loge,loge,22
des,de,81
des,le,71
Boche,Boche,20
",",",",p
Gervaise,Gervaise,20
lui,lui,51
parla,parler,19
de,de,81
l',le,71
affaire,affaire,22
/.,/.,P
il,il,51
se,se,51
montra,montrer,19
d'abord,d'abord,60
inquiet,inquiet,30
",",",",p
refusant,refuser,13
",",",",p
se,se,51
fâchant,fâcher,13
",",",",p
comme,comme,83
si,si,83
elle,il,51
lui,lui,51
avait,avoir,18
demandé,demander,12
d',de,81
abattre,abattre,14
toute,tout,75
une,un,71
aile,aile,22
de,de,81
sa,son,73
maison,maison,22
/.,/.,P
puis,puis,60
",",",",p
après,après,81
une,un,71
inspection,inspection,22
minutieuse,minutieux,30
des,de,81
des,le,71
lieux,lieu,21
",",",",p
lorsqu',lorsque,83
il,il,51
eut,avoir,19
regardé,regarder,12
en,en,81
l',le,71
air,air,21
pour,pour,81
voir,voir,14
si,si,83
les,le,71
étages,étage,21
supérieurs,supérieur,30
n',ne,60
allaient,aller,18
pas,pas,60
être,être,14
ébranlés,ébranler,12
",",",",p
il,il,51
finit,finir,19
par,par,81
donner,donner,14
l',le,71
autorisation,autorisation,22
",",",",p
mais,mais,82
à,à,81
la,le,71
condition,condition,22
de,de,81
ne,ne,60
supporter,supporter,14
aucun,aucun,75
frais,frais,21
;,;,p
et,et,82
les,le,71
Coupeau,Coupeau,20
durent,devoir,19
lui,lui,51
signer,signer,14
un,un,71
papier,papier,21
",",",",p
dans,dans,81
lequel,lequel,52
ils,ils,51
s',se,51
engageaient,engager,18
à,à,81
rétablir,rétablir,14
les,le,71
choses,chose,22
en,en,81
l',le,71
état,état,21
",",",",p
à,à,81
l',le,71
expiration,expiration,22
de,de,81
leur,leur,73
bail,bail,21
/.,/.,P
le,le,71
soir,soir,21
même,même,30
",",",",p
le,le,71
zingueur,zingueur,21
amena,amener,19
des,de,81
des,le,71
camarades,camarade,21
",",",",p
un,un,71
maçon,maçon,21
",",",",p
un,un,71
menuisier,menuisier,21
",",",",p
un,un,71
peintre,peintre,21
",",",",p
de,de,81
bons,bon,30
zigs,zig,21
qui,qui,52
feraient,faire,16
cette,ce,74
bricole,bricole,22
là,là,60
après,après,81
leur,leur,73
journée,journée,22
",",",",p
histoire,histoire,22
de,de,81
rendre,rendre,14
service,service,21
/.,/.,P
la,le,71
pose,pose,22
de,de,81
la,le,71
nouvelle,nouveau,30
porte,porte,22
",",",",p
le,le,71
nettoyage,nettoyage,21
de,de,81
la,le,71
pièce,pièce,22
",",",",p
n',ne,60
en,en,52
coûtèrent,coûter,19
pas,pas,60
moins,moins,60
une,un,71
centaine,centaine,22
de,de,81
francs,franc,21
",",",",p
sans,sans,81
compter,compter,14
les,le,71
litres,litre,21
dont,dont,52
on,on,51
arrosa,arroser,19
la,le,71
besogne,besogne,22
/.,/.,P
le,le,71
zingueur,zingueur,21
dit,dire,19
aux,à,81
aux,le,71
camarades,camarade,21
qu',que,83
il,il,51
leur,leur,52
paierait,payer,16
ça,ça,52
plus,plus,60
tard,tard,60
",",",",p
avec,avec,81
le,le,71
premier,premier,72
argent,argent,21
de,de,81
son,son,73
locataire,locataire,21
/.,/.,P
ensuite,ensuite,60
",",",",p
il,il,51
fut,être,19
question,question,22
de,de,81
meubler,meubler,14
la,le,71
pièce,pièce,22
/.,/.,P
Gervaise,Gervaise,20
y,y,52
laissa,laisser,19
l',le,71
armoire,armoire,22
de,de,81
maman,maman,22
Coupeau,Coupeau,20
;,;,p
elle,il,51
ajouta,ajouter,19
une,un,71
table,table,22
et,et,82
deux,deux,72
chaises,chaise,22
",",",",p
prises,pris,31
dans,dans,81
sa,son,73
propre,propre,30
chambre,chambre,22
;,;,p
il,il,51
lui,lui,51
fallut,falloir,19
enfin,enfin,60
acheter,acheter,14
une,un,71
table,table,22
toilette,toilette,22
et,et,82
un,un,71
lit,lit,21
",",",",p
avec,avec,81
la,le,71
literie,literie,22
complète,complet,30
",",",",p
en,en,81
tout,tout,60
cent,cent,72
trente,trente,72
francs,franc,21
",",",",p
qu',que,52
elle,il,51
devait,devoir,18
payer,payer,14
à,à,81
raison,raison,22
de,de,81
dix,dix,72
francs,franc,21
par,par,81
mois,mois,21
/.,/.,P
si,si,83
",",",",p
pendant,pendant,81
une,un,71
dizaine,dizaine,22
de,de,81
mois,mois,21
",",",",p
les,le,71
vingt,vingt,72
francs,franc,21
de,de,81
Lantier,Lantier,20
se,se,51
trouvaient,trouver,18
mangés,mangé,31
à,à,81
l',le,71
avance,avance,22
par,par,81
les,le,71
dettes,dette,22
contractées,contracté,31
",",",",p
plus,plus,60
tard,tard,60
il,il,51
y,y,52
aurait,avoir,16
un,un,71
joli,joli,30
bénéfice,bénéfice,21
/.,/.,P
ce,ce,52
fut,être,19
dans,dans,81
les,le,71
premiers,premier,72
jours,jour,21
de,de,81
juin,juin,21
que,que,83
l',le,71
installation,installation,22
du,de,81
du,le,71
chapelier,chapelier,21
eut,avoir,19
lieu,lieu,21
/.,/.,P
la,le,71
veille,veille,22
",",",",p
Coupeau,Coupeau,20
avait,avoir,18
offert,offrir,12
d',de,81
aller,aller,14
avec,avec,81
lui,lui,51
chercher,chercher,14
sa,son,73
malle,malle,22
",",",",p
pour,pour,81
lui,lui,51
éviter,éviter,14
les,le,71
trente,trente,72
sous,sou,21
d',de,81
un,un,71
fiacre,fiacre,21
/.,/.,P
mais,mais,82
l',le,71
autre,autre,52
était,être,18
resté,rester,12
gêné,gêné,31
",",",",p
disant,dire,13
que,que,83
sa,son,73
malle,malle,22
pesait,peser,18
trop,trop,60
lourd,lourd,30
",",",",p
comme,comme,83
s',si,83
il,il,51
avait,avoir,18
voulu,vouloir,12
cacher,cacher,14
jusqu',jusque,81
au,à,81
au,le,71
dernier,dernier,30
moment,moment,21
l',le,71
endroit,endroit,21
où,où,60
il,il,51
logeait,loger,18
/.,/.,P
il,il,51
arriva,arriver,19
dans,dans,81
l',le,71
après-midi,après-midi,21
",",",",p
vers,vers,81
trois,trois,72
heures,heure,22
/.,/.,P
Coupeau,Coupeau,20
ne,ne,60
se,se,51
trouvait,trouver,18
pas,pas,60
là,là,60
/.,/.,P
et,et,82
Gervaise,Gervaise,20
",",",",p
à,à,81
la,le,71
porte,porte,22
de,de,81
la,le,71
boutique,boutique,22
",",",",p
devint,devenir,19
toute,tout,60
pâle,pâle,30
",",",",p
en,en,81
reconnaissant,reconnaître,13
la,le,71
malle,malle,22
sur,sur,81
le,le,71
fiacre,fiacre,21
/.,/.,P
c',ce,52
était,être,18
leur,leur,73
ancienne,ancien,30
malle,malle,22
",",",",p
celle,celui,52
avec,avec,81
laquelle,lequel,52
elle,il,51
avait,avoir,18
fait,faire,12
le,le,71
voyage,voyage,21
de,de,81
Plassans,Plassans,20
",",",",p
aujourd'hui,aujourd'hui,60
écorchée,écorché,31
",",",",p
cassée,cassé,31
",",",",p
tenue,tenu,31
par,par,81
des,de,81
des,le,71
cordes,corde,22
/.,/.,P
elle,il,51
la,le,52
voyait,voir,18
revenir,revenir,14
comme,comme,83
souvent,souvent,60
elle,il,51
l',le,52
avait,avoir,18
rêvé,rêver,12
",",",",p
et,et,82
elle,il,51
pouvait,pouvoir,18
s',se,51
imaginer,imaginer,14
que,que,83
le,le,71
même,même,75
fiacre,fiacre,21
",",",",p
le,le,71
fiacre,fiacre,21
où,où,60
cette,ce,74
garce,garce,22
de,de,81
brunisseuse,brunisseuse,22
s',se,51
était,être,18
fichue,ficher,12
d',de,81
elle,il,51
",",",",p
la,le,71
lui,lui,51
rapportait,rapporter,18
/.,/.,P
cependant,cependant,82
",",",",p
Boche,Boche,20
donnait,donner,18
un,un,71
coup,coup,21
de,de,81
main,main,22
à,à,81
Lantier,Lantier,20
/.,/.,P
la,le,71
blanchisseuse,blanchisseuse,22
les,le,52
suivit,suivre,19
",",",",p
muette,muet,30
",",",",p
un,un,71
peu,peu,60
étourdie,étourdi,31
/.,/.,P
quand,quand,83
ils,ils,51
eurent,avoir,19
déposé,déposer,12
leur,leur,73
fardeau,fardeau,21
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
chambre,chambre,22
",",",",p
elle,il,51
dit,dire,19
pour,pour,81
parler,parler,14
:,:,p
-,-,p
hein,hein,93
?,?,p
voilà,voilà,81
une,un,71
bonne,bon,30
affaire,affaire,22
de,de,81
faite,fait,31
/?,/?,P
puis,puis,60
",",",",p
se,se,51
remettant,remettre,13
",",",",p
voyant,voir,13
que,que,83
Lantier,Lantier,20
",",",",p
occupé,occupé,31
à,à,81
dénouer,dénouer,14
les,le,71
cordes,corde,22
",",",",p
ne,ne,60
la,le,52
regardait,regarder,18
seulement,seulement,60
pas,pas,60
",",",",p
elle,il,51
ajouta,ajouter,19
:,:,p
-,-,p
monsieur,monsieur,21
Boche,Boche,20
",",",",p
vous,vous,51
allez,aller,17
boire,boire,14
un,un,71
coup,coup,21
/.,/.,P
et,et,82
elle,il,51
alla,aller,19
chercher,chercher,14
un,un,71
litre,litre,21
et,et,82
des,de,81
des,le,71
verres,verre,21
/.,/.,P
justement,justement,60
",",",",p
Poisson,Poisson,20
",",",",p
en,en,81
tenue,tenue,22
",",",",p
passait,passer,18
sur,sur,81
le,le,71
trottoir,trottoir,21
/.,/.,P
elle,il,51
lui,lui,51
adressa,adresser,19
un,un,71
petit,petit,30
signe,signe,21
",",",",p
clignant,cligner,13
les,le,71
yeux,oeil,21
",",",",p
avec,avec,81
un,un,71
sourire,sourire,21
/.,/.,P
le,le,71
sergent,sergent,21
de,de,81
ville,ville,22
comprit,comprendre,19
parfaitement,parfaitement,60
/.,/.,P
quand,quand,83
il,il,51
était,être,18
de,de,81
service,service,21
",",",",p
et,et,82
qu',que,52
on,on,51
battait,battre,18
de,de,81
l',le,71
oeil,oeil,21
",",",",p
ça,ça,52
voulait,vouloir,18
dire,dire,14
qu',que,83
on,on,51
lui,lui,51
offrait,offrir,18
un,un,71
verre,verre,21
de,de,81
vin,vin,21
/.,/.,P
même,même,60
",",",",p
il,il,51
se,se,51
promenait,promener,18
des,de,81
des,le,71
heures,heure,22
devant,devant,81
la,le,71
blanchisseuse,blanchisseuse,22
",",",",p
à,à,81
attendre,attendre,14
qu',que,83
elle,il,51
battît,battre,18
de,de,81
l',le,71
oeil,oeil,21
/.,/.,P
alors,alors,60
",",",",p
pour,pour,81
ne,ne,60
pas,pas,60
être,être,14
vu,voir,12
",",",",p
il,il,51
passait,passer,18
dans,dans,81
la,le,71
cour,cour,22
",",",",p
il,il,51
sifflait,siffler,18
son,son,73
verre,verre,21
en,en,81
se,se,51
cachant,cacher,13
/.,/.,P
-,-,p
ah,ah,93
!,!,p
ah,ah,93
!,!,p
dit,dire,19
Lantier,Lantier,20
",",",",p
quand,quand,83
il,il,51
le,le,52
vit,voir,19
entrer,entrer,14
",",",",p
c',ce,52
est,être,17
vous,vous,51
",",",",p
Badingue,Badingue,20
/!,/!,P
il,il,51
l',le,52
appelait,appeler,18
Badingue,Badingue,20
par,par,81
blague,blague,22
",",",",p
pour,pour,81
se,se,51
ficher,ficher,14
de,de,81
l',le,71
empereur,empereur,21
/.,/.,P
Poisson,Poisson,20
acceptait,accepter,18
ça,ça,52
de,de,81
son,son,73
air,air,21
raide,raide,30
",",",",p
sans,sans,81
qu',que,83
on,on,51
pût,pouvoir,18
savoir,savoir,14
si,si,83
ça,ça,52
l',le,52
embêtait,embêter,18
au,à,81
au,le,71
fond,fond,21
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
les,le,71
deux,deux,72
hommes,homme,21
",",",",p
quoique,quoique,83
séparés,séparé,31
par,par,81
leurs,leur,73
convictions,conviction,22
politiques,politique,30
",",",",p
étaient,être,18
devenus,devenir,12
très,très,60
bons,bon,30
amis,ami,21
/.,/.,P
-,-,p
vous,vous,51
savez,savoir,17
que,que,83
l',le,71
empereur,empereur,21
a,avoir,17
été,être,12
sergent,sergent,21
de,de,81
ville,ville,22
à,à,81
Londres,Londres,20
",",",",p
dit,dire,19
à,à,81
son,son,73
tour,tour,21
Boche,Boche,20
/.,/.,P
oui,oui,60
",",",",p
ma,mon,73
parole,parole,22
!,!,p
il,il,51
ramassait,ramasser,18
les,le,71
femmes,femme,22
soûles,soûler,17
/.,/.,P
Gervaise,Gervaise,20
pourtant,pourtant,60
avait,avoir,18
rempli,remplir,12
trois,trois,72
verres,verre,21
sur,sur,81
la,le,71
table,table,22
/.,/.,P
elle,il,51
",",",",p
ne,ne,60
voulait,vouloir,18
pas,pas,60
boire,boire,14
",",",",p
se,se,51
sentait,sentir,18
le,le,71
coeur,coeur,21
tout,tout,60
barbouillé,barbouillé,31
/.,/.,P
mais,mais,82
elle,il,51
restait,rester,18
",",",",p
regardant,regarder,13
Lantier,Lantier,20
enlever,enlever,14
les,le,71
dernières,dernier,30
cordes,corde,22
",",",",p
prise,pris,31
du,de,81
du,le,71
besoin,besoin,21
de,de,81
savoir,savoir,14
ce,ce,52
que,que,52
contenait,contenir,18
la,le,71
malle,malle,22
/.,/.,P
elle,il,51
se,se,51
souvenait,souvenir,18
",",",",p
dans,dans,81
un,un,71
coin,coin,21
",",",",p
d',de,81
un,un,71
tas,tas,21
de,de,81
chaussettes,chaussette,22
",",",",p
de,de,81
deux,deux,72
chemises,chemise,22
sales,sale,30
",",",",p
d',de,81
un,un,71
vieux,vieux,30
chapeau,chapeau,21
/.,/.,P
est,être,17
ce,ce,52
que,que,83
ces,ce,74
choses,chose,22
étaient,être,18
encore,encore,60
là,là,60
?,?,p
est,être,17
ce,ce,52
qu',que,83
elle,il,51
allait,aller,18
retrouver,retrouver,14
les,le,71
loques,loque,22
du,de,81
du,le,71
passé,passé,21
/?,/?,P
Lantier,Lantier,20
",",",",p
avant,avant,81
de,de,81
soulever,soulever,14
le,le,71
couvercle,couvercle,21
",",",",p
prit,prendre,19
son,son,73
verre,verre,21
et,et,82
trinqua,trinquer,19
/.,/.,P
-,-,p
à,à,81
votre,votre,73
santé,santé,22
/.,/.,P
-,-,p
à,à,81
la,le,71
vôtre,vôtre,52
",",",",p
répondirent,répondre,19
Boche,Boche,20
et,et,82
Poisson,Poisson,20
/.,/.,P
la,le,71
blanchisseuse,blanchisseuse,22
remplit,remplir,19
de,de,81
nouveau,nouveau,21
les,le,71
verres,verre,21
/.,/.,P
les,le,71
trois,trois,72
hommes,homme,21
s',se,51
essuyaient,essuyer,18
les,le,71
lèvres,lèvre,22
de,de,81
la,le,71
main,main,22
/.,/.,P
enfin,enfin,60
",",",",p
le,le,71
chapelier,chapelier,21
ouvrit,ouvrir,19
la,le,71
malle,malle,22
/.,/.,P
elle,il,51
était,être,18
pleine,plein,30
d',de,81
un,un,71
pêle-mêle,pêle-mêle,60
de,de,81
journaux,journal,21
",",",",p
de,de,81
livres,livre,21
",",",",p
de,de,81
vieux,vieux,30
vêtements,vêtement,21
",",",",p
de,de,81
linge,linge,21
en,en,81
paquets,paquet,21
/.,/.,P
il,il,51
en,en,52
tira,tirer,19
successivement,successivement,60
une,un,71
casserole,casserole,22
",",",",p
une,un,71
paire,paire,22
de,de,81
bottes,botte,22
",",",",p
un,un,71
buste,buste,21
de,de,81
Ledru-Rollin,Ledru Rollin,20
avec,avec,81
le,le,71
nez,nez,21
cassé,cassé,31
",",",",p
une,un,71
chemise,chemise,22
brodée,brodé,31
",",",",p
un,un,71
pantalon,pantalon,21
de,de,81
travail,travail,21
/.,/.,P
et,et,82
Gervaise,Gervaise,20
",",",",p
penchée,penché,31
",",",",p
sentait,sentir,18
monter,monter,14
une,un,71
odeur,odeur,22
de,de,81
tabac,tabac,21
",",",",p
une,un,71
odeur,odeur,22
d',de,81
homme,homme,21
malpropre,malpropre,30
",",",",p
qui,qui,52
soigne,soigner,17
seulement,seulement,60
le,le,71
dessus,dessus,21
",",",",p
ce,ce,52
qu',que,52
on,on,51
voit,voir,17
de,de,81
sa,son,73
personne,personne,22
/.,/.,P
non,non,60
",",",",p
le,le,71
vieux,vieux,30
chapeau,chapeau,21
n',ne,60
était,être,18
plus,plus,60
dans,dans,81
le,le,71
coin,coin,21
de,de,81
gauche,gauche,22
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
là,là,60
une,un,71
pelote,pelote,22
qu',que,52
elle,il,51
ne,ne,60
connaissait,connaître,18
pas,pas,60
",",",",p
quelque,quelque,75
cadeau,cadeau,21
de,de,81
femme,femme,22
/.,/.,P
alors,alors,60
",",",",p
elle,il,51
se,se,51
calma,calmer,19
",",",",p
elle,il,51
éprouva,éprouver,19
une,un,71
vague,vague,30
tristesse,tristesse,22
",",",",p
continuant,continuer,13
à,à,81
suivre,suivre,14
les,le,71
objets,objet,21
",",",",p
en,en,81
se,se,51
demandant,demander,13
s',si,83
ils,ils,51
étaient,être,18
de,de,81
son,son,73
temps,temps,21
ou,ou,82
du,de,81
du,le,71
temps,temps,21
des,de,81
des,le,71
autres,autre,52
/.,/.,P
-,-,p
dites,dire,17
donc,donc,82
",",",",p
Badingue,Badingue,20
",",",",p
vous,vous,51
ne,ne,60
connaissez,connaître,17
pas,pas,60
ça,ça,52
?,?,p
reprit,reprendre,19
Lantier,Lantier,20
/.,/.,P
il,il,51
lui,lui,51
mettait,mettre,18
sous,sous,81
le,le,71
nez,nez,21
un,un,71
petit,petit,30
livre,livre,21
imprimé,imprimé,31
à,à,81
Bruxelles,Bruxelles,20
:,:,p
les,le,71
amours,amour,21
de,de,81
Napoléon III,Napoléon III,20
",",",",p
orné,orné,31
de,de,81
gravures,gravure,22
/.,/.,P
on,on,51
y,y,52
racontait,raconter,18
",",",",p
entre,entre,81
autres,autre,75
anecdotes,anecdote,22
",",",",p
comment,comment,60
l',le,71
empereur,empereur,21
avait,avoir,18
séduit,séduire,12
la,le,71
fille,fille,22
d',de,81
un,un,71
cuisinier,cuisinier,21
",",",",p
âgée,âgé,30
de,de,81
treize,treize,72
ans,an,21
;,;,p
et,et,82
l',le,71
image,image,22
représentait,représenter,18
Napoléon III,Napoléon III,20
",",",",p
les,le,71
jambes,jambe,22
nues,nu,30
",",",",p
ayant,avoir,13
gardé,garder,12
seulement,seulement,60
le,le,71
grand,grand,30
cordon,cordon,21
de,de,81
la,le,71
légion,légion,22
d',de,81
honneur,honneur,21
",",",",p
poursuivant,poursuivre,13
une,un,71
gamine,gamine,22
qui,qui,52
se,se,51
dérobait,dérober,18
à,à,81
sa,son,73
luxure,luxure,22
/.,/.,P
-,-,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
bien,bien,60
ça,ça,52
!,!,p
s',se,51
écria,écrier,19
Boche,Boche,20
",",",",p
dont,dont,52
les,le,71
instincts,instinct,21
sournoisement,sournoisement,60
voluptueux,voluptueux,30
étaient,être,18
flattés,flatter,12
/.,/.,P
ça,ça,52
arrive,arriver,17
toujours,toujours,60
comme,comme,83
ça,ça,52
/!,/!,P
Poisson,Poisson,20
restait,rester,18
saisi,saisi,31
",",",",p
consterné,consterné,31
;,;,p
et,et,82
il,il,51
ne,ne,60
trouvait,trouver,18
pas,pas,60
un,un,71
mot,mot,21
pour,pour,81
défendre,défendre,14
l',le,71
empereur,empereur,21
/.,/.,P
c',ce,52
était,être,18
dans,dans,81
un,un,71
livre,livre,21
",",",",p
il,il,51
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
dire,dire,14
non,non,60
/.,/.,P
alors,alors,60
",",",",p
Lantier,Lantier,20
lui,lui,51
poussant,pousser,13
toujours,toujours,60
l',le,71
image,image,22
sous,sous,81
le,le,71
nez,nez,21
d',de,81
un,un,71
air,air,21
goguenard,goguenard,30
",",",",p
il,il,51
laissa,laisser,19
échapper,échapper,14
ce,ce,74
cri,cri,21
",",",",p
en,en,81
arrondissant,arrondir,13
les,le,71
bras,bras,21
:,:,p
-,-,p
eh,eh,93
bien,bien,60
",",",",p
après,après,81
/?,/?,P
est,être,17
ce,ce,52
que,que,83
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
dans,dans,81
la,le,71
nature,nature,22
/?,/?,P
Lantier,Lantier,20
eut,avoir,19
le,le,71
bec,bec,21
cloué,cloué,31
par,par,81
cette,ce,74
réponse,réponse,22
/.,/.,P
il,il,51
rangea,ranger,19
ses,son,73
livres,livre,21
et,et,82
ses,son,73
journaux,journal,21
sur,sur,81
une,un,71
planche,planche,22
de,de,81
l',le,71
armoire,armoire,22
;,;,p
et,et,82
comme,comme,83
il,il,51
paraissait,paraître,18
désolé,désolé,31
de,de,81
ne,ne,60
pas,pas,60
avoir,avoir,14
une,un,71
petite,petit,30
bibliothèque,bibliothèque,22
",",",",p
pendue,pendu,31
au-dessus,au-dessus,60
de,de,81
la,le,71
table,table,22
",",",",p
Gervaise,Gervaise,20
promit,promettre,19
de,de,81
lui,lui,51
en,en,52
procurer,procurer,14
une,un,52
/.,/.,P
il,il,51
possédait,posséder,18
l',le,71
histoire,histoire,22
de,de,81
dix,dix,72
ans,an,21
",",",",p
de,de,81
Louis,Louis,20
Blanc,Blanc,20
",",",",p
moins,moins,60
le,le,71
premier,premier,72
volume,volume,21
",",",",p
qu',que,52
il,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
eu,avoir,12
d',de,81
ailleurs,ailleurs,60
",",",",p
les,le,71
Girondins,Girondin,20
",",",",p
de,de,81
Lamartine,Lamartine,20
",",",",p
en,en,81
livraisons,livraison,22
à,à,81
deux,deux,72
sous,sou,21
",",",",p
les,le,71
mystères,mystère,21
de,de,81
Paris,Paris,20
et,et,82
le,le,71
Juif,Juif,20
errant,errant,30
",",",",p
d',de,81
Eugène,Eugène,20
Sue,Sue,20
",",",",p
sans,sans,81
compter,compter,14
un,un,71
tas,tas,21
de,de,81
bouquins,bouquin,21
philosophiques,philosophique,30
et,et,82
humanitaires,humanitaire,30
",",",",p
ramassés,ramassé,31
chez,chez,81
les,le,71
marchands,marchand,21
de,de,81
vieux,vieux,30
clous,clou,21
/.,/.,P
mais,mais,82
il,il,51
couvait,couver,18
surtout,surtout,60
ses,son,73
journaux,journal,21
d',de,81
un,un,71
regard,regard,21
attendri,attendri,31
et,et,82
respectueux,respectueux,30
/.,/.,P
c',ce,52
était,être,18
une,un,71
collection,collection,22
faite,fait,31
par,par,81
lui,lui,51
",",",",p
depuis,depuis,81
des,de,81
des,le,71
années,année,22
/.,/.,P
chaque,chaque,75
fois,fois,22
qu',que,52
au,à,81
au,le,71
café,café,21
il,il,51
lisait,lire,18
dans,dans,81
un,un,71
journal,journal,21
un,un,71
article,article,21
réussi,réussi,31
et,et,82
selon,selon,81
ses,son,73
idées,idée,22
",",",",p
il,il,51
achetait,acheter,18
le,le,71
journal,journal,21
",",",",p
il,il,51
le,le,52
gardait,garder,18
/.,/.,P
il,il,51
en,en,52
avait,avoir,18
ainsi,ainsi,60
un,un,71
paquet,paquet,21
énorme,énorme,30
",",",",p
de,de,81
toutes,tout,75
les,le,71
dates,date,22
et,et,82
de,de,81
tous,tout,75
les,le,71
titres,titre,21
",",",",p
empilés,empilé,31
sans,sans,81
ordre,ordre,21
aucun,aucun,52
/.,/.,P
quand,quand,83
il,il,51
eut,avoir,19
sortit,sortir,19
ce,ce,74
paquet,paquet,21
du,de,81
du,le,71
fond,fond,21
de,de,81
la,le,71
malle,malle,22
",",",",p
il,il,51
donna,donner,19
dessus,dessus,60
des,de,81
des,le,71
tapes,tape,22
amicales,amical,30
",",",",p
en,en,81
disant,dire,13
aux,à,81
aux,le,71
deux,deux,72
autres,autre,52
:,:,p
-,-,p
vous,vous,51
voyez,voir,17
ça,ça,52
?,?,p
eh,eh,93
bien,bien,60
",",",",p
c',ce,52
est,être,17
à,à,81
papa,papa,21
",",",",p
personne,personne,52
ne,ne,60
peut,pouvoir,17
se,se,51
flatter,flatter,14
d',de,81
avoir,avoir,14
quelque,quelque,75
chose,chose,22
d',de,81
aussi,aussi,60
chouette,chouette,22
/…,/…,P
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
là dedans,là-dedans,60
",",",",p
vous,vous,51
ne,ne,60
vous,vous,51
l',le,52
imaginez,imaginer,17
pas,pas,60
/.,/.,P
c'est-à-dire,c'est-à-dire,91
que,que,83
",",",",p
si,si,83
on,on,51
appliquait,appliquer,18
la,le,71
moitié,moitié,22
de,de,81
ces,ce,74
idées,idée,22
",",",",p
ça,ça,52
nettoierait,nettoyer,16
du,de,81
du,le,71
coup,coup,21
la,le,71
société,société,22
/.,/.,P
oui,oui,60
",",",",p
votre,votre,73
empereur,empereur,21
et,et,82
tous,tout,75
ses,son,73
roussins,roussin,21
boiraient,boire,16
un,un,71
bouillon,bouillon,21
/…,/…,P
mais,mais,82
il,il,51
fut,être,19
interrompu,interrompre,12
par,par,81
le,le,71
sergent,sergent,21
de,de,81
ville,ville,22
",",",",p
dont,dont,52
les,le,71
moustaches,moustache,22
et,et,82
l',le,71
impériale,impériale,22
rouges,rouge,30
remuaient,remuer,18
dans,dans,81
sa,son,73
face,face,22
blême,blême,30
/.,/.,P
-,-,p
et,et,82
l',le,71
armée,armée,22
",",",",p
dites,dire,17
donc,donc,82
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
en,en,52
faites,faire,17
/?,/?,P
alors,alors,60
",",",",p
Lantier,Lantier,20
s',se,51
emporta,emporter,19
/.,/.,P
il,il,51
criait,crier,18
en,en,81
donnant,donner,13
des,de,81
des,le,71
coups,coup,21
de,de,81
poing,poing,21
sur,sur,81
ses,son,73
journaux,journal,21
:,:,p
-,-,p
je,je,51
veux,vouloir,17
la,le,71
suppression,suppression,22
du,de,81
du,le,71
militarisme,militarisme,21
",",",",p
la,le,71
fraternité,fraternité,22
des,de,81
des,le,71
