12010
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-huitième extrait>,<>,<>
/.,/.,P
il,il,51
la,le,52
voyait,voir,18
déjà,déjà,60
revenant,revenir,13
de,de,81
l',le,71
école,école,22
à,à,81
la,le,71
tombée,tombée,22
du,de,81
du,le,71
jour,jour,21
",",",",p
toute,tout,60
rieuse,rieur,30
",",",",p
avec,avec,81
sa,son,73
brassière,brassière,22
tachée,taché,31
d',de,81
encre,encre,22
",",",",p
et,et,82
portant,porter,13
au,à,81
au,le,71
bras,bras,21
son,son,73
panier,panier,21
;,;,p
puis,puis,60
il,il,51
faudrait,falloir,16
la,le,52
mettre,mettre,14
en,en,81
pension,pension,22
",",",",p
cela,cela,52
coûterait,coûter,16
beaucoup,beaucoup,60
;,;,p
comment,comment,60
faire,faire,14
/?,/?,P
alors,alors,60
il,il,51
réfléchissait,réfléchir,18
/.,/.,P
il,il,51
pensait,penser,18
à,à,81
louer,louer,14
une,un,71
petite,petit,30
ferme,ferme,22
aux,à,81
aux,le,71
environs,environs,21
",",",",p
et,et,82
qu',que,52
il,il,51
surveillerait,surveiller,16
lui-même,lui-même,51
",",",",p
tous,tout,75
les,le,71
matins,matin,21
",",",",p
en,en,81
allant,aller,13
voir,voir,14
ses,son,73
malades,malade,21
/.,/.,P
il,il,51
en,en,52
économiserait,économiser,16
le,le,71
revenu,revenu,21
",",",",p
il,il,51
le,le,52
placerait,placer,16
à,à,81
la,le,71
caisse,caisse,22
d',de,81
épargne,épargne,22
;,;,p
ensuite,ensuite,60
il,il,51
achèterait,acheter,16
des,de,81
des,le,71
actions,action,22
",",",",p
quelque,quelque,75
part,part,22
",",",",p
n',ne,60
importe,importer,17
où,où,60
;,;,p
d',de,81
ailleurs,ailleurs,60
",",",",p
la,le,71
clientèle,clientèle,22
augmenterait,augmenter,16
;,;,p
il,il,51
y,y,52
comptait,compter,18
",",",",p
car,car,82
il,il,51
voulait,vouloir,18
que,que,83
Berthe,Berthe,20
fût,être,19
bien,bien,60
élevée,élever,12
",",",",p
qu',que,83
elle,il,51
eût,avoir,19
des,de,81
des,le,71
talents,talent,21
",",",",p
qu',que,83
elle,il,51
apprît,apprendre,18
le,le,71
piano,piano,21
/.,/.,P
ah,ah,93
!,!,p
qu',que,52
elle,il,51
serait,être,16
jolie,joli,30
",",",",p
plus,plus,60
tard,tard,60
",",",",p
à,à,81
quinze,quinze,72
ans,an,21
",",",",p
quand,quand,83
",",",",p
ressemblant,ressembler,13
à,à,81
sa,son,73
mère,mère,22
",",",",p
elle,il,51
porterait,porter,16
comme,comme,83
elle,il,51
",",",",p
dans,dans,81
l',le,71
été,été,21
",",",",p
de,de,81
grands,grand,30
chapeaux,chapeau,21
de,de,81
paille,paille,22
!,!,p
on,on,51
les,le,52
prendrait,prendre,16
de,de,81
loin,loin,60
pour,pour,81
les,le,71
deux,deux,72
soeurs,soeur,22
/.,/.,P
il,il,51
se,se,51
la,le,52
figurait,figurer,18
travaillant,travailler,13
le,le,71
soir,soir,21
auprès,auprès,60
d',de,81
eux,ils,51
",",",",p
sous,sous,81
la,le,71
lumière,lumière,22
de,de,81
la,le,71
lampe,lampe,22
;,;,p
elle,il,51
lui,lui,51
broderait,broder,16
des,de,81
des,le,71
pantoufles,pantoufle,22
;,;,p
elle,il,51
s',se,51
occuperait,occuper,16
du,de,81
du,le,71
ménage,ménage,21
;,;,p
elle,il,51
emplirait,emplir,16
toute,tout,75
la,le,71
maison,maison,22
de,de,81
sa,son,73
gentillesse,gentillesse,22
et,et,82
de,de,81
sa,son,73
gaieté,gaieté,22
/.,/.,P
enfin,enfin,60
",",",",p
ils,ils,51
songeraient,songer,16
à,à,81
son,son,73
établissement,établissement,21
:,:,p
on,on,51
lui,lui,51
trouverait,trouver,16
quelque,quelque,75
brave,brave,30
garçon,garçon,21
ayant,avoir,13
un,un,71
état,état,21
solide,solide,30
;,;,p
il,il,51
la,le,52
rendrait,rendre,16
heureuse,heureux,30
;,;,p
cela,cela,52
durerait,durer,16
toujours,toujours,60
/.,/.,P
Emma,Emma,20
ne,ne,60
dormait,dormir,18
pas,pas,60
",",",",p
elle,il,51
faisait,faire,18
semblant,semblant,21
d',de,81
être,être,14
endormie,endormir,12
;,;,p
et,et,82
",",",",p
tandis qu',tandis que,83
il,il,51
s',se,51
assoupissait,assoupir,18
à,à,81
ses,son,73
côtés,côté,21
",",",",p
elle,il,51
se,se,51
réveillait,réveiller,18
en,en,81
d',de,81
autres,autre,75
rêves,rêve,21
/.,/.,P
au,à,81
au,le,71
galop,galop,21
de,de,81
quatre,quatre,72
chevaux,cheval,21
",",",",p
elle,il,51
était,être,18
emportée,emporter,12
depuis,depuis,81
huit,huit,72
jours,jour,21
vers,vers,81
un,un,71
pays,pays,21
nouveau,nouveau,30
",",",",p
d',de,81
où,où,60
ils,ils,51
ne,ne,60
reviendraient,revenir,16
plus,plus,60
/.,/.,P
ils,ils,51
allaient,aller,18
",",",",p
ils,ils,51
allaient,aller,18
",",",",p
les,le,71
bras,bras,21
enlacés,enlacé,31
",",",",p
sans,sans,81
parler,parler,14
/.,/.,P
souvent,souvent,60
",",",",p
du,de,81
du,le,71
haut,haut,21
d',de,81
une,un,71
montagne,montagne,22
",",",",p
ils,ils,51
apercevaient,apercevoir,18
tout,tout,60
à,à,81
coup,coup,21
quelque,quelque,75
cité,cité,21
splendide,splendide,30
avec,avec,81
des,de,81
des,le,71
dômes,dôme,21
",",",",p
des,de,81
des,le,71
ponts,pont,21
",",",",p
des,de,81
des,le,71
navires,navire,21
",",",",p
des,de,81
des,le,71
forêts,forêt,22
de,de,81
citronniers,citronnier,21
et,et,82
des,de,81
des,le,71
cathédrales,cathédrale,22
de,de,81
marbre,marbre,21
blanc,blanc,30
",",",",p
dont,dont,52
les,le,71
clochers,clocher,21
aigus,aigu,30
portaient,porter,18
des,de,81
des,le,71
nids,nid,21
de,de,81
cigogne,cigogne,22
/.,/.,P
on,on,51
marchait,marcher,18
au,à,81
au,le,71
pas,pas,21
",",",",p
à,à,81
cause,cause,22
des,de,81
des,le,71
grandes,grand,30
dalles,dalle,22
",",",",p
et,et,82
il,il,51
y,y,52
avait,avoir,18
par,par,81
terre,terre,22
des,de,81
des,le,71
bouquets,bouquet,21
de,de,81
fleurs,fleur,22
que,que,52
vous,vous,51
offraient,offrir,18
des,de,81
des,le,71
femmes,femme,22
habillées,habillé,31
en,en,81
corset,corset,21
rouge,rouge,30
/.,/.,P
on,on,51
entendait,entendre,18
sonner,sonner,14
des,de,81
des,le,71
cloches,cloche,22
",",",",p
hennir,hennir,14
les,le,71
mulets,mulet,21
",",",",p
avec,avec,81
le,le,71
murmure,murmure,21
des,de,81
des,le,71
guitares,guitare,22
et,et,82
le,le,71
bruit,bruit,21
des,de,81
des,le,71
fontaines,fontaine,22
",",",",p
dont,dont,52
la,le,71
vapeur,vapeur,22
s',se,51
envolant,envoler,13
rafraîchissait,rafraîchir,18
des,de,81
des,le,71
tas,tas,21
de,de,81
fruits,fruit,21
",",",",p
disposés,disposé,31
en,en,81
pyramide,pyramide,22
au,à,81
au,le,71
pied,pied,21
des,de,81
des,le,71
statues,statue,22
pâles,pâle,30
",",",",p
qui,qui,52
souriaient,sourire,18
sous,sous,81
les,le,71
jets,jet,21
d',de,81
eau,eau,22
/.,/.,P
et,et,82
puis,puis,60
ils,ils,51
arrivaient,arriver,18
",",",",p
un,un,71
soir,soir,21
",",",",p
dans,dans,81
un,un,71
village,village,21
de,de,81
pêcheurs,pêcheur,21
",",",",p
où,où,60
des,de,81
des,le,71
filets,filet,21
bruns,brun,30
séchaient,sécher,18
au,à,81
au,le,71
vent,vent,21
",",",",p
le,le,71
long,long,21
de,de,81
la,le,71
falaise,falaise,22
et,et,82
des,de,81
des,le,71
cabanes,cabane,22
/.,/.,P
c',ce,52
est,être,17
là,là,60
qu',que,83
ils,ils,51
s',se,51
arrêteraient,arrêter,16
pour,pour,81
vivre,vivre,14
;,;,p
ils,ils,51
habiteraient,habiter,16
une,un,71
maison,maison,22
basse,bas,30
",",",",p
à,à,81
toit,toit,21
plat,plat,30
",",",",p
ombragée,ombragé,31
d',de,81
un,un,71
palmier,palmier,21
",",",",p
au,à,81
au,le,71
fond,fond,21
d',de,81
un,un,71
golfe,golfe,21
",",",",p
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
mer,mer,22
/.,/.,P
ils,ils,51
se,se,51
promèneraient,promener,16
en,en,81
gondole,gondole,22
",",",",p
ils,ils,51
se,se,51
balanceraient,balancer,16
en,en,81
hamac,hamac,21
;,;,p
et,et,82
leur,leur,73
existence,existence,22
serait,être,16
facile,facile,30
et,et,82
large,large,30
comme,comme,83
leurs,leur,73
vêtements,vêtement,21
de,de,81
soie,soie,22
",",",",p
toute,tout,60
chaude,chaud,30
et,et,82
étoilée,étoilé,31
comme,comme,83
les,le,71
nuits,nuit,22
douces,doux,30
qu',que,52
ils,ils,51
contempleraient,contempler,16
/.,/.,P
cependant,cependant,82
",",",",p
sur,sur,81
l',le,71
immensité,immensité,22
de,de,81
cet,ce,74
avenir,avenir,21
qu',que,52
elle,il,51
se,se,51
faisait,faire,18
apparaître,apparaître,14
",",",",p
rien,rien,52
de,de,81
particulier,particulier,30
ne,ne,60
surgissait,surgir,18
;,;,p
les,le,71
jours,jour,21
",",",",p
tous,tout,52
magnifiques,magnifique,30
",",",",p
se,se,51
ressemblaient,ressembler,18
comme,comme,83
des,de,81
des,le,71
flots,flot,21
;,;,p
et,et,82
cela,cela,52
se,se,51
balançait,balancer,18
à,à,81
l',le,71
horizon,horizon,21
",",",",p
infini,infini,30
",",",",p
harmonieux,harmonieux,30
",",",",p
bleuâtre,bleuâtre,30
et,et,82
couvert,couvert,31
de,de,81
soleil,soleil,21
/.,/.,P
mais,mais,82
l',le,71
enfant,enfant,21
se,se,51
mettait,mettre,18
à,à,81
tousser,tousser,14
dans,dans,81
son,son,73
berceau,berceau,21
",",",",p
ou,ou,82
bien,bien,60
Bovary,Bovary,20
ronflait,ronfler,18
plus,plus,60
fort,fort,60
",",",",p
et,et,82
Emma,Emma,20
ne,ne,60
s',se,51
endormait,endormir,18
que,que,83
le,le,71
matin,matin,21
",",",",p
quand,quand,83
l',le,71
aube,aube,22
blanchissait,blanchir,18
les,le,71
carreaux,carreau,21
et,et,82
que,que,83
déjà,déjà,60
le,le,71
petit,petit,30
Justin,Justin,20
",",",",p
sur,sur,81
la,le,71
place,place,22
",",",",p
ouvrait,ouvrir,18
les,le,71
auvents,auvent,21
de,de,81
la,le,71
pharmacie,pharmacie,22
/.,/.,P
elle,il,51
avait,avoir,18
fait,faire,12
venir,venir,14
monsieur,monsieur,21
Lheureux,Lheureux,20
et,et,82
lui,lui,51
avait,avoir,18
dit,dire,12
:,:,p
-,-,p
j',je,51
aurais,avoir,16
besoin,besoin,21
d',de,81
un,un,71
manteau,manteau,21
",",",",p
un,un,71
grand,grand,30
manteau,manteau,21
",",",",p
à,à,81
long,long,30
collet,collet,21
",",",",p
doublé,doublé,31
/.,/.,P
-,-,p
vous,vous,51
partez,partir,17
en,en,81
voyage,voyage,21
?,?,p
demanda,demander,19
t,t,94
il,il,51
/.,/.,P
-,-,p
non,non,60
!,!,p
mais,mais,82
…,…,p
n',ne,60
importe,importer,17
",",",",p
je,je,51
compte,compter,17
sur,sur,81
vous,vous,51
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
et,et,82
vivement,vivement,60
/!,/!,P
il,il,51
s',se,51
inclina,incliner,19
/.,/.,P
-,-,p
il,il,51
me,je,51
faudrait,falloir,16
encore,encore,60
",",",",p
reprit,reprendre,19
elle,il,51
",",",",p
une,un,71
caisse,caisse,22
…,…,p
pas,pas,60
trop,trop,60
lourde,lourd,30
…,…,p
commode,commode,30
/.,/.,P
-,-,p
oui,oui,60
",",",",p
oui,oui,60
",",",",p
j',je,51
entends,entendre,17
",",",",p
de,de,81
quatre,quatre,72
vingt,vingt,72
douze,douze,72
centimètres,centimètre,21
environ,environ,60
sur,sur,81
cinquante,cinquante,72
",",",",p
comme,comme,83
on,on,51
les,le,52
fait,faire,17
à,à,81
présent,présent,21
/.,/.,P
-,-,p
avec,avec,81
un,un,71
sac,sac,21
de,de,81
nuit,nuit,22
/.,/.,P
-,-,p
décidément,décidément,60
",",",",p
pensa,penser,19
Lheureux,Lheureux,20
",",",",p
il,il,51
y,y,52
a,avoir,17
du,de,81
du,le,71
grabuge,grabuge,21
là-dessous,là-dessous,60
/.,/.,P
-,-,p
et,et,82
tenez,tenir,17
",",",",p
dit,dire,19
madame,madame,22
Bovary,Bovary,20
en,en,81
tirant,tirer,13
sa,son,73
montre,montre,22
de,de,81
sa,son,73
ceinture,ceinture,22
",",",",p
prenez,prendre,17
cela,cela,52
;,;,p
vous,vous,51
vous,vous,51
payerez,payer,15
dessus,dessus,60
/.,/.,P
mais,mais,82
le,le,71
marchand,marchand,21
s',se,51
écria,écrier,19
qu',que,83
elle,il,51
avait,avoir,18
tort,tort,21
;,;,p
ils,ils,51
se,se,51
connaissaient,connaître,18
;,;,p
est,être,17
ce,ce,52
qu',que,83
il,il,51
doutait,douter,18
d',de,81
elle,il,51
/?,/?,P
quel,quel,75
enfantillage,enfantillage,21
/!,/!,P
elle,il,51
insista,insister,19
cependant,cependant,82
pour,pour,81
qu',que,83
il,il,51
prît,prendre,18
au,à,81
au,le,71
moins,moins,60
la,le,71
chaîne,chaîne,22
",",",",p
et,et,82
déjà,déjà,60
Lheureux,Lheureux,20
l',le,52
avait,avoir,18
mise,mettre,12
dans,dans,81
sa,son,73
poche,poche,22
et,et,82
s',se,51
en,en,52
allait,aller,18
",",",",p
quand,quand,83
elle,il,51
le,le,52
rappela,rappeler,19
/.,/.,P
-,-,p
vous,vous,51
laisserez,laisser,15
tout,tout,52
chez,chez,81
vous,vous,51
/.,/.,P
quant,quand,83
au,à,81
au,le,71
manteau,manteau,21
",",",",p
-,-,p
elle,il,51
eut,avoir,19
l',le,71
air,air,21
de,de,81
réfléchir,réfléchir,14
",",",",p
-,-,p
ne,ne,60
l',le,52
apportez,apporter,17
pas,pas,60
non,non,60
plus,plus,60
;,;,p
seulement,seulement,60
",",",",p
vous,vous,51
me,je,51
donnerez,donner,15
l',le,71
adresse,adresse,22
de,de,81
l',le,71
ouvrier,ouvrier,21
et,et,82
avertirez,avertir,15
qu',que,83
on,on,51
le,le,52
tienne,tenir,17
à,à,81
ma,mon,73
disposition,disposition,22
/.,/.,P
c',ce,52
était,être,18
le,le,71
mois,mois,21
prochain,prochain,30
qu',que,83
ils,ils,51
devaient,devoir,18
s',se,51
enfuir,enfuir,14
/.,/.,P
elle,il,51
partirait,partir,16
d',de,81
Yonville,Yonville,20
comme,comme,83
pour,pour,81
aller,aller,14
faire,faire,14
des,de,81
des,le,71
commissions,commission,22
à,à,81
Rouen,Rouen,20
/.,/.,P
Rodolphe,Rodolphe,20
aurait,avoir,16
retenu,retenir,12
les,le,71
places,place,22
",",",",p
pris,prendre,12
des,de,81
des,le,71
passeports,passeport,21
",",",",p
et,et,82
même,même,60
écrit,écrire,12
à,à,81
Paris,Paris,20
",",",",p
afin,afin,81
d',de,81
avoir,avoir,14
la,le,71
malle,malle,22
entière,entier,30
jusqu',jusque,81
à,à,81
Marseille,Marseille,20
",",",",p
où,où,60
ils,ils,51
achèteraient,acheter,16
une,un,71
calèche,calèche,22
et,et,82
",",",",p
de,de,81
là,là,60
",",",",p
continueraient,continuer,16
sans,sans,81
s',se,51
arrêter,arrêter,14
",",",",p
par,par,81
la,le,71
route,route,22
de,de,81
Gênes,Gênes,20
/.,/.,P
elle,il,51
aurait,avoir,16
eu,avoir,12
soin,soin,21
d',de,81
envoyer,envoyer,14
chez,chez,81
Lheureux,Lheureux,20
son,son,73
bagage,bagage,21
",",",",p
qui,qui,52
serait,être,16
directement,directement,60
porté,porter,12
à,à,81
l',le,71
hirondelle,hirondelle,22
",",",",p
de,de,81
manière,manière,22
que,que,83
personne,personne,52
ainsi,ainsi,60
n',ne,60
aurait,avoir,16
de,de,81
soupçons,soupçon,21
;,;,p
et,et,82
",",",",p
dans,dans,81
tout,tout,75
cela,cela,52
",",",",p
jamais,jamais,60
il,il,51
n',ne,60
était,être,18
question,question,22
de,de,81
son,son,73
enfant,enfant,21
/.,/.,P
Rodolphe,Rodolphe,20
évitait,éviter,18
d',de,81
en,en,52
parler,parler,14
;,;,p
peut-être,peut-être,60
qu',que,83
elle,il,51
n',ne,60
y,y,52
pensait,penser,18
pas,pas,60
/.,/.,P
il,il,51
voulut,vouloir,19
avoir,avoir,14
encore,encore,60
deux,deux,72
semaines,semaine,22
devant,devant,81
lui,lui,51
",",",",p
pour,pour,81
terminer,terminer,14
quelques,quelque,75
dispositions,disposition,22
;,;,p
puis,puis,60
",",",",p
au,à,81
au,le,71
bout,bout,21
de,de,81
huit,huit,72
jours,jour,21
",",",",p
il,il,51
en,en,52
demanda,demander,19
quinze,quinze,72
autres,autre,52
;,;,p
puis,puis,60
il,il,51
se,se,51
dit,dire,19
malade,malade,30
;,;,p
ensuite,ensuite,60
il,il,51
fit,faire,19
un,un,71
voyage,voyage,21
;,;,p
le,le,71
mois,mois,21
d',de,81
août,août,21
se,se,51
passa,passer,19
",",",",p
et,et,82
",",",",p
après,après,81
tous,tout,75
ces,ce,74
retards,retard,21
",",",",p
ils,ils,51
arrêtèrent,arrêter,19
que,que,83
ce,ce,52
serait,être,16
irrévocablement,irrévocablement,60
pour,pour,81
le,le,71
<Nombre 4 septembre>,<>,<>
quatre,quatre,72
septembre,septembre,21
<Fin nombre>,<>,<>
",",",",p
un,un,71
lundi,lundi,21
/.,/.,P
enfin,enfin,60
le,le,71
samedi,samedi,21
",",",",p
l',le,71
avant-veille,avant-veille,22
",",",",p
arriva,arriver,19
/.,/.,P
Rodolphe,Rodolphe,20
vint,venir,19
le,le,71
soir,soir,21
",",",",p
plus,plus,60
tôt,tôt,60
que,que,83
de,de,81
coutume,coutume,22
/.,/.,P
-,-,p
tout,tout,52
est,être,17
il,il,51
prêt,prêt,30
?,?,p
lui,lui,51
demanda,demander,19
t,t,94
elle,il,51
/.,/.,P
-,-,p
oui,oui,60
/.,/.,P
alors,alors,60
ils,ils,51
firent,faire,19
le,le,71
tour,tour,21
d',de,81
une,un,71
plate-bande,plate-bande,22
",",",",p
et,et,82
allèrent,aller,19
s',se,51
asseoir,asseoir,14
près,près,81
de,de,81
la,le,71
terrasse,terrasse,22
",",",",p
sur,sur,81
la,le,71
margelle,margelle,22
du,de,81
du,le,71
mur,mur,21
/.,/.,P
-,-,p
tu,tu,51
es,être,17
triste,triste,30
",",",",p
dit,dire,19
Emma,Emma,20
/.,/.,P
-,-,p
non,non,60
",",",",p
pourquoi,pourquoi,60
/?,/?,P
et,et,82
cependant,cependant,82
il,il,51
la,le,52
regardait,regarder,18
singulièrement,singulièrement,60
",",",",p
d',de,81
une,un,71
façon,façon,22
tendre,tendre,30
/.,/.,P
-,-,p
est,être,17
ce,ce,52
de,de,81
t',tu,51
en,en,52
aller,aller,14
?,?,p
reprit,reprendre,19
elle,il,51
",",",",p
de,de,81
quitter,quitter,14
tes,ton,73
affections,affection,22
",",",",p
ta,ton,73
vie,vie,22
?,?,p
ah,ah,93
!,!,p
je,je,51
comprends,comprendre,17
/…,/…,P
mais,mais,82
",",",",p
moi,moi,51
",",",",p
je,je,51
n',ne,60
ai,avoir,17
rien,rien,52
au,à,81
au,le,71
monde,monde,21
!,!,p
tu,tu,51
es,être,17
tout,tout,52
pour,pour,81
moi,moi,51
/.,/.,P
aussi,aussi,60
je,je,51
serai,être,16
tout,tout,52
pour,pour,81
toi,toi,51
",",",",p
je,je,51
te,tu,51
serai,être,16
une,un,71
famille,famille,22
",",",",p
une,un,71
patrie,patrie,22
;,;,p
je,je,51
te,tu,51
soignerai,soigner,15
",",",",p
je,je,51
t',tu,51
aimerai,aimer,15
/.,/.,P
-,-,p
que,que,52
tu,tu,51
es,être,17
charmante,charmant,30
!,!,p
dit,dire,19
il,il,51
en,en,81
la,le,52
saisissant,saisir,13
dans,dans,81
ses,son,73
bras,bras,21
/.,/.,P
-,-,p
vrai,vrai,60
?,?,p
fit,faire,19
elle,il,51
avec,avec,81
un,un,71
rire,rire,21
de,de,81
volupté,volupté,22
/.,/.,P
m',je,51
aimes,aimer,17
tu,tu,51
/?,/?,P
jure,jurer,17
le,le,52
donc,donc,82
/!,/!,P
-,-,p
si,si,83
je,je,51
t',tu,51
aime,aimer,17
!,!,p
si,si,83
je,je,51
t',tu,51
aime,aimer,17
!,!,p
mais,mais,82
je,je,51
t',tu,51
adore,adorer,17
",",",",p
mon,mon,73
amour,amour,21
/!,/!,P
la,le,71
lune,lune,22
",",",",p
toute,tout,75
ronde,ronde,22
et,et,82
couleur,couleur,22
de,de,81
pourpre,pourpre,22
",",",",p
se,se,51
levait,lever,18
à,à,81
ras,ras,21
de,de,81
terre,terre,22
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
prairie,prairie,22
/.,/.,P
elle,il,51
montait,monter,18
vite,vite,60
entre,entre,81
les,le,71
branches,branche,22
des,de,81
des,le,71
peupliers,peuplier,21
",",",",p
qui,qui,52
la,le,52
cachaient,cacher,18
de,de,81
place,place,22
en,en,81
place,place,22
",",",",p
comme,comme,83
un,un,71
rideau,rideau,21
noir,noir,30
",",",",p
troué,troué,31
/.,/.,P
puis,puis,60
elle,il,51
parut,paraître,19
",",",",p
éclatante,éclatant,30
de,de,81
blancheur,blancheur,22
",",",",p
dans,dans,81
le,le,71
ciel,ciel,21
vide,vide,30
qu',que,52
elle,il,51
éclairait,éclairer,18
;,;,p
et,et,82
alors,alors,60
",",",",p
se,se,51
ralentissant,ralentir,13
",",",",p
elle,il,51
laissa,laisser,19
tomber,tomber,14
sur,sur,81
la,le,71
rivière,rivière,22
une,un,71
grande,grand,30
tache,tache,22
",",",",p
qui,qui,52
faisait,faire,18
une,un,71
infinité,infinité,22
d',de,81
étoiles,étoile,22
;,;,p
et,et,82
cette,ce,74
lueur,lueur,22
d',de,81
argent,argent,21
semblait,sembler,18
s',se,51
y,y,52
tordre,tordre,14
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
",",",",p
à,à,81
la,le,71
manière,manière,22
d',de,81
un,un,71
serpent,serpent,21
sans,sans,81
tête,tête,22
couvert,couvert,31
d',de,81
écailles,écaille,22
lumineuses,lumineux,30
/.,/.,P
cela,cela,52
ressemblait,ressembler,18
aussi,aussi,60
à,à,81
quelque,quelque,75
monstrueux,monstrueux,30
candélabre,candélabre,21
",",",",p
d',de,81
où,où,60
ruisselaient,ruisseler,18
",",",",p
tout,tout,60
du,de,81
du,le,71
long,long,21
",",",",p
des,de,81
des,le,71
gouttes,goutte,22
de,de,81
diamant,diamant,21
en,en,81
fusion,fusion,22
/.,/.,P
la,le,71
nuit,nuit,22
douce,doux,30
s',se,51
étalait,étaler,18
autour,autour,60
d',de,81
eux,ils,51
;,;,p
des,de,81
des,le,71
nappes,nappe,22
d',de,81
ombre,ombre,22
emplissaient,emplir,18
les,le,71
feuillages,feuillage,21
/.,/.,P
Emma,Emma,20
",",",",p
les,le,71
yeux,oeil,21
à,à,81
demi,demi,30
clos,clos,31
",",",",p
aspirait,aspirer,18
avec,avec,81
de,de,81
grands,grand,30
soupirs,soupir,21
le,le,71
vent,vent,21
frais,frais,30
qui,qui,52
soufflait,souffler,18
/.,/.,P
ils,ils,51
ne,ne,60
se,se,51
parlaient,parler,18
pas,pas,60
",",",",p
trop,trop,60
perdus,perdu,31
qu',que,83
ils,ils,51
étaient,être,18
dans,dans,81
l',le,71
envahissement,envahissement,21
de,de,81
leur,leur,73
rêverie,rêverie,22
/.,/.,P
la,le,71
tendresse,tendresse,22
des,de,81
des,le,71
anciens,ancien,30
jours,jour,21
leur,leur,52
revenait,revenir,18
au,à,81
au,le,71
coeur,coeur,21
",",",",p
abondante,abondant,30
et,et,82
silencieuse,silencieux,30
comme,comme,83
la,le,71
rivière,rivière,22
qui,qui,52
coulait,couler,18
",",",",p
avec,avec,81
autant,autant,60
de,de,81
mollesse,mollesse,22
qu',que,83
en,en,52
apportait,apporter,18
le,le,71
parfum,parfum,21
des,de,81
des,le,71
seringas,seringa,21
",",",",p
et,et,82
projetait,projeter,18
dans,dans,81
leur,leur,73
souvenir,souvenir,21
des,de,81
des,le,71
ombres,ombre,22
plus,plus,60
démesurées,démesuré,30
et,et,82
plus,plus,60
mélancoliques,mélancolique,30
que,que,83
celles,celui,52
des,de,81
des,le,71
saules,saule,21
immobiles,immobile,30
qui,qui,52
s',se,51
allongeaient,allonger,18
sur,sur,81
l',le,71
herbe,herbe,22
/.,/.,P
souvent,souvent,60
quelque,quelque,75
bête,bête,22
nocturne,nocturne,30
",",",",p
hérisson,hérisson,21
ou,ou,82
belette,belette,22
",",",",p
se,se,51
mettant,mettre,13
en,en,81
chasse,chasse,22
",",",",p
dérangeait,déranger,18
les,le,71
feuilles,feuille,22
",",",",p
ou,ou,82
bien,bien,60
on,on,51
entendait,entendre,18
par,par,81
moments,moment,21
une,un,71
pêche,pêche,22
mûre,mûr,30
qui,qui,52
tombait,tomber,18
toute,tout,60
seule,seul,30
de,de,81
l',le,71
espalier,espalier,21
/.,/.,P
-,-,p
ah,ah,93
!,!,p
la,le,71
belle,beau,30
nuit,nuit,22
!,!,p
dit,dire,19
Rodolphe,Rodolphe,20
/.,/.,P
-,-,p
nous,nous,51
en,en,52
aurons,avoir,15
d',de,81
autres,autre,52
!,!,p
reprit,reprendre,19
Emma,Emma,20
/.,/.,P
et,et,82
",",",",p
comme,comme,83
se,se,51
parlant,parler,13
à,à,81
elle-même,lui-même,51
:,:,p
-,-,p
oui,oui,60
",",",",p
il,il,51
fera,faire,15
bon,bon,60
voyager,voyager,14
/…,/…,P
pourquoi,pourquoi,60
ai,avoir,17
je,je,51
le,le,71
coeur,coeur,21
triste,triste,30
",",",",p
cependant,cependant,82
/?,/?,P
est,être,17
ce,ce,52
l',le,71
appréhension,appréhension,22
de,de,81
l',le,71
inconnu,inconnu,21
…,…,p
l',le,71
effet,effet,21
des,de,81
des,le,71
habitudes,habitude,22
quittées,quitté,31
…,…,p
ou,ou,82
plutôt,plutôt,60
/…,/…,P
non,non,60
",",",",p
c',ce,52
est,être,17
l',le,71
excès,excès,21
du,de,81
du,le,71
bonheur,bonheur,21
/!,/!,P
que,que,52
je,je,51
suis,être,17
faible,faible,30
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
pardonne,pardonner,17
moi,moi,51
/!,/!,P
-,-,p
il,il,51
est,être,17
encore,encore,60
temps,temps,21
!,!,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
/.,/.,P
réfléchis,réfléchir,17
",",",",p
tu,tu,51
t',tu,51
en,en,52
repentiras,repentir,15
peut-être,peut-être,60
/.,/.,P
-,-,p
jamais,jamais,60
!,!,p
fit,faire,19
elle,il,51
impétueusement,impétueusement,60
/.,/.,P
et,et,82
",",",",p
en,en,81
se,se,51
rapprochant,rapprocher,13
de,de,81
lui,lui,51
:,:,p
-,-,p
quel,quel,75
malheur,malheur,21
donc,donc,82
peut,pouvoir,17
il,il,51
me,je,51
survenir,survenir,14
/?,/?,P
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
désert,désert,21
",",",",p
pas,pas,60
de,de,81
précipice,précipice,21
ni,ni,82
d',de,81
océan,océan,21
que,que,52
je,je,51
ne,ne,60
traverserais,traverser,16
avec,avec,81
toi,toi,51
/.,/.,P
à,à,81
mesure,mesure,22
que,que,83
nous,nous,51
vivrons,vivre,15
ensemble,ensemble,60
