11375
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dixième extrait>,<>,<>
de,de,81
la,le,71
journée,journée,22
que,que,83
les,le,71
autres,autre,52
/.,/.,P
tous,tout,52
se,se,51
taisaient,taire,18
et,et,82
s',se,51
occupaient,occuper,18
froidement,froidement,60
de,de,81
réparer,réparer,14
leur,leur,73
tenue,tenue,22
et,et,82
de,de,81
la,le,52
rendre,rendre,14
plus,plus,60
correcte,correct,30
/.,/.,P
rien,rien,52
n',ne,60
annonçait,annoncer,18
l',le,71
inquiétude,inquiétude,22
ou,ou,82
le,le,71
mécontentement,mécontentement,21
/.,/.,P
ils,ils,51
étaient,être,18
à,à,81
leurs,leur,73
rangs,rang,21
",",",",p
comme,comme,83
après,après,81
un,un,71
jour,jour,21
de,de,81
revue,revue,22
",",",",p
attendant,attendre,13
les,le,71
ordres,ordre,21
/.,/.,P
quand,quand,83
nous,nous,51
fûmes,être,19
assis,asseoir,12
",",",",p
notre,notre,73
vieux,vieux,30
camarade,camarade,21
prit,prendre,19
la,le,71
parole,parole,22
",",",",p
et,et,82
à,à,81
sa,son,73
manière,manière,22
me,je,51
raconta,raconter,19
trois,trois,72
grandes,grand,30
époques,époque,22
qui,qui,52
me,je,51
donnèrent,donner,19
le,le,71
sens,sens,21
de,de,81
sa,son,73
vie,vie,22
et,et,82
m',je,51
expliquèrent,expliquer,19
la,le,71
bizarrerie,bizarrerie,22
de,de,81
ses,son,73
habitudes,habitude,22
et,et,82
ce,ce,52
qu',que,52
il,il,51
y,y,52
avait,avoir,18
de,de,81
sombre,sombre,30
dans,dans,81
son,son,73
caractère,caractère,21
/.,/.,P
rien,rien,52
de,de,81
ce,ce,52
qu',que,52
il,il,51
m',je,51
a,avoir,17
dit,dire,12
ne,ne,60
s',se,51
est,être,17
effacé,effacer,12
de,de,81
ma,mon,73
mémoire,mémoire,22
",",",",p
et,et,82
je,je,51
le,le,52
répéterai,répéter,15
presque,presque,60
mot,mot,21
pour,pour,81
mot,mot,21
/.,/.,P
<Chapitre III>,<>,<>
Malte,Malte,20
/.,/.,P
je,je,51
ne,ne,60
suis,être,17
rien,rien,21
",",",",p
dit,dire,19
il,il,51
d'abord,d'abord,60
",",",",p
et,et,82
c',ce,52
est,être,17
à,à,81
présent,présent,21
un,un,71
bonheur,bonheur,21
pour,pour,81
moi,moi,51
que,que,83
de,de,81
penser,penser,14
cela,cela,52
;,;,p
mais,mais,82
si,si,83
j',je,51
étais,être,18
quelque,quelque,75
chose,chose,22
",",",",p
je,je,51
pourrais,pouvoir,16
dire,dire,14
comme,comme,83
Louis XIV,Louis XIV,20
:,:,p
j',je,51
ai,avoir,17
trop,trop,60
aimé,aimer,12
la,le,71
guerre,guerre,22
/.,/.,P
-,-,p
que,que,52
voulez,vouloir,17
vous,vous,51
/?,/?,P
Bonaparte,Bonaparte,20
m',je,51
avait,avoir,18
grisé,griser,12
dès,dès,81
l',le,71
enfance,enfance,22
comme,comme,83
les,le,71
autres,autre,52
",",",",p
et,et,82
sa,son,73
gloire,gloire,22
me,je,51
montait,monter,18
à,à,81
la,le,71
tête,tête,22
si,si,60
violemment,violemment,60
",",",",p
que,que,83
je,je,51
n',ne,60
avais,avoir,18
plus,plus,60
de,de,81
place,place,22
dans,dans,81
le,le,71
cerveau,cerveau,21
pour,pour,81
une,un,71
autre,autre,75
idée,idée,22
/.,/.,P
mon,mon,73
père,père,21
",",",",p
vieil,vieux,30
officier,officier,21
supérieur,supérieur,30
",",",",p
toujours,toujours,60
dans,dans,81
les,le,71
camps,camp,21
",",",",p
m',je,51
était,être,18
tout,tout,60
à,à,81
fait,fait,21
inconnu,inconnu,30
",",",",p
quand,quand,83
un,un,71
jour,jour,21
il,il,51
lui,lui,51
prit,prendre,19
fantaisie,fantaisie,22
de,de,81
me,je,51
conduire,conduire,14
en,en,81
Egypte,Egypte,20
avec,avec,81
lui,lui,51
/.,/.,P
j',je,51
avais,avoir,18
douze,douze,72
ans,an,21
",",",",p
et,et,82
je,je,51
me,je,51
souviens,souvenir,17
encore,encore,60
de,de,81
ce,ce,74
temps,temps,21
comme,comme,83
si,si,83
j',je,51
y,y,52
étais,être,18
",",",",p
des,de,81
des,le,71
sentiments,sentiment,21
de,de,81
toute,tout,75
l',le,71
armée,armée,22
et,et,82
de,de,81
ceux,celui,52
qui,qui,52
prenaient,prendre,18
déjà,déjà,60
possession,possession,22
de,de,81
mon,mon,73
âme,âme,22
/.,/.,P
deux,deux,72
esprits,esprit,21
enflaient,enfler,18
les,le,71
voiles,voile,22
de,de,81
nos,notre,73
vaisseaux,vaisseau,21
",",",",p
l',le,71
esprit,esprit,21
de,de,81
gloire,gloire,22
et,et,82
l',le,71
esprit,esprit,21
de,de,81
piraterie,piraterie,22
/.,/.,P
mon,mon,73
père,père,21
n',ne,60
écoutait,écouter,18
pas,pas,60
plus,plus,60
le,le,71
second,second,72
que,que,83
le,le,71
vent,vent,21
de,de,81
nord-ouest,nord-ouest,21
qui,qui,52
nous,nous,51
emportait,emporter,18
;,;,p
mais,mais,82
le,le,71
premier,premier,72
bourdonnait,bourdonner,18
si,si,60
fort,fort,60
à,à,81
mes,mon,73
oreilles,oreille,22
",",",",p
qu',que,83
il,il,51
me,je,51
rendit,rendre,19
sourd,sourd,30
pendant,pendant,81
longtemps,longtemps,60
à,à,81
tous,tout,75
les,le,71
bruits,bruit,21
du,de,81
du,le,71
monde,monde,21
",",",",p
hors,hors,81
à,à,81
la,le,71
musique,musique,22
de,de,81
Charles XII,Charles XII,20
",",",",p
le,le,71
canon,canon,21
/.,/.,P
le,le,71
canon,canon,21
me,je,51
semblait,sembler,18
la,le,71
voix,voix,22
de,de,81
Bonaparte,Bonaparte,20
",",",",p
et,et,82
",",",",p
tout,tout,75
enfant,enfant,21
que,que,83
j',je,51
étais,être,18
",",",",p
quand,quand,83
il,il,51
grondait,gronder,18
",",",",p
je,je,51
devenais,devenir,18
rouge,rouge,30
de,de,81
plaisir,plaisir,21
",",",",p
je,je,51
sautais,sauter,18
de,de,81
joie,joie,22
",",",",p
je,je,51
lui,lui,51
battais,battre,18
des,de,81
des,le,71
mains,main,22
",",",",p
je,je,51
lui,lui,51
répondais,répondre,18
par,par,81
de,de,81
grands,grand,30
cris,cri,21
/.,/.,P
ces,ce,74
premières,premier,72
émotions,émotion,22
préparèrent,préparer,19
l',le,71
enthousiasme,enthousiasme,21
exagéré,exagéré,31
qui,qui,52
fut,être,19
le,le,71
but,but,21
et,et,82
la,le,71
folie,folie,22
de,de,81
ma,mon,73
vie,vie,22
/.,/.,P
une,un,71
rencontre,rencontre,22
",",",",p
mémorable,mémorable,30
pour,pour,81
moi,moi,51
",",",",p
décida,décider,19
cette,ce,74
sorte,sorte,22
d',de,81
admiration,admiration,22
fatale,fatal,30
",",",",p
cette,ce,74
adoration,adoration,22
insensée,insensé,30
à,à,81
laquelle,lequel,52
je,je,51
voulus,vouloir,19
trop,trop,60
sacrifier,sacrifier,14
/.,/.,P
la,le,71
flotte,flotte,22
venait,venir,18
d',de,81
appareiller,appareiller,14
depuis,depuis,81
le,le,71
<Nombre 30>,<>,<>
trente,trente,72
<Fin nombre>,<>,<>
floréal,floréal,21
an,an,21
VI,VI,20
/.,/.,P
je,je,51
passai,passer,19
le,le,71
jour,jour,21
et,et,82
la,le,71
nuit,nuit,22
sur,sur,81
le,le,71
pont,pont,21
à,à,81
me,je,51
pénétrer,pénétrer,14
du,de,81
du,le,71
bonheur,bonheur,21
de,de,81
voir,voir,14
la,le,71
grande,grand,30
mer,mer,22
bleue,bleu,30
et,et,82
nos,notre,73
vaisseaux,vaisseau,21
/.,/.,P
je,je,51
comptai,compter,19
cent,cent,72
bâtiments,bâtiment,21
et,et,82
je,je,51
ne,ne,60
pus,pouvoir,19
tout,tout,52
compter,compter,14
/.,/.,P
notre,notre,73
ligne,ligne,22
militaire,militaire,30
avait,avoir,18
une,un,71
lieue,lieue,22
d',de,81
étendue,étendue,22
",",",",p
et,et,82
le,le,71
demi-cercle,demi-cercle,21
que,que,52
formait,former,18
le,le,71
convoi,convoi,21
en,en,52
avait,avoir,18
au,à,81
au,le,71
moins,moins,60
six,six,72
/.,/.,P
je,je,51
ne,ne,60
disais,dire,18
rien,rien,52
/.,/.,P
je,je,51
regardai,regarder,19
passer,passer,14
la,le,71
Corse,Corse,20
tout,tout,60
près,près,81
de,de,81
nous,nous,51
",",",",p
traînant,traîner,13
la,le,71
Sardaigne,Sardaigne,20
à,à,81
sa,son,73
suite,suite,22
",",",",p
et,et,82
bientôt,bientôt,60
arriva,arriver,19
la,le,71
Sicile,Sicile,20
à,à,81
notre,notre,73
gauche,gauche,22
/.,/.,P
car,car,82
la,le,71
Junon,Junon,20
",",",",p
qui,qui,52
portait,porter,18
mon,mon,73
père,père,21
et,et,82
moi,moi,51
",",",",p
était,être,18
destinée,destiner,12
à,à,81
éclairer,éclairer,14
la,le,71
route,route,22
et,et,82
à,à,81
former,former,14
l',le,71
avant-garde,avant-garde,22
avec,avec,81
trois,trois,72
autres,autre,75
frégates,frégate,22
/.,/.,P
mon,mon,73
père,père,21
me,je,51
tenait,tenir,18
la,le,71
main,main,22
",",",",p
et,et,82
me,je,51
montra,montrer,19
l',le,71
Etna,Etna,20
tout,tout,60
fumant,fumant,30
et,et,82
des,de,81
des,le,71
rochers,rocher,21
que,que,52
je,je,51
n',ne,60
oubliai,oublier,19
point,point,60
:,:,p
c',ce,52
était,être,18
la,le,71
Favaniane,Favaniane,20
et,et,82
le,le,71
mont,mont,21
Eryx,Eryx,20
/.,/.,P
Marsala,Marsala,20
",",",",p
l',le,71
ancien,ancien,30
Lilybée,Lilybée,20
",",",",p
passait,passer,18
à,à,81
travers,travers,21
ses,son,73
vapeurs,vapeur,22
;,;,p
je,je,51
pris,prendre,19
ses,son,73
maisons,maison,22
blanches,blanc,30
pour,pour,81
des,de,81
des,le,71
colombes,colombe,22
perçant,percer,13
un,un,71
nuage,nuage,21
;,;,p
et,et,82
un,un,71
matin,matin,21
",",",",p
c',ce,52
était,être,18
…,…,p
oui,oui,60
",",",",p
c',ce,52
était,être,18
le,le,71
<Nombre 24>,<>,<>
vingt,vingt,72
quatre,quatre,72
<Fin nombre>,<>,<>
prairial,prairial,21
",",",",p
je,je,51
vis,voir,19
",",",",p
au,à,81
au,le,71
lever,lever,21
du,de,81
du,le,71
jour,jour,21
",",",",p
arriver,arriver,14
devant,devant,81
moi,moi,51
un,un,71
tableau,tableau,21
qui,qui,52
m',je,51
éblouit,éblouir,19
pour,pour,81
vingt,vingt,72
ans,an,21
/.,/.,P
Malte,Malte,20
était,être,18
debout,debout,60
avec,avec,81
ses,son,73
forts,fort,21
",",",",p
ses,son,73
canons,canon,21
à,à,81
fleur,fleur,22
d',de,81
eau,eau,22
",",",",p
ses,son,73
longues,long,30
murailles,muraille,22
luisantes,luisant,30
au,à,81
au,le,71
soleil,soleil,21
comme,comme,83
des,de,81
des,le,71
marbres,marbre,21
nouvellement,nouvellement,60
polis,poli,31
",",",",p
et,et,82
sa,son,73
fourmilière,fourmilière,22
de,de,81
galères,galère,22
toutes,tout,60
minces,mince,30
courant,courir,13
sur,sur,81
de,de,81
longues,long,30
rames,rame,22
rouges,rouge,30
/.,/.,P
cent,cent,72
quatre,quatre,72
vingt,vingt,72
quatorze,quatorze,72
bâtiments,bâtiment,21
français,français,30
l',le,52
enveloppaient,envelopper,18
de,de,81
leurs,leur,73
grandes,grand,30
voiles,voile,22
et,et,82
de,de,81
leurs,leur,73
pavillons,pavillon,21
bleus,bleu,30
",",",",p
rouges,rouge,30
et,et,82
blancs,blanc,30
que,que,52
l',l',94
on,on,51
hissait,hisser,18
",",",",p
en,en,81
ce,ce,74
moment,moment,21
",",",",p
à,à,81
tous,tout,75
les,le,71
mâts,mât,21
",",",",p
tandis que,tandis que,83
l',le,71
étendard,étendard,21
de,de,81
la,le,71
religion,religion,22
s',se,51
abaissait,abaisser,18
lentement,lentement,60
sur,sur,81
le,le,71
Gozo,Gozo,20
et,et,82
le,le,71
fort,fort,21
Saint-Elme,Saint Elme,20
:,:,p
c',ce,52
était,être,18
la,le,71
dernière,dernier,30
croix,croix,22
militante,militant,30
qui,qui,52
tombait,tomber,18
/.,/.,P
alors,alors,60
la,le,71
flotte,flotte,22
tira,tirer,19
cinq,cinq,72
cents,cent,72
coups,coup,21
de,de,81
canon,canon,21
/.,/.,P
le,le,71
vaisseau,vaisseau,21
l',le,71
Orient,Orient,20
était,être,18
en,en,81
face,face,22
",",",",p
seul,seul,30
à,à,81
l',le,71
écart,écart,21
",",",",p
grand,grand,30
et,et,82
immobile,immobile,30
/.,/.,P
devant,devant,81
lui,lui,51
vinrent,venir,19
passer,passer,14
lentement,lentement,60
",",",",p
et,et,82
l',le,71
un,un,52
après,après,81
l',le,71
autre,autre,52
",",",",p
tous,tout,75
les,le,71
bâtiments,bâtiment,21
de,de,81
guerre,guerre,22
",",",",p
et,et,82
je,je,51
vis,voir,19
de,de,81
loin,loin,60
Desaix,Desaix,20
saluer,saluer,14
Bonaparte,Bonaparte,20
/.,/.,P
nous,nous,51
montâmes,monter,19
près,près,81
de,de,81
lui,lui,51
à,à,81
bord,bord,21
de,de,81
l',le,71
Orient,Orient,20
/.,/.,P
enfin,enfin,60
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
je,je,51
le,le,52
vis,voir,19
/.,/.,P
il,il,51
était,être,18
debout,debout,60
près,près,81
du,de,81
du,le,71
bord,bord,21
",",",",p
causant,causer,13
avec,avec,81
Casa Bianca,Casa Bianca,20
je,je,51
fus,être,19
jaloux,jaloux,30
de,de,81
cet,ce,74
enfant,enfant,21
sur-le-champ,sur-le-champ,60
",",",",p
et,et,82
le,le,71
coeur,coeur,21
me,je,51
bondit,bondir,19
en,en,81
voyant,voir,13
qu',que,83
il,il,51
touchait,toucher,18
le,le,71
sabre,sabre,21
du,de,81
du,le,71
général,général,21
/.,/.,P
mon,mon,73
père,père,21
s',se,51
avança,avancer,19
vers,vers,81
Bonaparte,Bonaparte,20
et,et,82
lui,lui,51
parla,parler,19
longtemps,longtemps,60
/.,/.,P
je,je,51
ne,ne,60
voyais,voir,18
pas,pas,60
encore,encore,60
son,son,73
visage,visage,21
/.,/.,P
tout,tout,60
d',de,81
un,un,71
coup,coup,21
il,il,51
se,se,51
retourna,retourner,19
et,et,82
me,je,51
regarda,regarder,19
;,;,p
je,je,51
frémis,frémir,19
de,de,81
tout,tout,75
mon,mon,73
corps,corps,21
à,à,81
la,le,71
vue,vue,22
de,de,81
ce,ce,74
front,front,21
jaune,jaune,30
entouré,entouré,31
de,de,81
longs,long,30
cheveux,cheveu,21
pendants,pendant,30
et,et,82
comme,comme,83
sortant,sortir,13
de,de,81
la,le,71
mer,mer,22
",",",",p
tout,tout,60
mouillés,mouillé,31
;,;,p
de,de,81
ces,ce,74
grands,grand,30
yeux,oeil,21
gris,gris,30
",",",",p
de,de,81
ces,ce,74
joues,joue,22
maigres,maigre,30
et,et,82
de,de,81
cette,ce,74
lèvre,lèvre,22
rentrée,rentré,31
sur,sur,81
un,un,71
menton,menton,21
aigu,aigu,30
/.,/.,P
il,il,51
venait,venir,18
de,de,81
parler,parler,14
de,de,81
moi,moi,51
",",",",p
car,car,82
il,il,51
disait,dire,18
:,:,p
“,“,p
écoute,écouter,17
",",",",p
mon,mon,73
brave,brave,21
",",",",p
puisque,puisque,83
tu,tu,51
le,le,52
veux,vouloir,17
",",",",p
tu,tu,51
viendras,venir,15
en,en,81
Egypte,Egypte,20
et,et,82
le,le,71
général,général,21
Vaubois,Vaubois,20
restera,rester,15
bien,bien,60
ici,ici,60
sans,sans,81
toi,toi,51
et,et,82
avec,avec,81
ses,son,73
quatre,quatre,72
mille,mille,72
hommes,homme,21
;,;,p
mais,mais,82
je,je,51
n',ne,60
aime,aimer,17
pas,pas,60
qu',que,83
on,on,51
emmène,emmener,17
ses,son,73
enfants,enfant,21
;,;,p
je,je,51
ne,ne,60
l',le,52
ai,avoir,17
permis,permettre,12
qu',que,83
à,à,81
Casa Bianca,Casa Bianca,20
tu,tu,51
vas,aller,17
renvoyer,renvoyer,14
celui-ci,celui-ci,52
en,en,81
France,France,20
;,;,p
je,je,51
veux,vouloir,17
qu',que,83
il,il,51
soit,être,17
fort,fort,30
en,en,81
mathématiques,mathématique,22
",",",",p
et,et,82
s',si,83
il,il,51
t',tu,51
arrive,arriver,17
quelque,quelque,75
chose,chose,22
là-bas,là-bas,60
",",",",p
je,je,51
te,tu,51
réponds,répondre,17
de,de,81
lui,lui,51
",",",",p
moi,moi,51
;,;,p
je,je,51
m',je,51
en,en,52
charge,charger,17
",",",",p
et,et,82
j',je,51
en,en,52
ferai,faire,15
un,un,71
bon,bon,30
soldat,soldat,21
/.,/.,P
“,“,p
en,en,81
même,même,75
temps,temps,21
il,il,51
se,se,51
baissa,baisser,19
",",",",p
et,et,82
me,je,51
prenant,prendre,13
sous,sous,81
les,le,71
bras,bras,21
",",",",p
m',je,51
éleva,élever,19
jusqu',jusque,81
à,à,81
sa,son,73
bouche,bouche,22
et,et,82
me,je,51
baisa,baiser,19
le,le,71
front,front,21
/.,/.,P
la,le,71
tête,tête,22
me,je,51
tourna,tourner,19
",",",",p
je,je,51
sentis,sentir,19
qu',que,83
il,il,51
était,être,18
mon,mon,73
maître,maître,21
et,et,82
qu',que,83
il,il,51
enlevait,enlever,18
mon,mon,73
âme,âme,22
à,à,81
mon,mon,73
père,père,21
",",",",p
que,que,83
du,de,81
du,le,71
reste,reste,21
je,je,51
connaissais,connaître,18
à,à,81
peine,peine,22
parce qu',parce que,83
il,il,51
vivait,vivre,18
à,à,81
l',le,71
armée,armée,22
éternellement,éternellement,60
/.,/.,P
je,je,51
crus,croire,19
éprouver,éprouver,14
l',le,71
effroi,effroi,21
de,de,81
Moïse,Moïse,20
",",",",p
berger,berger,21
",",",",p
voyant,voir,13
dieu,dieu,21
dans,dans,81
le,le,71
buisson,buisson,21
/.,/.,P
Bonaparte,Bonaparte,20
m',je,51
avait,avoir,18
soulevé,soulever,12
libre,libre,30
",",",",p
et,et,82
quand,quand,83
ses,son,73
bras,bras,21
me,je,51
redescendirent,redescendre,19
doucement,doucement,60
sur,sur,81
le,le,71
pont,pont,21
",",",",p
ils,ils,51
y,y,52
laissèrent,laisser,19
un,un,71
esclave,esclave,21
de,de,81
plus,plus,60
/.,/.,P
la,le,71
veille,veille,22
",",",",p
je,je,51
me,je,51
serais,être,16
jeté,jeter,12
dans,dans,81
la,le,71
mer,mer,22
si,si,83
l',l',94
on,on,51
m',je,51
eût,avoir,19
enlevé,enlever,12
à,à,81
l',le,71
armée,armée,22
;,;,p
mais,mais,82
je,je,51
me,je,51
laissai,laisser,19
emmener,emmener,14
quand,quand,83
on,on,51
voulut,vouloir,19
/.,/.,P
je,je,51
quittai,quitter,19
mon,mon,73
père,père,21
avec,avec,81
indifférence,indifférence,22
",",",",p
et,et,82
c',ce,52
était,être,18
pour,pour,81
toujours,toujours,60
/!,/!,P
mais,mais,82
nous,nous,51
sommes,être,17
si,si,60
mauvais,mauvais,30
dès,dès,81
l',le,71
enfance,enfance,22
",",",",p
et,et,82
",",",",p
hommes,homme,21
ou,ou,82
enfants,enfant,21
",",",",p
si,si,83
peu,peu,60
de,de,81
chose,chose,22
nous,nous,51
prend,prendre,17
et,et,82
nous,nous,51
enlève,enlever,17
aux,à,81
aux,le,71
bons,bon,30
sentiments,sentiment,21
naturels,naturel,30
/!,/!,P
mon,mon,73
père,père,21
n',ne,60
était,être,18
plus,plus,60
mon,mon,73
maître,maître,21
parce que,parce que,83
j',je,51
avais,avoir,18
vu,voir,12
le,le,71
sien,sien,52
",",",",p
et,et,82
que,que,83
de,de,81
celui-là,celui-là,52
seul,seul,30
me,je,51
semblait,sembler,18
émaner,émaner,14
toute,tout,75
autorité,autorité,22
de,de,81
la,le,71
terre,terre,22
/.,/.,P
-,-,p
o,oh,93
rêves,rêve,21
d',de,81
autorité,autorité,22
et,et,82
d',de,81
esclavage,esclavage,21
/!,/!,P
o,oh,93
pensées,pensée,22
corruptrices,corrupteur,30
du,de,81
du,le,71
pouvoir,pouvoir,21
",",",",p
bonnes,bon,30
à,à,81
séduire,séduire,14
les,le,71
enfants,enfant,21
/!,/!,P
faux,faux,30
enthousiasmes,enthousiasme,21
!,!,p
poisons,poison,21
subtils,subtil,30
",",",",p
quel,quel,75
antidote,antidote,22
pourra,pouvoir,15
t,t,94
on,on,51
jamais,jamais,60
trouver,trouver,14
contre,contre,81
vous,vous,51
/?,/?,P
j',je,51
étais,être,18
étourdi,étourdir,12
",",",",p
enivré,enivrer,12
;,;,p
je,je,51
voulais,vouloir,18
travailler,travailler,14
",",",",p
et,et,82
je,je,51
travaillai,travailler,19
",",",",p
à,à,81
en,en,52
devenir,devenir,14
fou,fou,30
/!,/!,P
je,je,51
calculai,calculer,19
nuit,nuit,22
et,et,82
jour,jour,21
",",",",p
et,et,82
je,je,51
pris,prendre,19
l',le,71
habit,habit,21
",",",",p
le,le,71
savoir,savoir,21
et,et,82
",",",",p
sur,sur,81
mon,mon,73
visage,visage,21
",",",",p
la,le,71
couleur,couleur,22
jaune,jaune,30
de,de,81
l',le,71
école,école,22
/.,/.,P
de,de,81
temps,temps,21
en,en,81
temps,temps,21
le,le,71
canon,canon,21
m',je,51
interrompait,interrompre,18
",",",",p
et,et,82
cette,ce,74
voix,voix,22
du,de,81
du,le,71
demi-dieu,demi-dieu,21
m',je,51
apprenait,apprendre,18
la,le,71
conquête,conquête,22
de,de,81
l',le,71
Egypte,Egypte,20
",",",",p
Marengo,Marengo,20
",",",",p
le,le,71
<Nombre 18>,<>,<>
dix,dix,72
huit,huit,72
<Fin nombre>,<>,<>
brumaire,brumaire,21
",",",",p
l',le,71
Empire,empire,21
…,…,p
et,et,82
l',le,71
empereur,empereur,21
me,je,51
tint,tenir,19
parole,parole,22
/.,/.,P
-,-,p
quant,quand,83
à,à,81
mon,mon,73
père,père,21
",",",",p
je,je,51
ne,ne,60
savais,savoir,18
plus,plus,60
ce,ce,52
qu',que,52
il,il,51
était,être,18
devenu,devenir,12
",",",",p
lorsqu',lorsque,83
un,un,71
jour,jour,21
m',je,51
arriva,arriver,19
cette,ce,74
lettre,lettre,22
que,que,52
voici,voici,81
/.,/.,P
je,je,51
la,le,52
porte,porter,17
toujours,toujours,60
dans,dans,81
ce,ce,74
vieux,vieux,30
portefeuille,portefeuille,21
",",",",p
autrefois,autrefois,60
rouge,rouge,30
",",",",p
et,et,82
je,je,51
la,le,52
relis,relire,17
souvent,souvent,60
pour,pour,81
bien,bien,60
me,je,51
convaincre,convaincre,14
de,de,81
l',le,71
inutilité,inutilité,22
des,de,81
des,le,71
avis,avis,21
que,que,52
donne,donner,17
une,un,71
génération,génération,22
à,à,81
celle,celui,52
qui,qui,52
la,le,52
suit,suivre,17
",",",",p
et,et,82
réfléchir,réfléchir,14
sur,sur,81
l',le,71
absurde,absurde,30
entêtement,entêtement,21
de,de,81
mes,mon,73
illusions,illusion,22
/.,/.,P
ici,ici,60
le,le,71
capitaine,capitaine,21
",",",",p
ouvrant,ouvrir,13
son,son,73
uniforme,uniforme,21
",",",",p
tira,tirer,19
de,de,81
sa,son,73
poitrine,poitrine,22
:,:,p
son,son,73
mouchoir,mouchoir,21
premièrement,premièrement,60
",",",",p
puis,puis,60
un,un,71
petit,petit,30
portefeuille,portefeuille,21
qu',que,52
il,il,51
ouvrit,ouvrir,19
avec,avec,81
soin,soin,21
",",",",p
et,et,82
nous,nous,51
entrâmes,entrer,19
dans,dans,81
un,un,71
café,café,21
encore,encore,60
éclairé,éclairé,31
",",",",p
où,où,60
il,il,51
me,je,51
lut,lire,19
ces,ce,74
fragments,fragment,21
de,de,81
lettres,lettre,22
",",",",p
qui,qui,52
me,je,51
sont,être,17
restés,rester,12
entre,entre,81
les,le,71
mains,main,22
",",",",p
on,on,51
saura,savoir,15
bientôt,bientôt,60
comment,comment,60
/.,/.,P
<Chapitre IV>,<>,<>
simple,simple,30
lettre,lettre,22
/.,/.,P
“,“,p
à,à,81
bord,bord,21
du,de,81
du,le,71
vaisseau,vaisseau,21
anglais,anglais,30
le,le,71
Culloden,Culloden,20
",",",",p
devant,devant,81
Rochefort,Rochefort,20
",",",",p
<Nombre 1804>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quatre,quatre,72
<Fin nombre>,<>,<>
/.,/.,P
<Sent to France - with admiral Collingwood’s permission.>,<>,<>
il,il,51
est,être,17
inutile,inutile,30
",",",",p
mon,mon,73
enfant,enfant,21
",",",",p
que,que,83
tu,tu,51
saches,savoir,17
comment,comment,60
t',tu,51
arrivera,arriver,15
cette,ce,74
lettre,lettre,22
",",",",p
et,et,82
par,par,81
quels,quel,75
moyens,moyen,21
j',je,51
ai,avoir,17
pu,pouvoir,12
connaître,connaître,14
ta,ton,73
conduite,conduite,22
et,et,82
ta,ton,73
position,position,22
actuelle,actuel,30
/.,/.,P
que,que,52
il,il,51
te,tu,51
suffise,suffire,17
d',de,81
apprendre,apprendre,14
que,que,83
je,je,51
suis,être,17
content,content,30
de,de,81
toi,toi,51
",",",",p
mais,mais,82
que,que,52
je,je,51
ne,ne,60
te,tu,51
reverrai,revoir,15
sans,sans,81
doute,doute,21
jamais,jamais,60
/.,/.,P
il,il,51
est,être,17
probable,probable,30
que,que,83
cela,cela,52
t',tu,51
inquiète,inquiéter,17
peu,peu,60
/.,/.,P
tu,tu,51
n',ne,60
as,avoir,17
connu,connaître,12
ton,ton,73
père,père,21
que,que,52
dans,dans,81
l',le,71
âge,âge,21
où,où,60
la,le,71
mémoire,mémoire,22
n',ne,60
est,être,17
pas,pas,60
née,naître,12
encore,encore,60
et,et,82
où,où,60
le,le,71
coeur,coeur,21
n',ne,60
est,être,17
pas,pas,60
encore,encore,60
éclos,éclore,12
/.,/.,P
il,il,51
s',se,51
ouvre,ouvrir,17
plus,plus,60
tard,tard,60
en,en,81
nous,nous,51
qu',que,83
on,on,51
ne,ne,60
le,le,52
pense,penser,17
généralement,généralement,60
",",",",p
et,et,82
c',ce,52
est,être,17
de,de,81
quoi,quoi,52
je,je,51
me,je,51
suis,être,17
souvent,souvent,60
étonné,étonner,12
;,;,p
mais,mais,82
qu',que,52
y,y,52
faire,faire,14
/?,/?,P
tu,tu,51
n',ne,60
es,être,17
pas,pas,60
plus,plus,60
mauvais,mauvais,30
qu',que,83
un,un,71
autre,autre,52
",",",",p
ce,ce,52
me,je,51
semble,sembler,17
/.,/.,P
il,il,51
faut,falloir,17
bien,bien,60
que,que,83
je,je,51
m',je,51
en,en,52
contente,contenter,17
/.,/.,P
tout,tout,52
ce,ce,52
que,que,52
j',je,51
ai,avoir,17
à,à,81
te,tu,51
dire,dire,14
",",",",p
c',ce,52
est,être,17
que,que,83
je,je,51
suis,être,17
prisonnier,prisonnier,30
des,de,81
des,le,71
Anglais,Anglais,20
depuis,depuis,81
le,le,71
<Nombre 14>,<>,<>
quatorze,quatorze,72
<Fin nombre>,<>,<>
thermidor,thermidor,21
an,an,21
VI,VI,20
(,(,p
ou,ou,82
le,le,71
<Nombre 2 août 1798>,<>,<>
deux,deux,72
août,août,21
mille,mille,72
sept,sept,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
dix,dix,72
huit,huit,72
<Fin nombre>,<>,<>
",",",",p
vieux,vieux,30
style,style,21
",",",",p
qui,qui,52
",",",",p
dit,dire,17
on,on,51
",",",",p
redevient,redevenir,17
à,à,81
la,le,71
mode,mode,22
aujourd'hui,aujourd'hui,60
),),p
/.,/.,P
j',je,51
étais,être,18
allé,aller,12
à,à,81
bord,bord,21
de,de,81
l',le,71
Orient,Orient,20
