11655
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-troisième extrait>,<>,<>
condition,condition,22
que,que,83
vous,vous,51
dînerez,dîner,15
chez,chez,81
moi,moi,51
ce,ce,74
soir,soir,21
/.,/.,P
il,il,51
salua,saluer,19
en,en,81
acceptant,accepter,13
/.,/.,P
soudain,soudain,30
ce,ce,52
fut,être,19
en,en,81
lui,lui,51
une,un,71
joie,joie,22
délirante,délirant,30
",",",",p
une,un,52
de,de,81
ces,ce,74
joies,joie,22
qui,qui,52
vous,vous,51
saisissent,saisir,18
quand,quand,83
on,on,51
reçoit,recevoir,17
la,le,71
nouvelle,nouvelle,22
de,de,81
ce,ce,52
qu',que,52
on,on,51
a,avoir,17
le,le,71
plus,plus,60
espéré,espérer,12
/.,/.,P
qu',que,52
avait,avoir,18
il,il,51
obtenu,obtenir,12
?,?,p
qu',que,52
était,être,18
il,il,51
arrivé,arriver,12
de,de,81
nouveau,nouveau,21
dans,dans,81
sa,son,73
vie,vie,22
/?,/?,P
rien,rien,52
;,;,p
et,et,82
pourtant,pourtant,60
il,il,51
se,se,51
sentait,sentir,18
soulevé,soulevé,31
par,par,81
l',le,71
ivresse,ivresse,22
d',de,81
un,un,71
indéfinissable,indéfinissable,30
pressentiment,pressentiment,21
/.,/.,P
ils,ils,51
se,se,51
promenèrent,promener,19
longtemps,longtemps,60
sur,sur,81
cette,ce,74
terrasse,terrasse,22
",",",",p
attendant,attendre,13
que,que,83
le,le,71
soleil,soleil,21
disparût,disparaître,18
",",",",p
pour,pour,81
voir,voir,14
jusqu',jusque,81
à,à,81
la,le,71
fin,fin,22
se,se,51
dessiner,dessiner,14
sur,sur,81
l',le,71
horizon,horizon,21
de,de,81
feu,feu,21
l',le,71
ombre,ombre,22
noire,noir,30
et,et,82
dentelée,dentelé,30
du,de,81
du,le,71
mont,mont,21
/.,/.,P
ils,ils,51
causaient,causer,18
à,à,81
présent,présent,21
de,de,81
choses,chose,22
simples,simple,30
",",",",p
répétant,répéter,13
tout,tout,52
ce,ce,52
qu',que,52
on,on,51
peut,pouvoir,17
dire,dire,14
devant,devant,81
une,un,71
étrangère,étrangère,22
et,et,82
se,se,51
regardant,regarder,13
par,par,81
moments,moment,21
/.,/.,P
puis,puis,60
on,on,51
rentra,rentrer,19
dans,dans,81
la,le,71
villa,villa,22
",",",",p
bâtie,bâti,31
",",",",p
à,à,81
la,le,71
sortie,sortie,22
d',de,81
Avranches,Avranches,20
",",",",p
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
beau,beau,30
jardin,jardin,21
dominant,dominer,13
la,le,71
baie,baie,22
/.,/.,P
voulant,vouloir,13
être,être,14
discret,discret,30
",",",",p
un,un,71
peu,peu,60
troublé,troublé,31
d',de,81
ailleurs,ailleurs,60
par,par,81
l',le,71
attitude,attitude,22
froide,froid,30
et,et,82
presque,presque,60
hostile,hostile,30
de,de,81
monsieur,monsieur,21
de,de,81
Pradon,Pradon,20
",",",",p
Mariolle,Mariolle,20
s',se,51
en,en,52
alla,aller,19
de,de,81
bonne,bon,30
heure,heure,22
/.,/.,P
quand,quand,83
il,il,51
prit,prendre,19
",",",",p
pour,pour,81
les,le,52
porter,porter,14
à,à,81
sa,son,73
bouche,bouche,22
",",",",p
les,le,71
doigts,doigt,21
de,de,81
madame,madame,22
de,de,81
Burne,Burne,20
",",",",p
elle,il,51
lui,lui,51
dit,dire,19
deux,deux,72
fois,fois,22
de,de,81
suite,suite,22
",",",",p
avec,avec,81
un,un,71
accent,accent,21
bizarre,bizarre,30
:,:,p
“,“,p
à,à,81
demain,demain,60
",",",",p
à,à,81
demain,demain,60
/.,/.,P
“,“,p
dès,dès,81
qu',que,83
il,il,51
fut,être,19
parti,partir,12
",",",",p
monsieur,monsieur,21
et,et,82
madame,madame,22
Valsaci,Valsaci,20
",",",",p
qui,qui,52
avaient,avoir,18
depuis,depuis,81
longtemps,longtemps,60
des,de,81
des,le,71
habitudes,habitude,22
provinciales,provincial,30
",",",",p
proposèrent,proposer,19
de,de,81
se,se,51
coucher,coucher,14
/.,/.,P
-,-,p
allez,aller,17
",",",",p
dit,dire,17
madame,madame,22
de,de,81
Burne,Burne,20
",",",",p
moi,moi,51
je,je,51
fais,faire,17
un,un,71
tour,tour,21
dans,dans,81
le,le,71
jardin,jardin,21
/.,/.,P
son,son,73
père,père,21
ajouta,ajouter,19
:,:,p
-,-,p
et,et,82
moi,moi,51
aussi,aussi,60
/.,/.,P
elle,il,51
sortit,sortir,19
",",",",p
enveloppée,enveloppé,31
d',de,81
un,un,71
châle,châle,21
",",",",p
et,et,82
ils,ils,51
se,se,51
mirent,mettre,19
à,à,81
marcher,marcher,14
côte,côte,22
à,à,81
côte,côte,22
sur,sur,81
le,le,71
sable,sable,21
blanc,blanc,30
des,de,81
des,le,71
allées,allée,22
que,que,83
la,le,71
pleine,plein,30
lune,lune,22
éclairait,éclairer,18
",",",",p
comme,comme,83
de,de,81
petites,petite,22
rivière,rivière,22
sinueuses,sinueux,30
à,à,81
travers,travers,21
les,le,71
gazons,gazon,21
et,et,82
les,le,71
massifs,massif,21
/.,/.,P
après,après,81
un,un,71
silence,silence,21
assez,assez,60
long,long,30
",",",",p
monsieur,monsieur,21
de,de,81
Pradon,Pradon,20
dit,dire,19
presque,presque,60
à,à,81
voix,voix,22
basse,bas,30
:,:,p
-,-,p
ma,mon,73
chère,cher,30
enfant,enfant,21
",",",",p
tu,tu,51
me,je,51
rendras,rendre,15
cette,ce,74
justice,justice,22
que,que,52
je,je,51
ne,ne,60
t',tu,51
ai,avoir,17
jamais,jamais,60
donné,donner,12
de,de,81
conseils,conseil,21
/?,/?,P
elle,il,51
le,le,52
sentait,sentir,18
venir,venir,14
",",",",p
et,et,82
",",",",p
prête,prêt,30
à,à,81
cette,ce,74
attaque,attaque,22
:,:,p
-,-,p
je,je,51
vous,vous,51
demande,demander,17
pardon,pardon,21
",",",",p
papa,papa,21
",",",",p
vous,vous,51
m',je,51
en,en,52
avez,avoir,17
donné,donner,12
au,à,81
au,le,71
moins,moins,60
un,un,52
/.,/.,P
-,-,p
moi,moi,51
/?,/?,P
oui,oui,60
",",",",p
oui,oui,60
/.,/.,P
-,-,p
un,un,71
conseil,conseil,21
relatif,relatif,30
à,à,81
…,…,p
ton,ton,73
existence,existence,22
/?,/?,P
oui,oui,60
",",",",p
et,et,82
même,même,60
un,un,71
très,très,60
mauvais,mauvais,30
/.,/.,P
aussi,aussi,60
je,je,51
suis,être,17
bien,bien,60
décidée,décider,12
",",",",p
si,si,83
vous,vous,51
m',je,51
en,en,52
donnez,donner,17
d',de,81
autres,autre,52
",",",",p
à,à,81
ne,ne,60
pas,pas,60
les,le,52
suivre,suivre,14
/.,/.,P
-,-,p
quel,quel,75
conseil,conseil,21
t',tu,51
ai,avoir,17
je,je,51
donné,donner,12
/?,/?,P
celui,celui,52
d',de,81
épouser,épouser,14
monsieur,monsieur,21
de,de,81
Burne,Burne,20
/.,/.,P
ce,ce,52
qui,qui,52
prouve,prouver,17
que,que,83
vous,vous,51
manquez,manquer,17
de,de,81
jugement,jugement,21
",",",",p
de,de,81
clairvoyance,clairvoyance,22
",",",",p
de,de,81
la,le,71
connaissance,connaissance,22
des,de,81
des,le,71
hommes,homme,21
en,en,81
général,général,21
et,et,82
de,de,81
la,le,71
connaissance,connaissance,22
de,de,81
votre,votre,73
fille,fille,22
en,en,81
particulier,particulier,21
/.,/.,P
il,il,51
se,se,51
tut,taire,19
quelques,quelque,75
instants,instant,21
",",",",p
un,un,71
peu,peu,60
surpris,surpris,31
et,et,82
embarrassé,embarrassé,31
",",",",p
puis,puis,60
lentement,lentement,60
:,:,p
-,-,p
oui,oui,60
",",",",p
je,je,51
me,je,51
suis,être,17
trompé,tromper,12
ce,ce,74
jour,jour,21
là,là,60
/.,/.,P
mais,mais,82
je,je,51
suis,être,17
sûr,sûr,30
de,de,81
ne,ne,60
pas,pas,60
me,je,51
tromper,tromper,14
dans,dans,81
l',le,71
avis,avis,21
très,très,60
paternel,paternel,30
que,que,83
je,je,51
te,tu,51
dois,devoir,17
aujourd'hui,aujourd'hui,60
/.,/.,P
-,-,p
dites,dire,17
toujours,toujours,60
/.,/.,P
j',je,51
en,en,52
prendrai,prendre,15
ce,ce,52
qu',que,52
il,il,51
faudra,falloir,15
/.,/.,P
-,-,p
tu,tu,51
es,être,17
sur,sur,81
le,le,71
point,point,21
de,de,81
te,tu,51
compromettre,compromettre,14
/.,/.,P
elle,il,51
se,se,51
mit,mettre,19
à,à,81
rire,rire,14
",",",",p
d',de,81
un,un,71
rire,rire,21
trop,trop,60
vif,vif,30
",",",",p
et,et,82
complétant,compléter,13
sa,son,73
pensée,pensée,22
/.,/.,P
-,-,p
avec,avec,81
monsieur,monsieur,21
Mariolle,Mariolle,20
sans,sans,81
doute,doute,21
/.,/.,P
-,-,p
avec,avec,81
monsieur,monsieur,21
Mariolle,Mariolle,20
/.,/.,P
-,-,p
vous,vous,51
oubliez,oublier,17
",",",",p
reprit,reprendre,19
elle,il,51
",",",",p
que,que,83
je,je,51
me,je,51
suis,être,17
compromise,compromettre,12
déjà,déjà,60
avec,avec,81
monsieur,monsieur,21
Georges,Georges,20
de,de,81
Maltry,Maltry,20
",",",",p
avec,avec,81
monsieur,monsieur,21
Massival,Massival,20
",",",",p
avec,avec,81
monsieur,monsieur,21
Gaston,Gaston,20
de,de,81
Lamarthe,Lamarthe,20
",",",",p
avec,avec,81
dix,dix,72
autres,autre,52
",",",",p
dont,dont,52
vous,vous,51
avez,avoir,17
été,être,12
jaloux,jaloux,30
",",",",p
car,car,82
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
trouver,trouver,14
un,un,71
homme,homme,21
gentil,gentil,30
et,et,82
dévoué,dévoué,31
sans,sans,81
que,que,83
toute,tout,75
ma,mon,73
troupe,troupe,22
se,se,51
mette,mettre,17
en,en,81
fureur,fureur,22
",",",",p
vous,vous,51
le,le,71
premier,premier,72
",",",",p
vous,vous,51
que,que,52
la,le,71
nature,nature,22
m',je,51
a,avoir,17
donné,donner,12
comme,comme,83
père,père,21
noble,noble,30
et,et,82
régisseur,régisseur,21
général,général,30
/.,/.,P
il,il,51
répondit,répondre,19
vivement,vivement,60
:,:,p
-,-,p
non,non,60
",",",",p
non,non,60
",",",",p
tu,tu,51
ne,ne,60
t',tu,51
es,être,17
jamais,jamais,60
compromise,compromettre,12
avec,avec,81
personne,personne,52
/.,/.,P
tu,tu,51
apportes,apporter,17
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
dans,dans,81
tes,ton,73
relations,relation,22
avec,avec,81
tes,ton,73
amis,ami,21
beaucoup,beaucoup,60
de,de,81
tact,tact,21
/.,/.,P
elle,il,51
reprit,reprendre,19
crânement,crânement,60
:,:,p
-,-,p
mon,mon,73
cher,cher,30
papa,papa,21
",",",",p
je,je,51
ne,ne,60
suis,être,17
plus,plus,60
une,un,71
petite,petit,30
fille,fille,22
",",",",p
et,et,82
je,je,51
vous,vous,51
promets,promettre,17
que,que,83
je,je,51
ne,ne,60
me,je,51
compromettrai,compromettre,15
pas,pas,60
davantage,davantage,60
avec,avec,81
monsieur,monsieur,21
Mariolle,Mariolle,20
qu',que,83
avec,avec,81
les,le,71
autres,autre,52
;,;,p
ne,ne,60
craignez,craindre,17
rien,rien,52
/.,/.,P
j',je,51
avoue,avouer,17
cependant,cependant,82
que,que,83
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
l',le,52
ai,avoir,17
prié,prier,12
de,de,81
venir,venir,14
ici,ici,60
/.,/.,P
je,je,51
le,le,52
trouve,trouver,17
charmant,charmant,30
",",",",p
aussi,aussi,60
intelligent,intelligent,30
et,et,82
bien,bien,60
moins,moins,60
égoïste,égoïste,30
que,que,83
les,le,71
anciens,ancien,21
/.,/.,P
c',ce,52
était,être,18
également,également,60
votre,votre,73
avis,avis,21
jusqu',jusque,81
au,à,81
au,le,71
jour,jour,21
où,où,60
vous,vous,51
avez,avoir,17
cru,croire,12
découvrir,découvrir,14
que,que,83
je,je,51
le,le,52
préférais,préférer,18
un,un,71
peu,peu,60
/.,/.,P
oh,oh,93
!,!,p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
si,si,60
malin,malin,30
que,que,83
ça,ça,52
/!,/!,P
je,je,51
vous,vous,51
connais,connaître,17
aussi,aussi,60
",",",",p
et,et,82
je,je,51
vous,vous,51
en,en,52
raconterais,raconter,16
long,long,60
",",",",p
si,si,83
je,je,51
voulais,vouloir,18
/.,/.,P
donc,donc,82
",",",",p
monsieur,monsieur,21
Mariolle,Mariolle,20
me,je,51
plaisant,plaire,13
",",",",p
je,je,51
me,je,51
suis,être,17
dit,dire,12
qu',que,83
il,il,51
serait,être,16
fort,fort,60
agréable,agréable,30
de,de,81
faire,faire,14
par,par,81
hasard,hasard,21
avec,avec,81
lui,lui,51
une,un,71
belle,beau,30
excursion,excursion,22
",",",",p
qu',que,83
il,il,51
est,être,17
stupide,stupide,30
de,de,81
se,se,51
priver,priver,14
",",",",p
quand,quand,83
on,on,51
ne,ne,60
court,courir,17
aucun,aucun,75
danger,danger,21
",",",",p
de,de,81
tout,tout,52
ce,ce,52
qui,qui,52
peut,pouvoir,17
nous,nous,51
amuser,amuser,14
/.,/.,P
et,et,82
je,je,51
ne,ne,60
cours,courir,17
aucun,aucun,75
danger,danger,21
de,de,81
me,je,51
compromettre,compromettre,14
puisque,puisque,83
vous,vous,51
êtes,être,17
là,là,60
/.,/.,P
elle,il,51
riait,rire,18
franchement,franchement,60
",",",",p
à,à,81
présent,présent,21
",",",",p
sachant,savoir,13
bien,bien,60
que,que,83
chaque,chaque,75
parole,parole,22
portait,porter,18
",",",",p
qu',que,52
elle,il,51
le,le,52
tenait,tenir,18
entravé,entravé,31
par,par,81
ce,ce,74
soupçon,soupçon,21
jeté,jeté,31
de,de,81
jalousie,jalousie,22
un,un,71
peu,peu,60
suspecte,suspect,30
flairée,flairé,31
en,en,81
lui,lui,51
depuis,depuis,81
longtemps,longtemps,60
",",",",p
et,et,82
elle,il,51
s',se,51
amusait,amuser,18
de,de,81
cette,ce,74
découverte,découverte,22
avec,avec,81
une,un,71
coquetterie,coquetterie,22
secrète,secret,30
",",",",p
inavouable,inavouable,30
et,et,82
hardie,hardi,30
/.,/.,P
il,il,51
se,se,51
taisait,taire,18
",",",",p
gêné,gêné,31
",",",",p
mécontent,mécontent,30
",",",",p
irrité,irrité,31
",",",",p
sentant,sentir,13
aussi,aussi,60
qu',que,83
elle,il,51
devinait,deviner,18
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
sa,son,73
paternelle,paternel,30
sollicitude,sollicitude,22
",",",",p
une,un,71
mystérieuse,mystérieux,30
rancune,rancune,22
dont,dont,52
il,il,51
ne,ne,60
voulait,vouloir,18
pas,pas,60
lui-même,lui-même,51
connaître,connaître,14
l',le,71
origine,origine,22
/.,/.,P
elle,il,51
ajouta,ajouter,19
:,:,p
-,-,p
ne,ne,60
craignez,craindre,17
rien,rien,52
/.,/.,P
il,il,51
est,être,17
tout,tout,60
naturel,naturel,30
de,de,81
faire,faire,14
en,en,81
cette,ce,74
saison,saison,22
une,un,71
promenade,promenade,22
au,à,81
au,le,71
Mont Saint-Michel,Mont Saint-Michel,20
avec,avec,81
mon,mon,73
oncle,oncle,21
",",",",p
ma,mon,73
tante,tante,22
",",",",p
vous,vous,51
",",",",p
mon,mon,73
père,père,21
",",",",p
et,et,82
un,un,71
ami,ami,21
/.,/.,P
on,on,51
ne,ne,60
le,le,52
saura,savoir,15
pas,pas,60
d',de,81
ailleurs,ailleurs,60
/.,/.,P
et,et,82
si,si,83
on,on,51
le,le,52
sait,savoir,17
personne,personne,52
n',ne,60
y,y,52
peut,pouvoir,17
trouver,trouver,14
rien,rien,52
à,à,81
redire,redire,14
/.,/.,P
quand,quand,83
nous,nous,51
serons,être,15
de,de,81
retour,retour,21
à,à,81
Paris,Paris,20
",",",",p
je,je,51
ferai,faire,15
rentrer,rentrer,14
cet,ce,74
ami,ami,21
dans,dans,81
les,le,71
rangs,rang,21
avec,avec,81
les,le,71
autres,autre,52
/.,/.,P
-,-,p
soit,soit,82
",",",",p
reprit,reprendre,19
il,il,51
;,;,p
mettons,mettre,17
que,que,83
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
parlé,parler,12
/.,/.,P
ils,ils,51
firent,faire,19
encore,encore,60
quelques,quelque,75
pas,pas,21
/.,/.,P
monsieur,monsieur,21
de,de,81
Pradon,Pradon,20
demanda,demander,19
:,:,p
-,-,p
revenons,revenir,17
nous,nous,51
à,à,81
la,le,71
maison,maison,22
/?,/?,P
je,je,51
suis,être,17
fatigué,fatiguer,12
",",",",p
je,je,51
vais,aller,17
me,je,51
coucher,coucher,14
/.,/.,P
-,-,p
non,non,60
",",",",p
moi,moi,51
je,je,51
me,je,51
promène,promener,17
encore,encore,60
un,un,71
peu,peu,60
/.,/.,P
la,le,71
nuit,nuit,22
est,être,17
si,si,60
belle,beau,30
/.,/.,P
il,il,51
murmura,murmurer,19
",",",",p
avec,avec,81
des,de,81
des,le,71
intentions,intention,22
:,:,p
-,-,p
ne,ne,60
t',tu,51
éloigne,éloigner,17
pas,pas,60
/.,/.,P
on,on,51
ne,ne,60
sait,savoir,17
jamais,jamais,60
quelles,quel,75
gens,gens,22
on,on,51
peut,pouvoir,17
rencontrer,rencontrer,14
/.,/.,P
-,-,p
oh,oh,93
!,!,p
je,je,51
reste,rester,17
sous,sous,81
les,le,71
fenêtres,fenêtre,22
/.,/.,P
-,-,p
alors,alors,60
adieu,adieu,21
",",",",p
ma,mon,73
chère,cher,30
enfant,enfant,21
/.,/.,P
il,il,51
la,le,52
baisa,baiser,19
rapidement,rapidement,60
sur,sur,81
le,le,71
front,front,21
",",",",p
et,et,82
rentra,rentrer,19
/.,/.,P
Ella,Ella,20
alla,aller,19
s',se,51
asseoir,asseoir,14
plus,plus,60
loin,loin,60
sur,sur,81
un,un,71
petit,petit,30
banc,banc,21
rustique,rustique,30
planté,planté,31
en,en,81
terre,terre,22
au,à,81
au,le,71
pied,pied,21
d',de,81
un,un,71
chêne,chêne,21
/.,/.,P
la,le,71
nuit,nuit,22
était,être,18
chaude,chaud,30
",",",",p
pleine,plein,30
d',de,81
exhalaisons,exhalaison,22
des,de,81
des,le,71
champs,champ,21
",",",",p
d',de,81
effluves,effluve,21
de,de,81
la,le,71
mer,mer,22
et,et,82
de,de,81
clarté,clarté,22
brumeuse,brumeux,30
",",",",p
car,car,82
",",",",p
sous,sous,81
la,le,71
lune,lune,22
épanouie,épanoui,31
en,en,81
plein,plein,30
ciel,ciel,21
",",",",p
la,le,71
baie,baie,22
s',se,51
était,être,18
voilée,voiler,12
de,de,81
vapeurs,vapeur,21
/.,/.,P
elles,ils,51
rampaient,ramper,18
comme,comme,83
de,de,81
blanches,blanc,30
fumées,fumé,31
et,et,82
cachaient,cacher,18
la,le,71
dune,dune,22
",",",",p
que,que,83
la,le,71
marée,marée,22
montante,montant,30
devait,devoir,18
à,à,81
présent,présent,21
couvrir,couvrir,14
/.,/.,P
Michèle,Michèle,20
de,de,81
Burne,Burne,20
",",",",p
les,le,71
mains,main,22
croisées,croisé,31
sur,sur,81
ses,son,73
genoux,genou,21
",",",",p
les,le,71
yeux,oeil,21
au,à,81
au,le,71
loin,loin,60
",",",",p
cherchait,chercher,18
à,à,81
voir,voir,14
dans,dans,81
son,son,73
âme,âme,22
",",",",p
à,à,81
travers,travers,21
un,un,71
brouillard,brouillard,21
impénétrable,impénétrable,30
et,et,82
pâle,pâle,30
comme,comme,83
celui,celui,52
des,de,81
des,le,71
sables,sable,21
/.,/.,P
combien,combien,60
de,de,81
fois,fois,22
déjà,déjà,60
",",",",p
dans,dans,81
son,son,73
cabinet,cabinet,21
de,de,81
toilette,toilette,22
à,à,81
Paris,Paris,20
",",",",p
assise,assise,22
ainsi,ainsi,60
devant,devant,81
sa,son,73
glace,glace,22
",",",",p
elle,il,51
s',se,51
était,être,18
demandé,demander,12
:,:,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
j',je,51
aime,aimer,17
?,?,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
je,je,51
désire,désirer,17
?,?,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
j',je,51
espère,espérer,17
?,?,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
je,je,51
veux,vouloir,17
?,?,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
je,je,51
suis,être,17
/?,/?,P
à,à,81
côté,côté,21
du,de,81
du,le,71
plaisir,plaisir,21
d',de,81
être,être,14
elle,il,51
et,et,82
du,de,81
du,le,71
besoin,besoin,21
profond,profond,30
de,de,81
plaire,plaire,14
",",",",p
dont,dont,52
elle,il,51
jouissait,jouir,18
vraiment,vraiment,60
beaucoup,beaucoup,60
",",",",p
elle,il,51
ne,ne,60
s',se,51
était,être,18
jamais,jamais,60
senti,sentir,12
au,à,81
au,le,71
coeur,coeur,21
autre,autre,75
chose,chose,22
que,que,83
des,de,81
des,le,71
curiosités,curiosité,22
vite,vite,60
éteintes,éteint,31
/.,/.,P
elle,il,51
ne,ne,60
s',se,51
ignorait,ignorer,18
point,point,60
d',de,81
ailleurs,ailleurs,60
",",",",p
ayant,avoir,13
trop,trop,60
l',le,71
habitude,habitude,22
de,de,81
regarder,regarder,14
et,et,82
d',de,81
étudier,étudier,14
son,son,73
visage,visage,21
et,et,82
toute,tout,75
sa,son,73
personne,personne,22
pour,pour,81
ne,ne,60
pas,pas,60
observer,observer,14
aussi,aussi,60
son,son,73
âme,âme,22
/.,/.,P
jusqu',jusque,81
alors,alors,60
elle,il,51
avait,avoir,18
pris,prendre,12
son,son,73
parti,parti,21
de,de,81
ce,ce,74
vague,vague,30
intérêt,intérêt,21
pour,pour,81
tout,tout,52
ce,ce,52
qui,qui,52
émeut,émouvoir,17
les,le,71
autres,autre,52
",",",",p
impuissant,impuissant,30
à,à,81
la,le,52
passionner,passionner,14
",",",",p
capable,capable,30
au,à,81
au,le,71
plus,plus,60
de,de,81
la,le,52
distraire,distraire,14
/.,/.,P
et,et,82
cependant,cependant,82
",",",",p
chaque,chaque,75
fois,fois,22
qu',que,83
elle,il,51
avait,avoir,18
senti,sentir,12
naître,naître,14
en,en,81
elle,il,51
le,le,71
souci,souci,21
intime,intimer,17
de,de,81
quelqu'un,quelqu'un,52
",",",",p
chaque,chaque,75
fois,fois,22
qu',que,83
une,un,71
rivale,rivale,22
",",",",p
lui,lui,51
disputant,disputer,13
un,un,71
homme,homme,21
auquel,à,81
auquel,lequel,52
elle,il,51
tenait,tenir,18
et,et,82
surexcitant,surexciter,13
ses,son,73
instincts,instinct,21
de,de,81
femme,femme,22
",",",",p
avait,avoir,18
fait,faire,12
brûler,brûler,14
en,en,81
ses,son,73
veines,veine,22
un,un,71
peu,peu,60
de,de,81
fièvre,fièvre,22
d',de,81
attachement,attachement,21
",",",",p
elle,il,51
avait,avoir,18
trouvé,trouver,12
à,à,81
ces,ce,74
faux,faux,30
départs,départ,21
de,de,81
l',le,71
amour,amour,21
une,un,71
émotion,émotion,22
bien,bien,60
plus,plus,60
ardente,ardent,30
que,que,83
le,le,71
seul,seul,30
plaisir,plaisir,21
du,de,81
du,le,71
succès,succès,21
/.,/.,P
mais,mais,82
cela,cela,52
ne,ne,60
durait,durer,18
jamais,jamais,60
/.,/.,P
pourquoi,pourquoi,60
/?,/?,P
elle,il,51
se,se,51
fatiguait,fatiguer,18
",",",",p
elle,il,51
se,se,51
dégoûtait,dégoûter,18
",",",",p
elle,il,51
voyait,voir,18
trop,trop,60
clair,clair,60
peut-être,peut-être,60
/.,/.,P
tout,tout,52
ce,ce,52
qui,qui,52
lui,lui,51
avait,avoir,18
plu,plaire,12
d'abord,d'abord,60
dans,dans,81
un,un,71
homme,homme,21
",",",",p
tout,tout,52
ce,ce,52
qui,qui,52
l',le,52
avait,avoir,18
animée,animer,12
",",",",p
agitée,agiter,12
",",",",p
émue,émouvoir,12
",",",",p
séduite,séduire,12
",",",",p
lui,lui,51
paraissait,paraître,18
bientôt,bientôt,60
connu,connu,31
",",",",p
défloré,défloré,31
",",",",p
banal,banal,30
/.,/.,P
tous,tout,52
ils,ils,51
se,se,51
ressemblaient,ressembler,18
trop,trop,60
sans,sans,81
être,être,14
jamais,jamais,60
pareils,pareil,30
;,;,p
et,et,82
aucun,aucun,52
d',de,81
eux,ils,51
encore,encore,60
ne,ne,60
lui,lui,51
avait,avoir,18
paru,paraître,12
doué,doué,31
de,de,81
la,le,71
nature,nature,22
et,et,82
des,de,81
des,le,71
qualités,qualité,22
qu',que,83
il,il,51
fallait,falloir,18
pour,pour,81
la,le,52
tenir,tenir,14
longtemps,longtemps,60
en,en,81
éveil,éveil,21
et,et,82
lancer,lancer,21
son,son,73
coeur,coeur,21
dans,dans,81
un,un,71
amour,amour,21
/.,/.,P
pourquoi,pourquoi,60
cela,cela,52
/?,/?,P
était,être,18
ce,ce,52
leur,leur,73
faute,faute,22
à,à,81
eux,ils,51
",",",",p
ou,ou,82
bien,bien,60
sa,son,73
faute,faute,22
à,à,81
elle,il,51
/?,/?,P
manquaient,manquer,18
ils,ils,51
de,de,81
ce,ce,52
qu',que,52
elle,il,51
attendait,attendre,18
",",",",p
ou,ou,82
bien,bien,60
manquait,manquer,18
elle,il,51
de,de,81
ce,ce,52
qui,qui,52
fait,faire,17
qu',que,83
on,on,51
aime,aimer,17
/?,/?,P
aime,aimer,17
t,t,94
on,on,51
parce qu',parce que,83
on,on,51
rencontre,rencontrer,17
une,un,71
fois,fois,22
un,un,71
être,être,21
qu',que,83
on,on,51
croit,croire,17
vraiment,vraiment,60
créé,créé,31
pour,pour,81
soi,soi,51
",",",",p
ou,ou,82
bien,bien,60
aime,aimer,17
t,t,94
on,on,51
simplement,simplement,60
parce qu',parce que,83
on,on,51
est,être,17
né,naître,12
avec,avec,81
la,le,71
faculté,faculté,22
d',de,81
aimer,aimer,14
/?,/?,P
il,il,51
lui,lui,51
semblait,sembler,18
par,par,81
moments,moment,21
que,que,83
le,le,71
coeur,coeur,21
de,de,81
tout,tout,75
le,le,71
monde,monde,21
doit,devoir,17
avoir,avoir,14
des,de,81
des,le,71
bras,bras,21
comme,comme,83
le,le,71
corps,corps,21
",",",",p
des,de,81
des,le,71
bras,bras,21
tendres,tendre,30
et,et,82
tendus,tendu,31
qui,qui,52
attirent,attirer,17
",",",",p
étreignent,étreindre,17
et,et,82
enlacent,enlacer,17
",",",",p
et,et,82
que,que,52
le,le,71
sien,sien,52
était,être,18
manchot,manchot,21
/.,/.,P
il,il,51
avait,avoir,18
seulement,seulement,60
des,de,81
des,le,71
yeux,oeil,21
",",",",p
son,son,73
coeur,coeur,21
/.,/.,P
on,on,51
voyait,voir,18
souvent,souvent,60
des,de,81
des,le,71
hommes,homme,21
",",",",p
des,de,81
des,le,71
hommes,homme,21
supérieurs,supérieur,30
devenir,devenir,14
éperdument,éperdument,60
amoureux,amoureux,30
de,de,81
filles,fille,22
indignes,indigne,30
d',de,81
eux,ils,51
",",",",p
sans,sans,81
esprit,esprit,21
",",",",p
sans,sans,81
valeur,valeur,22
",",",",p
parfois,parfois,60
même,même,60
sans,sans,81
beauté,beauté,22
/?,/?,P
pourquoi,pourquoi,60
/?,/?,P
comment,comment,60
/?,/?,P
quel,quel,75
mystère,mystère,21
/?,/?,P
ce,ce,52
n',ne,60
était,être,18
donc,donc,82
pas,pas,60
seulement,seulement,60
à,à,81
une,un,71
rencontre,rencontre,22
providentielle,providentiel,30
qu',que,83
était,être,18
due,devoir,12
cette,ce,74
crise,crise,22
des,de,81
des,le,71
