12060
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-et-onzième extrait>,<>,<>
;,;,p
mais,mais,82
le,le,71
terrible,terrible,30
était,être,18
la,le,71
parole,parole,22
qu',que,52
il,il,51
avouait,avouer,18
lui-même,lui-même,51
:,:,p
vous,vous,51
ne,ne,60
serez,être,15
pas,pas,60
toujours,toujours,60
les,le,71
maîtres,maître,21
/!,/!,P
on,on,51
le,le,52
soupçonnait,soupçonner,18
d',de,81
être,être,14
républicain,républicain,30
/.,/.,P
les,le,71
discussions,discussion,22
qui,qui,52
venaient,venir,18
de,de,81
marquer,marquer,14
l',le,71
ouverture,ouverture,22
de,de,81
la,le,71
session,session,22
de,de,81
<Nombre 1869>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
soixante,soixante,72
neuf,neuf,72
<Fin nombre>,<>,<>
",",",",p
et,et,82
la,le,71
peur,peur,22
sourde,sourd,30
des,de,81
des,le,71
prochaines,prochain,30
élections,élection,22
générales,général,30
rendaient,rendre,18
le,le,71
gouvernement,gouvernement,21
ombrageux,ombrageux,30
/.,/.,P
aussi,aussi,60
l',le,52
aurait,avoir,16
on,on,51
certainement,certainement,60
déplacé,déplacer,12
",",",",p
sans,sans,81
la,le,71
bonne,bon,30
recommandation,recommandation,22
du,de,81
du,le,71
président,président,21
Grandmorin,Grandmorin,20
/.,/.,P
encore,encore,60
avait,avoir,18
il,il,51
dû,devoir,12
signer,signer,14
la,le,71
lettre,lettre,22
d',de,81
excuse,excuse,22
",",",",p
conseillée,conseillé,31
et,et,82
rédigée,rédigé,31
par,par,81
ce,ce,74
dernier,dernier,21
/.,/.,P
Séverine,Séverine,20
l',le,52
interrompit,interrompre,19
",",",",p
criant,crier,13
:,:,p
hein,hein,93
?,?,p
ai,avoir,17
je,je,51
eu,avoir,12
raison,raison,22
de,de,81
lui,lui,51
écrire,écrire,14
et,et,82
de,de,81
lui,lui,51
faire,faire,14
une,un,71
visite,visite,22
avec,avec,81
toi,toi,51
",",",",p
ce,ce,74
matin,matin,21
",",",",p
avant,avant,81
que,que,83
tu,tu,51
ailles,aller,17
recevoir,recevoir,14
ton,ton,73
savon,savon,21
/…,/…,P
je,je,51
savais,savoir,18
bien,bien,60
qu',que,83
il,il,51
nous,nous,51
tirerait,tirer,16
d',de,81
affaire,affaire,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
il,il,51
t',tu,51
aime,aimer,17
beaucoup,beaucoup,60
",",",",p
reprit,reprendre,19
Roubaud,Roubaud,20
",",",",p
et,et,82
il,il,51
a,avoir,17
le,le,71
bras,bras,21
long,long,30
",",",",p
dans,dans,81
la,le,71
compagnie,compagnie,22
/…,/…,P
vois,voir,17
donc,donc,82
un,un,71
peu,peu,60
à,à,81
quoi,quoi,52
ça,ça,52
sert,servir,17
",",",",p
d',de,81
être,être,14
un,un,71
bon,bon,30
employé,employé,21
/.,/.,P
ah,ah,93
!,!,p
on,on,51
ne,ne,60
m',je,51
a,avoir,17
point,point,60
ménagé,ménager,12
les,le,71
éloges,éloge,21
:,:,p
pas,pas,60
beaucoup,beaucoup,60
d',de,81
initiative,initiative,22
",",",",p
mais,mais,82
de,de,81
la,le,71
conduite,conduite,22
",",",",p
de,de,81
l',le,71
obéissance,obéissance,22
",",",",p
du,de,81
du,le,71
courage,courage,21
",",",",p
enfin,enfin,60
tout,tout,52
/!,/!,P
eh,eh,93
bien,bien,60
",",",",p
ma,mon,73
chère,cher,30
",",",",p
si,si,83
tu,tu,51
n',ne,60
avais,avoir,18
pas,pas,60
été,être,12
ma,mon,73
femme,femme,22
",",",",p
et,et,82
si,si,83
Grandmorin,Grandmorin,20
n',ne,60
avait,avoir,18
pas,pas,60
plaidé,plaider,12
ma,mon,73
cause,cause,22
",",",",p
par,par,81
amitié,amitié,22
pour,pour,81
toi,toi,51
",",",",p
j',je,51
étais,être,18
fichu,ficher,12
",",",",p
on,on,51
m',je,51
envoyait,envoyer,18
en,en,81
pénitence,pénitence,22
",",",",p
au,à,81
au,le,71
fond,fond,21
de,de,81
quelque,quelque,75
petite,petit,30
station,station,22
:,:,p
elle,il,51
regardait,regarder,18
fixement,fixement,60
le,le,71
vide,vide,21
",",",",p
elle,il,51
murmura,murmurer,19
",",",",p
comme,comme,83
se,se,51
parlant,parler,13
à,à,81
elle-même,lui-même,51
:,:,p
ôh,oh,93
!,!,p
certainement,certainement,60
",",",",p
c',ce,52
est,être,17
un,un,71
homme,homme,21
qui,qui,52
a,avoir,17
le,le,71
bras,bras,21
long,long,30
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
un,un,71
silence,silence,21
",",",",p
et,et,82
elle,il,51
restait,rester,18
les,le,71
yeux,oeil,21
élargis,élargi,31
",",",",p
perdus,perdu,31
au,à,81
au,le,71
loin,loin,60
",",",",p
cessant,cesser,13
de,de,81
manger,manger,14
/.,/.,P
sans,sans,81
doute,doute,21
elle,il,51
évoquait,évoquer,18
les,le,71
jours,jour,21
de,de,81
son,son,73
enfance,enfance,22
",",",",p
là-bas,là-bas,60
",",",",p
au,à,81
au,le,71
château,château,21
de,de,81
Doinville,Doinville,20
",",",",p
à,à,81
quatre,quatre,72
lieues,lieue,22
de,de,81
Rouen,Rouen,20
/.,/.,P
jamais,jamais,60
elle,il,51
n',ne,60
avait,avoir,18
connu,connaître,12
sa,son,73
mère,mère,22
/.,/.,P
quand,quand,83
son,son,73
père,père,21
",",",",p
le,le,71
jardinier,jardinier,21
Aubry,Aubry,20
",",",",p
était,être,18
mort,mourir,12
",",",",p
elle,il,51
entrait,entrer,18
dans,dans,81
sa,son,73
treizième,treizième,72
année,année,22
;,;,p
et,et,82
c',ce,52
était,être,18
à,à,81
cette,ce,74
époque,époque,22
que,que,83
le,le,71
président,président,21
",",",",p
déjà,déjà,60
veuf,veuf,21
",",",",p
l',le,52
avait,avoir,18
gardée,garder,12
près,près,81
de,de,81
sa,son,73
fille,fille,22
Berthe,Berthe,20
",",",",p
sous,sous,81
la,le,71
surveillance,surveillance,22
de,de,81
sa,son,73
soeur,soeur,22
",",",",p
madame,madame,22
Bonnehon,Bonnehon,20
",",",",p
la,le,71
femme,femme,22
d',de,81
un,un,71
manufacturier,manufacturier,21
",",",",p
également,également,60
veuve,veuve,22
",",",",p
à,à,81
qui,qui,52
le,le,71
château,château,21
appartenait,appartenir,18
aujourd'hui,aujourd'hui,60
/.,/.,P
Berthe,Berthe,20
",",",",p
son,son,73
aînée,aînée,22
de,de,81
deux,deux,72
ans,an,21
",",",",p
mariée,marié,31
six,six,72
mois,mois,21
après,après,81
elle,il,51
",",",",p
avait,avoir,18
épousé,épouser,12
monsieur,monsieur,21
de,de,81
Lachesnaye,Lachesnaye,20
",",",",p
conseiller,conseiller,21
à,à,81
la,le,71
cour,cour,22
de,de,81
Rouen,Rouen,20
",",",",p
un,un,71
petit,petit,30
homme,homme,21
sec,sec,30
et,et,82
jaune,jaune,30
/.,/.,P
l',le,71
année,année,22
précédente,précédent,30
",",",",p
le,le,71
président,président,21
était,être,18
encore,encore,60
à,à,81
la,le,71
tête,tête,22
de,de,81
cette,ce,74
cour,cour,22
",",",",p
dans,dans,81
son,son,73
pays,pays,21
",",",",p
lorsqu',lorsque,83
il,il,51
avait,avoir,18
pris,prendre,12
sa,son,73
retraite,retraite,22
",",",",p
après,après,81
une,un,71
carrière,carrière,22
magnifique,magnifique,30
/.,/.,P
né,né,31
en,en,81
<Nombre 1804>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quatre,quatre,72
<Fin nombre>,<>,<>
",",",",p
substitut,substitut,21
à,à,81
Digne,Digne,20
au,à,81
au,le,71
lendemain,lendemain,21
de,de,81
<Nombre 1830>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
trente,trente,72
<Fin nombre>,<>,<>
",",",",p
puis,puis,60
à,à,81
Fontainebleau,Fontainebleau,20
",",",",p
puis,puis,60
à,à,81
Paris,Paris,20
",",",",p
ensuite,ensuite,60
procureur,procureur,21
à,à,81
Troyes,Troyes,20
",",",",p
avocat,avocat,21
général,général,30
à,à,81
Rennes,Rennes,20
",",",",p
enfin,enfin,60
premier,premier,72
président,président,21
à,à,81
Rouen,Rouen,20
/.,/.,P
riche,riche,30
à,à,81
plusieurs,plusieurs,75
millions,million,21
",",",",p
il,il,51
faisait,faire,18
partie,partie,22
du,de,81
du,le,71
conseil,conseil,21
général,général,30
depuis,depuis,81
<Nombre 1855>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
cinquante,cinquante,72
cinq,cinq,72
<Fin nombre>,<>,<>
",",",",p
on,on,51
l',le,52
avait,avoir,18
nommé,nommer,12
commandeur,commandeur,21
de,de,81
la,le,71
légion,légion,22
d',de,81
honneur,honneur,21
",",",",p
le,le,71
jour,jour,21
même,même,30
de,de,81
sa,son,73
retraite,retraite,22
/.,/.,P
et,et,82
",",",",p
du,de,81
du,le,71
plus,plus,60
loin,loin,60
qu',que,83
elle,il,51
se,se,51
souvenait,souvenir,18
",",",",p
elle,il,51
le,le,52
revoyait,revoir,18
tel,tel,75
qu',que,83
il,il,51
était,être,18
encore,encore,60
",",",",p
trapu,trapu,30
et,et,82
solide,solide,30
",",",",p
blanc,blanc,30
de,de,81
bonne,bon,30
heure,heure,22
",",",",p
d',de,81
un,un,71
blanc,blanc,21
doré,doré,31
d',de,81
ancien,ancien,30
blond,blond,21
",",",",p
les,le,71
cheveux,cheveu,21
en,en,81
brosse,brosse,22
",",",",p
le,le,71
collier,collier,21
de,de,81
barbe,barbe,22
coupé,coupé,31
ras,ras,30
",",",",p
sans,sans,81
moustaches,moustache,22
",",",",p
avec,avec,81
une,un,71
face,face,22
carrée,carré,31
que,que,83
les,le,71
yeux,oeil,21
d',de,81
un,un,71
bleu,bleu,21
dur,dur,30
et,et,82
le,le,71
nez,nez,21
gros,gros,30
rendaient,rendre,18
sévère,sévère,30
/.,/.,P
il,il,51
avait,avoir,18
l',le,71
abord,abord,21
rude,rude,30
",",",",p
il,il,51
faisait,faire,18
tout,tout,52
trembler,trembler,14
autour,autour,60
de,de,81
lui,lui,51
/.,/.,P
Roubaud,Roubaud,20
dut,devoir,19
élever,élever,14
la,le,71
voix,voix,22
",",",",p
répétant,répéter,13
à,à,81
deux,deux,72
reprises,reprise,22
:,:,p
eh,eh,93
bien,bien,60
",",",",p
à,à,81
quoi,quoi,52
donc,donc,82
penses,penser,17
tu,tu,51
/?,/?,P
elle,il,51
tressaillit,tressaillir,17
",",",",p
eut,avoir,19
un,un,71
petit,petit,30
frisson,frisson,21
",",",",p
comme,comme,83
surprise,surpris,31
et,et,82
secouée,secoué,31
de,de,81
peur,peur,22
/.,/.,P
mais,mais,82
à,à,81
rien,rien,52
/.,/.,P
-,-,p
tu,tu,51
ne,ne,60
manges,manger,17
plus,plus,60
",",",",p
tu,tu,51
n',ne,60
as,avoir,17
donc,donc,82
plus,plus,60
faim,faim,22
/?,/?,P
-,-,p
ôh,oh,93
!,!,p
si,si,60
/…,/…,P
tu,tu,51
vas,aller,17
voir,voir,14
/.,/.,P
Séverine,Séverine,20
",",",",p
ayant,avoir,13
vidé,vider,12
son,son,73
verre,verre,21
de,de,81
vin,vin,21
blanc,blanc,30
",",",",p
acheva,achever,19
la,le,71
tranche,tranche,22
de,de,81
pâté,pâté,21
qu',que,52
elle,il,51
avait,avoir,18
dans,dans,81
son,son,73
assiette,assiette,22
/.,/.,P
mais,mais,82
il,il,51
y,y,52
eut,avoir,19
une,un,71
alerte,alerte,22
:,:,p
ils,ils,51
avaient,avoir,18
fini,finir,12
le,le,71
pain,pain,21
d',de,81
une,un,71
livre,livre,22
",",",",p
pas,pas,60
une,un,71
bouchée,bouchée,22
ne,ne,60
restait,rester,18
pour,pour,81
manger,manger,14
le,le,71
fromage,fromage,21
/.,/.,P
ce,ce,52
furent,être,19
des,de,81
des,le,71
cris,cri,21
",",",",p
puis,puis,60
des,de,81
des,le,71
rires,rire,21
",",",",p
lorsque,lorsque,83
",",",",p
bousculant,bousculer,13
tout,tout,52
",",",",p
ils,ils,51
découvrirent,découvrir,19
",",",",p
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
buffet,buffet,21
de,de,81
la,le,71
mère,mère,22
Victoire,Victoire,20
",",",",p
un,un,71
bout,bout,21
de,de,81
pain,pain,21
rassis,rassis,31
/.,/.,P
bien,bien,60
que,que,83
la,le,71
fenêtre,fenêtre,22
fût,être,19
ouverte,ouvrir,12
",",",",p
il,il,51
continuait,continuer,18
de,de,81
faire,faire,14
chaud,chaud,21
",",",",p
et,et,82
la,le,71
jeune,jeune,30
femme,femme,22
",",",",p
qui,qui,52
avait,avoir,18
le,le,71
poêle,poêle,21
derrière,derrière,81
elle,il,51
",",",",p
ne,ne,60
se,se,51
rafraîchissait,rafraîchir,18
guère,guère,60
",",",",p
plus,plus,60
rose,rose,30
et,et,82
plus,plus,60
excitée,excité,31
par,par,81
l',le,71
imprévu,imprévu,21
de,de,81
ce,ce,74
déjeuner,déjeuner,21
bavard,bavard,30
",",",",p
dans,dans,81
cette,ce,74
chambre,chambre,22
/.,/.,P
à,à,81
propos,propos,21
de,de,81
la,le,71
mère,mère,22
Victoire,Victoire,20
",",",",p
Roubaud,Roubaud,20
en,en,52
était,être,18
revenu,revenir,12
à,à,81
Grandmorin,Grandmorin,20
:,:,p
encore,encore,60
une,un,52
",",",",p
celle-là,celui-là,52
",",",",p
qui,qui,52
lui,lui,51
devait,devoir,18
une,un,71
belle,beau,30
chandelle,chandelle,22
/!,/!,P
fille,fille,22
séduite,séduit,31
dont,dont,52
l',le,71
enfant,enfant,21
était,être,18
mort,mourir,12
",",",",p
nourrice,nourrice,22
de,de,81
Séverine,Séverine,20
qui,qui,52
venait,venir,18
de,de,81
coûter,coûter,14
la,le,71
vie,vie,22
à,à,81
sa,son,73
mère,mère,22
",",",",p
plus,plus,60
tard,tard,60
femme,femme,22
d',de,81
un,un,71
chauffeur,chauffeur,21
de,de,81
la,le,71
compagnie,compagnie,22
",",",",p
elle,il,51
vivait,vivre,18
mal,mal,60
",",",",p
à,à,81
Paris,Paris,20
",",",",p
d',de,81
un,un,71
peu,peu,60
de,de,81
couture,couture,22
",",",",p
son,son,73
mari,mari,21
mangeant,manger,13
tout,tout,52
",",",",p
lorsque,lorsque,83
la,le,71
rencontre,rencontre,22
de,de,81
sa,son,73
fille,fille,22
de,de,81
lait,lait,21
avait,avoir,18
renoué,renouer,12
les,le,71
liens,lien,21
d',de,81
autrefois,autrefois,60
",",",",p
en,en,81
faisant,faire,13
d',de,81
elle,il,51
aussi,aussi,60
une,un,71
protégée,protégé,31
du,de,81
du,le,71
président,président,21
;,;,p
et,et,82
",",",",p
aujourd'hui,aujourd'hui,60
",",",",p
il,il,51
lui,lui,51
avait,avoir,18
obtenu,obtenir,12
un,un,71
poste,poste,21
à,à,81
la,le,71
salubrité,salubrité,22
",",",",p
la,le,71
garde,garde,22
des,de,81
des,le,71
cabinets,cabinet,21
de,de,81
luxe,luxe,21
",",",",p
le,le,71
côté,côté,21
des,de,81
des,le,71
dames,dame,22
",",",",p
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
meilleur,meilleur,30
/.,/.,P
la,le,71
compagnie,compagnie,22
ne,ne,60
lui,lui,51
donnait,donner,18
que,que,83
cent,cent,72
francs,franc,21
par,par,81
an,an,21
",",",",p
mais,mais,82
elle,il,51
s',se,51
en,en,52
faisait,faire,18
près,près,81
de,de,81
quatorze,quatorze,72
cents,cent,72
",",",",p
avec,avec,81
la,le,71
recette,recette,22
",",",",p
sans,sans,81
compter,compter,14
le,le,71
logement,logement,21
",",",",p
cette,ce,74
chambre,chambre,22
où,où,60
elle,il,51
était,être,18
même,même,60
chauffée,chauffer,12
/.,/.,P
enfin,enfin,60
",",",",p
une,un,71
situation,situation,22
bien,bien,60
agréable,agréable,30
/.,/.,P
et,et,82
Roubaud,Roubaud,20
calculait,calculer,18
que,que,83
",",",",p
si,si,83
Pecqueux,Pecqueux,20
",",",",p
le,le,71
mari,mari,21
",",",",p
avait,avoir,18
apporté,apporter,12
ses,son,73
deux,deux,72
mille,mille,72
huit,huit,72
cents,cent,72
francs,franc,21
de,de,81
chauffeur,chauffeur,21
",",",",p
tant,tant,60
pour,pour,81
les,le,71
primes,prime,22
que,que,83
pour,pour,81
le,le,71
fixe,fixe,21
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
nocer,nocer,14
aux,à,81
aux,le,71
deux,deux,72
bouts,bout,21
de,de,81
la,le,71
ligne,ligne,22
",",",",p
le,le,71
ménage,ménage,21
aurait,avoir,16
réuni,réunir,12
plus,plus,60
de,de,81
quatre,quatre,72
mille,mille,72
francs,franc,21
",",",",p
le,le,71
double,double,21
de,de,81
ce,ce,52
que,que,52
lui,lui,51
",",",",p
sous-chef,sous-chef,21
de,de,81
gare,gare,22
",",",",p
gagnait,gagner,18
au,à,81
au,le,71
Havre,Havre,20
/.,/.,P
sans,sans,81
doute,doute,21
",",",",p
conclut,conclure,19
il,il,51
",",",",p
toutes,tout,75
les,le,71
femmes,femme,22
ne,ne,60
voudraient,vouloir,16
pas,pas,60
tenir,tenir,14
les,le,71
cabinets,cabinet,21
/.,/.,P
mais,mais,82
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
sot,sot,30
métier,métier,21
/.,/.,P
cependant,cependant,82
",",",",p
leur,leur,73
grosse,gros,30
faim,faim,22
s',se,51
était,être,18
apaisée,apaiser,12
",",",",p
et,et,82
ils,ils,51
ne,ne,60
mangeaient,manger,18
plus,plus,60
que,que,83
d',de,81
un,un,71
air,air,21
alangui,alangui,31
",",",",p
coupant,couper,13
le,le,71
fromage,fromage,21
par,par,81
petits,petit,30
morceaux,morceau,21
",",",",p
pour,pour,81
faire,faire,14
durer,durer,14
le,le,71
régal,régal,21
/.,/.,P
leurs,leur,73
paroles,parole,22
aussi,aussi,60
se,se,51
faisaient,faire,18
lentes,lent,30
/.,/.,P
à,à,81
propos,propos,21
",",",",p
cria,crier,19
t,t,94
il,il,51
",",",",p
j',je,51
ai,avoir,17
oublié,oublier,12
de,de,81
te,tu,51
demander,demander,14
/…,/…,P
pourquoi,pourquoi,60
as,avoir,17
tu,tu,51
donc,donc,82
refusé,refuser,12
au,à,81
au,le,71
président,président,21
d',de,81
aller,aller,14
passer,passer,14
deux,deux,72
ou,ou,82
trois,trois,72
jours,jour,21
à,à,81
Doinville,Doinville,20
/?,/?,P
son,son,73
esprit,esprit,21
",",",",p
dans,dans,81
le,le,71
bien-être,bien-être,21
de,de,81
la,le,71
digestion,digestion,22
",",",",p
venait,venir,18
de,de,81
refaire,refaire,14
leur,leur,73
visite,visite,22
du,de,81
du,le,71
matin,matin,21
",",",",p
tout,tout,52
près,près,81
de,de,81
la,le,71
gare,gare,22
",",",",p
à,à,81
l',le,71
hôtel,hôtel,21
de,de,81
la,le,71
rue,rue,22
du,de,81
du,le,71
rocher,rocher,21
;,;,p
et,et,82
il,il,51
s',se,51
était,être,18
revu,revoir,12
dans,dans,81
le,le,71
grand,grand,30
cabinet,cabinet,21
sévère,sévère,30
",",",",p
il,il,51
entendait,entendre,18
encore,encore,60
le,le,71
président,président,21
leur,leur,52
dire,dire,14
qu',que,83
il,il,51
partait,partir,18
le,le,71
lendemain,lendemain,21
pour,pour,81
Doinville,Doinville,20
/.,/.,P
puis,puis,60
",",",",p
comme,comme,83
cédant,céder,13
à,à,81
une,un,71
idée,idée,22
soudaine,soudain,30
",",",",p
il,il,51
leur,leur,52
avait,avoir,18
offert,offrir,12
de,de,81
prendre,prendre,14
le,le,71
soir,soir,21
même,même,30
",",",",p
avec,avec,81
eux,ils,51
",",",",p
l',le,71
express,express,21
de,de,81
six,six,72
heures,heure,22
trente,trente,72
",",",",p
et,et,82
d',de,81
emmener,emmener,14
ensuite,ensuite,60
sa,son,73
filleule,filleule,22
là-bas,là-bas,60
",",",",p
chez,chez,81
sa,son,73
soeur,soeur,22
",",",",p
qui,qui,52
la,le,52
réclamait,réclamer,18
depuis,depuis,81
longtemps,longtemps,60
/.,/.,P
mais,mais,82
la,le,71
jeune,jeune,30
femme,femme,22
avait,avoir,18
allégué,alléguer,12
toutes,tout,75
sortes,sorte,22
de,de,81
raisons,raison,22
",",",",p
qui,qui,52
l',le,52
empêchaient,empêcher,18
",",",",p
disait,dire,18
elle,il,51
/.,/.,P
tu,tu,51
sais,savoir,17
",",",",p
moi,moi,51
",",",",p
continua,continuer,19
Roubaud,Roubaud,20
",",",",p
je,je,51
ne,ne,60
voyais,voir,18
pas,pas,60
de,de,81
mal,mal,21
à,à,81
ce,ce,74
petit,petit,30
voyage,voyage,21
/.,/.,P
tu,tu,51
aurais,avoir,16
pu,pouvoir,12
y,y,52
rester,rester,14
jusqu',jusque,81
à,à,81
jeudi,jeudi,21
",",",",p
je,je,51
me,je,51
serais,être,16
arrangé,arranger,12
/…,/…,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
dans,dans,81
notre,notre,73
position,position,22
",",",",p
nous,nous,51
avons,avoir,17
besoin,besoin,21
d',de,81
eux,ils,51
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
guère,guère,60
adroit,adroit,30
",",",",p
de,de,81
refuser,refuser,14
leurs,leur,73
politesses,politesse,22
;,;,p
d'autant,d'autant,60
plus,plus,60
que,que,83
ton,ton,73
refus,refus,21
a,avoir,17
eu,avoir,12
l',le,71
air,air,21
de,de,81
lui,lui,51
causer,causer,14
une,un,71
vraie,vrai,30
peine,peine,22
/…,/…,P
aussi,aussi,60
n',ne,60
ai,avoir,17
je,je,51
cessé,cesser,12
de,de,81
te,tu,51
pousser,pousser,14
à,à,81
accepter,accepter,14
",",",",p
que,que,83
lorsque,lorsque,83
tu,tu,51
m',je,51
as,avoir,17
tiré,tirer,12
par,par,81
mon,mon,73
paletot,paletot,21
/.,/.,P
alors,alors,60
",",",",p
j',je,51
ai,avoir,17
dit,dire,12
comme,comme,83
toi,toi,51
",",",",p
mais,mais,82
sans,sans,81
comprendre,comprendre,14
/…,/…,P
hein,hein,93
!,!,p
pourquoi,pourquoi,60
n',ne,60
as,avoir,17
tu,tu,51
pas,pas,60
voulu,vouloir,12
/?,/?,P
Séverine,Séverine,20
",",",",p
les,le,71
regards,regard,21
vacillants,vacillant,30
",",",",p
eut,avoir,19
un,un,71
geste,geste,21
d',de,81
impatience,impatience,22
/.,/.,P
est,être,17
ce,ce,52
que,que,83
je,je,51
puis,pouvoir,17
te,tu,51
laisser,laisser,14
tout,tout,60
seul,seul,30
/?,/?,P
-,-,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
une,un,71
raison,raison,22
/…,/…,P
depuis,depuis,81
notre,notre,73
mariage,mariage,21
",",",",p
en,en,81
trois,trois,72
ans,an,21
",",",",p
tu,tu,51
es,être,17
bien,bien,60
allée,aller,12
deux,deux,72
fois,fois,22
à,à,81
Doinville,Doinville,20
",",",",p
passer,passer,14
ainsi,ainsi,60
une,un,71
semaine,semaine,22
/.,/.,P
rien,rien,52
ne,ne,60
t',tu,51
empêchait,empêcher,18
d',de,81
y,y,52
retourner,retourner,14
une,un,71
troisième,troisième,72
/.,/.,P
la,le,71
gêne,gêne,22
de,de,81
la,le,71
jeune,jeune,30
femme,femme,22
croissait,croître,18
",",",",p
elle,il,51
avait,avoir,18
détourné,détourner,12
la,le,71
tête,tête,22
/.,/.,P
enfin,enfin,60
",",",",p
ça,ça,52
ne,ne,60
me,je,51
disait,dire,18
pas,pas,60
/.,/.,P
tu,tu,51
ne,ne,60
vas,aller,17
pas,pas,60
me,je,51
forcer,forcer,14
à,à,81
des,de,81
des,le,71
choses,chose,22
qui,qui,52
me,je,51
déplaisent,déplaire,17
/.,/.,P
Roubaud,Roubaud,20
ouvrit,ouvrir,19
les,le,71
bras,bras,21
",",",",p
comme,comme,83
pour,pour,81
déclarer,déclarer,14
qu',que,83
il,il,51
ne,ne,60
la,le,52
forçait,forcer,18
à,à,81
rien,rien,52
/.,/.,P
pourtant,pourtant,60
",",",",p
il,il,51
reprit,reprendre,19
:,:,p
tiens,tenir,17
!,!,p
tu,tu,51
me,je,51
caches,cacher,17
quelque,quelque,75
chose,chose,22
/…,/…,P
la,le,71
dernière,dernier,30
fois,fois,22
",",",",p
est,être,17
ce,ce,52
que,que,83
madame,madame,22
Bonnehon,Bonnehon,20
t',tu,51
aurait,avoir,16
mal,mal,60
reçue,recevoir,12
/?,/?,P
ôh,oh,93
!,!,p
non,non,60
",",",",p
madame,madame,22
Bonnehon,Bonnehon,20
l',le,52
avait,avoir,18
toujours,toujours,60
très,très,60
bien,bien,60
accueillie,accueillir,12
/.,/.,P
elle,il,51
était,être,18
si,si,60
agréable,agréable,30
",",",",p
grande,grand,30
",",",",p
forte,fort,30
",",",",p
avec,avec,81
de,de,81
magnifiques,magnifique,30
cheveux,cheveu,21
blonds,blond,30
",",",",p
belle,beau,30
encore,encore,60
malgré,malgré,81
ses,son,73
cinquante,cinquante,72
cinq,cinq,72
ans,an,21
!,!,p
/!,/!,P
depuis,depuis,81
son,son,73
veuvage,veuvage,21
",",",",p
et,et,82
même,même,60
du,de,81
du,le,71
vivant,vivant,21
de,de,81
son,son,73
mari,mari,21
",",",",p
on,on,51
racontait,raconter,18
qu',que,83
elle,il,51
avait,avoir,18
eu,avoir,12
souvent,souvent,60
le,le,71
coeur,coeur,21
occupé,occupé,31
/.,/.,P
on,on,51
l',le,52
adorait,adorer,18
à,à,81
Doinville,Doinville,20
",",",",p
elle,il,51
faisait,faire,18
du,de,81
du,le,71
château,château,21
un,un,71
lieu,lieu,21
de,de,81
délices,délice,21
",",",",p
toute,tout,75
la,le,71
société,société,22
de,de,81
Rouen,Rouen,20
y,y,52
venait,venir,18
en,en,81
visite,visite,22
",",",",p
surtout,surtout,60
la,le,71
magistrature,magistrature,22
/.,/.,P
c',ce,52
était,être,18
dans,dans,81
la,le,71
magistrature,magistrature,22
que,que,83
madame,madame,22
Bonnehon,Bonnehon,20
avait,avoir,18
eu,avoir,12
beaucoup,beaucoup,60
d',de,81
amis,ami,21
/.,/.,P
alors,alors,60
",",",",p
avoue,avouer,17
le,le,52
",",",",p
ce,ce,52
sont,être,17
les,le,71
Lachesnaye,Lachesnaye,20
qui,qui,52
t',tu,51
ont,avoir,17
battu,battre,12
froid,froid,30
/.,/.,P
sans,sans,81
doute,doute,21
",",",",p
depuis,depuis,81
son,son,73
mariage,mariage,21
avec,avec,81
monsieur,monsieur,21
de,de,81
Lachesnaye,Lachesnaye,20
",",",",p
Berthe,Berthe,20
avait,avoir,18
cessé,cesser,12
d',de,81
être,être,14
pour,pour,81
elle,il,51
ce,ce,52
qu',que,52
elle,il,51
était,être,18
autrefois,autrefois,60
/.,/.,P
elle,il,51
ne,ne,60
devenait,devenir,18
guère,guère,60
bonne,bon,30
",",",",p
cette,ce,74
pauvre,pauvre,30
Berthe,Berthe,20
",",",",p
si,si,60
insignifiante,insignifiant,30
",",",",p
avec,avec,81
son,son,73
nez,nez,21
rouge,rouge,30
/.,/.,P
à,à,81
Rouen,Rouen,20
",",",",p
les,le,71
dames,dame,22
vantaient,vanter,18
beaucoup,beaucoup,60
sa,son,73
distinction,distinction,22
/.,/.,P
aussi,aussi,60
",",",",p
un,un,71
mari,mari,21
comme,comme,83
le,le,71
sien,sien,52
",",",",p
laid,laid,30
",",",",p
dur,dur,30
",",",",p
avare,avare,30
",",",",p
semblait,sembler,18
il,il,51
plutôt,plutôt,60
fait,fait,31
pour,pour,81
déteindre,déteindre,14
sur,sur,81
sa,son,73
femme,femme,22
et,et,82
la,le,52
rendre,rendre,14
mauvaise,mauvais,30
/.,/.,P
