11956
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingtième extrait>,<>,<>
eut,avoir,19
un,un,71
sursaut,sursaut,21
de,de,81
surprise,surprise,22
à,à,81
cette,ce,74
confidence,confidence,22
",",",",p
et,et,82
ses,son,73
yeux,oeil,21
",",",",p
en,en,81
se,se,51
tournant,tourner,13
eux,ils,51
aussi,aussi,60
vers,vers,81
la,le,71
fenêtre,fenêtre,22
",",",",p
furent,être,19
de,de,81
nouveau,nouveau,21
ternis,ternir,12
par,par,81
ce,ce,74
trouble,trouble,30
singulier,singulier,21
",",",",p
cette,ce,74
petite,petit,30
fumée,fumée,22
rousse,rousse,22
qui,qui,52
en,en,52
pâlissait,pâlir,18
l',le,71
éclat,éclat,21
noir,noir,30
",",",",p
diamanté,diamanté,30
d',de,81
or,or,21
/.,/.,P
ôh,oh,93
!,!,p
tante,tante,22
Phasie,Phasie,20
",",",",p
quelle,quel,75
idée,idée,22
!,!,p
murmura,murmurer,19
t,t,94
il,il,51
/.,/.,P
il,il,51
a,avoir,17
l',le,71
air,air,21
si,si,60
doux,doux,30
et,et,82
si,si,60
faible,faible,30
/.,/.,P
un,un,71
train,train,21
allant,aller,13
vers,vers,81
le,le,71
Havre,Havre,20
venait,venir,18
de,de,81
passer,passer,14
",",",",p
et,et,82
Misard,Misard,20
était,être,18
sorti,sortir,12
de,de,81
son,son,73
poste,poste,21
",",",",p
pour,pour,81
fermer,fermer,14
la,le,71
voie,voie,22
derrière,derrière,81
lui,lui,51
/.,/.,P
pendant,pendant,81
qu',que,83
il,il,51
remontait,remonter,18
le,le,71
levier,levier,21
",",",",p
mettant,mettre,13
au,à,81
au,le,71
rouge,rouge,21
le,le,71
signal,signal,21
",",",",p
Jacques,Jacques,20
le,le,52
regardait,regarder,18
/.,/.,P
un,un,71
petit,petit,30
homme,homme,21
malingre,malingre,30
",",",",p
les,le,71
cheveux,cheveu,21
et,et,82
la,le,71
barbe,barbe,22
rares,rare,30
",",",",p
décolorés,décoloré,31
",",",",p
la,le,71
figure,figure,22
creusée,creusé,31
et,et,82
pauvre,pauvre,30
/.,/.,P
avec,avec,81
cela,cela,52
",",",",p
silencieux,silencieux,30
",",",",p
effacé,effacé,31
",",",",p
sans,sans,81
colère,colère,22
",",",",p
d',de,81
une,un,71
politesse,politesse,22
obséquieuse,obséquieux,30
devant,devant,81
les,le,71
chefs,chef,21
/.,/.,P
mais,mais,82
il,il,51
était,être,18
rentré,rentrer,12
dans,dans,81
la,le,71
cabane,cabane,22
de,de,81
planches,planche,22
",",",",p
pour,pour,81
inscrire,inscrire,14
sur,sur,81
son,son,73
garde-temps,garde-temps,21
l',le,71
heure,heure,22
du,de,81
du,le,71
passage,passage,21
",",",",p
et,et,82
pour,pour,81
pousser,pousser,14
les,le,71
deux,deux,72
boutons,bouton,21
électriques,électrique,30
",",",",p
l',le,71
un,un,52
qui,qui,52
rendait,rendre,18
la,le,71
voie,voie,22
libre,libre,30
au,à,81
au,le,71
poste,poste,21
précédent,précédent,30
",",",",p
l',le,71
autre,autre,52
qui,qui,52
annonçait,annoncer,18
le,le,71
train,train,21
au,à,81
au,le,71
poste,poste,21
suivant,suivant,30
/.,/.,P
ah,ah,93
!,!,p
tu,tu,51
ne,ne,60
le,le,52
connais,connaître,17
pas,pas,60
",",",",p
reprit,reprendre,19
tante,tante,22
Phasie,Phasie,20
/.,/.,P
je,je,51
te,tu,51
dis,dire,17
qu',que,83
il,il,51
doit,devoir,17
me,je,51
faire,faire,14
prendre,prendre,14
quelque,quelque,75
saleté,saleté,22
/…,/…,P
moi,moi,51
qui,qui,52
étais,être,18
si,si,60
forte,fort,30
",",",",p
qui,qui,52
l',le,52
aurais,avoir,16
mangé,manger,12
",",",",p
et,et,82
c',ce,52
est,être,17
lui,lui,51
",",",",p
ce,ce,74
bout,bout,21
d',de,81
homme,homme,21
",",",",p
ce,ce,74
rien,rien,21
du,de,81
du,le,71
tout,tout,21
",",",",p
qui,qui,52
me,je,51
mange,manger,17
/!,/!,P
elle,il,51
s',se,51
enfiévrait,enfiévrer,18
d',de,81
une,un,71
rancune,rancune,22
sourde,sourd,30
et,et,82
peureuse,peureux,30
",",",",p
elle,il,51
vidait,vider,18
son,son,73
coeur,coeur,21
",",",",p
ravie,ravi,31
de,de,81
tenir,tenir,14
enfin,enfin,60
quelqu'un,quelqu'un,52
qui,qui,52
l',le,52
écoutait,écouter,18
/.,/.,P
où,où,60
avait,avoir,18
elle,il,51
eu,avoir,12
la,le,71
tête,tête,22
de,de,81
se,se,51
remarier,remarier,14
avec,avec,81
un,un,71
sournois,sournois,30
pareil,pareil,30
",",",",p
et,et,82
sans,sans,81
le,le,71
sou,sou,21
",",",",p
et,et,82
avare,avare,21
",",",",p
elle,il,51
plus,plus,60
âgée,âgé,30
de,de,81
cinq,cinq,72
ans,an,21
",",",",p
ayant,avoir,13
deux,deux,72
filles,fille,22
",",",",p
l',le,71
une,un,52
de,de,81
six,six,72
ans,an,21
",",",",p
l',le,71
autre,autre,52
de,de,81
huit,huit,72
ans,an,21
déjà,déjà,60
/?,/?,P
voici,voici,81
dix,dix,72
années,année,22
qu',que,52
elle,il,51
avait,avoir,18
fait,faire,17
ce,ce,74
beau,beau,30
coup,coup,21
",",",",p
et,et,82
pas,pas,60
une,un,71
heure,heure,22
ne,ne,60
s',se,51
était,être,18
écoulée,écouler,12
sans,sans,81
qu',que,83
elle,il,51
en,en,52
eût,avoir,19
le,le,71
repentir,repentir,21
:,:,p
une,un,71
existence,existence,22
de,de,81
misère,misère,22
",",",",p
un,un,71
exil,exil,21
dans,dans,81
ce,ce,74
coin,coin,21
glacé,glacé,31
du,de,81
du,le,71
nord,nord,21
",",",",p
où,où,60
elle,il,51
grelottait,grelotter,18
",",",",p
un,un,71
ennui,ennui,21
à,à,81
périr,périr,14
",",",",p
de,de,81
n',ne,60
avoir,avoir,14
jamais,jamais,60
personne,personne,52
à,à,81
qui,qui,52
causer,causer,14
",",",",p
pas,pas,60
même,même,60
une,un,71
voisine,voisine,22
/.,/.,P
lui,lui,51
",",",",p
était,être,18
un,un,71
ancien,ancien,30
poseur,poseur,21
de,de,81
la,le,71
voie,voie,22
",",",",p
qui,qui,52
",",",",p
maintenant,maintenant,60
",",",",p
gagnait,gagner,18
douze,douze,72
cents,cent,72
francs,franc,21
comme,comme,83
stationnaire,stationnaire,30
;,;,p
elle,il,51
",",",",p
dès,dès,81
le,le,71
début,début,21
",",",",p
avait,avoir,18
eu,avoir,12
cinquante,cinquante,72
francs,franc,21
pour,pour,81
la,le,71
barrière,barrière,22
",",",",p
dont,dont,52
Flore,Flore,20
aujourd'hui,aujourd'hui,60
se,se,51
trouvait,trouver,18
chargée,chargé,31
;,;,p
et,et,82
là,là,60
étaient,être,18
le,le,71
présent,présent,21
et,et,82
l',le,71
avenir,avenir,21
",",",",p
aucun,aucun,75
autre,autre,75
espoir,espoir,21
",",",",p
la,le,71
certitude,certitude,22
de,de,81
vivre,vivre,14
et,et,82
de,de,81
crever,crever,14
dans,dans,81
ce,ce,74
trou,trou,21
",",",",p
à,à,81
mille,mille,72
lieues,lieue,22
des,de,81
des,le,71
vivants,vivant,21
/.,/.,P
ce,ce,52
qu',que,52
elle,il,51
ne,ne,60
racontait,raconter,18
pas,pas,60
",",",",p
c',ce,52
étaient,être,18
les,le,71
consolations,consolation,22
qu',que,52
elle,il,51
avait,avoir,18
encore,encore,60
",",",",p
avant,avant,81
de,de,81
tomber,tomber,14
malade,malade,30
",",",",p
lorsque,lorsque,83
son,son,73
mari,mari,21
travaillait,travailler,18
au,à,81
au,le,71
ballast,ballast,21
",",",",p
et,et,82
qu',que,83
elle,il,51
demeurait,demeurer,18
seule,seul,30
à,à,81
garder,garder,14
la,le,71
barrière,barrière,22
avec,avec,81
ses,son,73
filles,fille,22
;,;,p
car,car,82
elle,il,51
possédait,posséder,18
alors,alors,60
",",",",p
de,de,81
Rouen,Rouen,20
au,à,81
au,le,71
Havre,Havre,20
",",",",p
sur,sur,81
toute,tout,75
la,le,71
ligne,ligne,22
",",",",p
une,un,71
telle,tel,75
réputation,réputation,22
de,de,81
belle,beau,30
femme,femme,22
",",",",p
que,que,83
les,le,71
inspecteurs,inspecteur,21
de,de,81
la,le,71
voie,voie,22
la,le,52
visitaient,visiter,18
au,à,81
au,le,71
passage,passage,21
;,;,p
même,même,60
il,il,51
y,y,52
avait,avoir,18
eu,avoir,12
des,de,81
des,le,71
rivalités,rivalité,22
",",",",p
les,le,71
piqueurs,piqueur,21
d',de,81
un,un,71
autre,autre,75
service,service,21
étaient,être,18
toujours,toujours,60
en,en,81
tournée,tournée,22
",",",",p
à,à,81
redoubler,redoubler,14
de,de,81
surveillance,surveillance,22
/.,/.,P
le,le,71
mari,mari,21
n',ne,60
était,être,18
pas,pas,60
une,un,71
gêne,gêne,22
",",",",p
déférent,déférent,30
avec,avec,81
tout,tout,75
le,le,71
monde,monde,21
",",",",p
se,se,51
glissant,glisser,13
par,par,81
les,le,71
portes,porte,22
",",",",p
partant,partir,13
",",",",p
revenant,revenir,13
sans,sans,81
rien,rien,52
voir,voir,14
/.,/.,P
mais,mais,82
ces,ce,74
distractions,distraction,22
avaient,avoir,18
cessé,cesser,12
",",",",p
et,et,82
elle,il,51
restait,rester,18
là,là,60
",",",",p
les,le,71
semaines,semaine,22
",",",",p
les,le,71
mois,mois,21
",",",",p
sur,sur,81
cette,ce,74
chaise,chaise,22
",",",",p
dans,dans,81
cette,ce,74
solitude,solitude,22
",",",",p
à,à,81
sentir,sentir,14
son,son,73
corps,corps,21
s',se,51
en,en,52
aller,aller,14
un,un,71
peu,peu,60
plus,plus,60
",",",",p
d',de,81
heure,heure,22
en,en,81
heure,heure,22
/.,/.,P
je,je,51
te,tu,51
dis,dire,17
",",",",p
répéta,répéter,19
t,t,94
elle,il,51
pour,pour,81
conclure,conclure,14
",",",",p
que,que,83
c',ce,52
est,être,17
lui,lui,51
qui,qui,52
s',se,51
est,être,17
mis,mettre,12
après,après,81
moi,moi,51
",",",",p
et,et,82
qu',que,83
il,il,51
m',je,51
achèvera,achever,15
",",",",p
tout,tout,60
petit,petit,30
qu',que,83
il,il,51
est,être,17
/.,/.,P
une,un,71
sonnerie,sonnerie,22
brusque,brusque,30
lui,lui,51
fit,faire,19
jeter,jeter,14
au-dehors,au-dehors,60
le,le,71
même,même,75
regard,regard,21
inquiet,inquiet,30
/.,/.,P
c',ce,52
était,être,18
le,le,71
poste,poste,21
précédent,précédent,30
qui,qui,52
annonçait,annoncer,18
à,à,81
Misard,Misard,20
un,un,71
train,train,21
allant,aller,13
sur,sur,81
Paris,Paris,20
;,;,p
et,et,82
l',le,71
aiguille,aiguille,22
de,de,81
l',le,71
appareil,appareil,21
de,de,81
cantonnement,cantonnement,21
",",",",p
posé,posé,31
devant,devant,81
la,le,71
vitre,vitre,22
",",",",p
s',se,51
était,être,18
inclinée,incliner,12
dans,dans,81
le,le,71
sens,sens,21
de,de,81
la,le,71
direction,direction,22
/.,/.,P
il,il,51
arrêta,arrêter,19
la,le,71
sonnerie,sonnerie,22
",",",",p
il,il,51
sortit,sortir,19
pour,pour,81
signaler,signaler,14
le,le,71
train,train,21
par,par,81
deux,deux,72
sons,son,21
de,de,81
trompe,trompe,22
/.,/.,P
Flore,Flore,20
",",",",p
à,à,81
ce,ce,74
moment,moment,21
",",",",p
vint,venir,19
pousser,pousser,14
la,le,71
barrière,barrière,22
;,;,p
puis,puis,60
",",",",p
elle,il,51
se,se,51
planta,planter,19
",",",",p
tenant,tenir,13
tout,tout,60
droit,droit,60
le,le,71
drapeau,drapeau,21
",",",",p
dans,dans,81
son,son,73
fourreau,fourreau,21
de,de,81
cuir,cuir,21
/.,/.,P
on,on,51
entendit,entendre,19
le,le,71
train,train,21
",",",",p
un,un,71
express,express,21
",",",",p
caché,caché,31
par,par,81
une,un,71
courbe,courbe,22
",",",",p
s',se,51
approcher,approcher,14
avec,avec,81
un,un,71
grondement,grondement,21
qui,qui,52
grandissait,grandir,18
/.,/.,P
il,il,51
passa,passer,19
comme,comme,83
en,en,81
un,un,71
coup,coup,21
de,de,81
foudre,foudre,22
",",",",p
ébranlant,ébranler,13
",",",",p
menaçant,menacer,13
d',de,81
emporter,emporter,14
la,le,71
maison,maison,22
basse,bas,30
",",",",p
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
vent,vent,21
de,de,81
tempête,tempête,22
/.,/.,P
déjà,déjà,60
Flore,Flore,20
s',se,51
en,en,52
retournait,retourner,18
à,à,81
ses,son,73
légumes,légume,21
",",",",p
tandis que,tandis que,83
Misard,Misard,20
",",",",p
après,après,81
avoir,avoir,14
fermé,fermer,12
la,le,71
voie,voie,22
montante,montant,30
derrière,derrière,81
le,le,71
train,train,21
",",",",p
allait,aller,18
rouvrir,rouvrir,14
la,le,71
voie,voie,22
descendante,descendant,30
",",",",p
en,en,81
abattant,abattre,13
le,le,71
levier,levier,21
pour,pour,81
effacer,effacer,14
le,le,71
signal,signal,21
rouge,rouge,30
;,;,p
car,car,82
une,un,71
nouvelle,nouveau,30
sonnerie,sonnerie,22
",",",",p
accompagnée,accompagné,31
du,de,81
du,le,71
relèvement,relèvement,21
de,de,81
l',le,71
autre,autre,75
aiguille,aiguille,22
",",",",p
venait,venir,18
de,de,81
l',le,52
avertir,avertir,14
que,que,83
le,le,71
train,train,21
",",",",p
passé,passé,31
cinq,cinq,72
minutes,minute,22
plus,plus,60
tôt,tôt,60
",",",",p
avait,avoir,18
franchi,franchir,12
le,le,71
poste,poste,21
suivant,suivant,30
/.,/.,P
il,il,51
rentra,rentrer,19
",",",",p
prévint,prévenir,19
les,le,71
deux,deux,72
postes,poste,21
",",",",p
inscrivit,inscrire,19
le,le,71
passage,passage,21
",",",",p
puis,puis,60
attendit,attendre,19
/.,/.,P
besogne,besogne,22
toujours,toujours,60
la,le,71
même,même,52
",",",",p
qu',que,52
il,il,51
faisait,faire,18
pendant,pendant,81
douze,douze,72
heures,heure,22
",",",",p
vivant,vivre,13
là,là,60
",",",",p
mangeant,manger,13
là,là,60
",",",",p
sans,sans,81
lire,lire,14
trois,trois,72
lignes,ligne,22
d',de,81
un,un,71
journal,journal,21
",",",",p
sans,sans,81
paraître,paraître,14
même,même,60
avoir,avoir,14
une,un,71
pensée,pensée,22
",",",",p
sous,sous,81
son,son,73
crâne,crâne,21
oblique,oblique,30
/.,/.,P
Jacques,Jacques,20
",",",",p
qui,qui,52
",",",",p
autrefois,autrefois,60
",",",",p
plaisantait,plaisanter,18
sa,son,73
marraine,marraine,22
sur,sur,81
les,le,71
ravages,ravage,21
qu',que,52
elle,il,51
faisait,faire,18
parmi,parmi,81
les,le,71
inspecteurs,inspecteur,21
de,de,81
la,le,71
voie,voie,22
",",",",p
ne,ne,60
put,pouvoir,19
s',se,51
empêcher,empêcher,14
de,de,81
sourire,sourire,14
",",",",p
en,en,81
disant,dire,13
:,:,p
peut-être,peut-être,60
bien,bien,60
qu',que,83
il,il,51
est,être,17
jaloux,jaloux,30
/.,/.,P
mais,mais,82
Phasie,Phasie,20
eut,avoir,19
un,un,71
haussement,haussement,21
d',de,81
épaules,épaule,22
plein,plein,30
de,de,81
pitié,pitié,22
",",",",p
pendant,pendant,81
qu',que,83
un,un,71
rire,rire,21
montait,monter,18
également,également,60
",",",",p
irrésistible,irrésistible,30
",",",",p
à,à,81
ses,son,73
pauvres,pauvre,30
yeux,oeil,21
pâlis,pâli,31
/.,/.,P
ah,ah,93
!,!,p
mon,mon,73
garçon,garçon,21
",",",",p
qu',que,52
est,être,17
ce,ce,52
que,que,52
tu,tu,51
dis,dire,17
là,là,60
/?,/?,P
lui,lui,51
",",",",p
jaloux,jaloux,30
/!,/!,P
il,il,51
s',se,51
en,en,52
est,être,17
toujours,toujours,60
fichu,ficher,12
",",",",p
du,de,81
du,le,71
moment,moment,21
que,que,83
ça,ça,52
ne,ne,60
lui,lui,51
sortait,sortir,18
rien,rien,52
de,de,81
la,le,71
poche,poche,22
/.,/.,P
puis,puis,60
",",",",p
reprise,repris,31
son,son,73
frisson,frisson,21
:,:,p
non,non,60
",",",",p
non,non,60
",",",",p
il,il,51
n',ne,60
y,y,52
tenait,tenir,18
guère,guère,60
",",",",p
à,à,81
ça,ça,52
/.,/.,P
il,il,51
ne,ne,60
tient,tenir,17
qu',que,83
à,à,81
l',le,71
argent,argent,21
/…,/…,P
ce,ce,52
qui,qui,52
nous,nous,51
a,avoir,17
fâchés,fâcher,12
",",",",p
vois,voir,17
tu,tu,51
",",",",p
c',ce,52
est,être,17
que,que,83
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
voulu,vouloir,12
lui,lui,51
donner,donner,14
les,le,71
mille,mille,72
francs,franc,21
de,de,81
papa,papa,21
",",",",p
l',le,71
année,année,22
dernière,dernier,30
",",",",p
quand,quand,83
j',je,51
ai,avoir,17
hérité,hériter,12
/.,/.,P
alors,alors,60
",",",",p
ainsi,ainsi,60
qu',que,83
il,il,51
m',je,51
en,en,52
menaçait,menacer,18
",",",",p
ça,ça,52
m',je,51
a,avoir,17
porté,porter,12
malheur,malheur,21
",",",",p
je,je,51
suis,être,17
tombée,tomber,12
malade,malade,30
/…,/…,P
et,et,82
le,le,71
mal,mal,21
ne,ne,60
m',je,51
a,avoir,17
plus,plus,60
quittée,quitter,12
depuis,depuis,81
cette,ce,74
époque,époque,22
",",",",p
oui,oui,60
!,!,p
juste,juste,60
depuis,depuis,81
cette,ce,74
époque,époque,22
/.,/.,P
le,le,71
jeune,jeune,30
homme,homme,21
comprit,comprendre,19
",",",",p
et,et,82
comme,comme,83
il,il,51
croyait,croire,18
à,à,81
des,de,81
des,le,71
idées,idée,22
noires,noir,30
de,de,81
femme,femme,22
souffrante,souffrant,30
",",",",p
il,il,51
essaya,essayer,19
encore,encore,60
de,de,81
la,le,52
dissuader,dissuader,14
/.,/.,P
mais,mais,82
elle,il,51
s',se,51
entêtait,entêter,18
d',de,81
un,un,71
branle,branle,21
de,de,81
la,le,71
tête,tête,22
",",",",p
en,en,81
personne,personne,22
dont,dont,52
la,le,71
conviction,conviction,22
est,être,17
faite,faire,12
/.,/.,P
aussi,aussi,60
finit,finir,17
il,il,51
par,par,81
dire,dire,14
:,:,p
eh,eh,93
bien,bien,60
",",",",p
rien,rien,52
n',ne,60
est,être,17
plus,plus,60
simple,simple,30
",",",",p
si,si,83
vous,vous,51
désirez,désirer,17
que,que,83
ça,ça,52
finisse,finir,17
/…,/…,P
donnez,donner,17
lui,lui,51
vos,votre,73
mille,mille,72
francs,franc,21
/.,/.,P
un,un,71
effort,effort,21
extraordinaire,extraordinaire,30
la,le,52
mit,mettre,19
debout,debout,60
/.,/.,P
et,et,82
",",",",p
ressuscitée,ressuscité,31
",",",",p
violente,violent,30
:,:,p
mes,mon,73
mille,mille,72
francs,franc,21
",",",",p
jamais,jamais,60
/!,/!,P
j',je,51
aime,aimer,17
mieux,mieux,60
crever,crever,14
/…,/…,P
ah,ah,93
!,!,p
ils,ils,51
sont,être,17
cachés,cacher,12
",",",",p
bien,bien,60
cachés,cacher,12
",",",",p
va,aller,17
/!,/!,P
on,on,51
peut,pouvoir,17
retourner,retourner,14
la,le,71
maison,maison,22
",",",",p
je,je,51
défie,défier,17
qu',que,83
on,on,51
les,le,52
trouve,trouver,17
/…,/…,P
et,et,82
il,il,51
l',le,52
a,avoir,17
assez,assez,60
retournée,retourner,12
",",",",p
lui,lui,51
",",",",p
le,le,71
malin,malin,21
/!,/!,P
je,je,51
l',le,52
ai,avoir,17
entendu,entendre,12
",",",",p
la,le,71
nuit,nuit,22
",",",",p
qui,qui,52
tapait,taper,18
dans,dans,81
tous,tout,75
les,le,71
murs,mur,21
/.,/.,P
cherche,chercher,17
",",",",p
cherche,chercher,17
/!,/!,P
rien,rien,52
que,que,52
le,le,71
plaisir,plaisir,21
de,de,81
voir,voir,14
son,son,73
nez,nez,21
s',se,51
allonger,allonger,14
",",",",p
ça,ça,52
me,je,51
suffirait,suffire,16
pour,pour,81
prendre,prendre,14
patience,patience,22
/…,/…,P
faudra,falloir,15
savoir,savoir,14
qui,qui,52
lâchera,lâcher,15
le,le,71
premier,premier,72
",",",",p
de,de,81
lui,lui,51
ou,ou,82
de,de,81
moi,moi,51
/.,/.,P
je,je,51
me,je,51
méfie,méfier,17
",",",",p
je,je,51
n',ne,60
avale,avaler,17
plus,plus,60
rien,rien,52
de,de,81
ce,ce,52
qu',que,52
il,il,51
touche,toucher,17
/.,/.,P
et,et,82
si,si,83
je,je,51
claquais,claquer,18
",",",",p
eh,eh,93
bien,bien,60
",",",",p
il,il,51
ne,ne,60
les,le,52
aurait,avoir,16
tout,tout,60
de,de,81
même,même,60
pas,pas,60
",",",",p
mes,mon,73
mille,mille,72
francs,franc,21
!,!,p
je,je,51
préférerais,préférer,16
les,le,52
laisser,laisser,14
à,à,81
la,le,71
terre,terre,22
/.,/.,P
elle,il,51
retomba,retomber,19
sur,sur,81
la,le,71
chaise,chaise,22
",",",",p
épuisée,épuisé,31
",",",",p
secouée,secoué,31
par,par,81
un,un,71
nouveau,nouveau,30
son,son,21
de,de,81
trompe,trompe,22
/.,/.,P
c',ce,52
était,être,18
Misard,Misard,20
",",",",p
au,à,81
au,le,71
seuil,seuil,21
du,de,81
du,le,71
poste,poste,21
de,de,81
cantonnement,cantonnement,21
",",",",p
qui,qui,52
",",",",p
cette,ce,74
fois,fois,22
",",",",p
signalait,signaler,18
un,un,71
train,train,21
allant,aller,13
au,à,81
au,le,71
Havre,Havre,20
/.,/.,P
malgré,malgré,81
l',le,71
obstination,obstination,22
où,où,60
elle,il,51
s',se,51
enfermait,enfermer,18
",",",",p
de,de,81
ne,ne,60
pas,pas,60
donner,donner,14
l',le,71
héritage,héritage,21
",",",",p
elle,il,51
avait,avoir,18
de,de,81
lui,lui,51
une,un,71
peur,peur,22
secrète,secret,30
",",",",p
grandissante,grandissant,30
",",",",p
la,le,71
peur,peur,22
du,de,81
du,le,71
colosse,colosse,21
devant,devant,81
l',le,71
insecte,insecte,21
dont,dont,52
il,il,51
se,se,51
sent,sentir,17
mangé,mangé,31
/.,/.,P
et,et,82
le,le,71
train,train,21
annoncé,annoncé,31
",",",",p
l',le,71
omnibus,omnibus,21
parti,parti,31
de,de,81
Paris,Paris,20
à,à,81
midi,midi,21
quarante,quarante,72
cinq,cinq,72
",",",",p
venait,venir,18
au,à,81
au,le,71
loin,loin,60
",",",",p
d',de,81
un,un,71
roulement,roulement,21
sourd,sourd,30
/.,/.,P
on,on,51
l',le,52
entendit,entendre,19
sortir,sortir,14
du,de,81
du,le,71
tunnel,tunnel,21
",",",",p
souffler,souffler,14
plus,plus,60
haut,haut,30
dans,dans,81
la,le,71
campagne,campagne,22
/.,/.,P
puis,puis,60
",",",",p
il,il,51
passa,passer,19
",",",",p
dans,dans,81
le,le,71
tonnerre,tonnerre,21
de,de,81
ses,son,73
roues,roue,22
et,et,82
la,le,71
masse,masse,22
de,de,81
ses,son,73
wagons,wagon,21
",",",",p
d',de,81
une,un,71
force,force,22
invincible,invincible,30
d',de,81
ouragan,ouragan,21
/.,/.,P
Jacques,Jacques,20
",",",",p
les,le,71
yeux,oeil,21
levés,levé,31
vers,vers,81
la,le,71
fenêtre,fenêtre,22
",",",",p
avait,avoir,18
regardé,regarder,12
défiler,défiler,14
les,le,71
petites,petit,30
vitres,vitre,22
carrées,carré,31
où,où,60
apparaissaient,apparaître,18
des,de,81
des,le,71
profils,profil,21
de,de,81
voyageurs,voyageur,21
/.,/.,P
il,il,51
voulut,vouloir,19
détourner,détourner,14
les,le,71
idées,idée,22
noires,noir,30
de,de,81
Phasie,Phasie,20
",",",",p
il,il,51
reprit,reprendre,19
en,en,81
plaisantant,plaisanter,13
:,:,p
marraine,marraine,22
",",",",p
vous,vous,51
vous,vous,51
plaignez,plaindre,17
de,de,81
ne,ne,60
jamais,jamais,60
voir,voir,14
un,un,71
chat,chat,21
",",",",p
dans,dans,81
votre,votre,73
trou,trou,21
/…,/…,P
mais,mais,82
en,en,52
voilà,voilà,81
",",",",p
du,de,81
du,le,71
monde,monde,21
/!,/!,P
elle,il,51
ne,ne,60
comprit,comprendre,19
pas,pas,60
d'abord,d'abord,60
",",",",p
étonnée,étonné,31
/.,/.,P
où,où,60
ça,ça,52
",",",",p
du,de,81
du,le,71
monde,monde,21
/?,/?,P
ah,ah,93
!,!,p
oui,oui,60
;,;,p
ces,ce,74
gens,gens,21
qui,qui,52
passent,passer,17
/.,/.,P
la,le,71
belle,beau,30
avance,avance,22
!,!,p
on,on,51
ne,ne,60
les,le,52
connaît,connaître,17
pas,pas,60
",",",",p
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
causer,causer,14
/.,/.,P
il,il,51
continuait,continuer,18
de,de,81
rire,rire,14
/.,/.,P
moi,moi,51
",",",",p
vous,vous,51
me,je,51
connaissez,connaître,17
bien,bien,60
",",",",p
vous,vous,51
me,je,51
voyez,voir,17
passer,passer,14
souvent,souvent,60
/.,/.,P
-,-,p
toi,toi,51
",",",",p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
je,je,51
te,tu,51
connais,connaître,17
",",",",p
et,et,82
je,je,51
sais,savoir,17
l',le,71
heure,heure,22
de,de,81
ton,ton,73
train,train,21
",",",",p
et,et,82
je,je,51
te,tu,51
guette,guetter,17
",",",",p
sur,sur,81
ta,ton,73
machine,machine,22
/.,/.,P
seulement,seulement,60
",",",",p
tu,tu,51
files,filer,17
",",",",p
tu,tu,51
files,filer,17
/!,/!,P
hier,hier,60
",",",",p
tu,tu,51
as,avoir,17
fait,faire,12
comme,comme,83
ça,ça,52
de,de,81
la,le,71
main,main,22
/.,/.,P
je,je,51
ne,ne,60
peux,pouvoir,17
seulement,seulement,60
pas,pas,60
te,tu,51
répondre,répondre,14
/…,/…,P
non,non,60
",",",",p
non,non,60
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
une,un,71
manière,manière,22
de,de,81
voir,voir,14
le,le,71
monde,monde,21
/.,/.,P
pourtant,pourtant,60
",",",",p
cette,ce,74
idée,idée,22
du,de,81
du,le,71
flot,flot,21
de,de,81
foule,foule,22
que,que,52
les,le,71
trains,train,21
montants,montant,30
et,et,82
descendants,descendant,30
charriaient,charrier,18
quotidiennement,quotidiennement,60
devant,devant,81
elle,il,51
",",",",p
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
grand,grand,30
silence,silence,21
de,de,81
sa,son,73
solitude,solitude,22
",",",",p
la,le,52
laissait,laisser,18
pensive,pensif,30
",",",",p
les,le,71
regards,regard,21
sur,sur,81
la,le,71
voie,voie,22
",",",",p
où,où,60
tombait,tomber,18
la,le,71
nuit,nuit,22
/.,/.,P
quand,quand,83
elle,il,51
était,être,18
valide,valide,30
",",",",p
qu',que,83
elle,il,51
allait,aller,18
et,et,82
venait,venir,18
",",",",p
se,se,51
plantant,planter,13
devant,devant,81
la,le,71
barrière,barrière,22
",",",",p
le,le,71
drapeau,drapeau,21
au,à,81
au,le,71
poing,poing,21
",",",",p
elle,il,51
ne,ne,60
songeait,songer,18
jamais,jamais,60
à,à,81
ces,ce,74
choses,chose,22
/.,/.,P
mais,mais,82
des,de,81
des,le,71
rêveries,rêverie,22
confuses,confus,30
",",",",p
à,à,81
peine,peine,22
formulées,formulé,31
",",",",p
lui,lui,51
embarbouillaient,embarbouiller,18
la,le,71
tête,tête,22
",",",",p
depuis,depuis,81
qu',que,83
elle,il,51
demeurait,demeurer,18
les,le,71
journées,journée,22
sur,sur,81
cette,ce,74
chaise,chaise,22
",",",",p
n',ne,60
ayant,avoir,13
à,à,81
réfléchir,réfléchir,14
à,à,81
