11714
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante et unième extrait>,<>,<>
étaient,être,18
que,que,83
belles,beau,30
donnaient,donner,18
leur,leur,73
beauté,beauté,22
",",",",p
et,et,82
de,de,81
là,là,60
vient,venir,17
sans,sans,81
doute,doute,21
le,le,71
proverbe,proverbe,21
",",",",p
que,que,83
la,le,71
plus,plus,60
belle,beau,30
fille,fille,22
du,de,81
du,le,71
monde,monde,21
ne,ne,60
peut,pouvoir,17
donner,donner,14
que,que,83
ce,ce,52
qu',que,52
elle,il,51
a,avoir,17
/.,/.,P
celles,celui,52
qui,qui,52
étaient,être,18
riches,riche,30
donnaient,donner,18
en,en,81
outre,outre,22
une,un,71
partie,partie,22
de,de,81
leur,leur,73
argent,argent,21
",",",",p
et,et,82
l',l',94
on,on,51
pourrait,pouvoir,16
citer,citer,14
bon,bon,30
nombre,nombre,21
de,de,81
héros,héros,21
de,de,81
cette,ce,74
galante,galant,30
époque,époque,22
qui,qui,52
n',ne,60
eussent,avoir,18
gagné,gagner,12
ni,ni,82
leurs,leur,73
éperons,éperon,21
d'abord,d'abord,60
",",",",p
ni,ni,82
leurs,leur,73
batailles,bataille,22
ensuite,ensuite,60
",",",",p
sans,sans,81
la,le,71
bourse,bourse,22
plus,plus,60
ou,ou,82
moins,moins,60
garnie,garni,31
que,que,83
leur,leur,73
maîtresse,maîtresse,22
attachait,attacher,18
à,à,81
l',le,71
arçon,arçon,21
de,de,81
leur,leur,73
selle,selle,22
/.,/.,P
d',de,81
Artagnan,Artagnan,20
ne,ne,60
possédait,posséder,18
rien,rien,52
;,;,p
l',le,71
hésitation,hésitation,22
du,de,81
du,le,71
provincial,provincial,21
",",",",p
vernis,vernis,21
léger,léger,30
",",",",p
fleur,fleur,22
éphémère,éphémère,30
",",",",p
duvet,duvet,22
de,de,81
la,le,71
pêche,pêche,22
",",",",p
s',se,51
était,être,18
évaporée,évaporer,12
au,à,81
au,le,71
vent,vent,21
des,de,81
des,le,71
conseils,conseil,21
peu,peu,60
orthodoxes,orthodoxe,30
que,que,52
les,le,71
trois,trois,72
mousquetaires,mousquetaire,21
donnaient,donner,18
à,à,81
leur,leur,73
ami,ami,21
/.,/.,P
d',de,81
Artagnan,Artagnan,20
",",",",p
suivant,suivant,81
l',le,71
étrange,étrange,30
coutume,coutume,22
du,de,81
du,le,71
temps,temps,21
",",",",p
se,se,51
regardait,regarder,18
à,à,81
Paris,Paris,20
comme,comme,83
en,en,81
campagne,campagne,22
",",",",p
et,et,82
cela,cela,52
ni,ni,82
plus,plus,60
ni,ni,82
moins,moins,60
que,que,83
dans,dans,81
les,le,71
Flandres,Flandre,20
:,:,p
l',le,71
Espagnol,Espagnol,20
là-bas,là-bas,60
",",",",p
la,le,71
femme,femme,22
ici,ici,60
/.,/.,P
c',ce,52
était,être,18
partout,partout,60
un,un,71
ennemi,ennemi,21
à,à,81
combattre,combattre,14
",",",",p
des,de,81
des,le,71
contributions,contribution,22
à,à,81
frapper,frapper,14
/.,/.,P
mais,mais,82
",",",",p
disons,dire,17
le,le,52
",",",",p
pour,pour,81
le,le,71
moment,moment,21
d',de,81
Artagnan,Artagnan,20
était,être,18
mû,mouvoir,12
d',de,81
un,un,71
sentiment,sentiment,21
plus,plus,60
noble,noble,30
et,et,82
plus,plus,60
désintéressé,désintéresser,12
/.,/.,P
le,le,71
mercier,mercier,21
lui,lui,51
avait,avoir,18
dit,dire,12
qu',que,83
il,il,51
était,être,18
riche,riche,30
;,;,p
le,le,71
jeune,jeune,30
homme,homme,21
avait,avoir,18
pu,pouvoir,12
deviner,deviner,14
qu',que,83
avec,avec,81
un,un,71
niais,niais,21
comme,comme,83
l',le,52
était,être,18
monsieur,monsieur,21
Bonacieux,Bonacieux,20
",",",",p
ce,ce,52
devait,devoir,18
être,être,14
la,le,71
femme,femme,22
qui,qui,52
tenait,tenir,18
la,le,71
clef,clé,22
de,de,81
la,le,71
bourse,bourse,22
/.,/.,P
mais,mais,82
tout,tout,75
cela,cela,52
n',ne,60
avait,avoir,18
influé,influer,12
en,en,81
rien,rien,52
sur,sur,81
le,le,71
sentiment,sentiment,21
produit,produit,31
par,par,81
la,le,71
vue,vue,22
de,de,81
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
et,et,82
l',le,71
intérêt,intérêt,21
était,être,18
resté,rester,12
à,à,81
peu,peu,60
près,près,81
étranger,étranger,30
à,à,81
ce,ce,74
commencement,commencement,21
d',de,81
amour,amour,21
qui,qui,52
en,en,52
avait,avoir,18
été,être,12
la,le,71
suite,suite,22
/.,/.,P
nous,nous,51
disons,dire,17
:,:,p
à,à,81
peu,peu,60
près,près,81
",",",",p
car,car,82
l',le,71
idée,idée,22
qu',que,83
une,un,71
jeune,jeune,30
femme,femme,22
",",",",p
belle,beau,30
",",",",p
gracieuse,gracieux,30
",",",",p
spirituelle,spirituel,30
",",",",p
est,être,17
riche,riche,30
en,en,81
même,même,75
temps,temps,21
",",",",p
n',ne,60
ôte,ôter,17
rien,rien,52
à,à,81
ce,ce,74
commencement,commencement,21
d',de,81
amour,amour,21
",",",",p
et,et,82
tout,tout,60
au,à,81
au,le,71
contraire,contraire,21
le,le,52
corrobore,corroborer,17
/.,/.,P
il,il,51
y,y,52
a,avoir,17
dans,dans,81
l',le,71
aisance,aisance,22
une,un,71
foule,foule,22
de,de,81
soins,soin,21
et,et,82
de,de,81
caprices,caprice,21
aristocratiques,aristocratique,30
qui,qui,52
vont,aller,17
bien,bien,60
à,à,81
la,le,71
beauté,beauté,22
/.,/.,P
un,un,71
bas,bas,21
fin,fin,30
et,et,82
blanc,blanc,30
",",",",p
une,un,71
robe,robe,22
de,de,81
soie,soie,22
",",",",p
une,un,71
guimpe,guimpe,22
de,de,81
dentelle,dentelle,22
",",",",p
un,un,71
joli,joli,30
soulier,soulier,21
au,à,81
au,le,71
pied,pied,21
",",",",p
un,un,71
frais,frais,30
ruban,ruban,21
sur,sur,81
la,le,71
tête,tête,22
",",",",p
ne,ne,60
font,faire,17
point,point,60
jolie,joli,30
une,un,71
femme,femme,22
laide,laid,30
",",",",p
mais,mais,82
font,faire,17
belle,beau,60
une,un,71
femme,femme,22
jolie,joli,30
",",",",p
sans,sans,81
compter,compter,14
les,le,71
mains,main,22
qui,qui,52
gagnent,gagner,17
à,à,81
tout,tout,75
cela,cela,52
;,;,p
les,le,71
mains,main,22
",",",",p
chez,chez,81
les,le,71
femmes,femme,22
surtout,surtout,60
",",",",p
ont,avoir,17
besoin,besoin,21
de,de,81
rester,rester,14
oisives,oisif,30
pour,pour,81
rester,rester,14
belles,beau,30
/.,/.,P
puis,puis,60
d',de,81
Artagnan,Artagnan,20
",",",",p
comme,comme,83
le,le,52
sait,savoir,17
bien,bien,60
le,le,71
lecteur,lecteur,21
",",",",p
auquel,à,81
auquel,lequel,52
nous,nous,51
n',ne,60
avons,avoir,17
pas,pas,60
caché,cacher,12
l',le,71
état,état,21
de,de,81
sa,son,73
fortune,fortune,22
",",",",p
d',de,81
Artagnan,Artagnan,20
n',ne,60
était,être,18
pas,pas,60
un,un,71
millionnaire,millionnaire,21
;,;,p
il,il,51
espérait,espérer,18
bien,bien,60
le,le,52
devenir,devenir,14
un,un,71
jour,jour,21
",",",",p
mais,mais,82
le,le,71
temps,temps,21
qu',que,52
il,il,51
se,se,51
fixait,fixer,18
lui-même,lui-même,51
pour,pour,81
cet,ce,74
heureux,heureux,30
changement,changement,21
était,être,18
assez,assez,60
éloigné,éloigner,12
/.,/.,P
en,en,81
attendant,attendre,13
",",",",p
quel,quel,75
désespoir,désespoir,21
que,que,83
de,de,81
voir,voir,14
une,un,71
femme,femme,22
qu',que,52
on,on,51
aime,aimer,17
désirer,désirer,14
ces,ce,74
mille,mille,72
riens,rien,21
dont,dont,52
les,le,71
femmes,femme,22
composent,composer,17
leur,leur,73
bonheur,bonheur,21
",",",",p
et,et,82
de,de,81
ne,ne,60
pouvoir,pouvoir,14
lui,lui,51
donner,donner,14
ces,ce,74
mille,mille,72
riens,rien,21
/!,/!,P
au,à,81
au,le,71
moins,moins,60
",",",",p
quand,quand,83
la,le,71
femme,femme,22
est,être,17
riche,riche,30
et,et,82
que,que,83
l',le,71
amant,amant,21
ne,ne,60
l',le,52
est,être,17
pas,pas,60
",",",",p
ce,ce,52
qu',que,52
il,il,51
ne,ne,60
peut,pouvoir,17
lui,lui,51
offrir,offrir,14
elle,il,51
se,se,51
l',le,52
offre,offrir,17
elle-même,lui-même,51
;,;,p
et,et,82
quoique,quoique,83
ce,ce,52
soit,être,17
ordinairement,ordinairement,60
avec,avec,81
l',le,71
argent,argent,21
du,de,81
du,le,71
mari,mari,21
qu',que,83
elle,il,51
se,se,51
passe,passer,17
cette,ce,74
jouissance,jouissance,22
",",",",p
il,il,51
est,être,17
rare,rare,30
que,que,83
ce,ce,52
soit,être,17
à,à,81
lui,lui,51
qu',que,83
en,en,52
revienne,revenir,17
la,le,71
reconnaissance,reconnaissance,22
/.,/.,P
puis,puis,60
d',de,81
Artagnan,Artagnan,20
",",",",p
disposé,disposé,31
à,à,81
être,être,14
l',le,71
amant,amant,21
le,le,71
plus,plus,60
tendre,tendre,30
",",",",p
était,être,18
en,en,81
attendant,attendre,13
un,un,71
ami,ami,21
très,très,60
dévoué,dévoué,31
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ses,son,73
projets,projet,21
amoureux,amoureux,30
sur,sur,81
la,le,71
femme,femme,22
du,de,81
du,le,71
mercier,mercier,21
",",",",p
il,il,51
n',ne,60
oubliait,oublier,18
pas,pas,60
les,le,71
siens,sien,52
/.,/.,P
la,le,71
jolie,joli,30
madame,madame,22
Bonacieux,Bonacieux,20
était,être,18
femme,femme,22
à,à,81
promener,promener,14
dans,dans,81
la,le,71
plaine,plaine,22
Saint-Denis,Saint-Denis,20
ou,ou,82
dans,dans,81
la,le,71
foire,foire,22
Saint-Germain,Saint-Germain,20
en,en,81
compagnie,compagnie,22
d',de,81
Athos,Athos,20
",",",",p
de,de,81
Porthos,Porthos,20
et,et,82
d',de,81
Aramis,Aramis,20
",",",",p
auxquels,à,81
auxquels,lequel,52
d',de,81
Artagnan,Artagnan,20
serait,être,16
fier,fier,30
de,de,81
montrer,montrer,14
une,un,71
telle,tel,75
conquête,conquête,22
/.,/.,P
puis,puis,60
",",",",p
quand,quand,83
on,on,51
a,avoir,17
marché,marcher,12
longtemps,longtemps,60
",",",",p
la,le,71
faim,faim,22
arrive,arriver,17
;,;,p
d',de,81
Artagnan,Artagnan,20
depuis,depuis,81
quelque,quelque,75
temps,temps,21
avait,avoir,18
remarqué,remarquer,12
cela,cela,52
/.,/.,P
on,on,51
ferait,faire,16
de,de,81
ces,ce,74
petits,petit,30
dîners,dîner,21
charmants,charmant,30
où,où,60
l',l',94
on,on,51
touche,toucher,17
d',de,81
un,un,71
côté,côté,21
la,le,71
main,main,22
d',de,81
un,un,71
ami,ami,21
",",",",p
et,et,82
de,de,81
l',le,71
autre,autre,52
le,le,71
pied,pied,21
d',de,81
une,un,71
maîtresse,maîtresse,22
/.,/.,P
enfin,enfin,60
",",",",p
dans,dans,81
les,le,71
moments,moment,21
pressants,pressant,30
",",",",p
dans,dans,81
les,le,71
positions,position,22
extrêmes,extrême,30
",",",",p
d',de,81
Artagnan,Artagnan,20
serait,être,16
le,le,71
sauveur,sauveur,21
de,de,81
ses,son,73
amis,ami,21
/.,/.,P
et,et,82
monsieur,monsieur,21
Bonacieux,Bonacieux,20
",",",",p
que,que,52
d',de,81
Artagnan,Artagnan,20
avait,avoir,18
poussé,pousser,12
dans,dans,81
les,le,71
mains,main,22
des,de,81
des,le,71
sbires,sbire,21
en,en,81
le,le,52
reniant,renier,13
bien,bien,60
haut,haut,30
et,et,82
à,à,81
qui,qui,52
il,il,51
avait,avoir,18
promis,promettre,12
tout,tout,60
bas,bas,30
de,de,81
le,le,52
sauver,sauver,14
/?,/?,P
nous,nous,51
devons,devoir,17
avouer,avouer,14
à,à,81
nos,notre,73
lecteurs,lecteur,21
que,que,83
d',de,81
Artagnan,Artagnan,20
n',ne,60
y,y,52
songeait,songer,18
en,en,81
aucune,aucun,75
façon,façon,22
",",",",p
ou,ou,82
que,que,83
",",",",p
s',si,83
il,il,51
y,y,52
songeait,songer,18
",",",",p
c',ce,52
était,être,18
pour,pour,81
se,se,51
dire,dire,14
qu',que,83
il,il,51
était,être,18
bien,bien,60
où,où,60
il,il,51
était,être,18
",",",",p
quelque,quelque,75
part,part,22
qu',que,52
il,il,51
fût,être,19
/.,/.,P
l',le,71
amour,amour,21
est,être,17
la,le,71
plus,plus,60
égoïste,égoïste,30
de,de,81
toutes,tout,75
les,le,71
passions,passion,22
/.,/.,P
cependant,cependant,82
",",",",p
que,que,52
nos,notre,73
lecteurs,lecteur,21
se,se,51
rassurent,rassurer,17
:,:,p
si,si,83
d',de,81
Artagnan,Artagnan,20
oublie,oublier,17
son,son,73
hôte,hôte,21
ou,ou,82
fait,faire,17
semblant,semblant,21
de,de,81
l',le,52
oublier,oublier,14
",",",",p
sous,sous,81
prétexte,prétexte,21
qu',que,83
il,il,51
ne,ne,60
sait,savoir,17
pas,pas,60
où,où,60
on,on,51
l',le,52
a,avoir,17
conduit,conduire,12
",",",",p
nous,nous,51
ne,ne,60
l',le,52
oublions,oublier,17
pas,pas,60
",",",",p
nous,nous,51
",",",",p
et,et,82
nous,nous,51
savons,savoir,17
où,où,60
il,il,51
est,être,17
/.,/.,P
mais,mais,82
pour,pour,81
le,le,71
moment,moment,21
faisons,faire,17
comme,comme,83
le,le,71
Gascon,Gascon,20
amoureux,amoureux,30
/.,/.,P
quant,quand,83
au,à,81
au,le,71
digne,digne,30
mercier,mercier,21
",",",",p
nous,nous,51
reviendrons,revenir,15
à,à,81
lui,lui,51
plus,plus,60
tard,tard,60
/.,/.,P
d',de,81
Artagnan,Artagnan,20
",",",",p
tout,tout,60
en,en,81
réfléchissant,réfléchir,13
à,à,81
ses,son,73
futures,futur,30
amours,amour,21
",",",",p
tout,tout,60
en,en,81
parlant,parler,13
à,à,81
la,le,71
nuit,nuit,22
",",",",p
tout,tout,60
en,en,81
souriant,sourire,13
aux,à,81
aux,le,71
étoiles,étoile,22
",",",",p
remontait,remonter,18
la,le,71
rue,rue,22
du,de,81
du,le,71
Cherche-Midi,Cherche Midi,20
Chasse-Midi,Chasse Midi,20
",",",",p
ainsi,ainsi,60
qu',que,52
on,on,51
l',le,52
appelait,appeler,18
alors,alors,60
/.,/.,P
comme,comme,83
il,il,51
se,se,51
trouvait,trouver,18
dans,dans,81
le,le,71
quartier,quartier,21
d',de,81
Aramis,Aramis,20
",",",",p
l',le,71
idée,idée,22
lui,lui,51
était,être,18
venue,venir,12
d',de,81
aller,aller,14
faire,faire,14
une,un,71
visite,visite,22
à,à,81
son,son,73
ami,ami,21
",",",",p
pour,pour,81
lui,lui,51
donner,donner,14
quelques,quelque,75
explications,explication,22
sur,sur,81
les,le,71
motifs,motif,21
qui,qui,52
lui,lui,51
avaient,avoir,18
fait,faire,12
envoyer,envoyer,14
Planchet,Planchet,20
avec,avec,81
invitation,invitation,22
de,de,81
se,se,51
rendre,rendre,14
immédiatement,immédiatement,60
à,à,81
la,le,71
souricière,souricière,22
/.,/.,P
or,or,82
",",",",p
si,si,83
Aramis,Aramis,20
s',se,51
était,être,18
trouvé,trouver,12
chez,chez,81
lui,lui,51
lorsque,lorsque,83
Planchet,Planchet,20
y,y,52
était,être,18
venu,venir,12
",",",",p
il,il,51
avait,avoir,18
sans,sans,81
aucun,aucun,75
doute,doute,21
couru,courir,12
rue,rue,22
des,de,81
des,le,71
fossoyeurs,fossoyeur,21
",",",",p
et,et,82
n',ne,60
y,y,52
trouvant,trouver,13
personne,personne,52
que,que,83
ses,son,73
deux,deux,72
autres,autre,75
compagnons,compagnon,21
peut-être,peut-être,60
",",",",p
ils,ils,51
n',ne,60
avaient,avoir,18
dû,devoir,12
savoir,savoir,14
",",",",p
ni,ni,82
les,le,71
uns,un,52
ni,ni,82
les,le,71
autres,autre,52
",",",",p
ce,ce,52
que,que,52
cela,cela,52
voulait,vouloir,18
dire,dire,14
/.,/.,P
ce,ce,74
dérangement,dérangement,21
méritait,mériter,18
donc,donc,82
une,un,71
explication,explication,22
",",",",p
voilà,voilà,81
ce,ce,52
que,que,52
disait,dire,18
tout,tout,60
haut,haut,60
d',de,81
Artagnan,Artagnan,20
/.,/.,P
puis,puis,60
",",",",p
tout,tout,60
bas,bas,60
",",",",p
il,il,51
pensait,penser,18
que,que,83
c',ce,52
était,être,18
pour,pour,81
lui,lui,51
une,un,71
occasion,occasion,22
de,de,81
parler,parler,14
de,de,81
la,le,71
jolie,joli,30
petite,petit,30
madame,madame,22
Bonacieux,Bonacieux,20
",",",",p
dont,dont,52
son,son,73
esprit,esprit,21
",",",",p
sinon,sinon,83
son,son,73
coeur,coeur,21
",",",",p
était,être,18
déjà,déjà,60
tout,tout,60
plein,plein,30
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
à,à,81
propos,propos,21
d',de,81
un,un,71
premier,premier,72
amour,amour,21
qu',que,83
il,il,51
faut,falloir,17
demander,demander,14
de,de,81
la,le,71
discrétion,discrétion,22
/.,/.,P
ce,ce,74
premier,premier,72
amour,amour,21
est,être,17
accompagné,accompagner,12
d',de,81
une,un,71
si,si,60
grande,grand,30
joie,joie,22
",",",",p
qu',que,83
il,il,51
faut,falloir,17
que,que,83
cette,ce,74
joie,joie,22
déborde,déborder,17
",",",",p
sans,sans,81
cela,cela,52
elle,il,51
vous,vous,51
étoufferait,étouffer,16
/.,/.,P
Paris,Paris,20
depuis,depuis,81
deux,deux,72
heures,heure,22
était,être,18
sombre,sombre,30
et,et,82
commençait,commencer,18
à,à,81
se,se,51
faire,faire,14
désert,désert,30
/.,/.,P
onze,onze,72
heures,heure,22
sonnaient,sonner,18
à,à,81
toutes,tout,75
les,le,71
horloges,horloge,22
du,de,81
du,le,71
faubourg,faubourg,21
Saint-Germain,Saint-Germain,20
",",",",p
il,il,51
faisait,faire,18
un,un,71
temps,temps,21
doux,doux,30
/.,/.,P
d',de,81
Artagnan,Artagnan,20
suivait,suivre,18
une,un,71
ruelle,ruelle,22
située,situé,31
sur,sur,81
l',le,71
emplacement,emplacement,21
où,où,60
passe,passer,17
aujourd'hui,aujourd'hui,60
la,le,71
rue,rue,22
d',de,81
Assas,Assas,20
",",",",p
respirant,respirer,13
les,le,71
émanations,émanation,22
embaumées,embaumé,31
qui,qui,52
venaient,venir,18
avec,avec,81
le,le,71
vent,vent,21
de,de,81
la,le,71
rue,rue,22
de,de,81
Vaugirard,Vaugirard,20
et,et,82
qu',que,52
envoyaient,envoyer,18
les,le,71
jardins,jardin,21
rafraîchis,rafraîchi,31
par,par,81
la,le,71
rosée,rosée,22
du,de,81
du,le,71
soir,soir,21
et,et,82
par,par,81
la,le,71
brise,brise,22
de,de,81
la,le,71
nuit,nuit,22
/.,/.,P
au,à,81
au,le,71
loin,loin,60
résonnaient,résonner,18
",",",",p
assourdis,assourdi,31
cependant,cependant,82
par,par,81
de,de,81
bons,bon,30
volets,volet,21
",",",",p
les,le,71
chants,chant,21
des,de,81
des,le,71
buveurs,buveur,21
dans,dans,81
quelques,quelque,75
cabarets,cabaret,21
perdus,perdu,31
dans,dans,81
la,le,71
plaine,plaine,22
/.,/.,P
arrivé,arrivé,31
au,à,81
au,le,71
bout,bout,21
de,de,81
la,le,71
ruelle,ruelle,22
",",",",p
d',de,81
Artagnan,Artagnan,20
tourna,tourner,19
à,à,81
gauche,gauche,22
/.,/.,P
la,le,71
maison,maison,22
qu',que,52
habitait,habiter,18
Aramis,Aramis,20
se,se,51
trouvait,trouver,18
située,situé,31
entre,entre,81
la,le,71
rue,rue,22
Cassette,Cassette,20
et,et,82
la,le,71
rue,rue,22
Servandoni,Servandoni,20
/.,/.,P
d',de,81
Artagnan,Artagnan,20
venait,venir,18
de,de,81
dépasser,dépasser,14
la,le,71
rue,rue,22
Cassette,Cassette,20
et,et,82
reconnaissait,reconnaître,18
déjà,déjà,60
la,le,71
porte,porte,22
de,de,81
la,le,71
maison,maison,22
de,de,81
son,son,73
ami,ami,21
",",",",p
enfouie,enfoui,31
sous,sous,81
un,un,71
massif,massif,21
de,de,81
sycomores,sycomore,21
et,et,82
de,de,81
clématites,clématite,22
qui,qui,52
formaient,former,18
un,un,71
vaste,vaste,30
bourrelet,bourrelet,21
au-dessus,au-dessus,60
d',de,81
elle,il,51
lorsqu',lorsque,83
il,il,51
aperçut,apercevoir,19
quelque,quelque,75
chose,chose,22
comme,comme,83
une,un,71
ombre,ombre,22
qui,qui,52
sortait,sortir,18
de,de,81
la,le,71
rue,rue,22
Servandoni,Servandoni,20
/.,/.,P
ce,ce,74
quelque,quelque,75
chose,chose,22
était,être,18
enveloppé,envelopper,12
d',de,81
un,un,71
manteau,manteau,21
",",",",p
et,et,82
d',de,81
Artagnan,Artagnan,20
crut,croire,19
d'abord,d'abord,60
que,que,83
c',ce,52
était,être,18
un,un,71
homme,homme,21
;,;,p
mais,mais,82
",",",",p
à,à,81
la,le,71
petitesse,petitesse,22
de,de,81
la,le,71
taille,taille,22
",",",",p
à,à,81
l',le,71
incertitude,incertitude,22
de,de,81
la,le,71
démarche,démarche,22
",",",",p
à,à,81
l',le,71
embarras,embarras,21
du,de,81
du,le,71
pas,pas,21
",",",",p
il,il,51
reconnut,reconnaître,19
bientôt,bientôt,60
une,un,71
femme,femme,22
/.,/.,P
de,de,81
plus,plus,60
",",",",p
cette,ce,74
femme,femme,22
",",",",p
comme,comme,83
si,si,83
elle,il,51
n',ne,60
eût,avoir,19
pas,pas,60
été,être,12
bien,bien,60
sûre,sûr,30
de,de,81
la,le,71
maison,maison,22
qu',que,52
elle,il,51
cherchait,chercher,18
",",",",p
levait,lever,18
les,le,71
yeux,oeil,21
pour,pour,81
se,se,51
reconnaître,reconnaître,14
",",",",p
s',se,51
arrêtait,arrêter,18
",",",",p
retournait,retourner,18
en,en,81
arrière,arrière,21
",",",",p
puis,puis,60
revenait,revenir,18
encore,encore,60
/.,/.,P
d',de,81
Artagnan,Artagnan,20
fut,être,19
intrigué,intriguer,12
/.,/.,P
“,“,p
si,si,83
j',je,51
allais,aller,18
lui,lui,51
offrir,offrir,14
mes,mon,73
services,service,21
!,!,p
pensa,penser,19
t,t,94
il,il,51
/.,/.,P
à,à,81
son,son,73
allure,allure,22
",",",",p
on,on,51
voit,voir,17
qu',que,83
elle,il,51
est,être,17
jeune,jeune,30
;,;,p
peut-être,peut-être,60
jolie,joli,30
/.,/.,P
oh,oh,93
!,!,p
oui,oui,60
/.,/.,P
mais,mais,82
une,un,71
femme,femme,22
qui,qui,52
court,courir,17
les,le,71
rues,rue,22
à,à,81
cette,ce,74
heure,heure,22
ne,ne,60
sort,sortir,17
guère,guère,60
que,que,83
pour,pour,81
aller,aller,14
rejoindre,rejoindre,14
son,son,73
amant,amant,21
/.,/.,P
peste,peste,22
!,!,p
si,si,83
j',je,51
allais,aller,18
troubler,troubler,14
les,le,71
rendez-vous,rendez-vous,21
",",",",p
ce,ce,52
serait,être,16
une,un,71
mauvaise,mauvais,30
porte,porte,22
pour,pour,81
entrer,entrer,14
en,en,81
relations,relation,22
/.,/.,P
“,“,p
cependant,cependant,82
",",",",p
la,le,71
jeune,jeune,30
femme,femme,22
s',se,51
avançait,avancer,18
toujours,toujours,60
",",",",p
comptant,compter,13
les,le,71
maisons,maison,22
et,et,82
les,le,71
fenêtres,fenêtre,22
/.,/.,P
ce,ce,52
n',ne,60
était,être,18
",",",",p
au,à,81
au,le,71
reste,reste,21
",",",",p
chose,chose,22
ni,ni,82
longue,long,30
",",",",p
ni,ni,82
difficile,difficile,30
/.,/.,P
il,il,51
n',ne,60
y,y,52
avait,avoir,18
que,que,83
trois,trois,72
hôtels,hôtel,21
dans,dans,81
cette,ce,74
partie,partie,22
de,de,81
la,le,71
rue,rue,22
",",",",p
et,et,82
deux,deux,72
fenêtres,fenêtre,22
ayant,avoir,13
vue,voir,12
sur,sur,81
cette,ce,74
rue,rue,22
;,;,p
l',le,71
une,un,52
était,être,18
celle,celui,52
d',de,81
un,un,71
pavillon,pavillon,21
parallèle,parallèle,30
à,à,81
celui,celui,52
qu',que,52
occupait,occuper,18
Aramis,Aramis,20
",",",",p
l',le,71
autre,autre,52
était,être,18
celle,celui,52
d',de,81
Aramis,Aramis,20
lui-même,lui-même,51
/.,/.,P
“,“,p
pardieu,pardieu,93
!,!,p
se,se,51
dit,dire,19
d',de,81
Artagnan,Artagnan,20
",",",",p
auquel,à,81
auquel,lequel,52
la,le,71
nièce,nièce,22
du,de,81
du,le,71
théologien,théologien,21
revenait,revenir,18
à,à,81
l',le,71
esprit,esprit,21
;,;,p
pardieu,pardieu,93
!,!,p
il,il,51
serait,être,16
drôle,drôle,30
que,que,83
cette,ce,74
colombe,colombe,22
attardée,attardé,31
cherchât,chercher,18
la,le,71
maison,maison,22
de,de,81
notre,notre,73
ami,ami,21
/.,/.,P
mais,mais,82
sur,sur,81
mon,mon,73
âme,âme,22
",",",",p
cela,cela,52
y,y,52
ressemble,ressembler,17
fort,fort,60
/.,/.,P
ah,ah,93
!,!,p
mon,mon,73
cher,cher,30
Aramis,Aramis,20
",",",",p
pour,pour,81
cette,ce,74
fois,fois,22
",",",",p
j',je,51
en,en,52
veux,vouloir,17
avoir,avoir,14
le,le,71
coeur,coeur,21
net,net,30
/.,/.,P
“,“,p
et,et,82
d',de,81
Artagnan,Artagnan,20
",",",",p
se,se,51
faisant,faire,13
le,le,71
plus,plus,60
mince,mince,30
qu',que,83
il,il,51
put,pouvoir,19
",",",",p
s',se,51
abrita,abriter,19
dans,dans,81
le,le,71
côté,côté,21
le,le,71
plus,plus,60
obscur,obscur,30
de,de,81
la,le,71
rue,rue,22
",",",",p
près,près,81
d',de,81
un,un,71
banc,banc,21
de,de,81
pierre,pierre,22
situé,situé,31
au,à,81
au,le,71
fond,fond,21
d',de,81
une,un,71
niche,niche,22
/.,/.,P
la,le,71
jeune,jeune,30
femme,femme,22
continua,continuer,19
de,de,81
s',se,51
avancer,avancer,14
",",",",p
car,car,82
outre,outre,81
la,le,71
légèreté,légèreté,22
de,de,81
son,son,73
allure,allure,22
",",",",p
qui,qui,52
l',le,52
avait,avoir,18
trahie,trahir,12
",",",",p
elle,il,51
venait,venir,18
de,de,81
faire,faire,14
entendre,entendre,14
une,un,71
petite,petit,30
toux,toux,22
qui,qui,52
dénonçait,dénoncer,18
une,un,71
voix,voix,22
des,de,81
des,le,71
plus,plus,60
fraîches,frais,30
/.,/.,P
d',de,81
Artagnan,Artagnan,20
pensa,penser,19
que,que,83
cette,ce,74
toux,toux,22
était,être,18
un,un,71
signal,signal,21
/.,/.,P
cependant,cependant,82
",",",",p
soit,soit,82
qu',que,83
on,on,51
eût,avoir,19
répondu,répondre,12
à,à,81
cette,ce,74
toux,toux,22
par,par,81
un,un,71
signe,signe,21
équivalent,équivalent,30
qui,qui,52
avait,avoir,18
fixé,fixer,12
les,le,71
irrésolutions,irrésolution,22
de,de,81
la,le,71
nocturne,nocturne,22
chercheuse,chercheur,30
",",",",p
soit,soit,82
que,que,83
sans,sans,81
secours,secours,21
étranger,étranger,30
elle,il,51
eût,avoir,19
reconnu,reconnaître,12
qu',que,83
elle,il,51
était,être,18
arrivée,arriver,12
au,à,81
au,le,71
bout,bout,21
de,de,81
sa,son,73
course,course,22
",",",",p
elle,il,51
s',se,51
approcha,approcher,19
résolument,résolument,60
du,de,81
du,le,71
volet,volet,21
d',de,81
Aramis,Aramis,20
et,et,82
frappa,frapper,19
à,à,81
trois,trois,72
